wavelet,wavelet_level,wavelet_mode,wavelet_mse,wavelet_psnr,wavelet_energy_entropy,wavelet_sparsity,wavelet_adaptive_threshold,signal_length,signal_type,emd_value,kl_divergence,change_point_indices,change_point_prominences,num_change_points,wavelet_entropy,avg_variance_across_levels,variance_ratio_across_levels,smoothness,correlation,relative_num_peaks,avg_prominence,prominence_min,prominence_max,relative_peaks,relative_prominences,relative_left_bases,relative_right_bases,prominence_threshold,distance_factor,max_autocorrelation,upper_envelope,lower_envelope,wavelet_type,htid,relative_left_bases_array_alignment_score,relative_left_bases_global_alignment_score,max_autocorrelation_diff,prominence_min_diff,prominence_max_diff,avg_prominence_diff,upper_envelope_diff,prominence_threshold_diff,relative_prominences_avg_diff,relative_prominences_total_diff,relative_prominences_wasserstein,distance_factor_diff,lower_envelope_diff,relative_right_bases_array_alignment_score,relative_right_bases_global_alignment_score,relative_peaks_array_alignment_score,relative_peaks_global_alignment_score,relative_num_peaks_diff,wavelet_psnr_normalized,wavelet_entropy_normalized,wavelet_energy_entropy_normalized,wavelet_sparsity_normalized,avg_variance_across_levels_normalized,kl_divergence_normalized,max_autocorrelation_diff_normalized,reconstruction_signal_weighted_score,reconstruction_signal_normalized_weighted_score,reconstruction_signal_normalized_weighted_rank,wavelet_signal_weighted_score,wavelet_signal_normalized_weighted_score,wavelet_signal_normalized_weighted_rank,reconstruction_signal_num_missing_metrics,reconstruction_signal_missing_metrics_count,reconstruction_signal_dynamically_weighted_score,reconstruction_signal_normalized_dynamically_weighted_score,reconstruction_signal_normalized_dynamically_weighted_rank,wavelet_signal_num_missing_metrics,wavelet_signal_missing_metrics_count,wavelet_signal_dynamically_weighted_score,wavelet_signal_normalized_dynamically_weighted_score,wavelet_signal_normalized_dynamically_weighted_rank,rank_variability,normalized_rank_stability,average_rank,harmonic_average_rank,stability_score_weighted,stability_rank,wavelet_family,family_mean_stability_rank,family_median_stability_rank,family_rank_std_dev,family_wavelet_count,normalized_family_mean_rank,normalized_family_std_dev,final_family_stability_score,final_family_stability_rank,family_informed_rank,top_wavelet_rank
db5,1,reflect,1.1463025464978214e-27,331.37988194444813,628445.4189099058,0.6590909090909091,193.1146047908762,36,raw,2.240183347465872e-14,,"[2, 8, 13, 16, 21, 23, 27, 30, 32]","[275.0, 310.9999999999999, 265.0, 113.0, 413.99999999999994, 272.0, 1.000000000000032, 85.00000000000011, 815.0]",9,4.137676218761219,56189.611818844656,0.540607980743015,2.4751732839696424e-06,1.0,12,345.5833333333333,95.0000000000001,782.0,"[2, 5, 8, 11, 13, 16, 20, 23, 25, 29, 31, 34]","[479.0, 255.0, 717.0, 109.99999999999997, 496.0, 283.0, 416.0, 782.0, 249.00000000000006, 95.0000000000001, 134.9999999999999, 129.99999999999994]","[0, 4, 7, 10, 12, 14, 14, 21, 24, 27, 30, 32]","[7, 7, 32, 12, 21, 17, 21, 32, 32, 32, 32, 35]",0.05,20,1966269.0,844.0,-844.0,DWT,uc1.l0082986993,0.0,-6.5,19550830.0,72.0000000000001,0.0,81.21969696969694,0.0,0.0,81.21969696969694,1239.0,136.93181818181813,0.0,0.0,0.0,-6.5,0.0,-6.5,0.0,0.9195657545066589,0.7201745663738964,0.0035533327360019397,0.556598240469208,0.010446267547634742,,0.8658297371518242,0.4329148685759121,0.8658297371518242,110,1.1404212054656817,0.7306738229581862,62,0,0,0.8658297371518242,0.8658297371518242,210,0,0,0.44206763232667995,0.6967748081967672,65,69.08147363801673,0.8433526674874904,111.75,88.17086164847395,0.7949756534716363,1,db,183.49382716049382,197.0,89.58056757143119,81,0.4982108588715422,0.6567077839315655,0.45424006361045083,2,1.25,1
rbio3.1,1,periodization,1.7262029630469562e-27,329.601955938881,724898.9473402178,0.7222222222222222,190.93193007348927,36,raw,3.0790185216271006e-14,,"[2, 8, 13, 16, 21, 23, 27, 30, 32]","[275.0, 310.9999999999999, 264.99999999999994, 112.99999999999997, 413.99999999999994, 271.99999999999994, 1.0, 85.0, 814.9999999999999]",9,3.505406180162927,69365.21219135802,0.8072206494710104,2.4751732839696433e-06,1.0,12,345.58333333333326,94.99999999999999,781.9999999999999,"[2, 5, 8, 11, 13, 16, 20, 23, 25, 29, 31, 34]","[479.0, 254.99999999999994, 716.9999999999998, 109.99999999999997, 495.9999999999999, 283.0, 415.9999999999999, 781.9999999999999, 248.99999999999994, 94.99999999999999, 134.99999999999994, 129.99999999999994]","[0, 4, 7, 10, 12, 14, 14, 21, 24, 27, 30, 32]","[7, 7, 32, 12, 21, 17, 21, 32, 32, 32, 32, 35]",0.05,20,1966268.9999999993,843.9999999999999,-843.9999999999999,DWT,uc1.l0082986993,0.0,-6.5,19550830.0,71.99999999999999,1.1368683772161603e-13,81.21969696969688,1.1368683772161603e-13,0.0,81.21969696969688,1238.999999999999,136.93181818181813,0.0,1.1368683772161603e-13,0.0,-6.5,0.0,-6.5,0.0,0.9024217334072625,0.4956941174000074,0.0054957137418447976,0.8107526881720428,0.017704938222879923,,0.8658297371518242,0.4329148685759121,0.8658297371518242,140,1.1234310061732526,0.7197881135287905,75,0,0,0.8658297371518242,0.8658297371518242,198,0,0,0.4464138381888076,0.7036251779920608,58,64.11643055151049,0.8546112685906792,117.75,93.52770764738048,0.7938022329347953,2,rbio,165.70634920634922,133.5,136.408566737449,126,0.4499154213310636,1.0,0.3850592050682554,3,2.25,2
rbio1.3,1,zero,2.553805703835489e-27,327.90099599020715,551768.8138179795,0.7,196.56684633509536,36,raw,3.059281223411543e-14,,"[2, 8, 13, 16, 21, 23, 27, 30, 32]","[275.0, 311.00000000000006, 265.00000000000006, 113.00000000000003, 414.00000000000006, 272.0, 1.0, 85.0, 815.0000000000002]",9,3.909955230066142,52946.63773437501,0.526917610884708,2.4751732839696416e-06,1.0,12,345.5833333333333,95.0,782.0,"[2, 5, 8, 11, 13, 16, 20, 23, 25, 29, 31, 34]","[479.00000000000006, 255.00000000000006, 717.0, 110.00000000000003, 496.0000000000001, 283.00000000000006, 416.0000000000001, 782.0, 249.00000000000006, 95.0, 135.00000000000003, 130.0]","[0, 4, 7, 10, 12, 14, 14, 21, 24, 27, 30, 32]","[7, 7, 32, 12, 21, 17, 21, 32, 32, 32, 32, 35]",0.05,20,1966269.0000000007,844.0000000000002,-844.0000000000002,DWT,uc1.l0082986993,0.0,-6.5,19550830.0,72.0,0.0,81.21969696969694,2.2737367544323206e-13,0.0,81.21969696969694,1239.0,136.93181818181822,0.0,2.2737367544323206e-13,0.0,-6.5,0.0,-6.5,0.0,0.8860198735109666,0.6393247606542128,0.0020092193816555757,0.7212903225806448,0.008659655915376383,,0.8658297371518242,0.4329148685759121,0.8658297371518242,129,1.1442589055229226,0.7331326574298287,58,0,0,0.8658297371518242,0.8658297371518242,214,0,0,0.45146076640857136,0.7115800070389204,51,75.99561390852325,0.8276743448786321,113.0,81.17861999856846,0.7857192586071164,3,rbio,165.70634920634922,133.5,136.408566737449,126,0.4499154213310636,1.0,0.3850592050682554,3,3.0,3
rbio3.3,1,periodization,7.998173066824148e-28,332.94296654343043,713004.2375573263,0.6944444444444444,219.18841423415927,36,raw,2.0674819880797363e-14,,"[2, 8, 13, 16, 21, 23, 27, 30, 32]","[275.00000000000006, 310.99999999999994, 265.0, 112.99999999999994, 414.0, 271.99999999999994, 1.0000000000000036, 85.00000000000004, 815.0]",9,3.710605235530907,72271.10127013407,0.8149719553106963,2.4751732839696424e-06,1.0,12,345.5833333333333,95.0,782.0,"[2, 5, 8, 11, 13, 16, 20, 23, 25, 29, 31, 34]","[479.00000000000006, 255.00000000000003, 717.0, 110.00000000000001, 496.0, 282.9999999999999, 416.0, 782.0, 249.0, 95.0, 135.0, 129.99999999999997]","[0, 4, 7, 10, 12, 14, 14, 21, 24, 27, 30, 32]","[7, 7, 32, 12, 21, 17, 21, 32, 32, 32, 32, 35]",0.05,20,1966269.0,844.0,-844.0,DWT,uc1.l0082986993,0.0,-6.5,19550830.0,72.0,0.0,81.21969696969694,0.0,0.0,81.21969696969694,1239.0,136.93181818181813,0.0,0.0,0.0,-6.5,0.0,-6.5,0.0,0.9346381226823784,0.5685477610427484,0.005256178094696395,0.6989247311827955,0.019305843779003986,,0.8658297371518242,0.4329148685759121,0.8658297371518242,149,1.1349770731628692,0.7271857389561338,65,0,0,0.8658297371518242,0.8658297371518242,207,0,0,0.44533452735632456,0.7019239980293254,59,71.07742257566744,0.8388267061776249,120.0,91.16581550859843,0.7833589313201049,4,rbio,165.70634920634922,133.5,136.408566737449,126,0.4499154213310636,1.0,0.3850592050682554,3,3.75,4
rbio2.2,1,antireflect,2.3744713247152455e-28,338.2172052243839,721125.2997847025,0.65,186.34537032567042,36,raw,8.536381478228984e-15,,"[2, 8, 13, 16, 21, 23, 27, 30, 32]","[275.0, 311.0, 265.0, 113.0, 413.99999999999994, 272.0, 0.9999999999999929, 84.99999999999999, 815.0]",9,3.7509217376058834,65498.164531250004,0.5443229679434742,2.4751732839696424e-06,1.0,12,345.5833333333333,95.00000000000001,782.0,"[2, 5, 8, 11, 13, 16, 20, 23, 25, 29, 31, 34]","[479.0, 254.99999999999994, 717.0, 109.99999999999999, 496.0, 283.0, 416.0, 782.0, 249.0, 95.00000000000001, 135.00000000000006, 130.0]","[0, 4, 7, 10, 12, 14, 14, 21, 24, 27, 30, 32]","[7, 7, 32, 12, 21, 17, 21, 32, 32, 32, 32, 35]",0.05,20,1966269.0,844.0,-844.0,DWT,uc1.l0082986993,0.0,-6.5,19550830.0,72.00000000000001,0.0,81.21969696969694,0.0,0.0,81.21969696969694,1239.0,136.9318181818182,0.0,0.0,0.0,-6.5,0.0,-6.5,0.0,0.9854960655587339,0.5828616869515443,0.005419720033228175,0.52,0.015574513448555425,,0.8658297371518242,0.4329148685759121,0.8658297371518242,75,1.0996681482070487,0.7045631263123447,92,0,0,0.8658297371518242,0.8658297371518242,230,0,0,0.4218703971984124,0.664940483302779,94,72.00636545935829,0.8367202597293463,122.75,102.06939963805178,0.7791877942637662,5,rbio,165.70634920634922,133.5,136.408566737449,126,0.4499154213310636,1.0,0.3850592050682554,3,4.5,5
rbio1.5,1,constant,2.073126458920819e-27,328.8066165714449,565110.1861732873,0.6590909090909091,184.37970186231945,36,raw,3.029675276088205e-14,,"[2, 8, 13, 16, 21, 23, 27, 30, 32]","[275.0, 311.0000000000001, 265.00000000000006, 113.00000000000004, 414.0, 272.0, 1.0, 85.00000000000001, 815.0]",9,4.072626424136121,51196.471475900704,0.5348599069083498,2.475173283969641e-06,1.0,12,345.5833333333334,95.0,782.0,"[2, 5, 8, 11, 13, 16, 20, 23, 25, 29, 31, 34]","[479.00000000000006, 255.0000000000001, 717.0000000000001, 110.00000000000003, 496.0000000000001, 283.00000000000006, 416.00000000000006, 782.0, 249.0, 95.0, 135.0, 130.00000000000006]","[0, 4, 7, 10, 12, 14, 14, 21, 24, 27, 30, 32]","[7, 7, 32, 12, 21, 17, 21, 32, 32, 32, 32, 35]",0.05,20,1966269.0000000005,844.0000000000001,-844.0000000000001,DWT,uc1.l0082986993,0.0,-6.5,19550830.0,72.0,0.0,81.21969696969705,1.1368683772161603e-13,0.0,81.21969696969705,1239.000000000001,136.93181818181824,0.0,1.1368683772161603e-13,0.0,-6.5,0.0,-6.5,0.0,0.8947525082236443,0.6970793598772009,0.002277887917442215,0.556598240469208,0.0076954584489980354,,0.8658297371518242,0.4329148685759121,0.8658297371518242,107,1.1122476083987907,0.7126228521618805,82,0,0,0.8658297371518242,0.8658297371518242,240,0,0,0.4316806909872987,0.6804031977682747,82,75.75563785400178,0.8282185082675697,127.75,105.53336507379657,0.769267984292515,6,rbio,165.70634920634922,133.5,136.408566737449,126,0.4499154213310636,1.0,0.3850592050682554,3,5.25,6
db5,1,symmetric,1.111242061821332e-27,331.51478780035603,676295.3157047638,0.6590909090909091,169.29663303960174,36,raw,2.2204460492503137e-14,,"[2, 8, 13, 16, 21, 23, 27, 30, 32]","[275.0, 310.99999999999994, 265.0, 113.0, 413.99999999999994, 272.0, 1.000000000000032, 85.00000000000013, 815.0]",9,3.9506019059392274,60573.00854576261,0.5891527572558112,2.4751732839696424e-06,1.0,12,345.5833333333333,95.0000000000001,782.0,"[2, 5, 8, 11, 13, 16, 20, 23, 25, 29, 31, 34]","[479.0, 255.0, 717.0, 109.99999999999997, 496.0, 283.0, 416.0, 782.0, 249.00000000000006, 95.0000000000001, 134.9999999999999, 130.0]","[0, 4, 7, 10, 12, 14, 14, 21, 24, 27, 30, 32]","[7, 7, 32, 12, 21, 17, 21, 32, 32, 32, 32, 35]",0.05,20,1966269.0,844.0,-844.0,DWT,uc1.l0082986993,0.0,-6.5,19550830.0,72.0000000000001,0.0,81.21969696969694,0.0,0.0,81.21969696969694,1239.0,136.9318181818182,0.0,0.0,0.0,-6.5,0.0,-6.5,0.0,0.9208666122661354,0.6537559110998589,0.004516933883398269,0.556598240469208,0.012861158131749777,,0.8658297371518242,0.4329148685759121,0.8658297371518242,114,1.1094401492916932,0.7108240984481208,83,0,0,0.8658297371518242,0.8658297371518242,239,0,0,0.4297197711700701,0.6773124500418521,84,74.07653699609163,0.8320259932061415,130.0,108.37469545147634,0.7686207063536377,7,db,183.49382716049382,197.0,89.58056757143119,81,0.4982108588715422,0.6567077839315655,0.45424006361045083,2,5.75,7
rbio1.3,1,antireflect,2.487891992643689e-27,328.0145592931993,685302.6647237923,0.675,217.59949889295058,36,raw,3.0000693287648675e-14,,"[2, 8, 13, 16, 21, 23, 27, 30, 32]","[275.0, 311.00000000000006, 265.00000000000006, 113.00000000000003, 414.00000000000006, 272.0, 1.0, 85.0, 815.0000000000002]",9,3.904953237637823,64629.215703124995,0.5793244041052105,2.4751732839696416e-06,1.0,12,345.5833333333333,95.0,782.0,"[2, 5, 8, 11, 13, 16, 20, 23, 25, 29, 31, 34]","[479.00000000000006, 255.00000000000006, 717.0, 110.00000000000003, 496.0000000000001, 283.00000000000006, 416.0000000000001, 782.0, 249.00000000000006, 95.0, 135.00000000000003, 130.0]","[0, 4, 7, 10, 12, 14, 14, 21, 24, 27, 30, 32]","[7, 7, 32, 12, 21, 17, 21, 32, 32, 32, 32, 35]",0.05,20,1966269.0000000007,844.0000000000002,-844.0000000000002,DWT,uc1.l0082986993,0.0,-6.5,19550830.0,72.0,0.0,81.21969696969694,2.2737367544323206e-13,0.0,81.21969696969694,1239.0,136.93181818181822,0.0,2.2737367544323206e-13,0.0,-6.5,0.0,-6.5,0.0,0.8871149312673174,0.6375488588440269,0.0046983238639649125,0.6206451612903227,0.015095794210063792,,0.8658297371518242,0.4329148685759121,0.8658297371518242,122,1.1076889323145411,0.7097020845839517,85,0,0,0.8658297371518242,0.8658297371518242,237,0,0,0.4330206138951392,0.6825151472955341,79,73.34109807377216,0.8336936551615144,130.75,108.58039077082805,0.7686041971952697,8,rbio,165.70634920634922,133.5,136.408566737449,126,0.4499154213310636,1.0,0.3850592050682554,3,6.75,8
rbio3.3,1,antireflect,2.8185123631429838e-27,327.47267507481274,1160639.4425693718,0.5952380952380952,220.41695702375358,36,raw,2.9309887850104126e-14,,"[2, 8, 13, 16, 21, 23, 27, 30, 32]","[274.99999999999994, 310.9999999999999, 265.0, 113.0, 414.0, 272.0, 0.9999999999999964, 85.00000000000001, 814.9999999999998]",9,3.925435348501218,107412.5968911653,0.7711021488635015,2.475173283969643e-06,1.0,12,345.5833333333333,94.99999999999997,782.0,"[2, 5, 8, 11, 13, 16, 20, 23, 25, 29, 31, 34]","[479.0, 254.99999999999994, 716.9999999999998, 110.0, 496.0, 283.0, 416.0, 782.0, 249.00000000000006, 94.99999999999997, 135.0, 129.9999999999999]","[0, 4, 7, 10, 12, 14, 14, 21, 24, 27, 30, 32]","[7, 7, 32, 12, 21, 17, 21, 32, 32, 32, 32, 35]",0.05,20,1966268.9999999995,843.9999999999998,-843.9999999999998,DWT,uc1.l0082986993,0.0,-6.5,19550830.0,71.99999999999997,0.0,81.21969696969694,2.2737367544323206e-13,0.0,81.21969696969694,1239.0,136.93181818181813,0.0,2.2737367544323206e-13,0.0,-6.5,0.0,-6.5,0.0,0.8818897000460184,0.6448208046296298,0.014270655158541416,0.2995391705069123,0.03866591364578437,,0.8658297371518242,0.4329148685759121,0.8658297371518242,145,0.9939615835827752,0.6368363782339842,199,0,0,0.8658297371518242,0.8658297371518242,108,0,0,0.37583724879737723,0.592384304559247,193,42.94473192371795,0.9026196555017734,161.25,151.73192262639324,0.768486698499186,9,rbio,165.70634920634922,133.5,136.408566737449,126,0.4499154213310636,1.0,0.3850592050682554,3,7.5,9
db5,1,antisymmetric,1.6364481222751433e-27,329.8338520952248,656867.7881907356,0.7045454545454546,193.63726432958458,36,raw,2.7434844519626097e-14,,"[2, 8, 13, 16, 21, 23, 27, 30, 32]","[274.99999999999994, 310.99999999999994, 265.0, 113.0, 413.99999999999994, 272.0, 1.000000000000032, 85.00000000000011, 814.9999999999999]",9,4.067444942855386,57783.73577404616,0.6110776201486646,2.475173283969643e-06,0.9999999999999999,12,345.5833333333333,95.0000000000001,782.0,"[2, 5, 8, 11, 13, 16, 20, 23, 25, 29, 31, 34]","[478.99999999999994, 255.0, 717.0, 109.99999999999997, 496.0, 283.0, 416.0, 782.0, 249.00000000000006, 95.0000000000001, 134.9999999999999, 129.99999999999997]","[0, 4, 7, 10, 12, 14, 14, 21, 24, 27, 30, 32]","[7, 7, 32, 12, 21, 17, 21, 32, 32, 32, 32, 35]",0.05,20,1966268.9999999995,843.9999999999999,-843.9999999999999,DWT,uc1.l0082986993,0.0,-6.5,19550830.0,72.0000000000001,0.0,81.21969696969694,1.1368683772161603e-13,0.0,81.21969696969694,1239.0,136.9318181818182,0.0,1.1368683772161603e-13,0.0,-6.5,0.0,-6.5,0.0,0.904657840300788,0.6952397325451389,0.004125702364470458,0.7395894428152493,0.01132449855640658,,0.8658297371518242,0.4329148685759121,0.8658297371518242,109,1.19284299818394,0.7642607393608241,25,0,0,0.8658297371518242,0.8658297371518242,248,0,0,0.4709874433164107,0.7423574165623701,26,104.9920631920972,0.7619227592015936,102.0,43.63567730936336,0.7653151210973954,10,db,183.49382716049382,197.0,89.58056757143119,81,0.4982108588715422,0.6567077839315655,0.45424006361045083,2,8.0,10
