wavelet,error,signal_length,signal_type,decomposition_levels,wavelet_type,htid
bior1.1,Max level too low for wavelet bior1.1 and signal length 459.,459,raw,0,SWT,mdp.39015056038212
bior1.1,Max level too low for wavelet bior1.1 and signal length 459.,459,raw,0,SWT,mdp.39015056038212
bior1.3,Max level too low for wavelet bior1.3 and signal length 459.,459,raw,0,SWT,mdp.39015056038212
bior1.3,Max level too low for wavelet bior1.3 and signal length 459.,459,raw,0,SWT,mdp.39015056038212
bior1.5,Max level too low for wavelet bior1.5 and signal length 459.,459,raw,0,SWT,mdp.39015056038212
bior1.5,Max level too low for wavelet bior1.5 and signal length 459.,459,raw,0,SWT,mdp.39015056038212
bior2.2,Max level too low for wavelet bior2.2 and signal length 459.,459,raw,0,SWT,mdp.39015056038212
bior2.2,Max level too low for wavelet bior2.2 and signal length 459.,459,raw,0,SWT,mdp.39015056038212
bior2.4,Max level too low for wavelet bior2.4 and signal length 459.,459,raw,0,SWT,mdp.39015056038212
bior2.4,Max level too low for wavelet bior2.4 and signal length 459.,459,raw,0,SWT,mdp.39015056038212
bior2.6,Max level too low for wavelet bior2.6 and signal length 459.,459,raw,0,SWT,mdp.39015056038212
bior2.6,Max level too low for wavelet bior2.6 and signal length 459.,459,raw,0,SWT,mdp.39015056038212
bior2.8,Max level too low for wavelet bior2.8 and signal length 459.,459,raw,0,SWT,mdp.39015056038212
bior2.8,Max level too low for wavelet bior2.8 and signal length 459.,459,raw,0,SWT,mdp.39015056038212
bior3.1,Max level too low for wavelet bior3.1 and signal length 459.,459,raw,0,SWT,mdp.39015056038212
bior3.1,Max level too low for wavelet bior3.1 and signal length 459.,459,raw,0,SWT,mdp.39015056038212
bior3.3,Max level too low for wavelet bior3.3 and signal length 459.,459,raw,0,SWT,mdp.39015056038212
bior3.3,Max level too low for wavelet bior3.3 and signal length 459.,459,raw,0,SWT,mdp.39015056038212
bior3.5,Max level too low for wavelet bior3.5 and signal length 459.,459,raw,0,SWT,mdp.39015056038212
bior3.5,Max level too low for wavelet bior3.5 and signal length 459.,459,raw,0,SWT,mdp.39015056038212
bior3.7,Max level too low for wavelet bior3.7 and signal length 459.,459,raw,0,SWT,mdp.39015056038212
bior3.7,Max level too low for wavelet bior3.7 and signal length 459.,459,raw,0,SWT,mdp.39015056038212
bior3.9,Max level too low for wavelet bior3.9 and signal length 459.,459,raw,0,SWT,mdp.39015056038212
bior3.9,Max level too low for wavelet bior3.9 and signal length 459.,459,raw,0,SWT,mdp.39015056038212
bior4.4,Max level too low for wavelet bior4.4 and signal length 459.,459,raw,0,SWT,mdp.39015056038212
bior4.4,Max level too low for wavelet bior4.4 and signal length 459.,459,raw,0,SWT,mdp.39015056038212
bior5.5,Max level too low for wavelet bior5.5 and signal length 459.,459,raw,0,SWT,mdp.39015056038212
bior5.5,Max level too low for wavelet bior5.5 and signal length 459.,459,raw,0,SWT,mdp.39015056038212
bior6.8,Max level too low for wavelet bior6.8 and signal length 459.,459,raw,0,SWT,mdp.39015056038212
bior6.8,Max level too low for wavelet bior6.8 and signal length 459.,459,raw,0,SWT,mdp.39015056038212
coif1,Max level too low for wavelet coif1 and signal length 459.,459,raw,0,SWT,mdp.39015056038212
coif1,Max level too low for wavelet coif1 and signal length 459.,459,raw,0,SWT,mdp.39015056038212
coif2,Max level too low for wavelet coif2 and signal length 459.,459,raw,0,SWT,mdp.39015056038212
coif2,Max level too low for wavelet coif2 and signal length 459.,459,raw,0,SWT,mdp.39015056038212
coif3,Max level too low for wavelet coif3 and signal length 459.,459,raw,0,SWT,mdp.39015056038212
coif3,Max level too low for wavelet coif3 and signal length 459.,459,raw,0,SWT,mdp.39015056038212
coif4,Max level too low for wavelet coif4 and signal length 459.,459,raw,0,SWT,mdp.39015056038212
coif4,Max level too low for wavelet coif4 and signal length 459.,459,raw,0,SWT,mdp.39015056038212
coif5,Max level too low for wavelet coif5 and signal length 459.,459,raw,0,SWT,mdp.39015056038212
coif5,Max level too low for wavelet coif5 and signal length 459.,459,raw,0,SWT,mdp.39015056038212
coif6,Max level too low for wavelet coif6 and signal length 459.,459,raw,0,SWT,mdp.39015056038212
coif6,Max level too low for wavelet coif6 and signal length 459.,459,raw,0,SWT,mdp.39015056038212
coif7,Max level too low for wavelet coif7 and signal length 459.,459,raw,0,SWT,mdp.39015056038212
coif7,Max level too low for wavelet coif7 and signal length 459.,459,raw,0,SWT,mdp.39015056038212
coif8,Max level too low for wavelet coif8 and signal length 459.,459,raw,0,SWT,mdp.39015056038212
coif8,Max level too low for wavelet coif8 and signal length 459.,459,raw,0,SWT,mdp.39015056038212
coif9,Max level too low for wavelet coif9 and signal length 459.,459,raw,0,SWT,mdp.39015056038212
coif9,Max level too low for wavelet coif9 and signal length 459.,459,raw,0,SWT,mdp.39015056038212
coif10,Max level too low for wavelet coif10 and signal length 459.,459,raw,0,SWT,mdp.39015056038212
coif10,Max level too low for wavelet coif10 and signal length 459.,459,raw,0,SWT,mdp.39015056038212
coif11,Max level too low for wavelet coif11 and signal length 459.,459,raw,0,SWT,mdp.39015056038212
coif11,Max level too low for wavelet coif11 and signal length 459.,459,raw,0,SWT,mdp.39015056038212
coif12,Max level too low for wavelet coif12 and signal length 459.,459,raw,0,SWT,mdp.39015056038212
coif12,Max level too low for wavelet coif12 and signal length 459.,459,raw,0,SWT,mdp.39015056038212
coif13,Max level too low for wavelet coif13 and signal length 459.,459,raw,0,SWT,mdp.39015056038212
coif13,Max level too low for wavelet coif13 and signal length 459.,459,raw,0,SWT,mdp.39015056038212
coif14,Max level too low for wavelet coif14 and signal length 459.,459,raw,0,SWT,mdp.39015056038212
coif14,Max level too low for wavelet coif14 and signal length 459.,459,raw,0,SWT,mdp.39015056038212
coif15,Max level too low for wavelet coif15 and signal length 459.,459,raw,0,SWT,mdp.39015056038212
coif15,Max level too low for wavelet coif15 and signal length 459.,459,raw,0,SWT,mdp.39015056038212
coif16,Max level too low for wavelet coif16 and signal length 459.,459,raw,0,SWT,mdp.39015056038212
coif16,Max level too low for wavelet coif16 and signal length 459.,459,raw,0,SWT,mdp.39015056038212
coif17,Max level too low for wavelet coif17 and signal length 459.,459,raw,0,SWT,mdp.39015056038212
coif17,Max level too low for wavelet coif17 and signal length 459.,459,raw,0,SWT,mdp.39015056038212
db1,Max level too low for wavelet db1 and signal length 459.,459,raw,0,SWT,mdp.39015056038212
db1,Max level too low for wavelet db1 and signal length 459.,459,raw,0,SWT,mdp.39015056038212
db2,Max level too low for wavelet db2 and signal length 459.,459,raw,0,SWT,mdp.39015056038212
db2,Max level too low for wavelet db2 and signal length 459.,459,raw,0,SWT,mdp.39015056038212
db3,Max level too low for wavelet db3 and signal length 459.,459,raw,0,SWT,mdp.39015056038212
db3,Max level too low for wavelet db3 and signal length 459.,459,raw,0,SWT,mdp.39015056038212
db4,Max level too low for wavelet db4 and signal length 459.,459,raw,0,SWT,mdp.39015056038212
db4,Max level too low for wavelet db4 and signal length 459.,459,raw,0,SWT,mdp.39015056038212
db5,Max level too low for wavelet db5 and signal length 459.,459,raw,0,SWT,mdp.39015056038212
db5,Max level too low for wavelet db5 and signal length 459.,459,raw,0,SWT,mdp.39015056038212
db6,Max level too low for wavelet db6 and signal length 459.,459,raw,0,SWT,mdp.39015056038212
db6,Max level too low for wavelet db6 and signal length 459.,459,raw,0,SWT,mdp.39015056038212
db7,Max level too low for wavelet db7 and signal length 459.,459,raw,0,SWT,mdp.39015056038212
db7,Max level too low for wavelet db7 and signal length 459.,459,raw,0,SWT,mdp.39015056038212
db8,Max level too low for wavelet db8 and signal length 459.,459,raw,0,SWT,mdp.39015056038212
db8,Max level too low for wavelet db8 and signal length 459.,459,raw,0,SWT,mdp.39015056038212
db9,Max level too low for wavelet db9 and signal length 459.,459,raw,0,SWT,mdp.39015056038212
db9,Max level too low for wavelet db9 and signal length 459.,459,raw,0,SWT,mdp.39015056038212
db10,Max level too low for wavelet db10 and signal length 459.,459,raw,0,SWT,mdp.39015056038212
db10,Max level too low for wavelet db10 and signal length 459.,459,raw,0,SWT,mdp.39015056038212
db11,Max level too low for wavelet db11 and signal length 459.,459,raw,0,SWT,mdp.39015056038212
db11,Max level too low for wavelet db11 and signal length 459.,459,raw,0,SWT,mdp.39015056038212
db12,Max level too low for wavelet db12 and signal length 459.,459,raw,0,SWT,mdp.39015056038212
db12,Max level too low for wavelet db12 and signal length 459.,459,raw,0,SWT,mdp.39015056038212
db13,Max level too low for wavelet db13 and signal length 459.,459,raw,0,SWT,mdp.39015056038212
db13,Max level too low for wavelet db13 and signal length 459.,459,raw,0,SWT,mdp.39015056038212
db14,Max level too low for wavelet db14 and signal length 459.,459,raw,0,SWT,mdp.39015056038212
db14,Max level too low for wavelet db14 and signal length 459.,459,raw,0,SWT,mdp.39015056038212
db15,Max level too low for wavelet db15 and signal length 459.,459,raw,0,SWT,mdp.39015056038212
db15,Max level too low for wavelet db15 and signal length 459.,459,raw,0,SWT,mdp.39015056038212
db16,Max level too low for wavelet db16 and signal length 459.,459,raw,0,SWT,mdp.39015056038212
db16,Max level too low for wavelet db16 and signal length 459.,459,raw,0,SWT,mdp.39015056038212
db17,Max level too low for wavelet db17 and signal length 459.,459,raw,0,SWT,mdp.39015056038212
db17,Max level too low for wavelet db17 and signal length 459.,459,raw,0,SWT,mdp.39015056038212
db18,Max level too low for wavelet db18 and signal length 459.,459,raw,0,SWT,mdp.39015056038212
db18,Max level too low for wavelet db18 and signal length 459.,459,raw,0,SWT,mdp.39015056038212
db19,Max level too low for wavelet db19 and signal length 459.,459,raw,0,SWT,mdp.39015056038212
db19,Max level too low for wavelet db19 and signal length 459.,459,raw,0,SWT,mdp.39015056038212
db20,Max level too low for wavelet db20 and signal length 459.,459,raw,0,SWT,mdp.39015056038212
db20,Max level too low for wavelet db20 and signal length 459.,459,raw,0,SWT,mdp.39015056038212
db21,Max level too low for wavelet db21 and signal length 459.,459,raw,0,SWT,mdp.39015056038212
db21,Max level too low for wavelet db21 and signal length 459.,459,raw,0,SWT,mdp.39015056038212
db22,Max level too low for wavelet db22 and signal length 459.,459,raw,0,SWT,mdp.39015056038212
db22,Max level too low for wavelet db22 and signal length 459.,459,raw,0,SWT,mdp.39015056038212
db23,Max level too low for wavelet db23 and signal length 459.,459,raw,0,SWT,mdp.39015056038212
db23,Max level too low for wavelet db23 and signal length 459.,459,raw,0,SWT,mdp.39015056038212
db24,Max level too low for wavelet db24 and signal length 459.,459,raw,0,SWT,mdp.39015056038212
db24,Max level too low for wavelet db24 and signal length 459.,459,raw,0,SWT,mdp.39015056038212
db25,Max level too low for wavelet db25 and signal length 459.,459,raw,0,SWT,mdp.39015056038212
db25,Max level too low for wavelet db25 and signal length 459.,459,raw,0,SWT,mdp.39015056038212
db26,Max level too low for wavelet db26 and signal length 459.,459,raw,0,SWT,mdp.39015056038212
db26,Max level too low for wavelet db26 and signal length 459.,459,raw,0,SWT,mdp.39015056038212
