signal_type,wavelet,wavelet_energy_entropy,wavelet_sparsity,wavelet_adaptive_threshold,wavelet_psnr,signal_length,scales_used,emd_value,kl_divergence,is_complex,wavelet_entropy,avg_variance_across_levels,variance_ratio_across_levels,smoothness,correlation,relative_num_peaks,avg_prominence,prominence_min,prominence_max,relative_peaks,relative_prominences,relative_left_bases,relative_right_bases,prominence_threshold,distance_factor,max_autocorrelation,upper_envelope,lower_envelope,fft_frequency_max,fft_amplitude_max,fft_spectral_centroid,fft_spectral_bandwidth,fft_spectral_magnitude,fft_variance_magnitude,fft_num_peaks,fft_peak_amplitude,fft_dominant_frequency,fft_positive_frequencies,fft_positive_amplitudes,fft_snr_threshold,fft_stationarity_threshold,fft_dynamic_cutoff,fft_dynamic_cutoff_percentile,stft_frequency_max,stft_amplitude_max,stft_spectral_centroid,stft_spectral_bandwidth,stft_spectral_magnitude,stft_variance_magnitude,stft_peak_freq_over_time,stft_num_peaks,stft_peak_amplitude,stft_dominant_frequency,stft_positive_frequencies,stft_positive_amplitudes,stft_snr_threshold,stft_stationarity_threshold,stft_window,stft_nperseg,stft_noverlap,stft_dynamic_cutoff,stft_dynamic_cutoff_percentile,wavelet_type,htid,fft_frequency_max_diff,fft_snr_threshold_diff,lower_envelope_diff,relative_peaks_array_alignment_score,relative_peaks_global_alignment_score,stft_dynamic_cutoff_percentile_diff,prominence_threshold_diff,prominence_min_diff,stft_window_diff,fft_peak_amplitude_diff,avg_prominence_diff,stft_spectral_bandwidth_diff,stft_num_peaks_diff,stft_variance_magnitude_diff,stft_noverlap_diff,fft_spectral_centroid_diff,stft_dominant_frequency_diff,stft_nperseg_diff,fft_variance_magnitude_diff,stft_snr_threshold_diff,stft_dynamic_cutoff_diff,distance_factor_diff,fft_stationarity_threshold_diff,fft_amplitude_max_diff,fft_spectral_magnitude_diff,relative_left_bases_array_alignment_score,relative_left_bases_global_alignment_score,relative_prominences_avg_diff,relative_prominences_total_diff,relative_prominences_wasserstein,max_autocorrelation_diff,stft_spectral_centroid_diff,stft_amplitude_max_diff,fft_dynamic_cutoff_diff,fft_num_peaks_diff,stft_peak_amplitude_diff,prominence_max_diff,upper_envelope_diff,relative_right_bases_array_alignment_score,relative_right_bases_global_alignment_score,stft_stationarity_threshold_diff,fft_dominant_frequency_diff,fft_dynamic_cutoff_percentile_diff,stft_frequency_max_diff,stft_spectral_magnitude_diff,relative_num_peaks_diff,fft_spectral_bandwidth_diff,emd_value_normalized,smoothness_normalized,wavelet_psnr_normalized,wavelet_entropy_normalized,wavelet_energy_entropy_normalized,wavelet_sparsity_normalized,correlation_normalized,avg_variance_across_levels_normalized,kl_divergence_normalized,prominence_min_diff_normalized,avg_prominence_diff_normalized,relative_prominences_avg_diff_normalized,relative_prominences_wasserstein_normalized,relative_prominences_total_diff_normalized,prominence_max_diff_normalized,relative_num_peaks_diff_normalized,max_autocorrelation_diff_normalized,relative_right_bases_global_alignment_score_normalized,relative_left_bases_global_alignment_score_normalized,upper_envelope_diff_normalized,lower_envelope_diff_normalized,relative_peaks_global_alignment_score_normalized,reconstruction_signal_weighted_score,reconstruction_signal_normalized_weighted_score,reconstruction_signal_normalized_weighted_rank,wavelet_signal_weighted_score,wavelet_signal_normalized_weighted_score,wavelet_signal_normalized_weighted_rank,reconstruction_signal_num_missing_metrics,reconstruction_signal_missing_metrics_count,reconstruction_signal_dynamically_weighted_score,reconstruction_signal_normalized_dynamically_weighted_score,reconstruction_signal_normalized_dynamically_weighted_rank,wavelet_signal_num_missing_metrics,wavelet_signal_missing_metrics_count,wavelet_signal_dynamically_weighted_score,wavelet_signal_normalized_dynamically_weighted_score,wavelet_signal_normalized_dynamically_weighted_rank,rank_variability,normalized_rank_stability,average_rank,harmonic_average_rank,stability_score_weighted,stability_rank,wavelet_family,normalized_family_mean_rank,normalized_family_std_dev,final_family_stability_score,final_family_stability_rank,family_informed_rank,across_emd_value_normalized,across_smoothness_normalized,across_wavelet_psnr_normalized,across_wavelet_entropy_normalized,across_wavelet_energy_entropy_normalized,across_wavelet_sparsity_normalized,across_correlation_normalized,across_avg_variance_across_levels_normalized,across_kl_divergence_normalized,across_prominence_min_diff_normalized,across_avg_prominence_diff_normalized,across_relative_prominences_avg_diff_normalized,across_relative_prominences_wasserstein_normalized,across_relative_prominences_total_diff_normalized,across_prominence_max_diff_normalized,across_relative_num_peaks_diff_normalized,across_max_autocorrelation_diff_normalized,across_relative_right_bases_global_alignment_score_normalized,across_relative_left_bases_global_alignment_score_normalized,across_upper_envelope_diff_normalized,across_lower_envelope_diff_normalized,across_relative_peaks_global_alignment_score_normalized,across_reconstruction_signal_weighted_score,across_reconstruction_signal_normalized_weighted_score,across_reconstruction_signal_normalized_weighted_rank,across_wavelet_signal_weighted_score,across_wavelet_signal_normalized_weighted_score,across_wavelet_signal_normalized_weighted_rank,across_rank_variability,across_normalized_rank_stability,across_average_rank,across_harmonic_average_rank,across_stability_score_weighted,across_stability_rank,family_mean_stability_rank,family_median_stability_rank,family_rank_std_dev,family_wavelet_count,across_normalized_family_mean_rank,across_normalized_family_std_dev,across_final_family_stability_score,across_final_family_stability_rank,across_family_informed_rank
smoothed,fbsp,17.719396742191474,0.6994462025316456,1096.8275298434212,-38.77312073770962,160,79,59291.021267184195,-311860.66315666726,True,12.829964677099472,675775.1420616508,0.023295197504705694,6.181220415366714e-06,0.3354951280511299,5,32171.828571033933,76.37795808560622,102543.3897003064,"[33, 59, 74, 139, 144]","[102543.3897003064, 77.77881675375829, 4353.845901292538, 53807.75047873131, 76.37795808560622]","[0, 58, 70, 104, 143]","[104, 104, 104, 159, 159]",0.05,30,669798703340.4739,103814.96454795483,-103814.96454795483,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CWT,mdp.39015067403983,,,103074.29788128816,0.0,-14.0,,0.0,73.37795808560622,,,31898.47936468473,,,,,,,,,,,0.0,,,,0.0,-14.0,31898.47936468473,155118.80952183632,31906.813617688975,,,,,,,101802.72303363973,103074.29788128816,0.0,-9.5,,,,,,16.0,,0.5270943150647163,0.05103367301533938,0.2881206335344363,0.6077973045745642,0.5188973912451449,0.4650398873768184,0.5183883372131783,0.2396625625167363,0.28923516001443716,0.04521084853897649,0.4076739400857393,0.4076739400857393,0.40782720559490043,0.8525869858760751,0.6413721314020107,0.5714285714285714,,0.34883720930232565,0.2926829268292683,0.4380894865463488,0.4380894865463488,0.29268292682926833,1.653991161099631,0.5795538093129464,3,1.514588503303001,0.6422181365180605,4,0,0,0.42867963825546435,0.569643949048303,5,0,0.0,0.3894743627283745,0.6578533039160273,5,0.9574271077563381,0.9316123494459758,4.25,4.067796610169491,0.8140204604372736,1,fbsp,0.07142857142857142,,,4,1.75,0.5266641868790253,0.06632590841049266,0.26373815749265433,0.5870918796748262,0.5188569529620403,0.4626517273576098,0.5216153212473785,0.2396625625167363,0.2752308873321544,0.002378228018552783,0.4510847230483652,0.4510847230483652,0.4512345107348854,0.856428868179367,0.6413721314020109,0.625,,0.4814814814814814,0.36956521739130427,0.4380894865463488,0.4380894865463488,0.3695652173913043,1.7398886632298185,0.6805319355124342,5,1.4887785387824328,0.6550808963467528,8,2.1213203435596424,0.9242385591585842,6.5,6.153846153846153,0.8460478510078635,1,2.0,2.0,1.4142135623730951,2,0.07272727272727272,0.15384615384615385,0.9029370629370629,1,1.0
raw,gaus1,21.53617774140127,0.6230221518987342,1349.5099471158087,-41.378382901968735,160,79,85960.39795863657,,False,12.617417440676718,2233117.31609976,0.028060770845695606,8.941491490197185e-07,0.14801141696473652,1,29079.16106707239,29079.16106707239,29079.16106707239,[96],[29079.16106707239],[4],[112],0.05,10,1647900163457.9902,195848.36574944048,-195848.36574944048,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CWT,mdp.39015067403983,,,194981.36574944048,0.0,-22.5,,0.0,29047.16106707239,,,28616.682806202825,,,,,,,,,,,20.0,,,,0.0,-22.5,28616.682806202825,18442.16106707239,28616.682806202825,,,,,,,28216.16106707239,194981.36574944048,0.0,-22.5,,,,,,22.0,,0.8731368279868441,0.256890257912166,0.013532029515093469,0.24706452374288138,0.9733430351645613,0.0,0.25702664418225635,1.0,,1.0,0.7174954947392229,0.7174954947392229,0.7172056210065657,0.0,0.0,1.0,,0.0,0.0,1.0,1.0,0.0,1.7456589831455034,0.6887371498940424,4,1.4601417806053831,0.6545451240613468,7,0,0,0.512683050873751,0.7410105705326624,3,1,0.11111111111111112,0.44706860925741976,0.7809763023285536,4,1.7320508075688772,0.8762820851736516,4.5,4.097560975609757,0.7774267568725401,2,gaus,0.49107142857142855,1.0,0.35624999999999996,1,1.75,0.8731460452180471,0.008889450837972369,0.09859963064142613,0.25592893430109853,0.9736120967460927,0.011671335200747368,0.1910578687158273,0.995900055611352,,1.0,0.38914877956024274,0.38914877956024274,0.3891404296850628,0.0,0.007886864134113492,1.0,,0.0,0.0,0.9971259998778004,0.9971259998778004,0.0,1.4530252286598413,0.5683295098737398,9,1.4179926465364279,0.6239342317937154,9,0.0,1.0,9.0,9.0,0.8392857142857143,2,14.4375,14.5,7.384386681821765,16,0.525,0.8033153688645844,0.3915053893406246,4,2.5
raw,fbsp,17.72923179663909,0.7018196202531646,1104.2443153716508,-37.401051832593176,160,79,59231.21842200177,-306558.785729548,True,12.830524790789845,699605.7538941078,0.023585669707060872,7.586818105253564e-08,0.25471669211856246,17,10672.253024254678,107.67537214024196,101168.71448980927,"[10, 16, 21, 33, 50, 59, 64, 70, 75, 81, 106, 117, 123, 130, 136, 141, 147]","[352.7128430575103, 2886.291624644684, 860.5006957035439, 101168.71448980927, 2097.8225259909523, 1490.5354884454136, 1351.9054928370024, 1960.1486393878404, 7124.443188062702, 1923.7755338952884, 193.61082133477248, 592.0537852063026, 2632.653220502969, 1328.2678454949273, 54519.29118954657, 107.67537214024196, 837.8986562695427]","[0, 0, 0, 0, 49, 58, 63, 69, 69, 79, 104, 104, 104, 104, 104, 140, 146]","[11, 17, 22, 104, 104, 104, 104, 71, 104, 104, 107, 118, 124, 131, 159, 159, 159]",0.05,30,667664729841.7712,104086.66741902177,-104086.66741902177,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CWT,mdp.39015067403983,,,103219.66741902177,0.0,-1.0,,0.0,75.67537214024196,,,10209.774763385112,,,,,,,,,,,0.0,,,,0.0,-10.0,10209.774763385112,170791.30141232954,10209.774763385116,,,,,,,100305.71448980927,103219.66741902177,0.0,-1.0,,,,,,6.0,,0.5258527941833626,0.0,0.2894334735697519,0.5830558349292527,0.5151347847373077,0.47047709022201234,0.510121034094001,0.24764004494471237,0.2878753722593688,0.002418247654466235,0.07700092684667165,0.07700092684667165,0.07694732846225064,0.9709299100512632,0.6341467817043798,0.0,,0.8775510204081632,0.5555555555555556,0.4383581824712011,0.4383581824712011,1.0,1.3912025054056918,0.548888905421857,7,1.486956648838178,0.6665655603554486,6,0,0,0.42902225520598525,0.6200907667214504,7,0,0.0,0.38106560321552985,0.6656768101839732,9,1.2583057392117916,0.9101210186277292,7.25,7.098591549295775,0.6961319378852932,4,fbsp,0.2857142857142857,,,4,4.0,0.5258872433016597,0.0,0.3507088435286764,0.5879645746228757,0.5200287628197124,0.47665732959850626,0.37919274039155026,0.2512345872467666,0.3209713122164347,0.0024573322995346436,0.041763072976898144,0.041763072976898144,0.0417499746012779,0.9546341917885997,0.6284848211085686,0.0,,0.7962962962962963,0.5434782608695651,0.43897371538102115,0.43897371538102115,0.9347826086956521,1.3264030059130918,0.5188030843352397,12,1.493410535610301,0.6571190320095336,7,3.5355339059327378,0.8737309319309736,9.5,8.842105263157896,0.7672226088226297,3,2.0,2.0,1.4142135623730951,2,0.07272727272727272,0.15384615384615385,0.9029370629370629,1,2.5
smoothed,gaus6,19.85019688619778,0.6513449367088607,653.2985376607405,-33.84630540858986,160,79,30720.72860322531,,False,12.660211710319452,378553.17269689724,0.02411743497170108,2.0913159950524503e-06,0.5092836138588082,7,21441.170370119526,252.49484105890747,90686.34083780948,"[17, 32, 60, 75, 81, 140, 145]","[621.5817723327127, 90686.34083780948, 252.49484105890747, 6077.060836905389, 973.6909576706057, 50137.5718949942, 1339.451450065375]","[0, 0, 58, 70, 79, 103, 143]","[19, 103, 103, 103, 103, 159, 159]",0.05,30,215472992213.59546,63155.61713035167,-63155.61713035167,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CWT,mdp.39015067403983,,,62414.950463685,0.0,-8.5,,0.0,249.49484105890747,,,21167.82116377032,,,,,,,,,,,0.0,,,,0.0,-4.0,21167.82116377032,144347.85925750333,21167.821163770317,,,,,,,89945.6741711428,62414.950463685,0.0,-8.5,,,,,,14.0,,0.15561309057300032,0.005875003766788664,0.6292857751716127,0.333982867148784,0.7727940247325434,0.17972782731112144,0.826866299968681,0.09533307555355493,,0.16049002653259808,0.18914297357941925,0.18914297357941925,0.18912043110899948,0.7832891455612508,0.5392982531430973,0.2857142857142857,,0.3953488372093024,0.7804878048780488,0.19077379753669593,0.19077379753669593,0.5609756097560976,1.3000366402526524,0.4555291496261173,6,1.4201772204789107,0.6021857197993677,6,0,0,0.3712131613446592,0.4932805580120904,7,1,0.11111111111111112,0.3693791899727052,0.6239109522360016,7,0.5773502691896257,0.9587606950578839,6.5,6.461538461538462,0.7472374903860848,3,gaus,0.5714285714285714,1.0,0.3,1,2.5,0.15548610461544982,0.021894954129948248,0.5760318823547965,0.3226052958408811,0.7727337999866091,0.17880485527544346,0.8280263625854172,0.09533307555355493,,0.008442263088007617,0.24856959815298468,0.24856959815298468,0.24855932666648856,0.7889370702139522,0.5392982531430974,0.5,,0.5185185185185185,0.8043478260869563,0.19077379753669593,0.19077379753669593,0.608695652173913,1.4206951814066728,0.555684086004166,10,1.3873687123160088,0.6104593235006508,13,2.1213203435596424,0.9242385591585842,11.5,11.304347826086955,0.7567621367221493,4,14.4375,14.5,7.384386681821765,16,0.525,0.8033153688645844,0.3915053893406246,4,4.0
smoothed,morl,19.29755914387952,0.6430379746835443,468.97342493419876,-29.860010525554024,160,79,18829.23063201252,,False,12.59839994587271,229093.36476095233,0.036400249033110836,1.559232028120164e-06,0.5600958689175085,8,18318.50074578861,109.95470757039766,54669.04563279338,"[15, 32, 51, 65, 76, 85, 140, 145]","[10440.573284788832, 54669.04563279338, 109.95470757039766, 3309.7822429220405, 1211.6466674859803, 28243.027740797046, 46753.81265641827, 1810.1630335329537]","[0, 0, 49, 56, 56, 56, 104, 143]","[23, 104, 56, 69, 78, 104, 159, 159]",0.05,30,86493620861.30971,47359.61241800637,-47359.61241800637,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CWT,mdp.39015067403983,,,46618.94575133971,0.0,-8.0,,0.0,106.95470757039766,,,18045.151539439405,,,,,,,,,,,0.0,,,,0.0,-8.0,18045.151539439405,140807.67263297553,18045.151539439405,,,,,,,53928.378966126715,46618.94575133971,0.0,1.0,,,,,,13.0,,0.0009955555220041157,0.0,0.9053230868078608,0.2342794343939859,0.7069441782758658,0.13045518535898637,0.9170590469200923,0.022756147787701048,,0.06718886685815888,0.12554948301172864,0.12554948301172864,0.12552517259167872,0.7605123912943983,0.22923585493535686,0.14285714285714288,,0.8372093023255816,0.5853658536585367,0.09469257545239687,0.09469257545239687,0.5853658536585367,0.9823685984108012,0.3442191692124194,8,1.4422124771029554,0.6115291430565296,5,0,0,0.3144787129256368,0.41788991110380513,8,1,0.11111111111111112,0.35917102382775645,0.606668544344672,8,1.5,0.8928571428571429,7.25,6.9565217391304355,0.6875,5,morl,0.35714285714285715,,,6,5.25,0.0009947431123874806,0.016114623838913582,0.8287092802804414,0.22629839334972993,0.7068890852858013,0.12978524743230627,0.9176147833194593,0.022756147787701048,,0.003534338568300257,0.1896367892667136,0.1896367892667136,0.18962571221319607,0.7667539243857052,0.22923585493535692,0.4375,,0.8703703703703702,0.6304347826086956,0.09469257545239682,0.09469257545239682,0.6304347826086956,1.1587694804556123,0.453235689163769,14,1.3970145889872074,0.6147036280571813,12,1.4142135623730951,0.9494923727723894,13.0,12.923076923076923,0.7426033292433376,5,6.0,6.0,1.4142135623730951,2,0.21818181818181817,0.15384615384615385,0.8011188811188811,2,4.25
raw,gaus6,19.859532573299724,0.6561708860759494,663.1359907476949,-32.499834235131445,160,79,30711.42632261112,,False,12.674517319984089,382816.1454110578,0.023986525660071683,8.13341144624981e-07,0.39197764637002097,8,19169.509442030598,687.7577769175417,89097.51188564273,"[17, 22, 32, 61, 75, 81, 140, 145]","[1334.6164012087029, 706.065644284965, 89097.51188564273, 687.7577769175417, 7241.04233529062, 2105.3180023946807, 49889.264178563884, 2294.4993119416467]","[0, 19, 0, 59, 70, 78, 103, 142]","[19, 23, 103, 103, 103, 103, 159, 159]",0.05,30,216055205563.08734,63098.69864499433,-63098.69864499433,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CWT,mdp.39015067403983,,,62231.69864499433,0.0,-14.5,,0.0,655.7577769175417,,,18707.031181161034,,,,,,,,,,,0.0,,,,0.0,-1.0,18707.031181161034,142719.07553624478,18707.03118116103,,,,,,,88234.51188564273,62231.69864499433,0.0,-5.5,,,,,,15.0,,0.1553038804040205,0.23152147884609336,0.6294235295089723,0.3370898715635118,0.7715401568967136,0.19792158715162983,0.8356904815734789,0.09221910031389068,,0.022392356954762695,0.3726750598903912,0.3726750598903912,0.37251238874836773,0.7920239859151822,0.5279606018865506,0.5625,,0.6938775510204082,0.9555555555555555,0.18748491292724379,0.18748491292724379,0.37209302325581395,1.541424634025697,0.6081579618158657,5,1.49834920732613,0.6716725600372062,5,0,0,0.45160295074765916,0.6527279566145888,6,1,0.11111111111111112,0.4007832052267333,0.7001211428672125,6,0.5773502691896257,0.9587606950578839,5.5,5.454545454545455,0.7829517761003706,1,gaus,0.49107142857142855,1.0,0.35624999999999996,1,1.0,0.15536525171696314,0.008011587597224867,0.6613800170197011,0.344894401602225,0.7738461120975861,0.20728291316526654,0.6212011319819215,0.09740315356995408,,0.02243065902640218,0.20212816079297685,0.20212816079297685,0.2021172544870809,0.7787309566263182,0.5245673556966145,0.5625,,0.6296296296296295,0.9347826086956521,0.1896591448754942,0.1896591448754942,0.34782608695652173,1.3671605258653279,0.5347447905638975,11,1.3755661983428396,0.6052660719650584,14,2.1213203435596424,0.9242385591585842,12.5,12.32,0.7389049938650064,6,14.4375,14.5,7.384386681821765,16,0.525,0.8033153688645844,0.3915053893406246,4,5.5
raw,morl,19.312247430664108,0.6511867088607595,482.07776811224835,-28.502668648810086,160,79,18764.14921599051,,False,12.623251499102707,233079.4319304817,0.03590978788412103,4.6548881761753775e-07,0.4361403876543541,8,19155.175316976958,1339.3983114958764,54277.410633464824,"[15, 32, 50, 64, 76, 84, 139, 145]","[11277.569942901262, 54277.410633464824, 1339.3983114958764, 4171.397184822079, 2945.3025941865044, 29428.71114462614, 46702.75410630577, 3098.858618013197]","[0, 0, 49, 56, 56, 56, 103, 143]","[24, 103, 56, 68, 78, 103, 159, 159]",0.05,30,86525320280.30296,47534.15126018939,-47534.15126018939,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CWT,mdp.39015067403983,,,46667.15126018939,0.0,-14.5,,0.0,1307.3983114958764,,,18692.697056107394,,,,,,,,,,,0.0,,,,0.0,-14.5,18692.697056107394,142604.40253581567,18692.69705610739,,,,,,,53414.410633464824,46667.15126018939,0.0,-10.0,,,,,,15.0,,7.657232789828883e-05,0.12231708879131575,0.9067008640218349,0.25626267171405903,0.7056683080891621,0.1681624940954177,0.9404401487860444,0.0187563956295259,,0.044830443604138376,0.3721762836042821,0.3721762836042821,0.37201379645841814,0.7912931682306215,0.22166025600696376,0.5625,,0.5102040816326531,0.35555555555555557,0.09221966782751234,0.09221966782751234,0.37209302325581395,1.2777181898011174,0.5041144879429446,8,1.512647722054871,0.6780822273868635,4,0,0,0.3465785189673128,0.5009300495435639,8,1,0.11111111111111112,0.3842425123763517,0.6712264970058089,7,1.8929694486000912,0.8647878965285649,6.75,6.222222222222223,0.6913225196928539,5,morl,0.35714285714285715,,,6,5.25,0.00014922166554137695,0.004232670231605569,0.9147464710990931,0.26501879123995953,0.7086391395776376,0.17787114845938368,0.6990656204282386,0.024691761870363066,,0.04486786656521811,0.20185763897864337,0.20185763897864337,0.2018467289749184,0.7780124047077676,0.22481125134086533,0.5625,,0.4629629629629629,0.3478260869565217,0.09498579163495807,0.09498579163495807,0.34782608695652173,1.1101792291107795,0.43423032491629415,15,1.3976428279405926,0.6149800609355327,11,2.8284271247461903,0.8989847455447789,13.0,12.692307692307692,0.7173495156295323,7,6.0,6.0,1.4142135623730951,2,0.21818181818181817,0.15384615384615385,0.8011188811188811,2,5.75
smoothed,gaus8,19.777875958694672,0.6331487341772152,600.3138996756949,-32.90959179814276,160,79,27513.713881095267,,False,12.6359529220647,364499.4594947242,0.02768194211969187,1.8159377314437343e-06,0.5042298310715687,7,21369.760401192492,1484.8940270760577,78871.00927427647,"[16, 32, 64, 75, 84, 139, 145]","[3476.3756290600213, 78871.00927427647, 1897.020943211577, 9749.43316913518, 2442.092090761201, 51667.497674826926, 1484.8940270760577]","[0, 0, 57, 69, 78, 103, 143]","[23, 103, 69, 103, 103, 159, 159]",0.05,30,173686050593.78937,57884.92127234429,-57884.92127234429,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CWT,mdp.39015067403983,,,57144.25460567763,0.0,0.5,,0.0,1481.8940270760577,,,21096.411194843287,,,,,,,,,,,0.0,,,,0.0,0.5,21096.411194843287,143847.9894750141,21096.411194843284,,,,,,,78130.3426076098,57144.25460567763,0.0,0.5,,,,,,14.0,,0.11391433130748192,0.002834415369959901,0.6941499948010406,0.29485302697807436,0.7641765858444454,0.07179727827311125,0.8178957366360694,0.08850866341224348,,0.9671700149900521,0.18768870216049727,0.18768870216049727,0.18766611926017507,0.7800730972539951,0.43758350695364867,0.2857142857142857,,0.8139534883720931,1.0,0.15871411481982414,0.15871411481982414,1.0,1.6270590727260417,0.5701168819721198,5,1.3723100986236865,0.5818890294895541,8,0,0,0.5137471788754077,0.6826845636475287,3,1,0.11111111111111112,0.3504606985222477,0.5919561092558223,9,2.753785273643051,0.8033010518826392,6.25,5.1985559566787005,0.6784362402270339,6,gaus,0.5714285714285714,1.0,0.3,1,4.75,0.11382137305836199,0.018903363671383344,0.6354069071921604,0.28480846580512176,0.764117032665644,0.07142857142857148,0.8191159054896118,0.08850866341224346,,0.05087608179639642,0.24722190833701413,0.24722190833701413,0.24721161842861528,0.7858048386521282,0.4375835069536488,0.5,,0.8518518518518519,0.9999999999999998,0.15871411481982411,0.15871411481982411,0.9999999999999999,1.4981244589857157,0.5859694124447552,8,1.3371455707017734,0.5883605225245768,15,4.949747468305833,0.8232233047033631,11.5,10.434782608695652,0.7062545094945387,8,14.4375,14.5,7.384386681821765,16,0.525,0.8033153688645844,0.3915053893406246,4,7.0
raw,gaus8,19.78709042360158,0.6356012658227848,609.1940537668745,-31.553169692297125,160,79,27439.66186428649,,False,12.652741759844478,368508.36363881326,0.02752871126379258,6.86787701527074e-07,0.3901763643050804,10,15462.996768693347,48.651066125474244,77384.20966049083,"[16, 21, 32, 50, 64, 69, 75, 85, 140, 145]","[4787.227353259812, 58.84185034844268, 77384.20966049083, 325.4850226591552, 2999.4939697029895, 48.651066125474244, 10821.415860317931, 4074.8163258545, 51590.477647218286, 2539.3489309560464]","[0, 20, 0, 49, 57, 68, 70, 78, 103, 142]","[23, 23, 103, 103, 70, 70, 103, 103, 159, 159]",0.05,30,173767051786.77618,58277.42426842437,-58277.42426842437,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CWT,mdp.39015067403983,,,57410.42426842437,0.0,-4.5,,0.0,16.651066125474244,,,15000.518507823781,,,,,,,,,,,0.0,,,,0.0,0.0,15000.518507823781,143992.96768693347,15029.476872972617,,,,,,,76521.20966049083,57410.42426842437,0.0,0.0,,,,,,13.0,,0.11279484801174182,0.19179142534398405,0.6950922178448261,0.30275788348688415,0.7628209391426383,0.07510628247520021,0.8314180181490805,0.08519952360093519,,0.0003858503088412953,0.243701675138587,0.243701675138587,0.24459385747616683,0.8001425744971734,0.4249227474882451,0.4375,,0.9183673469387755,1.0,0.15797554951167872,0.15797554951167872,0.8372093023255813,1.4297163933750292,0.5640842818885383,6,1.437910153718461,0.644579240493004,8,0,0,0.4555396773612762,0.6584179360843915,5,1,0.11111111111111112,0.37656708670135575,0.6578184306859379,10,2.217355782608345,0.841617444099404,7.25,6.76056338028169,0.6618801506211305,6,gaus,0.49107142857142855,1.0,0.35624999999999996,1,4.75,0.11285930781422444,0.006636765678062139,0.7213857969256969,0.31096660863552084,0.7652149016066447,0.08590102707749744,0.61802524428892,0.09045536701439504,,0.00042501458199903624,0.1321767316343032,0.1321767316343032,0.1327113954614854,0.7867132859059096,0.42373095034775154,0.4375,,0.8333333333333333,0.9782608695652173,0.16033312588902732,0.16033312588902732,0.7826086956521738,1.3012834898963588,0.508977954017838,13,1.3245237106765118,0.5828067486330792,16,2.1213203435596424,0.9242385591585842,14.5,14.344827586206897,0.7031907081507207,9,14.4375,14.5,7.384386681821765,16,0.525,0.8033153688645844,0.3915053893406246,4,7.75
smoothed,cgau8,13.364606287498315,0.7896360759493671,793.7718685810685,-31.878442001275662,160,79,26707.985728982523,-246519.6789049981,True,13.073113182172857,325308.76669729786,0.033073661131318856,6.333159380336062e-05,0.37733100978932765,7,16142.769372536319,1238.1952201634194,49620.52568114492,"[15, 32, 64, 76, 84, 139, 145]","[5507.390512504469, 49620.52568114492, 4171.403130235792, 1506.9285739608538, 13229.503613265484, 37725.4388764793, 1238.1952201634194]","[0, 0, 57, 57, 57, 104, 143]","[23, 104, 69, 78, 104, 159, 159]",0.05,30,138536018713.46594,42132.16045806498,-42132.16045806498,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CWT,mdp.39015067403983,,,41391.493791398316,0.0,0.5,,0.0,1235.1952201634194,,,15869.420166187112,,,,,,,,,,,0.0,,,,0.0,-8.5,15869.420166187112,107259.0522744209,15869.420166187114,,,,,,,48879.85901447826,41391.493791398316,0.0,0.5,,,,,,14.0,,0.10343796398164526,0.682059375337567,0.7655535979395741,1.0,0.0,1.0,0.5926478458837419,0.06947786095415655,0.8816284064038926,0.8056906883476006,0.08124048807846071,0.08124048807846071,0.08121494583310124,0.5446682104807243,0.18577461791859884,0.2857142857142857,,0.8139534883720931,0.5609756097560976,0.0628959292849268,0.0628959292849268,1.0,1.1569743931134528,0.40540054419676885,7,2.2124830058562246,0.9381404322033231,2,0,0,0.38052205676243966,0.5056505319363057,6,0,0.0,0.5660894500556196,0.9561702917293596,2,2.6299556396765835,0.8121460257373869,4.25,3.0545454545454547,0.7542872985829792,2,cgau,0.14285714285714285,,,2,2.0,0.1033535548303655,0.6871828689071113,0.7007679141394214,0.9659336677805261,0.0,0.9948646125116716,0.5953772625470009,0.06947786095415655,0.838941464031083,0.0423817785163543,0.14857514117923296,0.14857514117923296,0.14856350284397493,0.5565350809512637,0.1857746179185989,0.5,,0.8518518518518519,0.6086956521739129,0.06289592928492677,0.06289592928492677,0.9999999999999999,1.0887966406671172,0.4258668390178237,17,2.1400529895127236,0.9416496772891855,2,10.606601717798213,0.621192795792921,9.5,3.5789473684210527,0.6409535407536033,10,16.5,16.5,9.192388155425117,2,0.6,1.0,0.27999999999999997,6,9.0
