signal_type,wavelet,wavelet_energy_entropy,wavelet_sparsity,wavelet_adaptive_threshold,wavelet_psnr,signal_length,decomposition_levels,original_level,padded,emd_value,kl_divergence,change_point_indices,change_point_prominences,num_change_points,wavelet_entropy,avg_variance_across_levels,variance_ratio_across_levels,smoothness,correlation,relative_num_peaks,avg_prominence,prominence_min,prominence_max,relative_peaks,relative_prominences,relative_left_bases,relative_right_bases,prominence_threshold,distance_factor,max_autocorrelation,upper_envelope,lower_envelope,error,wavelet_type,htid
smoothed,bior3.1,,,,,68,2,,,,,,,,,,,,,,,,,,,,,,,,,,Stationarity changed after decomposition,SWT,inu.32000013032828
smoothed,bior3.3,,,,,68,2,,,,,,,,,,,,,,,,,,,,,,,,,,Stationarity changed after decomposition,SWT,inu.32000013032828
smoothed,bior3.5,,,,,68,2,,,,,,,,,,,,,,,,,,,,,,,,,,Stationarity changed after decomposition,SWT,inu.32000013032828
smoothed,bior3.7,,,,,68,2,,,,,,,,,,,,,,,,,,,,,,,,,,Stationarity changed after decomposition,SWT,inu.32000013032828
smoothed,bior3.9,,,,,68,2,,,,,,,,,,,,,,,,,,,,,,,,,,Stationarity changed after decomposition,SWT,inu.32000013032828
smoothed,coif4,,,,,68,2,,,,,,,,,,,,,,,,,,,,,,,,,,Stationarity changed after decomposition,SWT,inu.32000013032828
smoothed,db3,,,,,68,2,,,,,,,,,,,,,,,,,,,,,,,,,,Stationarity changed after decomposition,SWT,inu.32000013032828
smoothed,db6,,,,,68,2,,,,,,,,,,,,,,,,,,,,,,,,,,Stationarity changed after decomposition,SWT,inu.32000013032828
smoothed,db5,,,,,68,2,,,,,,,,,,,,,,,,,,,,,,,,,,Stationarity changed after decomposition,SWT,inu.32000013032828
smoothed,rbio2.4,,,,,68,2,,,,,,,,,,,,,,,,,,,,,,,,,,Stationarity changed after decomposition,SWT,inu.32000013032828
smoothed,rbio2.8,,,,,68,2,,,,,,,,,,,,,,,,,,,,,,,,,,Stationarity changed after decomposition,SWT,inu.32000013032828
smoothed,rbio2.6,,,,,68,2,,,,,,,,,,,,,,,,,,,,,,,,,,Stationarity changed after decomposition,SWT,inu.32000013032828
smoothed,rbio4.4,,,,,68,2,,,,,,,,,,,,,,,,,,,,,,,,,,Stationarity changed after decomposition,SWT,inu.32000013032828
smoothed,rbio6.8,,,,,68,2,,,,,,,,,,,,,,,,,,,,,,,,,,Stationarity changed after decomposition,SWT,inu.32000013032828
smoothed,sym4,,,,,68,2,,,,,,,,,,,,,,,,,,,,,,,,,,Stationarity changed after decomposition,SWT,inu.32000013032828
smoothed,sym3,,,,,68,2,,,,,,,,,,,,,,,,,,,,,,,,,,Stationarity changed after decomposition,SWT,inu.32000013032828
smoothed,sym10,,,,,68,2,,,,,,,,,,,,,,,,,,,,,,,,,,Stationarity changed after decomposition,SWT,inu.32000013032828
smoothed,sym6,,,,,68,2,,,,,,,,,,,,,,,,,,,,,,,,,,Stationarity changed after decomposition,SWT,inu.32000013032828
smoothed,sym8,,,,,68,2,,,,,,,,,,,,,,,,,,,,,,,,,,Stationarity changed after decomposition,SWT,inu.32000013032828
smoothed,sym18,,,,,68,2,,,,,,,,,,,,,,,,,,,,,,,,,,Stationarity changed after decomposition,SWT,inu.32000013032828
