signal_type,wavelet,wavelet_energy_entropy,wavelet_sparsity,wavelet_adaptive_threshold,wavelet_psnr,signal_length,decomposition_levels,original_level,padded,emd_value,kl_divergence,wavelet_entropy,avg_variance_across_levels,variance_ratio_across_levels,smoothness,correlation,relative_num_peaks,avg_prominence,prominence_min,prominence_max,relative_peaks,relative_prominences,relative_left_bases,relative_right_bases,prominence_threshold,distance_factor,max_autocorrelation,upper_envelope,lower_envelope,fft_frequency_max,fft_amplitude_max,fft_spectral_centroid,fft_spectral_bandwidth,fft_spectral_magnitude,fft_variance_magnitude,fft_num_peaks,fft_peak_amplitude,fft_dominant_frequency,fft_positive_frequencies,fft_positive_amplitudes,fft_snr_threshold,fft_stationarity_threshold,fft_dynamic_cutoff,fft_dynamic_cutoff_percentile,stft_frequency_max,stft_amplitude_max,stft_spectral_centroid,stft_spectral_bandwidth,stft_spectral_magnitude,stft_variance_magnitude,stft_peak_freq_over_time,stft_num_peaks,stft_peak_amplitude,stft_dominant_frequency,stft_positive_frequencies,stft_positive_amplitudes,stft_snr_threshold,stft_stationarity_threshold,stft_window,stft_nperseg,stft_noverlap,stft_dynamic_cutoff,stft_dynamic_cutoff_percentile,wavelet_type,htid,fft_frequency_max_diff,fft_snr_threshold_diff,lower_envelope_diff,relative_peaks_array_alignment_score,relative_peaks_global_alignment_score,stft_dynamic_cutoff_percentile_diff,prominence_threshold_diff,prominence_min_diff,stft_window_diff,fft_peak_amplitude_diff,avg_prominence_diff,stft_spectral_bandwidth_diff,stft_num_peaks_diff,stft_variance_magnitude_diff,stft_noverlap_diff,fft_spectral_centroid_diff,stft_dominant_frequency_diff,stft_nperseg_diff,fft_variance_magnitude_diff,stft_snr_threshold_diff,stft_dynamic_cutoff_diff,distance_factor_diff,fft_stationarity_threshold_diff,fft_amplitude_max_diff,fft_spectral_magnitude_diff,relative_left_bases_array_alignment_score,relative_left_bases_global_alignment_score,relative_prominences_avg_diff,relative_prominences_total_diff,relative_prominences_wasserstein,max_autocorrelation_diff,stft_spectral_centroid_diff,stft_amplitude_max_diff,fft_dynamic_cutoff_diff,fft_num_peaks_diff,stft_peak_amplitude_diff,prominence_max_diff,upper_envelope_diff,relative_right_bases_array_alignment_score,relative_right_bases_global_alignment_score,stft_stationarity_threshold_diff,fft_dominant_frequency_diff,fft_dynamic_cutoff_percentile_diff,stft_frequency_max_diff,stft_spectral_magnitude_diff,relative_num_peaks_diff,fft_spectral_bandwidth_diff,emd_value_normalized,smoothness_normalized,wavelet_psnr_normalized,wavelet_entropy_normalized,wavelet_energy_entropy_normalized,wavelet_sparsity_normalized,correlation_normalized,avg_variance_across_levels_normalized,kl_divergence_normalized,prominence_min_diff_normalized,avg_prominence_diff_normalized,relative_prominences_avg_diff_normalized,relative_prominences_wasserstein_normalized,relative_prominences_total_diff_normalized,prominence_max_diff_normalized,relative_num_peaks_diff_normalized,max_autocorrelation_diff_normalized,relative_right_bases_global_alignment_score_normalized,relative_right_bases_array_alignment_score_normalized,relative_left_bases_global_alignment_score_normalized,relative_left_bases_array_alignment_score_normalized,upper_envelope_diff_normalized,lower_envelope_diff_normalized,relative_peaks_array_alignment_score_normalized,relative_peaks_global_alignment_score_normalized,reconstruction_signal_weighted_score,reconstruction_signal_normalized_weighted_score,reconstruction_signal_normalized_weighted_rank,wavelet_signal_weighted_score,wavelet_signal_normalized_weighted_score,wavelet_signal_normalized_weighted_rank,reconstruction_signal_num_missing_metrics,reconstruction_signal_missing_metrics_count,reconstruction_signal_dynamically_weighted_score,reconstruction_signal_normalized_dynamically_weighted_score,reconstruction_signal_normalized_dynamically_weighted_rank,wavelet_signal_num_missing_metrics,wavelet_signal_missing_metrics_count,wavelet_signal_dynamically_weighted_score,wavelet_signal_normalized_dynamically_weighted_score,wavelet_signal_normalized_dynamically_weighted_rank,rank_variability,normalized_rank_stability,average_rank,harmonic_average_rank,stability_score_weighted,stability_rank,wavelet_family,family_mean_stability_rank,family_median_stability_rank,family_rank_std_dev,family_wavelet_count,normalized_family_mean_rank,normalized_family_std_dev,final_family_stability_score,final_family_stability_rank,family_informed_rank
smoothed,bior1.3,138407331.52342838,0.6157258064516129,372.8110461305889,0.689655481374647,992,5,True,False,1080.9096987563664,,11.906907178363197,1498659.221152302,0.4562622165692354,4.998950798711968e-06,0.9167896002393376,20,5373.201499293381,109.30544843850726,7886.922990494494,"[20, 90, 157, 215, 266, 307, 367, 435, 490, 530, 573, 616, 653, 698, 764, 820, 872, 914, 947, 980]","[6052.8010785157785, 6970.701845360197, 5243.276140877511, 6470.4275244553055, 6135.486912421255, 6043.897208960618, 6195.485283656679, 6614.664063171274, 6277.73779574493, 4086.5475198852, 4982.597208794852, 1125.4968542452198, 4270.7876741897235, 7886.922990494494, 5616.933879159878, 4940.55095497747, 7477.934374114214, 5503.786391040194, 109.30544843850726, 5458.688837364309]","[0, 55, 109, 162, 219, 272, 330, 162, 440, 499, 499, 608, 608, 162, 718, 770, 718, 884, 945, 934]","[55, 162, 162, 330, 330, 330, 386, 664, 664, 552, 664, 621, 664, 991, 825, 825, 991, 991, 949, 991]",0.05,30,3298034461.113448,5233.015389949749,-5233.015389949749,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SWT,mdp.39015056038386,,,3785.015389949749,0.0,10.0,,0.0,58.63878177184063,,,4342.6300707219525,,,,,,,,,,,0.0,,,,0.0,19.0,4342.6300707219525,85822.02998586762,4342.682584459546,2818623407.780114,,,,,,6438.922990494494,3785.015389949749,0.0,28.0,,,,,,1.0,,0.615271781860542,0.24927493123337316,0.571650135026849,0.7627058953267546,0.0965453026251052,0.5364705882352946,0.9960504756023141,0.06819799346749261,,0.01244499504948307,0.5225714341248308,0.5225714341248308,0.5212666385465207,0.5225714341248309,0.4053618292532992,0.3333333333333333,0.451354947621971,1.0000000000000002,0.0,1.0,0.0,0.4449985156301389,0.4449985156301389,0.0,0.5113636363636364,1.7769059229118664,0.5649389238579323,14,1.6722673168422546,0.9414740815218374,12,0,0,0.41830229461268836,0.7110480695585023,5,0,0,0.48702088792221565,0.9411035820556679,8,4.031128874149275,0.9619704823193465,9.75,8.337468982630273,0.9349946751219373,1,bior,24.2,18.0,26.09926107328383,15,0.34714986787466967,0.7126862853259952,0.5431892068899327,1,1.0
smoothed,bior1.5,144343838.6074294,0.6139112903225806,376.72159274333,0.3220670609102496,992,5,True,False,1128.7476216272382,,11.912835539523,1510905.2572982959,0.45233023441880893,4.755696361646569e-06,0.9238928128299443,20,5478.905706374406,41.72621648516542,8080.294338891319,"[20, 91, 157, 215, 266, 307, 367, 435, 490, 530, 573, 616, 653, 698, 764, 820, 872, 914, 947, 981]","[6340.75993514598, 7056.386378558729, 5509.525378275177, 6793.22340720592, 6398.960365979399, 6233.8038013910955, 6348.4778871221415, 6935.5908696477, 6570.343117255862, 2102.960963081871, 5278.358229427964, 1136.8202615940686, 4399.618443834479, 8080.294338891319, 5878.304237165235, 5222.703988224966, 7824.044979994196, 5741.691740797798, 41.72621648516542, 5684.519587409033]","[0, 55, 109, 162, 220, 273, 330, 162, 440, 499, 499, 608, 608, 162, 718, 770, 718, 884, 935, 935]","[55, 162, 162, 330, 330, 330, 386, 664, 664, 534, 664, 621, 664, 991, 770, 826, 991, 991, 948, 991]",0.05,30,3498552991.3974495,5296.6108828513725,-5296.6108828513725,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SWT,mdp.39015056038386,,,3848.6108828513725,0.0,10.0,,0.0,8.940450181501205,,,4448.334277802977,,,,,,,,,,,0.0,,,,0.0,14.5,4448.334277802977,87936.11412748811,4449.560068852872,3019141938.0641155,,,,,,6632.294338891319,3848.6108828513725,0.0,10.0,,,,,,1.0,,0.656490750074791,0.23453486405026341,0.5268945334479627,0.7729380058289876,0.10755428501786174,0.5152941176470591,1.0000000000000002,0.07463600239454171,,0.001399086023272239,0.5396020611531506,0.5396020611531506,0.5385336659189128,0.5396020611531506,0.4243490877686637,0.3333333333333333,0.49605343814600533,0.5555555555555557,0.0,0.8548387096774194,0.0,0.4560884586084739,0.4560884586084739,0.0,0.5113636363636364,1.7748242263812033,0.5642770816170644,15,1.6596625977463593,0.9343777182705019,13,0,0,0.39040060084144995,0.6636195812404518,8,0,0,0.48604281980768343,0.9392135945234951,13,2.9860788111948193,0.9718294451774073,12.25,11.576994434137292,0.9281317037207791,2,bior,24.2,18.0,26.09926107328383,15,0.34714986787466967,0.7126862853259952,0.5431892068899327,1,1.75
smoothed,coif2,127533714.01354718,0.6012096774193548,336.3289122802648,1.289912334555837,992,5,True,False,935.0475629426908,,11.901580087912793,1472879.4390548875,0.46069885956158774,7.11278278463736e-06,0.8360390792681645,19,5611.68376074036,1412.1284986886753,7116.234584672197,"[11, 48, 105, 158, 216, 268, 325, 381, 436, 492, 548, 603, 660, 703, 765, 821, 876, 930, 983]","[1412.1284986886753, 4712.066637290346, 6484.67819169448, 6285.144534470833, 6085.33543173718, 6766.0065292050895, 5575.010365285277, 6269.745186595097, 7116.234584672197, 6559.68924919893, 4540.606150871896, 3742.163503595608, 5161.7089693619655, 5916.550348438683, 6634.9248355255395, 5235.668457382209, 6893.928374664785, 5478.562248887594, 5751.839356500467]","[4, 4, 60, 141, 168, 60, 303, 303, 303, 444, 501, 582, 582, 692, 692, 774, 854, 909, 909]","[16, 60, 141, 168, 247, 303, 358, 413, 909, 909, 582, 609, 692, 723, 854, 854, 909, 940, 991]",0.05,30,2920404516.2179775,5034.245265957064,-5034.245265957064,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SWT,mdp.39015056038386,,,3586.2452659570636,0.0,24.5,,0.0,1361.4618320220088,,,4581.112332168932,,,,,,,,,,,0.0,,,,0.0,-7.0,4581.112332168932,84979.99145406685,4581.112332168932,2440993462.8846436,,,,,,5668.234584672197,3586.2452659570636,0.0,-7.0,,,,,,2.0,,0.4895914349944116,0.37736314151325256,0.6447342015271847,0.7535115536403026,0.07638067348915,0.36705882352941216,0.9511516148919852,0.05464499841653216,,0.30200934117154116,0.5609947150871534,0.5609947150871534,0.5597871277165261,0.5157881448998427,0.3296874332403358,0.6666666666666666,0.367175752364581,0.1358024691358025,0.0,0.16129032258064518,0.0,0.4103364784275122,0.4103364784275122,0.0,0.8409090909090909,1.8301537903622263,0.5818682348289038,11,1.6110151821685081,0.9069895845443383,15,0,0,0.36386117098214765,0.6185067271832851,16,0,0,0.4643045552502789,0.8972072675876479,15,2.217355782608345,0.979081549220676,14.25,13.949801849405548,0.9223237934782625,3,coif,45.470588235294116,55.0,19.824598504947154,17,0.6522772189283413,0.5413455739953015,0.3810022745515706,2,2.75
smoothed,bior2.2,211757338.45842767,0.5967741935483871,362.7395440556266,-0.22504691390201553,992,5,True,False,1152.685586082105,,11.874641411604385,1699558.6327451742,0.4570571928123557,2.9565304185100112e-06,0.8712851737665265,21,6158.6695058098285,471.82491986084597,8501.38479721493,"[2, 38, 72, 105, 158, 216, 268, 325, 381, 436, 492, 531, 574, 617, 656, 702, 765, 822, 873, 926, 984]","[471.82491986084597, 6063.48583435088, 2432.088756670472, 8132.173118548802, 8486.214045954182, 7400.598392041763, 8316.061037880245, 6923.118692210159, 7907.385192090692, 8501.38479721493, 7844.130634136975, 2326.491892929708, 5500.876461069152, 1329.0232229823023, 5784.076383266081, 6792.455902254219, 8460.864560813801, 5894.59044686533, 7878.4482382926435, 6361.402628827356, 6525.3644637458465]","[0, 28, 69, 28, 28, 193, 247, 304, 358, 413, 469, 524, 501, 609, 582, 692, 692, 799, 854, 910, 692]","[4, 83, 83, 141, 692, 247, 692, 358, 413, 692, 692, 536, 692, 622, 692, 747, 854, 854, 910, 966, 991]",0.05,30,3742148127.7747817,5825.1150188500715,-5825.1150188500715,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SWT,mdp.39015056038386,,,4377.1150188500715,0.14285714285714285,31.5,,0.0,421.15825319417934,,,5128.0980772384,,,,,,,,,,,0.0,,,,0.047619047619047616,-3.0,5128.0980772384,107690.05962200639,5128.0980772384,3262737074.4414477,,,,,,7053.384797214931,4377.1150188500715,0.09523809523809523,-1.5,,,,,,0.0,,0.6771166079039936,0.12551392615770618,0.4602808598072007,0.7070164928062121,0.2325695545007962,0.31529411764705967,0.9707491291672179,0.17381520624184432,,0.0930182652865784,0.649122808294883,0.649122808294883,0.6481576379884971,0.6987357831425802,0.4656962338522507,0.0,0.5503543293386624,0.271604938271605,1.0,0.29032258064516125,1.0,0.5482503472049871,0.5482503472049871,1.0,1.0000000000000002,2.344712519899871,0.7454639835843208,2,1.5706940809787833,0.8842891039894545,26,0,0,0.5882897549703172,1.0,1,0,0,0.45779448677900386,0.8846274195571397,16,11.98262631201246,0.8869563555470523,11.25,2.498498498498498,0.8904121400376771,4,bior,24.2,18.0,26.09926107328383,15,0.34714986787466967,0.7126862853259952,0.5431892068899327,1,3.25
smoothed,bior4.4,123381699.3700028,0.6024193548387097,316.1897159116865,1.7629143762774109,992,5,True,False,891.5619670544172,,11.891508448720039,1463985.7892673775,0.46617436013312674,4.910018704153347e-06,0.8444437831982937,20,5329.14086222319,396.17395599911356,7110.131171659051,"[2, 38, 72, 105, 158, 216, 268, 325, 381, 436, 492, 548, 604, 660, 702, 765, 822, 877, 929, 984]","[396.17395599911356, 4618.1133762152, 2992.382148352484, 6195.329760797351, 6282.531776147363, 6394.20664367948, 6591.263969417272, 5546.4213249507, 6250.611849612847, 7110.131171659051, 6390.300393037958, 4557.629379579144, 3774.83306773202, 5096.760236645296, 5492.803642087318, 6620.014335455688, 5128.144771125807, 6520.030276323463, 5152.489632718696, 5472.645532927539]","[0, 28, 60, 28, 28, 28, 247, 304, 304, 304, 469, 501, 582, 582, 693, 693, 799, 854, 910, 910]","[4, 60, 83, 141, 167, 247, 910, 358, 413, 910, 910, 582, 609, 693, 720, 910, 854, 910, 941, 991]",0.05,30,2733769772.4182086,4891.87277733905,-4891.87277733905,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SWT,mdp.39015056038386,,,3443.87277733905,0.0,23.5,,0.0,345.50728933244693,,,4298.569433651762,,,,,,,,,,,0.0,,,,0.0,-2.0,4298.569433651762,84940.8172444638,4298.569433651761,2254358719.0848746,,,,,,5662.131171659051,3443.87277733905,0.0,-6.5,,,,,,1.0,,0.45212259673538635,0.2438860673575775,0.7023244022700313,0.736128313587786,0.06868095116784843,0.3811764705882358,0.9558247937957491,0.04996941228862663,,0.07620414622419336,0.515472565524479,0.515472565524479,0.5141397587663294,0.515472565524479,0.3290881351454141,0.3333333333333333,0.3255721593431576,0.14814814814814817,0.0,0.3225806451612903,0.0,0.3855092035937463,0.3855092035937463,0.0,0.8181818181818182,1.5696993985565086,0.499060911197684,25,1.5873901436367701,0.8936888632849009,22,0,0,0.3240427655040384,0.5508217043833923,26,0,0,0.4487641259739052,0.8671774392550817,26,1.8929694486000912,0.9821417976547161,24.75,24.63393626184324,0.8743256158084901,5,bior,24.2,18.0,26.09926107328383,15,0.34714986787466967,0.7126862853259952,0.5431892068899327,1,4.0
smoothed,sym17,123893475.47667512,0.5951612903225807,334.89221251931,0.9845192700817428,992,5,True,False,1032.5759572811376,,11.916810431662636,1458970.7602651708,0.45730463021416246,4.992250885045345e-06,0.8697049353433733,20,5415.851715213377,825.7329246693675,7737.923101603133,"[20, 90, 145, 214, 266, 307, 368, 434, 489, 530, 573, 616, 655, 697, 735, 778, 819, 872, 914, 980]","[6225.236760143346, 5826.543948084291, 6336.848278034208, 6122.499740744783, 6249.760147247194, 6563.160933743515, 5967.285670236997, 6601.984623896931, 6538.313116225962, 1730.3765186830294, 5964.489227514572, 825.7329246693675, 4452.497287762073, 7066.604499049518, 5222.183317248155, 1583.4679526585123, 5329.177075889336, 7737.923101603133, 6326.3486661612715, 5646.600514671361]","[0, 55, 109, 162, 219, 109, 329, 385, 385, 496, 496, 608, 608, 385, 718, 770, 770, 385, 881, 935]","[385, 385, 272, 272, 272, 385, 385, 440, 664, 534, 664, 621, 664, 770, 770, 782, 825, 881, 987, 987]",0.05,30,3097671022.435828,4796.733472796089,-4796.733472796089,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SWT,mdp.39015056038386,,,3348.733472796089,0.0,4.0,,0.0,775.0662580027009,,,4385.280286641949,,,,,,,,,,,0.0,,,,0.0,2.5,4385.280286641949,86675.03430426754,4385.280286641949,2618259969.1024942,,,,,,6289.923101603133,3348.733472796089,0.0,4.0,,,,,,1.0,,0.5736255975368438,0.24886894818632802,0.6075511741040412,0.7797985081686536,0.06963001668190688,0.2964705882352952,0.969870485859448,0.04733290190267787,,0.17167755825814787,0.5294430614712616,0.5294430614712616,0.5281486838506342,0.5294430614712616,0.39073143321688564,0.3333333333333333,0.4066910292678422,0.40740740740740744,0.0,0.467741935483871,0.0,0.3689185709208929,0.3689185709208929,0.0,0.375,1.6344621674842048,0.5196512016077224,22,1.5614629210036253,0.8790920294718444,28,0,0,0.33793110669210574,0.5744296986935569,23,0,0,0.4491435275843994,0.8679105827886109,23,2.70801280154532,0.9744527094193838,24.0,23.791771620486987,0.8740188075398806,6,sym,63.8421052631579,65.0,32.10445306235178,19,0.9158172895432238,0.8766686279425545,0.09592730893697696,5,5.75
smoothed,haar,114121322.53649658,0.6225806451612903,345.040337600204,1.7895164818885023,992,5,True,False,951.9541422678476,,11.88382646202586,1450747.0659806237,0.46675992725849386,5.130900423436963e-06,0.9142615568613501,20,4711.15110044638,42.70067021413104,7197.581456684995,"[20, 90, 144, 215, 266, 307, 367, 401, 435, 489, 530, 573, 616, 653, 698, 764, 808, 872, 914, 980]","[5394.986574824679, 6361.790349134915, 4577.147764839311, 5759.067803727229, 5524.944990194395, 5225.051961736297, 6011.976806211823, 42.70067021413104, 5559.748924948527, 5437.876472478935, 1654.493742901694, 4396.217165125148, 1032.1661152480722, 3846.6308293946686, 7197.581456684995, 5069.834919263235, 4665.446483383668, 6659.581684209545, 4907.663321608519, 4898.113972797797]","[0, 55, 109, 162, 219, 272, 329, 400, 386, 440, 500, 500, 608, 608, 55, 718, 769, 718, 884, 934]","[55, 664, 162, 329, 329, 329, 664, 412, 664, 664, 534, 664, 621, 664, 991, 769, 825, 991, 991, 991]",0.05,30,2802476790.4956217,4897.058854232962,-4897.058854232962,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SWT,mdp.39015056038386,,,3449.0588542329624,0.0,10.0,,0.0,7.965996452535592,,,3680.5796718749516,,,,,,,,,,,0.0,,,,0.0,19.0,3680.5796718749516,72581.0220089276,3681.7080175519504,2323065737.1622877,,,,,,5749.581456684995,3449.0588542329624,0.0,23.5,,,,,,1.0,,0.5041587847870933,0.2572704537681158,0.7055633324800344,0.7228695166601496,0.05150800349545192,0.6164705882352943,0.994644834299536,0.04300952602937068,,0.001182504763983086,0.41590459722144296,0.41590459722144296,0.4144801998121784,0.415904597221443,0.3376749355312833,0.3333333333333333,0.340887950816984,0.8888888888888891,0.0,1.0,0.0,0.3864135648056912,0.3864135648056912,0.0,0.5113636363636364,1.5005356869077955,0.47707141117687596,33,1.7006055105580646,0.9574282741511352,7,0,0,0.36552202317412497,0.6213299145292234,14,0,0,0.48693687996938073,0.9409412477753634,11,11.528949070347508,0.8912363295250235,16.25,11.92258064516129,0.8689672213662853,7,haar,7.0,7.0,,1,0.10041525103812758,,,7,7.0
smoothed,rbio1.1,114121322.53649658,0.6225806451612903,345.040337600204,1.7895164818885023,992,5,True,False,951.9541422678476,,11.88382646202586,1450747.0659806237,0.46675992725849386,5.130900423436963e-06,0.9142615568613501,20,4711.15110044638,42.70067021413104,7197.581456684995,"[20, 90, 144, 215, 266, 307, 367, 401, 435, 489, 530, 573, 616, 653, 698, 764, 808, 872, 914, 980]","[5394.986574824679, 6361.790349134915, 4577.147764839311, 5759.067803727229, 5524.944990194395, 5225.051961736297, 6011.976806211823, 42.70067021413104, 5559.748924948527, 5437.876472478935, 1654.493742901694, 4396.217165125148, 1032.1661152480722, 3846.6308293946686, 7197.581456684995, 5069.834919263235, 4665.446483383668, 6659.581684209545, 4907.663321608519, 4898.113972797797]","[0, 55, 109, 162, 219, 272, 329, 400, 386, 440, 500, 500, 608, 608, 55, 718, 769, 718, 884, 934]","[55, 664, 162, 329, 329, 329, 664, 412, 664, 664, 534, 664, 621, 664, 991, 769, 825, 991, 991, 991]",0.05,30,2802476790.4956217,4897.058854232962,-4897.058854232962,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SWT,mdp.39015056038386,,,3449.0588542329624,0.0,10.0,,0.0,7.965996452535592,,,3680.5796718749516,,,,,,,,,,,0.0,,,,0.0,19.0,3680.5796718749516,72581.0220089276,3681.7080175519504,2323065737.1622877,,,,,,5749.581456684995,3449.0588542329624,0.0,23.5,,,,,,1.0,,0.5041587847870933,0.2572704537681158,0.7055633324800344,0.7228695166601496,0.05150800349545192,0.6164705882352943,0.994644834299536,0.04300952602937068,,0.001182504763983086,0.41590459722144296,0.41590459722144296,0.4144801998121784,0.415904597221443,0.3376749355312833,0.3333333333333333,0.340887950816984,0.8888888888888891,0.0,1.0,0.0,0.3864135648056912,0.3864135648056912,0.0,0.5113636363636364,1.5005356869077955,0.47707141117687596,34,1.7006055105580646,0.9574282741511352,8,0,0,0.36552202317412497,0.6213299145292234,13,0,0,0.48693687996938073,0.9409412477753634,10,12.010412149464313,0.8866942250050537,16.25,12.072379651758277,0.8666961691063004,8,rbio,42.666666666666664,24.0,36.620967192241636,15,0.6120548634704919,1.0,0.2715615955706557,3,6.75
smoothed,rbio2.8,111346133.29720062,0.6040322580645161,349.31888993677774,1.9775447487769218,992,5,True,False,808.367368398214,,11.928037634928296,1403656.733275217,0.4695256115443172,6.833496892300101e-06,0.7096652208404733,19,5114.832330863656,1326.22378970232,6468.988921103574,"[11, 49, 106, 158, 216, 268, 325, 381, 436, 492, 548, 604, 661, 705, 766, 822, 877, 931, 984]","[1326.22378970232, 4649.128342983033, 5883.534017901966, 5423.486418895715, 6245.318512569018, 5637.340721452687, 4902.611186071538, 5467.744988006725, 6468.988921103574, 5933.034681777037, 4410.822743264342, 3596.6200718002965, 4539.1294460479485, 5357.630586024974, 6109.361863253379, 4931.348390376735, 6285.071663315812, 5497.555149655299, 4516.862792207081]","[4, 4, 60, 141, 60, 247, 304, 304, 60, 445, 501, 582, 582, 693, 693, 775, 855, 910, 910]","[15, 60, 141, 169, 304, 304, 358, 413, 910, 693, 582, 639, 693, 724, 855, 855, 910, 941, 991]",0.05,30,2507702105.5956163,4825.3664936497335,-4825.3664936497335,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SWT,mdp.39015056038386,,,3377.3664936497335,0.0,11.0,,0.0,1275.5571230356531,,,4084.260902292228,,,,,,,,,,,0.0,,,,0.0,-7.0,4084.260902292228,75539.81428640947,4084.2609022922284,2028291052.2622821,,,,,,5020.988921103574,3377.3664936497335,0.0,-7.0,,,,,,2.0,,0.38043897604676213,0.3604397387338033,0.7284566493799384,0.7991762048623343,0.046361541267803806,0.4000000000000002,0.8808852909261338,0.01825310862860207,,0.28291623341476385,0.4809440565146765,0.4809440565146765,0.47951627096506444,0.4397400192559895,0.26613396040677795,0.6666666666666666,0.27517839549026923,0.1358024691358025,0.0,0.16129032258064518,0.0,0.3739116695522,0.3739116695522,0.0,0.5340909090909091,1.560581168276646,0.4961619151757939,27,1.6017618369490962,0.9017800198989556,17,0,0,0.3094404186962901,0.5260000128880422,28,0,0,0.4517514387306723,0.8729500268500581,19,5.560275772537426,0.9475445681836092,22.75,21.71476845779329,0.8664609633370877,9,rbio,42.666666666666664,24.0,36.620967192241636,15,0.6120548634704919,1.0,0.2715615955706557,3,7.5
smoothed,bior1.1,114121322.53649658,0.6225806451612903,345.040337600204,1.7895164818885023,992,5,True,False,951.9541422678476,,11.88382646202586,1450747.0659806237,0.46675992725849386,5.130900423436963e-06,0.9142615568613501,20,4711.15110044638,42.70067021413104,7197.581456684995,"[20, 90, 144, 215, 266, 307, 367, 401, 435, 489, 530, 573, 616, 653, 698, 764, 808, 872, 914, 980]","[5394.986574824679, 6361.790349134915, 4577.147764839311, 5759.067803727229, 5524.944990194395, 5225.051961736297, 6011.976806211823, 42.70067021413104, 5559.748924948527, 5437.876472478935, 1654.493742901694, 4396.217165125148, 1032.1661152480722, 3846.6308293946686, 7197.581456684995, 5069.834919263235, 4665.446483383668, 6659.581684209545, 4907.663321608519, 4898.113972797797]","[0, 55, 109, 162, 219, 272, 329, 400, 386, 440, 500, 500, 608, 608, 55, 718, 769, 718, 884, 934]","[55, 664, 162, 329, 329, 329, 664, 412, 664, 664, 534, 664, 621, 664, 991, 769, 825, 991, 991, 991]",0.05,30,2802476790.4956217,4897.058854232962,-4897.058854232962,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SWT,mdp.39015056038386,,,3449.0588542329624,0.0,10.0,,0.0,7.965996452535592,,,3680.5796718749516,,,,,,,,,,,0.0,,,,0.0,19.0,3680.5796718749516,72581.0220089276,3681.7080175519504,2323065737.1622877,,,,,,5749.581456684995,3449.0588542329624,0.0,23.5,,,,,,1.0,,0.5041587847870933,0.2572704537681158,0.7055633324800344,0.7228695166601496,0.05150800349545192,0.6164705882352943,0.994644834299536,0.04300952602937068,,0.001182504763983086,0.41590459722144296,0.41590459722144296,0.4144801998121784,0.415904597221443,0.3376749355312833,0.3333333333333333,0.340887950816984,0.8888888888888891,0.0,1.0,0.0,0.3864135648056912,0.3864135648056912,0.0,0.5113636363636364,1.5005356869077955,0.47707141117687596,35,1.7006055105580646,0.9574282741511352,6,0,0,0.36552202317412497,0.6213299145292234,15,0,0,0.48693687996938073,0.9409412477753634,12,12.569805089976535,0.881416933113429,17.0,11.586206896551726,0.8605197873114314,10,bior,24.2,18.0,26.09926107328383,15,0.34714986787466967,0.7126862853259952,0.5431892068899327,1,7.75
