wavelet,wavelet_level,wavelet_mode,wavelet_mse,wavelet_psnr,wavelet_energy_entropy,wavelet_sparsity,wavelet_adaptive_threshold,signal_length,signal_type,emd_value,kl_divergence,change_point_indices,change_point_prominences,num_change_points,wavelet_entropy,avg_variance_across_levels,variance_ratio_across_levels,smoothness,correlation,relative_num_peaks,avg_prominence,prominence_min,prominence_max,relative_peaks,relative_prominences,relative_left_bases,relative_right_bases,prominence_threshold,distance_factor,max_autocorrelation,upper_envelope,lower_envelope,wavelet_type,htid,relative_left_bases_array_alignment_score,relative_left_bases_global_alignment_score,max_autocorrelation_diff,prominence_min_diff,prominence_max_diff,avg_prominence_diff,upper_envelope_diff,prominence_threshold_diff,relative_prominences_avg_diff,relative_prominences_total_diff,relative_prominences_wasserstein,distance_factor_diff,lower_envelope_diff,relative_right_bases_array_alignment_score,relative_right_bases_global_alignment_score,relative_peaks_array_alignment_score,relative_peaks_global_alignment_score,relative_num_peaks_diff,emd_value_normalized,wavelet_mse_normalized,wavelet_psnr_normalized,wavelet_entropy_normalized,wavelet_energy_entropy_normalized,wavelet_sparsity_normalized,avg_variance_across_levels_normalized,kl_divergence_normalized,prominence_min_diff_normalized,avg_prominence_diff_normalized,relative_prominences_avg_diff_normalized,relative_prominences_wasserstein_normalized,relative_prominences_total_diff_normalized,prominence_max_diff_normalized,max_autocorrelation_diff_normalized,upper_envelope_diff_normalized,lower_envelope_diff_normalized,reconstruction_signal_weighted_score,reconstruction_signal_normalized_weighted_score,reconstruction_signal_normalized_weighted_rank,wavelet_signal_weighted_score,wavelet_signal_normalized_weighted_score,wavelet_signal_normalized_weighted_rank,reconstruction_signal_num_missing_metrics,reconstruction_signal_missing_metrics_count,reconstruction_signal_dynamically_weighted_score,reconstruction_signal_normalized_dynamically_weighted_score,reconstruction_signal_normalized_dynamically_weighted_rank,wavelet_signal_num_missing_metrics,wavelet_signal_missing_metrics_count,wavelet_signal_dynamically_weighted_score,wavelet_signal_normalized_dynamically_weighted_score,wavelet_signal_normalized_dynamically_weighted_rank,rank_variability,normalized_rank_stability,average_rank,harmonic_average_rank,stability_score_weighted,stability_rank,wavelet_family,family_mean_stability_rank,family_median_stability_rank,family_rank_std_dev,family_wavelet_count,normalized_family_mean_rank,normalized_family_std_dev,final_family_stability_score,final_family_stability_rank,family_informed_rank,top_wavelet_rank
rbio3.1,1,symmetric,5.118035360727032e-27,323.53581856566615,3213624.781366289,0.7058823529411765,315.43973787790947,201,raw,5.542940346626056e-14,,"[2, 8, 18, 29, 36, 43, 56, 67, 78, 85, 92, 102, 114, 120, 126, 132, 139, 145, 152, 163, 169, 175, 181, 191]","[176.29200679769468, 457.97343037288783, 144.12397960691587, 378.7438776414954, 255.5469774887937, 537.5770021181221, 393.83197280922116, 548.1006418403033, 449.7079932023052, 395.66832914634716, 453.6639456184423, 405.3681592039799, 15.123979606915839, 14.123979606915896, 399.27622826461754, 46.707993202305275, 369.5399660115265, 407.3360543815576, 295.5399660115264, 513.1680271907785, 450.7792143244174, 420.39697601103376, 174.3550647751341, 260.6280611792522]",24,6.551001347451999,102871.31303156777,0.6191158882103197,2.934363464974827e-06,0.9999999999999998,26,539.4139782996667,1.707993202305282,949.991836855327,"[1, 8, 17, 23, 29, 37, 43, 49, 56, 67, 78, 85, 92, 102, 111, 117, 123, 129, 137, 145, 152, 163, 169, 177, 185, 195]","[176.29200679769468, 715.6639456184423, 95.12397960691585, 1.707993202305282, 672.1239796069158, 292.58401359538937, 843.7079932023051, 20.292006797694647, 665.0799320230528, 898.4159864046104, 865.1239796069157, 657.2479592138316, 890.707993202305, 808.1239796069157, 246.41598640461055, 15.123979606915839, 14.123979606915896, 629.752040786168, 773.7879252253583, 831.876020393084, 769.5840135953893, 949.991836855327, 469.41598640461046, 501.5840135953893, 730.0799320230528, 490.83197280922104]","[0, 0, 14, 22, 26, 36, 42, 46, 46, 65, 75, 79, 91, 99, 109, 114, 120, 126, 126, 139, 148, 139, 167, 175, 175, 191]","[2, 42, 26, 26, 42, 39, 65, 50, 65, 200, 139, 91, 139, 139, 126, 126, 126, 135, 139, 148, 154, 200, 200, 179, 200, 200]",0.05,30,15766881.35382345,551.8203039259148,-551.8203039259148,DWT,mdp.39015067403850,0.0,81.0,32302889.64617655,16.292006797694718,3.410605131648481e-13,2.2737367544323206e-13,440.1796960740852,0.0,27.94602170033329,159.23656420866428,29.153003905832694,0.0,440.1796960740852,0.0,76.5,0.0,94.5,0.0,4.813875862084181e-14,2.5233807494003437e-27,0.9688993799536394,0.8247085914772624,0.0007906597041942962,0.6935758513931891,0.0033241510050049227,,0.99999999749275,2.0054557599088322e-13,0.9999999927353368,0.9999999930636712,0.9999999927353137,1.3588964902743542e-13,0.999999994049281,0.999999967931766,0.999999967931766,2.2999999755526592,0.9999999876095834,122,1.2728492545222039,0.7483804553493504,156,0,0,0.777777767326691,0.9999999852369148,122,0,0,0.3558998047904769,0.7203525004087847,139,16.276260831857748,0.9827764435641717,134.75,133.3424733486227,0.9200919254857896,1,rbio,407.22962962962964,406.0,272.6904904706897,135,0.43471316174435615,1.0,0.39570078677895065,4,1.75,1
coif15,1,smooth,1.0332370622107837e-26,320.48485162764814,834195370.3730954,0.5689655172413793,242.29315347140445,201,raw,7.344484335241689e-14,,"[2, 8, 18, 29, 36, 43, 56, 67, 78, 85, 92, 102, 114, 120, 126, 132, 139, 145, 152, 163, 169, 175, 181, 191]","[176.29200679769485, 457.973430372888, 144.1239796069159, 378.7438776414956, 255.54697748879377, 537.5770021181223, 393.8319728092212, 548.1006418403031, 449.7079932023054, 395.6683291463474, 453.6639456184426, 405.36815920398004, 15.123979606916066, 14.123979606915611, 399.27622826461766, 46.70799320230522, 369.5399660115267, 407.33605438155774, 295.539966011527, 513.168027190779, 450.77921432441747, 420.3969760110339, 174.35506477513422, 260.62806117925226]",24,4.811128701404253,10713617.012526875,0.9980907111875444,2.9343634649748255e-06,0.9999999999999998,26,539.413978299667,1.7079932023053175,949.9918368553275,"[1, 8, 17, 23, 29, 37, 43, 49, 56, 67, 78, 85, 92, 102, 111, 117, 123, 129, 137, 145, 152, 163, 169, 177, 185, 195]","[176.29200679769485, 715.6639456184423, 95.12397960691598, 1.7079932023053175, 672.123979606916, 292.5840135953895, 843.7079932023057, 20.292006797694704, 665.0799320230533, 898.4159864046103, 865.1239796069156, 657.247959213832, 890.7079932023053, 808.1239796069159, 246.4159864046106, 15.123979606916066, 14.123979606915611, 629.7520407861682, 773.7879252253584, 831.8760203930841, 769.5840135953895, 949.9918368553275, 469.4159864046106, 501.58401359538937, 730.0799320230531, 490.83197280922116]","[0, 0, 14, 22, 26, 36, 42, 46, 46, 65, 75, 79, 91, 99, 109, 114, 120, 126, 126, 139, 148, 139, 167, 175, 175, 191]","[2, 42, 26, 26, 42, 39, 65, 50, 65, 200, 139, 91, 139, 139, 126, 126, 126, 135, 139, 148, 154, 200, 200, 179, 200, 200]",0.05,30,15766881.35382346,551.8203039259147,-551.8203039259147,DWT,mdp.39015067403850,0.0,81.0,32302889.64617654,16.292006797694683,1.1368683772161603e-13,0.0,440.1796960740853,0.0,27.946021700333063,159.23656420866064,29.153003905832588,0.0,440.1796960740853,0.0,76.5,0.0,94.5,0.0,6.871126584276767e-14,5.515247483028215e-27,0.9577578795739011,0.3331938428720873,0.736842345971089,0.007009981851179958,0.7128605609213692,,0.9999999974927066,0.0,0.9999999927351363,0.9999999930635206,0.9999999927351902,4.52965496758118e-14,0.999999994049108,0.9999999679321054,0.9999999679321054,2.299999975552423,0.9999999876094807,152,1.397621039274969,0.821740882561194,53,0,0,0.7777777673266573,0.9999999852368714,142,0,0,0.3925235158842423,0.7944800540222919,57,53.29790489941107,0.9436001006355439,101.0,79.94725868635925,0.9183608968786185,2,coif,481.9513888888889,509.0,218.49495777130423,144,0.5144778199501838,0.8012562425413557,0.3994886532724646,3,2.25,2
db29,1,antisymmetric,8.482484931172602e-27,321.34162041878034,2693817.65592596,0.689922480620155,259.5409929964643,201,raw,6.665536005953504e-14,,"[2, 8, 18, 29, 36, 43, 56, 67, 78, 85, 92, 102, 114, 120, 126, 132, 139, 145, 152, 163, 169, 175, 181, 191]","[176.29200679769482, 457.97343037288783, 144.12397960691587, 378.7438776414955, 255.5469774887937, 537.5770021181222, 393.83197280922155, 548.1006418403032, 449.7079932023051, 395.66832914634745, 453.6639456184423, 405.3681592039801, 15.123979606916066, 14.123979606915839, 399.2762282646176, 46.707993202305346, 369.53996601152653, 407.33605438155763, 295.53996601152664, 513.1680271907787, 450.7792143244172, 420.39697601103376, 174.3550647751341, 260.6280611792523]",24,6.928287121201262,72188.44372339688,0.6029669706722937,2.9343634649748255e-06,0.9999999999999998,26,539.413978299667,1.7079932023052962,949.9918368553272,"[1, 8, 17, 23, 29, 37, 43, 49, 56, 67, 78, 85, 92, 102, 111, 117, 123, 129, 137, 145, 152, 163, 169, 177, 185, 195]","[176.29200679769482, 715.6639456184423, 95.12397960691585, 1.7079932023052962, 672.1239796069158, 292.5840135953894, 843.7079932023053, 20.292006797694704, 665.0799320230533, 898.4159864046104, 865.1239796069158, 657.247959213832, 890.7079932023055, 808.123979606916, 246.41598640461058, 15.123979606916066, 14.123979606915839, 629.7520407861682, 773.7879252253585, 831.8760203930842, 769.5840135953895, 949.9918368553272, 469.4159864046104, 501.58401359538925, 730.0799320230528, 490.8319728092212]","[0, 0, 14, 22, 26, 36, 42, 46, 46, 65, 75, 79, 91, 99, 109, 114, 120, 126, 126, 139, 148, 139, 167, 175, 175, 191]","[2, 42, 26, 26, 42, 39, 65, 50, 65, 200, 139, 91, 139, 139, 126, 126, 126, 135, 139, 148, 154, 200, 200, 179, 200, 200]",0.05,30,15766881.353823453,551.8203039259148,-551.8203039259148,DWT,mdp.39015067403850,0.0,81.0,32302889.646176547,16.292006797694704,2.2737367544323206e-13,0.0,440.1796960740852,0.0,27.946021700333063,159.23656420866064,29.153003905832627,0.0,440.1796960740852,0.0,76.5,0.0,94.5,0.0,6.095809994958906e-14,4.453825234114799e-27,0.9608866220367573,0.9312919800131548,0.0003302345345156835,0.613545491636067,0.0012723995493190067,,0.9999999974927327,0.0,0.9999999927351363,0.9999999930635758,0.9999999927351902,9.05930993516236e-14,0.9999999940492234,0.999999967931766,0.999999967931766,2.299999975552392,0.9999999876094672,157,1.2882702369700625,0.7574473278209024,124,0,0,0.7777777673266089,0.9999999852368092,158,0,0,0.35818953253855357,0.724986982042045,124,19.345542122153102,0.9795285268548645,140.75,138.75604474918802,0.9152933639565328,3,db,317.07894736842104,270.5,230.09575253057815,342,0.338478297511065,0.8437982275561241,0.5099257234754173,1,2.5,3
rbio3.1,1,periodization,4.810231450978539e-27,323.8051916512765,3952760.5093317614,0.7079207920792079,365.61618653282414,201,raw,5.182145481111053e-14,,"[2, 8, 18, 29, 36, 43, 56, 67, 78, 85, 92, 102, 114, 120, 126, 132, 139, 145, 152, 163, 169, 175, 181, 191]","[176.29200679769474, 457.97343037288783, 144.12397960691587, 378.74387764149543, 255.54697748879371, 537.5770021181222, 393.83197280922127, 548.1006418403032, 449.7079932023052, 395.66832914634733, 453.6639456184422, 405.36815920397987, 15.12397960691601, 14.123979606915952, 399.27622826461754, 46.707993202305246, 369.53996601152664, 407.33605438155746, 295.5399660115264, 513.1680271907788, 450.77921432441735, 420.39697601103387, 174.3550647751341, 260.6280611792522]",24,6.512254559048081,127113.15387655723,0.7029874498777882,2.934363464974827e-06,0.9999999999999998,26,539.413978299667,1.7079932023053104,949.9918368553274,"[1, 8, 17, 23, 29, 37, 43, 49, 56, 67, 78, 85, 92, 102, 111, 117, 123, 129, 137, 145, 152, 163, 169, 177, 185, 195]","[176.29200679769474, 715.6639456184421, 95.12397960691588, 1.7079932023053104, 672.1239796069158, 292.58401359538937, 843.7079932023053, 20.292006797694768, 665.0799320230531, 898.4159864046105, 865.1239796069157, 657.2479592138318, 890.707993202305, 808.1239796069156, 246.41598640461055, 15.12397960691601, 14.123979606915952, 629.7520407861681, 773.7879252253583, 831.8760203930839, 769.5840135953894, 949.9918368553274, 469.41598640461046, 501.5840135953893, 730.079932023053, 490.83197280922104]","[0, 0, 14, 22, 26, 36, 42, 46, 46, 65, 75, 79, 91, 99, 109, 114, 120, 126, 126, 139, 148, 139, 167, 175, 175, 191]","[2, 42, 26, 26, 42, 39, 65, 50, 65, 200, 139, 91, 139, 139, 126, 126, 126, 135, 139, 148, 154, 200, 200, 179, 200, 200]",0.05,30,15766881.35382345,551.8203039259148,-551.8203039259148,DWT,mdp.39015067403850,0.0,81.0,32302889.64617655,16.29200679769469,0.0,0.0,440.1796960740852,0.0,27.946021700333063,159.23656420866064,29.153003905832648,0.0,440.1796960740852,0.0,76.5,0.0,94.5,0.0,4.401870658583997e-14,2.34676988111236e-27,0.9698830747614137,0.8137626075830556,0.0014453577187237136,0.7037975508077121,0.004945193409568047,,0.9999999974927153,0.0,0.9999999927351363,0.9999999930636059,0.9999999927351902,0.0,0.999999994049281,0.999999967931766,0.999999967931766,2.2999999755523794,0.9999999876094617,161,1.273030925194663,0.7484872698681125,155,0,0,0.7777777673266066,0.9999999852368063,160,0,0,0.35626196918293107,0.7210855326334497,134,12.609520212918492,0.986656592367282,152.5,151.65601010784584,0.9126404654958102,4,rbio,407.22962962962964,406.0,272.6904904706897,135,0.43471316174435615,1.0,0.39570078677895065,4,4.0,4
db30,1,reflect,7.73751275375189e-27,321.74083760810555,2709520.857529161,0.676923076923077,268.9395729134825,201,raw,6.382070107327815e-14,,"[2, 8, 18, 29, 36, 43, 56, 67, 78, 85, 92, 102, 114, 120, 126, 132, 139, 145, 152, 163, 169, 175, 181, 191]","[176.2920067976948, 457.97343037288795, 144.12397960691584, 378.7438776414953, 255.54697748879371, 537.577002118122, 393.8319728092214, 548.1006418403032, 449.7079932023053, 395.6683291463473, 453.6639456184424, 405.3681592039802, 15.123979606915839, 14.123979606915896, 399.27622826461766, 46.70799320230519, 369.5399660115266, 407.3360543815574, 295.5399660115264, 513.1680271907785, 450.77921432441764, 420.39697601103364, 174.35506477513417, 260.62806117925226]",24,6.995201608736495,72808.41336523887,0.5992132482784674,2.9343634649748255e-06,0.9999999999999998,26,539.413978299667,1.707993202305346,949.991836855327,"[1, 8, 17, 23, 29, 37, 43, 49, 56, 67, 78, 85, 92, 102, 111, 117, 123, 129, 137, 145, 152, 163, 169, 177, 185, 195]","[176.2920067976948, 715.6639456184424, 95.12397960691587, 1.707993202305346, 672.1239796069156, 292.58401359538937, 843.7079932023053, 20.292006797694746, 665.0799320230531, 898.4159864046103, 865.1239796069159, 657.2479592138316, 890.7079932023055, 808.1239796069162, 246.4159864046106, 15.123979606915839, 14.123979606915896, 629.752040786168, 773.7879252253583, 831.8760203930841, 769.5840135953895, 949.991836855327, 469.4159864046105, 501.5840135953894, 730.0799320230527, 490.8319728092211]","[0, 0, 14, 22, 26, 36, 42, 46, 46, 65, 75, 79, 91, 99, 109, 114, 120, 126, 126, 139, 148, 139, 167, 175, 175, 191]","[2, 42, 26, 26, 42, 39, 65, 50, 65, 200, 139, 91, 139, 139, 126, 126, 126, 135, 139, 148, 154, 200, 200, 179, 200, 200]",0.05,30,15766881.353823457,551.8203039259148,-551.8203039259148,DWT,mdp.39015067403850,0.0,81.0,32302889.646176543,16.292006797694654,3.410605131648481e-13,0.0,440.1796960740852,0.0,27.946021700333063,159.23656420866064,29.153003905832666,0.0,440.1796960740852,0.0,76.5,0.0,94.5,0.0,5.772109642178296e-14,4.026377177291324e-27,0.9623444806621787,0.9501953506671132,0.0003441438268450772,0.5483603238866399,0.0013138566764981667,,0.9999999974926719,0.0,0.9999999927351363,0.999999993063631,0.9999999927351902,1.3588964902743542e-13,0.9999999940491656,0.999999967931766,0.999999967931766,2.299999975552384,0.9999999876094637,159,1.2725461078695592,0.7482022181942923,158,0,0,0.7777777673266069,0.9999999852368067,159,0,0,0.35179402224561895,0.7120422662290713,168,4.69041575982343,0.9950365970795519,161.0,160.90032595642478,0.9123331133545908,5,db,317.07894736842104,270.5,230.09575253057815,342,0.338478297511065,0.8437982275561241,0.5099257234754173,1,4.0,5
db29,1,reflect,7.693843808094338e-27,321.765417731933,2679433.4981979546,0.6782945736434108,267.880836200087,201,raw,6.236028829859708e-14,,"[2, 8, 18, 29, 36, 43, 56, 67, 78, 85, 92, 102, 114, 120, 126, 132, 139, 145, 152, 163, 169, 175, 181, 191]","[176.2920067976948, 457.97343037288806, 144.12397960691595, 378.7438776414955, 255.54697748879371, 537.5770021181224, 393.83197280922155, 548.1006418403032, 449.7079932023051, 395.66832914634745, 453.6639456184423, 405.3681592039801, 15.123979606916066, 14.123979606915839, 399.2762282646176, 46.707993202305346, 369.53996601152653, 407.33605438155763, 295.53996601152664, 513.168027190779, 450.77921432441735, 420.3969760110338, 174.35506477513414, 260.6280611792523]",24,6.991114541383295,72465.73718679804,0.6079595580733081,2.9343634649748255e-06,0.9999999999999998,26,539.413978299667,1.707993202305211,949.9918368553274,"[1, 8, 17, 23, 29, 37, 43, 49, 56, 67, 78, 85, 92, 102, 111, 117, 123, 129, 137, 145, 152, 163, 169, 177, 185, 195]","[176.2920067976948, 715.6639456184425, 95.12397960691588, 1.707993202305211, 672.123979606916, 292.58401359538937, 843.7079932023055, 20.292006797694675, 665.0799320230532, 898.4159864046104, 865.1239796069158, 657.247959213832, 890.7079932023055, 808.123979606916, 246.41598640461058, 15.123979606916066, 14.123979606915839, 629.7520407861682, 773.7879252253585, 831.8760203930841, 769.5840135953895, 949.9918368553274, 469.4159864046105, 501.58401359538925, 730.079932023053, 490.83197280922116]","[0, 0, 14, 22, 26, 36, 42, 46, 46, 65, 75, 79, 91, 99, 109, 114, 120, 126, 126, 139, 148, 139, 167, 175, 175, 191]","[2, 42, 26, 26, 42, 39, 65, 50, 65, 200, 139, 91, 139, 139, 126, 126, 126, 135, 139, 148, 154, 200, 200, 179, 200, 200]",0.05,30,15766881.353823455,551.8203039259148,-551.8203039259148,DWT,mdp.39015067403850,0.0,81.0,32302889.646176547,16.29200679769479,0.0,0.0,440.1796960740852,0.0,27.946021700333063,159.23656420866064,29.153003905832595,0.0,440.1796960740852,0.0,76.5,0.0,94.5,0.0,5.6053396241050415e-14,4.001320931527251e-27,0.9624342421917268,0.9490407524341887,0.00031749360054524105,0.5552376580987352,0.0012909420546326808,,0.999999997492837,0.0,0.9999999927351363,0.9999999930635307,0.9999999927351902,0.0,0.9999999940492234,0.999999967931766,0.999999967931766,2.2999999755523644,0.9999999876094552,172,1.2747511083937668,0.7494986633864384,147,0,0,0.7777777673266054,0.9999999852368048,162,0,0,0.3526172983399835,0.7137086031731206,163,10.36018017861337,0.9890368463718378,161.0,160.4847705166346,0.9093332380007337,6,db,317.07894736842104,270.5,230.09575253057815,342,0.338478297511065,0.8437982275561241,0.5099257234754173,1,4.75,6
rbio3.1,1,periodic,5.20946473211026e-27,323.4589203646915,3190059.806184259,0.7009803921568627,318.6302023769197,201,raw,5.606571039380692e-14,,"[2, 8, 18, 29, 36, 43, 56, 67, 78, 85, 92, 102, 114, 120, 126, 132, 139, 145, 152, 163, 169, 175, 181, 191]","[176.29200679769468, 457.97343037288783, 144.12397960691587, 378.7438776414954, 255.5469774887937, 537.5770021181221, 393.83197280922116, 548.1006418403033, 449.7079932023052, 395.66832914634716, 453.6639456184423, 405.3681592039799, 15.123979606915839, 14.123979606915896, 399.27622826461754, 46.707993202305275, 369.5399660115265, 407.3360543815576, 295.5399660115264, 513.1680271907785, 450.7792143244174, 420.39697601103376, 174.3550647751341, 260.6280611792522]",24,6.5625972756249995,102206.90918903922,0.6204700412693889,2.934363464974827e-06,0.9999999999999998,26,539.4139782996667,1.707993202305282,949.991836855327,"[1, 8, 17, 23, 29, 37, 43, 49, 56, 67, 78, 85, 92, 102, 111, 117, 123, 129, 137, 145, 152, 163, 169, 177, 185, 195]","[176.29200679769468, 715.6639456184422, 95.12397960691585, 1.707993202305282, 672.1239796069158, 292.58401359538937, 843.7079932023051, 20.292006797694647, 665.0799320230528, 898.4159864046104, 865.1239796069157, 657.2479592138316, 890.707993202305, 808.1239796069157, 246.41598640461055, 15.123979606915839, 14.123979606915896, 629.752040786168, 773.7879252253583, 831.876020393084, 769.5840135953893, 949.991836855327, 469.41598640461046, 501.5840135953893, 730.0799320230528, 490.83197280922104]","[0, 0, 14, 22, 26, 36, 42, 46, 46, 65, 75, 79, 91, 99, 109, 114, 120, 126, 126, 139, 148, 139, 167, 175, 175, 191]","[2, 42, 26, 26, 42, 39, 65, 50, 65, 200, 139, 91, 139, 139, 126, 126, 126, 135, 139, 148, 154, 200, 200, 179, 200, 200]",0.05,30,15766881.35382345,551.8203039259148,-551.8203039259148,DWT,mdp.39015067403850,0.0,81.0,32302889.64617655,16.292006797694718,3.410605131648481e-13,2.2737367544323206e-13,440.1796960740852,0.0,27.94602170033329,159.23656420866428,29.153003905832698,0.0,440.1796960740852,0.0,76.5,0.0,94.5,0.0,4.8865381392477166e-14,2.5758408389430994e-27,0.9686185636246637,0.8279844460254346,0.0007697867550451908,0.6689950980392154,0.003279722580225619,,0.99999999749275,2.0054557599088322e-13,0.9999999927353368,0.9999999930636762,0.9999999927353137,1.3588964902743542e-13,0.999999994049281,0.999999967931766,0.999999967931766,2.299999975552661,0.9999999876095842,119,1.2644581828128292,0.7434468671460183,175,0,0,0.7777777673266917,0.9999999852369157,119,0,0,0.35280680243209056,0.7140921654700073,160,28.663274993156893,0.9696684920707335,143.25,139.02884264330046,0.909040595241716,7,rbio,407.22962962962964,406.0,272.6904904706897,135,0.43471316174435615,1.0,0.39570078677895065,4,6.25,7
db36,1,periodization,1.422431401504371e-26,319.09653807498364,2453525.8348430153,0.7029702970297029,282.1991351797534,201,raw,8.988719111213904e-14,,"[2, 8, 18, 29, 36, 43, 56, 67, 78, 85, 92, 102, 114, 120, 126, 132, 139, 145, 152, 163, 169, 175, 181, 191]","[176.2920067976948, 457.9734303728877, 144.12397960691584, 378.7438776414955, 255.54697748879352, 537.5770021181222, 393.8319728092208, 548.1006418403033, 449.70799320230554, 395.6683291463476, 453.66394561844237, 405.36815920398027, 15.123979606915896, 14.123979606915782, 399.2762282646175, 46.70799320230531, 369.53996601152664, 407.3360543815575, 295.53996601152653, 513.168027190779, 450.7792143244177, 420.3969760110339, 174.3550647751342, 260.6280611792523]",24,6.537704836884476,79088.62452088014,0.6630995738746149,2.9343634649748255e-06,1.0,26,539.413978299667,1.707993202305282,949.9918368553276,"[1, 8, 17, 23, 29, 37, 43, 49, 56, 67, 78, 85, 92, 102, 111, 117, 123, 129, 137, 145, 152, 163, 169, 177, 185, 195]","[176.2920067976948, 715.6639456184424, 95.12397960691588, 1.707993202305282, 672.1239796069158, 292.5840135953894, 843.7079932023053, 20.292006797694704, 665.0799320230526, 898.4159864046103, 865.1239796069158, 657.2479592138318, 890.7079932023055, 808.1239796069162, 246.41598640461066, 15.123979606915896, 14.123979606915782, 629.7520407861683, 773.7879252253585, 831.876020393084, 769.5840135953896, 949.9918368553276, 469.4159864046106, 501.5840135953895, 730.079932023053, 490.83197280922116]","[0, 0, 14, 22, 26, 36, 42, 46, 46, 65, 75, 79, 91, 99, 109, 114, 120, 126, 126, 139, 148, 139, 167, 175, 175, 191]","[2, 42, 26, 26, 42, 39, 65, 50, 65, 200, 139, 91, 139, 139, 126, 126, 126, 135, 139, 148, 154, 200, 200, 179, 200, 200]",0.05,30,15766881.353823455,551.8203039259148,-551.8203039259148,DWT,mdp.39015067403850,0.0,81.0,32302889.646176547,16.292006797694718,2.2737367544323206e-13,0.0,440.1796960740852,0.0,27.946021700333063,159.23656420865882,29.15300390583263,0.0,440.1796960740852,0.0,76.5,0.0,94.5,0.0,8.748740010148378e-14,7.748355901032802e-27,0.9526880455545736,0.8209523216929377,0.00011739327651873448,0.678973423658155,0.001733811937239394,,0.99999999749275,0.0,0.9999999927351363,0.9999999930635809,0.9999999927351285,9.05930993516236e-14,0.9999999940492234,0.999999967931766,0.999999967931766,2.299999975552368,0.9999999876094567,163,1.2544305790556565,0.7375510686929071,197,0,0,0.7777777673266045,0.9999999852368037,164,0,0,0.3506378565885017,0.7097021502447945,176,15.811388300841896,0.9832683721684212,175.0,173.98497783542746,0.899041593491618,9,db,317.07894736842104,270.5,230.09575253057815,342,0.338478297511065,0.8437982275561241,0.5099257234754173,1,7.0,8
bior3.1,1,periodization,4.630508528427366e-27,323.9705645026942,3197661.840836068,0.7079207920792079,314.24486500770576,201,raw,5.3500598092135665e-14,,"[2, 8, 18, 29, 36, 43, 56, 67, 78, 85, 92, 102, 114, 120, 126, 132, 139, 145, 152, 163, 169, 175, 181, 191]","[176.2920067976947, 457.97343037288783, 144.1239796069159, 378.7438776414955, 255.5469774887937, 537.5770021181221, 393.8319728092211, 548.1006418403032, 449.70799320230515, 395.6683291463473, 453.6639456184424, 405.36815920398, 15.123979606915896, 14.123979606915896, 399.2762282646175, 46.707993202305246, 369.5399660115264, 407.3360543815575, 295.5399660115266, 513.1680271907787, 450.77921432441724, 420.39697601103376, 174.3550647751341, 260.6280611792522]",24,6.420874695609655,101323.07145685385,0.8231916629405402,2.934363464974827e-06,1.0,26,539.4139782996667,1.7079932023053104,949.9918368553272,"[1, 8, 17, 23, 29, 37, 43, 49, 56, 67, 78, 85, 92, 102, 111, 117, 123, 129, 137, 145, 152, 163, 169, 177, 185, 195]","[176.2920067976947, 715.6639456184423, 95.12397960691588, 1.7079932023053104, 672.1239796069158, 292.58401359538937, 843.7079932023051, 20.29200679769468, 665.0799320230528, 898.4159864046104, 865.1239796069156, 657.2479592138316, 890.7079932023053, 808.1239796069158, 246.41598640461046, 15.123979606915896, 14.123979606915896, 629.752040786168, 773.7879252253582, 831.876020393084, 769.5840135953893, 949.9918368553272, 469.4159864046104, 501.58401359538937, 730.0799320230528, 490.83197280922104]","[0, 0, 14, 22, 26, 36, 42, 46, 46, 65, 75, 79, 91, 99, 109, 114, 120, 126, 126, 139, 148, 139, 167, 175, 175, 191]","[2, 42, 26, 26, 42, 39, 65, 50, 65, 200, 139, 91, 139, 139, 126, 126, 126, 135, 139, 148, 154, 200, 200, 179, 200, 200]",0.05,30,15766881.35382345,551.8203039259148,-551.8203039259148,DWT,mdp.39015067403850,0.0,81.0,32302889.64617655,16.29200679769469,2.2737367544323206e-13,2.2737367544323206e-13,440.1796960740852,0.0,27.94602170033329,159.23656420866428,29.153003905832705,0.0,440.1796960740852,0.0,76.5,0.0,94.5,0.0,4.593618334432217e-14,2.2436489641982367e-27,0.970486982219049,0.787947758026371,0.0007765203451080378,0.7037975508077121,0.0032206206971719846,,0.9999999974927153,2.0054557599088322e-13,0.9999999927353368,0.9999999930636863,0.9999999927353137,9.05930993516236e-14,0.999999994049281,0.999999967931766,0.999999967931766,2.299999975552631,0.9999999876095711,127,1.2594615971191363,0.7405090902935334,186,0,0,0.7777777673266839,0.9999999852369057,129,0,0,0.3523184902993512,0.7131038062153406,164,28.594871335025562,0.9697408768941529,151.5,147.60224510329044,0.9047117082883462,8,bior,550.3333333333334,572.0,194.79667930603108,135,0.5874747953979362,0.7143508340528981,0.37446239300557516,5,7.25,9
