signal_type,wavelet,wavelet_energy_entropy,wavelet_sparsity,wavelet_adaptive_threshold,wavelet_psnr,signal_length,scales_used,emd_value,kl_divergence,is_complex,wavelet_entropy,avg_variance_across_levels,variance_ratio_across_levels,smoothness,correlation,dynamic_cutoff,dominant_frequency,amplitude_max,num_fft_peaks,positive_frequencies,positive_amplitudes,relative_num_peaks,avg_prominence,prominence_min,prominence_max,relative_peaks,relative_prominences,relative_left_bases,relative_right_bases,max_autocorrelation,upper_envelope,lower_envelope,spectral_magnitude,spectral_centroid,spectral_bandwidth,frequency_max,wavelet_type,htid,positive_frequencies_dtw,positive_frequencies_euclidean,positive_frequencies_wasserstein,max_autocorrelation_diff,frequency_max_diff,relative_right_bases_array_alignment_score,relative_right_bases_global_alignment_score,relative_num_peaks_diff,positive_amplitudes_dtw,positive_amplitudes_euclidean,positive_amplitudes_wasserstein,relative_peaks_array_alignment_score,relative_peaks_global_alignment_score,spectral_centroid_diff,lower_envelope_diff,relative_prominences_avg_diff,relative_prominences_total_diff,relative_prominences_wasserstein,spectral_bandwidth_diff,spectral_magnitude_diff,avg_prominence_diff,num_fft_peaks_diff,amplitude_max_diff,prominence_min_diff,relative_left_bases_array_alignment_score,relative_left_bases_global_alignment_score,prominence_max_diff,upper_envelope_diff,dominant_frequency_diff,dynamic_cutoff_diff,emd_value_normalized,wavelet_psnr_normalized,wavelet_entropy_normalized,wavelet_energy_entropy_normalized,wavelet_sparsity_normalized,correlation_normalized,avg_variance_across_levels_normalized,kl_divergence_normalized,prominence_min_diff_normalized,positive_amplitudes_dtw_normalized,positive_amplitudes_euclidean_normalized,positive_amplitudes_wasserstein_normalized,avg_prominence_diff_normalized,relative_prominences_avg_diff_normalized,relative_prominences_wasserstein_normalized,spectral_centroid_diff_normalized,spectral_magnitude_diff_normalized,dynamic_cutoff_diff_normalized,relative_prominences_total_diff_normalized,prominence_max_diff_normalized,amplitude_max_diff_normalized,spectral_bandwidth_diff_normalized,num_fft_peaks_diff_normalized,relative_num_peaks_diff_normalized,dominant_frequency_diff_normalized,max_autocorrelation_diff_normalized,relative_right_bases_global_alignment_score_normalized,relative_left_bases_global_alignment_score_normalized,upper_envelope_diff_normalized,lower_envelope_diff_normalized,relative_peaks_global_alignment_score_normalized,reconstruction_weighted_score,reconstruction_normalized_weighted_score,reconstruction_normalized_weighted_rank,signal_weighted_score,signal_normalized_weighted_score,signal_normalized_weighted_rank,reconstruction_missing_metrics_count,reconstruction_dynamically_weighted_score,reconstruction_normalized_dynamically_weighted_score,reconstruction_normalized_dynamically_weighted_rank,signal_missing_metrics_count,signal_dynamically_weighted_score,signal_normalized_dynamically_weighted_score,signal_normalized_dynamically_weighted_rank,rank_variability,normalized_rank_stability,average_rank,harmonic_average_rank,stability_score_weighted,stability_rank,wavelet_family,normalized_family_mean_rank,normalized_family_std_dev,final_family_stability_score,final_family_stability_rank,family_informed_rank,across_emd_value_normalized,across_wavelet_psnr_normalized,across_wavelet_entropy_normalized,across_wavelet_energy_entropy_normalized,across_wavelet_sparsity_normalized,across_correlation_normalized,across_avg_variance_across_levels_normalized,across_kl_divergence_normalized,across_prominence_min_diff_normalized,across_positive_amplitudes_dtw_normalized,across_positive_amplitudes_euclidean_normalized,across_positive_amplitudes_wasserstein_normalized,across_avg_prominence_diff_normalized,across_relative_prominences_avg_diff_normalized,across_relative_prominences_wasserstein_normalized,across_spectral_centroid_diff_normalized,across_spectral_magnitude_diff_normalized,across_dynamic_cutoff_diff_normalized,across_relative_prominences_total_diff_normalized,across_prominence_max_diff_normalized,across_amplitude_max_diff_normalized,across_spectral_bandwidth_diff_normalized,across_num_fft_peaks_diff_normalized,across_relative_num_peaks_diff_normalized,across_dominant_frequency_diff_normalized,across_max_autocorrelation_diff_normalized,across_relative_right_bases_global_alignment_score_normalized,across_relative_left_bases_global_alignment_score_normalized,across_upper_envelope_diff_normalized,across_lower_envelope_diff_normalized,across_relative_peaks_global_alignment_score_normalized,across_reconstruction_weighted_score,across_reconstruction_normalized_weighted_score,across_reconstruction_normalized_weighted_rank,across_signal_weighted_score,across_signal_normalized_weighted_score,across_signal_normalized_weighted_rank,across_rank_variability,across_normalized_rank_stability,across_average_rank,across_harmonic_average_rank,across_stability_score_weighted,across_stability_rank,family_mean_stability_rank,family_median_stability_rank,family_rank_std_dev,family_wavelet_count,across_normalized_family_mean_rank,across_normalized_family_std_dev,across_final_family_stability_score,across_final_family_stability_rank,across_family_informed_rank
raw,gaus1,224802730.37633866,0.6748188405797102,1504.4286338661875,-26.40887555148214,48,23,23689.24709768872,,False,9.267908824650494,1885306.6039687605,0.08900513287328107,4.926148748710377e-07,-0.03266631487959789,1.0,0.0625,224349.44476514024,1,"[0.0, 0.020833333333333332, 0.041666666666666664, 0.0625, 0.08333333333333333, 0.10416666666666666, 0.125, 0.14583333333333331, 0.16666666666666666, 0.1875, 0.20833333333333331, 0.22916666666666666, 0.25, 0.2708333333333333, 0.29166666666666663, 0.3125, 0.3333333333333333, 0.35416666666666663, 0.375, 0.3958333333333333, 0.41666666666666663, 0.4375, 0.4583333333333333, 0.47916666666666663]","[43938.01917937404, 720419.4708773874, 400599.3733172534, 195106.30633361253, 224349.44476514024, 130107.07048492851, 107219.55647322824, 103924.29330712424, 91189.94755422453, 73257.03985038232, 59029.92606511885, 54522.90525124691, 63319.224830828294, 53945.328065505586, 53640.782388864965, 47801.657218797474, 43317.86007330108, 44219.37644741217, 43288.2536143869, 42359.97409808767, 41237.878024348895, 41706.68988853933, 40376.38687332083, 40006.62835825785]",1,6623.163012763476,6623.163012763476,6623.163012763476,[23],[6623.163012763476],[2],[28],35638885213.68595,42562.378085278375,-42562.378085278375,2758883.3933406724,0.12891335463337952,0.12961614401941604,0.47916666666666663,CWT,mdp.39015083020449,0.0,0.0,0.0,35612263748.68595,0.0,0.0,-4.5,4.0,2664881.2220183862,913527.7855827305,111036.71758409946,0.0,-4.5,0.015811313844017932,41256.378085278375,5699.563012763476,2005.1630127634762,5699.563012763476,0.01854102326684126,2664881.2220183876,5699.563012763476,3.0,217708.8492416957,6386.163012763476,0.0,-4.5,5321.163012763476,41256.378085278375,0.0,38.9,1.0,0.0,1.0,0.8731345529460185,0.4942528735632187,0.06897762059678325,1.0,,0.7736995738466956,0.9999999999999999,0.7250710263165742,1.0,0.0,0.0,0.0,0.0,0.9999999999999999,0.0,0.0,0.0,0.7113327707421746,0.0,1.0,0.9999999999999999,0.0,1.0,0.0,0.0,0.9389040572370774,0.9389040572370774,0.0,3.817112739630727,0.6132375736696368,3,1.8618594741370105,1.0,1,0,0.4386048471904174,0.6212472873324082,3,0,0.6337664353008602,1.0,1,1.1547005383792515,0.8845299461620748,2.0,1.5,0.8422649730810374,1,gaus,0.9791666666666666,1.0,0.014583333333333358,1,1.0,0.9543749515764363,0.07322477153387297,1.0,0.8792360394984298,0.6071428571428575,0.0536219584782448,0.9725344792131948,,0.12004565386826127,0.9890306005992029,0.7334968582027074,0.9884148388873637,0.07718084445863724,0.07718084445863724,0.07718084445863724,0.1340294247326815,0.9884156522937417,0.0,0.03450521646355875,0.08409918856267395,0.7044938044790123,0.13747894163131527,1.0,1.0,0.0,0.9478022823189165,0.0,0.0,0.9426331358005893,0.9426331358005893,0.0,3.859016277628326,0.6787464483519545,4,1.9231850860761885,1.0,1,2.1213203435596424,0.8939339828220179,2.5,1.6,0.8844669914110089,1,10.5,11.0,5.910442735813733,16,0.8076923076923077,0.5970448769012373,0.2555019215450134,2,1.25
smoothed,gaus1,230590536.0718857,0.6711956521739131,1533.3822634866117,-27.28749762273923,48,23,24547.35340452938,,False,9.25644812966512,1931414.161451035,0.08810963741219151,1.7906079984954567e-06,-0.024321515254936973,0.0,0.0625,209223.41387775986,1,"[0.0, 0.020833333333333332, 0.041666666666666664, 0.0625, 0.08333333333333333, 0.10416666666666666, 0.125, 0.14583333333333331, 0.16666666666666666, 0.1875, 0.20833333333333331, 0.22916666666666666, 0.25, 0.2708333333333333, 0.29166666666666663, 0.3125, 0.3333333333333333, 0.35416666666666663, 0.375, 0.3958333333333333, 0.41666666666666663, 0.4375, 0.4583333333333333, 0.47916666666666663]","[44928.052434365185, 754209.4715139411, 406371.2613745629, 199762.50701410128, 209223.41387775986, 128700.39406736326, 105609.8568523811, 93990.92537891229, 81123.44107632944, 70819.53922763374, 64526.868023804986, 59990.233400728896, 53569.78956694829, 51436.1098767672, 48067.729635160635, 46689.95852442918, 45286.25233611173, 43268.93040000446, 41888.72180299837, 40903.249889124825, 40154.04152850098, 39616.87683230512, 39124.05042479854, 38815.491021193935]",1,2924.302088503464,2924.302088503464,2924.302088503464,[24],[2924.302088503464],[3],[28],37454486814.84371,43342.015015309466,-43342.015015309466,2748077.1660802276,0.12580304733477315,0.1289949012241265,0.47916666666666663,CWT,mdp.39015083020449,0.0,0.0,0.0,37434484996.80371,0.0,0.0,-4.5,4.0,2690158.7332994374,938924.4885989109,112089.94722080987,0.0,-4.5,0.06216963065815069,42133.41501530947,2390.702088503464,256.30208850346435,2390.702088503464,0.028297769785896015,2690158.733299437,2390.702088503464,2.0,203450.90673536548,2786.5020885034637,0.0,-4.5,1715.702088503464,42133.41501530947,0.0,201.96000000000004,1.0,0.0,1.0,0.9107298974192043,0.7441860465116283,0.0,1.0,,0.039389007973368015,0.9999999999999998,0.7634343327282435,1.0000000000000002,0.0,0.0,0.0,1.0000000000000002,1.0,0.0,0.0,0.0,0.6377547195715801,0.4708922951355445,1.0,1.0,0.0,1.0,0.0,0.0,0.9773842123652481,0.9773842123652481,0.0,4.424295911146557,0.7071736034668725,2,1.9530393673142536,1.0,1,0,0.4724451643538798,0.6740020263539842,2,0,0.664987991990119,1.0,1,0.5773502691896257,0.9422649730810374,1.5,1.3333333333333333,0.8961324865405187,1,gaus,0.5375,1.0,0.32375,1,1.0,1.0,0.0,0.963359386444467,0.9055443601252007,0.5714285714285717,0.06284688566242003,1.0,,0.03938900797336801,1.0,0.7610168213940001,1.0,0.0,0.0,0.0,0.5340729912903366,1.0,0.027327008248883452,0.0,0.0,0.63775471957158,0.26273494560548016,0.5,1.0,0.0,1.0,0.0,0.0,0.9725845688068566,0.9725845688068566,0.0,3.8515585488898263,0.6774347392194033,5,1.8881620561212302,0.9817890486940003,2,2.1213203435596424,0.8939339828220179,3.5,2.857142857142857,0.8594669914110089,2,10.5,11.0,5.910442735813733,16,0.8076923076923077,0.5970448769012373,0.2555019215450134,2,2.0
raw,gaus4,48370886.1262734,0.6693840579710145,647.7485409031434,-17.174034899260285,48,23,7542.482057614678,,False,9.166971518635176,332762.24061254895,0.07738643165349052,3.260234418518085e-07,0.6212653368267247,1.0,0.020833333333333332,239194.2049123365,2,"[0.0, 0.020833333333333332, 0.041666666666666664, 0.0625, 0.08333333333333333, 0.10416666666666666, 0.125, 0.14583333333333331, 0.16666666666666666, 0.1875, 0.20833333333333331, 0.22916666666666666, 0.25, 0.2708333333333333, 0.29166666666666663, 0.3125, 0.3333333333333333, 0.35416666666666663, 0.375, 0.3958333333333333, 0.41666666666666663, 0.4375, 0.4583333333333333, 0.47916666666666663]","[221481.02832313254, 90445.79204894199, 239194.2049123365, 80608.46572122206, 115538.9586476355, 37140.421339714456, 28655.802061257753, 27162.230334920903, 19568.49291372523, 4603.773756490872, 7380.49603122718, 11190.060060469896, 11830.135547597016, 5057.318200413983, 7545.969818370804, 5665.8114563276595, 6891.721109525457, 4539.147141456686, 1794.1176184647582, 2239.5201763349723, 3944.4765235381187, 3245.2401267131413, 3994.5535650391635, 3255.7568493637054]",4,13889.564893450364,3361.730253366798,31937.179679945817,"[8, 17, 38, 43]","[5161.55698083847, 31937.179679945817, 3361.730253366798, 15097.792659650375]","[0, 0, 26, 26]","[11, 26, 40, 47]",4736716048.936537,22633.662534181796,-22633.662534181796,942973.4942842203,0.0703864606583504,0.08663967937617822,0.47916666666666663,CWT,mdp.39015083020449,0.0,0.0,0.0,4710094583.936537,0.0,0.0,6.0,1.0,661125.997417149,346753.29258309706,35373.805123413986,0.0,0.0,0.07433820781904706,21327.662534181796,12965.964893450364,50940.25957380146,12965.964893450366,0.06151748791007908,848971.3229619354,12965.964893450364,2.0,232553.60938889196,3124.730253366798,0.0,1.5,30635.179679945817,21327.662534181796,0.04166666666666667,38.9,0.08182542600228068,0.8537686076617247,0.4917054147763492,0.03064957892039039,0.42528735632183906,0.9988962105281636,0.0,,0.2862729576560395,0.08572568417329712,0.09149463942726063,0.09921025582342782,0.4364960286705518,0.4364960286705518,0.4364960286705519,0.5832194146628095,0.09981857071277206,0.0,1.0000000000000002,0.6847642185506496,0.7861968155341208,0.6396678294868479,0.5,0.0,1.0,0.047120870824031914,1.0,0.5714285714285714,0.21408384930898358,0.21408384930898358,0.3333333333333333,3.573619737854995,0.5741192484328161,4,1.36765971598609,0.7345665636876345,6,0,0.4150395194018604,0.5878689604454181,4,0,0.41173322774439264,0.6496608289912601,7,1.5,0.85,5.25,4.9411764705882355,0.6625,3,gaus,0.9791666666666666,1.0,0.014583333333333358,1,2.5,0.09586018369223191,0.8428606810247026,0.6772966362193724,0.07726966891443506,0.5535714285714287,0.7765239024135775,0.04770909672377352,,0.04696759659575877,0.11948331345935854,0.11933787956771681,0.15614901521937238,0.24667332122469124,0.24667332122469124,0.24667332122469127,0.6390802767553034,0.1562082628868124,0.0,1.0,0.6745613529554207,0.7739796862922081,0.6892059149247107,0.5,0.0,1.0,0.06260642398896608,0.9999999999999999,0.5714285714285714,0.26205336966865966,0.26205336966865966,0.33333333333333337,3.480316525510117,0.6121385117044387,6,1.4628793873729067,0.7606544986044851,7,0.7071067811865476,0.9646446609406726,6.5,6.461538461538462,0.8198223304703363,3,10.5,11.0,5.910442735813733,16,0.8076923076923077,0.5970448769012373,0.2555019215450134,2,2.75
raw,gaus6,45604720.41841574,0.6639492753623188,628.3154364055258,-16.964920727914695,48,23,7279.711300262286,,False,9.154371030735337,362140.0061974759,0.07756009081134643,2.817092086867097e-07,0.5713868085100017,1.0,0.020833333333333332,243318.40083278692,2,"[0.0, 0.020833333333333332, 0.041666666666666664, 0.0625, 0.08333333333333333, 0.10416666666666666, 0.125, 0.14583333333333331, 0.16666666666666666, 0.1875, 0.20833333333333331, 0.22916666666666666, 0.25, 0.2708333333333333, 0.29166666666666663, 0.3125, 0.3333333333333333, 0.35416666666666663, 0.375, 0.3958333333333333, 0.41666666666666663, 0.4375, 0.4583333333333333, 0.47916666666666663]","[110234.64206715404, 109134.57753666767, 243318.40083278692, 95411.791897168, 122644.33417284998, 37898.889272160595, 29422.456344306454, 29951.086145493795, 20478.092553484435, 5320.600337270451, 8679.693391758301, 11440.354183230078, 11973.726876968807, 4488.461016846665, 7112.542595708536, 5098.23657419673, 6235.372522895518, 3855.3927468334277, 1867.663426549867, 2091.52076155302, 3513.924912660672, 3426.108423531831, 3481.3163831058287, 2443.4624639306]",4,12980.434926191043,2996.1558154857903,26276.015299141225,"[6, 17, 38, 43]","[7694.292405379107, 26276.015299141225, 2996.1558154857903, 14955.276184758046]","[0, 0, 26, 26]","[11, 26, 40, 47]",4397396654.726997,18893.468677524485,-18893.468677524485,879522.6474391123,0.07732379907259515,0.08384060347187756,0.47916666666666663,CWT,mdp.39015083020449,0.0,0.0,0.0,4370775189.726997,0.0,0.0,6.0,1.0,593430.0313896217,315536.4507655971,32730.019838201137,0.0,0.0,0.0674008694048023,17587.468677524485,12056.834926191043,47303.73970476417,12056.834926191043,0.06431656381437974,785520.4761168275,12056.834926191043,2.0,236677.80530934237,2759.1558154857903,0.0,1.5,24974.015299141225,17587.468677524485,0.04166666666666667,38.9,0.06688314947863694,0.87310138465654,0.42825256445268234,0.01744077835243859,0.35632183908045933,0.9279668242549788,0.018922335669313554,,0.2316372425063874,0.054837338998121155,0.05659847862060336,0.06773519633556982,0.38188418270194285,0.38188418270194285,0.38188418270194285,0.5140889658301772,0.06836476673703931,0.0,0.925686876606009,0.531625234158098,0.8069956688034123,0.681329674478899,0.5,0.0,1.0,0.036657839340930365,1.0,0.5714285714285714,0.07805059207657952,0.07805059207657952,0.3333333333333333,3.271546438941828,0.5255897158956623,5,1.2880568466419762,0.6918120645163098,8,0,0.3774814312798323,0.5346710523222741,6,0,0.38412698227786435,0.6061018079878472,10,2.217355782608345,0.7782644217391654,7.25,6.76056338028169,0.5266322108695827,8,gaus,0.9791666666666666,1.0,0.014583333333333358,1,6.25,0.08188880458345965,0.8602883531970711,0.637012027970189,0.06469613445644735,0.49999999999999994,0.7213846764918664,0.06520895304673965,,0.038776267299804434,0.0901060507643794,0.08551119201623904,0.1270682930208675,0.22546740770887316,0.22546740770887316,0.22546740770887316,0.579215342211221,0.12712958247647743,0.0,0.9282510670148016,0.542511847844422,0.7932843693899008,0.7251401335608467,0.5,0.0,1.0,0.05288658455620736,0.9999999999999999,0.5714285714285714,0.1343230975532625,0.1343230975532625,0.33333333333333337,3.2428762034849843,0.5703761132910404,8,1.4062311863220411,0.731199090770368,9,0.7071067811865476,0.9646446609406726,8.5,8.470588235294118,0.7698223304703362,4,10.5,11.0,5.910442735813733,16,0.8076923076923077,0.5970448769012373,0.2555019215450134,2,3.5
raw,mexh,251370687.6520515,0.6358695652173914,1332.5079891312682,-25.82916551165845,48,23,22938.104579620165,,False,9.076447695182953,518310.2521752742,0.06807426931081684,7.822406939208644e-07,0.4686488602162314,6045.790550700422,0.0625,83299.56700534125,1,"[0.0, 0.020833333333333332, 0.041666666666666664, 0.0625, 0.08333333333333333, 0.10416666666666666, 0.125, 0.14583333333333331, 0.16666666666666666, 0.1875, 0.20833333333333331, 0.22916666666666666, 0.25, 0.2708333333333333, 0.29166666666666663, 0.3125, 0.3333333333333333, 0.35416666666666663, 0.375, 0.3958333333333333, 0.41666666666666663, 0.4375, 0.4583333333333333, 0.47916666666666663]","[1118528.9597190218, 342915.0982668142, 182907.44092839136, 47151.3153531341, 83299.56700534125, 28140.4929770263, 20839.594330513086, 18591.693365694642, 15010.61595658059, 4902.382023065125, 3103.8044828835555, 9220.694362558243, 9932.605236894908, 4249.438034711728, 5694.323177820172, 4029.191920895416, 3863.9750741016487, 2509.600201842681, 2720.622564251877, 2105.9348035811076, 3719.399547911707, 2633.4586842787476, 2877.2042510004394, 2489.101250417972]",2,23270.283269088308,2949.910216897122,43590.65632127949,"[18, 30]","[43590.65632127949, 2949.910216897122]","[0, 27]","[47, 47]",32829835934.882782,44242.19281909875,-44242.19281909875,1921436.5135187325,0.028561938847835637,0.06243054758616373,0.47916666666666663,CWT,mdp.39015083020449,0.0,0.0,0.0,32803214469.882782,0.0,0.0,-4.0,3.0,1687499.1734958189,1159469.289866658,76143.09759151864,0.0,0.5,0.11616272962956181,42936.19281909875,22346.68326908831,41922.566538176616,22346.68326908831,0.08572661970009357,1827434.3421964475,22346.68326908831,3.0,76658.97148189669,2712.910216897122,0.0,0.5,42288.65632127949,42936.19281909875,0.0,6005.890550700422,0.9572868026612465,0.05359466959819359,0.0358504775787597,0.9999999999999999,0.0,0.7818690971293747,0.11951221230265974,,0.22472575994742894,0.5540396887089319,1.0,0.5845809524865515,1.0,1.0,1.0,1.0,0.5848614903074505,1.0,0.8157213601412466,1.0,0.0,1.0,1.0,0.6666666666666665,0.0,0.9133819889365024,0.04761904761904763,0.4761904761904762,0.9999999999999999,0.9999999999999999,0.37037037037037035,6.224525214247686,1.0,1,1.1978206051194837,0.643346408124966,9,0,0.7060068609293338,1.0,1,0,0.42115903703860497,0.6645335151563735,6,3.947573094109004,0.6052426905890996,4.25,1.7560975609756098,0.5901213452945497,6,mexh,1.0,,,2,5.0,0.9144371099749075,0.12153807552502816,0.38788587736790453,0.9999999999999999,0.2232142857142861,0.6078109377934859,0.15823702417873772,,0.03774005445974912,0.5648870234009875,1.0,0.6045971078560243,0.4654832931253112,0.4654832931253112,0.4654832931253112,1.0,0.6046248695100143,1.0,0.822079934499183,0.9463845539436226,0.044262514879213066,1.0,1.0,0.6666666666666666,0.0,0.8673367727883508,0.047619047619047616,0.47619047619047616,1.0,1.0,0.3703703703703704,5.685504928973546,1.0,1,1.4369018160660454,0.7471469212553582,8,4.949747468305833,0.7525126265847084,4.5,1.7777777777777777,0.7637563132923542,5,8.0,8.0,4.242640687119285,2,0.6153846153846154,0.42857142857142855,0.44065934065934054,1,4.0
raw,morl,41952300.74952352,0.6766304347826086,611.6443226079025,-15.59231405068633,48,23,6103.5226642933885,,False,9.160193837457546,345049.3353090415,0.08381857957218136,2.1613981825591044e-07,0.622041536894418,1.0,0.020833333333333332,184178.34447282052,2,"[0.0, 0.020833333333333332, 0.041666666666666664, 0.0625, 0.08333333333333333, 0.10416666666666666, 0.125, 0.14583333333333331, 0.16666666666666666, 0.1875, 0.20833333333333331, 0.22916666666666666, 0.25, 0.2708333333333333, 0.29166666666666663, 0.3125, 0.3333333333333333, 0.35416666666666663, 0.375, 0.3958333333333333, 0.41666666666666663, 0.4375, 0.4583333333333333, 0.47916666666666663]","[45891.1909980896, 67956.3009121441, 184178.34447282052, 132615.57449008513, 125143.81786632507, 30874.14210013618, 25118.673851662857, 39255.33481892127, 22219.993132809996, 11818.671262695903, 12487.817178578307, 8677.481076498949, 9672.365646746157, 861.5704238547279, 5212.710662032959, 1920.2352362267902, 3256.411807458057, 2821.731727439552, 4284.082057979917, 2402.9174153448835, 467.21780407328504, 1638.2131645552117, 981.6565045817083, 1855.930934764258]",4,12971.493441848133,4466.684247677549,25366.982697668118,"[5, 18, 38, 43]","[7399.832035656546, 25366.982697668118, 4466.684247677549, 14652.474786390325]","[0, 11, 26, 26]","[11, 26, 40, 47]",3208571421.97448,16747.490914935483,-16747.490914935483,741612.3855458254,0.08368546288164619,0.07485842180751033,0.47916666666666663,CWT,mdp.39015083020449,0.0,0.0,0.0,3181949956.97448,0.0,0.0,6.0,1.0,473246.62186076655,264905.50130385964,27040.520969038884,0.0,9.0,0.06103920559575127,15441.490914935483,12047.893441848133,47267.973767392534,12047.893441848135,0.07329874547874697,647610.2142235405,12047.893441848133,2.0,177537.74894937596,4229.684247677549,0.0,6.0,24064.982697668118,15441.490914935483,0.04166666666666667,38.9,0.0,0.9999999999999999,0.4575747372403499,0.0,0.5172413793103439,1.0,0.007914166568439261,,0.45141019218632294,0.0,0.0,0.0,0.38134706371648275,0.38134706371648275,0.38134706371648286,0.4506951037779841,0.0,0.0,0.9249559914155194,0.5070351816520575,0.5087447180012894,0.8150217475006942,0.5,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,3.2269312965523023,0.5184220780672536,6,1.438849586971688,0.7728024627844743,5,0,0.4044306141601442,0.5728423285119105,5,0,0.42610432615987615,0.6723365303459102,5,0.5,0.95,5.25,5.217391304347826,0.7124999999999999,2,morl,0.3333333333333333,,,3,2.25,0.019351490682455064,0.9746820312458279,0.6556279331303307,0.04809415561208685,0.6249999999999994,0.7773819684459435,0.05502831884751535,,0.07172600715844005,0.037951398124194666,0.030647304186409305,0.06448577658572723,0.22525884309159364,0.22525884309159364,0.22525884309159366,0.5243181230214662,0.06392714105453638,0.0,0.92754540117602,0.5213082054345142,0.5164594880238988,0.8404523618791091,0.5,0.0,1.0,0.018832561788411112,0.9999999999999999,1.0,0.0610364353977188,0.0610364353977188,1.0,3.1604910702993485,0.5558857321877196,9,1.5254398252408254,0.7931840966763788,4,3.5355339059327378,0.8232233047033631,6.5,5.538461538461538,0.7491116523516816,6,13.0,13.0,9.899494936611665,2,1.0,1.0,0.0,3,5.25
raw,gaus8,48205627.37279472,0.6829710144927537,679.6017156870585,-16.922927155924892,48,23,7200.984708283733,,False,9.207245172819533,394272.9014228688,0.07569011659370213,2.5042006906688334e-07,0.5676926264197897,1.0,0.020833333333333332,235940.83862518737,3,"[0.0, 0.020833333333333332, 0.041666666666666664, 0.0625, 0.08333333333333333, 0.10416666666666666, 0.125, 0.14583333333333331, 0.16666666666666666, 0.1875, 0.20833333333333331, 0.22916666666666666, 0.25, 0.2708333333333333, 0.29166666666666663, 0.3125, 0.3333333333333333, 0.35416666666666663, 0.375, 0.3958333333333333, 0.41666666666666663, 0.4375, 0.4583333333333333, 0.47916666666666663]","[76394.67477585713, 111402.73137142055, 235940.83862518737, 110222.85669686315, 127381.80065926407, 36858.43801588298, 28748.289086113986, 32895.15310153716, 21275.25811667285, 6901.254299681419, 9791.827752098267, 11044.496630024818, 11562.67289801961, 3480.7799633518553, 6345.933852405367, 4199.430871286571, 5625.0715751144935, 3310.6583026924177, 688.3052137517361, 974.8862214960237, 2948.6931844037463, 2839.9911465657283, 2532.991413882213, 1521.5420110132443]",4,13030.754343825736,3288.976970249454,23611.67941604466,"[6, 17, 38, 43]","[10032.69322467891, 23611.67941604466, 3288.976970249454, 15189.667764329926]","[0, 0, 26, 26]","[11, 26, 40, 47]",4318051872.879735,19234.961780677877,-19234.961780677877,854888.5757845868,0.07760796106396949,0.07773755476284729,0.47916666666666663,CWT,mdp.39015083020449,0.0,0.0,0.0,4291430407.879735,0.0,0.0,6.0,1.0,575861.3160068635,310327.5473230383,31717.228845208985,0.0,0.0,0.06711670741342797,17928.961780677877,12107.154343825736,47505.017375302945,12107.154343825738,0.07041961252341002,760886.404462302,12107.154343825736,1.0,229300.24310174282,3051.976970249454,0.0,1.5,22309.67941604466,17928.961780677877,0.04166666666666667,38.9,0.06240641653102795,0.8769837248980958,0.6945132878730619,0.029860446906134153,0.5977011494252875,0.9227135403814793,0.03961926129914202,,0.2753998570212106,0.0468210778104694,0.05077563679629094,0.055677614756803925,0.3849068927478786,0.3849068927478786,0.3849068927478787,0.5112572968482307,0.05615318407941025,0.0,0.9298000322894296,0.4595528363663116,0.7697896687004455,0.7721683219424748,0.0,0.0,1.0,0.034211215408862794,1.0,0.5714285714285714,0.09047091597547888,0.09047091597547888,0.3333333333333333,3.0658873919667635,0.49254959799167836,8,1.5311126077301276,0.8223566971614831,2,0,0.35661005030332354,0.5051084770393154,7,0,0.4605425467591756,0.7266755086841226,2,3.2015621187164243,0.6798437881283576,4.75,3.154929577464789,0.6024218940641788,5,gaus,0.9791666666666666,1.0,0.014583333333333358,1,4.0,0.07770295424928819,0.8637881169924934,0.806054220407894,0.07651848953807093,0.6875000000000002,0.7173008683334801,0.08434999520870086,,0.045337433111598706,0.08248195146719621,0.07986680459654566,0.11592794297917286,0.22664113342131936,0.22664113342131936,0.2266411334213194,0.5767632001939581,0.11584011460545142,0.0,0.9322222973710176,0.4803648739806504,0.7587512135461142,0.80349037991191,0.0,0.0,1.0,0.0506137450057913,0.9999999999999999,0.5714285714285714,0.14598532915488793,0.14598532915488793,0.33333333333333337,3.025461993936554,0.5321360251608764,10,1.5785304568601373,0.8207896724494474,3,4.949747468305833,0.7525126265847084,6.5,4.615384615384615,0.7137563132923542,7,10.5,11.0,5.910442735813733,16,0.8076923076923077,0.5970448769012373,0.2555019215450134,2,5.75
