amplitude_max,amplitude_max_diff,avg_prominence,avg_prominence_diff,avg_variance_across_levels,correlation,decomposition_levels,dominant_frequency,dominant_frequency_diff,dynamic_cutoff,dynamic_cutoff_diff,emd_value,frequency_max,frequency_max_diff,htid,kl_divergence,lower_envelope,lower_envelope_diff,max_autocorrelation,max_autocorrelation_diff,num_fft_peaks,num_fft_peaks_diff,original_level,padded,positive_amplitudes,positive_amplitudes_dtw,positive_amplitudes_euclidean,positive_amplitudes_wasserstein,positive_frequencies,positive_frequencies_dtw,positive_frequencies_euclidean,positive_frequencies_wasserstein,prominence_max,prominence_max_diff,prominence_min,prominence_min_diff,relative_left_bases,relative_left_bases_array_alignment_score,relative_left_bases_global_alignment_score,relative_num_peaks,relative_num_peaks_diff,relative_peaks,relative_peaks_array_alignment_score,relative_peaks_global_alignment_score,relative_prominences,relative_prominences_avg_diff,relative_prominences_total_diff,relative_prominences_wasserstein,relative_right_bases,relative_right_bases_array_alignment_score,relative_right_bases_global_alignment_score,signal_length,signal_type,smoothness,spectral_bandwidth,spectral_bandwidth_diff,spectral_centroid,spectral_centroid_diff,spectral_magnitude,spectral_magnitude_diff,upper_envelope,upper_envelope_diff,variance_ratio_across_levels,wavelet,wavelet_adaptive_threshold,wavelet_energy_entropy,wavelet_entropy,wavelet_psnr,wavelet_sparsity,wavelet_type,emd_value_normalized,smoothness_normalized,wavelet_psnr_normalized,wavelet_entropy_normalized,wavelet_energy_entropy_normalized,wavelet_sparsity_normalized,correlation_normalized,avg_variance_across_levels_normalized,kl_divergence_normalized,prominence_min_diff_normalized,positive_amplitudes_dtw_normalized,positive_amplitudes_euclidean_normalized,positive_amplitudes_wasserstein_normalized,avg_prominence_diff_normalized,relative_prominences_avg_diff_normalized,relative_prominences_wasserstein_normalized,spectral_centroid_diff_normalized,spectral_magnitude_diff_normalized,dynamic_cutoff_diff_normalized,relative_prominences_total_diff_normalized,prominence_max_diff_normalized,amplitude_max_diff_normalized,spectral_bandwidth_diff_normalized,num_fft_peaks_diff_normalized,relative_num_peaks_diff_normalized,dominant_frequency_diff_normalized,max_autocorrelation_diff_normalized,relative_right_bases_global_alignment_score_normalized,relative_left_bases_global_alignment_score_normalized,upper_envelope_diff_normalized,lower_envelope_diff_normalized,relative_peaks_global_alignment_score_normalized,reconstruction_weighted_score,reconstruction_normalized_weighted_score,reconstruction_normalized_weighted_rank,signal_weighted_score,signal_normalized_weighted_score,signal_normalized_weighted_rank,reconstruction_missing_metrics_count,reconstruction_dynamically_weighted_score,reconstruction_normalized_dynamically_weighted_score,reconstruction_normalized_dynamically_weighted_rank,signal_missing_metrics_count,signal_dynamically_weighted_score,signal_normalized_dynamically_weighted_score,signal_normalized_dynamically_weighted_rank,rank_variability,normalized_rank_stability,average_rank,harmonic_average_rank,stability_score_weighted,stability_rank,wavelet_family,family_mean_stability_rank,family_median_stability_rank,family_rank_std_dev,family_wavelet_count,normalized_family_mean_rank,normalized_family_std_dev,final_family_stability_score,final_family_stability_rank,family_informed_rank
,,759.5066194779718,404.2843972557495,94817.79192783896,0.8339426287466954,2,,,354.1882039055047,266.4882039055047,174.26138000788555,,,uc1.b4952555,,-1521.4453488332088,711.4453488332088,19926593.012680747,12800900.012680747,,,False,False,[],,,,[],,,,1533.7941860839703,825.7941860839703,275.354308913836,170.354308913836,"[2, 2, 14, 20, 26, 31, 31, 31, 31, 47, 50, 50, 2]",0.0,0.5,13,4.0,"[4, 10, 17, 22, 29, 32, 37, 40, 45, 48, 52, 59, 64]",0.0,14.0,"[566.8538692811808, 1250.5044450246023, 402.7300691910535, 603.6214585066039, 941.3320882172261, 310.67643587970804, 275.354308913836, 805.198499179219, 1217.6576648172334, 329.73724404418834, 682.6543573869786, 953.4714266878325, 1533.7941860839703]",404.2843972557495,6676.586053213632,404.28439725574947,"[8, 31, 20, 26, 31, 35, 39, 42, 50, 50, 54, 62, 66]",0.0,9.5,68,raw,2.7059154274965523e-06,,,,,0.0,61048.37231436422,1521.4453488332088,711.4453488332088,0.6358724873359819,bior2.6,144.48780431953676,707260.1742301069,6.915599194971867,9.321672117734783,0.7132352941176471,SWT,0.8248032600289599,0.10151596247807627,0.7586892299706838,0.37626515202370353,0.15755112025991236,0.6521739130434783,0.9391433057981466,0.2145751853320097,,0.8785108057424431,,,,0.9954828456220532,0.9954828456220532,0.9950076397859908,,1.0,0.8205537204177281,0.9180462747695166,0.9154129182175536,,,,0.42857142857142855,,0.9546357546101789,0.8,0.41935483870967744,0.8837006513101324,0.8837006513101324,0.6973684210526316,4.34998757507337,0.875641293033042,10,1.722374402545783,0.9257647609464122,5,0.3478260869565216,0.8216639487016089,1.0,1,0,0.5030896411168713,0.985796856953384,3,3.8622100754188224,0.9635640558922752,4.75,2.4489795918367347,0.9593763675687792,1,bior,46.666666666666664,24.0,44.674484035179674,15,0.7241050769021369,1.0,0.19312644616850416,3,1.5
,,755.4437399108364,400.22151768861414,94885.97700485057,0.8232224497758648,2,,,343.37596709615525,255.67596709615526,175.3229634036133,,,uc1.b4952555,,-1500.927241983364,690.927241983364,19928677.129079215,12802984.129079215,,,False,False,[],,,,[],,,,1517.6734284959568,809.6734284959568,248.23599335989283,143.23599335989283,"[2, 2, 14, 20, 26, 31, 35, 31, 2, 47, 50, 50, 2]",0.0,0.5,13,4.0,"[5, 10, 17, 22, 29, 32, 37, 40, 45, 48, 52, 59, 64]",0.0,9.5,"[588.3032326200986, 1250.9205053544333, 408.58115859035814, 599.6637524007226, 944.879919666133, 297.5515286732922, 248.23599335989283, 810.2595785693372, 1204.8927374875407, 314.3714790857939, 654.9555643604244, 980.4797401768906, 1517.6734284959568]",400.22151768861414,6623.768618840873,400.2215176886142,"[8, 31, 20, 26, 31, 35, 39, 42, 50, 50, 54, 62, 66]",0.0,9.5,68,raw,2.7973647169412925e-06,,,,,0.0,61048.37231436422,1500.927241983364,690.927241983364,0.6358280997611246,bior2.8,145.98364454486418,702470.7807426447,6.9179390205225815,9.244348281349122,0.6911764705882353,SWT,0.8396594137408907,0.12084320089517508,0.7463038655295136,0.3803486607122756,0.15059637546659604,0.5217391304347825,0.9314347447092435,0.21597809510855404,,0.738612676276946,,,,0.9854725682220855,0.9854725682220855,0.9839442785542432,,1.0,0.7871961358202871,0.9086049307738615,0.8971452044766577,,,,0.42857142857142855,,0.9549257608778677,0.8,0.41935483870967744,0.8571310069720152,0.8571310069720152,0.5789473684210527,4.233992575129501,0.8522917983544269,15,1.6690664098989956,0.8971120702211886,14,0.3478260869565216,0.7947760138435225,0.9672762387828082,3,0,0.48836293582462886,0.9569400914709105,8,5.597618541248888,0.9471922779127463,10.0,6.706586826347306,0.9264263276356184,2,bior,46.666666666666664,24.0,44.674484035179674,15,0.7241050769021369,1.0,0.19312644616850416,3,2.25
,,716.5561812068111,361.33395898458883,94886.97743486828,0.8473191521531171,2,,,359.25310803671925,271.55310803671927,172.57895499114952,,,uc1.b4952555,,-1551.3566380385514,741.3566380385514,19983104.23840423,12857411.23840423,,,False,False,[],,,,[],,,,1548.2597562657832,840.2597562657832,42.82769715031782,62.17230284968218,"[2, 2, 16, 20, 24, 27, 31, 31, 31, 31, 47, 50, 50, 2]",0.0,-2.0,14,5.0,"[4, 10, 17, 22, 25, 29, 32, 37, 40, 45, 48, 52, 59, 64]",0.0,13.0,"[585.0761165041546, 1246.0346814576994, 405.5445067353104, 601.5010203841571, 42.82769715031782, 939.6070002472107, 330.7233087516476, 314.0333573232306, 798.2567187909907, 1229.8856953281627, 349.6558293017337, 719.9203040105197, 920.4605446444375, 1548.2597562657832]",361.33395898458883,6834.786536895355,370.2157165345435,"[8, 31, 20, 27, 27, 31, 35, 39, 42, 50, 50, 54, 62, 66]",0.0,4.0,68,raw,2.5447970107032048e-06,,,,,0.0,61048.37231436422,1551.3566380385514,741.3566380385514,0.6361360381802919,bior2.4,136.9479753492914,717055.0711490052,6.910875238956849,9.388971072036629,0.7132352941176471,SWT,0.8012588406663212,0.06746458740826564,0.7694688564674956,0.36802081285667765,0.1717744260973023,0.6521739130434783,0.9487619649750234,0.21599867898282837,,0.3204208218680748,,,,0.8896599201722453,0.8896599201722453,0.9022374468034944,,1.0,0.8361798088038817,0.9463252929470547,0.931805007344722,,,,0.5714285714285714,,0.9624993315517697,0.6000000000000001,0.33870967741935487,0.9224338698130147,0.9224338698130147,0.6710526315789473,4.164624623582891,0.8383282084041034,20,1.7189697845803955,0.9239348014833698,6,0.3478260869565216,0.7629317736332669,0.9285204429850544,5,0,0.49936526006217413,0.9784989862803437,5,7.3484692283495345,0.9306748186004761,9.0,6.486486486486486,0.9228845791115587,3,bior,46.666666666666664,24.0,44.674484035179674,15,0.7241050769021369,1.0,0.19312644616850416,3,3.0
,,738.0040985383647,382.7818763161425,95792.59890314122,0.8664796081071446,2,,,322.34988687544785,234.64988687544786,174.09498998237507,,,uc1.b4952555,,-1611.2562033790753,801.2562033790753,20252601.02786792,13126908.02786792,,,False,False,[],,,,[],,,,1536.8050586507368,828.8050586507368,80.17278137423858,24.827218625761418,"[2, 2, 16, 20, 24, 27, 31, 31, 31, 31, 47, 50, 50, 2]",0.0,-2.0,14,5.0,"[4, 10, 17, 22, 25, 29, 32, 37, 40, 45, 48, 52, 59, 64]",0.0,13.0,"[623.8478714274745, 1283.150981931019, 449.1019657752058, 589.7783184869126, 80.17278137423858, 1009.8503781598188, 364.65227246638625, 372.05817972202544, 793.1339283436706, 1187.1944523195818, 378.6915401882454, 773.1506306915128, 890.4690200002772, 1536.8050586507368]",382.7818763161425,7135.057379537106,386.3286218341084,"[8, 50, 20, 27, 27, 31, 35, 39, 43, 50, 50, 54, 62, 66]",0.0,4.0,68,raw,2.2255797253350985e-06,,,,,0.0,61048.37231436422,1611.2562033790753,801.2562033790753,0.6379367560675646,bior2.2,127.80738048325168,737830.1985598502,6.8924182278433115,9.388802403703316,0.6911764705882353,SWT,0.822474742264775,0.0,0.7694418399758753,0.3358092810079903,0.2019422771141997,0.5217391304347825,0.9625396776060104,0.23463186482600135,,0.1277647766478074,,,,0.9425041156726818,0.9425041156726818,0.9461134438337784,,1.0,0.7223271117615154,1.0,0.9188247776081384,,,,0.5714285714285714,,1.0,0.6000000000000001,0.33870967741935487,1.0,1.0,0.6710526315789473,4.164894802862065,0.8383825947970031,19,1.6648475748727702,0.894844474515079,17,0.3478260869565216,0.7680239770937393,0.9347178713479747,4,0,0.48107235165370427,0.9426542975016764,9,6.994045086119096,0.9340184425837821,12.25,8.46442220200182,0.9092262024239666,4,bior,46.666666666666664,24.0,44.674484035179674,15,0.7241050769021369,1.0,0.19312644616850416,3,3.75
4756.33650184485,2026.2489150392007,587.470653884862,232.2484316626398,84670.67534573552,0.8107246640091514,2,0.16176470588235295,0.11764705882352942,54.9318985039466,32.768101496053404,141.85979716340177,0.4852941176470588,0.0,uc1.b4952555,,-1163.1819263239277,353.18192632392766,17135604.516576543,10009911.516576543,5.0,1.0,False,False,"[26568.830196303337, 998.1465599576223, 2625.0856935230127, 3070.1176800063627, 3640.852160527668, 414.96936410638807, 1196.9868260299195, 1191.5401734140632, 2694.3022187035485, 1142.498708894464, 3549.1521689331535, 2367.034014168665, 4756.33650184485, 2731.5232888228384, 3749.697567252265, 2822.381404232681, 989.1954457691032, 4418.107510903141, 4313.663920993732, 2520.7501436729285, 3128.4805277541755, 3700.7863863893863, 2580.824214765071, 1427.553597422506, 773.6154779290471, 2191.055095560305, 1051.9971329155358, 1675.3590307207164, 3480.9072385950553, 2114.5864814185634, 1231.3354367514967, 1562.0725589997135, 2997.6355824528005, 836.042184164273]",38777.583544960136,10817.307771016574,1278.3838288098286,"[0.0, 0.014705882352941176, 0.029411764705882353, 0.044117647058823525, 0.058823529411764705, 0.07352941176470588, 0.08823529411764705, 0.10294117647058823, 0.11764705882352941, 0.1323529411764706, 0.14705882352941177, 0.16176470588235295, 0.1764705882352941, 0.19117647058823528, 0.20588235294117646, 0.22058823529411764, 0.23529411764705882, 0.25, 0.2647058823529412, 0.27941176470588236, 0.29411764705882354, 0.3088235294117647, 0.3235294117647059, 0.3382352941176471, 0.3529411764705882, 0.3676470588235294, 0.38235294117647056, 0.39705882352941174, 0.4117647058823529, 0.4264705882352941, 0.4411764705882353, 0.45588235294117646, 0.47058823529411764, 0.4852941176470588]",0.0,0.0,0.0,1146.7159895559153,438.71598955591526,140.77783929750353,35.77783929750353,"[2, 6, 9, 14, 14, 14, 28, 31, 31, 9, 47, 50, 50, 60]",0.0,-0.5,14,5.0,"[4, 7, 10, 15, 18, 22, 29, 32, 40, 45, 49, 53, 59, 64]",0.0,8.5,"[470.52887899841227, 169.6070622248471, 1037.919775684959, 244.04416734681251, 365.2511046857245, 581.3425738605467, 848.6201874362656, 227.29637244775455, 559.6138320147885, 1146.7159895559153, 140.77783929750353, 677.077325652863, 971.990265721407, 783.8037794602681]",232.2484316626398,5027.589154388068,232.24843166263977,"[9, 9, 31, 16, 20, 28, 31, 35, 43, 67, 50, 54, 67, 67]",0.0,-0.5,68,raw,3.2788070514205676e-06,0.1530452163961161,0.009369677161758988,0.18128436039563395,0.012798392297307115,104513.42249389838,43465.05017953416,1163.1819263239277,353.18192632392766,0.5901618502432334,rbio2.8,157.02128074831822,732927.9521551376,7.116577860040136,10.780850952591079,0.7058823529411765,SWT,0.37136465390087514,0.22259304322925094,0.9924135574135051,0.7270169953709164,0.19482365703255866,0.6086956521739132,0.9224479595705932,0.00579799124975388,,0.1842569044650961,0.6885301046802915,0.6271377900100488,0.7557400574390453,0.5716140821251866,0.5716140821251866,0.5265477701888468,0.5393296308094604,0.641888399002349,0.09948755938948765,0.6232809732271457,0.4767837997712626,0.3702408569009235,0.6738759666932269,0.5,0.5714285714285714,0.7272727272727275,0.5662677356682326,0.43636363636363634,0.3870967741935484,0.4197722886649089,0.4197722886649089,0.5526315789473684,4.547890963147753,0.9154787352414028,6,1.8493324109865825,0.9940038442495011,2,0.0,0.5187362425231071,0.6313240873508114,27,0,0.5056441887426708,0.9908024559851198,2,11.98262631201246,0.8869563555470523,9.25,3.323076923076923,0.899846102301828,5,rbio,28.6,16.0,27.260122628379456,15,0.4437729685585954,0.6101944592558252,0.5063005842322357,1,4.0
4781.188376622681,2051.1007898170315,611.9704761579343,256.74825393571206,84542.10931853049,0.8021253690778256,2,0.16176470588235295,0.11764705882352942,49.63410557961154,38.06589442038846,142.3878020639452,0.4852941176470588,0.0,uc1.b4952555,,-1152.3807989174213,342.3807989174213,17065524.883985467,9939831.883985467,5.0,1.0,False,False,"[26568.830196303337, 998.1177601063213, 2621.2416551679285, 3035.664625602949, 3513.6181394099585, 393.5344308551735, 1189.8417806731024, 1248.3742703048392, 2756.511173223187, 1134.7840827257312, 3497.3236739878535, 2350.7270384890844, 4781.188376622681, 2769.9553432158655, 3815.0828440939554, 2866.7918843199927, 998.5713077773383, 4418.10751090314, 4269.9819623743015, 2474.561033328162, 3056.0989024700543, 3610.5975930990808, 2523.332215663998, 1403.207173121953, 765.6660656982291, 2177.6674653616615, 1044.7342642816159, 1660.5689538164881, 3454.10756116266, 2105.57990599619, 1229.6087047199171, 1561.7089452409757, 2997.596876851471, 836.0421322722173]",38370.07985475029,10777.611479358651,1267.0868686728588,"[0.0, 0.014705882352941176, 0.029411764705882353, 0.044117647058823525, 0.058823529411764705, 0.07352941176470588, 0.08823529411764705, 0.10294117647058823, 0.11764705882352941, 0.1323529411764706, 0.14705882352941177, 0.16176470588235295, 0.1764705882352941, 0.19117647058823528, 0.20588235294117646, 0.22058823529411764, 0.23529411764705882, 0.25, 0.2647058823529412, 0.27941176470588236, 0.29411764705882354, 0.3088235294117647, 0.3235294117647059, 0.3382352941176471, 0.3529411764705882, 0.3676470588235294, 0.38235294117647056, 0.39705882352941174, 0.4117647058823529, 0.4264705882352941, 0.4411764705882353, 0.45588235294117646, 0.47058823529411764, 0.4852941176470588]",0.0,0.0,0.0,1159.700342584551,451.700342584551,129.1839240181527,24.18392401815271,"[2, 9, 14, 14, 14, 28, 31, 31, 9, 47, 50, 50, 60]",0.0,0.5,13,4.0,"[5, 10, 15, 18, 22, 29, 32, 40, 45, 49, 53, 59, 64]",0.0,5.0,"[431.5307741031286, 1013.1955183616685, 246.3403184080973, 367.1327245239277, 560.1682486749371, 847.9949595555166, 215.62670072924178, 571.7117275284234, 1159.700342584551, 129.1839240181527, 661.734582133535, 965.2558165685882, 786.0405528633792]",256.74825393571206,4758.616190053145,256.7482539357121,"[9, 31, 16, 20, 28, 31, 35, 43, 67, 50, 54, 67, 67]",0.0,0.5,68,raw,3.3323097311867836e-06,0.15298211823043548,0.009432775327439608,0.18094581872244242,0.012459850624115587,104129.32584924142,43080.9535348772,1152.3807989174213,342.3807989174213,0.5907029508308492,rbio2.6,159.80710431246055,731007.0298335558,7.111505780708523,10.75491742534191,0.7132352941176471,SWT,0.37875373138145174,0.2339005017570746,0.9882596483313952,0.7181651046761383,0.19203425905359567,0.6521739130434783,0.9162644629629351,0.0031527418139180863,,0.12444614455501823,0.6740336855762334,0.617359525771443,0.7457264131167001,0.6319776772430905,0.6319776772430905,0.5932616314888839,0.5250616529088705,0.6340656756682035,0.11583214920650109,0.57520089679074,0.4914974038275767,0.3769169212288253,0.6785514261450806,0.5,0.42857142857142855,0.7272727272727275,0.5565161053352642,0.4727272727272727,0.41935483870967744,0.4057855151413206,0.4057855151413206,0.4605263157894737,4.478917271557848,0.9015945088047266,7,1.8604881879333948,1.0,1,0.0,0.5127151564982063,0.6239961693687516,28,0,0.5103380453774983,1.0,1,12.816005617976296,0.8790942866228652,9.25,1.8360655737704916,0.8959150678397345,6,rbio,28.6,16.0,27.260122628379456,15,0.4437729685585954,0.6101944592558252,0.5063005842322357,1,4.75
4817.093752945535,2087.0061661398854,604.3635877101273,249.14136548790503,84478.09355886256,0.7834399827076076,2,0.16176470588235295,0.11764705882352942,56.876644392581305,30.823355607418698,142.02187940774735,0.4852941176470588,0.0,uc1.b4952555,,-1142.6012737812887,332.6012737812887,16938220.46211967,9812527.462119669,5.0,1.0,False,False,"[26568.830196303337, 997.1094190634025, 2586.2739737264546, 2888.051033972245, 3191.512303335389, 361.5513085306336, 1218.6746132453845, 1337.620506840946, 2854.0018330390276, 1136.135373806092, 3460.526509059605, 2338.7358661901562, 4817.093752945535, 2820.6509277292134, 3900.203030473148, 2921.932850869174, 1009.6140685752958, 4418.107510903139, 4220.189990915147, 2420.614156952152, 2967.099437511005, 3491.657011639437, 2441.283511482332, 1364.5180284301566, 750.2329113813792, 2145.532561045596, 1030.2903792025938, 1636.4841827762823, 3409.8406543204665, 2087.906052103529, 1224.986472776804, 1560.1388235172708, 2997.244872577459, 836.0403159065185]",37647.13058746375,10727.275938719691,1245.9503566700616,"[0.0, 0.014705882352941176, 0.029411764705882353, 0.044117647058823525, 0.058823529411764705, 0.07352941176470588, 0.08823529411764705, 0.10294117647058823, 0.11764705882352941, 0.1323529411764706, 0.14705882352941177, 0.16176470588235295, 0.1764705882352941, 0.19117647058823528, 0.20588235294117646, 0.22058823529411764, 0.23529411764705882, 0.25, 0.2647058823529412, 0.27941176470588236, 0.29411764705882354, 0.3088235294117647, 0.3235294117647059, 0.3382352941176471, 0.3529411764705882, 0.3676470588235294, 0.38235294117647056, 0.39705882352941174, 0.4117647058823529, 0.4264705882352941, 0.4411764705882353, 0.45588235294117646, 0.47058823529411764, 0.4852941176470588]",0.0,0.0,0.0,1179.1682777101337,471.1682777101337,115.73357760805015,10.733577608050155,"[3, 9, 14, 14, 20, 28, 31, 31, 9, 47, 50, 50, 60]",0.0,0.5,13,4.0,"[5, 10, 15, 18, 22, 29, 32, 40, 45, 49, 53, 59, 64]",0.0,5.0,"[421.31110280541884, 962.0293734837093, 250.9699496878106, 342.5095341361806, 553.2569750692046, 848.6700668634799, 205.4958258564131, 596.5650775348336, 1179.1682777101337, 115.73357760805015, 643.8108336506504, 940.9260977601265, 796.2799480656439]",249.14136548790503,4659.7266402316545,249.14136548790503,"[9, 31, 16, 20, 28, 31, 35, 43, 67, 50, 54, 67, 67]",0.0,0.5,68,raw,3.407066269339314e-06,0.15284317306925746,0.009571720488617624,0.1806914646908443,0.012205496592517462,103410.6844411463,42362.312126782075,1142.6012737812887,332.6012737812887,0.5911579922987511,rbio2.4,150.25204559100777,733182.4203934667,7.1064830132561125,10.684629166578059,0.6985294117647058,SWT,0.3736328871321626,0.2496998310343564,0.9770012092598568,0.7093992740242187,0.19519317389522972,0.5652173913043474,0.902828358706047,0.0018356158528261002,,0.05505841655645152,0.6483156962148102,0.6049605283738462,0.7269909735962627,0.6132355358000823,0.6132355358000823,0.5725478118058067,0.5143417977502566,0.6194294298425999,0.093487688442843,0.5575239636241093,0.5135580708935529,0.38656233446995136,0.6888470101784946,0.5,0.42857142857142855,0.7272727272727275,0.5388016051889605,0.4727272727272727,0.41935483870967744,0.3931216516297273,0.3931216516297273,0.4605263157894737,4.392596852326534,0.8842184307800468,9,1.8134493113108823,0.9747169173512664,3,0.0,0.5018083602116586,0.6107221340362016,33,0,0.49685096765113057,0.9735722667582205,7,13.564659966250536,0.8720315097523534,13.0,6.476635514018692,0.8746950001591955,7,rbio,28.6,16.0,27.260122628379456,15,0.4437729685585954,0.6101944592558252,0.5063005842322357,1,5.5
5441.969235205161,2711.881648399511,660.3571672960587,305.1349450738365,86021.85797011417,0.820702546804913,2,0.16176470588235295,0.11764705882352942,47.40431631419107,40.29568368580893,143.0949892019351,0.4852941176470588,0.0,uc1.b4952555,,-1199.4180125739672,389.4180125739672,17419341.3006149,10293648.3006149,5.0,1.0,False,False,"[26568.83019630141, 999.460573161718, 2639.7607901146866, 3112.6703262562423, 3744.3425546309672, 436.92038997645795, 1290.3805260191891, 1265.5342032252784, 2783.4583206430957, 1173.5407745149573, 3704.3365478680057, 2564.8483073222815, 5441.969235205161, 3299.0440087127554, 4665.00420400323, 3474.202123643127, 1157.0692631524919, 4767.684202352432, 4226.918606655879, 2237.5457950158584, 2549.626885850466, 2857.1499345379016, 1967.8030049541128, 1115.9163848470153, 633.158851518618, 1873.1359724101853, 922.3748108404745, 1487.190948277369, 3135.1845676552784, 1948.6173992400227, 1165.3601611390814, 1513.97347388579, 2956.4891442888074, 833.177404696621]",39543.575705819894,11242.995676437171,1278.3619876044927,"[0.0, 0.014705882352941176, 0.029411764705882353, 0.044117647058823525, 0.058823529411764705, 0.07352941176470588, 0.08823529411764705, 0.10294117647058823, 0.11764705882352941, 0.1323529411764706, 0.14705882352941177, 0.16176470588235295, 0.1764705882352941, 0.19117647058823528, 0.20588235294117646, 0.22058823529411764, 0.23529411764705882, 0.25, 0.2647058823529412, 0.27941176470588236, 0.29411764705882354, 0.3088235294117647, 0.3235294117647059, 0.3382352941176471, 0.3529411764705882, 0.3676470588235294, 0.38235294117647056, 0.39705882352941174, 0.4117647058823529, 0.4264705882352941, 0.4411764705882353, 0.45588235294117646, 0.47058823529411764, 0.4852941176470588]",0.0,0.0,0.0,1163.8242908079792,455.8242908079792,121.25887405089273,16.25887405089273,"[3, 3, 14, 14, 26, 31, 31, 3, 47, 50, 50, 50]",0.0,1.5,12,3.0,"[5, 10, 17, 22, 29, 32, 40, 45, 49, 53, 59, 64]",0.0,1.5,"[519.8928970689988, 1100.7268012873835, 379.59458607915536, 579.1157163677351, 772.8034439644408, 219.20029339642434, 602.3183139137469, 1163.8242908079792, 121.25887405089273, 643.5206639936641, 792.9788276586311, 1029.0512989636518]",305.1349450738365,4727.286007552704,305.1349450738364,"[9, 31, 20, 26, 31, 35, 43, 67, 50, 54, 60, 67]",0.0,1.5,68,raw,3.70230181805871e-06,0.14960336329204474,0.012811530265830345,0.1752734497322254,0.006787481633898557,104512.67989291696,43464.30757855274,1199.4180125739672,389.4180125739672,0.6112336538662995,rbio6.8,140.6807602276153,639049.6242387812,7.042142316925398,10.679001228971261,0.6617647058823529,SWT,0.38865034512593877,0.3120960275925676,0.9760997529745697,0.5971106495944787,0.05850163337952133,0.3478260869565216,0.9296227576106564,0.03359860975334027,,0.08356234909453442,0.715779289561361,0.7319961696856836,0.755720697358178,0.751194649529745,0.751194649529745,0.7250202608118609,0.28599733142245665,0.6418732747826867,0.1227114273214062,0.5696004916603864,0.49617057785283947,0.5544252805771526,0.9289110291826136,0.5,0.2857142857142857,0.7272727272727275,0.6057499094112453,0.509090909090909,0.45161290322580644,0.4666957173669178,0.4666957173669178,0.368421052631579,4.694376905854335,0.9449659781516522,4,1.648108886815501,0.8858475412553939,20,0.0,0.543278726106567,0.661193334531781,25,0,0.45543823287344937,0.8924246134472703,22,9.394147114027968,0.9113759706223776,17.75,10.377358490566039,0.8719615702168492,8,rbio,28.6,16.0,27.260122628379456,15,0.4437729685585954,0.6101944592558252,0.5063005842322357,1,6.25
