wavelet,wavelet_level,wavelet_mode,wavelet_mse,wavelet_psnr,wavelet_energy_entropy,wavelet_sparsity,wavelet_adaptive_threshold,signal_length,signal_type,emd_value,kl_divergence,wavelet_entropy,avg_variance_across_levels,variance_ratio_across_levels,smoothness,correlation,dynamic_cutoff,dominant_frequency,amplitude_max,num_fft_peaks,positive_frequencies,positive_amplitudes,relative_num_peaks,avg_prominence,prominence_min,prominence_max,relative_peaks,relative_prominences,relative_left_bases,relative_right_bases,max_autocorrelation,upper_envelope,lower_envelope,spectral_magnitude,spectral_centroid,spectral_bandwidth,frequency_max,wavelet_type,htid,max_autocorrelation_diff,frequency_max_diff,relative_right_bases_array_alignment_score,relative_right_bases_global_alignment_score,relative_num_peaks_diff,relative_peaks_array_alignment_score,relative_peaks_global_alignment_score,spectral_centroid_diff,lower_envelope_diff,relative_prominences_avg_diff,relative_prominences_total_diff,relative_prominences_wasserstein,spectral_bandwidth_diff,spectral_magnitude_diff,avg_prominence_diff,num_fft_peaks_diff,amplitude_max_diff,prominence_min_diff,relative_left_bases_array_alignment_score,relative_left_bases_global_alignment_score,prominence_max_diff,upper_envelope_diff,dominant_frequency_diff,dynamic_cutoff_diff,wavelet_psnr_normalized,wavelet_entropy_normalized,wavelet_energy_entropy_normalized,wavelet_sparsity_normalized,avg_variance_across_levels_normalized,spectral_centroid_diff_normalized,amplitude_max_diff_normalized,frequency_max_diff_normalized,spectral_bandwidth_diff_normalized,num_fft_peaks_diff_normalized,dominant_frequency_diff_normalized,max_autocorrelation_diff_normalized,reconstruction_weighted_score,reconstruction_normalized_weighted_score,reconstruction_normalized_weighted_rank,signal_weighted_score,signal_normalized_weighted_score,signal_normalized_weighted_rank,reconstruction_missing_metrics_count,reconstruction_dynamically_weighted_score,reconstruction_normalized_dynamically_weighted_score,reconstruction_normalized_dynamically_weighted_rank,signal_missing_metrics_count,signal_dynamically_weighted_score,signal_normalized_dynamically_weighted_score,signal_normalized_dynamically_weighted_rank,rank_variability,normalized_rank_stability,average_rank,harmonic_average_rank,stability_score_weighted,stability_rank,wavelet_family,normalized_family_mean_rank,normalized_family_std_dev,final_family_stability_score,final_family_stability_rank,family_informed_rank,relative_right_bases_global_alignment_score_normalized,relative_left_bases_global_alignment_score_normalized,across_smoothness_normalized,across_wavelet_psnr_normalized,across_wavelet_entropy_normalized,across_wavelet_energy_entropy_normalized,across_wavelet_sparsity_normalized,across_avg_variance_across_levels_normalized,across_prominence_min_diff_normalized,across_avg_prominence_diff_normalized,across_relative_prominences_avg_diff_normalized,across_relative_prominences_wasserstein_normalized,across_spectral_centroid_diff_normalized,across_relative_prominences_total_diff_normalized,across_amplitude_max_diff_normalized,across_frequency_max_diff_normalized,across_spectral_bandwidth_diff_normalized,across_num_fft_peaks_diff_normalized,across_relative_num_peaks_diff_normalized,across_dominant_frequency_diff_normalized,across_max_autocorrelation_diff_normalized,across_relative_right_bases_global_alignment_score_normalized,across_relative_right_bases_array_alignment_score_normalized,across_relative_left_bases_global_alignment_score_normalized,across_relative_left_bases_array_alignment_score_normalized,across_relative_peaks_array_alignment_score_normalized,across_relative_peaks_global_alignment_score_normalized,across_reconstruction_weighted_score,across_reconstruction_normalized_weighted_score,across_reconstruction_normalized_weighted_rank,across_signal_weighted_score,across_signal_normalized_weighted_score,across_signal_normalized_weighted_rank,across_rank_variability,across_normalized_rank_stability,across_average_rank,across_harmonic_average_rank,across_stability_score_weighted,across_stability_rank,family_mean_stability_rank,family_median_stability_rank,family_rank_std_dev,family_wavelet_count,across_normalized_family_mean_rank,across_normalized_family_std_dev,across_final_family_stability_score,across_final_family_stability_rank,across_family_informed_rank,across_top_wavelet_rank
coif8,1,reflect,8.020004175413727e-27,313.7718571216659,1995279.8000541565,0.5266666666666666,66.67316092207474,103,smoothed,7.000225641869532e-14,-1.0384872961566335e-10,6.027818714395286,8788.207498313923,0.9737910875128108,0.0003852356932999041,1.0,292.60000000000014,,,,[],[],9,172.35555555555558,22.19999999999999,437.19999999999976,"[5, 17, 29, 44, 50, 66, 78, 85, 92]","[50.00000000000006, 337.8000000000001, 169.80000000000004, 54.599999999999966, 295.00000000000017, 117.99999999999997, 66.60000000000008, 22.19999999999999, 437.19999999999976]","[1, 1, 23, 23, 23, 61, 71, 83, 1]","[8, 61, 39, 45, 61, 83, 83, 87, 100]",8174958.000000003,437.19999999999976,-437.19999999999976,0.0,,,,DWT,inu.32000013032935,2.7939677238464355e-09,,0.0,34.0,2.0,0.0,34,,2.2737367544323206e-13,30.04646464646467,14.199999999999818,30.046464646464717,,0.0,30.04646464646467,,,15.800000000000011,0.0,34.0,2.2737367544323206e-13,2.2737367544323206e-13,,1.1368683772161603e-13,0.8883803670350461,0.9497328713723077,0.9940029199100121,0.2034809348093481,0.012287038361052917,,,,,,,0.00019030702867292565,0.2000951535143365,0.36811025919312873,93,1.5912033051303478,0.8226046214644009,28,0,0.6667301023428911,0.7899932352867487,80,0,0.6095768262975534,0.7764980577315572,31,33.35665850571167,0.9558774358390058,58.0,43.847611029257,0.9395789295597146,4,coif,0.657970482169093,0.9179491163484979,0.2640359275770855,2,3.5,1.0,1.0,0.9999999999689559,0.8683526526302449,0.9353961637511321,0.004188722082070234,0.11095238095238094,0.000335790770075093,0.9999999999798745,0.9999999999646026,0.9999999999646026,0.9999999999646045,,0.9999999986132608,,,,,1.0,,5.0257991020572276e-05,0.16981132075471694,0.0,0.380281690140845,0.0,0.0,0.0,2.1550344293538024,0.9555968337813004,93,1.3353193031744173,0.8316488080359388,89,2.8284271247461903,0.9981293471397181,91.0,90.95604395604396,0.9689720809772664,1,580.1736111111111,546.0,390.43755855568594,144,0.5573390082356774,0.8023034911288307,0.3691716468963766,2,1.25,1
db19,1,symmetric,4.611665534234555e-27,316.17502504442564,1832130.2951406136,0.5357142857142857,80.00072546782037,103,smoothed,5.0841747209242126e-14,-9.780443122053856e-11,5.894552037216942,9913.4418722581,0.9738710463887943,0.0003852356932999043,0.9999999999999999,292.59999999999997,,,,[],[],9,172.35555555555553,22.19999999999999,437.19999999999993,"[5, 17, 29, 44, 50, 66, 78, 85, 92]","[49.999999999999886, 337.80000000000007, 169.80000000000018, 54.599999999999795, 295.0, 118.00000000000009, 66.59999999999991, 22.19999999999999, 437.19999999999993]","[1, 1, 23, 23, 23, 61, 71, 83, 1]","[8, 61, 39, 45, 61, 83, 83, 87, 100]",8174957.999999998,437.19999999999993,-437.19999999999993,0.0,,,,DWT,inu.32000013032935,1.862645149230957e-09,,0.0,34.0,2.0,0.0,34,,5.684341886080802e-14,30.046464646464614,14.200000000000273,30.046464646464646,,0.0,30.046464646464614,,,15.800000000000011,0.0,34.0,5.684341886080802e-14,5.684341886080802e-14,,5.684341886080802e-14,0.9151477282496743,0.7326443032206658,0.6881077264794038,0.29474169741697454,0.030317023593222286,,,,,,,0.0001268713524486171,0.2000634356762243,0.36805190864638404,117,1.389488140203918,0.7183239011108556,69,0,0.6667089571174829,0.7899681807932252,130,0,0.5321916957919882,0.6779224542266711,80,29.13188402192118,0.9614657618757656,99.0,92.52390673686472,0.9152566904616923,16,db,0.7771414040747553,0.9141397149421361,0.18175910266503045,3,12.75,1.0,1.0,0.9999999999689565,0.8924395825781561,0.8799117341911407,0.00289968165184903,0.1607142857142859,0.0008285297400081118,0.9999999999798745,0.9999999999646008,0.9999999999646008,0.9999999999646021,,0.9999999986132929,,,,,1.0,,3.350532734704818e-05,0.16981132075471694,0.0,0.380281690140845,0.0,0.0,0.0,2.15502605302198,0.9555931195036726,105,1.341486583640793,0.8354898454840545,58,33.23401871576773,0.978019828891688,81.5,74.7239263803681,0.9620588562447858,2,608.6004273504274,553.0,374.22814864398487,468,0.5846469954772484,0.7689950506975262,0.3600485879566683,3,2.25,2
coif2,1,smooth,2.7999967128275496e-27,318.3420278507086,1489487.6068276085,0.5614035087719298,47.07766348846346,103,smoothed,4.006881126786723e-14,-1.029723195600243e-10,5.488436400898608,13749.441662049863,0.9856822322335308,0.0003852356932999043,1.0,292.60000000000014,,,,[],[],9,172.35555555555558,22.200000000000045,437.20000000000016,"[5, 17, 29, 44, 50, 66, 78, 85, 92]","[49.99999999999994, 337.8000000000001, 169.80000000000004, 54.599999999999966, 295.00000000000006, 117.99999999999994, 66.60000000000002, 22.200000000000045, 437.20000000000016]","[1, 1, 23, 23, 23, 61, 71, 83, 1]","[8, 61, 39, 45, 61, 83, 83, 87, 100]",8174958.000000002,437.20000000000016,-437.20000000000016,0.0,,,,DWT,inu.32000013032935,1.862645149230957e-09,,0.0,34.0,2.0,0.0,34,,1.7053025658242404e-13,30.04646464646467,14.199999999999818,30.04646464646469,,0.0,30.04646464646467,,,15.800000000000068,0.0,34.0,1.7053025658242404e-13,1.7053025658242404e-13,,1.1368683772161603e-13,0.939284596222794,0.07109061358858748,0.04567395706874392,0.5538615912474916,0.09178245796145953,,,,,,,0.0001268713524486171,0.2000634356762243,0.36805190864638404,105,0.8802106627459225,0.4550426439553714,329,0,0.6667089571174829,0.7899681807932252,120,0,0.3403386432178154,0.4335340256203039,311,120.18146002330532,0.8410298147839876,216.25,165.89187819830775,0.7774924206195071,117,coif,0.657970482169093,0.9179491163484979,0.2640359275770855,2,88.25,1.0,1.0,0.9999999999689565,0.9141594317395594,0.7108289980292645,0.00019246976916998965,0.3020050125313284,0.002508310085199593,0.9999999999798782,0.9999999999646026,0.9999999999646026,0.9999999999646035,,0.9999999986132608,,,,,1.0,,3.350532734704818e-05,0.16981132075471694,0.0,0.380281690140845,0.0,0.0,0.0,2.1550260530219667,0.9555931195036668,130,1.325811721980251,0.8257274014115934,125,3.5355339059327378,0.9976616839246477,127.5,127.45098039215686,0.9566681435496254,3,580.1736111111111,546.0,390.43755855568594,144,0.5573390082356774,0.8023034911288307,0.3691716468963766,2,2.75,3
coif2,1,zero,2.7999967128275496e-27,318.3420278507086,1489487.6068276085,0.5614035087719298,47.07766348846346,103,smoothed,4.006881126786723e-14,-1.029723195600243e-10,5.488436400898608,13749.441662049863,0.9856822322335308,0.0003852356932999043,1.0,292.60000000000014,,,,[],[],9,172.35555555555558,22.200000000000045,437.20000000000016,"[5, 17, 29, 44, 50, 66, 78, 85, 92]","[49.99999999999994, 337.8000000000001, 169.80000000000004, 54.599999999999966, 295.00000000000006, 117.99999999999994, 66.60000000000002, 22.200000000000045, 437.20000000000016]","[1, 1, 23, 23, 23, 61, 71, 83, 1]","[8, 61, 39, 45, 61, 83, 83, 87, 100]",8174958.000000002,437.20000000000016,-437.20000000000016,0.0,,,,DWT,inu.32000013032935,1.862645149230957e-09,,0.0,34.0,2.0,0.0,34,,1.7053025658242404e-13,30.04646464646467,14.199999999999818,30.04646464646469,,0.0,30.04646464646467,,,15.800000000000068,0.0,34.0,1.7053025658242404e-13,1.7053025658242404e-13,,1.1368683772161603e-13,0.939284596222794,0.07109061358858748,0.04567395706874392,0.5538615912474916,0.09178245796145953,,,,,,,0.0001268713524486171,0.2000634356762243,0.36805190864638404,98,0.8802106627459225,0.4550426439553714,328,0,0.6667089571174829,0.7899681807932252,107,0,0.3403386432178154,0.4335340256203039,312,125.79712503339123,0.8336016864637682,211.25,155.0160196923646,0.7770852347662756,120,coif,0.657970482169093,0.9179491163484979,0.2640359275770855,2,90.5,1.0,1.0,0.9999999999689565,0.9141594317395594,0.7108289980292645,0.00019246976916998965,0.3020050125313284,0.002508310085199593,0.9999999999798782,0.9999999999646026,0.9999999999646026,0.9999999999646035,,0.9999999986132608,,,,,1.0,,3.350532734704818e-05,0.16981132075471694,0.0,0.380281690140845,0.0,0.0,0.0,2.1550260530219667,0.9555931195036668,133,1.325811721980251,0.8257274014115934,127,4.242640687119285,0.9971940207095772,130.0,129.93076923076924,0.9556075923653706,4,580.1736111111111,546.0,390.43755855568594,144,0.5573390082356774,0.8023034911288307,0.3691716468963766,2,3.5,4
db25,1,reflect,6.781684503987972e-27,314.5002272479421,1924813.974593852,0.5197368421052632,63.9416630879043,103,smoothed,6.124335127490501e-14,-1.0191363308820218e-10,6.032527671209239,8544.817034930364,0.9745415610644647,0.0003852356932999046,1.0,292.5999999999999,,,,[],[],9,172.35555555555553,22.199999999999818,437.2000000000001,"[5, 17, 29, 44, 50, 66, 78, 85, 92]","[49.99999999999983, 337.8000000000002, 169.8, 54.599999999999966, 294.99999999999994, 118.00000000000006, 66.59999999999991, 22.199999999999818, 437.2000000000001]","[1, 1, 23, 23, 23, 61, 71, 83, 1]","[8, 61, 39, 45, 61, 83, 83, 87, 100]",8174958.000000002,437.2000000000001,-437.2000000000001,0.0,,,,DWT,inu.32000013032935,1.862645149230957e-09,,0.0,34.0,2.0,0.0,34,,1.1368683772161603e-13,30.046464646464614,14.200000000000273,30.046464646464642,,0.0,30.046464646464614,,,15.79999999999984,0.0,34.0,1.1368683772161603e-13,1.1368683772161603e-13,,1.1368683772161603e-13,0.896493219276179,0.9574036613542699,0.8618838716735497,0.13358176344921402,0.008387116209657514,,,,,,,0.0001268713524486171,0.2000634356762243,0.36805190864638404,102,1.504327249943166,0.777692293629764,38,0,0.6667089571174829,0.7899681807932252,133,0,0.5715499263925742,0.7280582013526415,47,45.2621990922521,0.9401293662800898,80.0,61.61894177337522,0.917154630229992,13,db,0.7771414040747553,0.9141397149421361,0.18175910266503045,3,10.5,1.0,1.0,0.9999999999689574,0.8756530996949757,0.9373566972331457,0.0036319732398633385,0.07283834586466198,0.00022921033759260197,0.9999999999798638,0.9999999999646008,0.9999999999646008,0.999999999964602,,0.9999999986132929,,,,,1.0,,3.350532734704818e-05,0.16981132075471694,0.0,0.380281690140845,0.0,0.0,0.0,2.1550260530219765,0.9555931195036711,115,1.325113217525079,0.8252923665879593,131,11.313708498984761,0.9925173885588725,123.0,122.47967479674796,0.955584091104833,5,608.6004273504274,553.0,374.22814864398487,468,0.5846469954772484,0.7689950506975262,0.3600485879566683,3,4.5,5
coif2,1,constant,2.7999967128275496e-27,318.3420278507086,1489487.6068276085,0.5614035087719298,47.07766348846346,103,smoothed,4.006881126786723e-14,-1.029723195600243e-10,5.488436400898608,13749.441662049863,0.9856822322335308,0.0003852356932999043,1.0,292.60000000000014,,,,[],[],9,172.35555555555558,22.200000000000045,437.20000000000016,"[5, 17, 29, 44, 50, 66, 78, 85, 92]","[49.99999999999994, 337.8000000000001, 169.80000000000004, 54.599999999999966, 295.00000000000006, 117.99999999999994, 66.60000000000002, 22.200000000000045, 437.20000000000016]","[1, 1, 23, 23, 23, 61, 71, 83, 1]","[8, 61, 39, 45, 61, 83, 83, 87, 100]",8174958.000000002,437.20000000000016,-437.20000000000016,0.0,,,,DWT,inu.32000013032935,1.862645149230957e-09,,0.0,34.0,2.0,0.0,34,,1.7053025658242404e-13,30.04646464646467,14.199999999999818,30.04646464646469,,0.0,30.04646464646467,,,15.800000000000068,0.0,34.0,1.7053025658242404e-13,1.7053025658242404e-13,,1.1368683772161603e-13,0.939284596222794,0.07109061358858748,0.04567395706874392,0.5538615912474916,0.09178245796145953,,,,,,,0.0001268713524486171,0.2000634356762243,0.36805190864638404,96,0.8802106627459225,0.4550426439553714,327,0,0.6667089571174829,0.7899681807932252,95,0,0.3403386432178154,0.4335340256203039,310,128.93667696457308,0.8294488399939509,207.0,146.91356876991122,0.7778196580922135,116,coif,0.657970482169093,0.9179491163484979,0.2640359275770855,2,87.5,1.0,1.0,0.9999999999689565,0.9141594317395594,0.7108289980292645,0.00019246976916998965,0.3020050125313284,0.002508310085199593,0.9999999999798782,0.9999999999646026,0.9999999999646026,0.9999999999646035,,0.9999999986132608,,,,,1.0,,3.350532734704818e-05,0.16981132075471694,0.0,0.380281690140845,0.0,0.0,0.0,2.1550260530219667,0.9555931195036668,137,1.325811721980251,0.8257274014115934,126,7.7781745930520225,0.9948557046342249,131.5,131.2699619771863,0.9539424025816627,6,580.1736111111111,546.0,390.43755855568594,144,0.5573390082356774,0.8023034911288307,0.3691716468963766,2,5.0,6
coif6,1,reflect,4.861987183033036e-27,315.9454649691543,1886462.5795800774,0.5289855072463768,66.03370014363281,103,smoothed,5.279056587771037e-14,-1.0219314283688179e-10,5.89683519900743,9321.966988988344,0.9745284460400749,0.0003852356932999046,1.0,292.6000000000001,,,,[],[],9,172.35555555555558,22.19999999999999,437.19999999999993,"[5, 17, 29, 44, 50, 66, 78, 85, 92]","[49.99999999999994, 337.8000000000001, 169.8000000000001, 54.60000000000008, 295.0, 118.00000000000006, 66.60000000000002, 22.19999999999999, 437.19999999999993]","[1, 1, 23, 23, 23, 61, 71, 83, 1]","[8, 61, 39, 45, 61, 83, 83, 87, 100]",8174958.000000002,437.19999999999993,-437.19999999999993,0.0,,,,DWT,inu.32000013032935,1.862645149230957e-09,,0.0,34.0,2.0,0.0,34,,5.684341886080802e-14,30.04646464646467,14.199999999999818,30.046464646464695,,0.0,30.04646464646467,,,15.800000000000011,0.0,34.0,5.684341886080802e-14,5.684341886080802e-14,,5.684341886080802e-14,0.9125908043672227,0.7363635249679917,0.7899773868681618,0.2268704208781225,0.0208396350086803,,,,,,,0.0001268713524486171,0.2000634356762243,0.36805190864638404,120,1.4098089608931315,0.7288291589600574,66,0,0.6667089571174829,0.7899681807932252,132,0,0.537328354418036,0.6844656909021565,76,32.38826948140329,0.9571583737018475,98.5,90.45987376014428,0.9134336842054211,18,coif,0.657970482169093,0.9179491163484979,0.2640359275770855,2,14.0,1.0,1.0,0.9999999999689574,0.8901387040587937,0.8808623088750795,0.0033289597630260237,0.12370600414078714,0.0005695234996441366,0.9999999999798745,0.9999999999646026,0.9999999999646026,0.9999999999646038,,0.9999999986132608,,,,,1.0,,3.350532734704818e-05,0.16981132075471694,0.0,0.380281690140845,0.0,0.0,0.0,2.155026053021966,0.9555931195036663,139,1.3258890678011885,0.8257755730808236,124,10.606601717798213,0.992985051773943,131.5,131.0722433460076,0.9530070761515217,7,580.1736111111111,546.0,390.43755855568594,144,0.5573390082356774,0.8023034911288307,0.3691716468963766,2,5.75,7
coif6,1,smooth,4.3752370279804515e-27,316.4035872070431,1489303.2202463143,0.5652173913043478,28.80174727167259,103,smoothed,4.7495987725323236e-14,-1.0223075719295612e-10,5.4891159092827,19685.29383742911,0.9916253041072196,0.0003852356932999046,1.0,292.60000000000014,,,,[],[],9,172.35555555555555,22.19999999999999,437.2,"[5, 17, 29, 44, 50, 66, 78, 85, 92]","[49.999999999999886, 337.8000000000002, 169.79999999999998, 54.60000000000008, 295.0, 118.00000000000003, 66.59999999999997, 22.19999999999999, 437.2]","[1, 1, 23, 23, 23, 61, 71, 83, 1]","[8, 61, 39, 45, 61, 83, 83, 87, 100]",8174958.000000002,437.2,-437.2,0.0,,,,DWT,inu.32000013032935,1.862645149230957e-09,,0.0,34.0,2.0,0.0,34,,0.0,30.046464646464642,14.200000000000045,30.046464646464667,,0.0,30.046464646464642,,,15.800000000000011,0.0,34.0,0.0,0.0,,1.1368683772161603e-13,0.9176935370168584,0.0721975182197592,0.04532824367549214,0.5923311407027114,0.1868944893219037,,,,,,,0.0001268713524486171,0.2000634356762243,0.36805190864638404,118,0.9210692551675868,0.4761653168685213,267,0,0.6667089571174829,0.7899681807932252,92,0,0.362888985787345,0.46225935842662963,253,90.29765593118499,0.8805586561756812,182.5,147.91789471242507,0.8195782698867824,76,coif,0.657970482169093,0.9179491163484979,0.2640359275770855,2,57.5,1.0,1.0,0.9999999999689574,0.8947304590281826,0.7111119054737273,0.00019101293509498252,0.32298136645962733,0.00510761362079896,0.9999999999798745,0.9999999999646016,0.9999999999646016,0.9999999999646028,,0.9999999986132768,,,,,1.0,,3.350532734704818e-05,0.16981132075471694,0.0,0.380281690140845,0.0,0.0,0.0,2.1550260530219725,0.9555931195036693,120,1.3237253266441782,0.8244279757310001,141,14.849242404917497,0.9901790724835202,130.5,129.6551724137931,0.9519347743369981,8,580.1736111111111,546.0,390.43755855568594,144,0.5573390082356774,0.8023034911288307,0.3691716468963766,2,6.5,8
db6,1,smooth,1.313051796574368e-27,321.63078448308397,1489208.6875145219,0.5526315789473685,46.14521455795655,103,smoothed,2.2698132478210247e-14,-9.900968933607164e-11,5.489464350120024,13749.441662049861,0.9859807601728432,0.0003852356932999044,1.0,292.6,,,,[],[],9,172.35555555555558,22.19999999999999,437.20000000000005,"[5, 17, 29, 44, 50, 66, 78, 85, 92]","[50.000000000000114, 337.8, 169.80000000000004, 54.599999999999966, 294.99999999999994, 118.0, 66.60000000000008, 22.19999999999999, 437.20000000000005]","[1, 1, 23, 23, 23, 61, 71, 83, 1]","[8, 61, 39, 45, 61, 83, 83, 87, 100]",8174957.999999998,437.20000000000005,-437.20000000000005,0.0,,,,DWT,inu.32000013032935,1.862645149230957e-09,,0.0,34.0,2.0,0.0,34,,5.684341886080802e-14,30.04646464646467,14.199999999999818,30.04646464646468,,0.0,30.04646464646467,,,15.800000000000011,0.0,34.0,5.684341886080802e-14,5.684341886080802e-14,,0.0,0.9759159676272123,0.07276512089480108,0.04515100067195074,0.46538162750048656,0.09178245796145951,,,,,,,0.0001268713524486171,0.2000634356762243,0.36805190864638404,116,0.8673732755444816,0.44840609788650304,342,0,0.6667089571174829,0.7899681807932252,100,0,0.3301992349311821,0.4206181297045447,352,138.2015436479154,0.8171937253334453,227.5,164.03139732767508,0.7581338997037597,150,db,0.7771414040747553,0.9141397149421361,0.18175910266503045,3,113.25,1.0,1.0,0.9999999999689568,0.9471226091644581,0.7112569758056639,0.0001902660341875956,0.25375939849624113,0.0025083100851995923,0.9999999999798745,0.9999999999646026,0.9999999999646026,0.9999999999646033,,0.9999999986132608,,,,,1.0,,3.350532734704818e-05,0.16981132075471694,0.0,0.380281690140845,0.0,0.0,0.0,2.1550260530219654,0.9555931195036662,141,1.3265042698418639,0.82615872641547,120,14.849242404917497,0.9901790724835202,130.5,129.6551724137931,0.9519347743369981,9,608.6004273504274,553.0,374.22814864398487,468,0.5846469954772484,0.7689950506975262,0.3600485879566683,3,7.5,9
coif6,1,zero,4.3752370279804515e-27,316.4035872070431,1489303.2202463143,0.5652173913043478,28.80174727167259,103,smoothed,4.7495987725323236e-14,-1.0223075719295612e-10,5.4891159092827,19685.29383742911,0.9916253041072196,0.0003852356932999046,1.0,292.60000000000014,,,,[],[],9,172.35555555555555,22.19999999999999,437.2,"[5, 17, 29, 44, 50, 66, 78, 85, 92]","[49.999999999999886, 337.8000000000002, 169.79999999999998, 54.60000000000008, 295.0, 118.00000000000003, 66.59999999999997, 22.19999999999999, 437.2]","[1, 1, 23, 23, 23, 61, 71, 83, 1]","[8, 61, 39, 45, 61, 83, 83, 87, 100]",8174958.000000002,437.2,-437.2,0.0,,,,DWT,inu.32000013032935,1.862645149230957e-09,,0.0,34.0,2.0,0.0,34,,0.0,30.046464646464642,14.200000000000045,30.046464646464667,,0.0,30.046464646464642,,,15.800000000000011,0.0,34.0,0.0,0.0,,1.1368683772161603e-13,0.9176935370168584,0.0721975182197592,0.04532824367549214,0.5923311407027114,0.1868944893219037,,,,,,,0.0001268713524486171,0.2000634356762243,0.36805190864638404,107,0.9210692551675868,0.4761653168685213,266,0,0.6667089571174829,0.7899681807932252,124,0,0.362888985787345,0.46225935842662963,251,83.07827634225448,0.890108100076383,187.0,159.0218707037477,0.8213768013609428,73,coif,0.657970482169093,0.9179491163484979,0.2640359275770855,2,55.25,1.0,1.0,0.9999999999689574,0.8947304590281826,0.7111119054737273,0.00019101293509498252,0.32298136645962733,0.00510761362079896,0.9999999999798745,0.9999999999646016,0.9999999999646016,0.9999999999646028,,0.9999999986132768,,,,,1.0,,3.350532734704818e-05,0.16981132075471694,0.0,0.380281690140845,0.0,0.0,0.0,2.1550260530219725,0.9555931195036693,121,1.3237253266441782,0.8244279757310001,142,14.849242404917497,0.9901790724835202,131.5,130.6615969581749,0.9516040865063103,10,580.1736111111111,546.0,390.43755855568594,144,0.5573390082356774,0.8023034911288307,0.3691716468963766,2,8.0,10
