signal_type,wavelet,wavelet_energy_entropy,wavelet_sparsity,wavelet_adaptive_threshold,wavelet_psnr,signal_length,scales_used,emd_value,kl_divergence,is_complex,wavelet_entropy,avg_variance_across_levels,variance_ratio_across_levels,smoothness,correlation,relative_num_peaks,avg_prominence,prominence_min,prominence_max,relative_peaks,relative_prominences,relative_left_bases,relative_right_bases,prominence_threshold,distance_factor,max_autocorrelation,upper_envelope,lower_envelope,wavelet_type,htid,avg_prominence_diff,prominence_max_diff,upper_envelope_diff,relative_left_bases_array_alignment_score,relative_left_bases_global_alignment_score,relative_right_bases_array_alignment_score,relative_right_bases_global_alignment_score,relative_prominences_avg_diff,relative_prominences_total_diff,relative_prominences_wasserstein,lower_envelope_diff,relative_peaks_array_alignment_score,relative_peaks_global_alignment_score,max_autocorrelation_diff,prominence_threshold_diff,relative_num_peaks_diff,prominence_min_diff,distance_factor_diff,emd_value_normalized,smoothness_normalized,wavelet_psnr_normalized,wavelet_entropy_normalized,wavelet_energy_entropy_normalized,wavelet_sparsity_normalized,correlation_normalized,avg_variance_across_levels_normalized,kl_divergence_normalized,prominence_min_diff_normalized,avg_prominence_diff_normalized,relative_prominences_avg_diff_normalized,relative_prominences_wasserstein_normalized,relative_prominences_total_diff_normalized,prominence_max_diff_normalized,relative_num_peaks_diff_normalized,max_autocorrelation_diff_normalized,relative_right_bases_global_alignment_score_normalized,relative_right_bases_array_alignment_score_normalized,relative_left_bases_global_alignment_score_normalized,upper_envelope_diff_normalized,lower_envelope_diff_normalized,relative_peaks_global_alignment_score_normalized,reconstruction_signal_weighted_score,reconstruction_signal_normalized_weighted_score,reconstruction_signal_normalized_weighted_rank,wavelet_signal_weighted_score,wavelet_signal_normalized_weighted_score,wavelet_signal_normalized_weighted_rank,reconstruction_signal_num_missing_metrics,reconstruction_signal_missing_metrics_count,reconstruction_signal_dynamically_weighted_score,reconstruction_signal_normalized_dynamically_weighted_score,reconstruction_signal_normalized_dynamically_weighted_rank,wavelet_signal_num_missing_metrics,wavelet_signal_missing_metrics_count,wavelet_signal_dynamically_weighted_score,wavelet_signal_normalized_dynamically_weighted_score,wavelet_signal_normalized_dynamically_weighted_rank,rank_variability,normalized_rank_stability,average_rank,harmonic_average_rank,stability_score_weighted,stability_rank,wavelet_family,normalized_family_mean_rank,normalized_family_std_dev,final_family_stability_score,final_family_stability_rank,family_informed_rank,relative_left_bases_array_alignment_score_normalized,relative_peaks_array_alignment_score_normalized,across_emd_value_normalized,across_smoothness_normalized,across_wavelet_psnr_normalized,across_wavelet_entropy_normalized,across_wavelet_energy_entropy_normalized,across_wavelet_sparsity_normalized,across_correlation_normalized,across_avg_variance_across_levels_normalized,across_kl_divergence_normalized,across_prominence_min_diff_normalized,across_avg_prominence_diff_normalized,across_relative_prominences_avg_diff_normalized,across_relative_prominences_wasserstein_normalized,across_relative_prominences_total_diff_normalized,across_prominence_max_diff_normalized,across_relative_num_peaks_diff_normalized,across_max_autocorrelation_diff_normalized,across_relative_right_bases_global_alignment_score_normalized,across_relative_right_bases_array_alignment_score_normalized,across_relative_left_bases_global_alignment_score_normalized,across_relative_left_bases_array_alignment_score_normalized,across_upper_envelope_diff_normalized,across_lower_envelope_diff_normalized,across_relative_peaks_array_alignment_score_normalized,across_relative_peaks_global_alignment_score_normalized,across_reconstruction_signal_weighted_score,across_reconstruction_signal_normalized_weighted_score,across_reconstruction_signal_normalized_weighted_rank,across_wavelet_signal_weighted_score,across_wavelet_signal_normalized_weighted_score,across_wavelet_signal_normalized_weighted_rank,across_rank_variability,across_normalized_rank_stability,across_average_rank,across_harmonic_average_rank,across_stability_score_weighted,across_stability_rank,family_mean_stability_rank,family_median_stability_rank,family_rank_std_dev,family_wavelet_count,across_normalized_family_mean_rank,across_normalized_family_std_dev,across_final_family_stability_score,across_final_family_stability_rank,across_family_informed_rank,across_top_wavelet_rank
raw,fbsp,11.525264218324676,0.7537153341042541,540.7681657415193,-33.50682363383453,1927,127,30434.85939181948,-1548227.167280657,True,17.175438592071046,209774.64083150937,0.01252018540166991,3.574556274691757e-08,0.2507578745021762,24,44072.427065581964,1019.498037083692,126089.41257541056,"[4, 70, 148, 225, 292, 395, 478, 562, 650, 749, 873, 939, 1006, 1087, 1184, 1291, 1383, 1484, 1554, 1630, 1704, 1769, 1833, 1922]","[7433.6885112011205, 1576.8727644553455, 38855.421936047904, 1019.498037083692, 96221.73572262278, 50224.99732671787, 30601.891390688783, 8253.148234485789, 70009.25476362504, 86590.04000741827, 4357.6688176301905, 7137.639954215895, 126089.41257541056, 36704.44917127154, 78758.62465196819, 53421.1965259558, 54106.4811238133, 103518.0222758707, 15157.422906079497, 49246.20986725421, 11392.740988675027, 119641.38305139277, 2566.112188256562, 4854.336781826391]","[2, 69, 76, 212, 212, 340, 452, 550, 579, 579, 866, 866, 866, 1067, 1104, 1255, 1351, 1426, 1553, 1598, 1702, 866, 1832, 1889]","[76, 76, 212, 227, 866, 579, 579, 579, 710, 866, 875, 941, 1660, 1104, 1426, 1426, 1426, 1660, 1561, 1660, 1706, 1857, 1857, 1924]",0.05,30,2339396674168.4795,83624.40130357919,-83624.40130357919,CWT,uiug.30112070958894,43305.30155174825,125015.3867450358,82543.40130357919,0.0,-8.5,0.0,-13.0,43303.427065581964,1040820.2495739672,43303.42706558196,82543.40130357919,0.0,-13.0,,0.0,2.0,546.3969834015055,0.0,0.9999999999999999,0.001401564379743002,0.0,0.7330347822900942,0.0,0.6664892516041274,0.5602263565032204,0.9999999999999999,0.0,0.1970642567520643,0.690400085473265,0.690400085473265,0.6904000854732648,0.8550331200681052,0.690336050722548,1.0,,0.0,0.0,0.3888888888888889,0.8628526013040221,0.8628526013040221,0.0,2.237193868757382,0.9597716154514696,2,1.5576241037019092,0.6452951593274415,10,0,0,0.5329405981122649,0.8369414466611178,6,0,0.0,0.4401279949752427,0.6881877043263535,6,3.265986323710904,0.7667152625920783,6.0,4.2857142857142865,0.6690719170103249,4,fbsp,0.2857142857142857,,,4,4.0,,,0.9999999999999999,9.345171378002254e-05,0.29622800449592374,0.7330347822900942,0.15740278609666092,0.5888684828078765,0.41188591521962203,1.0,0.0,0.19928407800963768,0.6663849878097721,0.6664047788980587,0.6664047788980586,0.8575179749710758,0.7014124269573626,0.6666666666666666,,0.0,0.0,0.22857142857142856,0.0,0.8665251915748702,0.8665251915748702,0.0,0.0,2.075142674202635,0.821804579912576,5,1.7232853816160651,0.6927165955669925,6,0.7071067811865476,0.9747461863861947,5.5,5.454545454545454,0.8891588074788117,1,8.5,8.5,10.606601717798213,2,0.3090909090909091,1.0,0.4836363636363636,3,1.5,1
smoothed,gaus2,21.269426838883824,0.6716163593199008,356.6837970456164,-31.360068686060323,1927,127,25996.28784533395,,False,16.918300475809243,119346.94042616444,0.010366019240019488,3.5167889547265975e-06,0.460039440640429,20,47198.19240439322,46.16163173761743,147796.4992219223,"[5, 69, 154, 292, 393, 478, 560, 650, 749, 836, 911, 1007, 1085, 1190, 1290, 1383, 1526, 1627, 1771, 1871]","[4832.614884405678, 525.6414451290839, 30168.80887891988, 90265.71916501096, 33203.585832796394, 21117.34097029946, 3951.009864983578, 45705.27010047619, 96122.95578635798, 46.16163173761743, 10859.316626111286, 147796.4992219223, 16549.63593495885, 78210.02990838178, 33193.63636683025, 36840.96714616298, 121067.20132494219, 24614.05868108331, 128814.76759674886, 20078.626720605847]","[0, 66, 78, 78, 365, 453, 540, 579, 579, 835, 867, 867, 1069, 1110, 1263, 1353, 1415, 1598, 867, 1856]","[78, 78, 211, 867, 579, 579, 579, 708, 867, 867, 919, 1662, 1110, 1415, 1415, 1415, 1662, 1662, 1888, 1888]",0.05,30,2077633500281.9817,85322.69570123321,-85322.69570123321,CWT,uiug.30112070958894,46655.504423060884,146972.01775978945,84488.02903456654,0.0,0.5,0.0,-13.0,46653.03298410337,931425.1814211978,46657.57624121945,84488.02903456654,0.0,-4.0,,0.0,3.0,39.11593296122771,0.0,0.6789866086007923,0.03835681705015694,0.5833503924871905,0.2073489713344722,0.998570042820729,0.07636975818793998,0.7760519384151366,0.7120342477751572,,0.038301395375135994,0.777456016839156,0.777456016839156,0.7776066418199147,0.6725482617486513,1.0,1.0,,0.0,0.0,0.7428571428571429,0.9186148800867004,0.9186148800867004,0.8500000000000001,2.559251818456729,0.985538632506389,2,1.7939551480164933,0.7110595579354284,4,0,0,0.5648970157101706,0.9510001646781618,2,1,0.11111111111111112,0.5033280415283912,0.7496926194977026,4,1.1547005383792515,0.9175213901157677,3.0,2.6666666666666665,0.8516178379150268,1,gaus,0.4642857142857143,1.0,0.37499999999999994,1,1.0,0.0,0.0,0.6763080336464193,0.041534845242516175,0.47814414590993914,0.2107059001679237,0.9910840943028653,0.07636975818793998,0.7769951734129765,0.4356023158456012,,0.0100690713871142,0.7774560168391559,0.777456016839156,0.7776066418199148,0.6725482617486511,0.9543465662857925,1.0,,0.0,0.0,0.7428571428571428,0.0,0.9079168942778817,0.9079168942778817,0.0,0.8571428571428572,2.525104781508263,1.0,1,1.618721247426646,0.6506844911768432,10,6.363961030678928,0.7727156774757526,5.5,1.8181818181818181,0.7881435530235906,2,12.5,11.5,8.033264176742437,16,0.45454545454545453,0.757383409925006,0.45460315884068,4,2.5,2
raw,gaus8,21.05089419242826,0.6782114093548374,313.5289099461428,-25.992726608685807,1927,127,18176.16870710681,,False,16.875865305336134,95681.62999538277,0.01680321600900472,4.22678231543881e-07,0.40499214288336965,21,52080.68863310843,1003.7217831664711,106741.75918349138,"[4, 69, 154, 292, 394, 479, 544, 649, 796, 907, 1006, 1088, 1183, 1291, 1388, 1483, 1557, 1630, 1702, 1771, 1876]","[6244.44948619615, 1688.3877429466029, 41211.95527003237, 104491.34414732008, 67631.17942467699, 40437.29197116062, 3109.0804951675154, 79811.32909110232, 71649.41866224457, 33538.255425953306, 106741.75918349138, 33593.28858178599, 74794.30911563539, 64986.80541524919, 66548.46124690183, 77382.38398566374, 2494.6630809947055, 80582.52100685278, 1003.7217831664711, 103985.61774660394, 31768.238432131082]","[0, 65, 87, 212, 324, 409, 541, 324, 708, 833, 708, 1066, 1066, 1254, 1354, 1429, 1550, 1429, 1699, 708, 1855]","[87, 87, 212, 708, 581, 581, 581, 708, 833, 920, 1429, 1105, 1429, 1354, 1429, 1550, 1561, 1663, 1703, 1855, 1889]",0.05,30,994192461856.2615,71016.53712840095,-71016.53712840095,CWT,uiug.30112070958894,51313.56311927472,105667.73335311661,69935.53712840095,0.0,-11.5,0.0,-7.0,51311.68863310843,1076776.461295277,51311.68863310843,69935.53712840095,0.0,-11.5,,0.0,1.0,530.6207294842847,0.0,0.10600974861003004,0.07048693536515757,0.9047603925624612,0.1245066408822432,0.9672288222889417,0.1201099973387737,0.9262080331309783,0.23745676582170816,,0.19116342608315695,1.0,1.0,1.0,0.9226297998334434,0.4591886757039071,0.5,,0.9230769230769229,0.0,0.05555555555555556,0.587108260901938,0.587108260901938,0.75,2.3309648178176454,1.0,1,1.6551828908322097,0.6857119793647148,5,0,0,0.6135254540043739,0.963493647991278,2,1,0.11111111111111112,0.42654036144448115,0.6669419702818999,7,2.753785273643051,0.8033010518826392,3.75,2.170542635658915,0.7677219545127483,1,gaus,0.48214285714285715,1.0,0.36249999999999993,1,1.0,,,0.1060097486100301,0.004699837555934066,0.9329730314226585,0.1245066408822432,0.972387096964331,0.11753902662993534,0.6809605420763992,0.28789706245469854,,0.19339956096167238,0.9318870744619525,0.9319068655502392,0.9319068655502395,0.9183142273338212,0.4785329671977314,0.3333333333333333,,0.923076923076923,0.0,0.057142857142857134,0.0,0.5981648481820698,0.5981648481820698,0.0,0.14285714285714288,2.094346386422575,0.8294096949005052,4,1.5760022160910847,0.6335125344780992,13,6.363961030678928,0.7727156774757526,8.5,6.117647058823529,0.734572124452162,4,12.5,11.5,8.033264176742437,16,0.45454545454545453,0.757383409925006,0.45460315884068,4,4.0,3
raw,gaus6,21.08869435440609,0.6707174057835401,313.59966589261114,-26.513598996230993,1927,127,19125.845146257943,,False,16.870850426936695,99335.13302707631,0.01520476385939187,5.096709418513342e-07,0.395323910078688,23,45434.35479110419,301.55850356064184,115886.84766400969,"[4, 69, 154, 292, 394, 479, 544, 649, 751, 829, 907, 1006, 1089, 1190, 1291, 1383, 1483, 1557, 1630, 1702, 1771, 1840, 1922]","[5267.1292427509, 1770.0586575046145, 36992.862341524924, 104267.02363772749, 62472.09782049733, 32803.227538742314, 2954.4047936181223, 75219.3406670501, 80943.88130100392, 914.3674978194758, 27442.894659749203, 110201.77935971982, 31981.21252006721, 77455.07706684941, 59135.511241793414, 57800.82890711798, 95068.06749435136, 3254.5520971123333, 56306.099984313514, 301.55850356064184, 115886.84766400969, 1351.520248053508, 5199.816950459102]","[0, 65, 79, 212, 324, 454, 541, 581, 708, 828, 833, 708, 1068, 1068, 1254, 1354, 1428, 1550, 1598, 1699, 1428, 1839, 1855]","[79, 79, 212, 1428, 581, 581, 581, 708, 833, 833, 920, 1428, 1105, 1428, 1428, 1428, 1662, 1560, 1662, 1703, 1855, 1855, 1926]",0.05,30,1120218128031.7598,75760.90534124548,-75760.90534124548,CWT,uiug.30112070958894,44667.229277270475,114812.82183363492,74679.90534124548,0.0,-12.0,0.0,-12.0,44665.35479110419,1028072.1601953963,44680.349703838045,74679.90534124548,0.0,-12.0,,0.0,1.0,171.54255012154465,0.0,0.1752668577427866,0.0860191562120117,0.8420429823063696,0.1143198359602887,0.9710670362707513,0.06588012655607739,0.9032663348364096,0.26187503647168947,,0.056856540276368994,0.7430523001715305,0.7430523001715305,0.7436320044758409,0.8310670659681275,0.5684455015196882,0.5,,0.15384615384615383,0.0,0.0,0.6908714887808531,0.6908714887808531,0.5,1.9774674381694457,0.8483471835584546,8,1.6187136288314516,0.6706034315595011,6,0,0,0.4785919110762266,0.7515910925818957,10,1,0.11111111111111112,0.42191161523899245,0.6597044251554106,9,1.707825127659933,0.8780124908814334,8.25,7.955801104972376,0.6443633882978596,6,gaus,0.48214285714285715,1.0,0.36249999999999993,1,4.75,,,0.17526685774278666,0.005735475074928702,0.8888342744538812,0.11431983596028869,0.9756211653717686,0.07075808590960048,0.66409349844473,0.31070012656996193,,0.05946398417015679,0.7115376904215195,0.7115574815098061,0.7120546156988481,0.8359629773253396,0.5838817833411534,0.3333333333333333,,0.15384615384615385,0.0,0.02857142857142858,0.0,0.6991494610467501,0.6991494610467501,0.0,0.09523809523809526,1.818589006914756,0.7202033833338591,15,1.550792449553389,0.6233788538716667,16,0.7071067811865476,0.9747461863861947,15.5,15.483870967741938,0.7105873789073831,5,12.5,11.5,8.033264176742437,16,0.45454545454545453,0.757383409925006,0.45460315884068,4,4.75,4
smoothed,gaus4,21.17684612068002,0.6691769263144131,326.9251321574067,-29.817163189705465,1927,127,21495.042760561613,,False,16.86423956923026,108449.97894005886,0.013256769501698929,2.9212668877264707e-06,0.5147241643009727,22,45677.26276406978,462.3182606183145,135802.08026764856,"[5, 85, 154, 292, 393, 478, 544, 650, 750, 836, 908, 1007, 1086, 1190, 1291, 1382, 1482, 1556, 1627, 1771, 1841, 1922]","[5450.47525461106, 604.0413754687706, 31601.466622195258, 99384.23998515023, 50313.306677568566, 28130.019332730688, 1948.4696344492695, 63185.45536306589, 86399.56288223082, 545.6314534307166, 18243.144457610364, 135802.08026764856, 24182.529681458866, 85782.53842720884, 48371.78373946743, 44861.68789374245, 108051.82599446629, 2872.0570679297143, 40855.098332428, 123702.17320225213, 462.3182606183145, 4149.874903802922]","[0, 78, 78, 211, 337, 453, 540, 580, 580, 834, 867, 867, 1069, 1111, 1255, 1353, 1417, 1549, 1598, 867, 1839, 1888]","[78, 87, 211, 867, 580, 580, 580, 707, 867, 841, 920, 1662, 1111, 1417, 1417, 1417, 1662, 1561, 1662, 1888, 1855, 1926]",0.05,30,1458403057905.4216,84189.3390971562,-84189.3390971562,CWT,uiug.30112070958894,45134.57478273744,134977.5988055157,83354.67243048953,0.0,-3.0,0.0,-12.0,45132.10334377993,992361.1141428687,45132.10334377993,83354.67243048953,0.0,-3.0,,0.0,1.0,377.0406959194694,0.0,0.3485365049672087,0.031243692694031697,0.7428643686892233,0.09307630382670506,0.9905892853453958,0.06114172023262887,0.8718575473857181,0.6008611120865068,,0.5177611203690766,0.7270318405367142,0.7270318405367142,0.7270318405367143,0.7755812612320296,0.8552179082321526,0.3333333333333333,,0.16666666666666663,0.0,0.5428571428571429,0.8942069598370063,0.8942069598370063,0.9500000000000001,2.3770250755463738,0.9153651959892034,3,1.7150296269798981,0.6797763086523261,9,0,0,0.5407284582649706,0.9103125676981643,4,1,0.11111111111111112,0.4619657613478717,0.6880846946088557,6,2.6457513110645907,0.8110177634953863,5.5,4.645161290322581,0.7090803103191218,5,gaus,0.4642857142857143,1.0,0.37499999999999994,1,4.0,0.0,0.0,0.34804547050647916,0.0344452282643252,0.608890049048239,0.1008910920390461,0.9831631659201665,0.06114172023262888,0.8723972638054962,0.3675897511169936,,0.13611445826991495,0.727031840536714,0.7270318405367141,0.7270318405367143,0.7755812612320294,0.8161742741474727,0.3333333333333333,,0.15384615384615385,0.0,0.5428571428571428,0.0,0.8837932232713843,0.8837932232713843,0.0,0.9523809523809524,2.2380379044421757,0.8863148653599159,3,1.5425598621018382,0.6200695645264523,17,9.899494936611665,0.6464466094067263,10.0,5.1,0.6446518761319345,8,12.5,11.5,8.033264176742437,16,0.45454545454545453,0.757383409925006,0.45460315884068,4,7.0,5
raw,morl,21.044986635749517,0.6713139840394886,297.84718706552286,-25.201755146179686,1927,127,16722.527891948044,,False,16.814571733040324,94779.90446749645,0.016950992010445583,2.789569470380881e-08,0.43609001129941266,23,49341.27960240932,652.7512185776116,96281.07036737059,"[6, 91, 156, 227, 292, 392, 465, 530, 648, 750, 826, 896, 1008, 1089, 1181, 1292, 1388, 1483, 1566, 1631, 1705, 1770, 1875]","[6436.958524392705, 3894.1054409463122, 44159.97060748059, 3970.0819065344076, 94821.35921952574, 74452.72046998757, 652.7512185776116, 43655.27407824097, 84395.72192300184, 65737.06815830307, 5375.727272311964, 52651.65831443992, 96281.07036737059, 42484.62303935381, 66975.23105703328, 66336.2026572847, 82364.31349396022, 77995.67104121647, 2414.6774733380007, 81823.17364936657, 12881.140892919266, 87828.4659298902, 37261.46411993861]","[1, 88, 88, 212, 212, 324, 452, 498, 324, 708, 822, 822, 708, 1069, 1069, 1253, 1350, 1428, 1550, 1350, 1700, 708, 1854]","[88, 92, 212, 228, 708, 580, 466, 580, 708, 822, 827, 981, 1350, 1160, 1350, 1350, 1428, 1550, 1568, 1662, 1741, 1854, 1890]",0.05,30,829740796615.8508,65786.90858692359,-65786.90858692359,CWT,uiug.30112070958894,48574.154088575604,95207.04453699582,64705.908586923586,0.0,-3.0,0.0,-12.0,48572.27960240932,1117931.4308554144,48572.27960240932,64705.908586923586,0.0,-12.0,,0.0,1.0,179.65016489542506,0.0,0.0,0.0,1.0,0.0,0.9666289712444943,0.07019722641118903,1.0,0.23143006273677358,,0.05988905117283584,0.8940942681995623,0.8940942681995623,0.8940942681995624,1.0,0.3342143074043866,0.5,,0.15384615384615383,0.0,1.0,0.472731991243465,0.472731991243465,0.5,2.0942361223156514,0.8984417552369451,4,1.6039654012814322,0.6644935108000132,8,0,0,0.5519766384237685,0.8668360562544615,3,1,0.11111111111111112,0.40297647699350153,0.6300972893471112,10,3.304037933599835,0.7639972904571546,6.25,4.948453608247423,0.6587843595142916,5,morl,0.35714285714285715,,,6,5.25,,,0.0,0.0,1.0,0.0,0.9718816641455227,0.07448219569431686,0.7352133837302857,0.28226901045956165,,0.06248811129219535,0.8410660132726274,0.8410858043609142,0.8410858043609144,0.9879007548232095,0.35802880967419487,0.3333333333333333,,0.15384615384615385,0.0,0.5428571428571428,0.0,0.48685139399919175,0.48685139399919175,0.0,0.09523809523809526,1.8654743418856559,0.7387710623126676,14,1.522726668026427,0.6120971283729847,19,3.5355339059327378,0.8737309319309736,16.5,16.12121212121212,0.6422226088226297,9,11.0,11.0,2.8284271247461903,2,0.4,0.26666666666666666,0.64,1,7.0,6
smoothed,mexh,21.28601504659052,0.6779989294280613,369.1142950529371,-31.553694983747377,1927,127,27154.529503729726,,False,16.96567066859428,121587.89837254466,0.0101842005269377,4.408386754200571e-07,0.406499136374654,23,32476.75610802474,26.391007907441235,127459.92208073649,"[6, 85, 155, 219, 291, 392, 478, 561, 651, 744, 829, 931, 1007, 1084, 1192, 1284, 1387, 1521, 1619, 1706, 1771, 1837, 1923]","[4728.141181894037, 362.60215822789087, 16261.848881995445, 396.6814329975641, 81603.33953836576, 15809.2574232244, 13469.469708542263, 6991.592518893594, 28200.825825305288, 101801.46217426697, 26.391007907441235, 340.2439566747089, 127459.92208073649, 10973.681323133273, 54435.01720807492, 19305.828012269107, 23204.877288204127, 116137.88054179856, 14370.88774222343, 204.6917101543586, 107293.78937461956, 383.83109677586253, 3203.1282982837474]","[0, 75, 75, 188, 75, 366, 453, 502, 502, 502, 828, 866, 866, 1070, 1110, 1263, 1354, 1354, 1599, 1661, 1354, 1836, 1890]","[75, 87, 188, 220, 866, 502, 502, 577, 708, 866, 866, 932, 1354, 1110, 1354, 1354, 1406, 1661, 1661, 1707, 1890, 1890, 1926]",0.05,30,2171140755117.607,85186.91065302325,-85186.91065302325,CWT,uiug.30112070958894,31934.0681266924,126635.44061860364,84352.24398635658,0.13043478260869565,5.0,0.043478260869565216,-7.0,31931.596687734884,734426.7238179024,31936.72210733713,84352.24398635658,0.043478260869565216,-7.0,,0.0,0.0,58.886556791403905,0.0,0.764016654475083,0.0016165884971133214,0.563332250926149,0.30747896604691816,1.0,0.11621263136414652,0.682251309806423,0.7348969808556725,,0.06635266270929788,0.28938853524586533,0.28938853524586544,0.28955846096418636,0.33945510843341103,0.7545214829393664,0.0,,0.9999999999999999,1.0,1.0,0.9156906189883953,0.9156906189883953,0.55,1.8036710015313115,0.6945730934021617,10,1.8347731752813043,0.7272383617671762,3,0,0,0.5940030682343188,1.0,1,1,0.11111111111111112,0.5156701171908825,0.7680757856836264,2,4.08248290463863,0.7083940782400978,4.0,2.0689655172413794,0.7113398962629061,4,mexh,0.2857142857142857,,,5,4.25,1.0,0.5,0.7607751907018504,0.004916035407148193,0.461736241976595,0.30692975139241185,0.9925033315672903,0.11621263136414652,0.6835896187115653,0.44958908615552756,,0.01744348191498908,0.28938853524586533,0.28938853524586544,0.2895584609641864,0.339455108433411,0.7200749864320484,0.0,,0.923076923076923,0.9565217391304348,0.9999999999999999,1.0,0.9050266884778404,0.9050266884778404,0.5,0.5714285714285715,1.759755007341588,0.6969037563227273,18,1.6562221889910034,0.6657589094062006,8,7.0710678118654755,0.7474618638619472,13.0,11.076923076923077,0.6415880747881164,10,12.5,12.5,3.5355339059327378,2,0.45454545454545453,0.3333333333333333,0.5818181818181818,2,8.0,7
raw,gaus1,21.31017378039162,0.6674157946136339,350.79618068374896,-30.0737766858839,1927,127,29017.982163706067,,False,16.920585219094345,124207.03220509317,0.009227687968104902,5.09484878904418e-07,0.01466380821092847,23,35048.56373540189,16.485841900328523,145959.84436347394,"[41, 112, 179, 249, 315, 399, 492, 556, 626, 704, 808, 882, 975, 1044, 1136, 1237, 1336, 1403, 1545, 1644, 1709, 1836, 1905]","[11380.738528089467, 3484.029005490189, 29423.972097572183, 1199.1095396714688, 118352.18862151, 31495.257656346694, 14749.245330135425, 1516.1672501949324, 482.65383591378486, 18468.316714207005, 145959.84436347394, 323.40865434953594, 16.485841900328523, 63085.278880040176, 10696.635037170312, 28685.911915355897, 108351.38242474118, 232.41047815027196, 115536.78261751469, 28777.482962786926, 2237.7333344729923, 71459.40993852635, 202.52088662967708]","[0, 96, 96, 215, 96, 373, 474, 555, 623, 597, 597, 881, 939, 939, 1119, 1166, 939, 1402, 1455, 1610, 1705, 1455, 1904]","[96, 122, 215, 253, 1455, 597, 597, 597, 627, 718, 1455, 939, 976, 1166, 1166, 1268, 1455, 1455, 1745, 1745, 1745, 1921, 1921]",0.05,30,2525304676122.3965,89895.19464866297,-89895.19464866297,CWT,uiug.30112070958894,34281.438221568176,144885.81853309917,88814.19464866297,0.0,-12.0,0.0,-7.5,34279.56373540189,789198.9659142435,34409.91727954119,88814.19464866297,0.0,-12.0,,0.0,1.0,456.61521178185797,0.0,0.8966713116491752,0.08598593537347586,0.41336768661856527,0.21534693675710284,0.9935559724292622,0.04198823146751819,0.0,0.4281069406029807,,0.16348296208845892,0.3415369405613272,0.3415369405613272,0.3465764170798557,0.3819920926784154,0.9277290851778859,0.5,,0.846153846153846,0.0,0.0,1.0,1.0,0.5,1.797415951630826,0.7711038527443962,10,1.3353073094993164,0.55319338021708,11,0,0,0.4883852526385473,0.76697076807265,9,1,0.11111111111111112,0.37882232130670446,0.59232965551829,11,0.9574271077563381,0.9316123494459758,10.25,10.179948586118252,0.5997347461515594,7,gaus,0.48214285714285715,1.0,0.36249999999999993,1,5.5,,,0.8966713116491754,0.005733260018425231,0.5871446061843751,0.21534693675710284,0.99457028032258,0.05014794408733786,0.0,0.4659362127876833,,0.165795623243095,0.36721212443301826,0.3672319155213049,0.37155359478710603,0.4320662844597496,0.9303141450315493,0.3333333333333333,,0.846153846153846,0.0,0.02857142857142858,0.0,0.9999999999999998,0.9999999999999998,0.0,0.09523809523809526,1.7025816719944862,0.6742617908226058,20,1.434400406500755,0.5765922329935291,21,0.7071067811865476,0.9747461863861947,20.5,20.48780487804878,0.6213016646216688,12,12.5,11.5,8.033264176742437,16,0.45454545454545453,0.757383409925006,0.45460315884068,4,10.0,8
