signal_type,wavelet,wavelet_energy_entropy,wavelet_sparsity,wavelet_adaptive_threshold,wavelet_psnr,signal_length,scales_used,emd_value,kl_divergence,is_complex,change_point_indices,change_point_prominences,num_change_points,wavelet_entropy,avg_variance_across_levels,variance_ratio_across_levels,smoothness,correlation,relative_num_peaks,avg_prominence,prominence_min,prominence_max,relative_peaks,relative_prominences,relative_left_bases,relative_right_bases,prominence_threshold,distance_factor,max_autocorrelation,upper_envelope,lower_envelope,fft_frequency_max,fft_amplitude_max,fft_spectral_centroid,fft_spectral_bandwidth,fft_spectral_magnitude,fft_variance_magnitude,fft_num_peaks,fft_peak_amplitude,fft_dominant_frequency,fft_positive_frequencies,fft_positive_amplitudes,fft_snr_threshold,fft_stationarity_threshold,fft_dynamic_cutoff,fft_dynamic_cutoff_percentile,stft_frequency_max,stft_amplitude_max,stft_spectral_centroid,stft_spectral_bandwidth,stft_spectral_magnitude,stft_variance_magnitude,stft_peak_freq_over_time,stft_num_peaks,stft_peak_amplitude,stft_dominant_frequency,stft_positive_frequencies,stft_positive_amplitudes,stft_snr_threshold,stft_stationarity_threshold,stft_window,stft_nperseg,stft_noverlap,stft_dynamic_cutoff,stft_dynamic_cutoff_percentile,wavelet_type,htid,stft_amplitude_max_diff,stft_frequency_max_diff,avg_prominence_diff,fft_variance_magnitude_diff,stft_noverlap_diff,prominence_max_diff,stft_spectral_magnitude_diff,upper_envelope_diff,relative_peaks_array_alignment_score,relative_peaks_global_alignment_score,stft_num_peaks_diff,fft_peak_amplitude_diff,relative_left_bases_array_alignment_score,relative_left_bases_global_alignment_score,stft_window_diff,stft_nperseg_diff,prominence_threshold_diff,relative_right_bases_array_alignment_score,relative_right_bases_global_alignment_score,stft_dominant_frequency_diff,relative_num_peaks_diff,max_autocorrelation_diff,stft_variance_magnitude_diff,fft_amplitude_max_diff,fft_dominant_frequency_diff,fft_snr_threshold_diff,stft_stationarity_threshold_diff,relative_prominences_avg_diff,relative_prominences_total_diff,relative_prominences_wasserstein,stft_dynamic_cutoff_percentile_diff,lower_envelope_diff,fft_stationarity_threshold_diff,stft_dynamic_cutoff_diff,fft_frequency_max_diff,fft_num_peaks_diff,fft_dynamic_cutoff_percentile_diff,fft_dynamic_cutoff_diff,prominence_min_diff,fft_spectral_centroid_diff,stft_peak_amplitude_diff,fft_spectral_bandwidth_diff,stft_spectral_bandwidth_diff,fft_spectral_magnitude_diff,distance_factor_diff,stft_snr_threshold_diff,stft_spectral_centroid_diff,emd_value_normalized,smoothness_normalized,wavelet_psnr_normalized,wavelet_entropy_normalized,wavelet_energy_entropy_normalized,wavelet_sparsity_normalized,correlation_normalized,avg_variance_across_levels_normalized,kl_divergence_normalized,prominence_min_diff_normalized,avg_prominence_diff_normalized,relative_prominences_avg_diff_normalized,relative_prominences_wasserstein_normalized,relative_prominences_total_diff_normalized,prominence_max_diff_normalized,relative_num_peaks_diff_normalized,max_autocorrelation_diff_normalized,relative_right_bases_global_alignment_score_normalized,relative_left_bases_global_alignment_score_normalized,upper_envelope_diff_normalized,lower_envelope_diff_normalized,relative_peaks_global_alignment_score_normalized,reconstruction_signal_weighted_score,reconstruction_signal_normalized_weighted_score,reconstruction_signal_normalized_weighted_rank,wavelet_signal_weighted_score,wavelet_signal_normalized_weighted_score,wavelet_signal_normalized_weighted_rank,reconstruction_signal_num_missing_metrics,reconstruction_signal_missing_metrics_count,reconstruction_signal_dynamically_weighted_score,reconstruction_signal_normalized_dynamically_weighted_score,reconstruction_signal_normalized_dynamically_weighted_rank,wavelet_signal_num_missing_metrics,wavelet_signal_missing_metrics_count,wavelet_signal_dynamically_weighted_score,wavelet_signal_normalized_dynamically_weighted_score,wavelet_signal_normalized_dynamically_weighted_rank,rank_variability,normalized_rank_stability,average_rank,harmonic_average_rank,stability_score_weighted,stability_rank,wavelet_family,family_mean_stability_rank,family_median_stability_rank,family_rank_std_dev,family_wavelet_count,normalized_family_mean_rank,normalized_family_std_dev,final_family_stability_score,final_family_stability_rank,family_informed_rank
raw,gaus1,2275690498.110214,0.7237277928334839,1748.4994307731683,-40.45752052955468,164,81,90586.37308108954,,False,"[4, 83, 104]","[3158.164803853113, 74525.08993448479, 3853.600834947487]",3,12.853050580836591,2150905.7604880272,0.023411171516581238,1.3855326796524165e-06,0.1919209730456932,2,39189.345384716136,3853.600834947487,74525.08993448479,"[83, 104]","[74525.08993448479, 3853.600834947487]","[4, 100]","[140, 140]",0.05,10,1721313299967.1533,202121.765228705,-202121.765228705,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CWT,mdp.39015067403967,,,38803.845384716136,,,73554.08993448479,,201149.765228705,0.0,-21.0,,,0.0,-21.0,,,0.0,0.0,-21.0,,20.0,,,,,,,38803.845384716136,69897.69076943227,38803.845384716136,,201149.765228705,,,,,,,3849.600834947487,,,,,,20.0,,,1.0,0.2227398242400766,0.026253305672462146,0.5486706503296425,0.7854202471812682,0.47697809566383537,0.28971938009754133,0.9999999999999999,,1.0,0.8043452765429666,0.8043452765429666,0.8043226494856328,0.0,0.21023119916763305,1.0,,0.0,0.0,1.0,1.0,0.0,1.929019560355286,0.8199320458313095,6,1.7562983697355061,0.781371861572677,4,0,0,0.5519370334782666,0.9104807118723952,4,1,0.11111111111111112,0.5381671323425476,0.9298588446306666,2,1.632993161855452,0.8833576312960392,4.0,3.428571428571429,0.7988216727908768,1,gaus,7.0,6.5,4.105745103771404,8,0.5,1.0,0.35,1,1.0
raw,mexh,2897177130.25873,0.6434056007226739,1523.6248389978416,-40.79276087047127,164,81,88605.39416213435,-317197.0367883851,False,"[33, 56, 101, 119, 127, 132, 152]","[3772.327377576643, 159487.59085339992, 957.785854505928, 709.9933048851199, 943.4063020844478, 89.05025066130474, 29306.87137046346]",7,12.6466398618059,962244.3967018635,0.015465729894200286,1.0765917630641076e-06,0.5336983481878492,7,27895.289330510972,89.05025066130474,159487.59085339992,"[33, 56, 101, 119, 127, 132, 152]","[3772.327377576643, 159487.59085339992, 957.785854505928, 709.9933048851199, 943.4063020844478, 89.05025066130474, 29306.87137046346]","[0, 0, 98, 118, 125, 125, 125]","[38, 163, 125, 125, 128, 133, 163]",0.05,30,1873369010087.0327,181078.95911260333,-181078.95911260333,0.49390243902439024,14592235.642590035,0.01166578806521474,0.03990267937278592,26211504.65875098,3069565289379.104,13.0,918518.7161019597,0.024390243902439025,"[0.0, 0.006097560975609756, 0.012195121951219513, 0.01829268292682927, 0.024390243902439025, 0.03048780487804878, 0.03658536585365854, 0.042682926829268296, 0.04878048780487805, 0.054878048780487805, 0.06097560975609756, 0.06707317073170732, 0.07317073170731708, 0.07926829268292683, 0.08536585365853659, 0.09146341463414634, 0.0975609756097561, 0.10365853658536586, 0.10975609756097561, 0.11585365853658537, 0.12195121951219512, 0.12804878048780488, 0.13414634146341464, 0.1402439024390244, 0.14634146341463417, 0.1524390243902439, 0.15853658536585366, 0.16463414634146342, 0.17073170731707318, 0.17682926829268295, 0.18292682926829268, 0.18902439024390244, 0.1951219512195122, 0.20121951219512196, 0.20731707317073172, 0.21341463414634146, 0.21951219512195122, 0.22560975609756098, 0.23170731707317074, 0.2378048780487805, 0.24390243902439024]","[14592235.642590035, 6638793.530498679, 1222122.0572028002, 599904.5752899144, 918518.7161019597, 303806.4082006501, 303761.49956085026, 314323.70183264697, 199431.00493164628, 139619.3349110897, 67732.73868872537, 68950.947818654, 92304.29600121382, 37762.732910465726, 28714.98206091607, 65958.34534079302, 18050.822892901448, 51472.19618902667, 47728.45888288329, 20229.931638239697, 34420.500422406614, 31242.07140215332, 22440.167799038856, 8390.227973300953, 8058.225937431736, 13793.577278314728, 6355.604600075433, 10970.683654102888, 6949.110258118893, 12960.72832545698, 16067.234872785986, 11655.936868501358, 4826.2961797440885, 15987.117370465576, 3421.9977455321045, 16401.270782883556, 8015.058554128388, 9298.544951956364, 6909.037887051887, 12993.088015940108, 2410.7448220624133]",3.0,0.7,24171.135081647204,15.0,0.5,262702228486.5727,0.03804900383872167,0.060056677212532536,412037212036.93005,1.792759972738918e+20,"[0.015625, 0.015625, 0.015625, 0.015625]",1.0,262702228486.5727,0.015625,"[0.0, 0.015625, 0.03125, 0.046875, 0.0625, 0.078125, 0.09375, 0.109375, 0.125, 0.140625, 0.15625, 0.171875, 0.1875, 0.203125, 0.21875, 0.234375]","[5.809289441959913e-20, 262702228486.5727, 72873767918.13277, 21404457571.198284, 12613973499.944332, 8672704992.92256, 5396559011.131759, 4175029607.910433, 3030624637.9932294, 2685170939.4528503, 2056223708.2181234, 1786570381.563818, 1530345053.9223092, 1267551824.3513162, 1079582371.241712, 1011448197.6659907]",3.0,0.7,boxcar,64.0,32.0,24171.135081647204,15.0,CWT,mdp.39015067403967,262697610437.0999,0.0,27509.789330510972,3069518902849.734,0.0,158516.59085339992,412019342856.6488,180106.95911260333,0.0,-14.0,3.0,906740.9000365748,0.0,-9.5,,0.0,0.0,0.0,-9.5,0.0,15.0,,1.792759971808171e+20,14531284.642590035,0.0,0.0,0.39999999999999997,27509.789330510972,186786.0253135768,27509.789330510983,0.0,180106.95911260333,0.39999999999999997,24134.785081647206,0.0,2.0,0.0,24134.785081647206,85.05025066130474,0.12868397837658088,262697610437.0999,0.11074907506104806,0.0637916743446962,25939234.46620137,0.0,0.0,0.07304725150616465,0.9708895173204632,0.17013471140494604,0.0,0.2420875921958692,0.9999999999999999,0.0,0.8086834132588377,0.3573430686655086,0.0,0.02207578831129433,0.4968392866630792,0.4968392866630792,0.49678109718465746,0.9279658111729644,0.9404989771219963,0.6153846153846154,,0.575,0.41071428571428564,0.8669407273317754,0.8669407273317754,0.3414634146341464,2.1477872803789277,0.9129195239923907,4,1.429761657485296,0.6360966605479259,6,0,0,0.5881203347928057,0.9701690385120175,2,0,0.0,0.3943487003161804,0.6813657037386822,6,1.9148542155126762,0.8632246988919516,4.5,3.6923076923076925,0.7708980637316901,2,mexh,2.0,2.0,,1,0.14285714285714285,,,5,2.75
raw,gaus4,922699243.10186,0.6847335140018067,967.0958501676587,-35.30926874649276,164,81,51866.12180258651,,False,"[29, 51, 56, 95, 109, 154]","[22155.688918678046, 1029.4733328270959, 82579.5916024347, 65726.05866499082, 6562.217589980428, 38189.046095244514]",6,12.689753424047966,788363.8999650513,0.020412550165467613,1.1499467200668312e-06,0.6596949041326583,6,30288.210516746592,222.38211782617873,113570.4550459233,"[29, 51, 56, 102, 110, 154]","[22155.688918678046, 1029.4733328270959, 113570.4550459233, 6562.217589980428, 222.38211782617873, 38189.046095244514]","[0, 0, 0, 95, 109, 95]","[42, 53, 95, 109, 111, 163]",0.05,30,531706494999.8942,83320.99953405897,-83320.99953405897,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CWT,mdp.39015067403967,,,29902.710516746592,,,112599.4550459233,,82348.99953405897,0.0,-10.0,,,0.0,-5.5,,,0.0,0.0,-10.0,,16.0,,,,,,,29902.710516746592,173248.26310047955,29902.710516746592,,82348.99953405897,,,,,,,218.38211782617873,,,,,,0.0,,,0.4310059570019688,0.18262527378418142,0.4294226479120654,0.30612442042496946,0.31827499570268186,0.24541797049620026,1.0,0.2633335299892777,,0.05671165205408856,0.5619919293050432,0.5619919293050432,0.5619412745927359,0.8204907535246834,0.5458330436396932,0.6923076923076923,,0.5499999999999999,0.5535714285714285,0.2487910885771993,0.2487910885771993,0.5365853658536586,1.8000666625410926,0.7651204640860245,7,1.3574432662411011,0.603922425824399,7,0,0,0.49491727052570544,0.8164203549569041,6,1,0.11111111111111112,0.3914700438583626,0.6763918879720008,7,0.5,0.9642857142857143,6.75,6.72,0.7410714285714286,3,gaus,7.0,6.5,4.105745103771404,8,0.5,1.0,0.35,1,2.5
raw,fbsp,91458014.0349246,0.7795844625112918,1433.5952204753523,-38.041131853111835,164,81,72209.4027110067,-307082.7535318261,True,"[5, 11, 17, 22, 28, 34, 39, 51, 56, 62, 70, 77, 102, 107, 113, 118, 128, 153, 158]","[34.3399402306095, 8889.462867065798, 683.3939946287719, 88.08966172861983, 1500.0018351753242, 1532.4986823361978, 55.715377323191206, 896.149482845547, 6016.827692865001, 6302.504207871316, 38929.005144972565, 1750.2806418675027, 463.9138070947083, 4754.557849368932, 1316.920653140187, 619.7416494044774, 253.65666160175533, 1317.5659447802173, 6392.345878071661]",19,12.973241934594869,1155227.5957908302,0.02295187039828201,7.741942311182152e-08,0.43906940565319996,13,15570.77600354701,591.2867732670857,111413.12217364009,"[20, 26, 31, 51, 56, 62, 67, 95, 101, 108, 114, 150, 155]","[2420.2705321530375, 2194.4150736493466, 22111.610945732282, 769.8011909267225, 111413.12217364009, 4683.379289327262, 4611.372937887078, 971.2348461938818, 8912.734181315314, 870.6118762130282, 591.2867732670857, 944.5577578120137, 41925.69046799397]","[0, 0, 0, 0, 0, 60, 66, 94, 94, 107, 113, 94, 94]","[21, 27, 41, 52, 94, 94, 94, 96, 113, 110, 115, 151, 163]",0.05,30,997015020594.8428,110660.38933387477,-110660.38933387477,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CWT,mdp.39015067403967,,,15185.27600354701,,,110442.12217364009,,109688.38933387477,0.0,-6.5,,,0.0,7.0,,,0.0,0.0,-6.5,,9.0,,,,,,,15185.27600354701,193939.0880461111,15185.276003547006,,109688.38933387477,,,,,,,587.2867732670857,,,,,,0.0,,,0.7299504439235469,0.0,0.21548527689848362,0.7271915768081363,0.03127358933406116,0.8086723290120698,0.6649962612021982,0.461680598515549,0.1219649064225542,0.15254269118694389,0.1612767879286388,0.1612767879286388,0.16117979135287835,0.9847533228340227,0.5272903846323542,0.15384615384615397,,0.725,0.9999999999999999,0.42166533842228104,0.42166533842228104,0.7073170731707317,1.4910726827938388,0.633782207507091,8,1.5504345204482015,0.6897836542839788,5,0,0,0.46481780581041027,0.766767984489469,7,0,0.0,0.41791277579073316,0.7220803120429492,5,1.5,0.8928571428571429,6.25,5.989304812834224,0.7232142857142858,4,fbsp,4.0,4.0,,1,0.2857142857142857,,,4,4.0
raw,gaus6,770692247.7668905,0.6738181270701596,899.5293542995231,-34.057200801574886,164,81,44318.26761441789,,False,"[21, 27, 51, 57, 66, 94, 108, 154]","[57.31792622122157, 29543.8652975775, 303.3785925221455, 55517.88675882599, 3.9312037219060585, 71861.97664165458, 4871.619129795115, 43153.65331055488]",8,12.752180593968374,709370.6190186868,0.02389552889334428,9.696013618664863e-07,0.6422649171066805,8,21287.988768402804,3.9312037219060585,92301.01107897186,"[21, 27, 51, 57, 66, 93, 102, 154]","[57.31792622122157, 29543.8652975775, 303.3785925221455, 92301.01107897186, 3.9312037219060585, 69.13360785780242, 4871.619129795115, 43153.65331055488]","[0, 0, 42, 0, 65, 92, 94, 94]","[22, 42, 53, 94, 94, 94, 108, 163]",0.05,30,398530449999.95654,89095.65881087923,-89095.65881087923,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CWT,mdp.39015067403967,,,20902.488768402804,,,91330.01107897186,,88123.65881087923,0.0,-9.0,,,0.0,-4.5,,,0.0,0.0,-9.0,,14.0,,,,,,,20902.488768402804,161822.91014722243,20960.212976248426,,88123.65881087923,,,,,,,0.06879627809394151,,,,,,0.0,,,0.32009024936372743,0.15191685217985387,0.5274744587136742,0.3988478640267022,0.2657917695181784,0.18059901654000907,0.9735338351136082,0.22062533649055596,,0.0,0.3169407196616779,0.3169407196616779,0.31843357799081645,0.729785920039332,0.363018396988767,0.5384615384615385,,0.6,0.5892857142857142,0.2853057985945374,0.2853057985945374,0.5853658536585367,1.3976053406910105,0.5940538031903033,9,1.3403098977213885,0.5962998417088796,8,0,0,0.4107370031614279,0.6775557651459471,9,1,0.11111111111111112,0.3743043671877331,0.6467325956871359,8,0.5773502691896257,0.9587606950578839,8.5,8.470588235294118,0.6758089189575134,5,gaus,7.0,6.5,4.105745103771404,8,0.5,1.0,0.35,1,4.0
raw,gaus2,1697111384.8452291,0.653417645287564,1094.6448469477425,-38.35058803318765,164,81,63657.55508226489,,False,"[32, 39, 51, 56, 97, 115, 154]","[11452.219833205338, 288.94566509418655, 870.3577303874772, 140698.45982641124, 5754.364111539184, 23834.780063154973, 36558.9070152035]",7,12.483651488352614,885146.6620882151,0.016694182380922185,1.3647227052205715e-06,0.6354298749913294,6,34056.76473917206,288.94566509418655,149415.7940796027,"[32, 39, 51, 56, 101, 154]","[11452.219833205338, 288.94566509418655, 870.3577303874772, 149415.7940796027, 5754.364111539184, 36558.9070152035]","[0, 38, 0, 0, 97, 115]","[40, 40, 53, 115, 115, 163]",0.05,30,1069884656643.2106,142010.69915152184,-142010.69915152184,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CWT,mdp.39015067403967,,,33671.26473917206,,,148444.7940796027,,141038.69915152184,0.0,-14.5,,,0.0,-5.5,,,0.0,0.0,-10.0,,16.0,,,,,,,33671.26473917206,195859.58843503238,33671.26473917206,,141038.69915152184,,,,,,,284.94566509418655,,,,,,0.0,,,0.6042810539606145,0.2191963924888781,0.19125117766821192,0.0,0.5856551087401036,0.05945462673223027,0.9631553218444528,0.31565971371752893,,0.07400298684474946,0.6645992646167439,0.6645992646167439,0.6645604762269969,1.0,0.8539300959042901,0.6923076923076923,,0.5499999999999999,0.5535714285714285,0.6199017047720945,0.6199017047720945,0.3170731707317074,2.245949181479114,0.9546433561638709,2,1.1899293598235114,0.5293959927579406,11,0,0,0.6062039824470451,1.0,1,1,0.11111111111111112,0.36177611883844696,0.6250859698803815,9,4.9916597106239795,0.6434528778125729,5.75,2.350148367952522,0.6163692960491436,6,gaus,7.0,6.5,4.105745103771404,8,0.5,1.0,0.35,1,4.75
raw,gaus8,658126261.6150596,0.6638060825052695,804.4881016639857,-32.76277661077672,164,81,36492.37402902333,,False,"[20, 27, 61, 68, 92, 108, 154]","[38062.177721560925, 44.695548172079725, 44308.96061957205, 1544.5711855263435, 64670.52091767625, 5376.801864892252, 47613.438614454266]",7,12.720641580995615,611708.6726481254,0.0283574633569701,8.696345649693284e-07,0.6345941285480952,8,21451.991735924672,44.695548172079725,78806.43010486821,"[20, 27, 61, 68, 93, 102, 110, 154]","[38062.177721560925, 44.695548172079725, 78806.43010486821, 1544.5711855263435, 83.98428577939922, 5376.801864892252, 83.83456214389298, 47613.438614454266]","[0, 26, 0, 65, 92, 92, 108, 92]","[41, 41, 92, 92, 94, 108, 111, 163]",0.05,30,296167709205.7162,89358.31792311644,-89358.31792311644,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CWT,mdp.39015067403967,,,21066.491735924672,,,77835.43010486821,,88386.31792311644,0.0,-9.0,,,0.0,-4.5,,,0.0,0.0,-13.5,,14.0,,,,,,,21066.491735924672,163134.93388739738,21112.4935277212,,88386.31792311644,,,,,,,40.695548172079725,,,,,,0.0,,,0.20508875313898073,0.13489494168442623,0.6288432673061601,0.3520027820798118,0.2269262811314797,0.12114438980777814,0.9618863017851214,0.16782381649940942,,0.010553685872953175,0.3214060680386477,0.3214060680386477,0.32258023681386594,0.7402019566701715,0.24703007795624704,0.5384615384615385,,0.375,0.5892857142857142,0.2869666621809401,0.2869666621809401,0.5853658536585367,1.3300728573597138,0.5653490412708854,11,1.2691074036732877,0.5646220662911636,9,0,0,0.3854353770131835,0.6358179559581715,10,1,0.11111111111111112,0.34427076112359034,0.5948397680569257,10,0.816496580927726,0.9416788156480196,10.0,9.949748743718592,0.6136965506811527,7,gaus,7.0,6.5,4.105745103771404,8,0.5,1.0,0.35,1,5.5
raw,morl,397699818.74774474,0.6583107497741644,615.7581427899273,-29.746709038647673,164,81,24981.555001817804,,False,"[19, 41, 63, 69, 91, 109, 114, 119, 154]","[29277.88860721517, 25016.464097122363, 1413.5669325830459, 37624.8909833418, 43789.95812396537, 686.9719729963399, 9958.324460427064, 24.83201798416121, 48225.71082042204]",9,12.702867010622276,371489.5672455721,0.03245096599215258,5.757099430358283e-07,0.639557078541255,7,25585.93173490846,24.83201798416121,66444.36525608746,"[19, 63, 69, 102, 110, 118, 154]","[52347.75068385911, 1413.5669325830459, 66444.36525608746, 9958.324460427064, 686.9719729963399, 24.83201798416121, 48225.71082042204]","[0, 41, 41, 91, 109, 114, 91]","[41, 64, 91, 114, 114, 119, 163]",0.05,30,148579745174.5791,72305.13485239031,-72305.13485239031,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CWT,mdp.39015067403967,,,25200.43173490846,,,65473.36525608746,,71333.13485239031,0.0,-9.5,,,0.0,-9.5,,,0.0,0.0,-14.0,,15.0,,,,,,,25200.43173490846,170620.52214435922,25202.74788888413,,71333.13485239031,,,,,,,20.83201798416121,,,,,,0.0,,,0.03593728226139936,0.08484673805836115,0.8650372279834795,0.3256021078916561,0.13700923570004092,0.08851139919535046,0.9694221796171657,0.03794790917270857,,0.005393700194594092,0.4339618500704055,0.4339618500704055,0.43395945872498043,0.7996293580962309,0.1407759360653149,0.6153846153846154,,0.35,0.41071428571428564,0.17913483958325765,0.17913483958325765,0.5609756097560976,1.368460037308686,0.5816655575137057,10,1.2249158098759543,0.5449613591435016,10,0,0,0.3785855286036204,0.6245183792349825,11,1,0.11111111111111112,0.31248370442946466,0.5399172838777997,11,0.5773502691896257,0.9587606950578839,10.5,10.476190476190476,0.604380347528942,8,morl,8.0,8.0,,1,0.5714285714285714,,,6,7.5
raw,cgau8,8764208.042185057,0.8118036735922914,959.1846289422251,-31.36570467504109,164,81,33539.97578548819,-251116.84028007268,True,"[1, 8, 18, 51, 62, 74, 83, 108, 114, 119, 126, 157]","[185.91682561927882, 22.905220180422475, 145.9814365652419, 630.908801824884, 325.39163984715924, 118.32626699857792, 30601.341553631148, 65.30728124474626, 218.07830724151427, 807.3187754684805, 142.04749156106482, 8691.234847765641]",12,13.156913475779938,498666.61796302634,0.03344237162228003,4.046544928475902e-06,0.4797662328632149,7,18984.481909680206,92.02282817758169,52106.591599546984,"[19, 62, 68, 102, 109, 115, 154]","[36788.22898456442, 1260.7498671453359, 52106.591599546984, 5227.45907594571, 425.0542518145048, 92.02282817758169, 36991.26676056691]","[0, 0, 0, 92, 108, 108, 92]","[41, 64, 92, 108, 111, 116, 163]",0.05,30,216286735379.7323,63983.40124833095,-63983.40124833095,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CWT,mdp.39015067403967,,,18598.981909680206,,,51135.591599546984,,63011.40124833095,0.0,-0.5,,,0.0,-0.5,,,0.0,0.0,-14.0,,15.0,,,,,,,18598.981909680206,124410.37336776144,18598.98190968021,,63011.40124833095,,,,,,,88.02282817758169,,,,,,0.0,,,0.16170326472759733,0.6758453926150275,0.7382506151062607,1.0,0.002722023569535048,1.0,0.7267914270670925,0.10670694823991364,0.7968399518862401,0.022847980226160018,0.2542225824940425,0.2542225824940425,0.2541363349039719,0.43277120786992124,0.017540226243555168,0.6153846153846154,,0.35,0.732142857142857,0.12651429959512436,0.12651429959512436,1.0,1.065758412798385,0.4530018739710259,12,2.2477113089286096,1.0,1,0,0,0.3488580821624511,0.5754796937397646,12,0,0.0,0.5787621803568518,1.0,1,6.3508529610858835,0.5463676456367226,6.5,1.8461538461538458,0.5410409656755042,9,cgau,9.0,9.0,,1,0.6428571428571429,,,2,7.25
raw,gaus7,721264865.4007984,0.6686991869918699,872.1267931749717,-33.42628954146617,164,81,37619.600127487705,,False,"[6, 47, 82, 101, 140]","[8863.493625335657, 15064.05228759192, 86052.1973952063, 3243.278064059138, 62957.04058791814]",5,12.743495562315655,678014.1969362105,0.02768423855383097,6.328242502375775e-07,0.17740701698752592,5,37323.40807864357,281.8626514748544,152020.6290761727,"[36, 53, 82, 103, 139]","[30482.237693970124, 281.8626514748544, 152020.6290761727, 3243.278064059138, 589.0329075410118]","[6, 47, 6, 101, 138]","[47, 54, 140, 140, 140]",0.05,10,340821071101.18567,86463.08237132535,-86463.08237132535,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CWT,mdp.39015067403967,,,36937.90807864357,,,151049.6290761727,,85491.08237132535,0.0,-19.5,,,0.0,-19.5,,,0.0,0.0,-19.5,,17.0,,,,,,,36937.90807864357,178136.04039321787,36937.908078643566,,85491.08237132535,,,,,,,277.8626514748544,,,,,,20.0,,,0.221653339213716,0.09457191337028688,0.5768823137425338,0.3859479352992439,0.2487260517022907,0.15020116227089833,0.2676809956961765,0.20367229788167385,,0.07216301940242614,0.7535409511877712,0.7535409511877712,0.7535124487170441,0.8592943709941046,0.8763191151105203,0.7692307692307693,,0.07499999999999996,0.0535714285714286,0.268659315974403,0.268659315974403,0.07317073170731714,2.0102812774814915,0.8544724348146038,5,1.0069557398609879,0.4479915796397188,12,0,0,0.46472186817149647,0.7666097248249144,8,1,0.11111111111111112,0.2631114455915469,0.45461064064227263,13,3.696845502136472,0.735939606990252,9.5,8.243064729194188,0.5286840892094117,10,gaus,7.0,6.5,4.105745103771404,8,0.5,1.0,0.35,1,7.75
