signal_type,wavelet,wavelet_energy_entropy,wavelet_sparsity,wavelet_adaptive_threshold,wavelet_psnr,signal_length,scales_used,emd_value,kl_divergence,is_complex,change_point_indices,change_point_prominences,num_change_points,wavelet_entropy,avg_variance_across_levels,variance_ratio_across_levels,smoothness,correlation,relative_num_peaks,avg_prominence,prominence_min,prominence_max,relative_peaks,relative_prominences,relative_left_bases,relative_right_bases,prominence_threshold,distance_factor,max_autocorrelation,upper_envelope,lower_envelope,fft_frequency_max,fft_amplitude_max,fft_spectral_centroid,fft_spectral_bandwidth,fft_spectral_magnitude,fft_variance_magnitude,fft_num_peaks,fft_peak_amplitude,fft_dominant_frequency,fft_positive_frequencies,fft_positive_amplitudes,fft_snr_threshold,fft_stationarity_threshold,fft_dynamic_cutoff,fft_dynamic_cutoff_percentile,stft_frequency_max,stft_amplitude_max,stft_spectral_centroid,stft_spectral_bandwidth,stft_spectral_magnitude,stft_variance_magnitude,stft_peak_freq_over_time,stft_num_peaks,stft_peak_amplitude,stft_dominant_frequency,stft_positive_frequencies,stft_positive_amplitudes,stft_snr_threshold,stft_stationarity_threshold,stft_window,stft_nperseg,stft_noverlap,stft_dynamic_cutoff,stft_dynamic_cutoff_percentile,wavelet_type,htid,stft_amplitude_max_diff,stft_frequency_max_diff,avg_prominence_diff,fft_variance_magnitude_diff,stft_noverlap_diff,prominence_max_diff,stft_spectral_magnitude_diff,upper_envelope_diff,relative_peaks_array_alignment_score,relative_peaks_global_alignment_score,stft_num_peaks_diff,fft_peak_amplitude_diff,relative_left_bases_array_alignment_score,relative_left_bases_global_alignment_score,stft_window_diff,stft_nperseg_diff,prominence_threshold_diff,relative_right_bases_array_alignment_score,relative_right_bases_global_alignment_score,stft_dominant_frequency_diff,relative_num_peaks_diff,max_autocorrelation_diff,stft_variance_magnitude_diff,fft_amplitude_max_diff,fft_dominant_frequency_diff,relative_prominences_avg_diff,relative_prominences_total_diff,relative_prominences_wasserstein,fft_snr_threshold_diff,stft_stationarity_threshold_diff,stft_dynamic_cutoff_percentile_diff,lower_envelope_diff,fft_stationarity_threshold_diff,stft_dynamic_cutoff_diff,fft_frequency_max_diff,fft_num_peaks_diff,fft_dynamic_cutoff_percentile_diff,fft_dynamic_cutoff_diff,prominence_min_diff,fft_spectral_centroid_diff,stft_peak_amplitude_diff,fft_spectral_bandwidth_diff,stft_spectral_bandwidth_diff,fft_spectral_magnitude_diff,distance_factor_diff,stft_snr_threshold_diff,stft_spectral_centroid_diff,emd_value_normalized,smoothness_normalized,wavelet_psnr_normalized,wavelet_entropy_normalized,wavelet_energy_entropy_normalized,wavelet_sparsity_normalized,correlation_normalized,avg_variance_across_levels_normalized,kl_divergence_normalized,prominence_min_diff_normalized,avg_prominence_diff_normalized,relative_prominences_avg_diff_normalized,relative_prominences_wasserstein_normalized,relative_prominences_total_diff_normalized,prominence_max_diff_normalized,relative_num_peaks_diff_normalized,max_autocorrelation_diff_normalized,relative_right_bases_global_alignment_score_normalized,relative_left_bases_global_alignment_score_normalized,upper_envelope_diff_normalized,lower_envelope_diff_normalized,relative_peaks_global_alignment_score_normalized,reconstruction_signal_weighted_score,reconstruction_signal_normalized_weighted_score,reconstruction_signal_normalized_weighted_rank,wavelet_signal_weighted_score,wavelet_signal_normalized_weighted_score,wavelet_signal_normalized_weighted_rank,reconstruction_signal_num_missing_metrics,reconstruction_signal_missing_metrics_count,reconstruction_signal_dynamically_weighted_score,reconstruction_signal_normalized_dynamically_weighted_score,reconstruction_signal_normalized_dynamically_weighted_rank,wavelet_signal_num_missing_metrics,wavelet_signal_missing_metrics_count,wavelet_signal_dynamically_weighted_score,wavelet_signal_normalized_dynamically_weighted_score,wavelet_signal_normalized_dynamically_weighted_rank,rank_variability,normalized_rank_stability,average_rank,harmonic_average_rank,stability_score_weighted,stability_rank,wavelet_family,family_mean_stability_rank,family_median_stability_rank,family_rank_std_dev,family_wavelet_count,normalized_family_mean_rank,normalized_family_std_dev,final_family_stability_score,final_family_stability_rank,family_informed_rank
raw,gaus4,17.127799436893216,0.6832386363636364,407.1589573533763,-21.78366992902907,66,32,6397.676091908152,,False,"[13, 28, 35, 39, 44, 60]","[15278.305706650925, 5223.3619363822745, 800.4935443183231, 133.45343817226694, 4085.075267375468, 9939.498427383644]",6,10.201386982362322,86141.48279700654,0.059514968211698396,1.9091631138374884e-06,0.5090751604669801,5,7484.709624689405,133.45343817226694,22465.027446197328,"[13, 35, 39, 44, 60]","[22465.027446197328, 800.4935443183231, 133.45343817226694, 4085.075267375468, 9939.498427383644]","[0, 28, 38, 28, 28]","[28, 41, 41, 49, 65]",0.05,20,4453250194.8257885,16869.612003980976,-16869.612003980976,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CWT,inu.32000013032927,,,7218.765180244961,,,21830.027446197328,,16227.612003980976,0.0,7.0,,,0.0,2.5,,,0.0,0.0,2.5,,13.0,,,,,7218.765180244961,32636.548123447028,7218.765180244961,,,,16227.612003980976,,,,,,,121.45343817226694,,,,,,10.0,,,0.0867859837145453,0.07203991370709832,0.7334600002508121,0.5372430805475253,0.7318054080151674,0.38922155688622745,0.8860382983942281,0.027622483628094843,,0.1562923713038195,0.9832504163843858,0.9832504163843858,0.9832504163843859,0.982445730374631,0.7485587193326122,0.5,,0.9750000000000001,0.7959183673469388,0.2225802734362321,0.2225802734362321,0.8275862068965516,2.4289564984792116,0.9811523129244732,2,1.643400949221747,0.7700857931425262,4,0,0,0.6983927659400145,0.9905397796379709,2,1,0.11111111111111112,0.4274715350874067,0.8081735567559727,5,1.5,0.8928571428571429,3.25,2.7586206896551726,0.8303571428571428,1,gaus,8.125,9.0,5.083235752381126,8,0.8125,1.0,0.13124999999999998,1,1.0
raw,gaus6,16.97829799778851,0.6775568181818182,371.0396982528422,-21.364637884458055,66,32,5952.952687143185,,False,"[13, 28, 38, 41, 44, 49, 60]","[14225.323042843387, 10442.36234298121, 165.304871210407, 631.1066300285944, 663.8951323620422, 2008.365113339375, 8984.448734157379]",7,10.167783143078005,100790.10429084707,0.054733968942320826,1.6840603389991387e-06,0.41848928043109207,5,7592.5016316131805,165.304871210407,23969.460092263762,"[13, 35, 39, 44, 60]","[23969.460092263762, 726.7858646745374, 165.304871210407, 4116.508595759819, 8984.448734157379]","[0, 28, 38, 28, 28]","[28, 41, 41, 49, 65]",0.05,20,3939080668.5268273,15200.706559607708,-15200.706559607708,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CWT,inu.32000013032927,,,7326.557187168736,,,23334.460092263762,,14558.706559607708,0.0,7.0,,,0.0,2.5,,,0.0,0.0,2.5,,13.0,,,,,7326.557187168736,33175.5081580659,7326.557187168736,,,,14558.706559607708,,,,,,,153.304871210407,,,,,,10.0,,,0.06523942078478012,0.053704505198846356,0.7619118833360521,0.4921216615077827,0.7135087354160395,0.36526946107784447,0.6877781206402017,0.04361442903134928,,0.198419782011757,1.0,1.0,1.0,0.9999999999999999,0.8023841265709182,0.5,,0.9750000000000001,0.7959183673469388,0.18072265185172606,0.18072265185172606,0.8275862068965516,2.475616136743681,1.0,1,1.5343103105583886,0.7189667092456351,6,0,0,0.7050628155441347,1.0,1,1,0.11111111111111112,0.39233797156855643,0.7417503808017298,8,3.559026084010437,0.7457838511421117,4.0,1.7454545454545456,0.730034782713913,2,gaus,8.125,9.0,5.083235752381126,8,0.8125,1.0,0.13124999999999998,1,1.75
raw,morl,16.700958439740987,0.6515151515151515,284.2920678964551,-19.02547234411832,66,32,4606.403939165313,,False,"[10, 13, 28, 35, 44, 49, 61]","[278.0653630985944, 9332.29593050716, 10047.999397118167, 2978.8293306838277, 681.5246082919275, 6059.354118847452, 6974.497631851875]",7,10.055388679470646,82419.80532535879,0.071467714297257,1.449716817844064e-06,0.5150712496888955,5,7257.606170108937,278.0653630985944,18153.032317450215,"[10, 13, 35, 44, 61]","[278.0653630985944, 18153.032317450215, 9809.509620924879, 1072.9259172191144, 6974.497631851875]","[0, 0, 28, 41, 28]","[12, 28, 49, 49, 65]",0.05,20,2300218293.0709186,10540.344818614518,-10540.344818614518,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CWT,inu.32000013032927,,,6991.661725664492,,,17518.032317450215,,9898.344818614518,0.0,2.5,,,0.0,2.5,,,0.0,0.0,-6.5,,13.0,,,,,6991.661725664492,31501.03085054468,6991.661725664491,,,,9898.344818614518,,,,,,,266.0653630985944,,,,,,10.0,,,0.0,0.03461640557534737,0.9207390311235268,0.3412044509097233,0.6795666468129437,0.25548902195608764,0.8991615987860218,0.023559516818546344,,0.3475593057410202,0.9479612663773702,0.9479612663773702,0.9479612663773702,0.9454612137269593,0.5942846849175445,0.5,,0.525,0.7959183673469388,0.063836665974522,0.063836665974522,0.6724137931034482,2.219415142529383,0.8965102099587646,4,1.544497944232316,0.7237405606674363,5,0,0,0.6126828746597552,0.8689762970791688,5,1,0.11111111111111112,0.388736528442219,0.7349415272010537,9,2.217355782608345,0.841617444099404,5.75,5.255474452554745,0.7154515791925591,3,morl,3.0,3.0,,1,0.3,,,6,3.75
raw,cgau8,11.148244353850941,0.828125,458.4696886127584,-20.3512205863516,66,32,5931.10740322853,-61244.22762658185,True,"[4, 7, 10, 14, 20, 23, 28, 42, 50, 61]","[1348.6149320692184, 24.541552724964276, 264.56052781290055, 727.53013266999, 140.41316880879185, 559.3716100693464, 1682.353927838165, 483.2955515001561, 1011.8677480005945, 638.1659528973141]",10,10.546021736320089,107378.24838591316,0.058585335617634834,4.6886953388398886e-06,0.3401245023098266,5,5630.548742616601,153.20288050133422,15341.884047916505,"[10, 13, 35, 44, 60]","[153.20288050133422, 15341.884047916505, 5549.126888907893, 1274.225898149621, 5834.303997607651]","[0, 0, 28, 41, 28]","[12, 28, 49, 49, 65]",0.05,20,3264767787.9109244,9829.897776303667,-9829.897776303667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CWT,inu.32000013032927,,,5364.604298172157,,,14706.884047916505,,9187.897776303667,0.0,7.0,,,0.0,2.5,,,0.0,0.0,-6.5,,13.0,,,,,5364.604298172157,23365.743713083004,5364.604298172156,,,,9187.897776303667,,,,,,,141.20288050133422,,,,,,10.0,,,0.06418103082926502,0.29844253732587683,0.8307219680440202,1.0,0.0,1.0,0.5162655754861261,0.050806726321669105,1.0,0.18241342109310482,0.6951360782494572,0.6951360782494572,0.6951360782494571,0.6804897599682674,0.49370776589725013,0.5,,0.525,0.7959183673469388,0.046018027085698326,0.046018027085698326,0.8275862068965516,1.7834615486334853,0.7204111825589301,8,2.1340491719960726,1.0,1,0,0,0.5152133175101568,0.7307339234909715,7,0,0.0,0.5289353153341063,1.0,1,3.774917217635375,0.7303630558831875,4.25,1.763779527559055,0.7133958136558795,4,cgau,4.0,4.0,,1,0.4,,,2,3.5
raw,gaus2,18.47045439952,0.6491477272727273,660.0329677880247,-28.27953302303102,66,32,15852.108226404738,,False,"[14, 35, 44, 52, 57, 59]","[20601.572352894953, 8046.645854657407, 1010.8465783709071, 221.34984882481876, 3270.571194905504, 42.96833624334613]",6,9.964565814356206,122662.26544663728,0.0856230962522108,2.4057745070238273e-06,0.5611447245483453,6,5532.325694316157,42.96833624334613,20601.572352894953,"[14, 35, 44, 52, 57, 59]","[20601.572352894953, 8046.645854657407, 1010.8465783709071, 221.34984882481876, 3270.571194905504, 42.96833624334613]","[0, 28, 41, 49, 49, 58]","[65, 65, 65, 53, 65, 65]",0.05,30,19223808188.441998,24617.010595478594,-24617.010595478594,0.48484848484848486,1035008.3342284893,0.048448044508474,0.09322706719563974,1982213.4682776274,31846069834.937843,3.0,174454.087157587,0.045454545454545456,"[0.0, 0.015151515151515152, 0.030303030303030304, 0.045454545454545456, 0.06060606060606061, 0.07575757575757576, 0.09090909090909091, 0.10606060606060606, 0.12121212121212122, 0.13636363636363635, 0.15151515151515152, 0.16666666666666669, 0.18181818181818182, 0.19696969696969696, 0.21212121212121213, 0.2272727272727273]","[1035008.3342284893, 155805.27301352564, 171478.01352574956, 174454.087157587, 69289.86991986129, 66755.00699309868, 17050.482753122466, 46009.7351863327, 24752.311048170377, 9243.523901990218, 17614.908753639364, 18458.08445727726, 14842.329479610155, 8737.933990238853, 10980.18128581157, 14425.947098852634]",3.0,0.7,11947.661260274983,15.0,0.5,807381025.0915186,0.05257463602319909,0.05696552060702418,2781377226.789728,4.3471680469429704e+16,[0.046875],5.0,807381025.0915186,0.046875,"[0.0, 0.015625, 0.03125, 0.046875, 0.0625, 0.078125, 0.09375, 0.109375, 0.125, 0.140625, 0.15625, 0.171875, 0.1875, 0.203125, 0.21875, 0.234375]","[7.465305028291075e-23, 563455634.8657503, 794606980.0930015, 807381025.0915186, 162949934.40070164, 178934923.04348823, 15417636.699730596, 79385474.66923927, 42064743.75927037, 18370964.629146345, 6887955.7826999035, 19099288.56441197, 17284937.02556788, 3766697.4943211502, 6872891.621472847, 3231219.980095446]",3.0,0.3,boxcar,64.0,32.0,11947.661260274983,15.0,CWT,inu.32000013032927,806828689.2645442,0.0,5266.3812498717125,31826379719.081467,16.0,19966.572352894953,2777175915.662181,23975.010595478594,0.0,-6.0,4.0,170771.44626307386,0.0,-6.0,,32.0,0.0,0.0,-6.0,0.046875,12.0,,4.347167273361633e+16,1008199.3342284893,0.0,5266.3812498717125,28406.95416589694,5266.381249871711,0.0,0.2,0.0,23975.010595478594,0.19999999999999996,11737.661260274983,0.0,2.0,0.0,11737.661260274983,30.96833624334613,0.07851096121865381,806828689.2645442,0.053696344660302556,0.04715156059775092,1913994.4850148652,0.0,0.0,0.09840751640185208,0.5448471398589687,0.11249064902327795,0.2923969844676683,0.21925241678214868,0.8961256875515465,0.24550898203592814,1.0,0.06749233503101311,,0.03661477163837512,0.6798733959092705,0.6798733959092705,0.6798733959092703,0.8446851767759406,0.6818882508809017,0.33333333333333337,,0.55,0.44897959183673464,0.4168918682606014,0.4168918682606014,0.3793103448275861,1.8620073104250416,0.7521389454482414,7,1.4555291063388989,0.6820504070098239,8,0,0,0.5123512827951571,0.726674661462253,8,1,0.11111111111111112,0.4167087187882633,0.7878254801819119,6,0.9574271077563381,0.9316123494459758,7.25,7.148936170212766,0.7068776032944164,5,gaus,8.125,9.0,5.083235752381126,8,0.8125,1.0,0.13124999999999998,1,4.0
raw,mexh,19.319207587451892,0.6595643939393939,980.6682706562613,-32.432260968075006,66,32,25246.51281474889,,False,"[16, 20, 25, 34, 43, 51]","[567.9687372589942, 2483.4781324899486, 70.88153635184426, 29492.86969790561, 123.15070396689407, 393.2864235004381]",6,9.952644608808896,210641.779473825,0.064770930405558,4.31787000175874e-06,0.3926999181784983,6,5521.939205245621,70.88153635184426,29492.86969790561,"[16, 20, 25, 34, 43, 51]","[567.9687372589942, 2483.4781324899486, 70.88153635184426, 29492.86969790561, 123.15070396689407, 393.2864235004381]","[0, 0, 24, 0, 42, 50]","[18, 27, 27, 65, 65, 65]",0.05,20,49068995046.280785,36044.076561304966,-36044.076561304966,0.48484848484848486,1677954.3079748764,0.032197178376293815,0.07790063698335523,2774999.7875864594,84656805222.68452,2.0,38952.59806800024,0.10606060606060606,"[0.0, 0.015151515151515152, 0.030303030303030304, 0.045454545454545456, 0.06060606060606061, 0.07575757575757576, 0.09090909090909091, 0.10606060606060606, 0.12121212121212122, 0.13636363636363635, 0.15151515151515152, 0.16666666666666669, 0.18181818181818182, 0.19696969696969696, 0.21212121212121213, 0.2272727272727273]","[1677954.3079748764, 387007.1894558471, 173148.81348448, 143845.18288819524, 61768.80422942219, 55773.180085628024, 17432.083462394487, 38952.59806800024, 21656.465411186822, 10046.223488208816, 14598.440747666931, 15667.2410389646, 12440.22302941228, 7879.985336454356, 9559.593575640716, 13290.63020985999]",3.0,0.5,14732.954997276338,15.0,0.5,3886139535.052291,0.030146895288423525,0.04053468635517206,5787174318.009745,4.5939119179891046e+17,[0.015625],4.0,3886139535.052291,0.015625,"[0.0, 0.015625, 0.03125, 0.046875, 0.0625, 0.078125, 0.09375, 0.109375, 0.125, 0.140625, 0.15625, 0.171875, 0.1875, 0.203125, 0.21875, 0.234375]","[4.864338989694648e-22, 3886139535.052291, 835631547.0816292, 577902096.0060297, 135583375.74925488, 128135840.8469093, 17072591.28674851, 59023657.66402673, 31708303.50556636, 15327306.437366446, 6792733.6227274565, 14306658.224149566, 12006851.902846025, 4825202.542609145, 6525471.786485108, 2500837.1257701316]",3.0,0.3,boxcar,64.0,32.0,14732.954997276338,15.0,CWT,inu.32000013032927,3885587199.2253165,0.0,5255.994760801177,84637115106.82814,16.0,28857.86969790561,5782973006.882197,35402.076561304966,0.0,-6.0,3.0,35269.957173487106,0.0,-1.5,,32.0,0.0,0.0,-10.5,0.078125,12.0,,4.593911840630971e+17,1651145.3079748764,0.06060606060606061,5255.994760801177,28344.63523147373,5261.644682582632,0.0,0.2,0.0,35402.076561304966,0.0,14522.954997276338,0.0,3.0,0.0,14522.954997276338,58.88153635184426,0.094761827350834,3885587199.2253165,0.06902277487258707,0.06358239484960304,2706780.8043236975,10.0,0.0,0.12083525713662764,1.0,0.2682375163283536,0.010430649176629725,0.20324526633698808,1.0,0.2894211576846306,0.6313344062077034,0.16353984267664687,,0.07353338825871582,0.6782594602184487,0.6782594602184487,0.6791373902245863,0.8426554096181507,0.9999999999999999,0.33333333333333337,,0.325,0.6326530612244898,0.7034927686479628,0.7034927686479628,0.3793103448275861,2.1404424303656198,0.8646099848020323,6,1.4220704402005704,0.6663719181645865,9,0,0,0.5857606154349738,0.8307920975564581,6,1,0.11111111111111112,0.44022054924581344,0.8322767198248893,4,2.0615528128088303,0.8527462276565121,6.25,5.76,0.7031588281139703,6,mexh,6.0,6.0,,1,0.6,,,5,5.75
raw,gaus8,17.003030515329883,0.6571969696969697,365.20477665943764,-21.04625007628305,66,32,5745.935202435849,,False,"[10, 13, 28, 38, 41, 44, 49, 60]","[15.284865376081143, 12826.246870739576, 12042.085994399775, 57.41955143280791, 1285.0449497847335, 586.2154729607453, 4188.552756264055, 8496.311982147277]",8,10.163662002253123,109508.9140099142,0.05375161252959099,1.5283078892657288e-06,0.42502419516493667,6,6244.149320279455,15.284865376081143,22426.667010548532,"[10, 13, 35, 39, 44, 60]","[15.284865376081143, 22426.667010548532, 1285.0449497847335, 57.41955143280791, 5184.167562387301, 8496.311982147277]","[0, 0, 28, 38, 28, 28]","[12, 28, 41, 41, 49, 65]",0.05,20,3633600953.3610992,13963.254617556344,-13963.254617556344,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CWT,inu.32000013032927,,,5978.204875835011,,,21791.667010548532,,13321.254617556344,0.0,12.0,,,0.0,7.5,,,0.0,0.0,3.0,,12.0,,,,,5978.204875835011,32677.895921676733,5999.700040315622,,,,13321.254617556344,,,,,,,3.284865376081143,,,,,,10.0,,,0.055209556797374985,0.04101792328499016,0.7835301170996176,0.48658801636360804,0.7165356144796569,0.2794411177644711,0.7020807178686677,0.053132780575029584,,0.0,0.790482240506375,0.790482240506375,0.7938223309738802,0.9837924543465723,0.7471862643569549,0.33333333333333337,,1.0,1.0,0.14968626492277717,0.14968626492277717,0.9999999999999998,2.171133242250197,0.8770072266155173,5,1.5144099761893801,0.7096415565593008,7,0,0,0.6448726161557536,0.9146314369990862,4,1,0.11111111111111112,0.3841364249736214,0.7262446159999327,10,2.6457513110645907,0.8110177634953863,6.5,5.77319587628866,0.6733660246048361,7,gaus,8.125,9.0,5.083235752381126,8,0.8125,1.0,0.13124999999999998,1,5.5
raw,cmor,15.050535653215166,0.6988636363636364,409.0591488425173,-22.61109792400829,66,32,8098.897999982674,-76961.8819064523,True,"[4, 7, 12, 35, 38, 45, 62]","[95.48803005105583, 2394.9142109169297, 78.03604999750132, 788.1255456371209, 29.558693149720966, 2769.4675214932295, 160.04676962470694]",7,10.43145170126395,60839.28864960631,0.06107950855987233,1.330167669049197e-05,0.314074211988296,5,3883.064274130544,29.177920124172488,10227.602304521099,"[14, 35, 38, 44, 60]","[10227.602304521099, 742.5345519760613, 29.177920124172488, 2811.8318093695098, 5604.174784661878]","[0, 28, 37, 28, 28]","[28, 41, 41, 49, 65]",0.05,20,5417576401.600235,13119.200197210417,-13119.200197210417,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CWT,inu.32000013032927,,,3617.1198296861,,,9592.602304521099,,12477.200197210417,0.0,-2.0,,,0.0,1.0,,,0.0,0.0,2.5,,13.0,,,,,3617.1198296861,14628.32137065272,3620.041301677821,,,,12477.200197210417,,,,,,,17.177920124172488,,,,,,10.0,,,0.1692090909921915,1.0,0.6772784149052228,0.84616154965428,0.4775803277778893,0.45508982035928136,0.45925078258855195,0.0,0.4302860036019007,0.018375261880992033,0.4235979739205155,0.4235979739205155,0.42405193558986837,0.3959063812800762,0.3107296190925744,0.5,,0.9750000000000001,0.7346938775510203,0.12851663506586394,0.12851663506586394,0.5172413793103448,1.2660292614234092,0.5113996643634299,11,1.9568513575767694,0.916966386367957,3,0,0,0.41501897272313615,0.5886269472356782,10,0,0.0,0.5016506655421463,0.9484159045520993,3,4.349329450233296,0.6893336106976218,6.75,4.664310954063605,0.6035953767773823,8,cmor,8.0,8.0,,1,0.8,,,3,6.75
raw,shan,11.365499890504534,0.7002840909090909,323.09812087879175,-17.858137101544585,66,32,4880.296582641423,-63837.652183358965,True,"[3, 7, 10, 16, 23, 29, 49, 56, 60]","[841.9666531561943, 83.01493322072838, 74.90963506034404, 1431.4038680851472, 677.9227054471776, 4367.716942321071, 2485.2830408608716, 215.4888614978754, 1223.1267867890492]",9,10.370362442544856,75648.21026241686,0.07944202401356032,9.788840992258316e-06,0.4045443702642745,6,4434.846466387407,344.3763265949515,11444.81488289493,"[10, 13, 25, 34, 43, 61]","[499.40955517939256, 9858.854586112968, 364.7254426809395, 11444.81488289493, 344.3763265949515, 4096.898004861263]","[0, 0, 24, 27, 42, 49]","[12, 27, 27, 49, 49, 65]",0.05,20,1924784522.4767735,7995.112782904366,-7995.112782904366,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CWT,inu.32000013032927,,,4168.902021942963,,,10809.81488289493,,7353.112782904366,0.0,-1.5,,,0.0,-6.0,,,0.0,0.0,-10.5,,12.0,,,,,4168.902021942963,21822.078798324445,4168.902021942963,,,,7353.112782904366,,,,,,,332.3763265949515,,,,,,10.0,,,0.013269922417905144,0.7138672431037868,1.0,0.7641341950365648,0.02658873017078156,0.4610778443113773,0.6572576866902101,0.016166945539054366,0.9059967701102383,0.435263654562784,0.5093383013396784,0.5093383013396784,0.5093383013396784,0.6302116161647919,0.3542789018722746,0.33333333333333337,,0.325,0.44897959183673464,0.0,0.0,0.5344827586206895,1.3988566708342236,0.5650539476100764,10,2.0297023109205328,0.9511038159547469,2,0,0,0.38246373003413686,0.5424534120962954,11,0,0.0,0.5064843708199909,0.9575544610782244,2,4.924428900898052,0.648255078507282,6.25,3.3587786259541983,0.6009132535393553,9,shan,9.0,9.0,,1,0.9,,,7,8.5
raw,fbsp,13.587185178214972,0.6576704545454546,645.1191850028797,-27.334260432363152,66,32,13468.920873583917,-88832.90260954192,True,"[3, 6, 34, 39, 45, 62]","[3027.9898809732695, 36.11889316800443, 1452.9263725934252, 133.3537310912743, 4882.375939990962, 219.99131563191622]",6,10.342221509073966,215598.42509438517,0.061481902630187185,4.390040263660319e-06,0.2971782175899015,5,7084.473127255575,124.06927845460996,18911.120602469462,"[14, 35, 39, 44, 60]","[18911.120602469462, 1400.919698032434, 124.06927845460996, 5074.429018706505, 9911.827038614856]","[0, 28, 38, 28, 28]","[28, 41, 41, 49, 65]",0.05,20,15467340643.166811,24290.75792137557,-24290.75792137557,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CWT,inu.32000013032927,,,6818.52868281113,,,18276.120602469462,,23648.75792137557,0.0,2.5,,,0.0,2.5,,,0.0,0.0,2.5,,13.0,,,,,6818.52868281113,30635.36563627787,6818.528682811128,,,,23648.75792137557,,,,,,,112.06927845460996,,,,,,10.0,,,0.42938324540054174,0.274116036640079,0.35658010740972806,0.7263480706426734,0.2984887772269643,0.2814371257485031,0.42227147796149955,0.16895102803498302,0.0,0.14388067384263353,0.9210584703291556,0.9210584703291556,0.9210584703291553,0.9172659495135593,0.6214074748745685,0.5,,0.9750000000000001,0.7959183673469388,0.4087091632310388,0.4087091632310388,0.6724137931034482,2.3165117982908923,0.9357314180937326,3,1.2864801256908363,0.602835277917956,11,0,0,0.683873333010891,0.9699466741599603,3,0,0.0,0.3286195410072191,0.6212849312200753,11,4.618802153517006,0.670085560463071,7.0,4.714285714285714,0.5850427802315354,10,fbsp,10.0,10.0,,1,1.0,,,4,8.5
