signal_type,wavelet,wavelet_energy_entropy,wavelet_sparsity,wavelet_adaptive_threshold,wavelet_psnr,signal_length,scales_used,emd_value,kl_divergence,is_complex,wavelet_entropy,avg_variance_across_levels,variance_ratio_across_levels,smoothness,correlation,relative_num_peaks,avg_prominence,prominence_min,prominence_max,relative_peaks,relative_prominences,relative_left_bases,relative_right_bases,prominence_threshold,distance_factor,max_autocorrelation,upper_envelope,lower_envelope,wavelet_type,htid,avg_prominence_diff,prominence_max_diff,upper_envelope_diff,relative_left_bases_array_alignment_score,relative_left_bases_global_alignment_score,relative_right_bases_array_alignment_score,relative_right_bases_global_alignment_score,relative_prominences_avg_diff,relative_prominences_total_diff,relative_prominences_wasserstein,lower_envelope_diff,relative_peaks_array_alignment_score,relative_peaks_global_alignment_score,max_autocorrelation_diff,prominence_threshold_diff,relative_num_peaks_diff,prominence_min_diff,distance_factor_diff,emd_value_normalized,wavelet_psnr_normalized,wavelet_entropy_normalized,wavelet_energy_entropy_normalized,wavelet_sparsity_normalized,correlation_normalized,avg_variance_across_levels_normalized,kl_divergence_normalized,prominence_min_diff_normalized,avg_prominence_diff_normalized,relative_prominences_avg_diff_normalized,relative_prominences_wasserstein_normalized,relative_prominences_total_diff_normalized,prominence_max_diff_normalized,relative_num_peaks_diff_normalized,max_autocorrelation_diff_normalized,relative_right_bases_global_alignment_score_normalized,relative_left_bases_global_alignment_score_normalized,upper_envelope_diff_normalized,lower_envelope_diff_normalized,relative_peaks_global_alignment_score_normalized,reconstruction_signal_weighted_score,reconstruction_signal_normalized_weighted_score,reconstruction_signal_normalized_weighted_rank,wavelet_signal_weighted_score,wavelet_signal_normalized_weighted_score,wavelet_signal_normalized_weighted_rank,reconstruction_signal_num_missing_metrics,reconstruction_signal_missing_metrics_count,reconstruction_signal_dynamically_weighted_score,reconstruction_signal_normalized_dynamically_weighted_score,reconstruction_signal_normalized_dynamically_weighted_rank,wavelet_signal_num_missing_metrics,wavelet_signal_missing_metrics_count,wavelet_signal_dynamically_weighted_score,wavelet_signal_normalized_dynamically_weighted_score,wavelet_signal_normalized_dynamically_weighted_rank,rank_variability,normalized_rank_stability,average_rank,harmonic_average_rank,stability_score_weighted,stability_rank,wavelet_family,family_mean_stability_rank,family_median_stability_rank,family_rank_std_dev,family_wavelet_count,normalized_family_mean_rank,normalized_family_std_dev,final_family_stability_score,final_family_stability_rank,family_informed_rank
smoothed,morl,21.691862199829252,0.6706010287020574,527.8121253530221,-28.29142846514866,992,127,28948.78953489003,,False,15.744623198777209,327575.67927984084,0.021475005733695363,1.9469834181961879e-07,0.5298496070265749,18,76380.74549729578,17573.297651576537,162518.17567550694,"[21, 91, 150, 214, 266, 308, 367, 434, 490, 546, 593, 656, 699, 763, 809, 873, 926, 980]","[162518.17567550694, 131220.09001652012, 40764.63758158849, 116196.65604287076, 25631.48998936697, 17573.297651576537, 123336.37571194046, 94600.5424269074, 27323.836112960016, 77581.89700105456, 25046.357479457212, 31001.275620427165, 149162.85230699801, 59468.09540796422, 42807.66298047833, 101345.10216066535, 48461.39325867658, 100813.68152636479]","[0, 58, 114, 166, 248, 304, 166, 390, 469, 501, 582, 611, 166, 720, 720, 720, 886, 720]","[720, 166, 166, 332, 332, 332, 390, 501, 501, 611, 611, 665, 720, 773, 828, 886, 937, 991]",0.05,30,1420807145529.6074,119989.55783707606,-119989.55783707606,CWT,mdp.39015056038386,75350.17406872434,161070.17567550694,118541.55783707606,0.0,6.0,0.0,-3.0,75350.17406872434,1353211.418951324,75350.17406872434,118541.55783707606,0.0,-7.5,,0.0,3.0,17522.63098490987,0.0,0.0,0.9747356883610454,0.7392766219604667,0.8134017553225077,0.38500925354719306,1.0,0.0,,0.9999999999999999,1.0,1.0,1.0,1.0,0.22032258218589396,1.0,,0.8181818181818181,0.9999999999999999,0.07887290763011637,0.07887290763011637,0.4736842105263158,2.5182654780684386,1.0,1,1.915184303076992,0.867913563876053,2,0,0,0.7224945355128551,1.0,1,1,0.125,0.5526676170273161,0.9268448642653976,2,0.5773502691896257,0.9518874775675312,1.5,1.3333333333333333,0.9134437387837656,1,morl,1.0,1.0,,1,0.1,,,4,1.75
smoothed,gaus8,21.922846298869686,0.6684578994157988,560.7148107873431,-29.98843801077389,992,127,34381.21743055046,,False,15.652658169150815,407878.0159510622,0.016396828805289584,5.206336844458715e-07,0.438213742824633,18,73464.27823978664,12690.299824687172,188321.46658486087,"[22, 91, 150, 214, 263, 309, 367, 434, 490, 545, 592, 656, 699, 763, 809, 873, 926, 974]","[188321.46658486087, 87777.72014083588, 27008.10657824909, 142516.18618480273, 12690.299824687172, 12810.43099628242, 109275.70838352112, 100858.42887894467, 21427.83625047771, 74864.82295647843, 20882.090148229905, 23263.624032105756, 162322.0539120006, 57727.04957829997, 39412.974954539735, 91338.6483467422, 40114.48918296326, 109745.07138213786]","[0, 59, 141, 166, 247, 304, 332, 390, 469, 501, 582, 611, 166, 721, 721, 721, 721, 166]","[166, 166, 166, 332, 332, 332, 390, 611, 501, 611, 611, 665, 721, 773, 828, 886, 937, 991]",0.05,30,2095008948451.9678,141309.56653136687,-141309.56653136687,CWT,mdp.39015056038386,72433.7068112152,186873.46658486087,139861.56653136687,0.0,-3.0,0.0,-3.0,72433.7068112152,1300715.0083161595,72433.7068112152,139861.56653136687,0.0,-7.5,,0.0,3.0,12639.633158020506,0.0,0.0857371201474808,0.8442653175581152,0.6891742587316461,0.8342124219903301,0.3683528685996297,0.8214430433887993,0.039005946308528605,,0.7211378881663546,0.9312087991146217,0.9312087991146217,0.9312087991146216,0.9312087991146216,0.35722250254056676,1.0,,0.8181818181818181,0.49999999999999994,0.12405570763062199,0.12405570763062199,0.4736842105263158,2.3748222434563533,0.9430388750267469,2,1.7854944102588843,0.8091413522964022,3,0,0,0.6535977525945653,0.9046404096753698,2,1,0.125,0.5197772823892186,0.8716865072274742,3,0.5773502691896257,0.9518874775675312,2.5,2.4000000000000004,0.871777072117099,2,gaus,6.75,6.5,3.770183777256185,8,0.675,1.0,0.22749999999999995,1,1.75
smoothed,gaus6,22.024904016190103,0.6681721488442977,572.5916139733243,-31.090572778628577,992,127,38875.012825801474,,False,15.59198505673994,446129.74112148245,0.013505235709949073,5.943557373666974e-07,0.37431787361470503,18,69416.01914467238,10057.21964328932,200306.11977031565,"[23, 90, 150, 214, 263, 309, 368, 434, 490, 545, 593, 657, 699, 739, 809, 873, 926, 974]","[200306.11977031565, 63566.22873007714, 21891.25885644043, 139668.16862567252, 11110.485106487497, 10057.21964328932, 96682.9680741516, 105394.97596791218, 17664.81489315607, 61076.002870065364, 19883.628374961994, 19943.7155904008, 157959.2741538025, 60319.05082720569, 32500.29638586098, 78356.41606874438, 37821.632498072155, 115286.08816748657]","[0, 59, 141, 165, 248, 304, 333, 333, 469, 501, 582, 610, 165, 722, 774, 774, 774, 165]","[165, 165, 165, 333, 333, 333, 390, 610, 501, 610, 610, 665, 774, 774, 828, 886, 937, 991]",0.05,30,2697121579976.872,155845.49467185067,-155845.49467185067,CWT,mdp.39015056038386,68385.44771610094,198858.11977031565,154397.49467185067,0.0,-3.0,0.0,-7.5,68385.44771610094,1227846.344604103,68385.44771610096,154397.49467185067,0.0,-3.0,,0.0,3.0,10006.552976622654,0.0,0.15666030276875567,0.759530418919803,0.6561196690840148,0.8434073801924626,0.3661320172732878,0.6969388217555592,0.05758628655833758,,0.5707658572863664,0.8357218349009689,0.8357218349009689,0.8357218349009692,0.835721834900969,0.42080734031691286,1.0,,0.0,0.49999999999999994,0.1548612266813284,0.1548612266813284,0.9473684210526316,2.253062171088781,0.8946881060438973,3,1.7007427170556213,0.7707340073874057,4,0,0,0.5909626176352036,0.8179475256732773,4,1,0.125,0.4989464137931744,0.8367523388745695,4,0.5,0.9583333333333334,3.75,3.6923076923076925,0.8229166666666667,3,gaus,6.75,6.5,3.770183777256185,8,0.675,1.0,0.22749999999999995,1,2.5
smoothed,gaus4,22.172814516749327,0.6719742189484379,563.3803936205744,-32.52190858092324,992,127,45215.64510277372,,False,15.417045840720327,497481.2681322032,0.012241608838177872,7.174706383615241e-07,0.30068442291344466,19,60353.52938763278,423.8364340672633,224320.4341081704,"[34, 79, 121, 157, 215, 263, 308, 368, 434, 490, 543, 593, 657, 699, 739, 820, 873, 920, 956]","[224320.4341081704, 50971.057720977275, 423.8364340672633, 1427.3194501032558, 129362.50386131139, 10218.866432131374, 7793.195457761358, 82422.72485787002, 108654.3058248582, 13151.05846317291, 45079.8526746336, 18596.91042720196, 16709.50577186645, 161172.14538808813, 49339.72808704123, 24116.54444006199, 62591.90002752737, 635.3390936696087, 139729.82984450902]","[0, 59, 120, 154, 165, 247, 304, 333, 165, 469, 501, 582, 610, 165, 722, 774, 774, 165, 165]","[165, 165, 165, 165, 333, 333, 333, 390, 610, 610, 610, 610, 665, 774, 774, 827, 886, 922, 991]",0.05,30,3747657443860.5234,185130.45761366605,-185130.45761366605,CWT,mdp.39015056038386,59322.95795906135,222872.4341081704,183682.45761366605,0.0,-2.5,0.0,-7.0,59322.95795906135,1125075.0583650228,59322.95795906135,183682.45761366605,0.0,-2.5,,0.0,2.0,373.1697674005967,0.0,0.25673112962244093,0.6494857150757296,0.5608131359421578,0.8567334755236825,0.3956816779765577,0.5534604470329326,0.0825297064944472,,0.020614970256838214,0.621963373600554,0.621963373600554,0.6219633736005539,0.7010505285891117,0.5482158066157841,0.5,,0.0909090909090909,0.5277777777777777,0.2169238947878659,0.2169238947878659,1.0,1.739222939703831,0.690643204559136,7,1.5881528062666654,0.7197110794256778,5,0,0,0.47402550704383284,0.6560956294393989,7,1,0.125,0.4730978982382783,0.7934033834575642,5,1.1547005383792515,0.9037749551350623,6.0,5.833333333333333,0.7018874775675312,4,gaus,6.75,6.5,3.770183777256185,8,0.675,1.0,0.22749999999999995,1,3.25
smoothed,gaus2,22.685841514368374,0.6597345694691389,578.8572727979487,-35.65685724578107,992,127,61036.046476132404,,False,15.182285228419147,642744.122072762,0.015302645211361673,9.469388367482611e-07,0.2189538922321727,18,60418.64733473302,1365.1342600029166,264652.64425873215,"[37, 79, 146, 215, 251, 290, 368, 435, 490, 543, 593, 657, 699, 739, 821, 874, 925, 970]","[51363.98178804756, 264652.64425873215, 6052.260409474025, 106591.01623302475, 3426.7685034372407, 14844.283819011802, 67832.88452608325, 95851.13236738459, 9500.851502762034, 12686.295067155223, 17012.41498183954, 11906.029014647847, 120432.53340919499, 42388.91930000388, 15714.850055452465, 49402.58110465715, 196511.07142428294, 1365.1342600029166]","[0, 0, 141, 167, 247, 277, 333, 333, 469, 524, 582, 610, 333, 722, 722, 333, 333, 967]","[57, 333, 167, 333, 333, 333, 390, 610, 610, 610, 610, 665, 722, 774, 827, 886, 991, 991]",0.05,30,7718911126897.627,233574.2100446042,-233574.2100446042,CWT,mdp.39015056038386,59388.07590616159,263204.64425873215,232126.2100446042,0.0,-3.0,0.0,-3.0,59388.07590616159,1065893.6520251944,59388.075906161605,232126.2100446042,0.0,-3.0,,0.0,3.0,1314.46759333625,0.0,0.5064161101469962,0.40846296078034516,0.4329160263873933,0.9029549855037907,0.30055521283158504,0.3942045165327756,0.15308948490572333,,0.07437135289525766,0.6234993215076262,0.6234993215076262,0.6234993215076265,0.6234993215076262,0.7621992235658385,1.0,,0.8181818181818181,0.49999999999999994,0.3195891614276128,0.3195891614276128,0.9473684210526316,2.1254375983619265,0.8440085514701893,5,1.4040778011659316,0.6362928969349361,7,0,0,0.6029413687151064,0.8345272373404385,3,1,0.125,0.43640704244122985,0.7318714061654772,8,2.217355782608345,0.8152203514493046,5.75,4.992570579494799,0.6680268423913189,5,gaus,6.75,6.5,3.770183777256185,8,0.675,1.0,0.22749999999999995,1,4.0
smoothed,fbsp,17.88550792547898,0.7060261620523242,854.7690299707356,-35.87891344592475,992,127,69100.85202383294,-2638585.9440339305,True,15.603339891163369,748472.2338697431,0.014312598807750355,1.7868019055471381e-07,0.21567666855227494,19,61006.20496018836,993.3569346328441,212637.22657502544,"[37, 79, 118, 152, 215, 264, 309, 366, 435, 491, 546, 591, 659, 700, 739, 821, 872, 925, 958]","[212637.22657502544, 69062.27258840168, 1573.2501791518926, 4685.5829051183755, 137343.6288527671, 8542.358398652214, 12344.0465912289, 86833.21485756495, 96343.87244190607, 17054.57374188325, 50271.61782123387, 21413.583115642126, 19482.32137828998, 137822.0512972541, 51412.98876639674, 30171.11446729494, 66236.68505979775, 993.3569346328441, 134894.14827133657]","[0, 58, 116, 150, 164, 247, 303, 332, 332, 470, 501, 581, 611, 332, 722, 722, 722, 722, 332]","[332, 332, 164, 164, 332, 332, 332, 389, 611, 611, 611, 611, 665, 722, 774, 827, 887, 926, 991]",0.05,30,8141317956530.576,286551.27206164633,-286551.27206164633,CWT,mdp.39015056038386,59975.633531616935,211189.22657502544,285103.27206164633,0.0,-2.5,0.0,-7.0,59975.633531616935,1137475.894243579,59975.633531616935,285103.27206164633,0.0,-7.0,,0.0,2.0,942.6902679661774,0.0,0.6336986467015304,0.3913907204700163,0.6623057600470352,0.4704657248675354,0.6603331276989517,0.38781868614297166,0.2044457121714377,0.0,0.05313959860004696,0.6373581414687853,0.6373581414687853,0.6373581414687852,0.7173005613389115,0.48623029529502276,0.5,,0.0909090909090909,0.5277777777777777,0.4318617234163602,0.4318617234163602,0.5263157894736843,1.7312061693488556,0.6874597553061508,8,1.4923687791550986,0.6763041570740076,6,0,0,0.47312258205280083,0.6548458968163126,8,0,0.0,0.42630729726243477,0.7149337447918911,9,1.2583057392117916,0.8951411883990174,7.75,7.578947368421054,0.624653927532842,6,fbsp,6.0,6.0,,1,0.6,,,2,5.0
smoothed,mexh,23.286052203456972,0.6210629921259843,645.7989445296851,-38.39396397588616,992,127,89780.54392067704,,False,15.241360735170618,954877.466970738,0.017241268519390465,3.088005053477512e-07,0.14815289140504254,20,46762.00291650517,62.85926759733411,309474.0188578114,"[45, 91, 134, 179, 214, 251, 286, 322, 368, 434, 490, 531, 592, 658, 699, 763, 822, 873, 919, 969]","[13395.835117705225, 309474.0188578114, 257.34430706329294, 62.85926759733411, 40887.38549825169, 3459.2835666495666, 864.5925295358356, 148.4093877984269, 50552.43961457375, 62838.29531913798, 9692.014100053482, 23550.448306737842, 14972.042900590946, 7735.656882265001, 74657.76115356371, 22631.109375611275, 8977.955208343337, 261960.8107540549, 28982.509449082136, 139.28673367630108]","[0, 0, 133, 166, 166, 248, 285, 321, 332, 332, 469, 501, 581, 332, 332, 721, 332, 332, 885, 968]","[56, 332, 332, 180, 332, 332, 332, 332, 390, 610, 610, 610, 610, 665, 721, 772, 826, 991, 991, 991]",0.05,30,14475136389857.648,288746.65037271916,-288746.65037271916,CWT,mdp.39015056038386,45731.43148793374,308026.0188578114,287298.65037271916,0.0,1.0,0.0,-2.0,45731.43148793374,913598.0583301034,45791.54242389898,287298.65037271916,0.0,-3.5,,0.0,1.0,12.192600930667481,0.0,0.9600752250614464,0.1980272971008955,0.4651002436840447,0.9570313683932479,0.0,0.2562453087180304,0.30470470554419293,,0.0,0.30137776599362615,0.30137776599362615,0.30279561269180044,0.4239314529033056,0.9999999999999999,0.0,,1.0,0.7222222222222221,0.4365143171641861,0.4365143171641861,0.8947368421052633,1.509406387364318,0.5993833456042386,9,1.342284757522507,0.6082898370491862,10,0,0,0.48495585801985125,0.6712242573234279,6,1,0.125,0.44249059264312257,0.74207375399156,6,2.0615528128088303,0.8282039322659308,7.75,7.346938775510205,0.5911852994662987,7,mexh,7.0,7.0,,1,0.7,,,3,6.0
smoothed,gaus7,21.99318602248005,0.6512255524511049,560.8323255841825,-30.807790037158203,992,127,35400.614515627516,,False,15.624044598650729,441516.3569862493,0.014481549033552529,5.74843924152338e-07,0.01664717604274814,18,71935.12841344306,2735.3060432984566,249867.219662601,"[51, 107, 160, 219, 270, 326, 383, 439, 494, 550, 605, 662, 713, 768, 823, 879, 932, 988]","[70954.34813889928, 249867.219662601, 8626.12337243201, 30845.012158622987, 137172.72766620497, 2735.3060432984566, 119837.30948820672, 52279.71671177824, 90716.25250509537, 23442.668423707386, 65080.765244954855, 27572.05855057293, 179390.2130596676, 58326.3231757453, 34552.25839822291, 83913.37264936668, 56616.96349950374, 2903.6726930948207]","[5, 5, 155, 176, 176, 324, 344, 416, 416, 510, 510, 647, 176, 733, 786, 838, 913, 5]","[64, 176, 176, 229, 344, 344, 673, 450, 673, 571, 673, 673, 913, 838, 838, 913, 944, 991]",0.05,20,2503244373312.8926,196351.2943962516,-196351.2943962516,CWT,mdp.39015056038386,70904.55698487163,248419.219662601,194903.2943962516,0.0,-12.0,0.0,-7.5,70904.55698487163,1273190.3114419752,70904.55698487163,194903.2943962516,0.0,-12.0,,0.0,3.0,2684.63937663179,10.0,0.10182572215746995,0.7812714687750739,0.6735856430557442,0.8405497263660126,0.23442319555829744,0.0,0.05534538770857829,,0.1526202095628982,0.8951404864610164,0.8951404864610164,0.8951404864610163,0.8951404864610164,0.683754832238738,1.0,,0.0,0.0,0.2407038487013764,0.2407038487013764,0.0,2.1371416995142116,0.8486562350659881,4,1.3722857159299142,0.6218855200804413,8,0,0,0.4915287237540378,0.6803217181499253,5,1,0.125,0.3776073062315966,0.6332619855173246,11,3.1622776601683795,0.736476861652635,7.0,6.0068259385665534,0.5765717641596508,8,gaus,6.75,6.5,3.770183777256185,8,0.675,1.0,0.22749999999999995,1,6.25
smoothed,gaus5,22.114244735135298,0.6576152527305055,571.3736277418902,-32.06208303213769,992,127,40445.46672318912,,False,15.52866118195024,495303.1965519172,0.01266961281679661,6.497333062011249e-07,0.023444157078716565,18,66450.66187373472,2139.4265742933458,262896.4263211291,"[52, 107, 159, 219, 270, 326, 383, 439, 494, 550, 605, 662, 713, 767, 823, 879, 933, 988]","[48884.42841154308, 262896.4263211291, 4969.173471901237, 27086.895447969204, 129572.73366132597, 2139.4265742933458, 95445.11897536833, 45664.854424259946, 107430.66890265283, 46221.68320605397, 27670.716407142496, 27871.416841120637, 177990.571896329, 47434.364487265, 20489.48898462465, 78492.22660244568, 43093.82430968172, 2757.8948021185643]","[5, 5, 156, 179, 179, 324, 344, 416, 344, 510, 586, 647, 179, 733, 802, 838, 912, 5]","[63, 179, 179, 229, 344, 344, 416, 450, 673, 673, 673, 673, 912, 912, 838, 912, 944, 991]",0.05,20,3342102578894.467,233710.443045429,-233710.443045429,CWT,mdp.39015056038386,65420.09044516329,261448.42632112908,232262.443045429,0.0,-12.0,0.0,-7.5,65420.09044516329,1174469.9137272248,65420.090445163296,232262.443045429,0.0,-12.0,,0.0,3.0,2088.7599076266793,10.0,0.18144594135844838,0.6848382621544247,0.6216209494222164,0.8514565919328196,0.2840838988278841,0.013244249492229299,0.08147173300776515,,0.11859025234890305,0.7657774570936173,0.7657774570936173,0.7657774570936174,0.7657774570936171,0.7528815711536746,1.0,,0.0,0.0,0.3198778755889435,0.3198778755889435,0.0,2.0120574514481495,0.7989854401655218,6,1.353395462908859,0.6133249304830414,9,0,0,0.4645281169212444,0.642950353377419,9,1,0.125,0.38205880374225537,0.6407273181674197,10,1.7320508075688772,0.8556624327025936,8.5,8.181818181818182,0.5736645496846301,9,gaus,6.75,6.5,3.770183777256185,8,0.675,1.0,0.22749999999999995,1,7.0
smoothed,shan,12.663661680833737,0.7497301244602489,728.432913550457,-27.962819159057887,992,127,29881.65349579186,-2096873.8135852,True,16.223192105321452,380946.6398017011,0.018005955148083525,4.351428131442578e-07,0.39111388197827884,18,56917.11175109457,13460.535042208472,120991.14142074512,"[22, 92, 148, 189, 239, 297, 367, 435, 491, 547, 594, 655, 700, 763, 809, 871, 920, 980]","[99808.84110689363, 101138.78958047682, 36743.20418098415, 67082.63649690678, 13460.535042208472, 47513.10446535154, 91307.46385321039, 67078.97898101545, 20492.697042575994, 21340.524728440203, 48101.5226736554, 29579.327545517695, 120991.14142074512, 53242.13731981619, 15798.482953325081, 81370.01417654591, 40887.78913074576, 68570.8208212877]","[0, 58, 115, 167, 222, 277, 332, 392, 469, 501, 501, 611, 58, 722, 799, 722, 887, 58]","[58, 392, 167, 332, 246, 332, 392, 501, 501, 581, 611, 666, 722, 828, 828, 939, 939, 991]",0.05,30,1337000767307.5632,82772.49567184378,-82772.49567184378,CWT,mdp.39015056038386,55886.54032252314,119543.14142074512,81324.49567184378,0.0,-3.0,0.0,-7.5,55886.54032252314,1002866.0115197023,55886.54032252314,81324.49567184378,0.0,-12.0,,0.0,3.0,13409.868375541806,0.0,0.014722895735254177,1.0,1.0,0.0,0.9999999999999998,0.7296666643173633,0.025924336785785575,1.0,0.7651250917206649,0.5409080161805447,0.5409080161805447,0.5409080161805447,0.5409080161805446,0.0,1.0,,0.0,0.49999999999999994,0.0,0.0,0.0,1.436808750168962,0.5705549167401619,11,2.2066532691618357,1.0,1,0,0,0.369063096370237,0.5108178376854594,10,0,0.0,0.5962892371048003,1.0,1,5.5,0.5416666666666667,5.75,1.8257261410788381,0.53125,10,shan,10.0,10.0,,1,1.0,,,5,8.75
