wavelet,wavelet_level,wavelet_mode,wavelet_mse,wavelet_psnr,wavelet_energy_entropy,wavelet_sparsity,wavelet_adaptive_threshold,signal_length,signal_type,emd_value,kl_divergence,wavelet_entropy,avg_variance_across_levels,variance_ratio_across_levels,smoothness,correlation,dynamic_cutoff,dominant_frequency,amplitude_max,num_fft_peaks,positive_frequencies,positive_amplitudes,relative_num_peaks,avg_prominence,prominence_min,prominence_max,relative_peaks,relative_prominences,relative_left_bases,relative_right_bases,max_autocorrelation,upper_envelope,lower_envelope,spectral_magnitude,spectral_centroid,spectral_bandwidth,frequency_max,wavelet_type,htid,max_autocorrelation_diff,frequency_max_diff,relative_right_bases_array_alignment_score,relative_right_bases_global_alignment_score,relative_num_peaks_diff,relative_peaks_array_alignment_score,relative_peaks_global_alignment_score,spectral_centroid_diff,lower_envelope_diff,relative_prominences_avg_diff,relative_prominences_total_diff,relative_prominences_wasserstein,spectral_bandwidth_diff,spectral_magnitude_diff,avg_prominence_diff,num_fft_peaks_diff,amplitude_max_diff,prominence_min_diff,relative_left_bases_array_alignment_score,relative_left_bases_global_alignment_score,prominence_max_diff,upper_envelope_diff,dominant_frequency_diff,dynamic_cutoff_diff,emd_value_normalized,wavelet_mse_normalized,wavelet_psnr_normalized,wavelet_entropy_normalized,wavelet_energy_entropy_normalized,wavelet_sparsity_normalized,avg_variance_across_levels_normalized,prominence_min_diff_normalized,avg_prominence_diff_normalized,relative_prominences_avg_diff_normalized,relative_prominences_wasserstein_normalized,spectral_centroid_diff_normalized,dynamic_cutoff_diff_normalized,relative_prominences_total_diff_normalized,prominence_max_diff_normalized,amplitude_max_diff_normalized,frequency_max_diff_normalized,spectral_bandwidth_diff_normalized,num_fft_peaks_diff_normalized,dominant_frequency_diff_normalized,max_autocorrelation_diff_normalized,relative_right_bases_global_alignment_score_normalized,relative_left_bases_global_alignment_score_normalized,upper_envelope_diff_normalized,lower_envelope_diff_normalized,reconstruction_weighted_score,reconstruction_normalized_weighted_score,reconstruction_normalized_weighted_rank,signal_weighted_score,signal_normalized_weighted_score,signal_normalized_weighted_rank,reconstruction_missing_metrics_count,reconstruction_dynamically_weighted_score,reconstruction_normalized_dynamically_weighted_score,reconstruction_normalized_dynamically_weighted_rank,signal_missing_metrics_count,signal_dynamically_weighted_score,signal_normalized_dynamically_weighted_score,signal_normalized_dynamically_weighted_rank,rank_variability,normalized_rank_stability,average_rank,harmonic_average_rank,stability_score_weighted,stability_rank,wavelet_family,family_mean_stability_rank,family_median_stability_rank,family_rank_std_dev,family_wavelet_count,normalized_family_mean_rank,normalized_family_std_dev,final_family_stability_score,final_family_stability_rank,family_informed_rank,top_wavelet_rank
coif8,1,symmetric,5.841290360652159e-26,314.9544458839171,14982747.553337531,0.6616161616161617,719.1041750710816,151,raw,1.7302421452913174e-13,-1.6024059856789604e-10,6.651170989937208,155990.72584483318,0.5679976136802894,1.2315528468005285e-06,1.0,643.0,,,,[],[],17,988.8235294117649,109.00000000000023,1352.0000000000005,"[7, 15, 24, 33, 41, 48, 55, 63, 71, 78, 87, 95, 105, 113, 120, 135, 144]","[874.0000000000002, 802.0000000000002, 1321.0000000000002, 774.0000000000003, 826.0000000000005, 1352.0000000000005, 793.0000000000006, 801.0000000000009, 1267.0, 998.0000000000005, 659.0, 1334.0, 1069.0, 109.00000000000023, 1314.9999999999995, 1179.0000000000002, 1337.0000000000005]","[1, 9, 1, 28, 28, 1, 49, 49, 49, 72, 86, 72, 97, 109, 97, 121, 72]","[16, 16, 28, 36, 44, 146, 56, 64, 72, 86, 90, 139, 109, 115, 139, 139, 146]",79759268.0,1352.0000000000005,-1352.0000000000005,0.0,,,,DWT,mdp.39015065389036,0.0,,0.0,66.0,2.0,0.0,61.5,,4.547473508864641e-13,48.56037151702799,1054.9999999999964,51.73065015479903,,0.0,48.56037151702799,,,2.2737367544323206e-13,0.0,61.5,4.547473508864641e-13,4.547473508864641e-13,,0.0,1.6618527163337977e-13,4.062689865495993e-26,0.94980117733396,0.7564560722027938,0.07544165190750714,0.4792092706203136,0.030513917598967637,1.9365405084819398e-13,6.762778575708996e-09,6.762778575708996e-09,2.2326134996249882e-09,,0.0,0.9999999932371835,1.433646098521277e-13,,,,,,0.0,1.0,1.0,2.454438465267287e-13,2.454438465267287e-13,0.7000000013462708,0.22861153902871537,144,1.1897188437432888,0.6085367037796263,186,0,0.25000000074968176,0.3086743007872009,131,0,0.3273460128091012,0.5220399983066567,213,37.82856063875548,0.958384421739543,168.5,162.2769928876217,0.8865079424429287,40,coif,340.49074074074076,318.5,258.4405965972444,108,0.6230684251904465,0.8689458121914564,0.3031683587092505,3,30.75,40
db36,1,smooth,4.5048784889950397e-26,316.08270302051676,39241404.689826615,0.6216216216216216,652.7901724256474,151,raw,1.6076617594201217e-13,-1.4280088223017672e-10,5.966340949775034,401887.60846477014,0.8822657647504815,1.2315528468005292e-06,1.0,643.0,,,,[],[],17,988.8235294117648,109.0,1351.9999999999995,"[7, 15, 24, 33, 41, 48, 55, 63, 71, 78, 87, 95, 105, 113, 120, 135, 144]","[874.0000000000001, 802.0000000000001, 1320.9999999999995, 774.0000000000002, 825.9999999999998, 1351.9999999999995, 793.0000000000003, 800.9999999999998, 1267.0, 997.9999999999998, 659.0, 1334.0000000000005, 1069.0, 109.0, 1314.9999999999998, 1179.0, 1337.0]","[1, 9, 1, 28, 28, 1, 49, 49, 49, 72, 86, 72, 97, 109, 97, 121, 72]","[16, 16, 28, 36, 44, 146, 56, 64, 72, 86, 90, 139, 109, 115, 139, 139, 146]",79759268.0,1351.9999999999995,-1351.9999999999995,0.0,,,,DWT,mdp.39015065389036,0.0,,0.0,66.0,2.0,0.0,61.5,,4.547473508864641e-13,48.560371517027875,1055.0,51.7306501547988,,0.0,48.560371517027875,,,0.0,0.0,61.5,4.547473508864641e-13,4.547473508864641e-13,,0.0,1.528072545565889e-13,3.088774636653144e-26,0.954024990909868,0.08255020722912038,0.8445933262841319,0.27408389985077075,0.7775956524579882,0.0,6.762728838790273e-09,6.762728838790273e-09,2.2325135426725856e-09,,0.0,0.9999999932372771,1.433646098521277e-13,,,,,,0.0,1.0,1.0,2.454438465267287e-13,2.454438465267287e-13,0.7000000013461997,0.2286115390286921,215,1.4566585822260962,0.7450753737506082,44,0,0.25000000074965684,0.3086743007871701,177,0,0.41897829667600467,0.6681719670580518,45,88.83458410626648,0.902272184701577,120.25,72.39769832490803,0.8849919779393474,41,db,435.57602339181284,448.5,245.6995490371185,342,0.7970662178802116,0.8261070319608212,0.1942215378956055,4,31.75,41
db22,1,reflect,3.595258129493467e-26,317.06223306241947,14756054.521392018,0.6597938144329897,739.2015341493867,151,raw,1.3177979678782524e-13,-1.440403352148682e-10,6.634407941488084,153513.9409214243,0.5458512838063011,1.2315528468005288e-06,0.9999999999999999,643.0,,,,[],[],17,988.8235294117648,109.00000000000023,1352.0000000000005,"[7, 15, 24, 33, 41, 48, 55, 63, 71, 78, 87, 95, 105, 113, 120, 135, 144]","[873.9999999999998, 801.9999999999997, 1321.0000000000005, 774.0000000000006, 826.0000000000002, 1352.0000000000005, 792.9999999999999, 801.0000000000001, 1267.0, 997.9999999999994, 659.0000000000001, 1334.0, 1068.9999999999998, 109.00000000000023, 1315.0, 1179.0, 1337.0]","[1, 9, 1, 28, 28, 1, 49, 49, 49, 72, 86, 72, 97, 109, 97, 121, 72]","[16, 16, 28, 36, 44, 146, 56, 64, 72, 86, 90, 139, 109, 115, 139, 139, 146]",79759268.0,1352.0000000000005,-1352.0000000000005,0.0,,,,DWT,mdp.39015065389036,0.0,,0.0,66.0,2.0,0.0,61.5,,4.547473508864641e-13,48.560371517027875,1055.0,51.73065015479878,,0.0,48.560371517027875,,,2.2737367544323206e-13,0.0,61.5,4.547473508864641e-13,4.547473508864641e-13,,0.0,1.2117248097001223e-13,2.4258853437844702e-26,0.9576920204856505,0.7399604221842471,0.06825406010844845,0.4698627537790144,0.022988971541343453,1.9365405084819398e-13,6.762728838790273e-09,6.762728838790273e-09,2.2325041717082976e-09,,0.0,0.9999999932372771,1.433646098521277e-13,,,,,,0.0,1.0,1.0,2.454438465267287e-13,2.454438465267287e-13,0.700000001346255,0.22861153902871018,164,1.1758631435659175,0.6014495653697083,208,0,0.25000000074967216,0.30867430078718905,147,0,0.3226797468712607,0.5145984002209355,225,36.5604522218567,0.9597794805040081,186.0,180.56718921719207,0.8775795092289017,42,db,435.57602339181284,448.5,245.6995490371185,342,0.7970662178802116,0.8261070319608212,0.1942215378956055,4,32.5,42
db21,1,antireflect,3.2336735463088253e-26,317.5225720938264,14068596.19217832,0.6197916666666666,710.0724675610131,151,raw,1.2947406208237843e-13,-1.4169587725376728e-10,6.618682073686459,331546.7207247251,0.791898245258926,1.2315528468005294e-06,1.0,643.0000000000001,,,,[],[],17,988.8235294117648,109.00000000000057,1352.0,"[7, 15, 24, 33, 41, 48, 55, 63, 71, 78, 87, 95, 105, 113, 120, 135, 144]","[873.9999999999998, 801.9999999999998, 1320.9999999999998, 774.0, 825.9999999999995, 1352.0, 793.0, 800.9999999999998, 1266.9999999999998, 998.0000000000002, 659.0, 1334.0000000000002, 1069.0000000000002, 109.00000000000057, 1315.0, 1179.0000000000002, 1337.0]","[1, 9, 1, 28, 28, 1, 49, 49, 49, 72, 86, 72, 97, 109, 97, 121, 72]","[16, 16, 28, 36, 44, 146, 56, 64, 72, 86, 90, 139, 109, 115, 139, 139, 146]",79759268.0,1352.0,-1352.0,0.0,,,,DWT,mdp.39015065389036,0.0,,0.0,66.0,2.0,0.0,61.5,,0.0,48.560371517027875,1055.0,51.73065015479875,,0.0,48.560371517027875,,,5.684341886080801e-13,0.0,61.5,0.0,0.0,,1.1368683772161603e-13,1.1865607852562532e-13,2.1623792050357512e-26,0.9594153743092629,0.7244854080613181,0.04645731670242005,0.2646983640081796,0.563886589193533,4.84135127120485e-13,6.762728838790273e-09,6.762728838790273e-09,2.2324916770892474e-09,,8.020067459127294e-14,0.9999999932372771,0.0,,,,,,0.0,1.0,1.0,0.0,0.0,0.7000000013462087,0.22861153902869505,211,1.2925545682481476,0.6611367892116425,96,0,0.2500000007496492,0.3086743007871607,217,0,0.36556329318211894,0.5829875834322773,99,67.31703598149085,0.9259438548058406,155.75,133.93466340139872,0.8773008602962096,43,db,435.57602339181284,448.5,245.6995490371185,342,0.7970662178802116,0.8261070319608212,0.1942215378956055,4,33.25,43
coif7,1,periodic,4.888658045975488e-26,315.72763723108324,14564010.334198482,0.671875,725.4610670079097,151,raw,1.65467345491319e-13,-1.6372692090982396e-10,6.5992056881704935,151757.61811027798,0.5759877315334531,1.2315528468005283e-06,1.0,643.0000000000002,,,,[],[],17,988.8235294117649,108.99999999999989,1352.0000000000005,"[7, 15, 24, 33, 41, 48, 55, 63, 71, 78, 87, 95, 105, 113, 120, 135, 144]","[874.0000000000001, 802.0000000000002, 1321.0, 774.0000000000001, 826.0, 1352.0000000000005, 793.0000000000003, 801.0000000000003, 1267.0000000000002, 998.0000000000006, 659.0, 1334.0000000000005, 1069.0000000000007, 108.99999999999989, 1315.0000000000002, 1179.0000000000005, 1337.0000000000002]","[1, 9, 1, 28, 28, 1, 49, 49, 49, 72, 86, 72, 97, 109, 97, 121, 72]","[16, 16, 28, 36, 44, 146, 56, 64, 72, 86, 90, 139, 109, 115, 139, 139, 146]",79759268.00000001,1352.0000000000005,-1352.0000000000005,0.0,,,,DWT,mdp.39015065389036,1.4901161193847656e-08,,0.0,66.0,2.0,0.0,61.5,,4.547473508864641e-13,48.56037151702799,1054.9999999999964,51.73065015479901,,0.0,48.56037151702799,,,1.1368683772161603e-13,0.0,61.5,4.547473508864641e-13,4.547473508864641e-13,,2.2737367544323206e-13,1.5793795520372196e-13,3.3684554468799765e-26,0.9526957445411992,0.7053197032032346,0.06216505413820357,0.531825153374233,0.017652927103758202,9.682702542409699e-14,6.762778575708996e-09,6.762778575708996e-09,2.2326041286607e-09,,1.6040134918254588e-13,0.9999999932371835,1.433646098521277e-13,,,,,,1.1357839174082698e-13,1.0,1.0,2.454438465267287e-13,2.454438465267287e-13,0.7000000013463761,0.22861153902874973,120,1.1751510575866826,0.6010853360756274,212,0,0.25000000074969575,0.30867430078721814,115,0,0.32423694033725525,0.517081758021371,220,56.99926900116059,0.9372945335520786,166.75,152.14088169247137,0.8769255946088226,44,coif,340.49074074074076,318.5,258.4405965972444,108,0.6230684251904465,0.8689458121914564,0.3031683587092505,3,33.75,44
coif7,1,reflect,5.179809072222278e-26,315.47639631266867,14539297.493867174,0.6614583333333334,726.2951907653991,151,raw,1.6982441942769556e-13,-1.635093171969975e-10,6.644681533319887,152086.01781527334,0.5531442290305403,1.2315528468005283e-06,1.0,643.0000000000002,,,,[],[],17,988.8235294117649,108.99999999999989,1352.0000000000005,"[7, 15, 24, 33, 41, 48, 55, 63, 71, 78, 87, 95, 105, 113, 120, 135, 144]","[874.0000000000003, 802.0000000000006, 1321.0000000000002, 774.0, 826.0, 1352.0000000000005, 793.0000000000003, 801.0000000000003, 1267.0000000000002, 998.0000000000006, 659.0, 1334.0000000000002, 1069.0000000000007, 108.99999999999989, 1315.0000000000002, 1179.0000000000005, 1337.0000000000005]","[1, 9, 1, 28, 28, 1, 49, 49, 49, 72, 86, 72, 97, 109, 97, 121, 72]","[16, 16, 28, 36, 44, 146, 56, 64, 72, 86, 90, 139, 109, 115, 139, 139, 146]",79759268.00000001,1352.0000000000005,-1352.0000000000005,0.0,,,,DWT,mdp.39015065389036,1.4901161193847656e-08,,0.0,66.0,2.0,0.0,61.5,,4.547473508864641e-13,48.56037151702799,1054.9999999999964,51.73065015479905,,0.0,48.56037151702799,,,1.1368683772161603e-13,0.0,61.5,4.547473508864641e-13,4.547473508864641e-13,,2.2737367544323206e-13,1.6269312130239409e-13,3.5806328634150217e-26,0.9517551834159035,0.7500701331837208,0.061381502006175745,0.4783997955010225,0.018650668184170063,9.682702542409699e-14,6.762778575708996e-09,6.762778575708996e-09,2.232622870589276e-09,,1.6040134918254588e-13,0.9999999932371835,1.433646098521277e-13,,,,,,1.1357839174082698e-13,1.0,1.0,2.454438465267287e-13,2.454438465267287e-13,0.7000000013463816,0.22861153902875156,113,1.1755991131186163,0.6013145147912098,210,0,0.2500000007496973,0.3086743007872201,108,0,0.3228938974701651,0.5149399201231639,223,61.46272583173209,0.9323842400090956,163.5,146.2254113885065,0.8762581266052079,45,coif,340.49074074074076,318.5,258.4405965972444,108,0.6230684251904465,0.8689458121914564,0.3031683587092505,3,34.5,45
rbio2.4,1,antireflect,1.3152724896282276e-26,321.4293764674855,12729366.723030964,0.7125,806.5547219392163,151,raw,7.707764021184172e-14,-1.545337191544153e-10,6.4857184963602545,185322.1577149105,0.500826643470042,1.2315528468005288e-06,1.0,643.0,,,,[],[],17,988.8235294117648,108.99999999999977,1352.0000000000002,"[7, 15, 24, 33, 41, 48, 55, 63, 71, 78, 87, 95, 105, 113, 120, 135, 144]","[874.0000000000001, 802.0000000000001, 1321.0, 774.0000000000002, 825.9999999999999, 1352.0000000000002, 793.0, 800.9999999999999, 1267.0, 998.0000000000002, 659.0000000000001, 1334.0, 1069.0, 108.99999999999977, 1315.0000000000005, 1179.0, 1337.0]","[1, 9, 1, 28, 28, 1, 49, 49, 49, 72, 86, 72, 97, 109, 97, 121, 72]","[16, 16, 28, 36, 44, 146, 56, 64, 72, 86, 90, 139, 109, 115, 139, 139, 146]",79759268.0,1352.0000000000002,-1352.0000000000002,0.0,,,,DWT,mdp.39015065389036,0.0,,0.0,66.0,2.0,0.0,61.5,,2.2737367544323206e-13,48.560371517027875,1055.0,51.73065015479884,,0.0,48.560371517027875,,,2.2737367544323206e-13,0.0,61.5,2.2737367544323206e-13,2.2737367544323206e-13,,0.0,6.147236013830273e-14,7.643371464803111e-27,0.9740411301024956,0.5936428203635139,0.003995337757187814,0.7401840490797545,0.11962841459430232,1.9365405084819398e-13,6.762728838790273e-09,6.762728838790273e-09,2.2325291609463984e-09,,0.0,0.9999999932372771,7.168230492606385e-14,,,,,,0.0,1.0,1.0,1.2272192326336435e-13,1.2272192326336435e-13,0.7000000013461776,0.2286115390286849,227,1.2271687425914892,0.6276921858683691,153,0,0.25000000074964784,0.308674300787159,219,0,0.3473559645567594,0.5539511710954194,145,42.972859651955524,0.9527251268955385,186.0,178.53957977389925,0.874052332424667,46,rbio,456.0962962962963,449.0,297.4185420670417,135,0.8346165315693875,1.0,0.11576842790142872,5,35.75,46
rbio2.4,1,reflect,1.3152724901153182e-26,321.42937646587717,12745024.489683287,0.71875,811.9848810692233,151,raw,7.707778491987864e-14,-1.5453827106881626e-10,6.488767189854869,173812.96894049647,0.535001718917888,1.2315528468005288e-06,1.0,643.0,,,,[],[],17,988.8235294117648,108.99999999999977,1352.0000000000002,"[7, 15, 24, 33, 41, 48, 55, 63, 71, 78, 87, 95, 105, 113, 120, 135, 144]","[874.0000000000001, 802.0000000000001, 1321.0, 774.0000000000002, 825.9999999999999, 1352.0000000000002, 793.0, 800.9999999999999, 1267.0, 998.0000000000002, 659.0000000000001, 1334.0, 1069.0, 108.99999999999977, 1315.0000000000005, 1179.0, 1337.0]","[1, 9, 1, 28, 28, 1, 49, 49, 49, 72, 86, 72, 97, 109, 97, 121, 72]","[16, 16, 28, 36, 44, 146, 56, 64, 72, 86, 90, 139, 109, 115, 139, 139, 146]",79759268.0,1352.0000000000002,-1352.0000000000002,0.0,,,,DWT,mdp.39015065389036,0.0,,0.0,66.0,2.0,0.0,61.5,,2.2737367544323206e-13,48.560371517027875,1055.0,51.73065015479884,,0.0,48.560371517027875,,,2.2737367544323206e-13,0.0,61.5,2.2737367544323206e-13,2.2737367544323206e-13,,0.0,6.147251806785854e-14,7.643371468352803e-27,0.9740411300964745,0.5966428821394856,0.004491787225510526,0.7722392638036808,0.08466129900992578,1.9365405084819398e-13,6.762728838790273e-09,6.762728838790273e-09,2.2325291609463984e-09,,0.0,0.9999999932372771,7.168230492606385e-14,,,,,,0.0,1.0,1.0,1.2272192326336435e-13,1.2272192326336435e-13,0.7000000013461776,0.2286115390286849,228,1.2277522378658439,0.6279906415016425,151,0,0.25000000074964784,0.308674300787159,218,0,0.3474394803250198,0.5540843591283119,144,43.87387225521206,0.9517339139106578,185.25,177.4616446359238,0.8739692671863519,47,rbio,456.0962962962963,449.0,297.4185420670417,135,0.8346165315693875,1.0,0.11576842790142872,5,36.5,47
rbio2.4,1,antisymmetric,1.3151721842400988e-26,321.429707682029,12693368.147621702,0.7125,801.3129393702803,151,raw,7.703063720368389e-14,-1.545337191544153e-10,6.473378992917821,182418.33599089622,0.5015016773268612,1.2315528468005288e-06,1.0,643.0,,,,[],[],17,988.8235294117648,108.99999999999977,1352.0000000000002,"[7, 15, 24, 33, 41, 48, 55, 63, 71, 78, 87, 95, 105, 113, 120, 135, 144]","[874.0000000000001, 802.0000000000001, 1321.0, 774.0000000000002, 825.9999999999999, 1352.0000000000002, 793.0, 800.9999999999999, 1267.0, 998.0000000000002, 659.0000000000001, 1334.0, 1069.0, 108.99999999999977, 1315.0000000000005, 1179.0, 1337.0]","[1, 9, 1, 28, 28, 1, 49, 49, 49, 72, 86, 72, 97, 109, 97, 121, 72]","[16, 16, 28, 36, 44, 146, 56, 64, 72, 86, 90, 139, 109, 115, 139, 139, 146]",79759268.0,1352.0000000000002,-1352.0000000000002,0.0,,,,DWT,mdp.39015065389036,0.0,,0.0,66.0,2.0,0.0,61.5,,2.2737367544323206e-13,48.560371517027875,1055.0,51.73065015479884,,0.0,48.560371517027875,,,2.2737367544323206e-13,0.0,61.5,2.2737367544323206e-13,2.2737367544323206e-13,,0.0,6.142106261290119e-14,7.642640485476261e-27,0.9740423700578569,0.5815001524706898,0.0028539569958612246,0.7401840490797545,0.1108060491044113,1.9365405084819398e-13,6.762728838790273e-09,6.762728838790273e-09,2.2325291609463984e-09,,0.0,0.9999999932372771,7.168230492606385e-14,,,,,,0.0,1.0,1.0,1.2272192326336435e-13,1.2272192326336435e-13,0.7000000013461776,0.2286115390286849,230,1.2169985160416743,0.6224901533260889,164,0,0.25000000074964784,0.308674300787159,220,0,0.3441980825298051,0.5489150910348836,149,40.22747817102136,0.9557453485467312,190.75,184.31267794588953,0.8729496819741357,48,rbio,456.0962962962963,449.0,297.4185420670417,135,0.8346165315693875,1.0,0.11576842790142872,5,37.25,48
coif7,1,symmetric,5.305424984102133e-26,315.37233204991225,14597501.400248101,0.6666666666666666,712.6759069846092,151,raw,1.7683573516466612e-13,-1.638340574317003e-10,6.601543363658434,155496.45475108136,0.5760760232427428,1.2315528468005283e-06,1.0,643.0000000000002,,,,[],[],17,988.8235294117649,108.99999999999989,1352.0000000000005,"[7, 15, 24, 33, 41, 48, 55, 63, 71, 78, 87, 95, 105, 113, 120, 135, 144]","[874.0000000000003, 802.0000000000003, 1321.0000000000005, 774.0, 826.0, 1352.0000000000005, 793.0000000000003, 801.0000000000003, 1267.0000000000002, 998.0000000000006, 659.0, 1334.0000000000002, 1069.0000000000007, 108.99999999999989, 1315.0000000000002, 1179.0000000000005, 1337.0000000000005]","[1, 9, 1, 28, 28, 1, 49, 49, 49, 72, 86, 72, 97, 109, 97, 121, 72]","[16, 16, 28, 36, 44, 146, 56, 64, 72, 86, 90, 139, 109, 115, 139, 139, 146]",79759268.00000001,1352.0000000000005,-1352.0000000000005,0.0,,,,DWT,mdp.39015065389036,1.4901161193847656e-08,,0.0,66.0,2.0,0.0,61.5,,4.547473508864641e-13,48.56037151702799,1054.9999999999964,51.73065015479905,,0.0,48.56037151702799,,,1.1368683772161603e-13,0.0,61.5,4.547473508864641e-13,4.547473508864641e-13,,2.2737367544323206e-13,1.70345038939407e-13,3.6721759364446524e-26,0.9513656019707356,0.7076200888892297,0.06322693111613305,0.5051124744376274,0.02901222753166606,9.682702542409699e-14,6.762778575708996e-09,6.762778575708996e-09,2.232622870589276e-09,,1.6040134918254588e-13,0.9999999932371835,1.433646098521277e-13,,,,,,1.1357839174082698e-13,1.0,1.0,2.454438465267287e-13,2.454438465267287e-13,0.7000000013463816,0.22861153902875156,114,1.1698927519728912,0.5983957325760186,217,0,0.2500000007496973,0.3086743007872201,109,0,0.32233390342079465,0.5140468611545319,228,64.27544891584448,0.9292899351860897,167.0,148.47533502653368,0.872785781674453,49,coif,340.49074074074076,318.5,258.4405965972444,108,0.6230684251904465,0.8689458121914564,0.3031683587092505,3,37.5,49
