issue_number,dates,page_number,type_of_page,original_volumes,notes,start_issue,end_issue,link,htid,original_source,record_url,periodical_name,publication_type,id,metadata_schema_version,enumeration_chronology,type_of_resource,title,date_created,pub_date,language,access_profile,isbn,issn,lccn,oclc,page_count,feature_schema_version,access_rights,alternate_title,category,genre_ld,genre,contributor_ld,contributor,handle_url,source_institution_ld,source_institution,lcc,type,is_part_of,last_rights_update_date,pub_place_ld,pub_place,main_entity_of_page,publisher_ld,publisher,lowercase_periodical_name,publication_directory,volume_directory
1,April 1966,1.0,scanner_page,v.1-4(1966-1969),Record 010744668,1966-04-01,1966-04-01,https://hdl.handle.net/2027/uiug.30112070958894,uiug.30112070958894,"
                       University of Illinois at Urbana-Champaign
                      ",https://catalog.hathitrust.org/Record/010744668,Tricontinental,News/politics magazines,uiug.30112070958894,https://schemas.hathitrust.org/EF_Schema_MetadataSubSchema_v_3.0,v.1-4(1966-1969),http://id.loc.gov/ontologies/bibframe/Text,Tricontinental.,20200209.0,1969.0,eng,google,,0564-2302,sn 88036265,7186447.0,1994.0,https://schemas.hathitrust.org/EF_Schema_FeaturesSubSchema_v_3.0,ic,['Tricontinental bulletin'],Socialism. Communism. Anarchism,http://id.loc.gov/vocabulary/marcgt/doc,['document (computer)'],"{'id': 'http://www.viaf.org/viaf/126343983', 'type': 'http://id.loc.gov/ontologies/bibframe/Organization', 'name': 'Executive Secretariat of the Organization of Solidarity of the Peoples of Africa, Asia, and Latin America.'}","Executive Secretariat of the Organization of Solidarity of the Peoples of Africa, Asia, and Latin America.",http://hdl.handle.net/2027/uiug.30112070958894,"{'type': 'http://id.loc.gov/ontologies/bibframe/Organization', 'name': 'UIUC'}",UIUC,HX3.B65,"['DataFeedItem', 'PublicationVolume']","{'id': 'http://www.worldcat.org/oclc/7186447', 'type': 'CreativeWorkSeries', 'journalTitle': 'Tricontinental (English ed. : monthly)'}",20181121.0,"{'id': 'http://id.loc.gov/vocabulary/countries/cu', 'type': 'http://id.loc.gov/ontologies/bibframe/Place', 'name': 'Cuba'}",Cuba,"['https://catalog.hathitrust.org/Record/010744668', 'http://catalog.hathitrust.org/api/volumes/brief/oclc/7186447.json', 'http://catalog.hathitrust.org/api/volumes/full/oclc/7186447.json']","{'id': 'http://catalogdata.library.illinois.edu/lod/entities/ProvisionActivityAgent/ht/Executive%20Secretariat%20of%20the%20Organization%20of%20Solidarity%20of%20the%20Peoples%20of%20Africa,%20Asia%20and%20Latin%20America', 'type': 'http://id.loc.gov/ontologies/bibframe/Organization', 'name': 'Executive Secretariat of the Organization of Solidarity of the Peoples of Africa, Asia and Latin America'}","Executive Secretariat of the Organization of Solidarity of the Peoples of Africa, Asia and Latin America",tricontinental,datasets/ht_ef_datasets/tricontinental/volumes,uiug_30112070958894
1,April 1966,11.0,cover_page,v.1-4(1966-1969),,1966-04-01,1966-04-01,https://hdl.handle.net/2027/uiug.30112070958894,uiug.30112070958894,"
                       University of Illinois at Urbana-Champaign
                      ",https://catalog.hathitrust.org/Record/010744668,Tricontinental,News/politics magazines,uiug.30112070958894,https://schemas.hathitrust.org/EF_Schema_MetadataSubSchema_v_3.0,v.1-4(1966-1969),http://id.loc.gov/ontologies/bibframe/Text,Tricontinental.,20200209.0,1969.0,eng,google,,0564-2302,sn 88036265,7186447.0,1994.0,https://schemas.hathitrust.org/EF_Schema_FeaturesSubSchema_v_3.0,ic,['Tricontinental bulletin'],Socialism. Communism. Anarchism,http://id.loc.gov/vocabulary/marcgt/doc,['document (computer)'],"{'id': 'http://www.viaf.org/viaf/126343983', 'type': 'http://id.loc.gov/ontologies/bibframe/Organization', 'name': 'Executive Secretariat of the Organization of Solidarity of the Peoples of Africa, Asia, and Latin America.'}","Executive Secretariat of the Organization of Solidarity of the Peoples of Africa, Asia, and Latin America.",http://hdl.handle.net/2027/uiug.30112070958894,"{'type': 'http://id.loc.gov/ontologies/bibframe/Organization', 'name': 'UIUC'}",UIUC,HX3.B65,"['DataFeedItem', 'PublicationVolume']","{'id': 'http://www.worldcat.org/oclc/7186447', 'type': 'CreativeWorkSeries', 'journalTitle': 'Tricontinental (English ed. : monthly)'}",20181121.0,"{'id': 'http://id.loc.gov/vocabulary/countries/cu', 'type': 'http://id.loc.gov/ontologies/bibframe/Place', 'name': 'Cuba'}",Cuba,"['https://catalog.hathitrust.org/Record/010744668', 'http://catalog.hathitrust.org/api/volumes/brief/oclc/7186447.json', 'http://catalog.hathitrust.org/api/volumes/full/oclc/7186447.json']","{'id': 'http://catalogdata.library.illinois.edu/lod/entities/ProvisionActivityAgent/ht/Executive%20Secretariat%20of%20the%20Organization%20of%20Solidarity%20of%20the%20Peoples%20of%20Africa,%20Asia%20and%20Latin%20America', 'type': 'http://id.loc.gov/ontologies/bibframe/Organization', 'name': 'Executive Secretariat of the Organization of Solidarity of the Peoples of Africa, Asia and Latin America'}","Executive Secretariat of the Organization of Solidarity of the Peoples of Africa, Asia and Latin America",tricontinental,datasets/ht_ef_datasets/tricontinental/volumes,uiug_30112070958894
2,May 1966,43.0,cover_page,v.1-4(1966-1969),French,1966-05-01,1966-05-01,https://hdl.handle.net/2027/uiug.30112070958894,uiug.30112070958894,"
                       University of Illinois at Urbana-Champaign
                      ",https://catalog.hathitrust.org/Record/010744668,Tricontinental,News/politics magazines,uiug.30112070958894,https://schemas.hathitrust.org/EF_Schema_MetadataSubSchema_v_3.0,v.1-4(1966-1969),http://id.loc.gov/ontologies/bibframe/Text,Tricontinental.,20200209.0,1969.0,eng,google,,0564-2302,sn 88036265,7186447.0,1994.0,https://schemas.hathitrust.org/EF_Schema_FeaturesSubSchema_v_3.0,ic,['Tricontinental bulletin'],Socialism. Communism. Anarchism,http://id.loc.gov/vocabulary/marcgt/doc,['document (computer)'],"{'id': 'http://www.viaf.org/viaf/126343983', 'type': 'http://id.loc.gov/ontologies/bibframe/Organization', 'name': 'Executive Secretariat of the Organization of Solidarity of the Peoples of Africa, Asia, and Latin America.'}","Executive Secretariat of the Organization of Solidarity of the Peoples of Africa, Asia, and Latin America.",http://hdl.handle.net/2027/uiug.30112070958894,"{'type': 'http://id.loc.gov/ontologies/bibframe/Organization', 'name': 'UIUC'}",UIUC,HX3.B65,"['DataFeedItem', 'PublicationVolume']","{'id': 'http://www.worldcat.org/oclc/7186447', 'type': 'CreativeWorkSeries', 'journalTitle': 'Tricontinental (English ed. : monthly)'}",20181121.0,"{'id': 'http://id.loc.gov/vocabulary/countries/cu', 'type': 'http://id.loc.gov/ontologies/bibframe/Place', 'name': 'Cuba'}",Cuba,"['https://catalog.hathitrust.org/Record/010744668', 'http://catalog.hathitrust.org/api/volumes/brief/oclc/7186447.json', 'http://catalog.hathitrust.org/api/volumes/full/oclc/7186447.json']","{'id': 'http://catalogdata.library.illinois.edu/lod/entities/ProvisionActivityAgent/ht/Executive%20Secretariat%20of%20the%20Organization%20of%20Solidarity%20of%20the%20Peoples%20of%20Africa,%20Asia%20and%20Latin%20America', 'type': 'http://id.loc.gov/ontologies/bibframe/Organization', 'name': 'Executive Secretariat of the Organization of Solidarity of the Peoples of Africa, Asia and Latin America'}","Executive Secretariat of the Organization of Solidarity of the Peoples of Africa, Asia and Latin America",tricontinental,datasets/ht_ef_datasets/tricontinental/volumes,uiug_30112070958894
3,June 1966,99.0,cover_page,v.1-4(1966-1969),,1966-06-01,1966-06-01,https://hdl.handle.net/2027/uiug.30112070958894,uiug.30112070958894,"
                       University of Illinois at Urbana-Champaign
                      ",https://catalog.hathitrust.org/Record/010744668,Tricontinental,News/politics magazines,uiug.30112070958894,https://schemas.hathitrust.org/EF_Schema_MetadataSubSchema_v_3.0,v.1-4(1966-1969),http://id.loc.gov/ontologies/bibframe/Text,Tricontinental.,20200209.0,1969.0,eng,google,,0564-2302,sn 88036265,7186447.0,1994.0,https://schemas.hathitrust.org/EF_Schema_FeaturesSubSchema_v_3.0,ic,['Tricontinental bulletin'],Socialism. Communism. Anarchism,http://id.loc.gov/vocabulary/marcgt/doc,['document (computer)'],"{'id': 'http://www.viaf.org/viaf/126343983', 'type': 'http://id.loc.gov/ontologies/bibframe/Organization', 'name': 'Executive Secretariat of the Organization of Solidarity of the Peoples of Africa, Asia, and Latin America.'}","Executive Secretariat of the Organization of Solidarity of the Peoples of Africa, Asia, and Latin America.",http://hdl.handle.net/2027/uiug.30112070958894,"{'type': 'http://id.loc.gov/ontologies/bibframe/Organization', 'name': 'UIUC'}",UIUC,HX3.B65,"['DataFeedItem', 'PublicationVolume']","{'id': 'http://www.worldcat.org/oclc/7186447', 'type': 'CreativeWorkSeries', 'journalTitle': 'Tricontinental (English ed. : monthly)'}",20181121.0,"{'id': 'http://id.loc.gov/vocabulary/countries/cu', 'type': 'http://id.loc.gov/ontologies/bibframe/Place', 'name': 'Cuba'}",Cuba,"['https://catalog.hathitrust.org/Record/010744668', 'http://catalog.hathitrust.org/api/volumes/brief/oclc/7186447.json', 'http://catalog.hathitrust.org/api/volumes/full/oclc/7186447.json']","{'id': 'http://catalogdata.library.illinois.edu/lod/entities/ProvisionActivityAgent/ht/Executive%20Secretariat%20of%20the%20Organization%20of%20Solidarity%20of%20the%20Peoples%20of%20Africa,%20Asia%20and%20Latin%20America', 'type': 'http://id.loc.gov/ontologies/bibframe/Organization', 'name': 'Executive Secretariat of the Organization of Solidarity of the Peoples of Africa, Asia and Latin America'}","Executive Secretariat of the Organization of Solidarity of the Peoples of Africa, Asia and Latin America",tricontinental,datasets/ht_ef_datasets/tricontinental/volumes,uiug_30112070958894
4,July 1966,147.0,cover_page,v.1-4(1966-1969),,1966-07-01,1966-07-01,https://hdl.handle.net/2027/uiug.30112070958894,uiug.30112070958894,"
                       University of Illinois at Urbana-Champaign
                      ",https://catalog.hathitrust.org/Record/010744668,Tricontinental,News/politics magazines,uiug.30112070958894,https://schemas.hathitrust.org/EF_Schema_MetadataSubSchema_v_3.0,v.1-4(1966-1969),http://id.loc.gov/ontologies/bibframe/Text,Tricontinental.,20200209.0,1969.0,eng,google,,0564-2302,sn 88036265,7186447.0,1994.0,https://schemas.hathitrust.org/EF_Schema_FeaturesSubSchema_v_3.0,ic,['Tricontinental bulletin'],Socialism. Communism. Anarchism,http://id.loc.gov/vocabulary/marcgt/doc,['document (computer)'],"{'id': 'http://www.viaf.org/viaf/126343983', 'type': 'http://id.loc.gov/ontologies/bibframe/Organization', 'name': 'Executive Secretariat of the Organization of Solidarity of the Peoples of Africa, Asia, and Latin America.'}","Executive Secretariat of the Organization of Solidarity of the Peoples of Africa, Asia, and Latin America.",http://hdl.handle.net/2027/uiug.30112070958894,"{'type': 'http://id.loc.gov/ontologies/bibframe/Organization', 'name': 'UIUC'}",UIUC,HX3.B65,"['DataFeedItem', 'PublicationVolume']","{'id': 'http://www.worldcat.org/oclc/7186447', 'type': 'CreativeWorkSeries', 'journalTitle': 'Tricontinental (English ed. : monthly)'}",20181121.0,"{'id': 'http://id.loc.gov/vocabulary/countries/cu', 'type': 'http://id.loc.gov/ontologies/bibframe/Place', 'name': 'Cuba'}",Cuba,"['https://catalog.hathitrust.org/Record/010744668', 'http://catalog.hathitrust.org/api/volumes/brief/oclc/7186447.json', 'http://catalog.hathitrust.org/api/volumes/full/oclc/7186447.json']","{'id': 'http://catalogdata.library.illinois.edu/lod/entities/ProvisionActivityAgent/ht/Executive%20Secretariat%20of%20the%20Organization%20of%20Solidarity%20of%20the%20Peoples%20of%20Africa,%20Asia%20and%20Latin%20America', 'type': 'http://id.loc.gov/ontologies/bibframe/Organization', 'name': 'Executive Secretariat of the Organization of Solidarity of the Peoples of Africa, Asia and Latin America'}","Executive Secretariat of the Organization of Solidarity of the Peoples of Africa, Asia and Latin America",tricontinental,datasets/ht_ef_datasets/tricontinental/volumes,uiug_30112070958894
5-6,August-September 1966,191.0,cover_page,v.1-4(1966-1969),,1966-08-01,1966-09-01,https://hdl.handle.net/2027/uiug.30112070958894,uiug.30112070958894,"
                       University of Illinois at Urbana-Champaign
                      ",https://catalog.hathitrust.org/Record/010744668,Tricontinental,News/politics magazines,uiug.30112070958894,https://schemas.hathitrust.org/EF_Schema_MetadataSubSchema_v_3.0,v.1-4(1966-1969),http://id.loc.gov/ontologies/bibframe/Text,Tricontinental.,20200209.0,1969.0,eng,google,,0564-2302,sn 88036265,7186447.0,1994.0,https://schemas.hathitrust.org/EF_Schema_FeaturesSubSchema_v_3.0,ic,['Tricontinental bulletin'],Socialism. Communism. Anarchism,http://id.loc.gov/vocabulary/marcgt/doc,['document (computer)'],"{'id': 'http://www.viaf.org/viaf/126343983', 'type': 'http://id.loc.gov/ontologies/bibframe/Organization', 'name': 'Executive Secretariat of the Organization of Solidarity of the Peoples of Africa, Asia, and Latin America.'}","Executive Secretariat of the Organization of Solidarity of the Peoples of Africa, Asia, and Latin America.",http://hdl.handle.net/2027/uiug.30112070958894,"{'type': 'http://id.loc.gov/ontologies/bibframe/Organization', 'name': 'UIUC'}",UIUC,HX3.B65,"['DataFeedItem', 'PublicationVolume']","{'id': 'http://www.worldcat.org/oclc/7186447', 'type': 'CreativeWorkSeries', 'journalTitle': 'Tricontinental (English ed. : monthly)'}",20181121.0,"{'id': 'http://id.loc.gov/vocabulary/countries/cu', 'type': 'http://id.loc.gov/ontologies/bibframe/Place', 'name': 'Cuba'}",Cuba,"['https://catalog.hathitrust.org/Record/010744668', 'http://catalog.hathitrust.org/api/volumes/brief/oclc/7186447.json', 'http://catalog.hathitrust.org/api/volumes/full/oclc/7186447.json']","{'id': 'http://catalogdata.library.illinois.edu/lod/entities/ProvisionActivityAgent/ht/Executive%20Secretariat%20of%20the%20Organization%20of%20Solidarity%20of%20the%20Peoples%20of%20Africa,%20Asia%20and%20Latin%20America', 'type': 'http://id.loc.gov/ontologies/bibframe/Organization', 'name': 'Executive Secretariat of the Organization of Solidarity of the Peoples of Africa, Asia and Latin America'}","Executive Secretariat of the Organization of Solidarity of the Peoples of Africa, Asia and Latin America",tricontinental,datasets/ht_ef_datasets/tricontinental/volumes,uiug_30112070958894
7-8,October-November 1966,223.0,cover_page,v.1-4(1966-1969),,1966-10-01,1966-11-01,https://hdl.handle.net/2027/uiug.30112070958894,uiug.30112070958894,"
                       University of Illinois at Urbana-Champaign
                      ",https://catalog.hathitrust.org/Record/010744668,Tricontinental,News/politics magazines,uiug.30112070958894,https://schemas.hathitrust.org/EF_Schema_MetadataSubSchema_v_3.0,v.1-4(1966-1969),http://id.loc.gov/ontologies/bibframe/Text,Tricontinental.,20200209.0,1969.0,eng,google,,0564-2302,sn 88036265,7186447.0,1994.0,https://schemas.hathitrust.org/EF_Schema_FeaturesSubSchema_v_3.0,ic,['Tricontinental bulletin'],Socialism. Communism. Anarchism,http://id.loc.gov/vocabulary/marcgt/doc,['document (computer)'],"{'id': 'http://www.viaf.org/viaf/126343983', 'type': 'http://id.loc.gov/ontologies/bibframe/Organization', 'name': 'Executive Secretariat of the Organization of Solidarity of the Peoples of Africa, Asia, and Latin America.'}","Executive Secretariat of the Organization of Solidarity of the Peoples of Africa, Asia, and Latin America.",http://hdl.handle.net/2027/uiug.30112070958894,"{'type': 'http://id.loc.gov/ontologies/bibframe/Organization', 'name': 'UIUC'}",UIUC,HX3.B65,"['DataFeedItem', 'PublicationVolume']","{'id': 'http://www.worldcat.org/oclc/7186447', 'type': 'CreativeWorkSeries', 'journalTitle': 'Tricontinental (English ed. : monthly)'}",20181121.0,"{'id': 'http://id.loc.gov/vocabulary/countries/cu', 'type': 'http://id.loc.gov/ontologies/bibframe/Place', 'name': 'Cuba'}",Cuba,"['https://catalog.hathitrust.org/Record/010744668', 'http://catalog.hathitrust.org/api/volumes/brief/oclc/7186447.json', 'http://catalog.hathitrust.org/api/volumes/full/oclc/7186447.json']","{'id': 'http://catalogdata.library.illinois.edu/lod/entities/ProvisionActivityAgent/ht/Executive%20Secretariat%20of%20the%20Organization%20of%20Solidarity%20of%20the%20Peoples%20of%20Africa,%20Asia%20and%20Latin%20America', 'type': 'http://id.loc.gov/ontologies/bibframe/Organization', 'name': 'Executive Secretariat of the Organization of Solidarity of the Peoples of Africa, Asia and Latin America'}","Executive Secretariat of the Organization of Solidarity of the Peoples of Africa, Asia and Latin America",tricontinental,datasets/ht_ef_datasets/tricontinental/volumes,uiug_30112070958894
9,December 1966,271.0,cover_page,v.1-4(1966-1969),,1966-12-01,1966-12-01,https://hdl.handle.net/2027/uiug.30112070958894,uiug.30112070958894,"
                       University of Illinois at Urbana-Champaign
                      ",https://catalog.hathitrust.org/Record/010744668,Tricontinental,News/politics magazines,uiug.30112070958894,https://schemas.hathitrust.org/EF_Schema_MetadataSubSchema_v_3.0,v.1-4(1966-1969),http://id.loc.gov/ontologies/bibframe/Text,Tricontinental.,20200209.0,1969.0,eng,google,,0564-2302,sn 88036265,7186447.0,1994.0,https://schemas.hathitrust.org/EF_Schema_FeaturesSubSchema_v_3.0,ic,['Tricontinental bulletin'],Socialism. Communism. Anarchism,http://id.loc.gov/vocabulary/marcgt/doc,['document (computer)'],"{'id': 'http://www.viaf.org/viaf/126343983', 'type': 'http://id.loc.gov/ontologies/bibframe/Organization', 'name': 'Executive Secretariat of the Organization of Solidarity of the Peoples of Africa, Asia, and Latin America.'}","Executive Secretariat of the Organization of Solidarity of the Peoples of Africa, Asia, and Latin America.",http://hdl.handle.net/2027/uiug.30112070958894,"{'type': 'http://id.loc.gov/ontologies/bibframe/Organization', 'name': 'UIUC'}",UIUC,HX3.B65,"['DataFeedItem', 'PublicationVolume']","{'id': 'http://www.worldcat.org/oclc/7186447', 'type': 'CreativeWorkSeries', 'journalTitle': 'Tricontinental (English ed. : monthly)'}",20181121.0,"{'id': 'http://id.loc.gov/vocabulary/countries/cu', 'type': 'http://id.loc.gov/ontologies/bibframe/Place', 'name': 'Cuba'}",Cuba,"['https://catalog.hathitrust.org/Record/010744668', 'http://catalog.hathitrust.org/api/volumes/brief/oclc/7186447.json', 'http://catalog.hathitrust.org/api/volumes/full/oclc/7186447.json']","{'id': 'http://catalogdata.library.illinois.edu/lod/entities/ProvisionActivityAgent/ht/Executive%20Secretariat%20of%20the%20Organization%20of%20Solidarity%20of%20the%20Peoples%20of%20Africa,%20Asia%20and%20Latin%20America', 'type': 'http://id.loc.gov/ontologies/bibframe/Organization', 'name': 'Executive Secretariat of the Organization of Solidarity of the Peoples of Africa, Asia and Latin America'}","Executive Secretariat of the Organization of Solidarity of the Peoples of Africa, Asia and Latin America",tricontinental,datasets/ht_ef_datasets/tricontinental/volumes,uiug_30112070958894
9,December 1966,273.0,toc,v.1-4(1966-1969),,1966-12-01,1966-12-01,https://hdl.handle.net/2027/uiug.30112070958894,uiug.30112070958894,"
                       University of Illinois at Urbana-Champaign
                      ",https://catalog.hathitrust.org/Record/010744668,Tricontinental,News/politics magazines,uiug.30112070958894,https://schemas.hathitrust.org/EF_Schema_MetadataSubSchema_v_3.0,v.1-4(1966-1969),http://id.loc.gov/ontologies/bibframe/Text,Tricontinental.,20200209.0,1969.0,eng,google,,0564-2302,sn 88036265,7186447.0,1994.0,https://schemas.hathitrust.org/EF_Schema_FeaturesSubSchema_v_3.0,ic,['Tricontinental bulletin'],Socialism. Communism. Anarchism,http://id.loc.gov/vocabulary/marcgt/doc,['document (computer)'],"{'id': 'http://www.viaf.org/viaf/126343983', 'type': 'http://id.loc.gov/ontologies/bibframe/Organization', 'name': 'Executive Secretariat of the Organization of Solidarity of the Peoples of Africa, Asia, and Latin America.'}","Executive Secretariat of the Organization of Solidarity of the Peoples of Africa, Asia, and Latin America.",http://hdl.handle.net/2027/uiug.30112070958894,"{'type': 'http://id.loc.gov/ontologies/bibframe/Organization', 'name': 'UIUC'}",UIUC,HX3.B65,"['DataFeedItem', 'PublicationVolume']","{'id': 'http://www.worldcat.org/oclc/7186447', 'type': 'CreativeWorkSeries', 'journalTitle': 'Tricontinental (English ed. : monthly)'}",20181121.0,"{'id': 'http://id.loc.gov/vocabulary/countries/cu', 'type': 'http://id.loc.gov/ontologies/bibframe/Place', 'name': 'Cuba'}",Cuba,"['https://catalog.hathitrust.org/Record/010744668', 'http://catalog.hathitrust.org/api/volumes/brief/oclc/7186447.json', 'http://catalog.hathitrust.org/api/volumes/full/oclc/7186447.json']","{'id': 'http://catalogdata.library.illinois.edu/lod/entities/ProvisionActivityAgent/ht/Executive%20Secretariat%20of%20the%20Organization%20of%20Solidarity%20of%20the%20Peoples%20of%20Africa,%20Asia%20and%20Latin%20America', 'type': 'http://id.loc.gov/ontologies/bibframe/Organization', 'name': 'Executive Secretariat of the Organization of Solidarity of the Peoples of Africa, Asia and Latin America'}","Executive Secretariat of the Organization of Solidarity of the Peoples of Africa, Asia and Latin America",tricontinental,datasets/ht_ef_datasets/tricontinental/volumes,uiug_30112070958894
10,January 1967,331.0,cover_page,v.1-4(1966-1969),,1967-01-01,1967-01-01,https://hdl.handle.net/2027/uiug.30112070958894,uiug.30112070958894,"
                       University of Illinois at Urbana-Champaign
                      ",https://catalog.hathitrust.org/Record/010744668,Tricontinental,News/politics magazines,uiug.30112070958894,https://schemas.hathitrust.org/EF_Schema_MetadataSubSchema_v_3.0,v.1-4(1966-1969),http://id.loc.gov/ontologies/bibframe/Text,Tricontinental.,20200209.0,1969.0,eng,google,,0564-2302,sn 88036265,7186447.0,1994.0,https://schemas.hathitrust.org/EF_Schema_FeaturesSubSchema_v_3.0,ic,['Tricontinental bulletin'],Socialism. Communism. Anarchism,http://id.loc.gov/vocabulary/marcgt/doc,['document (computer)'],"{'id': 'http://www.viaf.org/viaf/126343983', 'type': 'http://id.loc.gov/ontologies/bibframe/Organization', 'name': 'Executive Secretariat of the Organization of Solidarity of the Peoples of Africa, Asia, and Latin America.'}","Executive Secretariat of the Organization of Solidarity of the Peoples of Africa, Asia, and Latin America.",http://hdl.handle.net/2027/uiug.30112070958894,"{'type': 'http://id.loc.gov/ontologies/bibframe/Organization', 'name': 'UIUC'}",UIUC,HX3.B65,"['DataFeedItem', 'PublicationVolume']","{'id': 'http://www.worldcat.org/oclc/7186447', 'type': 'CreativeWorkSeries', 'journalTitle': 'Tricontinental (English ed. : monthly)'}",20181121.0,"{'id': 'http://id.loc.gov/vocabulary/countries/cu', 'type': 'http://id.loc.gov/ontologies/bibframe/Place', 'name': 'Cuba'}",Cuba,"['https://catalog.hathitrust.org/Record/010744668', 'http://catalog.hathitrust.org/api/volumes/brief/oclc/7186447.json', 'http://catalog.hathitrust.org/api/volumes/full/oclc/7186447.json']","{'id': 'http://catalogdata.library.illinois.edu/lod/entities/ProvisionActivityAgent/ht/Executive%20Secretariat%20of%20the%20Organization%20of%20Solidarity%20of%20the%20Peoples%20of%20Africa,%20Asia%20and%20Latin%20America', 'type': 'http://id.loc.gov/ontologies/bibframe/Organization', 'name': 'Executive Secretariat of the Organization of Solidarity of the Peoples of Africa, Asia and Latin America'}","Executive Secretariat of the Organization of Solidarity of the Peoples of Africa, Asia and Latin America",tricontinental,datasets/ht_ef_datasets/tricontinental/volumes,uiug_30112070958894
