signal_type,wavelet,wavelet_energy_entropy,wavelet_sparsity,wavelet_adaptive_threshold,wavelet_psnr,signal_length,scales_used,emd_value,kl_divergence,is_complex,change_point_indices,change_point_prominences,num_change_points,wavelet_entropy,avg_variance_across_levels,variance_ratio_across_levels,smoothness,correlation,relative_num_peaks,avg_prominence,prominence_min,prominence_max,relative_peaks,relative_prominences,relative_left_bases,relative_right_bases,prominence_threshold,distance_factor,max_autocorrelation,upper_envelope,lower_envelope,fft_frequency_max,fft_amplitude_max,fft_spectral_centroid,fft_spectral_bandwidth,fft_spectral_magnitude,fft_variance_magnitude,fft_num_peaks,fft_peak_amplitude,fft_dominant_frequency,fft_positive_frequencies,fft_positive_amplitudes,fft_snr_threshold,fft_stationarity_threshold,fft_dynamic_cutoff,fft_dynamic_cutoff_percentile,wavelet_type,htid,max_autocorrelation_diff,fft_amplitude_max_diff,fft_dominant_frequency_diff,prominence_max_diff,fft_variance_magnitude_diff,avg_prominence_diff,upper_envelope_diff,relative_prominences_avg_diff,relative_prominences_total_diff,relative_prominences_wasserstein,fft_snr_threshold_diff,lower_envelope_diff,relative_peaks_array_alignment_score,relative_peaks_global_alignment_score,fft_peak_amplitude_diff,fft_stationarity_threshold_diff,relative_left_bases_array_alignment_score,relative_left_bases_global_alignment_score,fft_frequency_max_diff,fft_num_peaks_diff,fft_dynamic_cutoff_percentile_diff,prominence_min_diff,fft_dynamic_cutoff_diff,fft_spectral_centroid_diff,fft_spectral_bandwidth_diff,prominence_threshold_diff,distance_factor_diff,fft_spectral_magnitude_diff,relative_right_bases_array_alignment_score,relative_right_bases_global_alignment_score,relative_num_peaks_diff,emd_value_normalized,wavelet_psnr_normalized,wavelet_entropy_normalized,wavelet_energy_entropy_normalized,wavelet_sparsity_normalized,correlation_normalized,avg_variance_across_levels_normalized,kl_divergence_normalized,prominence_min_diff_normalized,avg_prominence_diff_normalized,relative_prominences_avg_diff_normalized,relative_prominences_wasserstein_normalized,relative_prominences_total_diff_normalized,prominence_max_diff_normalized,relative_num_peaks_diff_normalized,max_autocorrelation_diff_normalized,relative_right_bases_global_alignment_score_normalized,relative_right_bases_array_alignment_score_normalized,relative_left_bases_global_alignment_score_normalized,relative_left_bases_array_alignment_score_normalized,upper_envelope_diff_normalized,lower_envelope_diff_normalized,relative_peaks_global_alignment_score_normalized,reconstruction_signal_weighted_score,reconstruction_signal_normalized_weighted_score,reconstruction_signal_normalized_weighted_rank,wavelet_signal_weighted_score,wavelet_signal_normalized_weighted_score,wavelet_signal_normalized_weighted_rank,reconstruction_signal_num_missing_metrics,reconstruction_signal_missing_metrics_count,reconstruction_signal_dynamically_weighted_score,reconstruction_signal_normalized_dynamically_weighted_score,reconstruction_signal_normalized_dynamically_weighted_rank,wavelet_signal_num_missing_metrics,wavelet_signal_missing_metrics_count,wavelet_signal_dynamically_weighted_score,wavelet_signal_normalized_dynamically_weighted_score,wavelet_signal_normalized_dynamically_weighted_rank,rank_variability,normalized_rank_stability,average_rank,harmonic_average_rank,stability_score_weighted,stability_rank,wavelet_family,family_mean_stability_rank,family_median_stability_rank,family_rank_std_dev,family_wavelet_count,normalized_family_mean_rank,normalized_family_std_dev,final_family_stability_score,final_family_stability_rank,family_informed_rank,top_wavelet_rank
raw,gaus8,21.7953395778334,0.6778196421722357,615.435600637768,-31.11480111693512,698,127,40618.05317236181,,False,"[31, 61, 91, 119, 146, 179, 206, 233, 256, 288, 317, 351, 376, 421, 445, 492, 537, 563, 588, 615, 680]","[148067.39611069992, 1233.7562223254354, 8383.98731932967, 90482.12977915941, 237.50842366196594, 1104.9294657830515, 29883.74396390515, 18945.270766679987, 48430.581785365255, 4580.185867716642, 44122.24888745902, 3322.55201780931, 76362.06303879277, 21645.839661606482, 19436.521826606455, 60056.85498456322, 933.4033707321287, 57674.20125177614, 20246.172732658324, 30022.872827737123, 123652.63518575676]",21,15.113322949120368,485145.2554826606,0.018794439997427248,1.6601685546367907e-07,0.24900062430463074,20,42447.18045655334,73.82192975187763,174296.87647418698,"[31, 61, 96, 145, 169, 206, 233, 256, 290, 317, 353, 394, 421, 445, 492, 523, 567, 601, 636, 680]","[174296.87647418698, 1233.7562223254354, 8383.98731932967, 237.50842366196594, 38822.03827042054, 29883.74396390515, 18945.270766679987, 126416.06917384232, 4580.185867716642, 95183.66042372261, 3322.55201780931, 73.82192975187763, 25594.090488820988, 21997.098065737184, 119260.86082455447, 17776.748772588988, 3804.157141462827, 30022.872827737123, 5455.674971055889, 123652.63518575676]","[0, 58, 91, 119, 119, 119, 119, 119, 288, 296, 351, 376, 376, 431, 119, 510, 563, 563, 563, 119]","[119, 119, 119, 146, 187, 215, 241, 376, 296, 376, 376, 395, 463, 463, 563, 563, 570, 615, 641, 697]",0.05,30,2145920723846.87,150996.83149453704,-150996.83149453704,,,,,,,,,,,,,,,,CWT,inu.32000013025095,,,,172760.87647418698,,41304.615239162034,149460.83149453704,41304.615239162034,822664.6091310667,41356.93437773369,,149460.83149453704,0.0,5.0,,,0.0,-8.5,,,,170.17807024812237,,,,0.0,0.0,,0.0,0.5,3.0,0.1065295947611499,0.7220407311517207,0.5506923603777966,0.8221063653434584,0.3487560341626439,0.7644336337257642,0.05107837041541672,,0.22674123322715584,1.0,1.0,1.0,0.823688849829387,0.4913010729398005,0.6,,0.6666666666666666,0.0,0.3703703703703704,0.0,0.11253966418075242,0.11253966418075242,1.0,2.214236900728745,0.9269536151470616,3,1.6172898953015349,0.743308800134688,3,0,0,0.5288462515282062,0.9988931938286509,2,1,0.125,0.4745552985625643,0.8095631045471109,4,0.816496580927726,0.9319586182560229,3.0,2.823529411764706,0.8409793091280114,1,gaus,6.5,6.5,4.44007721940573,8,0.8125,1.0,0.13124999999999998,1,1.0,1
raw,gaus6,21.962114095001695,0.687272973399815,660.1621491929484,-32.52925869949512,698,127,48151.570032619275,,False,"[31, 61, 92, 132, 161, 187, 210, 233, 257, 288, 316, 352, 376, 405, 445, 469, 492, 538, 563, 587, 637, 680]","[175973.26583984419, 353.2556353123946, 2877.1960911412875, 103705.21913387511, 14839.207300283571, 28992.139657695956, 2482.4610443819256, 635.3044064355126, 61173.74021258505, 4214.488924594276, 42687.621143873446, 2497.683514165794, 84463.3372433147, 20773.960216177053, 18112.811721176742, 292.69638822591514, 60158.402311105194, 410.22609071037004, 65567.88262042914, 15190.081510929216, 3998.177447172173, 129965.03861455446]",22,15.065601482133136,564021.3297629145,0.015498045780091244,1.960692520742933e-07,0.21297524254514016,20,40826.86636707133,292.69638822591514,193221.0486615521,"[31, 61, 96, 145, 169, 206, 233, 257, 290, 316, 353, 399, 445, 469, 492, 519, 567, 601, 637, 680]","[193221.0486615521, 353.2556353123946, 2877.1960911412875, 474.78167514381494, 28992.139657695956, 22602.959904675536, 635.3044064355126, 146783.26605947106, 4214.488924594276, 79416.21799853396, 2497.683514165794, 20773.960216177053, 18112.811721176742, 292.69638822591514, 128430.51825125517, 12111.865634421003, 2627.6024840528844, 18156.31405566942, 3998.177447172173, 129965.03861455446]","[0, 60, 92, 132, 132, 132, 132, 132, 288, 296, 352, 376, 376, 463, 376, 510, 563, 563, 563, 132]","[132, 132, 132, 146, 187, 215, 234, 376, 296, 376, 376, 405, 463, 470, 563, 563, 570, 615, 641, 697]",0.05,30,2969082694453.808,177946.0138572028,-177946.0138572028,,,,,,,,,,,,,,,,CWT,inu.32000013025095,,,,191685.0486615521,,39684.301149680025,176410.0138572028,39684.301149680025,790258.3273414265,39761.55789466617,,176410.0138572028,0.0,5.0,,,0.0,-8.5,,,,48.69638822591514,,,,0.0,0.0,,0.0,0.5,3.0,0.1800661775691038,0.6286187837318137,0.5200417172837943,0.8369463866060244,0.4109914593390267,0.6536928815294681,0.07616533237056619,,0.030959736662010046,0.9396492589187998,0.9396492589187998,0.9405984417933877,0.7709122920794982,0.5957459323741102,0.6,,0.6666666666666666,0.0,0.3703703703703704,0.0,0.1678972890802265,0.1678972890802265,1.0,2.149448740450498,0.8998311246091779,5,1.5660250447503532,0.7197473998792451,4,0,0,0.5135961811388641,0.9700886188254202,4,1,0.125,0.46611039120425674,0.7951565950437661,5,0.5773502691896257,0.9518874775675312,4.5,4.444444444444445,0.7884437387837656,2,gaus,6.5,6.5,4.44007721940573,8,0.8125,1.0,0.13124999999999998,1,1.75,2
raw,gaus4,22.132211735845853,0.6831441915032828,660.7866821169052,-33.90108396457335,698,127,55140.574991416484,,False,"[31, 63, 94, 133, 161, 187, 211, 256, 297, 351, 375, 405, 446, 469, 492, 538, 562, 606, 637, 664]","[203517.1819117965, 71.20926336297998, 543.7140298477752, 88273.52707628008, 15330.224363991969, 25367.25212998983, 17879.941863972297, 62710.75831764162, 31816.86691189414, 1540.348522651133, 101043.53447137, 16839.694863917375, 11175.545287503557, 784.3829616196381, 58618.70287493363, 1138.970311241501, 45700.59779047285, 9732.148625458969, 4413.844129463032, 139692.43968880805]",20,14.933289978593994,633465.4859310953,0.012757397339708706,2.496347630648943e-07,0.17434772807501667,20,39898.763948682594,71.20926336297998,214476.5093882485,"[31, 63, 94, 144, 169, 211, 256, 290, 315, 353, 399, 446, 469, 492, 519, 558, 583, 606, 637, 664]","[214476.5093882485, 71.20926336297998, 543.7140298477752, 1045.2993664949317, 25367.25212998983, 17879.941863972297, 155953.64930219893, 2982.170596247177, 63201.58857473313, 1540.348522651133, 16839.694863917375, 11175.545287503557, 784.3829616196381, 107530.7170840757, 11275.565503280422, 2577.1556016214745, 10892.10219015692, 9732.148625458969, 4413.844129463032, 139692.43968880805]","[0, 62, 93, 133, 133, 133, 133, 288, 297, 351, 375, 375, 457, 375, 509, 551, 562, 562, 375, 375]","[375, 375, 133, 146, 187, 215, 375, 297, 375, 375, 405, 457, 470, 562, 562, 562, 587, 615, 641, 697]",0.05,30,4072123373650.5977,208996.8456500225,-208996.8456500225,,,,,,,,,,,,,,,,CWT,inu.32000013025095,,,,212940.5093882485,,38756.19873129129,207460.8456500225,38756.19873129129,771696.2789736518,38786.12088192743,,207460.8456500225,0.0,-4.0,,,0.0,-8.5,,,,172.79073663702002,,,,0.0,0.0,,0.0,2.0,3.0,0.24828764058979286,0.5380126111865136,0.4350604095361911,0.8520821078762729,0.38380987746008177,0.5349532652097082,0.09825242176612382,,0.23095184117338374,0.9050808569573502,0.9050808569573502,0.9042794417930398,0.7406823192613495,0.7130574631418081,0.6,,0.738095238095238,0.0,0.3703703703703704,0.0,0.2316803113653429,0.2316803113653429,0.5135135135135136,2.156709178361316,0.9028705867221835,4,1.4476713433694437,0.6653518657078398,5,0,0,0.5060337517138637,0.9558045820952487,5,1,0.125,0.4352440476606692,0.7425004494252171,7,1.2583057392117916,0.8951411883990174,5.25,5.045045045045045,0.7288205941995087,3,gaus,6.5,6.5,4.44007721940573,8,0.8125,1.0,0.13124999999999998,1,2.5,3
raw,gaus2,22.706817765137238,0.6826591160345644,820.8978256258356,-36.93402909701363,698,127,84389.15705266861,,False,"[47, 83, 123, 156, 206, 256, 297, 323, 351, 375, 405, 461, 493, 524, 568, 605, 637, 660]","[258999.4980337284, 1181.8941112584434, 2695.501447724415, 35156.296081254746, 16732.015958304437, 74190.55065791203, 21569.465679259243, 2480.464609056863, 1047.5989799552553, 103841.27351714896, 12009.065976636088, 584.3796916382998, 57283.1018698212, 18640.519988117303, 373.1174608069414, 10987.563083018875, 8281.1879004683, 181582.18515259988]",18,14.979909423030357,742869.2087622101,0.014193874782491792,3.037183455572556e-07,0.12862297244478113,18,40801.26395445951,373.1174608069414,258999.4980337284,"[47, 83, 123, 156, 206, 256, 290, 315, 353, 400, 426, 461, 493, 524, 568, 605, 637, 660]","[258999.4980337284, 1181.8941112584434, 2695.501447724415, 35156.296081254746, 16732.015958304437, 74190.55065791203, 516.472891070518, 43870.72754802843, 1047.5989799552553, 12009.065976636088, 10291.074347927639, 584.3796916382998, 57283.1018698212, 18640.519988117303, 373.1174608069414, 10987.563083018875, 8281.1879004683, 181582.18515259988]","[0, 82, 120, 133, 187, 187, 288, 297, 351, 375, 375, 375, 375, 509, 536, 375, 375, 375]","[375, 375, 133, 187, 215, 375, 297, 375, 375, 405, 431, 462, 536, 536, 570, 615, 642, 697]",0.05,30,8200167055192.981,261550.13779410196,-261550.13779410196,,,,,,,,,,,,,,,,CWT,inu.32000013025095,,,,257463.4980337284,,39658.6987370682,260014.13779410196,39658.6987370682,708143.7511802712,39700.98256758835,,260014.13779410196,0.0,-5.0,,,0.0,-9.5,,,,129.11746080694138,,,,0.0,0.0,,0.0,-5.0,5.0,0.5337905227973195,0.3376929662682964,0.4650032432936264,0.9032120157127189,0.38061641292239096,0.3943969800247457,0.13304886742420838,,0.16056740823186288,0.9386956632026235,0.9386956632026235,0.9383430062548248,0.6371812858811173,0.9587853737014709,1.0,,0.4047619047619047,0.0,0.2962962962962963,0.0,0.33963258222068216,0.33963258222068216,0.45945945945945954,2.388724596944859,1.0,1,1.4100854702518844,0.6480773434776624,7,0,0,0.5294322303881108,1.0,1,1,0.125,0.44343014406332953,0.7564654428368035,6,3.2015621187164243,0.7332031567736312,3.75,1.731958762886598,0.7103515783868156,4,gaus,6.5,6.5,4.44007721940573,8,0.8125,1.0,0.13124999999999998,1,3.25,4
raw,fbsp,19.389670683915064,0.7278275387496334,995.853914929485,-37.0159603850656,698,127,86113.9715887209,-2086634.2879399175,True,"[3, 26, 57, 85, 116, 151, 174, 204, 232, 257, 280, 318, 344, 376, 415, 444, 467, 491, 520, 545, 570, 596, 637, 666, 695]","[6438.16218289535, 3519.848346435436, 10638.144273886835, 1594.2389674667793, 1229.1128629530212, 33610.2366835353, 11553.327840094236, 31081.370080774454, 23039.2841622095, 84810.03388208926, 603.0495541042692, 41107.3368729513, 26093.319662079848, 17908.18569800008, 23999.410145524955, 23521.45186557559, 9948.912403132003, 91121.65250480309, 28186.2992455883, 2358.2849990294635, 5742.480016618396, 22475.349378445862, 15213.246850251453, 14813.414619440475, 3635.9083238843014]",25,15.126367931781632,991773.4007546005,0.01574172472537901,1.502655978195581e-08,0.11178420122678964,24,36286.9091303873,717.0943320014339,205328.45164579016,"[30, 57, 85, 110, 156, 180, 208, 232, 257, 286, 315, 340, 370, 395, 420, 444, 467, 491, 520, 543, 570, 596, 637, 666]","[205328.45164579016, 10605.381148933724, 717.0943320014339, 7295.721967925023, 40541.674673494475, 4207.946255238901, 10007.768320969117, 20257.190140676423, 126254.4390109375, 2434.427962900798, 75037.74102086195, 1660.928103083068, 5445.05433323999, 7893.728850929647, 2652.4622454545606, 22678.135702072235, 12585.474559254231, 92521.29310686258, 28694.872004674806, 4769.876166094231, 6232.387245449565, 22422.46748961125, 16138.025535543304, 144503.2773072961]","[0, 55, 83, 108, 134, 179, 134, 134, 134, 285, 297, 339, 363, 376, 376, 376, 465, 376, 509, 541, 541, 541, 376, 376]","[376, 376, 134, 134, 185, 185, 209, 240, 376, 297, 376, 376, 376, 397, 422, 465, 469, 541, 541, 546, 572, 616, 639, 697]",0.05,30,8366835548047.729,307806.0387829334,-307806.0387829334,,,,,,,,,,,,,,,,CWT,inu.32000013025095,,,,203792.45164579016,,35144.343912995995,306270.0387829334,35144.343912995995,844606.8191292952,35144.343912995995,,306270.0387829334,0.0,-12.5,,,0.0,-8.0,,,,473.09433200143394,,,,0.0,0.0,,0.0,-3.5,1.0,0.5506268781558497,0.3322815770694891,0.5590709189796267,0.6080438206417651,0.6779799480133676,0.34263519153931293,0.21221419166187178,0.0,0.7149251147208412,0.7705525476765802,0.7705525476765802,0.7686830926607415,0.8594237212548985,0.6625681949430154,0.20000000000000007,,0.47619047619047616,0.0,0.40740740740740744,0.0,0.4346490759260463,0.4346490759260463,0.05405405405405406,2.0214401784603973,0.8462424596982788,6,1.441246111984965,0.662398819970734,6,0,0,0.46811823631690636,0.8841891548116422,7,0,0.0,0.41035656575766033,0.7000438860388457,9,1.4142135623730951,0.882148869802242,7.0,6.810810810810811,0.6494077682344543,5,fbsp,5.0,5.0,,1,0.625,,,2,4.25,5
raw,morl,21.374590633665782,0.6653881731832232,526.1365567710637,-28.349964081683147,698,127,30290.453365198224,,False,"[30, 55, 82, 110, 134, 157, 187, 210, 233, 257, 295, 333, 375, 398, 422, 464, 493, 524, 562, 588, 616, 653, 680]","[104304.0990349379, 630.4441262539513, 28874.034276576982, 64754.04683967629, 1153.4181655224602, 41239.06810391692, 32222.695659278736, 2120.166710974161, 20525.64962055356, 33429.0425385407, 56812.58195467696, 27035.261631553803, 63771.053602578766, 18194.561026460713, 25455.127314931717, 24574.05063795424, 45159.35032729058, 34352.23977663982, 10137.077144769428, 22518.832598760066, 56323.55686563879, 8484.959738074765, 107121.70558076029]",23,15.238662639787218,324549.43099807226,0.017117767118473477,1.8094507798007887e-08,0.32563337337321774,25,38288.14335955487,553.3264354389175,135892.91213454556,"[30, 68, 96, 124, 157, 181, 205, 233, 257, 283, 317, 340, 363, 398, 422, 445, 469, 493, 524, 554, 580, 603, 626, 653, 680]","[135892.91213454556, 9624.573987523363, 28874.034276576982, 14385.537887467552, 100008.471342095, 1766.6143667173055, 39950.96766705647, 26764.446898365593, 67520.5603050487, 3013.9311431726237, 119682.8853371443, 553.3264354389175, 3928.729474671527, 34628.60027032795, 52435.77589883088, 3774.536700886047, 1108.8783037088542, 104228.25469410948, 37137.6348545874, 10137.077144769428, 38559.63414251059, 1300.968425228185, 6318.566979254199, 8484.959738074765, 107121.70558076029]","[0, 66, 82, 110, 110, 180, 187, 215, 187, 282, 110, 339, 362, 375, 375, 444, 464, 375, 507, 536, 536, 602, 625, 616, 110]","[110, 110, 110, 126, 295, 187, 215, 242, 295, 295, 375, 375, 375, 405, 464, 464, 471, 616, 616, 562, 616, 616, 631, 654, 697]",0.05,30,1139135772511.6094,123233.44078283128,-123233.44078283128,,,,,,,,,,,,,,,,CWT,inu.32000013025095,,,,134356.91213454556,,37145.57814216357,121697.44078283128,37145.57814216357,930924.5839888719,37145.57814216356,,121697.44078283128,0.0,0.0,,,0.0,-9.0,,,,309.32643543891754,,,,0.0,0.0,,0.0,-4.5,2.0,0.0057192544493955,0.9046524003291281,0.6311957976499601,0.7846670527694113,0.2669142220571853,0.9999999999999999,0.0,,0.4509945916607942,0.8450911631162188,0.8450911631162188,0.8431961827123086,1.0,0.27934481839609404,0.4,,0.4285714285714285,0.0,0.3333333333333333,0.0,0.05550953435071626,0.05550953435071626,0.7297297297297298,1.9393245752564179,0.8118661220874032,8,1.7592043305648553,0.808532882040983,2,0,0,0.4475979628098258,0.8454301365100216,8,1,0.125,0.50705696103644,0.8650090069635271,2,3.4641016151377544,0.7113248654051871,5.0,3.2,0.6473290993692602,6,morl,6.0,6.0,,1,0.75,,,4,5.5,6
