amplitude_max,amplitude_max_diff,avg_prominence,avg_prominence_diff,avg_variance_across_levels,correlation,dominant_frequency,dominant_frequency_diff,dynamic_cutoff,dynamic_cutoff_diff,emd_value,frequency_max,frequency_max_diff,htid,is_complex,kl_divergence,lower_envelope,lower_envelope_diff,max_autocorrelation,max_autocorrelation_diff,num_fft_peaks,num_fft_peaks_diff,positive_amplitudes,positive_frequencies,prominence_max,prominence_max_diff,prominence_min,prominence_min_diff,relative_left_bases,relative_left_bases_array_alignment_score,relative_left_bases_global_alignment_score,relative_num_peaks,relative_num_peaks_diff,relative_peaks,relative_peaks_array_alignment_score,relative_peaks_global_alignment_score,relative_prominences,relative_prominences_avg_diff,relative_prominences_total_diff,relative_prominences_wasserstein,relative_right_bases,relative_right_bases_array_alignment_score,relative_right_bases_global_alignment_score,scales_used,signal_length,signal_type,smoothness,spectral_bandwidth,spectral_bandwidth_diff,spectral_centroid,spectral_centroid_diff,spectral_magnitude,spectral_magnitude_diff,upper_envelope,upper_envelope_diff,variance_ratio_across_levels,wavelet,wavelet_adaptive_threshold,wavelet_energy_entropy,wavelet_entropy,wavelet_psnr,wavelet_sparsity,wavelet_type,emd_value_normalized,smoothness_normalized,wavelet_psnr_normalized,wavelet_entropy_normalized,wavelet_energy_entropy_normalized,wavelet_sparsity_normalized,correlation_normalized,avg_variance_across_levels_normalized,kl_divergence_normalized,prominence_min_diff_normalized,avg_prominence_diff_normalized,relative_prominences_avg_diff_normalized,relative_prominences_wasserstein_normalized,spectral_centroid_diff_normalized,spectral_magnitude_diff_normalized,dynamic_cutoff_diff_normalized,relative_prominences_total_diff_normalized,prominence_max_diff_normalized,amplitude_max_diff_normalized,frequency_max_diff_normalized,spectral_bandwidth_diff_normalized,num_fft_peaks_diff_normalized,relative_num_peaks_diff_normalized,dominant_frequency_diff_normalized,max_autocorrelation_diff_normalized,relative_right_bases_global_alignment_score_normalized,relative_left_bases_global_alignment_score_normalized,upper_envelope_diff_normalized,lower_envelope_diff_normalized,relative_peaks_global_alignment_score_normalized,reconstruction_weighted_score,reconstruction_normalized_weighted_score,reconstruction_normalized_weighted_rank,signal_weighted_score,signal_normalized_weighted_score,signal_normalized_weighted_rank,reconstruction_missing_metrics_count,reconstruction_dynamically_weighted_score,reconstruction_normalized_dynamically_weighted_score,reconstruction_normalized_dynamically_weighted_rank,signal_missing_metrics_count,signal_dynamically_weighted_score,signal_normalized_dynamically_weighted_score,signal_normalized_dynamically_weighted_rank,rank_variability,normalized_rank_stability,average_rank,harmonic_average_rank,stability_score_weighted,stability_rank,wavelet_family,family_mean_stability_rank,family_median_stability_rank,family_rank_std_dev,family_wavelet_count,normalized_family_mean_rank,normalized_family_std_dev,final_family_stability_score,final_family_stability_rank,family_informed_rank,top_wavelet_rank
,,30885.965782719875,30781.788004942096,140108.44811673346,0.5912895819263302,,,29114.70605818258,28777.60605818258,25113.811496632683,0.48717948717948717,,inu.32000013032836,False,,-33768.44277701378,33373.44277701378,56752905741.56532,56744822659.40532,0.0,,"[1970313.7351120496, 422127.00935260195, 255445.3975798524, 126549.98322761267, 78820.57784954915, 49902.315576825626, 34686.30488343196, 32879.229640756595, 24080.960473657196, 16611.417836943536, 13929.555188683373, 12027.487347554486, 8866.226444002872, 9118.36131658842, 7635.84276434114, 6745.056985429738, 6279.7794509013665, 5744.236671399987, 4603.329630490664, 4836.047689943562, 4627.458319675123, 4131.420466941742, 4172.50679325147, 4195.650841147578, 4082.0747414124003, 3448.304693959487, 3778.357425950731, 3825.002652045067, 3824.8597101421137, 3648.2575809840564, 3609.7918770541496, 3488.621813284487, 3473.443011712291, 3455.158123801307, 3531.725420415597, 3427.1835330789995, 3463.191230669266, 3391.2675530973556, 3364.534125751855]","[0.0, 0.01282051282051282, 0.02564102564102564, 0.038461538461538464, 0.05128205128205128, 0.0641025641025641, 0.07692307692307693, 0.08974358974358974, 0.10256410256410256, 0.11538461538461538, 0.1282051282051282, 0.14102564102564102, 0.15384615384615385, 0.16666666666666666, 0.1794871794871795, 0.1923076923076923, 0.20512820512820512, 0.21794871794871795, 0.23076923076923075, 0.24358974358974358, 0.2564102564102564, 0.2692307692307692, 0.28205128205128205, 0.2948717948717949, 0.3076923076923077, 0.3205128205128205, 0.3333333333333333, 0.34615384615384615, 0.358974358974359, 0.3717948717948718, 0.3846153846153846, 0.3974358974358974, 0.41025641025641024, 0.4230769230769231, 0.4358974358974359, 0.4487179487179487, 0.4615384615384615, 0.47435897435897434, 0.48717948717948717]",30885.965782719875,30490.965782719875,30885.965782719875,30882.565782719874,[0],0.0,-8.5,1,8.0,[26],0.0,-8.5,[30885.965782719875],30781.788004942096,29948.365782719877,30781.788004942096,[77],0.0,-8.5,38,78,smoothed,3.065310679862554e-05,0.06266427395927177,,0.02335808139806926,,3162141.6649369914,3162141.6649369914,33768.44277701378,33373.44277701378,0.05596989232694157,mexh,860.7941479115713,227278262.48878217,10.421703935940318,-36.587253284400475,0.6751012145748988,CWT,1.0,0.9999999999999999,0.010774083281896774,0.8076550269040097,1.0,0.9999999999999999,0.7209779815501043,0.15503951393928822,,1.0,1.0,1.0,1.0,,1.0,1.0,0.8498857212162222,1.0,,,,,0.6666666666666666,,0.9853962962245633,0.0,0.0,0.6366608303385402,0.6366608303385402,0.0,4.2389720075224755,1.0,1,2.2606989616168995,1.0,1,0.0,0.7183513563189688,1.0,1,0,0.7118058257094122,1.0,1,0.0,1.0,1.0,1.0,0.95,1,mexh,1.0,1.0,,1,0.125,,,2,1.25,1
,,15102.274716357735,14998.096938579958,79352.13256329516,0.7755074773178653,,,16712.99648632712,16375.89648632712,15881.841136529092,,,inu.32000013032836,False,,-22622.005856948912,22227.005856948912,22700332499.22653,22692249417.06653,,,[],[],23197.03014891174,22802.03014891174,7007.519283803729,7004.11928380373,"[0, 45]",0.0,-8.0,2,7.0,"[22, 64]",0.0,-8.0,"[23197.03014891174, 7007.519283803729]",14998.096938579958,29266.94943271547,14998.096938579958,"[77, 77]",0.0,-8.0,38,78,smoothed,1.7876983341112503e-05,,,,,0.0,0.0,22622.005856948912,22227.005856948912,0.07517683797684119,gaus2,545.5166138918155,97954334.22555275,10.38283683576782,-32.54724528113978,0.6190958164642375,CWT,0.5618224855098274,0.4454695365957728,0.27510969381759837,0.717079140172691,0.3966152928917616,0.37121212121212127,1.0,0.05945130521825911,,0.21243979423836024,0.35371830646341695,0.35371830646341695,0.35371830646341684,,0.0,0.5643098237442381,0.8261727286514735,0.6851675364134824,,,,,0.3333333333333333,,0.3747894441905271,0.5,0.5,0.33595026715444043,0.33595026715444043,0.05,1.9850116207835533,0.46827665227818294,2,1.5963660100266177,0.7061382506606997,2,0.0,0.38528454095136977,0.5363455328123474,4,0,0.47834494692725393,0.6720160606307451,3,0.9574271077563381,0.9042572892243662,2.75,2.5263157894736845,0.8146286446121831,2,gaus,5.75,5.5,2.8157719063467175,8,0.71875,1.0,0.196875,1,1.75,2
,,16950.152504851598,16845.97472707382,57022.05378215611,0.596563255742155,,,6028.42274008767,5691.322740087669,6922.5145421495645,,,inu.32000013032836,False,,-15128.131233763592,14733.131233763592,5758225294.456648,5750142212.296648,,,[],[],17216.070774834614,16821.070774834614,16684.234234868578,16680.834234868576,"[0, 0]",0.0,-8.0,2,7.0,"[15, 68]",0.0,-3.5,"[16684.234234868578, 17216.070774834614]",16845.97472707382,32962.7050097032,16845.974727073815,"[44, 77]",0.0,-8.0,38,78,smoothed,1.3303845457433781e-05,,,,,0.0,0.0,15128.131233763592,14733.131233763592,0.059809857585026716,gaus4,288.5596233171545,25930136.06972541,10.50424126024137,-26.505534945077688,0.6261808367071525,CWT,0.13658547699468346,0.24697863454077434,0.6704156410023218,0.9999999999999999,0.06057307477646111,0.4507575757575762,0.728965648055632,0.02431928294460514,,0.5315977268242715,0.429381824050986,0.429381824050986,0.42938182405098574,,0.0,0.18894513779148706,0.9547834150808086,0.44027015867083935,,,,,0.3333333333333333,,0.0709954644079529,0.5,0.5,0.13377918104596798,0.13377918104596798,0.5,1.7602650534204334,0.41525753184891734,4,1.5292221581533865,0.6764377673087684,4,0.0,0.3717086046902392,0.51744679176911,5,0,0.4148244167590068,0.5827774960194759,4,0.5,0.95,4.25,4.2105263157894735,0.7625,3,gaus,5.75,5.5,2.8157719063467175,8,0.71875,1.0,0.196875,1,2.5,3
,,17599.82420215359,17495.646424375813,67669.04141176629,0.4593492835705296,,,3560.7516060657,3223.6516060657,6890.079250691046,,,inu.32000013032836,False,,-14559.563631320232,14164.563631320232,5007808090.267926,4999725008.107926,,,[],[],19150.039449561384,18755.039449561384,16049.6089547458,16046.2089547458,"[0, 0]",0.0,-8.0,2,7.0,"[15, 69]",0.0,1.0,"[19150.039449561384, 16049.6089547458]",17495.646424375813,34262.048404307185,17495.646424375816,"[44, 77]",0.0,-8.0,38,78,smoothed,1.1504468881912789e-05,,,,,0.0,0.0,14559.563631320232,14164.563631320232,0.06385535583973485,gaus6,230.91601855481258,22367405.392034587,10.37610314642253,-25.976387803915454,0.6069500674763832,CWT,0.13504599898092406,0.16887911322818067,0.7050374616792731,0.7013869511306459,0.04395049583586118,0.234848484848485,0.5211371990687266,0.041070240709551405,,0.5106664817276645,0.4559833916443824,0.4559833916443824,0.45598339164438245,,0.0,0.1022522455661104,1.0,0.5194587682992204,,,,,0.3333333333333333,,0.05753950959652182,0.5,0.5,0.1184402628638534,0.1184402628638534,0.9500000000000001,1.8739196972080447,0.4420693729240459,3,1.2056911040042542,0.5333266942989696,5,0.0,0.40520540261224697,0.5640768950289613,3,0,0.31891949318520596,0.4480428252569567,5,1.1547005383792515,0.8845299461620748,4.0,3.75,0.7422649730810373,4,gaus,5.75,5.5,2.8157719063467175,8,0.71875,1.0,0.196875,1,3.25,4
,,,,677169.3116706844,0.11528038694357912,,,650.1910249693383,313.09102496933826,22261.275678361635,,,inu.32000013032836,False,,-47236.333935665134,46841.333935665134,57567331080.49808,57559247998.33807,,,[],[],,,,,[],,,0,9.0,[],,,[],,,,[],,,38,78,smoothed,1.7981754523051717e-05,,,,,0.0,0.0,47236.333935665134,46841.333935665134,0.05937799347643035,gaus1,686.4402755874187,193599193.9729078,10.397585685675512,-36.751920400565595,0.5860323886639676,CWT,0.8646099363310594,0.4500169889012682,0.0,0.7514498586653865,0.8428640765476414,0.0,0.0,0.9999999999999999,,,,,,,0.0,0.0,,,,,,,1.0,,1.0,,,0.9999999999999999,0.9999999999999999,,1.3,0.30667812802090255,8,1.591545045176212,0.7040057399052838,3,0.6,0.6366666666666665,0.8862886678868718,2,0,0.4886176075556694,0.6864478905728186,2,2.8722813232690143,0.7127718676730985,3.75,2.742857142857143,0.6688859338365493,5,gaus,5.75,5.5,2.8157719063467175,8,0.71875,1.0,0.196875,1,4.0,5
,,16603.428037672922,16499.250259895143,70996.01839804939,0.4465867258882017,,,2195.279781903585,1858.179781903585,6406.491810615715,,,inu.32000013032836,False,,-13740.687588647965,13345.687588647965,4246149259.9624767,4238066177.802477,,,[],[],17642.013375542618,17247.013375542618,15564.842699803228,15561.442699803229,"[0, 0]",0.0,-8.0,2,7.0,"[14, 69]",0.0,-3.5,"[17642.013375542618, 15564.842699803228]",16499.250259895143,32269.256075345846,16499.250259895147,"[44, 77]",0.0,-8.0,38,78,smoothed,1.0687751208226417e-05,,,,,0.0,0.0,13740.687588647965,13345.687588647965,0.06865748863144891,gaus8,198.71615229733214,22252061.80485886,10.26428689088638,-25.275286530240297,0.590080971659919,CWT,0.11209346184469171,0.13343058053625523,0.7509101513062995,0.44081035932900287,0.04341233899590516,0.04545454545454583,0.5018066416462907,0.046304589890834046,,0.4946778950536444,0.41518478516466606,0.41518478516466606,0.4151847851646661,,0.0,0.05428122541808253,0.930651693814739,0.4577108766991853,,,,,0.3333333333333333,,0.043881977832711,0.5,0.5,0.0963484789390123,0.0963484789390123,0.5,1.63720528695559,0.3862269635303576,5,1.003740963457186,0.4439958528309711,8,0.0,0.35018588770158127,0.48748552448766946,6,0,0.2592778336254781,0.36425359874945135,7,1.2909944487358056,0.8709005551264195,6.5,6.303939962476548,0.6104502775632097,6,gaus,5.75,5.5,2.8157719063467175,8,0.71875,1.0,0.196875,1,4.75,6
,,17762.046631187848,17657.86885341007,91769.12811311304,0.15155553737789013,,,0.0,337.1,7488.407740784041,,,inu.32000013032836,False,,-19763.56084724896,19368.56084724896,6415456751.74781,6407373669.5878105,,,[],[],17762.046631187848,17367.046631187848,17762.046631187848,17758.646631187847,[3],0.0,-8.5,1,8.0,[28],0.0,-8.5,[17762.046631187848],17657.86885341007,16824.44663118785,17657.86885341007,[58],0.0,-8.5,38,78,smoothed,8.618932683661538e-06,,,,,0.0,0.0,19763.56084724896,19368.56084724896,0.05329416998842418,gaus5,259.19041318880494,26306645.521401085,10.397703654246902,-27.23474829352458,0.6099865047233468,CWT,0.16344449685420634,0.04363629364310656,0.622703593026942,0.7517247726134975,0.062329749262565515,0.2689393939393941,0.05494344440447979,0.07898702510996526,,0.5671461932061268,0.4626257787593528,0.4626257787593528,0.4626257787593527,,0.0,0.0008434703701309318,0.39317904363410905,0.46262577875935273,,,,,0.6666666666666666,,0.08278047778530717,0.0,0.0,0.25883462788227646,0.25883462788227646,0.0,1.4264219619392824,0.3365018592734171,6,1.0039215992849262,0.44407575547648337,7,0.0,0.2719192148309537,0.3785323330136704,8,0,0.2558385961067696,0.35942189128866897,8,0.9574271077563381,0.9042572892243662,7.25,7.148936170212766,0.5896286446121831,7,gaus,5.75,5.5,2.8157719063467175,8,0.71875,1.0,0.196875,1,5.5,7
,,8045.661230293306,7941.483452515528,41564.60303184486,0.529707907474828,,,1082.417232749358,745.3172327493579,4044.792537854868,,,inu.32000013032836,False,,-10169.33900858357,9774.33900858357,1798921130.7835658,1790838048.6235657,,,[],[],13263.285071078466,12868.285071078466,566.4469393019367,563.0469393019367,"[0, 38, 0]",0.0,-7.5,3,6.0,"[9, 41, 69]",0.0,1.5,"[10307.251680499518, 566.4469393019367, 13263.285071078466]",7941.483452515528,23199.38369087992,7941.483452515529,"[45, 45, 77]",0.0,-7.5,38,78,smoothed,1.0664969183577345e-05,,,,,0.0,0.0,10169.33900858357,9774.33900858357,0.10929860611455174,morl,149.56191801849982,12947460.36583313,10.075130361357303,-21.46828912942044,0.6214574898785425,CWT,0.0,0.13244175738281994,1.0,0.0,0.0,0.3977272727272734,0.6277045073935209,0.0,,0.0,0.06477701286915882,0.06477701286915882,0.06477701286915882,,0.0,0.015184738165244877,0.6150240802203927,0.27841872429659126,,,,,0.0,,0.0,1.0,1.0,0.0,0.0,1.0,0.9126130829233574,0.21529113221409227,9,1.0499052392631638,0.4644162080351687,6,0.0,0.27353057208598036,0.38077546548756686,7,0,0.2697341921879518,0.37894350178874225,6,1.4142135623730951,0.8585786437626906,7.0,6.810810810810811,0.5792893218813453,8,morl,8.0,8.0,,1,1.0,,,3,6.75,8
290271.25709226594,,10429.133170944095,10324.955393166318,85487.07630422291,0.1318278312178542,0.01282051282051282,,0.0,337.1,7166.415159834019,0.48717948717948717,,inu.32000013032836,False,,-17550.437779731197,17155.437779731197,5442177471.428258,5434094389.268258,1.0,,"[45913.99072844426, 178320.66765276046, 290271.25709226594, 193101.9359474298, 144218.44554562808, 100190.96432706535, 73266.99909632212, 72862.2407028578, 58258.547770902835, 37649.154117150436, 37125.160717527055, 33099.46513154193, 30801.371850061474, 27963.643656193213, 25311.296658110245, 23861.605313833, 22595.11029691172, 21145.523022598773, 20459.812677490903, 19050.067372016732, 19145.0263996602, 18038.708107649163, 17412.199497230442, 16799.501418414202, 16449.048582907064, 15508.65107499623, 15283.780528437414, 15325.951163252566, 14873.638868860877, 14428.293136671742, 14078.335595866138, 13845.909774741072, 13581.453678940708, 13367.470036389666, 13363.646024090476, 13090.288861724699, 13004.294188151667, 12902.068478163066, 12944.44684706935]","[0.0, 0.01282051282051282, 0.02564102564102564, 0.038461538461538464, 0.05128205128205128, 0.0641025641025641, 0.07692307692307693, 0.08974358974358974, 0.10256410256410256, 0.11538461538461538, 0.1282051282051282, 0.14102564102564102, 0.15384615384615385, 0.16666666666666666, 0.1794871794871795, 0.1923076923076923, 0.20512820512820512, 0.21794871794871795, 0.23076923076923075, 0.24358974358974358, 0.2564102564102564, 0.2692307692307692, 0.28205128205128205, 0.2948717948717949, 0.3076923076923077, 0.3205128205128205, 0.3333333333333333, 0.34615384615384615, 0.358974358974359, 0.3717948717948718, 0.3846153846153846, 0.3974358974358974, 0.41025641025641024, 0.4230769230769231, 0.4358974358974359, 0.4487179487179487, 0.4615384615384615, 0.47435897435897434, 0.48717948717948717]",20008.592846347936,19613.592846347936,849.6734955402535,846.2734955402535,"[3, 3]",0.0,-8.0,2,7.0,"[28, 76]",0.0,-8.0,"[20008.592846347936, 849.6734955402535]",10324.955393166318,19920.66634188819,10324.955393166318,"[59, 77]",0.0,-8.0,38,78,smoothed,7.6135728132765145e-06,0.12516183195856848,,0.11678047399759887,,1738909.9719403288,1738909.9719403288,17550.437779731197,17155.437779731197,0.06240535380860177,gaus7,249.09612549326948,24462516.542445168,10.408931950940156,-26.521662942451776,0.6072874493927125,CWT,0.1481617453611249,0.0,0.6693603945698501,0.7778911942132609,0.05372562442054654,0.2386363636363635,0.0250632615891212,0.06910344224233159,,0.009341393499712525,0.16237105952302255,0.16237105952302255,0.1623710595230225,,0.5499152650945441,0.0008434703701309318,0.5009261427141223,0.5546132414154182,,,,,0.3333333333333333,,0.0653283165851377,0.5,0.5,0.1991285990587522,0.1991285990587522,0.05,1.3627258891765992,0.32147555746023027,7,0.9949943966542776,0.4401268871033747,9,0.0,0.26331143597993145,0.36654964685973745,9,0,0.24774275325407488,0.3480482236952265,9,1.0,0.9,8.5,8.4,0.525,9,gaus,5.75,5.5,2.8157719063467175,8,0.71875,1.0,0.196875,1,7.0,9
,,6463.657021364415,6359.4792435866375,176150.78809697306,0.14921429230685038,,,0.0,337.1,8537.329204438636,,,inu.32000013032836,False,,-26483.492030168345,26088.492030168345,11595164155.28557,11587081073.12557,,,[],[],6463.657021364415,6068.657021364415,6463.657021364415,6460.257021364416,[3],0.0,-8.5,1,8.0,[32],0.0,-8.5,[6463.657021364415],6359.4792435866375,5526.057021364415,6359.4792435866375,[50],0.0,-8.5,38,78,smoothed,1.080202692822919e-05,,,,,0.0,0.0,26483.492030168345,26088.492030168345,0.08490019000887031,gaus3,311.2428246913891,51344847.34004493,10.213278318788737,-29.800015596154893,0.6082995951417004,CWT,0.21322951369371093,0.13839056453920606,0.45485949517348034,0.3219399875200025,0.17915011092145997,0.2500000000000003,0.051397323523992344,0.21174510389224027,,0.1945020998689992,0.0,0.0,0.0,,0.0,0.0008434703701309318,0.0,0.0,,,,,0.6666666666666666,,0.17565935685337133,0.0,0.0,0.4401261298273055,0.4401261298273055,0.0,0.5893191621700398,0.13902407497011884,10,0.8342037407611875,0.3690025761610239,10,0.0,0.12786159022758528,0.17799310755503192,10,0,0.22758901240801158,0.3197346863257095,10,0.0,1.0,10.0,10.0,0.5,10,gaus,5.75,5.5,2.8157719063467175,8,0.71875,1.0,0.196875,1,7.75,10
