signal_type,wavelet,wavelet_energy_entropy,wavelet_sparsity,wavelet_adaptive_threshold,wavelet_psnr,signal_length,decomposition_levels,original_level,padded,emd_value,kl_divergence,wavelet_entropy,avg_variance_across_levels,variance_ratio_across_levels,smoothness,correlation,dynamic_cutoff,dominant_frequency,amplitude_max,num_fft_peaks,positive_frequencies,positive_amplitudes,relative_num_peaks,avg_prominence,prominence_min,prominence_max,relative_peaks,relative_prominences,relative_left_bases,relative_right_bases,max_autocorrelation,upper_envelope,lower_envelope,spectral_magnitude,spectral_centroid,spectral_bandwidth,frequency_max,wavelet_type,htid,max_autocorrelation_diff,frequency_max_diff,relative_right_bases_array_alignment_score,relative_right_bases_global_alignment_score,relative_num_peaks_diff,relative_peaks_array_alignment_score,relative_peaks_global_alignment_score,spectral_centroid_diff,lower_envelope_diff,relative_prominences_avg_diff,relative_prominences_total_diff,relative_prominences_wasserstein,spectral_bandwidth_diff,spectral_magnitude_diff,avg_prominence_diff,num_fft_peaks_diff,amplitude_max_diff,prominence_min_diff,relative_left_bases_array_alignment_score,relative_left_bases_global_alignment_score,prominence_max_diff,upper_envelope_diff,dominant_frequency_diff,dynamic_cutoff_diff,emd_value_normalized,smoothness_normalized,wavelet_psnr_normalized,wavelet_entropy_normalized,wavelet_energy_entropy_normalized,wavelet_sparsity_normalized,correlation_normalized,avg_variance_across_levels_normalized,kl_divergence_normalized,prominence_min_diff_normalized,avg_prominence_diff_normalized,relative_prominences_avg_diff_normalized,relative_prominences_wasserstein_normalized,spectral_centroid_diff_normalized,spectral_magnitude_diff_normalized,dynamic_cutoff_diff_normalized,relative_prominences_total_diff_normalized,prominence_max_diff_normalized,amplitude_max_diff_normalized,frequency_max_diff_normalized,spectral_bandwidth_diff_normalized,num_fft_peaks_diff_normalized,relative_num_peaks_diff_normalized,dominant_frequency_diff_normalized,max_autocorrelation_diff_normalized,relative_right_bases_global_alignment_score_normalized,relative_right_bases_array_alignment_score_normalized,relative_left_bases_global_alignment_score_normalized,relative_left_bases_array_alignment_score_normalized,upper_envelope_diff_normalized,lower_envelope_diff_normalized,relative_peaks_array_alignment_score_normalized,relative_peaks_global_alignment_score_normalized,reconstruction_weighted_score,reconstruction_normalized_weighted_score,reconstruction_normalized_weighted_rank,signal_weighted_score,signal_normalized_weighted_score,signal_normalized_weighted_rank,reconstruction_missing_metrics_count,reconstruction_dynamically_weighted_score,reconstruction_normalized_dynamically_weighted_score,reconstruction_normalized_dynamically_weighted_rank,signal_missing_metrics_count,signal_dynamically_weighted_score,signal_normalized_dynamically_weighted_score,signal_normalized_dynamically_weighted_rank,rank_variability,normalized_rank_stability,average_rank,harmonic_average_rank,stability_score_weighted,stability_rank,wavelet_family,family_mean_stability_rank,family_median_stability_rank,family_rank_std_dev,family_wavelet_count,normalized_family_mean_rank,normalized_family_std_dev,final_family_stability_score,final_family_stability_rank,family_informed_rank,top_wavelet_rank
smoothed,rbio5.5,19245.09044168517,0.6515151515151515,20.73318179245482,10.173702606550938,66,1,False,False,169.80000307276697,,5.825465002573383,99620.33309971972,1.0,6.894143766018052e-05,0.9633202564139232,586.5736179665306,,,,[],[],8,309.98747581615214,30.161604976202852,919.8819665528781,"[7, 13, 22, 32, 44, 53, 58, 62]","[30.161604976202852, 581.0258039406591, 95.92010938497845, 253.56515065953477, 485.6600370664462, 60.75196464275734, 52.93316930576009, 919.8819665528781]","[1, 1, 18, 27, 27, 49, 49, 1]","[9, 27, 27, 39, 49, 55, 59, 65]",23334914.04192875,853.1561299021112,-853.1561299021112,0.0,,,,SWT,inu.32000013032927,11921240.001928749,,0.0,0.0,1.0,0.0,0.0,,254.55612990211114,109.33033295900924,1075.2998065292168,115.71225290613162,,0.0,109.33033295900924,,,6.361604976202841,0.0,-4.5,321.2819665528781,254.55612990211114,,162.7736179665306,0.7131016197388259,0.80548322786083,0.8721029627792958,0.05155296542763839,0.029123273375454152,0.45454545454545425,0.9716191810176478,0.7813198021854053,,0.17723904651399122,1.0,1.0,1.0000000000000002,,0.0,0.7746463834185132,0.9693166791021894,0.950091512997048,,,,,0.16666666666666666,,0.9027771791771095,0.26027397260273977,0.0,0.136986301369863,0.0,0.38722253201651907,0.38722253201651907,0.0,0.23943661971830987,3.0607566221158247,0.9761548783088554,3,1.9021691264484235,0.7397363586929243,7,0,0.46399330142219264,0.727214867726404,3,0,0.5848560608663189,0.7886384517446273,4,1.8929694486000912,0.9821417976547161,4.25,3.7752808988764044,0.9710237290160373,1,rbio,35.86666666666667,35.0,22.106452408634862,15,0.45638722554890215,0.9978968367989464,0.38115989107608456,3,1.5,1
smoothed,bior3.5,12217.277099006558,0.7272727272727273,18.320030078430904,9.974639168767943,66,1,False,False,168.62507643948135,,5.817270495837679,99564.59029571505,1.0,5.111774946518827e-05,0.9276528115145526,598.8222164825927,,,,[],[],9,269.47422041599873,46.72539512993819,911.0225662014278,"[7, 13, 19, 22, 32, 44, 52, 58, 62]","[46.72539512993819, 911.0225662014278, 48.291526164831225, 82.33650797027246, 260.657237214891, 538.99490609531, 62.489456933015504, 75.96812752221138, 398.78226051209106]","[1, 1, 17, 17, 27, 27, 47, 47, 47]","[9, 65, 21, 27, 39, 65, 54, 59, 65]",23236582.29782227,861.5444264694175,-861.5444264694175,0.0,,,,SWT,inu.32000013032927,11822908.25782227,,0.0,3.5,2.0,0.0,3.5,,262.9444264694175,68.81707755885583,1020.6679837439883,86.48331579680067,,0.0,68.81707755885583,,,22.92539512993818,0.0,-5.5,312.4225662014278,262.9444264694175,,175.02221648259268,0.6058388910096897,0.3288530907062584,0.83556388621086,0.008653267382649793,0.0,0.9090909090909092,0.94402162448412,0.7734185924026331,,0.6416331514383291,0.629248640405992,0.629248640405992,0.6391337616797368,,0.0,0.8882386258755777,0.9141756594284727,0.923471856530634,,,,,0.3333333333333333,,0.8179295220965578,0.35616438356164387,0.0,0.1095890410958904,0.0,0.4425033754844866,0.4425033754844866,0.0,0.3380281690140845,2.9582027499403343,0.9434477816745712,4,1.8366850103236902,0.7142701785616234,14,0,0.45028897421306746,0.705736129847826,9,0,0.5506800326608899,0.7425544119711713,10,4.112987559751022,0.9611982305683866,9.25,7.5111773472429215,0.9369670398124952,2,bior,19.533333333333335,14.0,20.780714502588577,15,0.24855289421157686,0.9380523335555722,0.5445972739852245,1,1.75,2
smoothed,bior3.9,12217.277099006558,0.7272727272727273,18.320030078430904,9.970569186156489,66,1,False,False,168.5595106317582,,5.815617587750107,99564.04884473134,1.0,5.4794561405166446e-05,0.9270898681276849,600.5309729923267,,,,[],[],10,247.79688800220305,29.845259962227487,924.4649492307102,"[4, 7, 13, 19, 22, 32, 44, 52, 58, 61]","[29.845259962227487, 34.1768306345748, 924.4649492307102, 37.522064169070404, 88.39292459376156, 258.39592405723613, 538.2060551979791, 67.5226316940076, 89.738645818382, 409.7035946640813]","[1, 1, 1, 17, 17, 27, 27, 47, 47, 47]","[5, 9, 65, 21, 27, 39, 65, 54, 59, 65]",23236510.82629241,859.3068892593798,-859.3068892593798,0.0,,,,SWT,inu.32000013032927,11822836.78629241,,0.0,2.5,3.0,0.0,2.5,,260.70688925937975,47.13974514506015,1073.3688800220302,73.82330590333191,,0.0,47.13974514506015,,,6.045259962227476,0.0,-6.5,325.8649492307102,260.70688925937975,,176.7309729923267,0.5998531832654982,0.42717614035070517,0.8348168208133746,0.0,0.0,0.9090909090909092,0.9435860490738799,0.773341844957186,,0.16836977455094132,0.4308715812088293,0.4308715812088293,0.4828307756948331,,0.0,0.9040854579436924,0.9673677553597061,0.9638619059848132,,,,,0.5,,0.817867851352164,0.32876712328767127,0.0,0.08219178082191779,0.0,0.4277574800253361,0.4277574800253361,0.0,0.3098591549295775,2.754645312526227,0.8785280216021512,6,1.859406410821676,0.7231063255871856,11,0,0.40235887235520246,0.6306154706145044,15,0,0.5609831184439441,0.7564474194371522,8,3.9157800414902435,0.9630586788538656,10.0,8.903878583473862,0.9343595281061781,3,bior,19.533333333333335,14.0,20.780714502588577,15,0.24855289421157686,0.9380523335555722,0.5445972739852245,1,2.5,3
smoothed,bior3.7,12217.277099006558,0.7272727272727273,18.320030078430904,9.972635204093821,66,1,False,False,168.60145703905323,,5.816287568408951,99565.62422842729,1.0,5.336496087575373e-05,0.9273923816372188,598.547478912544,,,,[],[],10,246.37823430642862,26.437973319212006,919.1390161210753,"[4, 7, 13, 19, 22, 32, 44, 52, 58, 61]","[26.437973319212006, 39.7273512849772, 919.1390161210753, 41.608279491622284, 85.7273750103277, 259.4832431559413, 538.8214957530975, 65.68637024536986, 83.79455317613747, 403.35668550652537]","[1, 1, 1, 17, 17, 27, 27, 47, 47, 47]","[5, 9, 65, 21, 27, 39, 65, 54, 59, 65]",23236718.77694028,860.20850219544,-860.20850219544,0.0,,,,SWT,inu.32000013032927,11823044.736940278,,0.0,2.5,3.0,0.0,2.5,,261.60850219544,45.72109144928572,1059.1823430642858,73.6943155148887,,0.0,45.72109144928572,,,2.6379733192119943,0.0,-6.5,320.5390161210753,261.60850219544,,174.74747891254395,0.6036826020388786,0.38894663987045813,0.8351960486034937,0.003507467732641878,0.0,0.9090909090909092,0.9438201178081297,0.7735651461938624,,0.07284068271159604,0.4178889714109644,0.4178889714109644,0.481238234847971,,0.0,0.8856907379169583,0.9530489925286696,0.947859185245551,,,,,0.5,,0.8180472860344258,0.32876712328767127,0.0,0.08219178082191779,0.0,0.43369932092081676,0.43369932092081676,0.0,0.3098591549295775,2.695827608742452,0.8597695263776051,9,1.8512506048383788,0.7199346064501209,12,0,0.3934844312771055,0.6167065941825107,17,0,0.5572261164172967,0.7513813588117262,9,3.774917217635375,0.9643875734185342,11.75,10.977578475336323,0.9267692584073803,4,bior,19.533333333333335,14.0,20.780714502588577,15,0.24855289421157686,0.9380523335555722,0.5445972739852245,1,3.25,4
smoothed,bior1.5,51538.991040841385,0.6515151515151515,33.65224409256834,10.684957838778084,66,1,False,False,164.66751836304155,,5.860612520362562,97870.44065373248,1.0,6.356380577879386e-05,0.9987072318047696,599.3221630739785,,,,[],[],7,303.63417722286493,25.955238286928875,870.3224942452412,"[8, 14, 23, 33, 44, 52, 61]","[25.955238286928875, 870.3224942452412, 66.43047238378506, 503.4136243223065, 220.74437397994734, 64.01526078429458, 374.55777655755116]","[0, 0, 22, 28, 40, 48, 48]","[10, 65, 28, 65, 65, 54, 65]",23012954.54508057,845.6256850579554,-845.6256850579554,0.0,,,,SWT,inu.32000013032927,11599280.505080568,,0.2857142857142857,5.5,0.0,0.8571428571428571,23.5,,247.02568505795534,102.97703436572203,720.8392405600543,102.97703436572208,,0.0,102.97703436572203,,,2.1552382869288635,0.7142857142857143,19.0,271.72249424524114,247.02568505795534,,175.52216307397845,0.24454103090767165,0.6616778945790088,0.9659463841750704,0.2355564629922987,0.16294926584987884,0.45454545454545425,0.9989997252830061,0.5332829916963522,,0.05930638282298083,0.9418586813599035,0.9418586813599035,0.8427684731855356,,0.0,0.892875079127744,0.6115523570421333,0.8011811945610954,,,,,0.0,,0.6249675132281303,0.4109589041095891,1.0,0.7808219178082193,1.0,0.3375951327783425,0.3375951327783425,1.0,0.9014084507042255,3.1355235630420126,1.0,1,1.8454176411820602,0.7176662196723533,13,0,0.638041550048119,1.0,1,0,0.5321874012535925,0.7176183615861714,16,7.88986691902975,0.9255672932167005,7.75,1.8696629213483145,0.9262270428347654,5,bior,19.533333333333335,14.0,20.780714502588577,15,0.24855289421157686,0.9380523335555722,0.5445972739852245,1,4.0,5
smoothed,bior3.3,12217.277099006558,0.7272727272727273,18.320030078430904,9.975874799592718,66,1,False,False,168.61327458624416,,5.81883934937085,99549.03142046352,1.0,4.7175030181247734e-05,0.9276220460036853,599.0166708474189,,,,[],[],9,272.4050307101042,56.14427842621194,913.4228622672524,"[7, 13, 19, 22, 32, 44, 51, 58, 62]","[56.14427842621194, 913.4228622672524, 59.635618158320426, 91.51287573768639, 261.5853148651985, 537.3569595279519, 58.55728031701085, 67.28121022990013, 406.14887686140554]","[1, 1, 18, 18, 27, 27, 47, 47, 47]","[9, 64, 21, 27, 39, 64, 54, 59, 64]",23234528.52628907,863.593931280513,-863.593931280513,0.0,,,,SWT,inu.32000013032927,11820854.486289067,,0.0,17.0,2.0,0.0,-1.0,,264.9939312805129,71.7478878529613,1047.0452763909375,87.75470501329126,,0.0,71.7478878529613,,,32.34427842621193,0.0,-5.5,314.8228622672524,264.9939312805129,,175.21667084741892,0.6047614628993561,0.2234193099697585,0.8357906923477357,0.016866494245544317,0.0,0.9090909090909092,0.9439978197813206,0.7712132146943991,,0.9057076076565174,0.6560695386655677,0.6560695386655677,0.6548305843962029,,0.0,0.8900419756487956,0.9407988021067373,0.930683976330534,,,,,0.3333333333333333,,0.8161573812243054,0.726027397260274,0.0,0.1095890410958904,0.0,0.456010093295418,0.456010093295418,0.0,0.21126760563380284,3.09219678408422,0.9861819635264492,2,1.8080826718187997,0.7031469879675173,17,0,0.4856998315893534,0.7612354266782838,2,0,0.538142487878628,0.7256483891608477,14,7.88986691902975,0.9255672932167005,8.75,3.5390334572490705,0.9215100617026899,6,bior,19.533333333333335,14.0,20.780714502588577,15,0.24855289421157686,0.9380523335555722,0.5445972739852245,1,4.75,6
smoothed,bior1.3,51538.991040841385,0.6515151515151515,33.65224409256834,10.711189076076744,66,1,False,False,164.26233814211733,,5.861903488043203,97636.12830937213,1.0,6.29110566936273e-05,0.9993332942506699,598.8487329868872,,,,[],[],8,267.3416060057952,26.233661582021114,866.5240050050546,"[8, 14, 20, 23, 33, 44, 52, 61]","[26.233661582021114, 866.5240050050546, 50.41671349860087, 66.98068984789575, 499.3764865434696, 213.05127317150686, 58.46005313459784, 357.689965263215]","[0, 0, 18, 22, 28, 40, 48, 48]","[10, 65, 22, 28, 65, 65, 54, 65]",22982025.315625004,846.636626784183,-846.636626784183,0.0,,,,SWT,inu.32000013032927,11568351.275625004,,0.0,4.5,1.0,0.0,22.5,,248.036626784183,66.6844631486523,734.1328480463612,81.43971081116759,,0.0,66.6844631486523,,,2.4336615820211023,0.0,18.0,267.9240050050546,248.036626784183,,175.04873298688716,0.2075508607198782,0.6442224789216664,0.9707612572568133,0.24231490806673553,0.16294926584987884,0.45454545454545425,0.9994841388369625,0.50007061530909,,0.06711245472526743,0.6097323195311768,0.6097323195311768,0.5768644170254728,,0.0,0.8884845372082892,0.624969867836507,0.7897679527327607,,,,,0.16666666666666666,,0.5982795633859135,0.3835616438356165,0.0,0.7534246575342466,0.0,0.3442574760651361,0.3442574760651361,0.0,0.8732394366197185,2.502499588379314,0.7981121934071663,17,1.8222609266814611,0.7086607829707555,16,0,0.4239083771535046,0.6643899243262994,13,0,0.5227373724383099,0.7048756431764701,19,2.5,0.9764150943396226,16.25,15.943992880450903,0.9115566037735849,7,bior,19.533333333333335,14.0,20.780714502588577,15,0.24855289421157686,0.9380523335555722,0.5445972739852245,1,5.5,7
smoothed,sym2,26648.136689415503,0.6666666666666666,26.366759726897694,10.37880765851487,66,1,False,False,166.58376557243508,,5.8493054675507095,96464.33106978486,1.0,6.866229067962104e-05,0.9669227114802632,597.7025319884326,,,,[],[],8,284.7770462739046,34.307722296082375,876.2317788399528,"[8, 13, 22, 34, 44, 53, 58, 62]","[36.27401804337626, 537.0200293334483, 89.7320196965079, 226.29527766531828, 442.5905202548164, 34.307722296082375, 35.765004061734544, 876.2317788399528]","[1, 1, 21, 27, 27, 49, 49, 1]","[9, 27, 27, 39, 49, 55, 59, 65]",23085171.08267877,876.2317788399528,-876.2317788399528,0.0,,,,SWT,inu.32000013032927,11671497.042678768,,0.0,0.0,1.0,0.0,4.5,,277.63177883995274,84.1199034167617,873.6163701912365,94.97996776189167,,0.0,84.1199034167617,,,10.507722296082363,0.0,-4.5,277.63177883995274,277.63177883995274,,173.9025319884326,0.4194812346413765,0.7980184505277228,0.9097510074516325,0.17636203347358953,0.05980151270410507,0.5454545454545451,0.974406567600379,0.33397535013230567,,0.2934825163844747,0.7692902992756829,0.7692902992756829,0.7440351072705771,,0.0,0.8778547870739988,0.7657534486623965,0.8189366994071705,,,,,0.16666666666666666,,0.6872811035478725,0.26027397260273977,0.0,0.136986301369863,0.0,0.5392964753516225,0.5392964753516225,0.0,0.36619718309859156,2.743093206831939,0.8748437546967924,8,1.7707168683854484,0.6886157651718705,20,0,0.42970229640772,0.6734707110772226,11,0,0.527156337748207,0.7108343160765139,17,5.477225575051661,0.9483280606127202,14.0,12.317826265953066,0.9081262944573035,8,sym,35.8421052631579,36.0,17.330971499007642,19,0.45607469271982354,0.7823291280674739,0.4460489766758813,2,6.5,8
smoothed,db2,26648.136689431827,0.6666666666666666,26.366759726869894,10.378807658514727,66,1,False,False,166.58376557243287,,5.849305467550712,96464.33106978881,1.0,6.86622906795675e-05,0.9669227114802658,597.7025319884385,,,,[],[],8,284.77704627393933,34.30772229606964,876.2317788399886,"[8, 13, 22, 34, 44, 53, 58, 62]","[36.27401804341571, 537.0200293335133, 89.73201969655179, 226.2952776653343, 442.59052025485926, 34.30772229606964, 35.76500406178195, 876.2317788399886]","[1, 1, 21, 27, 27, 49, 49, 1]","[9, 27, 27, 39, 49, 55, 59, 65]",23085171.082679007,876.2317788399886,-876.2317788399886,0.0,,,,SWT,inu.32000013032927,11671497.042679006,,0.0,0.0,1.0,0.0,4.5,,277.63177883998856,84.11990341679643,873.6163701915143,94.97996776191076,,0.0,84.11990341679643,,,10.50772229606963,0.0,-4.5,277.63177883998856,277.63177883998856,,173.9025319884385,0.4194812346411741,0.7980184505262908,0.9097510074516064,0.17636203347360346,0.059801512704172714,0.5454545454545451,0.974406567600381,0.33397535013286467,,0.2934825163841177,0.7692902992760007,0.7692902992760007,0.7440351072708127,,0.0,0.8778547870740536,0.7657534486626769,0.8189366994072782,,,,,0.16666666666666666,,0.6872811035480781,0.26027397260273977,0.0,0.136986301369863,0.0,0.5392964753518585,0.5392964753518585,0.0,0.36619718309859156,2.7430932068325116,0.8748437546969751,7,1.7707168683852077,0.6886157651717769,21,0,0.4297022964078108,0.6734707110773649,10,0,0.5271563377480798,0.7108343160763424,18,6.582805886043833,0.9378980576788317,14.0,11.559633027522937,0.9029112929903593,9,db,73.39473684210526,71.5,21.244445345477583,38,0.9339150646076267,0.9589853866158766,0.05856383878989829,4,7.75,9
smoothed,bior3.1,12217.277099006558,0.7272727272727273,18.320030078430904,9.971120255973968,66,1,False,False,168.3525289606815,,5.820932876587687,99471.59072887967,1.0,3.882021623386639e-05,0.9259781585103534,598.9901543431242,,,,[],[],9,276.97372619077066,25.27906742741908,936.4922210034634,"[7, 13, 22, 32, 44, 48, 51, 58, 62]","[71.62991693419724, 936.4922210034634, 116.67261889578026, 530.5422179242665, 253.7099130897334, 25.27906742741908, 54.765420202898326, 80.53946237714774, 423.13269786202994]","[1, 1, 21, 27, 39, 47, 47, 47, 47]","[9, 64, 27, 64, 64, 49, 54, 59, 64]",23224306.354999997,866.4179389878766,-866.4179389878766,0.0,,,,SWT,inu.32000013032927,11810632.314999996,,0.0,21.5,2.0,0.0,-1.0,,267.8179389878766,76.31658333362776,1088.1635357169357,86.7441315718455,,0.0,76.31658333362776,,,1.4790674274190678,0.0,-5.5,337.8922210034634,267.8179389878766,,175.19015434312422,0.5809571788617861,0.0,0.8349179723984156,0.027826481020581134,0.0,0.9090909090909092,0.9427258677769091,0.7602364588448776,,0.04034877963171131,0.6978793128813834,0.6978793128813834,0.6423538448214179,,0.0,0.889796064316082,0.9823003049095489,1.0,,,,,0.3333333333333333,,0.8073369612059784,0.8493150684931507,0.0,0.1095890410958904,0.0,0.47462096700147655,0.47462096700147655,0.0,0.21126760563380284,2.9245806925001614,0.9327248332533022,5,1.7339724718929541,0.6743262019118058,23,0,0.4561467535114797,0.7149170041936589,8,0,0.5069693584991848,0.6836135533528312,25,10.21028892833107,0.9036765195440465,15.25,9.792442788717402,0.8799042975078724,11,bior,19.533333333333335,14.0,20.780714502588577,15,0.24855289421157686,0.9380523335555722,0.5445972739852245,1,8.5,10
