wavelet,wavelet_level,wavelet_mode,wavelet_mse,wavelet_psnr,wavelet_energy_entropy,wavelet_sparsity,wavelet_adaptive_threshold,signal_length,signal_type,emd_value,kl_divergence,change_point_indices,change_point_prominences,num_change_points,wavelet_entropy,avg_variance_across_levels,variance_ratio_across_levels,smoothness,correlation,fft_frequency_max,fft_amplitude_max,fft_spectral_centroid,fft_spectral_bandwidth,fft_spectral_magnitude,fft_variance_magnitude,fft_num_peaks,fft_peak_amplitude,fft_dominant_frequency,fft_positive_frequencies,fft_positive_amplitudes,fft_snr_threshold,fft_stationarity_threshold,fft_dynamic_cutoff,fft_dynamic_cutoff_percentile,stft_frequency_max,stft_amplitude_max,stft_spectral_centroid,stft_spectral_bandwidth,stft_spectral_magnitude,stft_variance_magnitude,stft_peak_freq_over_time,stft_num_peaks,stft_peak_amplitude,stft_dominant_frequency,stft_positive_frequencies,stft_positive_amplitudes,stft_snr_threshold,stft_stationarity_threshold,stft_window,stft_nperseg,stft_noverlap,stft_dynamic_cutoff,stft_dynamic_cutoff_percentile,relative_num_peaks,avg_prominence,prominence_min,prominence_max,relative_peaks,relative_prominences,relative_left_bases,relative_right_bases,prominence_threshold,distance_factor,max_autocorrelation,upper_envelope,lower_envelope,wavelet_type,htid,stft_amplitude_max_diff,stft_frequency_max_diff,avg_prominence_diff,fft_variance_magnitude_diff,stft_noverlap_diff,prominence_max_diff,stft_spectral_magnitude_diff,upper_envelope_diff,relative_peaks_array_alignment_score,relative_peaks_global_alignment_score,stft_num_peaks_diff,fft_peak_amplitude_diff,relative_left_bases_array_alignment_score,relative_left_bases_global_alignment_score,stft_window_diff,stft_nperseg_diff,prominence_threshold_diff,relative_right_bases_array_alignment_score,relative_right_bases_global_alignment_score,stft_dominant_frequency_diff,relative_num_peaks_diff,stft_variance_magnitude_diff,fft_amplitude_max_diff,fft_dominant_frequency_diff,relative_prominences_avg_diff,relative_prominences_total_diff,relative_prominences_wasserstein,fft_snr_threshold_diff,stft_stationarity_threshold_diff,stft_dynamic_cutoff_percentile_diff,lower_envelope_diff,fft_stationarity_threshold_diff,stft_dynamic_cutoff_diff,fft_frequency_max_diff,fft_num_peaks_diff,fft_dynamic_cutoff_percentile_diff,fft_dynamic_cutoff_diff,prominence_min_diff,fft_spectral_centroid_diff,stft_peak_amplitude_diff,fft_spectral_bandwidth_diff,stft_spectral_bandwidth_diff,fft_spectral_magnitude_diff,distance_factor_diff,stft_snr_threshold_diff,stft_spectral_centroid_diff,wavelet_psnr_normalized,wavelet_entropy_normalized,wavelet_energy_entropy_normalized,wavelet_sparsity_normalized,avg_variance_across_levels_normalized,reconstruction_signal_weighted_score,reconstruction_signal_normalized_weighted_score,reconstruction_signal_normalized_weighted_rank,wavelet_signal_weighted_score,wavelet_signal_normalized_weighted_score,wavelet_signal_normalized_weighted_rank,wavelet_signal_num_missing_metrics,wavelet_signal_missing_metrics_count,wavelet_signal_dynamically_weighted_score,wavelet_signal_normalized_dynamically_weighted_score,wavelet_signal_normalized_dynamically_weighted_rank,rank_variability,normalized_rank_stability,average_rank,harmonic_average_rank,stability_score_weighted,stability_rank,wavelet_family,normalized_family_mean_rank,normalized_family_std_dev,final_family_stability_score,final_family_stability_rank,family_informed_rank,kl_divergence_normalized,across_smoothness_normalized,across_wavelet_psnr_normalized,across_wavelet_entropy_normalized,across_wavelet_energy_entropy_normalized,across_wavelet_sparsity_normalized,across_avg_variance_across_levels_normalized,across_prominence_min_diff_normalized,across_avg_prominence_diff_normalized,across_relative_prominences_avg_diff_normalized,across_relative_prominences_wasserstein_normalized,across_relative_prominences_total_diff_normalized,across_prominence_max_diff_normalized,across_relative_num_peaks_diff_normalized,across_relative_right_bases_global_alignment_score_normalized,across_relative_right_bases_array_alignment_score_normalized,across_relative_left_bases_global_alignment_score_normalized,across_relative_left_bases_array_alignment_score_normalized,across_upper_envelope_diff_normalized,across_lower_envelope_diff_normalized,across_relative_peaks_array_alignment_score_normalized,across_relative_peaks_global_alignment_score_normalized,across_reconstruction_signal_weighted_score,across_reconstruction_signal_normalized_weighted_score,across_reconstruction_signal_normalized_weighted_rank,across_wavelet_signal_weighted_score,across_wavelet_signal_normalized_weighted_score,across_wavelet_signal_normalized_weighted_rank,across_rank_variability,across_normalized_rank_stability,across_average_rank,across_harmonic_average_rank,across_stability_score_weighted,across_stability_rank,family_mean_stability_rank,family_median_stability_rank,family_rank_std_dev,family_wavelet_count,across_normalized_family_mean_rank,across_normalized_family_std_dev,across_final_family_stability_score,across_final_family_stability_rank,across_family_informed_rank,across_top_wavelet_rank
db17,1,antisymmetric,9.669491547985715e-29,334.26665683303264,48387.354709404266,0.66,21.145722236934084,68,smoothed,5.557645846800045e-15,,"[7, 9, 12, 14, 18, 22, 24, 26, 28, 32, 36, 39, 44, 46, 50, 52, 54, 57, 59, 61]","[249.13333333333335, 16.73333333333334, 24.39999999999997, 8.399999999999974, 11.800000000000063, 5.400000000000032, 22.266666666666644, 0.8666666666666227, 3.933333333333392, 13.133333333333322, 1.8000000000000127, 19.399999999999977, 7.733333333333347, 16.466666666666693, 1.3333333333333144, 18.20000000000004, 2.8666666666666885, 1.8666666666667613, 3.533333333333264, 258.73333333333335]",20,4.360667446642741,2097.9451766338434,0.527091594141086,8.126032142884034e-05,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,25.89473684210527,0.8666666666666227,249.4666666666667,"[7, 9, 12, 14, 18, 23, 25, 27, 31, 36, 39, 43, 45, 47, 50, 53, 55, 57, 60]","[249.4666666666667, 16.73333333333334, 24.39999999999997, 8.399999999999974, 11.800000000000063, 6.666666666666685, 0.8666666666666227, 3.933333333333392, 21.599999999999966, 4.199999999999991, 43.266666666666644, 4.866666666666619, 7.733333333333347, 34.666666666666686, 10.199999999999989, 2.8666666666666885, 1.8666666666666565, 13.466666666666681, 25.000000000000064]","[2, 8, 10, 13, 15, 22, 24, 24, 24, 24, 24, 42, 44, 46, 48, 52, 52, 52, 52]","[61, 10, 61, 24, 24, 24, 26, 28, 32, 37, 61, 46, 46, 61, 52, 54, 56, 59, 61]",0.05,30,134959.68,258.73333333333335,-258.73333333333335,DWT,inu.32000013032828,,,26.386744639376207,,,132.33333333333331,,123.06666666666666,0.0,-14.5,,,0.0,-14.5,,,0.0,0.0,-14.5,,10.0,,,,26.386744639376207,21.46666666666681,31.636647173489287,,,,123.06666666666666,,,,,,,0.5333333333332799,,,,,,0.0,,,0.8418991778587269,0.986454008179275,0.18142460750433076,0.6338308457711446,0.27586370609242084,0,,323,1.452956635302465,0.7682789809359479,58,0,0,0.5838944690811797,0.7453912203428487,66,150.74150058958548,0.7572600634628253,149.0,84.53354603463993,0.7586622378505753,140,db,0.431746159969438,0.6097651780932405,0.5148481345934213,2,105.5,,0.9999999999964362,0.8584670808827748,0.5920531411519785,0.00010635142064175599,0.6355555555555559,0.0002501136913971493,0.9999999999636557,0.9999999999989992,0.9999999999989992,0.9999999999988516,0.9999999998099196,0.9999999999967382,1.0,0.0,0.0,0.0,0.0,0.9999999999962665,0.9999999999962665,0.0,0.0,2.999999999889987,0.9999999999705492,101,1.365482262513687,0.9519185865656354,11,63.63961030678928,0.9487603781748879,56.0,19.839285714285715,0.9518359056735953,1,475.921568627451,490.5,340.13340737416195,306,0.610060806786273,0.7931613419456944,0.3350090326659006,2,1.25,1
db17,1,periodization,5.37777957669522e-29,336.8146632394803,36740.70212276265,0.7205882352941176,20.117550979709293,68,smoothed,4.728060333753245e-15,,"[7, 9, 12, 14, 18, 22, 24, 26, 28, 32, 36, 39, 44, 46, 50, 52, 54, 57, 59, 61]","[249.13333333333333, 16.73333333333333, 24.399999999999974, 8.399999999999979, 11.800000000000066, 5.400000000000032, 22.266666666666644, 0.866666666666621, 3.933333333333394, 13.133333333333326, 1.8000000000000127, 19.399999999999967, 7.733333333333348, 16.466666666666697, 1.3333333333333157, 18.20000000000004, 2.866666666666692, 1.8666666666667466, 3.5333333333332897, 258.73333333333335]",20,3.6733016029213545,1983.5800692041528,0.5786627167616523,8.126032142884034e-05,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,25.89473684210527,0.866666666666621,249.46666666666667,"[7, 9, 12, 14, 18, 23, 25, 27, 31, 36, 39, 43, 45, 47, 50, 53, 55, 57, 60]","[249.46666666666667, 16.73333333333333, 24.399999999999974, 8.399999999999979, 11.800000000000066, 6.666666666666683, 0.866666666666621, 3.933333333333394, 21.59999999999997, 4.199999999999991, 43.26666666666664, 4.866666666666619, 7.733333333333348, 34.666666666666686, 10.199999999999989, 2.866666666666692, 1.8666666666666538, 13.46666666666668, 25.000000000000043]","[5, 8, 10, 13, 15, 22, 24, 24, 24, 24, 24, 42, 44, 46, 48, 52, 52, 52, 52]","[61, 10, 61, 24, 24, 24, 26, 28, 32, 37, 61, 46, 46, 61, 52, 54, 56, 59, 61]",0.05,30,134959.68,258.73333333333335,-258.73333333333335,DWT,inu.32000013032828,,,26.386744639376207,,,132.33333333333334,,123.06666666666666,0.0,-14.5,,,0.0,-14.5,,,0.0,0.0,-14.5,,10.0,,,,26.386744639376207,21.466666666666868,31.636647173489287,,,,123.06666666666666,,,,,,,0.5333333333332781,,,,,,0.0,,,0.8659282042122605,0.6482368493301554,0.0008917929362149413,0.9473222124670766,0.23373447380757315,0,,321,1.3165439181704013,0.6961481129124102,115,0,0,0.5392227065506561,0.6883638954567424,101,123.17467272130257,0.8016510906259218,179.0,138.17303059875726,0.7567031620601429,141,db,0.431746159969438,0.6097651780932405,0.5148481345934213,2,106.25,,0.9999999999964362,0.8799780268557275,0.38906087833203,5.227705711452826e-07,0.9475703324808187,0.00021191693854499642,0.9999999999636524,0.9999999999989992,0.9999999999989992,0.9999999999988516,0.9999999998099223,0.9999999999967384,1.0,0.0,0.0,0.0,0.0,0.9999999999962665,0.9999999999962665,0.0,0.0,2.9999999998899876,0.9999999999705493,100,1.4016304164314135,0.9771185474358516,5,67.17514421272202,0.9459137325179372,52.5,9.523809523809524,0.9518216005584855,2,475.921568627451,490.5,340.13340737416195,306,0.610060806786273,0.7931613419456944,0.3350090326659006,2,2.0,2
db17,1,periodic,5.718824655664374e-29,336.5476254053945,47453.72158369618,0.69,21.145722236934084,68,smoothed,4.716815173738348e-15,,"[7, 9, 12, 14, 18, 22, 24, 26, 28, 32, 36, 39, 44, 46, 50, 52, 54, 57, 59, 61]","[249.13333333333333, 16.733333333333327, 24.39999999999997, 8.399999999999979, 11.800000000000068, 5.400000000000031, 22.266666666666648, 0.8666666666666245, 3.933333333333392, 13.133333333333322, 1.8000000000000127, 19.399999999999977, 7.733333333333347, 16.4666666666667, 1.3333333333333153, 18.20000000000004, 2.866666666666692, 1.8666666666667435, 3.533333333333278, 258.73333333333335]",20,4.331085322755294,2036.6824129993756,0.5866654656314526,8.126032142884034e-05,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,25.894736842105267,0.8666666666666245,249.46666666666667,"[7, 9, 12, 14, 18, 23, 25, 27, 31, 36, 39, 43, 45, 47, 50, 53, 55, 57, 60]","[249.46666666666667, 16.733333333333327, 24.39999999999997, 8.399999999999979, 11.800000000000068, 6.666666666666683, 0.8666666666666245, 3.933333333333392, 21.599999999999966, 4.199999999999991, 43.26666666666665, 4.866666666666619, 7.733333333333347, 34.66666666666669, 10.199999999999989, 2.866666666666692, 1.8666666666666512, 13.466666666666677, 25.00000000000005]","[2, 8, 10, 13, 15, 22, 24, 24, 24, 24, 24, 42, 44, 46, 48, 52, 52, 52, 52]","[61, 10, 61, 24, 24, 24, 26, 28, 32, 37, 61, 46, 46, 61, 52, 54, 56, 59, 61]",0.05,30,134959.68,258.73333333333335,-258.73333333333335,DWT,inu.32000013032828,,,26.38674463937621,,,132.33333333333334,,123.06666666666666,0.0,-14.5,,,0.0,-14.5,,,0.0,0.0,-14.5,,10.0,,,,26.38674463937621,21.466666666666754,31.636647173489287,,,,123.06666666666666,,,,,,,0.5333333333332817,,,,,,0.0,,,0.8634098984747236,0.9718981759607769,0.16695251651473325,0.7890547263681591,0.25329604312620596,0,,319,1.5044115931203352,0.7954867871401476,40,0,0,0.6089222720889198,0.7773413510844469,47,159.09850198331011,0.7438027343263927,135.33333333333334,60.71474369790436,0.7629373306629279,133,db,0.431746159969438,0.6097651780932405,0.5148481345934213,2,100.25,,0.9999999999964362,0.8777236226253385,0.5833169749287309,9.786785571871352e-05,0.7900483091787438,0.00022965256742169026,0.9999999999636591,0.9999999999989995,0.9999999999989995,0.9999999999988516,0.9999999998099169,0.9999999999967384,1.0,0.0,0.0,0.0,0.0,0.9999999999962665,0.9999999999962665,0.0,0.0,2.9999999998899867,0.999999999970549,103,1.434452779664825,1.0,1,72.12489168102785,0.9419284285982062,52.0,1.9807692307692308,0.9500302368433866,3,475.921568627451,490.5,340.13340737416195,306,0.610060806786273,0.7931613419456944,0.3350090326659006,2,2.75,3
db17,1,reflect,1.1566237989215648e-28,333.4887719723946,49405.10139667548,0.68,21.6853183144832,68,smoothed,5.1984560447154346e-15,,"[7, 9, 12, 14, 18, 22, 24, 26, 28, 32, 36, 39, 44, 46, 50, 52, 54, 57, 59, 61]","[249.1333333333333, 16.733333333333324, 24.399999999999977, 8.399999999999977, 11.800000000000068, 5.400000000000031, 22.266666666666648, 0.8666666666666227, 3.933333333333392, 13.133333333333322, 1.8000000000000127, 19.399999999999977, 7.733333333333347, 16.466666666666697, 1.3333333333333135, 18.20000000000004, 2.8666666666666885, 1.8666666666667648, 3.5333333333332533, 258.73333333333335]",20,4.388197250655581,2151.340110573919,0.5888507188054252,8.126032142884034e-05,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,25.894736842105267,0.8666666666666227,249.46666666666664,"[7, 9, 12, 14, 18, 23, 25, 27, 31, 36, 39, 43, 45, 47, 50, 53, 55, 57, 60]","[249.46666666666664, 16.733333333333324, 24.399999999999977, 8.399999999999977, 11.800000000000068, 6.666666666666683, 0.8666666666666227, 3.933333333333392, 21.599999999999966, 4.199999999999991, 43.26666666666665, 4.866666666666619, 7.733333333333347, 34.666666666666686, 10.199999999999989, 2.8666666666666885, 1.8666666666666565, 13.466666666666685, 25.000000000000078]","[2, 8, 10, 13, 15, 22, 24, 24, 24, 24, 24, 42, 44, 46, 48, 52, 52, 52, 52]","[61, 10, 61, 24, 24, 24, 26, 28, 32, 37, 61, 46, 46, 61, 52, 54, 56, 59, 61]",0.05,30,134959.67999999996,258.73333333333335,-258.73333333333335,DWT,inu.32000013032828,,,26.38674463937621,,,132.33333333333337,,123.06666666666666,0.0,-14.5,,,0.0,-14.5,,,0.0,0.0,-14.5,,10.0,,,,26.38674463937621,21.466666666666754,31.636647173489287,,,,123.06666666666666,,,,,,,0.5333333333332799,,,,,,0.0,,,0.8345633188243905,1.0000000000000002,0.19720052874896288,0.7373134328358213,0.29553305826942533,0,,322,1.5124768521112146,0.799751449145843,38,0,0,0.6129220677357201,0.7824474322620646,44,162.26316073999465,0.7387066654750489,134.66666666666666,57.52785297050862,0.7609260648899667,137,db,0.431746159969438,0.6097651780932405,0.5148481345934213,2,103.25,,0.9999999999964362,0.8518999705458383,0.6001832181155077,0.00011559929312927875,0.7385507246376815,0.00026794704232999383,0.9999999999636557,0.9999999999989995,0.9999999999989995,0.9999999999988516,0.9999999998099169,0.9999999999967386,1.0,0.0,0.0,0.0,0.0,0.9999999999962665,0.9999999999962665,0.0,0.0,2.9999999998899862,0.9999999999705489,104,1.406816859702757,0.9807341723939318,4,70.71067811865476,0.9430670868609865,54.0,7.703703703703703,0.9497944129957107,4,475.921568627451,490.5,340.13340737416195,306,0.610060806786273,0.7931613419456944,0.3350090326659006,2,3.5,4
rbio3.5,1,periodization,6.193560160999639e-29,336.20128960968685,70328.28271324014,0.7058823529411765,12.871033292316753,68,smoothed,3.019035678992497e-15,,"[7, 9, 12, 14, 18, 22, 24, 26, 28, 32, 36, 39, 44, 46, 50, 52, 54, 57, 59, 61]","[249.13333333333333, 16.73333333333333, 24.39999999999997, 8.39999999999998, 11.800000000000065, 5.400000000000036, 22.266666666666644, 0.866666666666621, 3.933333333333394, 13.133333333333326, 1.80000000000001, 19.39999999999998, 7.733333333333348, 16.466666666666697, 1.3333333333333144, 18.200000000000042, 2.866666666666678, 1.8666666666667457, 3.533333333333302, 258.7333333333333]",20,2.505749714687935,2590.424103662887,0.7441206367234688,8.126032142884035e-05,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,25.894736842105267,0.866666666666621,249.46666666666667,"[7, 9, 12, 14, 18, 23, 25, 27, 31, 36, 39, 43, 45, 47, 50, 53, 55, 57, 60]","[249.46666666666667, 16.73333333333333, 24.39999999999997, 8.39999999999998, 11.800000000000065, 6.666666666666683, 0.866666666666621, 3.933333333333394, 21.599999999999966, 4.199999999999988, 43.26666666666665, 4.8666666666666165, 7.733333333333348, 34.666666666666686, 10.199999999999987, 2.866666666666678, 1.8666666666666725, 13.46666666666668, 25.000000000000032]","[4, 8, 10, 13, 15, 22, 24, 24, 24, 24, 24, 42, 44, 46, 48, 52, 52, 52, 52]","[61, 10, 61, 24, 24, 24, 26, 28, 32, 37, 61, 46, 46, 61, 52, 54, 56, 59, 61]",0.05,30,134959.67999999996,258.7333333333333,-258.7333333333333,DWT,inu.32000013032828,,,26.38674463937621,,,132.33333333333334,,123.06666666666672,0.0,-14.5,,,0.0,-14.5,,,0.0,0.0,-14.5,,10.0,,,,26.38674463937621,21.466666666666754,31.636647173489287,,,,123.06666666666672,,,,,,,0.5333333333332781,,,,,,0.0,,,0.8601437716937341,0.073744988766753,0.5215272642378289,0.8712320749195204,0.4572805698413087,0,,384,1.345127447422863,0.7112622079872867,99,0,0,0.5567857338918291,0.7107846017246958,86,168.42307838693998,0.7287873133865701,189.66666666666666,123.28893581718079,0.7116829749970961,209,rbio,0.5868146749444493,0.5732947119448152,0.41724131395544095,4,157.75,,0.9999999999964364,0.874799763968188,0.04426050467792181,0.00030572018987985033,0.8718385905086676,0.00041459651560283315,0.9999999999636524,0.9999999999989995,0.9999999999989995,0.9999999999988516,0.9999999998099169,0.9999999999967384,1.0,0.0,0.0,0.0,0.0,0.999999999996267,0.999999999996267,0.0,0.0,2.999999999889985,0.9999999999705484,122,1.1960642456234527,0.833812212279951,94,19.79898987322333,0.9840587843210762,108.0,106.18518518518519,0.9485511312909729,5,648.1407407407407,717.5,428.83255825326137,270,0.8308202218018619,1.0,0.11842584473869668,5,5.0,5
db17,1,symmetric,4.3971744906280775e-29,337.68895621600825,48383.69009789306,0.66,21.145722236934084,68,smoothed,3.931495651907905e-15,,"[7, 9, 12, 14, 18, 22, 24, 26, 28, 32, 36, 39, 44, 46, 50, 52, 54, 57, 59, 61]","[249.13333333333333, 16.73333333333332, 24.399999999999977, 8.399999999999979, 11.800000000000068, 5.4000000000000306, 22.266666666666644, 0.8666666666666227, 3.933333333333392, 13.133333333333322, 1.8000000000000127, 19.399999999999977, 7.733333333333345, 16.466666666666697, 1.3333333333333144, 18.20000000000004, 2.866666666666694, 1.8666666666667577, 3.5333333333332817, 258.73333333333335]",20,4.360997726373145,2093.3867737226888,0.5211709256279188,8.126032142884034e-05,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,25.894736842105267,0.8666666666666227,249.46666666666667,"[7, 9, 12, 14, 18, 23, 25, 27, 31, 36, 39, 43, 45, 47, 50, 53, 55, 57, 60]","[249.46666666666667, 16.73333333333332, 24.399999999999977, 8.399999999999979, 11.800000000000068, 6.666666666666684, 0.8666666666666227, 3.933333333333392, 21.599999999999966, 4.199999999999991, 43.266666666666644, 4.866666666666619, 7.733333333333345, 34.66666666666669, 10.19999999999999, 2.866666666666694, 1.8666666666666583, 13.466666666666681, 25.000000000000053]","[4, 8, 10, 13, 15, 22, 24, 24, 24, 24, 24, 42, 44, 46, 48, 52, 52, 52, 52]","[61, 10, 61, 24, 24, 24, 26, 28, 32, 37, 61, 46, 46, 61, 52, 54, 56, 59, 61]",0.05,30,134959.68,258.73333333333335,-258.73333333333335,DWT,inu.32000013032828,,,26.38674463937621,,,132.33333333333334,,123.06666666666666,0.0,-14.5,,,0.0,-14.5,,,0.0,0.0,-14.5,,10.0,,,,26.38674463937621,21.466666666666754,31.636647173489287,,,,123.06666666666666,,,,,,,0.5333333333332799,,,,,,0.0,,,0.8741732419486407,0.9866165217418313,0.18136780297397362,0.6338308457711446,0.2741845049846002,0,,318,1.4717022478293849,0.7781910868717208,52,0,0,0.5900345834840381,0.7532296014376266,64,150.23093334374693,0.7580822329408262,144.66666666666666,78.94648895961807,0.7625623188321953,134,db,0.431746159969438,0.6097651780932405,0.5148481345934213,2,101.0,,0.9999999999964362,0.8873590400804331,0.5921506790649409,0.00010631812172720665,0.6355555555555559,0.00024859123237698944,0.9999999999636557,0.9999999999989995,0.9999999999989995,0.9999999999988516,0.9999999998099169,0.9999999999967384,1.0,0.0,0.0,0.0,0.0,0.9999999999962665,0.9999999999962665,0.0,0.0,2.999999999889986,0.9999999999705488,118,1.3828655813556978,0.9640370188266629,8,77.78174593052023,0.9373737955470851,63.0,14.984126984126984,0.9433245789329628,6,475.921568627451,490.5,340.13340737416195,306,0.610060806786273,0.7931613419456944,0.3350090326659006,2,5.0,6
db9,1,periodic,3.809226597205542e-29,338.31232513380803,53250.80310698484,0.6071428571428571,13.584507649528827,68,smoothed,3.0727054887419765e-15,,"[7, 9, 12, 14, 18, 22, 24, 26, 28, 32, 36, 39, 44, 46, 50, 52, 54, 57, 59, 61]","[249.1333333333333, 16.733333333333324, 24.399999999999974, 8.399999999999984, 11.800000000000066, 5.400000000000034, 22.26666666666665, 0.8666666666666227, 3.9333333333333913, 13.133333333333326, 1.8000000000000114, 19.399999999999974, 7.733333333333354, 16.4666666666667, 1.3333333333333148, 18.200000000000045, 2.866666666666667, 1.8666666666667258, 3.533333333333289, 258.73333333333335]",20,3.7448091294584387,2349.998825099461,0.6038504939393532,8.126032142884035e-05,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,25.894736842105264,0.8666666666666227,249.46666666666664,"[7, 9, 12, 14, 18, 23, 25, 27, 31, 36, 39, 43, 45, 47, 50, 53, 55, 57, 60]","[249.46666666666664, 16.733333333333324, 24.399999999999974, 8.399999999999984, 11.800000000000066, 6.666666666666684, 0.8666666666666227, 3.9333333333333913, 21.599999999999966, 4.19999999999999, 43.26666666666665, 4.866666666666617, 7.733333333333354, 34.66666666666669, 10.199999999999989, 2.866666666666667, 1.8666666666666754, 13.46666666666666, 25.00000000000003]","[3, 8, 10, 13, 15, 22, 24, 24, 24, 24, 24, 42, 44, 46, 48, 52, 52, 52, 52]","[61, 10, 61, 24, 24, 24, 26, 28, 32, 37, 61, 46, 46, 61, 52, 54, 56, 59, 61]",0.05,30,134959.67999999996,258.73333333333335,-258.73333333333335,DWT,inu.32000013032828,,,26.386744639376214,,,132.33333333333337,,123.06666666666666,0.0,-14.5,,,0.0,-14.5,,,0.0,0.0,-14.5,,10.0,,,,26.386744639376214,21.466666666666697,31.636647173489294,,,,123.06666666666666,,,,,,,0.5333333333332799,,,,,,0.0,,,0.8800519352344506,0.683422002451473,0.25681210800632637,0.36034115138592737,0.3687139376281152,0,,256,1.289770251975187,0.681991018006342,140,0,0,0.5098682269412586,0.6508903920460841,160,62.01075175591192,0.9001437169792079,185.33333333333334,173.41935483870967,0.8008501730360345,101,db,0.431746159969438,0.6097651780932405,0.5148481345934213,2,76.25,,0.9999999999964364,0.8926216858406939,0.4101784167622693,0.00015054370462851737,0.3633540372670805,0.00033429698062147507,0.9999999999636557,0.9999999999989995,0.9999999999989995,0.9999999999988518,0.9999999998099143,0.9999999999967386,1.0,0.0,0.0,0.0,0.0,0.9999999999962665,0.9999999999962665,0.0,0.0,2.9999999998899844,0.9999999999705483,140,1.186212825435877,0.8269444921798319,120,14.142135623730951,0.9886134173721973,130.0,129.23076923076923,0.9419717650468071,7,475.921568627451,490.5,340.13340737416195,306,0.610060806786273,0.7931613419456944,0.3350090326659006,2,5.75,7
rbio2.8,1,antireflect,2.282564811931435e-29,340.5364620354019,92836.92977716448,0.6785714285714286,14.385487422887365,68,smoothed,2.1472898290177935e-15,,"[7, 9, 12, 14, 18, 22, 24, 26, 28, 32, 36, 39, 44, 46, 50, 52, 54, 57, 59, 61]","[249.13333333333335, 16.73333333333335, 24.399999999999988, 8.399999999999975, 11.800000000000075, 5.400000000000034, 22.26666666666666, 0.8666666666666192, 3.9333333333333957, 13.133333333333324, 1.8000000000000123, 19.39999999999998, 7.733333333333352, 16.4666666666667, 1.333333333333314, 18.200000000000045, 2.866666666666678, 1.866666666666732, 3.5333333333333066, 258.73333333333335]",20,3.3653569673833417,3719.0506074282753,0.7681803970005315,8.126032142884034e-05,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,25.89473684210527,0.8666666666666192,249.4666666666667,"[7, 9, 12, 14, 18, 23, 25, 27, 31, 36, 39, 43, 45, 47, 50, 53, 55, 57, 60]","[249.4666666666667, 16.73333333333335, 24.399999999999988, 8.399999999999975, 11.800000000000075, 6.666666666666687, 0.8666666666666192, 3.9333333333333957, 21.599999999999966, 4.1999999999999895, 43.26666666666666, 4.866666666666619, 7.733333333333352, 34.66666666666669, 10.19999999999999, 2.866666666666678, 1.8666666666666758, 13.466666666666672, 25.00000000000003]","[6, 8, 10, 13, 15, 22, 24, 24, 24, 24, 24, 42, 44, 46, 48, 52, 52, 52, 52]","[61, 10, 61, 24, 24, 24, 26, 28, 32, 37, 61, 46, 46, 61, 52, 54, 56, 59, 61]",0.05,30,134959.68000000002,258.73333333333335,-258.73333333333335,DWT,inu.32000013032828,,,26.386744639376207,,,132.33333333333331,,123.06666666666666,0.0,-14.5,,,0.0,-14.5,,,0.0,0.0,-14.5,,10.0,,,,26.386744639376207,21.46666666666681,31.636647173489287,,,,123.06666666666666,,,,,,,0.5333333333332764,,,,,,0.0,,,0.9010267036208357,0.49671323106216514,0.8704300392060969,0.7299218194740587,0.8730382183810891,0,,369,1.8653716724486915,0.9863514249186995,4,0,0,0.7742260023488492,0.9883656983771474,4,210.7328482542134,0.6606556388821041,125.66666666666667,5.967654986522911,0.7291469284050885,181,rbio,0.5868146749444493,0.5732947119448152,0.41724131395544095,4,136.75,,0.9999999999964362,0.9113984395433415,0.29811894549944196,0.0005102476037415014,0.7311939268461011,0.0007915459942995538,0.9999999999636491,0.9999999999989992,0.9999999999989992,0.9999999999988516,0.9999999998099196,0.9999999999967382,1.0,0.0,0.0,0.0,0.0,0.9999999999962665,0.9999999999962665,0.0,0.0,2.999999999889985,0.9999999999705484,127,1.2889478494126878,0.8985641546972805,39,62.22539674441618,0.9498990364376682,83.0,59.674698795180724,0.9415356695875942,8,648.1407407407407,717.5,428.83255825326137,270,0.8308202218018619,1.0,0.11842584473869668,5,7.25,8
