wavelet,wavelet_level,wavelet_mode,wavelet_mse,wavelet_psnr,wavelet_energy_entropy,wavelet_sparsity,wavelet_adaptive_threshold,signal_length,signal_type,emd_value,kl_divergence,wavelet_entropy,avg_variance_across_levels,variance_ratio_across_levels,smoothness,correlation,dynamic_cutoff,dominant_frequency,amplitude_max,num_fft_peaks,positive_frequencies,positive_amplitudes,relative_num_peaks,avg_prominence,prominence_min,prominence_max,relative_peaks,relative_prominences,relative_left_bases,relative_right_bases,max_autocorrelation,upper_envelope,lower_envelope,spectral_magnitude,spectral_centroid,spectral_bandwidth,frequency_max,wavelet_type,htid,max_autocorrelation_diff,frequency_max_diff,relative_right_bases_array_alignment_score,relative_right_bases_global_alignment_score,relative_num_peaks_diff,relative_peaks_array_alignment_score,relative_peaks_global_alignment_score,spectral_centroid_diff,lower_envelope_diff,relative_prominences_avg_diff,relative_prominences_total_diff,relative_prominences_wasserstein,spectral_bandwidth_diff,spectral_magnitude_diff,avg_prominence_diff,num_fft_peaks_diff,amplitude_max_diff,prominence_min_diff,relative_left_bases_array_alignment_score,relative_left_bases_global_alignment_score,prominence_max_diff,upper_envelope_diff,dominant_frequency_diff,dynamic_cutoff_diff,emd_value_normalized,wavelet_mse_normalized,wavelet_psnr_normalized,wavelet_entropy_normalized,wavelet_energy_entropy_normalized,wavelet_sparsity_normalized,avg_variance_across_levels_normalized,prominence_min_diff_normalized,avg_prominence_diff_normalized,relative_prominences_avg_diff_normalized,relative_prominences_wasserstein_normalized,spectral_centroid_diff_normalized,dynamic_cutoff_diff_normalized,relative_prominences_total_diff_normalized,prominence_max_diff_normalized,amplitude_max_diff_normalized,frequency_max_diff_normalized,spectral_bandwidth_diff_normalized,num_fft_peaks_diff_normalized,relative_num_peaks_diff_normalized,dominant_frequency_diff_normalized,max_autocorrelation_diff_normalized,relative_right_bases_global_alignment_score_normalized,relative_left_bases_global_alignment_score_normalized,upper_envelope_diff_normalized,lower_envelope_diff_normalized,relative_peaks_global_alignment_score_normalized,reconstruction_weighted_score,reconstruction_normalized_weighted_score,reconstruction_normalized_weighted_rank,signal_weighted_score,signal_normalized_weighted_score,signal_normalized_weighted_rank,reconstruction_missing_metrics_count,reconstruction_dynamically_weighted_score,reconstruction_normalized_dynamically_weighted_score,reconstruction_normalized_dynamically_weighted_rank,signal_missing_metrics_count,signal_dynamically_weighted_score,signal_normalized_dynamically_weighted_score,signal_normalized_dynamically_weighted_rank,rank_variability,normalized_rank_stability,average_rank,harmonic_average_rank,stability_score_weighted,stability_rank,wavelet_family,normalized_family_mean_rank,normalized_family_std_dev,final_family_stability_score,final_family_stability_rank,family_informed_rank,across_emd_value_normalized,across_smoothness_normalized,across_wavelet_mse_normalized,across_wavelet_psnr_normalized,across_wavelet_entropy_normalized,across_wavelet_energy_entropy_normalized,across_wavelet_sparsity_normalized,across_avg_variance_across_levels_normalized,across_prominence_min_diff_normalized,across_avg_prominence_diff_normalized,across_relative_prominences_avg_diff_normalized,across_relative_prominences_wasserstein_normalized,across_spectral_centroid_diff_normalized,across_dynamic_cutoff_diff_normalized,across_relative_prominences_total_diff_normalized,across_prominence_max_diff_normalized,across_amplitude_max_diff_normalized,across_frequency_max_diff_normalized,across_spectral_bandwidth_diff_normalized,across_num_fft_peaks_diff_normalized,across_relative_num_peaks_diff_normalized,across_dominant_frequency_diff_normalized,across_max_autocorrelation_diff_normalized,across_relative_right_bases_global_alignment_score_normalized,across_relative_left_bases_global_alignment_score_normalized,across_upper_envelope_diff_normalized,across_lower_envelope_diff_normalized,across_relative_peaks_global_alignment_score_normalized,across_reconstruction_weighted_score,across_reconstruction_normalized_weighted_score,across_reconstruction_normalized_weighted_rank,across_signal_weighted_score,across_signal_normalized_weighted_score,across_signal_normalized_weighted_rank,across_rank_variability,across_normalized_rank_stability,across_average_rank,across_harmonic_average_rank,across_stability_score_weighted,across_stability_rank,family_mean_stability_rank,family_median_stability_rank,family_rank_std_dev,family_wavelet_count,across_normalized_family_mean_rank,across_normalized_family_std_dev,across_final_family_stability_score,across_final_family_stability_rank,across_family_informed_rank
coif16,1,smooth,2.6815044790101e-26,314.9446366141604,1196190950.3507104,0.5440251572327044,268.6170417143359,223,raw,1.2125427717197586e-13,-2.410784905038114e-10,4.797444416643921,15220810.027510779,0.999622662933251,1.1139294253631238e-05,1.0,391.0000000000002,,,,[],[],14,382.5714285714287,40.000000000000114,915.0000000000002,"[11, 26, 47, 63, 76, 96, 108, 119, 132, 150, 171, 192, 205, 218]","[550.0000000000002, 565.0000000000007, 246.00000000000009, 327.00000000000006, 397.0000000000002, 582.0, 40.000000000000114, 53.0, 361.00000000000006, 915.0000000000002, 310.0000000000002, 489.99999999999994, 434.0000000000002, 86.00000000000006]","[0, 0, 38, 53, 70, 0, 107, 112, 125, 0, 157, 186, 202, 213]","[23, 27, 53, 70, 90, 125, 125, 125, 136, 222, 222, 222, 222, 222]",34403084.00000001,915.0000000000002,-915.0000000000002,0.0,,,,DWT,mdp.39015067403835,7.450580596923828e-09,,0.0,39.0,17.0,0.0,34.5,,2.2737367544323206e-13,85.11981566820293,3864.999999999998,85.1198156682029,,0.0,85.11981566820293,,,37.000000000000114,0.0,34.5,2.2737367544323206e-13,2.2737367544323206e-13,,2.2737367544323206e-13,1.473125653561553e-13,1.9814411263014898e-26,0.9519069071787758,0.2932476152852015,0.8452283153992016,0.09980568804098217,0.8138388765870851,0.9999999957868304,0.9186295791447595,0.9186295791447595,0.9186295791415832,,1.9955333349767976e-10,0.999999999999436,9.896484178941353e-14,,,,,1.0,,1.0091267115501879e-13,0.0,0.7297297297297296,2.319213576262481e-13,2.319213576262481e-13,1.0,2.2997395930380398,0.5966483135039851,32,1.5058399355007381,0.882113263266444,5,0,0.5346870330819512,0.6888186409034924,32,0,0.4291467717844849,0.8622112196870129,5,15.588457268119896,0.9836598980418031,18.5,8.648648648648647,0.9821339322494131,4,coif,0.6484784260407086,1.0,0.24606510177150395,2,3.5,1.494972358358428e-13,0.0001962709751485714,1.9942666436267157e-26,0.9517503399335888,0.2932476152852015,0.8452813515196542,0.1776322519757651,0.8139771268955133,0.9999999999629906,0.302611374754883,0.302611374754883,0.3026113747459222,,3.44481908477523e-13,0.9999999999999567,9.896484178941353e-14,,,,,1.0,,1.0091267115501879e-13,0.9850746268656717,0.7297297297297296,2.271028632276586e-13,2.271028632276586e-13,1.0,1.843830672925485,0.5810035448904738,41,1.5370173202036819,0.8879879965916675,5,25.45584412271571,0.9866583626191218,23.0,8.91304347826087,0.9873019276407977,1,879.5228758169935,858.5,522.4133729738037,306,0.5027600674745429,0.8545071417520251,0.3917158102422124,3,1.5
db37,1,smooth,1.7560906898474762e-26,316.78295247699884,1314098012.3614697,0.5675675675675675,302.3869444734654,223,raw,9.539753142895701e-14,-2.25665153230638e-10,4.494571335359473,17452248.539521836,0.9996473186963118,1.1139294253631245e-05,1.0,391.0000000000002,,,,[],[],14,382.57142857142856,40.0,914.9999999999997,"[11, 26, 47, 63, 76, 96, 108, 119, 132, 150, 171, 192, 205, 218]","[550.0000000000002, 565.0000000000002, 245.9999999999999, 327.0, 397.00000000000017, 581.9999999999998, 40.0, 52.99999999999993, 361.0000000000001, 914.9999999999997, 310.00000000000006, 490.0, 434.0000000000001, 85.99999999999986]","[0, 0, 38, 53, 70, 0, 107, 112, 125, 0, 157, 186, 202, 213]","[16, 27, 53, 70, 90, 125, 125, 125, 136, 222, 222, 222, 222, 222]",34403084.0,914.9999999999998,-914.9999999999998,0.0,,,,DWT,mdp.39015067403835,0.0,,0.0,39.0,17.0,0.0,34.5,,2.2737367544323206e-13,85.11981566820276,3865.0,85.11981566820278,,0.0,85.11981566820276,,,37.0,0.0,34.5,3.410605131648481e-13,2.2737367544323206e-13,,2.2737367544323206e-13,1.0918654182353855e-13,1.2613226825543213e-26,0.9587210343238168,0.20292945561763276,0.9288987863723652,0.24924447499964192,0.9333892392035119,0.9999999957862257,0.9186295791447442,0.9186295791447442,0.9186295791415717,,1.9955333349767976e-10,0.999999999999444,1.484472626841203e-13,,,,,1.0,,0.0,0.0,0.7297297297297296,2.319213576262481e-13,2.319213576262481e-13,1.0,2.299739593037824,0.5966483135039291,35,1.6142002272705833,0.9455901629874073,3,0,0.5346870330819019,0.6888186409034289,35,0,0.4675975700738684,0.9394638331767347,3,18.475208614068023,0.9806339532347296,19.0,5.526315789473684,0.9803589053385389,5,db,0.8034641966915931,0.9640041152138912,0.14837382775171748,5,5.0,1.1137121230322613e-13,0.0001962709751485714,1.2741481998795472e-26,0.9585633463081981,0.20292945561763265,0.9289231508582855,0.3141512646667287,0.9334387068799843,0.9999999999629853,0.302611374754878,0.302611374754878,0.3026113747459184,,3.44481908477523e-13,0.9999999999999573,1.484472626841203e-13,,,,,1.0,,0.0,0.9850746268656717,0.7297297297297296,2.271028632276586e-13,2.271028632276586e-13,1.0,1.843830672925454,0.581003544890464,52,1.6401591809341411,0.9475766121985756,3,34.64823227814083,0.9818405491204713,27.5,5.672727272727273,0.9837137756084536,2,884.6900584795321,877.0,498.2633240626884,684,0.505713774735037,0.8150051107248762,0.4014988244680112,2,2.0
db35,1,smooth,1.2929465611500868e-26,318.1126161273219,1127475006.5729604,0.5582191780821918,302.9041169855593,223,raw,8.414196096226384e-14,-2.1987045517590947e-10,4.423721784177455,15111485.213864557,0.9996094583020714,1.1139294253631252e-05,1.0,390.99999999999994,,,,[],[],14,382.5714285714285,39.99999999999983,914.9999999999998,"[11, 26, 47, 63, 76, 96, 108, 119, 132, 150, 171, 192, 205, 218]","[550.0, 564.9999999999998, 245.9999999999999, 327.0, 397.00000000000034, 581.9999999999998, 39.99999999999983, 53.00000000000006, 360.99999999999994, 914.9999999999998, 309.9999999999998, 490.0000000000001, 433.99999999999966, 86.00000000000011]","[0, 0, 38, 53, 70, 0, 107, 112, 125, 0, 157, 186, 202, 213]","[16, 27, 53, 70, 90, 125, 125, 125, 136, 222, 222, 222, 222, 222]",34403084.0,914.9999999999998,-914.9999999999998,0.0,,,,DWT,mdp.39015067403835,0.0,,0.0,39.0,17.0,0.0,34.5,,2.2737367544323206e-13,85.1198156682027,3865.000000000001,85.1198156682027,,0.0,85.1198156682027,,,36.99999999999983,0.0,34.5,2.2737367544323206e-13,2.2737367544323206e-13,,5.684341886080802e-14,9.259009350203884e-14,9.009232233135072e-27,0.9636497287645268,0.18180179036294675,0.7964653721013258,0.18990424751907445,0.8079817485308878,0.9999999957853185,0.9186295791447392,0.9186295791447392,0.9186295791415654,,4.988833337441994e-11,0.9999999999994479,9.896484178941353e-14,,,,,1.0,,0.0,0.0,0.7297297297297296,2.319213576262481e-13,2.319213576262481e-13,1.0,2.299739592962692,0.5966483134844367,329,1.466477816910865,0.8590551373263535,6,0,0.5346870330711423,0.6888186408895677,328,0,0.41997184103983637,0.8437776003567479,6,186.1959093714646,0.8048260908055926,167.25,11.784752873510916,0.8147558126983938,170,db,0.8034641966915931,0.9640041152138912,0.14837382775171748,5,128.75,9.477476398172646e-14,0.0001962709751485714,9.137487406387331e-27,0.963491230089688,0.18180179036294675,0.796535117979387,0.25994131400147535,0.8081243485646797,0.9999999999629774,0.30261137475487626,0.30261137475487626,0.3026113747459163,,8.612047711938076e-14,0.9999999999999576,9.896484178941353e-14,,,,,1.0,,0.0,0.9850746268656717,0.7297297297297296,2.271028632276586e-13,2.271028632276586e-13,1.0,1.8438306729252965,0.5810035448904144,178,1.4945483385440148,0.8634521989493491,6,121.62236636408618,0.9362566214024706,92.0,11.608695652173914,0.9440192960261828,3,884.6900584795321,877.0,498.2633240626884,684,0.505713774735037,0.8150051107248762,0.4014988244680112,2,2.75
db36,1,smooth,1.2898491324119186e-26,318.1230327224659,1218526458.9692893,0.5680272108843537,306.10197723374546,223,raw,8.034230978560957e-14,-2.183119240939406e-10,4.45944253916759,16257670.278162742,0.999627127901416,1.1139294253631242e-05,1.0,391.0000000000001,,,,[],[],14,382.5714285714286,40.000000000000284,914.9999999999999,"[11, 26, 47, 63, 76, 96, 108, 119, 132, 150, 171, 192, 205, 218]","[550.0000000000002, 565.0000000000005, 245.99999999999986, 326.9999999999998, 396.9999999999998, 582.0000000000001, 40.000000000000284, 53.000000000000014, 361.0, 914.9999999999999, 310.00000000000006, 489.99999999999994, 434.0000000000001, 86.00000000000009]","[0, 0, 38, 53, 70, 0, 107, 112, 125, 0, 157, 186, 202, 213]","[16, 27, 53, 70, 90, 125, 125, 125, 136, 222, 222, 222, 222, 222]",34403084.0,915.0,-915.0,0.0,,,,DWT,mdp.39015067403835,0.0,,0.0,39.0,17.0,0.0,34.5,,0.0,85.11981566820282,3864.999999999999,85.1198156682028,,0.0,85.11981566820282,,,37.000000000000284,0.0,34.5,1.1368683772161603e-13,0.0,,1.1368683772161603e-13,8.698747082025886e-14,8.985129333560106e-27,0.9636883401942404,0.19245388542191688,0.8610782780195162,0.25216212611170585,0.8693891497766818,0.9999999957877376,0.9186295791447493,0.9186295791447493,0.9186295791415743,,9.977666674883988e-11,0.99999999999944,4.9482420894706766e-14,,,,,1.0,,0.0,0.0,0.7297297297297296,0.0,0.0,1.0,2.299739592988249,0.5966483134910673,68,1.5535995961926419,0.9100906260340372,4,0,0.5346870330748436,0.6888186408943359,68,0,0.44839596850344987,0.9008853388282118,4,36.95041722813605,0.961267906469459,36.0,7.555555555555555,0.9617660287064276,12,db,0.8034641966915931,0.9640041152138912,0.14837382775171748,5,10.25,8.91721412999465e-14,0.0001962709751485714,9.113384506812366e-27,0.9635298351686911,0.19245388542191688,0.8611258827813267,0.31681666939398906,0.8694861463460858,0.9999999999629985,0.30261137475487965,0.30261137475487965,0.30261137474591926,,1.722409542387615e-13,0.9999999999999569,4.9482420894706766e-14,,,,,1.0,,0.0,0.9850746268656717,0.7297297297297296,0.0,0.0,1.0,1.8438306729252325,0.5810035448903942,248,1.5794877927914377,0.9125246555946415,4,172.5340546095176,0.9095733466407141,126.0,7.8730158730158735,0.9217678053958287,4,884.6900584795321,877.0,498.2633240626884,684,0.505713774735037,0.8150051107248762,0.4014988244680112,2,3.5
rbio3.3,1,smooth,3.402898320624048e-27,323.9099321566113,5539160.637539261,0.6608695652173913,434.3308275479212,223,raw,3.495360453492511e-14,-2.2321311465845112e-10,6.806728146959806,61676.30421694087,0.7158310866343296,1.1139294253631245e-05,1.0,390.9999999999999,,,,[],[],14,382.57142857142856,40.0,915.0,"[11, 26, 47, 63, 76, 96, 108, 119, 132, 150, 171, 192, 205, 218]","[550.0, 564.9999999999998, 246.0, 327.0, 397.0, 582.0000000000001, 40.0, 53.000000000000014, 360.99999999999994, 915.0, 309.99999999999994, 490.0000000000001, 434.0, 86.00000000000003]","[0, 0, 38, 53, 70, 0, 107, 112, 125, 0, 157, 186, 202, 213]","[23, 27, 53, 70, 90, 125, 125, 125, 136, 222, 222, 222, 222, 222]",34403084.0,915.0,-915.0,0.0,,,,DWT,mdp.39015067403835,0.0,,0.0,39.0,17.0,0.0,34.5,,0.0,85.11981566820276,3865.0,85.11981566820278,,0.0,85.11981566820276,,,37.0,0.0,34.5,0.0,0.0,,1.1368683772161603e-13,2.0061382684445328e-14,1.5960545907676329e-27,0.9851387717098273,0.8924253566761029,0.00030525217122894216,0.841492131517707,0.0016811927361471257,0.9999999957862257,0.9186295791447442,0.9186295791447442,0.9186295791415717,,9.977666674883988e-11,0.999999999999444,0.0,,,,,1.0,,0.0,0.0,0.7297297297297296,0.0,0.0,1.0,2.299739592987769,0.5966483134909427,152,1.3747178971511098,0.8053026498619879,17,0,0.5346870330747313,0.6888186408941913,157,0,0.3887203864015763,0.7809893968975842,19,78.83897090483445,0.9173595692821441,86.25,32.15344072599021,0.9134753821253487,44,rbio,0.5140840194375205,0.8565417284221128,0.3831786678671018,1,33.25,2.224605316413311e-14,0.0001962709751485714,1.724309764019892e-27,0.9849767385714497,0.8924253566761029,0.000647820847135298,0.855195975895214,0.002422582133050104,0.9999999999629853,0.302611374754878,0.302611374754878,0.3026113747459184,,1.722409542387615e-13,0.9999999999999573,0.0,,,,,1.0,,0.0,0.9850746268656717,0.7297297297297296,0.0,0.0,1.0,1.8438306729252028,0.5810035448903849,307,1.3806289364083462,0.7976370254014234,156,106.77312395916867,0.9440392432079828,231.5,206.8768898488121,0.9113540031553541,5,856.8037037037037,850.0,611.3622080474152,270,0.4897731482951719,1.0,0.35715879619337965,5,5.0
rbio3.1,1,periodization,8.892417142984597e-27,319.73822360888767,5556983.462707452,0.6517857142857143,454.2004595982937,223,raw,7.427519454705729e-14,-2.0799895139589526e-10,6.862940153310969,51003.52642697704,0.5877625253707873,1.1139294253631252e-05,1.0,390.9999999999999,,,,[],[],14,382.57142857142856,40.0,914.9999999999998,"[11, 26, 47, 63, 76, 96, 108, 119, 132, 150, 171, 192, 205, 218]","[550.0, 564.9999999999999, 245.99999999999991, 326.99999999999994, 396.9999999999999, 581.9999999999999, 40.0, 52.99999999999998, 361.00000000000006, 914.9999999999998, 309.9999999999998, 489.99999999999994, 434.00000000000006, 86.00000000000003]","[0, 0, 38, 53, 70, 0, 107, 112, 125, 0, 157, 186, 202, 213]","[23, 27, 53, 70, 90, 125, 125, 125, 136, 222, 222, 222, 222, 222]",34403084.0,914.9999999999998,-914.9999999999998,0.0,,,,DWT,mdp.39015067403835,0.0,,0.0,39.0,17.0,0.0,34.5,,2.2737367544323206e-13,85.11981566820276,3865.0,85.11981566820272,,0.0,85.11981566820276,,,37.0,0.0,34.5,2.2737367544323206e-13,2.2737367544323206e-13,,1.1368683772161603e-13,7.804145028623263e-14,5.867769360499022e-27,0.9696754049234734,0.9091880380716498,0.0003178997951325788,0.783831100007571,0.0011093936710835752,0.9999999957862257,0.9186295791447442,0.9186295791447442,0.9186295791415666,,9.977666674883988e-11,0.999999999999444,9.896484178941353e-14,,,,,1.0,,0.0,0.0,0.7297297297297296,2.319213576262481e-13,2.319213576262481e-13,1.0,2.299739592987909,0.5966483134909791,121,1.3505344093589604,0.7911360875132457,19,0,0.5346870330747711,0.6888186408942425,120,0,0.3805888337812841,0.7646520588033524,20,58.315235287758775,0.9388729189855778,70.0,33.54877937555103,0.9327488284655352,23,rbio,0.5140840194375205,0.8565417284221128,0.3831786678671018,1,17.5,8.022612076592028e-14,0.0001962709751485714,5.99602453375128e-27,0.9695159151606306,0.9091880380716498,0.000660464137036197,0.8025200458190153,0.0018512077076516709,0.9999999999629853,0.302611374754878,0.302611374754878,0.30261137474591676,,1.722409542387615e-13,0.9999999999999573,9.896484178941353e-14,,,,,1.0,,0.0,0.9850746268656717,0.7297297297297296,2.271028632276586e-13,2.271028632276586e-13,1.0,1.8438306729253426,0.5810035448904289,128,1.3584411829039567,0.7848183938061584,378,176.7766952966369,0.9073497404105677,253.0,191.2411067193676,0.8873750798488897,6,856.8037037037037,850.0,611.3622080474152,270,0.4897731482951719,1.0,0.35715879619337965,5,5.75
db37,1,reflect,1.7323413778596207e-26,316.8420870927854,6296745.100732706,0.6182432432432432,318.7510466716506,223,raw,9.74048943147366e-14,-2.2508006569666065e-10,7.0292102835462815,30363.884649922027,0.7545147403732011,1.1139294253631245e-05,1.0,391.0000000000002,,,,[],[],15,372.3333333333333,40.0,914.9999999999997,"[1, 14, 26, 47, 63, 76, 96, 108, 119, 132, 150, 171, 192, 205, 218]","[228.99999999999997, 550.0000000000005, 565.0, 245.99999999999994, 326.99999999999994, 397.00000000000017, 581.9999999999998, 40.0, 52.99999999999993, 361.0000000000001, 914.9999999999997, 310.0, 489.9999999999999, 434.0000000000002, 85.99999999999994]","[0, 0, 0, 38, 53, 70, 0, 107, 112, 125, 0, 157, 186, 202, 213]","[2, 16, 27, 53, 70, 90, 125, 125, 125, 136, 222, 222, 222, 222, 222]",34403084.0,914.9999999999998,-914.9999999999998,0.0,,,,DWT,mdp.39015067403835,0.0,,0.0,39.5,16.0,0.0,30.5,,2.2737367544323206e-13,74.88172043010752,3636.0,74.88172043010755,,0.0,74.88172043010752,,,37.0,0.0,39.5,3.410605131648481e-13,2.2737367544323206e-13,,2.2737367544323206e-13,1.1214641795730908e-13,1.2428419577271759e-26,0.9589402299467172,0.9587705632232884,0.0008428573643051858,0.5709155101046992,3.615203320062228e-06,0.9999999957862257,4.735895030219387e-10,4.735895030219387e-10,4.345895446649119e-10,,1.9955333349767976e-10,1.1644709455398344e-10,1.484472626841203e-13,,,,,0.0,,0.0,1.0,0.9999999999999999,2.319213576262481e-13,2.319213576262481e-13,0.0,0.49999999930856553,0.12972084197817904,647,1.2835384983850684,0.7518902285999368,23,0,0.2142857141060434,0.2760568056134924,647,0,0.3556389679774917,0.7145245601476748,24,359.97812433535455,0.6226644399000476,335.25,45.332910227525154,0.6356246727802125,431,db,0.8034641966915931,0.9640041152138912,0.14837382775171748,5,324.5,1.1433108843699666e-13,0.0001962709751485714,1.2556674750524018e-26,0.9587825058783558,0.9587705632232884,0.001185241817277939,0.6080121358471874,0.0007462504329032133,0.9999999999629853,1.5600798430881468e-10,1.5600798430881468e-10,1.431607055124573e-10,,3.44481908477523e-13,0.9229766928658183,1.484472626841203e-13,,,,,0.5,,0.0,1.0,1.0,2.271028632276586e-13,2.271028632276586e-13,0.0,1.1614883465586956,0.3659928520599295,664,1.2988096418519115,0.7503671927842581,744,56.568542494923804,0.9703519169313817,704.0,701.7272727272726,0.8006895853000724,7,884.6900584795321,877.0,498.2633240626884,684,0.505713774735037,0.8150051107248762,0.4014988244680112,2,5.75
db31,1,smooth,1.346828237221676e-26,317.93529975025547,806495255.3129284,0.5633802816901409,292.39867933116733,223,raw,8.26205073464547e-14,-2.2445656444603132e-10,4.275356653363039,11003066.921361335,0.9994276742903102,1.1139294253631243e-05,1.0,391.00000000000017,,,,[],[],15,372.33333333333337,39.999999999999886,915.0000000000001,"[1, 15, 26, 47, 63, 76, 96, 108, 119, 132, 150, 171, 192, 205, 218]","[229.00000000000006, 550.0000000000001, 565.0000000000002, 246.00000000000006, 326.9999999999999, 397.0000000000001, 582.0, 39.999999999999886, 52.99999999999994, 360.99999999999983, 915.0000000000001, 310.00000000000017, 490.0, 433.99999999999994, 86.00000000000011]","[0, 0, 0, 38, 53, 70, 0, 107, 112, 125, 0, 157, 186, 202, 213]","[2, 16, 27, 53, 70, 90, 125, 125, 125, 136, 222, 222, 222, 222, 222]",34403084.0,915.0000000000001,-915.0000000000001,0.0,,,,DWT,mdp.39015067403835,0.0,,0.0,39.5,16.0,0.0,30.5,,1.1368683772161603e-13,74.88172043010758,3635.999999999999,74.88172043010756,,0.0,74.88172043010758,,,36.999999999999886,0.0,39.5,1.1368683772161603e-13,1.1368683772161603e-13,,1.7053025658242404e-13,9.03466953212842e-14,9.428516980926345e-27,0.9629924661239471,0.13755861920634171,0.5686882864648005,0.2226650843055154,0.5878713157293731,0.9999999957856209,4.735946033892144e-10,4.735946033892144e-10,4.345908197567309e-10,,1.496650001232598e-10,1.1644312296139973e-10,4.9482420894706766e-14,,,,,0.0,,0.0,1.0,0.9999999999999999,1.1596067881312405e-13,1.1596067881312405e-13,0.0,0.4999999992833455,0.12972084197163591,668,1.255133492523922,0.7352507227516965,40,0,0.21428571410241362,0.27605680560881624,668,0,0.35425368169000976,0.7117413413095628,26,366.6619696668854,0.6156583127181494,350.5,60.19060821348119,0.6241289467154688,467,db,0.8034641966915931,0.9640041152138912,0.14837382775171748,5,351.5,9.253136580097184e-14,0.0001962709751485714,9.556772154178604e-27,0.9628340755540082,0.13755861920634171,0.5688360854633746,0.2898698030105033,0.588177378115912,0.99999999996298,1.5600953862104916e-10,1.5600953862104916e-10,1.4316114960166715e-10,,2.583614313581423e-13,0.9229766928658181,4.9482420894706766e-14,,,,,0.5,,0.0,1.0,1.0,1.135514316138293e-13,1.135514316138293e-13,0.0,1.1614883465585566,0.3659928520598857,754,1.2821755514104018,0.7407571041716436,778,16.97056274847714,0.9911055750794145,766.0,765.8120104438643,0.7948190349191622,8,884.6900584795321,877.0,498.2633240626884,684,0.505713774735037,0.8150051107248762,0.4014988244680112,2,6.5
db37,1,antireflect,1.6996920876141618e-26,316.9247193543814,6300885.08417906,0.6114864864864865,319.0287545664768,223,raw,9.750446588645185e-14,-2.2541890576377563e-10,7.024591755541717,118010.66627614373,0.9350733419531644,1.1139294253631238e-05,1.0,391.0000000000002,,,,[],[],15,372.3333333333333,40.0,914.9999999999998,"[1, 15, 26, 47, 63, 76, 96, 108, 119, 132, 150, 171, 192, 205, 218]","[229.0, 550.0000000000005, 565.0000000000002, 245.99999999999994, 326.9999999999999, 397.00000000000017, 581.9999999999998, 40.0, 52.99999999999993, 361.0000000000001, 914.9999999999998, 310.0, 490.0000000000001, 434.0000000000002, 85.99999999999986]","[0, 0, 0, 38, 53, 70, 0, 107, 112, 125, 0, 157, 186, 202, 213]","[2, 16, 27, 53, 70, 90, 125, 125, 125, 136, 222, 222, 222, 222, 222]",34403084.0,914.9999999999998,-914.9999999999998,0.0,,,,DWT,mdp.39015067403835,0.0,,0.0,39.5,16.0,0.0,30.5,,2.2737367544323206e-13,74.88172043010752,3636.0,74.88172043010758,,0.0,74.88172043010752,,,37.0,0.0,39.5,2.2737367544323206e-13,2.2737367544323206e-13,,2.2737367544323206e-13,1.1229323720997624e-13,1.2174356407300149e-26,0.9592465248268192,0.9573932967195226,0.0008457952236570365,0.5280260387573587,0.004699332548511094,0.9999999957862257,4.735895030219387e-10,4.735895030219387e-10,4.345920948485499e-10,,1.9955333349767976e-10,1.1644709455398344e-10,9.896484178941353e-14,,,,,0.0,,0.0,1.0,0.9999999999999999,2.319213576262481e-13,2.319213576262481e-13,0.0,0.49999999930854155,0.12972084197817282,648,1.2677576093900629,0.7426458652645994,26,0,0.21428571410604003,0.276056805613488,648,0,0.35003014115371156,0.7032557035822726,28,358.5354468761306,0.6241766804233432,337.5,51.77172958735733,0.6352015477588414,432,db,0.8034641966915931,0.9640041152138912,0.14837382775171748,5,325.25,1.1447790768966382e-13,0.0001962709751485714,1.2302611580552408e-26,0.959088750379849,0.9573932967195226,0.001188178669903896,0.5688306863564601,0.00543848056035854,0.9999999999629853,1.5600798430881468e-10,1.5600798430881468e-10,1.43161593690877e-10,,3.44481908477523e-13,0.9229766928658183,9.896484178941353e-14,,,,,0.5,,0.0,1.0,1.0,2.271028632276586e-13,2.271028632276586e-13,0.0,1.161488346558671,0.3659928520599217,668,1.2845105359819289,0.7421061054122203,773,74.24621202458749,0.9610868909724384,720.5,716.6745315752948,0.7917331729495316,9,884.6900584795321,877.0,498.2633240626884,684,0.505713774735037,0.8150051107248762,0.4014988244680112,2,7.25
