signal_type,wavelet,wavelet_energy_entropy,wavelet_sparsity,wavelet_adaptive_threshold,wavelet_psnr,signal_length,scales_used,emd_value,kl_divergence,is_complex,change_point_indices,change_point_prominences,num_change_points,wavelet_entropy,avg_variance_across_levels,variance_ratio_across_levels,smoothness,correlation,stft_frequency_max,stft_amplitude_max,stft_spectral_centroid,stft_spectral_bandwidth,stft_spectral_magnitude,stft_variance_magnitude,stft_peak_freq_over_time,stft_num_peaks,stft_peak_amplitude,stft_dominant_frequency,stft_positive_frequencies,stft_positive_amplitudes,stft_snr_threshold,stft_stationarity_threshold,stft_window,stft_nperseg,stft_noverlap,stft_dynamic_cutoff,stft_dynamic_cutoff_percentile,relative_num_peaks,avg_prominence,prominence_min,prominence_max,relative_peaks,relative_prominences,relative_left_bases,relative_right_bases,prominence_threshold,distance_factor,max_autocorrelation,upper_envelope,lower_envelope,fft_frequency_max,fft_amplitude_max,fft_spectral_centroid,fft_spectral_bandwidth,fft_spectral_magnitude,fft_variance_magnitude,fft_num_peaks,fft_peak_amplitude,fft_dominant_frequency,fft_positive_frequencies,fft_positive_amplitudes,fft_snr_threshold,fft_stationarity_threshold,fft_dynamic_cutoff,fft_dynamic_cutoff_percentile,wavelet_type,htid,stft_amplitude_max_diff,stft_frequency_max_diff,avg_prominence_diff,fft_variance_magnitude_diff,stft_noverlap_diff,prominence_max_diff,stft_spectral_magnitude_diff,upper_envelope_diff,relative_peaks_array_alignment_score,relative_peaks_global_alignment_score,stft_num_peaks_diff,fft_peak_amplitude_diff,relative_left_bases_array_alignment_score,relative_left_bases_global_alignment_score,stft_window_diff,stft_nperseg_diff,prominence_threshold_diff,relative_right_bases_array_alignment_score,relative_right_bases_global_alignment_score,stft_dominant_frequency_diff,relative_num_peaks_diff,max_autocorrelation_diff,stft_variance_magnitude_diff,fft_amplitude_max_diff,fft_dominant_frequency_diff,fft_snr_threshold_diff,stft_stationarity_threshold_diff,relative_prominences_avg_diff,relative_prominences_total_diff,relative_prominences_wasserstein,stft_dynamic_cutoff_percentile_diff,lower_envelope_diff,fft_stationarity_threshold_diff,stft_dynamic_cutoff_diff,fft_frequency_max_diff,fft_num_peaks_diff,fft_dynamic_cutoff_percentile_diff,fft_dynamic_cutoff_diff,prominence_min_diff,fft_spectral_centroid_diff,stft_peak_amplitude_diff,fft_spectral_bandwidth_diff,stft_spectral_bandwidth_diff,fft_spectral_magnitude_diff,distance_factor_diff,stft_snr_threshold_diff,stft_spectral_centroid_diff,emd_value_normalized,smoothness_normalized,wavelet_psnr_normalized,wavelet_entropy_normalized,wavelet_energy_entropy_normalized,wavelet_sparsity_normalized,correlation_normalized,avg_variance_across_levels_normalized,kl_divergence_normalized,prominence_min_diff_normalized,avg_prominence_diff_normalized,relative_prominences_avg_diff_normalized,relative_prominences_wasserstein_normalized,relative_prominences_total_diff_normalized,prominence_max_diff_normalized,relative_num_peaks_diff_normalized,max_autocorrelation_diff_normalized,relative_right_bases_global_alignment_score_normalized,relative_left_bases_global_alignment_score_normalized,upper_envelope_diff_normalized,lower_envelope_diff_normalized,relative_peaks_global_alignment_score_normalized,reconstruction_signal_weighted_score,reconstruction_signal_normalized_weighted_score,reconstruction_signal_normalized_weighted_rank,wavelet_signal_weighted_score,wavelet_signal_normalized_weighted_score,wavelet_signal_normalized_weighted_rank,reconstruction_signal_num_missing_metrics,reconstruction_signal_missing_metrics_count,reconstruction_signal_dynamically_weighted_score,reconstruction_signal_normalized_dynamically_weighted_score,reconstruction_signal_normalized_dynamically_weighted_rank,wavelet_signal_num_missing_metrics,wavelet_signal_missing_metrics_count,wavelet_signal_dynamically_weighted_score,wavelet_signal_normalized_dynamically_weighted_score,wavelet_signal_normalized_dynamically_weighted_rank,rank_variability,normalized_rank_stability,average_rank,harmonic_average_rank,stability_score_weighted,stability_rank,wavelet_family,family_mean_stability_rank,family_median_stability_rank,family_rank_std_dev,family_wavelet_count,normalized_family_mean_rank,normalized_family_std_dev,final_family_stability_score,final_family_stability_rank,family_informed_rank,top_wavelet_rank
smoothed,gaus8,21.766127773220056,0.6733637163549399,600.1527703723048,-32.269515774167424,698,127,40297.61296415358,,False,"[30, 62, 91, 133, 161, 187, 217, 256, 287, 316, 351, 375, 398, 422, 446, 492, 538, 562, 587, 615, 680]","[149169.59587156944, 1698.8603274558554, 7159.589705525836, 86286.76067293879, 9984.452623015211, 30308.235971927068, 197.78689675915484, 48224.96377855133, 2382.5168457370746, 44043.798158089514, 1371.2573139858614, 75034.02733918368, 2419.308758048465, 22309.00760674887, 12.72744940400662, 59302.719593880494, 53.31810717076587, 57498.71647299445, 19349.680701059784, 27815.75251219161, 120878.29958251683]",21,15.102833115844184,470655.18660370744,0.018765114093486066,5.1757160880697e-07,0.3082671416248876,,,,,,,,,,,,,,,,,,,,19,42845.54993680648,12.72744940400662,175634.99471784162,"[30, 62, 96, 123, 169, 206, 256, 290, 316, 354, 398, 422, 446, 492, 522, 568, 600, 637, 680]","[175634.99471784162, 1698.8603274558554, 7159.589705525836, 9040.697908315124, 37114.9620580231, 27143.363014976643, 124264.70471514732, 2382.5168457370746, 93291.9970033555, 1371.2573139858614, 22927.526082604207, 24463.695278730193, 12.72744940400662, 117225.19779655397, 15257.339200073784, 2316.9088282536177, 27815.75251219161, 4065.058458630854, 120878.29958251683]","[0, 59, 91, 120, 133, 133, 133, 287, 296, 351, 375, 375, 445, 133, 509, 562, 562, 562, 133]","[133, 133, 133, 133, 187, 216, 375, 296, 375, 375, 405, 463, 463, 562, 562, 571, 615, 641, 697]",0.05,30,2111428151990.1292,149802.00471918596,-149802.00471918596,,,,,,,,,,,,,,,,CWT,inu.32000013025095,,,41957.11515419778,,,174300.99471784162,,148468.00471918596,0.0,4.5,,,0.0,0.0,,,0.0,0.0,7.5,,4.0,,,,,,,41957.11515419778,793631.448799323,41959.33453786083,,148468.00471918596,,,,,,,2.9392172626600086,,,,,,0.0,,,0.1041418094984932,0.05719965148585707,0.725365502321219,0.5350599843797167,0.8182127513236312,0.35734300313169587,0.7931713435518164,0.054507183113229725,,0.0,0.9292956465093373,0.9292956465093373,0.9274601749420581,0.9232491972190631,0.5129611909481203,0.5,,0.9772727272727274,0.9333333333333333,0.11530091839348466,0.11530091839348466,0.840909090909091,2.1592834260716294,0.8323539033314246,4,1.6422667194584075,0.7098281858100982,4,0,0,0.6420315703691699,0.8578739585166255,4,1,0.11111111111111112,0.42506959804515176,0.7156218088392026,5,0.5,0.9615384615384616,4.25,4.2105263157894735,0.8173076923076923,1,gaus,7.125,7.0,4.703721930556695,8,0.7125,1.0,0.20124999999999998,1,1.0,1
smoothed,gaus6,21.93352172971601,0.6852311441012566,648.7425505414509,-33.671659031302845,698,127,47791.56047356427,,False,"[31, 61, 92, 133, 161, 187, 210, 256, 288, 316, 351, 375, 405, 446, 492, 518, 562, 587, 637, 680]","[170407.5363980441, 333.78013625528547, 1989.9333058680397, 102030.96507855918, 12688.767016602571, 27219.87575303476, 346.8094142144255, 59075.612369128525, 1841.0488440560985, 41484.33149295525, 555.0887449365691, 83565.1885713637, 19209.182428959084, 16996.146041328062, 59925.724734311814, 10760.07540417505, 64425.7166803556, 14558.845351269563, 2261.706840369967, 127438.58444984288]",20,15.060397201177723,547612.2488040136,0.015403139532524241,5.816869172949894e-07,0.26324302290718155,,,,,,,,,,,,,,,,,,,,18,44204.15260090125,333.78013625528547,194028.08055874566,"[31, 61, 95, 123, 169, 206, 256, 290, 316, 354, 398, 446, 492, 518, 568, 601, 637, 680]","[194028.08055874566, 333.78013625528547, 1989.9333058680397, 6695.903396291062, 27219.87575303476, 19530.520574878672, 144586.1210515193, 1841.0488440560985, 78459.73658184642, 555.0887449365691, 19209.182428959084, 16996.146041328062, 126767.86326898908, 10760.07540417505, 1155.8613642077325, 15845.238070918705, 2261.706840369967, 127438.58444984288]","[0, 59, 92, 120, 133, 133, 133, 288, 296, 351, 375, 375, 133, 510, 562, 562, 562, 133]","[133, 133, 133, 133, 187, 215, 375, 296, 375, 375, 405, 463, 562, 562, 571, 615, 641, 697]",0.05,30,2913222222115.3794,176039.76504858054,-176039.76504858054,,,,,,,,,,,,,,,,CWT,inu.32000013025095,,,43315.717818292556,,,192694.08055874566,,174705.76504858054,0.0,4.0,,,0.0,-5.0,,,0.0,0.0,7.0,,5.0,,,,,,,43315.717818292556,775240.7468162226,43315.717818292556,,174705.76504858054,,,,,,,318.11346958861884,,,,,,0.0,,,0.17671965647731153,0.06768965257225107,0.6329870000010832,0.5081946028101038,0.8332143671660278,0.4440415361793304,0.6762359189902324,0.07877241791950318,,0.4014754671893593,0.97894396096921,0.97894396096921,0.9769251666858161,0.8893301959898664,0.6139532331519417,0.75,,0.9545454545454546,0.6000000000000001,0.16933375508298837,0.16933375508298837,0.8181818181818182,2.439352692439087,0.9403141387731561,3,1.6034394269392107,0.6930460722336211,5,0,0,0.6917472306540544,0.9243033558503703,2,1,0.11111111111111112,0.4216763384589249,0.7099091194958007,6,1.8257418583505538,0.8595583185884189,4.0,3.3333333333333335,0.7759330054480555,2,gaus,7.125,7.0,4.703721930556695,8,0.7125,1.0,0.20124999999999998,1,1.75,2
smoothed,gaus4,22.104800307536575,0.6865848430837262,651.9632794545882,-35.03249199013989,698,127,54686.75851740365,,False,"[31, 95, 133, 161, 187, 210, 256, 297, 352, 375, 405, 446, 492, 537, 562, 605, 638, 664]","[201822.75476663184, 152.27037459109124, 85617.95711440117, 12943.70344973361, 23545.853615684315, 15395.605934880843, 62121.93665147569, 31276.1376894073, 321.0097565900578, 100392.23616000435, 15369.097271040337, 10430.320090911779, 57860.90385968502, 381.7835578072554, 44662.74437647922, 8222.613881566609, 2140.161819467088, 138878.93921258897]",18,14.928856557681897,615298.1833118246,0.012693034093256506,6.930772823839457e-07,0.21428638620077206,,,,,,,,,,,,,,,,,,,,17,44780.34115903721,30.002564997630543,214783.76864017127,"[31, 95, 145, 169, 210, 256, 290, 316, 353, 399, 446, 492, 518, 568, 605, 638, 664]","[214783.76864017127, 152.27037459109124, 30.002564997630543, 23545.853615684315, 15395.605934880843, 152354.2775602031, 1093.4761872266463, 62328.78624477514, 321.0097565900578, 15369.097271040337, 10430.320090911779, 105864.5646024853, 10118.236525824168, 236.81542062834342, 8222.613881566609, 2140.161819467088, 138878.93921258897]","[0, 94, 133, 133, 133, 133, 288, 297, 352, 375, 375, 375, 510, 562, 562, 375, 375]","[375, 133, 146, 187, 215, 375, 297, 375, 375, 405, 463, 562, 562, 569, 614, 641, 697]",0.05,30,3985607232337.7944,206234.47405903775,-206234.47405903775,,,,,,,,,,,,,,,,CWT,inu.32000013025095,,,43891.90637642852,,,213449.76864017127,,204900.47405903775,0.0,-1.0,,,0.0,-1.0,,,0.0,0.0,2.0,,6.0,,,,,,,43891.90637642852,740831.7997036326,43948.45456811841,,204900.47405903775,,,,,,,14.335898330963914,,,,,,0.0,,,0.24349869754825382,0.085914396059453,0.5433301764165416,0.42491868883008066,0.8485641174215471,0.4539311026866653,0.5490870649668017,0.10011438507567078,,0.014517327549883052,1.0,1.0,1.0,0.8258678485232074,0.7279177600845067,1.0,,0.7272727272727274,0.8666666666666667,0.23151534986725505,0.23151534986725505,0.5909090909090909,2.4514299000914814,0.9449696234628632,2,1.502816458149706,0.6495543430641747,6,0,0,0.6846818433950492,0.9148626803196476,3,1,0.11111111111111112,0.40061427307007114,0.6744502831057655,8,2.753785273643051,0.7881703635659192,4.75,3.5555555555555554,0.7113928740906519,4,gaus,7.125,7.0,4.703721930556695,8,0.7125,1.0,0.20124999999999998,1,3.25,3
smoothed,morl,21.31556212510977,0.6559235611307899,492.44894676353766,-29.51650621615686,698,127,29982.314222507324,,False,"[23, 56, 81, 118, 156, 187, 230, 256, 296, 332, 376, 421, 463, 493, 523, 562, 587, 615, 641, 680]","[99764.86848068627, 1067.467936876039, 24638.74096521653, 57489.537884294856, 38403.84902400688, 25394.378249934904, 291.883287424067, 32348.58893449668, 55739.891364620424, 22946.692125420104, 62772.572111024805, 22534.679636916106, 23109.299887950434, 43392.689021589475, 30834.705046598356, 6091.628597866074, 19269.19329580845, 54342.11644422121, 10746.699528021527, 104615.90381757822]",20,15.204663693141704,305018.0254882745,0.01658146057981125,1.67965038681856e-07,0.387903214415151,,,,,,,,,,,,,,,,,,,,20,42783.966283765054,266.1254451810737,137608.68479383196,"[23, 68, 97, 124, 156, 206, 230, 256, 284, 317, 354, 397, 421, 452, 493, 523, 555, 579, 636, 680]","[137608.68479383196, 7437.556451604051, 24638.74096521653, 8970.203419003621, 96453.49271091179, 35989.89700198137, 291.883287424067, 61798.09012374263, 307.676526469033, 113125.27376870747, 4511.85366629183, 29778.047051172143, 48541.58491788637, 266.1254451810737, 98810.07032826624, 30834.705046598356, 6091.628597866074, 34861.208227546755, 10746.699528021527, 104615.90381757822]","[0, 57, 81, 118, 118, 187, 215, 187, 283, 118, 351, 376, 376, 451, 376, 508, 537, 537, 615, 376]","[376, 118, 118, 126, 296, 215, 231, 296, 296, 376, 376, 406, 463, 463, 615, 615, 562, 615, 641, 697]",0.05,30,1123526819482.812,118459.45512149401,-118459.45512149401,,,,,,,,,,,,,,,,CWT,inu.32000013025095,,,41895.53150115636,,,136274.68479383196,,117125.45512149401,0.0,-4.0,,,0.0,-13.0,,,0.0,0.0,0.5,,3.0,,,,,,,41895.53150115636,835245.325675301,41901.81807185975,,117125.45512149401,,,,,,,250.45877851440707,,,,,,0.0,,,0.004239565364563769,0.0,0.9067441870938495,0.599527012745998,0.7778336784692637,0.22993242129553296,1.0,0.002280337490547693,,0.3152955254392958,0.9270451544025626,0.9270451544025626,0.925362647232215,0.9999999999999999,0.3041678035894486,0.25,,0.6590909090909092,0.06666666666666665,0.05075551350435334,0.05075551350435334,0.4545454545454546,1.8642955001243051,0.7186428690904979,5,1.7268838309877421,0.7464017886565142,3,0,0,0.494227528531485,0.6603801835872355,7,1,0.11111111111111112,0.4345140947519139,0.7315219998854489,4,1.707825127659933,0.8686288363338512,4.75,4.318766066838046,0.7516221104746179,3,morl,3.0,3.0,,1,0.3,,,5,3.5,4
smoothed,gaus2,22.689365263849382,0.6860772059653002,817.7671160635247,-38.090453156082816,698,127,84195.77212139279,,False,"[47, 95, 122, 156, 210, 256, 297, 323, 351, 375, 405, 453, 493, 523, 560, 602, 636, 659]","[253812.1199047961, 58.36649223341374, 941.2667685250199, 34182.830180855344, 15259.87368670066, 70916.54117347342, 21303.431050675452, 1619.9798300157024, 345.7428923115003, 102429.16518392079, 10591.625803191077, 2762.5458673385074, 55732.68302925195, 16858.72439434039, 1159.8185105244338, 9216.49255296588, 7064.429723051377, 181288.17922157922]",18,14.982936016732268,724446.2725378126,0.014174079769398504,9.085337174331273e-07,0.15713656195660086,,,,,,,,,,,,,,,,,,,,17,42053.882978842186,58.36649223341374,256802.10465887203,"[47, 95, 122, 156, 210, 256, 316, 353, 399, 426, 453, 493, 523, 560, 602, 636, 659]","[256802.10465887203, 58.36649223341374, 941.2667685250199, 34182.830180855344, 15259.87368670066, 70916.54117347342, 42827.97242385037, 345.7428923115003, 10591.625803191077, 8906.813261252577, 2762.5458673385074, 55732.68302925195, 16858.72439434039, 1159.8185105244338, 9216.49255296588, 7064.429723051377, 181288.17922157922]","[0, 94, 121, 133, 187, 187, 297, 351, 375, 375, 375, 375, 509, 537, 375, 375, 375]","[375, 375, 133, 187, 215, 375, 375, 375, 405, 430, 457, 537, 537, 562, 615, 642, 697]",0.05,30,8072691200738.45,255307.11228183407,-255307.11228183407,,,,,,,,,,,,,,,,CWT,inu.32000013025095,,,41165.44819623349,,,255468.10465887203,,253973.11228183407,0.0,8.0,,,0.0,-1.0,,,0.0,0.0,8.0,,6.0,,,,,,,41165.44819623349,694482.0106403172,41167.33976168925,,253973.11228183407,,,,,,,42.69982556674711,,,,,,0.0,,,0.5292894201489531,0.12116554420231535,0.34186012603091215,0.45915537994150696,0.9009520237301245,0.45022251524641516,0.40065908565392755,0.13452973225759776,,0.05064788343848392,0.9003652379982584,0.9003652379982584,0.8985774722210711,0.7403823377658552,0.9586304094594091,1.0,,1.0,0.8666666666666667,0.3325732836896361,0.3325732836896361,1.0,2.594189103251975,1.0,1,1.4744708000229196,0.6373026504217241,8,0,0,0.7483984844106063,1.0,1,1,0.11111111111111112,0.41167367284591344,0.6930692285882497,7,3.774917217635375,0.7096217524895865,4.25,1.763779527559055,0.6913493377832548,5,gaus,7.125,7.0,4.703721930556695,8,0.7125,1.0,0.20124999999999998,1,4.0,5
smoothed,cgau8,17.052589800293735,0.7221871263226767,676.1569034202611,-31.048678055801773,698,127,38734.711603085736,-1723296.0216756654,True,"[3, 30, 78, 106, 136, 165, 190, 233, 265, 299, 347, 376, 413, 458, 493, 534, 562, 588, 618, 659, 695]","[3502.6220038880856, 3086.961799528697, 13311.961701967724, 13078.89070330491, 34622.79301911514, 6944.936647306584, 17555.766465914756, 12674.342765902264, 18281.30631753387, 24991.684006504594, 10822.89484192562, 48471.09525020685, 19065.22311538047, 148.44543863354738, 26988.404338658234, 40547.46237069408, 3700.19997062135, 16069.499329300474, 14661.95501571101, 5687.1524042334495, 4166.350910844019]",21,15.57538270789021,395265.5750437446,0.01860158259266685,6.2800052529750535e-06,0.2502815032985815,0.46875,61067758011.81226,-0.03657492053349987,0.04410392196595862,223481654756.7813,2.5662222213940934e+17,"[-0.0625, -0.0625, -0.0625, 0.0, -0.0625, -0.03125, -0.0625, -0.0625, 0.0, -0.0625, 0.0, -0.0625, -0.03125, 0.0, -0.03125, -0.0625, -0.03125, -0.0625, -0.0625, -0.03125, -0.0625, -0.0625, -0.0625, -0.0625, -0.03125, 0.0, -0.03125, -0.03125, -0.0625, -0.125, -0.0625, -0.03125, -0.0625, 0.0, -0.0625, -0.0625, -0.03125, 0.0, -0.03125, -0.0625, -0.0625, -0.0625]",0.0,,,"[0.0, 0.03125, 0.0625, 0.09375, 0.125, 0.15625, 0.1875, 0.21875, 0.25, 0.28125, 0.3125, 0.34375, 0.375, 0.40625, 0.4375, 0.46875]","[47460457064.216896, 19911011522.533085, 3376493790.0459113, 1646020055.5551054, 49088222.12092383, 18549684.34663038, 14878020.162359904, 9435054.581706358, 4658717.638121982, 2089996.778647515, 772447.0947872067, 384645.1395244147, 517516.04390879144, 915311.1985215058, 1848675.046501882, 2400665.3524620547]",3.0,0.7,flattop,32.0,16.0,,,19,32453.73912793732,372.87178039676655,116413.82008277762,"[30, 62, 96, 123, 156, 206, 256, 290, 316, 354, 398, 422, 460, 493, 523, 548, 579, 637, 680]","[116413.82008277762, 2813.8276974073124, 11081.430811197732, 5887.916271109505, 39066.96763450188, 24199.752618991555, 68583.54601147868, 1979.410568828207, 88793.07674756354, 1561.084982815004, 19380.924553925768, 28549.337270774296, 372.87178039676655, 76652.57082921226, 17030.69646738592, 656.6964468034021, 24559.671258095364, 4856.790984518295, 84180.65041302603]","[0, 58, 88, 119, 119, 119, 119, 287, 119, 351, 375, 375, 458, 119, 509, 543, 562, 615, 119]","[119, 119, 119, 127, 188, 216, 296, 296, 375, 375, 406, 463, 463, 615, 615, 562, 615, 641, 697]",0.05,30,1617269204064.1086,129988.92241369179,-129988.92241369179,,,,,,,,,,,,,,,,CWT,inu.32000013025095,61041998279.40622,0.03125,31565.304345328623,,0.0,115079.82008277762,223386201735.7,128654.92241369179,0.0,4.5,1.0,,0.0,0.0,,0.0,0.0,0.0,4.5,,4.0,,2.5662214018293926e+17,,,,0.19999999999999996,31565.304345328623,596187.043430809,31565.304345328626,,128654.92241369179,,,,,,,357.2051137300999,,,,0.024496936891619914,,0.0,0.0,0.12580660199200955,0.08900532559810236,1.0000000000000002,0.8057989098383356,0.834222267098581,0.3957919697818626,0.7140267018295696,0.6425726104888958,0.030736179203351144,0.8337233349706353,0.45127121027141137,0.5495408407214332,0.5495408407214332,0.5484075685914929,0.5590914269204251,0.1877918626560986,0.5,,0.840909090909091,0.9333333333333333,0.07449876809222206,0.07449876809222206,0.840909090909091,1.578475350722942,0.6084658010259262,11,2.313611592619635,1.0,1,0,0,0.5091494001015211,0.6803185879010653,6,0,0.0,0.5939863665343704,1.0,1,4.7871355387816905,0.6317588047091007,4.75,1.7718120805369126,0.6331870946622427,6,cgau,6.0,6.0,,1,0.6,,,2,5.0,6
smoothed,fbsp,19.34003960387542,0.7413194052749137,918.1649500165755,-38.181877955818045,698,127,85605.26914265945,-2122437.382365077,True,"[2, 30, 62, 99, 138, 166, 204, 232, 257, 290, 318, 345, 377, 416, 444, 472, 495, 525, 571, 600, 623, 647, 670, 695]","[6902.087934155774, 979.25067234374, 5206.881700564903, 7677.285785881788, 26692.584344124025, 9526.686385906316, 23585.39572494325, 13700.369043363753, 76442.73509121362, 1319.5452115188273, 18572.222612373276, 37675.6137314197, 14973.207215350012, 19364.546078657884, 14195.097849703277, 917.0773950754956, 86636.54395715505, 21723.21331057389, 574.9174813402133, 17084.455444310028, 496.39756060515356, 474.6006278430141, 2813.2127967228007, 3464.326406413864]",24,15.037963479283636,863790.2303567574,0.015437796344068581,1.7613943208510666e-07,0.15152712826658332,,,,,,,,,,,,,,,,,,,,21,35665.39977276741,135.31161074213742,205151.70041595446,"[30, 62, 95, 122, 156, 207, 233, 256, 290, 315, 355, 396, 421, 448, 492, 520, 543, 571, 600, 637, 666]","[205151.70041595446, 5357.861921129312, 5389.66333571657, 7590.94590955991, 31368.74483535952, 22037.700693632672, 1339.039066370373, 117744.6068105492, 2884.415184093925, 66958.64721543745, 1108.850907548118, 1893.7834761215054, 135.31161074213742, 11673.308676111279, 87838.74697045625, 16849.54383416626, 1509.7029116672747, 684.6750926080531, 17050.739338315463, 7808.1580703651125, 136597.2489522108]","[0, 59, 93, 120, 134, 134, 134, 134, 289, 297, 353, 375, 375, 375, 375, 509, 542, 561, 561, 561, 375]","[375, 375, 134, 134, 185, 217, 234, 375, 297, 375, 375, 397, 422, 460, 561, 561, 545, 572, 615, 640, 697]",0.05,30,8254943714256.096,305983.8169682276,-305983.8169682276,,,,,,,,,,,,,,,,CWT,inu.32000013025095,,,34776.96499015871,,,203817.70041595446,,304649.8169682276,0.0,-3.5,,,0.0,1.0,,,0.0,0.0,-8.0,,2.0,,,,,,,34776.96499015871,728539.3952281156,34776.96499015872,,304649.8169682276,,,,,,,119.64494407547079,,,,,,0.0,,,0.542940204198098,0.001337424675991919,0.3358367143492033,0.49399223428692535,0.6007900708508672,0.8537992417999013,0.3860904160436482,0.17846610091095716,0.0,0.14866216339077468,0.6669066768462757,0.6669066768462757,0.66553137096519,0.80319627878661,0.6750303735402171,0.0,,0.27272727272727276,1.0,0.4369345582003441,0.4369345582003441,0.4772727272727273,1.7810164885853788,0.6865407330378366,8,1.4795187733424477,0.6394845090083733,7,0,0,0.5208418880646691,0.695941933226726,5,0,0.0,0.3770280452350657,0.6347419174531667,10,2.0816659994661326,0.8398718461949128,7.5,7.044025157232705,0.631474384635918,7,fbsp,7.0,7.0,,1,0.7,,,3,6.0,7
smoothed,gaus5,21.965613334645237,0.6848814385307854,656.5930085902376,-34.18807149339635,698,127,51228.557254999374,,False,"[2, 52, 79, 104, 139, 164, 193, 221, 266, 321, 347, 386, 412, 435, 472, 505, 532, 566, 592, 619, 645, 696]","[6278.43996121909, 8880.81894047941, 20641.80201673649, 130590.09976088426, 18202.66082348989, 8334.437551595678, 61962.536027464754, 20560.505335356826, 52613.761683569624, 8761.125598799423, 74089.9331656421, 52692.51647526782, 27669.35392760666, 14665.44674021591, 20459.17378564693, 17542.72728544721, 64703.3438809526, 1356.8840554000562, 15259.960715071655, 85027.91047998575, 13007.67306365478, 407.3825051987369]",22,15.045138277101108,587768.736297412,0.014015109839554276,7.070657901382851e-07,0.002869176299574491,,,,,,,,,,,,,,,,,,,,20,37368.04746754749,407.3825051987369,216791.23470272258,"[52, 79, 104, 158, 181, 213, 239, 266, 321, 347, 402, 429, 455, 480, 505, 532, 568, 609, 639, 696]","[8880.81894047941, 20641.80201673649, 216791.23470272258, 18202.66082348989, 1560.0851695818328, 20560.505335356826, 6550.082058615157, 72281.35253337864, 8761.125598799423, 137625.27441833355, 27669.35392760666, 14665.44674021591, 20459.17378564693, 5142.2113776008955, 17542.72728544721, 119995.1942976132, 1356.8840554000562, 15259.960715071655, 13007.67306365478, 407.3825051987369]","[2, 2, 2, 139, 179, 193, 193, 193, 301, 193, 386, 386, 386, 472, 386, 386, 566, 592, 619, 2]","[58, 93, 619, 193, 193, 221, 243, 301, 325, 619, 412, 435, 472, 484, 513, 619, 619, 619, 645, 697]",0.05,30,3256983712954.3574,252455.70298878613,-252455.70298878613,,,,,,,,,,,,,,,,CWT,inu.32000013025095,,,36479.612684938795,,,215457.23470272258,,251121.70298878613,0.0,-13.0,,,0.0,-13.0,,,0.0,0.0,-13.0,,3.0,,,,,,,36479.612684938795,726926.9493509498,36479.6126849388,,251121.70298878613,,,,,,,391.7158385320703,,,,,,0.0,,,0.2100064957774849,0.08820307664136848,0.5989637933245314,0.4985344642015204,0.8360903726024957,0.4414867314982697,0.0,0.09143410964944838,,0.49523168375763116,0.7291276560912583,0.7291276560912583,0.7276240370868324,0.8002223545862257,0.7389402768642117,0.25,,0.045454545454545414,0.06666666666666665,0.3267012225559125,0.3267012225559125,0.045454545454545414,1.8248981449587085,0.7034560983511521,6,1.3293219025814702,0.574565716571431,11,0,0,0.4401043222637499,0.588061482527386,9,1,0.11111111111111112,0.3400343249063343,0.5724614975429045,11,2.362907813126304,0.8182378605287459,9.25,8.703296703296703,0.5533496994951421,9,gaus,7.125,7.0,4.703721930556695,8,0.7125,1.0,0.20124999999999998,1,7.0,8
