signal_type,wavelet,wavelet_energy_entropy,wavelet_sparsity,wavelet_adaptive_threshold,wavelet_psnr,signal_length,decomposition_levels,original_level,padded,emd_value,kl_divergence,wavelet_entropy,avg_variance_across_levels,variance_ratio_across_levels,smoothness,correlation,fft_frequency_max,fft_amplitude_max,fft_spectral_centroid,fft_spectral_bandwidth,fft_spectral_magnitude,fft_variance_magnitude,fft_num_peaks,fft_peak_amplitude,fft_dominant_frequency,fft_positive_frequencies,fft_positive_amplitudes,fft_snr_threshold,fft_stationarity_threshold,fft_dynamic_cutoff,fft_dynamic_cutoff_percentile,stft_frequency_max,stft_amplitude_max,stft_spectral_centroid,stft_spectral_bandwidth,stft_spectral_magnitude,stft_variance_magnitude,stft_peak_freq_over_time,stft_num_peaks,stft_peak_amplitude,stft_dominant_frequency,stft_positive_frequencies,stft_positive_amplitudes,stft_snr_threshold,stft_stationarity_threshold,stft_window,stft_nperseg,stft_noverlap,stft_dynamic_cutoff,stft_dynamic_cutoff_percentile,relative_num_peaks,avg_prominence,prominence_min,prominence_max,relative_peaks,relative_prominences,relative_left_bases,relative_right_bases,prominence_threshold,distance_factor,max_autocorrelation,upper_envelope,lower_envelope,wavelet_type,htid,fft_frequency_max_diff,fft_snr_threshold_diff,lower_envelope_diff,stft_dynamic_cutoff_percentile_diff,relative_peaks_array_alignment_score,relative_peaks_global_alignment_score,prominence_threshold_diff,prominence_min_diff,stft_window_diff,fft_peak_amplitude_diff,avg_prominence_diff,stft_spectral_bandwidth_diff,stft_num_peaks_diff,stft_variance_magnitude_diff,stft_noverlap_diff,fft_spectral_centroid_diff,stft_dominant_frequency_diff,stft_nperseg_diff,fft_variance_magnitude_diff,stft_snr_threshold_diff,stft_dynamic_cutoff_diff,distance_factor_diff,fft_stationarity_threshold_diff,fft_amplitude_max_diff,fft_spectral_magnitude_diff,relative_left_bases_array_alignment_score,relative_left_bases_global_alignment_score,relative_prominences_avg_diff,relative_prominences_total_diff,relative_prominences_wasserstein,max_autocorrelation_diff,stft_spectral_centroid_diff,stft_amplitude_max_diff,fft_dynamic_cutoff_diff,fft_num_peaks_diff,stft_peak_amplitude_diff,prominence_max_diff,upper_envelope_diff,relative_right_bases_array_alignment_score,relative_right_bases_global_alignment_score,stft_stationarity_threshold_diff,fft_dominant_frequency_diff,fft_dynamic_cutoff_percentile_diff,stft_frequency_max_diff,stft_spectral_magnitude_diff,relative_num_peaks_diff,fft_spectral_bandwidth_diff,emd_value_normalized,wavelet_psnr_normalized,wavelet_entropy_normalized,wavelet_energy_entropy_normalized,wavelet_sparsity_normalized,correlation_normalized,avg_variance_across_levels_normalized,kl_divergence_normalized,prominence_min_diff_normalized,avg_prominence_diff_normalized,relative_prominences_avg_diff_normalized,relative_prominences_wasserstein_normalized,relative_prominences_total_diff_normalized,prominence_max_diff_normalized,relative_num_peaks_diff_normalized,max_autocorrelation_diff_normalized,relative_right_bases_global_alignment_score_normalized,relative_right_bases_array_alignment_score_normalized,relative_left_bases_global_alignment_score_normalized,relative_left_bases_array_alignment_score_normalized,upper_envelope_diff_normalized,lower_envelope_diff_normalized,relative_peaks_array_alignment_score_normalized,relative_peaks_global_alignment_score_normalized,reconstruction_signal_weighted_score,reconstruction_signal_normalized_weighted_score,reconstruction_signal_normalized_weighted_rank,wavelet_signal_weighted_score,wavelet_signal_normalized_weighted_score,wavelet_signal_normalized_weighted_rank,reconstruction_signal_num_missing_metrics,reconstruction_signal_missing_metrics_count,reconstruction_signal_dynamically_weighted_score,reconstruction_signal_normalized_dynamically_weighted_score,reconstruction_signal_normalized_dynamically_weighted_rank,wavelet_signal_num_missing_metrics,wavelet_signal_missing_metrics_count,wavelet_signal_dynamically_weighted_score,wavelet_signal_normalized_dynamically_weighted_score,wavelet_signal_normalized_dynamically_weighted_rank,rank_variability,normalized_rank_stability,average_rank,harmonic_average_rank,stability_score_weighted,stability_rank,wavelet_family,family_mean_stability_rank,family_median_stability_rank,family_rank_std_dev,family_wavelet_count,normalized_family_mean_rank,normalized_family_std_dev,final_family_stability_score,final_family_stability_rank,family_informed_rank,top_wavelet_rank
raw,sym9,1092828.4877485556,0.7321428571428571,359.80440024725857,8.642501232837832,28,2,False,False,403.4430378143021,,5.807102277085509,433276.4232933887,0.6289535739209005,6.645191905633791e-07,0.8755210917499313,0.46428571428571425,26032.843256163935,0.1283791255511988,0.13986420302163094,64847.6879766188,39109635.29264965,2,6928.941186168968,0.14285714285714285,"[0.0, 0.03571428571428571, 0.07142857142857142, 0.10714285714285714, 0.14285714285714285, 0.17857142857142855, 0.21428571428571427]","[26032.843256163935, 2704.347073454753, 4148.079397659423, 1189.811403835647, 6928.941186168968, 6254.133988572849, 3226.7576713035114]",3.0,0.3,217.54928805393163,15,0.5,3236827.756682913,0.2473948376663762,0.07526626707128849,16312835.442074519,1260370469697.9236,[0.25],1,53830.7740054548,0.03571428571428571,"[0.0, 0.03571428571428571, 0.07142857142857142, 0.10714285714285714, 0.14285714285714285, 0.17857142857142855, 0.21428571428571427]","[33107.904196482756, 53830.7740054548, 43482.67109068954, 458980.54838535923, 1241990.235048152, 2277902.4380067373, 2995196.096285109]",3.0,0.3,flattop,28,14,217.54928805393163,15.0,7,1170.6082066555753,176.98382760150753,2328.4584110544256,"[4, 8, 10, 13, 19, 23, 25]","[2328.4584110544256, 450.7870974770468, 601.9254438863525, 1420.7930437028845, 2100.719148160159, 1114.5904747066502, 176.98382760150753]","[0, 7, 9, 9, 15, 21, 24]","[15, 9, 11, 15, 21, 27, 27]",0.05,10,36527732.822817564,2093.97433601984,-2093.97433601984,SWT,inu.32000013032851,0.0,0.0,716.9743360198399,,0.0,17.0,0.0,106.98382760150753,,4069.6290144897057,661.3859844333531,0.0478345318847683,1.0,1201832950262.5215,6.0,0.012264813282018505,,12.0,19325317.951843426,0.0,,0.0,0.0,7624.843256163935,27052.633257754052,0.0,17.0,661.3859844333531,3611.2574465890266,661.385984433353,21473882.822817564,0.00017141001349396667,1753729.122432519,130.00071194606838,0.0,,1231.4584110544256,716.9743360198399,0.0,17.0,0.0,0.07142857142857142,0.0,0.0,12729413.254574519,2.0,0.0093991570454941,0.9030633809064953,0.9130847727380992,0.62830293559572,0.10288312198094444,0.5999999999999999,0.9705723929636654,0.0229399731792851,,0.2640957740313984,0.9440187019577477,0.9440187019577477,0.933271752646315,0.8115134907024302,0.7898275692214147,0.5,0.7710986296301217,0.8214285714285714,0.0,0.8245614035087719,0.0,0.4883602022015491,0.4883602022015491,0.0,0.7076923076923077,2.8133228638677616,0.8746030372565694,4,1.8217678531603205,1.0,1,0,0,0.5805154566987453,0.7918322077852985,9,1,0.125,0.5852995110520298,1.0,1,3.774917217635375,0.9594094922834906,3.75,1.6941176470588235,0.9595434558191647,1,sym,45.375,45.0,29.897324294993357,16,0.7981743070362473,0.849043260113672,0.1865650070405253,3,1.5,1
raw,sym17,1068229.6150632564,0.6785714285714286,355.2258951854444,8.931584814678095,28,2,False,False,359.9446841556398,,5.824878221038826,432660.38383586437,0.6284252629230762,7.981146925484748e-07,0.8712085716880351,0.46428571428571425,26032.843256163942,0.12481436982484212,0.13893085359814014,63374.682118732846,39208529.72375642,2,6815.055024107793,0.14285714285714285,"[0.0, 0.03571428571428571, 0.07142857142857142, 0.10714285714285714, 0.14285714285714285, 0.17857142857142855, 0.21428571428571427]","[26032.843256163942, 2704.205224107864, 4056.1481779112173, 1080.1957907585193, 6815.055024107793, 6261.784053420609, 3469.126401021167]",3.0,0.3,264.47881011454484,15,0.5,5936783.85883723,0.20605888449289786,0.09917828014889266,14094986.598695053,1149242576281.4932,"[0.125, 0.1875]",0,,,"[0.0, 0.0625, 0.125, 0.1875]","[5.492996255234949e-26, 951937.3044004631, 3419008.441650186, 5936783.85883723]",3.0,0.3,boxcar,16,8,,,6,1209.596954045472,329.55309894893105,2306.784459154849,"[4, 8, 10, 14, 20, 25]","[2000.6137730130235, 895.1800974739158, 329.55309894893105, 1321.6192136950635, 2306.784459154849, 403.8310819870494]","[0, 7, 9, 9, 0, 22]","[15, 9, 11, 15, 22, 27]",0.05,10,35662993.05870758,2167.6058536496434,-2167.6058536496434,SWT,inu.32000013032851,0.0,0.0,790.6058536496434,,0.0,21.0,0.0,259.55309894893105,,3955.7428524285306,700.3747318232499,0.02392251880716413,0.0,1090705056846.0912,0.0,0.008700057555661833,,0.0,19424212.382950194,0.0,,0.0,0.0,7624.843256163942,25579.6273998681,0.0,16.5,700.3747318232499,2674.5817242728326,700.3747318232499,20609143.05870758,0.04150736318697232,4453685.224586836,83.07118988545517,0.0,,1209.7844591548492,790.6058536496434,0.0,12.0,0.0,0.07142857142857142,0.0,0.0,10511564.411195053,3.0,0.010332506468984898,0.6034934354677661,0.9578600028438298,0.6542458931937423,0.08837507113680607,0.40000000000000013,0.9675232342949773,0.02015930822463738,,0.6507433457284608,1.0,1.0,1.0,0.5989521731116956,0.775180617399152,0.75,0.6953467132457665,0.6428571428571428,0.0,0.8070175438596492,0.0,0.5512171861290832,0.5512171861290832,0.0,0.8307692307692307,2.961590944874003,0.9206964720491845,2,1.682147531519748,0.9233599816802314,12,0,0,0.615831321201829,0.8400036020808945,6,1,0.125,0.521129563594537,0.8903639141229549,11,4.645786621588784,0.9500453051442066,7.75,4.756756756756757,0.9333559859054366,2,sym,45.375,45.0,29.897324294993357,16,0.7981743070362473,0.849043260113672,0.1865650070405253,3,2.25,2
raw,rbio2.8,1427462.7581086245,0.7142857142857143,408.10582207243016,8.649806945989218,28,2,False,False,305.6881856342745,-3656.9217531084582,5.928408495705948,432982.07049324596,0.6100025739947534,5.44411494753948e-07,0.7960545739167393,0.46428571428571425,26032.843256163935,0.13282142398236657,0.14679312425978022,62263.33521780301,39159812.46122348,2,5669.048332059607,0.14285714285714285,"[0.0, 0.03571428571428571, 0.07142857142857142, 0.10714285714285714, 0.14285714285714285, 0.17857142857142855, 0.21428571428571427]","[26032.843256163935, 2668.119358933618, 3584.9121298458936, 861.4349826734357, 5669.048332059607, 4846.609317322729, 2403.353221178748]",3.0,0.3,285.5085568287761,15,0.5,2752536.8882538667,0.26834810449540103,0.07767027270239214,15416308.380465139,1007719966768.9801,[0.2857142857142857],0,,,"[0.0, 0.03571428571428571, 0.07142857142857142, 0.10714285714285714, 0.14285714285714285, 0.17857142857142855, 0.21428571428571427]","[11156.119661670566, 37210.63552335312, 110616.35726438288, 344776.49653230945, 779297.1609079693, 1446986.7506908902, 2124616.914968054]",3.0,0.3,flattop,28,14,,,9,924.4463456306985,125.42616390646094,2534.259021786234,"[2, 4, 8, 10, 14, 17, 20, 23, 26]","[192.95363683580663, 1592.9285858237413, 567.1551063316441, 858.7069308558929, 1875.9613585925445, 200.4593860092558, 2534.259021786234, 372.16692053470615, 125.42616390646094]","[1, 3, 7, 9, 12, 16, 12, 22, 22]","[3, 12, 12, 12, 16, 18, 22, 24, 27]",0.05,10,34901890.994103625,2594.420531321493,-2594.420531321493,SWT,inu.32000013032851,0.0,0.0,1217.420531321493,,0.6666666666666666,25.5,0.0,55.42616390646094,,2809.7361603803447,415.22412340847626,0.045430526253664644,0.0,949182447333.5781,6.0,0.016707111713186285,,12.0,19375495.12041726,0.0,,0.0,0.0,7624.843256163935,24468.280498938264,0.4444444444444444,13.5,415.22412340847626,3737.0171106762864,426.01092651753055,19848040.994103625,0.020781856815530853,1269438.2540034729,62.04144317122393,0.0,,1437.259021786234,1217.420531321493,0.3333333333333333,9.0,0.0,0.07142857142857142,0.0,0.0,11832886.192965139,0.0,0.002470235807344817,0.22983294180204497,0.9142163312491616,0.8053423150127063,0.30024545929961355,0.5333333333333334,0.914385750758228,0.021611330174909068,0.09982536546951865,0.1334361379591429,0.590571581154886,0.590571581154886,0.5304333406186222,0.8400523321192384,0.9289047271088029,0.0,0.6286735447958584,0.5357142857142857,0.5999999999999999,0.7017543859649122,0.7999999999999998,0.9155758765113651,0.9155758765113651,1.0,0.9692307692307692,2.776142465896831,0.8630444318048375,5,1.797935880340666,0.9869182164026488,2,0,0,0.6675309024277583,0.9105226435143547,4,0,0.0,0.47734910338743947,0.8155638171121005,17,6.782329983125268,0.9270717206115563,7.0,3.9650145772594754,0.9259014517036276,3,rbio,22.416666666666668,19.0,19.209175522193142,12,0.3943230277185501,0.5455144028454014,0.5603195597433945,1,2.5,3
raw,rbio1.5,1293392.9806918784,0.5892857142857143,303.9279995994129,8.821446253106892,28,2,False,False,365.19295481814925,,5.82764423525326,442027.84104880516,0.6297852788379714,5.110206829186936e-07,0.914441897999169,0.46428571428571425,26032.843256163935,0.133547467524287,0.14313733465095177,65519.97817501284,39014127.10549583,2,6207.155738515337,0.14285714285714285,"[0.0, 0.03571428571428571, 0.07142857142857142, 0.10714285714285714, 0.14285714285714285, 0.17857142857142855, 0.21428571428571427]","[26032.843256163935, 2691.5478582661513, 4258.3677041793335, 1184.7167198056757, 6207.155738515337, 5697.987591983223, 2970.657321368293]",3.0,0.3,211.6118776125132,15,0.5,3016485.311326161,0.2657222608580262,0.0741602717863855,16959159.192611214,1303629933110.2373,[0.25],0,,,"[0.0, 0.03571428571428571, 0.07142857142857142, 0.10714285714285714, 0.14285714285714285, 0.17857142857142855, 0.21428571428571427]","[7753.744299933137, 19845.125251407, 34384.55344340211, 326585.01519581035, 927000.5690422942, 1805397.6762078567, 2516941.155082208]",3.0,0.3,flattop,28,14,,,8,1128.1055970760917,29.52120275080142,2253.531025080362,"[4, 6, 8, 10, 13, 19, 23, 25]","[2253.531025080362, 29.52120275080142, 225.7261942601881, 900.3072134047918, 1898.869724738329, 2236.1616363748276, 418.38197268775934, 1062.3458073116735]","[0, 5, 5, 9, 11, 15, 21, 21]","[15, 7, 9, 11, 15, 21, 24, 27]",0.05,10,36879392.51393541,2264.015505072736,-2264.015505072736,SWT,inu.32000013032851,0.0,0.0,887.0155050727358,,0.0,22.0,0.0,40.47879724919858,,3347.8435668360753,618.8833748538696,0.04894052716967129,0.0,1245092413674.8352,6.0,0.01743315525510672,,12.0,19229809.76468961,0.0,,0.0,0.0,7624.843256163935,27724.92345614809,0.0,13.0,618.8833748538696,4441.844776608734,631.4349522628252,21825542.51393541,0.018156013178156016,1533386.6770757672,135.9381223874868,0.0,,1156.5310250803618,887.0155050727358,0.0,17.5,0.0,0.07142857142857142,0.0,0.0,13375737.005111214,1.0,0.00612602541617327,0.6396378874705502,0.9408009937971322,0.6582827302623684,0.22117308991469897,0.06666666666666682,0.9980912710358547,0.062441924488967356,,0.0955558821890564,0.882992087518241,0.882992087518241,0.8820113245236345,1.0,0.7391926957283326,0.25,0.8019043085440835,0.8392857142857143,0.0,0.6842105263157895,0.0,0.6335191690982295,0.6335191690982295,0.0,0.8615384615384616,2.771678900668094,0.8616568030487554,7,1.6469798174845738,0.9040558129442605,14,0,0,0.5741700891473759,0.7831770267053958,10,1,0.125,0.5061920805194626,0.8648428214293605,13,3.1622776601683795,0.9659970144067916,11.0,10.224719101123595,0.9238587222571593,4,rbio,22.416666666666668,19.0,19.209175522193142,12,0.3943230277185501,0.5455144028454014,0.5603195597433945,1,3.25,4
raw,rbio1.3,1216635.927695507,0.6428571428571429,289.3552497397155,8.884747492136206,28,2,False,False,366.6825049945848,,5.814665929154204,438647.9554368624,0.63066422036588,5.370593573350254e-07,0.9171414728147165,0.46428571428571425,26032.843256163935,0.13183856070778316,0.1422647559427541,65506.80257012222,38912826.87024007,2,6156.811329763192,0.14285714285714285,"[0.0, 0.03571428571428571, 0.07142857142857142, 0.10714285714285714, 0.14285714285714285, 0.17857142857142855, 0.21428571428571427]","[26032.843256163935, 2717.3292205040025, 4620.723849003566, 1265.280989478283, 6156.811329763192, 5650.637195945983, 2994.032546090951]",3.0,0.3,181.36858150088972,15,0.5,6121022.919949567,0.2396769071937482,0.10955095945144408,16192456.10670169,1384803540020.4026,"[0.3125, 0.3125]",0,,,"[0.0, 0.0625, 0.125, 0.1875]","[548493.3803951731, 820578.4708480998, 2108064.1107459776, 4544969.128190919]",3.0,0.3,tukey,16,8,,,8,1110.5624060664081,62.728260159569345,2240.3261431340325,"[4, 6, 8, 10, 13, 19, 23, 25]","[2240.3261431340325, 62.728260159569345, 234.88555153394645, 842.9645279515458, 1869.2598567529267, 2166.5532861232978, 400.0397404216325, 1067.7418824543142]","[0, 5, 5, 9, 11, 15, 21, 21]","[15, 7, 9, 11, 15, 21, 24, 27]",0.05,10,36769284.334326655,2280.3189014324225,-2280.3189014324225,SWT,inu.32000013032851,0.0,0.0,903.3189014324225,,0.0,22.0,0.0,7.271739840430655,,3297.4991580839296,601.340183844186,0.013549839504612707,0.0,1326266020585.0005,0.0,0.015724248438602872,,0.0,19128509.529433846,0.0,,0.0,0.0,7624.843256163935,27711.747851257474,0.0,13.0,601.340183844186,4301.499248531265,605.0811437190744,21715434.334326655,0.00788934048612197,4637924.285699173,166.1814184991103,0.0,,1143.3261431340325,903.3189014324225,0.0,17.5,0.0,0.07142857142857142,0.0,0.0,12609033.91920169,1.0,0.00699860412437095,0.6498963094003692,0.9506055199672886,0.6393416464185977,0.17590291669318037,0.26666666666666694,0.9999999999999999,0.04718587334312604,,0.011401137285885654,0.8578030093797689,0.8578030093797689,0.83690745294671,0.968151165173422,0.7302690222523232,0.25,0.7922587412172002,0.8392857142857143,0.0,0.6842105263157895,0.0,0.6474368820007034,0.6474368820007034,0.0,0.8615384615384616,2.6981459161872365,0.8387969413558526,9,1.6984955023602901,0.9323336666709849,11,0,0,0.5615313752360283,0.7659376222683446,17,1,0.125,0.5265498474984612,0.8996246153563827,8,4.031128874149275,0.956654528234954,11.25,10.366891241578442,0.9178433931497351,5,rbio,22.416666666666668,19.0,19.209175522193142,12,0.3943230277185501,0.5455144028454014,0.5603195597433945,1,4.0,5
raw,db1,1166919.9596411402,0.6607142857142857,309.56428578360834,8.63825561921996,28,2,False,False,380.4544001734312,,5.8037706035024055,436238.9872448981,0.6314734054774075,5.987032940447369e-07,0.9098431387879716,0.46428571428571425,26032.843256163935,0.12688192826208014,0.1391190320845275,66292.3096966959,38892544.435205586,2,6229.735885286024,0.14285714285714285,"[0.0, 0.03571428571428571, 0.07142857142857142, 0.10714285714285714, 0.14285714285714285, 0.17857142857142855, 0.21428571428571427]","[26032.843256163935, 3088.4283756796763, 5865.194550111119, 1445.4206238414747, 6229.735885286024, 5512.203322571615, 2975.3929662504247]",3.0,0.3,163.47284540903797,15,0.5,5457781.296950808,0.22645229116173318,0.11450885690251235,16043885.643549077,1165797752913.9463,"[0.3125, 0.3125]",0,,,"[0.0, 0.0625, 0.125, 0.1875]","[663498.8955631208, 1396596.6956176425, 2339305.3432010543, 4230693.1715038335]",3.0,0.3,tukey,16,8,,,8,1066.4588104135385,82.26450198781731,2177.3430714121178,"[4, 6, 8, 10, 13, 19, 23, 25]","[2177.3430714121178, 82.26450198781731, 283.36962440920024, 753.0966799187809, 1773.4818895055198, 2028.032754781852, 355.1316010800755, 1078.950360212944]","[0, 5, 5, 9, 11, 15, 21, 21]","[15, 7, 9, 11, 15, 27, 24, 27]",0.05,10,37277211.80725989,2355.3506473629427,-2355.3506473629427,SWT,inu.32000013032851,0.0,0.0,978.3506473629427,,0.0,22.0,0.0,12.264501987817312,,3370.4237136067622,557.2365881913163,0.008591942053544438,0.0,1107260233478.5442,0.0,0.010767615992899854,,0.0,19108227.094399363,0.0,,0.0,0.0,7624.843256163935,28497.25497783115,0.0,13.0,557.2365881913163,3948.6704833083077,558.0347964694324,22223361.807259887,0.021113956518136995,3974682.6627004137,184.07715459096204,0.0,,1080.3430714121178,978.3506473629427,0.0,22.0,0.0,0.07142857142857142,0.0,0.0,12460463.456049077,1.0,0.01014432798259754,0.7447423332220853,0.9124271832428047,0.6234405515375858,0.14658117493997538,0.3333333333333333,0.9948397275501959,0.03631232726350351,,0.024054008622946432,0.7944776476212102,0.7944776476212102,0.7563888288173555,0.8880831699933496,0.687705948318998,0.25,0.8367536066736954,1.0,0.0,0.6842105263157895,0.0,0.7114891981803246,0.7114891981803246,0.0,0.8615384615384616,2.642415226509239,0.8214714395136044,15,1.701684028409902,0.9340839039715721,9,0,0,0.5625417651177291,0.7673158099488259,14,1,0.125,0.5354180901556406,0.9147762471102507,5,4.645786621588784,0.9500453051442066,10.75,8.904593639575971,0.9172269536473721,6,db,56.84848484848485,60.0,21.123330129446355,33,1.0,0.5998737847107556,0.12003786458677332,5,5.75,6
raw,bior1.1,1166919.9596411402,0.6607142857142857,309.56428578360834,8.63825561921996,28,2,False,False,380.4544001734312,,5.8037706035024055,436238.9872448981,0.6314734054774075,5.987032940447369e-07,0.9098431387879716,0.46428571428571425,26032.843256163935,0.12688192826208014,0.1391190320845275,66292.3096966959,38892544.435205586,2,6229.735885286024,0.14285714285714285,"[0.0, 0.03571428571428571, 0.07142857142857142, 0.10714285714285714, 0.14285714285714285, 0.17857142857142855, 0.21428571428571427]","[26032.843256163935, 3088.4283756796763, 5865.194550111119, 1445.4206238414747, 6229.735885286024, 5512.203322571615, 2975.3929662504247]",3.0,0.3,163.47284540903797,15,0.5,5457781.296950808,0.22645229116173318,0.11450885690251235,16043885.643549077,1165797752913.9463,"[0.3125, 0.3125]",0,,,"[0.0, 0.0625, 0.125, 0.1875]","[663498.8955631208, 1396596.6956176425, 2339305.3432010543, 4230693.1715038335]",3.0,0.3,tukey,16,8,,,8,1066.4588104135385,82.26450198781731,2177.3430714121178,"[4, 6, 8, 10, 13, 19, 23, 25]","[2177.3430714121178, 82.26450198781731, 283.36962440920024, 753.0966799187809, 1773.4818895055198, 2028.032754781852, 355.1316010800755, 1078.950360212944]","[0, 5, 5, 9, 11, 15, 21, 21]","[15, 7, 9, 11, 15, 27, 24, 27]",0.05,10,37277211.80725989,2355.3506473629427,-2355.3506473629427,SWT,inu.32000013032851,0.0,0.0,978.3506473629427,,0.0,22.0,0.0,12.264501987817312,,3370.4237136067622,557.2365881913163,0.008591942053544438,0.0,1107260233478.5442,0.0,0.010767615992899854,,0.0,19108227.094399363,0.0,,0.0,0.0,7624.843256163935,28497.25497783115,0.0,13.0,557.2365881913163,3948.6704833083077,558.0347964694324,22223361.807259887,0.021113956518136995,3974682.6627004137,184.07715459096204,0.0,,1080.3430714121178,978.3506473629427,0.0,22.0,0.0,0.07142857142857142,0.0,0.0,12460463.456049077,1.0,0.01014432798259754,0.7447423332220853,0.9124271832428047,0.6234405515375858,0.14658117493997538,0.3333333333333333,0.9948397275501959,0.03631232726350351,,0.024054008622946432,0.7944776476212102,0.7944776476212102,0.7563888288173555,0.8880831699933496,0.687705948318998,0.25,0.8367536066736954,1.0,0.0,0.6842105263157895,0.0,0.7114891981803246,0.7114891981803246,0.0,0.8615384615384616,2.642415226509239,0.8214714395136044,17,1.701684028409902,0.9340839039715721,7,0,0,0.5625417651177291,0.7673158099488259,13,1,0.125,0.5354180901556406,0.9147762471102507,6,5.188127472091127,0.9442136830957943,10.75,8.983305105250423,0.914311142623166,7,bior,44.666666666666664,25.0,35.212957571785715,15,0.7857142857142856,1.0,0.15000000000000008,4,6.25,7
raw,rbio1.1,1166919.9596411402,0.6607142857142857,309.56428578360834,8.63825561921996,28,2,False,False,380.4544001734312,,5.8037706035024055,436238.9872448981,0.6314734054774075,5.987032940447369e-07,0.9098431387879716,0.46428571428571425,26032.843256163935,0.12688192826208014,0.1391190320845275,66292.3096966959,38892544.435205586,2,6229.735885286024,0.14285714285714285,"[0.0, 0.03571428571428571, 0.07142857142857142, 0.10714285714285714, 0.14285714285714285, 0.17857142857142855, 0.21428571428571427]","[26032.843256163935, 3088.4283756796763, 5865.194550111119, 1445.4206238414747, 6229.735885286024, 5512.203322571615, 2975.3929662504247]",3.0,0.3,163.47284540903797,15,0.5,5457781.296950808,0.22645229116173318,0.11450885690251235,16043885.643549077,1165797752913.9463,"[0.3125, 0.3125]",0,,,"[0.0, 0.0625, 0.125, 0.1875]","[663498.8955631208, 1396596.6956176425, 2339305.3432010543, 4230693.1715038335]",3.0,0.3,tukey,16,8,,,8,1066.4588104135385,82.26450198781731,2177.3430714121178,"[4, 6, 8, 10, 13, 19, 23, 25]","[2177.3430714121178, 82.26450198781731, 283.36962440920024, 753.0966799187809, 1773.4818895055198, 2028.032754781852, 355.1316010800755, 1078.950360212944]","[0, 5, 5, 9, 11, 15, 21, 21]","[15, 7, 9, 11, 15, 27, 24, 27]",0.05,10,37277211.80725989,2355.3506473629427,-2355.3506473629427,SWT,inu.32000013032851,0.0,0.0,978.3506473629427,,0.0,22.0,0.0,12.264501987817312,,3370.4237136067622,557.2365881913163,0.008591942053544438,0.0,1107260233478.5442,0.0,0.010767615992899854,,0.0,19108227.094399363,0.0,,0.0,0.0,7624.843256163935,28497.25497783115,0.0,13.0,557.2365881913163,3948.6704833083077,558.0347964694324,22223361.807259887,0.021113956518136995,3974682.6627004137,184.07715459096204,0.0,,1080.3430714121178,978.3506473629427,0.0,22.0,0.0,0.07142857142857142,0.0,0.0,12460463.456049077,1.0,0.01014432798259754,0.7447423332220853,0.9124271832428047,0.6234405515375858,0.14658117493997538,0.3333333333333333,0.9948397275501959,0.03631232726350351,,0.024054008622946432,0.7944776476212102,0.7944776476212102,0.7563888288173555,0.8880831699933496,0.687705948318998,0.25,0.8367536066736954,1.0,0.0,0.6842105263157895,0.0,0.7114891981803246,0.7114891981803246,0.0,0.8615384615384616,2.642415226509239,0.8214714395136044,18,1.701684028409902,0.9340839039715721,10,0,0,0.5625417651177291,0.7673158099488259,12,1,0.125,0.5354180901556406,0.9147762471102507,7,4.645786621588784,0.9500453051442066,11.75,10.47817047817048,0.9118506095613506,8,rbio,22.416666666666668,19.0,19.209175522193142,12,0.3943230277185501,0.5455144028454014,0.5603195597433945,1,6.25,8
