signal_type,wavelet,wavelet_energy_entropy,wavelet_sparsity,wavelet_adaptive_threshold,wavelet_psnr,signal_length,scales_used,emd_value,kl_divergence,is_complex,wavelet_entropy,avg_variance_across_levels,variance_ratio_across_levels,smoothness,correlation,relative_num_peaks,avg_prominence,prominence_min,prominence_max,relative_peaks,relative_prominences,relative_left_bases,relative_right_bases,prominence_threshold,distance_factor,max_autocorrelation,upper_envelope,lower_envelope,fft_frequency_max,fft_amplitude_max,fft_spectral_centroid,fft_spectral_bandwidth,fft_spectral_magnitude,fft_variance_magnitude,fft_num_peaks,fft_peak_amplitude,fft_dominant_frequency,fft_positive_frequencies,fft_positive_amplitudes,fft_snr_threshold,fft_stationarity_threshold,fft_dynamic_cutoff,fft_dynamic_cutoff_percentile,wavelet_type,htid,fft_frequency_max_diff,fft_stationarity_threshold_diff,fft_amplitude_max_diff,fft_spectral_magnitude_diff,relative_left_bases_array_alignment_score,relative_left_bases_global_alignment_score,fft_snr_threshold_diff,lower_envelope_diff,relative_peaks_array_alignment_score,relative_peaks_global_alignment_score,relative_prominences_avg_diff,relative_prominences_total_diff,relative_prominences_wasserstein,max_autocorrelation_diff,prominence_threshold_diff,prominence_min_diff,fft_peak_amplitude_diff,fft_dynamic_cutoff_diff,avg_prominence_diff,fft_num_peaks_diff,prominence_max_diff,upper_envelope_diff,relative_right_bases_array_alignment_score,relative_right_bases_global_alignment_score,fft_dominant_frequency_diff,fft_dynamic_cutoff_percentile_diff,fft_spectral_centroid_diff,relative_num_peaks_diff,fft_variance_magnitude_diff,fft_spectral_bandwidth_diff,distance_factor_diff,emd_value_normalized,smoothness_normalized,wavelet_psnr_normalized,wavelet_entropy_normalized,wavelet_energy_entropy_normalized,wavelet_sparsity_normalized,correlation_normalized,avg_variance_across_levels_normalized,kl_divergence_normalized,prominence_min_diff_normalized,avg_prominence_diff_normalized,relative_prominences_avg_diff_normalized,relative_prominences_wasserstein_normalized,relative_prominences_total_diff_normalized,prominence_max_diff_normalized,relative_num_peaks_diff_normalized,max_autocorrelation_diff_normalized,relative_right_bases_global_alignment_score_normalized,relative_right_bases_array_alignment_score_normalized,relative_left_bases_global_alignment_score_normalized,relative_left_bases_array_alignment_score_normalized,upper_envelope_diff_normalized,lower_envelope_diff_normalized,relative_peaks_array_alignment_score_normalized,relative_peaks_global_alignment_score_normalized,reconstruction_signal_weighted_score,reconstruction_signal_normalized_weighted_score,reconstruction_signal_normalized_weighted_rank,wavelet_signal_weighted_score,wavelet_signal_normalized_weighted_score,wavelet_signal_normalized_weighted_rank,reconstruction_signal_num_missing_metrics,reconstruction_signal_missing_metrics_count,reconstruction_signal_dynamically_weighted_score,reconstruction_signal_normalized_dynamically_weighted_score,reconstruction_signal_normalized_dynamically_weighted_rank,wavelet_signal_num_missing_metrics,wavelet_signal_missing_metrics_count,wavelet_signal_dynamically_weighted_score,wavelet_signal_normalized_dynamically_weighted_score,wavelet_signal_normalized_dynamically_weighted_rank,rank_variability,normalized_rank_stability,average_rank,harmonic_average_rank,stability_score_weighted,stability_rank,wavelet_family,family_mean_stability_rank,family_median_stability_rank,family_rank_std_dev,family_wavelet_count,normalized_family_mean_rank,normalized_family_std_dev,final_family_stability_score,final_family_stability_rank,family_informed_rank,top_wavelet_rank
raw,gaus4,19.97419223347144,0.649470540320391,439.8353709623648,-34.58496551920182,261,127,33524.35883575015,,False,14.031185223175349,123168.43623168061,0.016342933974613887,6.86598461784217e-07,0.1562205512776818,15,12450.117074892192,322.4414244771506,80587.41564558033,"[29, 43, 55, 68, 78, 107, 118, 127, 140, 152, 164, 181, 193, 232, 240]","[489.28264412902354, 80587.41564558033, 798.8117278526915, 1160.3863842275969, 15678.942060573543, 325.3910342780554, 4310.177270230654, 752.6945835888328, 4518.36640551098, 2793.90995239931, 507.4889203155235, 704.4755406626109, 322.4414244771506, 930.3479888765141, 72871.62454068007]","[0, 0, 53, 67, 69, 106, 114, 125, 135, 148, 159, 148, 148, 0, 0]","[33, 148, 69, 69, 148, 148, 148, 148, 148, 159, 165, 183, 194, 235, 260]",0.05,30,437683376315.05035,74287.21917553479,-74287.21917553479,,,,,,,,,,,,,,,,CWT,uc1.b4952553,,,,,0.0,-3.0,,73526.21917553479,0.0,-3.0,11946.367074892192,174661.7561233829,11951.327971464385,,0.0,131.44142447715058,,,11946.367074892192,,79827.41564558033,73526.21917553479,0.0,-12.0,,,,9.0,,,0.0,0.16237695061058752,0.17644141127833998,0.5810890203433012,0.5457342685542431,0.7525311097352535,0.4141713091922005,0.7157626425523778,0.02880088161800071,,0.05457092986447924,0.9840465202635529,0.9840465202635529,0.9808552289296122,0.637758284060577,0.47041741083813216,0.5625,,0.14285714285714285,0.0,0.9714285714285715,0.0,0.18229369762248285,0.18229369762248285,0.0,0.5,1.9644896577232787,0.8814507360076566,4,1.562925543262439,0.7036337052496863,5,0,0,0.44353786691670577,0.8735512295316079,7,1,0.11111111111111112,0.41655789367998247,0.727672373747049,5,1.2583057392117916,0.9101210186277292,5.25,5.045045045045045,0.7675605093138647,2,gaus,8.25,8.5,4.77343841331532,8,0.825,1.0,0.12250000000000003,1,1.75,1
raw,morl,19.286990002165737,0.6694723504389537,294.75425242637294,-29.141967573489296,261,127,17348.788977149892,,False,13.861763533201398,93880.50057873948,0.029176741139599182,2.5372404733563302e-08,0.21820078067581686,22,11201.74628332764,109.84150853371716,64203.85975846261,"[8, 20, 31, 43, 55, 64, 80, 89, 99, 108, 123, 132, 143, 154, 168, 177, 191, 204, 213, 224, 234, 242]","[1221.3996016818473, 50090.09744621496, 3758.9019272657497, 4511.356841039849, 6860.07685962739, 776.5676749208569, 31861.719947925165, 1600.9885629080454, 109.84150853371716, 4283.876313893186, 16160.387780103993, 6271.6463921327395, 12016.666712783459, 9908.153093016641, 978.4385774389757, 5872.9125163366625, 9115.069742142743, 1585.4888229711976, 2009.6960579749139, 4587.0944129731, 8654.177682860274, 64203.85975846261]","[0, 0, 30, 40, 54, 63, 67, 86, 98, 106, 113, 131, 135, 149, 167, 167, 167, 113, 113, 113, 113, 113]","[10, 113, 67, 67, 67, 67, 113, 113, 113, 113, 167, 135, 167, 167, 170, 182, 196, 206, 214, 226, 235, 260]",0.05,30,125215653292.59933,58484.04548684298,-58484.04548684298,,,,,,,,,,,,,,,,CWT,uc1.b4952553,,,,,0.0,-8.5,,57723.04548684298,0.0,14.0,10697.99628332764,234348.4182332081,10705.540994673058,,0.0,81.15849146628284,,,10697.99628332764,,63443.85975846261,57723.04548684298,0.0,5.0,,,,2.0,,,0.0,0.018747335585905744,0.0,0.886891397932384,0.2940946299144047,0.6759421010210573,0.5295961002785512,0.9999999999999998,0.007546758044559711,,0.027563623360536187,0.8789074914698609,0.8789074914698609,0.8749398732115051,0.8633995854047172,0.3724429332806899,0.125,,0.836734693877551,0.0,0.6571428571428573,0.0,0.10370827225722935,0.10370827225722935,0.0,1.0,1.8568878672011648,0.8331706765639336,6,1.6376345482321772,0.7372679203976739,4,0,0,0.44816367291546916,0.882661789912585,6,1,0.11111111111111112,0.42104673479155225,0.7355137943913033,4,1.1547005383792515,0.9175213901157677,5.0,4.800000000000001,0.7801892664864553,1,morl,1.0,1.0,,1,0.1,,,6,2.25,2
raw,gaus2,21.311062491178575,0.6313090174073068,814.3621879547597,-40.76477530422592,261,127,79283.56719204491,,False,13.885389750769274,151003.37988940408,0.023908903169770762,7.142497137014077e-07,0.18650833306179018,14,12639.541100920405,99.53700227779336,120760.38803964375,"[50, 62, 80, 95, 118, 126, 140, 152, 161, 179, 191, 205, 222, 238]","[1270.8558073365566, 4769.821328823935, 120760.38803964375, 549.0635472612339, 4058.0073856562813, 1105.2152326372598, 3095.14130659122, 4532.237870804151, 165.5926242464775, 1873.1828958494443, 2447.1015799310553, 99.53700227779336, 31436.84548259357, 790.5853092329053]","[0, 0, 0, 94, 113, 125, 136, 148, 160, 165, 165, 165, 165, 237]","[52, 67, 260, 260, 165, 165, 165, 165, 165, 183, 196, 206, 260, 260]",0.05,30,1809478932373.9856,125347.49275847219,-125347.49275847219,0.49425287356321834,20715749.47950931,0.01891762142970163,0.060043127290765316,35004412.55087533,3394481503073.55,18.0,3299214.3451811583,0.007662835249042145,"[0.0, 0.0038314176245210726, 0.007662835249042145, 0.011494252873563218, 0.01532567049808429, 0.019157088122605363, 0.022988505747126436, 0.026819923371647507, 0.03065134099616858, 0.034482758620689655, 0.038314176245210725, 0.042145593869731796, 0.04597701149425287, 0.04980842911877394, 0.053639846743295014, 0.05747126436781609, 0.06130268199233716, 0.06513409961685823, 0.06896551724137931, 0.07279693486590037, 0.07662835249042145, 0.08045977011494253, 0.08429118773946359, 0.08812260536398467, 0.09195402298850575, 0.09578544061302681, 0.09961685823754789, 0.10344827586206896, 0.10727969348659003, 0.1111111111111111, 0.11494252873563218, 0.11877394636015325, 0.12260536398467432, 0.1264367816091954, 0.13026819923371646, 0.13409961685823754, 0.13793103448275862, 0.1417624521072797, 0.14559386973180075, 0.14942528735632182, 0.1532567049808429, 0.15708812260536398, 0.16091954022988506, 0.16475095785440613, 0.16858237547892718, 0.17241379310344826, 0.17624521072796934, 0.18007662835249041, 0.1839080459770115, 0.18773946360153257, 0.19157088122605362, 0.1954022988505747, 0.19923371647509577, 0.20306513409961685, 0.20689655172413793, 0.210727969348659, 0.21455938697318006, 0.21839080459770113, 0.2222222222222222, 0.2260536398467433, 0.22988505747126436, 0.23371647509578544, 0.2375478927203065, 0.24137931034482757, 0.24521072796934865]","[20715749.47950931, 2123037.106384347, 3299214.3451811583, 1532812.8416662256, 1275407.3394665895, 1121312.3815278613, 290150.2600625612, 470942.97502167214, 573944.651161685, 233649.3962458358, 183388.4587903611, 168942.24607651937, 164178.627447993, 38056.27078132202, 121931.7018322861, 123936.87366567945, 179507.40527371294, 44612.518506331304, 94778.87284204578, 96958.65238906363, 91163.79161385096, 76376.66985902835, 40509.83798593444, 92109.02953431931, 40366.61346358247, 66384.47232049204, 36848.8760399634, 33788.97893099167, 71117.5609042819, 55540.123239685534, 67488.08606305538, 35980.30943653039, 39662.07822268879, 40933.22625496616, 57987.825513914795, 46304.33282712058, 28580.551252778918, 26459.41398525256, 12904.059567055943, 19639.93983769219, 54830.621202862916, 22130.217099809946, 11092.087490248505, 4753.768131498116, 23946.493101661592, 7134.090825164363, 33794.45290087167, 16841.796221151348, 16345.789400112046, 7411.581177336553, 24211.060596686373, 23810.669230119798, 24034.23890192999, 16856.258692090407, 18165.636012466086, 13232.781563869416, 15992.456716767038, 20427.556872688085, 6648.005157566902, 12316.498980435994, 14528.177659141971, 14905.367601405735, 10070.990831899087, 13857.106691908019, 13659.0245176078]",3.0,0.7,65510.891894981556,15.0,CWT,uc1.b4952553,0.0,0.0,20645098.47950931,34575144.85319984,0.0,-12.5,0.0,124586.49275847219,0.0,-17.0,12135.791100920405,164863.57541288566,12176.5106780836,,0.0,91.46299772220664,3293250.335979762,65491.891894981556,12135.791100920405,4.0,120000.38803964375,124586.49275847219,0.0,-3.5,0.1379310344827586,0.0,0.18761002426030896,10.0,3394444137822.6245,0.10250435677733553,0.0,0.5686920008685792,0.1838198650761888,0.23389055652663704,0.32918631653446373,0.9015259225471068,0.3093662952646239,0.8546604675663043,0.04900057541586702,,0.03309824399941944,1.0,1.0,0.9999999999999998,0.6007169390067428,0.7106537801194006,0.625,,0.48979591836734687,0.0,0.42857142857142866,0.0,0.4362042979756652,0.4362042979756652,0.0,0.08823529411764713,2.0995803454705704,0.9420648429206103,3,1.466654948538916,0.6602923985803327,8,0,0,0.45656534667555443,0.899208950799356,4,1,0.11111111111111112,0.42321219441941577,0.7392965702588791,3,2.3804761428476167,0.8299659897965987,4.5,3.8400000000000007,0.7542687091840137,3,gaus,8.25,8.5,4.77343841331532,8,0.825,1.0,0.12250000000000003,1,2.5,3
raw,cmor,18.330825082857892,0.6656409328144327,466.62403025306884,-35.15603561892219,261,127,40698.080018971246,-329176.2202646084,True,14.246161685912739,83481.1555653522,0.018288786123210082,1.1113719666811637e-07,0.10136381105127036,24,5344.550372322364,161.16020730037417,43135.71877408895,"[18, 27, 35, 43, 52, 62, 70, 80, 89, 99, 107, 118, 126, 143, 154, 163, 173, 181, 193, 205, 213, 224, 234, 242]","[358.2398114860189, 848.2326847402583, 2985.350626745465, 7064.046674278572, 631.2498285234979, 2891.2546145887754, 581.6578339018379, 36050.04233697738, 161.16020730037417, 793.469963782467, 2171.6422055886796, 5485.764922347946, 2309.4983563421883, 4630.228242707977, 4766.09096838121, 1590.4737868932207, 1148.8319572816108, 1551.1403381611963, 3835.483028407063, 1309.0936052752295, 528.745876475703, 2654.921418380778, 43135.71877408895, 786.8708730803264]","[0, 0, 0, 0, 51, 54, 69, 0, 88, 98, 106, 113, 125, 135, 135, 159, 135, 135, 135, 135, 135, 0, 0, 241]","[19, 28, 36, 67, 54, 67, 71, 135, 135, 135, 135, 135, 135, 149, 164, 164, 175, 182, 196, 206, 214, 226, 260, 260]",0.05,30,500083538285.32434,67535.38546397038,-67535.38546397038,,,,,,,,,,,,,,,,CWT,uc1.b4952553,,,,,0.041666666666666664,-4.5,,66774.38546397038,0.041666666666666664,3.0,4840.800372322364,116179.20893573674,4843.287021713999,,0.0,29.839792699625832,,,4840.800372322364,,42375.71877408895,66774.38546397038,0.041666666666666664,9.0,,,,0.0,,,0.0,0.22607540580242286,0.02288545765183979,0.5490047542814184,0.8650357665361412,0.569377075471104,0.5074860724233985,0.46419314964219144,0.0,0.5173287266150921,0.0,0.38560863050749605,0.38560863050749605,0.37653787798833,0.4166690559670475,0.24645440427804732,0.0,,1.0,0.5,0.8857142857142859,1.0,0.14871843390197947,0.14871843390197947,1.0,0.6764705882352942,1.4092411916028236,0.6323152074978198,9,1.7169007120810253,0.7729537819605163,3,0,0,0.47803335606679714,0.9414903598922982,3,0,0.0,0.4134873787137342,0.7223085841081657,6,2.8722813232690143,0.7948370483379276,5.25,4.23529411764706,0.7099185241689638,4,cmor,4.0,4.0,,1,0.4,,,3,3.75,4
raw,gaus6,19.838495777084876,0.647026880260657,400.8856083040701,-33.87233670431083,261,127,32834.65099001426,,False,14.002193139430297,150674.86629847254,0.017028400434912955,5.413359260536048e-07,0.13498164044768454,16,11146.81437498067,303.52680066155153,71222.6799062045,"[25, 43, 54, 62, 80, 107, 121, 132, 140, 152, 164, 173, 181, 193, 226, 240]","[3435.188483978134, 66807.8540273421, 466.6266016705704, 682.1615049928077, 17174.396509985472, 1259.747998649298, 5810.458348830871, 378.96150812304404, 4843.126721272554, 3132.9467518607016, 453.9925467638168, 958.948073330339, 1071.4683616871862, 346.9458543377714, 303.52680066155153, 71222.6799062045]","[0, 0, 53, 61, 69, 106, 114, 131, 135, 135, 159, 135, 135, 135, 135, 135]","[33, 135, 69, 69, 135, 135, 135, 135, 148, 159, 165, 174, 183, 194, 227, 260]",0.05,30,370400996343.95605,76075.49971387423,-76075.49971387423,,,,,,,,,,,,,,,,CWT,uc1.b4952553,,,,,0.0,-2.5,,75314.49971387423,0.0,-2.5,10643.06437498067,166259.0299996907,10646.907031937142,,0.0,112.52680066155153,,,10643.06437498067,,70462.6799062045,75314.49971387423,0.0,-11.5,,,,8.0,,,0.0,0.15625274767810918,0.1376795891497603,0.621126438711944,0.5026727368333485,0.7374076764761248,0.40006963788300803,0.618362359462013,0.04876217457601429,,0.044411756319764635,0.87428107155327,0.87428107155327,0.8699548820885992,0.6059923586365751,0.4144158262095911,0.5,,0.16326530612244894,0.0,1.0000000000000002,0.0,0.19118639155511805,0.19118639155511805,0.0,0.5147058823529411,1.8048249905824347,0.8098104818518677,7,1.5077734396986782,0.678804064995757,6,0,0,0.4162453958631131,0.8197984985380692,9,1,0.11111111111111112,0.3972361145407347,0.6939197427092272,7,1.2583057392117916,0.9101210186277292,7.25,7.098591549295775,0.6961319378852932,5,gaus,8.25,8.5,4.77343841331532,8,0.825,1.0,0.12250000000000003,1,4.0,5
raw,gaus8,19.791100005505715,0.6423205719974658,366.09502798486903,-32.88460645803945,261,127,29036.778210899858,,False,13.920456605643349,151752.89387716382,0.01973055747340165,4.831404714108577e-07,0.14301748162876002,16,11446.158673865726,537.1545872636016,70463.30919857664,"[21, 43, 54, 62, 80, 107, 121, 132, 140, 152, 162, 173, 181, 193, 226, 240]","[59154.33208423219, 4132.933564916173, 900.1560230000687, 612.2519809470832, 21175.49302845107, 1997.7308662032192, 8402.77001451383, 537.1545872636016, 5213.781349791887, 4314.261097594721, 1134.9520768375733, 1507.0272175978862, 1747.0966080941562, 1058.5477075858623, 786.7413762456417, 70463.30919857664]","[0, 39, 53, 61, 69, 106, 112, 131, 135, 135, 159, 135, 135, 135, 135, 135]","[135, 135, 69, 69, 135, 112, 135, 135, 148, 159, 165, 174, 183, 196, 227, 260]",0.05,30,295021552691.0534,73164.24647287205,-73164.24647287205,,,,,,,,,,,,,,,,CWT,uc1.b4952553,,,,,0.0,-2.5,,72403.24647287205,0.0,-2.5,10942.408673865726,171048.53878185162,10942.408673865726,,0.0,346.15458726360157,,,10942.408673865726,,69703.30919857664,72403.24647287205,0.0,-2.5,,,,8.0,,,0.0,0.12252985507244961,0.12215072721568755,0.6766198011454839,0.38127061984949034,0.7321253956610649,0.37291086350974934,0.6552142118084388,0.04954449435589202,,0.16989483502632394,0.899492145917049,0.899492145917049,0.895078087021085,0.6240987655992803,0.409874751679442,0.5,,0.5306122448979591,0.0,1.0000000000000002,0.0,0.17670942137198087,0.17670942137198087,0.0,0.5147058823529411,1.90286009231299,0.8537980448483208,5,1.4671418909986413,0.660511621516868,7,0,0,0.4531111800770062,0.8924059432001527,5,1,0.11111111111111112,0.38349019052172656,0.6699074041795375,10,2.362907813126304,0.8312208704909783,6.75,6.222222222222221,0.6745390066740605,6,gaus,8.25,8.5,4.77343841331532,8,0.825,1.0,0.12250000000000003,1,4.75,6
raw,mexh,22.194630602158128,0.6658822819561347,1266.2023454275109,-44.92780970812028,261,127,127857.48190541725,-410141.27591319685,False,13.889847026446635,291179.84103360574,0.019090301870069822,4.414646516429802e-08,0.11059942695324672,23,9746.01279815679,244.66136707997066,169145.6418559827,"[20, 29, 37, 53, 68, 80, 88, 97, 107, 118, 126, 139, 152, 161, 171, 180, 188, 201, 213, 221, 229, 238, 248]","[1212.794961391337, 2310.4629379225807, 2584.2187647213723, 244.66136707997066, 1320.6730476552912, 169145.6418559827, 1096.3374125923438, 1120.3302571237145, 3521.049979776435, 6628.912117519067, 3854.247730127041, 3511.4482709129516, 4302.705142920371, 2700.313015836611, 4421.959879141272, 421.175916040258, 3004.550144402776, 3417.8709380338405, 3332.180794083368, 1274.2518653496518, 1921.5685493848578, 1301.6053583541652, 1509.3340512541326]","[0, 0, 0, 0, 0, 0, 86, 95, 106, 114, 125, 138, 149, 160, 167, 178, 187, 200, 211, 220, 228, 237, 247]","[21, 30, 38, 54, 69, 260, 260, 260, 114, 260, 260, 260, 260, 260, 260, 260, 260, 260, 260, 260, 260, 260, 260]",0.05,30,4707186933035.949,182482.4367825052,-182482.4367825052,0.49425287356321834,33441453.7773139,0.019718475274249525,0.07274530234710869,51867807.47415499,8867375670080.648,17.0,455786.37045686063,0.03065134099616858,"[0.0, 0.0038314176245210726, 0.007662835249042145, 0.011494252873563218, 0.01532567049808429, 0.019157088122605363, 0.022988505747126436, 0.026819923371647507, 0.03065134099616858, 0.034482758620689655, 0.038314176245210725, 0.042145593869731796, 0.04597701149425287, 0.04980842911877394, 0.053639846743295014, 0.05747126436781609, 0.06130268199233716, 0.06513409961685823, 0.06896551724137931, 0.07279693486590037, 0.07662835249042145, 0.08045977011494253, 0.08429118773946359, 0.08812260536398467, 0.09195402298850575, 0.09578544061302681, 0.09961685823754789, 0.10344827586206896, 0.10727969348659003, 0.1111111111111111, 0.11494252873563218, 0.11877394636015325, 0.12260536398467432, 0.1264367816091954, 0.13026819923371646, 0.13409961685823754, 0.13793103448275862, 0.1417624521072797, 0.14559386973180075, 0.14942528735632182, 0.1532567049808429, 0.15708812260536398, 0.16091954022988506, 0.16475095785440613, 0.16858237547892718, 0.17241379310344826, 0.17624521072796934, 0.18007662835249041, 0.1839080459770115, 0.18773946360153257, 0.19157088122605362, 0.1954022988505747, 0.19923371647509577, 0.20306513409961685, 0.20689655172413793, 0.210727969348659, 0.21455938697318006, 0.21839080459770113, 0.2222222222222222, 0.2260536398467433, 0.22988505747126436, 0.23371647509578544, 0.2375478927203065, 0.24137931034482757, 0.24521072796934865]","[33441453.7773139, 6269808.6522220895, 3282345.0935070976, 1454719.6438760222, 1139356.6849620696, 936345.3686984042, 300472.4973559279, 412342.6575446702, 455786.37045686063, 209149.52995879654, 163133.28763234545, 153264.06001581662, 135781.5604974092, 23551.554739551975, 105584.65116225289, 102489.28855906769, 141099.67880071193, 44810.10179274334, 79824.99185281666, 79242.3595377917, 72044.23315378134, 65597.7747792553, 34312.029408813134, 68193.88208295536, 31286.367714595537, 64672.66426902439, 23873.32645035043, 25458.37263764529, 56590.297771088604, 46675.00036365183, 64583.41529253436, 29190.108539119745, 30597.375145358816, 35866.3824000894, 47118.654331601996, 35109.77754058246, 29559.401760047618, 18782.320082632614, 14861.295381039745, 12842.481751715299, 46866.8734207873, 8101.487015921575, 2918.579593182852, 10484.66850087567, 23590.244923781793, 10219.726681525299, 25079.095580111174, 14124.012078637064, 12409.086023132897, 8361.734616821663, 14711.946818454458, 24066.62211034088, 23909.10171019763, 18326.441368234286, 30411.51070369213, 9132.936768724388, 16599.300736199308, 17285.97149305428, 20364.111953270785, 20239.250561903264, 27261.88348873846, 12417.281263760386, 33138.673053513, 16803.30768698812, 13143.631448244867]",3.0,0.7,85751.70950874401,15.0,CWT,uc1.b4952553,0.0,0.0,33370802.7773139,51438539.7764795,0.0,-8.0,0.0,181721.4367825052,0.0,10.0,9242.26279815679,212068.29435760615,9242.262798156782,,0.0,53.66136707997066,449822.3612554642,85732.70950874401,9242.26279815679,5.0,168385.6418559827,181721.4367825052,0.0,-3.5,0.11494252873563217,0.0,0.18680917041576106,1.0,8867338304829.723,0.08980218172099216,0.0,1.0,0.005009666032519816,0.0,0.3358066450233459,0.9999999999999998,0.5088788300835652,0.5065470919213723,0.15072600470358555,0.0,0.012794730183249264,0.7563041705274504,0.7563041705274504,0.7505336676676406,0.7791711168039926,0.9999999999999999,0.0625,,0.48979591836734687,0.0,0.6857142857142858,0.0,0.7203227901087642,0.7203227901087642,0.0,0.8823529411764706,2.179517304760696,0.9779319147188679,2,1.435866993004838,0.6464315698780992,9,0,0,0.5077411054123611,1.0,1,0,0.0,0.3896631375293764,0.6806907384296433,9,4.349329450233296,0.6893336106976218,5.25,2.32258064516129,0.6571668053488109,7,mexh,7.0,7.0,,1,0.7,,,5,6.5,7
raw,cgau8,14.83217027717262,0.7169577940688449,432.9191474654898,-31.432428849976297,261,127,25593.062452394017,-293363.9659814151,True,14.33702920043899,130857.29547908313,0.024737367228296243,3.7729396694702745e-06,0.11752550255009277,16,8605.398296343028,104.58450388017263,50353.233793091684,"[8, 21, 43, 54, 62, 80, 107, 121, 132, 141, 153, 162, 179, 193, 226, 240]","[104.58450388017263, 39576.72830241885, 2919.922721167979, 918.4759629549644, 347.98467894319947, 19575.550359641067, 1715.6522194306744, 6766.732237667804, 612.4220711969483, 4251.156904244503, 5488.455587827122, 697.7992507005638, 2024.1447061042527, 1765.193410163467, 568.3360320552092, 50353.233793091684]","[0, 0, 39, 53, 61, 67, 106, 112, 131, 135, 135, 159, 112, 112, 112, 112]","[9, 112, 112, 67, 67, 112, 112, 135, 135, 148, 164, 164, 183, 196, 227, 260]",0.05,30,213309517387.75192,54368.560278469755,-54368.560278469755,,,,,,,,,,,,,,,,CWT,uc1.b4952553,,,,,0.0,-2.5,,53607.560278469755,0.0,-2.5,8101.648296343028,125596.37274148845,8115.368176779406,,0.0,86.41549611982737,,,8101.648296343028,,49593.233793091684,53607.560278469755,0.0,8.0,,,,8.0,,,0.0,0.09195167000865453,1.0,0.7582070752279852,0.9999999999999999,0.17945036802799152,0.8036211699164345,0.5383096304638517,0.03438065229626212,0.7461522327206331,0.030387196439303217,0.6602404835531636,0.6602404835531636,0.6547264013343382,0.4522699929434003,0.2896155024011843,0.5,,0.9591836734693877,0.0,1.0000000000000002,0.0,0.08324294282053243,0.08324294282053243,0.0,0.5147058823529411,1.5047778380820231,0.6751817336837549,8,2.221220404312256,1.0,1,0,0,0.39252370011252985,0.773078436881218,10,0,0.0,0.5724525331846457,1.0,1,4.69041575982343,0.664970302869755,5.0,1.797752808988764,0.6539137228634488,9,cgau,9.0,9.0,,1,0.9,,,2,7.25,8
raw,shan,13.222034627321758,0.750988023048843,379.81820051277094,-27.1287396399782,261,127,15237.463702203433,-253635.26439060675,True,14.313357642285885,102940.66297629746,0.017747555470221013,8.391770158029589e-08,0.11058116441302628,24,8079.775564509691,511.96670497210243,37732.34059182432,"[7, 17, 26, 42, 51, 61, 70, 78, 87, 97, 106, 116, 125, 141, 152, 164, 175, 187, 203, 212, 223, 232, 240, 250]","[2896.0649475195514, 29114.755183511923, 2796.86722729983, 3719.3833519267546, 3055.795476154554, 4385.448962161278, 3110.7952813394677, 31176.852272540084, 6172.617408389522, 4781.832323473888, 4683.720297808058, 3128.759410387617, 7357.643277635166, 22440.411963823004, 5815.704148757457, 1557.2589995490785, 732.2653894772479, 2680.852453917354, 3198.9131350300777, 511.96670497210243, 4568.512617916451, 2475.798296965946, 37732.34059182432, 5820.053825851861]","[0, 0, 24, 41, 49, 59, 68, 68, 85, 93, 104, 104, 104, 104, 147, 162, 174, 184, 198, 198, 68, 68, 68, 248]","[9, 68, 68, 68, 68, 68, 72, 198, 198, 104, 107, 117, 136, 198, 198, 198, 198, 198, 204, 213, 224, 234, 260, 260]",0.05,30,79975545394.0914,37628.780890161404,-37628.780890161404,,,,,,,,,,,,,,,,CWT,uc1.b4952553,,,,,0.041666666666666664,-7.5,,36867.780890161404,0.0,-12.0,7576.025564509691,181824.6135482326,7576.02556450969,,0.0,320.96670497210243,,,7576.025564509691,,36972.34059182432,36867.780890161404,0.08333333333333333,-3.0,,,,0.0,,,0.0,0.0,0.015622213748535799,1.0,0.9648409696503149,0.0,1.0,0.5064633410830331,0.014121677269834751,1.0,0.15636625153886644,0.6159720146733494,0.6159720146733494,0.6088721215122683,0.6648369715521258,0.21414193450041394,0.0,,0.510204081632653,1.0,0.7142857142857144,1.0,0.0,0.0,0.0,0.23529411764705885,1.4081519768668687,0.6318264855913931,10,2.0953411562908655,0.9433287899854469,2,0,0,0.42239634813438665,0.8319128461961696,8,0,0.0,0.500116466861302,0.8736383156155733,2,4.123105625617661,0.7054924553130242,5.5,3.265306122448979,0.6563176562279407,8,shan,8.0,8.0,,1,0.8,,,7,7.75,9
