signal_type,wavelet,wavelet_energy_entropy,wavelet_sparsity,wavelet_adaptive_threshold,wavelet_psnr,signal_length,scales_used,emd_value,kl_divergence,is_complex,wavelet_entropy,avg_variance_across_levels,variance_ratio_across_levels,smoothness,correlation,dynamic_cutoff,dominant_frequency,amplitude_max,num_fft_peaks,positive_frequencies,positive_amplitudes,relative_num_peaks,avg_prominence,prominence_min,prominence_max,relative_peaks,relative_prominences,relative_left_bases,relative_right_bases,max_autocorrelation,upper_envelope,lower_envelope,spectral_magnitude,spectral_centroid,spectral_bandwidth,frequency_max,wavelet_type,htid,max_autocorrelation_diff,frequency_max_diff,relative_right_bases_array_alignment_score,relative_right_bases_global_alignment_score,relative_num_peaks_diff,relative_peaks_array_alignment_score,relative_peaks_global_alignment_score,spectral_centroid_diff,lower_envelope_diff,relative_prominences_avg_diff,relative_prominences_total_diff,relative_prominences_wasserstein,spectral_bandwidth_diff,spectral_magnitude_diff,avg_prominence_diff,num_fft_peaks_diff,amplitude_max_diff,prominence_min_diff,relative_left_bases_array_alignment_score,relative_left_bases_global_alignment_score,prominence_max_diff,upper_envelope_diff,dominant_frequency_diff,dynamic_cutoff_diff,emd_value_normalized,smoothness_normalized,wavelet_psnr_normalized,wavelet_entropy_normalized,wavelet_energy_entropy_normalized,wavelet_sparsity_normalized,correlation_normalized,avg_variance_across_levels_normalized,kl_divergence_normalized,prominence_min_diff_normalized,avg_prominence_diff_normalized,relative_prominences_avg_diff_normalized,relative_prominences_wasserstein_normalized,spectral_centroid_diff_normalized,dynamic_cutoff_diff_normalized,relative_prominences_total_diff_normalized,prominence_max_diff_normalized,amplitude_max_diff_normalized,frequency_max_diff_normalized,spectral_bandwidth_diff_normalized,num_fft_peaks_diff_normalized,relative_num_peaks_diff_normalized,dominant_frequency_diff_normalized,max_autocorrelation_diff_normalized,relative_right_bases_global_alignment_score_normalized,relative_left_bases_global_alignment_score_normalized,upper_envelope_diff_normalized,lower_envelope_diff_normalized,relative_peaks_global_alignment_score_normalized,reconstruction_weighted_score,reconstruction_normalized_weighted_score,reconstruction_normalized_weighted_rank,signal_weighted_score,signal_normalized_weighted_score,signal_normalized_weighted_rank,reconstruction_missing_metrics_count,reconstruction_dynamically_weighted_score,reconstruction_normalized_dynamically_weighted_score,reconstruction_normalized_dynamically_weighted_rank,signal_missing_metrics_count,signal_dynamically_weighted_score,signal_normalized_dynamically_weighted_score,signal_normalized_dynamically_weighted_rank,rank_variability,normalized_rank_stability,average_rank,harmonic_average_rank,stability_score_weighted,stability_rank,wavelet_family,family_mean_stability_rank,family_median_stability_rank,family_rank_std_dev,family_wavelet_count,normalized_family_mean_rank,normalized_family_std_dev,final_family_stability_score,final_family_stability_rank,family_informed_rank,top_wavelet_rank
smoothed,gaus6,680356998.0048068,0.6477603162675205,228.47204619408353,-34.901139410013165,723,127,20022.422581823248,,False,14.832952921538572,105314.12323273836,0.014673012682339606,6.983660271211304e-06,0.37456265609454,564.3042288235081,,,,[],[],9,40441.15202354909,7464.306147649564,119414.38517929062,"[36, 170, 232, 285, 325, 458, 527, 608, 680]","[119414.38517929062, 19046.274527656682, 25010.09990641341, 8117.944353424245, 47628.083688693514, 36788.078635045225, 32258.354553228222, 7464.306147649564, 68242.84122054037]","[0, 103, 103, 265, 103, 387, 499, 598, 103]","[103, 200, 265, 298, 598, 598, 598, 620, 722]",594595818427.673,96834.16762768492,-96834.16762768492,0.0,,,,CWT,txu.059172014718830,594533264434.313,,0.0,-77.0,77.0,0.0,-68.0,,96320.16762768492,40292.175279363044,351158.3682119418,40292.17527936305,,0.0,40292.175279363044,,,7463.106147649564,0.0,-68.0,118900.38517929062,96320.16762768492,,276.70422882350806,0.14735840790914417,0.6071995429169007,0.7351265409215202,0.7253570472357754,0.0760110869441063,0.6601061477222473,0.7904461295955911,0.07175046188877524,,0.5405707523869102,0.5865377703962469,0.5865377703962469,0.586537770396247,,0.0,0.962390246260813,0.7836010817896555,,,,,0.42857142857142855,,0.06778297181699763,0.38235294117647056,0.7692307692307692,0.16770922355054071,0.16770922355054071,0.9117647058823529,2.1329659420724107,0.6767607120037706,3,1.6770484725733121,0.8826570908280591,4,0,0.49580690395751575,0.8079650367790149,2,0,0.4766694206417576,0.8666613745157582,4,0.9574271077563381,0.9042572892243662,3.25,3.0,0.7896286446121832,1,gaus,5.25,4.5,3.370036032024414,8,0.75,1.0,0.175,1,1.0,1
smoothed,gaus8,578473926.3909104,0.6712081114342036,239.60742193561032,-33.75944769745239,723,127,18170.213650345908,,False,14.954708440878449,91672.56277252246,0.01520914892917868,5.845646011803974e-06,0.4170922835146865,1041.8236025247052,,,,[],[],9,40020.082331684906,4010.85382965391,112142.2648893988,"[33, 170, 232, 286, 325, 458, 528, 584, 680]","[112142.2648893988, 25098.227171820938, 29738.889965084036, 8213.271840617426, 41287.67882412723, 32941.823797183635, 49493.20548994122, 4010.85382965391, 57254.52517733694]","[0, 103, 103, 266, 103, 387, 103, 569, 103]","[103, 200, 266, 297, 387, 499, 620, 620, 722]",457343076752.66315,85731.52398199325,-85731.52398199325,0.0,,,,CWT,txu.059172014718830,457280522759.30316,,0.0,-77.0,77.0,0.0,-77.0,,85217.52398199325,39871.10558749886,347368.7409851641,39871.10558749886,,0.0,39871.10558749886,,,4009.65382965391,0.0,-63.5,111628.2648893988,85217.52398199325,,754.2236025247051,0.09760025027731367,0.4930016817269455,0.8258519116258232,0.8405250319646878,0.04757162056981566,0.8981645289694835,0.870985498199127,0.04672203649735372,,0.12522020912410237,0.575121637284983,0.575121637284983,0.575121637284983,,0.010958240389043722,0.9478672392078963,0.7108345782232427,,,,,0.42857142857142855,,0.038531343297679085,0.38235294117647056,0.9999999999999999,0.10796007036072705,0.10796007036072705,0.38235294117647056,1.8385897187784501,0.583359191358844,5,1.843088878310409,0.97004677805811,2,0,0.4262838552673384,0.694670542201421,5,0,0.5150528199788187,0.9364485439617406,2,1.7320508075688772,0.8267949192431123,3.5,2.857142857142857,0.7383974596215561,2,gaus,5.25,4.5,3.370036032024414,8,0.75,1.0,0.175,1,1.75,2
smoothed,gaus4,864372882.0934525,0.6459415602095381,223.3853782063294,-36.42558381653168,723,127,22215.03067427515,,False,14.642236549636168,126474.6756293409,0.01482681755456657,8.826221047820793e-06,0.32377850522018703,817.4219177289245,,,,[],[],9,41223.51630092848,7285.047774362479,128753.20859509861,"[37, 129, 170, 232, 286, 324, 458, 527, 679]","[128753.20859509861, 15969.892937729477, 17901.166545300595, 19286.227838455765, 7285.047774362479, 39843.579136900866, 30552.60409879526, 27756.199641103856, 83663.72014060945]","[0, 104, 150, 150, 265, 150, 387, 499, 150]","[150, 150, 199, 265, 298, 387, 499, 549, 722]",844527209189.8826,111889.63996746526,-111889.63996746526,0.0,,,,CWT,txu.059172014718830,844464655196.5226,,0.0,-81.5,77.0,0.0,-72.5,,111375.63996746526,41074.539556742435,358199.64670835633,41074.53955674244,,0.0,41074.539556742435,,,7283.847774362479,0.0,-81.5,128239.20859509861,111375.63996746526,,529.8219177289245,0.2062611252187025,0.7920974895479823,0.613985446195276,0.5449593098198912,0.12737696613262306,0.641640866873065,0.6942749732842245,0.11057412201506334,,0.5190111488732845,0.6077494009282819,0.6077494009282819,0.607749400928282,,0.005808611408257476,0.9893745724611323,0.8770474908564945,,,,,0.42857142857142855,,0.12104894019527393,0.11764705882352941,0.07692307692307693,0.24873062276689809,0.24873062276689809,0.6470588235294117,2.119107211773892,0.6723635277828256,4,1.5826629749923693,0.8329805131538787,5,0,0.43594289999718083,0.7104108845970283,4,0,0.4663962873858535,0.8479831723853205,6,0.9574271077563381,0.9042572892243662,4.75,4.615384615384616,0.7146286446121831,3,gaus,5.25,4.5,3.370036032024414,8,0.75,1.0,0.175,1,2.5,3
smoothed,gaus2,1567006632.7750144,0.6098495986756842,205.89531403168644,-39.642423622648785,723,127,33579.781588156526,,False,14.611976236307065,162269.94938690375,0.014542890558580011,1.0898028864496334e-05,0.26383817407695137,14704.919164021603,,,,[],[],9,38734.26387262182,5613.221003036106,141040.8051211505,"[38, 122, 164, 231, 284, 324, 458, 528, 676]","[141040.8051211505, 5613.221003036106, 12165.576701085125, 22799.544885070383, 6941.64709567734, 18985.175791598675, 16545.851349947665, 15489.25933216481, 109027.29357386577]","[0, 112, 151, 200, 265, 265, 387, 387, 387]","[387, 387, 387, 387, 298, 387, 498, 549, 722]",1772724673123.7556,132429.97402748282,-132429.97402748282,0.0,,,,CWT,txu.059172014718830,1772662119130.3955,,0.0,-77.0,77.0,0.0,-81.5,,131915.97402748282,38585.287128435775,335796.3748535964,38585.287128435775,,0.0,38585.287128435775,,,5612.021003036106,0.0,-81.5,140526.8051211505,131915.97402748282,,14417.319164021603,0.5115663517561642,0.9999999999999999,0.35835690768926826,0.516336218872778,0.3235089496840934,0.275210084033614,0.580764540275441,0.17624837835981672,,0.3179386875298095,0.5402602474267001,0.5402602474267001,0.5402602474267001,,0.32450255684445783,0.903518403586246,1.0,,,,,0.42857142857142855,,0.3188685762638682,0.38235294117647056,0.07692307692307693,0.3592689418813886,0.3592689418813886,0.11764705882352941,2.239653759046046,0.7106112867143322,2,1.5012958354863946,0.7901557028875761,6,0,0.44354581112584046,0.722800559530279,3,0,0.4677489288338969,0.850442491246199,5,1.8257418583505538,0.8174258141649446,4.0,3.3333333333333335,0.7087129070824723,4,gaus,5.25,4.5,3.370036032024414,8,0.75,1.0,0.175,1,3.25,4
smoothed,gaus1,3990504500.7871256,0.629387612855447,203.93434412866824,-44.152001356766995,723,127,48174.77932934073,,False,14.06610591799923,611249.754351263,0.021739408858613408,1.0136507804643035e-05,0.009567644218845766,0.0,,,,[],[],6,18807.445072131904,11284.252999435701,41103.05995720043,"[98, 147, 187, 246, 342, 472]","[13129.780776285937, 11284.252999435701, 15570.462551572244, 18290.60613543992, 41103.05995720043, 13466.50801285719]","[3, 3, 3, 3, 3, 400]","[116, 156, 204, 304, 400, 512]",4968688798233.768,251491.21977298235,-251491.21977298235,0.0,,,,CWT,txu.059172014718830,4968626244240.407,,0.0,-83.0,80.0,0.0,-78.5,,250977.21977298235,18658.46832794586,100032.67043279142,18658.468327945855,,0.0,18658.46832794586,,,11283.0529994357,0.0,-83.0,40589.05995720043,250977.21977298235,,287.6,0.903649656128751,0.9235826128122112,0.0,0.0,1.0,0.47357363998230884,0.09924638054763096,0.9999999999999999,,1.0,0.0,0.0,0.0,,0.0002500390274232623,0.0,0.0,,,,,0.8571428571428571,,1.0,0.029411764705882346,0.0,1.0,1.0,0.29411764705882354,1.6047468682532073,0.5091640760516151,6,1.6772976888942646,0.8827882573127709,3,0,0.3700658791382134,0.6030579430458789,6,0,0.5500065361838627,1.0,1,2.449489742783178,0.7550510257216823,4.0,2.4000000000000004,0.6775255128608411,5,gaus,5.25,4.5,3.370036032024414,8,0.75,1.0,0.175,1,4.0,5
smoothed,mexh,2754999362.8348174,0.58274250988336,300.1910408292685,-42.169341880531455,723,127,51761.34635599202,,False,14.934459459157011,210551.3649980502,0.012560574911067431,1.1693518521471936e-06,0.2006158575716388,44140.586254780064,,,,[],[],5,55691.18563124734,5433.217763616012,131759.2359286686,"[40, 162, 229, 324, 649]","[131759.2359286686, 5433.217763616012, 7114.969741394121, 10358.480895948824, 123790.02382660915]","[0, 152, 200, 297, 387]","[387, 387, 387, 387, 722]",3168976029498.9375,130768.76473251179,-130768.76473251179,0.0,,,,CWT,txu.059172014718830,3168913475505.5776,,0.0,-83.5,81.0,0.0,-83.5,,130254.76473251179,55542.20888706129,265643.9281562367,55542.20888706129,,0.0,55542.20888706129,,,5432.017763616012,0.0,-74.5,131245.2359286686,130254.76473251179,,43852.986254780066,1.0,0.02374324589152943,0.15755349187777584,0.8213716134559079,0.65512320869932,0.0,0.4610389334017083,0.2648311920298496,,0.29628949813964195,1.0,1.0,1.0,,1.0,0.634672837202813,0.907126489823687,,,,,1.0,,0.6164409635097972,0.0,0.43589743589743585,0.35032910270316886,0.35032910270316886,0.0,3.1517283793810518,1.0,1,1.4302505301443613,0.7527634369180849,7,0,0.6136489592842654,1.0,1,0,0.4229577106695114,0.7690048805676739,7,3.4641016151377544,0.6535898384862245,4.0,1.75,0.6267949192431123,6,mexh,6.0,6.0,,1,0.8571428571428571,,,2,5.0,6
smoothed,morl,408050798.13963264,0.6812384966402021,229.6642861403794,-31.5679611517196,723,127,14537.119824492096,,False,15.12330527445641,66207.05802201107,0.014659893852078906,9.32743634553432e-07,0.4852196948481056,742.4915629843587,,,,[],[],12,31148.686767472445,2969.7043031299745,94213.42408968102,"[32, 165, 231, 287, 324, 365, 419, 458, 527, 583, 649, 707]","[94213.42408968102, 36656.04501361748, 29319.891756860634, 8807.784962118665, 45087.48620353399, 2969.7043031299745, 15506.666914362346, 31538.01531752077, 49643.42049819288, 7835.8398440277, 11240.5802193251, 40965.38208729873]","[0, 102, 199, 265, 102, 359, 387, 387, 102, 549, 620, 102]","[102, 265, 265, 297, 499, 387, 447, 499, 620, 620, 661, 722]",276548612453.5291,65670.28252186654,-65670.28252186654,0.0,,,,CWT,txu.059172014718830,276486058460.1691,,0.0,-66.5,74.0,0.0,-66.5,,65156.28252186654,30999.7100232864,360972.24120966933,30999.710023286396,,0.0,30999.7100232864,,,2968.5043031299747,0.0,-80.0,93699.42408968102,65156.28252186654,,454.89156298435864,0.0,0.0,0.9999999999999998,1.0,0.0,0.9999999999999999,1.0,0.0,,0.0,0.334598430318113,0.334598430318113,0.33459843031811287,,0.0040890898873545915,1.0,0.5314344849921506,,,,,0.0,,0.0,1.0,0.15384615384615385,0.0,0.0,1.0,1.3842849901106697,0.4392145589597162,9,1.9,1.0,1,0,0.3352260728342857,0.5462831277759835,7,0,0.49999999999999994,0.9090801056096067,3,3.6514837167011076,0.6348516283298893,5.0,2.52,0.5674258141649446,7,morl,7.0,7.0,,1,1.0,,,3,6.0,7
smoothed,gaus7,643951943.7188057,0.6556016597510373,239.17778968102996,-34.68864710378024,723,127,18954.3520186481,,False,14.912202914046535,104559.3420713514,0.014629720574235755,5.5761203328349885e-06,-0.002021582936193715,0.0,,,,[],[],10,33028.64358580595,4507.23979229151,103212.39889296959,"[72, 146, 187, 245, 293, 342, 470, 544, 592, 656]","[103212.39889296959, 9959.810095758588, 23989.103841470434, 34778.36485018037, 6779.562164244302, 50207.218505397395, 30940.19270456407, 53077.74707929002, 4507.23979229151, 12834.797931893252]","[4, 119, 156, 156, 278, 156, 400, 156, 575, 638]","[638, 156, 204, 304, 304, 400, 514, 638, 638, 665]",562049520066.5547,95705.74333976312,-95705.74333976312,0.0,,,,CWT,txu.059172014718830,561986966073.1947,,0.0,-81.0,76.0,0.0,-81.0,,95191.74333976312,32879.6668416199,317474.4358580595,32879.66684161991,,0.0,32879.6668416199,,,4506.03979229151,0.0,-81.0,102698.39889296959,95191.74333976312,,287.6,0.11866551989785604,0.46595522266934264,0.7520123981478579,0.8003192499877149,0.06584904234905761,0.7397169394073423,0.07729958500087103,0.0703656508153121,,0.18492109978797583,0.38556822865839796,0.38556822865839796,0.3855682286583981,,0.0002500390274232623,0.8333031466936704,0.6214802908938702,,,,,0.2857142857142857,,0.0608466278305687,0.14705882352941177,0.10256410256410256,0.16163658015192922,0.16163658015192922,0.14705882352941174,1.393742191613437,0.44221519872443615,8,1.4146306779166709,0.7445424620614057,8,0,0.27594107756069813,0.4496725259381916,9,0,0.3862729510344193,0.7023061102410088,8,0.5,0.95,8.25,8.22857142857143,0.5625,8,gaus,5.25,4.5,3.370036032024414,8,0.75,1.0,0.175,1,6.25,8
smoothed,gaus5,765630991.096954,0.6482721817449167,227.39078275843204,-35.877303521969715,723,127,20854.822826179654,,False,14.772797971074619,123152.19066261203,0.014377798803697054,6.061097451719945e-06,-0.020788844859296062,0.0,,,,[],[],9,33075.66529686274,5373.218965917185,110910.94573945977,"[80, 140, 186, 245, 293, 342, 470, 543, 657]","[110910.94573945977, 5373.218965917185, 17675.48592238841, 27027.785080208785, 7632.19287980105, 48831.61760431107, 29026.716917494894, 43415.47171578552, 7787.55284639799]","[4, 127, 157, 204, 278, 204, 400, 400, 637]","[637, 204, 204, 304, 304, 637, 514, 637, 665]",739051851824.923,112551.7920150519,-112551.7920150519,0.0,,,,CWT,txu.059172014718830,738989297831.563,,0.0,-81.5,77.0,0.0,-81.5,,112037.7920150519,32926.68855267669,284868.9876717646,32926.6885526767,,0.0,32926.68855267669,,,5372.018965917186,0.0,-81.5,110396.94573945977,112037.7920150519,,287.6,0.16972019543082745,0.5146218797387996,0.657554942607251,0.6684567567687617,0.09981432354396197,0.6653029632905798,0.04175957401577979,0.10447829688227081,,0.28907337614789935,0.38684309152056956,0.38684309152056956,0.3868430915205697,,0.0002500390274232623,0.7083491273043503,0.6985137163915193,,,,,0.42857142857142855,,0.09856978288351928,0.11764705882352941,0.07692307692307693,0.25229401049586975,0.25229401049586975,0.11764705882352941,1.503054728982574,0.4768985610612008,7,1.3085874619470528,0.6887302431300278,9,0,0.30004728288926613,0.488955906059433,8,0,0.365213616534779,0.6640168661790067,9,0.9574271077563381,0.9042572892243662,8.25,8.161943319838057,0.5396286446121832,9,gaus,5.25,4.5,3.370036032024414,8,0.75,1.0,0.175,1,7.0,9
smoothed,gaus3,1064523844.6096879,0.6236808573202208,228.49099001596792,-37.77127966433818,723,127,25296.821348439807,,False,14.617867207929521,169426.05024774896,0.01709900863060668,7.019529621639597e-06,-0.042840409887795326,0.0,,,,[],[],9,27061.72072346019,4407.642352157727,99987.41617597973,"[94, 139, 185, 245, 293, 342, 470, 543, 592]","[99987.41617597973, 7028.159839111489, 10533.244814611395, 24878.813904948554, 6604.028391549235, 35375.67669486056, 25861.584121123982, 28878.920216799037, 4407.642352157727]","[4, 118, 157, 204, 278, 304, 400, 514, 582]","[629, 629, 304, 304, 304, 629, 629, 629, 629]",1143171574547.2805,142105.32709096916,-142105.32709096916,0.0,,,,CWT,txu.059172014718830,1143109020553.9204,,0.0,-81.5,77.0,0.0,-81.5,,141591.32709096916,26912.743979274142,230743.4865111417,26912.74397927415,,0.0,26912.743979274142,,,4406.442352157727,0.0,-81.5,99473.41617597973,141591.32709096916,,287.6,0.2890510435412977,0.6107989732995369,0.5070487370081302,0.5219084617865438,0.1832467635199056,0.4156346749226007,0.0,0.18937781007046992,,0.17294240512015396,0.22379171760246877,0.22379171760246877,0.223791717602469,,0.0002500390274232623,0.5009237030979768,0.5892103741402032,,,,,0.42857142857142855,,0.18469673278733123,0.11764705882352941,0.07692307692307693,0.41133709526935264,0.41133709526935264,0.11764705882352941,1.2697855267804146,0.40288545646493173,10,1.1687668539075815,0.615140449425043,10,0,0.2630615157614833,0.4286840412282411,10,0,0.33963330801856056,0.6175077670441064,10,0.0,1.0,10.0,10.0,0.5,10,gaus,5.25,4.5,3.370036032024414,8,0.75,1.0,0.175,1,7.75,10
