signal_type,wavelet,wavelet_energy_entropy,wavelet_sparsity,wavelet_adaptive_threshold,wavelet_psnr,signal_length,scales_used,emd_value,kl_divergence,is_complex,change_point_indices,change_point_prominences,num_change_points,wavelet_entropy,avg_variance_across_levels,variance_ratio_across_levels,smoothness,correlation,relative_num_peaks,avg_prominence,prominence_min,prominence_max,relative_peaks,relative_prominences,relative_left_bases,relative_right_bases,prominence_threshold,distance_factor,max_autocorrelation,upper_envelope,lower_envelope,fft_frequency_max,fft_amplitude_max,fft_spectral_centroid,fft_spectral_bandwidth,fft_spectral_magnitude,fft_variance_magnitude,fft_num_peaks,fft_peak_amplitude,fft_dominant_frequency,fft_positive_frequencies,fft_positive_amplitudes,fft_snr_threshold,fft_stationarity_threshold,fft_dynamic_cutoff,fft_dynamic_cutoff_percentile,stft_frequency_max,stft_amplitude_max,stft_spectral_centroid,stft_spectral_bandwidth,stft_spectral_magnitude,stft_variance_magnitude,stft_peak_freq_over_time,stft_num_peaks,stft_peak_amplitude,stft_dominant_frequency,stft_positive_frequencies,stft_positive_amplitudes,stft_snr_threshold,stft_stationarity_threshold,stft_window,stft_nperseg,stft_noverlap,stft_dynamic_cutoff,stft_dynamic_cutoff_percentile,wavelet_type,htid,stft_amplitude_max_diff,stft_frequency_max_diff,avg_prominence_diff,fft_variance_magnitude_diff,stft_noverlap_diff,prominence_max_diff,stft_spectral_magnitude_diff,upper_envelope_diff,relative_peaks_array_alignment_score,relative_peaks_global_alignment_score,stft_num_peaks_diff,fft_peak_amplitude_diff,relative_left_bases_array_alignment_score,relative_left_bases_global_alignment_score,stft_window_diff,stft_nperseg_diff,prominence_threshold_diff,relative_right_bases_array_alignment_score,relative_right_bases_global_alignment_score,stft_dominant_frequency_diff,relative_num_peaks_diff,max_autocorrelation_diff,stft_variance_magnitude_diff,fft_amplitude_max_diff,fft_dominant_frequency_diff,fft_snr_threshold_diff,stft_stationarity_threshold_diff,relative_prominences_avg_diff,relative_prominences_total_diff,relative_prominences_wasserstein,stft_dynamic_cutoff_percentile_diff,lower_envelope_diff,fft_stationarity_threshold_diff,stft_dynamic_cutoff_diff,fft_frequency_max_diff,fft_num_peaks_diff,fft_dynamic_cutoff_percentile_diff,fft_dynamic_cutoff_diff,prominence_min_diff,fft_spectral_centroid_diff,stft_peak_amplitude_diff,fft_spectral_bandwidth_diff,stft_spectral_bandwidth_diff,fft_spectral_magnitude_diff,distance_factor_diff,stft_snr_threshold_diff,stft_spectral_centroid_diff,emd_value_normalized,wavelet_psnr_normalized,wavelet_entropy_normalized,wavelet_energy_entropy_normalized,wavelet_sparsity_normalized,correlation_normalized,avg_variance_across_levels_normalized,kl_divergence_normalized,prominence_min_diff_normalized,avg_prominence_diff_normalized,relative_prominences_avg_diff_normalized,relative_prominences_wasserstein_normalized,relative_prominences_total_diff_normalized,prominence_max_diff_normalized,relative_num_peaks_diff_normalized,max_autocorrelation_diff_normalized,relative_right_bases_global_alignment_score_normalized,relative_left_bases_global_alignment_score_normalized,upper_envelope_diff_normalized,lower_envelope_diff_normalized,relative_peaks_global_alignment_score_normalized,reconstruction_signal_weighted_score,reconstruction_signal_normalized_weighted_score,reconstruction_signal_normalized_weighted_rank,wavelet_signal_weighted_score,wavelet_signal_normalized_weighted_score,wavelet_signal_normalized_weighted_rank,reconstruction_signal_num_missing_metrics,reconstruction_signal_missing_metrics_count,reconstruction_signal_dynamically_weighted_score,reconstruction_signal_normalized_dynamically_weighted_score,reconstruction_signal_normalized_dynamically_weighted_rank,wavelet_signal_num_missing_metrics,wavelet_signal_missing_metrics_count,wavelet_signal_dynamically_weighted_score,wavelet_signal_normalized_dynamically_weighted_score,wavelet_signal_normalized_dynamically_weighted_rank,rank_variability,normalized_rank_stability,average_rank,harmonic_average_rank,stability_score_weighted,stability_rank,wavelet_family,family_mean_stability_rank,family_median_stability_rank,family_rank_std_dev,family_wavelet_count,normalized_family_mean_rank,normalized_family_std_dev,final_family_stability_score,final_family_stability_rank,family_informed_rank,top_wavelet_rank
raw,gaus8,21.686228107015427,0.6521648584858882,534.9324870973285,-30.090947313374535,794,127,33632.84318590254,,False,"[22, 71, 109, 137, 165, 212, 242, 274, 329, 355, 409, 438, 465, 514, 551, 590, 627, 654, 684, 718, 774]","[89568.81968736334, 17639.91954286836, 67833.94467807178, 4010.750835517085, 54433.39926556965, 59341.938696719655, 92272.40415631111, 35126.668996810055, 2198.336304604767, 54935.41051400499, 57920.222196728646, 52392.21745326912, 308.5029359824184, 54412.503587454376, 66637.13442018839, 18994.94315740428, 64491.37122017001, 3561.2091282568063, 73297.76069036254, 36101.88075802373, 142209.08647925896]",21,15.386244337164511,395196.3045336553,0.02649107098283261,2.0450263429739352e-07,0.4409341036165714,16,78347.26849051422,219.27949272519982,154523.60362500997,"[22, 57, 91, 143, 186, 212, 274, 336, 393, 438, 484, 551, 590, 649, 718, 774]","[105981.10225563784, 219.27949272519982, 26451.720622082932, 67708.95731403488, 10108.586457400925, 128631.26900481411, 58381.83815357763, 110124.5732170016, 87069.03301245478, 110602.76205084933, 63453.11729506381, 141669.15773110808, 55102.97145208536, 74243.53926868731, 59284.78489569377, 154523.60362500997]","[0, 56, 58, 109, 109, 109, 242, 242, 355, 242, 462, 242, 572, 627, 684, 242]","[242, 58, 109, 165, 192, 242, 297, 409, 409, 514, 514, 684, 684, 684, 737, 793]",0.05,30,1544506144264.5283,144068.86297245877,-144068.86297245877,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CWT,mdp.39015056038410,,,77323.35544703597,,,153151.60362500997,,142695.86297245877,0.0,-10.5,,,0.0,-15.0,,,0.0,0.0,-10.5,,7.0,,,,,,,77323.35544703597,1230006.2958482276,77336.35311914094,,142695.86297245877,,,,,,,50.720507274800184,,,,,,0.0,,,0.021906362915699598,0.9287118366936397,0.6314538588567808,0.8342238925569984,0.32758484920072406,0.856453203057422,0.012424346730367245,,0.0038492513693042197,0.9987228708590739,0.9987228708590739,0.999039368276637,0.863507187541519,0.4548438353255001,0.8571428571428572,,0.1428571428571428,0.1428571428571428,0.16570462851141238,0.16570462851141238,0.16071428571428573,2.02912909981873,0.8722196908085642,3,1.7752228461931887,0.8021552023424439,4,0,0,0.4961388391521135,0.8805584587476861,4,1,0.125,0.5098583357159474,0.8485552946227226,4,0.5,0.9615384615384616,3.75,3.6923076923076925,0.8365384615384616,1,gaus,6.875,6.5,3.9074105418879572,8,0.5288461538461539,1.0,0.3298076923076923,1,1.0,1
raw,gaus6,21.69544691681847,0.6531565481266983,521.9438249089611,-30.592462739534476,794,127,35869.91803115791,,False,"[42, 68, 109, 137, 165, 212, 241, 274, 329, 355, 409, 438, 465, 514, 551, 598, 626, 654, 682, 718, 774]","[100071.2596147674, 21674.074129908808, 56494.09198786253, 7757.072596596443, 61007.94940014977, 47822.141405553666, 88152.99935139876, 34444.42770905832, 2176.8129100900696, 50727.306576379386, 57619.64071316745, 46269.96038115845, 600.036707174273, 43222.1124221443, 67382.0678749738, 12317.962792672808, 75438.02488739735, 13644.00725532599, 66812.6109405986, 49173.07488098575, 149237.99974396505]",21,15.368893907577188,394829.49314035167,0.02395840379306195,2.3879472774174525e-07,0.38791561354110865,15,78399.71664613366,9203.008270340779,158057.20066735026,"[42, 68, 142, 186, 212, 274, 336, 393, 438, 484, 551, 590, 663, 718, 774]","[116122.16763703762, 21674.074129908808, 61821.09766589211, 9203.008270340779, 111779.58446911356, 53085.73106728968, 108776.1856763411, 76540.61232562114, 92398.85143558048, 61846.018160130894, 144233.00201379997, 44472.53035201389, 66812.6109405986, 49173.07488098575, 158057.20066735026]","[0, 58, 109, 165, 165, 241, 241, 355, 409, 462, 241, 572, 626, 626, 241]","[241, 165, 165, 192, 241, 297, 409, 409, 514, 514, 626, 626, 682, 737, 793]",0.05,30,1732651656038.4092,152331.96724374275,-152331.96724374275,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CWT,mdp.39015056038410,,,77375.8036026554,,,156685.20066735026,,150958.96724374275,0.0,-11.0,,,0.0,-15.5,,,0.0,0.0,-11.0,,8.0,,,,,,,77375.8036026554,1152445.7496920049,77375.80360265537,,150958.96724374275,,,,,,,8933.008270340779,,,,,,0.0,,,0.06003987268853952,0.8816091288330647,0.6187050390356779,0.8352107610471677,0.33545948499881906,0.753240228215733,0.01216170111198797,,0.9862989509736996,1.0,1.0,1.0,0.7614493336899596,0.490281117791483,1.0,,0.0,0.0,0.19017615736588933,0.19017615736588933,0.14285714285714288,2.326396802550615,1.0,1,1.7142799048784394,0.7746174216483144,6,0,0,0.5634365716703386,1.0,1,1,0.125,0.49323945941871283,0.820896561824138,5,2.6299556396765835,0.7976957200248782,3.25,1.6901408450704225,0.7738478600124391,3,gaus,6.875,6.5,3.9074105418879572,8,0.5288461538461539,1.0,0.3298076923076923,1,2.5,2
raw,morl,21.634637476362297,0.6625775997143933,546.1338632171623,-29.331922721697644,794,127,32347.722206436578,,False,"[19, 58, 108, 134, 165, 211, 241, 284, 320, 354, 410, 439, 465, 514, 552, 581, 626, 654, 683, 710, 736, 775]","[70642.46391187608, 30604.036628998787, 61755.95414140795, 11812.478177620464, 54698.511217203915, 62268.36406426985, 97730.50317380253, 37408.358570177916, 14372.826877245516, 58754.81831551055, 53900.20044825189, 65299.62294626629, 2394.8784591637814, 65475.8606633248, 57455.85627838199, 285.45926608503214, 49499.13897205038, 3520.157420522719, 68069.86512412706, 503.1487754326247, 51292.2371891807, 127502.16411446071]",22,15.391486915227652,377844.43716508505,0.028586226848951544,1.835170614862961e-08,0.5146712906392102,21,64632.678841969864,184.60323948923408,143514.84736466757,"[19, 63, 92, 143, 183, 211, 258, 284, 311, 337, 394, 439, 482, 522, 552, 584, 611, 649, 686, 717, 775]","[93815.15508530708, 1658.1840969293407, 55857.16773345388, 81038.22099869113, 483.51959492856986, 125540.07032829628, 1089.8095425986467, 66487.62949546578, 2165.5493114274213, 113050.66850053417, 96050.78407908541, 134519.8747758773, 67446.43216396545, 1658.5060213203433, 123452.74311351676, 184.60323948923408, 78047.55978288467, 87522.62433002952, 3494.9140394935457, 80207.39208340496, 143514.84736466757]","[0, 58, 58, 108, 108, 108, 241, 241, 297, 241, 354, 241, 463, 514, 514, 572, 572, 626, 683, 683, 241]","[241, 64, 108, 165, 184, 241, 259, 297, 312, 354, 410, 683, 514, 523, 683, 585, 626, 683, 687, 736, 793]",0.05,30,1298320345955.0356,128865.86583111245,-128865.86583111245,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CWT,mdp.39015056038410,,,63608.7657984916,,,142142.84736466757,,127492.86583111245,0.0,-0.5,,,0.0,-12.5,,,0.0,0.0,-8.0,,2.0,,,,,,,63608.7657984916,1333736.2556813671,63618.348098664464,,127492.86583111245,,,,,,,85.39676051076592,,,,,,0.0,,,0.0,0.9999999999999999,0.6353060218703059,0.8287011440821633,0.4102685250807145,1.0,0.0,,0.0076847130750980226,0.6647682848657944,0.6647682848657944,0.6650016168989871,1.0,0.34444063979346634,0.14285714285714296,,0.8571428571428571,0.8571428571428571,0.12068031670260393,0.12068031670260393,0.5178571428571429,1.653302173632334,0.7106707556594327,6,1.89611099300852,0.856779925135642,3,0,0,0.49691868107536236,0.881942539871382,3,1,0.125,0.5472179558618834,0.9107327687546536,3,1.5,0.8846153846153846,3.75,3.428571428571429,0.7980769230769231,2,morl,2.0,2.0,,1,0.15384615384615385,,,5,2.75,3
raw,fbsp,17.52192464417014,0.7304389218350225,989.4131470805627,-34.93850391652414,794,127,62697.204755353516,-1719996.9759689926,True,"[4, 30, 70, 143, 180, 216, 246, 273, 315, 341, 373, 401, 437, 485, 525, 554, 589, 616, 668, 719, 761, 787]","[4262.328433866671, 3704.4969985297357, 30377.999087603304, 42255.085582032, 29010.10025545355, 76775.02668748747, 5366.667772207089, 15584.885488311309, 6632.877097150973, 56574.84910966616, 7800.80338372985, 9943.281090575576, 67617.93741989037, 40481.37259492036, 5544.691950084372, 85657.40389498255, 1870.5905841194326, 42799.75102072771, 31893.635803139274, 49659.73206802144, 4866.226958033047, 18487.890976413095]",22,15.74666548522004,687064.5922279003,0.014447240952117182,1.6902902774872193e-08,0.21322443105227903,22,53293.80109403571,134.88702027100226,157792.97830508847,"[17, 43, 73, 117, 143, 180, 209, 250, 277, 306, 335, 366, 392, 437, 485, 520, 550, 591, 642, 668, 719, 771]","[11233.102546896975, 137203.02933838125, 33915.48527766231, 151.39307703979466, 56616.48952039826, 990.6040128849418, 95997.70147867147, 134.88702027100226, 56038.10957881887, 15547.053260965797, 99189.33922188001, 2959.8493834353667, 73243.32598473236, 85402.10405496304, 61229.30005757652, 6440.72825300604, 125766.48045216498, 42671.918163888695, 1482.854034137521, 57739.05689911923, 50717.83414680267, 157792.97830508847]","[0, 0, 57, 112, 112, 166, 166, 241, 241, 299, 241, 352, 352, 241, 464, 513, 241, 571, 629, 629, 241, 241]","[19, 241, 241, 118, 166, 181, 241, 251, 299, 308, 410, 367, 410, 464, 513, 522, 629, 629, 643, 684, 738, 793]",0.05,30,4718411321290.651,238020.37997499947,-238020.37997499947,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CWT,mdp.39015056038410,,,52269.88805055745,,,156420.97830508847,,236647.37997499947,0.0,-12.0,,,0.0,-12.0,,,0.0,0.0,-7.5,,1.0,,,,,,,52269.88805055745,1148913.6240687857,52309.83096661219,,236647.37997499947,,,,,,,135.11297972899774,,,,,,0.0,,,0.5173417831032124,0.47342565683655646,0.8962855884199735,0.388437510281337,0.9491298527443099,0.4131627081350727,0.22140893201369038,0.0,0.013183711299352616,0.38866303337971253,0.38866303337971253,0.38963565599083416,0.756801594878093,0.48763131862844683,0.0,,1.0,1.0,0.4439459750764726,0.4439459750764726,0.10714285714285715,1.3752670484273142,0.5911575561484175,8,1.7151000755407821,0.7749880253530931,5,0,0,0.45163442957099614,0.8015710237482476,6,0,0.0,0.48239900394176904,0.8028548328835576,6,1.2583057392117916,0.9032072508298622,6.25,6.075949367088608,0.7112190100303157,4,fbsp,4.0,4.0,,1,0.3076923076923077,,,3,3.75,4
raw,gaus4,21.74481129567018,0.6409290148555108,480.91777385174254,-31.499776445859705,794,127,39130.28057666033,,False,"[42, 68, 109, 164, 212, 241, 274, 329, 355, 409, 463, 514, 551, 598, 626, 654, 681, 718, 774]","[117936.09282556344, 20666.908915673295, 24395.5601851378, 52232.73665935868, 36241.80183278826, 86853.84304309044, 27670.355443161436, 1950.4146672393035, 51258.01180839185, 59749.586250760054, 39046.355200688144, 33074.205769981156, 62419.447800511065, 13372.152808458544, 79895.94511307123, 10707.276902516283, 44309.86550931983, 41777.1271015699, 160051.76928778357]",19,15.28495429195442,400244.7173250769,0.020595084829494067,2.8719128295428787e-07,0.31381110657266514,15,71916.67854879424,9326.87889715911,160989.75623266122,"[42, 68, 133, 186, 212, 274, 336, 394, 439, 484, 551, 590, 663, 718, 774]","[137274.81691378172, 20666.908915673295, 40910.38984061162, 9326.87889715911, 91866.29590475414, 47781.31135575622, 100601.67842538378, 67374.66858335932, 79160.46525775723, 53898.14108590534, 143096.85664336733, 35719.38356155099, 48305.49951262238, 41777.1271015699, 160989.75623266122]","[0, 58, 109, 164, 164, 241, 241, 355, 409, 463, 241, 574, 626, 241, 241]","[241, 241, 164, 192, 241, 296, 409, 409, 463, 514, 626, 626, 681, 737, 793]",0.05,30,2134336346223.5952,160520.7627602224,-160520.7627602224,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CWT,mdp.39015056038410,,,70892.76550531598,,,159617.75623266122,,159147.7627602224,0.0,-6.5,,,0.0,-15.5,,,0.0,0.0,-11.0,,8.0,,,,,,,70892.76550531598,1055200.1782319136,70892.76550531598,,159147.7627602224,,,,,,,9056.87889715911,,,,,,0.0,,,0.11561649644594658,0.7963935398048955,0.557027543960327,0.8404951904980784,0.23836522560831522,0.6089783565082715,0.016039129486962962,,1.0000000000000002,0.8421359764121388,0.8421359764121388,0.8421359764121394,0.6334889877197926,0.519690752979056,1.0,,0.0,0.0,0.2144276177354926,0.2144276177354926,0.3035714285714286,2.180997581928832,0.9375002491138353,2,1.5566355246873436,0.7033839649803192,7,0,0,0.5343345278314733,0.9483490328776659,2,1,0.125,0.4470236403303996,0.7439797493773126,8,3.2015621187164243,0.7537259908679674,4.75,3.154929577464789,0.694170687741676,5,gaus,6.875,6.5,3.9074105418879572,8,0.5288461538461539,1.0,0.3298076923076923,1,4.0,5
raw,gaus2,22.106886391598355,0.620936551696781,557.2088401567285,-34.17994460891885,794,127,54377.45356009545,,False,"[44, 72, 133, 186, 213, 241, 274, 329, 355, 409, 439, 465, 501, 551, 591, 626, 669, 718, 761]","[148616.25771432056, 27267.132592153896, 27520.659007489252, 56797.37518087216, 11890.190828728584, 59290.39956833504, 28103.652544128356, 1070.6175529291904, 49883.120029931015, 53304.62348229213, 35377.901103694414, 142.58855109777141, 34164.103355679865, 82238.49444934021, 32343.102023711876, 23652.792538718015, 35189.41826852656, 43786.13648800565, 166282.00523376826]",19,15.261953261526163,411543.2182610745,0.01603460459645288,3.397223238116891e-07,0.22931327875885182,16,60572.255071316366,385.41263119830546,173648.38767549075,"[44, 72, 133, 186, 213, 242, 274, 336, 394, 439, 501, 551, 591, 669, 718, 761]","[173648.38767549075, 27267.132592153896, 27520.659007489252, 56797.37518087216, 11890.190828728584, 385.41263119830546, 82594.81297459385, 45077.27961021001, 58892.02840116817, 60349.875738115516, 38336.99078319757, 107355.60352215751, 32343.102023711876, 35189.41826852656, 43786.13648800565, 167721.6754154422]","[0, 57, 110, 166, 202, 241, 241, 296, 355, 241, 461, 241, 574, 626, 241, 241]","[241, 241, 241, 241, 241, 243, 409, 409, 409, 461, 514, 626, 626, 681, 737, 793]",0.05,30,3960295475869.149,167001.84032460523,-167001.84032460523,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CWT,mdp.39015056038410,,,59548.3420278381,,,172276.38767549075,,165628.84032460523,0.0,7.5,,,0.0,-15.0,,,0.0,0.0,-10.5,,7.0,,,,,,,59548.3420278381,945606.0811410618,59550.60893860774,,165628.84032460523,,,,,,,115.41263119830546,,,,,,0.0,,,0.37552206965694507,0.5446701203112592,0.5401267524753816,0.8792551292407875,0.07961256791873353,0.44448343852944483,0.02412912292573713,,0.011004700439497327,0.5658956846615454,0.5658956846615454,0.5659508846541782,0.4892798646772212,0.6466400040388838,0.8571428571428572,,0.1428571428571428,0.1428571428571428,0.2336215999748397,0.2336215999748397,0.8035714285714286,1.7061755178158753,0.7333983248022257,5,1.36843968569149,0.6183454743854903,9,0,0,0.4381948828759268,0.7777182116114225,7,1,0.125,0.40629274300832696,0.6761914714258569,10,2.217355782608345,0.8294341705685888,7.75,7.2206303724928365,0.6166401622073714,6,gaus,6.875,6.5,3.9074105418879572,8,0.5288461538461539,1.0,0.3298076923076923,1,4.75,6
raw,gaus7,21.68499507050374,0.638965469366707,517.6139471727273,-30.412984119489032,794,127,34555.86450518215,,False,"[2, 48, 99, 148, 174, 205, 231, 263, 307, 345, 382, 424, 455, 490, 525, 563, 619, 646, 693, 748, 788]","[4313.272799860599, 69071.19047326363, 56427.100405210775, 22127.738875174568, 71141.74648315719, 2939.070089622778, 77236.90969916953, 6632.652932904377, 28603.298643994116, 78710.56044905816, 21248.36462620154, 55988.12324850316, 58149.23744900187, 2325.8619302962925, 64037.86789800655, 77638.48423324563, 60059.309219222625, 254.08041774792946, 78914.77228254564, 73429.7624816775, 9528.418566088745]",21,15.3887155548025,399212.7303448765,0.025356762525446344,1.827941719641575e-07,0.028427489779560017,18,68449.66183074964,254.08041774792946,158933.75078445786,"[48, 99, 148, 200, 231, 257, 290, 345, 401, 455, 507, 563, 619, 645, 672, 699, 730, 788]","[143910.56686114657, 56427.100405210775, 50345.93959904292, 9012.950405039406, 141513.7858440855, 6632.652932904377, 55520.084188026936, 158933.75078445786, 76686.36107534704, 118029.65321639841, 57944.981613933705, 141776.71489755885, 65854.9037260869, 254.08041774792946, 65251.01395071609, 1041.1919880237692, 73429.7624816775, 9528.418566088745]","[2, 65, 121, 174, 2, 254, 254, 2, 382, 424, 473, 525, 581, 640, 640, 693, 693, 2]","[174, 174, 174, 205, 254, 263, 307, 693, 424, 525, 525, 693, 693, 646, 693, 700, 748, 793]",0.05,30,1644679121817.6387,165813.19314533583,-165813.19314533583,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CWT,mdp.39015056038410,,,67425.74878727138,,,157561.75078445786,,164440.19314533583,0.0,-14.0,,,0.0,-14.0,,,0.0,0.0,-9.5,,5.0,,,,,,,67425.74878727138,1208543.9129534934,67431.74468288392,,164440.19314533583,,,,,,,15.91958225207054,,,,,,0.0,,,0.037640321291719306,0.8984658964741933,0.6332696702893967,0.8340918966804577,0.2227734467280883,0.05341194904603713,0.01530020244292277,,0.0,0.7577130252063584,0.7577130252063584,0.7578590271567093,0.8352659638094804,0.49907175060086517,0.5714285714285715,,0.42857142857142855,0.42857142857142855,0.23010137164535208,0.23010137164535208,0.035714285714285726,1.7626235005627133,0.7576624497722005,4,1.4006466570437783,0.6328985710163347,8,0,0,0.461009270796349,0.8182097044742087,5,1,0.125,0.3787433404218308,0.6303411051753223,11,3.1622776601683795,0.75674787229474,7.0,6.0068259385665534,0.6091431669166008,7,gaus,6.875,6.5,3.9074105418879572,8,0.5288461538461539,1.0,0.3298076923076923,1,5.5,7
raw,cgau8,16.667252225225504,0.6794561574009798,690.4137213653622,-30.089117036840797,794,127,38383.15884653729,-1488271.1611872334,True,"[3, 45, 77, 107, 148, 174, 240, 271, 319, 345, 384, 424, 455, 521, 563, 590, 622, 684, 712, 754, 786]","[2813.371557143284, 17031.21118520273, 12355.183351784348, 44388.67685086309, 3140.3889579308234, 26280.434686473727, 69537.07663878838, 4621.238083624892, 5847.841289389362, 43022.38008074484, 3879.2773933247227, 6424.591041202351, 42022.312382981596, 18118.47697064667, 51143.07781112891, 3006.8989627201336, 38814.59143329519, 49363.54678170884, 9917.197794619651, 298.47294100688305, 15764.975612856651]",21,15.836532719064957,406297.27085742075,0.02711189047269811,8.354266698249842e-06,0.3419791192278741,16,61389.808783755,161.64851440976418,111493.95025486301,"[22, 57, 91, 143, 186, 212, 273, 336, 393, 438, 484, 551, 609, 649, 717, 774]","[73713.8629178501, 161.64851440976418, 30309.669345807633, 55493.92903743242, 8208.974318535365, 97679.90900258634, 47275.8263250428, 82638.35187492063, 69847.40353680117, 92022.58176814835, 48502.43483114833, 101020.32466433695, 50708.60266916407, 60620.174147588754, 52539.29733144428, 111493.95025486301]","[0, 56, 58, 109, 109, 109, 242, 242, 355, 242, 462, 242, 572, 627, 684, 242]","[242, 58, 109, 165, 192, 242, 297, 355, 409, 514, 514, 684, 684, 684, 737, 793]",0.05,30,1556610953308.7534,110937.94109573947,-110937.94109573947,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CWT,mdp.39015056038410,,,60365.895740276734,,,110121.95025486301,,109564.94109573947,0.0,-6.0,,,0.0,-15.0,,,0.0,0.0,-10.5,,7.0,,,,,,,60365.895740276734,958686.94054008,60386.09728467117,,109564.94109573947,,,,,,,108.35148559023582,,,,,,0.0,,,0.10288094856851493,0.9288837376489758,0.9623186031268198,0.29694530058252766,0.5442948263642802,0.6638140256754698,0.02037290072279883,1.0000000000000002,0.010223683142314385,0.5858033755630876,0.5858033755630876,0.5862952895442973,0.5064922813369597,0.023313595000948373,0.8571428571428572,,0.1428571428571428,0.1428571428571428,0.0675860178702356,0.0675860178702356,0.32142857142857145,1.2580893481751703,0.5407888055880348,9,2.1092191801196334,0.9530753515490217,2,0,0,0.3247824458480734,0.5764312474166136,11,0,0.0,0.5649387928361734,0.9402254905291534,2,4.69041575982343,0.63919878770589,6.0,3.327731092436975,0.5888301630837143,8,cgau,8.0,8.0,,1,0.6153846153846154,,,2,6.5,8
raw,gaus5,21.70569990262382,0.6316864674031615,505.0163561427111,-31.061743915035677,794,127,36175.02380655472,,False,"[1, 48, 100, 148, 175, 230, 263, 307, 345, 382, 424, 455, 490, 525, 563, 616, 646, 693, 748, 788]","[4123.989133984607, 42454.739976106495, 77441.60223183788, 37046.74855114151, 55931.433353159555, 70872.49322869451, 6433.514340830981, 26244.081646992992, 74095.71236164904, 18358.775132597628, 56860.13809217684, 47484.13824709812, 4972.770205494249, 56106.109140812296, 80978.40378103216, 50019.20859660662, 800.2664498508893, 94976.31907469619, 52320.481252850295, 8628.950952778745]",20,15.350873173308269,406515.5836992681,0.02222449566566978,1.6856379551737707e-07,0.015321248768947783,20,56157.28467621115,47.64767710468732,178750.19941507175,"[8, 48, 100, 148, 200, 230, 256, 290, 345, 401, 427, 455, 507, 563, 616, 645, 672, 699, 731, 788]","[47.64767710468732, 42454.739976106495, 139915.82641439585, 44881.734486895315, 9361.188574537711, 127376.98919608702, 6433.514340830981, 49634.692796005664, 132302.32925880444, 68279.48677796387, 553.3879054906938, 104466.32725543866, 57989.06899211943, 178750.19941507175, 50019.20859660662, 800.2664498508893, 48020.01996153569, 909.6332437482924, 52320.481252850295, 8628.950952778745]","[1, 1, 1, 121, 175, 175, 253, 253, 253, 382, 424, 424, 473, 1, 581, 640, 640, 693, 693, 1]","[9, 65, 253, 175, 205, 253, 263, 307, 424, 424, 428, 525, 525, 693, 693, 646, 693, 700, 748, 793]",0.05,30,1909950633747.9746,188734.8231949667,-188734.8231949667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CWT,mdp.39015056038410,,,55133.37163273289,,,177378.19941507175,,187361.8231949667,0.0,-13.0,,,0.0,-13.0,,,0.0,0.0,-8.5,,3.0,,,,,,,55133.37163273289,1099595.693524223,55157.88947371808,,187361.8231949667,,,,,,,222.35232289531268,,,,,,0.0,,,0.06524075101074683,0.8375338861563802,0.6054636899911392,0.8363083375063455,0.16497361997007598,0.02789756487983308,0.020529217872140144,,0.02283305714061437,0.4583897622640469,0.4583897622640469,0.4589867794293787,0.6919067172989656,0.6978043958859123,0.28571428571428575,,0.7142857142857143,0.7142857142857143,0.2979847375978462,0.2979847375978462,0.07142857142857144,1.5050578313895746,0.6469480312814474,7,1.328338731834614,0.6002253894484543,11,0,0,0.4308328529327452,0.7646519139776774,8,1,0.125,0.3591710096266658,0.5977669492560643,12,2.3804761428476167,0.8168864505501834,9.5,9.047735618115055,0.5430586098904764,10,gaus,6.875,6.5,3.9074105418879572,8,0.5288461538461539,1.0,0.3298076923076923,1,7.75,9
