signal_type,wavelet,wavelet_energy_entropy,wavelet_sparsity,wavelet_adaptive_threshold,wavelet_psnr,signal_length,decomposition_levels,original_level,padded,emd_value,kl_divergence,wavelet_entropy,avg_variance_across_levels,variance_ratio_across_levels,smoothness,correlation,dynamic_cutoff,dominant_frequency,amplitude_max,num_fft_peaks,positive_frequencies,positive_amplitudes,relative_num_peaks,avg_prominence,prominence_min,prominence_max,relative_peaks,relative_prominences,relative_left_bases,relative_right_bases,max_autocorrelation,upper_envelope,lower_envelope,spectral_magnitude,spectral_centroid,spectral_bandwidth,frequency_max,wavelet_type,htid,max_autocorrelation_diff,frequency_max_diff,relative_right_bases_array_alignment_score,relative_right_bases_global_alignment_score,relative_num_peaks_diff,relative_peaks_array_alignment_score,relative_peaks_global_alignment_score,spectral_centroid_diff,lower_envelope_diff,relative_prominences_avg_diff,relative_prominences_total_diff,relative_prominences_wasserstein,spectral_bandwidth_diff,spectral_magnitude_diff,avg_prominence_diff,num_fft_peaks_diff,amplitude_max_diff,prominence_min_diff,relative_left_bases_array_alignment_score,relative_left_bases_global_alignment_score,prominence_max_diff,upper_envelope_diff,dominant_frequency_diff,dynamic_cutoff_diff,emd_value_normalized,smoothness_normalized,wavelet_psnr_normalized,wavelet_entropy_normalized,wavelet_energy_entropy_normalized,wavelet_sparsity_normalized,correlation_normalized,avg_variance_across_levels_normalized,prominence_min_diff_normalized,avg_prominence_diff_normalized,relative_prominences_avg_diff_normalized,relative_prominences_wasserstein_normalized,spectral_centroid_diff_normalized,spectral_magnitude_diff_normalized,dynamic_cutoff_diff_normalized,relative_prominences_total_diff_normalized,prominence_max_diff_normalized,amplitude_max_diff_normalized,frequency_max_diff_normalized,spectral_bandwidth_diff_normalized,num_fft_peaks_diff_normalized,relative_num_peaks_diff_normalized,dominant_frequency_diff_normalized,max_autocorrelation_diff_normalized,relative_right_bases_global_alignment_score_normalized,relative_right_bases_array_alignment_score_normalized,relative_left_bases_global_alignment_score_normalized,relative_left_bases_array_alignment_score_normalized,upper_envelope_diff_normalized,lower_envelope_diff_normalized,relative_peaks_array_alignment_score_normalized,relative_peaks_global_alignment_score_normalized,reconstruction_weighted_score,reconstruction_normalized_weighted_score,reconstruction_normalized_weighted_rank,signal_weighted_score,signal_normalized_weighted_score,signal_normalized_weighted_rank,reconstruction_missing_metrics_count,reconstruction_dynamically_weighted_score,reconstruction_normalized_dynamically_weighted_score,reconstruction_normalized_dynamically_weighted_rank,signal_missing_metrics_count,signal_dynamically_weighted_score,signal_normalized_dynamically_weighted_score,signal_normalized_dynamically_weighted_rank,rank_variability,normalized_rank_stability,average_rank,harmonic_average_rank,stability_score_weighted,stability_rank,wavelet_family,family_mean_stability_rank,family_median_stability_rank,family_rank_std_dev,family_wavelet_count,normalized_family_mean_rank,normalized_family_std_dev,final_family_stability_score,final_family_stability_rank,family_informed_rank
smoothed,rbio5.5,17339.738295360345,0.6025641025641025,10.178447426473909,8.839482655164296,78,1,False,False,134.64728505494062,,6.16875540768465,57238.58045756417,1.0,0.00011633200465132121,0.942300330066773,479.99553586304626,,,,[],[],9,203.34518345966873,37.48922179763008,763.3039482301509,"[5, 14, 26, 32, 40, 52, 60, 68, 74]","[149.78292980770067, 115.91320491426256, 265.00393396293293, 104.88964558576146, 158.81229221162835, 191.17269447401702, 43.738780152934396, 37.48922179763008, 763.3039482301509]","[1, 1, 1, 29, 37, 37, 56, 56, 1]","[10, 18, 56, 37, 45, 56, 63, 72, 77]",16440945.573145228,709.4164171299418,-709.4164171299418,0.0,,,,SWT,inu.32000013032836,8357863.413145227,,0.1111111111111111,0.0,0.0,0.2222222222222222,4.5,,314.4164171299418,99.16740568189097,892.5066511370187,99.16740568189095,,0.0,99.16740568189097,,,34.0892217976301,0.5555555555555556,18.0,368.3039482301509,314.4164171299418,,142.89553586304623,0.8231925380869911,0.7199911101203736,0.8576966574939614,0.0895191782245468,0.03486735747961291,0.18181818181818188,0.954751840791639,0.7421207909393193,0.39568086148132287,0.9999999999999999,0.9999999999999999,1.0,,0.0,0.985080382792171,1.0,1.0,,,,,0.0,,0.8791649506491892,0.24050632911392403,0.19999999999999996,0.9016393442622952,1.0,0.9254709407408982,0.9254709407408982,0.6666666666666666,0.32,3.7525632021323916,1.0,1,1.791242682230322,0.7020283527038953,6,0,0.691093356469298,1.0,1,0,0.5504947068693282,0.7452444685702715,2,2.3804761428476167,0.977542677897664,2.5,1.5,0.9769788861186433,1,rbio,39.0,38.0,22.398979568593873,15,0.4853587115666178,0.8012105911156884,0.41988572456866097,2,1.25
smoothed,sym20,19940.93200878377,0.6666666666666666,15.24136273978084,9.065754038713415,78,1,False,False,130.62567991394997,,6.181741934339756,55828.524089343024,1.0,0.0001022062403907164,0.9305319943940242,463.53758665750456,,,,[],[],9,180.99160913236662,34.801168350467776,674.3008313010425,"[5, 14, 26, 32, 40, 52, 61, 70, 74]","[103.68395646250048, 96.50725528907208, 233.26880068312215, 82.68783731030925, 136.05878802311588, 159.15747546849377, 34.801168350467776, 108.4583693031758, 674.3008313010425]","[1, 1, 1, 30, 37, 37, 56, 1, 1]","[10, 18, 56, 37, 45, 56, 63, 72, 77]",16163862.988650734,684.8605087373568,-684.8605087373568,0.0,,,,SWT,inu.32000013032836,8080780.828650733,,0.1111111111111111,0.0,0.0,0.3333333333333333,9.0,,289.8605087373568,76.81383135458886,691.3244821912997,76.81383135458887,,0.0,76.81383135458886,,,31.4011683504678,0.3333333333333333,9.0,279.30083130104254,289.8605087373568,,126.43758665750454,0.31965353063401225,0.5341918365491092,0.9114697572672754,0.20026708790866263,0.049893928357996976,0.6363636363636361,0.9455230960387798,0.3050315203725439,0.35274657080226657,0.7720317618140027,0.7720317618140027,0.7054122627531287,,0.0,0.8715539882456883,0.7625981005318917,0.7437788001208614,,,,,0.0,,0.4325535750052195,0.24050632911392403,0.19999999999999996,0.6065573770491803,0.5999999999999999,0.7855609025560413,0.7855609025560413,1.0,0.44,2.9528396707455786,0.7868860593920521,6,1.6828832737586155,0.6595598598614613,14,0,0.5594940184645693,0.8095780595011767,5,0,0.487799299186502,0.6603691642351924,12,4.425306015783918,0.9582518300397743,9.25,7.671232876712328,0.9354938395481891,2,sym,34.31578947368421,32.0,27.95641971906939,19,0.42706326577791476,1.0,0.40105571395545964,3,2.25
smoothed,sym19,19072.951347213566,0.6923076923076923,15.144383640373823,8.918568530740854,78,1,False,False,131.68135191078173,,6.182912644760114,55828.52408943267,1.0,0.00011404207652259633,0.902388376162353,339.312438094817,0.01282051282051282,3086.016312296159,4.0,"[0.0, 0.01282051282051282, 0.02564102564102564, 0.038461538461538464, 0.05128205128205128, 0.0641025641025641, 0.07692307692307693, 0.08974358974358974, 0.10256410256410256, 0.11538461538461538, 0.1282051282051282, 0.14102564102564102, 0.15384615384615385, 0.16666666666666666, 0.1794871794871795, 0.1923076923076923, 0.20512820512820512, 0.21794871794871795, 0.23076923076923075, 0.24358974358974358, 0.2564102564102564, 0.2692307692307692, 0.28205128205128205, 0.2948717948717949, 0.3076923076923077, 0.3205128205128205, 0.3333333333333333, 0.34615384615384615, 0.358974358974359, 0.3717948717948718, 0.3846153846153846, 0.3974358974358974, 0.41025641025641024, 0.4230769230769231, 0.4358974358974359, 0.4487179487179487, 0.4615384615384615, 0.47435897435897434, 0.48717948717948717]","[34106.87132646442, 1354.921525351245, 3086.016312296159, 2624.401156565642, 2558.8853976541914, 1973.3698771290983, 1569.104017775925, 2560.5081833077465, 1925.5717157590639, 1394.982444483739, 867.2021284512756, 897.1954915928524, 567.7316849187498, 522.5785221531181, 168.53609700391937, 180.53648431984624, 214.81637149181472, 170.5926670769841, 433.1208816864535, 316.033648512708, 631.3636751032471, 636.0245530971283, 486.7332875509618, 416.9678920833554, 403.34590219577734, 559.4068531958052, 621.68947222046, 303.33350430994614, 386.19443388880546, 90.02228469550887, 171.19574572864897, 89.14071849308647, 75.09726229333148, 162.25347248027376, 191.2888691350741, 322.35376135721054, 317.5383438217783, 387.09464615150154, 262.54362146767903]",12,133.4741138467048,19.356841648451677,618.0085333480503,"[1, 6, 9, 15, 25, 33, 41, 45, 53, 61, 69, 73]","[37.67699287457536, 161.92603175823825, 27.688474517381053, 84.06870568911631, 229.77661275610762, 92.37844334613698, 131.43928461242342, 19.356841648451677, 109.12760021475111, 32.156003842007976, 58.08584155321762, 618.0085333480503]","[0, 0, 8, 0, 0, 30, 38, 44, 46, 56, 0, 0]","[2, 11, 11, 20, 56, 38, 56, 46, 56, 64, 71, 77]",16169999.185883703,633.3157429175474,-633.3157429175474,64006.56423326454,0.06510795663964256,0.11002047150103103,0.48717948717948717,SWT,inu.32000013032836,8086917.025883703,,0.0,1.5,3.0,0.0,24.0,,238.31574291754737,29.296336068927033,664.0893661604578,45.12849607551067,,64006.56423326454,29.296336068927033,,,15.9568416484517,0.0,-3.0,223.00853334805026,238.31574291754737,,2.212438094817003,0.45183260114057755,0.6898711835098137,0.8764913128822553,0.2102507991305544,0.044879779329093705,0.8181818181818181,0.923452832553396,0.3050315204003327,0.10606575697147128,0.2874345549121417,0.2874345549121417,0.28784543039327337,,0.9981204035263893,0.014652982403818182,0.730459724095058,0.5817251482587822,,,,,0.6000000000000001,,0.4424441117650046,0.27848101265822783,0.0,0.21311475409836067,0.0,0.49187882658540893,0.49187882658540893,0.0,0.8400000000000001,2.428058421843696,0.6470399806894533,14,1.8146376808085134,0.711197379590251,4,0,0.3695297826203047,0.5347031325958365,20,0,0.5399989808909802,0.7310356457943427,5,7.632168761236874,0.9279984079128597,10.75,7.0,0.9132916567866185,3,sym,34.31578947368421,32.0,27.95641971906939,19,0.42706326577791476,1.0,0.40105571395545964,3,3.0
smoothed,sym14,19998.858375073418,0.6538461538461539,14.806271209199043,9.079202425159114,78,1,False,False,130.47003836704158,,6.182345336318853,55828.524089413644,1.0,0.00010390210051222508,0.9331695795153054,462.9992605616652,,,,[],[],9,180.87080599095503,35.43980738073793,673.7768119971818,"[5, 14, 26, 32, 40, 52, 61, 70, 74]","[108.59221193693895, 98.15168601644854, 230.47585650435462, 80.64809447320448, 157.7162061170976, 138.04232100520466, 35.43980738073793, 104.99425848742663, 673.7768119971818]","[1, 1, 1, 30, 37, 45, 56, 1, 1]","[10, 18, 56, 37, 56, 56, 63, 72, 77]",16163866.648443326,676.8016025001295,-676.8016025001295,0.0,,,,SWT,inu.32000013032836,8080784.488443326,,0.1111111111111111,0.0,0.0,0.3333333333333333,9.0,,281.80160250012955,76.69302821317727,690.2372539185953,76.69302821317726,,0.0,76.69302821317727,,,32.039807380737955,0.2222222222222222,4.5,278.77681199718177,281.80160250012955,,125.89926056166519,0.3001658914200369,0.5564978564459256,0.9146657488009449,0.20541284471177026,0.05022855728020556,0.5454545454545456,0.9475914938585845,0.3050315203944348,0.3629470799452508,0.7707997763197949,0.7707997763197949,0.7038202522961121,,0.0,0.8678406324692379,0.7613151336643604,0.7422702590783945,,,,,0.0,,0.4325594739865914,0.24050632911392403,0.19999999999999996,0.459016393442623,0.3999999999999999,0.7396443817190799,0.7396443817190799,1.0,0.44,2.898312840006865,0.7723555031291414,9,1.6528502985193696,0.6477892604093801,18,0,0.535064659448569,0.7742292042599592,7,0,0.47813105729580596,0.6472805664704352,18,5.830951894845301,0.94499101985995,13.0,10.956521739130434,0.9111747552129938,4,sym,34.31578947368421,32.0,27.95641971906939,19,0.42706326577791476,1.0,0.40105571395545964,3,3.75
smoothed,sym16,19990.085325223543,0.6538461538461539,15.029085736937983,9.074728353498381,78,1,False,False,130.530521726095,,6.181975460998076,55828.52408940697,1.0,0.00010317900712726844,0.9322754853188988,463.89175405521877,,,,[],[],9,180.8403098699387,35.07948659553199,674.9169627771482,"[5, 14, 26, 32, 40, 52, 61, 70, 74]","[105.61201621574025, 97.30497973335054, 231.8570937753815, 81.31195531036423, 137.6009424202676, 158.23847488276584, 35.07948659553199, 105.64087711889812, 674.9169627771482]","[1, 1, 1, 30, 37, 37, 56, 1, 1]","[10, 18, 56, 37, 45, 56, 63, 72, 77]",16163774.310940513,681.9253985027722,-681.9253985027722,0.0,,,,SWT,inu.32000013032836,8080692.150940513,,0.1111111111111111,0.0,0.0,0.3333333333333333,9.0,,286.92539850277217,76.66253209216093,689.9627888294483,76.66253209216094,,0.0,76.66253209216093,,,31.679486595532012,0.3333333333333333,9.0,279.9169627771482,286.92539850277217,,126.79175405521875,0.3077389199788973,0.5469868506574588,0.9136024914944667,0.20225858185860282,0.05017787714257935,0.5454545454545456,0.9468903439803773,0.30503152039236664,0.35719194239541185,0.7704887680274383,0.7704887680274383,0.7034183575855186,,0.0,0.8739970233545138,0.760991255391039,0.745552512677657,,,,,0.0,,0.43241064117838707,0.24050632911392403,0.19999999999999996,0.6065573770491803,0.5999999999999999,0.7688377832793176,0.7688377832793176,1.0,0.44,2.947193551039578,0.7853814558978879,7,1.6497480195190937,0.6465734073941539,19,0,0.5577376967421745,0.8070366926858921,6,0,0.4772676413699118,0.6461116979330654,21,7.847504911329036,0.9259669347987827,13.25,9.761467889908257,0.9004834673993913,5,sym,34.31578947368421,32.0,27.95641971906939,19,0.42706326577791476,1.0,0.40105571395545964,3,4.5
smoothed,bior3.9,11303.979916838678,0.6153846153846154,7.888882766248489,8.653888723987741,78,1,False,False,133.26482665841462,,6.1582582055480835,57285.9509455191,1.0,9.452767904505015e-05,0.8965922046995358,476.28401541962444,,,,[],[],10,179.1226215232727,24.181893114268178,699.2486319706393,"[4, 7, 14, 26, 32, 40, 51, 60, 70, 74]","[166.14292538311378, 24.181893114268178, 121.54869070575097, 242.4038285173168, 115.54957976976533, 167.7803087337058, 148.39491849525677, 48.396940490579254, 57.57849805233104, 699.2486319706393]","[1, 6, 1, 1, 29, 37, 45, 55, 55, 1]","[9, 9, 18, 55, 55, 55, 55, 63, 72, 77]",16393522.909552263,639.1628914044987,-639.1628914044987,0.0,,,,SWT,inu.32000013032836,8310440.749552263,,0.0,8.0,1.0,0.0,-1.0,,244.16289140449874,74.94484374549494,853.6262152327272,78.89921452585861,,0.0,74.94484374549494,,,20.7818931142682,0.0,3.5,304.2486319706393,244.16289140449874,,139.18401541962442,0.6500970440176099,0.4331940360919681,0.8135905013290035,0.0,0.0,0.27272727272727315,0.9189074670521372,0.7568046947131339,0.18313273731498547,0.7529712837804647,0.7529712837804647,0.7328945929040939,,0.0,0.95947843634277,0.9541197443878973,0.8155982559158876,,,,,0.2,,0.8027274471424473,0.4430379746835443,0.0,0.42622950819672134,0.0,0.5251936099362429,0.5251936099362429,0.0,0.17333333333333334,2.904223770157694,0.7739306745073263,8,1.5925173986272931,0.6241434380173267,29,0,0.4581601009808386,0.6629496531720638,14,0,0.48066512699139075,0.6507111197528564,16,8.845903006477066,0.916548084844556,16.75,13.63273871983211,0.8792646084600139,6,bior,24.133333333333333,22.0,12.129460397058457,15,0.30034163006344555,0.43387030667538645,0.6595997669529721,1,4.75
smoothed,sym15,19044.92694882612,0.6794871794871795,14.686577102182708,8.979150883416535,78,1,False,False,132.2255587013842,,6.185524614836775,55828.52408941305,1.0,0.00011427482399981709,0.914641115135489,468.20123005995686,,,,[],[],12,134.13119548429705,21.4055732133736,618.7024408174104,"[1, 6, 9, 15, 25, 33, 41, 45, 51, 61, 69, 73]","[30.09665835161949, 172.49856216986177, 22.131119386494106, 85.77406411686815, 229.41495797127732, 91.84037055219301, 131.20069142193893, 21.4055732133736, 107.19524442713157, 38.43111884862037, 60.88354453477592, 618.7024408174104]","[0, 0, 8, 11, 0, 30, 38, 44, 46, 56, 0, 0]","[2, 11, 11, 20, 56, 38, 56, 46, 56, 64, 71, 77]",16170304.175107306,612.0333697508099,-612.0333697508099,0.0,,,,SWT,inu.32000013032836,8087222.015107306,,0.0,1.5,3.0,0.0,24.0,,217.03336975080992,29.95341770651929,671.9743458115647,45.328106235792305,,0.0,29.95341770651929,,,18.005573213373623,0.0,-3.0,223.70244081741043,217.03336975080992,,131.10123005995683,0.519971898158094,0.6929325620940341,0.8908886301383471,0.23252544067483352,0.04471788803798382,0.7272727272727275,0.9330614470296408,0.3050315203942499,0.13878863181779305,0.2941356641429515,0.2941356641429515,0.2904760032308814,,0.0,0.9037236476800866,0.739764272088798,0.5837227614945767,,,,,0.6000000000000001,,0.4429357040350799,0.27848101265822783,0.0,0.21311475409836067,0.0,0.37062012196661587,0.37062012196661587,0.0,0.8400000000000001,2.245741607111949,0.5984553720070078,21,1.8231724583937026,0.7145423511612522,2,0,0.3533621310734965,0.5113088235701984,27,0,0.5433002642249889,0.7355048316251107,3,12.658988901172163,0.8805755764040362,13.25,4.357348703170029,0.8777877882020181,7,sym,34.31578947368421,32.0,27.95641971906939,19,0.42706326577791476,1.0,0.40105571395545964,3,6.0
smoothed,sym2,23859.487502664477,0.6025641025641025,12.086036051732894,9.030362197280944,78,1,False,False,131.90146663486502,,6.182094919667891,55828.52408941295,1.0,0.00011432587901771886,0.9497095627457521,471.4543731678689,,,,[],[],9,183.22495783525034,20.132236070716772,722.4971708448793,"[7, 14, 26, 32, 40, 52, 61, 70, 74]","[130.1135250291207, 91.38520727546921, 247.74988276490222, 79.2554230812786, 143.09963480701248, 183.68836453966344, 31.103176104210263, 20.132236070716772, 722.4971708448793]","[1, 1, 1, 29, 37, 37, 57, 57, 1]","[10, 18, 57, 37, 45, 57, 63, 72, 77]",16298026.976107826,722.4971708448793,-722.4971708448793,0.0,,,,SWT,inu.32000013032836,8214944.816107826,,0.1111111111111111,0.0,0.0,0.3333333333333333,9.0,,327.4971708448793,79.04718005747257,711.4246205172531,79.04718005747256,,0.0,79.04718005747257,,,16.732236070716795,0.3333333333333333,9.0,327.4971708448793,327.4971708448793,,134.35437316786886,0.4793928279169394,0.6936040999353368,0.9030589322187936,0.20327731445178063,0.07253063225506456,0.18181818181818188,0.9605621710804987,0.30503152039422055,0.11845055890001657,0.7948081000226775,0.7948081000226775,0.7348445643274759,,0.0,0.9261637222831017,0.7863169571440825,0.882525895433717,,,,,0.0,,0.6488037702652657,0.24050632911392403,0.19999999999999996,0.6065573770491803,0.5999999999999999,0.9999999999996566,0.9999999999996566,1.0,0.44,3.2074849401611116,0.8547450815321272,4,1.610603160357542,0.6312316553989451,26,0,0.5985436319200794,0.866082167216825,4,0,0.47490946000885204,0.6429192574004221,23,11.89887949906769,0.8877464198201162,14.25,6.873563218390805,0.8766562287779827,8,sym,34.31578947368421,32.0,27.95641971906939,19,0.42706326577791476,1.0,0.40105571395545964,3,6.75
smoothed,rbio4.4,23108.45691193517,0.6025641025641025,12.140425187061291,9.3023475676849,78,1,False,False,131.48354737911203,,6.181111010385835,56215.04397517881,1.0,0.00010077222770608537,0.9773785543745985,473.6684080171497,,,,[],[],10,160.9260363366258,34.63696436011281,602.5708591771305,"[1, 6, 15, 25, 33, 41, 51, 60, 72, 75]","[83.37252028636364, 141.51785155319016, 602.5708591771305, 83.99132179052259, 80.12675883281128, 123.27425443084866, 110.03552233886597, 34.63696436011281, 214.85694403985667, 134.87736655655567]","[0, 0, 0, 19, 30, 38, 46, 55, 55, 74]","[2, 11, 77, 55, 55, 55, 55, 64, 77, 77]",16173167.530665983,557.3717689419052,-557.3717689419052,0.0,,,,SWT,inu.32000013032836,8090085.370665982,,0.0,12.5,1.0,0.0,17.0,,162.3717689419052,56.748258558848036,671.660363366258,60.75143758018454,,0.0,56.748258558848036,,,31.236964360112836,0.0,-1.0,207.5708591771305,162.3717689419052,,136.5684080171497,0.42706579931524263,0.5153299533843524,0.9676959014643491,0.1948866262254021,0.0681920801721534,0.18181818181818188,0.9822602317419497,0.4248449539111242,0.3501238618453433,0.567397227244247,0.567397227244247,0.49373317432248226,,0.0,0.941436062153642,0.7393937619719917,0.5372833406469566,,,,,0.2,,0.447550960411988,0.5569620253164557,0.0,0.27868852459016397,0.0,0.05917952957832573,0.05917952957832573,0.0,0.6533333333333333,2.244331043277844,0.598079478582134,22,1.6304449668757683,0.6390081062857206,23,0,0.35842547545763886,0.5186353943391756,25,0,0.4702617160040945,0.6366272704518566,27,2.217355782608345,0.979081549220676,24.25,24.100763843562017,0.8751539821575078,9,rbio,39.0,38.0,22.398979568593873,15,0.4853587115666178,0.8012105911156884,0.41988572456866097,2,7.25
smoothed,db2,23859.48750267098,0.6025641025641025,12.08603605173275,9.030362197280777,78,1,False,False,131.90146663486297,,6.182094919667903,55828.52408941487,1.0,0.00011432587901762155,0.9497095627457507,471.4543731678533,,,,[],[],9,183.2249578352775,20.13223607072075,722.4971708449395,"[7, 14, 26, 32, 40, 52, 61, 70, 74]","[130.11352502914207, 91.38520727551708, 247.74988276491183, 79.25542308131423, 143.09963480703811, 183.6883645396893, 31.103176104224644, 20.13223607072075, 722.4971708449395]","[1, 1, 1, 29, 37, 37, 57, 57, 1]","[10, 18, 57, 37, 45, 57, 63, 72, 77]",16298026.976107977,722.4971708449395,-722.4971708449395,0.0,,,,SWT,inu.32000013032836,8214944.816107977,,0.1111111111111111,0.0,0.0,0.3333333333333333,9.0,,327.49717084493955,79.04718005749974,711.4246205174977,79.04718005749974,,0.0,79.04718005749974,,,16.732236070720774,0.3333333333333333,9.0,327.49717084493955,327.49717084493955,,134.35437316785328,0.4793928279166832,0.6936040999340569,0.9030589322187539,0.2032773144518791,0.07253063225510213,0.18181818181818188,0.9605621710804976,0.30503152039481374,0.11845055890008013,0.7948081000229547,0.7948081000229547,0.7348445643278341,,0.0,0.9261637222829944,0.7863169571443712,0.8825258954338904,,,,,0.0,,0.6488037702655088,0.24050632911392403,0.19999999999999996,0.6065573770491803,0.5999999999999999,0.9999999999999999,0.9999999999999999,1.0,0.44,3.207484940161841,0.8547450815323215,3,1.6106031603573623,0.6312316553988747,27,0,0.598543631920205,0.8660821672170067,3,0,0.4749094600087461,0.6429192574002787,24,13.047988350699889,0.8769057702764161,14.25,5.366459627329193,0.8712359040061326,10,db,70.15789473684211,72.0,20.509096618250364,38,0.8731216768128227,0.733609554597611,0.16873195985174078,4,8.5
