wavelet,wavelet_level,wavelet_mode,wavelet_mse,wavelet_psnr,wavelet_energy_entropy,wavelet_sparsity,wavelet_adaptive_threshold,signal_length,signal_type,emd_value,kl_divergence,wavelet_entropy,avg_variance_across_levels,variance_ratio_across_levels,smoothness,correlation,dynamic_cutoff,dominant_frequency,amplitude_max,num_fft_peaks,positive_frequencies,positive_amplitudes,relative_num_peaks,avg_prominence,prominence_min,prominence_max,relative_peaks,relative_prominences,relative_left_bases,relative_right_bases,max_autocorrelation,upper_envelope,lower_envelope,spectral_magnitude,spectral_centroid,spectral_bandwidth,frequency_max,wavelet_type,htid,positive_frequencies_dtw,positive_frequencies_euclidean,positive_frequencies_wasserstein,max_autocorrelation_diff,frequency_max_diff,relative_right_bases_array_alignment_score,relative_right_bases_global_alignment_score,relative_num_peaks_diff,positive_amplitudes_dtw,positive_amplitudes_euclidean,positive_amplitudes_wasserstein,relative_peaks_array_alignment_score,relative_peaks_global_alignment_score,spectral_centroid_diff,lower_envelope_diff,relative_prominences_avg_diff,relative_prominences_total_diff,relative_prominences_wasserstein,spectral_bandwidth_diff,spectral_magnitude_diff,avg_prominence_diff,num_fft_peaks_diff,amplitude_max_diff,prominence_min_diff,relative_left_bases_array_alignment_score,relative_left_bases_global_alignment_score,prominence_max_diff,upper_envelope_diff,dominant_frequency_diff,dynamic_cutoff_diff,emd_value_normalized,wavelet_mse_normalized,wavelet_psnr_normalized,wavelet_entropy_normalized,wavelet_energy_entropy_normalized,wavelet_sparsity_normalized,avg_variance_across_levels_normalized,kl_divergence_normalized,prominence_min_diff_normalized,positive_amplitudes_dtw_normalized,positive_amplitudes_euclidean_normalized,positive_amplitudes_wasserstein_normalized,avg_prominence_diff_normalized,relative_prominences_avg_diff_normalized,relative_prominences_wasserstein_normalized,spectral_centroid_diff_normalized,spectral_magnitude_diff_normalized,dynamic_cutoff_diff_normalized,relative_prominences_total_diff_normalized,prominence_max_diff_normalized,amplitude_max_diff_normalized,max_autocorrelation_diff_normalized,relative_right_bases_global_alignment_score_normalized,relative_left_bases_global_alignment_score_normalized,upper_envelope_diff_normalized,lower_envelope_diff_normalized,reconstruction_weighted_score,reconstruction_normalized_weighted_score,reconstruction_normalized_weighted_rank,signal_weighted_score,signal_normalized_weighted_score,signal_normalized_weighted_rank,reconstruction_missing_metrics_count,reconstruction_dynamically_weighted_score,reconstruction_normalized_dynamically_weighted_score,reconstruction_normalized_dynamically_weighted_rank,signal_missing_metrics_count,signal_dynamically_weighted_score,signal_normalized_dynamically_weighted_score,signal_normalized_dynamically_weighted_rank,rank_variability,normalized_rank_stability,average_rank,harmonic_average_rank,stability_score_weighted,stability_rank,wavelet_family,family_mean_stability_rank,family_median_stability_rank,family_rank_std_dev,family_wavelet_count,normalized_family_mean_rank,normalized_family_std_dev,final_family_stability_score,final_family_stability_rank,family_informed_rank,top_wavelet_rank
db33,1,periodic,1.5623529721598795e-26,317.81553371922246,6917657.78881911,0.6798245614035088,268.1243973105616,164,raw,8.62562054302676e-14,-1.6639456479339523e-10,6.217199018345481,71103.26384431054,0.8614046284523847,8.256834441804864e-06,1.0,26.29999999999999,0.01829268292682927,11777.81606538492,11,"[0.0, 0.006097560975609756, 0.012195121951219513, 0.01829268292682927, 0.024390243902439025, 0.03048780487804878, 0.03658536585365854, 0.042682926829268296, 0.04878048780487805, 0.054878048780487805, 0.06097560975609756, 0.06707317073170732, 0.07317073170731708, 0.07926829268292683, 0.08536585365853659, 0.09146341463414634, 0.0975609756097561, 0.10365853658536586, 0.10975609756097561, 0.11585365853658537, 0.12195121951219512, 0.12804878048780488, 0.13414634146341464, 0.1402439024390244, 0.14634146341463417, 0.1524390243902439, 0.15853658536585366, 0.16463414634146342, 0.17073170731707318, 0.17682926829268295, 0.18292682926829268, 0.18902439024390244, 0.1951219512195122, 0.20121951219512196, 0.20731707317073172, 0.21341463414634146, 0.21951219512195122, 0.22560975609756098, 0.23170731707317074, 0.2378048780487805, 0.24390243902439024, 0.25, 0.25609756097560976, 0.2621951219512195, 0.2682926829268293, 0.27439024390243905, 0.2804878048780488, 0.28658536585365857, 0.29268292682926833, 0.29878048780487804, 0.3048780487804878, 0.31097560975609756, 0.3170731707317073, 0.3231707317073171, 0.32926829268292684, 0.3353658536585366, 0.34146341463414637, 0.34756097560975613, 0.3536585365853659, 0.3597560975609756, 0.36585365853658536, 0.3719512195121951, 0.3780487804878049, 0.38414634146341464, 0.3902439024390244, 0.39634146341463417, 0.4024390243902439, 0.4085365853658537, 0.41463414634146345, 0.4207317073170732, 0.4268292682926829, 0.4329268292682927, 0.43902439024390244, 0.4451219512195122, 0.45121951219512196, 0.4573170731707317, 0.4634146341463415, 0.46951219512195125, 0.475609756097561, 0.48170731707317077, 0.4878048780487805, 0.49390243902439024]","[60951.0, 15686.12469466703, 6981.765970162957, 4513.643193649316, 11777.81606538492, 3324.4981972653386, 8533.859294526206, 7490.679118832781, 5493.652923264881, 4922.091355625832, 1025.8984743129952, 1441.6157468687, 3897.881794745693, 1323.5288468598408, 3719.6553474137477, 3955.4304125927197, 3206.5576938289087, 3704.305116380977, 3363.3714249289155, 70.42152754163062, 2755.244673598081, 2691.5507661341467, 2534.42619181206, 1926.467732385805, 4856.891425881555, 1550.6323850497115, 1589.1939074466256, 821.9830295708796, 1072.132288256566, 1433.121774909613, 1521.0191076750607, 2817.9392466985614, 2642.9368398211345, 2342.7822879059277, 1634.9850870772093, 1944.0324095535163, 2050.0226864088536, 2419.9264082797586, 1642.0132088046253, 2822.715480640779, 2635.4795168872765, 731.9323739253512, 2434.2752318084695, 3673.734314534962, 1103.127670521523, 3585.054250695126, 2455.050954974284, 1630.5836084761977, 1544.099397435754, 1619.0111117641902, 599.1488565535905, 1307.762585256376, 1887.3489941561295, 1245.8152182334613, 2683.8726988242097, 1722.3505496333942, 2201.9288128993708, 1372.2410139655326, 2057.28111391406, 2783.7285563569258, 1188.8245002447268, 2007.148153727146, 1121.6009711391855, 2590.995696450436, 2553.94045305047, 1909.3772013252608, 1165.6000478997614, 2322.777029217947, 2413.3556508272263, 1640.9004939540775, 1339.108295338548, 1662.5573503694482, 1557.6117316287778, 1900.4247808101736, 1017.3746373838294, 1009.3568301162192, 1042.7610190651214, 1221.5465197441245, 1053.2945149437553, 395.22762299446254, 2112.466268831327, 1316.3018129703946]",14,483.3571428571427,45.999999999999886,971.0000000000002,"[6, 18, 27, 35, 47, 59, 69, 81, 102, 112, 122, 130, 138, 156]","[45.999999999999886, 385.9999999999997, 230.9999999999996, 760.0, 747.9999999999998, 790.0000000000002, 781.9999999999995, 452.9999999999999, 724.9999999999998, 132.99999999999994, 310.0, 142.00000000000003, 290.0, 971.0000000000002]","[0, 0, 0, 0, 36, 36, 64, 74, 96, 111, 117, 124, 133, 133]","[7, 25, 31, 36, 53, 117, 117, 96, 117, 117, 133, 133, 139, 163]",34759681.0,972.0000000000002,-972.0000000000002,272270.1925496125,0.1403497664417956,0.15065175443383394,0.49390243902439024,DWT,mdp.39015067403967,0.0,0.0,0.0,0.0,0.0,0.0,48.0,8.0,8.611777957412414e-11,1.3096827325935879e-11,1.050216824074685e-12,0.0,39.0,2.7755575615628914e-17,2.2737367544323206e-13,97.85714285714272,1714.0000000000018,97.85714285714279,2.7755575615628914e-17,5.820766091346741e-11,97.85714285714272,0.0,1.8189894035458565e-12,41.999999999999886,0.0,39.0,2.2737367544323206e-13,2.2737367544323206e-13,0.0,1.0658141036401503e-14,7.288881168705974e-14,6.440986846275003e-27,0.9623204305312849,0.9049936190814657,0.0006710921328109728,0.8725761772853188,0.00013601640523546702,0.9999999997230353,2.5668935132966172e-09,8.891744035106662e-14,6.37866782011558e-14,8.891744035106665e-14,0.9999999999763305,0.9999999999763305,0.9999999999724185,3.8591428767708094e-13,1.008494622926007e-13,1.5624703652635102e-14,2.3669399773496025e-11,7.026982370912644e-14,3.933090969663234e-14,0.0,1.0,0.6666666666666666,5.720702232190284e-14,5.720702232190284e-14,1.0666666674265555,0.22586952489202383,43,1.779309491291367,0.8445260851366438,25,0,0.25925925939907085,0.4053154617318271,44,0.0,0.467587166894903,0.8376741374137067,26,10.408329997330663,0.9886619498939753,34.5,32.142810470328406,0.975540125273785,1,db,442.82456140350877,399.5,266.27287105206847,342,0.6344191424119037,0.9381413861664714,0.274464184461726,5,2.0,1
db10,1,antisymmetric,6.1652750629702254e-27,321.85380072494956,6283386.502937627,0.6758241758241759,283.6165335499842,164,raw,4.9131430631216686e-14,-1.6780754563683553e-10,5.974576436683282,114723.45299837615,0.9079149343876747,8.256834441804864e-06,1.0,26.300000000000033,0.01829268292682927,11777.816065384923,11,"[0.0, 0.006097560975609756, 0.012195121951219513, 0.01829268292682927, 0.024390243902439025, 0.03048780487804878, 0.03658536585365854, 0.042682926829268296, 0.04878048780487805, 0.054878048780487805, 0.06097560975609756, 0.06707317073170732, 0.07317073170731708, 0.07926829268292683, 0.08536585365853659, 0.09146341463414634, 0.0975609756097561, 0.10365853658536586, 0.10975609756097561, 0.11585365853658537, 0.12195121951219512, 0.12804878048780488, 0.13414634146341464, 0.1402439024390244, 0.14634146341463417, 0.1524390243902439, 0.15853658536585366, 0.16463414634146342, 0.17073170731707318, 0.17682926829268295, 0.18292682926829268, 0.18902439024390244, 0.1951219512195122, 0.20121951219512196, 0.20731707317073172, 0.21341463414634146, 0.21951219512195122, 0.22560975609756098, 0.23170731707317074, 0.2378048780487805, 0.24390243902439024, 0.25, 0.25609756097560976, 0.2621951219512195, 0.2682926829268293, 0.27439024390243905, 0.2804878048780488, 0.28658536585365857, 0.29268292682926833, 0.29878048780487804, 0.3048780487804878, 0.31097560975609756, 0.3170731707317073, 0.3231707317073171, 0.32926829268292684, 0.3353658536585366, 0.34146341463414637, 0.34756097560975613, 0.3536585365853659, 0.3597560975609756, 0.36585365853658536, 0.3719512195121951, 0.3780487804878049, 0.38414634146341464, 0.3902439024390244, 0.39634146341463417, 0.4024390243902439, 0.4085365853658537, 0.41463414634146345, 0.4207317073170732, 0.4268292682926829, 0.4329268292682927, 0.43902439024390244, 0.4451219512195122, 0.45121951219512196, 0.4573170731707317, 0.4634146341463415, 0.46951219512195125, 0.475609756097561, 0.48170731707317077, 0.4878048780487805, 0.49390243902439024]","[60951.0, 15686.12469466703, 6981.765970162959, 4513.6431936493145, 11777.816065384923, 3324.4981972653404, 8533.859294526206, 7490.679118832779, 5493.652923264877, 4922.091355625832, 1025.8984743129968, 1441.6157468686988, 3897.8817947456914, 1323.5288468598385, 3719.6553474137527, 3955.430412592723, 3206.55769382891, 3704.3051163809764, 3363.371424928916, 70.42152754162888, 2755.244673598081, 2691.5507661341467, 2534.4261918120637, 1926.4677323858075, 4856.891425881557, 1550.6323850497133, 1589.1939074466254, 821.9830295708796, 1072.132288256566, 1433.1217749096143, 1521.0191076750605, 2817.939246698561, 2642.9368398211363, 2342.7822879059286, 1634.985087077209, 1944.0324095535136, 2050.022686408853, 2419.926408279757, 1642.0132088046253, 2822.715480640779, 2635.4795168872765, 731.9323739253512, 2434.2752318084713, 3673.734314534962, 1103.1276705215228, 3585.054250695125, 2455.0509549742847, 1630.5836084761972, 1544.0993974357546, 1619.0111117641893, 599.1488565535915, 1307.7625852563754, 1887.3489941561281, 1245.8152182334616, 2683.872698824209, 1722.3505496333937, 2201.928812899369, 1372.2410139655324, 2057.2811139140613, 2783.7285563569276, 1188.8245002447266, 2007.1481537271459, 1121.600971139185, 2590.9956964504354, 2553.9404530504726, 1909.3772013252599, 1165.6000478997605, 2322.7770292179475, 2413.355650827228, 1640.9004939540764, 1339.1082953385485, 1662.5573503694472, 1557.6117316287778, 1900.4247808101734, 1017.3746373838296, 1009.3568301162181, 1042.7610190651217, 1221.5465197441242, 1053.294514943756, 395.2276229944623, 2112.4662688313288, 1316.3018129703942]",14,483.35714285714283,46.0,971.0,"[6, 18, 27, 35, 47, 59, 69, 81, 102, 112, 122, 130, 138, 156]","[46.0, 385.9999999999999, 230.99999999999977, 760.0, 747.9999999999999, 790.0, 782.0000000000002, 453.0000000000002, 725.0, 133.00000000000006, 310.0, 141.99999999999997, 290.0, 971.0]","[0, 0, 0, 0, 36, 36, 64, 74, 96, 111, 117, 124, 133, 133]","[7, 25, 31, 36, 53, 117, 117, 96, 117, 117, 133, 133, 139, 163]",34759681.0,972.0,-972.0,272270.19254961243,0.14034976644179561,0.15065175443383394,0.49390243902439024,DWT,mdp.39015067403967,0.0,0.0,0.0,0.0,0.0,0.0,48.0,8.0,5.9586113820842e-11,9.33358941576874e-12,7.266599246444145e-13,0.0,39.0,0.0,0.0,97.85714285714283,1714.0,97.85714285714288,2.7755575615628914e-17,0.0,97.85714285714283,0.0,3.637978807091713e-12,42.0,0.0,39.0,0.0,0.0,0.0,3.197442310920451e-14,3.398413177467213e-14,2.133992777915525e-27,0.9771824773851736,0.8182463930302935,0.0002827446477965901,0.8473105841526898,0.0018422708589889627,0.9999999997230175,2.567058433050756e-09,4.630736305757551e-14,3.462610239978895e-14,4.630736305757548e-14,0.9999999999763327,0.9999999999763327,0.9999999999724204,0.0,0.0,4.6874110957905314e-14,2.366695728284185e-11,0.0,7.866181939326468e-14,0.0,1.0,0.6666666666666666,0.0,0.0,1.0666666674262506,0.22586952489195927,84,1.7352351971640378,0.8236067952341886,84,0,0.25925925939904054,0.4053154617317797,84,0.0,0.45560805872474924,0.8162137770491237,79,2.5,0.9972766884531591,82.75,82.69158878504673,0.9535675381263617,2,db,442.82456140350877,399.5,266.27287105206847,342,0.6344191424119037,0.9381413861664714,0.274464184461726,5,2.75,2
db10,1,antireflect,6.698819212165469e-27,321.49334272649355,6294685.162512332,0.6703296703296703,282.9432397405082,164,raw,5.228879659880921e-14,-1.6750412168420548e-10,5.978976002815788,116944.9494026692,0.9164496029245391,8.256834441804864e-06,1.0,26.300000000000033,0.01829268292682927,11777.81606538492,11,"[0.0, 0.006097560975609756, 0.012195121951219513, 0.01829268292682927, 0.024390243902439025, 0.03048780487804878, 0.03658536585365854, 0.042682926829268296, 0.04878048780487805, 0.054878048780487805, 0.06097560975609756, 0.06707317073170732, 0.07317073170731708, 0.07926829268292683, 0.08536585365853659, 0.09146341463414634, 0.0975609756097561, 0.10365853658536586, 0.10975609756097561, 0.11585365853658537, 0.12195121951219512, 0.12804878048780488, 0.13414634146341464, 0.1402439024390244, 0.14634146341463417, 0.1524390243902439, 0.15853658536585366, 0.16463414634146342, 0.17073170731707318, 0.17682926829268295, 0.18292682926829268, 0.18902439024390244, 0.1951219512195122, 0.20121951219512196, 0.20731707317073172, 0.21341463414634146, 0.21951219512195122, 0.22560975609756098, 0.23170731707317074, 0.2378048780487805, 0.24390243902439024, 0.25, 0.25609756097560976, 0.2621951219512195, 0.2682926829268293, 0.27439024390243905, 0.2804878048780488, 0.28658536585365857, 0.29268292682926833, 0.29878048780487804, 0.3048780487804878, 0.31097560975609756, 0.3170731707317073, 0.3231707317073171, 0.32926829268292684, 0.3353658536585366, 0.34146341463414637, 0.34756097560975613, 0.3536585365853659, 0.3597560975609756, 0.36585365853658536, 0.3719512195121951, 0.3780487804878049, 0.38414634146341464, 0.3902439024390244, 0.39634146341463417, 0.4024390243902439, 0.4085365853658537, 0.41463414634146345, 0.4207317073170732, 0.4268292682926829, 0.4329268292682927, 0.43902439024390244, 0.4451219512195122, 0.45121951219512196, 0.4573170731707317, 0.4634146341463415, 0.46951219512195125, 0.475609756097561, 0.48170731707317077, 0.4878048780487805, 0.49390243902439024]","[60951.0, 15686.12469466703, 6981.765970162959, 4513.643193649315, 11777.81606538492, 3324.498197265339, 8533.859294526206, 7490.679118832777, 5493.652923264878, 4922.091355625833, 1025.8984743129956, 1441.615746868698, 3897.8817947456914, 1323.528846859839, 3719.6553474137527, 3955.430412592723, 3206.55769382891, 3704.305116380977, 3363.371424928916, 70.42152754162936, 2755.244673598081, 2691.550766134146, 2534.4261918120633, 1926.4677323858075, 4856.891425881556, 1550.6323850497133, 1589.1939074466259, 821.9830295708792, 1072.132288256566, 1433.1217749096138, 1521.0191076750598, 2817.9392466985614, 2642.9368398211363, 2342.782287905928, 1634.9850870772093, 1944.0324095535143, 2050.0226864088536, 2419.926408279757, 1642.0132088046262, 2822.715480640779, 2635.479516887276, 731.9323739253512, 2434.275231808471, 3673.7343145349623, 1103.127670521522, 3585.054250695126, 2455.050954974285, 1630.5836084761977, 1544.099397435755, 1619.011111764189, 599.148856553592, 1307.7625852563754, 1887.348994156128, 1245.8152182334613, 2683.8726988242083, 1722.3505496333942, 2201.928812899369, 1372.2410139655324, 2057.2811139140617, 2783.728556356928, 1188.824500244726, 2007.1481537271459, 1121.600971139185, 2590.9956964504363, 2553.9404530504726, 1909.3772013252596, 1165.6000478997605, 2322.7770292179475, 2413.355650827228, 1640.900493954077, 1339.1082953385476, 1662.557350369448, 1557.6117316287787, 1900.424780810174, 1017.3746373838309, 1009.356830116218, 1042.7610190651214, 1221.5465197441245, 1053.294514943755, 395.22762299446345, 2112.4662688313297, 1316.3018129703946]",14,483.35714285714283,46.00000000000006,971.0000000000001,"[6, 18, 27, 35, 47, 59, 69, 81, 102, 112, 122, 130, 138, 156]","[46.00000000000006, 385.9999999999999, 230.99999999999977, 760.0, 747.9999999999999, 790.0, 782.0000000000002, 453.0000000000002, 725.0, 133.00000000000006, 310.0, 141.99999999999997, 290.0, 971.0000000000001]","[0, 0, 0, 0, 36, 36, 64, 74, 96, 111, 117, 124, 133, 133]","[7, 25, 31, 36, 53, 117, 117, 96, 117, 117, 133, 133, 139, 163]",34759681.0,972.0000000000001,-972.0000000000001,272270.19254961243,0.14034976644179561,0.15065175443383394,0.49390243902439024,DWT,mdp.39015067403967,0.0,0.0,0.0,0.0,0.0,0.0,48.0,8.0,5.688605142495362e-11,8.602639234014846e-12,6.937323344506539e-13,0.0,39.0,0.0,1.1368683772161603e-13,97.85714285714283,1714.0,97.8571428571429,2.7755575615628914e-17,0.0,97.85714285714283,0.0,1.8189894035458565e-12,42.00000000000006,0.0,39.0,1.1368683772161603e-13,1.1368683772161603e-13,0.0,3.197442310920451e-14,3.729287406335514e-14,2.376952136563732e-27,0.9758558826715713,0.8198194129660673,0.00028966251736997373,0.8126084441873914,0.0019291672757017523,0.9999999997230212,2.5671408929278256e-09,4.1971040247846906e-14,2.8962116042596174e-14,4.1971040247846874e-14,0.9999999999763327,0.9999999999763327,0.9999999999724211,0.0,0.0,4.6874110957905314e-14,2.366695728284185e-11,3.513491185456322e-14,3.933090969663234e-14,0.0,1.0,0.6666666666666666,2.860351116095142e-14,2.860351116095142e-14,1.06666666742628,0.2258695248919655,50,1.7213831118191183,0.8170320832661019,110,0,0.2592592593990473,0.4053154617317903,50,0.0,0.45131282116764504,0.8085189349525636,103,32.745228660065884,0.964329816274438,78.25,68.02761933353348,0.939545082429158,3,db,442.82456140350877,399.5,266.27287105206847,342,0.6344191424119037,0.9381413861664714,0.274464184461726,5,3.5,3
db10,1,reflect,6.5176842419953e-27,321.6123921319577,6350491.162474574,0.6703296703296703,284.62196876293643,164,raw,5.244585253887814e-14,-1.675748428908741e-10,5.980127159839579,69845.7918853802,0.8601389274264916,8.256834441804864e-06,1.0,26.300000000000033,0.01829268292682927,11777.81606538492,11,"[0.0, 0.006097560975609756, 0.012195121951219513, 0.01829268292682927, 0.024390243902439025, 0.03048780487804878, 0.03658536585365854, 0.042682926829268296, 0.04878048780487805, 0.054878048780487805, 0.06097560975609756, 0.06707317073170732, 0.07317073170731708, 0.07926829268292683, 0.08536585365853659, 0.09146341463414634, 0.0975609756097561, 0.10365853658536586, 0.10975609756097561, 0.11585365853658537, 0.12195121951219512, 0.12804878048780488, 0.13414634146341464, 0.1402439024390244, 0.14634146341463417, 0.1524390243902439, 0.15853658536585366, 0.16463414634146342, 0.17073170731707318, 0.17682926829268295, 0.18292682926829268, 0.18902439024390244, 0.1951219512195122, 0.20121951219512196, 0.20731707317073172, 0.21341463414634146, 0.21951219512195122, 0.22560975609756098, 0.23170731707317074, 0.2378048780487805, 0.24390243902439024, 0.25, 0.25609756097560976, 0.2621951219512195, 0.2682926829268293, 0.27439024390243905, 0.2804878048780488, 0.28658536585365857, 0.29268292682926833, 0.29878048780487804, 0.3048780487804878, 0.31097560975609756, 0.3170731707317073, 0.3231707317073171, 0.32926829268292684, 0.3353658536585366, 0.34146341463414637, 0.34756097560975613, 0.3536585365853659, 0.3597560975609756, 0.36585365853658536, 0.3719512195121951, 0.3780487804878049, 0.38414634146341464, 0.3902439024390244, 0.39634146341463417, 0.4024390243902439, 0.4085365853658537, 0.41463414634146345, 0.4207317073170732, 0.4268292682926829, 0.4329268292682927, 0.43902439024390244, 0.4451219512195122, 0.45121951219512196, 0.4573170731707317, 0.4634146341463415, 0.46951219512195125, 0.475609756097561, 0.48170731707317077, 0.4878048780487805, 0.49390243902439024]","[60951.0, 15686.12469466703, 6981.765970162959, 4513.6431936493145, 11777.81606538492, 3324.4981972653404, 8533.859294526206, 7490.679118832777, 5493.652923264877, 4922.091355625832, 1025.8984743129963, 1441.6157468686986, 3897.8817947456914, 1323.528846859839, 3719.655347413753, 3955.430412592723, 3206.55769382891, 3704.305116380976, 3363.3714249289164, 70.42152754162966, 2755.244673598081, 2691.5507661341467, 2534.4261918120633, 1926.4677323858075, 4856.891425881556, 1550.6323850497133, 1589.1939074466256, 821.9830295708798, 1072.1322882565662, 1433.121774909614, 1521.0191076750598, 2817.939246698561, 2642.936839821136, 2342.782287905929, 1634.9850870772084, 1944.0324095535145, 2050.022686408853, 2419.926408279757, 1642.013208804625, 2822.715480640779, 2635.4795168872765, 731.9323739253512, 2434.2752318084713, 3673.734314534962, 1103.1276705215232, 3585.054250695125, 2455.0509549742847, 1630.5836084761982, 1544.0993974357546, 1619.0111117641886, 599.1488565535918, 1307.762585256375, 1887.3489941561277, 1245.815218233462, 2683.8726988242083, 1722.3505496333937, 2201.9288128993685, 1372.2410139655321, 2057.281113914061, 2783.7285563569285, 1188.8245002447263, 2007.1481537271454, 1121.6009711391853, 2590.9956964504354, 2553.9404530504726, 1909.3772013252594, 1165.6000478997607, 2322.7770292179475, 2413.355650827228, 1640.9004939540766, 1339.1082953385478, 1662.5573503694482, 1557.611731628778, 1900.4247808101736, 1017.3746373838296, 1009.3568301162184, 1042.761019065122, 1221.5465197441247, 1053.2945149437558, 395.22762299446254, 2112.4662688313288, 1316.3018129703942]",14,483.35714285714283,45.99999999999994,971.0000000000001,"[6, 18, 27, 35, 47, 59, 69, 81, 102, 112, 122, 130, 138, 156]","[45.99999999999994, 385.9999999999999, 230.99999999999977, 760.0, 747.9999999999999, 790.0, 782.0000000000002, 453.0000000000002, 725.0, 133.00000000000006, 310.0, 141.99999999999997, 290.0, 971.0000000000001]","[0, 0, 0, 0, 36, 36, 64, 74, 96, 111, 117, 124, 133, 133]","[7, 25, 31, 36, 53, 117, 117, 96, 117, 117, 133, 133, 139, 163]",34759681.0,972.0000000000001,-972.0000000000001,272270.1925496125,0.1403497664417956,0.15065175443383394,0.49390243902439024,DWT,mdp.39015067403967,0.0,0.0,0.0,0.0,0.0,0.0,48.0,8.0,6.139089236967266e-11,9.193884861431674e-12,7.486694191423493e-13,0.0,39.0,2.7755575615628914e-17,1.1368683772161603e-13,97.85714285714283,1714.0,97.85714285714289,2.7755575615628914e-17,5.820766091346741e-11,97.85714285714283,0.0,1.8189894035458565e-12,41.99999999999994,0.0,39.0,1.1368683772161603e-13,1.1368683772161603e-13,0.0,3.197442310920451e-14,3.7457459871883115e-14,2.294468922667215e-27,0.9762940205756342,0.8202309974025986,0.0003238310509556148,0.8126084441873914,8.682892640962035e-05,0.9999999997230203,2.5669759731736867e-09,4.920585251460463e-14,3.3543559827729973e-14,4.92058525146046e-14,0.9999999999763327,0.9999999999763327,0.9999999999724207,3.8591428767708094e-13,1.008494622926007e-13,4.6874110957905314e-14,2.366695728284185e-11,3.513491185456322e-14,3.933090969663234e-14,0.0,1.0,0.6666666666666666,2.860351116095142e-14,2.860351116095142e-14,1.066666667426529,0.22586952489201825,45,1.7211319357068973,0.8169128657945085,111,0,0.25925925939906624,0.40531546173181987,46,0.0,0.45119301523325595,0.8083043047405907,104,35.9119293086109,0.9608802512978095,76.5,63.91231610493502,0.9387734589822381,4,db,442.82456140350877,399.5,266.27287105206847,342,0.6344191424119037,0.9381413861664714,0.274464184461726,5,4.25,4
