signal_type,wavelet,wavelet_energy_entropy,wavelet_sparsity,wavelet_adaptive_threshold,wavelet_psnr,signal_length,decomposition_levels,original_level,padded,emd_value,kl_divergence,wavelet_entropy,avg_variance_across_levels,variance_ratio_across_levels,smoothness,correlation,dynamic_cutoff,dominant_frequency,amplitude_max,num_fft_peaks,positive_frequencies,positive_amplitudes,relative_num_peaks,avg_prominence,prominence_min,prominence_max,relative_peaks,relative_prominences,relative_left_bases,relative_right_bases,max_autocorrelation,upper_envelope,lower_envelope,spectral_magnitude,spectral_centroid,spectral_bandwidth,frequency_max,wavelet_type,htid,max_autocorrelation_diff,frequency_max_diff,relative_right_bases_array_alignment_score,relative_right_bases_global_alignment_score,relative_num_peaks_diff,relative_peaks_array_alignment_score,relative_peaks_global_alignment_score,spectral_centroid_diff,lower_envelope_diff,relative_prominences_avg_diff,relative_prominences_total_diff,relative_prominences_wasserstein,spectral_bandwidth_diff,spectral_magnitude_diff,avg_prominence_diff,num_fft_peaks_diff,amplitude_max_diff,prominence_min_diff,relative_left_bases_array_alignment_score,relative_left_bases_global_alignment_score,prominence_max_diff,upper_envelope_diff,dominant_frequency_diff,dynamic_cutoff_diff,emd_value_normalized,wavelet_psnr_normalized,wavelet_entropy_normalized,wavelet_energy_entropy_normalized,wavelet_sparsity_normalized,correlation_normalized,avg_variance_across_levels_normalized,prominence_min_diff_normalized,avg_prominence_diff_normalized,relative_prominences_avg_diff_normalized,relative_prominences_wasserstein_normalized,spectral_centroid_diff_normalized,spectral_magnitude_diff_normalized,dynamic_cutoff_diff_normalized,relative_prominences_total_diff_normalized,prominence_max_diff_normalized,amplitude_max_diff_normalized,frequency_max_diff_normalized,spectral_bandwidth_diff_normalized,num_fft_peaks_diff_normalized,relative_num_peaks_diff_normalized,dominant_frequency_diff_normalized,max_autocorrelation_diff_normalized,relative_right_bases_global_alignment_score_normalized,relative_left_bases_global_alignment_score_normalized,upper_envelope_diff_normalized,lower_envelope_diff_normalized,relative_peaks_global_alignment_score_normalized,reconstruction_weighted_score,reconstruction_normalized_weighted_score,reconstruction_normalized_weighted_rank,signal_weighted_score,signal_normalized_weighted_score,signal_normalized_weighted_rank,reconstruction_missing_metrics_count,reconstruction_dynamically_weighted_score,reconstruction_normalized_dynamically_weighted_score,reconstruction_normalized_dynamically_weighted_rank,signal_missing_metrics_count,signal_dynamically_weighted_score,signal_normalized_dynamically_weighted_score,signal_normalized_dynamically_weighted_rank,rank_variability,normalized_rank_stability,average_rank,harmonic_average_rank,stability_score_weighted,stability_rank,wavelet_family,normalized_family_mean_rank,normalized_family_std_dev,final_family_stability_score,final_family_stability_rank,family_informed_rank,smoothness_normalized,across_emd_value_normalized,across_smoothness_normalized,across_wavelet_psnr_normalized,across_wavelet_entropy_normalized,across_wavelet_energy_entropy_normalized,across_wavelet_sparsity_normalized,across_correlation_normalized,across_avg_variance_across_levels_normalized,across_kl_divergence_normalized,across_prominence_min_diff_normalized,across_avg_prominence_diff_normalized,across_relative_prominences_avg_diff_normalized,across_relative_prominences_wasserstein_normalized,across_spectral_centroid_diff_normalized,across_spectral_magnitude_diff_normalized,across_dynamic_cutoff_diff_normalized,across_relative_prominences_total_diff_normalized,across_prominence_max_diff_normalized,across_amplitude_max_diff_normalized,across_frequency_max_diff_normalized,across_spectral_bandwidth_diff_normalized,across_num_fft_peaks_diff_normalized,across_relative_num_peaks_diff_normalized,across_dominant_frequency_diff_normalized,across_max_autocorrelation_diff_normalized,across_relative_right_bases_global_alignment_score_normalized,across_relative_left_bases_global_alignment_score_normalized,across_upper_envelope_diff_normalized,across_lower_envelope_diff_normalized,across_relative_peaks_global_alignment_score_normalized,across_reconstruction_weighted_score,across_reconstruction_normalized_weighted_score,across_reconstruction_normalized_weighted_rank,across_signal_weighted_score,across_signal_normalized_weighted_score,across_signal_normalized_weighted_rank,across_rank_variability,across_normalized_rank_stability,across_average_rank,across_harmonic_average_rank,across_stability_score_weighted,across_stability_rank,family_mean_stability_rank,family_median_stability_rank,family_rank_std_dev,family_wavelet_count,across_normalized_family_mean_rank,across_normalized_family_std_dev,across_final_family_stability_score,across_final_family_stability_rank,across_family_informed_rank,across_top_wavelet_rank
raw,rbio3.1,20887755.184133995,0.670487106017192,425.89483372604,6.444905132796528,698,1,False,False,329.0429470994809,,9.612365282947987,413242.19276088657,1.0,9.733898808823909e-07,0.12121072966302705,988.0049500129035,,,,[],[],15,2555.7078243555584,1320.6986905611739,3392.168006047165,"[11, 45, 100, 137, 203, 254, 315, 352, 407, 475, 511, 557, 592, 633, 678]","[1320.6986905611739, 2341.5841058992523, 2908.33019102027, 2992.4758979814687, 3015.1033149794384, 3167.8383797157326, 3392.168006047165, 2185.136730561728, 2348.8319504064143, 2758.9538834946115, 3117.1034681655983, 1752.564157170858, 2633.2656531387033, 1452.5741052524647, 2948.988830938496]","[7, 38, 78, 130, 158, 212, 212, 320, 320, 428, 479, 533, 584, 628, 584]","[25, 78, 212, 212, 212, 265, 584, 402, 428, 479, 584, 561, 639, 639, 694]",885076549.875,2544.170198709198,-2544.170198709198,0.0,,,,SWT,inu.32000013025095,487515802.875,,0.0,-85.5,78.0,0.0,-85.5,,1008.1701987091978,1799.2669641405046,32013.382634666625,1799.2669641405046,,0.0,1799.2669641405046,,,1277.6986905611739,0.0,-85.5,1856.168006047165,1008.1701987091978,,288.00495001290346,1.0,0.0,1.0,0.9999999999999999,0.3902439024390237,0.2516385063304424,1.0,0.8255887546962488,1.0,1.0,1.0,,0.0,0.19750865256278313,0.0,0.9999999999999999,,,,,0.6666666666666666,,1.0,0.00735294117647059,0.007874015748031482,0.6677847235057108,0.6677847235057108,0.0,2.7817342044516677,0.9101458572611683,6,1.9567529635077863,1.0,1,0,0.5360373651907748,1.0,1,0,0.6631260583956381,1.0,1,2.5,0.9764150943396226,2.25,1.263157894736842,0.9775943396226414,1,rbio,0.7345398536773201,0.8745582126822806,0.22345463862119172,3,1.5,,0.9999999999999999,0.0016194203668647433,0.0,0.9999999999999999,1.0,0.44230769230769246,0.28988702409307504,0.9999999999999999,,0.8290577697927503,1.0,1.0,1.0,,0.0,0.2732496674521666,0.694454068919124,0.9999999999999999,,,,,0.95,,1.0,0.005555555555555564,0.005555555555555564,0.7475022382402257,0.7475022382402257,0.0,3.3126812055306716,0.9136865712476339,8,1.9933637126703663,1.0,1,4.949747468305833,0.976652134583463,4.5,1.7777777777777777,0.9777128597445617,1,97.33333333333333,60.0,80.99184008849002,30,0.7341023365868086,1.0,0.186128364389234,5,2.0,1
raw,dmey,4762735.174667942,0.6805157593123209,229.11819408572256,12.717624626602888,698,1,False,False,289.6371414408683,,9.27904580695427,348754.83377381717,1.0,1.4261707726759364e-06,0.9230753791979376,983.5739282905749,,,,[],[],15,2087.704172289709,1537.462368690189,2714.554693351497,"[12, 48, 102, 149, 210, 263, 317, 354, 388, 422, 477, 521, 584, 636, 680]","[1537.462368690189, 1900.6335983155382, 2669.446834204097, 2288.120804632801, 1986.7874964333218, 2714.554693351497, 2488.626948479515, 1698.0470026495261, 1758.5048095982147, 1762.4826784170857, 2257.3475506194427, 1713.6364804819007, 2050.10553561708, 2127.5944235034544, 2362.2113593519643]","[1, 1, 80, 126, 160, 160, 267, 349, 375, 404, 431, 509, 481, 586, 586]","[26, 80, 160, 160, 214, 586, 586, 375, 431, 431, 586, 563, 586, 670, 696]",796490199.7617016,2499.355439954298,-2499.355439954298,0.0,,,,SWT,inu.32000013025095,398929452.7617016,,0.0,-72.0,78.0,0.0,-49.5,,963.3554399542982,1331.263312074655,39033.43741565437,1331.2633120746548,,0.0,1331.263312074655,,,1494.462368690189,0.0,-72.0,1178.554693351497,963.3554399542982,,283.57392829057494,0.26763642487629424,0.8496221266856543,0.41364730205558997,0.1053901857683819,0.5609756097560965,0.9344923452452697,0.15798191677917445,0.9728709477501284,0.41646129595878617,0.41646129595878617,0.4164612959587858,,0.0,0.17922822976388741,0.5963104832259413,0.4445501018062455,,,,,0.6666666666666666,,0.26257895514534174,0.20588235294117646,0.22047244094488191,0.6019419177682255,0.6019419177682255,0.5333333333333333,2.0647559154878827,0.675560245737863,35,1.510962896098483,0.7721786675564019,13,0,0.4356774156660275,0.8127743399211931,20,0,0.46996370159520884,0.7087094461831817,18,9.46924847422786,0.9106674672242655,21.5,18.952849291293028,0.8539186392725101,4,dmey,0.05852907200616096,,,6,4.5,,0.29305128001118347,0.013480829749587364,0.8496221266856543,0.41364730205558997,0.22385113041706858,0.5769230769230766,0.9378404206308548,0.5671407478672805,,0.9734105407771989,0.6014698154792357,0.6014698154792357,0.6014698154792355,,0.0,0.2566945938172427,0.8766543107296814,0.5534379875154428,,,,,0.95,,0.4563694610174741,0.15555555555555556,0.15555555555555556,0.6974589011241961,0.6974589011241961,0.4022346368715084,2.6754657716394843,0.7379331108886722,38,1.753243823344438,0.8795403529222187,21,12.020815280171307,0.9432980411312675,29.5,27.05084745762712,0.9020735488675206,2,53.5,53.5,72.8319984622144,2,0.4035048802129547,0.8992510650781567,0.4477712643274847,2,2.0,2
raw,bior2.8,3673025.6171272397,0.673352435530086,193.68386592218064,12.887032470702168,698,1,False,False,292.0825175368373,,9.16436202094544,371073.1131244119,1.0,1.5029137086287104e-06,0.9528954105977541,995.5390640073467,,,,[],[],15,2016.4083956584666,745.3726345958298,2597.58209465366,"[12, 46, 102, 149, 205, 263, 317, 354, 393, 442, 479, 524, 584, 636, 680]","[1594.6111588372119, 1961.7651769497518, 2597.58209465366, 2344.77191279493, 2335.483151992875, 2547.9497932137397, 2439.9105320695326, 1702.4289312118237, 1858.0434794279754, 745.3726345958298, 2027.1194262524984, 1704.5534884333485, 2300.7876612964355, 1764.6215707512276, 2321.1249223961577]","[1, 40, 80, 126, 160, 160, 267, 322, 322, 431, 431, 509, 481, 614, 670]","[26, 80, 160, 160, 242, 670, 670, 375, 431, 444, 481, 563, 670, 670, 696]",808687408.0084511,2448.7075895294215,-2448.7075895294215,0.0,,,,SWT,inu.32000013025095,411126661.0084511,,0.0,-72.0,78.0,0.0,-36.0,,912.7075895294215,1259.9675354434128,40102.874065123004,1259.9675354434128,,0.0,1259.9675354434128,,,702.3726345958298,0.0,-63.0,1061.58209465366,912.7075895294215,,295.5390640073467,0.31308415396680483,0.8725679403671016,0.21190347314705987,0.044933524984976936,0.4390243902439016,0.9598865597548331,0.4493939872183258,0.43467786051414536,0.327564884754813,0.327564884754813,0.32756488475481293,,0.0,0.22859105248410957,0.6871525500074264,0.348665890529905,,,,,0.6666666666666666,,0.36411240852867116,0.20588235294117646,0.36220472440944884,0.5275290085124822,0.5275290085124822,0.7333333333333333,1.92062634968202,0.6284029986446186,44,1.4852064843631454,0.7590158349374262,19,0,0.40460263404695246,0.7548030423270121,39,0,0.47011343281185775,0.7089352421909741,17,13.744695946679455,0.8703330571067975,29.75,25.027623186769766,0.7948363398741535,10,bior,0.2799640610961366,0.3704216096284982,0.6928986743441549,1,7.75,,0.33692185877598335,0.015491248910524391,0.8725679403671016,0.2119034731470599,0.1713999185263282,0.4807692307692308,0.9619367449189766,0.7169479947499549,,0.445922038220964,0.5407576417793555,0.5407576417793555,0.5407576417793556,,0.0,0.3013984375932378,0.9044107346057413,0.47635048332776353,,,,,0.95,,0.5312204384511539,0.15555555555555556,0.25555555555555554,0.6409019202671422,0.6409019202671422,0.553072625698324,2.5152349404142904,0.6937390729758531,47,1.6847779805381724,0.8451934636058948,27,14.142135623730951,0.9332918130956087,37.0,34.2972972972973,0.8793817556044081,4,57.1,45.5,45.65640038977804,30,0.43065661047027504,0.5637160526282006,0.5294255568823473,1,3.25,3
raw,rbio4.4,5393421.893002036,0.66189111747851,227.95185846842585,12.67343153272618,698,1,False,False,287.04170470960537,,9.290113101011318,354093.6005463524,1.0,1.4262530422392728e-06,0.9091616387153696,990.3395546369923,,,,[],[],15,2023.3841356721423,1577.3897558909289,2549.2149006393283,"[12, 47, 102, 149, 205, 263, 317, 354, 388, 422, 479, 524, 584, 636, 680]","[1577.9220510299615, 1973.9404417413666, 2515.2332966197664, 2050.039179481326, 2060.680936659484, 2363.321412520083, 2549.2149006393283, 1781.7359875860013, 1699.761761730129, 1800.4810810459019, 2008.186456528204, 1577.3897558909289, 2148.10554932186, 2056.3392202384866, 2188.4100040493067]","[1, 1, 54, 107, 107, 107, 107, 323, 375, 404, 431, 511, 431, 586, 431]","[26, 54, 107, 160, 215, 267, 431, 431, 404, 431, 563, 563, 586, 643, 696]",788883738.3187551,2386.651108119155,-2386.651108119155,0.0,,,,SWT,inu.32000013025095,391322991.31875515,,0.0,-76.5,78.0,0.0,-45.0,,850.6511081191552,1266.9432754570885,39998.23796491786,1266.9432754570885,,0.0,1266.9432754570885,,,1534.3897558909289,0.0,-81.0,1013.2149006393283,850.6511081191552,,290.33955463699226,0.21939979345242577,0.843636297024146,0.4331161246017301,0.14038043865464142,0.2439024390243898,0.9226436484512448,0.22769074398474382,0.9999999999999999,0.3362627106571118,0.3362627106571118,0.33626271065711166,,0.0,0.207140191803844,0.678264356763523,0.30901856883797696,,,,,0.6666666666666666,,0.1992603429919983,0.13970588235294118,0.07874015748031496,0.43635429366920947,0.43635429366920947,0.6,1.8825311579077475,0.6159387664690795,48,1.4164447304625525,0.7238750914797918,27,0,0.3840195257471346,0.7164043976868342,48,0,0.4329670693133318,0.6529181953139481,34,10.5,0.9009433962264151,39.25,36.99748110831234,0.7653301886792453,16,rbio,0.7345398536773201,0.8745582126822806,0.22345463862119172,3,12.75,,0.24648858082735797,0.013482984948687327,0.8436362970241462,0.4331161246017301,0.25420810257639703,0.3269230769230774,0.9265973069589224,0.6029762143644274,,1.0,0.5466978581484959,0.5466978581484959,0.546697858148496,,0.0,0.2819721594375847,0.9016949833254062,0.4444754432531427,,,,,0.95,,0.40969065859825116,0.10555555555555557,0.05555555555555555,0.5716052531483207,0.5716052531483207,0.45251396648044695,2.5262007003073674,0.6967635920696623,45,1.6704340008349357,0.8379975968345361,30,10.606601717798213,0.9499688598217065,37.5,36.0,0.8865410336844382,3,97.33333333333333,60.0,80.99184008849002,30,0.7341023365868086,1.0,0.186128364389234,5,3.5,4
raw,bior2.6,3673025.6171272397,0.673352435530086,193.68386592218064,12.939791532683952,698,1,False,False,290.9860761586212,,9.16610271263901,369677.07729582355,1.0,1.4620648617811444e-06,0.9558578999792652,997.3955214165713,,,,[],[],15,2011.7005623790253,747.2185182037003,2556.022523701665,"[12, 46, 102, 149, 205, 263, 317, 354, 393, 442, 479, 524, 584, 636, 680]","[1623.133232719216, 1959.8845508517172, 2556.022523701665, 2326.3840722396053, 2332.2052735730067, 2430.1340384956156, 2507.913022290272, 1691.9684205862077, 1850.0164536569253, 747.2185182037003, 2037.8140710509615, 1715.1786482514835, 2302.0247960549013, 1778.1429163395223, 2317.4678976705814]","[1, 40, 80, 126, 160, 160, 160, 322, 322, 431, 431, 509, 481, 616, 586]","[26, 80, 160, 160, 242, 267, 586, 375, 431, 444, 481, 563, 586, 670, 696]",807979774.7648735,2435.7259825523033,-2435.7259825523033,0.0,,,,SWT,inu.32000013025095,410419027.7648735,,0.0,-72.0,78.0,0.0,-36.0,,899.7259825523033,1255.2597021639715,40173.49156431462,1255.2597021639717,,0.0,1255.2597021639715,,,704.2185182037003,0.0,-72.0,1020.0225237016648,899.7259825523033,,297.39552141657134,0.29270660517055475,0.8797140061982236,0.2149655782573935,0.044933524984976936,0.4390243902439016,0.962409363632124,0.43116580372687185,0.43593206411613244,0.3216948388297425,0.3216948388297425,0.3216948388297427,,0.0,0.23624996920251704,0.693151072295487,0.31459888059701485,,,,,0.6666666666666666,,0.35822184361448867,0.20588235294117646,0.22047244094488191,0.5084561528260433,0.5084561528260433,0.7333333333333333,1.8807671308887182,0.61536160065615,49,1.4786297599324447,0.7556547952183853,20,0,0.38976702972353416,0.7271266054089657,45,0,0.4664170388877209,0.7033610472436668,20,15.673757260678329,0.8521343654652987,33.5,28.044515103338632,0.7680483148081211,14,bior,0.2799640610961366,0.3704216096284982,0.6928986743441549,1,10.75,,0.31725146209413674,0.014421139937171257,0.8797140061982236,0.21496557825739354,0.1713999185263282,0.4807692307692308,0.9643306090930246,0.7075773671695261,,0.4471512958900108,0.5367486695047444,0.5367486695047444,0.5367486695047446,,0.0,0.3083344877946941,0.9062435586833563,0.44896181593501855,,,,,0.95,,0.5268778840833981,0.15555555555555556,0.15555555555555556,0.6264057374846632,0.6264057374846632,0.553072625698324,2.484715995814148,0.6853214957567577,50,1.6815838155329002,0.8435910641115278,28,15.556349186104045,0.9266209944051695,39.0,35.8974358974359,0.871329365127113,6,57.1,45.5,45.65640038977804,30,0.43065661047027504,0.5637160526282006,0.5294255568823473,1,4.75,5
raw,rbio5.5,4016107.3417547387,0.6790830945558739,199.69110890466155,10.190252694535097,698,1,False,False,311.6772509939865,,9.17943390311061,373873.62548413785,1.0,1.6513852951106597e-06,0.7469963128024074,971.5971326183401,,,,[],[],15,2394.2123126463503,736.6929936913033,2961.98755718502,"[11, 49, 101, 157, 211, 256, 316, 353, 400, 441, 478, 524, 583, 635, 693]","[1553.6941478130548, 2596.709678410555, 2779.310536984453, 2719.4208715943855, 2961.98755718502, 2784.315827003516, 2606.113218474507, 1798.7965814022332, 2406.5963552318694, 736.6929936913033, 2905.827528320102, 2309.0898027793687, 2848.28368860373, 2293.1775524674026, 2613.16834973376]","[0, 0, 53, 135, 161, 241, 298, 350, 350, 430, 241, 510, 535, 587, 642]","[25, 53, 161, 161, 241, 350, 350, 376, 430, 443, 535, 535, 642, 642, 697]",845571576.136638,2471.755822916476,-2471.755822916476,0.0,,,,SWT,inu.32000013025095,448010829.13663805,,0.0,-63.0,78.0,0.0,-72.0,,935.7558229164761,1637.7714524312964,34435.815310304744,1637.7714524312971,,0.0,1637.7714524312964,,,693.6929936913033,0.0,-63.0,1425.9875571850198,935.7558229164761,,271.5971326183401,0.6772555954187927,0.5072967416641644,0.23841689167533783,0.0639675651136151,0.5365853658536576,0.7845465077395699,0.4859605653231216,0.42878039393499845,0.7986364397045254,0.7986364397045254,0.7986364397045262,,0.0,0.12981730325879615,0.20577075884140433,0.6473745688748925,,,,,0.6666666666666666,,0.6711479931858544,0.3382352941176471,0.36220472440944884,0.5613919678512992,0.5613919678512992,0.19999999999999998,2.2757296816549424,0.7445880122873942,27,1.3815839275851527,0.7060594532630461,29,0,0.47791273054039235,0.8915660764997305,10,0,0.4705756046840371,0.7096322014890261,16,9.03696114115064,0.9147456496117864,20.5,17.092571116720105,0.860674711598346,3,rbio,0.7345398536773201,0.8745582126822806,0.22345463862119172,3,3.0,,0.6884556367188286,0.019380729012011794,0.5072967416641644,0.23841689167533786,0.187913540995502,0.5576923076923075,0.7955582671572493,0.735745906537015,,0.4401418714211894,0.8624779191430536,0.8624779191430536,0.8624779191430542,,0.0,0.2119471864043783,0.7573264870185392,0.7165016634470001,,,,,0.95,,0.7575686306252696,0.2555555555555556,0.25555555555555554,0.6666392118506029,0.6666392118506029,0.15083798882681565,2.8578790660194144,0.788245400889208,27,1.5654927636077995,0.7853522935413635,48,14.849242404917497,0.9299564037503891,37.5,34.56,0.8765348056487795,5,97.33333333333333,60.0,80.99184008849002,30,0.7341023365868086,1.0,0.186128364389234,5,5.0,6
raw,bior2.4,3673025.6171272397,0.673352435530086,193.68386592218064,12.997233628756916,698,1,False,False,289.45390594032483,,9.168016195490306,367693.03698010533,1.0,1.379741416475321e-06,0.9594613113299348,994.4186294891347,,,,[],[],15,2006.6843395075925,745.1469163056928,2504.1965684852457,"[12, 46, 102, 149, 205, 263, 317, 354, 393, 442, 479, 524, 584, 636, 680]","[1668.9708773824611, 1965.138133265064, 2504.1965684852457, 2306.9800677949356, 2318.0286112509757, 2373.6138333783115, 2487.756335822659, 1676.7490519755129, 1833.0638447915642, 745.1469163056928, 2062.1001506352695, 1740.6869729556151, 2301.6104756753, 1806.1716900195631, 2310.0515628757144]","[1, 26, 52, 126, 160, 160, 160, 322, 322, 407, 407, 509, 481, 616, 586]","[26, 52, 160, 160, 242, 267, 586, 375, 407, 444, 481, 563, 586, 670, 696]",807525129.9675293,2420.8795022832496,-2420.8795022832496,0.0,,,,SWT,inu.32000013025095,409964382.9675293,,0.0,-72.0,78.0,0.0,-36.0,,884.8795022832496,1250.2434792925387,40248.73490738611,1250.2434792925387,,0.0,1250.2434792925387,,,702.1469163056928,0.0,-72.0,968.1965684852457,884.8795022832496,,294.4186294891347,0.2642309620510912,0.887494375761215,0.2183316456885969,0.044933524984976936,0.4390243902439016,0.9654779653910633,0.4052599851305657,0.434524494022717,0.3154402718393851,0.3154402718393851,0.315440271839385,,0.0,0.22396863851394516,0.6995425315741255,0.2721163599478333,,,,,0.6666666666666666,,0.3544372352513886,0.20588235294117646,0.22047244094488191,0.48664338526018336,0.48664338526018336,0.7333333333333333,1.8399121423319202,0.6019944002514831,53,1.4673034357150558,0.7498664691350126,22,0,0.3820367759489727,0.7127054954704629,49,0,0.4606789784644873,0.6947080010383703,23,16.54035469188413,0.8439589180010931,36.75,31.199083554431763,0.7486304023967729,20,bior,0.2799640610961366,0.3704216096284982,0.6928986743441549,1,15.25,,0.28976399529765834,0.012264529302167315,0.887494375761215,0.21833164568859692,0.1713999185263282,0.4807692307692308,0.9672423755926993,0.6942598702096157,,0.44577172216744254,0.5324770869695976,0.5324770869695976,0.5324770869695977,,0.0,0.29721229789127235,0.9081964430596132,0.4148073764829517,,,,,0.95,,0.5240878515794094,0.15555555555555556,0.15555555555555556,0.6098271049597362,0.6098271049597362,0.553072625698324,2.450769357664165,0.6759585098573423,53,1.6748795555727578,0.840227774252518,29,16.97056274847714,0.9199501757147305,41.0,37.487804878048784,0.8632769746498181,7,57.1,45.5,45.65640038977804,30,0.43065661047027504,0.5637160526282006,0.5294255568823473,1,5.5,7
raw,bior1.3,6055434.054578305,0.663323782234957,219.63068963841323,13.545512473952266,698,1,False,False,282.8331075903192,,9.28835233721521,357228.6460873551,1.0,1.499791411469068e-06,0.996149113941919,993.5292217409235,,,,[],[],15,1910.7026962267198,1256.4403618208469,2404.8701628154486,"[12, 46, 102, 149, 205, 256, 316, 354, 393, 446, 492, 532, 593, 636, 680]","[1665.059692999023, 2002.084462582061, 2404.8701628154486, 1970.2646574286669, 2181.7779733510924, 2080.4849269461192, 2267.691447265258, 1554.574258438625, 1801.8848551586198, 1608.4911505040989, 1812.6682335717146, 1875.865902140262, 2075.1816260872206, 1256.4403618208469, 2103.200732291737]","[0, 26, 52, 132, 160, 214, 160, 349, 321, 403, 321, 321, 586, 631, 586]","[26, 52, 160, 160, 267, 267, 586, 375, 481, 457, 509, 534, 641, 641, 696]",806881638.71875,2291.3795244350076,-2291.3795244350076,0.0,,,,SWT,inu.32000013025095,409320891.71875,,0.0,-67.5,78.0,0.0,-18.0,,755.3795244350076,1154.261836011666,41688.459556599206,1154.261836011666,,0.0,1154.261836011666,,,1213.4403618208469,0.0,-67.5,868.8701628154486,755.3795244350076,,293.5292217409235,0.14118230288166492,0.9617571957281505,0.4300187100290806,0.17710861490119165,0.2682926829268288,0.9967206531307877,0.2686253562670424,0.7819278071586286,0.19576384734006108,0.19576384734006108,0.19576384734006094,,0.0,0.2202993381365663,0.821838286816617,0.19069700043471977,,,,,0.6666666666666666,,0.34908060876860925,0.2720588235294118,0.2913385826771654,0.2963792374354843,0.2963792374354843,0.9999999999999999,1.8432815240934177,0.6030968164517263,52,1.5364281476963895,0.7851927025791244,10,0,0.3849304754053024,0.718103812162994,47,0,0.4633865022663924,0.6987909710372504,22,20.05617112013158,0.8107908384893248,32.75,21.509781173740848,0.7509142871691907,19,bior,0.2799640610961366,0.3704216096284982,0.6928986743441549,1,14.5,,0.17098543359560694,0.015409454723763705,0.9617571957281504,0.4300187100290806,0.28607286867007886,0.3461538461538466,0.996888259505565,0.6240196171273247,,0.7862652323503151,0.45074357519360353,0.45074357519360353,0.4507435751936036,,0.0,0.29388931468653867,0.9455634134624193,0.34934909994421554,,,,,0.95,,0.5201389193346897,0.20555555555555557,0.20555555555555555,0.46521824778789206,0.46521824778789206,0.7541899441340782,2.4540555601463536,0.6768648932042709,52,1.777843262396976,0.8918810205566183,15,26.16295090390226,0.8765898542268762,33.5,23.28358208955224,0.859285493151174,9,57.1,45.5,45.65640038977804,30,0.43065661047027504,0.5637160526282006,0.5294255568823473,1,7.0,8
raw,rbio3.3,12896892.337522423,0.669054441260745,334.60591417391606,7.594524489425578,698,1,False,False,292.37094673580157,,9.538297453131245,367877.8762567005,1.0,9.772835162196086e-07,0.22540685819041967,972.5148920875356,,,,[],[],16,1985.395637691713,988.9772218370351,2839.696639071351,"[11, 49, 100, 156, 208, 261, 315, 352, 386, 423, 475, 511, 557, 592, 651, 691]","[1527.3285502760302, 1980.9375504072007, 2276.176728639496, 2511.4223159054955, 2250.0137777355944, 2214.5479532417066, 2839.696639071351, 1381.5098737432172, 988.9772218370351, 1892.7701736280032, 2128.4577026322445, 2389.2254252816956, 1523.1080066758234, 2166.1774299911644, 2353.428144484127, 1342.5527095172206]","[0, 25, 78, 130, 185, 185, 185, 348, 363, 320, 428, 479, 533, 584, 584, 683]","[25, 78, 130, 185, 212, 265, 584, 363, 390, 428, 479, 584, 561, 639, 653, 694]",821747964.0351562,2483.381112614067,-2483.381112614067,0.0,,,,SWT,inu.32000013025095,424187217.03515625,,0.0,-85.0,77.0,0.0,-85.0,,947.3811126140672,1228.9547774766593,38582.66979693259,1228.9547774766593,,0.0,1228.9547774766593,,,945.9772218370351,0.0,-80.5,1303.696639071351,947.3811126140672,,272.5148920875356,0.31844465950128203,0.15571269265628657,0.8697049678406634,0.5566700492426716,0.3658536585365847,0.34037009763610837,0.40767345058840504,0.6001973707778314,0.2888960741316924,0.2888960741316924,0.28889607413169227,,0.0,0.13360357021389646,0.5580205460490164,0.5471308506013622,,,,,0.3333333333333333,,0.4728326443130543,0.01470588235294118,0.08661417322834646,0.578472093070467,0.578472093070467,0.007407407407407418,1.6721951411416673,0.547119662909112,69,1.3477074046902633,0.6887468320345796,34,0,0.31849854578754677,0.5941722843783356,71,0,0.4306327965717146,0.6493980912371083,35,20.516253719104437,0.8064504366122223,52.25,46.21047854769129,0.6567629541551677,45,rbio,0.7345398536773201,0.8745582126822806,0.22345463862119172,3,34.5,,0.3420963413073565,0.0017214211437500682,0.15571269265628657,0.8697049678406634,0.6153741724507052,0.42307692307692324,0.3740835720074519,0.6955005690425107,,0.6081493887453497,0.514348616763352,0.514348616763352,0.514348616763352,,0.0,0.21537609660698867,0.8649549762239296,0.6359092702955523,,,,,0.9,,0.6113695483662641,0.011111111111111127,0.061111111111111116,0.6796208345921166,0.6796208345921166,0.005586592178770944,2.449351391951812,0.6755674138992696,54,1.5361769401255427,0.7706455828212287,58,2.8284271247461903,0.9866583626191218,56.0,55.92857142857143,0.8612537096114476,8,97.33333333333333,60.0,80.99184008849002,30,0.7341023365868086,1.0,0.186128364389234,5,7.25,9
