signal_type,wavelet,wavelet_energy_entropy,wavelet_sparsity,wavelet_adaptive_threshold,wavelet_psnr,signal_length,scales_used,emd_value,kl_divergence,is_complex,change_point_indices,change_point_prominences,num_change_points,wavelet_entropy,avg_variance_across_levels,variance_ratio_across_levels,smoothness,correlation,relative_num_peaks,avg_prominence,prominence_min,prominence_max,relative_peaks,relative_prominences,relative_left_bases,relative_right_bases,prominence_threshold,distance_factor,max_autocorrelation,upper_envelope,lower_envelope,fft_frequency_max,fft_amplitude_max,fft_spectral_centroid,fft_spectral_bandwidth,fft_spectral_magnitude,fft_variance_magnitude,fft_num_peaks,fft_peak_amplitude,fft_dominant_frequency,fft_positive_frequencies,fft_positive_amplitudes,fft_snr_threshold,fft_stationarity_threshold,fft_dynamic_cutoff,fft_dynamic_cutoff_percentile,stft_frequency_max,stft_amplitude_max,stft_spectral_centroid,stft_spectral_bandwidth,stft_spectral_magnitude,stft_variance_magnitude,stft_peak_freq_over_time,stft_num_peaks,stft_peak_amplitude,stft_dominant_frequency,stft_positive_frequencies,stft_positive_amplitudes,stft_snr_threshold,stft_stationarity_threshold,stft_window,stft_nperseg,stft_noverlap,stft_dynamic_cutoff,stft_dynamic_cutoff_percentile,wavelet_type,htid,stft_amplitude_max_diff,stft_frequency_max_diff,avg_prominence_diff,fft_variance_magnitude_diff,stft_noverlap_diff,prominence_max_diff,stft_spectral_magnitude_diff,upper_envelope_diff,relative_peaks_array_alignment_score,relative_peaks_global_alignment_score,stft_num_peaks_diff,fft_peak_amplitude_diff,relative_left_bases_array_alignment_score,relative_left_bases_global_alignment_score,stft_window_diff,stft_nperseg_diff,prominence_threshold_diff,relative_right_bases_array_alignment_score,relative_right_bases_global_alignment_score,stft_dominant_frequency_diff,relative_num_peaks_diff,max_autocorrelation_diff,stft_variance_magnitude_diff,fft_amplitude_max_diff,fft_dominant_frequency_diff,fft_snr_threshold_diff,stft_stationarity_threshold_diff,relative_prominences_avg_diff,relative_prominences_total_diff,relative_prominences_wasserstein,stft_dynamic_cutoff_percentile_diff,lower_envelope_diff,fft_stationarity_threshold_diff,stft_dynamic_cutoff_diff,fft_frequency_max_diff,fft_num_peaks_diff,fft_dynamic_cutoff_percentile_diff,fft_dynamic_cutoff_diff,prominence_min_diff,fft_spectral_centroid_diff,stft_peak_amplitude_diff,fft_spectral_bandwidth_diff,stft_spectral_bandwidth_diff,fft_spectral_magnitude_diff,distance_factor_diff,stft_snr_threshold_diff,stft_spectral_centroid_diff,emd_value_normalized,smoothness_normalized,wavelet_psnr_normalized,wavelet_entropy_normalized,wavelet_energy_entropy_normalized,wavelet_sparsity_normalized,correlation_normalized,avg_variance_across_levels_normalized,kl_divergence_normalized,prominence_min_diff_normalized,avg_prominence_diff_normalized,relative_prominences_avg_diff_normalized,relative_prominences_wasserstein_normalized,relative_prominences_total_diff_normalized,prominence_max_diff_normalized,relative_num_peaks_diff_normalized,max_autocorrelation_diff_normalized,relative_right_bases_global_alignment_score_normalized,relative_left_bases_global_alignment_score_normalized,upper_envelope_diff_normalized,lower_envelope_diff_normalized,relative_peaks_global_alignment_score_normalized,reconstruction_signal_weighted_score,reconstruction_signal_normalized_weighted_score,reconstruction_signal_normalized_weighted_rank,wavelet_signal_weighted_score,wavelet_signal_normalized_weighted_score,wavelet_signal_normalized_weighted_rank,reconstruction_signal_num_missing_metrics,reconstruction_signal_missing_metrics_count,reconstruction_signal_dynamically_weighted_score,reconstruction_signal_normalized_dynamically_weighted_score,reconstruction_signal_normalized_dynamically_weighted_rank,wavelet_signal_num_missing_metrics,wavelet_signal_missing_metrics_count,wavelet_signal_dynamically_weighted_score,wavelet_signal_normalized_dynamically_weighted_score,wavelet_signal_normalized_dynamically_weighted_rank,rank_variability,normalized_rank_stability,average_rank,harmonic_average_rank,stability_score_weighted,stability_rank,wavelet_family,family_mean_stability_rank,family_median_stability_rank,family_rank_std_dev,family_wavelet_count,normalized_family_mean_rank,normalized_family_std_dev,final_family_stability_score,final_family_stability_rank,family_informed_rank,top_wavelet_rank
smoothed,gaus6,19.022967426585,0.6699480937891534,459.02839151191245,-31.904377605512416,151,74,20108.238213188015,,False,"[19, 52, 63, 71, 80, 90, 100, 130]","[35209.619290838906, 5055.7877972926835, 112.4258834659795, 10132.210722715829, 225.76640062520528, 57.61512466764543, 18889.997764871227, 51867.456478899134]",8,12.474899461700083,178208.34940239153,0.026012284667382934,3.5932444750330295e-06,0.39960095408413865,7,16241.619366443661,57.61512466764543,51867.456478899134,"[19, 57, 64, 79, 85, 91, 130]","[46240.07315743917, 5055.7877972926835, 112.4258834659795, 225.76640062520528, 10132.210722715829, 57.61512466764543, 51867.456478899134]","[0, 52, 63, 71, 71, 90, 100]","[100, 71, 71, 80, 100, 100, 150]",0.05,30,88785480012.81789,53643.720419022284,-53643.720419022284,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CWT,uiug.30112087716855,,,16017.110594513837,,,51256.1231455658,,53032.38708568895,0.0,-2.0,,,0.0,-11.0,,,0.0,0.0,-11.0,,12.0,,,,,,,16017.110594513837,109425.66889843896,16020.23811420703,,53032.38708568895,,,,,,,46.61512466764543,,,,,,0.0,,,0.13300179891402086,0.008457431190350608,0.6639176084189095,0.41568514548104885,0.7248214793627936,0.5208535402521826,0.753979825626939,0.0807450359023517,,0.035628127142988714,0.8699320079658317,0.8699320079658317,0.8701210838717195,0.9792643249016193,0.7173489325695146,0.16666666666666666,,0.5833333333333334,0.5833333333333334,0.27122353386472886,0.27122353386472886,1.0000000000000002,2.133813343698703,0.914173479906505,4,1.5532730072171677,0.6593116004501508,4,0,0,0.6015005737900246,0.8980751204102303,4,1,0.11111111111111112,0.407127177588019,0.6657959249570162,7,1.5,0.8928571428571429,4.75,4.48,0.7767857142857143,1,gaus,7.75,8.5,5.338539126015656,8,0.775,1.0,0.15749999999999997,1,1.0,1
smoothed,gaus4,19.110439740716306,0.6738858063361375,469.8785107522639,-32.43770948878638,151,74,19029.18462164392,,False,"[20, 52, 63, 71, 80, 86, 100, 130]","[36639.044013875275, 4069.2482191398994, 182.76660961979087, 8821.279503845908, 74.06266704495374, 1183.7034682666622, 4566.548315524709, 56758.363257975405]",8,12.441852197624844,147494.3533588771,0.02431528433868354,4.437360761672223e-06,0.4438895991521082,7,16570.929077378343,74.06266704495374,56758.363257975405,"[20, 56, 64, 79, 86, 91, 130]","[46937.441824756155, 4429.809168138954, 182.76660961979087, 74.06266704495374, 7243.6454501752105, 370.4145639379243, 56758.363257975405]","[0, 52, 63, 71, 71, 89, 0]","[71, 71, 71, 80, 100, 100, 150]",0.05,30,100880405326.6059,59266.037007489,-59266.037007489,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CWT,uiug.30112087716855,,,16346.420305448519,,,56147.02992464207,,58654.703674155666,0.0,-2.0,,,0.0,-11.0,,,0.0,0.0,-11.0,,12.0,,,,,,,16346.420305448519,111730.83687498173,16348.19504226218,,58654.703674155666,,,,,,,63.06266704495374,,,,,,0.0,,,0.1143354487399375,0.017964397241344205,0.6274435897517706,0.3619080776839709,0.7363995465390174,0.5421920465567411,0.8416468413748464,0.05423370195815621,,0.05076657359215938,0.8898406058391567,0.8898406058391567,0.8899478985195145,0.9999999999999999,0.7885600177903406,0.16666666666666666,,0.5833333333333334,0.5833333333333334,0.31858205030681375,0.31858205030681375,1.0000000000000002,2.221164867488225,0.9515968312570903,2,1.5405389557128386,0.6539064283789671,5,0,0,0.6232877612939408,0.9306046505446607,2,1,0.11111111111111112,0.40645990067516746,0.6647046928461401,8,2.8722813232690143,0.7948370483379276,4.25,3.018867924528302,0.7456328098832494,2,gaus,7.75,8.5,5.338539126015656,8,0.775,1.0,0.15749999999999997,1,1.75,2
smoothed,gaus2,20.260391091284372,0.6309289421872203,802.3656071347532,-37.67085747810033,151,74,44115.79452979196,,False,"[25, 31, 57, 65, 86, 91, 128]","[17265.31924865526, 541.4374628724618, 2933.9757729592457, 789.4932761579548, 7283.479717849834, 225.9377466336664, 68503.15337434069]",7,12.371258772191442,157180.93222111912,0.03398679867073772,6.0097341948840665e-06,0.5238882939623478,7,13934.685228495588,225.9377466336664,68503.15337434069,"[25, 31, 57, 65, 86, 91, 128]","[17265.31924865526, 541.4374628724618, 2933.9757729592457, 789.4932761579548, 7283.479717849834, 225.9377466336664, 68503.15337434069]","[0, 29, 50, 63, 50, 89, 0]","[50, 50, 70, 70, 100, 100, 150]",0.05,30,334814849261.60187,79361.36933356206,-79361.36933356206,0.4900662251655629,6667554.47439503,0.03058043994359324,0.07575629578656758,12208223.082803275,606924966728.4861,10.0,1016412.0598980796,0.019867549668874173,"[0.0, 0.006622516556291391, 0.013245033112582781, 0.019867549668874173, 0.026490066225165563, 0.033112582781456956, 0.039735099337748346, 0.046357615894039736, 0.052980132450331126, 0.059602649006622516, 0.06622516556291391, 0.0728476821192053, 0.07947019867549669, 0.08609271523178808, 0.09271523178807947, 0.09933774834437085, 0.10596026490066225, 0.11258278145695365, 0.11920529801324503, 0.12582781456953643, 0.13245033112582782, 0.1390728476821192, 0.1456953642384106, 0.152317880794702, 0.15894039735099338, 0.16556291390728478, 0.17218543046357615, 0.17880794701986755, 0.18543046357615894, 0.19205298013245034, 0.1986754966887417, 0.2052980132450331, 0.2119205298013245, 0.2185430463576159, 0.2251655629139073, 0.23178807947019867, 0.23841059602649006]","[6667554.47439503, 826835.7595765807, 946333.2947272504, 1016412.0598980796, 467292.1916206373, 215380.49121053398, 234096.9600729216, 129593.15426914506, 116465.48291356373, 179904.30764505072, 75569.15101425794, 66189.72969758873, 123159.57675041226, 47378.15582646344, 16999.874533019032, 80281.05688818786, 42978.544614608225, 50496.49022413136, 38552.135164829306, 28965.082241864737, 30297.358368098074, 35821.70166981046, 30195.873877534104, 28984.046143592306, 26336.89867483148, 22460.86244165567, 25625.88738954191, 21901.017121895162, 21352.230239460507, 19720.387624849718, 14332.271457840974, 18596.65597099337, 18914.119868456408, 13426.226771662636, 20751.72815618987, 16370.059618472398, 16766.75213628352]",3.0,0.7,33793.07111563503,15.0,0.5,12176709972.86942,0.045412813205728805,0.06623172576444097,23860933010.0173,7.69966666457479e+17,"[0.015625, 0.015625, 0.015625]",2.0,12176709972.86942,0.015625,"[0.0, 0.015625, 0.03125, 0.046875, 0.0625, 0.078125, 0.09375, 0.109375, 0.125, 0.140625, 0.15625, 0.171875, 0.1875, 0.203125, 0.21875, 0.234375]","[6.51322014324254e-21, 12176709972.86942, 5121516097.690132, 2056321749.9344745, 1462986112.9198554, 639136638.4585135, 293993603.84155005, 294930136.587945, 249566879.69659635, 217178532.95625368, 141996459.45498234, 132177827.24404633, 112513124.82801649, 91774746.80908959, 76833443.33116636, 72022724.35475963]",3.0,0.7,boxcar,64.0,32.0,33793.07111563503,15.0,CWT,uiug.30112087716855,12175778523.335863,0.0,13710.176456565763,606891867282.7091,16.0,67891.82004100736,23857243795.47216,78750.03600022873,0.0,-6.5,0.0,1010945.7341945794,0.0,-15.5,,32.0,0.0,0.0,-11.0,0.078125,12.0,,7.699666628146295e+17,6617463.47439503,0.059602649006622516,0.0,0.19999999999999996,13710.176456565763,93277.12993280245,13710.176456565765,0.0,78750.03600022873,0.19999999999999996,33590.57111563503,0.0,2.0,0.0,33590.57111563503,214.9377466336664,0.057219869687220086,12175778523.335863,0.04720354135766447,0.028919640284863407,12082293.808086844,0.0,0.0,0.06317603893997945,0.5483041124798276,0.03567345117814947,0.26955398398055974,0.24703298796650427,0.8886101530433842,0.30940834141610074,1.0,0.06259484541307667,,0.19055358289570512,0.7304650486031807,0.7304650486031807,0.7304650486031806,0.8340033891640087,0.959562919226782,0.16666666666666666,,0.5833333333333334,0.20833333333333331,0.48785126725658856,0.48785126725658856,0.7187500000000002,2.096091613042938,0.8980126447127846,6,1.453548504722344,0.6169819384792951,8,0,0,0.5690250754118791,0.8495873244093631,6,1,0.11111111111111112,0.4145916788791447,0.678003006220692,5,1.2583057392117916,0.9101210186277292,6.25,6.075949367088608,0.7318462235995788,3,gaus,7.75,8.5,5.338539126015656,8,0.775,1.0,0.15749999999999997,1,2.5,3
smoothed,mexh,21.101941544889954,0.6672632897798461,1240.0396172901815,-41.61234073587675,151,74,70227.1695532317,,False,"[45, 60, 69, 85, 110, 126]","[1609.56606965221, 162.43746994530375, 113.26956398173934, 8481.136528302086, 1456.8951707894448, 71280.4455875753]",6,12.371397196857146,269017.9477484925,0.029152576651727467,8.751955816377853e-06,0.310021800899827,6,13850.625065041015,113.26956398173934,71280.4455875753,"[45, 60, 69, 85, 110, 126]","[1609.56606965221, 162.43746994530375, 113.26956398173934, 8481.136528302086, 1456.8951707894448, 71280.4455875753]","[0, 0, 0, 0, 0, 0]","[50, 62, 70, 101, 114, 150]",0.05,20,825334162433.8953,93187.90840031898,-93187.90840031898,0.4900662251655629,10640820.672164178,0.02482175851051536,0.07120203805739551,17278460.589686133,1532605653862.3403,8.0,157438.4408611551,0.059602649006622516,"[0.0, 0.006622516556291391, 0.013245033112582781, 0.019867549668874173, 0.026490066225165563, 0.033112582781456956, 0.039735099337748346, 0.046357615894039736, 0.052980132450331126, 0.059602649006622516, 0.06622516556291391, 0.0728476821192053, 0.07947019867549669, 0.08609271523178808, 0.09271523178807947, 0.09933774834437085, 0.10596026490066225, 0.11258278145695365, 0.11920529801324503, 0.12582781456953643, 0.13245033112582782, 0.1390728476821192, 0.1456953642384106, 0.152317880794702, 0.15894039735099338, 0.16556291390728478, 0.17218543046357615, 0.17880794701986755, 0.18543046357615894, 0.19205298013245034, 0.1986754966887417, 0.2052980132450331, 0.2119205298013245, 0.2185430463576159, 0.2251655629139073, 0.23178807947019867, 0.23841059602649006]","[10640820.672164178, 1871460.0694715243, 1022564.9876580437, 876539.7370562226, 412291.3028338325, 222047.6472301482, 207855.507441736, 136031.73619626768, 120300.68659983345, 157438.4408611551, 80770.2726195236, 73792.47918070998, 110197.03848908585, 53902.46510627366, 30584.490001210095, 74521.90445952544, 47715.98838289442, 54180.17514486331, 42925.338702222325, 34230.969185562455, 35238.47556701913, 38421.294787901374, 32304.195863351713, 31349.99878382886, 30188.91457728841, 27163.66381617054, 28062.916883551763, 25642.959782755097, 24686.837203915096, 23913.28699705407, 21269.78305490313, 21987.23625680507, 23165.966282709847, 18009.864637523315, 22592.262297659254, 20246.23571087397, 20282.51716467425]",3.0,0.7,48547.78629165369,15.0,,,,,,,,,,,,,,,,,,,,CWT,uiug.30112087716855,,,13626.11629311119,1532572554416.5635,,70669.11225424198,,92576.57506698565,0.0,-7.0,,151972.1151576549,0.0,-16.0,,,0.0,0.0,-11.5,,13.0,,,10590729.672164178,0.019867549668874177,0.0,,13626.11629311119,78838.08372357942,13626.116293111188,,92576.57506698565,0.19999999999999996,,0.0,4.0,0.0,48345.28629165369,102.26956398173934,0.06297855112029796,,0.05175779908683653,,17152531.3149697,10.0,,,1.0000000000000002,0.06655806775584787,0.0,0.2472582433042945,1.0,0.5063045586808923,0.576662659548792,0.15912896170871416,,0.08685290771430411,0.7253831456534223,0.7253831456534223,0.725383145653422,0.7041198518375925,1.0,0.3333333333333333,,0.5416666666666667,0.16666666666666666,0.6043164942545421,0.6043164942545421,0.6875000000000002,2.114353893689651,0.9058366152110178,5,1.4404350139542612,0.611415707336656,9,0,0,0.5754101543073262,0.8591206162260709,5,1,0.11111111111111112,0.43893350581926205,0.7178104425081779,4,2.217355782608345,0.841617444099404,5.75,5.255474452554745,0.7154515791925591,4,mexh,4.0,4.0,,1,0.4,,,5,4.25,4
smoothed,gaus8,18.981179080723017,0.6500805441202793,421.5551563189855,-31.058714995786406,151,74,18218.183436239524,,False,"[18, 51, 63, 71, 80, 101, 130]","[32610.657029636684, 7022.598428132251, 232.4326649675004, 9491.222166104842, 325.33399025008566, 23856.393641907078, 48674.2289645974]",7,12.42328871679397,178945.59639373884,0.029895115612978793,3.144293422264718e-06,0.41765190076939707,6,18393.084433504813,232.4326649675004,48714.70875323303,"[18, 57, 64, 79, 84, 130]","[44572.210598341175, 7022.598428132251, 232.4326649675004, 325.33399025008566, 9491.222166104842, 48714.70875323303]","[0, 51, 63, 71, 71, 101]","[101, 71, 71, 80, 101, 150]",0.05,30,73068844735.37529,48721.19985453616,-48721.19985453616,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CWT,uiug.30112087716855,,,18168.57566157499,,,48103.3754198997,,48109.86652120282,0.0,-2.5,,,0.0,-7.0,,,0.0,0.0,-11.5,,13.0,,,,,,,18168.57566157499,106092.83993436221,18168.575661574996,,48109.86652120282,,,,,,,221.4326649675004,,,,,,0.0,,,0.10030608797696329,0.003401063383232889,0.7217516040613625,0.33170014383144875,0.7192902632245415,0.4131910766246366,0.7897107138691187,0.08138140380313774,,0.19653155645144638,1.0,1.0,1.0,0.9492845319924645,0.6714452592603749,0.3333333333333333,,0.5416666666666667,0.9166666666666667,0.22975961638133202,0.22975961638133202,0.9687500000000002,2.3341448757810537,1.0,1,1.503371589091629,0.6381301444561234,7,0,0,0.6697664372611348,1.0,1,1,0.11111111111111112,0.38953598904124964,0.6370281533752298,10,4.5,0.6785714285714286,4.75,1.78343949044586,0.6696428571428572,6,gaus,7.75,8.5,5.338539126015656,8,0.775,1.0,0.15749999999999997,1,4.75,5
smoothed,morl,18.495692060109675,0.6468587793091104,315.4734086807347,-28.129822321274162,151,74,12419.747026557448,,False,"[16, 50, 63, 71, 79, 101, 112, 130]","[23910.859182155928, 14632.04138823777, 2034.7575686408304, 1073.0004861331795, 4057.627359318586, 24628.948265814455, 50.30812592744678, 33845.19423483751]",8,12.350670541605735,112162.10145953666,0.0380400820888303,2.8423155906115763e-06,0.5019085214823127,6,16647.99096277198,50.30812592744678,39425.357151555334,"[16, 58, 66, 79, 111, 130]","[37175.31749485241, 2034.7575686408304, 1073.0004861331795, 20129.204949522686, 50.30812592744678, 39425.357151555334]","[0, 50, 63, 50, 101, 101]","[101, 63, 71, 101, 112, 150]",0.05,20,37432302658.73512,36160.18792114719,-36160.18792114719,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CWT,uiug.30112087716855,,,16423.482190842155,,,38814.023818222,,35548.854587813854,0.0,-11.5,,,0.0,-7.0,,,0.0,0.0,-11.5,,13.0,,,,,,,16423.482190842155,95622.27910996521,16429.321543798436,,35548.854587813854,,,,,,,39.30812592744678,,,,,,10.0,,,0.0,0.0,0.9220555600679254,0.21353022448482237,0.6550299153228233,0.39573229873908816,0.9564922102000308,0.023736038033971243,,0.028902708439385555,0.894499424078399,0.894499424078399,0.8948524453407146,0.8550987071146827,0.5361932828000461,0.3333333333333333,,0.5416666666666667,0.9166666666666667,0.1239543169435686,0.1239543169435686,0.4062500000000001,1.9194705889825279,0.8223442378829346,7,1.537897624733814,0.6527852731493277,6,0,0,0.5458226077004524,0.8149446991289622,7,1,0.11111111111111112,0.3902664753005271,0.6382227549676496,9,1.2583057392117916,0.9101210186277292,7.25,7.098591549295775,0.6961319378852932,5,morl,5.0,5.0,,1,0.5,,,6,5.25,6
smoothed,cgau8,13.865226190872885,0.7583676391623412,524.1728747698342,-30.02040365554074,151,74,17174.875150479886,-182176.09801911758,True,"[4, 9, 33, 43, 48, 62, 71, 103, 130]","[1949.9606370475012, 224.42612603315501, 364.32757176972154, 1.0034956970866915, 1370.9942073067177, 927.093817707083, 2980.7054946792277, 4253.133586024633, 4751.877437774456]",9,12.833974585937748,160141.81765004958,0.035371017415487885,9.163155519781229e-05,0.3192778980054678,6,13268.751560931889,315.54377045759736,33279.235212135834,"[17, 57, 65, 79, 84, 130]","[30869.02470849281, 3564.066105886883, 552.63232772639, 315.54377045759736, 11032.007240891839, 33279.235212135834]","[0, 50, 63, 50, 50, 101]","[101, 71, 71, 81, 101, 150]",0.05,30,58455152283.360695,32678.125809002206,-32678.125809002206,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CWT,uiug.30112087716855,,,13044.242789002064,,,32667.901878802502,,32066.792475668874,0.0,-11.5,,,0.0,-11.5,,,0.0,0.0,-11.5,,13.0,,,,,,,13044.242789002064,75346.84269892467,13044.24278900207,,32066.792475668874,,,,,,,304.54377045759736,,,,,,0.0,,,0.08225808929170411,1.0,0.7927606481371474,0.9999999999999999,0.04212918869109783,1.0,0.5949846111343291,0.06515058652425172,0.9261218400303557,0.27302766699067404,0.6902056661507036,0.6902056661507036,0.6902056661507037,0.672715095084919,0.4467063976526969,0.3333333333333333,,0.5416666666666667,0.5416666666666667,0.09462382777676226,0.09462382777676226,0.4062500000000001,1.6235703437790148,0.6955739382868145,9,2.3559012250909235,1.0,1,0,0,0.4562692067000494,0.6812362956941583,9,0,0.0,0.6114894404232094,1.0,1,4.618802153517006,0.670085560463071,5.0,1.7999999999999998,0.6564713516601068,7,cgau,7.0,7.0,,1,0.7,,,2,5.75,7
smoothed,fbsp,17.290032024085107,0.6251118668337211,687.7944447608685,-36.867386788647764,151,74,36854.98535924475,-225405.09639237818,True,"[4, 57, 65, 85, 91, 111, 132, 139, 149]","[3689.2126491311137, 4994.069388011467, 878.896209308261, 9597.41003860164, 4.207914878810698, 148.74339064917876, 545.7292583483504, 58.37137359472399, 352.6969539327838]",9,12.552968135588051,297908.4188192795,0.024190900295544913,1.130402565428625e-05,0.2927268885313269,6,17573.364595332187,56.06096118170535,55500.93778552252,"[19, 57, 65, 85, 91, 129]","[33053.094348762665, 5920.263632968799, 727.4052400221044, 10182.425603535325, 56.06096118170535, 55500.93778552252]","[0, 51, 62, 51, 90, 0]","[101, 71, 71, 101, 101, 150]",0.05,30,278221409849.8708,76871.9411652213,-76871.9411652213,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CWT,uiug.30112087716855,,,17348.855823402362,,,54889.60445218918,,76260.60783188797,0.0,-11.5,,,0.0,-11.5,,,0.0,0.0,-11.5,,13.0,,,,,,,17348.855823402362,101174.52090532644,17353.98868781864,,76260.60783188797,,,,,,,45.06096118170535,,,,,,0.0,,,0.42270070632213497,0.09530107590862212,0.3245025176134868,0.5427245384832289,0.4954455596622801,0.2778855480116392,0.5424283009983988,0.18406628752192394,0.0,0.03419766293347738,0.9504433908716323,0.9504433908716323,0.9507537009846012,0.905042781953397,0.7702520359533628,0.3333333333333333,,0.5416666666666667,0.5416666666666667,0.46688204167373915,0.46688204167373915,0.4062500000000001,2.2130683359879453,0.9481280956253438,3,1.2709391489228585,0.5394704732893918,11,0,0,0.6098178094651873,0.9104932339681061,3,0,0.0,0.3205616149468572,0.5242308268234326,11,4.618802153517006,0.670085560463071,7.0,4.714285714285714,0.5850427802315354,8,fbsp,8.0,8.0,,1,0.8,,,4,7.0,8
smoothed,cmor,17.29845935438562,0.6428315732951495,435.64105567119077,-32.315825742147595,151,74,22796.78260731922,-204730.3791755932,True,"[5, 56, 65, 85, 132, 148]","[2680.972672772681, 2637.1202265299835, 180.67889068589648, 5590.048042530516, 1501.5222538674934, 734.9758671129821]",6,12.655364774031677,84663.35017834292,0.02380320132483708,8.779710353688715e-05,0.3057631361201105,5,11535.292395364788,168.80823700400651,31173.852571354542,"[20, 57, 65, 85, 129]","[17281.04221556313, 2891.0531289351657, 168.80823700400651, 6161.705823967086, 31173.852571354542]","[0, 51, 63, 51, 0]","[51, 71, 71, 101, 150]",0.05,20,98601142750.83609,41689.68394950866,-41689.68394950866,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CWT,uiug.30112087716855,,,11310.783623434963,,,30562.51923802121,,41078.350616175325,0.0,-12.0,,,0.0,-16.5,,,0.0,0.0,-12.0,,14.0,,,,,,,11310.783623434963,53410.79531015727,11310.783623434962,,41078.350616175325,,,,,,,157.80823700400651,,,,,,10.0,,,0.1795104352900956,0.9568140049640186,0.6357790937588323,0.7093522797461276,0.49656102342135133,0.3739088263821536,0.568232859275257,0.0,0.44292738373415075,0.1379711360865593,0.5854084484824098,0.5854084484824098,0.5854084484824096,0.4753937908568666,0.4160522491629888,0.5,,0.5000000000000001,0.125,0.17053097701866674,0.17053097701866674,0.3750000000000001,1.4196943552775307,0.6082288935910507,11,1.8793490676718978,0.7977198057611122,3,0,0,0.3855587062992481,0.5756614318805032,12,0,0.0,0.4847873229524429,0.7927975381176223,2,5.228129047119374,0.6265622109200447,7.0,3.9699248120300754,0.5632811054600224,10,cmor,10.0,10.0,,1,1.0,,,3,8.25,9
smoothed,gaus5,19.031008195092312,0.6555396456058707,454.33166525083107,-32.35590261613149,151,74,20584.72745751124,,False,"[3, 46, 59, 77, 106, 117]","[3509.1907237026535, 23370.655601352264, 2453.152154130441, 2662.811367942344, 31757.347591421498, 2548.4278818652783]",6,12.467841487179987,204978.37458823327,0.02328958573345913,3.335807935208446e-06,0.06388095656203423,5,13061.524232308813,729.95228231297,56913.27747529304,"[46, 59, 79, 87, 112]","[56913.27747529304, 2453.152154130441, 729.95228231297, 2662.811367942344, 2548.4278818652783]","[3, 55, 77, 77, 106]","[106, 106, 82, 106, 117]",0.05,20,96998598655.55763,62653.08666137676,-62653.08666137676,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CWT,uiug.30112087716855,,,12837.015460378989,,,56301.944141959706,,62041.75332804342,0.0,-16.5,,,0.0,-16.5,,,0.0,0.0,-16.5,,14.0,,,,,,,12837.015460378989,61041.954494877406,12837.015460378989,,62041.75332804342,,,,,,,718.95228231297,,,,,,10.0,,,0.1412444989600808,0.0055580197192819265,0.6330382775885413,0.40419986266268554,0.7258857767790751,0.4427740058195926,0.08943995847838915,0.10385206099901727,,0.6544524975755912,0.6776776251700399,0.6776776251700399,0.6776776251700397,0.5440383491227243,0.7908155524037823,0.5,,0.12500000000000006,0.125,0.3471122200686602,0.3471122200686602,0.09375000000000006,1.8562674507164307,0.7952665963355359,8,1.2433329519966134,0.5277525809464394,12,0,0,0.4633594762291281,0.6918224778833896,8,1,0.11111111111111112,0.3126935020702774,0.5113636988626713,12,2.309401076758503,0.8350427802315354,10.0,9.600000000000001,0.5603785329729105,11,gaus,7.75,8.5,5.338539126015656,8,0.775,1.0,0.15749999999999997,1,8.5,10
