amplitude_max,amplitude_max_diff,avg_prominence,avg_prominence_diff,avg_variance_across_levels,correlation,dominant_frequency,dominant_frequency_diff,dynamic_cutoff,dynamic_cutoff_diff,emd_value,frequency_max,frequency_max_diff,htid,is_complex,kl_divergence,lower_envelope,lower_envelope_diff,max_autocorrelation,max_autocorrelation_diff,num_fft_peaks,num_fft_peaks_diff,positive_amplitudes,positive_frequencies,prominence_max,prominence_max_diff,prominence_min,prominence_min_diff,relative_left_bases,relative_left_bases_array_alignment_score,relative_left_bases_global_alignment_score,relative_num_peaks,relative_num_peaks_diff,relative_peaks,relative_peaks_array_alignment_score,relative_peaks_global_alignment_score,relative_prominences,relative_prominences_avg_diff,relative_prominences_total_diff,relative_prominences_wasserstein,relative_right_bases,relative_right_bases_array_alignment_score,relative_right_bases_global_alignment_score,scales_used,signal_length,signal_type,smoothness,spectral_bandwidth,spectral_bandwidth_diff,spectral_centroid,spectral_centroid_diff,spectral_magnitude,spectral_magnitude_diff,upper_envelope,upper_envelope_diff,variance_ratio_across_levels,wavelet,wavelet_adaptive_threshold,wavelet_energy_entropy,wavelet_entropy,wavelet_psnr,wavelet_sparsity,wavelet_type,emd_value_normalized,smoothness_normalized,wavelet_psnr_normalized,wavelet_entropy_normalized,wavelet_energy_entropy_normalized,wavelet_sparsity_normalized,correlation_normalized,avg_variance_across_levels_normalized,kl_divergence_normalized,prominence_min_diff_normalized,avg_prominence_diff_normalized,relative_prominences_avg_diff_normalized,relative_prominences_wasserstein_normalized,spectral_centroid_diff_normalized,dynamic_cutoff_diff_normalized,relative_prominences_total_diff_normalized,prominence_max_diff_normalized,amplitude_max_diff_normalized,frequency_max_diff_normalized,spectral_bandwidth_diff_normalized,num_fft_peaks_diff_normalized,relative_num_peaks_diff_normalized,dominant_frequency_diff_normalized,max_autocorrelation_diff_normalized,relative_right_bases_global_alignment_score_normalized,relative_left_bases_global_alignment_score_normalized,upper_envelope_diff_normalized,lower_envelope_diff_normalized,relative_peaks_global_alignment_score_normalized,reconstruction_weighted_score,reconstruction_normalized_weighted_score,reconstruction_normalized_weighted_rank,signal_weighted_score,signal_normalized_weighted_score,signal_normalized_weighted_rank,reconstruction_missing_metrics_count,reconstruction_dynamically_weighted_score,reconstruction_normalized_dynamically_weighted_score,reconstruction_normalized_dynamically_weighted_rank,signal_missing_metrics_count,signal_dynamically_weighted_score,signal_normalized_dynamically_weighted_score,signal_normalized_dynamically_weighted_rank,rank_variability,normalized_rank_stability,average_rank,harmonic_average_rank,stability_score_weighted,stability_rank,wavelet_family,family_mean_stability_rank,family_median_stability_rank,family_rank_std_dev,family_wavelet_count,normalized_family_mean_rank,normalized_family_std_dev,final_family_stability_score,final_family_stability_rank,family_informed_rank
,,71846.0285155598,71740.84669737797,410848.6460140378,0.7158416455059471,,,62630.4332034609,62149.0332034609,52674.79990972095,,,mdp.39015035518102,False,,-73638.04059973941,73096.84059973941,330321648674.3316,330300835628.6516,,,[],[],71846.0285155598,71304.8285155598,71846.0285155598,71843.8285155598,[0],0.0,-10.5,1,10.0,[50],0.0,-6.0,[71846.0285155598],71740.84669737797,70689.0285155598,71740.84669737799,[100],0.0,-10.5,49,101,smoothed,3.349844073386311e-05,,,,,0.0,0.0,73638.04059973941,73096.84059973941,0.044019255699308965,mexh,1293.243515857471,958523635.2648203,11.097569193342576,-40.41254026858975,0.6500303091533643,CWT,1.0,1.0,0.0182367987276032,0.6510075099726105,1.0,1.0,0.8204869694508385,0.18064465650866895,,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,,,,,0.6666666666666666,,0.946026131666702,0.0,0.0,0.7000247506576427,0.7000247506576427,0.47368421052631576,3.8144264748683376,1.0,1,2.2368984846066704,1.0,1,0.0,0.7490304650124983,0.9740093191101008,2,0,0.7087969918324651,1.0,1,0.5,0.95,1.25,1.1428571428571428,0.9125,1,mexh,1.0,1.0,,1,0.14285714285714285,,,2,1.25
,,28694.966212442505,28589.784394260685,225411.78766258902,0.8461045943720186,,,38923.9634941798,38442.5634941798,33335.24032329104,,,mdp.39015035518102,False,,-43858.11517292055,43316.915172920555,128332334517.88638,128311521472.20639,,,[],[],50205.29099675727,49664.09099675727,7184.641428127739,7182.4414281277395,"[0, 0]",0.0,-10.0,2,9.0,"[27, 75]",0.0,-5.5,"[7184.641428127739, 50205.29099675727]",28589.784394260685,56232.93242488501,28589.784394260685,"[59, 100]",0.0,-10.0,49,101,smoothed,1.9481242821632707e-05,,,,,0.0,0.0,43858.11517292055,43316.915172920555,0.06645795026843533,gaus2,811.406288123196,409468124.5475005,11.011308010164234,-36.26522982663101,0.6166902404526167,CWT,0.5742758239864522,0.45882047228575,0.267641329735661,0.40449023107451865,0.40230627821714277,0.3820224719101114,1.0,0.07835285979465909,,0.07916900324092685,0.3356540801352325,0.3356540801352325,0.33565408013523235,,0.6178076280291678,0.7774365695205836,0.6668231346776776,,,,,0.3333333333333333,,0.3534331623767781,0.5,0.1,0.3345092779898983,0.3345092779898983,0.5263157894736842,1.9659898228201205,0.5154090230269757,2,1.4580620740507961,0.6518230863333869,4,0.0,0.40216424407411755,0.5229583305860911,3,0,0.44598868337553693,0.6292192101754194,3,0.816496580927726,0.9183503419072274,3.0,2.823529411764706,0.8091751709536137,2,gaus,5.875,5.5,2.900123150094541,8,0.8392857142857143,1.0,0.11249999999999998,1,1.75
,,31220.143139079228,31114.961320897408,113796.03767431644,0.6446951948473262,,,10939.63012780819,10458.23012780819,12477.75202224635,,,mdp.39015035518102,False,,-25895.676220524972,25354.47622052497,24237587077.01317,24216774031.333168,,,[],[],35017.29363211237,34476.09363211237,27422.992646046085,27420.792646046084,"[0, 0]",0.0,-10.0,2,9.0,"[17, 86]",0.0,-1.0,"[27422.992646046085, 35017.29363211237]",31114.961320897408,61283.286278158455,31114.961320897408,"[59, 100]",0.0,-10.0,49,101,smoothed,1.438456215155527e-05,,,,,0.0,0.0,25895.676220524972,25354.47622052497,0.03902057840339125,gaus4,391.7019529858288,87467750.6597305,11.219688442933041,-28.929616285940234,0.6160840573853303,CWT,0.11513729081607883,0.262046533927055,0.7087790936857028,1.0,0.051781425760941455,0.3707865168539315,0.7224413234576981,0.016782707510028735,,0.36737966441274955,0.37453124557703366,0.37453124557703366,0.3745312455770335,,0.16664813956561098,0.8551909004041859,0.4329914850825816,,,,,0.3333333333333333,,0.048041682975572014,0.5,0.1,0.11404031207242002,0.11404031207242002,1.0,1.6376775825194316,0.42933782924101566,3,1.5083175356434957,0.6742896676013949,3,0.0,0.368232826189284,0.4788352691430621,4,0,0.40596936150142954,0.5727583019954273,4,0.5773502691896257,0.9422649730810374,3.5,3.428571428571429,0.7961324865405187,3,gaus,5.875,5.5,2.900123150094541,8,0.8392857142857143,1.0,0.11249999999999998,1,2.5
,,,,1896194.3496905388,0.1660742993226129,,,0.0,481.4,49852.48529481201,,,mdp.39015035518102,False,,-98078.15660934856,97536.95660934856,348719006071.394,348698193025.714,,,[],[],,,,,[],,,0,11.0,[],,,[],,,,[],,,49,101,smoothed,1.6578855518374828e-05,,,,,0.0,0.0,98078.15660934856,97536.95660934856,0.04601137719399908,gaus1,1224.1285262555584,842818887.9918691,11.17398131947457,-40.715797252274804,0.5960800161648818,CWT,0.9378720307195526,0.34676436807319244,0.0,0.869378145695662,0.8740455205792115,0.0,0.06286246248679167,0.9999999999999999,,,,,,,0.005803086799097475,,,,,,,1.0,,0.9999999999999999,,,1.0,1.0,,1.3029015433995486,0.34157206908661697,6,1.682247737769977,0.7520447393328081,2,0.6428571428571429,0.7690177602169623,1.0,1,0,0.5113653159443012,0.7214552570578208,2,2.217355782608345,0.7782644217391654,2.75,1.8461538461538458,0.7516322108695828,4,gaus,5.875,5.5,2.900123150094541,8,0.8392857142857143,1.0,0.11249999999999998,1,3.25
,,33848.253390940634,33743.07157275882,121128.75049081577,0.3852839961204744,,,5471.228348060974,4989.828348060974,11598.582907273685,,,mdp.39015035518102,False,,-23856.222556416742,23315.02255641674,19149671776.307556,19128858730.627556,,,[],[],36941.79224900843,36400.592249008434,30754.71453287284,30752.51453287284,"[0, 0]",0.0,-10.0,2,9.0,"[16, 88]",0.0,-10.0,"[36941.79224900843, 30754.71453287284]",33743.07157275882,66539.50678188127,33743.07157275882,"[59, 100]",0.0,-10.0,49,101,smoothed,1.2313020498438642e-05,,,,,0.0,0.0,23856.222556416742,23315.02255641674,0.047718519654598696,gaus6,330.0924380892509,63826794.9045338,11.158209402409295,-27.97191679131651,0.6265912305516266,CWT,0.09578402967403488,0.1820679290379935,0.7663717423783999,0.8243051483788986,0.02604623040088214,0.5655430711610479,0.3649514090406214,0.02082762271974386,,0.41482610693682287,0.41499315380339874,0.41499315380339874,0.4149931538033986,,0.07848733482660425,0.9361147168569159,0.46262071633856217,,,,,0.3333333333333333,,0.033114839701053334,0.5,0.1,0.08900828598987137,0.08900828598987137,0.05263157894736842,1.492573437884429,0.39129694797327247,5,1.348883163599104,0.6030149212767193,5,0.0,0.3095803328807572,0.40256590796214586,6,0,0.3557371478489528,0.5018886253019491,5,0.5,0.95,5.25,5.217391304347826,0.7124999999999999,5,gaus,5.875,5.5,2.900123150094541,8,0.8392857142857143,1.0,0.11249999999999998,1,4.0
,,33137.32881576786,33032.146997586045,131962.83890209597,0.3362207729731761,,,3446.3378862507016,2964.9378862507015,11087.871458518473,,,mdp.39015035518102,False,,-22366.672304196658,21825.472304196657,16949789484.05406,16928976438.37406,,,[],[],37417.8551298406,36876.655129840605,28856.80250169512,28854.60250169512,"[0, 59]",0.0,-5.5,2,9.0,"[15, 89]",0.0,-10.0,"[37417.8551298406, 28856.80250169512]",33032.146997586045,65117.65763153572,33032.14699758604,"[59, 100]",0.0,-10.0,49,101,smoothed,1.1439520902424902e-05,,,,,0.0,0.0,22366.672304196658,21825.472304196657,0.05082135517932589,gaus8,313.4721494804828,64312481.58144934,11.088341753932099,-27.46658164574375,0.6271974136189129,CWT,0.08454167383183889,0.148343635367513,0.7967608045784164,0.6246373261789928,0.02657494174587299,0.5767790262172278,0.29733826230665167,0.026803987824290113,,0.38779828854085624,0.4040478881334617,0.4040478881334617,0.40404788813346143,,0.04584233546267955,0.9142241855170419,0.4699500940085314,,,,,0.3333333333333333,,0.026660860761132138,0.5,1.0,0.07072571285715748,0.07072571285715748,0.05263157894736842,1.5304712580227349,0.40123233941101516,4,1.2338967200085562,0.5516105127254002,6,0.0,0.3631454119061175,0.472219798673653,5,0,0.32272245725635046,0.45531013953940536,6,0.9574271077563381,0.9042572892243662,5.25,5.1063829787234045,0.6896286446121831,6,gaus,5.875,5.5,2.900123150094541,8,0.8392857142857143,1.0,0.11249999999999998,1,4.75
,,17989.75355229306,17884.57173411124,83371.96990677124,0.4218293416368631,,,359.9514577272421,121.44854227275789,7247.359618393753,,,mdp.39015035518102,False,,-16604.381478934363,16063.181478934363,7862255107.103209,7841442061.423208,,,[],[],27114.53783680904,26573.337836809038,2982.986087750672,2980.786087750672,"[0, 42, 0]",0.0,-9.5,3,8.0,"[14, 49, 90]",0.0,-9.5,"[27114.53783680904, 2982.986087750672, 23871.736732319474]",17884.57173411124,52812.26065687918,17884.571734111243,"[60, 60, 100]",0.0,-9.5,49,101,smoothed,1.0996609258316379e-05,,,,,0.0,0.0,16604.381478934363,16063.181478934363,0.07863387257745384,morl,238.1683638312664,39900115.0452248,10.937825299500291,-24.08694762714609,0.6362901596282077,CWT,0.0,0.13124359041711306,1.0,0.1944912812400474,0.0,0.7453183520599237,0.41531389340951214,0.0,,0.019333997383629065,0.17083856986815013,0.17083856986815013,0.17083856986815008,,0.0,0.7247725281046877,0.3113220918375829,,,,,0.0,,0.0,1.0,0.2,0.0,0.0,0.10526315789473684,0.8186548536465065,0.2146206930557664,9,1.200871615932932,0.5368467206700664,7,0.0,0.20522910605893482,0.26687173778799816,8,0,0.3107958896408245,0.4384836465478197,7,0.9574271077563381,0.9042572892243662,7.75,7.665399239543728,0.5646286446121831,7,morl,7.0,7.0,,1,1.0,,,3,6.0
,,16557.814409610663,16452.632591428843,166334.534682689,0.12045839215720111,,,1429.1234984204261,947.7234984204262,12550.508378322062,,,mdp.39015035518102,False,,-31727.140283081153,31185.940283081152,22609832285.10032,22589019239.42032,,,[],[],31490.289349764633,30949.089349764632,1625.3394694566887,1623.1394694566886,"[6, 6]",0.0,-10.0,2,9.0,"[30, 99]",0.0,-10.0,"[31490.289349764633, 1625.3394694566887]",16452.632591428843,31958.628819221325,16452.632591428843,"[71, 100]",0.0,-10.0,49,101,smoothed,7.5972430824403615e-06,,,,,0.0,0.0,31727.140283081153,31185.940283081152,0.046642591776358065,gaus7,356.30822536670297,73738656.87868941,11.193594156515276,-28.842296413985977,0.6071933723984644,CWT,0.11673888570254225,0.0,0.7140302008832989,0.925427727217752,0.03683613699045671,0.20599250936329622,0.0,0.04576430967595043,,0.0,0.14879269483839494,0.14879269483839494,0.14879269483839483,,0.013321088684349246,0.4037137989269085,0.3786903675836965,,,,,0.3333333333333333,,0.043266202404018426,0.5,0.1,0.1856150495044565,0.1856150495044565,0.05263157894736842,0.8315148230786316,0.21799209620558563,8,1.045274445960545,0.46728738615259197,8,0.0,0.18875461095741236,0.24544896193835522,9,0,0.25559872122916205,0.3606092071135323,8,0.5,0.95,8.25,8.22857142857143,0.5625,8,gaus,5.875,5.5,2.900123150094541,8,0.8392857142857143,1.0,0.11249999999999998,1,6.25
,,25034.87736139576,24929.69554321394,193715.136097105,0.14930331875714692,,,1237.1156800997778,755.7156800997778,12858.843665259588,,,mdp.39015035518102,False,,-37233.92471228942,36692.724712289426,27714856604.165264,27694043558.485264,,,[],[],25034.87736139576,24493.67736139576,25034.87736139576,25032.67736139576,[6],0.0,-10.5,1,10.0,[31],0.0,-10.5,[25034.87736139576],24929.69554321394,23877.87736139576,24929.69554321394,[67],0.0,-10.5,49,101,smoothed,8.581517992901576e-06,,,,,0.0,0.0,37233.92471228942,36692.724712289426,0.040661659144909885,gaus5,359.86539517717375,86698327.90143113,11.096610570757537,-29.72545977597019,0.6067892503536068,CWT,0.12352630944819389,0.03800113507134095,0.6609198906758136,0.6482679575754986,0.05094384350731547,0.1985018726591749,0.03975067534551324,0.060868161945074516,,0.3333709510678489,0.2793040167821046,0.2793040167821046,0.2793040167821044,,0.010225565630058997,0.27930401678210454,0.27930401678210454,,,,,0.6666666666666666,,0.0582432398387259,0.0,0.0,0.2532047054445872,0.2532047054445872,0.0,1.0328718687852474,0.2707803848338429,7,0.9142643522826608,0.4087196439955666,9,0.0,0.2122454227144999,0.2759954759102303,7,0,0.22759748077849065,0.3211039033758861,10,1.5,0.85,8.25,8.05111821086262,0.5125,9,gaus,5.875,5.5,2.900123150094541,8,0.8392857142857143,1.0,0.11249999999999998,1,7.0
,,6893.326899057048,6788.14508087523,467570.42911924305,0.17088119127852436,,,0.0,481.4,17273.799362109596,,,mdp.39015035518102,False,,-52715.63643137252,52174.436431372524,63723894820.56446,63703081774.88446,,,[],[],6893.326899057048,6352.126899057048,6893.326899057048,6891.126899057048,[6],0.0,-10.5,1,10.0,[55],0.0,-10.5,[6893.326899057048],6788.14508087523,5736.326899057048,6788.14508087523,[64],0.0,-10.5,49,101,smoothed,1.0679274872142836e-05,,,,,0.0,0.0,52715.63643137252,52174.436431372524,0.0751933724546271,gaus3,450.31125757764244,213652001.18710145,10.869769023231829,-33.33743459755331,0.6267932915740554,CWT,0.2207132886954682,0.11899186405124318,0.4437085439495265,0.0,0.18914373768738416,0.5692883895131085,0.06948675396828757,0.2119338681477988,,0.07502044626964122,0.0,0.0,0.0,,0.005803086799097475,0.0,0.0,,,,,0.6666666666666666,,0.16388597132205104,0.0,0.0,0.4432255028643911,0.4432255028643911,0.0,0.5513075307538897,0.14453222113107297,10,0.8029921456890994,0.3589756760152194,10,0.0,0.12841622691330282,0.1669873357373084,10,0,0.2279083057516021,0.3215424280545926,9,0.5,0.95,9.75,9.729729729729728,0.4875,10,gaus,5.875,5.5,2.900123150094541,8,0.8392857142857143,1.0,0.11249999999999998,1,7.75
