signal_type,wavelet,wavelet_energy_entropy,wavelet_sparsity,wavelet_adaptive_threshold,wavelet_psnr,signal_length,decomposition_levels,original_level,padded,emd_value,kl_divergence,change_point_indices,change_point_prominences,num_change_points,wavelet_entropy,avg_variance_across_levels,variance_ratio_across_levels,smoothness,correlation,relative_num_peaks,avg_prominence,prominence_min,prominence_max,relative_peaks,relative_prominences,relative_left_bases,relative_right_bases,prominence_threshold,distance_factor,max_autocorrelation,upper_envelope,lower_envelope,fft_frequency_max,fft_amplitude_max,fft_spectral_centroid,fft_spectral_bandwidth,fft_spectral_magnitude,fft_variance_magnitude,fft_num_peaks,fft_peak_amplitude,fft_dominant_frequency,fft_positive_frequencies,fft_positive_amplitudes,fft_snr_threshold,fft_stationarity_threshold,fft_dynamic_cutoff,fft_dynamic_cutoff_percentile,stft_frequency_max,stft_amplitude_max,stft_spectral_centroid,stft_spectral_bandwidth,stft_spectral_magnitude,stft_variance_magnitude,stft_peak_freq_over_time,stft_num_peaks,stft_peak_amplitude,stft_dominant_frequency,stft_positive_frequencies,stft_positive_amplitudes,stft_snr_threshold,stft_stationarity_threshold,stft_window,stft_nperseg,stft_noverlap,stft_dynamic_cutoff,stft_dynamic_cutoff_percentile,wavelet_type,htid,stft_amplitude_max_diff,stft_frequency_max_diff,avg_prominence_diff,fft_variance_magnitude_diff,stft_noverlap_diff,prominence_max_diff,stft_spectral_magnitude_diff,upper_envelope_diff,relative_peaks_array_alignment_score,relative_peaks_global_alignment_score,stft_num_peaks_diff,fft_peak_amplitude_diff,relative_left_bases_array_alignment_score,relative_left_bases_global_alignment_score,stft_window_diff,stft_nperseg_diff,prominence_threshold_diff,relative_right_bases_array_alignment_score,relative_right_bases_global_alignment_score,stft_dominant_frequency_diff,relative_num_peaks_diff,max_autocorrelation_diff,stft_variance_magnitude_diff,fft_amplitude_max_diff,fft_dominant_frequency_diff,fft_snr_threshold_diff,stft_stationarity_threshold_diff,relative_prominences_avg_diff,relative_prominences_total_diff,relative_prominences_wasserstein,stft_dynamic_cutoff_percentile_diff,lower_envelope_diff,fft_stationarity_threshold_diff,stft_dynamic_cutoff_diff,fft_frequency_max_diff,fft_num_peaks_diff,fft_dynamic_cutoff_percentile_diff,fft_dynamic_cutoff_diff,prominence_min_diff,fft_spectral_centroid_diff,stft_peak_amplitude_diff,fft_spectral_bandwidth_diff,stft_spectral_bandwidth_diff,fft_spectral_magnitude_diff,distance_factor_diff,stft_snr_threshold_diff,stft_spectral_centroid_diff,emd_value_normalized,wavelet_psnr_normalized,wavelet_entropy_normalized,wavelet_energy_entropy_normalized,wavelet_sparsity_normalized,correlation_normalized,avg_variance_across_levels_normalized,kl_divergence_normalized,prominence_min_diff_normalized,avg_prominence_diff_normalized,relative_prominences_avg_diff_normalized,relative_prominences_wasserstein_normalized,relative_prominences_total_diff_normalized,prominence_max_diff_normalized,relative_num_peaks_diff_normalized,max_autocorrelation_diff_normalized,relative_right_bases_global_alignment_score_normalized,relative_right_bases_array_alignment_score_normalized,relative_left_bases_global_alignment_score_normalized,relative_left_bases_array_alignment_score_normalized,upper_envelope_diff_normalized,lower_envelope_diff_normalized,relative_peaks_array_alignment_score_normalized,relative_peaks_global_alignment_score_normalized,reconstruction_signal_weighted_score,reconstruction_signal_normalized_weighted_score,reconstruction_signal_normalized_weighted_rank,wavelet_signal_weighted_score,wavelet_signal_normalized_weighted_score,wavelet_signal_normalized_weighted_rank,reconstruction_signal_num_missing_metrics,reconstruction_signal_missing_metrics_count,reconstruction_signal_dynamically_weighted_score,reconstruction_signal_normalized_dynamically_weighted_score,reconstruction_signal_normalized_dynamically_weighted_rank,wavelet_signal_num_missing_metrics,wavelet_signal_missing_metrics_count,wavelet_signal_dynamically_weighted_score,wavelet_signal_normalized_dynamically_weighted_score,wavelet_signal_normalized_dynamically_weighted_rank,rank_variability,normalized_rank_stability,average_rank,harmonic_average_rank,stability_score_weighted,stability_rank,wavelet_family,family_mean_stability_rank,family_median_stability_rank,family_rank_std_dev,family_wavelet_count,normalized_family_mean_rank,normalized_family_std_dev,final_family_stability_score,final_family_stability_rank,family_informed_rank
raw,haar,131340548.33056009,0.6393145161290322,431.6607945518695,1.9157477233432954,992,5,True,False,1003.1062812764092,,"[4, 38, 91, 144, 178, 216, 265, 306, 367, 400, 434, 490, 529, 573, 607, 654, 699, 764, 808, 872, 918, 969]","[460.11322138247056, 3884.319350104296, 4424.922559953377, 3585.8541071928266, 767.94546276522, 3809.1941520509486, 3126.305957588791, 3812.041112059459, 4794.638314988502, 1397.4002345848207, 3861.338966177781, 3684.7689181038536, 2477.239581473309, 2965.6932592165817, 1814.434468663087, 2607.243459183097, 4906.874859021213, 3707.243997589345, 3440.9757973604897, 4518.357700303505, 3778.1386694166235, 2845.9229932292646]",22,11.914681275322511,1485802.7923513113,0.4576854828126758,6.604374678376914e-07,0.8946493979871278,22,4990.211731822607,460.11322138247056,7278.091506890709,"[3, 38, 91, 144, 178, 216, 265, 306, 367, 400, 434, 490, 529, 573, 616, 654, 699, 764, 808, 872, 918, 969]","[460.11322138247056, 5985.717761851187, 6776.3265344578085, 5417.875202562727, 767.94546276522, 5965.046162693343, 5533.051952975435, 5888.293600207207, 7006.812988756143, 3138.8177285083275, 5706.900851838838, 5705.516049245398, 4457.824427020771, 4875.993141924173, 1482.4689828310823, 4586.627611862705, 7278.091506890709, 5805.803484837029, 5411.765362162369, 6765.597614431725, 5481.955785180312, 5286.112665712394]","[0, 0, 54, 108, 177, 161, 219, 161, 54, 384, 384, 439, 495, 495, 607, 607, 54, 718, 768, 718, 906, 933]","[4, 54, 161, 161, 185, 272, 272, 328, 663, 412, 663, 663, 551, 663, 621, 663, 987, 768, 824, 987, 987, 987]",0.05,30,3190612776.0351286,4917.787043994318,-4917.787043994318,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SWT,mdp.39015056038386,,,3797.8026409135164,,,5715.091506890709,,3350.787043994318,0.3181818181818182,20.5,,,0.09090909090909091,-2.0,,,0.0,0.18181818181818182,10.0,,0.0,2662422780.0351286,,,,,,3797.8026409135164,83551.65810009737,3797.8026409135164,,3350.787043994318,,,,,,,258.11322138247056,,,,,,0.0,,,0.43043556233464153,0.7886807851405305,0.7475327033139637,0.03902838224909299,0.5610465116279059,1.0,0.03333909033426381,,0.050572701735145,0.2536994132030087,0.2536994132030087,0.25337511759050285,0.2874973058537184,0.22788988685210756,0.0,0.267787755267645,1.0,1.0,0.5789473684210527,1.0,0.28592220505508326,0.28592220505508326,1.0,0.8170731707317074,1.4706697207167148,0.45648396997566637,17,1.633373923351107,0.9515632189924719,14,0,0,0.4726491589355039,0.8018860050651299,3,0,0,0.5142947192857712,0.9617139014798852,12,6.027713773341708,0.9431347757231914,11.5,7.313700384122918,0.9173221048427278,1,haar,1.0,1.0,,1,0.015261044176706828,,,7,2.5
raw,db1,131340548.33056009,0.6393145161290322,431.6607945518695,1.9157477233432954,992,5,True,False,1003.1062812764092,,"[4, 38, 91, 144, 178, 216, 265, 306, 367, 400, 434, 490, 529, 573, 607, 654, 699, 764, 808, 872, 918, 969]","[460.11322138247056, 3884.319350104296, 4424.922559953377, 3585.8541071928266, 767.94546276522, 3809.1941520509486, 3126.305957588791, 3812.041112059459, 4794.638314988502, 1397.4002345848207, 3861.338966177781, 3684.7689181038536, 2477.239581473309, 2965.6932592165817, 1814.434468663087, 2607.243459183097, 4906.874859021213, 3707.243997589345, 3440.9757973604897, 4518.357700303505, 3778.1386694166235, 2845.9229932292646]",22,11.914681275322511,1485802.7923513113,0.4576854828126758,6.604374678376914e-07,0.8946493979871278,22,4990.211731822607,460.11322138247056,7278.091506890709,"[3, 38, 91, 144, 178, 216, 265, 306, 367, 400, 434, 490, 529, 573, 616, 654, 699, 764, 808, 872, 918, 969]","[460.11322138247056, 5985.717761851187, 6776.3265344578085, 5417.875202562727, 767.94546276522, 5965.046162693343, 5533.051952975435, 5888.293600207207, 7006.812988756143, 3138.8177285083275, 5706.900851838838, 5705.516049245398, 4457.824427020771, 4875.993141924173, 1482.4689828310823, 4586.627611862705, 7278.091506890709, 5805.803484837029, 5411.765362162369, 6765.597614431725, 5481.955785180312, 5286.112665712394]","[0, 0, 54, 108, 177, 161, 219, 161, 54, 384, 384, 439, 495, 495, 607, 607, 54, 718, 768, 718, 906, 933]","[4, 54, 161, 161, 185, 272, 272, 328, 663, 412, 663, 663, 551, 663, 621, 663, 987, 768, 824, 987, 987, 987]",0.05,30,3190612776.0351286,4917.787043994318,-4917.787043994318,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SWT,mdp.39015056038386,,,3797.8026409135164,,,5715.091506890709,,3350.787043994318,0.3181818181818182,20.5,,,0.09090909090909091,-2.0,,,0.0,0.18181818181818182,10.0,,0.0,2662422780.0351286,,,,,,3797.8026409135164,83551.65810009737,3797.8026409135164,,3350.787043994318,,,,,,,258.11322138247056,,,,,,0.0,,,0.43043556233464153,0.7886807851405305,0.7475327033139637,0.03902838224909299,0.5610465116279059,1.0,0.03333909033426381,,0.050572701735145,0.2536994132030087,0.2536994132030087,0.25337511759050285,0.2874973058537184,0.22788988685210756,0.0,0.267787755267645,1.0,1.0,0.5789473684210527,1.0,0.28592220505508326,0.28592220505508326,1.0,0.8170731707317074,1.4706697207167148,0.45648396997566637,18,1.633373923351107,0.9515632189924719,13,0,0,0.4726491589355039,0.8018860050651299,4,0,0,0.5142947192857712,0.9617139014798852,13,5.830951894845301,0.94499101985995,12.0,8.706976744186045,0.9158917363450694,2,db,62.921052631578945,63.5,23.173122337354965,38,0.9602409638554217,0.549355620914199,0.16302463902694514,4,2.5
raw,rbio1.1,131340548.33056009,0.6393145161290322,431.6607945518695,1.9157477233432954,992,5,True,False,1003.1062812764092,,"[4, 38, 91, 144, 178, 216, 265, 306, 367, 400, 434, 490, 529, 573, 607, 654, 699, 764, 808, 872, 918, 969]","[460.11322138247056, 3884.319350104296, 4424.922559953377, 3585.8541071928266, 767.94546276522, 3809.1941520509486, 3126.305957588791, 3812.041112059459, 4794.638314988502, 1397.4002345848207, 3861.338966177781, 3684.7689181038536, 2477.239581473309, 2965.6932592165817, 1814.434468663087, 2607.243459183097, 4906.874859021213, 3707.243997589345, 3440.9757973604897, 4518.357700303505, 3778.1386694166235, 2845.9229932292646]",22,11.914681275322511,1485802.7923513113,0.4576854828126758,6.604374678376914e-07,0.8946493979871278,22,4990.211731822607,460.11322138247056,7278.091506890709,"[3, 38, 91, 144, 178, 216, 265, 306, 367, 400, 434, 490, 529, 573, 616, 654, 699, 764, 808, 872, 918, 969]","[460.11322138247056, 5985.717761851187, 6776.3265344578085, 5417.875202562727, 767.94546276522, 5965.046162693343, 5533.051952975435, 5888.293600207207, 7006.812988756143, 3138.8177285083275, 5706.900851838838, 5705.516049245398, 4457.824427020771, 4875.993141924173, 1482.4689828310823, 4586.627611862705, 7278.091506890709, 5805.803484837029, 5411.765362162369, 6765.597614431725, 5481.955785180312, 5286.112665712394]","[0, 0, 54, 108, 177, 161, 219, 161, 54, 384, 384, 439, 495, 495, 607, 607, 54, 718, 768, 718, 906, 933]","[4, 54, 161, 161, 185, 272, 272, 328, 663, 412, 663, 663, 551, 663, 621, 663, 987, 768, 824, 987, 987, 987]",0.05,30,3190612776.0351286,4917.787043994318,-4917.787043994318,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SWT,mdp.39015056038386,,,3797.8026409135164,,,5715.091506890709,,3350.787043994318,0.3181818181818182,20.5,,,0.09090909090909091,-2.0,,,0.0,0.18181818181818182,10.0,,0.0,2662422780.0351286,,,,,,3797.8026409135164,83551.65810009737,3797.8026409135164,,3350.787043994318,,,,,,,258.11322138247056,,,,,,0.0,,,0.43043556233464153,0.7886807851405305,0.7475327033139637,0.03902838224909299,0.5610465116279059,1.0,0.03333909033426381,,0.050572701735145,0.2536994132030087,0.2536994132030087,0.25337511759050285,0.2874973058537184,0.22788988685210756,0.0,0.267787755267645,1.0,1.0,0.5789473684210527,1.0,0.28592220505508326,0.28592220505508326,1.0,0.8170731707317074,1.4706697207167148,0.45648396997566637,19,1.633373923351107,0.9515632189924719,12,0,0,0.4726491589355039,0.8018860050651299,5,0,0,0.5142947192857712,0.9617139014798852,14,5.802298395176403,0.9452613358945623,12.5,9.818517379267917,0.9136684037963377,3,rbio,48.266666666666666,26.0,42.18237049944421,15,0.7365997322623828,1.0,0.184380187416332,3,3.0
raw,bior1.1,131340548.33056009,0.6393145161290322,431.6607945518695,1.9157477233432954,992,5,True,False,1003.1062812764092,,"[4, 38, 91, 144, 178, 216, 265, 306, 367, 400, 434, 490, 529, 573, 607, 654, 699, 764, 808, 872, 918, 969]","[460.11322138247056, 3884.319350104296, 4424.922559953377, 3585.8541071928266, 767.94546276522, 3809.1941520509486, 3126.305957588791, 3812.041112059459, 4794.638314988502, 1397.4002345848207, 3861.338966177781, 3684.7689181038536, 2477.239581473309, 2965.6932592165817, 1814.434468663087, 2607.243459183097, 4906.874859021213, 3707.243997589345, 3440.9757973604897, 4518.357700303505, 3778.1386694166235, 2845.9229932292646]",22,11.914681275322511,1485802.7923513113,0.4576854828126758,6.604374678376914e-07,0.8946493979871278,22,4990.211731822607,460.11322138247056,7278.091506890709,"[3, 38, 91, 144, 178, 216, 265, 306, 367, 400, 434, 490, 529, 573, 616, 654, 699, 764, 808, 872, 918, 969]","[460.11322138247056, 5985.717761851187, 6776.3265344578085, 5417.875202562727, 767.94546276522, 5965.046162693343, 5533.051952975435, 5888.293600207207, 7006.812988756143, 3138.8177285083275, 5706.900851838838, 5705.516049245398, 4457.824427020771, 4875.993141924173, 1482.4689828310823, 4586.627611862705, 7278.091506890709, 5805.803484837029, 5411.765362162369, 6765.597614431725, 5481.955785180312, 5286.112665712394]","[0, 0, 54, 108, 177, 161, 219, 161, 54, 384, 384, 439, 495, 495, 607, 607, 54, 718, 768, 718, 906, 933]","[4, 54, 161, 161, 185, 272, 272, 328, 663, 412, 663, 663, 551, 663, 621, 663, 987, 768, 824, 987, 987, 987]",0.05,30,3190612776.0351286,4917.787043994318,-4917.787043994318,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SWT,mdp.39015056038386,,,3797.8026409135164,,,5715.091506890709,,3350.787043994318,0.3181818181818182,20.5,,,0.09090909090909091,-2.0,,,0.0,0.18181818181818182,10.0,,0.0,2662422780.0351286,,,,,,3797.8026409135164,83551.65810009737,3797.8026409135164,,3350.787043994318,,,,,,,258.11322138247056,,,,,,0.0,,,0.43043556233464153,0.7886807851405305,0.7475327033139637,0.03902838224909299,0.5610465116279059,1.0,0.03333909033426381,,0.050572701735145,0.2536994132030087,0.2536994132030087,0.25337511759050285,0.2874973058537184,0.22788988685210756,0.0,0.267787755267645,1.0,1.0,0.5789473684210527,1.0,0.28592220505508326,0.28592220505508326,1.0,0.8170731707317074,1.4706697207167148,0.45648396997566637,20,1.633373923351107,0.9515632189924719,11,0,0,0.4726491589355039,0.8018860050651299,2,0,0,0.5142947192857712,0.9617139014798852,11,7.3484692283495345,0.9306748186004761,11.0,5.46583850931677,0.9134506168474079,4,bior,37.06666666666667,23.0,31.294606259743563,15,0.5656760374832664,0.7418882791367996,0.38146029002067355,2,3.5
raw,bior4.4,140195118.76169875,0.6443548387096775,442.80851559200926,1.8446341739074168,992,5,True,False,931.2597553965683,,"[5, 48, 105, 159, 217, 269, 325, 381, 437, 493, 548, 604, 661, 703, 764, 822, 878, 926, 985]","[1228.8822286971028, 3933.289382100621, 5317.486630652809, 5000.956156079301, 5094.39012356507, 5399.39517946416, 4034.20452225711, 4616.693608222867, 5208.431789624283, 4764.269269992407, 3242.692237416912, 3086.489870507439, 3759.0127430110156, 4099.561348730026, 4315.189366667832, 4112.115130197644, 4235.8825304163975, 3855.8636744137953, 4375.808103942986]",19,11.929538032506837,1499050.0608129848,0.45651593998822576,7.352045788907277e-07,0.840242282173362,19,6230.142346505958,2064.970702522485,7903.124145606171,"[11, 48, 105, 159, 217, 269, 325, 381, 437, 493, 548, 604, 661, 703, 764, 822, 878, 926, 985]","[2064.970702522485, 6282.682675450971, 7365.76490881129, 6663.145128626009, 6896.107869642764, 7903.124145606171, 6447.849158596047, 6938.8901535514815, 7573.777791954629, 6926.185810702456, 5179.94042539039, 4697.416585774372, 5947.207252698461, 6103.647553074532, 7263.092340919243, 5940.594028322528, 6755.805632260193, 5956.921000070408, 5465.581419638772]","[5, 28, 83, 142, 142, 83, 304, 304, 413, 470, 525, 583, 583, 693, 693, 800, 855, 910, 693]","[16, 83, 247, 193, 247, 693, 359, 413, 693, 693, 583, 639, 693, 724, 855, 855, 910, 967, 991]",0.05,30,3139893409.587914,5404.213365367019,-5404.213365367019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SWT,mdp.39015056038386,,,5037.733255596867,,,6340.124145606171,,3837.213365367019,0.0,19.0,,,0.0,-12.5,,,0.0,0.0,-8.0,,3.0,2611703413.587914,,,,,,5037.733255596867,92139.7045836132,5037.733255596868,,3837.213365367019,,,,,,,1862.9707025224852,,,,,,0.0,,,0.37978537425429615,0.7807742898078578,0.7708176860824512,0.05033913806854534,0.6337209302325582,0.9690341250501114,0.0382947309167527,,0.3718200266845001,0.40296061033940445,0.40296061033940445,0.4027011743186034,0.3363705484012187,0.27406715492556033,0.75,0.26030598100839103,0.2173913043478261,0.0,0.02631578947368421,0.0,0.3566279484843635,0.3566279484843635,0.0,0.7804878048780488,1.532624018423665,0.4757140822000076,15,1.6493985127162707,0.9608987481210766,9,0,0,0.30866480635533555,0.52367381554202,21,0,0,0.5175380392017962,0.9677788011049865,10,5.5,0.9481132075471698,13.75,12.29268292682927,0.9091981132075471,5,bior,37.06666666666667,23.0,31.294606259743563,15,0.5656760374832664,0.7418882791367996,0.38146029002067355,2,4.25
raw,bior6.8,147374797.37907293,0.6413306451612903,451.8013333061874,1.482635424870162,992,5,True,False,953.6941253952082,,"[5, 48, 106, 159, 217, 269, 325, 381, 437, 493, 548, 604, 661, 703, 765, 822, 878, 930, 985]","[1190.5959171436393, 4020.418674051445, 5594.795244056805, 5155.356742256604, 5297.504715857796, 5627.108955282153, 4179.722393702706, 4693.227222379585, 5403.573914633296, 5077.833366461995, 3434.042584915773, 3063.397209536582, 4131.218466458332, 4329.1377603550345, 4466.516990831789, 4325.63867127962, 4624.072743622596, 4124.5994431091, 4855.076401896868]",19,11.93360279077059,1522145.3398646943,0.44963198058702764,8.821535063151788e-07,0.8056126513662453,19,6396.104279602332,1988.2701051288223,7935.653599633764,"[11, 48, 106, 159, 217, 269, 325, 381, 437, 493, 548, 604, 661, 703, 765, 822, 878, 930, 985]","[1988.2701051288223, 6190.692589097441, 7461.689409533804, 6919.824048834663, 7189.5067425257475, 7935.653599633764, 6425.407861205258, 6960.064801342713, 7805.79053415353, 7360.765096981426, 5401.32741196338, 4522.23684707744, 6290.794143565681, 6570.713400839794, 7280.324503623475, 6082.671201131328, 7020.6973626529325, 6357.688008792118, 5761.863644360974]","[5, 28, 83, 142, 142, 83, 304, 304, 304, 446, 502, 582, 582, 693, 693, 775, 693, 911, 693]","[16, 83, 247, 168, 247, 693, 358, 413, 693, 693, 582, 610, 693, 724, 855, 855, 911, 967, 991]",0.05,30,3261067741.5203176,5639.838264649424,-5639.838264649424,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SWT,mdp.39015056038386,,,5203.695188693241,,,6372.653599633764,,4072.8382646494238,0.0,10.0,,,0.0,-8.0,,,0.0,0.0,-8.0,,3.0,2732877745.5203176,,,,,,5203.695188693241,95292.9813124443,5203.69518869324,,4072.8382646494238,,,,,,,1786.2701051288223,,,,,,0.0,,,0.3956011015421482,0.740526806137012,0.7771883782163593,0.05951040078928464,0.5901162790697672,0.9493246293142122,0.04693439142213799,,0.3564667245849088,0.42293888696205345,0.42293888696205345,0.4226881322521996,0.3543153579319258,0.2764704235324643,0.75,0.2781807901994261,0.2173913043478261,0.0,0.2631578947368421,0.0,0.39087780903302155,0.39087780903302155,0.0,0.5609756097560976,1.5585942405331679,0.48377502880324513,14,1.6158959235701207,0.9413809689299611,18,0,0,0.31920497683324,0.5415560333296656,19,0,0,0.5084574266415604,0.9507983597244886,18,2.217355782608345,0.979081549220676,17.25,17.008880994671404,0.9081728500820361,6,bior,37.06666666666667,23.0,31.294606259743563,15,0.5656760374832664,0.7418882791367996,0.38146029002067355,2,5.0
raw,rbio6.8,142218018.1779013,0.6423387096774194,469.5724714085166,1.5585060027694015,992,5,True,False,898.5982064101365,,"[5, 48, 106, 159, 217, 269, 325, 382, 437, 493, 549, 604, 661, 703, 767, 822, 878, 930, 985]","[1374.476898192595, 3830.722268858493, 5657.1467056162655, 5229.827754047489, 5525.9366085357515, 5738.528168187625, 4360.229504502519, 4896.163879807477, 5691.90096468856, 5214.735319670622, 3598.602576783284, 3281.738253193506, 4199.637119919193, 4079.7753958157605, 4621.145737559727, 4335.429975067807, 4844.112668686754, 4239.477749188339, 4765.414334454311]",19,11.954212426349631,1490184.469501714,0.4507811556940254,1.0032298312446903e-06,0.7308112520586276,19,6401.806377273361,2031.5371399516375,8013.592807845571,"[11, 48, 106, 159, 217, 269, 325, 382, 437, 493, 549, 604, 661, 703, 767, 822, 878, 930, 985]","[2031.5371399516375, 6211.862899179669, 7515.168420709236, 6795.341806260452, 7122.811391640968, 8013.592807845571, 6402.41073082017, 6778.179795340196, 7964.530742503961, 7446.589666989365, 5504.045119348117, 4635.507996562006, 6181.885231322749, 6485.056184954476, 7199.212084902816, 6060.568408573278, 7342.359312393948, 6526.125910511015, 5417.535518384218]","[5, 5, 61, 142, 142, 61, 279, 279, 279, 446, 502, 583, 583, 693, 693, 775, 855, 911, 855]","[16, 61, 142, 168, 247, 855, 359, 413, 855, 855, 583, 639, 693, 724, 855, 855, 911, 942, 991]",0.05,30,3112010659.322004,5749.5143519801995,-5749.5143519801995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SWT,mdp.39015056038386,,,5209.39728636427,,,6450.592807845571,,4182.5143519801995,0.0,10.0,,,0.0,-3.5,,,0.0,0.0,-8.0,,3.0,2583820663.322004,,,,,,5209.39728636427,95401.32116819386,5209.39728636427,,4182.5143519801995,,,,,,,1829.5371399516375,,,,,,0.0,,,0.35675971533900047,0.7489621939752805,0.8094898423493976,0.052923173231167825,0.604651162790697,0.9067513235546315,0.03497822199138407,,0.3651275679050561,0.42362529789060677,0.42362529789060677,0.42337484145206145,0.35493190327291485,0.28222855436932076,0.75,0.2561929082744521,0.2173913043478261,0.0,0.5,0.0,0.40682005753070405,0.40682005753070405,0.0,0.5609756097560976,1.584064859898127,0.4916809027609883,12,1.6061640221118363,0.9357114040212945,21,0,0,0.3356945875137719,0.5695319384671491,16,0,0,0.5020736618902228,0.9388609334299611,20,4.112987559751022,0.9611982305683866,17.25,16.43031784841076,0.8992311907558914,7,rbio,48.266666666666666,26.0,42.18237049944421,15,0.7365997322623828,1.0,0.184380187416332,3,6.0
raw,dmey,138092782.24893636,0.6455645161290322,467.86951861999137,1.5359547878174777,992,5,True,False,865.1261186692068,,"[5, 48, 106, 159, 217, 269, 325, 382, 437, 493, 549, 604, 661, 703, 767, 822, 878, 930, 985]","[1925.7372657655555, 3711.878547633858, 5657.643747818886, 5009.111095186389, 5794.658975743006, 5730.429206262736, 4522.5670543335855, 5107.832062368594, 5738.522816344617, 5582.494192184872, 3707.4977542131137, 3232.0538535658993, 4625.103694066929, 3970.7324732622683, 4739.866546003525, 4691.472633878419, 5281.160262731578, 4330.651335029748, 4889.602339484384]",19,11.953635453819867,1485022.8728650487,0.447125701315808,1.0046014708664915e-06,0.6924333464306254,19,6339.021976794234,2105.266046460937,8146.136832588574,"[11, 48, 106, 159, 217, 269, 325, 382, 437, 493, 549, 604, 661, 703, 767, 822, 878, 930, 985]","[2105.266046460937, 6019.693660171575, 7580.119794789673, 6556.031038238981, 8146.136832588574, 6806.818913864612, 6098.850116633514, 6826.486917454375, 8039.682642951693, 7872.178681869436, 5244.713300462148, 4365.284428562967, 6801.5171257233105, 5997.192070410485, 6820.533187215531, 6302.792241685701, 7574.2891726548505, 6288.571213181427, 4995.260174170661]","[5, 5, 61, 142, 61, 227, 279, 279, 279, 446, 502, 583, 502, 693, 724, 775, 724, 911, 941]","[16, 61, 142, 168, 724, 724, 335, 391, 724, 724, 583, 622, 724, 724, 855, 855, 941, 941, 991]",0.05,30,3075636551.8414702,5798.313540607109,-5798.313540607109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SWT,mdp.39015056038386,,,5146.612885885143,,,6583.136832588574,,4231.313540607109,0.0,10.0,,,0.0,1.0,,,0.0,0.0,-3.5,,3.0,2547446555.8414702,,,,,,5146.612885885143,94208.41755909045,5146.612885885144,,4231.313540607109,,,,,,,1903.266046460937,,,,,,0.0,,,0.333162644795112,0.7464549210690918,0.8085855537992946,0.04765363060874228,0.651162790697673,0.8849084927274429,0.03304733202436175,,0.37988602107980707,0.41606739532248715,0.41606739532248715,0.4158136546916394,0.3481432735728539,0.292020876534561,0.75,0.250827248564676,0.41304347826086957,0.0,0.7368421052631579,0.0,0.41391338854304377,0.41391338854304377,0.0,0.5609756097560976,1.6265950749818114,0.5048819370597415,11,1.6035887844637982,0.9342111343090108,22,0,0,0.36296961471592026,0.615806140351761,11,0,0,0.5007107665316742,0.9363123647524548,23,6.652067347825035,0.937244647662028,16.75,14.773722627737227,0.8896128898687499,8,dmey,8.0,8.0,,1,0.12208835341365462,,,6,7.5
