signal_type,wavelet,wavelet_energy_entropy,wavelet_sparsity,wavelet_adaptive_threshold,wavelet_psnr,signal_length,scales_used,emd_value,kl_divergence,is_complex,change_point_indices,change_point_prominences,num_change_points,wavelet_entropy,avg_variance_across_levels,variance_ratio_across_levels,smoothness,correlation,relative_num_peaks,avg_prominence,prominence_min,prominence_max,relative_peaks,relative_prominences,relative_left_bases,relative_right_bases,prominence_threshold,distance_factor,max_autocorrelation,upper_envelope,lower_envelope,wavelet_type,htid,relative_left_bases_array_alignment_score,relative_left_bases_global_alignment_score,max_autocorrelation_diff,prominence_min_diff,prominence_max_diff,avg_prominence_diff,upper_envelope_diff,prominence_threshold_diff,relative_prominences_avg_diff,relative_prominences_total_diff,relative_prominences_wasserstein,distance_factor_diff,lower_envelope_diff,relative_right_bases_array_alignment_score,relative_right_bases_global_alignment_score,relative_peaks_array_alignment_score,relative_peaks_global_alignment_score,relative_num_peaks_diff,emd_value_normalized,wavelet_psnr_normalized,wavelet_entropy_normalized,wavelet_energy_entropy_normalized,wavelet_sparsity_normalized,correlation_normalized,avg_variance_across_levels_normalized,kl_divergence_normalized,prominence_min_diff_normalized,avg_prominence_diff_normalized,relative_prominences_avg_diff_normalized,relative_prominences_wasserstein_normalized,relative_prominences_total_diff_normalized,prominence_max_diff_normalized,relative_num_peaks_diff_normalized,max_autocorrelation_diff_normalized,relative_right_bases_global_alignment_score_normalized,relative_left_bases_global_alignment_score_normalized,upper_envelope_diff_normalized,lower_envelope_diff_normalized,relative_peaks_global_alignment_score_normalized,reconstruction_signal_weighted_score,reconstruction_signal_normalized_weighted_score,reconstruction_signal_normalized_weighted_rank,wavelet_signal_weighted_score,wavelet_signal_normalized_weighted_score,wavelet_signal_normalized_weighted_rank,reconstruction_signal_num_missing_metrics,reconstruction_signal_missing_metrics_count,reconstruction_signal_dynamically_weighted_score,reconstruction_signal_normalized_dynamically_weighted_score,reconstruction_signal_normalized_dynamically_weighted_rank,wavelet_signal_num_missing_metrics,wavelet_signal_missing_metrics_count,wavelet_signal_dynamically_weighted_score,wavelet_signal_normalized_dynamically_weighted_score,wavelet_signal_normalized_dynamically_weighted_rank,rank_variability,normalized_rank_stability,average_rank,harmonic_average_rank,stability_score_weighted,stability_rank,wavelet_family,normalized_family_mean_rank,normalized_family_std_dev,final_family_stability_score,final_family_stability_rank,family_informed_rank,across_emd_value_normalized,across_wavelet_psnr_normalized,across_wavelet_entropy_normalized,across_wavelet_energy_entropy_normalized,across_wavelet_sparsity_normalized,across_correlation_normalized,across_avg_variance_across_levels_normalized,across_kl_divergence_normalized,across_prominence_min_diff_normalized,across_avg_prominence_diff_normalized,across_relative_prominences_avg_diff_normalized,across_relative_prominences_wasserstein_normalized,across_relative_prominences_total_diff_normalized,across_prominence_max_diff_normalized,across_relative_num_peaks_diff_normalized,across_max_autocorrelation_diff_normalized,across_relative_right_bases_global_alignment_score_normalized,across_relative_left_bases_global_alignment_score_normalized,across_upper_envelope_diff_normalized,across_lower_envelope_diff_normalized,across_relative_peaks_global_alignment_score_normalized,across_reconstruction_signal_weighted_score,across_reconstruction_signal_normalized_weighted_score,across_reconstruction_signal_normalized_weighted_rank,across_wavelet_signal_weighted_score,across_wavelet_signal_normalized_weighted_score,across_wavelet_signal_normalized_weighted_rank,across_rank_variability,across_normalized_rank_stability,across_average_rank,across_harmonic_average_rank,across_stability_score_weighted,across_stability_rank,family_mean_stability_rank,family_median_stability_rank,family_rank_std_dev,family_wavelet_count,across_normalized_family_mean_rank,across_normalized_family_std_dev,across_final_family_stability_score,across_final_family_stability_rank,across_family_informed_rank
smoothed,morl,21.691862199829252,0.6706010287020574,527.8121253530221,-28.29142846514866,992,127,28948.78953489003,,False,"[21, 58, 91, 129, 166, 214, 276, 332, 367, 434, 501, 546, 611, 665, 699, 773, 809, 844, 886, 937, 980]","[115371.79108378805, 62071.44652642311, 64437.741505422244, 5615.200474891622, 66329.65367036175, 49146.27677486316, 44341.99668892468, 64048.05820645591, 59781.13752867243, 40865.758640934415, 52967.79434817651, 28625.625707851785, 47234.24196349434, 18437.187403167485, 82191.14678810925, 42783.05365456214, 18079.34974831759, 23581.965483893, 63178.2466954026, 36313.135876126275, 98362.10741342808]",21,15.744623198777209,327575.67927984084,0.021475005733695363,1.9469834181961879e-07,0.5298496070265749,18,76380.74549729578,17573.297651576537,162518.17567550694,"[21, 91, 150, 214, 266, 308, 367, 434, 490, 546, 593, 656, 699, 763, 809, 873, 926, 980]","[162518.17567550694, 131220.09001652012, 40764.63758158849, 116196.65604287076, 25631.48998936697, 17573.297651576537, 123336.37571194046, 94600.5424269074, 27323.836112960016, 77581.89700105456, 25046.357479457212, 31001.275620427165, 149162.85230699801, 59468.09540796422, 42807.66298047833, 101345.10216066535, 48461.39325867658, 100813.68152636479]","[0, 58, 114, 166, 248, 304, 166, 390, 469, 501, 582, 611, 166, 720, 720, 720, 886, 720]","[720, 166, 166, 332, 332, 332, 390, 501, 501, 611, 611, 665, 720, 773, 828, 886, 937, 991]",0.05,30,1420807145529.6074,119989.55783707606,-119989.55783707606,CWT,mdp.39015056038386,0.0,6.0,,17522.63098490987,161070.17567550694,75350.17406872434,118541.55783707606,0.0,75350.17406872434,1353211.418951324,75350.17406872434,0.0,118541.55783707606,0.0,-3.0,0.0,-7.5,3.0,0.0,0.9747356883610454,0.7392766219604667,0.8134017553225077,0.38500925354719306,1.0,0.0,,0.9999999999999999,1.0,1.0,1.0,1.0,0.22032258218589396,1.0,,0.8181818181818181,0.9999999999999999,0.07887290763011637,0.07887290763011637,0.4736842105263158,2.5182654780684386,1.0,1,1.915184303076992,0.867913563876053,2,0,0,0.7224945355128551,1.0,1,1,0.125,0.5526676170273161,0.9268448642653976,2,0.5773502691896257,0.9518874775675312,1.5,1.3333333333333333,0.9134437387837656,1,morl,0.1,,,4,1.75,0.0,0.9283986493830798,0.7088357212858835,0.8221481777839629,0.3333511376989638,1.0,0.0,,0.9999999999999999,1.0,1.0,1.0000000000000002,0.9905147014880926,0.22032258218589396,0.6666666666666666,,0.9090909090909091,0.9999999999999999,0.07879501462855115,0.07879501462855115,0.18333333333333335,2.3311790719308383,1.0,1,1.8558715942443569,0.856355714158695,3,1.4142135623730951,0.9410744349011211,2.0,1.5,0.9288705507838939,1,7.0,7.0,8.48528137423857,2,0.30434782608695654,1.0,0.4869565217391304,2,1.25
smoothed,gaus8,21.922846298869686,0.6684578994157988,560.7148107873431,-29.98843801077389,992,127,34381.21743055046,,False,"[22, 91, 130, 166, 214, 263, 332, 390, 434, 501, 545, 611, 656, 699, 740, 773, 828, 886, 926, 974]","[135905.1376257528, 76602.44051443653, 7387.8958702313685, 96294.80326385057, 64397.56335834343, 12690.299824687172, 75469.76966871903, 55986.10503640809, 44488.58993388715, 47655.170162832284, 25478.45805224594, 55475.28174971584, 14803.149061380494, 93276.72094975408, 2006.8485947356312, 51810.00776387759, 28959.350432133117, 60169.60430470893, 29970.58590401774, 106620.54216040243]",20,15.652658169150815,407878.0159510622,0.016396828805289584,5.206336844458715e-07,0.438213742824633,18,73464.27823978664,12690.299824687172,188321.46658486087,"[22, 91, 150, 214, 263, 309, 367, 434, 490, 545, 592, 656, 699, 763, 809, 873, 926, 974]","[188321.46658486087, 87777.72014083588, 27008.10657824909, 142516.18618480273, 12690.299824687172, 12810.43099628242, 109275.70838352112, 100858.42887894467, 21427.83625047771, 74864.82295647843, 20882.090148229905, 23263.624032105756, 162322.0539120006, 57727.04957829997, 39412.974954539735, 91338.6483467422, 40114.48918296326, 109745.07138213786]","[0, 59, 141, 166, 247, 304, 332, 390, 469, 501, 582, 611, 166, 721, 721, 721, 721, 166]","[166, 166, 166, 332, 332, 332, 390, 611, 501, 611, 611, 665, 721, 773, 828, 886, 937, 991]",0.05,30,2095008948451.9678,141309.56653136687,-141309.56653136687,CWT,mdp.39015056038386,0.0,-3.0,,12639.633158020506,186873.46658486087,72433.7068112152,139861.56653136687,0.0,72433.7068112152,1300715.0083161595,72433.7068112152,0.0,139861.56653136687,0.0,-3.0,0.0,-7.5,3.0,0.0857371201474808,0.8442653175581152,0.6891742587316461,0.8342124219903301,0.3683528685996297,0.8214430433887993,0.039005946308528605,,0.7211378881663546,0.9312087991146217,0.9312087991146217,0.9312087991146216,0.9312087991146216,0.35722250254056676,1.0,,0.8181818181818181,0.49999999999999994,0.12405570763062199,0.12405570763062199,0.4736842105263158,2.3748222434563533,0.9430388750267469,2,1.7854944102588843,0.8091413522964022,3,0,0,0.6535977525945653,0.9046404096753698,2,1,0.125,0.5197772823892186,0.8716865072274742,3,0.5773502691896257,0.9518874775675312,2.5,2.4000000000000004,0.871777072117099,2,gaus,0.675,1.0,0.22749999999999995,1,1.75,0.08537858579200436,0.8041305862719201,0.6607964032248729,0.8419677450055959,0.3189296015382971,0.8214430433887993,0.03888715249757593,,0.7211378881663546,0.9319466679573802,0.9319466679573802,0.9319466679573802,0.9223760056781045,0.35722250254056676,0.6666666666666666,,0.9090909090909091,0.5263157894736842,0.12393319317389676,0.12393319317389676,0.18333333333333335,2.191339902180236,0.9400135444615252,3,1.7311779205858566,0.7988182528989498,5,1.4142135623730951,0.9410744349011211,4.0,3.75,0.8872038841172272,2,11.875,10.5,6.927000312785712,16,0.5163043478260869,0.8163548157420188,0.3936805117991335,3,2.25
raw,gaus8,21.945894203865425,0.6700612776225553,573.8556607134656,-29.334186643880926,992,127,34530.37587499544,,False,"[21, 58, 91, 129, 166, 215, 262, 295, 331, 390, 435, 500, 546, 611, 644, 699, 740, 774, 828, 886, 926, 974]","[136206.66469654342, 508.61372139912964, 75618.97428495358, 8959.376175999685, 97935.02406913777, 67639.44927484897, 14372.79761932895, 4970.405684806241, 74530.08096799845, 55873.07092737253, 44135.278243959736, 48764.93250449758, 27222.08139506319, 55686.87266556578, 620.7769763476244, 93811.38084910126, 2238.621626627504, 52852.98304770739, 29748.12871514928, 62541.32917042696, 30876.093032439618, 108873.38908727319]",22,15.673810060031416,418052.1684982604,0.016429394346494097,1.99351950851805e-07,0.374910679127753,19,72139.58720822065,508.11655660241377,188536.9445654062,"[21, 91, 150, 215, 262, 295, 332, 368, 435, 490, 546, 592, 656, 699, 763, 809, 873, 926, 974]","[188536.9445654062, 88730.03423965488, 28819.913202845528, 144217.31877875092, 14372.79761932895, 40121.324247348006, 508.11655660241377, 110985.35738725145, 101412.20294090925, 23974.930927853216, 76963.25872084222, 21862.20980250438, 24363.855086428834, 160487.58225482388, 59914.11856056687, 40081.31264086577, 94106.8835195934, 41396.093117466145, 109797.90278714985]","[0, 60, 141, 166, 248, 277, 331, 331, 390, 469, 500, 582, 611, 166, 723, 723, 723, 723, 166]","[166, 166, 166, 331, 331, 331, 333, 390, 611, 500, 611, 611, 665, 723, 774, 828, 886, 937, 991]",0.05,30,2110715632702.729,141796.3911625049,-141796.3911625049,CWT,mdp.39015056038386,0.0,-8.0,,306.11655660241377,186973.9445654062,70947.17811731156,140229.3911625049,0.0,70947.17811731156,1344419.1569561923,70947.17811731156,0.0,140229.3911625049,0.0,-12.5,0.0,1.0,3.0,0.08576977834886484,0.8442046289392977,0.6693617707425596,0.8439453681592177,0.30298822483892507,0.798445146167966,0.03562622923769795,,0.12032415551672482,0.9502112139159515,0.9502112139159515,0.9502112139159518,0.9784383701679022,0.3552728247533261,0.6666666666666666,,0.1,0.4761904761904761,0.12098317086753868,0.12098317086753868,0.4666666666666666,2.024155252606051,0.8061189984936152,3,1.7437311204169623,0.7938317233699672,3,0,0,0.5213465952870577,0.8800931378477354,2,1,0.125,0.5052273066335042,0.851715957751275,3,0.5,0.9583333333333334,2.75,2.666666666666667,0.8645833333333334,1,gaus,0.5208333333333334,1.0,0.33541666666666664,1,1.0,0.08772282989247757,0.852039892593272,0.6718454119375645,0.8439453681592177,0.3297190471103518,0.6980939322485308,0.04381408038083747,,0.016785642325246722,0.8972597601799526,0.8972597601799526,0.8972597601799526,0.9791026209606919,0.35775559064868345,0.6666666666666666,,0.045454545454545525,0.2631578947368421,0.12471194209992933,0.12471194209992933,0.4666666666666667,1.9217446035233297,0.8243659299547557,7,1.7240869984679854,0.7955462853268799,6,0.7071067811865476,0.9705372174505605,6.5,6.461538461538462,0.8498519420586137,3,11.875,10.5,6.927000312785712,16,0.5163043478260869,0.8163548157420188,0.3936805117991335,3,3.0
smoothed,gaus6,22.024904016190103,0.6681721488442977,572.5916139733243,-31.090572778628577,992,127,38875.012825801474,,False,"[23, 90, 130, 165, 214, 263, 333, 390, 434, 501, 545, 610, 657, 699, 774, 828, 886, 926, 974]","[154179.16055313346, 63566.22873007714, 3160.2732540800935, 111684.35905502307, 61382.307205687095, 11110.485106487497, 78248.97199810117, 52085.02731876068, 48232.286991004396, 40555.28941247761, 20122.28391554892, 56129.563198585354, 19943.7155904008, 96578.74554726236, 60953.03864302541, 32500.29638586098, 41406.472261671435, 37821.632498072155, 106563.95823847884]",19,15.59198505673994,446129.74112148245,0.013505235709949073,5.943557373666974e-07,0.37431787361470503,18,69416.01914467238,10057.21964328932,200306.11977031565,"[23, 90, 150, 214, 263, 309, 368, 434, 490, 545, 593, 657, 699, 739, 809, 873, 926, 974]","[200306.11977031565, 63566.22873007714, 21891.25885644043, 139668.16862567252, 11110.485106487497, 10057.21964328932, 96682.9680741516, 105394.97596791218, 17664.81489315607, 61076.002870065364, 19883.628374961994, 19943.7155904008, 157959.2741538025, 60319.05082720569, 32500.29638586098, 78356.41606874438, 37821.632498072155, 115286.08816748657]","[0, 59, 141, 165, 248, 304, 333, 333, 469, 501, 582, 610, 165, 722, 774, 774, 774, 165]","[165, 165, 165, 333, 333, 333, 390, 610, 501, 610, 610, 665, 774, 774, 828, 886, 937, 991]",0.05,30,2697121579976.872,155845.49467185067,-155845.49467185067,CWT,mdp.39015056038386,0.0,-3.0,,10006.552976622654,198858.11977031565,68385.44771610094,154397.49467185067,0.0,68385.44771610094,1227846.344604103,68385.44771610096,0.0,154397.49467185067,0.0,-7.5,0.0,-3.0,3.0,0.15666030276875567,0.759530418919803,0.6561196690840148,0.8434073801924626,0.3661320172732878,0.6969388217555592,0.05758628655833758,,0.5707658572863664,0.8357218349009689,0.8357218349009689,0.8357218349009692,0.835721834900969,0.42080734031691286,1.0,,0.0,0.49999999999999994,0.1548612266813284,0.1548612266813284,0.9473684210526316,2.253062171088781,0.8946881060438973,3,1.7007427170556213,0.7707340073874057,4,0,0,0.5909626176352036,0.8179475256732773,4,1,0.125,0.4989464137931744,0.8367523388745695,4,0.5,0.9583333333333334,3.75,3.6923076923076925,0.8229166666666667,3,gaus,0.675,1.0,0.22749999999999995,1,2.5,0.1560051827858903,0.7234238199241158,0.629102889324009,0.8507247971027808,0.31700673005020813,0.6969388217555592,0.057410905748838226,,0.5707658572863663,0.8374839169407066,0.8374839169407066,0.8374839169407069,0.8277947638240143,0.42080734031691286,0.6666666666666666,,0.5,0.5263157894736842,0.15470828942904846,0.15470828942904846,0.33333333333333337,2.0471145625553304,0.8781455647076367,5,1.6493122730254737,0.7610429481316066,7,1.4142135623730951,0.9410744349011211,6.0,5.833333333333333,0.8455372174505605,4,11.875,10.5,6.927000312785712,16,0.5163043478260869,0.8163548157420188,0.3936805117991335,3,3.75
raw,gaus6,22.044620848035816,0.6683150241300483,583.2347330144204,-30.43551119462387,992,127,38989.58480690388,,False,"[23, 90, 129, 166, 215, 262, 295, 334, 390, 434, 500, 546, 611, 656, 699, 740, 774, 828, 886, 926, 974]","[155527.43704489522, 65116.87393685346, 3840.345881617992, 112660.9097401145, 63589.48372890865, 12755.888694756886, 5739.457244875804, 77656.3593056467, 52313.383891381156, 47931.143730371725, 41221.29447728518, 20438.63146306827, 57688.84423993367, 20446.980269844687, 97613.46874449258, 803.6067192618265, 62340.50701048531, 33304.70769441555, 42426.03677410739, 39249.22362593304, 109185.46472120385]",21,15.611771803514186,455766.2483564219,0.01357108356813476,2.3592234717068045e-07,0.3198213538156455,19,68082.37257665128,346.4799278779392,200454.4672282729,"[23, 90, 150, 215, 262, 295, 332, 368, 434, 490, 546, 594, 656, 699, 740, 809, 873, 926, 974]","[200454.4672282729, 65116.87393685346, 23920.09059561872, 142538.11360631176, 12755.888694756886, 31296.509393850945, 346.4799278779392, 98149.22731082927, 106322.21963715943, 20516.815251506505, 62611.200072499036, 20519.887325211817, 21065.978599303937, 160332.97020225564, 59242.60813667748, 33304.70769441555, 80822.9274791707, 39249.22362593304, 114998.8902378695]","[0, 60, 141, 166, 247, 277, 331, 334, 334, 469, 500, 582, 611, 166, 723, 774, 774, 774, 166]","[166, 166, 166, 334, 334, 334, 334, 390, 611, 500, 611, 611, 665, 774, 774, 828, 886, 937, 991]",0.05,30,2716689838925.5576,156540.13386370416,-156540.13386370416,CWT,mdp.39015056038386,0.0,-8.0,,144.4799278779392,198891.4672282729,66889.96348574219,154973.13386370416,0.0,66889.96348574219,1267332.0789563744,66889.9634857422,0.0,154973.13386370416,0.0,-12.5,0.0,1.0,3.0,0.15600283571719442,0.759286488218697,0.636709883461058,0.8524165978621714,0.2907687180626529,0.6743263425481821,0.05404601278500791,,0.04216256939088353,0.8499524762333889,0.8499524762333889,0.8499524762333894,0.8752013272277895,0.4188823928533985,0.6666666666666666,,0.1,0.4761904761904761,0.15233122460583604,0.15233122460583604,0.4666666666666666,1.9031993969292913,0.7579483786191995,4,1.6545924136663284,0.75325142267435,4,0,0,0.4916908314089766,0.8300307906056648,6,1,0.125,0.48282955409356626,0.8139576596435529,4,1.0,0.9166666666666666,4.5,4.363636363636364,0.7708333333333333,3,gaus,0.5208333333333334,1.0,0.33541666666666664,1,2.5,0.15780584979993856,0.77139245656063,0.6394387944560166,0.8524165978621714,0.31796816579425297,0.5907496914847072,0.062077473895209255,,0.0075547695635253195,0.8025880391861843,0.8025880391861843,0.8025880391861846,0.8790460095627315,0.42098426597939587,0.6666666666666666,,0.045454545454545525,0.2631578947368421,0.1559270180417877,0.1559270180417877,0.4666666666666667,1.8278428551435413,0.7840851340646258,10,1.6444230575051213,0.7587869150840659,8,1.4142135623730951,0.9410744349011211,9.0,8.88888888888889,0.7830372174505605,5,11.875,10.5,6.927000312785712,16,0.5163043478260869,0.8163548157420188,0.3936805117991335,3,4.5
smoothed,fbsp,17.88550792547898,0.7060261620523242,854.7690299707356,-35.87891344592475,992,127,69100.85202383294,-2638585.9440339305,True,"[6, 45, 93, 137, 175, 214, 269, 336, 370, 435, 492, 547, 611, 654, 701, 767, 807, 841, 876, 928, 987]","[11819.494411705935, 771.7811319581524, 62457.92258823945, 4457.711800787802, 2736.5224536585592, 75157.95775693066, 29509.960632292517, 24019.72452035184, 625.2649957032409, 41215.233332662465, 26955.336744852502, 23927.00689196596, 2268.0789818767225, 18871.167287781493, 118719.6768832243, 30892.081077768977, 100.14988856566924, 1033.3092723794543, 64230.65584229084, 37344.01291506569, 6252.529720390681]",21,15.603339891163369,748472.2338697431,0.014312598807750355,1.7868019055471381e-07,0.21567666855227494,19,61006.20496018836,993.3569346328441,212637.22657502544,"[37, 79, 118, 152, 215, 264, 309, 366, 435, 491, 546, 591, 659, 700, 739, 821, 872, 925, 958]","[212637.22657502544, 69062.27258840168, 1573.2501791518926, 4685.5829051183755, 137343.6288527671, 8542.358398652214, 12344.0465912289, 86833.21485756495, 96343.87244190607, 17054.57374188325, 50271.61782123387, 21413.583115642126, 19482.32137828998, 137822.0512972541, 51412.98876639674, 30171.11446729494, 66236.68505979775, 993.3569346328441, 134894.14827133657]","[0, 58, 116, 150, 164, 247, 303, 332, 332, 470, 501, 581, 611, 332, 722, 722, 722, 722, 332]","[332, 332, 164, 164, 332, 332, 332, 389, 611, 611, 611, 611, 665, 722, 774, 827, 887, 926, 991]",0.05,30,8141317956530.576,286551.27206164633,-286551.27206164633,CWT,mdp.39015056038386,0.0,-2.5,,942.6902679661774,211189.22657502544,59975.633531616935,285103.27206164633,0.0,59975.633531616935,1137475.894243579,59975.633531616935,0.0,285103.27206164633,0.0,-7.0,0.0,-7.0,2.0,0.6336986467015304,0.3913907204700163,0.6623057600470352,0.4704657248675354,0.6603331276989517,0.38781868614297166,0.2044457121714377,0.0,0.05313959860004696,0.6373581414687853,0.6373581414687853,0.6373581414687852,0.7173005613389115,0.48623029529502276,0.5,,0.0909090909090909,0.5277777777777777,0.4318617234163602,0.4318617234163602,0.5263157894736843,1.7312061693488556,0.6874597553061508,8,1.4923687791550986,0.6763041570740076,6,0,0,0.47312258205280083,0.6548458968163126,8,0,0.0,0.42630729726243477,0.7149337447918911,9,1.2583057392117916,0.8951411883990174,7.75,7.578947368421054,0.624653927532842,6,fbsp,0.6,,,2,5.0,0.6310486540790744,0.3727847667878161,0.6350342580694246,0.49554433482146704,0.571733789125094,0.3878186861429717,0.20382306645763615,0.0,0.05313959860004696,0.6412479140711865,0.6412479140711865,0.6412479140711865,0.7104967513918531,0.48623029529502276,0.3333333333333333,,0.5454545454545454,0.5526315789473684,0.4314352270830973,0.4314352270830973,0.2,1.6471445621942835,0.7065714436214496,11,1.4436249694321384,0.6661325576130398,12,0.7071067811865476,0.9705372174505605,11.5,11.478260869565217,0.745685275391947,6,11.5,11.5,7.7781745930520225,2,0.5,0.9166666666666667,0.37499999999999994,4,5.5
raw,gaus2,22.690665038914737,0.6578136906273813,589.3464680301851,-34.96903993080457,992,127,61046.476536201175,,False,"[38, 79, 121, 166, 215, 251, 289, 333, 390, 434, 501, 535, 568, 609, 658, 700, 740, 774, 820, 874, 919, 953]","[52420.96860451432, 228705.73308484507, 643.1877326420799, 32317.88473682488, 73982.87217185885, 5385.067134745776, 3642.3654723998934, 76441.89437428198, 51953.36780466612, 40487.27615053163, 33417.6951156409, 4130.217660631435, 14049.188657711207, 56733.242651961424, 13631.12483803673, 98943.64826453826, 22914.9798595235, 19070.4795323743, 16549.965269879154, 50947.1255328634, 174980.27239516185, 34996.057558782035]",22,15.204293969524004,648059.8301158923,0.01528022985141485,2.8872176409512175e-07,0.18665678281802922,20,57860.537115075604,554.7142611373056,263246.7744901154,"[38, 79, 121, 156, 215, 251, 289, 323, 369, 434, 490, 543, 593, 658, 700, 740, 820, 874, 919, 953]","[52420.96860451432, 263246.7744901154, 643.1877326420799, 597.7695594622164, 111111.2473970105, 5385.067134745776, 16289.630015735698, 554.7142611373056, 68403.51922618087, 98257.76657544564, 11881.934427003835, 33988.53801486751, 18024.980304347533, 13631.12483803673, 120747.62718747041, 43792.669330897625, 16549.965269879154, 50947.1255328634, 195740.074840374, 34996.057558782035]","[0, 0, 119, 155, 166, 247, 277, 322, 333, 333, 469, 501, 582, 609, 333, 723, 774, 333, 333, 940]","[57, 333, 166, 166, 333, 333, 333, 333, 390, 609, 609, 609, 609, 665, 774, 774, 826, 886, 991, 991]",0.05,30,7716086042889.723,233235.1179104344,-233235.1179104344,CWT,mdp.39015056038386,0.0,-3.0,,352.7142611373056,261683.7744901154,56668.128024166515,231668.1179104344,0.0,56668.128024166515,1130977.742301512,56669.67744963991,0.0,231668.1179104344,0.0,-12.0,0.0,-7.5,2.0,0.5034014361967158,0.4097266505485244,0.4222467271429454,0.907850354222296,0.2172850477671629,0.3743003911841828,0.14796335524351387,,0.14285710813403568,0.5973584152236023,0.5973584152236023,0.5973967034228234,0.6925920122354394,0.7540352310668441,0.33333333333333337,,0.2,0.9523809523809523,0.31539962115071024,0.31539962115071024,0.1833333333333333,1.71520275795074,0.6830787943131333,7,1.3577244795486938,0.6181026138961183,7,0,0,0.47345372888794884,0.799244459730818,7,1,0.125,0.41986056604362026,0.7078040704344623,9,1.0,0.9166666666666666,7.5,7.411764705882353,0.6458333333333333,5,gaus,0.5208333333333334,1.0,0.33541666666666664,1,4.0,0.5044623096710583,0.43941268864695304,0.42658661195372294,0.907850354222296,0.24730263860698654,0.33127202154784574,0.1551974271638354,,0.019446780985117477,0.564070030468421,0.564070030468421,0.5641061850201117,0.7020623538178029,0.7541302159758809,0.3333333333333333,,0.09090909090909094,0.5263157894736842,0.3183036818168255,0.3183036818168255,0.18333333333333335,1.6006481537444706,0.6866259966973308,13,1.3757136241049661,0.6347961931751718,14,0.7071067811865476,0.9705372174505605,13.5,13.481481481481481,0.7040186087252802,7,11.875,10.5,6.927000312785712,16,0.5163043478260869,0.8163548157420188,0.3936805117991335,3,6.0
smoothed,gaus4,22.172814516749327,0.6719742189484379,563.3803936205744,-32.52190858092324,992,127,45215.64510277372,,False,"[34, 79, 120, 165, 215, 263, 333, 390, 434, 501, 567, 610, 657, 699, 774, 827, 873, 920, 956]","[179252.76279055708, 50971.057720977275, 423.8364340672633, 108432.33562026646, 47042.21054041087, 10218.866432131374, 81595.03292985534, 52393.161425625876, 49359.44515527473, 33302.481948342225, 14464.905147807905, 58130.08477958247, 16709.50577186645, 90890.32997418928, 67045.70869112753, 24116.54444006199, 62477.42945920518, 635.3390936696087, 129074.1431477786]",19,15.417045840720327,497481.2681322032,0.012241608838177872,7.174706383615241e-07,0.30068442291344466,19,60353.52938763278,423.8364340672633,224320.4341081704,"[34, 79, 121, 157, 215, 263, 308, 368, 434, 490, 543, 593, 657, 699, 739, 820, 873, 920, 956]","[224320.4341081704, 50971.057720977275, 423.8364340672633, 1427.3194501032558, 129362.50386131139, 10218.866432131374, 7793.195457761358, 82422.72485787002, 108654.3058248582, 13151.05846317291, 45079.8526746336, 18596.91042720196, 16709.50577186645, 161172.14538808813, 49339.72808704123, 24116.54444006199, 62591.90002752737, 635.3390936696087, 139729.82984450902]","[0, 59, 120, 154, 165, 247, 304, 333, 165, 469, 501, 582, 610, 165, 722, 774, 774, 165, 165]","[165, 165, 165, 165, 333, 333, 333, 390, 610, 610, 610, 610, 665, 774, 774, 827, 886, 922, 991]",0.05,30,3747657443860.5234,185130.45761366605,-185130.45761366605,CWT,mdp.39015056038386,0.0,-2.5,,373.1697674005967,222872.4341081704,59322.95795906135,183682.45761366605,0.0,59322.95795906135,1125075.0583650228,59322.95795906135,0.0,183682.45761366605,0.0,-7.0,0.0,-2.5,2.0,0.25673112962244093,0.6494857150757296,0.5608131359421578,0.8567334755236825,0.3956816779765577,0.5534604470329326,0.0825297064944472,,0.020614970256838214,0.621963373600554,0.621963373600554,0.6219633736005539,0.7010505285891117,0.5482158066157841,0.5,,0.0909090909090909,0.5277777777777777,0.2169238947878659,0.2169238947878659,1.0,1.739222939703831,0.690643204559136,7,1.5881528062666654,0.7197110794256778,5,0,0,0.47402550704383284,0.6560956294393989,7,1,0.125,0.4730978982382783,0.7934033834575642,5,1.1547005383792515,0.9037749551350623,6.0,5.833333333333333,0.7018874775675312,4,gaus,0.675,1.0,0.22749999999999995,1,3.25,0.2556575347789053,0.6186104272880226,0.53772075555152,0.8634162426213131,0.3425916034611687,0.5534604470329326,0.08227835973121952,,0.020614970256838186,0.6260182737106199,0.6260182737106199,0.6260182737106198,0.6944008550535135,0.5482158066157841,0.3333333333333333,,0.5454545454545454,0.5526315789473684,0.21670966592545998,0.21670966592545998,0.35000000000000003,1.5907350803949667,0.6823736106542058,14,1.5397641799830302,0.7104941193532439,10,2.8284271247461903,0.882148869802242,12.0,11.666666666666666,0.6910744349011211,8,11.875,10.5,6.927000312785712,16,0.5163043478260869,0.8163548157420188,0.3936805117991335,3,6.75
