signal_type,wavelet,wavelet_energy_entropy,wavelet_sparsity,wavelet_adaptive_threshold,wavelet_psnr,signal_length,scales_used,emd_value,kl_divergence,is_complex,wavelet_entropy,avg_variance_across_levels,variance_ratio_across_levels,smoothness,correlation,relative_num_peaks,avg_prominence,prominence_min,prominence_max,relative_peaks,relative_prominences,relative_left_bases,relative_right_bases,prominence_threshold,distance_factor,max_autocorrelation,upper_envelope,lower_envelope,fft_frequency_max,fft_amplitude_max,fft_spectral_centroid,fft_spectral_bandwidth,fft_spectral_magnitude,fft_variance_magnitude,fft_num_peaks,fft_peak_amplitude,fft_dominant_frequency,fft_positive_frequencies,fft_positive_amplitudes,fft_snr_threshold,fft_stationarity_threshold,fft_dynamic_cutoff,fft_dynamic_cutoff_percentile,stft_frequency_max,stft_amplitude_max,stft_spectral_centroid,stft_spectral_bandwidth,stft_spectral_magnitude,stft_variance_magnitude,stft_peak_freq_over_time,stft_num_peaks,stft_peak_amplitude,stft_dominant_frequency,stft_positive_frequencies,stft_positive_amplitudes,stft_snr_threshold,stft_stationarity_threshold,stft_window,stft_nperseg,stft_noverlap,stft_dynamic_cutoff,stft_dynamic_cutoff_percentile,wavelet_type,htid,fft_frequency_max_diff,fft_snr_threshold_diff,lower_envelope_diff,relative_peaks_array_alignment_score,relative_peaks_global_alignment_score,stft_dynamic_cutoff_percentile_diff,prominence_threshold_diff,prominence_min_diff,stft_window_diff,fft_peak_amplitude_diff,avg_prominence_diff,stft_spectral_bandwidth_diff,stft_num_peaks_diff,stft_variance_magnitude_diff,stft_noverlap_diff,fft_spectral_centroid_diff,stft_dominant_frequency_diff,stft_nperseg_diff,fft_variance_magnitude_diff,stft_snr_threshold_diff,stft_dynamic_cutoff_diff,distance_factor_diff,fft_stationarity_threshold_diff,fft_amplitude_max_diff,fft_spectral_magnitude_diff,relative_left_bases_array_alignment_score,relative_left_bases_global_alignment_score,relative_prominences_avg_diff,relative_prominences_total_diff,relative_prominences_wasserstein,max_autocorrelation_diff,stft_spectral_centroid_diff,stft_amplitude_max_diff,fft_dynamic_cutoff_diff,fft_num_peaks_diff,stft_peak_amplitude_diff,prominence_max_diff,upper_envelope_diff,relative_right_bases_array_alignment_score,relative_right_bases_global_alignment_score,stft_stationarity_threshold_diff,fft_dominant_frequency_diff,fft_dynamic_cutoff_percentile_diff,stft_frequency_max_diff,stft_spectral_magnitude_diff,relative_num_peaks_diff,fft_spectral_bandwidth_diff,emd_value_normalized,wavelet_psnr_normalized,wavelet_entropy_normalized,wavelet_energy_entropy_normalized,wavelet_sparsity_normalized,correlation_normalized,avg_variance_across_levels_normalized,kl_divergence_normalized,prominence_min_diff_normalized,avg_prominence_diff_normalized,relative_prominences_avg_diff_normalized,relative_prominences_wasserstein_normalized,relative_prominences_total_diff_normalized,prominence_max_diff_normalized,relative_num_peaks_diff_normalized,max_autocorrelation_diff_normalized,relative_right_bases_global_alignment_score_normalized,relative_right_bases_array_alignment_score_normalized,relative_left_bases_global_alignment_score_normalized,upper_envelope_diff_normalized,lower_envelope_diff_normalized,relative_peaks_array_alignment_score_normalized,relative_peaks_global_alignment_score_normalized,reconstruction_signal_weighted_score,reconstruction_signal_normalized_weighted_score,reconstruction_signal_normalized_weighted_rank,wavelet_signal_weighted_score,wavelet_signal_normalized_weighted_score,wavelet_signal_normalized_weighted_rank,reconstruction_signal_num_missing_metrics,reconstruction_signal_missing_metrics_count,reconstruction_signal_dynamically_weighted_score,reconstruction_signal_normalized_dynamically_weighted_score,reconstruction_signal_normalized_dynamically_weighted_rank,wavelet_signal_num_missing_metrics,wavelet_signal_missing_metrics_count,wavelet_signal_dynamically_weighted_score,wavelet_signal_normalized_dynamically_weighted_score,wavelet_signal_normalized_dynamically_weighted_rank,rank_variability,normalized_rank_stability,average_rank,harmonic_average_rank,stability_score_weighted,stability_rank,wavelet_family,family_mean_stability_rank,family_median_stability_rank,family_rank_std_dev,family_wavelet_count,normalized_family_mean_rank,normalized_family_std_dev,final_family_stability_score,final_family_stability_rank,family_informed_rank,top_wavelet_rank
raw,mexh,22.370198583666728,0.6979142472244159,1834.2813150881677,-44.492682513543976,209,103,137567.44673704877,-462239.2192239804,False,13.406877548232352,561804.6823995536,0.018851792910096397,2.740490806061473e-07,0.286982435339191,14,17281.025733441817,200.22246837173589,179070.9462046592,"[19, 31, 37, 43, 51, 64, 71, 80, 88, 121, 139, 146, 157, 163]","[455.36128757111146, 417.0394247547665, 247.94288850107114, 1087.2172698768845, 1408.2054677389679, 831.6009384689387, 1313.4949132876936, 4356.012063279719, 179070.9462046592, 482.7127355011471, 200.22246837173589, 1043.5491156710486, 1552.203435897798, 49467.85205460536]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 120, 120, 120, 120, 120]","[20, 32, 38, 44, 54, 65, 72, 83, 208, 122, 140, 147, 158, 208]",0.05,30,4373128001293.786,198365.309661928,-198365.309661928,0.492822966507177,28833749.368043195,0.013383364639504323,0.048901895787974874,44852353.2140211,8205198867010.553,14.0,464143.41297034646,0.03349282296650718,"[0.0, 0.004784688995215311, 0.009569377990430622, 0.014354066985645932, 0.019138755980861243, 0.023923444976076555, 0.028708133971291863, 0.03349282296650718, 0.03827751196172249, 0.043062200956937795, 0.04784688995215311, 0.05263157894736842, 0.057416267942583726, 0.06220095693779904, 0.06698564593301436, 0.07177033492822966, 0.07655502392344497, 0.08133971291866028, 0.08612440191387559, 0.09090909090909091, 0.09569377990430622, 0.10047846889952153, 0.10526315789473684, 0.11004784688995214, 0.11483253588516745, 0.11961722488038277, 0.12440191387559808, 0.1291866028708134, 0.1339712918660287, 0.13875598086124402, 0.14354066985645933, 0.14832535885167464, 0.15311004784688995, 0.15789473684210525, 0.16267942583732056, 0.16746411483253587, 0.17224880382775118, 0.1770334928229665, 0.18181818181818182, 0.18660287081339713, 0.19138755980861244, 0.19617224880382775, 0.20095693779904306, 0.20574162679425836, 0.21052631578947367, 0.21531100478468898, 0.2200956937799043, 0.2248803827751196, 0.2296650717703349, 0.23444976076555024, 0.23923444976076555, 0.24401913875598086]","[28833749.368043195, 4484729.64750901, 3703998.612951068, 2312875.872603614, 973762.9856743668, 706982.2402723405, 393204.8341542437, 464143.41297034646, 346407.69813650276, 151631.64314848045, 168689.97245269988, 153554.17825437387, 138665.98990263627, 66162.85271308, 143427.0120106171, 81579.5057352091, 45749.71278294955, 64147.70101396586, 63771.51399738178, 48490.76869346378, 68793.57932771392, 17780.101706382688, 53008.605928936486, 39658.987412592396, 17414.363517075373, 65054.66454903218, 41021.312144369396, 40332.66058608163, 26650.331366554936, 16680.915921591877, 36750.84740227538, 18338.695864193174, 19595.150499626165, 26122.961834847723, 23171.43454769234, 20929.259521614957, 35540.82085468591, 16746.455990727707, 20797.1118116125, 19776.999463950233, 13667.07380581441, 7425.223462840865, 16172.253460260039, 22072.364961020634, 7361.975106102176, 16106.662610868478, 16871.54308132552, 20638.61888208634, 4876.484172351505, 24687.67098397892, 36643.30446074213, 10662.541731962543]",3.0,0.7,96815.51559787596,15.0,0.5,111637542929.72855,0.016691283340407963,0.013607202769731633,129669565327.3008,2.140474256859905e+19,"[0.015625, 0.015625, 0.015625, 0.015625, 0.015625]",2.0,111637542929.72855,0.015625,"[0.0, 0.015625, 0.03125, 0.046875, 0.0625, 0.078125, 0.09375, 0.109375, 0.125, 0.140625, 0.15625, 0.171875, 0.1875, 0.203125, 0.21875, 0.234375]","[8701595889.695868, 111637542929.72855, 6150635284.969272, 1461346062.9564428, 1214830462.838704, 119481041.26920593, 66643604.30177382, 77535608.08526252, 37586455.78201609, 16400667.153051268, 8640406.729799643, 7090745.820633983, 3794260.5463215224, 9332022.722048441, 12509166.181158721, 23097667.854077373]",3.0,0.7,tukey,64.0,32.0,96815.51559787596,15.0,CWT,mdp.39015067403975,0.0,0.0,197505.309661928,0.0,-13.5,0.0,0.0,192.22246837173589,,450962.32809496904,16774.945733441815,0.12103323760280695,0.0,2.1404742552284344e+19,16.0,0.1491697802035817,0.015625,32.0,8205135282058.476,0.0,96727.31559787596,0.0,0.0,28751596.368043195,44463769.654763624,0.0,-9.0,16774.945733441815,229282.36026818544,16778.10262996748,,0.17709402243018046,111634100474.19724,96727.31559787596,3.0,111634100474.19724,178211.9462046592,197505.309661928,0.0,-9.0,0.39999999999999997,0.019138755980861247,0.0,0.0,129648883324.39455,11.0,0.10269458074708146,1.0,0.0,0.23997946314520674,0.9999999999999998,0.5403529071449232,0.5546177350521426,0.1430446723227971,0.0,0.12605263937759456,0.38220652978113634,0.38220652978113634,0.38237700314962053,0.6074722177643983,0.9999999999999998,0.5238095238095238,,0.3333333333333333,0.0,0.5833333333333334,0.6992286863750209,0.6992286863750209,0.0,0.3958333333333333,1.8456375369161968,0.7693589614167856,4,1.4151958573805485,0.6787200800136953,10,0,0,0.4367915583152467,0.7609296911182317,5,0,0.0,0.4347493472081337,0.7670448409356508,8,2.753785273643051,0.8033010518826392,6.75,5.925925925925926,0.6605790973698911,6,mexh,6.0,6.0,,1,0.42857142857142855,,,5,5.75,6
raw,cgau8,13.88233380733039,0.708273331165513,912.7726622916734,-34.77234182047956,209,103,43203.81525436513,-351814.42145295884,True,13.791245292073913,496335.8786267608,0.02081554450342253,1.2924876179539609e-06,0.3135276738743164,9,19708.509986119647,12.28103144445231,74079.70903182181,"[17, 24, 31, 71, 80, 88, 119, 167, 179]","[58045.13240924681, 56.80181410302612, 59.773727909599984, 12.28103144445231, 1928.3869762925533, 39500.33140746977, 134.67179214472708, 74079.70903182181, 3559.501684644063]","[0, 23, 30, 56, 56, 56, 118, 120, 175]","[120, 120, 56, 72, 82, 120, 120, 208, 208]",0.05,30,470694848099.87866,73126.75160835497,-73126.75160835497,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CWT,mdp.39015067403975,,,72266.75160835497,0.0,-11.5,,0.0,4.28103144445231,,,19202.429986119645,,,,,,,,,,,0.0,,,,0.0,-11.5,19202.429986119645,164724.5898750768,19405.940419641076,,,,,,,73220.70903182181,72266.75160835497,0.0,-11.5,,,,,,16.0,,0.10900362427264595,0.7664854629282027,0.9383703453942821,0.0,0.604859704946485,0.614699096860602,0.11490896189538136,0.8982706030538703,0.0,0.513291414614037,0.513291414614037,0.5242810396593991,0.4084848387289062,0.24242362127864703,0.7619047619047619,,0.24561403508771928,0.0,0.47916666666666663,0.10324449269000266,0.10324449269000266,0.0,0.47916666666666663,1.305084496016696,0.5440279753381206,11,1.8548728844383917,0.8895867423407303,2,0,0,0.31243667461434627,0.5442924383092487,11,0,0.0,0.5058247249189337,0.8924458384086194,4,4.69041575982343,0.664970302869755,7.0,4.292682926829268,0.5824851514348774,8,cgau,8.0,8.0,,1,0.5714285714285714,,,2,6.5,7
raw,morl,20.249907583824335,0.6476517861290473,543.8371358706854,-33.05462207492776,209,103,31659.460965893377,,False,13.274801991174126,371496.52438089735,0.022964675262791077,1.4858831338479982e-07,0.48376190415427145,16,15577.31634167855,98.51902183496168,90674.44542623179,"[16, 25, 31, 43, 51, 61, 67, 80, 90, 120, 135, 146, 166, 178, 186, 193]","[72013.07092370313, 366.9270163355759, 947.6716074099022, 1023.1802665834721, 1131.3024437733384, 98.51902183496168, 347.49480251455043, 3074.9993007482626, 70780.09317340108, 271.358269474862, 222.88212294453842, 317.9475036697959, 90674.44542623179, 5085.969536684279, 881.3928584995447, 1999.807193047698]","[0, 24, 29, 41, 49, 55, 55, 55, 55, 119, 121, 121, 121, 175, 185, 192]","[121, 55, 55, 55, 55, 62, 68, 83, 121, 121, 136, 147, 208, 208, 208, 208]",0.05,30,315590640662.40894,85879.33979037471,-85879.33979037471,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CWT,mdp.39015067403975,,,85019.33979037471,0.0,1.0,,0.0,90.51902183496168,,,15071.23634167855,,,,,,,,,,,0.0,,,,0.0,1.0,15071.23634167855,236585.0614668568,15091.921259600627,,,,,,,89815.44542623179,85019.33979037471,0.0,10.0,,,,,,9.0,,0.0,0.9019341324681094,0.0,0.7501973634460295,0.227364767139138,1.0,0.06125831122522396,,0.05783996590144866,0.29020570664020096,0.29020570664020096,0.29132269847263087,0.6299814426424323,0.3621648553286543,0.4285714285714286,,1.0,0.0,1.0,0.16393140176322069,0.16393140176322069,0.0,0.9999999999999999,1.4119465044157475,0.5885736903836524,10,1.4317083925496252,0.6866394002496441,8,0,0,0.4055824719802457,0.7065606906811059,7,1,0.125,0.4138577963255001,0.7301850815672326,10,1.5,0.8928571428571429,8.75,8.549618320610687,0.6339285714285714,7,morl,7.0,7.0,,1,0.5,,,6,6.75,8
raw,gaus5,20.62610679082504,0.6486737585357922,787.9858708423185,-36.568308483475846,209,103,48834.372455889075,,False,13.496809101743544,568567.946352974,0.016515355024372687,4.655688116735587e-07,0.042832215317882574,10,18504.923825557744,209.9606616381061,162626.62144134875,"[39, 52, 62, 72, 83, 99, 135, 141, 147, 205]","[900.5430508161862, 12113.950121912665, 337.3091742795914, 2894.6213665376054, 283.65955470750487, 162626.62144134875, 494.4917167578824, 209.9606616381061, 1006.2940196793352, 4181.787147899871]","[3, 3, 60, 60, 3, 3, 134, 137, 137, 3]","[42, 60, 63, 76, 84, 137, 137, 142, 149, 208]",0.05,30,701167095118.3728,109294.65617838949,-109294.65617838949,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CWT,mdp.39015067403975,,,108434.65617838949,0.0,-15.5,,0.0,201.9606616381061,,,17998.843825557742,,,,,,,,,,,0.0,,,,0.0,-20.0,17998.843825557742,172397.23825557745,18006.44592983336,,,,,,,161767.62144134875,108434.65617838949,0.0,-15.5,,,,,,15.0,,0.16216823844716516,0.6248667293304662,0.4033838538752496,0.7945193710314387,0.23372866647382085,0.0020185302906212677,0.14595123583353437,,0.1325840620593847,0.4482973974253829,0.4482973974253829,0.44870791335864085,0.43213435732596905,0.8813440784186737,0.7142857142857143,,0.10526315789473684,0.0,0.12499999999999994,0.275360011883604,0.275360011883604,0.0,0.3125,1.58148985521016,0.6592482912591078,8,1.175201494624964,0.5636201154096405,12,0,0,0.3285095787115067,0.5722928648678549,10,1,0.125,0.33184094646889944,0.5854796278240637,12,1.9148542155126762,0.8632246988919516,10.5,10.212765957446809,0.5566123494459758,9,gaus,7.25,7.0,4.267819784654187,8,0.5178571428571429,1.0,0.33749999999999997,1,7.0,9
raw,gaus1,22.143250622988543,0.6111394992335207,1351.7440136212958,-44.222490776474324,209,103,115246.17427514102,,False,13.314832945436258,2555848.526946658,0.022239988434862336,6.319582082021317e-07,0.07583159486074492,4,11212.812009771173,466.49947516430257,40482.62676676577,"[102, 110, 131, 205]","[680.1361179835731, 40482.62676676577, 466.49947516430257, 3221.985679171048]","[3, 3, 128, 3]","[103, 128, 132, 208]",0.05,30,4086555669396.2407,261568.60602683004,-261568.60602683004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CWT,mdp.39015067403975,,,260708.60602683004,0.0,-23.0,,0.0,458.49947516430257,,,10706.732009771173,,,,,,,,,,,0.0,,,,0.0,-23.0,10706.732009771173,32199.24803908469,10706.732009771173,,,,,,,39623.62676676577,260708.60602683004,0.0,-18.5,,,,,,21.0,,0.7892390049779697,0.02130563580091116,0.07273569104676747,0.9732620668850777,0.0,0.07670791984520708,0.9999999999999999,,0.30464507785488104,0.05452115088267068,0.05452115088267068,0.05452115088267068,0.0,0.0,1.0,,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.940462559150868,0.3920343422190257,12,1.203237129877943,0.5770658505019952,11,0,0,0.2477291807502067,0.43156623657359594,13,1,0.125,0.41278575979370474,0.728293646660455,11,0.9574271077563381,0.9316123494459758,11.75,11.693356047700169,0.5461633175801308,10,gaus,7.25,7.0,4.267819784654187,8,0.5178571428571429,1.0,0.33749999999999997,1,7.75,10
raw,cmor,18.4265436122515,0.7717285269661356,816.275223412706,-35.86171872032739,209,103,51009.72581315733,-383013.6524101181,True,13.82516390684484,228954.95368186946,0.013399941666553655,1.2026698959575262e-06,0.2589339515046324,12,12077.370341298381,332.9089668019333,66899.4238324889,"[16, 25, 31, 43, 51, 64, 71, 80, 88, 119, 167, 178]","[50300.13992344197, 1164.6540653819466, 2686.5478194951866, 2473.5744965562553, 1615.1112647557457, 1777.2948492703363, 1355.868193437309, 13956.502845100644, 767.4530567791226, 332.9089668019333, 66899.4238324889, 1598.9647820712053]","[0, 21, 29, 41, 49, 57, 57, 57, 86, 118, 118, 175]","[118, 118, 118, 57, 57, 66, 73, 118, 118, 120, 208, 208]",0.05,30,604973711294.7213,75034.08159483245,-75034.08159483245,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CWT,mdp.39015067403975,,,74174.08159483245,0.0,-14.5,,0.0,324.9089668019333,,,11571.290341298381,,,,,,,,,,,0.0,,,,0.0,-1.0,11571.290341298381,132276.44409558058,11571.29034129838,,,,,,,66040.4238324889,74174.08159483245,0.0,-5.5,,,,,,13.0,,0.1827082698851035,0.6805839926249109,1.0,0.5353772620871736,1.0000000000000002,0.4911339918861904,0.0,0.6444747838863478,0.21504569812157287,0.1012075626254248,0.1012075626254248,0.10120756262542469,0.30846943479059474,0.19061344543947278,0.6190476190476191,,0.45614035087719296,0.0,0.9166666666666667,0.11232107854142848,0.11232107854142848,0.0,0.35416666666666663,0.9058034700377262,0.3775866078885393,13,2.08509501789308,1.0,1,0,0,0.2563153376120656,0.44652408446330166,12,0,0.0,0.5667847875462158,1.0,1,6.652067347825035,0.5248523322982117,6.75,1.851632047477745,0.5213547375776773,11,cmor,11.0,11.0,,1,0.7857142857142857,,,3,9.0,11
raw,gaus7,20.64536499455831,0.6361778231987736,778.9088496335887,-36.15586417298428,209,103,46548.306708537275,,False,13.484456408731543,578841.0271256447,0.017594310962309425,3.982151295945678e-07,0.041940385198822705,10,20045.064811695036,414.10416874682414,168164.2431133467,"[29, 39, 52, 62, 72, 82, 100, 135, 147, 205]","[515.3978865479148, 3078.2854367883738, 17420.275254859356, 946.9750140720025, 3550.071447499995, 664.5752834263658, 168164.2431133467, 414.10416874682414, 1203.2423402819113, 4493.47817138095]","[3, 3, 3, 60, 60, 3, 3, 134, 137, 3]","[30, 42, 60, 63, 76, 84, 137, 137, 150, 208]",0.05,20,637620772502.9633,93256.54258146144,-93256.54258146144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CWT,mdp.39015067403975,,,92396.54258146144,0.0,-20.0,,0.0,406.10416874682414,,,19538.984811695034,,,,,,,,,,,10.0,,,,0.0,-20.0,19538.984811695034,187798.64811695035,19538.984811695034,,,,,,,167305.2431133467,92396.54258146144,0.0,-15.5,,,,,,15.0,,0.14058284306166985,0.6573895161587916,0.38093918126931997,0.7967882813216874,0.15591553369973912,0.0,0.15036616949904655,,0.2695034572899795,0.5314654771241604,0.5314654771241604,0.5314654771241604,0.47960635276670877,0.9213014261551801,0.7142857142857143,,0.10526315789473684,0.0,0.12499999999999994,0.19903797217914587,0.19903797217914587,0.0,0.125,1.6729796464351003,0.6973860563127315,7,1.1479849751887938,0.5505672237176007,13,0,0,0.33803089172307815,0.5888798378324425,8,1,0.125,0.31974736071575066,0.5641424536110691,13,3.2015621187164243,0.7713169915202553,10.25,9.485342019543975,0.5195870671886991,12,gaus,7.25,7.0,4.267819784654187,8,0.5178571428571429,1.0,0.33749999999999997,1,9.25,12
raw,gaus3,20.94900743308931,0.6459794676452827,840.7069355702328,-37.91670275359407,209,103,53552.35791703501,,False,13.363739630112624,777580.3810302217,0.0241165276086537,5.28180417832019e-07,0.06471240168709155,7,19753.398561194223,96.11519981142192,126371.30091093708,"[41, 53, 72, 99, 136, 147, 205]","[99.49438631536395, 5120.848714428215, 1103.0114908247797, 126371.30091093708, 1186.2465707998272, 96.11519981142192, 4296.772655242879]","[3, 3, 3, 3, 134, 137, 3]","[42, 59, 74, 137, 137, 148, 208]",0.05,20,956522356972.9487,148149.08925578932,-148149.08925578932,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CWT,mdp.39015067403975,,,147289.08925578932,0.0,-17.0,,0.0,88.11519981142192,,,19247.31856119422,,,,,,,,,,,10.0,,,,0.0,-21.5,19247.31856119422,125621.78992835956,19322.65775596989,,,,,,,125512.30091093708,147289.08925578932,0.0,-17.0,,,,,,18.0,,0.20671620550359188,0.5185407641224011,0.16159846167791542,0.8325619943263451,0.21695111368238348,0.05154121180450033,0.23577590039006116,,0.05622771840768062,0.5157154112630257,0.5157154112630257,0.5197837505981532,0.2879576949479765,0.619739632405754,0.8571428571428572,,0.05263157894736842,0.0,0.062499999999999944,0.46026016027733574,0.46026016027733574,0.0,0.25,1.524555715999245,0.6355151425035529,9,1.0719268384774265,0.5140901634116288,14,0,0,0.33270959825217955,0.5796096719602395,9,1,0.125,0.3114193787867426,0.5494490777266131,14,2.886751345948129,0.7938034752894194,11.5,10.956521739130437,0.486187451930424,13,gaus,7.25,7.0,4.267819784654187,8,0.5178571428571429,1.0,0.33749999999999997,1,10.0,13
raw,shan,14.287105441376552,0.6720397640172806,604.2220362185317,-31.810979907039453,209,103,32113.55726372922,-339308.7822313771,True,13.592024292447563,330310.9501657764,0.022476410029003125,3.255115199649637e-08,0.33940234970015354,26,10203.166730116955,100.43166574418137,84881.41879719186,"[7, 14, 23, 29, 36, 44, 52, 60, 66, 73, 80, 89, 98, 104, 118, 129, 137, 144, 152, 159, 165, 171, 179, 185, 195, 206]","[1160.7032037928984, 47473.89468297028, 100.43166574418137, 5644.067878591068, 954.2339466382418, 8600.871915870968, 3444.8815964271234, 5195.197689459179, 3753.13768970401, 317.4158049407606, 2488.8803038569204, 84881.41879719186, 1425.325287984233, 3814.6413777530433, 110.05059674084623, 373.61654393559365, 5951.503646448359, 6746.932848322999, 3840.6325648704196, 4858.038106462405, 50246.334756048615, 2822.5591666152723, 7909.826594953502, 6439.573685508649, 5598.546814143196, 1129.6178180661227]","[1, 1, 22, 28, 35, 43, 49, 54, 54, 54, 54, 54, 97, 103, 117, 121, 121, 121, 121, 121, 121, 170, 175, 183, 193, 205]","[9, 54, 54, 54, 54, 54, 54, 61, 67, 74, 82, 121, 121, 121, 121, 130, 138, 145, 154, 160, 208, 208, 208, 208, 208, 208]",0.05,30,239795667827.47528,51431.224229482425,-51431.224229482425,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CWT,mdp.39015067403975,,,50571.224229482425,0.0,-9.0,,0.0,92.43166574418137,,,9697.086730116955,,,,,,,,,,,0.0,,,,0.0,-4.5,9697.086730116955,252630.3349830408,9697.086730116953,,,,,,,84022.41879719186,50571.224229482425,0.0,4.5,,,,,,1.0,,0.004287649269593824,1.0,0.5763885404149831,0.047688275521853285,0.3792305467168061,0.6732627356055184,0.043558501191654275,1.0,0.05912277940382654,0.0,0.0,0.0,0.6794380286343468,0.3203646036729872,0.04761904761904767,,0.8070175438596492,0.0,0.7708333333333334,0.0,0.0,0.0,0.5833333333333333,0.8111375234083991,0.3381248539290006,14,1.751745416154888,0.8401273808255364,4,0,0,0.23340919070403748,0.40661954198847916,14,0,0.0,0.46555203109005117,0.8213911899533647,6,5.259911279353167,0.6242920514747738,9.5,7.148936170212766,0.4728603114516726,14,shan,14.0,14.0,,1,1.0,,,7,12.25,14
