signal_type,wavelet,wavelet_energy_entropy,wavelet_sparsity,wavelet_adaptive_threshold,wavelet_psnr,signal_length,scales_used,emd_value,kl_divergence,is_complex,change_point_indices,change_point_prominences,num_change_points,wavelet_entropy,avg_variance_across_levels,variance_ratio_across_levels,smoothness,correlation,relative_num_peaks,avg_prominence,prominence_min,prominence_max,relative_peaks,relative_prominences,relative_left_bases,relative_right_bases,prominence_threshold,distance_factor,max_autocorrelation,upper_envelope,lower_envelope,fft_frequency_max,fft_amplitude_max,fft_spectral_centroid,fft_spectral_bandwidth,fft_spectral_magnitude,fft_variance_magnitude,fft_num_peaks,fft_peak_amplitude,fft_dominant_frequency,fft_positive_frequencies,fft_positive_amplitudes,fft_snr_threshold,fft_stationarity_threshold,fft_dynamic_cutoff,fft_dynamic_cutoff_percentile,stft_frequency_max,stft_amplitude_max,stft_spectral_centroid,stft_spectral_bandwidth,stft_spectral_magnitude,stft_variance_magnitude,stft_peak_freq_over_time,stft_num_peaks,stft_peak_amplitude,stft_dominant_frequency,stft_positive_frequencies,stft_positive_amplitudes,stft_snr_threshold,stft_stationarity_threshold,stft_window,stft_nperseg,stft_noverlap,stft_dynamic_cutoff,stft_dynamic_cutoff_percentile,wavelet_type,htid,stft_amplitude_max_diff,stft_frequency_max_diff,avg_prominence_diff,fft_variance_magnitude_diff,stft_noverlap_diff,prominence_max_diff,stft_spectral_magnitude_diff,upper_envelope_diff,relative_peaks_array_alignment_score,relative_peaks_global_alignment_score,stft_num_peaks_diff,fft_peak_amplitude_diff,relative_left_bases_array_alignment_score,relative_left_bases_global_alignment_score,stft_window_diff,stft_nperseg_diff,prominence_threshold_diff,relative_right_bases_array_alignment_score,relative_right_bases_global_alignment_score,stft_dominant_frequency_diff,relative_num_peaks_diff,stft_variance_magnitude_diff,fft_amplitude_max_diff,fft_dominant_frequency_diff,relative_prominences_avg_diff,relative_prominences_total_diff,relative_prominences_wasserstein,fft_snr_threshold_diff,stft_stationarity_threshold_diff,stft_dynamic_cutoff_percentile_diff,lower_envelope_diff,fft_stationarity_threshold_diff,stft_dynamic_cutoff_diff,fft_frequency_max_diff,fft_num_peaks_diff,fft_dynamic_cutoff_percentile_diff,fft_dynamic_cutoff_diff,prominence_min_diff,fft_spectral_centroid_diff,stft_peak_amplitude_diff,fft_spectral_bandwidth_diff,stft_spectral_bandwidth_diff,fft_spectral_magnitude_diff,distance_factor_diff,stft_snr_threshold_diff,stft_spectral_centroid_diff,emd_value_normalized,smoothness_normalized,wavelet_psnr_normalized,wavelet_entropy_normalized,wavelet_energy_entropy_normalized,wavelet_sparsity_normalized,correlation_normalized,avg_variance_across_levels_normalized,kl_divergence_normalized,prominence_min_diff_normalized,avg_prominence_diff_normalized,relative_prominences_avg_diff_normalized,relative_prominences_wasserstein_normalized,relative_prominences_total_diff_normalized,prominence_max_diff_normalized,relative_num_peaks_diff_normalized,relative_right_bases_global_alignment_score_normalized,relative_left_bases_global_alignment_score_normalized,upper_envelope_diff_normalized,lower_envelope_diff_normalized,relative_peaks_global_alignment_score_normalized,reconstruction_signal_weighted_score,reconstruction_signal_normalized_weighted_score,reconstruction_signal_normalized_weighted_rank,wavelet_signal_weighted_score,wavelet_signal_normalized_weighted_score,wavelet_signal_normalized_weighted_rank,reconstruction_signal_num_missing_metrics,reconstruction_signal_missing_metrics_count,reconstruction_signal_dynamically_weighted_score,reconstruction_signal_normalized_dynamically_weighted_score,reconstruction_signal_normalized_dynamically_weighted_rank,wavelet_signal_num_missing_metrics,wavelet_signal_missing_metrics_count,wavelet_signal_dynamically_weighted_score,wavelet_signal_normalized_dynamically_weighted_score,wavelet_signal_normalized_dynamically_weighted_rank,rank_variability,normalized_rank_stability,average_rank,harmonic_average_rank,stability_score_weighted,stability_rank,wavelet_family,family_mean_stability_rank,family_median_stability_rank,family_rank_std_dev,family_wavelet_count,normalized_family_mean_rank,normalized_family_std_dev,final_family_stability_score,final_family_stability_rank,family_informed_rank
raw,mexh,18.768322708502254,0.6135265700483091,639.403697834173,-32.939412517258305,69,33,18690.85956739995,,False,"[22, 36, 38, 43]","[26711.47447479717, 477.31319475596683, 5.205566424261633, 467.05249738700877]",4,9.980221113773892,126188.60663391283,0.06134051420610389,1.1130292425288601e-05,0.4383267049246232,4,6915.261433341102,5.205566424261633,26711.47447479717,"[22, 36, 38, 43]","[26711.47447479717, 477.31319475596683, 5.205566424261633, 467.05249738700877]","[0, 33, 37, 41]","[68, 68, 68, 68]",0.05,30,29531462400.347847,29467.20704371062,-29467.20704371062,0.4782608695652174,1295985.8844479548,0.02739946988976006,0.0707763854689118,2159241.4134519408,50631946941.048584,3.0,20425.737459904834,0.10144927536231885,"[0.0, 0.014492753623188406, 0.028985507246376812, 0.043478260869565216, 0.057971014492753624, 0.07246376811594203, 0.08695652173913043, 0.10144927536231885, 0.11594202898550725, 0.13043478260869565, 0.14492753623188406, 0.15942028985507248, 0.17391304347826086, 0.18840579710144928, 0.2028985507246377, 0.21739130434782608, 0.2318840579710145]","[1295985.8844479548, 376667.5951388227, 174000.49485678336, 45912.17717747238, 41917.9211094839, 31626.801232417198, 17927.236505186338, 20425.737459904834, 16202.095258740199, 17847.96506729584, 10086.892238995835, 8705.913474986726, 7950.675586291092, 7081.444436306676, 7643.074367710145, 6222.463850515613, 4129.256607761259]",3.0,0.7,8711.584685070684,15.0,0.5,3179882433.5945916,0.026540112885210587,0.03930457681638371,4347843593.399084,3.117294136309708e+17,[0.015625],5.0,3179882433.5945916,0.015625,"[0.0, 0.015625, 0.03125, 0.046875, 0.0625, 0.078125, 0.09375, 0.109375, 0.125, 0.140625, 0.15625, 0.171875, 0.1875, 0.203125, 0.21875, 0.234375]","[3.494838088036542e-23, 3179882433.5945916, 858676738.7741915, 57911441.292091504, 61340824.87135301, 42809981.41257327, 33478213.68546366, 11541924.704759931, 18327003.99196009, 5438285.689378273, 7737320.699855443, 8126242.961099083, 6820204.167704873, 6946910.216615569, 5256242.001333544, 3179777.2414871473]",3.0,0.3,boxcar,64.0,32.0,8711.584685070684,15.0,CWT,inu.32000013032828,3179671157.2904058,0.0,6740.609259428059,50621464482.96608,24.0,26261.47447479717,4346311196.005951,29007.20704371062,0.0,-7.5,5.0,18568.00897531992,0.0,-16.5,,48.0,0.0,0.0,-21.0,,19.0,3.117294130355267e+17,1276151.8844479548,0.0289855072463768,6740.609259428059,23644.045733364408,6758.354302302884,0.0,0.39999999999999997,,29007.20704371062,0.0,,0.0,1.0,0.0,8564.584685070684,19.794433575738367,0.11257596384983487,,0.09334819686501475,0.10857630993771947,2109443.4341350435,0.0,0.0,0.2309667319967203,1.0,0.30929407045228974,0.01754312644253231,0.18922111896046998,1.0,0.06024096385542166,0.8167988164962252,0.20499286457260893,,0.030172381235123447,1.0,1.0,1.0,0.9999999999999999,1.0,0.6666666666666667,0.06666666666666668,0.19047619047619047,0.8204016601147319,0.8204016601147319,0.5555555555555556,2.6407044419084933,1.0,1,1.4307377144511437,0.6635667356578117,5,0,0,0.6791950650691388,1.0,1,1,0.11111111111111112,0.4442058145418879,0.8572361465234073,4,2.0615528128088303,0.8527462276565121,2.75,1.6326530612244896,0.8281588281139703,1,mexh,1.0,1.0,,1,0.07692307692307693,,,5,2.0
raw,gaus4,16.469686808723395,0.6671058410188845,247.77110673776752,-21.781579506763677,69,33,4606.5182742504885,,False,"[19, 33, 40, 50, 59, 64]","[11898.892721148148, 2142.1066105099035, 405.6768650732165, 984.0150522984877, 760.0792058783027, 4896.614723779525]",6,10.08570332376593,41483.827967074365,0.05457626436787318,5.790547342190202e-06,0.46596840931672784,5,4395.23081150448,405.6768650732165,14929.76821049287,"[19, 38, 50, 59, 64]","[14929.76821049287, 405.6768650732165, 984.0150522984877, 760.0792058783027, 4896.614723779525]","[0, 33, 33, 33, 33]","[33, 40, 54, 61, 68]",0.05,20,2375018184.159905,12120.64986349599,-12120.64986349599,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CWT,inu.32000013032828,,,4220.578637591437,,,14479.76821049287,,11660.64986349599,0.0,-11.5,,,0.0,-16.0,,,0.0,0.0,-16.0,,18.0,,,,4220.578637591437,17959.1540575224,4220.578637591436,,,,11660.64986349599,,,,,,,380.6768650732165,,,,,,10.0,,,0.17380063937819354,0.11848908244081299,0.5436690930274236,0.3366906053820132,0.741295874601904,0.35421686746987957,0.8760944199316549,0.04734953549803301,,0.6503806724345211,0.6138221641547307,0.6138221641547307,0.611751884634759,0.7159930852910753,0.550336559557004,0.5555555555555556,0.2888888888888889,0.20634920634920634,0.2635063792823451,0.2635063792823451,0.4074074074074074,1.8387279529781138,0.6963020638724816,4,1.4639459415139418,0.6789684928118108,4,0,0,0.4784433622493807,0.7044270296644123,4,1,0.11111111111111112,0.3933952091606837,0.7591809519861065,7,1.5,0.8928571428571429,4.75,4.48,0.7767857142857143,2,gaus,7.25,7.0,4.301162633521313,8,0.5576923076923077,1.0,0.30961538461538457,1,1.75
raw,gaus2,17.929176451313594,0.6328502415458938,412.3550614868968,-28.818564452772982,69,33,11612.33890791524,,False,"[21, 38, 47, 58]","[20197.18579941803, 719.2906970415588, 2186.66225874233, 449.81890922583443]",4,9.885595909555807,75070.6311783539,0.08586733652819074,7.551191609784748e-06,0.5237292080665219,4,5888.239416106939,449.81890922583443,20197.18579941803,"[21, 38, 47, 58]","[20197.18579941803, 719.2906970415588, 2186.66225874233, 449.81890922583443]","[0, 33, 33, 56]","[68, 41, 68, 68]",0.05,10,11624020170.986488,21560.91339345772,-21560.91339345772,0.4782608695652174,786339.4426459597,0.04289548801818244,0.08762050844089307,1563206.4656754057,18773602680.707733,3.0,25391.26071752743,0.10144927536231885,"[0.0, 0.014492753623188406, 0.028985507246376812, 0.043478260869565216, 0.057971014492753624, 0.07246376811594203, 0.08695652173913043, 0.10144927536231885, 0.11594202898550725, 0.13043478260869565, 0.14492753623188406, 0.15942028985507248, 0.17391304347826086, 0.18840579710144928, 0.2028985507246377, 0.21739130434782608, 0.2318840579710145]","[786339.4426459597, 215778.74399731905, 189119.65286345416, 54836.96045439321, 46946.26290133909, 37029.39370395282, 19582.117027477707, 25391.26071752743, 18997.543203218873, 23205.653753150316, 11806.569910447064, 10235.354907037456, 9703.603323945285, 8488.957119634448, 9949.184484618074, 7406.995991610159, 5436.435834476263]",3.0,0.7,6164.683002770589,15.0,0.5,1128725728.8131773,0.03714539656011745,0.052854180763757024,2416141236.73071,6.199538722770359e+16,[0.015625],5.0,1128725728.8131773,0.015625,"[0.0, 0.015625, 0.03125, 0.046875, 0.0625, 0.078125, 0.09375, 0.109375, 0.125, 0.140625, 0.15625, 0.171875, 0.1875, 0.203125, 0.21875, 0.234375]","[4.652890945610781e-25, 1128725728.8131773, 968513860.7233236, 43636286.669409975, 62263926.25263614, 48289330.07951141, 38526301.809195906, 11254223.103994671, 22068072.117376853, 4485517.612472034, 8474141.24321569, 9334526.83381521, 7831695.872587322, 8922151.34689072, 5925798.397310536, 3834916.8646993386]",3.0,0.3,boxcar,64.0,32.0,6164.683002770589,15.0,CWT,inu.32000013032828,1128514452.5089915,0.0,5713.587242193896,18763120222.625225,24.0,19747.18579941803,2414608839.337577,21100.91339345772,0.0,-12.0,5.0,23533.532232942518,0.0,-16.5,,48.0,0.0,0.0,-21.0,,19.0,6.199538663225948e+16,766505.4426459597,0.0289855072463768,5713.587242193896,19535.957664427755,5713.587242193895,0.0,0.39999999999999997,,21100.91339345772,0.0,,0.0,1.0,0.0,6017.683002770589,424.81890922583443,0.09707994572141249,,0.07650407389303347,0.09502670599034616,1513408.4863585082,20.0,0.0,0.22036144832181342,0.5847679972183663,0.18140214348452913,0.21185372143329811,0.05693027797763622,0.9055567701835845,0.16626506024096424,1.0,0.10985764371261272,,0.7262426689865336,0.8426157457992012,0.8426157457992012,0.8401636331676624,0.7947673439813723,0.7513740885999927,0.6666666666666667,0.06666666666666668,0.19047619047619047,0.566577366512373,0.566577366512373,0.38888888888888884,2.3453517311801413,0.8881538175794886,2,1.3486558807328886,0.6254977213953867,9,0,0,0.6036360310047602,0.8887520861820645,2,1,0.11111111111111112,0.39652364622581826,0.7652182645258414,6,3.4034296427770228,0.7568978826587841,4.75,3.1304347826086953,0.7088060841865349,3,gaus,7.25,7.0,4.301162633521313,8,0.5576923076923077,1.0,0.30961538461538457,1,2.5
raw,gaus6,16.159267894660314,0.65788317962231,215.48810536178507,-20.67955173191265,69,33,4220.598891936295,,False,"[19, 33, 40, 50, 59, 65]","[9047.69753814689, 6728.86315512559, 214.08805696955187, 602.1968547585188, 423.28791843455656, 4461.53261603821]",6,10.146005295682158,41440.9337248505,0.06620438825602169,5.073983740322354e-06,0.3426044420169577,5,4286.196943334061,214.08805696955187,15729.879270469464,"[19, 38, 50, 59, 65]","[15729.879270469464, 214.08805696955187, 602.1968547585188, 423.28791843455656, 4461.53261603821]","[0, 33, 33, 33, 33]","[33, 40, 54, 61, 68]",0.05,10,1799763583.9591966,9268.671978678465,-9268.671978678465,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CWT,inu.32000013032828,,,4111.544769421018,,,15279.879270469464,,8808.671978678465,0.0,-7.0,,,0.0,-16.0,,,0.0,0.0,-16.0,,18.0,,,,4111.544769421018,17413.984716670304,4111.544769421016,,,,8808.671978678465,,,,,,,189.08805696955187,,,,,,20.0,,,0.15116228233450035,0.09288413176692784,0.5956330745372339,0.42099582452146544,0.7063592177449212,0.30361445783132524,0.6114601998609902,0.0472697053957799,,0.32111840606749376,0.5971134532053364,0.5971134532053364,0.595071058816784,0.688757410221441,0.5808737910831044,0.5555555555555556,0.2888888888888889,0.20634920634920634,0.1719462495924742,0.1719462495924742,0.5740740740740741,1.7232798584385942,0.6525833906626609,5,1.3792090353212003,0.6396680734099011,8,0,0,0.44573398305434736,0.6562679942454731,5,1,0.11111111111111112,0.36061680619358744,0.6959246169070992,8,1.7320508075688772,0.8762820851736516,6.5,6.153846153846153,0.7059981854439686,4,gaus,7.25,7.0,4.301162633521313,8,0.5576923076923077,1.0,0.30961538461538457,1,3.25
raw,morl,15.66966611251685,0.6714975845410628,159.9020754320957,-16.445803020517346,69,33,2424.880374052365,,False,"[9, 15, 20, 33, 40, 47, 54, 59, 65]","[270.43877078744595, 237.66493204754988, 4927.1078151188585, 6454.949813081279, 374.06989287695797, 1568.8333117081556, 635.8272396029452, 403.126941389628, 3582.070442598594]",9,10.030938771838798,27351.923586910838,0.10432182933151825,3.6040245211735186e-06,0.38804830500185133,8,2149.859543500529,175.21686930634164,9504.568856286369,"[4, 9, 15, 20, 39, 47, 59, 65]","[175.21686930634164, 270.43877078744595, 237.66493204754988, 9504.568856286369, 374.06989287695797, 2651.719642711348, 403.126941389628, 3582.070442598594]","[0, 0, 0, 0, 33, 33, 33, 33]","[5, 10, 16, 33, 40, 54, 60, 68]",0.05,20,684625156.2513095,6582.0937156694,-6582.0937156694,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CWT,inu.32000013032828,,,1975.2073695874856,,,9054.568856286369,,6122.0937156694,0.0,-10.0,,,0.0,-1.0,,,0.0,0.0,-5.5,,15.0,,,,1975.2073695874856,13181.876348004233,1975.207369587486,,,,6122.0937156694,,,,,,,150.21686930634164,,,,,,10.0,,,0.04582391680837772,0.04035811286111393,0.7952672804771601,0.2601269806019704,0.6512561016511721,0.3783132530120482,0.708944104612389,0.02104877079838173,,0.254314841323558,0.2697340370370712,0.2697340370370712,0.26823800544523796,0.4773289241508341,0.34327709363798453,0.22222222222222227,0.7555555555555556,0.6825396825396824,0.08569612279710583,0.08569612279710583,0.46296296296296297,1.0884787395571385,0.4121925658482521,8,1.4020289696828423,0.650251808778958,7,0,0,0.34810830062553266,0.5125306683288355,7,1,0.11111111111111112,0.35708675954727104,0.6891122711766476,9,0.9574271077563381,0.9316123494459758,7.75,7.665399239543728,0.6890204604372736,5,morl,5.0,5.0,,1,0.38461538461538464,,,6,5.25
raw,gaus1,18.643140346541358,0.6025472112428634,658.6023372059055,-33.31145892393606,69,33,17965.454635452123,,False,"[3, 32]","[1867.1553437574548, 389.6911185125525]",2,10.109306090586497,553361.1602728787,0.0679312499081878,7.696761364094941e-06,0.05756135091324625,1,389.6911185125525,389.6911185125525,389.6911185125525,[32],[389.6911185125525],[3],[33],0.05,10,31267478218.761475,35061.459642933296,-35061.459642933296,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CWT,inu.32000013032828,,,215.03894459950905,,,60.30888148744748,,34601.459642933296,0.0,-22.5,,,0.0,-22.5,,,0.0,0.0,-22.5,,22.0,,,,215.03894459950905,3627.3088814874473,221.87527181471734,,,,34601.459642933296,,,,,,,364.6911185125525,,,,,,20.0,,,0.9574471337712676,0.18660378416095505,0.0,0.369688472049948,0.9859111251723349,0.0,0.0,0.9999999999999999,,0.6229077569013488,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.9868723270704045,0.37371555536793466,10,1.4210150739908083,0.6590574390012164,6,0,0,0.30190897974177905,0.4445099725673745,9,1,0.11111111111111112,0.43190075883875756,0.833489634910123,5,2.3804761428476167,0.8299659897965987,7.5,6.923076923076923,0.6471258520411565,6,gaus,7.25,7.0,4.301162633521313,8,0.5576923076923077,1.0,0.30961538461538457,1,4.75
raw,cmor,14.295396752372072,0.6952129995608256,277.22394430801006,-22.820813225820572,69,33,6038.585120551303,-57920.52819524643,True,"[3, 8, 14, 19, 38, 50, 59, 67]","[590.9449401081711, 283.40341424375947, 146.32689507846408, 1761.8103986613587, 288.48976118096516, 726.2867820893744, 296.4104863319035, 263.97537431330875]",8,10.426469359024132,31736.499893475004,0.07470142171039566,3.0459942187628427e-05,0.29718607348969284,5,2299.6203079759275,280.61572816026865,6999.525450580311,"[20, 38, 48, 59, 64]","[6999.525450580311, 280.61572816026865, 878.8008322138148, 2819.7590645938976, 519.4004643313465]","[0, 33, 33, 33, 61]","[33, 40, 54, 68, 68]",0.05,20,3044755140.4705663,9138.168894508288,-9138.168894508288,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CWT,inu.32000013032828,,,2124.968134062884,,,6549.525450580311,,8678.168894508288,0.0,-11.5,,,0.0,-16.0,,,0.0,0.0,-16.0,,18.0,,,,2124.968134062884,7481.101539879637,2124.968134062884,,,,8678.168894508288,,,,,,,255.61572816026865,,,,,,10.0,,,0.2578068905868963,1.0,0.49466604338219666,0.8130988282778508,0.49658647654357696,0.5084337349397589,0.5140309845465346,0.029208867742462227,0.2622347723669505,0.43545207727298213,0.2926838724154573,0.2926838724154573,0.291149539893198,0.19252851685617378,0.24766900334960051,0.5555555555555556,0.2888888888888889,0.20634920634920634,0.16775656797707345,0.16775656797707345,0.4074074074074074,1.0340197091203582,0.39156964812504735,9,1.8545476894543833,0.8601270127872936,2,0,0,0.29549008969650614,0.4350592412894323,10,0,0.0,0.486229622042914,0.9383344249004545,2,4.349329450233296,0.6893336106976218,5.75,3.3027522935779814,0.6393096624916681,7,cmor,7.0,7.0,,1,0.5384615384615384,,,3,6.0
raw,gaus8,16.134427643369666,0.6587615283267457,206.51102856234812,-19.992456781991724,69,33,3841.4128453009316,,False,"[19, 33, 40, 50, 59, 65]","[7141.625200210481, 7870.7545065040085, 196.8205710097027, 935.7449572376834, 431.7014090726143, 4353.944156416406]",6,10.120507701036482,42822.819832673486,0.07172433761384991,4.589841427743645e-06,0.3160284530341728,5,3862.0260600940733,196.8205710097027,13391.91920673396,"[19, 39, 50, 59, 65]","[13391.91920673396, 196.8205710097027, 935.7449572376834, 431.7014090726143, 4353.944156416406]","[0, 33, 33, 33, 33]","[33, 40, 54, 60, 68]",0.05,10,1523585771.8833137,8124.4905520986895,-8124.4905520986895,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CWT,inu.32000013032828,,,3687.37388618103,,,12941.91920673396,,7664.4905520986895,0.0,-11.5,,,0.0,-16.0,,,0.0,0.0,-16.0,,18.0,,,,3687.37388618103,15293.130300470366,3687.37388618103,,,,7664.4905520986895,,,,,,,171.8205710097027,,,,,,20.0,,,0.1289189084509644,0.07558428566756546,0.6280317037623472,0.3853488923262982,0.7035635268373553,0.30843373493975923,0.5544507158843918,0.04984152164827202,,0.291442708317318,0.5321121027063443,0.5321121027063443,0.5301781889304856,0.5828033562767758,0.4916426438881688,0.5555555555555556,0.2888888888888889,0.20634920634920634,0.1352133561278783,0.1352133561278783,0.4074074074074074,1.5102893865592846,0.5719267035684487,6,1.3477165790637635,0.6250620794631976,10,0,0,0.3907432394401875,0.5753034136083007,6,1,0.11111111111111112,0.34871610563406363,0.6729584369188966,10,2.309401076758503,0.8350427802315354,8.0,7.5,0.631807104401482,8,gaus,7.25,7.0,4.301162633521313,8,0.5576923076923077,1.0,0.30961538461538457,1,6.25
raw,gaus7,16.237111263962028,0.6653491436100132,218.8669833824063,-21.042430955189985,69,33,4436.914028675233,,False,"[3, 6, 24, 29, 43, 55, 61]","[2223.151813994692, 470.65158170205086, 233.20678596548987, 8875.9917873212, 4980.698002253733, 1661.1175761508898, 172.19412187652966]",7,10.151730796476038,49483.36667321477,0.06859524663255026,2.474588456848507e-06,0.2205889790034271,6,2842.7563979413285,172.19412187652966,14322.520807777306,"[5, 24, 29, 52, 56, 60]","[470.65158170205086, 233.20678596548987, 14322.520807777306, 1661.1175761508898, 196.8475141757035, 172.19412187652966]","[3, 3, 3, 43, 55, 43]","[6, 25, 43, 55, 57, 61]",0.05,20,1839618203.8880513,9030.846675977267,-9030.846675977267,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CWT,inu.32000013032828,,,2668.104224028285,,,13872.520807777306,,8570.846675977267,0.0,-20.0,,,0.0,-20.0,,,0.0,0.0,-20.0,,17.0,,,,2668.104224028285,13039.538387647972,2668.1042240282845,,,,8570.846675977267,,,,,,,147.19412187652966,,,,,,10.0,,,0.16385151102803228,0.0,0.5785222088412882,0.42900036539753583,0.7151202402170658,0.3445783132530122,0.3497187238213584,0.06223740761746756,,0.24911998323531065,0.37591584506483505,0.37591584506483505,0.37424260688416444,0.4702179768765828,0.5271602088502775,0.4444444444444445,0.1111111111111111,0.07936507936507936,0.16431108675521128,0.16431108675521128,0.09259259259259256,1.1923157269841735,0.4515142656867959,7,1.2709428592972187,0.5894549335165788,11,0,0,0.28572565558330454,0.4206827615189151,11,1,0.11111111111111112,0.32482304071641444,0.6268491825414805,11,2.0,0.8571428571428572,10.0,9.625,0.5714285714285714,9,gaus,7.25,7.0,4.301162633521313,8,0.5576923076923077,1.0,0.30961538461538457,1,7.0
raw,shan,9.883130420819558,0.7848045674132631,160.96917210855747,-12.103927421697811,69,33,1643.713364636689,-33095.806688859964,True,"[3, 12, 14, 19, 23, 29, 32, 43, 47, 55, 57, 65, 67]","[97.64137502169638, 61.4147149044893, 349.6212625140913, 212.59852704667946, 718.1809467337432, 100.3441347992084, 2696.791634164304, 279.4210244453418, 44.128751772810574, 1279.5392488654823, 316.64107522617314, 4.290221534586635, 562.7517678952886]",13,10.560156327913404,16042.016075109364,0.0635952489895523,5.085349012395524e-06,0.3234463533184817,10,1341.906007239128,27.23794092849721,4296.300114942507,"[4, 8, 14, 19, 21, 26, 38, 46, 59, 65]","[1620.7583383115043, 367.1783370301631, 32.04169383022179, 27.23794092849721, 3703.453933957604, 153.90348469803507, 678.9534710573434, 4296.300114942507, 394.9858143243571, 2144.2469433110464]","[0, 6, 11, 0, 0, 25, 32, 32, 55, 32]","[11, 11, 15, 20, 32, 32, 40, 55, 60, 68]",0.05,30,307298240.1171166,3912.7719501827496,-3912.7719501827496,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CWT,inu.32000013032828,,,1167.2538333260845,,,3846.300114942507,,3452.7719501827496,0.0,4.5,,,0.0,9.0,,,0.0,0.0,0.0,,13.0,,,,1167.2538333260845,9402.06007239128,1170.844683846384,,,,3452.7719501827496,,,,,,,2.23794092849721,,,,,,0.0,,,0.0,0.0932902467720303,1.0,1.0,0.0,1.0,0.5703632250170622,0.0,1.0,0.0,0.14592056215573757,0.14592056215573757,0.1451805180748502,0.28849613369235727,0.144497053765493,0.0,1.0000000000000002,1.0,0.0,0.0,1.0,0.7476030864448229,0.283107444581914,14,2.1561323640384336,1.0,1,0,0,0.32250123582034795,0.4748285910874792,8,0,0.0,0.5181837190876769,1.0,1,6.27162924074226,0.5520264828041244,6.0,1.821138211382114,0.5617275271163479,10,shan,10.0,10.0,,1,0.7692307692307693,,,7,9.25
