wavelet,wavelet_level,wavelet_mode,wavelet_mse,wavelet_psnr,wavelet_energy_entropy,wavelet_sparsity,wavelet_adaptive_threshold,signal_length,signal_type,emd_value,kl_divergence,change_point_indices,change_point_prominences,num_change_points,wavelet_entropy,avg_variance_across_levels,variance_ratio_across_levels,smoothness,correlation,fft_frequency_max,fft_amplitude_max,fft_spectral_centroid,fft_spectral_bandwidth,fft_spectral_magnitude,fft_variance_magnitude,fft_num_peaks,fft_peak_amplitude,fft_dominant_frequency,fft_positive_frequencies,fft_positive_amplitudes,fft_snr_threshold,fft_stationarity_threshold,fft_dynamic_cutoff,fft_dynamic_cutoff_percentile,stft_frequency_max,stft_amplitude_max,stft_spectral_centroid,stft_spectral_bandwidth,stft_spectral_magnitude,stft_variance_magnitude,stft_peak_freq_over_time,stft_num_peaks,stft_peak_amplitude,stft_dominant_frequency,stft_positive_frequencies,stft_positive_amplitudes,stft_snr_threshold,stft_stationarity_threshold,stft_window,stft_nperseg,stft_noverlap,stft_dynamic_cutoff,stft_dynamic_cutoff_percentile,relative_num_peaks,avg_prominence,prominence_min,prominence_max,relative_peaks,relative_prominences,relative_left_bases,relative_right_bases,prominence_threshold,distance_factor,max_autocorrelation,upper_envelope,lower_envelope,wavelet_type,htid,stft_amplitude_max_diff,stft_frequency_max_diff,avg_prominence_diff,fft_variance_magnitude_diff,stft_noverlap_diff,prominence_max_diff,stft_spectral_magnitude_diff,upper_envelope_diff,relative_peaks_array_alignment_score,relative_peaks_global_alignment_score,stft_num_peaks_diff,fft_peak_amplitude_diff,relative_left_bases_array_alignment_score,relative_left_bases_global_alignment_score,stft_window_diff,stft_nperseg_diff,prominence_threshold_diff,relative_right_bases_array_alignment_score,relative_right_bases_global_alignment_score,stft_dominant_frequency_diff,relative_num_peaks_diff,stft_variance_magnitude_diff,fft_amplitude_max_diff,fft_dominant_frequency_diff,relative_prominences_avg_diff,relative_prominences_total_diff,relative_prominences_wasserstein,fft_snr_threshold_diff,stft_stationarity_threshold_diff,stft_dynamic_cutoff_percentile_diff,lower_envelope_diff,fft_stationarity_threshold_diff,stft_dynamic_cutoff_diff,fft_frequency_max_diff,fft_num_peaks_diff,fft_dynamic_cutoff_percentile_diff,fft_dynamic_cutoff_diff,prominence_min_diff,fft_spectral_centroid_diff,stft_peak_amplitude_diff,fft_spectral_bandwidth_diff,stft_spectral_bandwidth_diff,fft_spectral_magnitude_diff,distance_factor_diff,stft_snr_threshold_diff,stft_spectral_centroid_diff,wavelet_psnr_normalized,wavelet_entropy_normalized,wavelet_energy_entropy_normalized,wavelet_sparsity_normalized,avg_variance_across_levels_normalized,avg_prominence_diff_normalized,relative_prominences_avg_diff_normalized,relative_prominences_wasserstein_normalized,relative_prominences_total_diff_normalized,relative_right_bases_global_alignment_score_normalized,relative_right_bases_array_alignment_score_normalized,relative_left_bases_global_alignment_score_normalized,relative_left_bases_array_alignment_score_normalized,relative_peaks_array_alignment_score_normalized,relative_peaks_global_alignment_score_normalized,reconstruction_signal_weighted_score,reconstruction_signal_normalized_weighted_score,reconstruction_signal_normalized_weighted_rank,wavelet_signal_weighted_score,wavelet_signal_normalized_weighted_score,wavelet_signal_normalized_weighted_rank,reconstruction_signal_num_missing_metrics,reconstruction_signal_missing_metrics_count,reconstruction_signal_dynamically_weighted_score,reconstruction_signal_normalized_dynamically_weighted_score,reconstruction_signal_normalized_dynamically_weighted_rank,wavelet_signal_num_missing_metrics,wavelet_signal_missing_metrics_count,wavelet_signal_dynamically_weighted_score,wavelet_signal_normalized_dynamically_weighted_score,wavelet_signal_normalized_dynamically_weighted_rank,rank_variability,normalized_rank_stability,average_rank,harmonic_average_rank,stability_score_weighted,stability_rank,wavelet_family,family_mean_stability_rank,family_median_stability_rank,family_rank_std_dev,family_wavelet_count,normalized_family_mean_rank,normalized_family_std_dev,final_family_stability_score,final_family_stability_rank,family_informed_rank,top_wavelet_rank
db25,1,smooth,1.5238105875489788e-26,312.50744459841303,208722194.4082399,0.5266666666666666,260.8017022489615,101,raw,9.666195236974033e-14,-1.0644785053415267e-10,"[1, 6, 9, 15, 19, 25, 29, 33, 37, 40, 45, 50, 55, 60, 64, 68, 76, 80, 84, 91, 94, 97]","[152.9999999999999, 192.00000000000006, 31.00000000000017, 221.00000000000023, 58.9999999999996, 358.0000000000001, 146.99999999999994, 104.99999999999983, 301.99999999999983, 57.00000000000006, 9.999999999999773, 423.0000000000001, 61.000000000000114, 231.00000000000017, 31.0, 87.99999999999989, 399.9999999999999, 151.99999999999994, 235.0, 144.99999999999983, 56.99999999999966, 130.00000000000006]",22,4.107243852172642,5157957.556522246,0.9996683017532182,3.126513911723669e-05,0.9999999999999998,0.48514851485148514,45255.0,0.1012735775354766,0.14480042884734864,93259.49979200745,38913551.01614758,9,2988.964938985462,0.0297029702970297,"[0.0, 0.009900990099009901, 0.019801980198019802, 0.0297029702970297, 0.039603960396039604, 0.04950495049504951, 0.0594059405940594, 0.06930693069306931, 0.07920792079207921, 0.0891089108910891, 0.09900990099009901, 0.10891089108910891, 0.1188118811881188, 0.12871287128712872, 0.13861386138613863, 0.1485148514851485, 0.15841584158415842, 0.16831683168316833, 0.1782178217821782, 0.18811881188118812, 0.19801980198019803, 0.2079207920792079, 0.21782178217821782, 0.22772277227722773, 0.2376237623762376]","[45255.0, 2434.260414508428, 2711.166504937497, 2988.964938985462, 2415.078913362169, 2881.955370498738, 1127.365381811268, 1733.8245573698002, 1141.4606701647563, 443.7770395119957, 841.1564708697998, 1592.1096256163883, 287.7512216950791, 357.5924020276443, 716.4576521090155, 267.82030350924583, 425.95043222153697, 369.44020100862775, 1069.207880327793, 383.76326140124524, 1753.069790328212, 90.81335386114422, 955.1336026326786, 652.4093787207106, 540.0552357661486]",3.0,0.7,337.0,15,0.5,433367.6241115562,0.15319057847654358,0.1292301830292043,1666179.5312500002,1948707322.099641,"[0.03125, 0.09375, 0.0625, 0.0625, 0.34375]",2,433367.6241115562,0.03125,"[0.0, 0.03125, 0.0625, 0.09375, 0.125, 0.15625, 0.1875, 0.21875]","[5.29104786349837e-26, 433367.6241115562, 349926.4068782917, 126431.67699389304, 42215.15824782071, 59902.29424827078, 128515.1720363941, 64428.83495197545]",3.0,0.7,boxcar,32,16,337.0,15,22,163.09090909090904,9.999999999999773,423.0000000000001,"[1, 6, 9, 15, 19, 25, 29, 33, 37, 40, 45, 50, 55, 60, 64, 68, 76, 80, 84, 91, 94, 97]","[152.9999999999999, 192.00000000000006, 31.00000000000017, 221.00000000000023, 58.9999999999996, 358.0000000000001, 146.99999999999994, 104.99999999999983, 301.99999999999983, 57.00000000000006, 9.999999999999773, 423.0000000000001, 61.000000000000114, 231.00000000000017, 31.0, 87.99999999999989, 399.9999999999999, 151.99999999999994, 235.0, 144.99999999999983, 56.99999999999966, 130.00000000000006]","[0, 0, 0, 0, 18, 0, 26, 31, 31, 39, 42, 0, 54, 58, 58, 58, 0, 77, 77, 87, 92, 96]","[4, 7, 11, 21, 21, 31, 31, 35, 42, 42, 47, 58, 58, 61, 66, 71, 99, 81, 99, 99, 99, 99]",0.05,30,21699749.0,581.9999999999999,-581.9999999999999,DWT,mdp.39015035518102,2.9103830456733704e-10,0.0,8.954545454545496,0.0,0.0,1.1368683772161603e-13,2.3283064365386963e-10,1.1368683772161603e-13,1.0,88.0,0.0,4.547473508864641e-13,1.0,88.0,,0.0,0.0,0.9545454545454546,83.5,0.0,0.0,2.6226043701171875e-06,0.0,0.0,8.954545454545496,197.0000000000009,8.954545454545547,0.0,0.0,0.0,1.1368683772161603e-13,0.0,0.0,0.0,0.0,0.0,0.0,2.2737367544323206e-13,1.3877787807814457e-17,2.9103830456733704e-10,0.0,0.0,0.0,0.0,0.0,5.551115123125783e-17,0.8840211871427797,0.10148943402467614,1.0,0.1746031746031744,1.0,0.999999999641408,0.999999999641408,0.9999999996414096,0.9999999996414051,0.0,0.0,1.0,1.0,1.0,1.0,1.9999999994979702,0.9999999999999957,5,1.5509986991392757,1.0,1,0,0,0.7999999998565631,0.9999999999999969,5,0,0,0.6320227591541261,1.0,1,2.309401076758503,0.996908432293496,3.0,1.6666666666666667,0.9964461840182339,1,db,287.2088888888889,220.0,224.23557827314573,225,0.5511347517730496,1.0,0.31420567375886527,2,1.25,1
db24,1,constant,1.3448563196239907e-26,313.04999558489345,3997830.931302604,0.6013513513513513,127.89949533361185,101,raw,7.907426089052998e-14,-1.0067213729314522e-10,"[1, 6, 9, 15, 19, 25, 29, 33, 37, 40, 45, 50, 55, 60, 64, 68, 76, 80, 84, 91, 94, 97]","[153.0000000000001, 191.99999999999994, 31.0, 221.00000000000006, 58.999999999999716, 358.0000000000001, 146.99999999999994, 302.00000000000017, 104.99999999999994, 57.0, 10.000000000000114, 423.0000000000003, 60.99999999999977, 230.99999999999974, 31.0, 87.99999999999994, 400.0, 152.0, 234.99999999999966, 145.0, 57.000000000000114, 130.00000000000006]",22,5.744328420094248,40069.22630744562,0.9519133968068788,3.12651391172367e-05,1.0,0.48514851485148514,45255.0,0.10127357753547657,0.14480042884734864,93259.49979200747,38913551.01614758,9,2988.96493898546,0.0297029702970297,"[0.0, 0.009900990099009901, 0.019801980198019802, 0.0297029702970297, 0.039603960396039604, 0.04950495049504951, 0.0594059405940594, 0.06930693069306931, 0.07920792079207921, 0.0891089108910891, 0.09900990099009901, 0.10891089108910891, 0.1188118811881188, 0.12871287128712872, 0.13861386138613863, 0.1485148514851485, 0.15841584158415842, 0.16831683168316833, 0.1782178217821782, 0.18811881188118812, 0.19801980198019803, 0.2079207920792079, 0.21782178217821782, 0.22772277227722773, 0.2376237623762376]","[45255.0, 2434.260414508427, 2711.166504937497, 2988.96493898546, 2415.0789133621674, 2881.9553704987397, 1127.3653818112675, 1733.8245573698002, 1141.460670164758, 443.77703951199425, 841.1564708698005, 1592.1096256163883, 287.75122169507915, 357.59240202764335, 716.4576521090154, 267.8203035092467, 425.9504322215351, 369.4402010086275, 1069.2078803277936, 383.76326140124576, 1753.0697903282116, 90.81335386114671, 955.1336026326773, 652.4093787207116, 540.0552357661493]",3.0,0.7,337.0000000000001,15,0.5,433367.6241115558,0.1531905784765436,0.12923018302920428,1666179.5312499995,1948707322.0996373,"[0.03125, 0.09375, 0.0625, 0.0625, 0.34375]",2,433367.6241115558,0.03125,"[0.0, 0.03125, 0.0625, 0.09375, 0.125, 0.15625, 0.1875, 0.21875]","[1.4290373070259673e-25, 433367.6241115558, 349926.4068782917, 126431.67699389301, 42215.1582478207, 59902.29424827067, 128515.1720363941, 64428.83495197549]",3.0,0.7,boxcar,32,16,337.0000000000001,15,22,163.09090909090907,10.000000000000114,423.0000000000003,"[1, 6, 9, 15, 19, 25, 29, 33, 37, 40, 45, 50, 55, 60, 64, 68, 76, 80, 84, 91, 94, 97]","[153.0000000000001, 191.99999999999994, 31.0, 221.00000000000006, 58.999999999999716, 358.0000000000001, 146.99999999999994, 302.00000000000017, 104.99999999999994, 57.0, 10.000000000000114, 423.0000000000003, 60.99999999999977, 230.99999999999974, 31.0, 87.99999999999994, 400.0, 152.0, 234.99999999999966, 145.0, 57.000000000000114, 130.00000000000006]","[0, 0, 0, 0, 18, 0, 26, 31, 35, 39, 42, 0, 54, 58, 58, 58, 0, 77, 77, 87, 92, 96]","[4, 7, 11, 21, 21, 31, 31, 42, 42, 42, 47, 58, 58, 61, 66, 71, 99, 81, 99, 99, 99, 99]",0.05,30,21699749.0,582.0,-582.0,DWT,mdp.39015035518102,1.1641532182693481e-10,0.0,8.954545454545467,0.0,0.0,2.8421709430404007e-13,4.656612873077393e-10,0.0,1.0,88.0,0.0,1.8189894035458565e-12,0.9545454545454546,83.5,,0.0,0.0,1.0,88.0,0.0,0.0,1.1920928955078125e-06,0.0,0.0,8.954545454545467,197.00000000000045,8.954545454545544,0.0,0.0,0.0,0.0,0.0,1.1368683772161603e-13,0.0,0.0,0.0,1.1368683772161603e-13,1.1368683772161603e-13,1.3877787807814457e-17,1.1641532182693481e-10,0.0,2.7755575615628914e-17,1.4551915228366852e-11,0.0,0.0,2.7755575615628914e-17,0.889766342478726,0.803544312122104,0.0008528757942411931,0.8858858858858858,0.005108152007626532,0.9999999996414048,0.9999999996414048,0.9999999996414092,0.9999999996414027,1.0,1.0,0.0,0.0,1.0,1.0,1.9999999994979671,0.9999999999999941,21,1.292456014602813,0.8333056728674624,8,0,0,0.7999999998565622,0.9999999999999958,21,0,0,0.5170315136577167,0.8180583787041007,6,8.12403840463596,0.9891244465801393,14.0,10.338461538461539,0.9851914066903373,2,db,287.2088888888889,220.0,224.23557827314573,225,0.5511347517730496,1.0,0.31420567375886527,2,2.0,2
db18,1,constant,1.1711007231694488e-26,313.6508119744,3971066.3966985056,0.5882352941176471,131.26291455120779,101,raw,7.724514097669205e-14,-9.950928969715283e-11,"[1, 6, 9, 15, 19, 25, 29, 33, 37, 40, 45, 50, 55, 60, 64, 68, 76, 80, 84, 91, 94, 97]","[153.00000000000006, 191.99999999999994, 31.0, 220.99999999999983, 59.000000000000114, 357.9999999999999, 146.99999999999994, 302.0000000000001, 104.99999999999972, 57.00000000000006, 9.999999999999886, 422.9999999999998, 61.000000000000114, 231.0, 31.0, 87.99999999999983, 400.00000000000006, 152.00000000000006, 234.99999999999994, 145.00000000000017, 57.000000000000114, 130.00000000000034]",22,5.713620568883917,36828.458416929556,0.9441575616443715,3.1265139117236685e-05,1.0,0.48514851485148514,45255.0,0.10127357753547658,0.14480042884734864,93259.49979200745,38913551.01614758,9,2988.9649389854585,0.0297029702970297,"[0.0, 0.009900990099009901, 0.019801980198019802, 0.0297029702970297, 0.039603960396039604, 0.04950495049504951, 0.0594059405940594, 0.06930693069306931, 0.07920792079207921, 0.0891089108910891, 0.09900990099009901, 0.10891089108910891, 0.1188118811881188, 0.12871287128712872, 0.13861386138613863, 0.1485148514851485, 0.15841584158415842, 0.16831683168316833, 0.1782178217821782, 0.18811881188118812, 0.19801980198019803, 0.2079207920792079, 0.21782178217821782, 0.22772277227722773, 0.2376237623762376]","[45255.0, 2434.2604145084265, 2711.1665049375, 2988.9649389854585, 2415.0789133621684, 2881.9553704987384, 1127.3653818112682, 1733.8245573697986, 1141.4606701647579, 443.7770395119929, 841.1564708698029, 1592.1096256163887, 287.75122169507745, 357.59240202764306, 716.4576521090155, 267.8203035092454, 425.9504322215373, 369.4402010086271, 1069.2078803277939, 383.7632614012456, 1753.0697903282135, 90.81335386114536, 955.1336026326775, 652.4093787207111, 540.055235766147]",3.0,0.7,336.99999999999994,15,0.5,433367.6241115557,0.15319057847654366,0.1292301830292043,1666179.5312499995,1948707322.0996377,"[0.03125, 0.09375, 0.0625, 0.0625, 0.34375]",2,433367.6241115557,0.03125,"[0.0, 0.03125, 0.0625, 0.09375, 0.125, 0.15625, 0.1875, 0.21875]","[2.9507184387610902e-25, 433367.6241115557, 349926.4068782916, 126431.67699389302, 42215.1582478208, 59902.29424827076, 128515.17203639426, 64428.83495197547]",3.0,0.7,boxcar,32,16,336.99999999999994,15,22,163.09090909090907,9.999999999999886,422.9999999999998,"[1, 6, 9, 15, 19, 25, 29, 33, 37, 40, 45, 50, 55, 60, 64, 68, 76, 80, 84, 91, 94, 97]","[153.00000000000006, 191.99999999999994, 31.0, 220.99999999999983, 59.000000000000114, 357.9999999999999, 146.99999999999994, 302.0000000000001, 104.99999999999972, 57.00000000000006, 9.999999999999886, 422.9999999999998, 61.000000000000114, 231.0, 31.0, 87.99999999999983, 400.00000000000006, 152.00000000000006, 234.99999999999994, 145.00000000000017, 57.000000000000114, 130.00000000000034]","[0, 0, 0, 0, 18, 0, 26, 31, 35, 39, 42, 0, 54, 58, 58, 58, 0, 77, 77, 87, 92, 96]","[4, 7, 11, 21, 21, 31, 31, 42, 42, 42, 47, 58, 58, 61, 66, 71, 99, 81, 99, 99, 99, 99]",0.05,30,21699748.999999996,582.0,-582.0,DWT,mdp.39015035518102,2.3283064365386963e-10,0.0,8.954545454545467,0.0,0.0,2.2737367544323206e-13,4.656612873077393e-10,0.0,1.0,88.0,0.0,3.183231456205249e-12,0.9545454545454546,83.5,,0.0,0.0,1.0,88.0,0.0,0.0,7.152557373046875e-07,0.0,0.0,8.954545454545467,197.00000000000045,8.954545454545512,0.0,0.0,0.0,0.0,0.0,5.684341886080802e-14,0.0,0.0,0.0,5.684341886080802e-14,1.1368683772161603e-13,0.0,2.3283064365386963e-10,0.0,0.0,0.0,0.0,0.0,2.7755575615628914e-17,0.8961284790743845,0.7903754159266722,0.0007222528076741705,0.7609710550887027,0.00447816296771824,0.9999999996414048,0.9999999996414048,0.9999999996414056,0.9999999996414027,1.0,1.0,0.0,0.0,1.0,1.0,1.999999999497966,0.9999999999999936,25,1.2394056090343724,0.7991016431684814,22,0,0,0.7999999998565619,0.9999999999999954,25,0,0,0.4905350731730303,0.7761351408128764,19,2.8722813232690143,0.9961549112138299,22.75,22.46104245029554,0.9828498786323501,3,db,287.2088888888889,220.0,224.23557827314573,225,0.5511347517730496,1.0,0.31420567375886527,2,2.75,3
rbio3.1,1,periodic,1.1717005698775773e-26,313.6485880544987,3876906.125208334,0.5769230769230769,453.80732590562343,101,raw,9.145599569189406e-14,-9.40563182894039e-11,"[1, 6, 9, 15, 19, 25, 29, 33, 37, 40, 45, 50, 55, 60, 64, 68, 76, 80, 84, 91, 94, 97]","[153.00000000000003, 191.9999999999999, 31.0, 220.9999999999999, 58.999999999999886, 358.0, 147.0, 302.00000000000006, 105.0, 57.0, 10.0, 423.0, 61.0, 230.9999999999999, 30.999999999999886, 88.0, 399.9999999999999, 151.9999999999999, 235.0, 144.99999999999994, 56.99999999999994, 130.0]",22,5.806729932760562,21449.6170892659,0.5282422936342008,3.12651391172367e-05,1.0,0.48514851485148514,45255.0,0.1012735775354766,0.14480042884734864,93259.49979200745,38913551.01614758,9,2988.9649389854585,0.0297029702970297,"[0.0, 0.009900990099009901, 0.019801980198019802, 0.0297029702970297, 0.039603960396039604, 0.04950495049504951, 0.0594059405940594, 0.06930693069306931, 0.07920792079207921, 0.0891089108910891, 0.09900990099009901, 0.10891089108910891, 0.1188118811881188, 0.12871287128712872, 0.13861386138613863, 0.1485148514851485, 0.15841584158415842, 0.16831683168316833, 0.1782178217821782, 0.18811881188118812, 0.19801980198019803, 0.2079207920792079, 0.21782178217821782, 0.22772277227722773, 0.2376237623762376]","[45255.0, 2434.260414508426, 2711.166504937499, 2988.9649389854585, 2415.0789133621693, 2881.9553704987366, 1127.3653818112673, 1733.8245573697986, 1141.4606701647563, 443.77703951199356, 841.1564708698025, 1592.10962561639, 287.7512216950789, 357.5924020276445, 716.4576521090152, 267.82030350924646, 425.95043222153777, 369.4402010086282, 1069.2078803277936, 383.7632614012452, 1753.0697903282125, 90.81335386114561, 955.1336026326777, 652.4093787207108, 540.055235766148]",3.0,0.7,336.9999999999999,15,0.5,433367.6241115558,0.15319057847654363,0.1292301830292043,1666179.5312499995,1948707322.099637,"[0.03125, 0.09375, 0.0625, 0.0625, 0.34375]",2,433367.6241115558,0.03125,"[0.0, 0.03125, 0.0625, 0.09375, 0.125, 0.15625, 0.1875, 0.21875]","[8.979130367587645e-26, 433367.6241115558, 349926.4068782914, 126431.67699389304, 42215.15824782079, 59902.294248270795, 128515.17203639414, 64428.834951975456]",3.0,0.7,boxcar,32,16,336.9999999999999,15,22,163.09090909090907,10.0,423.0,"[1, 6, 9, 15, 19, 25, 29, 33, 37, 40, 45, 50, 55, 60, 64, 68, 76, 80, 84, 91, 94, 97]","[153.00000000000003, 191.9999999999999, 31.0, 220.9999999999999, 58.999999999999886, 358.0, 147.0, 302.00000000000006, 105.0, 57.0, 10.0, 423.0, 61.0, 230.9999999999999, 30.999999999999886, 88.0, 399.9999999999999, 151.9999999999999, 235.0, 144.99999999999994, 56.99999999999994, 130.0]","[0, 0, 0, 0, 18, 0, 26, 31, 35, 39, 42, 0, 54, 58, 58, 58, 0, 77, 77, 87, 92, 96]","[4, 7, 11, 21, 21, 31, 31, 42, 42, 42, 47, 58, 58, 61, 66, 71, 99, 81, 99, 99, 99, 99]",0.05,30,21699748.999999996,581.9999999999999,-581.9999999999999,DWT,mdp.39015035518102,1.1641532182693481e-10,0.0,8.954545454545467,0.0,0.0,0.0,4.656612873077393e-10,1.1368683772161603e-13,1.0,88.0,0.0,3.183231456205249e-12,0.9545454545454546,83.5,,0.0,0.0,1.0,88.0,0.0,0.0,1.430511474609375e-06,0.0,0.0,8.954545454545467,197.00000000000045,8.9545454545455,0.0,0.0,0.0,1.1368683772161603e-13,0.0,1.1368683772161603e-13,0.0,0.0,0.0,1.1368683772161603e-13,0.0,1.3877787807814457e-17,1.1641532182693481e-10,0.0,0.0,0.0,0.0,0.0,0.0,0.8961049296465774,0.8303048639142837,0.0002627082626281837,0.6532356532356531,0.0014885932699717046,0.9999999996414048,0.9999999996414048,0.9999999996414043,0.9999999996414027,1.0,1.0,0.0,0.0,1.0,1.0,1.9999999994979656,0.9999999999999933,31,1.214836442478652,0.7832607745917669,25,0,0,0.7999999998565618,0.9999999999999952,28,0,0,0.47627934966582286,0.7535794285371242,24,3.1622776601683795,0.9957666965727331,27.0,26.73099625314377,0.97981105912974,4,rbio,332.3851851851852,337.0,182.7647123418271,135,0.6378250591016549,0.8150567084372216,0.3090054460976751,3,3.75,4
rbio3.1,1,symmetric,1.1953445276229738e-26,313.5618234894632,3900934.260859359,0.5961538461538461,500.9833690260464,101,raw,9.293336177614773e-14,-9.393108513222618e-11,"[1, 6, 9, 15, 19, 25, 29, 33, 37, 40, 45, 50, 55, 60, 64, 68, 76, 80, 84, 91, 94, 97]","[153.0, 191.9999999999999, 31.0, 220.9999999999999, 58.999999999999886, 358.0, 147.0, 302.00000000000006, 105.0, 57.0, 10.0, 423.0, 61.0, 230.9999999999999, 30.999999999999886, 88.0, 399.9999999999999, 151.9999999999999, 235.0, 144.99999999999994, 56.99999999999994, 130.0]",22,5.81237260648045,22279.299579326922,0.535318912312939,3.12651391172367e-05,1.0,0.48514851485148514,45254.99999999999,0.10127357753547658,0.14480042884734862,93259.49979200745,38913551.01614757,9,2988.9649389854585,0.0297029702970297,"[0.0, 0.009900990099009901, 0.019801980198019802, 0.0297029702970297, 0.039603960396039604, 0.04950495049504951, 0.0594059405940594, 0.06930693069306931, 0.07920792079207921, 0.0891089108910891, 0.09900990099009901, 0.10891089108910891, 0.1188118811881188, 0.12871287128712872, 0.13861386138613863, 0.1485148514851485, 0.15841584158415842, 0.16831683168316833, 0.1782178217821782, 0.18811881188118812, 0.19801980198019803, 0.2079207920792079, 0.21782178217821782, 0.22772277227722773, 0.2376237623762376]","[45254.99999999999, 2434.260414508426, 2711.166504937499, 2988.9649389854585, 2415.078913362169, 2881.955370498738, 1127.3653818112673, 1733.8245573697986, 1141.4606701647563, 443.777039511994, 841.1564708698025, 1592.10962561639, 287.751221695079, 357.5924020276444, 716.4576521090154, 267.82030350924657, 425.95043222153805, 369.4402010086281, 1069.2078803277934, 383.7632614012453, 1753.0697903282125, 90.81335386114569, 955.1336026326777, 652.4093787207111, 540.055235766148]",3.0,0.7,336.9999999999999,15,0.5,433367.6241115558,0.15319057847654366,0.1292301830292043,1666179.5312499993,1948707322.099637,"[0.03125, 0.09375, 0.0625, 0.0625, 0.34375]",2,433367.6241115558,0.03125,"[0.0, 0.03125, 0.0625, 0.09375, 0.125, 0.15625, 0.1875, 0.21875]","[9.14826214566703e-26, 433367.6241115558, 349926.40687829134, 126431.67699389304, 42215.15824782079, 59902.294248270795, 128515.17203639414, 64428.834951975456]",3.0,0.7,boxcar,32,16,336.9999999999999,15,22,163.09090909090907,10.0,423.0,"[1, 6, 9, 15, 19, 25, 29, 33, 37, 40, 45, 50, 55, 60, 64, 68, 76, 80, 84, 91, 94, 97]","[153.0, 191.9999999999999, 31.0, 220.9999999999999, 58.999999999999886, 358.0, 147.0, 302.00000000000006, 105.0, 57.0, 10.0, 423.0, 61.0, 230.9999999999999, 30.999999999999886, 88.0, 399.9999999999999, 151.9999999999999, 235.0, 144.99999999999994, 56.99999999999994, 130.0]","[0, 0, 0, 0, 18, 0, 26, 31, 35, 39, 42, 0, 54, 58, 58, 58, 0, 77, 77, 87, 92, 96]","[4, 7, 11, 21, 21, 31, 31, 42, 42, 42, 47, 58, 58, 61, 66, 71, 99, 81, 99, 99, 99, 99]",0.05,30,21699748.999999996,581.9999999999999,-581.9999999999999,DWT,mdp.39015035518102,1.1641532182693481e-10,0.0,8.954545454545467,1.4901161193847656e-08,0.0,0.0,6.984919309616089e-10,1.1368683772161603e-13,1.0,88.0,0.0,3.183231456205249e-12,0.9545454545454546,83.5,,0.0,0.0,1.0,88.0,0.0,0.0,1.430511474609375e-06,7.275957614183426e-12,0.0,8.954545454545467,197.00000000000045,8.954545454545501,0.0,0.0,0.0,1.1368683772161603e-13,0.0,1.1368683772161603e-13,0.0,0.0,0.0,1.1368683772161603e-13,0.0,0.0,1.1641532182693481e-10,2.7755575615628914e-17,0.0,0.0,0.0,0.0,2.7755575615628914e-17,0.8951861664036639,0.8327246940734481,0.0003799763895282436,0.8363858363858365,0.001649879388879477,0.9999999996414048,0.9999999996414048,0.9999999996414044,0.9999999996414027,1.0,1.0,0.0,0.0,1.0,1.0,1.9999999994979656,0.9999999999999933,30,1.288878321383573,0.8309989699532527,9,0,0,0.7999999998565618,0.9999999999999952,29,0,0,0.5132653105282713,0.8120994111275439,10,11.561430130683084,0.9845228512306786,19.5,14.340659340659341,0.979209216779998,5,rbio,332.3851851851852,337.0,182.7647123418271,135,0.6378250591016549,0.8150567084372216,0.3090054460976751,3,4.5,5
