wavelet,wavelet_level,wavelet_mode,wavelet_mse,wavelet_psnr,wavelet_energy_entropy,wavelet_sparsity,wavelet_adaptive_threshold,signal_length,signal_type,emd_value,kl_divergence,wavelet_entropy,avg_variance_across_levels,variance_ratio_across_levels,smoothness,correlation,dynamic_cutoff,dominant_frequency,amplitude_max,num_fft_peaks,positive_frequencies,positive_amplitudes,relative_num_peaks,avg_prominence,prominence_min,prominence_max,relative_peaks,relative_prominences,relative_left_bases,relative_right_bases,max_autocorrelation,upper_envelope,lower_envelope,spectral_magnitude,spectral_centroid,spectral_bandwidth,frequency_max,wavelet_type,htid,max_autocorrelation_diff,frequency_max_diff,relative_right_bases_array_alignment_score,relative_right_bases_global_alignment_score,relative_num_peaks_diff,relative_peaks_array_alignment_score,relative_peaks_global_alignment_score,spectral_centroid_diff,lower_envelope_diff,relative_prominences_avg_diff,relative_prominences_total_diff,relative_prominences_wasserstein,spectral_bandwidth_diff,spectral_magnitude_diff,avg_prominence_diff,num_fft_peaks_diff,amplitude_max_diff,prominence_min_diff,relative_left_bases_array_alignment_score,relative_left_bases_global_alignment_score,prominence_max_diff,upper_envelope_diff,dominant_frequency_diff,dynamic_cutoff_diff,wavelet_psnr_normalized,wavelet_entropy_normalized,wavelet_energy_entropy_normalized,wavelet_sparsity_normalized,avg_variance_across_levels_normalized,spectral_centroid_diff_normalized,amplitude_max_diff_normalized,frequency_max_diff_normalized,spectral_bandwidth_diff_normalized,num_fft_peaks_diff_normalized,dominant_frequency_diff_normalized,max_autocorrelation_diff_normalized,reconstruction_weighted_score,reconstruction_normalized_weighted_score,reconstruction_normalized_weighted_rank,signal_weighted_score,signal_normalized_weighted_score,signal_normalized_weighted_rank,reconstruction_missing_metrics_count,reconstruction_dynamically_weighted_score,reconstruction_normalized_dynamically_weighted_score,reconstruction_normalized_dynamically_weighted_rank,signal_missing_metrics_count,signal_dynamically_weighted_score,signal_normalized_dynamically_weighted_score,signal_normalized_dynamically_weighted_rank,rank_variability,normalized_rank_stability,average_rank,harmonic_average_rank,stability_score_weighted,stability_rank,wavelet_family,family_mean_stability_rank,family_median_stability_rank,family_rank_std_dev,family_wavelet_count,normalized_family_mean_rank,normalized_family_std_dev,final_family_stability_score,final_family_stability_rank,family_informed_rank
sym17,1,smooth,3.019719667713928e-20,248.45549035775494,110088664.16843888,0.5882352941176471,295.6121714184485,69,raw,1.2138731887611408e-10,6.323574996663266e-10,3.1915046096770427,2995454.5687897075,0.9987114758787281,1.3207638667368876e-05,1.0,322.99999999999324,,,,[],[],16,213.18750000029866,25.00000000001802,450.00000000049937,"[3, 8, 15, 19, 22, 27, 30, 35, 38, 43, 46, 51, 55, 58, 61, 65]","[349.000000000627, 268.00000000020066, 189.00000000022425, 25.00000000001802, 450.00000000049937, 204.00000000038227, 45.000000000156035, 52.00000000004127, 357.0000000003898, 49.000000000116245, 288.0000000003563, 42.00000000007003, 206.00000000009385, 408.00000000113437, 108.9999999999643, 370.0000000005048]","[0, 0, 0, 0, 0, 24, 29, 32, 32, 40, 40, 47, 54, 32, 60, 60]","[5, 9, 16, 20, 32, 32, 32, 36, 54, 45, 54, 54, 56, 67, 62, 67]",6764700.000001493,460.0000000001461,-460.0000000001461,0.0,,,,DWT,inu.32000013032828,1.492910087108612e-06,,0.0,34,6.0,0.0,34,,1.460875864722766e-10,79.31249999970134,486.0000000047785,79.31249999982575,,0.0,79.31249999970134,,,16.99999999998198,0.0,34,4.993694346921984e-10,1.460875864722766e-10,,6.764366844436154e-12,0.17176365695226437,0.1127257478456698,1.0,0.2906574394463668,0.9999999999999999,,,,,,,0.10751894828627004,0.05375947414313502,0.10751894828627004,51,1.1756840438727403,0.8022928974021165,217,0,0.10751894828627004,0.10751894828627004,51,0,0.5150293688488602,0.8765125779435047,59,81.75369512546003,0.8683515376401609,94.5,65.81855753238244,0.8580888122983413,1,sym,375.8541666666667,399.5,183.40489689834808,144,1.0,1.0,0.0,6,2.25
bior1.5,1,antireflect,4.4662789244930376e-27,316.75569821567814,1585447.2443084447,0.6538461538461539,324.08139760972455,69,raw,5.025287754361291e-14,-7.224987275122911e-11,5.255918923546258,31217.430336154037,0.7838683323140981,1.3207638667392622e-05,0.9999999999999998,323.0,,,,[],[],16,213.18750000000006,25.000000000000057,450.00000000000006,"[3, 8, 15, 19, 22, 27, 30, 35, 38, 43, 46, 51, 55, 58, 61, 65]","[349.0000000000001, 268.0, 189.00000000000006, 25.000000000000057, 450.00000000000006, 204.0000000000001, 45.0, 52.000000000000114, 357.0, 49.0, 288.00000000000006, 41.99999999999994, 206.0, 408.0000000000001, 109.00000000000003, 370.0000000000001]","[0, 0, 0, 0, 0, 24, 29, 32, 32, 40, 40, 47, 54, 32, 60, 60]","[5, 9, 16, 20, 32, 32, 32, 36, 54, 45, 54, 54, 56, 67, 62, 67]",6764700.000000002,460.00000000000006,-460.00000000000006,0.0,,,,DWT,inu.32000013032828,1.862645149230957e-09,,0.0,34,6.0,0.0,34,,5.684341886080802e-14,79.31249999999994,486.0000000000009,79.31249999999997,,0.0,79.31249999999994,,,16.999999999999943,0.0,34,5.684341886080802e-14,5.684341886080802e-14,,0.0,0.910725101089429,0.830888238661379,0.002787781792669042,0.6598793363499246,0.005477286437841877,,,,,,,0.000134147159433899,6.70735797169495e-05,0.000134147159433899,192,1.2294157199957878,0.8389596722415802,143,0,0.000134147159433899,0.000134147159433899,213,0,0.4819515488662487,0.8202184576091394,138,36.864617182333525,0.9406366873070313,171.5,165.6825618251979,0.8322346077436928,2,bior,292.162962962963,301.0,176.53037485058104,135,0.7773306480916924,0.9625172382852065,0.16711337485025335,4,2.5
rbio3.1,1,zero,6.925146933300188e-27,314.85086670948755,1311607.1586983013,0.6666666666666666,361.9450863850222,69,raw,6.642029921235721e-14,-6.465417090595362e-11,5.349441153907211,21481.560667438273,0.5623174494314566,1.3207638667392632e-05,1.0,322.9999999999999,,,,[],[],16,213.18749999999994,25.000000000000057,449.99999999999983,"[3, 8, 15, 19, 22, 27, 30, 35, 38, 43, 46, 51, 55, 58, 61, 65]","[349.0, 267.9999999999999, 188.99999999999994, 25.000000000000057, 449.99999999999983, 203.99999999999991, 45.0, 52.0, 356.9999999999999, 49.000000000000114, 287.9999999999999, 41.999999999999886, 206.0, 407.9999999999999, 108.99999999999997, 369.99999999999994]","[0, 0, 0, 0, 0, 24, 29, 32, 32, 40, 40, 47, 54, 32, 60, 60]","[5, 9, 16, 20, 32, 32, 32, 36, 54, 45, 54, 54, 56, 67, 62, 67]",6764699.999999998,459.99999999999983,-459.99999999999983,0.0,,,,DWT,inu.32000013032828,1.862645149230957e-09,,0.0,34,6.0,0.0,34,,1.7053025658242404e-13,79.31250000000006,485.9999999999991,79.31250000000004,,0.0,79.31250000000006,,,16.999999999999943,0.0,34,1.7053025658242404e-13,1.7053025658242404e-13,,1.1368683772161603e-13,0.8901161295387036,0.8634224821276437,0.0002710206592519376,0.7320261437908494,0.0022108326861457134,,,,,,,0.000134147159433899,6.70735797169495e-05,0.000134147159433899,205,1.259611219707468,0.8595652380638301,107,0,0.000134147159433899,0.000134147159433899,196,0,0.4976093217605188,0.8468659377617481,97,57.133615324080445,0.907997398834009,151.25,134.97479629530585,0.8322193113332685,3,rbio,249.7925925925926,196.0,174.24048813612427,135,0.6645997696604647,0.9500318207572005,0.24977061501051454,3,3.0
bior1.5,1,periodization,3.799166751042315e-27,317.4582730756357,1354439.5433683167,0.6571428571428571,324.08139760972455,69,raw,4.7750789631187144e-14,-7.212919150845235e-11,5.159128568992076,16147.290208466202,0.6024972258381851,1.3207638667392622e-05,0.9999999999999999,323.0,,,,[],[],16,213.18750000000006,25.000000000000057,450.00000000000006,"[3, 8, 15, 19, 22, 27, 30, 35, 38, 43, 46, 51, 55, 58, 61, 65]","[349.0000000000001, 268.0, 189.0, 25.000000000000057, 450.00000000000006, 204.0000000000001, 45.0, 52.000000000000114, 357.00000000000006, 49.0, 288.00000000000006, 41.99999999999994, 206.0, 408.00000000000006, 109.0, 370.00000000000006]","[0, 0, 0, 0, 0, 24, 29, 32, 32, 40, 40, 47, 54, 32, 60, 60]","[5, 9, 16, 20, 32, 32, 32, 36, 54, 45, 54, 54, 56, 67, 62, 67]",6764700.000000002,460.00000000000006,-460.00000000000006,0.0,,,,DWT,inu.32000013032828,1.862645149230957e-09,,0.0,34,6.0,0.0,34,,5.684341886080802e-14,79.31249999999994,486.0000000000009,79.31249999999997,,0.0,79.31249999999994,,,16.999999999999943,0.0,34,5.684341886080802e-14,5.684341886080802e-14,,0.0,0.9183264796124444,0.7972170895870024,0.0006646769815134452,0.6784313725490195,0.0004211468803403738,,,,,,,0.000134147159433899,6.70735797169495e-05,0.000134147159433899,209,1.2214777788234685,0.8335427799602413,159,0,0.000134147159433899,0.000134147159433899,201,0,0.479012153122064,0.8152159907651805,147,30.59411708155671,0.9507341109797799,179.0,175.0405892158923,0.8312446722370719,4,bior,292.162962962963,301.0,176.53037485058104,135,0.7773306480916924,0.9625172382852065,0.16711337485025335,4,4.0
bior1.5,1,reflect,4.3733533964113504e-27,316.84701090680954,1435129.741433379,0.6538461538461539,324.08139760972455,69,raw,4.870821942239528e-14,-7.226397258364185e-11,5.309477719022722,17044.023111036156,0.5982586826733862,1.3207638667392622e-05,0.9999999999999999,323.0,,,,[],[],16,213.18750000000006,25.000000000000057,450.00000000000006,"[3, 8, 15, 19, 22, 27, 30, 35, 38, 43, 46, 51, 55, 58, 61, 65]","[349.0000000000001, 268.0, 189.00000000000006, 25.000000000000057, 450.00000000000006, 204.0000000000001, 45.0, 52.000000000000114, 357.0, 49.0, 288.00000000000006, 41.99999999999994, 206.0, 408.00000000000006, 109.00000000000003, 370.0000000000001]","[0, 0, 0, 0, 0, 24, 29, 32, 32, 40, 40, 47, 54, 32, 60, 60]","[5, 9, 16, 20, 32, 32, 32, 36, 54, 45, 54, 54, 56, 67, 62, 67]",6764700.000000002,460.00000000000006,-460.00000000000006,0.0,,,,DWT,inu.32000013032828,1.862645149230957e-09,,0.0,34,6.0,0.0,34,,5.684341886080802e-14,79.31249999999994,486.0000000000009,79.31249999999996,,0.0,79.31249999999994,,,16.999999999999943,0.0,34,5.684341886080802e-14,5.684341886080802e-14,,0.0,0.9117130418325505,0.849520117788576,0.0014062702142404895,0.6598793363499246,0.0007220071684850685,,,,,,,0.000134147159433899,6.70735797169495e-05,0.000134147159433899,204,1.2367315565083024,0.8439520370721952,139,0,0.000134147159433899,0.000134147159433899,205,0,0.48464815467075534,0.8248077277524876,131,40.26060936780102,0.9351681008570032,169.75,162.54980860383284,0.8309093322320442,5,bior,292.162962962963,301.0,176.53037485058104,135,0.7773306480916924,0.9625172382852065,0.16711337485025335,4,4.75
sym9,1,symmetric,1.0022768478927378e-25,303.245279648806,1456000.731483211,0.686046511627907,317.2068487744205,69,raw,2.6258544453148847e-13,-6.307165900665285e-11,5.461026305702651,17708.073085548313,0.5848752082637019,1.3207638667392627e-05,1.0,322.9999999999997,,,,[],[],16,213.18750000000034,25.000000000000398,450.0000000000004,"[3, 8, 15, 19, 22, 27, 30, 35, 38, 43, 46, 51, 55, 58, 61, 65]","[349.0000000000008, 268.0000000000003, 188.99999999999994, 25.000000000000398, 450.0000000000004, 204.0000000000005, 45.0000000000004, 52.00000000000057, 357.0000000000001, 49.0000000000004, 288.00000000000034, 42.00000000000006, 206.00000000000034, 408.0000000000008, 108.99999999999937, 370.0000000000008]","[0, 0, 0, 0, 0, 24, 29, 32, 32, 40, 40, 47, 54, 32, 60, 60]","[5, 9, 16, 20, 32, 32, 32, 36, 54, 45, 54, 54, 56, 67, 62, 67]",6764699.999999998,460.0000000000001,-460.0000000000001,0.0,,,,DWT,inu.32000013032828,1.862645149230957e-09,,0.0,34,6.0,0.0,34,,1.1368683772161603e-13,79.31249999999966,486.00000000000546,79.31249999999974,,0.0,79.31249999999966,,,16.999999999999602,0.0,34,3.979039320256561e-13,1.1368683772161603e-13,,2.8421709430404007e-13,0.7645516306390716,0.902240402548505,0.0015980876264221878,0.8410852713178294,0.0009448006737770407,,,,,,,0.000134147159433899,6.70735797169495e-05,0.000134147159433899,197,1.2474622522675491,0.8512747195877016,131,0,0.000134147159433899,0.000134147159433899,200,0,0.5020840385611212,0.8544813200985446,73,60.549566472436446,0.9024966723471233,150.25,127.35462765221656,0.8302741010688918,6,sym,375.8541666666667,399.5,183.40489689834808,144,1.0,1.0,0.0,6,6.0
bior1.5,1,antisymmetric,4.7472505999526256e-27,316.4907350531154,1463365.658858161,0.6666666666666666,333.90154964121535,69,raw,5.025287754361289e-14,-7.224287834617397e-11,5.332908017244297,48185.56255238751,0.7585442844102895,1.3207638667392622e-05,0.9999999999999999,323.0,,,,[],[],16,213.18750000000006,25.000000000000057,450.00000000000006,"[3, 8, 15, 19, 22, 27, 30, 35, 38, 43, 46, 51, 55, 58, 61, 65]","[349.0000000000001, 268.0, 189.00000000000006, 25.000000000000057, 450.00000000000006, 204.0000000000001, 45.0, 52.000000000000114, 357.0, 49.0, 288.00000000000006, 41.99999999999994, 206.0, 408.0000000000001, 109.00000000000003, 370.00000000000017]","[0, 0, 0, 0, 0, 24, 29, 32, 32, 40, 40, 47, 54, 32, 60, 60]","[5, 9, 16, 20, 32, 32, 32, 36, 54, 45, 54, 54, 56, 67, 62, 67]",6764700.000000002,460.00000000000006,-460.00000000000006,0.0,,,,DWT,inu.32000013032828,1.862645149230957e-09,,0.0,34,6.0,0.0,34,,5.684341886080802e-14,79.31249999999994,486.0000000000009,79.31249999999997,,0.0,79.31249999999994,,,16.999999999999943,0.0,34,5.684341886080802e-14,5.684341886080802e-14,,0.0,0.907858381244918,0.857670982282353,0.0016657759012283179,0.7320261437908494,0.011170215885643682,,,,,,,0.000134147159433899,6.70735797169495e-05,0.000134147159433899,193,1.2716619517093386,0.8677887201668532,80,0,0.000134147159433899,0.000134147159433899,209,0,0.5020782998209986,0.8544715535139512,74,71.93052203341777,0.884169851798039,139.0,111.17426532326753,0.8301686618088424,7,bior,292.162962962963,301.0,176.53037485058104,135,0.7773306480916924,0.9625172382852065,0.16711337485025335,4,6.25
rbio3.1,1,antisymmetric,6.984963168896078e-27,314.8135154290398,1304790.319482365,0.6666666666666666,347.00600606355493,69,raw,6.719262827296603e-14,-6.461742252383853e-11,5.345648038887271,24994.263406635797,0.541569791460211,1.3207638667392632e-05,1.0,322.9999999999999,,,,[],[],16,213.18749999999994,25.000000000000057,449.99999999999983,"[3, 8, 15, 19, 22, 27, 30, 35, 38, 43, 46, 51, 55, 58, 61, 65]","[349.0, 267.9999999999999, 188.99999999999994, 25.000000000000057, 449.99999999999983, 203.99999999999991, 45.0, 52.0, 356.9999999999999, 49.000000000000114, 287.9999999999999, 41.999999999999886, 206.0, 407.9999999999999, 108.99999999999997, 369.99999999999994]","[0, 0, 0, 0, 0, 24, 29, 32, 32, 40, 40, 47, 54, 32, 60, 60]","[5, 9, 16, 20, 32, 32, 32, 36, 54, 45, 54, 54, 56, 67, 62, 67]",6764699.999999998,459.99999999999983,-459.99999999999983,0.0,,,,DWT,inu.32000013032828,1.862645149230957e-09,,0.0,34,6.0,0.0,34,,1.7053025658242404e-13,79.31250000000006,485.9999999999991,79.31250000000004,,0.0,79.31250000000006,,,16.999999999999943,0.0,34,1.7053025658242404e-13,1.7053025658242404e-13,,1.1368683772161603e-13,0.8897120142804095,0.8621029442265694,0.00020836965637485282,0.7320261437908494,0.0033893695227587553,,,,,,,0.000134147159433899,6.70735797169495e-05,0.000134147159433899,213,1.2591490708351611,0.8592498652732181,108,0,0.000134147159433899,0.000134147159433899,193,0,0.4974877682953924,0.8466590696732077,98,58.45225972250061,0.9058739779025755,153.0,136.33486479791952,0.8297485831541863,8,rbio,249.7925925925926,196.0,174.24048813612427,135,0.6645997696604647,0.9500318207572005,0.24977061501051454,3,6.75
sym9,1,antisymmetric,1.0183177055982364e-25,303.1763236840558,1457417.0012570915,0.6511627906976745,298.87330340917487,69,raw,2.619933255850217e-13,-6.118150430722852e-11,5.45571946045214,57070.043109180726,0.8408553295350303,1.3207638667392632e-05,1.0,322.9999999999997,,,,[],[],16,213.18750000000026,25.000000000000398,450.0000000000004,"[3, 8, 15, 19, 22, 27, 30, 35, 38, 43, 46, 51, 55, 58, 61, 65]","[349.0000000000008, 268.00000000000034, 188.99999999999994, 25.000000000000398, 450.0000000000004, 204.0000000000005, 45.0000000000004, 52.00000000000057, 357.0000000000001, 49.0000000000004, 288.00000000000034, 42.00000000000006, 206.00000000000034, 408.00000000000034, 108.99999999999932, 370.0]","[0, 0, 0, 0, 0, 24, 29, 32, 32, 40, 40, 47, 54, 32, 60, 60]","[5, 9, 16, 20, 32, 32, 32, 36, 54, 45, 54, 54, 56, 67, 62, 67]",6764699.999999996,460.0000000000001,-460.0000000000001,0.0,,,,DWT,inu.32000013032828,3.725290298461914e-09,,0.0,34,6.0,0.0,34,,1.1368683772161603e-13,79.31249999999974,486.0000000000041,79.3124999999998,,0.0,79.31249999999974,,,16.999999999999602,0.0,34,3.979039320256561e-13,1.1368683772161603e-13,,2.8421709430404007e-13,0.7638055743547381,0.9003942725454933,0.0016111040287264521,0.644778841769266,0.014151022514543109,,,,,,,0.000268294318867798,0.000134147159433899,0.000268294318867798,190,1.1728579786134765,0.8003643757921494,219,0,0.000268294318867798,0.000268294318867798,190,0,0.4649481630425534,0.7912809203665421,181,16.55294535724685,0.9733446934665912,195.0,194.0109996264764,0.8296675158154212,9,sym,375.8541666666667,399.5,183.40489689834808,144,1.0,1.0,0.0,6,8.25
rbio3.1,1,antireflect,6.951305103606648e-27,314.8344931257401,1493613.5080990237,0.6805555555555556,390.250712257276,69,raw,6.657476502447898e-14,-6.466649438152696e-11,5.389584169599184,27808.256932388107,0.6324651719617946,1.3207638667392632e-05,1.0,322.9999999999999,,,,[],[],16,213.18749999999994,25.000000000000057,449.99999999999983,"[3, 8, 15, 19, 22, 27, 30, 35, 38, 43, 46, 51, 55, 58, 61, 65]","[349.0, 267.9999999999999, 188.99999999999994, 25.000000000000057, 449.99999999999983, 203.99999999999991, 45.0, 52.0, 356.9999999999999, 49.000000000000114, 287.9999999999999, 41.999999999999886, 206.0, 407.99999999999983, 108.99999999999997, 369.99999999999994]","[0, 0, 0, 0, 0, 24, 29, 32, 32, 40, 40, 47, 54, 32, 60, 60]","[5, 9, 16, 20, 32, 32, 32, 36, 54, 45, 54, 54, 56, 67, 62, 67]",6764699.999999998,459.99999999999983,-459.99999999999983,0.0,,,,DWT,inu.32000013032828,1.862645149230957e-09,,0.0,34,6.0,0.0,34,,1.7053025658242404e-13,79.31250000000006,485.9999999999991,79.31250000000004,,0.0,79.31250000000006,,,16.999999999999943,0.0,34,1.7053025658242404e-13,1.7053025658242404e-13,,1.1368683772161603e-13,0.8899389785830741,0.8773873185195055,0.0019437724960995387,0.8101851851851853,0.004333484432079929,,,,,,,0.000134147159433899,6.70735797169495e-05,0.000134147159433899,201,1.2994364005045531,0.8867421482700854,59,0,0.000134147159433899,0.000134147159433899,206,0,0.516757747843189,0.8794540527789467,52,85.51997817274433,0.8622866696091074,129.5,86.93872749216304,0.8268760240155038,10,rbio,249.7925925925926,196.0,174.24048813612427,135,0.6645997696604647,0.9500318207572005,0.24977061501051454,3,8.25
