signal_type,wavelet,wavelet_energy_entropy,wavelet_sparsity,wavelet_adaptive_threshold,wavelet_psnr,signal_length,decomposition_levels,original_level,padded,emd_value,kl_divergence,wavelet_entropy,avg_variance_across_levels,variance_ratio_across_levels,smoothness,correlation,dynamic_cutoff,dominant_frequency,amplitude_max,num_fft_peaks,positive_frequencies,positive_amplitudes,relative_num_peaks,avg_prominence,prominence_min,prominence_max,relative_peaks,relative_prominences,relative_left_bases,relative_right_bases,max_autocorrelation,upper_envelope,lower_envelope,spectral_magnitude,spectral_centroid,spectral_bandwidth,frequency_max,wavelet_type,htid,max_autocorrelation_diff,frequency_max_diff,relative_right_bases_array_alignment_score,relative_right_bases_global_alignment_score,relative_num_peaks_diff,relative_peaks_array_alignment_score,relative_peaks_global_alignment_score,spectral_centroid_diff,lower_envelope_diff,relative_prominences_avg_diff,relative_prominences_total_diff,relative_prominences_wasserstein,spectral_bandwidth_diff,spectral_magnitude_diff,avg_prominence_diff,num_fft_peaks_diff,amplitude_max_diff,prominence_min_diff,relative_left_bases_array_alignment_score,relative_left_bases_global_alignment_score,prominence_max_diff,upper_envelope_diff,dominant_frequency_diff,dynamic_cutoff_diff,emd_value_normalized,smoothness_normalized,wavelet_psnr_normalized,wavelet_entropy_normalized,wavelet_energy_entropy_normalized,wavelet_sparsity_normalized,correlation_normalized,avg_variance_across_levels_normalized,kl_divergence_normalized,prominence_min_diff_normalized,avg_prominence_diff_normalized,relative_prominences_avg_diff_normalized,relative_prominences_wasserstein_normalized,spectral_centroid_diff_normalized,spectral_magnitude_diff_normalized,dynamic_cutoff_diff_normalized,relative_prominences_total_diff_normalized,prominence_max_diff_normalized,amplitude_max_diff_normalized,frequency_max_diff_normalized,spectral_bandwidth_diff_normalized,num_fft_peaks_diff_normalized,relative_num_peaks_diff_normalized,dominant_frequency_diff_normalized,max_autocorrelation_diff_normalized,relative_right_bases_global_alignment_score_normalized,relative_left_bases_global_alignment_score_normalized,upper_envelope_diff_normalized,lower_envelope_diff_normalized,relative_peaks_global_alignment_score_normalized,reconstruction_weighted_score,reconstruction_normalized_weighted_score,reconstruction_normalized_weighted_rank,signal_weighted_score,signal_normalized_weighted_score,signal_normalized_weighted_rank,reconstruction_missing_metrics_count,reconstruction_dynamically_weighted_score,reconstruction_normalized_dynamically_weighted_score,reconstruction_normalized_dynamically_weighted_rank,signal_missing_metrics_count,signal_dynamically_weighted_score,signal_normalized_dynamically_weighted_score,signal_normalized_dynamically_weighted_rank,rank_variability,normalized_rank_stability,average_rank,harmonic_average_rank,stability_score_weighted,stability_rank,wavelet_family,family_mean_stability_rank,family_median_stability_rank,family_rank_std_dev,family_wavelet_count,normalized_family_mean_rank,normalized_family_std_dev,final_family_stability_score,final_family_stability_rank,family_informed_rank,top_wavelet_rank
smoothed,rbio3.1,578777.3011087464,0.6893203883495146,142.10472544385158,9.903465276478995,206,1,False,False,145.2518003499386,,7.484616100710685,96265.01549774954,1.0,4.9456691170559075e-05,0.7446920256931733,490.1840983880444,,,,[],[],11,697.5190560580043,337.36064530410175,1085.7624625119436,"[8, 30, 52, 63, 79, 99, 109, 128, 153, 174, 190]","[649.4775785198439, 468.91786194385895, 887.2068783547613, 758.9730635865807, 1085.7624625119436, 600.1922358711415, 337.36064530410175, 920.4762524095881, 704.8440394867505, 617.8699054008052, 641.6286932486732]","[0, 19, 0, 58, 0, 84, 105, 114, 143, 164, 185]","[36, 36, 70, 70, 202, 114, 114, 202, 202, 185, 202]",63869722.39749998,1169.8728141340835,-1169.8728141340835,0.0,,,,SWT,mdp.39015067403892,33133246.557499982,,0.0,-16.5,11.0,0.0,-16.5,,441.4728141340835,439.3190560580043,1992.3096166380483,439.31905605800443,,0.0,439.3190560580043,,,333.16064530410176,0.0,-16.5,357.3624625119436,441.4728141340835,,127.78409838804441,1.0,0.031518437348267536,0.5448158284586859,1.0,1.0,0.6666666666666669,0.8007363913130802,1.0,,0.7597592212453589,1.0,1.0,1.0,,0.0,0.13184684718804673,0.7526503808390868,0.683812395575583,,,,,0.75,,1.0,0.010000000000000009,0.0,0.9999999999999999,0.9999999999999999,0.010000000000000009,3.115082578174966,1.0,1,2.6233062514715906,1.0,1,0,0.6065379229898717,1.0,1,0,0.7554671654733376,1.0,1,0.0,1.0,1.0,1.0,0.9952830188679245,1,rbio,40.266666666666666,40.0,30.07007688399755,15,0.5815916171056358,0.9358444144197099,0.312132543700142,2,1.25,1
smoothed,bior1.5,93166.10559659397,0.7330097087378641,55.45805957934157,12.963592344342567,206,1,False,False,142.67882324922286,,7.2230867922583,92314.7992473644,1.0,7.769132247915357e-05,0.9990906296508749,515.9001357091499,,,,[],[],11,623.7144844477461,40.962474863267516,1059.1619892871822,"[9, 31, 53, 64, 80, 102, 131, 146, 158, 175, 200]","[440.2988198296789, 598.1493601861199, 851.1234402816808, 661.8420035014979, 1059.1619892871822, 549.7401670334816, 829.8130096636712, 40.962474863267516, 660.9481763359045, 551.214042730517, 617.605845212206]","[1, 1, 1, 60, 1, 94, 119, 144, 144, 170, 186]","[20, 38, 75, 75, 204, 119, 204, 149, 204, 186, 204]",62242233.30234133,1054.1514748298682,-1054.1514748298682,0.0,,,,SWT,mdp.39015067403892,31505757.46234133,,0.0,6.0,11.0,0.0,28.5,,325.75147482986824,365.5144844477462,1180.4593289252089,365.5144844477461,,0.0,365.5144844477462,,,36.76247486326753,0.0,24.0,330.76198928718225,325.75147482986824,,153.50013570914996,0.20981583911112192,0.7160432403845752,0.9483109929729368,0.24880251688029809,0.1334831755018577,0.9999999999999999,0.9992902516347504,0.5641117269026574,,0.03936446878441044,0.6868070173861209,0.6868070173861209,0.6864097943860824,,0.0,0.40391014694434163,0.3880803911544326,0.5639073306165003,,,,,0.75,,0.655485501377997,0.4599999999999999,0.8181818181818181,0.5068856032639637,0.5068856032639637,0.91,2.448080597553224,0.7858798398171137,10,2.063247957238512,0.7865067054527455,2,0,0.5375149795163836,0.8862017676763787,6,0,0.6024822179235247,0.7974962320778558,3,3.593976442141304,0.9660945618665915,5.25,3.6363636363636367,0.9582831299898995,2,bior,25.933333333333334,23.0,23.553788493169254,15,0.37456811101670917,0.7330437326379493,0.5178892024969188,1,1.75,2
smoothed,bior1.3,93166.10559659397,0.7330097087378641,55.45805957934157,12.999085692425696,206,1,False,False,142.5934062088923,,7.226663072300448,92028.20750624473,1.0,7.686119029677939e-05,0.999519909615284,515.0035464076923,,,,[],[],11,619.7662372230783,41.63091174235802,1056.258432066935,"[9, 31, 53, 64, 80, 102, 131, 148, 158, 175, 200]","[444.18680227185945, 598.4067912486456, 849.853962638582, 651.4044444985773, 1056.258432066935, 545.3384273205953, 832.3177144651556, 41.63091174235802, 653.8086075546115, 541.6614720584251, 602.5610435881165]","[1, 1, 1, 60, 1, 94, 120, 144, 144, 170, 186]","[20, 39, 75, 75, 204, 120, 204, 149, 204, 186, 204]",62124157.504999995,1051.1319079033326,-1051.1319079033326,0.0,,,,SWT,mdp.39015067403892,31387681.665,,0.0,10.5,11.0,0.0,33.0,,322.7319079033326,361.56623722307836,1137.0286094538624,361.56623722307836,,0.0,361.56623722307836,,,37.430911742358035,0.0,28.5,327.85843206693505,322.7319079033326,,152.6035464076923,0.18358350602100815,0.6959173863430239,0.9529909928573738,0.25907475972179794,0.1334831755018577,0.9999999999999999,0.9996252974752784,0.5324876407254933,,0.040989102362046836,0.6700524546617324,0.6700524546617324,0.6696339818315923,,0.0,0.3944246635926526,0.3685773655482307,0.5508191718396078,,,,,0.75,,0.6304906647050812,0.55,0.909090909090909,0.49401855616326995,0.49401855616326995,1.0,2.4308908442723163,0.7803616062391845,11,2.04476900631577,0.7794625599541496,3,0,0.5461445253746751,0.9004293131128667,3,0,0.5946453448307292,0.7871226864746059,4,3.8622100754188224,0.9635640558922752,5.25,3.9699248120300754,0.9570178770027413,3,bior,25.933333333333334,23.0,23.553788493169254,15,0.37456811101670917,0.7330437326379493,0.5178892024969188,1,2.5,3
smoothed,rbio5.5,28644.880251069513,0.6796116504854369,26.04064487135866,12.369399877874939,206,1,False,False,144.38436651873832,,7.140898160566853,94657.81408315527,1.0,8.30339390033804e-05,0.9800531679321288,490.4869152171739,,,,[],[],13,632.5788674330846,56.0262005208578,1138.297542035901,"[9, 33, 53, 64, 80, 90, 101, 111, 130, 147, 159, 176, 192]","[723.2955879637193, 457.5584911631306, 839.3082447072417, 757.77778858724, 1138.297542035901, 373.3213326330769, 568.3212008948867, 366.54788906512334, 919.2216582711983, 56.0262005208578, 739.9773283734609, 615.8913858711016, 667.9806265431621]","[0, 19, 0, 59, 0, 86, 96, 107, 123, 144, 148, 171, 186]","[39, 39, 74, 74, 204, 96, 123, 123, 204, 148, 204, 186, 204]",63553505.22519607,1073.8019408161688,-1073.8019408161688,0.0,,,,SWT,mdp.39015067403892,32817029.385196075,,0.0,-11.0,9.0,0.0,7.0,,345.4019408161688,374.3788674330847,2543.1252766301013,374.3788674330846,,0.0,374.3788674330847,,,51.82620052085781,0.0,-2.0,409.897542035901,345.4019408161688,,128.0869152171739,0.7336033523800304,0.8455704682762202,0.8699633356065817,0.012729957238640038,0.018352536390112216,0.5925925925925928,0.9844318308094083,0.8226526841261419,,0.07597680313215428,0.724423420891185,0.724423420891185,0.7240739068165711,,0.0,0.13505050351837453,1.0,0.9206210444189797,,,,,0.25,,0.9330616709531141,0.12,0.29292929292929293,0.5906206147897388,0.5906206147897388,0.48,2.6425770501733874,0.8483168531993122,3,1.9711422373864576,0.7513961575323926,5,0,0.5041200862086891,0.8311435560758945,14,0,0.609987094677466,0.8074303193511778,2,5.477225575051661,0.9483280606127202,6.0,3.6206896551724137,0.9458621435139073,4,rbio,40.266666666666666,40.0,30.07007688399755,15,0.5815916171056358,0.9358444144197099,0.312132543700142,2,3.5,4
smoothed,sym15,35044.263664215454,0.6699029126213593,28.270424685594417,12.691977254777262,206,1,False,False,143.58759817233852,,7.195999025538052,90447.61084361815,1.0,7.297859629567061e-05,0.967470326466462,499.612133579178,,,,[],[],10,682.1912816410754,427.2748238179349,1023.1228706291053,"[10, 32, 54, 65, 81, 102, 131, 158, 176, 200]","[694.0343413367781, 427.2748238179349, 857.8002635462803, 632.5778350025588, 1023.1228706291053, 570.3222078809733, 855.9683850789627, 649.6012193028193, 506.0173272610406, 605.1935425543003]","[1, 20, 1, 60, 1, 95, 122, 147, 170, 187]","[38, 38, 76, 76, 205, 122, 205, 205, 187, 205]",61492773.83006259,1068.4272698199331,-1068.4272698199331,0.0,,,,SWT,mdp.39015067403892,30756297.990062594,,0.0,-17.0,12.0,0.0,1.0,,340.02726981993317,423.9912816410755,1141.5128164107555,423.99128164107526,,0.0,423.9912816410755,,,423.0748238179349,0.0,5.5,294.7228706291053,340.02726981993317,,137.21213357917804,0.48890870389380536,0.6017871721096286,0.9124969980576146,0.1709976149976143,0.029771493459372238,0.5185185185185188,0.9746111332585714,0.35807603739401833,,0.9782953285258598,0.9349559074494591,0.9349559074494591,0.9348734119562253,,0.0,0.23159092254032246,0.3705910462831652,0.4014563536262751,,,,,1.0,,0.49683641727802036,0.0,0.4444444444444444,0.5677179447904221,0.5677179447904221,0.36,2.628693158838806,0.8438598633808543,4,1.7155737915325358,0.6539738890837293,18,0,0.5482290419422717,0.9038660587615497,2,0,0.506895958961143,0.6709702050962699,16,8.16496580927726,0.9229720206671956,10.0,4.608,0.9143161990128431,5,sym,47.10526315789474,39.0,32.13149153926739,19,0.6803648884317847,1.0,0.22374457809775072,3,4.5,5
smoothed,db1,93166.10559659397,0.7330097087378641,55.45805957934157,13.165043942863448,206,1,False,False,141.9956263742145,-24474.472427827226,7.245336461882035,90447.61084362336,1.0,7.48384326284766e-05,0.9999999999999996,512.5109950040097,,,,[],[],11,603.3035057083624,45.53767670841367,1030.1131588325625,"[9, 31, 53, 64, 80, 102, 131, 148, 158, 175, 192]","[439.8204178980325, 590.8584263594793, 833.820316375177, 611.2231016576517, 1030.1131588325625, 524.6732316404184, 830.1433611130068, 45.53767670841367, 633.8505186556213, 520.430590953299, 575.8677625983244]","[1, 1, 1, 60, 1, 94, 120, 144, 144, 165, 186]","[20, 40, 75, 75, 203, 120, 203, 149, 203, 186, 203]",61472951.68000001,1030.1131588325625,-1030.1131588325625,0.0,,,,SWT,mdp.39015067403892,30736475.84000001,,0.0,33.0,11.0,0.0,33.0,,301.7131588325625,345.1035057083625,955.9385627919874,345.1035057083624,,0.0,345.1035057083625,,,41.33767670841368,0.0,33.0,301.7131588325625,301.7131588325625,,150.11099500400974,0.0,0.6468773340982591,0.974873532398331,0.31271082574441667,0.1334831755018577,0.9999999999999999,0.9999999999999999,0.3580760373945932,0.0,0.050484481420759904,0.6001921211814045,0.6001921211814045,0.599685044414429,,0.0,0.36805466921013896,0.28725695778006183,0.4329659795654868,,,,,0.75,,0.4926403719031324,0.9999999999999999,0.9999999999999999,0.4044529857118969,0.4044529857118969,1.0,2.2074063139735687,0.7086188756083707,23,1.9453147352494504,0.7415507564769426,9,0,0.5326918478720409,0.8782498631679723,10,0,0.5532526131421821,0.7323317788345466,8,7.047458170621991,0.9335145455601699,12.5,10.537702831689469,0.9077950086291415,6,db,67.97368421052632,67.5,23.987031228162124,38,0.9817779367705585,0.7465271631990054,0.08879729530090745,4,5.5,6
smoothed,bior1.1,93166.10559659397,0.7330097087378641,55.45805957934157,13.165043942863448,206,1,False,False,141.9956263742145,-24474.472427827226,7.245336461882035,90447.61084362336,1.0,7.48384326284766e-05,0.9999999999999996,512.5109950040097,,,,[],[],11,603.3035057083624,45.53767670841367,1030.1131588325625,"[9, 31, 53, 64, 80, 102, 131, 148, 158, 175, 192]","[439.8204178980325, 590.8584263594793, 833.820316375177, 611.2231016576517, 1030.1131588325625, 524.6732316404184, 830.1433611130068, 45.53767670841367, 633.8505186556213, 520.430590953299, 575.8677625983244]","[1, 1, 1, 60, 1, 94, 120, 144, 144, 165, 186]","[20, 40, 75, 75, 203, 120, 203, 149, 203, 186, 203]",61472951.68000001,1030.1131588325625,-1030.1131588325625,0.0,,,,SWT,mdp.39015067403892,30736475.84000001,,0.0,33.0,11.0,0.0,33.0,,301.7131588325625,345.1035057083625,955.9385627919874,345.1035057083624,,0.0,345.1035057083625,,,41.33767670841368,0.0,33.0,301.7131588325625,301.7131588325625,,150.11099500400974,0.0,0.6468773340982591,0.974873532398331,0.31271082574441667,0.1334831755018577,0.9999999999999999,0.9999999999999999,0.3580760373945932,0.0,0.050484481420759904,0.6001921211814045,0.6001921211814045,0.599685044414429,,0.0,0.36805466921013896,0.28725695778006183,0.4329659795654868,,,,,0.75,,0.4926403719031324,0.9999999999999999,0.9999999999999999,0.4044529857118969,0.4044529857118969,1.0,2.2074063139735687,0.7086188756083707,24,1.9453147352494504,0.7415507564769426,8,0,0.5326918478720409,0.8782498631679723,9,0,0.5532526131421821,0.7323317788345466,7,8.04155872120988,0.924136238479152,12.0,9.50943396226415,0.9054643456546704,7,bior,25.933333333333334,23.0,23.553788493169254,15,0.37456811101670917,0.7330437326379493,0.5178892024969188,1,5.5,7
smoothed,rbio1.1,93166.10559659397,0.7330097087378641,55.45805957934157,13.165043942863448,206,1,False,False,141.9956263742145,-24474.472427827226,7.245336461882035,90447.61084362336,1.0,7.48384326284766e-05,0.9999999999999996,512.5109950040097,,,,[],[],11,603.3035057083624,45.53767670841367,1030.1131588325625,"[9, 31, 53, 64, 80, 102, 131, 148, 158, 175, 192]","[439.8204178980325, 590.8584263594793, 833.820316375177, 611.2231016576517, 1030.1131588325625, 524.6732316404184, 830.1433611130068, 45.53767670841367, 633.8505186556213, 520.430590953299, 575.8677625983244]","[1, 1, 1, 60, 1, 94, 120, 144, 144, 165, 186]","[20, 40, 75, 75, 203, 120, 203, 149, 203, 186, 203]",61472951.68000001,1030.1131588325625,-1030.1131588325625,0.0,,,,SWT,mdp.39015067403892,30736475.84000001,,0.0,33.0,11.0,0.0,33.0,,301.7131588325625,345.1035057083625,955.9385627919874,345.1035057083624,,0.0,345.1035057083625,,,41.33767670841368,0.0,33.0,301.7131588325625,301.7131588325625,,150.11099500400974,0.0,0.6468773340982591,0.974873532398331,0.31271082574441667,0.1334831755018577,0.9999999999999999,0.9999999999999999,0.3580760373945932,0.0,0.050484481420759904,0.6001921211814045,0.6001921211814045,0.599685044414429,,0.0,0.36805466921013896,0.28725695778006183,0.4329659795654868,,,,,0.75,,0.4926403719031324,0.9999999999999999,0.9999999999999999,0.4044529857118969,0.4044529857118969,1.0,2.2074063139735687,0.7086188756083707,25,1.9453147352494504,0.7415507564769426,7,0,0.5326918478720409,0.8782498631679723,8,0,0.5532526131421821,0.7323317788345466,6,9.03696114115064,0.9147456496117864,11.5,8.429503261414954,0.9031275417870253,8,rbio,40.266666666666666,40.0,30.07007688399755,15,0.5815916171056358,0.9358444144197099,0.312132543700142,2,6.5,8
smoothed,sym7,34339.49964523712,0.6747572815533981,28.035190709104974,12.59014819942957,206,1,False,False,143.35869014459342,,7.194949550072773,90447.61084388642,1.0,7.073799501375636e-05,0.9591268837246267,492.93734698354444,,,,[],[],10,674.4080300614577,418.93818874586225,1048.7804575413238,"[10, 29, 54, 65, 81, 102, 131, 158, 176, 193]","[690.4215334382197, 418.93818874586225, 820.1621924521377, 625.491842429796, 1048.7804575413238, 570.993321603288, 863.1664387022065, 634.5980403527187, 506.46514216485036, 565.063143184174]","[1, 21, 1, 60, 1, 95, 122, 145, 166, 187]","[38, 38, 76, 76, 205, 122, 205, 205, 187, 205]",61447203.194186985,1068.9920831230527,-1068.9920831230527,0.0,,,,SWT,mdp.39015067403892,30710727.35418699,,0.0,-17.0,12.0,0.0,-3.5,,340.5920831230527,416.20803006145775,1063.6803006145783,416.2080300614577,,0.0,416.20803006145775,,,414.73818874586226,0.0,1.0,320.38045754132384,340.5920831230527,,130.53734698354447,0.418609011846734,0.5474656853361007,0.8990702577528296,0.16798317912892147,0.028513923853503518,0.5555555555555558,0.9680992155868862,0.3580760374236201,,0.9580331651320346,0.901927333155616,0.901927333155616,0.9018029474857306,,0.0,0.16097489240698745,0.3356395288539077,0.5171112368837318,,,,,1.0,,0.4871898120766261,0.0,0.3535353535353535,0.5701247400531704,0.5701247400531704,0.27,2.566968400164129,0.8240450568305767,8,1.6802054387241854,0.640491531547887,24,0,0.5285594055194631,0.8714366991497896,11,0,0.49292160831051895,0.6524725770201795,21,7.702813338860896,0.9273319496333878,16.0,13.106382978723405,0.8881942767034864,10,sym,47.10526315789474,39.0,32.13149153926739,19,0.6803648884317847,1.0,0.22374457809775072,3,8.25,9
smoothed,haar,93166.10559659397,0.7330097087378641,55.45805957934157,13.165043942863448,206,1,False,False,141.9956263742145,-24474.472427827226,7.245336461882035,90447.61084362336,1.0,7.48384326284766e-05,0.9999999999999996,512.5109950040097,,,,[],[],11,603.3035057083624,45.53767670841367,1030.1131588325625,"[9, 31, 53, 64, 80, 102, 131, 148, 158, 175, 192]","[439.8204178980325, 590.8584263594793, 833.820316375177, 611.2231016576517, 1030.1131588325625, 524.6732316404184, 830.1433611130068, 45.53767670841367, 633.8505186556213, 520.430590953299, 575.8677625983244]","[1, 1, 1, 60, 1, 94, 120, 144, 144, 165, 186]","[20, 40, 75, 75, 203, 120, 203, 149, 203, 186, 203]",61472951.68000001,1030.1131588325625,-1030.1131588325625,0.0,,,,SWT,mdp.39015067403892,30736475.84000001,,0.0,33.0,11.0,0.0,33.0,,301.7131588325625,345.1035057083625,955.9385627919874,345.1035057083624,,0.0,345.1035057083625,,,41.33767670841368,0.0,33.0,301.7131588325625,301.7131588325625,,150.11099500400974,0.0,0.6468773340982591,0.974873532398331,0.31271082574441667,0.1334831755018577,0.9999999999999999,0.9999999999999999,0.3580760373945932,0.0,0.050484481420759904,0.6001921211814045,0.6001921211814045,0.599685044414429,,0.0,0.36805466921013896,0.28725695778006183,0.4329659795654868,,,,,0.75,,0.4926403719031324,0.9999999999999999,0.9999999999999999,0.4044529857118969,0.4044529857118969,1.0,2.2074063139735687,0.7086188756083707,26,1.9453147352494504,0.7415507564769426,6,0,0.5326918478720409,0.8782498631679723,7,0,0.5532526131421821,0.7323317788345466,5,10.03327796219494,0.9053464343189157,11.0,7.299465240641711,0.9007864247066277,9,haar,9.0,9.0,,1,0.12999150382327954,,,7,8.5,10
