wavelet,wavelet_level,wavelet_mode,wavelet_mse,wavelet_psnr,wavelet_energy_entropy,wavelet_sparsity,wavelet_adaptive_threshold,signal_length,signal_type,emd_value,kl_divergence,wavelet_entropy,avg_variance_across_levels,variance_ratio_across_levels,smoothness,correlation,relative_num_peaks,avg_prominence,prominence_min,prominence_max,relative_peaks,relative_prominences,relative_left_bases,relative_right_bases,prominence_threshold,distance_factor,max_autocorrelation,upper_envelope,lower_envelope,wavelet_type,htid,avg_prominence_diff,prominence_max_diff,upper_envelope_diff,relative_left_bases_array_alignment_score,relative_left_bases_global_alignment_score,relative_right_bases_array_alignment_score,relative_right_bases_global_alignment_score,relative_prominences_avg_diff,relative_prominences_total_diff,relative_prominences_wasserstein,lower_envelope_diff,relative_peaks_array_alignment_score,relative_peaks_global_alignment_score,max_autocorrelation_diff,prominence_threshold_diff,relative_num_peaks_diff,prominence_min_diff,distance_factor_diff,emd_value_normalized,wavelet_mse_normalized,wavelet_psnr_normalized,wavelet_entropy_normalized,wavelet_energy_entropy_normalized,wavelet_sparsity_normalized,avg_variance_across_levels_normalized,kl_divergence_normalized,prominence_min_diff_normalized,avg_prominence_diff_normalized,relative_prominences_avg_diff_normalized,relative_prominences_wasserstein_normalized,relative_prominences_total_diff_normalized,prominence_max_diff_normalized,max_autocorrelation_diff_normalized,relative_right_bases_global_alignment_score_normalized,relative_right_bases_array_alignment_score_normalized,upper_envelope_diff_normalized,lower_envelope_diff_normalized,reconstruction_signal_weighted_score,reconstruction_signal_normalized_weighted_score,reconstruction_signal_normalized_weighted_rank,wavelet_signal_weighted_score,wavelet_signal_normalized_weighted_score,wavelet_signal_normalized_weighted_rank,reconstruction_signal_num_missing_metrics,reconstruction_signal_missing_metrics_count,reconstruction_signal_dynamically_weighted_score,reconstruction_signal_normalized_dynamically_weighted_score,reconstruction_signal_normalized_dynamically_weighted_rank,wavelet_signal_num_missing_metrics,wavelet_signal_missing_metrics_count,wavelet_signal_dynamically_weighted_score,wavelet_signal_normalized_dynamically_weighted_score,wavelet_signal_normalized_dynamically_weighted_rank,rank_variability,normalized_rank_stability,average_rank,harmonic_average_rank,stability_score_weighted,stability_rank,wavelet_family,family_mean_stability_rank,family_median_stability_rank,family_rank_std_dev,family_wavelet_count,normalized_family_mean_rank,normalized_family_std_dev,final_family_stability_score,final_family_stability_rank,family_informed_rank
db19,1,periodic,3.0708030554523987e-27,327.4852378844919,5172804.520205504,0.6804008908685969,204.44630500880078,862,raw,3.8774861125469965e-14,,8.589193050748648,49433.305548270444,0.648664105674033,5.074561415982959e-06,0.9999999999999999,23,761.3423022987154,139.121882311177,1276.3185891541068,"[14, 52, 88, 118, 156, 189, 245, 300, 329, 367, 395, 449, 492, 533, 571, 601, 629, 670, 702, 733, 776, 826, 854]","[921.1967068429301, 1013.878117688823, 938.0969408005926, 139.121882311177, 512.1468238217612, 965.2465898640992, 1276.3185891541068, 892.7811768882304, 301.1218823111769, 670.6343530664692, 801.318589154107, 920.3934136858605, 873.8032931570697, 847.0056504834904, 666.8061183988148, 753.6785856041477, 686.6592945770536, 718.4155299546995, 487.6592945770536, 1140.7811768882302, 812.6400035499596, 718.0470577794237, 453.12188231117693]","[0, 0, 79, 117, 125, 176, 0, 267, 328, 342, 310, 267, 469, 495, 564, 538, 615, 615, 615, 267, 743, 801, 853]","[37, 53, 176, 125, 163, 228, 267, 310, 342, 370, 417, 495, 495, 615, 589, 615, 640, 683, 713, 743, 861, 861, 861]",0.05,30,42454620.59857257,741.6820145713398,-741.6820145713398,DWT,uc1.c2693407,0.0,2.2737367544323206e-13,543.3179854286602,0.8260869565217391,74.0,0.6521739130434783,56.0,1.6576977012846328,38.127047129546554,3.9335033823581336,543.3179854286602,1.0,92,234513578.40142745,0.0,0.0,5.684341886080802e-14,0.0,5.2309197572697965e-14,2.3621215913386305e-27,0.9685372347680197,0.9821536541946453,3.2911432843010305e-05,0.6815144043461714,0.0001748392102160415,,7.374657349079257e-14,0.0,0.9999999926530211,0.32252032853647195,0.9999999926530377,5.5981925406849905e-14,0.9999999945071562,0.0,0.0,0.9999999950379415,0.9999999950379415,1.7967560879521713,0.999999989003135,119,1.3448913210971265,0.7668574761923319,130,0,0,0.4838654816750635,0.9364500013100268,119,0,0,0.3760590062788497,0.7309610902355727,137,8.845903006477066,0.9907275649827284,126.25,125.79288650156543,0.9291950193886389,1,db,352.1432748538012,289.0,274.6396091170913,342,0.37973753578770797,1.0,0.4341837249486044,3,1.5
db19,1,reflect,3.0650046532534656e-27,327.4934461431207,5110711.502455119,0.6792873051224945,204.21354359694095,862,raw,3.842865700827827e-14,,8.604739743967968,48932.27916750942,0.6428475242090564,5.074561415982959e-06,0.9999999999999999,23,761.3423022987154,139.121882311177,1276.3185891541068,"[14, 52, 88, 118, 156, 189, 245, 300, 329, 367, 395, 449, 492, 533, 571, 601, 629, 670, 702, 733, 776, 826, 854]","[921.1967068429301, 1013.878117688823, 938.0969408005926, 139.121882311177, 512.1468238217612, 965.2465898640992, 1276.3185891541068, 892.7811768882304, 301.1218823111769, 670.6343530664692, 801.318589154107, 920.3934136858605, 873.8032931570697, 847.0056504834904, 666.8061183988148, 753.6785856041477, 686.6592945770536, 718.4155299546995, 487.6592945770536, 1140.7811768882302, 812.6400035499594, 718.0470577794238, 453.12188231117693]","[0, 0, 79, 117, 125, 176, 0, 267, 328, 342, 310, 267, 469, 495, 564, 538, 615, 615, 615, 267, 743, 801, 853]","[37, 53, 176, 125, 163, 228, 267, 310, 342, 370, 417, 495, 495, 615, 589, 615, 640, 683, 713, 743, 861, 861, 861]",0.05,30,42454620.59857257,741.6820145713398,-741.6820145713398,DWT,uc1.c2693407,0.0,2.2737367544323206e-13,543.3179854286602,0.8260869565217391,74.0,0.6521739130434783,56.0,1.6576977012846328,38.127047129546554,3.933503382358129,543.3179854286602,1.0,92,234513578.40142745,0.0,0.0,5.684341886080802e-14,0.0,5.168644696558935e-14,2.3569525405683116e-27,0.9685671640312489,0.9850502503680367,2.367556244014896e-05,0.6680274348676282,0.00015842937099914568,,7.374657349079257e-14,0.0,0.9999999926530211,0.3225203285364466,0.9999999926530377,5.5981925406849905e-14,0.9999999945071562,0.0,0.0,0.9999999950379415,0.9999999950379415,1.7967560879521638,0.9999999890031308,131,1.3409516070794545,0.7646110499561607,137,0,0,0.48386548167506116,0.9364500013100223,124,0,0,0.374546707742915,0.7280215744464765,145,8.920949127381757,0.9906489002857634,134.25,133.80644745289504,0.9249628149227559,2,db,352.1432748538012,289.0,274.6396091170913,342,0.37973753578770797,1.0,0.4341837249486044,3,2.25
db19,1,symmetric,3.1781467082816375e-27,327.33601811453025,5161418.981511271,0.6792873051224945,204.31525176210155,862,raw,3.961976403052112e-14,,8.589434770397336,49324.048992572585,0.6471474374678412,5.074561415982959e-06,0.9999999999999999,23,761.3423022987154,139.121882311177,1276.3185891541068,"[14, 52, 88, 118, 156, 189, 245, 300, 329, 367, 395, 449, 492, 533, 571, 601, 629, 670, 702, 733, 776, 826, 854]","[921.1967068429301, 1013.878117688823, 938.0969408005926, 139.121882311177, 512.1468238217612, 965.2465898640992, 1276.3185891541068, 892.7811768882304, 301.1218823111769, 670.6343530664692, 801.318589154107, 920.3934136858605, 873.8032931570697, 847.0056504834904, 666.8061183988148, 753.6785856041477, 686.6592945770536, 718.4155299546995, 487.6592945770536, 1140.7811768882302, 812.6400035499596, 718.0470577794237, 453.1218823111768]","[0, 0, 79, 117, 125, 176, 0, 267, 328, 342, 310, 267, 469, 495, 564, 538, 615, 615, 615, 267, 743, 801, 853]","[37, 53, 176, 125, 163, 228, 267, 310, 342, 370, 417, 495, 495, 615, 589, 615, 640, 683, 713, 743, 861, 861, 861]",0.05,30,42454620.59857257,741.6820145713398,-741.6820145713398,DWT,uc1.c2693407,0.0,2.2737367544323206e-13,543.3179854286602,0.8260869565217391,74.0,0.6521739130434783,56.0,1.6576977012846328,38.127047129546554,3.933503382358129,543.3179854286602,1.0,92,234513578.40142745,0.0,0.0,5.684341886080802e-14,0.0,5.382900560195112e-14,2.457814296382086e-27,0.9679931439960138,0.9821986904090702,3.121791940693556e-05,0.6680274348676282,0.00017126079083287364,,7.374657349079257e-14,0.0,0.9999999926530211,0.3225203285364466,0.9999999926530377,5.5981925406849905e-14,0.9999999945071562,0.0,0.0,0.9999999950379415,0.9999999950379415,1.7967560879521638,0.9999999890031308,132,1.3391903188252472,0.763606762810961,141,0,0,0.48386548167506116,0.9364500013100223,125,0,0,0.374060249711858,0.7270760263096194,151,11.265729744080792,0.9881910589684688,137.25,136.5631766721702,0.9221615672200835,3,db,352.1432748538012,289.0,274.6396091170913,342,0.37973753578770797,1.0,0.4341837249486044,3,3.0
db31,1,smooth,4.7908090168226615e-27,325.55366894234254,3888518783.1596527,0.6691973969631236,198.65650158746828,862,raw,4.966586564545869e-14,,4.225108143479342,17001942.970682018,0.9990873599842705,5.074561415982959e-06,0.9999999999999999,23,761.3423022987154,139.1218823111771,1276.318589154107,"[14, 52, 88, 118, 156, 189, 245, 300, 329, 367, 395, 449, 492, 533, 571, 601, 629, 670, 702, 733, 776, 826, 854]","[921.1967068429303, 1013.8781176888231, 938.0969408005924, 139.1218823111771, 512.1468238217612, 965.246589864099, 1276.318589154107, 892.7811768882304, 301.1218823111767, 670.6343530664692, 801.3185891541073, 920.3934136858604, 873.8032931570697, 847.0056504834902, 666.8061183988151, 753.6785856041474, 686.6592945770537, 718.4155299546994, 487.6592945770535, 1140.7811768882302, 812.6400035499598, 718.0470577794238, 453.121882311177]","[0, 0, 79, 117, 125, 176, 0, 267, 328, 342, 310, 267, 469, 495, 564, 538, 615, 615, 615, 267, 743, 801, 853]","[37, 53, 176, 125, 163, 228, 267, 310, 342, 370, 417, 495, 495, 615, 589, 615, 640, 683, 713, 743, 861, 861, 861]",0.05,30,42454620.59857257,741.68201457134,-741.68201457134,DWT,uc1.c2693407,0.0,0.0,543.31798542866,0.8260869565217391,74.0,0.6521739130434783,56.0,1.6576977012846328,38.127047129546554,3.933503382358147,543.31798542866,1.0,92,234513578.40142745,0.0,0.0,5.684341886080802e-14,0.0,7.189989375465645e-14,3.8954402254289144e-27,0.961494274996759,0.16905523741737527,0.577651482531591,0.545825544386334,0.5554109876644525,,7.374657349079257e-14,0.0,0.9999999926530211,0.32252032853654805,0.9999999926530377,0.0,0.9999999945071562,0.0,0.0,0.999999995037829,0.999999995037829,1.7967560879521214,0.9999999890031073,148,1.3907445377928747,0.7930029955209246,36,0,0,0.48386548167504495,0.9364500013099909,149,0,0,0.40134821814236915,0.7801167534860615,22,69.23089387453167,0.9274309288526922,88.75,46.135841081994926,0.9172007893739351,4,db,352.1432748538012,289.0,274.6396091170913,342,0.37973753578770797,1.0,0.4341837249486044,3,3.75
db29,1,periodic,4.468401930919579e-27,325.8562352169672,5240040.323580415,0.681917211328976,209.0565398233123,862,raw,4.769064751255249e-14,,8.604011411517982,49061.63346915513,0.6501656777812284,5.074561415982959e-06,0.9999999999999999,23,761.3423022987154,139.12188231117705,1276.3185891541066,"[14, 52, 88, 118, 156, 189, 245, 300, 329, 367, 395, 449, 492, 533, 571, 601, 629, 670, 702, 733, 776, 826, 854]","[921.1967068429303, 1013.8781176888228, 938.0969408005924, 139.12188231117705, 512.1468238217612, 965.2465898640988, 1276.3185891541066, 892.7811768882306, 301.121882311177, 670.6343530664694, 801.318589154107, 920.3934136858604, 873.8032931570699, 847.0056504834903, 666.806118398815, 753.6785856041478, 686.6592945770536, 718.4155299546997, 487.65929457705386, 1140.7811768882304, 812.6400035499593, 718.0470577794237, 453.12188231117693]","[0, 0, 79, 117, 125, 176, 0, 267, 328, 342, 310, 267, 469, 495, 564, 538, 615, 615, 615, 267, 743, 801, 853]","[37, 53, 176, 125, 163, 228, 267, 310, 342, 370, 417, 495, 495, 615, 589, 615, 640, 683, 713, 743, 861, 861, 861]",0.05,30,42454620.598572575,741.6820145713398,-741.6820145713398,DWT,uc1.c2693407,0.0,4.547473508864641e-13,543.3179854286602,0.8260869565217391,74.0,0.6521739130434783,56.0,1.6576977012846328,38.127047129546554,3.933503382358139,543.3179854286602,1.0,92,234513578.40142742,0.0,0.0,0.0,0.0,6.834687913017068e-14,3.608026807289298e-27,0.9625975035970028,0.9849145504505157,4.2912254012619036e-05,0.6998790142025753,0.00016266604071062026,,0.0,0.0,0.9999999926530211,0.3225203285365024,0.9999999926530377,1.1196385081369981e-13,0.9999999945070015,0.0,0.0,0.9999999950379415,0.9999999950379415,1.7967560879521092,0.9999999890031005,163,1.3500539056078005,0.7698011835881499,119,0,0,0.4838654816750506,0.9364500013100019,145,0,0,0.3782280923635552,0.7351772305295655,94,30.170349683091178,0.9683748955103866,130.25,124.71479182309707,0.9159222485937677,5,db,352.1432748538012,289.0,274.6396091170913,342,0.37973753578770797,1.0,0.4341837249486044,3,4.5
db30,1,reflect,5.211754164336843e-27,325.18791830423015,5230570.513420153,0.6826086956521739,204.58709356791016,862,raw,5.2953774389383503e-14,,8.605739911954121,48910.529230690896,0.6519412957533309,5.07456141598296e-06,1.0,23,761.3423022987154,139.1218823111771,1276.3185891541075,"[14, 52, 88, 118, 156, 189, 245, 300, 329, 367, 395, 449, 492, 533, 571, 601, 629, 670, 702, 733, 776, 826, 854]","[921.1967068429299, 1013.878117688823, 938.0969408005924, 139.1218823111771, 512.1468238217611, 965.246589864099, 1276.3185891541075, 892.7811768882307, 301.12188231117705, 670.6343530664693, 801.3185891541069, 920.3934136858604, 873.8032931570697, 847.0056504834903, 666.8061183988149, 753.6785856041474, 686.6592945770535, 718.4155299546997, 487.65929457705334, 1140.7811768882304, 812.6400035499598, 718.0470577794235, 453.12188231117705]","[0, 0, 79, 117, 125, 176, 0, 267, 328, 342, 310, 267, 469, 495, 564, 538, 615, 615, 615, 267, 743, 801, 853]","[37, 53, 176, 125, 163, 228, 267, 310, 342, 370, 417, 495, 495, 615, 589, 615, 640, 683, 713, 743, 861, 861, 861]",0.05,30,42454620.59857256,741.6820145713401,-741.6820145713401,DWT,uc1.c2693407,0.0,4.547473508864641e-13,543.3179854286599,0.8260869565217391,74.0,0.6521739130434783,56.0,1.6576977012846328,38.127047129546554,3.9335033823581367,543.3179854286599,1.0,92,234513578.40142745,0.0,0.0,5.684341886080802e-14,0.0,7.78141710977626e-14,4.2706965054124896e-27,0.9601606611793448,0.9852365975687287,4.1503690819065234e-05,0.7082537873123265,0.0001577170073794347,,7.374657349079257e-14,0.0,0.9999999926530211,0.3225203285364897,0.9999999926530377,1.1196385081369981e-13,0.9999999945071562,0.0,0.0,0.9999999950377727,0.9999999950377727,1.7967560879521371,0.999999989003116,139,1.3521000490652866,0.770967895264492,84,0,0,0.4838654816750396,0.9364500013099806,168,0,0,0.379121466679811,0.7369137182968989,84,41.8359892915179,0.956146761748933,118.75,108.23638470451911,0.915835435381804,6,db,352.1432748538012,289.0,274.6396091170913,342,0.37973753578770797,1.0,0.4341837249486044,3,5.25
coif12,1,periodization,8.336777516843447e-27,323.14777540850713,5027025.292543142,0.6821345707656613,203.27911899364136,862,raw,6.28938546158235e-14,,8.445276903927219,49205.81528155959,0.6582534976309825,5.074561415982959e-06,0.9999999999999999,23,761.3423022987154,139.12188231117707,1276.318589154107,"[14, 52, 88, 118, 156, 189, 245, 300, 329, 367, 395, 449, 492, 533, 571, 601, 629, 670, 702, 733, 776, 826, 854]","[921.1967068429303, 1013.8781176888226, 938.0969408005925, 139.12188231117707, 512.1468238217614, 965.246589864099, 1276.318589154107, 892.78117688823, 301.12188231117693, 670.6343530664689, 801.3185891541074, 920.3934136858604, 873.8032931570698, 847.0056504834904, 666.806118398815, 753.6785856041479, 686.6592945770536, 718.4155299546995, 487.6592945770535, 1140.7811768882302, 812.6400035499598, 718.0470577794235, 453.1218823111771]","[0, 0, 79, 117, 125, 176, 0, 267, 328, 342, 310, 267, 469, 495, 564, 538, 615, 615, 615, 267, 743, 801, 853]","[37, 53, 176, 125, 163, 228, 267, 310, 342, 370, 417, 495, 495, 615, 589, 615, 640, 683, 713, 743, 861, 861, 861]",0.05,30,42454620.598572575,741.6820145713401,-741.6820145713401,DWT,uc1.c2693407,0.0,0.0,543.3179854286599,0.8260869565217391,74.0,0.6521739130434783,56.0,1.6576977012846328,38.127047129546554,3.9335033823582295,543.3179854286599,1.0,92,234513578.40142742,0.0,0.0,2.842170943040401e-14,0.0,9.569434839298614e-14,7.056533674574587e-27,0.9527218149499104,0.9553397874583976,1.1227866752997811e-05,0.702511519242002,0.00016738834765973542,,3.6873286745396285e-14,0.0,0.9999999926530211,0.32252032853701995,0.9999999926530377,0.0,0.9999999945070015,0.0,0.0,0.9999999950377727,0.9999999950377727,1.796756087952152,0.9999999890031243,135,1.330380159668415,0.7585832071452514,163,0,0,0.4838654816750602,0.9364500013100204,128,0,0,0.3729645339806884,0.7249462393557867,156,16.663332999933317,0.9825331939204053,145.5,144.06557963993757,0.9150087353249825,7,coif,445.36601307189545,456.0,231.3403095815541,153,0.4802652908755163,0.8423413881386761,0.4111118799455358,4,6.25
db19,1,zero,3.0267586266281796e-27,327.5479796363013,4965254.394657789,0.678173719376392,196.55922783775802,862,raw,3.844514291862073e-14,,8.55034147782041,47234.94941942225,0.6482949050011478,5.074561415982959e-06,0.9999999999999999,23,761.3423022987154,139.121882311177,1276.3185891541068,"[14, 52, 88, 118, 156, 189, 245, 300, 329, 367, 395, 449, 492, 533, 571, 601, 629, 670, 702, 733, 776, 826, 854]","[921.1967068429301, 1013.878117688823, 938.0969408005926, 139.121882311177, 512.1468238217612, 965.2465898640992, 1276.3185891541068, 892.7811768882304, 301.1218823111769, 670.6343530664692, 801.318589154107, 920.3934136858605, 873.8032931570697, 847.0056504834904, 666.8061183988148, 753.6785856041477, 686.6592945770536, 718.4155299546995, 487.6592945770536, 1140.7811768882302, 812.6400035499596, 718.0470577794238, 453.1218823111768]","[0, 0, 79, 117, 125, 176, 0, 267, 328, 342, 310, 267, 469, 495, 564, 538, 615, 615, 615, 267, 743, 801, 853]","[37, 53, 176, 125, 163, 228, 267, 310, 342, 370, 417, 495, 495, 615, 589, 615, 640, 683, 713, 743, 861, 861, 861]",0.05,30,42454620.59857257,741.6820145713398,-741.6820145713398,DWT,uc1.c2693407,0.0,2.2737367544323206e-13,543.3179854286602,0.8260869565217391,74.0,0.6521739130434783,56.0,1.6576977012846328,38.127047129546554,3.9335033823581336,543.3179854286602,1.0,92,234513578.40142745,0.0,0.0,5.684341886080802e-14,0.0,5.1716101756404045e-14,2.3228576905378237e-27,0.9687660061177393,0.9749149883326139,2.0399092626571837e-06,0.6545404653890848,0.00010283767097357402,,7.374657349079257e-14,0.0,0.9999999926530211,0.32252032853647195,0.9999999926530377,5.5981925406849905e-14,0.9999999945071562,0.0,0.0,0.9999999950379415,0.9999999950379415,1.7967560879521713,0.999999989003135,120,1.3305754390156208,0.7586945554936283,162,0,0,0.4838654816750635,0.9364500013100268,120,0,0,0.3711894767742467,0.7214959889185215,168,26.095976701399778,0.9726457267280925,142.5,138.9280245022971,0.9116373287728512,8,db,352.1432748538012,289.0,274.6396091170913,342,0.37973753578770797,1.0,0.4341837249486044,3,6.75
db29,1,symmetric,4.2799831443138435e-27,326.0433369385572,5296164.702170785,0.6775599128540305,209.0565398233123,862,raw,4.637177468515555e-14,,8.607238833565283,49593.54422495585,0.653972157223968,5.074561415982959e-06,0.9999999999999999,23,761.3423022987154,139.12188231117705,1276.3185891541066,"[14, 52, 88, 118, 156, 189, 245, 300, 329, 367, 395, 449, 492, 533, 571, 601, 629, 670, 702, 733, 776, 826, 854]","[921.1967068429303, 1013.8781176888227, 938.0969408005924, 139.12188231117705, 512.1468238217612, 965.2465898640988, 1276.3185891541066, 892.7811768882306, 301.121882311177, 670.6343530664694, 801.318589154107, 920.3934136858604, 873.8032931570699, 847.0056504834903, 666.806118398815, 753.6785856041478, 686.6592945770536, 718.4155299546997, 487.65929457705386, 1140.7811768882304, 812.6400035499594, 718.0470577794238, 453.12188231117693]","[0, 0, 79, 117, 125, 176, 0, 267, 328, 342, 310, 267, 469, 495, 564, 538, 615, 615, 615, 267, 743, 801, 853]","[37, 53, 176, 125, 163, 228, 267, 310, 342, 370, 417, 495, 495, 615, 589, 615, 640, 683, 713, 743, 861, 861, 861]",0.05,30,42454620.598572575,741.6820145713398,-741.6820145713398,DWT,uc1.c2693407,0.0,4.547473508864641e-13,543.3179854286602,0.8260869565217391,74.0,0.6521739130434783,56.0,1.6576977012846328,38.127047129546554,3.933503382358154,543.3179854286602,1.0,92,234513578.40142742,0.0,0.0,0.0,0.0,6.5974495864995e-14,3.440058763570953e-27,0.9632797209745642,0.9855158705010402,5.1260334133085784e-05,0.6471064713192116,0.0001800874187370012,,0.0,0.0,0.9999999926530211,0.3225203285365887,0.9999999926530377,1.1196385081369981e-13,0.9999999945070015,0.0,0.0,0.9999999950379415,0.9999999950379415,1.796756087952135,0.9999999890031148,140,1.3296660214975242,0.7581760053239658,165,0,0,0.4838654816750585,0.9364500013100171,139,0,0,0.37087620150682177,0.7208870631191192,171,16.640813281407453,0.98255679949538,153.75,152.40614425061648,0.9106966387414006,9,db,352.1432748538012,289.0,274.6396091170913,342,0.37973753578770797,1.0,0.4341837249486044,3,7.5
db19,1,antisymmetric,3.1763310469870223e-27,327.3384999288763,5149841.594146359,0.6770601336302895,206.01446303409963,862,raw,3.925707400298698e-14,,8.608744726201717,49329.80655122533,0.6333082036801784,5.074561415982959e-06,0.9999999999999999,23,761.3423022987154,139.121882311177,1276.3185891541068,"[14, 52, 88, 118, 156, 189, 245, 300, 329, 367, 395, 449, 492, 533, 571, 601, 629, 670, 702, 733, 776, 826, 854]","[921.1967068429302, 1013.878117688823, 938.0969408005926, 139.121882311177, 512.1468238217612, 965.2465898640992, 1276.3185891541068, 892.7811768882304, 301.1218823111769, 670.6343530664692, 801.318589154107, 920.3934136858605, 873.8032931570697, 847.0056504834904, 666.8061183988148, 753.6785856041477, 686.6592945770536, 718.4155299546995, 487.6592945770536, 1140.7811768882302, 812.6400035499596, 718.0470577794238, 453.1218823111768]","[0, 0, 79, 117, 125, 176, 0, 267, 328, 342, 310, 267, 469, 495, 564, 538, 615, 615, 615, 267, 743, 801, 853]","[37, 53, 176, 125, 163, 228, 267, 310, 342, 370, 417, 495, 495, 615, 589, 615, 640, 683, 713, 743, 861, 861, 861]",0.05,30,42454620.59857257,741.6820145713398,-741.6820145713398,DWT,uc1.c2693407,0.0,2.2737367544323206e-13,543.3179854286602,0.8260869565217391,74.0,0.6521739130434783,56.0,1.6576977012846328,38.127047129546554,3.933503382358129,543.3179854286602,1.0,92,234513578.40142745,0.0,0.0,5.684341886080802e-14,0.0,5.317660020402784e-14,2.456195704726734e-27,0.968002193281399,0.9857964422462143,2.9495869920858088e-05,0.6410534959105402,0.00017144936495871088,,7.374657349079257e-14,0.0,0.9999999926530211,0.3225203285364466,0.9999999926530377,5.5981925406849905e-14,0.9999999945071562,0.0,0.0,0.9999999950379415,0.9999999950379415,1.7967560879521638,0.9999999890031308,133,1.3302042631371225,0.7584829108849201,164,0,0,0.48386548167506116,0.9364500013100223,126,0,0,0.3707218680961552,0.7205870790308856,174,23.34345018772218,0.9755309746459935,149.25,146.5201876242625,0.9095422168827452,10,db,352.1432748538012,289.0,274.6396091170913,342,0.37973753578770797,1.0,0.4341837249486044,3,8.25
