signal_type,wavelet,wavelet_energy_entropy,wavelet_sparsity,wavelet_adaptive_threshold,wavelet_psnr,signal_length,scales_used,emd_value,kl_divergence,is_complex,change_point_indices,change_point_prominences,num_change_points,wavelet_entropy,avg_variance_across_levels,variance_ratio_across_levels,smoothness,correlation,relative_num_peaks,avg_prominence,prominence_min,prominence_max,relative_peaks,relative_prominences,relative_left_bases,relative_right_bases,prominence_threshold,distance_factor,max_autocorrelation,upper_envelope,lower_envelope,stft_frequency_max,stft_amplitude_max,stft_spectral_centroid,stft_spectral_bandwidth,stft_spectral_magnitude,stft_variance_magnitude,stft_peak_freq_over_time,stft_num_peaks,stft_peak_amplitude,stft_dominant_frequency,stft_positive_frequencies,stft_positive_amplitudes,stft_snr_threshold,stft_stationarity_threshold,stft_window,stft_nperseg,stft_noverlap,stft_dynamic_cutoff,stft_dynamic_cutoff_percentile,fft_frequency_max,fft_amplitude_max,fft_spectral_centroid,fft_spectral_bandwidth,fft_spectral_magnitude,fft_variance_magnitude,fft_num_peaks,fft_peak_amplitude,fft_dominant_frequency,fft_positive_frequencies,fft_positive_amplitudes,fft_snr_threshold,fft_stationarity_threshold,fft_dynamic_cutoff,fft_dynamic_cutoff_percentile,wavelet_type,htid,stft_amplitude_max_diff,stft_frequency_max_diff,avg_prominence_diff,fft_variance_magnitude_diff,stft_noverlap_diff,prominence_max_diff,stft_spectral_magnitude_diff,upper_envelope_diff,relative_peaks_array_alignment_score,relative_peaks_global_alignment_score,stft_num_peaks_diff,fft_peak_amplitude_diff,relative_left_bases_array_alignment_score,relative_left_bases_global_alignment_score,stft_window_diff,stft_nperseg_diff,prominence_threshold_diff,relative_right_bases_array_alignment_score,relative_right_bases_global_alignment_score,stft_dominant_frequency_diff,relative_num_peaks_diff,max_autocorrelation_diff,stft_variance_magnitude_diff,fft_amplitude_max_diff,fft_dominant_frequency_diff,fft_snr_threshold_diff,stft_stationarity_threshold_diff,relative_prominences_avg_diff,relative_prominences_total_diff,relative_prominences_wasserstein,stft_dynamic_cutoff_percentile_diff,lower_envelope_diff,fft_stationarity_threshold_diff,stft_dynamic_cutoff_diff,fft_frequency_max_diff,fft_num_peaks_diff,fft_dynamic_cutoff_percentile_diff,fft_dynamic_cutoff_diff,prominence_min_diff,fft_spectral_centroid_diff,stft_peak_amplitude_diff,fft_spectral_bandwidth_diff,stft_spectral_bandwidth_diff,fft_spectral_magnitude_diff,distance_factor_diff,stft_snr_threshold_diff,stft_spectral_centroid_diff,emd_value_normalized,smoothness_normalized,wavelet_psnr_normalized,wavelet_entropy_normalized,wavelet_energy_entropy_normalized,wavelet_sparsity_normalized,correlation_normalized,avg_variance_across_levels_normalized,kl_divergence_normalized,prominence_min_diff_normalized,avg_prominence_diff_normalized,relative_prominences_avg_diff_normalized,relative_prominences_wasserstein_normalized,relative_prominences_total_diff_normalized,prominence_max_diff_normalized,relative_num_peaks_diff_normalized,max_autocorrelation_diff_normalized,relative_right_bases_global_alignment_score_normalized,relative_left_bases_global_alignment_score_normalized,upper_envelope_diff_normalized,lower_envelope_diff_normalized,relative_peaks_global_alignment_score_normalized,reconstruction_signal_weighted_score,reconstruction_signal_normalized_weighted_score,reconstruction_signal_normalized_weighted_rank,wavelet_signal_weighted_score,wavelet_signal_normalized_weighted_score,wavelet_signal_normalized_weighted_rank,reconstruction_signal_num_missing_metrics,reconstruction_signal_missing_metrics_count,reconstruction_signal_dynamically_weighted_score,reconstruction_signal_normalized_dynamically_weighted_score,reconstruction_signal_normalized_dynamically_weighted_rank,wavelet_signal_num_missing_metrics,wavelet_signal_missing_metrics_count,wavelet_signal_dynamically_weighted_score,wavelet_signal_normalized_dynamically_weighted_score,wavelet_signal_normalized_dynamically_weighted_rank,rank_variability,normalized_rank_stability,average_rank,harmonic_average_rank,stability_score_weighted,stability_rank,wavelet_family,family_mean_stability_rank,family_median_stability_rank,family_rank_std_dev,family_wavelet_count,normalized_family_mean_rank,normalized_family_std_dev,final_family_stability_score,final_family_stability_rank,family_informed_rank
smoothed,fbsp,17.74905793723059,0.738420245398773,1192.6715497162913,-38.61115731120413,163,80,63387.637672696954,-310227.1951664787,True,"[5, 18, 24, 33, 43, 57, 67, 97, 116, 159]","[5030.81279212443, 3004.2926993406872, 897.1458665479586, 233.53924635445583, 1422.2902382880857, 13667.464202661446, 1798.1095386204543, 183.73062539985403, 1549.6353048945857, 4223.158802596445]",10,12.938205069189497,779639.0044389549,0.02223849246181297,9.096639701786482e-06,0.39089824868597733,6,26088.803921173672,393.28107874085254,102453.74475611043,"[27, 38, 45, 55, 122, 151]","[4011.74208604006, 393.28107874085254, 769.0883495746093, 102453.74475611043, 2436.595109330283, 46468.372147245784]","[0, 32, 0, 0, 104, 104]","[32, 41, 47, 104, 125, 162]",0.05,30,741202010824.4615,93707.97050508938,-93707.97050508938,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CWT,mdp.39015067403918,,,25798.613444983195,,,101667.07808944376,,92921.30383842271,0.0,-13.5,,,0.0,-4.5,,,0.0,0.0,-18.0,,15.0,,,,,,,25798.613444983195,150438.82352704203,25798.613444983195,,92921.30383842271,,,,,,,379.61441207418585,,,,,,0.0,,,0.6316145799783497,0.047264865794542386,0.23128789401884003,0.9446008390250665,0.47744362496446807,0.7381209503239744,0.5849250006942316,0.31831764004590646,0.19422190694262625,0.06325225397728756,0.3287816040990946,0.3287816040990946,0.3287816040990947,0.7818767072629116,0.5991339924586594,0.5,,0.16000000000000003,0.7209302325581396,0.3762275661777067,0.3762275661777067,0.3023255813953488,1.5044336357491233,0.5096213621961682,6,1.7876930013406347,0.7401019171473227,4,0,0,0.4055265593587537,0.529855729032885,6,0,0.0,0.46308858908755607,0.7504075103512691,4,1.1547005383792515,0.9175213901157677,5.0,4.800000000000001,0.7801892664864553,1,fbsp,1.0,1.0,,1,0.07142857142857142,,,4,1.75
smoothed,gaus4,20.209764774467406,0.6542944785276074,704.0981994510984,-35.23267857724993,163,80,39703.87294914102,,False,"[27, 38, 44, 55, 104, 122, 152]","[4477.131444580104, 1011.7271373593321, 1651.6518055202032, 70792.81038385323, 62857.13695844777, 1303.109551154113, 45687.50462279038]",7,12.582964034478003,477021.9203497233,0.02272687621318681,2.10289066708298e-06,0.613952758136424,6,26377.362150780962,1011.7271373593321,104133.04834328165,"[27, 38, 44, 55, 122, 152]","[4477.131444580104, 1011.7271373593321, 1651.6518055202032, 104133.04834328165, 1303.109551154113, 45687.50462279038]","[0, 31, 31, 0, 104, 104]","[31, 41, 48, 104, 125, 162]",0.05,30,340762634569.5048,72394.23426486159,-72394.23426486159,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CWT,mdp.39015067403918,,,26087.171674590485,,,103346.38167661498,,71607.56759819492,0.0,-13.5,,,0.0,-9.0,,,0.0,0.0,-13.5,,15.0,,,,,,,26087.171674590485,152170.17290468578,26087.171674590485,,71607.56759819492,,,,,,,998.0604706926655,,,,,,0.0,,,0.31750789545621394,0.004464525562310893,0.4521659073803585,0.228371930854221,0.8026661793574345,0.1457883369330456,0.9897231642640003,0.15959977213418758,,0.1666938075901235,0.33490387450029907,0.33490387450029907,0.3349038745002992,0.7932883300604429,0.6134552755745465,0.5,,0.52,0.5116279069767442,0.23506842384134846,0.23506842384134846,0.3023255813953488,1.5124487086580842,0.5123364386720622,5,1.4014548351720937,0.5801999613627258,7,0,0,0.4068532810650666,0.5315892063618022,5,1,0.11111111111111112,0.38198040843716596,0.6189765285797173,8,1.5,0.8928571428571429,6.25,5.989304812834224,0.7232142857142858,2,gaus,7.125,6.0,4.323936698360484,8,0.5089285714285714,1.0,0.34375,1,1.75
smoothed,gaus6,20.085772771357096,0.6569018404907976,681.365405526993,-34.36620273259783,163,80,35684.49806315654,,False,"[26, 34, 44, 55, 103, 122, 152]","[9630.352585225985, 574.0956298579258, 1841.618528430321, 50436.132812328455, 71449.93711225715, 1430.2297495374155, 48732.27538743429]",7,12.650182412152947,481450.65603691526,0.025289669538491533,1.7646606398181352e-06,0.58331387981629,6,24190.0605299327,574.0956298579258,82931.79129911025,"[26, 34, 44, 55, 122, 152]","[9630.352585225985, 574.0956298579258, 1841.618528430321, 82931.79129911025, 1430.2297495374155, 48732.27538743429]","[0, 32, 41, 0, 103, 103]","[41, 41, 47, 103, 125, 162]",0.05,20,278674929717.2549,75259.4628973604,-75259.4628973604,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CWT,mdp.39015067403918,,,23899.870053742223,,,82145.12463244358,,74472.79623069373,0.0,-13.5,,,0.0,-9.0,,,0.0,0.0,-18.0,,15.0,,,,,,,23899.870053742223,139046.3631795962,23899.87005374222,,74472.79623069373,,,,,,,560.4289631912592,,,,,,10.0,,,0.26420080792074185,0.002394625688600883,0.5088143217300028,0.3638960976786995,0.7862786132460982,0.1641468682505405,0.9341198872516465,0.16192257386209127,,0.09349537352297452,0.2884964232553611,0.2884964232553611,0.2884964232553611,0.7067870333359699,0.4326486561748131,0.5,,0.16000000000000003,0.5116279069767442,0.2540446001345381,0.2540446001345381,0.3023255813953488,1.286658984772668,0.43585099995140675,7,1.4644303103289147,0.6062717029100015,6,0,0,0.34003858512008417,0.4442899934914553,8,1,0.11111111111111112,0.3926661688979971,0.6362921677307961,7,0.816496580927726,0.9416788156480196,7.0,6.927835051546392,0.7208394078240098,3,gaus,7.125,6.0,4.323936698360484,8,0.5089285714285714,1.0,0.34375,1,2.5
smoothed,gaus2,21.01150558233444,0.6688650306748466,1004.545048706934,-38.96692001311352,163,80,58283.034055305696,,False,"[28, 45, 55, 105, 122, 127, 151]","[445.57597508549225, 386.6913471950829, 126256.6368669602, 10711.928668217579, 3718.2524725324984, 0.9778984273580136, 46952.396635397075]",7,12.517955467051408,505756.9952240822,0.01930692897991206,2.840141088459074e-06,0.6131408347601147,6,31604.34472593495,0.9778984273580136,138122.1740269722,"[28, 45, 55, 122, 127, 151]","[445.57597508549225, 386.6913471950829, 138122.1740269722, 3718.2524725324984, 0.9778984273580136, 46952.396635397075]","[0, 0, 0, 105, 126, 105]","[30, 47, 105, 126, 128, 162]",0.05,30,803975327970.9061,126817.28460513355,-126817.28460513355,0.5,216831073444.67236,0.03279167974292544,0.05310070434311529,298862959020.5919,9.643726760724198e+19,"[0.015625, 0.015625, 0.015625, 0.015625]",1.0,216831073444.67236,0.015625,"[0.0, 0.015625, 0.03125, 0.046875, 0.0625, 0.078125, 0.09375, 0.109375, 0.125, 0.140625, 0.15625, 0.171875, 0.1875, 0.203125, 0.21875, 0.234375]","[9.3913950846208e-21, 216831073444.67236, 37560906644.366585, 12764896283.514065, 8448158181.957612, 4416888702.66162, 3244700237.8025255, 2351412122.3511167, 1797527153.6544213, 1383315401.1235657, 1088691319.169236, 969922821.057986, 833960816.3786509, 691108944.573661, 612013295.8335527, 536422442.70140713]",3.0,0.5,boxcar,64.0,32.0,12577.210614241352,15.0,,,,,,,,,,,,,,,,CWT,mdp.39015067403918,216828106194.84448,0.0,31314.15424974447,,0.0,137335.50736030555,298852899285.0902,126030.61793846688,0.0,-13.5,5.0,,0.0,-4.5,,0.0,0.0,0.0,-18.0,0.015625,15.0,,9.643726755875352e+19,,,,0.2,31314.15424974447,183532.0683556097,31320.66955344329,0.0,126030.61793846688,,12431.910614241353,,,,,12.68876823930865,,216828106194.84448,,0.02189946254627497,,0.0,0.0,0.0374068997708303,0.5639146118029468,0.008976350152337895,0.20802885792187414,0.09730313327706253,0.9086293073293927,0.24838012958963285,0.9882496899437585,0.17467086381451397,,0.001880113060977618,0.44580350384384027,0.44580350384384027,0.44594173747191745,1.0,0.9033182256070417,0.5,,0.16000000000000003,0.7209302325581396,0.5955078617124786,0.5955078617124786,0.3023255813953488,1.9402490544895685,0.6572522327689372,3,1.3641710969820997,0.5647645560150849,9,0,0,0.5097515517671719,0.6660347487827472,3,1,0.11111111111111112,0.39421356242338434,0.6387996268871693,6,2.8722813232690143,0.7948370483379276,5.25,4.23529411764706,0.7099185241689638,4,gaus,7.125,6.0,4.323936698360484,8,0.5089285714285714,1.0,0.34375,1,3.25
smoothed,gaus8,19.98823415701373,0.6576687116564417,600.8459015091415,-33.27389395281412,163,80,30567.037862211015,,False,"[26, 33, 44, 56, 65, 103, 122, 152]","[14259.499858585405, 117.08597752167043, 1391.795640478289, 40351.689595770586, 270.831895952364, 65818.99285048539, 2851.00265890418, 51642.44209043711]",8,12.563499423177525,443671.8838133199,0.029189756117807403,1.5826817477060006e-06,0.5808980504489414,7,20049.7878676145,117.08597752167043,69815.8569514225,"[26, 33, 44, 56, 65, 122, 152]","[14259.499858585405, 117.08597752167043, 1391.795640478289, 69815.8569514225, 270.831895952364, 2851.00265890418, 51642.44209043711]","[0, 32, 41, 0, 64, 103, 103]","[41, 41, 47, 103, 103, 125, 162]",0.05,30,216841296474.80347,74453.19562675948,-74453.19562675948,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CWT,mdp.39015067403918,,,19759.597391424024,,,69029.19028475582,,73666.52896009281,0.0,-8.5,,,0.0,-8.5,,,0.0,0.0,-17.5,,14.0,,,,,,,19759.597391424024,134254.5150733015,19759.597391424024,,73666.52896009281,,,,,,,103.41931085500377,,,,,,0.0,,,0.19633032889617064,0.0012809513976253968,0.580227230395433,0.18912782350881424,0.7733872940411166,0.1695464362850973,0.9297356526813166,0.14210820615149813,,0.017055742620762617,0.2006532561832463,0.2006532561832463,0.20065325618324636,0.6752031347894393,0.32079454560327864,0.375,,0.2,0.5348837209302326,0.2487047575499662,0.2487047575499662,0.5348837209302325,1.1136505128465657,0.37724501625139817,8,1.385233399147529,0.5734843139379947,8,0,0,0.31309917904363477,0.4090913158292054,9,1,0.11111111111111112,0.36716243486407835,0.5949648838977768,9,0.5773502691896257,0.9587606950578839,8.5,8.470588235294118,0.6758089189575134,5,gaus,7.125,6.0,4.323936698360484,8,0.5089285714285714,1.0,0.34375,1,4.0
smoothed,mexh,21.702836749686252,0.6335889570552147,1419.1880307898548,-42.148862216602566,163,80,91164.03991212859,-332472.71200580156,False,"[56, 121, 148]","[149459.01090383448, 17722.29401018143, 5993.815208533764]",3,12.619451126218964,617500.3589286271,0.018520263737696163,4.000330044697908e-06,0.4754047770468406,3,57725.040040849904,5993.815208533764,149459.01090383448,"[56, 121, 148]","[149459.01090383448, 17722.29401018143, 5993.815208533764]","[0, 108, 133]","[162, 162, 162]",0.05,10,1667267988939.6218,165488.31396675124,-165488.31396675124,0.5,127018786824.82993,0.01626428324997688,0.008065244468874284,142822123441.54617,4.342365181132895e+19,"[0.015625, 0.015625, 0.015625, 0.03125]",2.0,127018786824.82993,0.015625,"[0.0, 0.015625, 0.03125, 0.046875, 0.0625, 0.078125, 0.09375, 0.109375, 0.125, 0.140625, 0.15625, 0.171875, 0.1875, 0.203125, 0.21875, 0.234375]","[7658181339.01787, 127018786824.82993, 4381333736.058804, 2769484812.6177325, 699388850.2354759, 196346480.17201784, 26583399.344315697, 22855260.46696861, 22789549.59110003, 10117565.218150526, 7807402.184524723, 685126.6304268204, 3648496.6023467546, 1079554.9692845147, 949434.6639356321, 478689.49712181964]",3.0,0.7,tukey,64.0,32.0,53413.36567578129,15.0,0.49079754601226994,14922324.172343623,0.012967238476324654,0.04399760396377528,24885881.136174954,2957708851213.763,10.0,568537.359494735,0.03067484662576687,"[0.0, 0.006134969325153374, 0.012269938650306749, 0.018404907975460124, 0.024539877300613498, 0.03067484662576687, 0.03680981595092025, 0.04294478527607362, 0.049079754601226995, 0.05521472392638037, 0.06134969325153374, 0.06748466257668712, 0.0736196319018405, 0.07975460122699386, 0.08588957055214724, 0.09202453987730061, 0.09815950920245399, 0.10429447852760737, 0.11042944785276074, 0.11656441717791412, 0.12269938650306748, 0.12883435582822086, 0.13496932515337423, 0.1411042944785276, 0.147239263803681, 0.15337423312883436, 0.15950920245398773, 0.16564417177914112, 0.17177914110429449, 0.17791411042944785, 0.18404907975460122, 0.1901840490797546, 0.19631901840490798, 0.20245398773006135, 0.20858895705521474, 0.2147239263803681, 0.22085889570552147, 0.22699386503067484, 0.23312883435582823, 0.2392638036809816]","[14922324.172343623, 4490089.546007812, 1765687.33167672, 693647.1432988425, 448729.28392528265, 568537.359494735, 359494.8980988471, 128257.14655441692, 170831.54438493736, 153599.7896829635, 155477.10593252777, 101054.52023227759, 51724.52387670051, 92495.14594882805, 43605.614549862985, 30804.914428863514, 55557.1035901393, 34741.889441306004, 23228.678048382943, 18805.964320146715, 34272.25084980842, 43827.899855792864, 13271.458859588922, 20778.49670969619, 13446.805840792513, 9451.983798469058, 13443.707645314924, 13604.18749338502, 13749.357650311098, 13946.24753804184, 14308.55089989397, 14044.041374424305, 11441.726472314733, 13145.712735315956, 10518.086108981757, 4484.364149468729, 14603.773635293508, 12727.810395588345, 11701.477422886715, 11717.38235851961]",3.0,0.7,53413.36567578129,15.0,CWT,mdp.39015067403918,127015819575.00204,0.0,57434.84956465943,2957659271893.764,0.0,148672.34423716782,142812063706.04443,164701.6473000846,0.0,-10.5,4.0,557971.6142094035,0.0,-15.0,,0.0,0.0,0.0,-19.5,0.015625,18.0,,4.3423651762840486e+19,14859738.505676957,0.0,0.0,0.39999999999999997,57434.84956465943,167081.1201225497,57434.849564659424,0.0,164701.6473000846,0.0,53268.06567578129,0.0,1.0,0.0,53268.06567578129,5980.148541867097,0.0725911000042336,127015819575.00204,0.07064904782238508,0.06693492242051598,24690066.141841747,20.0,0.0,0.053934296263778866,1.0,0.01607647367897582,0.0,0.3019363767555275,1.0000000000000002,0.0,0.7382870088168857,0.23327848834386627,0.0,0.9999999999999999,1.0,1.0,1.0,0.8915689586853445,1.0,0.875,,0.040000000000000036,0.23255813953488375,0.8516229452634863,0.8516229452634863,0.4418604651162791,2.952061564424811,1.0,1,1.3444173293457573,0.5565865292019934,10,0,0,0.7653527878219564,1.0,1,0,0.0,0.3655087052883617,0.5922851134975755,10,5.196152422706632,0.6288462555209549,5.5,1.8181818181818181,0.617994556331906,6,mexh,6.0,6.0,,1,0.42857142857142855,,,5,5.75
smoothed,gaus1,21.483897842310864,0.6908742331288343,1532.8023985079276,-41.96019203308691,163,80,86611.43188102017,,False,"[4, 97, 133]","[4152.928968214197, 37892.884321561556, 15.114802184325526]",3,12.726624279700381,2079358.631211628,0.026776083794502116,3.52654997079869e-06,0.09343815359781403,2,18953.99956187294,15.114802184325526,37892.884321561556,"[97, 133]","[37892.884321561556, 15.114802184325526]","[4, 115]","[115, 134]",0.05,10,1583894167804.7856,187891.88880018477,-187891.88880018477,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CWT,mdp.39015067403918,,,18663.809085682464,,,37106.21765489489,,187105.2221335181,0.0,-20.0,,,0.0,-20.0,,,0.0,0.0,-20.0,,19.0,,,,,,,18663.809085682464,31813.99912374588,18732.73202359674,,187105.2221335181,,,,,,,1.4481355176588622,,,,,,20.0,,,0.9396208908815064,0.013177034728919474,0.012334869802988535,0.5180164553578276,0.9710636514536672,0.4033477321814255,0.045095967317403285,1.0,,0.0,0.17740417983786633,0.17740417983786633,0.17886650119785985,0.0,0.04855197289308344,1.0,,0.0,0.0,1.0,1.0,0.0,0.9843784447086195,0.33345457851263305,11,1.6171578327702,0.6695006421491154,5,0,0,0.29851890281388965,0.3900409165078183,10,1,0.11111111111111112,0.48227651965991164,0.7815004103900389,3,3.8622100754188224,0.7241278517557984,7.25,5.523012552301255,0.6031353544493278,7,gaus,7.125,6.0,4.323936698360484,8,0.5089285714285714,1.0,0.34375,1,5.5
smoothed,morl,19.466620635320552,0.6533742331288344,459.59131868967717,-29.853466907388743,163,80,18507.916397352157,,False,"[12, 20, 26, 41, 57, 66, 105, 121, 152]","[2101.37240398788, 1014.2141775348755, 17112.936910679957, 3211.261937688813, 26582.93033137375, 3367.7982748983377, 47489.471668436, 10420.567757512676, 50062.885171985625]",9,12.46969426822003,264233.2625702862,0.04031943945185086,1.3733690985065846e-06,0.6196155668151526,9,15172.363438702076,40.3302334533405,50062.885171985625,"[12, 20, 26, 38, 45, 57, 66, 121, 152]","[2101.37240398788, 1014.2141775348755, 22134.514186833094, 40.3302334533405, 614.2078897150386, 46795.38085239782, 3367.7982748983377, 10420.567757512676, 50062.885171985625]","[0, 0, 0, 37, 41, 0, 63, 105, 105]","[15, 22, 41, 41, 47, 105, 105, 129, 162]",0.05,30,99221389851.21788,58897.645398011315,-58897.645398011315,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CWT,mdp.39015067403918,,,14882.172962511599,,,49276.21850531896,,58110.97873134465,0.0,1.5,,,0.0,1.5,,,0.0,0.0,-7.5,,12.0,,,,,,,14882.172962511599,130457.27094831868,14882.172962511602,,58110.97873134465,,,,,,,26.663566786673833,,,,,,0.0,,,0.0363958461063999,0.0,0.8038477383621427,0.0,0.7044475571476886,0.139308855291577,1.0000000000000002,0.047995491165734275,,0.004217543873286565,0.09717011776823337,0.09717011776823337,0.0971701177682335,0.6501748428779487,0.15233906001120268,0.125,,1.0,1.0,0.14568161303362198,0.14568161303362198,1.0,0.9982479658114205,0.3381528277869511,10,1.3203729140059743,0.5466321814049641,11,0,0,0.3762170855111985,0.49156035164102346,7,1,0.11111111111111112,0.33594388045363727,0.5443770736084684,11,1.8929694486000912,0.8647878965285649,9.75,9.418960244648318,0.5841796625499968,8,morl,8.0,8.0,,1,0.5714285714285714,,,6,7.5
smoothed,cgau8,15.66400346365829,0.654601226993865,652.864738927163,-31.80750382347691,163,80,27956.311561134466,-248322.27470822193,True,"[1, 19, 25, 45, 57, 72, 87, 110, 158]","[183.31226444950516, 2462.731886614136, 1418.329542047155, 86.2719588568325, 3111.5775812971187, 2411.2242040969577, 138.16155715258355, 25553.017674855495, 5783.237675943194]",9,12.947052849557135,368331.6300983167,0.036025540538825736,5.418091632524104e-05,0.4508414995041843,8,12859.303969418146,83.2996557683764,42997.118411522075,"[13, 20, 26, 45, 57, 66, 122, 152]","[549.7456368570638, 83.2996557683764, 14035.422263430357, 664.2132655392625, 42997.118411522075, 978.3269941626168, 4653.351279261359, 38912.95424880406]","[0, 0, 0, 41, 0, 63, 104, 104]","[15, 21, 41, 47, 104, 104, 129, 162]",0.05,30,156326756930.25455,55084.509964837926,-55084.509964837926,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CWT,mdp.39015067403918,,,12569.11349322767,,,42210.45174485541,,54297.84329817126,0.0,-8.0,,,0.0,1.0,,,0.0,0.0,-12.5,,13.0,,,,,,,12569.11349322767,96780.43175534517,12569.11349322767,,54297.84329817126,,,,,,,69.63298910170974,,,,,,0.0,,,0.16170548811609511,0.32317158893158465,0.6760968107854967,0.9624395329068013,0.2018696591095488,0.1479481641468685,0.6937097004942724,0.10259343627800577,0.7347034694694605,0.011404627920749782,0.048094492566708974,0.048094492566708974,0.04809449256670903,0.4282049788829968,0.0920814347786631,0.25,,0.6000000000000001,0.9767441860465116,0.12042752706331625,0.12042752706331625,0.5581395348837209,0.7243229749238149,0.24536174436624403,13,1.8048577137492197,0.7472080794197874,3,0,0,0.27514277452828345,0.35949797127058974,11,0,0.0,0.4449153166931259,0.7209588035297296,5,4.760952285695233,0.6599319795931976,8.0,5.704787234042554,0.5442517040823132,9,cgau,9.0,9.0,,1,0.6428571428571429,,,2,7.25
smoothed,cmor,17.72359464111363,0.7535276073619632,703.4225167294134,-33.826845997916514,163,80,36616.4978294429,-277751.18789544044,True,"[6, 19, 25, 34, 44, 57, 66, 120, 158]","[3654.2265699670097, 741.3558221845306, 2848.501969093275, 424.99764225156105, 917.8044645810951, 8765.448792825577, 799.2715377128407, 3533.2595991502494, 4248.4265983886435]",9,12.965682395282274,226341.54526184895,0.022208811265823955,7.374738715513664e-05,0.40436699238126383,7,12848.144358285188,25.667580845612974,58496.695719356525,"[27, 38, 45, 56, 65, 122, 152]","[2489.200457274397, 140.0397810457871, 714.5603679261258, 58496.695719356525, 25.667580845612974, 1694.8291166389808, 26376.017484908876]","[0, 31, 0, 0, 64, 104, 104]","[31, 40, 47, 104, 104, 126, 162]",0.05,30,248515347712.73648,52349.61551833292,-52349.61551833292,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CWT,mdp.39015067403918,,,12557.953882094711,,,57710.02905268986,,51562.94885166625,0.0,-8.5,,,0.0,-4.0,,,0.0,0.0,-13.0,,14.0,,,,,,,12557.953882094711,83843.01050799631,12557.953882094713,,51562.94885166625,,,,,,,12.00091417894631,,,,,,0.0,,,0.2765614845268748,0.4429144628191187,0.5440763593010166,1.0,0.4740782349549366,0.8444924406047519,0.6093680066970092,0.028121885546907477,0.4777645239841839,0.0017650622951570355,0.04785772178730255,0.04785772178730255,0.04785772178730263,0.34293220080949527,0.22426351102610914,0.375,,0.56,0.7441860465116279,0.10231454348794147,0.10231454348794147,0.5348837209302325,0.7555204904473075,0.2559297880342531,12,2.0632264599950174,0.8541723088954665,2,0,0,0.260936066159201,0.34093567085810683,12,0,0.0,0.521930822048311,0.8457578484509215,2,5.773502691896258,0.5876069505788387,7.0,3.428571428571429,0.5438034752894194,10,cmor,10.0,10.0,,1,0.7142857142857143,,,3,8.25
