Issue Number,Dates,Page Number,Type of Page,Original Volumes,Notes
5,July 23 1961,1,scanner_page,v.2-3 1961-1962,Record 000507426
,,7,cover_page,,vol 2 and half of the issue in french
,,12,toc,,
1,August-September 1961,207,cover_page,,vol 3
,,210,toc,,
2,September-October 1961,347,cover_page,,
,,350,toc,,
3,October-November 1961,459,cover_page,,
,,462,toc,,
4,November-December 1961,577,cover_page,,
,,580,toc,,
6,January-February 1962,681,cover_page,,
,,684,toc,,
,,802,end_of_issue,,
1,February-March 1962,1,scanner_page,v.4 no.1-6 1962,vol 4
,,7,cover_page,,
,,10,toc,,
2,March-April 1962,107,cover_page,,in french
,,109,toc,,
3,April-May 1962,205,cover_page,,
,,208,toc,,
4,May-June 1962,287,cover_page,,
,,290,toc,,
5,July 23 1962,375,cover_page,,
,,378,toc,,
6,August-September 1962,507,cover_page,,
,,510,toc,,
,,610,end_of_issue,,
1,September-October 1962,1,scanner_page,"v.5-6 no.1-4, 1-2 1962",vol 5 and in french
,,9,cover_page,,
,,10,toc,,
2,October-November 1962,121,cover_page,,in french
,,124,toc,,
3,November-December 1962,225,cover_page,,
,,228,toc,,
4,January 1963,325,cover_page,,
,,328,toc,,
3,April 1963,439,cover_page,,vol 6
,,442,toc,,
4,May 1963,539,cover_page,,in french and joined with the Arab Review
,,542,toc,,
5,June 1963,641,cover_page,,
,,644,toc,,
6,July-August 1963,745,cover_page,,
,,748,toc,,
,,874,end_of_issue,,
1,September 1963,1,scanner_page,v.7 1963-1964,vol 7
,,7,cover_page,,
,,10,toc,,
2,October 1963,111,cover_page,,
,,114,toc,,
3,November 1963,221,cover_page,,
,,224,toc,,
4,December 1963,337,cover_page,,
,,340,toc,,
5,January 1964,443,cover_page,,
,,446,toc,,
,,538,end_of_issue,,
1,February 1964,1,scanner_page,v.8 1964,vol 8
,,7,cover_page,,
,,10,toc,,
2,March 1964,107,cover_page,,
,,111,toc,,
3,April 1964,207,cover_page,,
,,211,toc,,
4,May 1964,319,cover_page,,
,,323,toc,,
5,June 1964,491,cover_page,,
,,495,toc,,
6,July 1964,595,cover_page,,
,,598,toc,,
,,668,end_of_issue,,v.9 1964-1965 none
