Issue Number,Dates,Page Number,Type of Page,Original Volumes,Notes
80,January 1 1962,1,scanner_page,1962 Jan-Jun,Michigan and record number 000679918
,,7,cover_page,,
,,9,toc,,
81,January 8 1962,43,cover_page,,
,,45,toc,,
82,January 15 1962,79,cover_page,,
,,81,toc,,
83,January 22 1962,115,cover_page,,
,,117,toc,,
84,January 29 1962,151,cover_page,,
,,153,toc,,
85,February 5 1962,187,cover_page,,
,,189,toc,,
86,February 12 1962,223,cover_page,,
,,225,toc,,
87,February 19 1962,259,cover_page,,
,,261,toc,,
88,February 26 1962,295,cover_page,,
,,297,toc,,
89,March 5 1962,331,cover_page,,
,,333,toc,,
90,March 12 1962,367,cover_page,,
,,369,toc,,
91,March 19 1962,403,cover_page,,
,,405,toc,,
92,March 26 1962,439,cover_page,,
,,441,toc,,
93,April 2 1962,475,cover_page,,
,,477,toc,,
94,April 9 1962,511,cover_page,,
,,513,toc,,
95,April 16 1962,549,cover_page,,
,,551,toc,,
96,April 23 1962,585,cover_page,,
,,587,duplicates,,587-588
,,589,toc,,
97,April 30 1962,623,cover_page,,
,,625,toc,,
98,May 7 1962,659,cover_page,,
,,661,toc,,
99,May 14 1962,695,cover_page,,
,,697,toc,,
100,May 21 1962,727,cover_page,,
,,729,toc,,
101,May 28 1962,763,cover_page,,
,,765,toc,,
102,June 4 1962,799,cover_page,,
,,802,toc,,
103,June 11 1962,835,cover_page,,
,,839,toc,,
104,June 18 1962,871,cover_page,,
,,875,toc,,
105,June 25 1962,907,cover_page,,
,,913,toc,,
,,962,end_of_issue,,
133,January 7 1963,1,scanner_page,1963 Jan-Mar,
,,7,cover_page,,
,,17,toc,,
134,January 14 1963,67,cover_page,,
,,75,toc,,
135,January 21 1963,125,cover_page,,
,,135,toc,,
136,January 28 1963,185,cover_page,,
,,195,toc,,
137,February 4 1963,245,cover_page,,
,,253,toc,,
138,February 11 1963,301,cover_page,,
,,309,toc,,
139,February 18 1963,357,cover_page,,
,,365,toc,,
140,February 25 1963,413,cover_page,,
,,421,toc,,
141,March 4 1963,469,cover_page,,
,,477,toc,,
142,March 11 1963,525,cover_page,,
,,533,toc,,
143,March 18 1963,581,cover_page,,
,,589,toc,,
144,March 25 1963,637,cover_page,,
,,645,toc,,
,,692,end_of_issue,,
106,July 2 1962,1,scanner_page,1962 Jul-Sep,
,,7,cover_page,,
,,13,toc,,
107,July 9 1962,51,cover_page,,
,,52,duplicates,,52-53
,,57,toc,,
108,July 16 1962,99,cover_page,,
,,103,toc,,
109,July 23 1962,145,cover_page,,
,,153,toc,,
110,July 30 1962,213,cover_page,,
,,221,toc,,
111,August 6 1962,269,cover_page,,
,,277,toc,,
112,August 13 1962,325,cover_page,,
,,333,toc,,
114,August 27 1962,383,cover_page,,
,,389,toc,,
115,September 3 1962,441,cover_page,,
,,447,toc,,
116,September 10 1962,497,cover_page,,
,,503,toc,,
117,September 17 1962,553,cover_page,,
,,559,toc,,
118,September 24 1962,609,cover_page,,
,,615,toc,,
,,664,end_of_issue,,
119,October 1 1962,1,scanner_page,1962 Oct-Dec,
,,7,cover_page,,
,,15,toc,,
120,October 8 1962,69,cover_page,,
,,77,toc,,
121,October 15 1962,123,cover_page,,
,,129,toc,,
122,October 22 1962,177,cover_page,,
,,185,toc,,
123,October 29 1962,237,cover_page,,
,,245,toc,,
124,November 5 1962,297,cover_page,,
,,307,toc,,
125,November 17 1962,353,cover_page,,
,,363,toc,,
126,November 19 1962,413,cover_page,,
,,423,toc,,
127,November 26 1962,473,cover_page,,
,,481,toc,,
128,December 3 1962,531,cover_page,,
,,541,toc,,
129,December 10 1962,591,cover_page,,
,,603,toc,,
130,December 17 1962,653,cover_page,,
,,663,toc,,
131,December 24 1962,713,cover_page,,
,,721,toc,,
132,December 31 1962,773,cover_page,,
,,783,toc,,
,,832,end_of_issue,,
