wavelet,wavelet_level,wavelet_mode,wavelet_mse,wavelet_psnr,wavelet_energy_entropy,wavelet_sparsity,wavelet_adaptive_threshold,signal_length,signal_type,emd_value,kl_divergence,change_point_indices,change_point_prominences,num_change_points,wavelet_entropy,avg_variance_across_levels,variance_ratio_across_levels,smoothness,correlation,fft_frequency_max,fft_amplitude_max,fft_spectral_centroid,fft_spectral_bandwidth,fft_spectral_magnitude,fft_variance_magnitude,fft_num_peaks,fft_peak_amplitude,fft_dominant_frequency,fft_positive_frequencies,fft_positive_amplitudes,fft_snr_threshold,fft_stationarity_threshold,fft_dynamic_cutoff,fft_dynamic_cutoff_percentile,stft_frequency_max,stft_amplitude_max,stft_spectral_centroid,stft_spectral_bandwidth,stft_spectral_magnitude,stft_variance_magnitude,stft_peak_freq_over_time,stft_num_peaks,stft_peak_amplitude,stft_dominant_frequency,stft_positive_frequencies,stft_positive_amplitudes,stft_snr_threshold,stft_stationarity_threshold,stft_window,stft_nperseg,stft_noverlap,stft_dynamic_cutoff,stft_dynamic_cutoff_percentile,relative_num_peaks,avg_prominence,prominence_min,prominence_max,relative_peaks,relative_prominences,relative_left_bases,relative_right_bases,prominence_threshold,distance_factor,max_autocorrelation,upper_envelope,lower_envelope,wavelet_type,htid,stft_amplitude_max_diff,stft_frequency_max_diff,avg_prominence_diff,fft_variance_magnitude_diff,stft_noverlap_diff,prominence_max_diff,stft_spectral_magnitude_diff,upper_envelope_diff,relative_peaks_array_alignment_score,relative_peaks_global_alignment_score,stft_num_peaks_diff,fft_peak_amplitude_diff,relative_left_bases_array_alignment_score,relative_left_bases_global_alignment_score,stft_window_diff,stft_nperseg_diff,prominence_threshold_diff,relative_right_bases_array_alignment_score,relative_right_bases_global_alignment_score,stft_dominant_frequency_diff,relative_num_peaks_diff,max_autocorrelation_diff,stft_variance_magnitude_diff,fft_amplitude_max_diff,fft_dominant_frequency_diff,relative_prominences_avg_diff,relative_prominences_total_diff,relative_prominences_wasserstein,fft_snr_threshold_diff,stft_stationarity_threshold_diff,stft_dynamic_cutoff_percentile_diff,lower_envelope_diff,fft_stationarity_threshold_diff,stft_dynamic_cutoff_diff,fft_frequency_max_diff,fft_num_peaks_diff,fft_dynamic_cutoff_percentile_diff,fft_dynamic_cutoff_diff,prominence_min_diff,fft_spectral_centroid_diff,stft_peak_amplitude_diff,fft_spectral_bandwidth_diff,stft_spectral_bandwidth_diff,fft_spectral_magnitude_diff,distance_factor_diff,stft_snr_threshold_diff,stft_spectral_centroid_diff,wavelet_psnr_normalized,wavelet_entropy_normalized,wavelet_energy_entropy_normalized,wavelet_sparsity_normalized,avg_variance_across_levels_normalized,max_autocorrelation_diff_normalized,relative_right_bases_global_alignment_score_normalized,relative_right_bases_array_alignment_score_normalized,reconstruction_signal_weighted_score,reconstruction_signal_normalized_weighted_score,reconstruction_signal_normalized_weighted_rank,wavelet_signal_weighted_score,wavelet_signal_normalized_weighted_score,wavelet_signal_normalized_weighted_rank,reconstruction_signal_num_missing_metrics,reconstruction_signal_missing_metrics_count,reconstruction_signal_dynamically_weighted_score,reconstruction_signal_normalized_dynamically_weighted_score,reconstruction_signal_normalized_dynamically_weighted_rank,wavelet_signal_num_missing_metrics,wavelet_signal_missing_metrics_count,wavelet_signal_dynamically_weighted_score,wavelet_signal_normalized_dynamically_weighted_score,wavelet_signal_normalized_dynamically_weighted_rank,rank_variability,normalized_rank_stability,average_rank,harmonic_average_rank,stability_score_weighted,stability_rank,wavelet_family,family_mean_stability_rank,family_median_stability_rank,family_rank_std_dev,family_wavelet_count,normalized_family_mean_rank,normalized_family_std_dev,final_family_stability_score,final_family_stability_rank,family_informed_rank,top_wavelet_rank
rbio3.1,1,symmetric,8.290278463715594e-27,318.973279248306,1601669.3474355685,0.6714285714285714,374.1322308577982,68,raw,7.439800409723406e-14,-6.385203477066297e-11,"[2, 4, 7, 10, 12, 15, 17, 21, 29, 32, 34, 37, 40, 44, 48, 52, 59, 61, 64]","[34.999999999999915, 229.99999999999994, 113.99999999999994, 707.9999999999998, 108.00000000000006, 132.0, 113.99999999999994, 240.99999999999991, 371.9999999999999, 131.99999999999997, 25.00000000000003, 105.00000000000009, 147.99999999999994, 647.0, 131.0, 220.0, 393.99999999999994, 541.9999999999998, 227.0]",19,5.2372967622379045,42678.25573979592,0.6584416976784273,9.014964841637121e-06,0.9999999999999997,0.4852941176470588,18786.999999999996,0.16848596809832686,0.16241489355787508,61048.372314364206,9092072.63128613,6,2730.0875868056496,0.058823529411764705,"[0.0, 0.014705882352941176, 0.029411764705882353, 0.044117647058823525, 0.058823529411764705, 0.07352941176470588, 0.08823529411764705, 0.10294117647058823, 0.11764705882352941, 0.1323529411764706, 0.14705882352941177, 0.16176470588235295, 0.1764705882352941, 0.19117647058823528, 0.20588235294117646, 0.22058823529411764, 0.23529411764705882]","[18786.999999999996, 707.3054543712011, 1872.51635544943, 2221.3594782069385, 2730.0875868056496, 335.14352828873666, 1020.9932925994045, 871.6589876842384, 1462.1387012612176, 491.56231547913285, 1359.77996959002, 885.1901371728485, 1831.1671668980969, 1103.7874479673799, 1586.5178979378927, 1235.1906279870343, 441.67432591476006]",3.0,0.3,119.4499999999999,15,0.5,671451.1903438747,0.23076436093222163,0.14010258362949105,2592181.374999999,2154591525.9756236,"[0.1875, 0.1875, 0.25, 0.25, 0.0625, 0.25, 0.0625]",1,671451.1903438747,0.0625,"[0.0, 0.0625, 0.125, 0.1875]","[1.0804238957906978e-25, 671451.1903438747, 194767.9848844938, 442889.9561302135]",3.0,0.5,boxcar,16,8,119.4499999999999,15,19,243.4210526315789,25.00000000000003,707.9999999999998,"[2, 4, 7, 10, 12, 15, 17, 21, 29, 32, 34, 37, 40, 44, 48, 52, 59, 61, 64]","[34.999999999999915, 229.99999999999994, 113.99999999999994, 707.9999999999998, 108.00000000000006, 132.0, 113.99999999999994, 240.99999999999991, 371.9999999999999, 131.99999999999997, 25.00000000000003, 105.00000000000009, 147.99999999999994, 647.0, 131.0, 220.0, 393.99999999999994, 541.9999999999998, 227.0]","[1, 1, 6, 1, 11, 14, 16, 16, 16, 30, 33, 30, 30, 30, 47, 50, 54, 54, 62]","[3, 6, 8, 54, 16, 16, 19, 26, 30, 35, 35, 39, 41, 54, 50, 54, 60, 66, 66]",0.05,30,7125692.999999998,809.9999999999999,-809.9999999999999,DWT,uc1.b4952555,2.3283064365386963e-10,0.0,5.684341886080802e-14,3.725290298461914e-09,0.0,2.2737367544323206e-13,9.313225746154785e-10,1.1368683772161603e-13,1.0,76,0.0,0.0,1.0,76,,0.0,0.0,1.0,76.0,0.0,0.0,1.862645149230957e-09,1.9073486328125e-06,3.637978807091713e-12,0.0,5.684341886080802e-14,9.094947017729282e-13,6.432281607933541e-14,0.0,0.0,0.0,1.1368683772161603e-13,0.0,8.526512829121202e-14,0.0,0.0,0.0,8.526512829121202e-14,2.842170943040401e-14,2.7755575615628914e-17,2.3283064365386963e-10,0.0,2.7755575615628914e-17,1.4551915228366852e-11,0.0,0.0,0.0,0.8917626539111699,0.8767019680885513,0.00013154198909039937,0.5966338259441706,0.0003688486285085207,8.570816370259266e-05,1.0,1.0,0.2000428540818513,0.28577550583121614,100,1.2122754172145944,0.6578554974818458,81,0,0,0.6666952360545676,0.6666952360545676,104,0,0,0.4731197677122982,0.6198385980387894,76,13.81725973797506,0.9777499843188807,90.25,88.65452893834573,0.9162099357987319,1,rbio,292.6074074074074,320.0,204.9684393723841,135,0.7385449531421626,1.0,0.18301853280048616,5,2.0,1
rbio3.1,1,periodic,8.440997300195466e-27,318.89503281861437,1779736.7339061247,0.7285714285714285,434.9369086574543,68,raw,7.533842830632831e-14,-6.37594421704092e-11,"[2, 4, 7, 10, 12, 15, 17, 21, 29, 32, 34, 37, 40, 44, 48, 52, 59, 61, 64]","[34.999999999999915, 229.99999999999994, 113.99999999999994, 707.9999999999998, 108.00000000000006, 132.0, 113.99999999999994, 240.99999999999991, 371.9999999999999, 131.99999999999997, 25.00000000000003, 105.00000000000009, 147.99999999999994, 647.0, 131.0, 220.0, 393.99999999999994, 541.9999999999998, 227.0]",19,5.30504667214337,57637.42971938775,0.8341004562942905,9.014964841637121e-06,0.9999999999999997,0.4852941176470588,18786.999999999996,0.16848596809832686,0.16241489355787508,61048.372314364206,9092072.63128613,6,2730.0875868056496,0.058823529411764705,"[0.0, 0.014705882352941176, 0.029411764705882353, 0.044117647058823525, 0.058823529411764705, 0.07352941176470588, 0.08823529411764705, 0.10294117647058823, 0.11764705882352941, 0.1323529411764706, 0.14705882352941177, 0.16176470588235295, 0.1764705882352941, 0.19117647058823528, 0.20588235294117646, 0.22058823529411764, 0.23529411764705882]","[18786.999999999996, 707.3054543712011, 1872.5163554494302, 2221.359478206938, 2730.0875868056496, 335.14352828873666, 1020.9932925994045, 871.6589876842385, 1462.1387012612179, 491.5623154791327, 1359.77996959002, 885.1901371728486, 1831.1671668980969, 1103.7874479673799, 1586.5178979378927, 1235.1906279870343, 441.6743259147604]",3.0,0.3,119.4499999999999,15,0.5,671451.1903438747,0.23076436093222163,0.14010258362949105,2592181.374999999,2154591525.9756236,"[0.1875, 0.1875, 0.25, 0.25, 0.0625, 0.25, 0.0625]",1,671451.1903438747,0.0625,"[0.0, 0.0625, 0.125, 0.1875]","[1.0804238957906978e-25, 671451.1903438747, 194767.9848844938, 442889.9561302135]",3.0,0.5,boxcar,16,8,119.4499999999999,15,19,243.4210526315789,25.00000000000003,707.9999999999998,"[2, 4, 7, 10, 12, 15, 17, 21, 29, 32, 34, 37, 40, 44, 48, 52, 59, 61, 64]","[34.999999999999915, 229.99999999999994, 113.99999999999994, 707.9999999999998, 108.00000000000006, 132.0, 113.99999999999994, 240.99999999999991, 371.9999999999999, 131.99999999999997, 25.00000000000003, 105.00000000000009, 147.99999999999994, 647.0, 131.0, 220.0, 393.99999999999994, 541.9999999999998, 227.0]","[1, 1, 6, 1, 11, 14, 16, 16, 16, 30, 33, 30, 30, 30, 47, 50, 54, 54, 62]","[3, 6, 8, 54, 16, 16, 19, 26, 30, 35, 35, 39, 41, 54, 50, 54, 60, 66, 66]",0.05,30,7125692.999999998,809.9999999999999,-809.9999999999999,DWT,uc1.b4952555,2.3283064365386963e-10,0.0,5.684341886080802e-14,3.725290298461914e-09,0.0,2.2737367544323206e-13,9.313225746154785e-10,1.1368683772161603e-13,1.0,76,0.0,0.0,1.0,76,,0.0,0.0,1.0,76.0,0.0,0.0,1.862645149230957e-09,1.9073486328125e-06,3.637978807091713e-12,0.0,5.684341886080802e-14,9.094947017729282e-13,6.432281607933541e-14,0.0,0.0,0.0,1.1368683772161603e-13,0.0,8.526512829121202e-14,0.0,0.0,0.0,8.526512829121202e-14,2.842170943040401e-14,2.7755575615628914e-17,2.3283064365386963e-10,0.0,2.7755575615628914e-17,1.4551915228366852e-11,0.0,0.0,0.0,0.8909570965901185,0.8945201959478779,0.00022797601189113374,0.8366995073891625,0.0006943839862096644,8.570816370259266e-05,1.0,1.0,0.2000428540818513,0.28577550583121614,98,1.3169059004841044,0.7146344584717352,26,0,0,0.6666952360545676,0.6666952360545676,102,0,0,0.524619831985052,0.6873093101421626,16,45.822119840385675,0.9262123674067864,60.5,33.06617471651903,0.9143944284698988,2,rbio,292.6074074074074,320.0,204.9684393723841,135,0.7385449531421626,1.0,0.18301853280048616,5,2.75,2
rbio3.1,1,constant,8.27245948797413e-27,318.9826239422159,1677742.2846530348,0.7,383.82952861032953,68,raw,7.398003778208106e-14,-6.388112261390815e-11,"[2, 4, 7, 10, 12, 15, 17, 21, 29, 32, 34, 37, 40, 44, 48, 52, 59, 61, 64]","[34.999999999999915, 229.99999999999994, 113.99999999999994, 707.9999999999998, 108.00000000000006, 132.0, 113.99999999999994, 240.99999999999991, 371.9999999999999, 131.99999999999997, 25.00000000000003, 105.00000000000009, 147.99999999999994, 647.0, 131.0, 220.0, 393.99999999999994, 541.9999999999998, 227.0]",19,5.20582203231901,45768.49234693877,0.6346563096025254,9.014964841637121e-06,0.9999999999999997,0.4852941176470588,18786.999999999996,0.16848596809832686,0.16241489355787508,61048.372314364206,9092072.63128613,6,2730.0875868056487,0.058823529411764705,"[0.0, 0.014705882352941176, 0.029411764705882353, 0.044117647058823525, 0.058823529411764705, 0.07352941176470588, 0.08823529411764705, 0.10294117647058823, 0.11764705882352941, 0.1323529411764706, 0.14705882352941177, 0.16176470588235295, 0.1764705882352941, 0.19117647058823528, 0.20588235294117646, 0.22058823529411764, 0.23529411764705882]","[18786.999999999996, 707.3054543712013, 1872.51635544943, 2221.3594782069385, 2730.0875868056487, 335.14352828873666, 1020.9932925994045, 871.6589876842385, 1462.1387012612176, 491.5623154791328, 1359.77996959002, 885.1901371728485, 1831.1671668980969, 1103.7874479673799, 1586.5178979378927, 1235.1906279870343, 441.6743259147603]",3.0,0.3,119.4499999999999,15,0.5,671451.1903438747,0.23076436093222163,0.14010258362949105,2592181.374999999,2154591525.9756236,"[0.1875, 0.1875, 0.25, 0.25, 0.0625, 0.25, 0.0625]",1,671451.1903438747,0.0625,"[0.0, 0.0625, 0.125, 0.1875]","[1.0804238957906978e-25, 671451.1903438747, 194767.9848844938, 442889.9561302135]",3.0,0.5,boxcar,16,8,119.4499999999999,15,19,243.4210526315789,25.00000000000003,707.9999999999998,"[2, 4, 7, 10, 12, 15, 17, 21, 29, 32, 34, 37, 40, 44, 48, 52, 59, 61, 64]","[34.999999999999915, 229.99999999999994, 113.99999999999994, 707.9999999999998, 108.00000000000006, 132.0, 113.99999999999994, 240.99999999999991, 371.9999999999999, 131.99999999999997, 25.00000000000003, 105.00000000000009, 147.99999999999994, 647.0, 131.0, 220.0, 393.99999999999994, 541.9999999999998, 227.0]","[1, 1, 6, 1, 11, 14, 16, 16, 16, 30, 33, 30, 30, 30, 47, 50, 54, 54, 62]","[3, 6, 8, 54, 16, 16, 19, 26, 30, 35, 35, 39, 41, 54, 50, 54, 60, 66, 66]",0.05,30,7125692.999999998,809.9999999999999,-809.9999999999999,DWT,uc1.b4952555,2.3283064365386963e-10,0.0,5.684341886080802e-14,3.725290298461914e-09,0.0,2.2737367544323206e-13,9.313225746154785e-10,1.1368683772161603e-13,1.0,76,0.0,9.094947017729282e-13,1.0,76,,0.0,0.0,1.0,76.0,0.0,0.0,1.862645149230957e-09,1.9073486328125e-06,3.637978807091713e-12,0.0,5.684341886080802e-14,9.094947017729282e-13,6.432281607933541e-14,0.0,0.0,0.0,1.1368683772161603e-13,0.0,8.526512829121202e-14,0.0,0.0,0.0,8.526512829121202e-14,2.842170943040401e-14,2.7755575615628914e-17,2.3283064365386963e-10,0.0,2.7755575615628914e-17,1.4551915228366852e-11,0.0,0.0,0.0,0.8918588587683342,0.8684241133978488,0.00017273998445358174,0.7166666666666666,0.0004360970795700456,8.570816370259266e-05,1.0,1.0,0.2000428540818513,0.28577550583121614,95,1.2562548474506463,0.681721451988605,52,0,0,0.6666952360545676,0.6666952360545676,110,0,0,0.49551169517937466,0.6491744700013806,46,31.58454263296104,0.9491392228132672,75.75,66.02062781453455,0.9135792732423824,3,rbio,292.6074074074074,320.0,204.9684393723841,135,0.7385449531421626,1.0,0.18301853280048616,5,3.5,3
rbio3.1,1,reflect,8.233851707200961e-27,319.0029400219585,1607369.9952311846,0.6857142857142857,383.82952861032953,68,raw,7.335308830935155e-14,-6.380951322881977e-11,"[2, 4, 7, 10, 12, 15, 17, 21, 29, 32, 34, 37, 40, 44, 48, 52, 59, 61, 64]","[34.999999999999915, 229.99999999999994, 113.99999999999994, 707.9999999999998, 108.00000000000006, 132.0, 113.99999999999994, 240.99999999999991, 371.9999999999999, 131.99999999999997, 25.00000000000003, 105.00000000000009, 147.99999999999994, 647.0, 131.0, 220.0, 393.99999999999994, 541.9999999999998, 227.0]",19,5.300843163228592,48795.047193877544,0.7744130940020704,9.014964841637121e-06,0.9999999999999998,0.4852941176470588,18786.999999999996,0.16848596809832686,0.16241489355787508,61048.372314364206,9092072.63128613,6,2730.0875868056496,0.058823529411764705,"[0.0, 0.014705882352941176, 0.029411764705882353, 0.044117647058823525, 0.058823529411764705, 0.07352941176470588, 0.08823529411764705, 0.10294117647058823, 0.11764705882352941, 0.1323529411764706, 0.14705882352941177, 0.16176470588235295, 0.1764705882352941, 0.19117647058823528, 0.20588235294117646, 0.22058823529411764, 0.23529411764705882]","[18786.999999999996, 707.3054543712011, 1872.51635544943, 2221.359478206938, 2730.0875868056496, 335.1435282887368, 1020.9932925994045, 871.6589876842385, 1462.1387012612176, 491.5623154791328, 1359.77996959002, 885.1901371728485, 1831.167166898097, 1103.7874479673799, 1586.517897937893, 1235.1906279870343, 441.6743259147603]",3.0,0.3,119.4499999999999,15,0.5,671451.1903438747,0.23076436093222163,0.14010258362949105,2592181.374999999,2154591525.9756236,"[0.1875, 0.1875, 0.25, 0.25, 0.0625, 0.25, 0.0625]",1,671451.1903438747,0.0625,"[0.0, 0.0625, 0.125, 0.1875]","[1.0804238957906978e-25, 671451.1903438747, 194767.9848844938, 442889.9561302135]",3.0,0.5,boxcar,16,8,119.4499999999999,15,19,243.4210526315789,25.00000000000003,707.9999999999998,"[2, 4, 7, 10, 12, 15, 17, 21, 29, 32, 34, 37, 40, 44, 48, 52, 59, 61, 64]","[34.999999999999915, 229.99999999999994, 113.99999999999994, 707.9999999999998, 108.00000000000006, 132.0, 113.99999999999994, 240.99999999999991, 371.9999999999999, 131.99999999999997, 25.00000000000003, 105.00000000000009, 147.99999999999994, 647.0, 131.0, 220.0, 393.99999999999994, 541.9999999999998, 227.0]","[1, 1, 6, 1, 11, 14, 16, 16, 16, 30, 33, 30, 30, 30, 47, 50, 54, 54, 62]","[3, 6, 8, 54, 16, 16, 19, 26, 30, 35, 35, 39, 41, 54, 50, 54, 60, 66, 66]",0.05,30,7125692.999999998,809.9999999999999,-809.9999999999999,DWT,uc1.b4952555,2.3283064365386963e-10,0.0,5.684341886080802e-14,3.725290298461914e-09,0.0,2.2737367544323206e-13,9.313225746154785e-10,1.1368683772161603e-13,1.0,76,0.0,0.0,1.0,76,,0.0,0.0,1.0,76.0,0.0,0.0,1.862645149230957e-09,1.9073486328125e-06,3.637978807091713e-12,0.0,5.684341886080802e-14,9.094947017729282e-13,6.432281607933541e-14,0.0,0.0,0.0,1.1368683772161603e-13,0.0,8.526512829121202e-14,0.0,0.0,0.0,8.526512829121202e-14,2.842170943040401e-14,2.7755575615628914e-17,2.3283064365386963e-10,0.0,2.7755575615628914e-17,1.4551915228366852e-11,0.0,0.0,0.0,0.8920680154907075,0.8934146730068624,0.00013462922707596002,0.6566502463054188,0.0005019597145019261,8.570816370259266e-05,1.0,1.0,0.2000428540818513,0.28577550583121614,104,1.2448763428193619,0.6755467727708971,61,0,0,0.6666952360545676,0.6666952360545676,106,0,0,0.48855390474891336,0.6400590041929696,57,26.620793877468543,0.9571323770089073,82.0,75.49071443553478,0.9125436442210397,4,rbio,292.6074074074074,320.0,204.9684393723841,135,0.7385449531421626,1.0,0.18301853280048616,5,4.25,4
rbio3.1,1,zero,8.274686859941814e-27,318.9814547552876,1625519.898529928,0.6857142857142857,383.82952861032953,68,raw,7.40845293608693e-14,-6.387379514194562e-11,"[2, 4, 7, 10, 12, 15, 17, 21, 29, 32, 34, 37, 40, 44, 48, 52, 59, 61, 64]","[34.999999999999915, 229.99999999999994, 113.99999999999994, 707.9999999999998, 108.00000000000006, 132.0, 113.99999999999994, 240.99999999999991, 371.9999999999999, 131.99999999999997, 25.00000000000003, 105.00000000000009, 147.99999999999994, 647.0, 131.0, 220.0, 393.99999999999994, 541.9999999999998, 227.0]",19,5.274712882785506,50455.359693877544,0.7721278938176357,9.014964841637121e-06,0.9999999999999997,0.4852941176470588,18786.999999999996,0.16848596809832686,0.16241489355787508,61048.372314364206,9092072.63128613,6,2730.0875868056487,0.058823529411764705,"[0.0, 0.014705882352941176, 0.029411764705882353, 0.044117647058823525, 0.058823529411764705, 0.07352941176470588, 0.08823529411764705, 0.10294117647058823, 0.11764705882352941, 0.1323529411764706, 0.14705882352941177, 0.16176470588235295, 0.1764705882352941, 0.19117647058823528, 0.20588235294117646, 0.22058823529411764, 0.23529411764705882]","[18786.999999999996, 707.3054543712013, 1872.51635544943, 2221.3594782069385, 2730.0875868056487, 335.14352828873666, 1020.9932925994045, 871.6589876842385, 1462.1387012612176, 491.5623154791328, 1359.77996959002, 885.1901371728485, 1831.1671668980969, 1103.7874479673799, 1586.5178979378927, 1235.1906279870343, 441.6743259147603]",3.0,0.3,119.4499999999999,15,0.5,671451.1903438747,0.23076436093222163,0.14010258362949105,2592181.374999999,2154591525.9756236,"[0.1875, 0.1875, 0.25, 0.25, 0.0625, 0.25, 0.0625]",1,671451.1903438747,0.0625,"[0.0, 0.0625, 0.125, 0.1875]","[1.0804238957906978e-25, 671451.1903438747, 194767.9848844938, 442889.9561302135]",3.0,0.5,boxcar,16,8,119.4499999999999,15,19,243.4210526315789,25.00000000000003,707.9999999999998,"[2, 4, 7, 10, 12, 15, 17, 21, 29, 32, 34, 37, 40, 44, 48, 52, 59, 61, 64]","[34.999999999999915, 229.99999999999994, 113.99999999999994, 707.9999999999998, 108.00000000000006, 132.0, 113.99999999999994, 240.99999999999991, 371.9999999999999, 131.99999999999997, 25.00000000000003, 105.00000000000009, 147.99999999999994, 647.0, 131.0, 220.0, 393.99999999999994, 541.9999999999998, 227.0]","[1, 1, 6, 1, 11, 14, 16, 16, 16, 30, 33, 30, 30, 30, 47, 50, 54, 54, 62]","[3, 6, 8, 54, 16, 16, 19, 26, 30, 35, 35, 39, 41, 54, 50, 54, 60, 66, 66]",0.05,30,7125692.999999998,809.9999999999999,-809.9999999999999,DWT,uc1.b4952555,2.3283064365386963e-10,0.0,5.684341886080802e-14,3.725290298461914e-09,0.0,2.2737367544323206e-13,9.313225746154785e-10,1.1368683772161603e-13,1.0,76,0.0,9.094947017729282e-13,1.0,76,,0.0,0.0,1.0,76.0,0.0,0.0,1.862645149230957e-09,1.9073486328125e-06,3.637978807091713e-12,0.0,5.684341886080802e-14,9.094947017729282e-13,6.432281607933541e-14,0.0,0.0,0.0,1.1368683772161603e-13,0.0,8.526512829121202e-14,0.0,0.0,0.0,8.526512829121202e-14,2.842170943040401e-14,2.7755575615628914e-17,2.3283064365386963e-10,0.0,2.7755575615628914e-17,1.4551915228366852e-11,0.0,0.0,0.0,0.8918468218345915,0.8865424086508997,0.00014445847331376866,0.6566502463054188,0.0005380907484962194,8.570816370259266e-05,1.0,1.0,0.2000428540818513,0.28577550583121614,102,1.2413268614844277,0.6736206050236695,64,0,0,0.6666952360545676,0.6666952360545676,109,0,0,0.487144405202544,0.6382124057576889,59,25.645012510557812,0.9587036835578779,83.5,77.590977012822,0.9121215680269261,5,rbio,292.6074074074074,320.0,204.9684393723841,135,0.7385449531421626,1.0,0.18301853280048616,5,5.0,5
db16,1,reflect,7.965824613756457e-27,319.14666303053855,1777798.1977530755,0.7040816326530612,323.38648054764104,68,raw,5.820180938505525e-14,-7.035871885108365e-11,"[2, 4, 7, 10, 12, 15, 17, 21, 29, 32, 34, 37, 40, 44, 48, 52, 59, 61, 64]","[34.99999999999997, 230.0, 114.00000000000003, 708.0, 108.00000000000017, 131.99999999999994, 113.99999999999983, 240.99999999999983, 371.99999999999994, 132.0, 25.00000000000007, 104.99999999999997, 147.9999999999999, 647.0000000000001, 130.99999999999991, 220.0, 394.0000000000004, 542.0, 227.00000000000006]",19,5.5780522895594045,27058.85827984657,0.570019242270381,9.014964841637114e-06,0.9999999999999998,0.4852941176470588,18787.0,0.16848596809832683,0.16241489355787508,61048.37231436422,9092072.631286133,6,2730.087586805651,0.058823529411764705,"[0.0, 0.014705882352941176, 0.029411764705882353, 0.044117647058823525, 0.058823529411764705, 0.07352941176470588, 0.08823529411764705, 0.10294117647058823, 0.11764705882352941, 0.1323529411764706, 0.14705882352941177, 0.16176470588235295, 0.1764705882352941, 0.19117647058823528, 0.20588235294117646, 0.22058823529411764, 0.23529411764705882]","[18787.0, 707.3054543712021, 1872.5163554494306, 2221.3594782069385, 2730.087586805651, 335.1435282887372, 1020.9932925994055, 871.658987684238, 1462.138701261219, 491.5623154791319, 1359.7799695900212, 885.1901371728495, 1831.1671668980982, 1103.78744796738, 1586.5178979378938, 1235.1906279870352, 441.67432591476023]",3.0,0.3,119.44999999999999,15,0.5,671451.1903438754,0.23076436093222155,0.14010258362949105,2592181.375000001,2154591525.975627,"[0.1875, 0.1875, 0.25, 0.25, 0.0625, 0.25, 0.0625]",1,671451.1903438754,0.0625,"[0.0, 0.0625, 0.125, 0.1875]","[5.669701098004456e-26, 671451.1903438754, 194767.984884494, 442889.9561302138]",3.0,0.5,boxcar,16,8,119.44999999999999,15,19,243.42105263157896,25.00000000000007,708.0,"[2, 4, 7, 10, 12, 15, 17, 21, 29, 32, 34, 37, 40, 44, 48, 52, 59, 61, 64]","[34.99999999999997, 230.0, 114.00000000000003, 708.0, 108.00000000000017, 131.99999999999994, 113.99999999999983, 240.99999999999983, 371.99999999999994, 132.0, 25.00000000000007, 104.99999999999997, 147.9999999999999, 647.0000000000001, 130.99999999999991, 220.0, 394.0000000000004, 542.0, 227.00000000000006]","[1, 1, 6, 1, 11, 14, 16, 16, 16, 30, 33, 30, 30, 30, 47, 50, 54, 54, 62]","[3, 6, 8, 54, 16, 16, 19, 26, 30, 35, 35, 39, 41, 54, 50, 54, 60, 66, 66]",0.05,30,7125693.000000002,810.0,-810.0,DWT,uc1.b4952555,4.656612873077393e-10,0.0,0.0,0.0,0.0,0.0,9.313225746154785e-10,0.0,1.0,76,0.0,1.3642420526593924e-12,1.0,76,,0.0,0.0,1.0,76.0,0.0,0.0,1.862645149230957e-09,1.430511474609375e-06,0.0,0.0,0.0,0.0,8.15254296819483e-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.105427357601002e-14,0.0,4.656612873077393e-10,0.0,2.7755575615628914e-17,0.0,0.0,0.0,8.326672684688674e-17,0.8935476628333582,0.9663206795910693,0.00022692617989613164,0.733814215341309,2.8945760466626033e-05,8.570816370259266e-05,1.0,1.0,0.2000428540818513,0.28577550583121614,108,1.312939665026208,0.7124821342034764,28,0,0,0.6666952360545676,0.6666952360545676,99,0,0,0.5187876859412199,0.6796685614901963,26,44.32738055273136,0.9286193549875501,65.25,42.76424050632911,0.9117734456097171,6,db,283.47058823529414,262.0,194.84666909702182,153,0.7154835011197216,0.9506179082674617,0.21397617673595637,4,5.5,6
