wavelet,wavelet_level,wavelet_mode,wavelet_mse,wavelet_psnr,wavelet_energy_entropy,wavelet_sparsity,wavelet_adaptive_threshold,signal_length,signal_type,emd_value,kl_divergence,wavelet_entropy,avg_variance_across_levels,variance_ratio_across_levels,smoothness,correlation,dynamic_cutoff,dominant_frequency,amplitude_max,num_fft_peaks,positive_frequencies,positive_amplitudes,relative_num_peaks,avg_prominence,prominence_min,prominence_max,relative_peaks,relative_prominences,relative_left_bases,relative_right_bases,max_autocorrelation,upper_envelope,lower_envelope,spectral_magnitude,spectral_centroid,spectral_bandwidth,frequency_max,wavelet_type,htid,max_autocorrelation_diff,frequency_max_diff,relative_right_bases_array_alignment_score,relative_right_bases_global_alignment_score,relative_num_peaks_diff,relative_peaks_array_alignment_score,relative_peaks_global_alignment_score,spectral_centroid_diff,lower_envelope_diff,relative_prominences_avg_diff,relative_prominences_total_diff,relative_prominences_wasserstein,spectral_bandwidth_diff,spectral_magnitude_diff,avg_prominence_diff,num_fft_peaks_diff,amplitude_max_diff,prominence_min_diff,relative_left_bases_array_alignment_score,relative_left_bases_global_alignment_score,prominence_max_diff,upper_envelope_diff,dominant_frequency_diff,dynamic_cutoff_diff,emd_value_normalized,wavelet_mse_normalized,wavelet_psnr_normalized,wavelet_entropy_normalized,wavelet_energy_entropy_normalized,wavelet_sparsity_normalized,avg_variance_across_levels_normalized,prominence_min_diff_normalized,avg_prominence_diff_normalized,relative_prominences_avg_diff_normalized,relative_prominences_wasserstein_normalized,spectral_centroid_diff_normalized,dynamic_cutoff_diff_normalized,relative_prominences_total_diff_normalized,prominence_max_diff_normalized,amplitude_max_diff_normalized,frequency_max_diff_normalized,spectral_bandwidth_diff_normalized,num_fft_peaks_diff_normalized,dominant_frequency_diff_normalized,max_autocorrelation_diff_normalized,relative_right_bases_global_alignment_score_normalized,relative_left_bases_global_alignment_score_normalized,upper_envelope_diff_normalized,lower_envelope_diff_normalized,reconstruction_weighted_score,reconstruction_normalized_weighted_score,reconstruction_normalized_weighted_rank,signal_weighted_score,signal_normalized_weighted_score,signal_normalized_weighted_rank,reconstruction_missing_metrics_count,reconstruction_dynamically_weighted_score,reconstruction_normalized_dynamically_weighted_score,reconstruction_normalized_dynamically_weighted_rank,signal_missing_metrics_count,signal_dynamically_weighted_score,signal_normalized_dynamically_weighted_score,signal_normalized_dynamically_weighted_rank,rank_variability,normalized_rank_stability,average_rank,harmonic_average_rank,stability_score_weighted,stability_rank,wavelet_family,family_mean_stability_rank,family_median_stability_rank,family_rank_std_dev,family_wavelet_count,normalized_family_mean_rank,normalized_family_std_dev,final_family_stability_score,final_family_stability_rank,family_informed_rank,top_wavelet_rank
dmey,1,antireflect,0.5555965667176295,63.74367282430613,32031826.91754209,0.5094339622641509,294.7596917104766,470,smoothed,0.5361615275908107,,7.902965997202434,220421.78781860368,0.9798493874581187,1.9026926902937268e-05,0.9999970629488948,679.6785655895428,,,,[],[],17,723.5458209144051,58.660425261551836,1149.6805999213946,"[16, 45, 69, 93, 138, 161, 185, 209, 235, 258, 282, 328, 352, 377, 401, 433, 467]","[532.9790808962763, 1101.0616307337714, 599.5096845601263, 1104.488178698305, 531.7557237327385, 522.76546572184, 815.1967891017885, 659.9339303112117, 1044.6871774603428, 616.4497876337657, 562.2509068219981, 58.660425261551836, 1149.6805999213946, 733.9704307570638, 597.996544387073, 1066.4916051697664, 602.4009943758739]","[1, 1, 48, 48, 120, 120, 120, 187, 187, 237, 263, 263, 48, 359, 381, 381, 450]","[27, 48, 74, 237, 143, 166, 237, 216, 237, 263, 312, 329, 381, 381, 427, 469, 469]",224668273.53321445,1148.1216802944468,-1148.1216802944468,0.0,,,,DWT,mdp.39015050659344,164925.85321453214,,0.0,-13.5,41.0,0.0,22.5,,1.1216802944468327,348.0009933281982,9481.321044455115,348.00099332819826,,0.0,348.0009933281982,,,33.06042526155181,0.0,-18.0,2.6805999213945597,1.1216802944468327,,0.021434410457231934,1.0,1.0,0.0,0.7107801182676983,0.6405255782393873,0.08675143560295404,0.7045150207325943,1.0,0.9457944527506842,0.9457944527506842,0.9457944527428535,,1.0,0.05420554724933424,1.0,,,,,,1.0,0.0,0.0,1.0,1.0,3.078317781097934,1.0,1,1.8921594307877623,0.9361470363390354,5,0,0.7409657421244631,0.9956854445806211,3,0,0.5917960218346621,1.0,1,1.9148542155126762,0.9979928152877225,2.5,1.5789473684210527,0.9976861351071736,1,dmey,17.22222222222222,5.0,37.51592254555983,9,0.02440560541646985,0.13900013038775158,0.9412160370921456,1,1.0,1
dmey,1,antisymmetric,0.5469396765916983,63.81187406302801,31898876.775180116,0.5132075471698113,285.1934871859072,470,smoothed,0.5335299744575572,,7.897260616163317,215027.54145096702,0.9797136218654299,1.902912616331122e-05,0.9999971182352625,679.6785655895428,,,,[],[],17,723.535913758839,58.660425261551836,1149.6805999213946,"[16, 45, 69, 93, 138, 161, 185, 209, 235, 258, 282, 328, 352, 377, 401, 433, 467]","[532.9798882640712, 1101.173260114515, 599.5096845601263, 1104.488178698305, 531.7557237327385, 522.76546572184, 815.1967891017885, 659.9339303112117, 1044.6871774603428, 616.4497876337657, 562.2509068219981, 58.660425261551836, 1149.6805999213946, 733.9704307570638, 597.9965443969047, 1066.2290083908085, 602.3827327518363]","[1, 1, 48, 48, 120, 120, 120, 187, 187, 237, 263, 263, 48, 359, 381, 381, 450]","[27, 48, 74, 237, 143, 166, 237, 216, 237, 263, 312, 329, 381, 381, 427, 469, 469]",224665653.09092844,1148.1216802944468,-1148.1216802944468,0.0,,,,DWT,mdp.39015050659344,162305.41092851758,,0.0,-13.5,41.0,0.0,22.5,,1.1216802944468327,347.9910861726321,9481.48946609974,347.9910861726321,,0.0,347.9910861726321,,,33.06042526155181,0.0,-18.0,2.6805999213945597,1.1216802944468327,,0.021434410457231934,0.9950918650484336,0.9844187479827771,0.0002625249487366865,0.6949593254574682,0.616328178794582,0.14810607411634702,0.6832401745941528,1.0,0.9403165305420549,0.9403165305420549,0.9403165305334045,,1.0,0.059683469457989524,1.0,,,,,,0.9841113916651628,0.0,0.0,1.0,1.0,3.068182308046831,0.9967074636954837,2,1.8775185748836634,0.9289034639206252,6,0,0.7387287043950557,0.9926793867030161,4,0,0.5889152701346426,0.9951321881294696,2,1.9148542155126762,0.9979928152877225,3.5,2.823529411764706,0.9971620260924986,2,dmey,17.22222222222222,5.0,37.51592254555983,9,0.02440560541646985,0.13900013038775158,0.9412160370921456,1,1.75,2
dmey,1,reflect,0.43905052733987654,64.76612332685319,32038744.518757913,0.5132075471698113,294.7596917104766,470,smoothed,0.49414148882412534,,7.899532998562103,47973.6354497894,0.9108884987165712,1.9028027947042197e-05,0.999998464433573,679.6785655895428,,,,[],[],17,723.6366084020589,58.660425261551836,1149.6805999213946,"[16, 45, 69, 93, 138, 161, 185, 209, 235, 258, 282, 328, 352, 377, 401, 433, 467]","[532.969762378833, 1103.0194049706406, 599.5096845601263, 1104.488178698305, 531.7557237327385, 522.76546572184, 815.1967891017885, 659.9339303112117, 1044.6871774603428, 616.4497876337657, 562.2509068219981, 58.660425261551836, 1149.6805999213946, 733.9704307570638, 597.9965444080676, 1067.620907875865, 600.8666232194686]","[0, 0, 48, 0, 120, 120, 120, 187, 187, 237, 263, 263, 0, 359, 381, 381, 450]","[27, 48, 74, 237, 143, 166, 237, 216, 237, 263, 312, 329, 381, 381, 427, 468, 468]",224612899.357396,1148.1216802944468,-1148.1216802944468,0.0,,,,DWT,mdp.39015050659344,109551.67739608884,,0.0,-4.5,41.0,0.0,22.5,,1.1216802944468327,348.09178081585196,9479.777657165001,348.091780815852,,0.0,348.09178081585196,,,33.06042526155181,0.0,-18.0,2.6805999213945597,1.1216802944468327,,0.021434410457231934,0.9216280232647392,0.7902326141677094,0.003935687544644462,0.7012605507166261,0.6417846062994209,0.14810607411634702,0.024381475013130784,1.0,0.9959931996630015,0.9959931996630015,0.9959931996623936,,1.0,0.004006800337013283,1.0,,,,,,0.6642480560860661,0.25,0.0,1.0,1.0,2.955521307908059,0.9601092278568857,7,1.4935069861666486,0.7389134953968782,64,0,0.7421862046176231,0.9973254620213894,2,0,0.4616184330175169,0.7800296318086528,40,29.19332115399,0.9693990344297799,28.25,5.8523840627041155,0.9698934375503198,3,dmey,17.22222222222222,5.0,37.51592254555983,9,0.02440560541646985,0.13900013038775158,0.9412160370921456,1,2.5,3
dmey,1,symmetric,0.44129699344764217,64.74395867189574,31886887.345493343,0.5113207547169811,285.1934871859072,470,smoothed,0.49540227691832023,,7.898659216105285,49579.92297439307,0.9124099090952585,1.9025828985306292e-05,0.999998470251522,679.6785655895428,,,,[],[],17,723.6438549442238,58.660425261551836,1149.6805999213946,"[16, 45, 69, 93, 138, 161, 185, 209, 235, 258, 282, 328, 352, 377, 401, 433, 467]","[532.9689550110386, 1103.0194049706624, 599.5096845601263, 1104.488178698305, 531.7557237327385, 522.76546572184, 815.1967891017885, 659.9339303112117, 1044.6871774603428, 616.4497876337657, 562.2509068219981, 58.660425261551836, 1149.6805999213946, 733.9704307570638, 597.9965443982358, 1067.7266448462362, 600.8848848435061]","[0, 0, 48, 0, 120, 120, 120, 187, 187, 237, 263, 263, 0, 359, 381, 381, 450]","[27, 48, 74, 237, 143, 166, 237, 216, 237, 263, 312, 329, 381, 381, 427, 468, 468]",224615516.78678268,1148.1216802944468,-1148.1216802944468,0.0,,,,DWT,mdp.39015050659344,112169.1067827642,,0.0,-4.5,41.0,0.0,22.5,,1.1216802944468327,348.0990273580169,9479.654465948197,348.099027358017,,0.0,348.0990273580169,,,33.06042526155181,0.0,-18.0,2.6805999213945597,1.1216802944468327,,0.021434410457231934,0.9239795312139577,0.7942759546819199,0.0038503698141234555,0.6988375870064462,0.61414605988826,0.11742875485965051,0.030716654686248592,1.0,1.0,1.0,1.0,,1.0,0.0,1.0,,,,,,0.6801183962156434,0.25,0.0,1.0,1.0,2.9650591981078223,0.9632076377281242,6,1.471819641327526,0.7281836682655805,71,0,0.7441765330179704,1.0,1,0,0.4547478445929438,0.7684199078985914,42,32.873494895837695,0.9655414099624343,30.0,3.3207126948775056,0.9670474345409656,4,dmey,17.22222222222222,5.0,37.51592254555983,9,0.02440560541646985,0.13900013038775158,0.9412160370921456,1,3.25,4
dmey,1,periodic,0.43950872981077543,64.76159330065111,31884203.768061355,0.5113207547169811,285.1934871859072,470,smoothed,0.4948255768203284,,7.896194579635548,49492.14881922537,0.9126235034468273,1.902911158700983e-05,0.9999984915619806,679.6785655895428,,,,[],[],17,723.6295052316299,58.660425261551836,1149.6805999213946,"[16, 45, 69, 93, 138, 161, 185, 209, 235, 258, 282, 328, 352, 377, 401, 433, 467]","[532.985410453223, 1102.8381499131915, 599.5096845601263, 1104.488178698305, 531.7557237327385, 522.76546572184, 815.1967891017885, 659.9339303112117, 1044.6871774603428, 616.4497876337657, 562.2509068219981, 58.660425261551836, 1149.6805999213946, 733.9704307570638, 597.9965443979196, 1067.8997899884846, 600.6325942027618]","[1, 1, 48, 48, 120, 120, 120, 187, 187, 237, 263, 263, 48, 359, 381, 381, 450]","[27, 48, 74, 237, 143, 166, 237, 216, 237, 263, 312, 329, 381, 381, 427, 469, 469]",224615568.4464385,1148.1216802944468,-1148.1216802944468,0.0,,,,DWT,mdp.39015050659344,112220.7664385736,,0.0,-13.5,41.0,0.0,22.5,,1.1216802944468327,348.08467764542297,9479.898411062295,348.08467764542297,,0.0,348.08467764542297,,,33.06042526155181,0.0,-18.0,2.6805999213945597,1.1216802944468327,,0.021434410457231934,0.9229039223380594,0.7910573177356345,0.0039182502529065966,0.6920032489187871,0.6136576392374111,0.11742875485965051,0.030370474419561456,1.0,0.9920656732620083,0.9920656732620083,0.992065673260804,,1.0,0.007934326738043396,1.0,,,,,,0.6804316257961034,0.0,0.0,1.0,1.0,2.93704208220252,0.9541062005479415,8,1.4658066532843264,0.7252087387514011,72,0,0.7220469143599139,0.9702629447769456,8,0,0.45304851539457297,0.7655484299979751,43,30.93406967514405,0.9675743504453417,32.75,13.930258717660292,0.9666226049920629,5,dmey,17.22222222222222,5.0,37.51592254555983,9,0.02440560541646985,0.13900013038775158,0.9412160370921456,1,4.0,5
dmey,1,smooth,0.45347286993150665,64.62575526306067,29058137.014454074,0.5471698113207547,159.52907761497565,470,smoothed,0.5081023708729688,,7.728363662127158,85829.73659299294,0.9549235272811849,1.902748161533762e-05,0.9999981894742528,679.6785655895428,,,,[],[],17,723.5881535600904,58.660425261551836,1149.6805999213946,"[16, 45, 69, 93, 138, 161, 185, 209, 235, 258, 282, 328, 352, 377, 401, 433, 467]","[532.974421637555, 1102.1130204689289, 599.5096845601263, 1104.488178698305, 531.7557237327385, 522.76546572184, 815.1967891017885, 659.9339303112117, 1044.6871774603428, 616.4497876337657, 562.2509068219981, 58.660425261551836, 1149.6805999213946, 733.9704307570638, 597.9965443975702, 1066.9317152376868, 601.6338087976712]","[0, 0, 48, 48, 120, 120, 120, 187, 187, 237, 263, 263, 48, 359, 381, 381, 450]","[27, 48, 74, 237, 143, 166, 237, 216, 237, 263, 312, 329, 381, 381, 427, 469, 469]",224640565.83548704,1148.1216802944468,-1148.1216802944468,0.0,,,,DWT,mdp.39015050659344,137218.15548712015,,0.0,-13.5,41.0,0.0,22.5,,1.1216802944468327,348.0433259738835,9480.601389478465,348.0433259738836,,0.0,348.0433259738835,,,33.06042526155181,0.0,-18.0,2.6805999213945597,1.1216802944468327,,0.021434410457231934,0.9476665980792668,0.8161909145885253,0.0033953730365506862,0.22661484543683807,0.0993034243427972,0.700297820736884,0.17368550607387653,1.0,0.9692012659779566,0.9692012659779566,0.9692012659735252,,1.0,0.030798734022047025,1.0,,,,,,0.831999063898306,0.0,0.0,1.0,1.0,3.003680038339008,0.9757537239276495,4,1.2886042176129477,0.6375377252592898,138,0,0.7308667996541492,0.9821148171525321,5,0,0.42387921175639126,0.7162589745742091,58,63.094505835822716,0.9338632014299553,51.25,8.43014376744431,0.9400710137128812,6,dmey,17.22222222222222,5.0,37.51592254555983,9,0.02440560541646985,0.13900013038775158,0.9412160370921456,1,4.75,6
dmey,1,zero,0.45347286993150665,64.62575526306067,29058137.014454074,0.5471698113207547,159.52907761497565,470,smoothed,0.5081023708729688,,7.728363662127158,85829.73659299294,0.9549235272811849,1.902748161533762e-05,0.9999981894742528,679.6785655895428,,,,[],[],17,723.5881535600904,58.660425261551836,1149.6805999213946,"[16, 45, 69, 93, 138, 161, 185, 209, 235, 258, 282, 328, 352, 377, 401, 433, 467]","[532.974421637555, 1102.1130204689289, 599.5096845601263, 1104.488178698305, 531.7557237327385, 522.76546572184, 815.1967891017885, 659.9339303112117, 1044.6871774603428, 616.4497876337657, 562.2509068219981, 58.660425261551836, 1149.6805999213946, 733.9704307570638, 597.9965443975702, 1066.9317152376868, 601.6338087976712]","[0, 0, 48, 48, 120, 120, 120, 187, 187, 237, 263, 263, 48, 359, 381, 381, 450]","[27, 48, 74, 237, 143, 166, 237, 216, 237, 263, 312, 329, 381, 381, 427, 469, 469]",224640565.83548704,1148.1216802944468,-1148.1216802944468,0.0,,,,DWT,mdp.39015050659344,137218.15548712015,,0.0,-13.5,41.0,0.0,22.5,,1.1216802944468327,348.0433259738835,9480.601389478465,348.0433259738836,,0.0,348.0433259738835,,,33.06042526155181,0.0,-18.0,2.6805999213945597,1.1216802944468327,,0.021434410457231934,0.9476665980792668,0.8161909145885253,0.0033953730365506862,0.22661484543683807,0.0993034243427972,0.700297820736884,0.17368550607387653,1.0,0.9692012659779566,0.9692012659779566,0.9692012659735252,,1.0,0.030798734022047025,1.0,,,,,,0.831999063898306,0.0,0.0,1.0,1.0,3.003680038339008,0.9757537239276495,5,1.2886042176129477,0.6375377252592898,139,0,0.7308667996541492,0.9821148171525321,7,0,0.42387921175639126,0.7162589745742091,59,62.851677251552594,0.9341177387300287,52.5,10.89916652427332,0.939543146094574,7,dmey,17.22222222222222,5.0,37.51592254555983,9,0.02440560541646985,0.13900013038775158,0.9412160370921456,1,5.5,7
db18,1,antisymmetric,2.2833602399606597e-26,317.6055240136659,30834659.16577141,0.5218253968253969,380.12860802797735,470,smoothed,1.1257189034369462e-13,-4.412874954340399e-10,7.846421160290995,158096.13788867017,0.9670878213218417,1.911589732951535e-05,0.9999999999999999,679.6999999999999,,,,[],[],17,721.8352941176471,58.39999999999975,1147.0,"[16, 45, 69, 93, 138, 161, 185, 209, 235, 258, 282, 328, 352, 377, 401, 433, 467]","[531.1999999999998, 1100.2, 597.8000000000002, 1102.0, 530.6000000000004, 521.6000000000001, 813.4000000000001, 658.1999999999998, 1041.8000000000002, 615.4000000000003, 560.5999999999999, 58.39999999999975, 1147.0, 732.0, 596.8000000000001, 1065.4, 598.8000000000001]","[2, 2, 50, 50, 120, 120, 120, 186, 186, 238, 263, 263, 50, 359, 380, 380, 450]","[27, 50, 74, 186, 143, 166, 186, 216, 238, 263, 312, 329, 378, 378, 427, 468, 468]",224503347.67999995,1147.0,-1147.0,0.0,,,,DWT,mdp.39015050659344,2.9802322387695312e-08,,0.0,13.5,41.0,0.0,22.5,,0.0,346.2904665314402,9510.400000000001,346.29046653144013,,0.0,346.2904665314402,,,32.79999999999973,0.0,0.0,0.0,0.0,,1.1368683772161603e-13,1.2580616689531e-13,3.060094258146815e-26,0.9771826834623785,0.5539835532125945,0.4226367834070743,0.2882235124673701,0.4587033683963208,2.5542133733332925e-09,4.900470208926103e-09,4.900470208926103e-09,4.756488488510099e-09,,5.30394050018102e-12,0.999999995099552,0.0,,,,,,1.8070133824882549e-13,0.75,0.4,0.0,0.0,0.615000002686011,0.19978444280910493,113,1.3733905307327756,0.6794858055625416,111,0,0.1791666676847232,0.24075828749681452,113,0,0.38581855727798064,0.6519451686780211,99,6.733003292241386,0.9929423445573989,109.0,108.66867944342347,0.9393432896791187,8,db,400.8654970760234,370.0,269.89847017341833,342,0.5680663633576147,1.0,0.30235354564966965,3,6.75,8
db18,1,antireflect,2.2902196372956752e-26,317.5924970163232,30986798.08899312,0.5178571428571429,375.0178991015517,470,smoothed,1.118197732989273e-13,-4.4133070531415834e-10,7.85139295728457,164550.0528568186,0.9678972978236884,1.911589732951535e-05,0.9999999999999999,679.6999999999999,,,,[],[],17,721.8352941176471,58.39999999999975,1147.0,"[16, 45, 69, 93, 138, 161, 185, 209, 235, 258, 282, 328, 352, 377, 401, 433, 467]","[531.1999999999997, 1100.2, 597.8000000000002, 1102.0, 530.6000000000004, 521.6000000000001, 813.4000000000001, 658.1999999999998, 1041.8000000000002, 615.4000000000003, 560.5999999999999, 58.39999999999975, 1147.0, 732.0, 596.8000000000001, 1065.4, 598.8]","[2, 2, 50, 50, 120, 120, 120, 186, 186, 238, 263, 263, 50, 359, 380, 380, 450]","[27, 50, 74, 186, 143, 166, 186, 216, 238, 263, 312, 329, 378, 378, 427, 468, 468]",224503347.67999995,1147.0,-1147.0,0.0,,,,DWT,mdp.39015050659344,2.9802322387695312e-08,,0.0,13.5,41.0,0.0,22.5,,0.0,346.2904665314402,9510.400000000001,346.29046653144013,,0.0,346.2904665314402,,,32.79999999999973,0.0,0.0,0.0,0.0,,1.1368683772161603e-13,1.244033861919892e-13,3.0724402619667083e-26,0.977132539038704,0.5677701468845306,0.4503266093139572,0.22370375371320708,0.48415753540688317,2.5542133733332925e-09,4.900470208926103e-09,4.900470208926103e-09,4.756488488510099e-09,,5.30394050018102e-12,0.999999995099552,0.0,,,,,,1.8070133824882549e-13,0.75,0.4,0.0,0.0,0.615000002686011,0.19978444280910493,114,1.3784724171705398,0.6820000719876197,107,0,0.1791666676847232,0.24075828749681452,114,0,0.38615579776534387,0.6525150280128604,98,7.58836829188814,0.9920457355430942,108.25,107.83491948942313,0.9392880669329726,9,db,400.8654970760234,370.0,269.89847017341833,342,0.5680663633576147,1.0,0.30235354564966965,3,7.5,9
dmey,1,constant,0.45347286993150665,64.62575526306067,29058137.014454074,0.5471698113207547,159.52907761497565,470,smoothed,0.5081023708729688,,7.728363662127158,85829.73659299294,0.9549235272811849,1.902748161533762e-05,0.9999981894742528,679.6785655895428,,,,[],[],17,723.5881535600904,58.660425261551836,1149.6805999213946,"[16, 45, 69, 93, 138, 161, 185, 209, 235, 258, 282, 328, 352, 377, 401, 433, 467]","[532.974421637555, 1102.1130204689289, 599.5096845601263, 1104.488178698305, 531.7557237327385, 522.76546572184, 815.1967891017885, 659.9339303112117, 1044.6871774603428, 616.4497876337657, 562.2509068219981, 58.660425261551836, 1149.6805999213946, 733.9704307570638, 597.9965443975702, 1066.9317152376868, 601.6338087976712]","[0, 0, 48, 48, 120, 120, 120, 187, 187, 237, 263, 263, 48, 359, 381, 381, 450]","[27, 48, 74, 237, 143, 166, 237, 216, 237, 263, 312, 329, 381, 381, 427, 469, 469]",224640565.83548704,1148.1216802944468,-1148.1216802944468,0.0,,,,DWT,mdp.39015050659344,137218.15548712015,,0.0,-13.5,41.0,0.0,22.5,,1.1216802944468327,348.0433259738835,9480.601389478465,348.0433259738836,,0.0,348.0433259738835,,,33.06042526155181,0.0,-18.0,2.6805999213945597,1.1216802944468327,,0.021434410457231934,0.9476665980792668,0.8161909145885253,0.0033953730365506862,0.22661484543683807,0.0993034243427972,0.700297820736884,0.17368550607387653,1.0,0.9692012659779566,0.9692012659779566,0.9692012659735252,,1.0,0.030798734022047025,1.0,,,,,,0.831999063898306,0.0,0.0,1.0,1.0,3.003680038339008,0.9757537239276495,3,1.2886042176129477,0.6375377252592898,140,0,0.7308667996541492,0.9821148171525321,6,0,0.42387921175639126,0.7162589745742091,60,64.0956316764255,0.9328138032741871,52.25,7.636363636363636,0.939022205620322,10,dmey,17.22222222222222,5.0,37.51592254555983,9,0.02440560541646985,0.13900013038775158,0.9412160370921456,1,7.75,10
