wavelet,wavelet_level,wavelet_mode,wavelet_mse,wavelet_psnr,wavelet_energy_entropy,wavelet_sparsity,wavelet_adaptive_threshold,signal_length,signal_type,emd_value,kl_divergence,wavelet_entropy,avg_variance_across_levels,variance_ratio_across_levels,smoothness,correlation,relative_num_peaks,avg_prominence,prominence_min,prominence_max,relative_peaks,relative_prominences,relative_left_bases,relative_right_bases,prominence_threshold,distance_factor,max_autocorrelation,upper_envelope,lower_envelope,wavelet_type,htid,avg_prominence_diff,prominence_max_diff,upper_envelope_diff,relative_left_bases_array_alignment_score,relative_left_bases_global_alignment_score,relative_right_bases_array_alignment_score,relative_right_bases_global_alignment_score,relative_prominences_avg_diff,relative_prominences_total_diff,relative_prominences_wasserstein,lower_envelope_diff,relative_peaks_array_alignment_score,relative_peaks_global_alignment_score,max_autocorrelation_diff,prominence_threshold_diff,relative_num_peaks_diff,prominence_min_diff,distance_factor_diff,emd_value_normalized,wavelet_mse_normalized,wavelet_psnr_normalized,wavelet_entropy_normalized,wavelet_energy_entropy_normalized,wavelet_sparsity_normalized,avg_variance_across_levels_normalized,kl_divergence_normalized,prominence_min_diff_normalized,avg_prominence_diff_normalized,relative_prominences_avg_diff_normalized,relative_prominences_wasserstein_normalized,relative_prominences_total_diff_normalized,prominence_max_diff_normalized,max_autocorrelation_diff_normalized,relative_left_bases_global_alignment_score_normalized,relative_left_bases_array_alignment_score_normalized,upper_envelope_diff_normalized,lower_envelope_diff_normalized,reconstruction_signal_weighted_score,reconstruction_signal_normalized_weighted_score,reconstruction_signal_normalized_weighted_rank,wavelet_signal_weighted_score,wavelet_signal_normalized_weighted_score,wavelet_signal_normalized_weighted_rank,reconstruction_signal_num_missing_metrics,reconstruction_signal_missing_metrics_count,reconstruction_signal_dynamically_weighted_score,reconstruction_signal_normalized_dynamically_weighted_score,reconstruction_signal_normalized_dynamically_weighted_rank,wavelet_signal_num_missing_metrics,wavelet_signal_missing_metrics_count,wavelet_signal_dynamically_weighted_score,wavelet_signal_normalized_dynamically_weighted_score,wavelet_signal_normalized_dynamically_weighted_rank,rank_variability,normalized_rank_stability,average_rank,harmonic_average_rank,stability_score_weighted,stability_rank,wavelet_family,normalized_family_mean_rank,normalized_family_std_dev,final_family_stability_score,final_family_stability_rank,family_informed_rank,across_emd_value_normalized,across_smoothness_normalized,across_wavelet_mse_normalized,across_wavelet_psnr_normalized,across_wavelet_entropy_normalized,across_wavelet_energy_entropy_normalized,across_wavelet_sparsity_normalized,across_avg_variance_across_levels_normalized,across_kl_divergence_normalized,across_prominence_min_diff_normalized,across_avg_prominence_diff_normalized,across_relative_prominences_avg_diff_normalized,across_relative_prominences_wasserstein_normalized,across_relative_prominences_total_diff_normalized,across_prominence_max_diff_normalized,across_max_autocorrelation_diff_normalized,across_relative_right_bases_global_alignment_score_normalized,across_relative_right_bases_array_alignment_score_normalized,across_relative_left_bases_global_alignment_score_normalized,across_relative_left_bases_array_alignment_score_normalized,across_upper_envelope_diff_normalized,across_lower_envelope_diff_normalized,across_relative_peaks_array_alignment_score_normalized,across_relative_peaks_global_alignment_score_normalized,across_reconstruction_signal_weighted_score,across_reconstruction_signal_normalized_weighted_score,across_reconstruction_signal_normalized_weighted_rank,across_wavelet_signal_weighted_score,across_wavelet_signal_normalized_weighted_score,across_wavelet_signal_normalized_weighted_rank,across_rank_variability,across_normalized_rank_stability,across_average_rank,across_harmonic_average_rank,across_stability_score_weighted,across_stability_rank,family_mean_stability_rank,family_median_stability_rank,family_rank_std_dev,family_wavelet_count,across_normalized_family_mean_rank,across_normalized_family_std_dev,across_final_family_stability_score,across_final_family_stability_rank,across_family_informed_rank,across_top_wavelet_rank
db29,1,constant,4.246407140490853e-27,324.8211954025234,8646785.184782362,0.688508064516129,186.01922975297518,1927,raw,4.7158264147181264e-14,,9.703821832259255,42271.945345962304,0.608478673207821,4.844406472127047e-06,1.0,22,767.125513833714,473.10105368218643,1074.025830374765,"[36, 155, 233, 299, 396, 490, 555, 631, 731, 806, 871, 936, 1004, 1093, 1178, 1270, 1366, 1469, 1578, 1692, 1767, 1871]","[582.0529052066111, 684.6885699484499, 817.4418263824564, 799.8425288372474, 780.2620371188941, 625.7226693282057, 522.9811941731448, 720.1609834367073, 846.8648469380577, 473.10105368218643, 624.0634420284757, 570.1797892635625, 1074.025830374765, 751.2808429457491, 866.9811941731446, 790.6404214728747, 765.9811941731447, 1005.482950310122, 876.1421776098518, 903.5205619638326, 938.4418263824564, 856.9024585917684]","[33, 33, 207, 263, 367, 452, 538, 617, 662, 791, 822, 921, 921, 1081, 1161, 1264, 1349, 1427, 1547, 1684, 1741, 1836]","[137, 207, 662, 662, 662, 617, 578, 662, 921, 822, 921, 939, 1925, 1117, 1427, 1427, 1427, 1925, 1684, 1741, 1925, 1925]",0.05,30,82238169.04409139,732.7245095405125,-732.7245095405125,DWT,uiug.30112070958894,2.2737367544323206e-13,2.2737367544323206e-13,348.2754904594875,0.8181818181818182,70.0,0.5,38.5,1.874486166286033,41.23869565829227,2.2722018099246615,348.2754904594875,1.0,88.0,232592246.9559086,0.0,0.0,5.684341886080802e-14,0.0,8.732869860421212e-14,9.820060392902885e-27,0.9605185753003094,0.9834248067115613,0.00036936169390779615,1.0,0.0012433716291411203,,3.61954056177379e-14,1.2094565298074346e-13,0.9999999949796707,0.9999999908299249,0.9999999949796818,7.037879818661332e-14,0.9999999947877192,1.0,0.9999999999999999,0.9999999962862143,0.9999999962862143,2.1999999891411472,0.9999999930646475,166,1.4687055780346026,0.896687813658813,12,0,0,0.727272724377241,0.9999999944833307,165,0,0,0.4207937307621439,0.8526324865092803,14,88.05064830350011,0.907703722952306,89.25,23.974116506978852,0.9070751319164045,10,db,0.3034347732248019,1.0,0.4875956587426386,2,8.0,9.185948050016545e-14,0.0003918054455798736,1.016623998140051e-26,0.960694046697671,0.9860585289751076,0.001882663393842316,1.0,0.004323581211308072,,3.61954056177379e-14,1.2094565298074346e-13,0.7579227166176654,0.5411419565446554,0.7248995231859103,7.037879818661332e-14,0.9999999994620019,1.0,1.0,0.7037037037037037,0.9393939393939397,0.9999999977185934,0.9999999977185934,1.0,1.0,2.416478926669937,0.9999999958492413,158,1.472233998321302,0.7882907587747915,150,5.656854249492381,0.9970351916931381,154.0,153.89610389610388,0.95816120171659,1,777.5248538011696,686.5,544.1934628453732,684,0.5661805724116492,0.8391984188887989,0.3519140736452058,2,1.25,1
db29,1,antisymmetric,4.249893357132712e-27,324.8176313931391,8657201.74839254,0.6859879032258065,187.51535791333856,1927,raw,4.709834552000895e-14,,9.718960678702079,42404.08280625374,0.5995392501908716,4.844406472127047e-06,1.0,22,767.125513833714,473.10105368218643,1074.025830374765,"[36, 155, 233, 299, 396, 490, 555, 631, 731, 806, 871, 936, 1004, 1093, 1178, 1270, 1366, 1469, 1578, 1692, 1767, 1871]","[582.0529052066111, 684.68856994845, 817.4418263824564, 799.8425288372474, 780.2620371188941, 625.7226693282057, 522.9811941731448, 720.1609834367073, 846.8648469380577, 473.10105368218643, 624.0634420284757, 570.1797892635625, 1074.025830374765, 751.2808429457491, 866.9811941731446, 790.6404214728747, 765.9811941731447, 1005.482950310122, 876.1421776098518, 903.5205619638326, 938.4418263824564, 856.9024585917684]","[33, 33, 207, 263, 367, 452, 538, 617, 662, 791, 822, 921, 921, 1081, 1161, 1264, 1349, 1427, 1547, 1684, 1741, 1836]","[137, 207, 662, 662, 662, 617, 578, 662, 921, 822, 921, 939, 1925, 1117, 1427, 1427, 1427, 1925, 1684, 1741, 1925, 1925]",0.05,30,82238169.04409139,732.7245095405125,-732.7245095405125,DWT,uiug.30112070958894,2.2737367544323206e-13,2.2737367544323206e-13,348.2754904594875,0.8181818181818182,70.0,0.5,38.5,1.874486166286033,41.23869565829227,2.272201809924656,348.2754904594875,1.0,88.0,232592246.9559086,0.0,0.0,5.684341886080802e-14,0.0,8.719116976258603e-14,9.828877355086818e-27,0.9605053930622485,0.9864298551271687,0.00038671524949833946,0.9486155936809935,0.001338840072957525,,3.61954056177379e-14,1.2094565298074346e-13,0.9999999949796707,0.9999999908299176,0.9999999949796818,7.037879818661332e-14,0.9999999947877192,1.0,0.9999999999999999,0.9999999962862143,0.9999999962862143,2.199999989141145,0.9999999930646465,169,1.4496932945272893,0.8850802571915409,15,0,0,0.7272727243772404,0.9999999944833299,170,0,0,0.4138966281704221,0.8386572456666037,17,88.62796774532669,0.907098566304689,92.75,29.135468604749427,0.9049381720412334,14,db,0.3034347732248019,1.0,0.4875956587426386,2,11.0,9.172195165853935e-14,0.0003918054455798736,1.0175056943584443e-26,0.9606809230468002,0.9885860889670514,0.0018868959193399407,0.9720176303427486,0.004347956874351646,,3.61954056177379e-14,1.2094565298074346e-13,0.7579227166176654,0.5411419565446515,0.7248995231859103,7.037879818661332e-14,0.9999999994620019,1.0,1.0,0.7037037037037037,0.9393939393939397,0.9999999977185934,0.9999999977185934,1.0,1.0,2.4164789266699356,0.9999999958492407,163,1.4623088227918173,0.7829764377103197,180,12.020815280171307,0.9936997823479186,171.5,171.07871720116617,0.9519075431655735,2,777.5248538011696,686.5,544.1934628453732,684,0.5661805724116492,0.8391984188887989,0.3519140736452058,2,2.0,2
db29,1,symmetric,4.2920276175421394e-27,324.77478663899177,8660404.681685088,0.6844758064516129,187.2788220329334,1927,raw,4.716010779724809e-14,,9.715366252821195,42407.79201560811,0.6005824791247593,4.844406472127047e-06,1.0,22,767.125513833714,473.10105368218643,1074.025830374765,"[36, 155, 233, 299, 396, 490, 555, 631, 731, 806, 871, 936, 1004, 1093, 1178, 1270, 1366, 1469, 1578, 1692, 1767, 1871]","[582.0529052066111, 684.6885699484501, 817.4418263824564, 799.8425288372474, 780.2620371188941, 625.7226693282057, 522.9811941731448, 720.1609834367073, 846.8648469380577, 473.10105368218643, 624.0634420284757, 570.1797892635625, 1074.025830374765, 751.2808429457491, 866.9811941731446, 790.6404214728747, 765.9811941731447, 1005.482950310122, 876.1421776098518, 903.5205619638326, 938.4418263824564, 856.9024585917684]","[33, 33, 207, 263, 367, 452, 538, 617, 662, 791, 822, 921, 921, 1081, 1161, 1264, 1349, 1427, 1547, 1684, 1741, 1836]","[137, 207, 662, 662, 662, 617, 578, 662, 921, 822, 921, 939, 1925, 1117, 1427, 1427, 1427, 1925, 1684, 1741, 1925, 1925]",0.05,30,82238169.04409139,732.7245095405125,-732.7245095405125,DWT,uiug.30112070958894,2.2737367544323206e-13,2.2737367544323206e-13,348.2754904594875,0.8181818181818182,70.0,0.5,38.5,1.874486166286033,41.23869565829227,2.272201809924651,348.2754904594875,1.0,88.0,232592246.9559086,0.0,0.0,5.684341886080802e-14,0.0,8.733293026087751e-14,9.935438770753677e-27,0.9603469227306848,0.9857163645822211,0.0003920512012598922,0.9177849498895871,0.001341519952259502,,3.61954056177379e-14,1.2094565298074346e-13,0.9999999949796707,0.9999999908299104,0.9999999949796818,7.037879818661332e-14,0.9999999947877192,1.0,0.9999999999999999,0.9999999962862143,0.9999999962862143,2.199999989141143,0.9999999930646455,173,1.4369129494669162,0.8772774818488295,17,0,0,0.7272727243772398,0.999999994483329,173,0,0,0.40936882976515726,0.8294828028684625,18,89.7788950700553,0.9058921435324367,95.25,31.761211939403037,0.9030246881184196,18,db,0.3034347732248019,1.0,0.4875956587426386,2,14.0,9.186371215683082e-14,0.0003918054455798736,1.0281618359251303e-26,0.9605231570213939,0.9879859688003767,0.0018881973559110822,0.9552282085483965,0.004348641119660893,,3.61954056177379e-14,1.2094565298074346e-13,0.7579227166176654,0.5411419565446475,0.7248995231859103,7.037879818661332e-14,0.9999999994620019,1.0,1.0,0.7037037037037037,0.9393939393939397,0.9999999977185934,0.9999999977185934,1.0,1.0,2.4164789266699347,0.9999999958492404,164,1.4551992587919047,0.7791697034503858,192,19.79898987322333,0.9896231709259836,178.0,176.89887640449436,0.9481658831569122,3,777.5248538011696,686.5,544.1934628453732,684,0.5661805724116492,0.8391984188887989,0.3519140736452058,2,2.75,3
db29,1,reflect,4.253998545071246e-27,324.8134383468778,8649737.38786676,0.6834677419354839,186.3244909007656,1927,raw,4.710111099510921e-14,,9.715236051663515,42351.667282155024,0.5999025114147347,4.844406472127047e-06,1.0,22,767.125513833714,473.10105368218643,1074.025830374765,"[36, 155, 233, 299, 396, 490, 555, 631, 731, 806, 871, 936, 1004, 1093, 1178, 1270, 1366, 1469, 1578, 1692, 1767, 1871]","[582.0529052066111, 684.6885699484499, 817.4418263824564, 799.8425288372474, 780.2620371188941, 625.7226693282057, 522.9811941731448, 720.1609834367073, 846.8648469380577, 473.10105368218643, 624.0634420284757, 570.1797892635625, 1074.025830374765, 751.2808429457491, 866.9811941731446, 790.6404214728747, 765.9811941731447, 1005.482950310122, 876.1421776098518, 903.5205619638326, 938.4418263824564, 856.9024585917684]","[33, 33, 207, 263, 367, 452, 538, 617, 662, 791, 822, 921, 921, 1081, 1161, 1264, 1349, 1427, 1547, 1684, 1741, 1836]","[137, 207, 662, 662, 662, 617, 578, 662, 921, 822, 921, 939, 1925, 1117, 1427, 1427, 1427, 1925, 1684, 1741, 1925, 1925]",0.05,30,82238169.04409139,732.7245095405125,-732.7245095405125,DWT,uiug.30112070958894,2.2737367544323206e-13,2.2737367544323206e-13,348.2754904594875,0.8181818181818182,70.0,0.5,38.5,1.874486166286033,41.23869565829227,2.2722018099246615,348.2754904594875,1.0,88.0,232592246.9559086,0.0,0.0,5.684341886080802e-14,0.0,8.719751724758416e-14,9.839259752548121e-27,0.9604898841990395,0.985690519760816,0.000374279939718691,0.8972311873619846,0.0013009702023962998,,3.61954056177379e-14,1.2094565298074346e-13,0.9999999949796707,0.9999999908299249,0.9999999949796818,7.037879818661332e-14,0.9999999947877192,1.0,0.9999999999999999,0.9999999962862143,0.9999999962862143,2.1999999891411472,0.9999999930646475,167,1.4287391933954698,0.87228716413594,19,0,0,0.727272724377241,0.9999999944833307,164,0,0,0.4064409773520061,0.8235502475553503,19,84.59068112583876,0.9113305229288902,92.25,34.08643248996971,0.9073162048606715,9,db,0.3034347732248019,1.0,0.4875956587426386,2,7.25,9.172829914353747e-14,0.0003918054455798736,1.0185439341045747e-26,0.9606654831112431,0.987964230602668,0.0018838629520936258,0.944035260685496,0.004338287677207515,,3.61954056177379e-14,1.2094565298074346e-13,0.7579227166176654,0.5411419565446554,0.7248995231859103,7.037879818661332e-14,0.9999999994620019,1.0,1.0,0.7037037037037037,0.9393939393939397,0.9999999977185934,0.9999999977185934,1.0,1.0,2.416478926669937,0.9999999958492413,159,1.4507902976229097,0.7768089759102811,201,29.698484809834994,0.9844347563889754,180.0,177.54999999999998,0.945047566873733,4,777.5248538011696,686.5,544.1934628453732,684,0.5661805724116492,0.8391984188887989,0.3519140736452058,2,3.5,4
db15,1,constant,2.5899270661056874e-27,326.9685363745831,8573405.6240582,0.6804703476482618,183.87212767066535,1927,raw,3.534945501281326e-14,,9.697331608220912,42498.97086057739,0.6061446559518812,4.844406472127048e-06,1.0,22,767.125513833714,473.1010536821865,1074.0258303747653,"[36, 155, 233, 299, 396, 490, 555, 631, 731, 806, 871, 936, 1004, 1093, 1178, 1270, 1366, 1469, 1578, 1692, 1767, 1871]","[582.0529052066108, 684.6885699484499, 817.4418263824564, 799.8425288372472, 780.2620371188937, 625.7226693282057, 522.9811941731446, 720.1609834367073, 846.8648469380578, 473.1010536821865, 624.0634420284757, 570.1797892635627, 1074.0258303747653, 751.2808429457491, 866.9811941731448, 790.6404214728746, 765.9811941731446, 1005.4829503101221, 876.1421776098521, 903.5205619638326, 938.4418263824566, 856.9024585917683]","[33, 33, 207, 263, 367, 452, 538, 617, 662, 791, 822, 921, 921, 1081, 1161, 1264, 1349, 1427, 1547, 1684, 1741, 1836]","[137, 207, 662, 662, 662, 617, 578, 662, 921, 822, 921, 939, 1925, 1117, 1427, 1427, 1427, 1925, 1684, 1741, 1925, 1925]",0.05,30,82238169.04409139,732.7245095405127,-732.7245095405127,DWT,uiug.30112070958894,2.2737367544323206e-13,0.0,348.2754904594873,0.8181818181818182,70.0,0.5,38.5,1.874486166286033,41.23869565829227,2.272201809924685,348.2754904594873,1.0,88.0,232592246.9559086,0.0,0.0,0.0,0.0,6.022440870513249e-14,5.6306700954305965e-27,0.9684609673759507,0.9821365026431489,0.000247114440985324,0.8361163188238758,0.0014073960665649831,,0.0,1.2094565298074346e-13,0.9999999949796707,0.9999999908299568,0.9999999949796818,0.0,0.9999999947877192,1.0,0.9999999999999999,0.9999999962861159,0.9999999962861159,2.1999999891410713,0.999999993064613,221,1.407277874923832,0.8591844000242106,24,0,0,0.7272727243772166,0.999999994483297,239,0,0,0.39833832847865525,0.8071322708814015,24,119.16095557410294,0.8750933379726384,127.0,43.45826976807967,0.8709848241225876,47,db,0.3034347732248019,1.0,0.4875956587426386,2,35.75,6.475519060108593e-14,0.0003918054455798736,5.976849683928222e-27,0.9686011395751069,0.9849749305199662,0.0018528473361295724,0.9107539801279132,0.0043654610645635075,,0.0,1.2094565298074346e-13,0.7579227166176654,0.5411419565446727,0.7248995231859103,0.0,0.9999999994620019,1.0,1.0,0.7037037037037037,0.9393939393939397,0.999999997718533,0.999999997718533,1.0,1.0,2.416478926669872,0.9999999958492144,222,1.440739890783796,0.7714276011816483,227,3.5355339059327378,0.9981469948082113,224.5,224.47216035634742,0.940242260506831,5,777.5248538011696,686.5,544.1934628453732,684,0.5661805724116492,0.8391984188887989,0.3519140736452058,2,4.25,5
db29,1,periodization,5.5430238578268385e-27,323.6639442386852,8517772.027967919,0.6836099585062241,186.3244909007656,1927,raw,5.4156975853647806e-14,,9.670836888830125,42724.86115210979,0.6014194373735303,4.844406472127047e-06,1.0,22,767.1255138337142,473.10105368218643,1074.025830374765,"[36, 155, 233, 299, 396, 490, 555, 631, 731, 806, 871, 936, 1004, 1093, 1178, 1270, 1366, 1469, 1578, 1692, 1767, 1871]","[582.0529052066111, 684.6885699484499, 817.4418263824564, 799.8425288372475, 780.2620371188941, 625.7226693282057, 522.9811941731448, 720.1609834367074, 846.8648469380577, 473.10105368218643, 624.0634420284757, 570.1797892635625, 1074.025830374765, 751.2808429457492, 866.9811941731446, 790.6404214728748, 765.9811941731448, 1005.4829503101221, 876.1421776098521, 903.5205619638325, 938.4418263824564, 856.9024585917684]","[33, 33, 207, 263, 367, 452, 538, 617, 662, 791, 822, 921, 921, 1081, 1161, 1264, 1349, 1427, 1547, 1684, 1741, 1836]","[137, 207, 662, 662, 662, 617, 578, 662, 921, 822, 921, 939, 1925, 1117, 1427, 1427, 1427, 1925, 1684, 1741, 1925, 1925]",0.05,30,82238169.04409139,732.7245095405125,-732.7245095405125,DWT,uiug.30112070958894,0.0,2.2737367544323206e-13,348.2754904594875,0.8181818181818182,70.0,0.5,38.5,1.8744861662858057,41.238695658288634,2.272201809924646,348.2754904594875,1.0,88.0,232592246.9559086,0.0,0.0,5.684341886080802e-14,0.0,1.0339256320340093e-13,1.3099323197898567e-26,0.9562382385523083,0.9768773229012875,0.00015443121659534868,0.900130888299489,0.0015706003127966609,,3.61954056177379e-14,0.0,0.9999999949795491,0.9999999908299038,0.9999999949795934,7.037879818661332e-14,0.9999999947877192,1.0,0.9999999999999999,0.9999999962862143,0.9999999962862143,2.199999989141024,0.9999999930645914,259,1.422939415635272,0.8687462297803571,20,0,0,0.727272724377209,0.9999999944832867,250,0,0,0.40499592589751154,0.8206222148288457,20,135.4384854217343,0.8580309377130668,137.25,37.08476517754868,0.8570815065923825,55,db,0.3034347732248019,1.0,0.4875956587426386,2,41.75,1.0792334509935416e-13,0.0003918054455798736,1.344550278639619e-26,0.9564327334949462,0.9805514103407474,0.0018302419335430031,0.9456143487657394,0.004407131500933816,,3.61954056177379e-14,0.0,0.7579227166175733,0.5411419565446439,0.7248995231858462,7.037879818661332e-14,0.9999999994620019,1.0,1.0,0.7037037037037037,0.9393939393939397,0.9999999977185934,0.9999999977185934,1.0,1.0,2.4164789266698374,0.9999999958492001,243,1.4451765999744883,0.7738031860807756,217,18.384776310850235,0.9903643730026991,230.0,229.26521739130436,0.9349096498137185,6,777.5248538011696,686.5,544.1934628453732,684,0.5661805724116492,0.8391984188887989,0.3519140736452058,2,5.0,6
db29,1,periodic,4.253913395580698e-27,324.81352527761743,8682771.348772798,0.6809475806451613,184.78523618758146,1927,raw,4.705133244330454e-14,,9.713465862905426,42507.80320758572,0.6075105711951038,4.844406472127047e-06,1.0,22,767.125513833714,473.10105368218643,1074.025830374765,"[36, 155, 233, 299, 396, 490, 555, 631, 731, 806, 871, 936, 1004, 1093, 1178, 1270, 1366, 1469, 1578, 1692, 1767, 1871]","[582.0529052066111, 684.68856994845, 817.4418263824564, 799.8425288372474, 780.2620371188941, 625.7226693282057, 522.9811941731448, 720.1609834367073, 846.8648469380577, 473.10105368218643, 624.0634420284757, 570.1797892635625, 1074.025830374765, 751.2808429457491, 866.9811941731446, 790.6404214728747, 765.9811941731447, 1005.482950310122, 876.1421776098518, 903.5205619638326, 938.4418263824564, 856.9024585917684]","[33, 33, 207, 263, 367, 452, 538, 617, 662, 791, 822, 921, 921, 1081, 1161, 1264, 1349, 1427, 1547, 1684, 1741, 1836]","[137, 207, 662, 662, 662, 617, 578, 662, 921, 822, 921, 939, 1925, 1117, 1427, 1427, 1427, 1925, 1684, 1741, 1925, 1925]",0.05,30,82238169.04409139,732.7245095405125,-732.7245095405125,DWT,uiug.30112070958894,2.2737367544323206e-13,2.2737367544323206e-13,348.2754904594875,0.8181818181818182,70.0,0.5,38.5,1.874486166286033,41.23869565829227,2.272201809924656,348.2754904594875,1.0,88.0,232592246.9559086,0.0,0.0,5.684341886080802e-14,0.0,8.708326251761791e-14,9.839044401663403e-27,0.9604902057306578,0.9853391387660413,0.0004293131251733132,0.8458467810429757,0.001413777379042699,,3.61954056177379e-14,1.2094565298074346e-13,0.9999999949796707,0.9999999908299176,0.9999999949796818,7.037879818661332e-14,0.9999999947877192,1.0,0.9999999999999999,0.9999999962862143,0.9999999962862143,2.199999989141145,0.9999999930646465,168,1.4080825727528357,0.8596756916402681,23,0,0,0.7272727243772404,0.9999999944833299,168,0,0,0.39907417372056836,0.8086232758855921,23,83.71578903249574,0.9122476005948682,95.5,40.460732984293195,0.9060713893959667,11,db,0.3034347732248019,1.0,0.4875956587426386,2,8.75,9.161404441357123e-14,0.0003918054455798736,1.0185223990161028e-26,0.960665803213845,0.9876686824378833,0.0018972855247437592,0.9160528910282433,0.004367090385378998,,3.61954056177379e-14,1.2094565298074346e-13,0.7579227166176654,0.5411419565446515,0.7248995231859103,7.037879818661332e-14,0.9999999994620019,1.0,1.0,0.7037037037037037,0.9393939393939397,0.9999999977185934,0.9999999977185934,1.0,1.0,2.4164789266699356,0.9999999958492407,160,1.4394680001087707,0.7707465819507126,234,52.32590180780452,0.9725755231615281,197.0,190.05076142131978,0.9346630236352713,7,777.5248538011696,686.5,544.1934628453732,684,0.5661805724116492,0.8391984188887989,0.3519140736452058,2,5.75,7
db14,1,periodic,2.2124592721633245e-27,327.6526588694292,8541531.269059097,0.6796315250767656,186.9406203063434,1927,raw,3.290131818030831e-14,,9.710813256182746,42448.082368139265,0.6028479943886346,4.844406472127047e-06,0.9999999999999999,22,767.1255138337142,473.10105368218643,1074.025830374765,"[36, 155, 233, 299, 396, 490, 555, 631, 731, 806, 871, 936, 1004, 1093, 1178, 1270, 1366, 1469, 1578, 1692, 1767, 1871]","[582.0529052066111, 684.68856994845, 817.4418263824566, 799.8425288372478, 780.2620371188939, 625.7226693282057, 522.9811941731447, 720.1609834367075, 846.864846938058, 473.10105368218643, 624.063442028476, 570.1797892635627, 1074.025830374765, 751.2808429457491, 866.9811941731448, 790.6404214728746, 765.9811941731447, 1005.4829503101222, 876.1421776098521, 903.520561963833, 938.4418263824568, 856.9024585917684]","[33, 33, 207, 263, 367, 452, 538, 617, 662, 791, 822, 921, 921, 1081, 1161, 1264, 1349, 1427, 1547, 1684, 1741, 1836]","[137, 207, 662, 662, 662, 617, 578, 662, 921, 822, 921, 939, 1925, 1117, 1427, 1427, 1427, 1925, 1684, 1741, 1925, 1925]",0.05,30,82238169.04409139,732.7245095405124,-732.7245095405124,DWT,uiug.30112070958894,0.0,2.2737367544323206e-13,348.2754904594876,0.8181818181818182,70.0,0.5,38.5,1.8744861662858057,41.238695658288634,2.272201809924579,348.2754904594876,1.0,88.0,232592246.9559086,0.0,0.0,5.684341886080802e-14,0.0,5.4605297610542004e-14,4.676019364640878e-27,0.9709913382637292,0.98481259853992,0.00019401311005799184,0.8190132865660493,0.001370629466310099,,3.61954056177379e-14,0.0,0.9999999949795491,0.9999999908298126,0.9999999949795934,7.037879818661332e-14,0.9999999947877192,1.0,0.9999999999999999,0.9999999962862633,0.9999999962862633,2.1999999891410162,0.999999993064588,284,1.4032516751961868,0.8567262870537629,27,0,0,0.7272727243772096,0.9999999944832875,244,0,0,0.396625980849446,0.8036626297956929,26,138.0902482678146,0.8552513120882447,145.25,48.124316902049394,0.851498821662571,71,db,0.3034347732248019,1.0,0.4875956587426386,2,53.75,5.913607950649547e-14,0.0003918054455798736,5.022198953138504e-27,0.9711202644726786,0.9872258070410075,0.0018398959420515648,0.9014401939974043,0.0043560735620208416,,3.61954056177379e-14,0.0,0.7579227166175733,0.5411419565445946,0.7248995231858462,7.037879818661332e-14,0.9999999994620019,1.0,1.0,0.7037037037037037,0.9393939393939397,0.9999999977186236,0.9999999977186236,1.0,1.0,2.4164789266698348,0.999999995849199,256,1.4396410588325983,0.7708392442536305,233,16.263455967290593,0.9914761761177723,244.5,243.95910020449898,0.931665761014861,8,777.5248538011696,686.5,544.1934628453732,684,0.5661805724116492,0.8391984188887989,0.3519140736452058,2,6.5,8
