wavelet,wavelet_level,wavelet_mode,wavelet_mse,wavelet_psnr,wavelet_energy_entropy,wavelet_sparsity,wavelet_adaptive_threshold,signal_length,signal_type,emd_value,kl_divergence,wavelet_entropy,avg_variance_across_levels,variance_ratio_across_levels,smoothness,correlation,dynamic_cutoff,dominant_frequency,amplitude_max,num_fft_peaks,positive_frequencies,positive_amplitudes,relative_num_peaks,avg_prominence,prominence_min,prominence_max,relative_peaks,relative_prominences,relative_left_bases,relative_right_bases,max_autocorrelation,upper_envelope,lower_envelope,spectral_magnitude,spectral_centroid,spectral_bandwidth,frequency_max,wavelet_type,htid,max_autocorrelation_diff,frequency_max_diff,relative_right_bases_array_alignment_score,relative_right_bases_global_alignment_score,relative_num_peaks_diff,relative_peaks_array_alignment_score,relative_peaks_global_alignment_score,spectral_centroid_diff,lower_envelope_diff,relative_prominences_avg_diff,relative_prominences_total_diff,relative_prominences_wasserstein,spectral_bandwidth_diff,spectral_magnitude_diff,avg_prominence_diff,num_fft_peaks_diff,amplitude_max_diff,prominence_min_diff,relative_left_bases_array_alignment_score,relative_left_bases_global_alignment_score,prominence_max_diff,upper_envelope_diff,dominant_frequency_diff,dynamic_cutoff_diff,emd_value_normalized,wavelet_mse_normalized,wavelet_psnr_normalized,wavelet_entropy_normalized,wavelet_energy_entropy_normalized,wavelet_sparsity_normalized,avg_variance_across_levels_normalized,kl_divergence_normalized,prominence_min_diff_normalized,avg_prominence_diff_normalized,relative_prominences_avg_diff_normalized,relative_prominences_wasserstein_normalized,spectral_centroid_diff_normalized,dynamic_cutoff_diff_normalized,relative_prominences_total_diff_normalized,prominence_max_diff_normalized,amplitude_max_diff_normalized,frequency_max_diff_normalized,spectral_bandwidth_diff_normalized,num_fft_peaks_diff_normalized,dominant_frequency_diff_normalized,max_autocorrelation_diff_normalized,relative_right_bases_global_alignment_score_normalized,upper_envelope_diff_normalized,lower_envelope_diff_normalized,reconstruction_weighted_score,reconstruction_normalized_weighted_score,reconstruction_normalized_weighted_rank,signal_weighted_score,signal_normalized_weighted_score,signal_normalized_weighted_rank,reconstruction_missing_metrics_count,reconstruction_dynamically_weighted_score,reconstruction_normalized_dynamically_weighted_score,reconstruction_normalized_dynamically_weighted_rank,signal_missing_metrics_count,signal_dynamically_weighted_score,signal_normalized_dynamically_weighted_score,signal_normalized_dynamically_weighted_rank,rank_variability,normalized_rank_stability,average_rank,harmonic_average_rank,stability_score_weighted,stability_rank,wavelet_family,family_mean_stability_rank,family_median_stability_rank,family_rank_std_dev,family_wavelet_count,normalized_family_mean_rank,normalized_family_std_dev,final_family_stability_score,final_family_stability_rank,family_informed_rank
dmey,1,antireflect,0.630445913647432,61.42903863366512,9487066.131467741,0.6037037037037037,246.31687531461583,209,raw,0.6564074714366859,-7.470705544693442,6.552118006757539,144664.71599674097,0.9396616008410971,7.66735902117229e-06,0.999998271116652,376.2171299402351,,,,[],[],15,551.4308009992795,148.3440532789054,936.7140045405403,"[11, 27, 42, 54, 71, 84, 100, 110, 124, 138, 149, 160, 177, 190, 205]","[936.7140045405403, 566.4366851358296, 518.1094887105875, 262.6968914450854, 431.8596640461403, 899.070941158969, 836.2034805327753, 471.36836985536615, 799.123051153337, 148.3440532789054, 509.14198671113155, 762.2450948304669, 152.30682845562984, 717.3973827463362, 260.4440923880928]","[1, 16, 37, 51, 70, 30, 87, 109, 109, 131, 131, 131, 166, 166, 203]","[192, 30, 74, 57, 74, 192, 192, 113, 192, 139, 151, 192, 180, 192, 207]",49531339.570198365,937.1670263174053,-937.1670263174053,0.0,,,,DWT,uc1.b3747696,77732.57019836456,,0.0,40.5,15.0,0.0,40.5,,1.1670263174053161,135.06413433261287,4219.5379850108075,135.0641343326129,,0.0,135.06413433261287,,,137.3440532789054,0.0,45,1.7140045405402589,1.1670263174053161,,0.217129940235111,0.9244576003150808,0.868449401704379,0.002298068074942039,0.875813250058962,0.048588041949560956,0.6147701534437117,0.19658642969217774,0.6088059251387768,0.9999999999999174,0.9923918061948158,0.9923918061948158,0.9923918061897343,,0.8972416600252444,0.007608193805232921,0.8765327130954657,,,,,,0.9258582937440115,1.0,0.8603514269516905,0.8603514269516905,2.9909136266894385,0.9536610739013687,2,1.8300514112762447,0.8816378700722438,19,0,0.8550108302866016,0.9526595040154981,2,0.0,0.5174711087971988,0.884533070867507,4,8.220908303425682,0.9913826956987152,6.75,3.070707070707071,0.9921536120003009,1,dmey,270.77777777777777,201.0,276.42303529996275,9,0.4326251074485181,0.9393120069310914,0.4153688227067099,2,1.25
dmey,1,smooth,0.7259443237684864,60.816483836732694,35550409.56081456,0.6037037037037037,234.777988320106,209,raw,0.7100460542624807,,5.091998402528555,380356.37549258105,0.9824149512408809,7.666546749432052e-06,0.9999980173242552,376.21884175521166,,,,[],[],15,551.4213503929334,148.3440532789054,936.4649249422941,"[11, 27, 42, 54, 71, 84, 100, 110, 124, 138, 149, 160, 177, 190, 205]","[936.4649249422941, 566.4393228585786, 518.1094887181277, 262.6968914450854, 431.8596640461403, 899.0709397861833, 836.2034805327753, 471.36836985536615, 799.123051153337, 148.3440532789054, 509.14198671113155, 762.2450948304847, 152.306827353545, 717.4001395863551, 260.5460207956909]","[1, 16, 37, 51, 70, 30, 87, 109, 109, 131, 131, 131, 166, 166, 203]","[192, 30, 74, 57, 74, 192, 192, 113, 192, 139, 151, 192, 180, 192, 207]",49520047.95228674,937.0012390794188,-937.0012390794188,0.0,,,,DWT,uc1.b3747696,66440.95228674263,,0.0,40.5,15.0,0.0,40.5,,1.0012390794188377,135.05468372626672,4219.679744105999,135.05468372626672,,0.0,135.05468372626672,,,137.3440532789054,0.0,45,1.4649249422941466,1.0012390794188377,,0.21884175521165616,1.0,1.0,0.0,0.0,0.7118507016874507,0.6147701534437117,0.812281582784832,,0.9999999999999174,0.9847718056874428,0.9847718056874428,0.9847718056772718,,0.9043153584269864,0.015228194312562948,0.7491547447975659,,,,,,0.7913659172976252,1.0,0.7381302870812791,0.7381302870812791,2.811578847365505,0.8964796840037171,6,1.8267460453351427,0.8800454908799619,21,0,0.8082400187317613,0.9005471136691665,5,0.125,0.585021776845142,1.0,1,8.770214744615247,0.9908069027834222,8.25,2.8282828282828283,0.9910795520206419,2,dmey,270.77777777777777,201.0,276.42303529996275,9,0.4326251074485181,0.9393120069310914,0.4153688227067099,2,2.0
coif16,1,reflect,4.5144072252068616e-26,312.87950965135155,10508796.055892576,0.6118421052631579,259.4686386800598,209,raw,1.407040353447909e-13,-2.3003932092535864e-10,6.71323058099635,73984.86681273764,0.8866769727033431,7.699153959684176e-06,1.0,376.0000000000002,,,,[],[],15,550.2000000000002,147.99999999999994,935.0000000000009,"[11, 27, 42, 54, 71, 84, 100, 110, 124, 138, 149, 160, 177, 190, 205]","[935.0000000000009, 566.0000000000002, 517.0000000000002, 262.0000000000002, 429.9999999999999, 897.0, 836.0000000000003, 470.0000000000002, 797.0000000000001, 147.99999999999994, 508.0, 760.0, 153.0000000000001, 715.0000000000001, 259.0000000000001]","[1, 16, 37, 51, 70, 30, 87, 109, 109, 131, 131, 131, 166, 166, 203]","[192, 30, 74, 57, 74, 192, 192, 113, 192, 139, 151, 192, 180, 192, 207]",49453607.000000015,936.0000000000009,-936.0000000000009,0.0,,,,DWT,uc1.b3747696,1.4901161193847656e-08,,0.0,40.5,15.0,0.0,40.5,,9.094947017729282e-13,133.83333333333348,4237.999999999998,133.8333333333335,,0.0,133.83333333333348,,,136.99999999999994,0.0,45,9.094947017729282e-13,9.094947017729282e-13,,2.2737367544323206e-13,1.730605655900442e-13,5.997464540992946e-26,0.9456427333500205,0.9724522698082856,0.0745891307601684,0.707222675551929,0.011950110116861113,0.9999999991595595,7.933054982213913e-09,6.614118083450394e-09,6.614118083450394e-09,5.949200076903205e-09,,9.395716398200222e-13,0.9999999933859124,4.651107039889731e-13,,,,,,1.7748498013810092e-13,1.0,6.704947890250349e-13,6.704947890250349e-13,0.6000000048271629,0.19131165936665565,129,1.7785754542256313,0.8568390295290791,49,0,0.18181818368175698,0.20258318906814393,128,0.0,0.46398211484337465,0.7931022967136365,59,43.20783108033388,0.9547087724524802,91.25,75.58328500805335,0.9295294386371415,3,coif,395.5359477124183,414.0,294.28244636528035,153,0.6319528259784685,1.0,0.2576330218150721,3,3.0
coif16,1,antisymmetric,4.334248817393447e-26,313.0563785811604,10494082.341077743,0.6052631578947368,262.3204158172593,209,raw,1.4600468627838996e-13,-2.297493306713265e-10,6.731830395333727,209105.96496292515,0.9566907965845536,7.699153959684176e-06,0.9999999999999998,375.99999999999983,,,,[],[],15,550.2000000000002,147.99999999999994,935.0000000000006,"[11, 27, 42, 54, 71, 84, 100, 110, 124, 138, 149, 160, 177, 190, 205]","[935.0000000000006, 566.0000000000002, 517.0000000000002, 262.0000000000001, 429.9999999999999, 897.0, 836.0000000000003, 470.0000000000002, 797.0000000000001, 147.99999999999994, 507.9999999999999, 760.0000000000002, 153.0000000000001, 715.0000000000001, 259.00000000000006]","[1, 16, 37, 51, 70, 30, 87, 109, 109, 131, 131, 131, 166, 166, 203]","[192, 30, 74, 57, 74, 192, 192, 113, 192, 139, 151, 192, 180, 192, 207]",49453607.00000001,936.0000000000006,-936.0000000000006,0.0,,,,DWT,uc1.b3747696,7.450580596923828e-09,,0.0,40.5,15.0,0.0,40.5,,5.684341886080801e-13,133.83333333333348,4237.999999999998,133.83333333333348,,0.0,133.83333333333348,,,136.99999999999994,0.0,45,5.684341886080801e-13,5.684341886080801e-13,,1.7053025658242404e-13,1.8052578689756198e-13,5.749293432114808e-26,0.9463062769922845,0.9836088653352071,0.07421469462348604,0.6324856067818129,0.3649257113306818,0.9999999991595746,7.933054982213913e-09,6.614118083450394e-09,6.614118083450394e-09,5.9491771605492174e-09,,7.046787298650167e-13,0.9999999933859124,2.9069418999310817e-13,,,,,,8.874249006905046e-14,1.0,4.190592431406469e-13,4.190592431406469e-13,0.6000000048268064,0.19131165936654196,137,1.8956600730835993,0.9132452230120104,4,0,0.18181818368166394,0.20258318906804026,133,0.0,0.5001926442779034,0.8549983335240985,7,74.79471906491794,0.921598826975977,70.25,9.811732238414162,0.923980755207066,4,coif,395.5359477124183,414.0,294.28244636528035,153,0.6319528259784685,1.0,0.2576330218150721,3,3.75
coif16,1,antireflect,4.413666668046865e-26,312.97752166497025,10262178.49261214,0.6052631578947368,247.33471291238448,209,raw,1.4794545174272878e-13,-2.2891899487120926e-10,6.716861729534974,176426.70865375106,0.9521291263792299,7.699153959684176e-06,0.9999999999999998,376.0000000000002,,,,[],[],15,550.2000000000002,147.99999999999991,935.0000000000003,"[11, 27, 42, 54, 71, 84, 100, 110, 124, 138, 149, 160, 177, 190, 205]","[935.0000000000003, 566.0000000000007, 517.0000000000002, 262.00000000000006, 429.9999999999999, 897.0, 836.0000000000003, 470.0000000000002, 797.0000000000001, 147.99999999999991, 507.9999999999999, 760.0000000000002, 153.0000000000001, 715.0000000000003, 259.0]","[1, 16, 37, 51, 70, 30, 87, 109, 109, 131, 131, 131, 166, 166, 203]","[192, 30, 74, 57, 74, 192, 192, 113, 192, 139, 151, 192, 180, 192, 207]",49453607.00000001,936.0000000000002,-936.0000000000002,0.0,,,,DWT,uc1.b3747696,7.450580596923828e-09,,0.0,40.5,15.0,0.0,40.5,,2.2737367544323206e-13,133.83333333333348,4237.999999999998,133.8333333333335,,0.0,133.83333333333348,,,136.99999999999991,0.0,45,3.410605131648481e-13,2.2737367544323206e-13,,2.2737367544323206e-13,1.8325908208692083e-13,5.858692800707083e-26,0.9460104364201554,0.974630316040833,0.06831318149821455,0.6324856067818129,0.2795579908128238,0.9999999991596181,7.932972373760666e-09,6.614118083450394e-09,6.614118083450394e-09,5.949200076903205e-09,,9.395716398200222e-13,0.9999999933859124,1.7441651399586492e-13,,,,,,8.874249006905046e-14,1.0,1.6762369725625876e-13,1.6762369725625876e-13,0.6000000048267473,0.19131165936652314,143,1.8538954493233737,0.8931248735456228,14,0,0.18181818368162353,0.20258318906799525,143,0.0,0.4876246913392051,0.8335154529953193,16,73.90534486760751,0.9225310850444366,79.0,27.04263402279443,0.9198609303628892,5,coif,395.5359477124183,414.0,294.28244636528035,153,0.6319528259784685,1.0,0.2576330218150721,3,4.5
coif10,1,periodic,2.3607157985838348e-26,315.6950799101419,9086344.788279718,0.6119402985074627,259.781857664507,209,raw,9.949935612272206e-14,-2.213141891971319e-10,6.533420174668196,73873.91617478651,0.8745034633307717,7.699153959684178e-06,0.9999999999999998,376.00000000000006,,,,[],[],15,550.2000000000002,148.00000000000009,935.0000000000005,"[11, 27, 42, 54, 71, 84, 100, 110, 124, 138, 149, 160, 177, 190, 205]","[935.0000000000005, 565.9999999999999, 517.0000000000002, 262.00000000000017, 430.0000000000002, 897.0, 836.0000000000005, 469.9999999999999, 797.0, 148.00000000000009, 508.0000000000001, 760.0000000000002, 153.00000000000003, 715.0000000000003, 259.0]","[1, 16, 37, 51, 70, 30, 87, 109, 109, 131, 131, 131, 166, 166, 203]","[192, 30, 74, 57, 74, 192, 192, 113, 192, 139, 151, 192, 180, 192, 207]",49453607.0,936.0000000000005,-936.0000000000005,0.0,,,,DWT,uc1.b3747696,0.0,,0.0,40.5,15.0,0.0,40.5,,4.547473508864641e-13,133.83333333333348,4237.999999999998,133.83333333333348,,0.0,133.83333333333348,,,137.00000000000009,0.0,45,4.547473508864641e-13,4.547473508864641e-13,,5.684341886080802e-14,1.1502957031204233e-13,3.0307199076815506e-26,0.9562056612005323,0.8645978612347902,0.03839044375510364,0.7083381541902892,0.011660274786390904,0.9999999991600164,7.933468024480148e-09,6.614118083450394e-09,6.614118083450394e-09,5.9491771605492174e-09,,2.3489290995500556e-13,0.9999999933859124,2.3255535199448656e-13,,,,,,0.0,1.0,3.352473945125175e-13,3.352473945125175e-13,0.6000000048265883,0.19131165936647246,175,1.7132169204699794,0.8253521772273763,104,0,0.18181818368163014,0.2025831890680026,139,0.0,0.44739904929090474,0.7647562313040757,113,31.836823543395994,0.9666280675645744,132.75,127.49624720679904,0.913738562084174,6,coif,395.5359477124183,414.0,294.28244636528035,153,0.6319528259784685,1.0,0.2576330218150721,3,5.25
coif16,1,smooth,4.5367028370643405e-26,312.858113644191,40902458.483519144,0.5953947368421053,235.12558981009857,209,raw,1.4545674606312643e-13,-2.2841240010507275e-10,5.171112271533126,396755.95598164835,0.9851493818828242,7.699153959684176e-06,0.9999999999999998,376.00000000000006,,,,[],[],15,550.2000000000002,147.99999999999991,935.0000000000007,"[11, 27, 42, 54, 71, 84, 100, 110, 124, 138, 149, 160, 177, 190, 205]","[935.0000000000007, 566.0, 517.0000000000002, 262.00000000000017, 429.9999999999999, 897.0000000000001, 836.0000000000003, 470.0000000000002, 797.0000000000001, 147.99999999999991, 508.0, 760.0000000000002, 153.0000000000001, 715.0000000000002, 258.99999999999994]","[1, 16, 37, 51, 70, 30, 87, 109, 109, 131, 131, 131, 166, 166, 203]","[192, 30, 74, 57, 74, 192, 192, 113, 192, 139, 151, 192, 180, 192, 207]",49453607.000000015,936.0000000000006,-936.0000000000006,0.0,,,,DWT,uc1.b3747696,1.4901161193847656e-08,,0.0,40.5,15.0,0.0,40.5,,5.684341886080801e-13,133.83333333333348,4237.999999999998,133.83333333333348,,0.0,133.83333333333348,,,136.99999999999991,0.0,45,6.821210263296962e-13,5.684341886080801e-13,,5.684341886080802e-14,1.7975409017173103e-13,6.028177105479626e-26,0.9455624638276314,0.047454314384211216,0.8480501963203353,0.5203800036266387,0.8551220559753983,0.9999999991596447,7.932972373760666e-09,6.614118083450394e-09,6.614118083450394e-09,5.9491771605492174e-09,,2.3489290995500556e-13,0.9999999933859124,3.4883302799172983e-13,,,,,,1.7748498013810092e-13,1.0,4.190592431406469e-13,4.190592431406469e-13,0.6000000048266201,0.19131165936648256,166,1.965290557153579,0.9467901121278548,2,0,0.18181818368162708,0.20258318906799921,140,0.0,0.5270711291617549,0.9009427512324436,3,87.53808694886281,0.9082409990053849,77.75,4.725338032464672,0.9133710236117072,7,coif,395.5359477124183,414.0,294.28244636528035,153,0.6319528259784685,1.0,0.2576330218150721,3,6.0
coif10,1,antisymmetric,2.4765042549563318e-26,315.487126189827,9762564.68398831,0.6007462686567164,259.0400747420966,209,raw,1.0287995867234616e-13,-2.2245283393118743e-10,6.54818632967611,190144.59701705698,0.9541964950541776,7.699153959684176e-06,1.0,376.0000000000001,,,,[],[],15,550.2000000000002,148.00000000000009,935.0000000000003,"[11, 27, 42, 54, 71, 84, 100, 110, 124, 138, 149, 160, 177, 190, 205]","[935.0000000000003, 565.9999999999999, 517.0000000000002, 262.00000000000017, 430.0000000000002, 897.0, 836.0000000000005, 469.9999999999999, 797.0, 148.00000000000009, 508.0000000000001, 760.0000000000002, 153.00000000000003, 715.0000000000003, 259.0]","[1, 16, 37, 51, 70, 30, 87, 109, 109, 131, 131, 131, 166, 166, 203]","[192, 30, 74, 57, 74, 192, 192, 113, 192, 139, 151, 192, 180, 192, 207]",49453607.0,936.0000000000002,-936.0000000000002,0.0,,,,DWT,uc1.b3747696,0.0,,0.0,40.5,15.0,0.0,40.5,,2.2737367544323206e-13,133.83333333333348,4237.999999999998,133.83333333333348,,0.0,133.83333333333348,,,137.00000000000009,0.0,45,3.410605131648481e-13,2.2737367544323206e-13,,1.1368683772161603e-13,1.197906735240524e-13,3.1902203715345107e-26,0.9554254994776721,0.8734549399089612,0.055598957613319705,0.5811735894172555,0.31539310434217055,0.9999999991599567,7.933468024480148e-09,6.614118083450394e-09,6.614118083450394e-09,5.9491771605492174e-09,,4.697858199100111e-13,0.9999999933859124,1.7441651399586492e-13,,,,,,0.0,1.0,1.6762369725625876e-13,1.6762369725625876e-13,0.6000000048266098,0.1913116593664793,169,1.7964089256155327,0.8654304076921779,34,0,0.18181818368161576,0.20258318906798659,157,0.0,0.472630761239932,0.8078857573280379,36,74.06753674856482,0.922361072590603,99.0,57.57373154860939,0.9092937438424713,8,coif,395.5359477124183,414.0,294.28244636528035,153,0.6319528259784685,1.0,0.2576330218150721,3,6.75
coif6,1,antisymmetric,2.0524583975653808e-26,316.3027733455484,8821873.780241443,0.6024590163934426,249.194423154874,209,raw,9.434452156245282e-14,-2.2528223730944466e-10,6.398233500137417,147683.42367108123,0.9412996662264255,7.699153959684178e-06,1.0,376.0000000000001,,,,[],[],15,550.2000000000002,147.9999999999999,935.0000000000005,"[11, 27, 42, 54, 71, 84, 100, 110, 124, 138, 149, 160, 177, 190, 205]","[935.0000000000005, 566.0, 517.0000000000002, 262.0000000000001, 430.0000000000001, 897.0000000000007, 836.0000000000003, 470.00000000000034, 796.9999999999999, 147.9999999999999, 507.99999999999983, 760.0000000000002, 152.99999999999994, 715.0000000000002, 258.99999999999994]","[1, 16, 37, 51, 70, 30, 87, 109, 109, 131, 131, 131, 166, 166, 203]","[192, 30, 74, 57, 74, 192, 192, 113, 192, 139, 151, 192, 180, 192, 207]",49453607.00000001,936.0000000000003,-936.0000000000003,0.0,,,,DWT,uc1.b3747696,7.450580596923828e-09,,0.0,40.5,15.0,0.0,40.5,,3.410605131648481e-13,133.83333333333348,4237.999999999998,133.83333333333348,,0.0,133.83333333333348,,,136.9999999999999,0.0,45,4.547473508864641e-13,3.410605131648481e-13,,1.1368683772161603e-13,1.077697108573994e-13,2.606090372157058e-26,0.958485491332062,0.7835097911598837,0.03166015818408536,0.6006304627158611,0.2044721719694843,0.9999999991598085,7.93288976530742e-09,6.614118083450394e-09,6.614118083450394e-09,5.9491771605492174e-09,,4.697858199100111e-13,0.9999999933859124,2.3255535199448656e-13,,,,,,8.874249006905046e-14,1.0,2.5143554588438815e-13,2.5143554588438815e-13,0.6000000048265433,0.19131165936645808,182,1.7047173230093156,0.8212574469069504,111,0,0.18181818368159178,0.20258318906795986,188,0.0,0.4473447593151616,0.764663431381249,114,41.94738768187279,0.9560299919477224,148.75,139.88658495805527,0.9000537800409472,9,coif,395.5359477124183,414.0,294.28244636528035,153,0.6319528259784685,1.0,0.2576330218150721,3,7.5
coif16,1,periodic,4.223334819307779e-26,313.168961845065,10243351.357497688,0.6052631578947368,251.91164522715508,209,raw,1.4352793276053604e-13,-2.299109791437119e-10,6.7281126537504825,73552.5541292945,0.880456358311337,7.699153959684178e-06,0.9999999999999998,376.0,,,,[],[],15,550.2000000000002,147.99999999999991,935.0000000000007,"[11, 27, 42, 54, 71, 84, 100, 110, 124, 138, 149, 160, 177, 190, 205]","[935.0000000000007, 565.9999999999998, 517.0000000000002, 262.00000000000006, 429.9999999999999, 897.0000000000001, 836.0000000000003, 470.0000000000002, 797.0000000000001, 147.99999999999991, 508.0, 760.0000000000001, 153.00000000000017, 715.0000000000002, 259.0000000000002]","[1, 16, 37, 51, 70, 30, 87, 109, 109, 131, 131, 131, 166, 166, 203]","[192, 30, 74, 57, 74, 192, 192, 113, 192, 139, 151, 192, 180, 192, 207]",49453607.00000001,936.0000000000007,-936.0000000000007,0.0,,,,DWT,uc1.b3747696,7.450580596923828e-09,,0.0,40.5,15.0,0.0,40.5,,6.821210263296962e-13,133.83333333333348,4237.999999999998,133.83333333333348,,0.0,133.83333333333348,,,136.99999999999991,0.0,45,6.821210263296962e-13,6.821210263296962e-13,,0.0,1.770376279211325e-13,5.596507613073072e-26,0.9467286457433702,0.9813788786070854,0.0678340666162307,0.6324856067818129,0.01082078367236246,0.9999999991595662,7.932972373760666e-09,6.614118083450394e-09,6.614118083450394e-09,5.9491771605492174e-09,,0.0,0.9999999933859124,3.4883302799172983e-13,,,,,,8.874249006905046e-14,1.0,5.028710917687763e-13,5.028710917687763e-13,0.6000000048264919,0.19131165936644168,207,1.74996621590323,0.8430563632151524,65,0,0.18181818368161284,0.20258318906798334,158,0.0,0.4549059975725756,0.7775881438563805,82,66.39779112791831,0.9304006382306936,128.0,103.25306756823993,0.8981143652369401,10,coif,395.5359477124183,414.0,294.28244636528035,153,0.6319528259784685,1.0,0.2576330218150721,3,8.25
