signal_type,wavelet,wavelet_energy_entropy,wavelet_sparsity,wavelet_adaptive_threshold,wavelet_psnr,signal_length,scales_used,emd_value,kl_divergence,is_complex,change_point_indices,change_point_prominences,num_change_points,wavelet_entropy,avg_variance_across_levels,variance_ratio_across_levels,smoothness,correlation,relative_num_peaks,avg_prominence,prominence_min,prominence_max,relative_peaks,relative_prominences,relative_left_bases,relative_right_bases,prominence_threshold,distance_factor,max_autocorrelation,upper_envelope,lower_envelope,fft_frequency_max,fft_amplitude_max,fft_spectral_centroid,fft_spectral_bandwidth,fft_spectral_magnitude,fft_variance_magnitude,fft_num_peaks,fft_peak_amplitude,fft_dominant_frequency,fft_positive_frequencies,fft_positive_amplitudes,fft_snr_threshold,fft_stationarity_threshold,fft_dynamic_cutoff,fft_dynamic_cutoff_percentile,stft_frequency_max,stft_amplitude_max,stft_spectral_centroid,stft_spectral_bandwidth,stft_spectral_magnitude,stft_variance_magnitude,stft_peak_freq_over_time,stft_num_peaks,stft_peak_amplitude,stft_dominant_frequency,stft_positive_frequencies,stft_positive_amplitudes,stft_snr_threshold,stft_stationarity_threshold,stft_window,stft_nperseg,stft_noverlap,stft_dynamic_cutoff,stft_dynamic_cutoff_percentile,wavelet_type,htid,stft_amplitude_max_diff,stft_frequency_max_diff,avg_prominence_diff,fft_variance_magnitude_diff,stft_noverlap_diff,prominence_max_diff,stft_spectral_magnitude_diff,upper_envelope_diff,relative_peaks_array_alignment_score,relative_peaks_global_alignment_score,stft_num_peaks_diff,fft_peak_amplitude_diff,relative_left_bases_array_alignment_score,relative_left_bases_global_alignment_score,stft_window_diff,stft_nperseg_diff,prominence_threshold_diff,relative_right_bases_array_alignment_score,relative_right_bases_global_alignment_score,stft_dominant_frequency_diff,relative_num_peaks_diff,max_autocorrelation_diff,stft_variance_magnitude_diff,fft_amplitude_max_diff,fft_dominant_frequency_diff,relative_prominences_avg_diff,relative_prominences_total_diff,relative_prominences_wasserstein,fft_snr_threshold_diff,stft_stationarity_threshold_diff,stft_dynamic_cutoff_percentile_diff,lower_envelope_diff,fft_stationarity_threshold_diff,stft_dynamic_cutoff_diff,fft_frequency_max_diff,fft_num_peaks_diff,fft_dynamic_cutoff_percentile_diff,fft_dynamic_cutoff_diff,prominence_min_diff,fft_spectral_centroid_diff,stft_peak_amplitude_diff,fft_spectral_bandwidth_diff,stft_spectral_bandwidth_diff,fft_spectral_magnitude_diff,distance_factor_diff,stft_snr_threshold_diff,stft_spectral_centroid_diff,emd_value_normalized,wavelet_psnr_normalized,wavelet_entropy_normalized,wavelet_energy_entropy_normalized,wavelet_sparsity_normalized,correlation_normalized,avg_variance_across_levels_normalized,kl_divergence_normalized,prominence_min_diff_normalized,avg_prominence_diff_normalized,relative_prominences_avg_diff_normalized,relative_prominences_wasserstein_normalized,relative_prominences_total_diff_normalized,prominence_max_diff_normalized,relative_num_peaks_diff_normalized,max_autocorrelation_diff_normalized,relative_right_bases_global_alignment_score_normalized,relative_left_bases_global_alignment_score_normalized,upper_envelope_diff_normalized,lower_envelope_diff_normalized,relative_peaks_global_alignment_score_normalized,reconstruction_signal_weighted_score,reconstruction_signal_normalized_weighted_score,reconstruction_signal_normalized_weighted_rank,wavelet_signal_weighted_score,wavelet_signal_normalized_weighted_score,wavelet_signal_normalized_weighted_rank,reconstruction_signal_num_missing_metrics,reconstruction_signal_missing_metrics_count,reconstruction_signal_dynamically_weighted_score,reconstruction_signal_normalized_dynamically_weighted_score,reconstruction_signal_normalized_dynamically_weighted_rank,wavelet_signal_num_missing_metrics,wavelet_signal_missing_metrics_count,wavelet_signal_dynamically_weighted_score,wavelet_signal_normalized_dynamically_weighted_score,wavelet_signal_normalized_dynamically_weighted_rank,rank_variability,normalized_rank_stability,average_rank,harmonic_average_rank,stability_score_weighted,stability_rank,wavelet_family,family_mean_stability_rank,family_median_stability_rank,family_rank_std_dev,family_wavelet_count,normalized_family_mean_rank,normalized_family_std_dev,final_family_stability_score,final_family_stability_rank,family_informed_rank,top_wavelet_rank
raw,gaus8,17.690986343423408,0.6829710144927537,679.6017156870585,-16.922927155924892,48,23,7200.984708283733,,False,"[6, 11, 17, 26, 38, 43]","[4127.478325195869, 3639.9462858974016, 16846.664700488236, 18477.155455767952, 3288.976970249454, 13439.445450185063]",6,9.207245172819533,394272.9014228688,0.07569011659370213,2.5042006906688334e-07,0.5676926264197897,4,13030.754343825736,3288.976970249454,23611.67941604466,"[6, 17, 38, 43]","[10032.69322467891, 23611.67941604466, 3288.976970249454, 15189.667764329926]","[0, 0, 26, 26]","[11, 26, 40, 47]",0.05,10,4318051872.879735,19234.961780677877,-19234.961780677877,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CWT,mdp.39015083020449,,,12260.921010492402,,,22309.67941604466,,17928.961780677877,0.0,-5.5,,,0.0,3.5,,,0.0,0.0,-1.0,,8.0,,,,,12260.921010492402,42885.017375302945,12260.921010492404,,,,17928.961780677877,,,,,,,3151.976970249454,,,,,,10.0,,,0.07449096296293717,0.7837117990307273,0.24100663217012033,0.8061995995265885,0.17333333333333334,0.9077855524892398,0.12101096178936079,,0.9773455761147454,0.9262964426182394,0.9262964426182394,0.9250789877133125,0.9253721087642892,0.45955283636631167,1.0,,0.6206896551724138,0.9310344827586208,0.22552562212699034,0.22552562212699034,0.31034482758620685,2.526419335445802,0.8852187012528869,2,1.4970294232004453,0.7153376891904321,5,0,0,0.7044218836638633,0.8880438224150533,2,1,0.125,0.4376841201860439,0.7674460629724831,5,1.7320508075688772,0.8762820851736516,3.5,2.857142857142857,0.8131410425868257,1,gaus,8.75,10.0,4.743416490252569,8,0.875,1.0,0.0875,1,1.0,1
raw,gaus4,17.69440868505425,0.6693840579710145,647.7485409031434,-17.174034899260285,48,23,7542.482057614678,,False,"[8, 17, 26, 38, 43]","[5161.55698083847, 22074.853575712612, 10371.283091533423, 3361.730253366798, 11355.905230671924]",5,9.166971518635176,332762.24061254895,0.07738643165349052,3.260234418518085e-07,0.6212653368267247,4,13889.564893450364,3361.730253366798,31937.179679945817,"[8, 17, 38, 43]","[5161.55698083847, 31937.179679945817, 3361.730253366798, 15097.792659650375]","[0, 0, 26, 26]","[11, 26, 40, 47]",0.05,10,4736716048.936537,22633.662534181796,-22633.662534181796,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CWT,mdp.39015083020449,,,13119.73156011703,,,30635.179679945817,,21327.662534181796,0.0,-1.0,,,0.0,3.5,,,0.0,0.0,-1.0,,8.0,,,,,13119.73156011703,46320.25957380146,13119.73156011703,,,,21327.662534181796,,,,,,,3224.730253366798,,,,,,10.0,,,0.09365968283563185,0.7629657341067292,0.1706292278409501,0.8066012162932702,0.12333333333333331,0.9986830120461464,0.0847494094897408,,0.9999999999999999,1.0,1.0,0.9999999999999998,0.9999999999999999,0.6847642185506497,1.0,,0.6206896551724138,0.9310344827586208,0.3307834432589013,0.3307834432589013,0.6206896551724137,2.854005831406471,1.0,1,1.4571988693295252,0.696305133167394,7,0,0,0.7932287415143248,1.0,1,1,0.125,0.428124516563686,0.7506840196969866,7,3.4641016151377544,0.7525641703473033,4.0,1.75,0.7334249423165088,3,gaus,8.75,10.0,4.743416490252569,8,0.875,1.0,0.0875,1,2.5,2
raw,morl,17.552043858252425,0.6766304347826086,611.6443226079025,-15.59231405068633,48,23,6103.5226642933885,,False,"[5, 11, 18, 26, 31, 38, 43]","[3253.48298387758, 7333.45858706028, 14693.942946737398, 16025.060682351072, 123.70798429671231, 4466.684247677549, 11190.667822140975]",7,9.160193837457546,345049.3353090415,0.08381857957218136,2.1613981825591044e-07,0.622041536894418,5,10401.93635033785,123.70798429671231,25366.982697668118,"[5, 18, 30, 38, 43]","[7399.832035656546, 25366.982697668118, 123.70798429671231, 4466.684247677549, 14652.474786390325]","[0, 11, 26, 26, 26]","[11, 26, 31, 40, 47]",0.05,10,3208571421.97448,16747.490914935483,-16747.490914935483,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CWT,mdp.39015083020449,,,9632.103017004516,,,24064.982697668118,,15441.490914935483,0.0,4.0,,,0.0,4.0,,,0.0,0.0,4.0,,7.0,,,,,9632.103017004516,42771.68175168925,9671.753156619165,,,,15441.490914935483,,,,,,,13.292015703287689,,,,,,10.0,,,0.01288889626057163,0.8936446330538157,0.1587853656855884,0.7898944968605595,0.1499999999999997,1.0,0.09199285511490138,,0.0,0.7006899477819507,0.7006899477819507,0.6992048683547183,0.9229099829217878,0.5070351816520576,0.75,,0.9655172413793104,0.9655172413793104,0.14848860638289424,0.14848860638289424,0.9655172413793103,2.09075035056739,0.7325669511814052,7,1.511190522029495,0.7221044016917223,4,0,0,0.6228382387830155,0.7851937356606332,7,1,0.125,0.43620803528220514,0.764857859526622,6,1.4142135623730951,0.8989847455447789,6.0,5.694915254237289,0.7352066584866752,2,morl,2.0,2.0,,1,0.2,,,6,3.0,3
raw,fbsp,10.977446314655957,0.8052536231884058,1227.5546144561324,-21.89612332334372,48,23,14941.226642350734,-82795.98105293057,True,"[1, 17, 30, 39, 45]","[982.8178507135963, 15790.566381990133, 355.32709883988264, 2168.1908059159923, 2055.9785719257634]",5,9.622991323737143,657078.2813770712,0.06366800131836728,7.392075419909154e-07,0.36897332641918923,5,10820.256177931291,190.4189222998666,31526.435773141216,"[8, 17, 30, 38, 43]","[4187.580556282825, 31526.435773141216, 190.4189222998666, 3584.760907994825, 14612.08472993772]","[0, 0, 26, 26, 26]","[11, 26, 31, 40, 47]",0.05,10,13606019751.178104,26235.202308410804,-26235.202308410804,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CWT,mdp.39015083020449,,,10050.422844597957,,,30224.435773141216,,24929.202308410804,0.0,-0.5,,,0.0,4.0,,,0.0,0.0,4.0,,7.0,,,,,10050.422844597957,44863.28088965645,10072.291762727988,,,,24929.202308410804,,,,,,,53.41892229986661,,,,,,10.0,,,0.5089614783906553,0.3728353792174012,0.9675147068406659,0.01835591523635538,0.6233333333333333,0.5706161354898879,0.27593908163540837,0.0,0.012494995583590407,0.736590367764492,0.736590367764492,0.7341471007745322,0.9683483025387126,0.673653270254083,0.75,,0.9655172413793104,0.9655172413793104,0.44232319237168616,0.44232319237168616,0.6551724137931033,2.2880148439456867,0.8016854131016752,5,1.4572804022696,0.696344092712238,6,0,0,0.6735564738312498,0.8491327136550639,4,0,0.0,0.41719450376796346,0.7315190673913133,9,2.160246899469287,0.8456966500379081,6.0,5.49618320610687,0.7085626107332397,4,fbsp,4.0,4.0,,1,0.4,,,4,4.0,4
raw,cgau8,12.278925290212461,0.907608695652174,902.0182191474939,-16.57648815113042,48,23,7979.058760651337,-65409.59835521556,True,"[1, 5, 19, 23, 32, 37, 44]","[123.75161796650264, 844.5337089699933, 131.0810786222155, 11069.074842673333, 1110.604960903779, 1972.6672640064753, 2465.7148119918]",7,9.641581117936674,406255.3776546098,0.07668330875025806,8.54182998630745e-07,0.432648054943458,4,9823.636762724673,2926.841657169478,18541.115658055758,"[5, 17, 38, 43]","[6634.439356998868, 18541.115658055758, 2926.841657169478, 11192.150378674593]","[0, 11, 26, 26]","[11, 26, 40, 47]",0.05,10,4211874172.421469,15293.795109969304,-15293.795109969304,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CWT,mdp.39015083020449,,,9053.803429391339,,,17239.115658055758,,13987.795109969304,0.0,-1.0,,,0.0,3.5,,,0.0,0.0,-1.0,,8.0,,,,,9053.803429391339,30056.54705089869,9053.80342939134,,,,13987.795109969304,,,,,,,2789.841657169478,,,,,,10.0,,,0.11816533870631428,0.8123339593440864,0.9999999999999999,0.1710863654511524,1.0,0.6786538102102337,0.12807482978935034,0.6541860863326401,0.8645813607445478,0.6510599835737491,0.6510599835737491,0.6452960998534152,0.646683843782964,0.32239006701995676,1.0,,0.6206896551724138,0.9310344827586208,0.10346762215485075,0.10346762215485075,0.6206896551724137,2.048833577414625,0.7178799548580277,8,2.0927590504768117,1.0,1,0,0,0.5967016979967942,0.7522441721635706,8,0,0.0,0.5703125487292221,1.0,1,4.041451884327381,0.7113248654051871,4.5,1.7777777777777777,0.6949481469883079,5,cgau,5.0,5.0,,1,0.5,,,2,4.25,5
raw,cmor,14.484865426378297,0.8079710144927537,683.8907638615929,-16.881038931033846,48,23,8417.182197643613,-68400.32358812567,True,"[4, 17, 38, 44]","[970.7011610303034, 9846.346960727997, 1588.3513925698471, 1668.5270451308625]",4,9.634551114114782,189001.37406373938,0.06250493175271936,2.887966080026951e-06,0.39061753701290897,4,7796.917299403756,2144.785388597228,17695.52419599741,"[8, 17, 38, 43]","[2788.47594732547, 17695.52419599741, 2144.785388597228, 8558.883665694917]","[0, 0, 26, 26]","[11, 26, 40, 47]",0.05,10,4543179820.939948,15723.041809517052,-15723.041809517052,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CWT,mdp.39015083020449,,,7027.083966070423,,,16393.52419599741,,14417.041809517052,0.0,-1.0,,,0.0,3.5,,,0.0,0.0,-1.0,,8.0,,,,,7027.083966070423,21949.669197615025,7027.083966070422,,,,14417.041809517052,,,,,,,2007.7853885972281,,,,,,10.0,,,0.14275781489923606,0.787172527965637,0.9877152090757857,0.4299566480075314,0.6333333333333334,0.6073401269052845,0.0,0.541656017862971,0.6210592343027711,0.4771258902782091,0.4771258902782091,0.46848891708242624,0.4705684016285562,0.29951614762809053,1.0,,0.6206896551724138,0.9310344827586208,0.11676139986560674,0.11676139986560674,0.6206896551724137,1.724197158984637,0.6041323181652163,9,1.9368985810314472,0.9255239300435215,3,0,0,0.518318422836077,0.653428696805128,9,0,0.0,0.5162414597562224,0.9051904274358303,3,3.4641016151377544,0.7525641703473033,6.0,4.5,0.6619963708879373,6,cmor,6.0,6.0,,1,0.6,,,3,5.25,6
raw,gaus2,18.61980532001468,0.6784420289855072,988.4545330890716,-22.135217476746355,48,23,14304.912530137874,,False,"[8, 17, 30, 35, 38, 43]","[1738.457908862676, 33288.570297700324, 423.8583590831622, 73.96757955625071, 11186.682231059174, 1945.9254093032923]",6,9.06932849554684,400893.7905542515,0.07615115817638861,4.2870408728895446e-07,0.5999067143834201,6,8761.197919024036,73.96757955625071,37198.296026279655,"[8, 17, 30, 35, 38, 43]","[1738.457908862676, 37198.296026279655, 423.8583590831622, 73.96757955625071, 11186.682231059174, 1945.9254093032923]","[0, 0, 26, 26, 26, 40]","[10, 47, 31, 36, 47, 47]",0.05,20,14405394264.263317,35243.43316198999,-35243.43316198999,0.47916666666666663,682172.7840769638,0.043628588973991946,0.07553604040836938,1468608.3863494366,20355684150.82176,2.0,224857.51117155884,0.041666666666666664,"[0.0, 0.020833333333333332, 0.041666666666666664, 0.0625, 0.08333333333333333, 0.10416666666666666, 0.125, 0.14583333333333331, 0.16666666666666666, 0.1875, 0.20833333333333331, 0.22916666666666666]","[682172.7840769638, 209541.33327905257, 224857.51117155884, 64475.29882306031, 105302.58580168746, 34436.6243990197, 26380.681336797985, 24505.26415864896, 18507.16614016088, 4978.993996855461, 5194.425147431025, 9948.460888636137]",3.0,0.3,6469.08337253509,15.0,0.5,3762405112.943587,0.07252607098012641,0.07597848295094894,6924820483.669506,3.429094334696047e+17,"[0.03125, 0.0625]",1.0,3762405112.943587,0.03125,"[0.0, 0.03125, 0.0625, 0.09375, 0.125, 0.15625, 0.1875, 0.21875]","[7.444625512977249e-23, 3762405112.943587, 1305239435.8906274, 853491758.9673438, 236320157.21130586, 190684944.66995528, 167595518.17102417, 84819343.30228367]",3.0,0.3,boxcar,32.0,16.0,6469.08337253509,15.0,CWT,mdp.39015083020449,3758788884.120954,0.0,7991.364585690703,20327512179.80319,8.0,35896.296026279655,6907396504.469256,33937.43316198999,0.0,0.0,0.0,218216.91564811429,0.0,4.5,,16.0,0.0,0.0,0.0,0.03125,6.0,,3.4290925847507136e+17,653671.7840769638,0.041666666666666664,7991.364585690703,43329.187514144214,8046.898999324758,0.0,0.0,0.0,33937.43316198999,0.0,6398.683372535091,0.0,2.0,0.0,6398.683372535091,63.03242044374929,0.10109607950340552,3758788884.120954,0.07262112687788792,0.07266379385384711,1374606.2150271516,0.0,0.0,0.11888043213000736,0.47324428470833957,0.3530818552377991,0.0,0.9151978569914655,0.1566666666666664,0.9624435814669501,0.12491408548117033,,0.015488513575353816,0.5598809426135196,0.5598809426135196,0.557455656801672,0.9350213500393542,0.827081586472425,0.5,,0.6896551724137931,1.0,0.7213082577451111,0.7213082577451111,0.689655172413793,2.184283139759291,0.7653394102151723,6,1.309031060496829,0.6255049095110022,10,0,0,0.6480613210361378,0.8169917290174672,5,1,0.125,0.42025690436462737,0.7368887556499489,8,2.217355782608345,0.841617444099404,7.25,6.76056338028169,0.6618801506211305,7,gaus,8.75,10.0,4.743416490252569,8,0.875,1.0,0.0875,1,5.5,7
raw,gaus6,17.63552180900227,0.6639492753623188,628.3154364055258,-16.964920727914695,48,23,7279.711300262286,,False,"[6, 11, 17, 26, 38, 43]","[4559.589143087371, 1246.9032436748112, 18607.440003245534, 17119.81558793492, 2996.1558154857903, 13281.487708002036]",6,9.154371030735337,362140.0061974759,0.07756009081134643,2.817092086867097e-07,0.5713868085100017,4,12980.434926191043,2996.1558154857903,26276.015299141225,"[6, 17, 38, 43]","[7694.292405379107, 26276.015299141225, 2996.1558154857903, 14955.276184758046]","[0, 0, 26, 26]","[11, 26, 40, 47]",0.05,10,4397396654.726997,18893.468677524485,-18893.468677524485,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CWT,mdp.39015083020449,,,12210.601592857709,,,24974.015299141225,,17587.468677524485,0.0,-5.5,,,0.0,3.5,,,0.0,0.0,-1.0,,8.0,,,,,12210.601592857709,42683.73970476417,12210.601592857707,,,,17587.468677524485,,,,,,,2859.1558154857903,,,,,,10.0,,,0.07890999576399813,0.7802423665101721,0.1486101275226035,0.7996907557633058,0.10333333333333322,0.9140535154985824,0.10206808838491337,,0.8861648860022971,0.9219780046499629,0.9219780046499629,0.9206892166415483,0.9209995122377007,0.531625234158098,1.0,,0.6206896551724138,0.9310344827586208,0.2149495748146627,0.2149495748146627,0.31034482758620685,2.52477661601724,0.8846431174855081,3,1.4137508351649888,0.6755440072486517,9,0,0,0.6996169144571779,0.8819863399321161,3,1,0.125,0.4118797403967012,0.7222000310434288,11,4.123105625617661,0.7054924553130242,6.5,4.604651162790698,0.6206033705136549,9,gaus,8.75,10.0,4.743416490252569,8,0.875,1.0,0.0875,1,7.0,8
raw,shan,10.821028012191611,0.8079710144927537,754.8706744562026,-14.305002154030166,48,23,5873.902536396555,-56218.86016798042,True,"[2, 6, 13, 15, 22, 32, 38, 44, 46]","[517.8685943930341, 513.9187802353317, 9355.938885659345, 52.07764536332979, 2229.1765627265904, 1277.6455231689852, 1861.2676405359828, 957.2668541073963, 97.06712115771006]",9,9.535537552131219,323925.45179043076,0.09217709409304994,7.629339800044169e-07,0.4888189891267539,6,6299.126030541208,430.5983481219961,19020.125479766164,"[5, 18, 30, 33, 38, 43]","[4717.957300362531, 19020.125479766164, 430.5983481219961, 879.4275906274925, 4563.854390398071, 8182.793073970997]","[0, 11, 25, 25, 25, 25]","[11, 25, 31, 36, 40, 47]",0.05,20,2566313265.8783145,11952.898617914341,-11952.898617914341,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CWT,mdp.39015083020449,,,5529.292697207875,,,17718.125479766164,,10646.898617914341,0.0,4.5,,,0.0,0.0,,,0.0,0.0,4.5,,6.0,,,,,5529.292697207875,28556.75618324725,5529.292697207875,,,,10646.898617914341,,,,,,,293.5983481219961,,,,,,0.0,,,0.0,1.0,0.8146909919563188,0.0,0.6333333333333334,0.7739597071756198,0.07953997626609097,1.0,0.08728373758875274,0.34858468316476426,0.34858468316476426,0.3378244322243957,0.6141020858515072,0.3353476624325745,0.5,,1.0,0.6896551724137931,0.0,0.0,0.9999999999999999,1.380373652226223,0.48366181913018963,10,2.002078702688177,0.9566694752709471,2,0,0,0.43844853807004597,0.5527390967112707,10,0,0.0,0.5376905010914204,0.9427997021799878,2,4.618802153517006,0.670085560463071,6.0,3.3333333333333335,0.6207570659458213,8,shan,8.0,8.0,,1,0.8,,,7,7.75,9
raw,gaus7,17.697134734177023,0.7146739130434783,733.6538869196726,-17.677336798951856,48,23,8251.215961005795,,False,"[1, 4, 9, 13, 22, 29, 32, 34, 37, 41, 46]","[1895.0689467424154, 647.520419311174, 1118.9477205347505, 10549.77250165803, 20913.057464411915, 913.5295021433321, 9707.044714904932, 243.8917072511249, 429.4385207514679, 1103.1658672276044, 836.6107855701994]",11,9.263177714834786,404345.92268604337,0.07230211364573601,1.667095094497353e-07,0.08117233449896587,8,6279.167565177754,243.8917072511249,34110.10581374336,"[3, 9, 22, 30, 33, 35, 39, 46]","[647.520419311174, 11062.313590416394, 34110.10581374336, 913.5295021433321, 243.8917072511249, 429.4385207514679, 1989.9301822349798, 836.6107855701994]","[1, 1, 13, 29, 32, 32, 32, 32]","[4, 13, 32, 32, 34, 37, 41, 47]",0.05,20,4688576175.054223,22181.969161848203,-22181.969161848203,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CWT,mdp.39015083020449,,,5509.334231844421,,,32808.10581374336,,20875.969161848203,0.0,-8.0,,,0.0,-8.0,,,0.0,0.0,-8.0,,4.0,,,,,5509.334231844421,40995.34052142203,5522.040106665809,,,,20875.969161848203,,,,,,,106.8917072511249,,,,,,0.0,,,0.13344189984259341,0.7213838467914236,0.33874762946195924,0.8069211221216767,0.2899999999999999,0.08230074459789272,0.12694917449164586,,0.029145723697907973,0.34687183753447925,0.34687183753447925,0.3371917299068124,0.8843203893880823,0.7435435930584954,0.0,,0.13793103448275862,0.13793103448275879,0.31679449170365104,0.31679449170365104,0.13793103448275862,1.3138465402999566,0.4603517364407364,11,1.2453972214552655,0.5950982370242364,11,0,0,0.3112772664979862,0.39241803808537984,12,1,0.125,0.3508563453295988,0.6152001145887137,13,0.9574271077563381,0.9316123494459758,11.75,11.69335604770017,0.5461633175801308,11,gaus,8.75,10.0,4.743416490252569,8,0.875,1.0,0.0875,1,8.5,10
