signal_type,wavelet,wavelet_energy_entropy,wavelet_sparsity,wavelet_adaptive_threshold,wavelet_psnr,signal_length,decomposition_levels,original_level,padded,emd_value,kl_divergence,wavelet_entropy,avg_variance_across_levels,variance_ratio_across_levels,smoothness,correlation,dynamic_cutoff,dominant_frequency,amplitude_max,num_fft_peaks,positive_frequencies,positive_amplitudes,relative_num_peaks,avg_prominence,prominence_min,prominence_max,relative_peaks,relative_prominences,relative_left_bases,relative_right_bases,max_autocorrelation,upper_envelope,lower_envelope,spectral_magnitude,spectral_centroid,spectral_bandwidth,frequency_max,wavelet_type,htid,max_autocorrelation_diff,frequency_max_diff,relative_right_bases_array_alignment_score,relative_right_bases_global_alignment_score,relative_num_peaks_diff,relative_peaks_array_alignment_score,relative_peaks_global_alignment_score,spectral_centroid_diff,lower_envelope_diff,relative_prominences_avg_diff,relative_prominences_total_diff,relative_prominences_wasserstein,spectral_bandwidth_diff,spectral_magnitude_diff,avg_prominence_diff,num_fft_peaks_diff,amplitude_max_diff,prominence_min_diff,relative_left_bases_array_alignment_score,relative_left_bases_global_alignment_score,prominence_max_diff,upper_envelope_diff,dominant_frequency_diff,dynamic_cutoff_diff,emd_value_normalized,wavelet_psnr_normalized,wavelet_entropy_normalized,wavelet_energy_entropy_normalized,wavelet_sparsity_normalized,correlation_normalized,avg_variance_across_levels_normalized,prominence_min_diff_normalized,avg_prominence_diff_normalized,relative_prominences_avg_diff_normalized,relative_prominences_wasserstein_normalized,spectral_centroid_diff_normalized,dynamic_cutoff_diff_normalized,relative_prominences_total_diff_normalized,prominence_max_diff_normalized,amplitude_max_diff_normalized,frequency_max_diff_normalized,spectral_bandwidth_diff_normalized,num_fft_peaks_diff_normalized,relative_num_peaks_diff_normalized,dominant_frequency_diff_normalized,max_autocorrelation_diff_normalized,relative_right_bases_global_alignment_score_normalized,relative_left_bases_global_alignment_score_normalized,upper_envelope_diff_normalized,lower_envelope_diff_normalized,relative_peaks_global_alignment_score_normalized,reconstruction_weighted_score,reconstruction_normalized_weighted_score,reconstruction_normalized_weighted_rank,signal_weighted_score,signal_normalized_weighted_score,signal_normalized_weighted_rank,reconstruction_missing_metrics_count,reconstruction_dynamically_weighted_score,reconstruction_normalized_dynamically_weighted_score,reconstruction_normalized_dynamically_weighted_rank,signal_missing_metrics_count,signal_dynamically_weighted_score,signal_normalized_dynamically_weighted_score,signal_normalized_dynamically_weighted_rank,rank_variability,normalized_rank_stability,average_rank,harmonic_average_rank,stability_score_weighted,stability_rank,wavelet_family,family_mean_stability_rank,family_median_stability_rank,family_rank_std_dev,family_wavelet_count,normalized_family_mean_rank,normalized_family_std_dev,final_family_stability_score,final_family_stability_rank,family_informed_rank
raw,rbio3.1,4506584.948905367,0.6237458193979933,197.87729197732938,6.049201802964719,598,1,False,False,142.9223798687941,,9.4845643688346,84432.8963287603,1.0,2.383117537235866e-06,-0.14561400767785487,418.78399115773277,,,,[],[],16,1128.1004810354882,773.7515953133795,1558.6401224304473,"[16, 52, 104, 154, 188, 223, 256, 289, 324, 353, 405, 450, 485, 519, 551, 586]","[985.706852974047, 1375.3226894078348, 1069.1454531540599, 1173.2669266837788, 773.7515953133795, 1488.9901044835724, 902.091476098738, 1360.4734470029173, 810.6979246303767, 1100.788481612158, 958.3064652030685, 827.4917106835571, 1558.6401224304473, 1487.222337530606, 1202.7886347983172, 974.9234745609523]","[15, 37, 96, 147, 187, 37, 248, 248, 317, 347, 397, 446, 37, 495, 545, 583]","[37, 147, 147, 198, 198, 347, 260, 347, 330, 397, 446, 452, 495, 545, 553, 596]",151909481.75,1272.6154294404887,-1272.6154294404887,0.0,,,,SWT,txu.059172014718829,83683648.75,,0.0,-78.0,70.0,0.0,-78.0,,517.6154294404887,768.2283880122325,12899.392303432189,768.2283880122325,,0.0,768.2283880122325,,,770.7515953133795,0.0,-78.0,803.6401224304473,517.6154294404887,,121.78399115773277,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0000000000000002,1.0000000000000002,1.0,,0.5798830449514216,0.0,0.8831577305087135,,,,,0.4,,1.0,0.013698630136986314,0.015625,0.7711320212326197,0.7711320212326197,0.00735294117647059,2.9043761474721084,0.995003566788823,2,1.7000000000000002,1.0,1,0,0.6029986706599169,1.0,1,0,0.5714285714285715,1.0,1,0.5,0.9952830188679245,1.25,1.1428571428571428,0.9917452830188679,1,rbio,28.466666666666665,28.0,24.993904018684997,15,0.4375943905070118,0.6578235687825006,0.4963368560103415,1,1.0
raw,rbio2.8,2452914.718069473,0.6538461538461539,163.46644830682797,12.246409545803383,598,1,False,False,128.26265578692067,,9.359445300665225,72409.25225482062,1.0,2.467005864427609e-06,0.840993674457742,410.3617425870784,,,,[],[],14,979.4905459851971,647.6027788021472,1243.2530620386058,"[18, 56, 111, 157, 187, 224, 257, 313, 364, 394, 434, 484, 531, 588]","[1124.4469089797421, 1190.0195828076096, 957.5101932235219, 783.6341721678242, 877.6524863993338, 1217.141469598425, 975.0991291385544, 938.0908675564814, 1064.406922762605, 647.6027788021472, 739.8038234270026, 1243.2530620386058, 1137.9656219072913, 816.2406249836145]","[0, 0, 101, 150, 150, 200, 250, 286, 349, 376, 402, 402, 497, 551]","[49, 200, 200, 182, 200, 402, 402, 349, 402, 402, 448, 551, 551, 597]",138472404.62296215,1120.8953201590998,-1120.8953201590998,0.0,,,,SWT,txu.059172014718829,70246571.62296215,,0.0,-61.0,72.0,0.0,-61.0,,365.8953201590998,619.6184529619413,17236.132356207243,619.6184529619411,,0.0,619.6184529619413,,,644.6027788021472,0.0,-70.0,488.2530620386058,365.8953201590998,,113.36174258707842,0.3349597641321784,0.7212115110946696,0.781950680356546,0.3569054443578956,0.39130434782608703,0.8612042760680259,0.0697082599108232,0.8310990063885256,0.6207242307213958,0.6207242307213958,0.6207242307213953,,0.34980529319283743,0.6917523797790546,0.3157682816220064,,,,,0.8,,0.19637832408109912,0.24657534246575344,0.140625,0.36631231264102343,0.36631231264102343,0.2573529411764706,2.1415491964415914,0.7336684302299327,12,1.6315296517756506,0.959723324573912,4,0,0.4588681347251416,0.7609770254102882,11,0,0.5024634691066038,0.8793110709365565,4,4.349329450233296,0.9589685900921388,7.75,5.932584269662921,0.9429276912724844,2,rbio,28.466666666666665,28.0,24.993904018684997,15,0.4375943905070118,0.6578235687825006,0.4963368560103415,1,1.75
raw,rbio2.6,2448893.683805835,0.6521739130434783,164.75475458420777,12.248399628810997,598,1,False,False,127.68255472206616,,9.36005284930236,72393.7455681639,1.0,2.493133983853153e-06,0.8375727108718061,408.89692583250917,,,,[],[],14,975.902651724744,672.3411581341863,1255.3313642714465,"[18, 56, 111, 157, 187, 224, 257, 313, 364, 404, 434, 484, 531, 588]","[1111.9350808913703, 1186.2779676711978, 954.5706764469953, 886.6318016678742, 784.6924154707231, 1189.9668001175833, 957.7913268644307, 934.4761380363226, 1055.4977398499866, 672.3411581341863, 732.8885573412164, 1255.3313642714465, 1134.3774347864505, 805.8586625966313]","[0, 0, 101, 150, 182, 200, 250, 286, 349, 402, 402, 402, 498, 551]","[49, 402, 200, 200, 200, 402, 402, 349, 402, 405, 448, 551, 551, 597]",138042933.90419388,1122.0569277650345,-1122.0569277650345,0.0,,,,SWT,txu.059172014718829,69817100.90419388,,0.0,-56.5,72.0,0.0,-61.0,,367.0569277650345,616.0305587014882,17286.362875853585,616.0305587014881,,0.0,616.0305587014882,,,669.3411581341863,0.0,-70.0,500.33136427144655,367.0569277650345,,111.89692583250917,0.30864340600405726,0.7214431106847888,0.7830094763411687,0.35564628151657457,0.36956521739130443,0.8582181362661303,0.06850847867776379,0.8642212897763126,0.6115673640875255,0.6115673640875255,0.6115673640875252,,0.30978964383241775,0.6997646380836908,0.33749745858590663,,,,,0.8,,0.17069327550158458,0.3082191780821918,0.140625,0.3694117149203886,0.3694117149203886,0.2573529411764706,2.1326692146251354,0.7306262576146245,13,1.6133035000750418,0.9490020588676715,5,0,0.4615492105101378,0.7654232637113811,10,0,0.49500487241168406,0.866258526720447,9,3.304037933599835,0.9688298308150959,9.25,8.196147110332749,0.9407828399358498,3,rbio,28.466666666666665,28.0,24.993904018684997,15,0.4375943905070118,0.6578235687825006,0.4963368560103415,1,2.5
raw,bior2.2,1496685.0290240708,0.68561872909699,134.71381202165202,13.427216882886114,598,1,False,False,127.53114119938503,,9.100402477730134,73940.34757248941,1.0,2.662499323247103e-06,0.9494996560420155,427.97637931315785,,,,[],[],14,891.1313209903466,440.7043013745157,1201.904751321834,"[18, 56, 111, 157, 187, 224, 257, 313, 364, 394, 434, 487, 531, 588]","[988.1817267082001, 1055.887201006812, 786.656294070034, 494.9747468305833, 859.1347391416551, 1201.904751321834, 1006.9200564096436, 862.139942961698, 946.2856499228973, 440.7043013745157, 745.4673240659178, 1200.6673144547578, 1067.7312395916867, 819.1832060046154]","[0, 0, 101, 150, 150, 0, 250, 289, 349, 385, 402, 402, 497, 551]","[48, 200, 150, 159, 200, 402, 402, 349, 402, 402, 448, 497, 551, 597]",140229615.5625,1109.2737629863964,-1109.2737629863964,0.0,,,,SWT,txu.059172014718829,72003782.5625,,0.0,-65.5,72.0,0.0,-56.5,,354.2737629863964,531.2592279670907,18473.161506135148,531.2592279670907,,0.0,531.2592279670907,,,437.7043013745157,0.0,-65.5,446.90475132183406,354.2737629863964,,130.97637931315785,0.301774512409945,0.8586301485242781,0.33050780976984206,0.05746783371573229,0.8043478260869567,0.9559185348472229,0.18817195681979046,0.5540820720987252,0.39521768554026615,0.39521768554026615,0.39521768554026615,,0.8309993569849576,0.8890706068125425,0.24138160513363793,,,,,0.8,,0.3014705838652576,0.18493150684931509,0.2109375,0.33530366513663173,0.33530366513663173,0.3235294117647059,2.211795864106581,0.757734075081936,8,1.5790735916819258,0.9288668186364268,7,0,0.44233307360022905,0.7335556363932666,16,0,0.4995455174533954,0.8742046555434418,5,4.83045891539648,0.9544296328736182,9.0,7.542087542087542,0.9347619862481298,4,bior,41.53333333333333,44.0,31.240693852425117,15,0.6384573894282631,0.8222350820376183,0.3064093027889303,2,3.5
raw,rbio2.4,2457147.414894699,0.6605351170568562,168.06465361650655,12.23722586646195,598,1,False,False,126.71670253268728,,9.362362276571698,72468.45806755597,1.0,2.5338811204774485e-06,0.8298716675297888,405.06170018533135,,,,[],[],14,966.0980558846029,664.1168985990967,1272.8916430268898,"[18, 56, 111, 157, 187, 224, 257, 313, 364, 404, 434, 484, 531, 588]","[1086.4474722062182, 1178.7028100641505, 951.3458828257635, 783.7394785976396, 894.0481364627411, 1139.392092447561, 924.4316309668508, 917.04015539476, 1043.2476672931025, 664.1168985990967, 755.3447219156174, 1272.8916430268898, 1131.35980135502, 783.26439122903]","[0, 0, 101, 150, 150, 200, 250, 286, 286, 402, 402, 402, 498, 551]","[49, 402, 200, 182, 200, 402, 402, 349, 402, 405, 450, 551, 551, 597]",137255798.6911621,1118.852850162783,-1118.852850162783,0.0,,,,SWT,txu.059172014718829,69029965.69116211,,0.0,-56.5,72.0,0.0,-61.0,,363.85285016278294,606.2259628613472,17423.62721761556,606.2259628613472,,0.0,606.2259628613472,,,661.1168985990967,0.0,-65.5,517.8916430268898,363.85285016278294,,108.06170018533135,0.26482739935545907,0.7201427434286353,0.7870341949728932,0.3582308880650281,0.47826086956521746,0.8514959390073632,0.07428912393293306,0.8532098063108962,0.5865445038832138,0.5865445038832138,0.5865445038832138,,0.20501951184366574,0.721659640762464,0.3690888525795888,,,,,0.8,,0.12361764193254395,0.3082191780821918,0.2109375,0.3608625926755403,0.3608625926755403,0.2573529411764706,2.0612771120610214,0.7061682008461602,20,1.645784780384985,0.9681086943441087,3,0,0.4521759835491817,0.7498789061248244,13,0,0.5048973083325042,0.8835702895818823,3,8.301606270274847,0.9216829597143882,9.75,5.040387722132472,0.9148509138194583,5,rbio,28.466666666666665,28.0,24.993904018684997,15,0.4375943905070118,0.6578235687825006,0.4963368560103415,1,4.0
raw,rbio2.2,2528754.7479707035,0.6705685618729097,175.86180518779864,12.170944123972925,598,1,False,False,124.54373832802627,,9.374219502040546,73019.96295710478,1.0,2.608971076290575e-06,0.8056539132491133,402.07859345220066,,,,[],[],13,942.0022146137865,654.6041026834463,1294.005409571382,"[18, 56, 111, 157, 208, 257, 313, 364, 404, 434, 484, 531, 588]","[1017.7034348227387, 1140.3864613586045, 927.7240969167503, 768.0947410638872, 1084.3482489495707, 830.4969145036002, 889.89388412327, 1037.6792013912586, 654.6041026834463, 800.0913229125786, 1294.005409571382, 1088.7676663319867, 712.2333053501502]","[0, 0, 101, 150, 101, 250, 286, 286, 402, 402, 402, 498, 551]","[49, 402, 200, 182, 402, 286, 315, 402, 405, 450, 551, 551, 597]",135188831.3125,1114.7538405405921,-1114.7538405405921,0.0,,,,SWT,txu.059172014718829,66962998.3125,,0.0,-57.0,73.0,0.0,-66.0,,359.75384054059214,582.1301215905307,18702.971210020776,582.1301215905306,,0.0,582.1301215905307,,,651.6041026834463,0.0,-70.5,539.005409571382,359.75384054059214,,105.07859345220066,0.166250603562491,0.712429083076723,0.8076981911500496,0.38065429633855874,0.6086956521739132,0.8303563980115574,0.1169600846010116,0.8404730979801172,0.5250481528397164,0.5250481528397164,0.5250481528397161,,0.12352743942893779,0.9257274983081438,0.4070730626759643,,,,,1.0,,0.0,0.3013698630136986,0.1328125,0.34992561214851015,0.34992561214851015,0.18382352941176472,2.0730024541994294,0.7101851589318715,17,1.6939137285736783,0.9964198403374577,2,0,0.44212876240248555,0.7332168111061065,17,0,0.5175777584163294,0.9057610772285762,2,8.660254037844387,0.9182994902090152,9.5,3.5789473684210527,0.9143384243497906,6,rbio,28.466666666666665,28.0,24.993904018684997,15,0.4375943905070118,0.6578235687825006,0.4963368560103415,1,4.75
raw,sym19,1835772.7086993454,0.6488294314381271,134.403816049472,10.707492686280855,598,1,False,False,129.1553368084777,,9.229930961977178,71508.30122012759,1.0,3.0915512755800233e-06,0.6437747809610318,417.64012972067616,,,,[],[],15,958.4722803689499,33.11308656316669,1450.1376340943116,"[9, 54, 111, 141, 185, 224, 257, 293, 335, 364, 408, 452, 493, 522, 568]","[1094.1216842314552, 1334.2267438692354, 1108.4421948186928, 33.11308656316669, 1033.1710395849532, 1170.3910394746542, 862.2819415728453, 845.9767770129317, 592.6002837784245, 1022.1045999869102, 967.7780506876431, 543.202288944067, 1365.8258017984153, 1450.1376340943116, 953.7110391165447]","[0, 49, 99, 140, 150, 99, 251, 263, 316, 299, 399, 448, 49, 49, 549]","[49, 99, 150, 150, 204, 299, 299, 299, 349, 399, 419, 471, 498, 549, 584]",136136499.64229307,1181.9671306289727,-1181.9671306289727,0.0,,,,SWT,txu.059172014718829,67910666.64229307,,0.0,-51.5,71.0,0.0,-56.0,,426.96713062897265,598.6001873456942,16571.91579446575,599.8064815307449,,0.0,598.6001873456942,,,30.11308656316669,0.0,-65.0,695.1376340943116,426.96713062897265,,120.64012972067616,0.37545635150417916,0.5421172157666067,0.5562415710402038,0.16365111348978095,0.32608695652173925,0.6890530172889276,3.174499830766329e-11,0.008357085746475534,0.5670823335103752,0.5670823335103752,0.5701609847112965,,0.5486352059030328,0.5858033531641609,0.6879589579801595,,,,,0.6000000000000001,,0.05667652304169317,0.3767123287671233,0.21875,0.5292641628253802,0.5292641628253802,0.3308823529411765,2.0307702098831797,0.6957169111586828,22,1.203909566713175,0.7081820980665734,32,0,0.44118784178047366,0.7316564086246513,18,0,0.37894374652045476,0.6631515564107957,33,7.41057802513857,0.9300888865552965,26.25,24.60582524271845,0.8412236885606672,7,sym,65.05263157894737,83.0,37.9948442177949,19,1.0,1.0,0.0,5,6.5
raw,bior4.4,1838627.785397216,0.6688963210702341,147.24637604917353,13.311337426421169,598,1,False,False,126.10737663516772,,9.22563394596098,71515.46425394152,1.0,2.7905164405130844e-06,0.9166692338656423,422.37189571284665,,,,[],[],14,878.9414905228047,434.62868747006166,1184.9603822876695,"[18, 56, 111, 157, 187, 224, 257, 313, 364, 394, 434, 487, 531, 588]","[1005.6371600284712, 1069.9530733343086, 804.7754671244621, 524.6241709898284, 856.4765801824908, 1184.9603822876695, 976.1952825942785, 803.5887736425269, 970.0509115361176, 434.62868747006166, 733.923999862431, 1115.9276699206598, 1042.6664132013207, 781.7722951446367]","[0, 0, 101, 150, 150, 0, 250, 289, 349, 385, 402, 402, 497, 551]","[48, 200, 150, 159, 200, 402, 402, 349, 402, 402, 448, 497, 551, 597]",136790026.09106222,1085.7514021081647,-1085.7514021081647,0.0,,,,SWT,txu.059172014718829,68564193.09106222,,0.0,-65.5,72.0,0.0,-56.5,,330.7514021081647,519.0693974995488,18643.819132680735,519.0693974995487,,0.0,519.0693974995488,,,431.62868747006166,0.0,-65.5,429.9603822876695,330.7514021081647,,125.37189571284665,0.2371852529996601,0.845144462491163,0.5487530128808631,0.16454516368964867,0.5869565217391306,0.9272610446661104,0.0005542173014933439,0.5459474161135015,0.3641073339585354,0.3641073339585354,0.3641073339585351,,0.6778968956042348,0.9162921644465571,0.21089824859997747,,,,,0.8,,0.09576151266048605,0.18493150684931509,0.2109375,0.2725412843209716,0.2725412843209716,0.3235294117647059,1.9752145328186212,0.6766842191009698,28,1.5408000551625456,0.9063529736250268,13,0,0.4002570876111664,0.663777728022399,37,0,0.4729142393954385,0.8275999189420172,13,11.84271928232701,0.8882762331855942,22.75,18.46828933836133,0.8368267958380802,8,bior,41.53333333333333,44.0,31.240693852425117,15,0.6384573894282631,0.8222350820376183,0.3064093027889303,2,6.5
raw,bior6.8,1759010.5298195134,0.6722408026755853,144.02694131301902,13.31941445227104,598,1,False,False,127.01028903842678,,9.20390713524613,71735.83774459716,1.0,3.0641969293784437e-06,0.9156907594226136,427.9700131373257,,,,[],[],15,885.5729675599341,425.30783041186237,1221.0560172491316,"[18, 54, 111, 141, 185, 224, 257, 291, 320, 364, 394, 434, 493, 529, 588]","[1013.8460228221265, 1073.712099310946, 812.4984937078519, 679.3124856473976, 863.3723580735336, 1221.0560172491316, 1001.2883456199671, 806.4902749931027, 765.896661252345, 958.7691427835969, 425.30783041186237, 733.7543321221987, 1149.7434422898787, 1020.4926780247638, 758.0543290903092]","[0, 0, 99, 131, 150, 0, 250, 289, 315, 349, 385, 402, 349, 498, 547]","[49, 200, 150, 150, 200, 349, 349, 349, 349, 402, 402, 448, 498, 547, 597]",136571058.4058455,1093.880474767708,-1093.880474767708,0.0,,,,SWT,txu.059172014718829,68345225.4058455,,0.0,-56.0,71.0,0.0,-60.5,,338.88047476770794,525.7008745366784,17665.40548660099,525.7008745366783,,0.0,525.7008745366784,,,422.30783041186237,0.0,-65.0,466.0560172491316,338.88047476770794,,130.97001313732568,0.2781459882957534,0.8460844413106674,0.5108889497631447,0.13961349606921175,0.6304347826086958,0.9264069398485444,0.01760492479340116,0.5334676952411285,0.3810318992903186,0.3810318992903186,0.38103189929031833,,0.8308254467268505,0.7602256352454646,0.27583522604779903,,,,,0.6000000000000001,,0.08266586868208924,0.31506849315068497,0.21875,0.2942312820460119,0.2942312820460119,0.2647058823529412,1.9417606448887883,0.6652233283199637,34,1.5461243430915614,0.9094849077009184,12,0,0.4009358935292814,0.6649034451278315,32,0,0.4784542175270599,0.8372948806723547,12,12.151817422372122,0.8853602129964894,22.5,17.59568733153639,0.8365480310265465,9,bior,41.53333333333333,44.0,31.240693852425117,15,0.6384573894282631,0.8222350820376183,0.3064093027889303,2,7.25
raw,sym15,1843202.6454797296,0.6471571906354515,133.04468938452868,10.762385620500634,598,1,False,False,129.054272769668,,9.228863205383965,71508.3012200551,1.0,3.0770734376594095e-06,0.6508509577948305,414.7194543352399,,,,[],[],15,961.5843450305858,28.41546912394358,1423.6167233747124,"[9, 54, 111, 141, 185, 224, 257, 293, 335, 364, 408, 452, 493, 522, 568]","[1081.1423755646058, 1397.650663748031, 1115.6014446287265, 28.41546912394358, 1022.2440454673365, 1186.6892435272634, 888.1210798577877, 827.6285327767928, 614.0322781023441, 1038.3662060538586, 977.1009688620658, 545.1245047629366, 1339.5036521747593, 1423.6167233747124, 938.5279874336253]","[0, 49, 99, 140, 150, 99, 251, 286, 316, 299, 399, 448, 99, 49, 549]","[49, 498, 150, 150, 204, 299, 299, 299, 349, 399, 419, 471, 498, 549, 584]",136100881.40718478,1164.70753506411,-1164.70753506411,0.0,,,,SWT,txu.059172014718829,67875048.40718478,,0.0,-51.5,71.0,0.0,-56.0,,409.70753506411006,601.7122520073301,16525.234824541214,603.1079075155122,,0.0,601.7122520073301,,,25.41546912394358,0.0,-65.0,668.6167233747124,409.70753506411006,,117.7194543352399,0.37087156860974047,0.5485054824957342,0.554380754762545,0.16597775377529814,0.30434782608695654,0.6952297721002118,2.6136846629334834e-11,0.002067432977353234,0.5750248086765698,0.5750248086765698,0.5785867395551114,,0.46884862389223836,0.5783572826958541,0.6402471561755088,,,,,0.6000000000000001,,0.05454632869061674,0.3767123287671233,0.21875,0.4832120970836008,0.4832120970836008,0.3308823529411765,1.9492183749911782,0.6677782549807149,32,1.2003750536346063,0.7061029727262389,33,0,0.42610514694395185,0.7066435925598739,23,0,0.3770447368366605,0.6598282894641558,35,5.315072906367325,0.9498578027701196,30.75,29.939510270927066,0.829881731573739,10,sym,65.05263157894737,83.0,37.9948442177949,19,1.0,1.0,0.0,5,8.75
