amplitude_max,amplitude_max_diff,avg_prominence,avg_prominence_diff,avg_variance_across_levels,correlation,decomposition_levels,dominant_frequency,dominant_frequency_diff,dynamic_cutoff,dynamic_cutoff_diff,emd_value,frequency_max,frequency_max_diff,htid,kl_divergence,lower_envelope,lower_envelope_diff,max_autocorrelation,max_autocorrelation_diff,num_fft_peaks,num_fft_peaks_diff,original_level,padded,positive_amplitudes,positive_amplitudes_dtw,positive_amplitudes_euclidean,positive_amplitudes_wasserstein,positive_frequencies,positive_frequencies_dtw,positive_frequencies_euclidean,positive_frequencies_wasserstein,prominence_max,prominence_max_diff,prominence_min,prominence_min_diff,relative_left_bases,relative_left_bases_array_alignment_score,relative_left_bases_global_alignment_score,relative_num_peaks,relative_num_peaks_diff,relative_peaks,relative_peaks_array_alignment_score,relative_peaks_global_alignment_score,relative_prominences,relative_prominences_avg_diff,relative_prominences_total_diff,relative_prominences_wasserstein,relative_right_bases,relative_right_bases_array_alignment_score,relative_right_bases_global_alignment_score,signal_length,signal_type,smoothness,spectral_bandwidth,spectral_bandwidth_diff,spectral_centroid,spectral_centroid_diff,spectral_magnitude,spectral_magnitude_diff,upper_envelope,upper_envelope_diff,variance_ratio_across_levels,wavelet,wavelet_adaptive_threshold,wavelet_energy_entropy,wavelet_entropy,wavelet_psnr,wavelet_sparsity,wavelet_type,emd_value_normalized,wavelet_psnr_normalized,wavelet_entropy_normalized,wavelet_energy_entropy_normalized,wavelet_sparsity_normalized,correlation_normalized,avg_variance_across_levels_normalized,prominence_min_diff_normalized,positive_amplitudes_dtw_normalized,positive_amplitudes_euclidean_normalized,positive_amplitudes_wasserstein_normalized,avg_prominence_diff_normalized,relative_prominences_avg_diff_normalized,relative_prominences_wasserstein_normalized,spectral_centroid_diff_normalized,spectral_magnitude_diff_normalized,dynamic_cutoff_diff_normalized,relative_prominences_total_diff_normalized,prominence_max_diff_normalized,amplitude_max_diff_normalized,spectral_bandwidth_diff_normalized,num_fft_peaks_diff_normalized,relative_num_peaks_diff_normalized,dominant_frequency_diff_normalized,max_autocorrelation_diff_normalized,relative_right_bases_global_alignment_score_normalized,relative_left_bases_global_alignment_score_normalized,upper_envelope_diff_normalized,lower_envelope_diff_normalized,relative_peaks_global_alignment_score_normalized,reconstruction_weighted_score,reconstruction_normalized_weighted_score,reconstruction_normalized_weighted_rank,signal_weighted_score,signal_normalized_weighted_score,signal_normalized_weighted_rank,reconstruction_missing_metrics_count,reconstruction_dynamically_weighted_score,reconstruction_normalized_dynamically_weighted_score,reconstruction_normalized_dynamically_weighted_rank,signal_missing_metrics_count,signal_dynamically_weighted_score,signal_normalized_dynamically_weighted_score,signal_normalized_dynamically_weighted_rank,rank_variability,normalized_rank_stability,average_rank,harmonic_average_rank,stability_score_weighted,stability_rank,wavelet_family,family_mean_stability_rank,family_median_stability_rank,family_rank_std_dev,family_wavelet_count,normalized_family_mean_rank,normalized_family_std_dev,final_family_stability_score,final_family_stability_rank,family_informed_rank,top_wavelet_rank
,,1282.6475068985728,710.9332211842872,276299.4419590476,0.17608546220109134,1,,,707.4603345771407,599.8603345771406,240.75333575282104,,,uva.x030718197,,-2051.493548917471,951.4935489174709,160890921.6875,89563118.6875,,,False,False,[],,,,[],,,,2195.920108974823,1105.920108974823,82.9082700941226,77.9082700941226,"[3, 13, 20, 9, 45, 60, 76, 93, 9, 124, 9, 143, 143, 171, 183, 193]",0.0,-20.0,16,12.0,"[5, 14, 25, 35, 53, 65, 81, 98, 116, 126, 139, 152, 163, 173, 186, 195]",0.0,-20.0,"[1558.1097923445575, 125.3346769653158, 82.9082700941226, 1937.8261338417333, 1358.1753499640608, 1638.3664120092308, 1421.81496027085, 1703.5970125736894, 1924.2143283038924, 550.6594058490239, 2195.920108974823, 1861.8121548641793, 2042.1243840667494, 1644.7303730399096, 259.861742086056, 216.90500512897344]",710.9332211842872,4514.360110377165,710.9332211842873,"[9, 20, 26, 106, 60, 106, 93, 106, 124, 127, 143, 161, 193, 193, 193, 196]",0.0,-20.0,198,raw,1.2589892641404753e-06,,,,,0.0,461643.6363297075,2051.493548917471,951.4935489174709,1.0,rbio3.1,326.5630540447051,5334094.986788003,7.745866383912015,5.054671978066295,0.6262626262626263,SWT,0.8074874030578422,0.008798152434029177,1.0,1.0,0.11538461538461531,0.2763530234441219,1.0,0.07329157505491884,,,,0.8638846231721313,0.8638846231721313,0.8595969971034184,,1.0,0.8863285520355588,0.7963350776758136,0.7140316883306105,,,,0.4,,1.0,0.023255813953488358,0.024999999999999994,0.8294956083808964,0.8294956083808964,0.008474576271186446,3.5948637445737166,0.886103843189001,4,1.804220167909265,1.0,1,0.3478260869565216,0.5941470118875773,0.9162387329695284,2,0,0.6011461706172299,1.0,1,1.4142135623730951,0.9866583626191218,2.0,1.4545454545454546,0.98389521904541,1,rbio,30.666666666666668,8.0,39.37124887649919,15,0.42592592592592593,1.0,0.40185185185185185,2,1.25,1
15373.98942246089,3995.389150594232,1076.8451810575916,505.13089534330595,233167.42964437566,0.8457931610806771,1,0.015151515151515152,0.06060606060606061,120.05503984226395,12.4550398422639,216.69067430232295,0.494949494949495,0.0,uva.x030718197,,-1923.7437294060617,823.7437294060617,144975136.00449336,73647333.00449336,16.0,1.0,False,False,"[142774.7586165006, 8892.45359298773, 12743.344233372332, 7242.561725594538, 15373.98942246089, 5445.381015913383, 13574.687593332885, 5693.116594614338, 14903.294800606549, 8484.280934619503, 6532.951117009183, 4676.875798696558, 13663.345778428158, 6562.267508915677, 7681.766233307348, 1491.2029267033768, 15054.173632924181, 8395.654793709164, 1015.9538655429269, 11430.268098676166, 3452.958896696821, 7826.184317346325, 12516.40636730962, 7982.219837488357, 5606.288340093879, 1216.0325711774751, 4152.465065869158, 6887.060903054097, 2305.9379571598083, 3627.7733987316456, 3153.518272223185, 3475.443024556941, 4911.9175009819455, 3628.6726724348136, 5184.074632230938, 725.976353427596, 3730.4040503751553, 627.53692008337, 4131.429272354801, 3416.4141596842674, 1797.790858859801, 863.3078619514306, 3369.774196064764, 4747.035622671355, 3915.200363762363, 1994.5539048273804, 1897.8986921136818, 4001.77678130711, 3960.126187590985, 2613.158265395173, 3498.157663244303, 10001.480814536353, 6299.31022655359, 2472.6393763600163, 7632.333012655131, 6892.551142833533, 4405.115467774533, 8028.492506939746, 13219.584395405342, 10968.935514685756, 9107.202962377218, 6051.071766725469, 9113.833606224327, 11473.241324366503, 9625.275906531851, 3953.1982617443978, 10595.42449283316, 1281.4310107574167, 4375.198704166918, 1912.1617061316356, 2647.351384491588, 4990.662675091936, 7590.926483256636, 5906.97491495933, 4870.879930147325, 2373.7905350350916, 6271.605223124287, 5151.634505881674, 4530.048747635506, 1573.4455815946665, 4919.3187863681815, 6040.174437540378, 3270.4588951242213, 3351.0926235387083, 1711.6528822391135, 3252.562985516574, 1689.4593716740278, 2085.7804261410492, 4095.2598466432087, 3294.524682995545, 168.1938811958217, 2111.2281412258326, 535.6425631597151, 1869.0631358627145, 2682.8510048919743, 862.9088770107461, 909.4750590584675, 1704.9426643753088, 7136.105670744244]",186647.14381378287,47597.858097374185,2082.956413953567,"[0.0, 0.005050505050505051, 0.010101010101010102, 0.015151515151515152, 0.020202020202020204, 0.025252525252525256, 0.030303030303030304, 0.03535353535353536, 0.04040404040404041, 0.045454545454545456, 0.05050505050505051, 0.05555555555555556, 0.06060606060606061, 0.06565656565656566, 0.07070707070707072, 0.07575757575757576, 0.08080808080808081, 0.08585858585858587, 0.09090909090909091, 0.09595959595959597, 0.10101010101010102, 0.10606060606060606, 0.11111111111111112, 0.11616161616161617, 0.12121212121212122, 0.12626262626262627, 0.13131313131313133, 0.13636363636363638, 0.14141414141414144, 0.14646464646464646, 0.15151515151515152, 0.15656565656565657, 0.16161616161616163, 0.16666666666666669, 0.17171717171717174, 0.1767676767676768, 0.18181818181818182, 0.18686868686868688, 0.19191919191919193, 0.196969696969697, 0.20202020202020204, 0.2070707070707071, 0.21212121212121213, 0.21717171717171718, 0.22222222222222224, 0.2272727272727273, 0.23232323232323235, 0.2373737373737374, 0.24242424242424243, 0.2474747474747475, 0.25252525252525254, 0.2575757575757576, 0.26262626262626265, 0.2676767676767677, 0.27272727272727276, 0.2777777777777778, 0.2828282828282829, 0.2878787878787879, 0.29292929292929293, 0.297979797979798, 0.30303030303030304, 0.3080808080808081, 0.31313131313131315, 0.31818181818181823, 0.32323232323232326, 0.3282828282828283, 0.33333333333333337, 0.3383838383838384, 0.3434343434343435, 0.3484848484848485, 0.3535353535353536, 0.3585858585858586, 0.36363636363636365, 0.36868686868686873, 0.37373737373737376, 0.37878787878787884, 0.38383838383838387, 0.3888888888888889, 0.393939393939394, 0.398989898989899, 0.4040404040404041, 0.4090909090909091, 0.4141414141414142, 0.4191919191919192, 0.42424242424242425, 0.42929292929292934, 0.43434343434343436, 0.43939393939393945, 0.4444444444444445, 0.44949494949494956, 0.4545454545454546, 0.4595959595959596, 0.4646464646464647, 0.4696969696969697, 0.4747474747474748, 0.47979797979797983, 0.48484848484848486, 0.48989898989898994, 0.494949494949495]",0.0,0.0,0.0,1971.443183116768,881.4431831167681,71.80564919687026,66.80564919687026,"[2, 15, 11, 38, 49, 63, 63, 78, 98, 105, 105, 126, 105, 149, 105, 170, 186]",0.0,-6.0,17,11.0,"[7, 17, 28, 39, 52, 64, 73, 90, 99, 109, 118, 131, 141, 153, 165, 175, 187]",0.0,7.5,"[1710.9195642242987, 71.80564919687026, 1462.7983237865894, 197.03929241128526, 216.15935792080916, 408.4741032534513, 1340.9520517840272, 1226.3247513371732, 1321.3235374836609, 1122.7749967729314, 1499.9035190741401, 754.3963598300586, 1841.666732731888, 1094.8053500637293, 1971.443183116768, 1560.272717359569, 505.30858763181027]",505.13089534330595,2298.3680779790593,505.130895343306,"[105, 22, 105, 63, 53, 65, 105, 105, 105, 113, 132, 132, 149, 163, 195, 195, 195]",0.0,-10.5,198,raw,1.3119625858505687e-06,0.15155091555092742,0.005730737142198433,0.16358751138646146,0.013384487153005636,667856.3213111107,206212.68498140323,1923.7437294060617,823.7437294060617,1.0,rbio2.8,253.29858485422812,2371506.431774851,7.5131864779803275,10.39241476379682,0.7070707070707071,SWT,0.1500041709333509,0.682366004722057,0.6868140620246139,0.35699383047367594,0.7307692307692306,0.8645596022054374,0.1365475022514864,0.05124227929436978,0.2612936266263451,1.0,0.6826630174914705,0.3366575986906193,0.3366575986906193,0.3157623535051045,1.0,0.11834792102569466,0.017554008498514857,0.4032935175621231,0.46910970540504604,0.08074043812333426,0.8046150546970748,1.0,0.2,1.0,0.2833363491305477,0.17054263565891473,0.2583333333333333,0.6157897096037706,0.6157897096037706,0.47457627118644075,4.056932798797209,1.0,1,1.6690753344528462,0.925095154205584,2,0.0,0.4563610925272651,0.703757993943912,16,0,0.515436343339979,0.857422651151137,2,7.182153808805081,0.9322438319924049,5.25,1.9393939393939394,0.9413577650528062,2,rbio,30.666666666666668,8.0,39.37124887649919,15,0.42592592592592593,1.0,0.40185185185185185,2,2.0,2
,,1255.2687792359811,683.5544935216955,246302.50918271003,0.2912101926379843,1,,,699.136508675828,591.536508675828,227.95419938008152,,,uva.x030718197,,-1894.1884440774265,794.1884440774265,149012136.3080703,77684333.3080703,,,False,False,[],,,,[],,,,2155.8376333344804,1065.8376333344804,104.24663281105722,99.24663281105722,"[3, 23, 23, 47, 61, 61, 84, 61, 114, 124, 106, 150, 161, 161, 178, 193]",0.0,-20.0,16,12.0,"[8, 27, 37, 53, 65, 74, 91, 101, 116, 126, 139, 152, 163, 173, 186, 195]",0.0,-20.0,"[1782.0894042719724, 1087.8737701129962, 1496.3195183154687, 918.9706294134654, 361.46017713749393, 1520.7239381581996, 1173.2925627572668, 1857.8965683267081, 1323.701132245353, 541.6867801282791, 2155.8376333344804, 1533.4736120394869, 1721.0005401188505, 1869.6816525742356, 636.0459160303838, 104.24663281105722]",683.5544935216955,4076.300467775698,683.5544935216953,"[61, 32, 61, 61, 70, 96, 96, 106, 124, 130, 161, 161, 165, 197, 197, 197]",0.0,-6.5,198,raw,1.1344086444481877e-06,,,,,0.0,461643.6363297075,1894.1884440774265,794.1884440774265,1.0,rbio3.7,291.4342806815345,3559050.6835640124,7.634769273629109,6.217847616511997,0.6767676767676768,SWT,0.4577664227721504,0.15557887006548016,0.8504638698774356,0.6147408197387997,0.49999999999999994,0.3774674707386559,0.3994964496077459,0.11566858449671676,,,,0.7937454492796491,0.7937454492796491,0.7872484435109495,,1.0,0.8740175835905798,0.7186382074553006,0.6702985546159852,,,,0.4,,0.46511633999908486,0.23255813953488372,0.024999999999999994,0.5663482400273202,0.5663482400273202,0.008474576271186446,3.1251477460192185,0.7703227785645738,23,1.4740651618176115,0.8170095801144723,13,0.3478260869565216,0.5170892161914157,0.7974073062662745,10,0,0.4793591289714669,0.7974086044319013,6,7.2571803523590805,0.9315360344117067,13.0,10.33410138248848,0.9044472624888722,3,rbio,30.666666666666668,8.0,39.37124887649919,15,0.42592592592592593,1.0,0.40185185185185185,2,2.75,3
,,1258.0581102696988,686.3438245554131,246365.05940086071,0.28363047830543076,1,,,693.5640290453066,585.9640290453066,226.58515975214834,,,uva.x030718197,,-1921.1455953589775,821.1455953589775,149036906.194458,77709103.19445801,,,False,False,[],,,,[],,,,2183.4352548694987,1093.4352548694987,137.0737543873579,132.0737543873579,"[3, 23, 23, 47, 61, 61, 84, 61, 114, 124, 106, 150, 161, 161, 178, 193]",0.0,-20.0,16,12.0,"[8, 27, 41, 53, 65, 74, 91, 101, 116, 126, 139, 152, 163, 173, 186, 195]",0.0,-20.0,"[1705.803959129034, 1109.6135056976696, 1517.9096669797566, 940.2420966524433, 358.83183222939704, 1475.3230562284512, 1192.5217757917924, 1831.749068120295, 1380.9325873476391, 548.1458622127748, 2183.4352548694987, 1542.150171322308, 1759.8396230366602, 1850.6310288866675, 594.7265214234385, 137.0737543873579]",686.3438245554131,4120.92976431518,686.3438245554132,"[61, 32, 61, 61, 70, 96, 96, 106, 124, 130, 161, 161, 165, 196, 196, 196]",0.0,-20.0,198,raw,1.1673147496361519e-06,,,,,0.0,461643.6363297075,1921.1455953589775,821.1455953589775,1.0,rbio3.5,294.2298553938979,3559943.922538028,7.6358058501728205,6.181621246580695,0.6616161616161617,SWT,0.4203590644326853,0.15100747740563716,0.8518590964906907,0.6149346901195455,0.38461538461538464,0.3708101815317401,0.40074863190109455,0.18086174197744134,,,,0.8008911931151059,0.8008911931151059,0.7946192778414214,,1.0,0.8657758661754161,0.7265539255996805,0.7004097304731425,,,,0.4,,0.46623169035399625,0.023255813953488358,0.024999999999999994,0.6114434289295659,0.6114434289295659,0.008474576271186446,3.163762496337253,0.779840991518331,20,1.4125787782975934,0.7829303781336694,22,0.3478260869565216,0.5169988201011818,0.7972679057517148,11,0,0.4563335037852541,0.7591057318334264,13,5.32290647422377,0.9497839011865682,16.5,15.192563081009293,0.8970617619140389,4,rbio,30.666666666666668,8.0,39.37124887649919,15,0.42592592592592593,1.0,0.40185185185185185,2,3.5,4
15373.955373384491,3995.3551015178327,1059.5875694323943,487.8732837181086,232358.9217303341,0.8451188267971398,1,0.015151515151515152,0.06060606060606061,117.81697178423971,10.21697178423966,215.65533807936603,0.494949494949495,0.0,uva.x030718197,,-1921.4839570023187,821.4839570023187,144104393.05583572,72776590.05583572,17.0,0.0,False,False,"[142774.7586165006, 8892.453588031827, 12743.343781579393, 7242.55883014031, 15373.955373384491, 5445.3358404749, 13574.35873380884, 5692.777873552405, 14901.378540249767, 8482.144882173026, 6529.974500400937, 4673.260553662824, 13646.371210182559, 6549.756720567084, 7660.175285558655, 1485.2378642923763, 14971.11878185357, 8333.553038132128, 1006.1348755125128, 11289.315347148286, 3399.8203605392305, 7678.99491685659, 12234.443169338103, 7771.013976245517, 5435.432039818018, 1174.193900201507, 3994.5443086532237, 6604.160403079298, 2206.2855628692614, 3467.9282186973514, 3017.3210190815917, 3335.8597500216338, 4741.966895887161, 3533.3582145550517, 5105.207059142644, 724.5951213125638, 3777.826246638081, 644.6391216249939, 4297.341105332802, 3587.407404272709, 1898.5832977029415, 913.3783772203034, 3559.273223891782, 4991.616742429272, 4090.3613721218003, 2067.7757141244037, 1951.2843286899858, 4079.880170380494, 4004.669716355003, 2622.4829094791808, 3486.3690191100095, 9906.624695174665, 6206.455445134451, 2425.316827438692, 7459.071845334898, 6717.024259788973, 4284.049655859436, 7797.212050422425, 12829.60155627647, 10643.971041354285, 8840.816139330991, 5878.977146072707, 8865.353086025056, 11177.365195676457, 9393.511387806579, 3865.442784040161, 10381.310196254777, 1258.1555127724025, 4304.686504359391, 1885.1778259405487, 2615.0830769923778, 4938.859228000839, 7524.808374726577, 5864.4639416836835, 4842.383598953934, 2362.693552048322, 6248.601343191301, 5137.093838392315, 4520.412277601468, 1570.9789027488052, 4913.7714596461865, 6035.402573726492, 3268.700339293745, 3349.9046759185544, 1711.2667857020958, 3252.114334256845, 1689.3231407865565, 2085.687049729535, 4095.1639738963627, 3294.4870963467943, 168.19302184115747, 2111.2237854260384, 535.6421713564082, 1869.0627265652838, 2682.850865077023, 862.9088693225448, 909.4750582352592, 1704.9426643144611, 7136.105670743242]",183171.0621344949,47241.96473066853,2034.7885770177666,"[0.0, 0.005050505050505051, 0.010101010101010102, 0.015151515151515152, 0.020202020202020204, 0.025252525252525256, 0.030303030303030304, 0.03535353535353536, 0.04040404040404041, 0.045454545454545456, 0.05050505050505051, 0.05555555555555556, 0.06060606060606061, 0.06565656565656566, 0.07070707070707072, 0.07575757575757576, 0.08080808080808081, 0.08585858585858587, 0.09090909090909091, 0.09595959595959597, 0.10101010101010102, 0.10606060606060606, 0.11111111111111112, 0.11616161616161617, 0.12121212121212122, 0.12626262626262627, 0.13131313131313133, 0.13636363636363638, 0.14141414141414144, 0.14646464646464646, 0.15151515151515152, 0.15656565656565657, 0.16161616161616163, 0.16666666666666669, 0.17171717171717174, 0.1767676767676768, 0.18181818181818182, 0.18686868686868688, 0.19191919191919193, 0.196969696969697, 0.20202020202020204, 0.2070707070707071, 0.21212121212121213, 0.21717171717171718, 0.22222222222222224, 0.2272727272727273, 0.23232323232323235, 0.2373737373737374, 0.24242424242424243, 0.2474747474747475, 0.25252525252525254, 0.2575757575757576, 0.26262626262626265, 0.2676767676767677, 0.27272727272727276, 0.2777777777777778, 0.2828282828282829, 0.2878787878787879, 0.29292929292929293, 0.297979797979798, 0.30303030303030304, 0.3080808080808081, 0.31313131313131315, 0.31818181818181823, 0.32323232323232326, 0.3282828282828283, 0.33333333333333337, 0.3383838383838384, 0.3434343434343435, 0.3484848484848485, 0.3535353535353536, 0.3585858585858586, 0.36363636363636365, 0.36868686868686873, 0.37373737373737376, 0.37878787878787884, 0.38383838383838387, 0.3888888888888889, 0.393939393939394, 0.398989898989899, 0.4040404040404041, 0.4090909090909091, 0.4141414141414142, 0.4191919191919192, 0.42424242424242425, 0.42929292929292934, 0.43434343434343436, 0.43939393939393945, 0.4444444444444445, 0.44949494949494956, 0.4545454545454546, 0.4595959595959596, 0.4646464646464647, 0.4696969696969697, 0.4747474747474748, 0.47979797979797983, 0.48484848484848486, 0.48989898989898994, 0.494949494949495]",0.0,0.0,0.0,1961.012883352165,871.0128833521651,50.78048679189078,45.78048679189078,"[0, 16, 11, 38, 49, 63, 63, 78, 98, 105, 105, 126, 105, 148, 105, 173, 186]",0.0,-1.5,17,11.0,"[7, 17, 28, 39, 52, 64, 73, 90, 99, 109, 118, 131, 141, 153, 165, 175, 187]",0.0,7.5,"[1674.2479379506517, 50.78048679189078, 1452.7743601026061, 203.5376486150974, 232.060844614796, 401.886625009652, 1327.6109355608592, 1187.5264530817303, 1300.2575040995685, 1087.7636299454189, 1488.316143332754, 746.9312560738429, 1781.066637151577, 1081.887185894738, 1961.012883352165, 1521.923050390163, 513.4050983831897]",487.8732837181086,2004.9886803507034,487.8732837181085,"[105, 22, 105, 63, 53, 65, 105, 105, 105, 113, 132, 132, 148, 163, 195, 195, 195]",0.0,-6.0,198,raw,1.3517068264500251e-06,0.1517048939181254,0.005884715509396399,0.1630544865338898,0.012851462300433963,663087.7054544666,201444.06912475912,1921.4839570023187,821.4839570023187,1.0,rbio2.6,237.17530445947847,2319751.3438716615,7.508814887542579,10.457171630292855,0.6767676767676768,SWT,0.12171485607075139,0.6905376505351977,0.6809299241305045,0.34576080225927364,0.49999999999999994,0.8639673320814347,0.12036211834833047,0.009487271303806166,0.21664812127668187,0.860310144159034,0.5877202697653637,0.2924468290133092,0.2924468290133092,0.27015894727927203,0.9601759225827358,0.10188844318384449,0.014243897791405152,0.3512579982717956,0.45772942793960186,0.0807255187582922,0.8262341430047319,0.0,0.2,1.0,0.24412811694003203,0.24031007751937986,0.33333333333333337,0.61200945618016,0.61200945618016,0.47457627118644075,3.443480998910788,0.8487892626497793,9,1.557914190509139,0.8634834141746979,5,0.0,0.3929495858557692,0.605970615793513,28,0,0.47475324048935613,0.7897467599301196,8,10.472185381603339,0.901205798286761,12.5,8.47771236333053,0.8916406349924371,5,rbio,30.666666666666668,8.0,39.37124887649919,15,0.42592592592592593,1.0,0.40185185185185185,2,4.25,5
15371.527192243164,3992.926920376505,1155.0741188154775,583.3598331011918,231773.34876391263,0.840102511285203,1,0.015151515151515152,0.06060606060606061,108.18623266719624,0.5862326671961853,214.8819902802797,0.494949494949495,0.0,uva.x030718197,,-1915.6075129516375,815.6075129516375,142559855.98535156,71232052.98535156,17.0,0.0,False,False,"[142774.7586165006, 8892.447961621998, 12743.21542290504, 7242.192604215657, 15371.527192243164, 5443.2677462733145, 13563.865280192036, 5684.802566267647, 14866.660833898808, 8451.394048579725, 6495.046339906074, 4637.959758175564, 13506.061823865924, 6460.942452731045, 7526.908881434204, 1452.885528701422, 14571.665378788497, 8066.587774238733, 968.147182346261, 10795.651907402602, 3230.499225557908, 7250.54421910117, 11482.258832798205, 7253.52015374117, 5050.510553235322, 1087.5480292215123, 3694.512788103874, 6113.25195844612, 2049.607764446727, 3243.3869634531347, 2850.635359717507, 3194.3449568338406, 4616.131042264753, 3504.17747022006, 5162.848275627246, 746.7914068191262, 3959.7422299632663, 684.870718526734, 4608.500862219273, 3866.3552881428527, 2047.9077913767064, 982.5245117899201, 3807.555572469946, 5299.549570247968, 4304.318554862756, 2155.1937506369363, 2013.9459275890779, 4170.438871035863, 4055.891172779404, 2633.1534036002777, 3472.904108458772, 9798.189578910911, 6099.952009132668, 2370.727076561113, 7257.599365655884, 6510.82298051476, 4140.054042609534, 7518.094353567704, 12351.01979847257, 10237.568077816453, 8500.561734657249, 5653.966001004677, 8532.026029222117, 10769.18733111976, 9063.905025376387, 3736.465909153009, 10055.257025178784, 1221.3338060795072, 4188.478996432997, 1838.7163112045907, 2556.8599528223635, 4840.597662911093, 7392.527161030639, 5774.439802385033, 4778.270768820438, 2336.063076320756, 6189.468518824774, 5096.874732705254, 4491.591618139261, 1562.9597852080103, 4894.055595336633, 6016.74474283068, 3261.0836443504936, 3344.1613319811413, 1709.1652961166117, 3249.3385978594047, 1688.354574762428, 2084.914490600553, 4094.227310081295, 3294.0459087882646, 168.18064840527586, 2111.144862995201, 535.6329458647389, 1869.049666255568, 2682.844464432394, 862.9083210441894, 909.4749541132077, 1704.9426470267545, 7136.105669606653]",177264.17204987688,46712.551126063496,1948.9467526076546,"[0.0, 0.005050505050505051, 0.010101010101010102, 0.015151515151515152, 0.020202020202020204, 0.025252525252525256, 0.030303030303030304, 0.03535353535353536, 0.04040404040404041, 0.045454545454545456, 0.05050505050505051, 0.05555555555555556, 0.06060606060606061, 0.06565656565656566, 0.07070707070707072, 0.07575757575757576, 0.08080808080808081, 0.08585858585858587, 0.09090909090909091, 0.09595959595959597, 0.10101010101010102, 0.10606060606060606, 0.11111111111111112, 0.11616161616161617, 0.12121212121212122, 0.12626262626262627, 0.13131313131313133, 0.13636363636363638, 0.14141414141414144, 0.14646464646464646, 0.15151515151515152, 0.15656565656565657, 0.16161616161616163, 0.16666666666666669, 0.17171717171717174, 0.1767676767676768, 0.18181818181818182, 0.18686868686868688, 0.19191919191919193, 0.196969696969697, 0.20202020202020204, 0.2070707070707071, 0.21212121212121213, 0.21717171717171718, 0.22222222222222224, 0.2272727272727273, 0.23232323232323235, 0.2373737373737374, 0.24242424242424243, 0.2474747474747475, 0.25252525252525254, 0.2575757575757576, 0.26262626262626265, 0.2676767676767677, 0.27272727272727276, 0.2777777777777778, 0.2828282828282829, 0.2878787878787879, 0.29292929292929293, 0.297979797979798, 0.30303030303030304, 0.3080808080808081, 0.31313131313131315, 0.31818181818181823, 0.32323232323232326, 0.3282828282828283, 0.33333333333333337, 0.3383838383838384, 0.3434343434343435, 0.3484848484848485, 0.3535353535353536, 0.3585858585858586, 0.36363636363636365, 0.36868686868686873, 0.37373737373737376, 0.37878787878787884, 0.38383838383838387, 0.3888888888888889, 0.393939393939394, 0.398989898989899, 0.4040404040404041, 0.4090909090909091, 0.4141414141414142, 0.4191919191919192, 0.42424242424242425, 0.42929292929292934, 0.43434343434343436, 0.43939393939393945, 0.4444444444444445, 0.44949494949494956, 0.4545454545454546, 0.4595959595959596, 0.4646464646464647, 0.4696969696969697, 0.4747474747474748, 0.47979797979797983, 0.48484848484848486, 0.48989898989898994, 0.494949494949495]",0.0,0.0,0.0,1935.8152989327343,845.8152989327343,259.530285782375,254.53028578237502,"[0, 11, 33, 49, 63, 63, 78, 98, 108, 108, 126, 132, 148, 132, 173, 186]",0.0,2.5,16,12.0,"[7, 28, 39, 52, 64, 73, 90, 99, 109, 118, 131, 141, 153, 165, 175, 187]",0.0,2.5,"[1636.3997712740556, 1414.3461448945677, 1138.1325584935726, 259.530285782375, 393.8695256643631, 1301.4189822303847, 1112.9971221310818, 1268.969410099996, 1008.6878233626101, 1459.1590371522652, 744.417712437594, 1713.8500609008947, 1053.3128903815548, 1935.8152989327343, 1515.3077349958594, 524.9715423137312]",583.3598331011918,2473.18590104764,583.359833101192,"[132, 132, 132, 53, 65, 132, 132, 108, 116, 132, 132, 148, 163, 195, 195, 195]",0.0,-11.0,198,raw,1.4094668550071447e-06,0.15203007135879257,0.006209892950063578,0.16251978037938022,0.012316756145924396,654589.3648378656,192945.72850815806,1915.6075129516375,815.6075129516375,1.0,rbio2.4,226.5760515422533,2281505.901283579,7.505806139731661,10.527947093855406,0.6464646464646465,SWT,0.10058405923243563,0.6994687809587092,0.6768801652932694,0.3374599345944782,0.26923076923076933,0.8595614848883981,0.1086396316537171,0.4240547955390475,0.14078221327917356,0.6525127614989426,0.41851901021574595,0.5370654896797047,0.5370654896797047,0.5224830808379289,0.9202262294494059,0.07255535088274251,0.0,0.43430024904400333,0.43023688135669064,0.07966155683430348,0.8718901655575839,0.0,0.4,1.0,0.17457995903675966,0.16279069767441862,0.4,0.6021790645422904,0.6021790645422904,0.38983050847457634,3.6564557028620004,0.9012857457106658,3,1.4519992905979837,0.8047794368026404,17,0.0,0.42490924209240505,0.6552558505090208,21,0,0.43597497512168254,0.7252395447750137,21,8.54400374531753,0.9193961910819101,15.5,8.206896551724139,0.8865848879937852,6,rbio,30.666666666666668,8.0,39.37124887649919,15,0.42592592592592593,1.0,0.40185185185185185,2,5.0,6
