wavelet,wavelet_level,wavelet_mode,wavelet_mse,wavelet_psnr,wavelet_energy_entropy,wavelet_sparsity,wavelet_adaptive_threshold,signal_length,signal_type,emd_value,kl_divergence,wavelet_entropy,avg_variance_across_levels,variance_ratio_across_levels,smoothness,correlation,dynamic_cutoff,dominant_frequency,amplitude_max,num_fft_peaks,positive_frequencies,positive_amplitudes,relative_num_peaks,avg_prominence,prominence_min,prominence_max,relative_peaks,relative_prominences,relative_left_bases,relative_right_bases,max_autocorrelation,upper_envelope,lower_envelope,spectral_magnitude,spectral_centroid,spectral_bandwidth,frequency_max,wavelet_type,htid,positive_frequencies_dtw,positive_frequencies_euclidean,positive_frequencies_wasserstein,max_autocorrelation_diff,frequency_max_diff,relative_right_bases_array_alignment_score,relative_right_bases_global_alignment_score,relative_num_peaks_diff,positive_amplitudes_dtw,positive_amplitudes_euclidean,positive_amplitudes_wasserstein,relative_peaks_array_alignment_score,relative_peaks_global_alignment_score,spectral_centroid_diff,lower_envelope_diff,relative_prominences_avg_diff,relative_prominences_total_diff,relative_prominences_wasserstein,spectral_bandwidth_diff,spectral_magnitude_diff,avg_prominence_diff,num_fft_peaks_diff,amplitude_max_diff,prominence_min_diff,relative_left_bases_array_alignment_score,relative_left_bases_global_alignment_score,prominence_max_diff,upper_envelope_diff,dominant_frequency_diff,dynamic_cutoff_diff,wavelet_psnr_normalized,wavelet_entropy_normalized,wavelet_energy_entropy_normalized,wavelet_sparsity_normalized,avg_variance_across_levels_normalized,relative_right_bases_global_alignment_score_normalized,relative_right_bases_array_alignment_score_normalized,relative_left_bases_global_alignment_score_normalized,relative_left_bases_array_alignment_score_normalized,reconstruction_weighted_score,reconstruction_normalized_weighted_score,reconstruction_normalized_weighted_rank,signal_weighted_score,signal_normalized_weighted_score,signal_normalized_weighted_rank,reconstruction_missing_metrics_count,reconstruction_dynamically_weighted_score,reconstruction_normalized_dynamically_weighted_score,reconstruction_normalized_dynamically_weighted_rank,signal_missing_metrics_count,signal_dynamically_weighted_score,signal_normalized_dynamically_weighted_score,signal_normalized_dynamically_weighted_rank,rank_variability,normalized_rank_stability,average_rank,harmonic_average_rank,stability_score_weighted,stability_rank,wavelet_family,family_mean_stability_rank,family_median_stability_rank,family_rank_std_dev,family_wavelet_count,normalized_family_mean_rank,normalized_family_std_dev,final_family_stability_score,final_family_stability_rank,family_informed_rank,top_wavelet_rank
db17,1,antireflect,5.132061684975623e-27,315.74241370055,1452369.844056491,0.52,177.5615179057778,68,smoothed,5.274375707428775e-14,-6.255342910321827e-11,5.432670704867132,69884.32586336373,0.9864182573519821,0.00012098995299430335,1.0,133.28,0.044117647058823525,3051.5545770787267,5,"[0.0, 0.014705882352941176, 0.029411764705882353, 0.044117647058823525, 0.058823529411764705, 0.07352941176470588, 0.08823529411764705, 0.10294117647058823, 0.11764705882352941, 0.1323529411764706, 0.14705882352941177, 0.16176470588235295, 0.1764705882352941, 0.19117647058823528, 0.20588235294117646, 0.22058823529411764, 0.23529411764705882, 0.25, 0.2647058823529412, 0.27941176470588236, 0.29411764705882354, 0.3088235294117647, 0.3235294117647059, 0.3382352941176471, 0.3529411764705882, 0.3676470588235294, 0.38235294117647056, 0.39705882352941174, 0.4117647058823529, 0.4264705882352941, 0.4411764705882353, 0.45588235294117646, 0.47058823529411764, 0.4852941176470588]","[17821.6, 630.2198447482228, 2711.2560037846506, 1551.9319476665614, 3051.5545770787267, 1098.5134896580294, 282.41363620339484, 793.9769099736518, 1203.8689853943565, 362.19751137768753, 939.1794209475247, 620.7082771390172, 246.0837941285643, 263.85961526949995, 200.78925985781467, 165.5314208562087, 49.540536614319514, 278.43821576787906, 405.8732289415888, 172.50701781734327, 349.8283747860517, 272.72935072545505, 298.94857688602775, 194.78594234851298, 410.3596363572092, 331.3669501526948, 319.1560166241029, 307.5239862394265, 306.9636050974064, 215.60514063660156, 271.44203042539704, 218.2322787005163, 461.5247477694162, 107.04125824053598]",9,139.33333333333334,11.800000000000068,438.79999999999995,"[2, 11, 17, 21, 27, 44, 50, 53, 63]","[136.2000000000001, 249.19999999999987, 11.800000000000068, 97.59999999999997, 58.00000000000006, 438.79999999999995, 35.0, 17.200000000000017, 210.2]","[1, 1, 14, 14, 26, 1, 49, 52, 52]","[3, 32, 18, 32, 32, 66, 52, 55, 66]",5435221.839999998,438.79999999999995,-438.79999999999995,36915.551588214395,0.07932595850348144,0.12464806182995941,0.4852941176470588,DWT,uc1.b4952555,0.0,0.0,0.0,1.862645149230957e-09,0.0,0.6666666666666666,25.5,0.0,1.623590151211829e-11,4.549454825337667e-12,4.775265150623027e-13,0.5555555555555556,25.5,4.163336342344337e-17,5.684341886080802e-14,0.6666666666666856,6.0,1.2444444444444904,2.7755575615628914e-17,7.275957614183426e-12,0.6666666666666856,0.0,4.547473508864641e-13,8.600000000000051,0.7777777777777778,30.0,5.684341886080802e-14,5.684341886080802e-14,0.0,0.0,0.9051328898863642,0.9999999999999999,0.7502795851904496,0.06732348111658462,0.978845055001654,1.0,1.0,1.0,1.0,0.4,1.0,27,1.836686940974339,1.0,1,0,1.0,1.0,1,0,0.7403162022390105,1.0,1,13.0,0.9790660225442834,7.5,1.3170731707317072,0.9834943639291465,1,db,313.8627450980392,315.0,162.77232480173717,153,0.7936961803546931,0.8331694909645715,0.19446182646234333,5,2.0,1
coif5,1,antisymmetric,3.317531335115635e-27,317.63718204202996,1439062.5517099306,0.53125,128.5231822318642,68,smoothed,3.9576185466049713e-14,-6.58685328502885e-11,5.302527213101328,66670.80815188821,0.9869565460118288,0.00012098995299430339,1.0,133.27999999999994,0.044117647058823525,3051.554577078727,5,"[0.0, 0.014705882352941176, 0.029411764705882353, 0.044117647058823525, 0.058823529411764705, 0.07352941176470588, 0.08823529411764705, 0.10294117647058823, 0.11764705882352941, 0.1323529411764706, 0.14705882352941177, 0.16176470588235295, 0.1764705882352941, 0.19117647058823528, 0.20588235294117646, 0.22058823529411764, 0.23529411764705882, 0.25, 0.2647058823529412, 0.27941176470588236, 0.29411764705882354, 0.3088235294117647, 0.3235294117647059, 0.3382352941176471, 0.3529411764705882, 0.3676470588235294, 0.38235294117647056, 0.39705882352941174, 0.4117647058823529, 0.4264705882352941, 0.4411764705882353, 0.45588235294117646, 0.47058823529411764, 0.4852941176470588]","[17821.600000000002, 630.2198447482225, 2711.2560037846524, 1551.9319476665605, 3051.554577078727, 1098.513489658029, 282.4136362033951, 793.9769099736523, 1203.8689853943563, 362.19751137768736, 939.1794209475261, 620.7082771390168, 246.08379412856425, 263.85961526950047, 200.78925985781493, 165.531420856209, 49.540536614319194, 278.4382157678784, 405.87322894158905, 172.50701781734347, 349.8283747860515, 272.72935072545476, 298.94857688602696, 194.78594234851198, 410.35963635720935, 331.3669501526954, 319.15601662410273, 307.5239862394255, 306.963605097406, 215.60514063660185, 271.44203042539675, 218.2322787005164, 461.5247477694154, 107.04125824053575]",9,139.33333333333334,11.799999999999955,438.8000000000001,"[2, 11, 17, 21, 27, 44, 50, 53, 63]","[136.20000000000002, 249.2, 11.799999999999955, 97.59999999999997, 58.0, 438.8000000000001, 35.00000000000003, 17.200000000000045, 210.19999999999993]","[1, 1, 14, 14, 26, 1, 49, 52, 52]","[3, 32, 18, 32, 32, 66, 52, 55, 66]",5435221.840000001,438.8000000000001,-438.8000000000001,36915.551588214395,0.0793259585034814,0.12464806182995938,0.4852941176470588,DWT,uc1.b4952555,0.0,0.0,0.0,9.313225746154785e-10,0.0,0.6666666666666666,25.5,0.0,1.1738165994756855e-11,2.7519935659272875e-12,3.4524017631637813e-13,0.5555555555555556,25.5,0.0,1.1368683772161603e-13,0.6666666666666856,6.0,1.2444444444444622,0.0,7.275957614183426e-12,0.6666666666666856,0.0,0.0,8.599999999999937,0.7777777777777778,30.0,1.1368683772161603e-13,1.1368683772161603e-13,0.0,5.684341886080802e-14,0.9270292043184128,0.8014250651301413,0.7219478595506463,0.14306239737274212,0.9262627966609269,1.0,1.0,1.0,1.0,0.4,1.0,49,1.7456340625449092,0.9504254773101792,7,0,1.0,1.0,181,0,0.703945464606574,0.9508713472399538,6,82.6332257630065,0.8669352242141602,60.75,11.924037869026945,0.8845545686288192,2,coif,250.75555555555556,243.0,170.56086031298938,45,0.6341107052542849,0.873036035693066,0.2942116956140808,2,2.0,2
coif4,1,antireflect,2.17512153360763e-27,319.4704970989374,1386847.7002613903,0.5111111111111111,126.40923292199433,68,smoothed,3.1660948372839747e-14,-6.457276935378797e-11,5.22711424172934,62493.62914687558,0.9861168654923517,0.00012098995299430342,0.9999999999999999,133.27999999999997,0.044117647058823525,3051.554577078727,5,"[0.0, 0.014705882352941176, 0.029411764705882353, 0.044117647058823525, 0.058823529411764705, 0.07352941176470588, 0.08823529411764705, 0.10294117647058823, 0.11764705882352941, 0.1323529411764706, 0.14705882352941177, 0.16176470588235295, 0.1764705882352941, 0.19117647058823528, 0.20588235294117646, 0.22058823529411764, 0.23529411764705882, 0.25, 0.2647058823529412, 0.27941176470588236, 0.29411764705882354, 0.3088235294117647, 0.3235294117647059, 0.3382352941176471, 0.3529411764705882, 0.3676470588235294, 0.38235294117647056, 0.39705882352941174, 0.4117647058823529, 0.4264705882352941, 0.4411764705882353, 0.45588235294117646, 0.47058823529411764, 0.4852941176470588]","[17821.6, 630.2198447482227, 2711.2560037846524, 1551.9319476665607, 3051.554577078727, 1098.5134896580303, 282.41363620339484, 793.9769099736513, 1203.8689853943572, 362.1975113776884, 939.1794209475248, 620.708277139016, 246.08379412856425, 263.85961526950047, 200.78925985781447, 165.53142085620917, 49.54053661431904, 278.43821576787894, 405.87322894158893, 172.50701781734355, 349.82837478605154, 272.7293507254548, 298.9485768860268, 194.78594234851252, 410.35963635720924, 331.36695015269447, 319.1560166241027, 307.5239862394259, 306.96360509740555, 215.60514063660167, 271.44203042539726, 218.23227870051642, 461.52474776941546, 107.04125824053563]",9,139.33333333333337,11.800000000000011,438.8000000000001,"[2, 11, 17, 21, 27, 44, 50, 53, 63]","[136.19999999999996, 249.20000000000002, 11.800000000000011, 97.59999999999997, 58.0, 438.8000000000001, 35.0, 17.200000000000017, 210.2]","[1, 1, 14, 14, 26, 1, 49, 52, 52]","[3, 32, 18, 32, 32, 66, 52, 55, 66]",5435221.84,438.8000000000001,-438.8000000000001,36915.551588214395,0.0793259585034814,0.12464806182995938,0.4852941176470588,DWT,uc1.b4952555,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,25.5,0.0,1.3102408047416247e-11,4.20862085990552e-12,3.853649425710661e-13,0.5555555555555556,25.5,0.0,1.1368683772161603e-13,0.666666666666714,6.000000000000227,1.244444444444459,0.0,7.275957614183426e-12,0.666666666666714,0.0,0.0,8.599999999999994,0.7777777777777778,30.0,1.1368683772161603e-13,1.1368683772161603e-13,0.0,2.842170943040401e-14,0.9482153525457472,0.6863587973102863,0.6107804780099902,0.0074803867907312915,0.8579123081004697,1.0,1.0,1.0,1.0,0.4,1.0,52,1.5636559271440669,0.8513459165308637,16,0,1.0,1.0,183,0,0.622149464551445,0.8403834235557964,18,78.91503870196944,0.8729226429919976,67.25,28.020857616097175,0.8823147836538088,3,coif,250.75555555555556,243.0,170.56086031298938,45,0.6341107052542849,0.873036035693066,0.2942116956140808,2,2.75,3
coif5,1,reflect,3.75831896680354e-27,317.0953960210358,1472227.6144113245,0.53125,119.70493052872067,68,smoothed,4.367747993348853e-14,-6.625651138847401e-11,5.330423836409092,11548.764404692323,0.9435443852402207,0.00012098995299430339,0.9999999999999999,133.27999999999994,0.044117647058823525,3051.5545770787267,5,"[0.0, 0.014705882352941176, 0.029411764705882353, 0.044117647058823525, 0.058823529411764705, 0.07352941176470588, 0.08823529411764705, 0.10294117647058823, 0.11764705882352941, 0.1323529411764706, 0.14705882352941177, 0.16176470588235295, 0.1764705882352941, 0.19117647058823528, 0.20588235294117646, 0.22058823529411764, 0.23529411764705882, 0.25, 0.2647058823529412, 0.27941176470588236, 0.29411764705882354, 0.3088235294117647, 0.3235294117647059, 0.3382352941176471, 0.3529411764705882, 0.3676470588235294, 0.38235294117647056, 0.39705882352941174, 0.4117647058823529, 0.4264705882352941, 0.4411764705882353, 0.45588235294117646, 0.47058823529411764, 0.4852941176470588]","[17821.600000000002, 630.2198447482225, 2711.256003784653, 1551.931947666561, 3051.5545770787267, 1098.5134896580296, 282.41363620339564, 793.9769099736525, 1203.8689853943572, 362.19751137768765, 939.1794209475258, 620.7082771390167, 246.08379412856337, 263.8596152695006, 200.78925985781544, 165.53142085620874, 49.54053661431923, 278.43821576787894, 405.8732289415888, 172.50701781734253, 349.8283747860515, 272.72935072545533, 298.9485768860271, 194.78594234851218, 410.35963635720907, 331.3669501526951, 319.1560166241027, 307.5239862394259, 306.963605097406, 215.60514063660176, 271.44203042539704, 218.2322787005165, 461.52474776941574, 107.04125824053554]",9,139.33333333333337,11.799999999999955,438.8000000000002,"[2, 11, 17, 21, 27, 44, 50, 53, 63]","[136.2, 249.20000000000005, 11.799999999999955, 97.60000000000008, 58.0, 438.8000000000002, 35.00000000000006, 17.19999999999996, 210.20000000000005]","[1, 1, 14, 14, 26, 1, 49, 52, 52]","[3, 32, 18, 32, 32, 66, 52, 55, 66]",5435221.840000001,438.8000000000002,-438.8000000000002,36915.5515882144,0.07932595850348138,0.12464806182995938,0.4852941176470588,DWT,uc1.b4952555,0.0,0.0,0.0,9.313225746154785e-10,0.0,0.6666666666666666,25.5,0.0,1.3606893389805919e-11,3.0678418041987537e-12,4.002027467589976e-13,0.5555555555555556,25.5,1.3877787807814457e-17,1.7053025658242404e-13,0.666666666666714,6.000000000000227,1.2444444444444778,0.0,0.0,0.666666666666714,0.0,4.547473508864641e-13,8.599999999999937,0.7777777777777778,30.0,1.7053025658242404e-13,1.7053025658242404e-13,0.0,5.684341886080802e-14,0.9207682188402037,0.843990160635622,0.7925575247486634,0.14306239737274212,0.024309919838893558,1.0,1.0,1.0,1.0,0.4,1.0,50,1.4376837008809191,0.7827592546164924,35,0,1.0,1.0,180,0,0.5449376442872249,0.7360876915014379,46,68.46105949126603,0.8897567480011819,77.75,52.72446102064951,0.8822777298782076,4,coif,250.75555555555556,243.0,170.56086031298938,45,0.6341107052542849,0.873036035693066,0.2942116956140808,2,3.5,4
coif4,1,periodic,2.4874176449098303e-27,318.8878452706228,1347793.1533775236,0.5444444444444444,119.27876766722389,68,smoothed,3.3385059422845876e-14,-6.444651479142759e-11,5.185506462455735,13398.321370546102,0.9445958394282341,0.00012098995299430337,0.9999999999999999,133.27999999999997,0.044117647058823525,3051.554577078727,5,"[0.0, 0.014705882352941176, 0.029411764705882353, 0.044117647058823525, 0.058823529411764705, 0.07352941176470588, 0.08823529411764705, 0.10294117647058823, 0.11764705882352941, 0.1323529411764706, 0.14705882352941177, 0.16176470588235295, 0.1764705882352941, 0.19117647058823528, 0.20588235294117646, 0.22058823529411764, 0.23529411764705882, 0.25, 0.2647058823529412, 0.27941176470588236, 0.29411764705882354, 0.3088235294117647, 0.3235294117647059, 0.3382352941176471, 0.3529411764705882, 0.3676470588235294, 0.38235294117647056, 0.39705882352941174, 0.4117647058823529, 0.4264705882352941, 0.4411764705882353, 0.45588235294117646, 0.47058823529411764, 0.4852941176470588]","[17821.6, 630.2198447482225, 2711.256003784652, 1551.9319476665605, 3051.554577078727, 1098.51348965803, 282.4136362033945, 793.9769099736517, 1203.8689853943572, 362.1975113776881, 939.1794209475249, 620.708277139016, 246.08379412856436, 263.85961526950047, 200.789259857815, 165.53142085620982, 49.54053661431923, 278.43821576787894, 405.8732289415893, 172.5070178173433, 349.82837478605126, 272.7293507254551, 298.94857688602673, 194.78594234851266, 410.3596363572091, 331.36695015269487, 319.15601662410313, 307.5239862394258, 306.96360509740595, 215.60514063660227, 271.4420304253972, 218.232278700516, 461.52474776941557, 107.04125824053575]",9,139.33333333333334,11.799999999999898,438.8000000000001,"[2, 11, 17, 21, 27, 44, 50, 53, 63]","[136.20000000000002, 249.20000000000007, 11.799999999999898, 97.60000000000002, 58.0, 438.8000000000001, 35.0, 17.200000000000017, 210.1999999999999]","[1, 1, 14, 14, 26, 1, 49, 52, 52]","[3, 32, 18, 32, 32, 66, 52, 55, 66]",5435221.84,438.8000000000001,-438.8000000000001,36915.551588214395,0.07932595850348143,0.12464806182995941,0.4852941176470588,DWT,uc1.b4952555,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,25.5,0.0,1.2370549029583344e-11,4.108909585847281e-12,3.638396773406866e-13,0.5555555555555556,25.5,2.7755575615628914e-17,1.1368683772161603e-13,0.6666666666666856,6.0,1.2444444444444558,2.7755575615628914e-17,7.275957614183426e-12,0.6666666666666856,0.0,0.0,8.59999999999988,0.7777777777777778,30.0,1.1368683772161603e-13,1.1368683772161603e-13,0.0,2.842170943040401e-14,0.9414821137862162,0.6228730098365366,0.5276318795960879,0.23189199051267978,0.054573914291800814,1.0,1.0,1.0,1.0,0.4,1.0,74,1.2547280749098342,0.6831474906900666,83,0,1.0,1.0,174,0,0.4756905816046643,0.6425505482197835,89,46.411205543489174,0.9252637591892284,105.0,94.01856746620906,0.8780908167926819,5,coif,250.75555555555556,243.0,170.56086031298938,45,0.6341107052542849,0.873036035693066,0.2942116956140808,2,4.25,5
db15,1,antisymmetric,3.2067775842017382e-27,317.78464398645093,1400612.1640156733,0.5416666666666666,152.07263902649365,68,smoothed,3.8805560072486326e-14,-6.404712316054896e-11,5.306475582866691,63943.557215754336,0.9884604264229283,0.00012098995299430344,1.0,133.27999999999997,0.044117647058823525,3051.554577078727,5,"[0.0, 0.014705882352941176, 0.029411764705882353, 0.044117647058823525, 0.058823529411764705, 0.07352941176470588, 0.08823529411764705, 0.10294117647058823, 0.11764705882352941, 0.1323529411764706, 0.14705882352941177, 0.16176470588235295, 0.1764705882352941, 0.19117647058823528, 0.20588235294117646, 0.22058823529411764, 0.23529411764705882, 0.25, 0.2647058823529412, 0.27941176470588236, 0.29411764705882354, 0.3088235294117647, 0.3235294117647059, 0.3382352941176471, 0.3529411764705882, 0.3676470588235294, 0.38235294117647056, 0.39705882352941174, 0.4117647058823529, 0.4264705882352941, 0.4411764705882353, 0.45588235294117646, 0.47058823529411764, 0.4852941176470588]","[17821.6, 630.2198447482225, 2711.2560037846524, 1551.9319476665614, 3051.554577078727, 1098.5134896580298, 282.4136362033946, 793.9769099736523, 1203.868985394357, 362.1975113776874, 939.1794209475248, 620.7082771390169, 246.0837941285639, 263.85961526950075, 200.78925985781487, 165.5314208562093, 49.54053661431949, 278.43821576787894, 405.873228941589, 172.5070178173427, 349.82837478605103, 272.7293507254547, 298.948576886027, 194.78594234851246, 410.3596363572093, 331.36695015269464, 319.15601662410285, 307.52398623942605, 306.9636050974056, 215.6051406366016, 271.4420304253966, 218.23227870051593, 461.52474776941614, 107.04125824053563]",9,139.33333333333334,11.799999999999955,438.8000000000001,"[2, 11, 17, 21, 27, 44, 50, 53, 63]","[136.19999999999996, 249.2, 11.799999999999955, 97.60000000000002, 58.00000000000006, 438.8000000000001, 35.00000000000003, 17.199999999999932, 210.19999999999985]","[1, 1, 14, 14, 26, 1, 49, 52, 52]","[3, 32, 18, 32, 32, 66, 52, 55, 66]",5435221.84,438.8000000000001,-438.8000000000001,36915.551588214395,0.0793259585034814,0.12464806182995938,0.4852941176470588,DWT,uc1.b4952555,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,25.5,0.0,1.3642420526593924e-11,4.30211183093536e-12,4.012476625468801e-13,0.5555555555555556,25.5,0.0,1.1368683772161603e-13,0.6666666666666856,6.0,1.2444444444444842,0.0,7.275957614183426e-12,0.6666666666666856,0.0,0.0,8.599999999999937,0.7777777777777778,30.0,1.1368683772161603e-13,1.1368683772161603e-13,0.0,2.842170943040401e-14,0.928733303458723,0.8074495482476676,0.64008553876235,0.2131910235358508,0.8816372410675413,1.0,1.0,1.0,1.0,0.4,1.0,24,1.7189388314215992,0.9358910291536805,9,0,1.0,1.0,197,0,0.6942193310144266,0.9377335372572305,10,91.58966462798445,0.8525126173462408,60.0,15.512659266145349,0.877947129929159,6,db,313.8627450980392,315.0,162.77232480173717,153,0.7936961803546931,0.8331694909645715,0.19446182646234333,5,5.75,6
db13,1,antireflect,2.5622695239644227e-27,318.7590842675503,1364454.25462993,0.5434782608695652,184.07575181572676,68,smoothed,3.678756645713828e-14,-6.585054723728958e-11,5.285166014617328,61921.416408721154,0.9857519693753666,0.00012098995299430335,0.9999999999999999,133.28,0.044117647058823525,3051.554577078727,5,"[0.0, 0.014705882352941176, 0.029411764705882353, 0.044117647058823525, 0.058823529411764705, 0.07352941176470588, 0.08823529411764705, 0.10294117647058823, 0.11764705882352941, 0.1323529411764706, 0.14705882352941177, 0.16176470588235295, 0.1764705882352941, 0.19117647058823528, 0.20588235294117646, 0.22058823529411764, 0.23529411764705882, 0.25, 0.2647058823529412, 0.27941176470588236, 0.29411764705882354, 0.3088235294117647, 0.3235294117647059, 0.3382352941176471, 0.3529411764705882, 0.3676470588235294, 0.38235294117647056, 0.39705882352941174, 0.4117647058823529, 0.4264705882352941, 0.4411764705882353, 0.45588235294117646, 0.47058823529411764, 0.4852941176470588]","[17821.600000000002, 630.2198447482231, 2711.256003784652, 1551.931947666561, 3051.554577078727, 1098.5134896580296, 282.4136362033945, 793.9769099736527, 1203.8689853943565, 362.1975113776878, 939.1794209475247, 620.7082771390163, 246.0837941285643, 263.85961526950007, 200.78925985781524, 165.53142085620908, 49.540536614319414, 278.43821576788025, 405.8732289415896, 172.50701781734338, 349.8283747860517, 272.729350725455, 298.94857688602747, 194.78594234851255, 410.3596363572089, 331.3669501526953, 319.15601662410324, 307.5239862394261, 306.9636050974061, 215.60514063660167, 271.4420304253966, 218.2322787005167, 461.52474776941574, 107.04125824053627]",9,139.33333333333337,11.800000000000068,438.8,"[2, 11, 17, 21, 27, 44, 50, 53, 63]","[136.20000000000002, 249.19999999999996, 11.800000000000068, 97.60000000000014, 58.0, 438.8, 34.99999999999997, 17.200000000000045, 210.2]","[1, 1, 14, 14, 26, 1, 49, 52, 52]","[3, 32, 18, 32, 32, 66, 52, 55, 66]",5435221.840000001,438.8,-438.8,36915.5515882144,0.07932595850348143,0.12464806182995941,0.4852941176470588,DWT,uc1.b4952555,0.0,0.0,0.0,9.313225746154785e-10,0.0,0.6666666666666666,25.5,0.0,9.599432360118954e-12,2.60121728277974e-12,2.823362458858515e-13,0.5555555555555556,25.5,2.7755575615628914e-17,0.0,0.666666666666714,6.000000000000227,1.2444444444444653,2.7755575615628914e-17,0.0,0.666666666666714,0.0,0.0,8.600000000000051,0.7777777777777778,30.0,0.0,0.0,0.0,0.0,0.9399941263905331,0.7749350823315635,0.5631039904693543,0.2253873063468263,0.8485492857912895,1.0,1.0,1.0,1.0,0.4,1.0,33,1.6625906490900253,0.9052117767048762,12,0,1.0,1.0,199,0,0.6703939582659134,0.9055508392743203,12,90.54280755532159,0.8541983775276625,64.0,19.8024877497173,0.8755693981036058,7,db,313.8627450980392,315.0,162.77232480173717,153,0.7936961803546931,0.8331694909645715,0.19446182646234333,5,6.5,7
sym12,1,antireflect,8.771026775529345e-24,283.4148280101346,1402897.374438512,0.5444444444444444,192.62463694888655,68,smoothed,2.3276348169160348e-12,,5.239332412371312,64105.67757786,0.9841124762101535,0.00012098995299429207,0.9999999999999998,133.279999999998,0.044117647058823525,3051.5545770787794,5,"[0.0, 0.014705882352941176, 0.029411764705882353, 0.044117647058823525, 0.058823529411764705, 0.07352941176470588, 0.08823529411764705, 0.10294117647058823, 0.11764705882352941, 0.1323529411764706, 0.14705882352941177, 0.16176470588235295, 0.1764705882352941, 0.19117647058823528, 0.20588235294117646, 0.22058823529411764, 0.23529411764705882, 0.25, 0.2647058823529412, 0.27941176470588236, 0.29411764705882354, 0.3088235294117647, 0.3235294117647059, 0.3382352941176471, 0.3529411764705882, 0.3676470588235294, 0.38235294117647056, 0.39705882352941174, 0.4117647058823529, 0.4264705882352941, 0.4411764705882353, 0.45588235294117646, 0.47058823529411764, 0.4852941176470588]","[17821.600000000028, 630.2198447482024, 2711.256003784641, 1551.9319476665933, 3051.5545770787794, 1098.513489658043, 282.4136362033978, 793.9769099736793, 1203.8689853944163, 362.1975113776957, 939.179420947575, 620.7082771390469, 246.0837941285751, 263.85961526950894, 200.78925985782092, 165.53142085621417, 49.540536614319855, 278.4382157678931, 405.8732289416066, 172.50701781735344, 349.828374786072, 272.7293507254728, 298.9485768860478, 194.78594234852648, 410.3596363572385, 331.3669501527187, 319.1560166241246, 307.52398623944487, 306.96360509742215, 215.605140636612, 271.4420304254055, 218.23227870052156, 461.5247477694206, 107.04125824053676]",9,139.3333333333385,11.800000000000864,438.80000000000655,"[2, 11, 17, 21, 27, 44, 50, 53, 63]","[136.2000000000089, 249.2000000000078, 11.800000000000864, 97.6000000000044, 58.00000000000358, 438.80000000000655, 35.00000000000324, 17.200000000002518, 210.20000000000852]","[1, 1, 14, 14, 26, 1, 49, 52, 52]","[3, 32, 18, 32, 32, 66, 52, 55, 66]",5435221.840000041,438.8000000000047,-438.8000000000047,36915.551588214956,0.07932595850348355,0.12464806182996067,0.4852941176470588,DWT,uc1.b4952555,0.0,0.0,0.0,4.0978193283081055e-08,0.0,0.6666666666666666,25.5,0.0,6.189040391291201e-10,1.3381605162683107e-10,1.820305997438589e-11,0.5555555555555556,25.5,2.1510571102112408e-15,4.661160346586257e-12,0.6666666666718299,6.000000000046384,1.2444444444490284,1.2906342661267445e-15,5.529727786779404e-10,0.6666666666718299,0.0,5.2295945351943374e-11,8.600000000000847,0.7777777777777778,30.0,6.536993168992922e-12,4.661160346586257e-12,0.0,1.9895196601282805e-12,0.5315489716784823,0.7050014693835431,0.6449508376558409,0.23189199051267978,0.8842899897149473,1.0,1.0,1.0,1.0,0.4,1.0,99,1.4403783286178322,0.7842263678608886,33,0,1.0,1.0,179,0,0.5995366517890989,0.809838620275852,28,70.67472438337957,0.8861920702361038,84.75,48.95666115784021,0.8748593201422066,8,sym,395.44444444444446,438.5,172.19357207116144,144,1.0,0.8813932648848528,0.03558202053454416,6,7.5,8
