signal_type,wavelet,wavelet_energy_entropy,wavelet_sparsity,wavelet_adaptive_threshold,wavelet_psnr,signal_length,scales_used,emd_value,kl_divergence,is_complex,wavelet_entropy,avg_variance_across_levels,variance_ratio_across_levels,smoothness,correlation,relative_num_peaks,avg_prominence,prominence_min,prominence_max,relative_peaks,relative_prominences,relative_left_bases,relative_right_bases,prominence_threshold,distance_factor,max_autocorrelation,upper_envelope,lower_envelope,wavelet_type,htid,avg_prominence_diff,prominence_max_diff,upper_envelope_diff,relative_left_bases_array_alignment_score,relative_left_bases_global_alignment_score,relative_right_bases_array_alignment_score,relative_right_bases_global_alignment_score,relative_prominences_avg_diff,relative_prominences_total_diff,relative_prominences_wasserstein,lower_envelope_diff,relative_peaks_array_alignment_score,relative_peaks_global_alignment_score,max_autocorrelation_diff,prominence_threshold_diff,relative_num_peaks_diff,prominence_min_diff,distance_factor_diff,emd_value_normalized,smoothness_normalized,wavelet_psnr_normalized,wavelet_entropy_normalized,wavelet_energy_entropy_normalized,wavelet_sparsity_normalized,correlation_normalized,avg_variance_across_levels_normalized,kl_divergence_normalized,prominence_min_diff_normalized,avg_prominence_diff_normalized,relative_prominences_avg_diff_normalized,relative_prominences_wasserstein_normalized,relative_prominences_total_diff_normalized,prominence_max_diff_normalized,relative_num_peaks_diff_normalized,max_autocorrelation_diff_normalized,relative_right_bases_global_alignment_score_normalized,relative_left_bases_global_alignment_score_normalized,upper_envelope_diff_normalized,lower_envelope_diff_normalized,relative_peaks_global_alignment_score_normalized,reconstruction_signal_weighted_score,reconstruction_signal_normalized_weighted_score,reconstruction_signal_normalized_weighted_rank,wavelet_signal_weighted_score,wavelet_signal_normalized_weighted_score,wavelet_signal_normalized_weighted_rank,reconstruction_signal_num_missing_metrics,reconstruction_signal_missing_metrics_count,reconstruction_signal_dynamically_weighted_score,reconstruction_signal_normalized_dynamically_weighted_score,reconstruction_signal_normalized_dynamically_weighted_rank,wavelet_signal_num_missing_metrics,wavelet_signal_missing_metrics_count,wavelet_signal_dynamically_weighted_score,wavelet_signal_normalized_dynamically_weighted_score,wavelet_signal_normalized_dynamically_weighted_rank,rank_variability,normalized_rank_stability,average_rank,harmonic_average_rank,stability_score_weighted,stability_rank,wavelet_family,family_mean_stability_rank,family_median_stability_rank,family_rank_std_dev,family_wavelet_count,normalized_family_mean_rank,normalized_family_std_dev,final_family_stability_score,final_family_stability_rank,family_informed_rank,top_wavelet_rank
smoothed,gaus2,14.814926043173577,0.6666666666666666,233.83795309851232,-5.485248025123561,36,17,2029.7274442552816,,False,8.518567259870892,37814.24403639943,0.08705336695233425,3.6862243752607205e-06,0.5460106564181623,1,5251.964924737641,5251.964924737641,5251.964924737641,[7],[5251.964924737641],[0],[28],0.05,10,253133274.34920442,5478.488676845831,-5478.488676845831,CWT,uc1.l0082986993,5073.764924737641,4568.631591404308,4795.155343512498,0.0,-4.5,0.0,-4.5,5073.764924737641,4360.964924737641,5073.764924737641,4795.155343512498,0.0,-4.5,,0.0,4.0,5247.498258070975,0.0,0.6086248129606798,0.2414954518154154,0.5236594721840158,0.43547920448367083,0.9967212447794751,0.12371134020618543,0.8490231331575188,0.93288617550633,,1.0,0.9999999999999999,0.9999999999999999,0.9999999999999998,0.5168053508975773,0.7812680750903787,1.0,,0.0,0.0,1.0,1.0,0.0,2.6490367129939782,1.0,1,2.047580246922825,0.808501785453499,3,0,0,0.6915061188323296,1.0,1,1,0.11111111111111112,0.5833945488311059,0.7817250515301073,2,0.9574271077563381,0.9263517609418201,1.75,1.4117647058823528,0.8958681881632178,2,gaus,6.375,5.5,3.662064211031025,8,0.49038461538461536,1.0,0.3567307692307692,1,1.75,1
smoothed,mexh,14.846415893009679,0.8202614379084967,277.3305442636034,-6.160869416420148,36,17,2403.009595223779,,False,8.666038018355263,39699.51251800397,0.08288434234748154,7.202361521134245e-06,0.49205236282441545,1,3983.0415407529745,3983.0415407529745,3983.0415407529745,[7],[3983.0415407529745],[0],[28],0.05,10,292524609.1729319,5178.825478541559,-5178.825478541559,CWT,uc1.l0082986993,3804.8415407529747,3299.708207419641,4495.492145208226,0.0,-4.5,0.0,-4.5,3804.8415407529747,3092.0415407529745,3804.8415407529747,4495.492145208226,0.0,-4.5,,0.0,4.0,3978.574874086308,0.0,0.8503759710410467,0.5795949945660723,0.46438409795727964,0.7677176266762428,1.0,0.6082474226804122,0.7444541572256661,0.9999999999999999,,0.7580970040694519,0.7042187773952773,0.7042187773952773,0.7040751229463131,0.23966871303175452,0.3818159585337441,1.0,,0.0,0.0,0.8973553037602121,0.8973553037602121,0.0,1.9308673618287302,0.7288941494685579,3,2.532561193757056,1.0,1,0,0,0.5239004134076869,0.7576222380972419,2,1,0.11111111111111112,0.7462912282127843,1.0,1,0.9574271077563381,0.9263517609418201,1.75,1.411764705882353,0.8958681881632178,1,mexh,1.0,1.0,,1,0.07692307692307693,,,5,2.0,2
smoothed,gaus3,14.64591542903749,0.7271241830065359,221.85109604372082,-4.625751260122655,36,17,2177.418139449737,,False,8.49882795155062,31000.264087988995,0.07973221160046629,1.8846430436698543e-06,0.15245195139061066,3,2052.6522055390365,26.835428779827453,5557.171474987149,"[11, 17, 24]","[5557.171474987149, 26.835428779827453, 573.9497128501325]","[4, 16, 19]","[31, 19, 31]",0.05,10,189555227.52552918,3088.267771196166,-3088.267771196166,CWT,uc1.l0082986993,1874.4522055390364,4873.838141653816,2404.9344378628325,0.0,-3.5,0.0,-3.5,1874.4522055390364,5266.956616617109,1874.4522055390364,2404.9344378628325,0.0,10.0,,0.0,2.0,22.368762113160756,0.0,0.7042747027513311,0.06826164460916448,0.5990670792379091,0.3910083092438195,0.9791236875886022,0.31443298969072153,0.0863223875845256,0.6903147546062206,,0.0039000816360213186,0.2542523531973637,0.2542523531973637,0.2538901599305827,0.714676628699546,0.8773459029741053,0.3333333333333333,,0.6666666666666666,0.6666666666666666,0.18126917087334887,0.18126917087334887,0.9999999999999999,1.5650740852412313,0.590808756090195,7,1.712695202919692,0.6762700175386118,8,0,0,0.44896020733736225,0.6492497970885233,5,1,0.11111111111111112,0.47354513885848115,0.6345312941604921,8,1.4142135623730951,0.8912143413559157,7.0,6.746987951807229,0.6763764014471887,3,gaus,6.375,5.5,3.662064211031025,8,0.49038461538461536,1.0,0.3567307692307692,1,2.5,3
smoothed,gaus4,14.506300565505798,0.673202614379085,191.55594210404738,-2.842369526273236,36,17,1304.5398091878224,,False,8.429008495474992,27480.87739708385,0.1068936753716272,2.95367190217812e-06,0.6068977331915433,3,1870.8211842319686,25.367001960940556,5549.452135009969,"[7, 16, 20]","[5549.452135009969, 37.64441572499534, 25.367001960940556]","[0, 15, 19]","[28, 28, 28]",0.05,10,142195968.68780404,4682.19454522861,-4682.19454522861,CWT,uc1.l0082986993,1692.6211842319685,4866.118801676636,3998.8612118952765,0.0,-3.5,0.0,-3.5,1692.6211842319685,4721.4635526959055,1692.6211842319685,3998.8612118952765,0.0,-3.5,,0.0,2.0,20.90033529427386,0.0,0.13896680721821852,0.17105574883603708,0.7555313668179402,0.23371132261871438,0.9645868458745275,0.14432989690721665,0.9670198087680018,0.5650278243872746,,0.003620146021880405,0.2118682325574057,0.2118682325574057,0.21148545425334025,0.5955393225215116,0.8749158849515657,0.3333333333333333,,0.6666666666666666,0.6666666666666666,0.7272425519052794,0.7272425519052794,0.06896551724137931,1.4982370142306025,0.565578048383208,9,1.816025683178659,0.7170708007590465,7,0,0,0.4416178800484762,0.6386319195471296,7,1,0.11111111111111112,0.48697314712293577,0.6525242810224869,7,1.0,0.9230769230769231,7.5,7.411764705882353,0.6730769230769231,4,gaus,6.375,5.5,3.662064211031025,8,0.49038461538461536,1.0,0.3567307692307692,1,3.25,4
smoothed,gaus1,14.771220790362339,0.7532679738562091,243.47970139458678,-6.29470460959949,36,17,2634.040461052366,,False,8.539971414882285,30091.789844427833,0.07185946340612047,4.219119608067352e-06,0.10790901988065191,3,1992.6437105279913,8.66178144413334,5946.801784620558,"[13, 17, 22]","[22.467565519283653, 5946.801784620558, 8.66178144413334]","[2, 2, 21]","[16, 33, 33]",0.05,10,281543833.9318331,3568.703238496942,-3568.703238496942,CWT,uc1.l0082986993,1814.4437105279912,5263.4684512872245,2885.3699051636086,0.0,-3.5,0.0,-3.5,1814.4437105279912,5086.931131583974,1814.4437105279917,2885.3699051636086,0.0,1.0,,0.0,2.0,4.195114777466642,0.0,0.9999999999999999,0.29273680761900606,0.4526421204790524,0.4837008503369671,0.9921706093663167,0.3969072164948453,0.0,0.6579739068520104,,0.00043552278796499255,0.24026460086727439,0.24026460086727439,0.23989561405614504,0.6753585277945272,0.9999999999999999,0.3333333333333333,,0.6666666666666666,0.6666666666666666,0.34583443241686385,0.34583443241686385,0.37931034482758624,1.5347998740697906,0.5793803711897743,8,1.8192944937635174,0.7183615141257823,6,0,0,0.4278220618917638,0.6186815275245574,9,1,0.11111111111111112,0.5289608833379691,0.7087861458652313,5,1.8257418583505538,0.8595583185884189,7.0,6.635944700460828,0.6605483900634402,5,gaus,6.375,5.5,3.662064211031025,8,0.49038461538461536,1.0,0.3567307692307692,1,4.0,5
smoothed,gaus6,14.274761708403387,0.6552287581699346,162.74190981534613,-1.0655038912849568,36,17,1089.9645032263247,,False,8.361823362821273,21627.111062198324,0.09494664308027205,2.7075841350644366e-06,0.6239157332763275,2,3143.6650298021123,968.3221673945019,5319.007892209723,"[7, 22]","[5319.007892209723, 968.3221673945019]","[0, 14]","[28, 28]",0.05,10,96719336.18690768,4053.503071522762,-4053.503071522762,CWT,uc1.l0082986993,2965.4650298021124,4635.67455887639,3370.1697381894287,0.0,-4.0,0.0,-4.0,2965.4650298021124,5396.3300596042245,2965.4650298021124,3370.1697381894287,0.0,-4.0,,0.0,3.0,963.8555007278352,0.0,0.0,0.14739280336893232,0.9114239670543375,0.0823492309262378,0.9404787843743887,0.08762886597938144,1.0,0.3566391252391866,,0.18338173165069444,0.5085632998714015,0.5085632998714015,0.5083246198506213,0.7429321731012781,0.8023729389418626,0.6666666666666666,,0.3333333333333333,0.3333333333333333,0.5118946356037355,0.5118946356037355,0.034482758620689655,1.8302901806937715,0.6909266948683214,5,1.680193425381023,0.6634364569443848,9,0,0,0.4704786188707295,0.6803679765916968,4,1,0.11111111111111112,0.4351835415622524,0.5831283085082328,9,2.6299556396765835,0.7976957200248782,6.75,5.950413223140496,0.6392324753970544,6,gaus,6.375,5.5,3.662064211031025,8,0.49038461538461536,1.0,0.3567307692307692,1,4.75,6
smoothed,fbsp,7.424095411648551,0.8856209150326797,284.3475307008488,-11.453924659863755,36,17,2348.19697616014,-4463.010501248861,True,8.717985141307581,39420.30576122376,0.08680627906135437,5.108619549158475e-06,0.46075036021002513,4,1380.211144920459,103.19572182301958,5073.165179476779,"[7, 16, 18, 20]","[5073.165179476779, 120.44531810969897, 224.038360272339, 103.19572182301958]","[0, 15, 17, 19]","[28, 17, 28, 28]",0.05,20,249010888.79930228,4705.652183541936,-4705.652183541936,CWT,uc1.l0082986993,1202.011144920459,4389.831846143446,4022.3188502086027,0.0,-3.0,0.0,-3.0,1202.011144920459,4629.844579681836,1202.011144920459,4022.3188502086027,0.0,-3.0,,0.0,1.0,98.72905515635289,10.0,0.8148773164665584,0.3782680343268685,0.0,0.8847498461107896,0.22718043581234015,0.8144329896907214,0.6837921507017551,0.9900604961814004,0.0,0.01845713361442977,0.09750889527888101,0.09750889527888101,0.09707057515429035,0.5755294665551836,0.7249826148445758,0.0,,1.0,1.0,0.735277579805934,0.735277579805934,0.10344827586206896,1.2582203775926117,0.47497279725147845,12,1.9092230008291438,0.7538704318519587,5,0,0,0.4320884180166816,0.624851185331956,8,0,0.0,0.5325956965878258,0.7136566483077714,4,3.593976442141304,0.7235402736814381,7.25,6.075949367088608,0.5829239829945652,7,fbsp,7.0,7.0,,1,0.5384615384615384,,,4,6.25,7
smoothed,gaus5,14.446810867069349,0.7124183006535948,196.23122413858093,-2.9570456714840985,36,17,1670.8131018748925,,False,8.509779340294921,25908.017884665955,0.09090441456906513,1.3645711845622998e-06,0.19979744485481776,2,3203.3755824118293,1400.5062742105358,5006.244890613123,"[10, 25]","[5006.244890613123, 1400.5062742105358]","[5, 18]","[30, 30]",0.05,10,127183487.10576233,2997.7263529028983,-2997.7263529028983,CWT,uc1.l0082986993,3025.1755824118295,4322.91155727979,2314.393019569565,0.0,-4.0,0.0,-4.0,3025.1755824118295,5515.751164823659,3025.1755824118295,2314.393019569565,0.0,-4.0,,0.0,3.0,1396.0396075438691,0.0,0.3761787726209822,0.01825333990805056,0.7454703007980967,0.41568080808100233,0.9583927179148465,0.2680412371134021,0.17807602612275597,0.509035471945371,,0.2657717573621522,0.522481602959052,0.522481602959052,0.5222496827526473,0.769014097359626,0.7039163697390387,0.6666666666666666,,0.3333333333333333,0.3333333333333333,0.15025569831341337,0.15025569831341337,0.034482758620689655,1.68669279174204,0.6367192962892977,6,1.634709671308104,0.6454768695571028,10,0,0,0.4145202168093682,0.5994454792523354,10,1,0.11111111111111112,0.42808552875750777,0.5736172590192243,10,2.0,0.8461538461538461,9.0,8.571428571428571,0.5769230769230769,8,gaus,6.375,5.5,3.662064211031025,8,0.49038461538461536,1.0,0.3567307692307692,1,6.25,8
smoothed,cgau8,6.051914585789255,0.9035947712418301,203.1411824000262,-6.893460517055622,36,17,1406.2885170485729,-3584.658121000605,True,8.76914125834341,20286.115548211805,0.10576437510246733,4.146379079414726e-06,0.44888778295633913,2,2812.676376844912,2047.6548471976528,3577.697906492171,"[7, 22]","[3577.697906492171, 2047.6548471976528]","[0, 13]","[28, 28]",0.05,10,90429121.43484522,2896.259058589792,-2896.259058589792,CWT,uc1.l0082986993,2634.476376844912,2894.3645731588376,2212.9257252564585,0.0,-4.0,0.0,-4.0,2634.476376844912,4734.352753689824,2634.476376844912,2212.9257252564585,0.0,-4.0,,0.0,3.0,2043.188180530986,0.0,0.20486298761338906,0.2857423308803053,0.400110508925399,1.0,0.08430757139073064,0.8711340206185567,0.6608029589999221,0.3089009179490015,0.8109666167601469,0.3891418367488003,0.4314111016570812,0.4314111016570812,0.43113495050671663,0.5983543623208526,0.2542153683942588,0.6666666666666666,,0.3333333333333333,0.3333333333333333,0.1154997467585391,0.1154997467585391,0.034482758620689655,1.3176443462893468,0.4974050906225934,11,1.990123492329764,0.7858145727082766,4,0,0,0.3445403588963243,0.49824629097731155,12,0,0.0,0.5140919903486056,0.6888624318682552,6,3.8622100754188224,0.7029069172754752,8.25,6.769230769230769,0.5341457663300453,10,cgau,10.0,10.0,,1,0.7692307692307693,,,2,8.0,9
smoothed,morl,14.101688194213883,0.6633986928104575,146.204929558186,-0.055913257822733375,36,17,1142.7480863851504,,False,8.359568387827853,18185.155228449188,0.11279897283337606,1.8964584089601498e-06,0.5595584931419895,3,2488.1215112559944,39.51914673087026,4490.706267628259,"[7, 23, 34]","[4490.706267628259, 2934.1391194088537, 39.51914673087026]","[1, 13, 28]","[28, 28, 35]",0.05,10,76522409.6615251,3359.7847527570175,-3359.7847527570175,CWT,uc1.l0082986993,2309.9215112559946,3807.372934294926,2676.451419423684,0.0,-3.5,0.0,-3.5,2309.9215112559946,6573.364533767984,2309.9215112559946,2676.451419423684,0.0,-3.5,,0.0,2.0,35.052480064203564,0.0,0.034184576795782434,0.0693977691220462,1.0,0.07726897405635164,0.9224581938940608,0.11340206185567,0.8752782890927453,0.2341086623394949,,0.006318060066098391,0.35575859484871,0.35575859484871,0.3554457009359665,1.0,0.541626828292236,0.3333333333333333,,0.6666666666666666,0.6666666666666666,0.2742728438434254,0.2742728438434254,0.06896551724137931,1.4829666070082759,0.5598135351367804,10,1.6200538930657191,0.6396899301226235,11,0,0,0.4082571375488848,0.5903883225766156,11,1,0.11111111111111112,0.41020676033896336,0.549660433931838,11,0.5,0.9615384615384616,10.75,10.73170731707317,0.5673076923076923,9,morl,9.0,9.0,,1,0.6923076923076923,,,6,8.25,10
