signal_type,wavelet,wavelet_energy_entropy,wavelet_sparsity,wavelet_adaptive_threshold,wavelet_psnr,signal_length,scales_used,emd_value,kl_divergence,is_complex,change_point_indices,change_point_prominences,num_change_points,wavelet_entropy,avg_variance_across_levels,variance_ratio_across_levels,smoothness,correlation,relative_num_peaks,avg_prominence,prominence_min,prominence_max,relative_peaks,relative_prominences,relative_left_bases,relative_right_bases,prominence_threshold,distance_factor,max_autocorrelation,upper_envelope,lower_envelope,fft_frequency_max,fft_amplitude_max,fft_spectral_centroid,fft_spectral_bandwidth,fft_spectral_magnitude,fft_variance_magnitude,fft_num_peaks,fft_peak_amplitude,fft_dominant_frequency,fft_positive_frequencies,fft_positive_amplitudes,fft_snr_threshold,fft_stationarity_threshold,fft_dynamic_cutoff,fft_dynamic_cutoff_percentile,wavelet_type,htid,max_autocorrelation_diff,fft_amplitude_max_diff,fft_dominant_frequency_diff,prominence_max_diff,fft_variance_magnitude_diff,avg_prominence_diff,upper_envelope_diff,relative_prominences_avg_diff,relative_prominences_total_diff,relative_prominences_wasserstein,fft_snr_threshold_diff,lower_envelope_diff,relative_peaks_array_alignment_score,relative_peaks_global_alignment_score,fft_peak_amplitude_diff,fft_stationarity_threshold_diff,relative_left_bases_array_alignment_score,relative_left_bases_global_alignment_score,fft_frequency_max_diff,fft_num_peaks_diff,fft_dynamic_cutoff_percentile_diff,prominence_min_diff,fft_dynamic_cutoff_diff,fft_spectral_centroid_diff,fft_spectral_bandwidth_diff,prominence_threshold_diff,distance_factor_diff,fft_spectral_magnitude_diff,relative_right_bases_array_alignment_score,relative_right_bases_global_alignment_score,relative_num_peaks_diff,emd_value_normalized,smoothness_normalized,wavelet_psnr_normalized,wavelet_entropy_normalized,wavelet_energy_entropy_normalized,wavelet_sparsity_normalized,correlation_normalized,avg_variance_across_levels_normalized,kl_divergence_normalized,prominence_min_diff_normalized,avg_prominence_diff_normalized,relative_prominences_avg_diff_normalized,relative_prominences_wasserstein_normalized,relative_prominences_total_diff_normalized,prominence_max_diff_normalized,relative_num_peaks_diff_normalized,max_autocorrelation_diff_normalized,relative_right_bases_global_alignment_score_normalized,relative_right_bases_array_alignment_score_normalized,relative_left_bases_global_alignment_score_normalized,upper_envelope_diff_normalized,lower_envelope_diff_normalized,relative_peaks_array_alignment_score_normalized,relative_peaks_global_alignment_score_normalized,reconstruction_signal_weighted_score,reconstruction_signal_normalized_weighted_score,reconstruction_signal_normalized_weighted_rank,wavelet_signal_weighted_score,wavelet_signal_normalized_weighted_score,wavelet_signal_normalized_weighted_rank,reconstruction_signal_num_missing_metrics,reconstruction_signal_missing_metrics_count,reconstruction_signal_dynamically_weighted_score,reconstruction_signal_normalized_dynamically_weighted_score,reconstruction_signal_normalized_dynamically_weighted_rank,wavelet_signal_num_missing_metrics,wavelet_signal_missing_metrics_count,wavelet_signal_dynamically_weighted_score,wavelet_signal_normalized_dynamically_weighted_score,wavelet_signal_normalized_dynamically_weighted_rank,rank_variability,normalized_rank_stability,average_rank,harmonic_average_rank,stability_score_weighted,stability_rank,wavelet_family,normalized_family_mean_rank,normalized_family_std_dev,final_family_stability_score,final_family_stability_rank,family_informed_rank,relative_left_bases_array_alignment_score_normalized,across_emd_value_normalized,across_smoothness_normalized,across_wavelet_psnr_normalized,across_wavelet_entropy_normalized,across_wavelet_energy_entropy_normalized,across_wavelet_sparsity_normalized,across_correlation_normalized,across_avg_variance_across_levels_normalized,across_kl_divergence_normalized,across_prominence_min_diff_normalized,across_avg_prominence_diff_normalized,across_relative_prominences_avg_diff_normalized,across_relative_prominences_wasserstein_normalized,across_relative_prominences_total_diff_normalized,across_prominence_max_diff_normalized,across_relative_num_peaks_diff_normalized,across_max_autocorrelation_diff_normalized,across_relative_right_bases_global_alignment_score_normalized,across_relative_right_bases_array_alignment_score_normalized,across_relative_left_bases_global_alignment_score_normalized,across_relative_left_bases_array_alignment_score_normalized,across_upper_envelope_diff_normalized,across_lower_envelope_diff_normalized,across_relative_peaks_array_alignment_score_normalized,across_relative_peaks_global_alignment_score_normalized,across_reconstruction_signal_weighted_score,across_reconstruction_signal_normalized_weighted_score,across_reconstruction_signal_normalized_weighted_rank,across_wavelet_signal_weighted_score,across_wavelet_signal_normalized_weighted_score,across_wavelet_signal_normalized_weighted_rank,across_rank_variability,across_normalized_rank_stability,across_average_rank,across_harmonic_average_rank,across_stability_score_weighted,across_stability_rank,family_mean_stability_rank,family_median_stability_rank,family_rank_std_dev,family_wavelet_count,across_normalized_family_mean_rank,across_normalized_family_std_dev,across_final_family_stability_score,across_final_family_stability_rank,across_family_informed_rank,across_top_wavelet_rank
raw,gaus8,21.644100462131426,0.668198032048238,572.7419325516578,-30.701791616245767,713,127,38480.2544657069,,False,"[18, 49, 83, 109, 158, 184, 212, 249, 277, 321, 346, 386, 429, 481, 523, 551, 588, 617, 656, 695]","[111677.29666204617, 25345.758113276024, 5482.408104669402, 70555.65919457737, 40783.83493903093, 24372.583407858092, 65874.13404259844, 11629.003567442265, 49543.714451981265, 78063.12276211288, 27046.595452614667, 60345.69422675174, 42923.161331815434, 25860.477676279126, 28508.21647147263, 72052.22260710932, 32279.363382686326, 52870.90493641541, 3618.457803151403, 113597.35749476106]",20,15.227614393210295,412339.8927374153,0.016765982869501334,1.875812854428604e-07,0.276648220861525,22,44444.62711051307,59.54384699139155,149346.57214455376,"[18, 49, 83, 121, 149, 184, 212, 254, 283, 321, 346, 379, 402, 429, 481, 509, 539, 563, 588, 626, 656, 695]","[129899.76597829773, 25345.758113276024, 7182.450777902606, 40783.83493903093, 20833.06240546288, 24372.583407858092, 116361.18966734021, 11629.003567442265, 7036.125890711293, 149346.57214455376, 27046.595452614667, 7502.90320224248, 4489.148241933071, 106105.72940253635, 44500.82983969679, 29668.805972936258, 1563.9628705884897, 59.54384699139155, 89770.89479656982, 17067.22061539015, 3618.457803151403, 113597.35749476106]","[0, 31, 79, 109, 137, 109, 109, 249, 277, 109, 332, 374, 386, 386, 469, 495, 536, 551, 551, 617, 551, 551]","[551, 551, 109, 158, 158, 194, 277, 277, 288, 551, 386, 386, 406, 551, 551, 551, 551, 564, 617, 633, 660, 712]",0.05,30,1725079563314.0137,131352.32008824663,-131352.32008824663,,,,,,,,,,,,,,,,CWT,inu.32000013025061,,,,147918.57214455376,,43472.37711051307,129924.32008824663,43472.37711051307,954447.7964312877,43473.36541470253,,129924.32008824663,0.0,-4.0,,,0.0,-1.0,,,,56.54384699139155,,,,0.0,0.0,,0.0,0.5,2.0,0.11182847280067025,0.03344058181904488,0.7772892722357411,0.634520399224852,0.7935762025984193,0.4448254992939278,0.7622006521849182,0.02931111961250906,,0.01534732200069916,0.914738094345585,0.914738094345585,0.9147736555559666,0.9145019480115945,0.45074034028843735,0.5,,0.6428571428571428,0.0,0.7272727272727273,0.0875677314172427,0.0875677314172427,0.0,0.40909090909090906,1.9643585554224325,0.773556455116794,3,1.718537489075537,0.7402905855635107,4,0,0,0.4699425497573667,0.8030721065938676,5,1,0.11111111111111112,0.44281846941570474,0.7444731243321231,4,0.816496580927726,0.9371925706978672,4.0,3.8709677419354844,0.8147501315027798,2,gaus,0.7045454545454546,1.0,0.2068181818181818,1,1.75,,0.11441001992310319,0.015894960451819096,0.7850760592429165,0.6350887239973096,0.7935008461178934,0.41884111233615073,0.6726305754351789,0.03549796199990976,,0.009678351385836878,0.907889413450992,0.907889413450992,0.9079247084131615,0.9173205768230684,0.45627123312904716,0.5,,0.6428571428571429,0.0,0.6666666666666667,0.0,0.09042593772681473,0.09042593772681473,0.0,0.4090909090909091,1.955751408847641,0.8077223219795412,5,1.6752197746243238,0.7412027381076468,8,2.1213203435596424,0.9184107560169368,6.5,6.153846153846153,0.8342053780084684,1,13.5,13.5,7.474400756359447,16,0.6,1.0,0.27999999999999997,4,1.75,1
smoothed,morl,21.344978165771135,0.6760720477962695,534.9833525221949,-29.357715682063183,713,127,31768.837259793632,,False,"[17, 49, 79, 108, 131, 158, 183, 212, 249, 276, 322, 347, 386, 409, 433, 469, 495, 523, 551, 588, 635, 659, 696]","[86319.49458965023, 18711.441143027518, 17326.34575600196, 54603.49831883836, 1463.0675148603696, 44681.094102606825, 33391.95156470764, 54799.27886821702, 14922.632736532356, 54881.53316695757, 82030.45591040612, 30120.343686868095, 61428.890068221095, 1476.995985973899, 39625.061672780605, 27743.149853763043, 23304.37911901239, 25573.113758268053, 56431.89173620291, 48290.03327058639, 74852.85264343533, 216.21880246612864, 104147.01660292892]",23,15.329400591174995,311453.05273808097,0.022393514693464397,1.9069922071987926e-07,0.40653783160512724,21,46931.83404535989,314.4617276802819,138823.78284569454,"[17, 49, 91, 123, 148, 183, 212, 255, 284, 322, 347, 380, 403, 433, 481, 508, 532, 588, 611, 657, 696]","[108926.32650851217, 18711.441143027518, 17326.34575600196, 44681.094102606825, 1747.6549448803617, 33391.95156470764, 111670.91656537869, 14922.632736532356, 6627.7213361307, 138823.78284569454, 30120.343686868095, 8159.067391618235, 13528.059586828538, 96572.8622031223, 46256.88782908152, 36105.64256358487, 34164.560984674106, 115477.50577778662, 314.4617276802819, 3892.2390949114197, 104147.01660292892]","[0, 31, 79, 108, 146, 108, 108, 249, 276, 108, 332, 374, 386, 386, 469, 495, 523, 386, 609, 635, 635]","[635, 108, 108, 158, 158, 194, 276, 276, 288, 635, 386, 386, 413, 551, 551, 551, 551, 635, 635, 659, 712]",0.05,30,1124364094368.8796,111183.5497817188,-111183.5497817188,,,,,,,,,,,,,,,,CWT,inu.32000013025061,,,,137479.1161790279,,46051.59162111746,109838.88311505213,46051.59162111746,966203.1816192243,46051.59162111747,,109838.88311505213,0.0,-2.5,,,0.0,-2.5,,,,195.12839434694865,,,,0.0,0.0,,0.0,0.5,1.0,0.03911818005157108,3.5800795214813164e-05,0.8982118025747113,0.7111622008536865,0.7573756929712593,0.462513781697905,0.9999999999999999,0.0,,0.032372203565101676,1.0,1.0,1.0,1.0,0.3970078608939069,0.5,,0.9999999999999999,0.0,0.5588235294117647,0.0495347022610832,0.0495347022610832,0.0,0.475,2.078911825362094,0.9059535473176739,4,1.8699477353904974,0.8170894636173884,3,0,0,0.47081819989286267,0.7630437496191039,5,1,0.11111111111111112,0.47799662681248795,0.8147764415092964,3,0.9574271077563381,0.9263517609418201,3.75,3.582089552238806,0.8189451112401409,1,morl,0.09090909090909091,,,5,2.0,0.0,0.03911818005157108,0.016184559744837252,0.8722903677412539,0.6994760433355574,0.7638042446585946,0.4625137816979049,0.9999999999999999,0.0,,0.034232818554749314,1.0,1.0,1.0,0.9359084272439473,0.3970078608939068,0.25,,0.6428571428571429,0.0,0.5833333333333335,0.0,0.049359135688219175,0.049359135688219175,0.0,0.47727272727272735,1.9145452369842328,0.7907042364156857,9,1.856610699259913,0.8214593420734918,5,2.8284271247461903,0.8912143413559157,7.0,6.428571428571429,0.8109917860625733,2,3.0,3.0,1.4142135623730951,2,0.13333333333333333,0.18920761790433022,0.8499043812953676,1,1.75,2
smoothed,gaus6,21.772846096371346,0.6529469580678292,552.61101075055,-32.370507293642305,713,127,41939.38717620838,,False,"[21, 49, 83, 110, 157, 185, 212, 249, 276, 321, 348, 386, 430, 469, 496, 522, 551, 589, 616, 679]","[126710.88932924597, 27611.403156680637, 2563.0162735420454, 28365.26620977129, 82437.60422361392, 17410.202995575826, 53817.24339208943, 10116.478148801867, 36410.70924091867, 73963.94726290279, 23330.83685165534, 54921.77222081441, 40127.28951908865, 16041.524160066961, 22539.473781637043, 23353.085411023723, 81354.75569085477, 31024.640406320177, 29106.90619972511, 132790.62558678916]",20,15.085192949032658,456938.9880482273,0.014808386708150914,5.782950631917216e-07,0.26615320223362743,20,45793.51048479458,1839.3971198868658,156219.56827354353,"[21, 49, 83, 120, 148, 185, 212, 255, 284, 321, 348, 378, 403, 430, 481, 508, 531, 589, 628, 679]","[138753.58352181612, 27611.403156680637, 2563.0162735420454, 28365.26620977129, 14472.582492561887, 17410.202995575826, 96347.13345179593, 10311.19660153394, 5978.06797847489, 156219.56827354353, 23330.83685165534, 5235.307535347478, 1839.3971198868658, 97921.6488738303, 37034.54260045332, 22539.473781637043, 23353.085411023723, 62333.422094805705, 11459.848885166437, 132790.62558678916]","[0, 30, 80, 110, 137, 157, 157, 249, 276, 157, 333, 374, 386, 386, 469, 496, 522, 551, 616, 157]","[157, 157, 157, 157, 157, 194, 276, 276, 300, 551, 386, 386, 406, 551, 551, 551, 551, 616, 634, 712]",0.05,30,2244081995867.091,143234.9863543682,-143234.9863543682,,,,,,,,,,,,,,,,CWT,inu.32000013025061,,,,154874.90160687687,,44913.26806055215,141890.31968770153,44913.26806055215,896504.8763625581,44913.268060552145,,141890.31968770153,0.0,0.0,,,0.0,-3.0,,,,1720.0637865535325,,,,0.0,0.0,,0.0,-7.5,2.0,0.15321620021897045,0.0366273105705655,0.6969085877063028,0.554101864587492,0.8010101845796294,0.33425211319367876,0.6430697105451273,0.05119056363738797,,0.3030814208598265,0.9582234568396162,0.9582234568396162,0.9582207633053416,0.8822445096807995,0.4957613697489358,1.0,,0.33333333333333337,0.0,0.5294117647058824,0.1153003512993714,0.1153003512993714,0.0,0.6,2.294722319391858,1.0,1,1.5640591853946806,0.683428877007149,5,0,0,0.4832733851941396,0.7832295693190428,3,1,0.11111111111111112,0.40324151132433866,0.6873514691026512,5,1.9148542155126762,0.8527035218836403,3.5,2.307692307692308,0.7917363763264356,2,gaus,0.6931818181818182,1.0,0.21477272727272723,1,1.75,0.0,0.15321620021897048,0.0521851408935083,0.6767965489985914,0.5449965976555805,0.8062826007251874,0.33425211319367876,0.6461792819919029,0.05119056363738797,,0.3044214993070245,0.9593474484517941,0.9593474484517941,0.9593474484517934,0.8257000714999645,0.4957613697489358,0.5,,0.2619047619047619,0.0,0.5555555555555556,0.0,0.1148916905705564,0.1148916905705564,0.0,0.5909090909090909,2.0613544001792445,0.8513361948779413,4,1.55598671445247,0.6884479461627209,9,3.5355339059327378,0.8640179266948946,6.5,5.538461538461538,0.8070089633474473,3,13.5,13.5,7.474400756359447,16,0.6,1.0,0.27999999999999997,4,3.25,3
raw,fbsp,19.012037163192417,0.7295115459796137,973.1212356304679,-36.8915857852119,713,127,76934.68794113206,-1976670.495254004,True,"[2, 41, 67, 92, 124, 149, 172, 211, 236, 261, 297, 321, 351, 375, 401, 431, 459, 485, 508, 531, 574, 600, 628, 655, 688, 711]","[4455.750176761212, 14365.722671580705, 5534.08878277347, 6449.484173099394, 22464.261368824897, 5014.314835448398, 35470.777937034654, 85711.16386218596, 6099.952419513371, 7345.127960088743, 3962.9335135831134, 99789.86790695389, 33066.548728154055, 1424.362458614134, 16999.83997915319, 59189.563476187344, 3686.0890423556266, 9037.659825379378, 27138.655912217077, 23686.25516624028, 14400.088330336599, 57355.85447013097, 27663.408362758055, 18274.65914128015, 7092.317707740323, 2801.226444212196]",26,15.199803800176129,875293.2042022477,0.016120674748188055,1.6450142811101463e-08,0.11520027296773247,26,38292.73336351611,80.19821488264279,163520.18287090183,"[22, 49, 75, 98, 121, 151, 183, 211, 236, 261, 284, 321, 348, 378, 402, 431, 458, 481, 508, 531, 565, 588, 628, 652, 675, 707]","[28862.627774645967, 163520.18287090183, 8252.483966329353, 3724.922216107254, 28408.666546700308, 11839.2968250565, 20129.0016208498, 92767.10998968284, 5692.222544478638, 5481.739991373543, 17172.876232740888, 128355.82402888866, 28781.55705235528, 9521.4972739216, 12925.357852729961, 89906.91792726901, 2154.544490076878, 42459.521662373896, 32776.153237290775, 30112.891673770442, 80.19821488264279, 56547.61506206586, 27400.365226302492, 5984.3253008999745, 141340.1212862493, 1413.0465834751813]","[0, 0, 74, 97, 109, 142, 157, 157, 234, 260, 276, 157, 331, 375, 386, 386, 457, 469, 496, 522, 550, 157, 617, 157, 157, 706]","[28, 157, 157, 157, 157, 157, 194, 276, 276, 276, 299, 386, 386, 380, 410, 550, 469, 550, 550, 550, 566, 617, 634, 653, 712, 712]",0.05,30,7181082122816.26,294985.0123013789,-294985.0123013789,,,,,,,,,,,,,,,,CWT,inu.32000013025061,,,,162092.18287090183,,37320.48336351611,293557.0123013789,37320.48336351611,972277.067451419,37320.48336351611,,293557.0123013789,0.0,-9.5,,,0.0,-5.0,,,,77.19821488264279,,,,0.0,0.0,,0.0,-5.0,2.0,0.5468477386760703,0.0,0.3610946289289595,0.6169007377504173,0.5322424314243108,0.8181695918230107,0.3011072158755435,0.19342876786584717,0.0,0.021150405698350597,0.6933803483014148,0.6933803483014148,0.6933803483014146,0.9436550433689156,0.5354335520958471,0.5,,0.38095238095238093,0.0,0.48484848484848486,0.4231834126290611,0.4231834126290611,0.0,0.15909090909090906,1.8576033663630527,0.7315166933909425,7,1.4803649137733215,0.6376935131362494,6,0,0,0.42511704615837537,0.726471016475599,6,0,0.0,0.37442123470490657,0.6294826563690008,7,0.5773502691896257,0.9555884408315672,6.5,6.461538461538462,0.7277942204157837,4,fbsp,0.36363636363636365,,,3,3.75,,0.5458099700008916,0.0,0.3834331129894875,0.6174964612889813,0.5321918906995671,0.7589121646453504,0.26572257489083667,0.1983923400795427,0.07620840038530263,0.01333790079417884,0.6881889817523968,0.6881889817523968,0.6881889817523966,0.9455125771307744,0.5367328942697607,0.5,,0.38095238095238093,0.0,0.44444444444444453,0.0,0.4249902983193823,0.4249902983193823,0.0,0.15909090909090912,1.8488481732012954,0.7635714501802106,12,1.488341226788647,0.6585181295281862,11,0.7071067811865476,0.9728035853389789,11.5,11.478260869565217,0.7652479465156433,7,7.5,7.5,0.7071067811865476,2,0.3333333333333333,0.09460380895216511,0.7382855239810171,2,5.75,4
smoothed,gaus4,22.022602046411098,0.6486620799328555,564.5541045727656,-34.10062267718524,713,127,49819.999097955,,False,"[22, 49, 82, 110, 158, 185, 212, 249, 276, 321, 348, 386, 430, 469, 496, 522, 551, 575, 599, 629, 677]","[19895.206791640565, 158433.4176649002, 907.1139695358725, 17031.381529951195, 82432.80702308459, 3029.279991036444, 39170.117090550244, 10077.536310192683, 33374.492832573356, 70077.06226562543, 19645.928943036415, 52899.41867938913, 26710.69936234037, 31444.572635501892, 20601.92872780028, 23682.974679215567, 76186.13702719987, 3800.362030331349, 43660.09156287892, 8379.044469233078, 163103.210688168]",21,14.898594698850205,554147.794579139,0.015456362614761828,7.217678198915224e-07,0.19628594430941268,21,41599.84528726153,907.1139695358725,167776.78848030657,"[22, 49, 82, 119, 144, 185, 212, 257, 284, 321, 348, 378, 403, 430, 481, 509, 532, 575, 599, 629, 677]","[19895.206791640565, 167776.78848030657, 907.1139695358725, 17031.381529951195, 7757.368401092164, 14569.69665362446, 73451.50082997017, 10491.52128055326, 4678.897779561388, 148006.91170209012, 19645.928943036415, 4356.452134179912, 7549.432518453689, 82806.3652253672, 31444.572635501892, 20601.92872780028, 23682.974679215567, 3800.362030331349, 43660.09156287892, 8379.044469233078, 163103.210688168]","[0, 0, 80, 110, 138, 158, 158, 249, 276, 158, 333, 374, 386, 386, 469, 496, 522, 551, 551, 608, 158]","[29, 158, 158, 158, 158, 194, 276, 276, 300, 551, 551, 386, 413, 551, 551, 551, 551, 579, 608, 633, 712]",0.05,30,3340263256940.3555,174058.43254455336,-174058.43254455336,,,,,,,,,,,,,,,,CWT,inu.32000013025061,,,,166432.1218136399,,40719.60286301911,172713.7658778867,40719.60286301911,854231.4176991588,40719.60286301911,,172713.7658778867,0.0,8.0,,,0.0,5.0,,,,787.7806362025392,,,,0.0,0.0,,0.0,-7.0,1.0,0.2416246172041417,0.05017205022978581,0.5813088935681685,0.4340925820636562,0.8264805999268662,0.310486340806076,0.4654310281198919,0.085394375753157,,0.13758087361146942,0.8043156917768135,0.8043156917768135,0.8043030750701348,0.81082337778863,0.5613701376175574,0.5,,0.375,0.0,1.0,0.17854631344835334,0.17854631344835334,0.0,0.9999999999999999,2.0601698827530046,0.8977861353172292,5,1.4111356252379905,0.6166076352269354,7,0,0,0.4769867649692084,0.7730409948969954,4,1,0.11111111111111112,0.36881825540341234,0.6286747831363739,8,1.8257418583505538,0.8595583185884189,6.0,5.5721393034825875,0.6990099285249787,4,gaus,0.6931818181818182,1.0,0.21477272727272723,1,3.25,0.0,0.24162461720414175,0.06551114198592184,0.5645329387660347,0.4269593650769298,0.8310781542518474,0.31048634080607596,0.4700881851626,0.08539437575315699,,0.13923918681808603,0.809580548666319,0.809580548666319,0.8095805486663187,0.7588564322787815,0.5613701376175574,0.25,,0.2857142857142857,0.0,1.0,0.0,0.17791348912684207,0.17791348912684207,0.0,0.9545454545454547,1.9211534499245386,0.7934334181900831,8,1.4062668113697618,0.6222042187455222,13,3.5355339059327378,0.8640179266948946,10.5,9.904761904761905,0.7300858864243704,9,13.5,13.5,7.474400756359447,16,0.6,1.0,0.27999999999999997,4,7.75,5
raw,gaus7,21.699677548882644,0.6545593091186183,567.3010605137316,-31.23276229675045,713,127,38954.03545706409,,False,"[2, 52, 75, 104, 127, 170, 198, 245, 273, 307, 355, 398, 422, 462, 493, 519, 560, 604, 644, 685]","[5997.143591812521, 9711.690127287002, 97369.5093974898, 5751.433166594652, 19889.047954899874, 89169.29862169229, 19748.272792916956, 34803.41317844472, 10753.528017984963, 73925.71532195996, 69660.19452423613, 45096.1695319039, 23322.728862854758, 37516.76112215736, 37172.64274883159, 25686.265539791013, 57704.52376747978, 39185.633382437634, 82100.3488203578, 321.28861532811425]",20,15.183869185034728,445128.6476589749,0.01487069341801094,1.793788833609294e-07,0.02296539282380635,25,39273.75481547797,321.28861532811425,189869.3010188993,"[26, 52, 75, 104, 127, 150, 191, 218, 245, 273, 296, 328, 355, 381, 411, 439, 462, 493, 519, 546, 577, 604, 631, 658, 685]","[12131.9034173166, 9711.690127287002, 189869.3010188993, 5751.433166594652, 19889.047954899874, 4929.313965744423, 19748.272792916956, 32210.10175591636, 111923.16873129547, 10753.528017984963, 494.3650655730562, 36820.9723078487, 152484.2860575312, 379.838740652609, 23322.728862854758, 28969.756837516823, 86279.97181843311, 43739.597529039136, 25686.265539791013, 27295.447153846, 15903.918360925756, 98708.49382104076, 6313.37153919827, 18205.807188514613, 321.28861532811425]","[2, 2, 2, 100, 116, 141, 170, 170, 170, 268, 295, 170, 170, 379, 398, 398, 398, 473, 500, 526, 560, 560, 625, 644, 644]","[32, 56, 170, 170, 170, 170, 198, 226, 307, 307, 307, 336, 644, 398, 422, 446, 560, 560, 560, 560, 582, 644, 644, 662, 686]",0.05,30,1929626805151.196,197298.396797762,-197298.396797762,,,,,,,,,,,,,,,,CWT,inu.32000013025061,,,,188441.3010188993,,38301.50481547797,195870.396797762,38301.50481547797,958509.8703869494,38301.50481547798,,195870.396797762,0.0,-13.0,,,0.0,-13.0,,,,318.28861532811425,,,,0.0,0.0,,0.0,-13.0,1.0,0.11718816322954208,0.03183775784606561,0.7415874141534525,0.6068052132079542,0.7990943714347922,0.36177795709770705,0.03768548529322885,0.040934782763021385,,0.0888875439081328,0.7286795108614413,0.7286795108614413,0.7286795108614413,0.9211439486432627,0.692880478453038,0.25,,0.0,0.0,0.0,0.22282516169458058,0.22282516169458058,0.0,0.0,1.6786201011737196,0.6610338073806971,8,1.3687693071977098,0.589621721008738,8,0,0,0.3274714876412799,0.559607163823088,10,1,0.11111111111111112,0.3365583375726649,0.5658269796726347,11,1.5,0.8846153846153846,9.25,9.072164948453608,0.5865384615384615,8,gaus,0.7045454545454546,1.0,0.2068181818181818,1,6.25,,0.11972511827580458,0.015133106970931884,0.7506224695643909,0.607416635397486,0.7990184909594928,0.3431949038343745,0.033256872170963014,0.04703498681144669,,0.05605439722498312,0.7232238580629337,0.7232238580629337,0.7232238580629337,0.923743609491013,0.6863132557396608,0.25,,0.0,0.0,0.0,0.0,0.2252596722911156,0.2252596722911156,0.0,0.0,1.6628500929559187,0.6867545292873588,16,1.3634432176178586,0.6032568749848277,15,0.7071067811865476,0.9728035853389789,15.5,15.483870967741938,0.6883248695925663,10,13.5,13.5,7.474400756359447,16,0.6,1.0,0.27999999999999997,4,8.5,6
