amplitude_max,amplitude_max_diff,avg_prominence,avg_prominence_diff,avg_variance_across_levels,correlation,dominant_frequency,dominant_frequency_diff,dynamic_cutoff,dynamic_cutoff_diff,emd_value,frequency_max,frequency_max_diff,htid,is_complex,kl_divergence,lower_envelope,lower_envelope_diff,max_autocorrelation,max_autocorrelation_diff,num_fft_peaks,num_fft_peaks_diff,positive_amplitudes,positive_frequencies,prominence_max,prominence_max_diff,prominence_min,prominence_min_diff,relative_left_bases,relative_left_bases_array_alignment_score,relative_left_bases_global_alignment_score,relative_num_peaks,relative_num_peaks_diff,relative_peaks,relative_peaks_array_alignment_score,relative_peaks_global_alignment_score,relative_prominences,relative_prominences_avg_diff,relative_prominences_total_diff,relative_prominences_wasserstein,relative_right_bases,relative_right_bases_array_alignment_score,relative_right_bases_global_alignment_score,scales_used,signal_length,signal_type,smoothness,spectral_bandwidth,spectral_bandwidth_diff,spectral_centroid,spectral_centroid_diff,spectral_magnitude,spectral_magnitude_diff,upper_envelope,upper_envelope_diff,variance_ratio_across_levels,wavelet,wavelet_adaptive_threshold,wavelet_energy_entropy,wavelet_entropy,wavelet_psnr,wavelet_sparsity,wavelet_type,emd_value_normalized,smoothness_normalized,wavelet_psnr_normalized,wavelet_entropy_normalized,wavelet_energy_entropy_normalized,wavelet_sparsity_normalized,correlation_normalized,avg_variance_across_levels_normalized,kl_divergence_normalized,prominence_min_diff_normalized,avg_prominence_diff_normalized,relative_prominences_avg_diff_normalized,relative_prominences_wasserstein_normalized,spectral_centroid_diff_normalized,dynamic_cutoff_diff_normalized,relative_prominences_total_diff_normalized,prominence_max_diff_normalized,amplitude_max_diff_normalized,frequency_max_diff_normalized,spectral_bandwidth_diff_normalized,num_fft_peaks_diff_normalized,relative_num_peaks_diff_normalized,dominant_frequency_diff_normalized,max_autocorrelation_diff_normalized,relative_right_bases_global_alignment_score_normalized,relative_left_bases_global_alignment_score_normalized,upper_envelope_diff_normalized,lower_envelope_diff_normalized,relative_peaks_global_alignment_score_normalized,reconstruction_weighted_score,reconstruction_normalized_weighted_score,reconstruction_normalized_weighted_rank,signal_weighted_score,signal_normalized_weighted_score,signal_normalized_weighted_rank,reconstruction_missing_metrics_count,reconstruction_dynamically_weighted_score,reconstruction_normalized_dynamically_weighted_score,reconstruction_normalized_dynamically_weighted_rank,signal_missing_metrics_count,signal_dynamically_weighted_score,signal_normalized_dynamically_weighted_score,signal_normalized_dynamically_weighted_rank,rank_variability,normalized_rank_stability,average_rank,harmonic_average_rank,stability_score_weighted,stability_rank,wavelet_family,normalized_family_mean_rank,normalized_family_std_dev,final_family_stability_score,final_family_stability_rank,family_informed_rank,across_emd_value_normalized,across_smoothness_normalized,across_wavelet_psnr_normalized,across_wavelet_entropy_normalized,across_wavelet_energy_entropy_normalized,across_wavelet_sparsity_normalized,across_correlation_normalized,across_avg_variance_across_levels_normalized,across_kl_divergence_normalized,across_prominence_min_diff_normalized,across_avg_prominence_diff_normalized,across_relative_prominences_avg_diff_normalized,across_relative_prominences_wasserstein_normalized,across_spectral_centroid_diff_normalized,across_dynamic_cutoff_diff_normalized,across_relative_prominences_total_diff_normalized,across_prominence_max_diff_normalized,across_amplitude_max_diff_normalized,across_frequency_max_diff_normalized,across_spectral_bandwidth_diff_normalized,across_num_fft_peaks_diff_normalized,across_relative_num_peaks_diff_normalized,across_dominant_frequency_diff_normalized,across_max_autocorrelation_diff_normalized,across_relative_right_bases_global_alignment_score_normalized,across_relative_left_bases_global_alignment_score_normalized,across_upper_envelope_diff_normalized,across_lower_envelope_diff_normalized,across_relative_peaks_global_alignment_score_normalized,across_reconstruction_weighted_score,across_reconstruction_normalized_weighted_score,across_reconstruction_normalized_weighted_rank,across_signal_weighted_score,across_signal_normalized_weighted_score,across_signal_normalized_weighted_rank,across_rank_variability,across_normalized_rank_stability,across_average_rank,across_harmonic_average_rank,across_stability_score_weighted,across_stability_rank,family_mean_stability_rank,family_median_stability_rank,family_rank_std_dev,family_wavelet_count,across_normalized_family_mean_rank,across_normalized_family_std_dev,across_final_family_stability_score,across_final_family_stability_rank,across_family_informed_rank,across_top_wavelet_rank
,,60856.21608938296,60715.7699355368,285993.68620002735,0.5219743467556883,,,56108.41687242287,55703.41687242287,47586.0832367431,,,inu.30000003214412,False,,-64988.6923913153,64462.2923913153,277389143770.6734,277372831650.3134,,,[],[],60856.21608938296,60329.816089382955,60856.21608938296,60822.416089382954,[0],0.0,-12.5,1,12.0,[41],0.0,-12.5,[60856.21608938296],60715.7699355368,59030.416089382954,60715.7699355368,[104],0.0,-12.5,51,105,smoothed,2.7623948970097815e-05,,,,,0.0,0.0,64988.6923913153,64462.2923913153,0.044101192140346857,mexh,1087.5496663429826,771218519.8544223,11.204392281346703,-39.7293033911352,0.6412698412698413,CWT,1.0,1.0,0.006867103498260363,0.7035439509373481,1.0,1.0,0.8117033315122064,0.17619645655197747,,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,,,,,0.6666666666666666,,0.9867098970763921,0.0,0.0,0.6797093241956376,0.6797093241956376,0.0,3.731905344883118,1.0,1,2.251052152793304,1.0,1,0.0,0.7151996580095955,0.9314228104311012,2,0,0.7122888553124741,1.0,1,0.5,0.95,1.25,1.1428571428571428,0.9125,1,mexh,0.14285714285714285,,,2,1.25,0.9966698676961854,0.9999999999999999,0.005972597980372529,0.6265602327772684,1.0,0.9557823129251704,0.8123848416391397,0.17619645655197747,,1.0,1.0,1.0,1.0000000000000002,,1.0,0.9999999999999999,1.0,,,,,0.3999999999999999,,0.9867098970763921,0.21052631578947367,0.2,0.674512668175319,0.674512668175319,0.16666666666666663,3.6975459807206046,1.0,1,2.1936100799322285,1.0,1,0.0,1.0,1.0,1.0,0.975,1,1.5,1.5,0.7071067811865476,2,0.08333333333333333,0.1402228978616276,0.8995997973081784,1,1.0,1
,,28266.678356910645,27898.81169024398,268134.1829431585,0.22517211758634662,,,55519.28240293991,55124.28240293991,47727.23044823318,,,inu.30000003214412,False,,-64221.38852531053,63495.38852531053,274400192250.6281,274381731766.6281,,,[],[],54621.07504841672,53910.07504841672,1912.2816654045673,1832.2816654045673,"[0, 52]",0.0,-9.5,2,13.0,"[40, 70]",0.0,-14.0,"[54621.07504841672, 1912.2816654045673]",27898.81169024398,51015.35671382129,27898.811690243976,"[104, 104]",0.0,-5.0,51,105,raw,3.656141096152383e-06,,,,,0.0,0.0,64221.38852531053,63495.38852531053,0.04538263422424311,mexh,1096.8860890725296,767450614.0270126,11.22045571894401,-36.94873277438059,0.6436974789915967,CWT,0.9999999999999999,0.6959085161335048,0.0,0.6600166753364246,0.9999999999999999,1.0,0.703423856948572,0.1671413907644104,,0.132326691021869,0.9999999999999999,0.9999999999999999,1.0,,1.0,1.0,0.9999999999999998,,,,,0.6000000000000001,,1.0,1.0,0.5,0.655803750391865,0.655803750391865,0.25,3.642019507463307,1.0,1,2.0870069915934564,1.0,1,0.0,0.7709952994146859,1.0,1,0,0.6533113048978638,1.0,1,0.0,1.0,1.0,1.0,0.95,1,mexh,0.125,,,2,1.25,1.0,0.09111660005267933,0.14230784662782614,0.6600166753364245,0.9949377812407489,1.0,0.29837617568375757,0.1627336866501639,,0.020997748413070047,0.3827440700428034,0.3827440700428034,0.3827440700428034,,0.989529945857102,0.8525015936804513,0.8792507460104295,,,,,0.5999999999999999,,0.9758773009176315,0.9999999999999999,0.5,0.6617557988351177,0.6617557988351177,0.04166666666666666,2.862384433662631,0.7741308555964973,2,1.8246408612146547,0.8317981750298243,2,0.0,1.0,2.0,2.0,0.95,2,1.5,1.5,0.7071067811865476,2,0.08333333333333333,0.1402228978616276,0.8995997973081784,1,1.75,2
,,25262.681216942277,25122.235063096123,146975.30892794862,0.6303083125341875,,,32794.193711120904,32389.193711120904,29524.26682975712,,,inu.30000003214412,False,,-39674.316298298574,39147.91629829857,104126617292.20303,104110305171.84303,,,[],[],42173.97237823793,41647.57237823793,8351.390055646625,8317.590055646626,"[0, 53]",0.0,-12.0,2,11.0,"[37, 78]",0.0,-7.5,"[42173.97237823793, 8351.390055646625]",25122.235063096123,48699.56243388455,25122.235063096123,"[104, 104]",0.0,-12.0,51,105,smoothed,1.569275190969901e-05,,,,,0.0,0.0,39674.316298298574,39147.91629829857,0.06978251753922614,gaus2,692.6023104627544,320966315.507016,11.115238612423415,-35.43246952754759,0.634547152194211,CWT,0.5712817466517089,0.4516463278643124,0.2490999861158011,0.48881276347653646,0.3950817086082772,0.8506224066390023,1.0,0.0714022526808431,,0.11582826912618482,0.3305192911563143,0.3305192911563143,0.33051929115631423,,0.5783925746899874,0.8056864188108891,0.6486046747716513,,,,,0.3333333333333333,,0.35922066175357525,0.5,0.09090909090909091,0.3431503652228816,0.3431503652228816,0.5,1.957852396304985,0.5246254166090872,2,1.667095513794632,0.7405850245299528,3,0.0,0.4007024019506728,0.5218449885869227,3,0,0.5097433990045602,0.7156414075592139,3,0.5,0.95,2.75,2.666666666666667,0.8374999999999999,3,gaus,0.8392857142857143,1.0,0.11249999999999998,1,2.5,0.5705315285289331,0.547556997839383,0.21665234466947236,0.44087366443214004,0.3950817086082772,0.833333333333332,1.0,0.0714022526808431,,0.12862814421196114,0.33051929115631423,0.33051929115631423,0.33051929115631423,,0.5785069070118224,0.8098848207222773,0.6486046747716513,,,,,0.19999999999999996,,0.35922066175357537,0.2631578947368421,0.25,0.3405268402132457,0.3405268402132457,0.5833333333333333,1.9183575296595834,0.5188191139913073,3,1.6452898856380571,0.7500375297732441,4,0.7071067811865476,0.9646446609406726,3.5,3.428571428571429,0.8948223304703362,3,10.6875,10.5,5.042734046791152,16,0.59375,1.0,0.284375,2,2.75,3
,,,,1327680.4255070835,0.11731584513243223,,,5.0,390.0,42487.40304589995,,,inu.30000003214412,False,,-89858.52699856985,89132.52699856985,267109483774.1109,267091023290.1109,,,[],[],,,,,[],,,0,15.0,[],,,[],,,,[],,,51,105,raw,4.706093847493166e-06,,,,,0.0,0.0,89858.52699856985,89132.52699856985,0.0467257005632885,gaus1,948.6036582230768,634886444.1790789,11.239708009912809,-36.89782415423045,0.5887955182072829,CWT,0.8763750391190056,0.9999999999999998,0.002910275574686594,0.7001147653640399,0.820674993996103,0.0,0.2630701671115977,0.9999999999999999,,,,,,,0.0,,,,,,,1.0,,0.9729335316781766,,,0.9999999999999999,0.9999999999999999,,1.2864667658390883,0.3532289608012346,4,1.8302816236052242,0.8769887360117471,3,0.6428571428571429,0.7624438491927781,0.9889085572526839,2,0,0.5828931551456791,0.8922134834890181,2,0.9574271077563381,0.9042572892243662,2.75,2.5263157894736845,0.8146286446121831,3,gaus,0.71875,1.0,0.196875,1,2.5,0.8763750391190056,0.13093186523844647,0.14480396715238553,0.7001147653640399,0.8168365074437623,0.0,0.11158829718933501,0.9614360390508714,,,,,,,0.0,,,,,,,0.9999999999999998,,0.9494732008512513,,,1.0,1.0,,1.2747366004256255,0.34475206179239876,5,1.5767598224986508,0.7187967619784846,5,0.0,1.0,5.0,5.0,0.875,4,10.6875,10.5,5.042734046791152,16,0.59375,1.0,0.284375,2,3.5,4
,,15903.905629899265,15763.45947605311,69717.66971540074,0.4155036151672174,,,12301.382950521896,11896.382950521896,10611.821768011683,,,inu.30000003214412,False,,-21037.969502038442,20511.56950203844,16796771168.155825,16780459047.795824,,,[],[],25879.290367364814,25352.890367364813,2680.529430181952,2646.729430181952,"[0, 23, 0]",0.0,-11.5,3,10.0,"[13, 31, 87]",0.0,-2.5,"[19151.897092151034, 2680.529430181952, 25879.290367364814]",15763.45947605311,45885.91688969779,15763.459476053116,"[53, 53, 104]",0.0,-11.5,51,105,smoothed,1.1167709349286585e-05,,,,,0.0,0.0,21037.969502038442,20511.56950203844,0.03944612718676533,gaus4,332.7677934770977,62473520.183892794,11.327477077556201,-27.38944338115799,0.6225957049486461,CWT,0.12237283125154201,0.24367694373534995,0.7025234765882712,1.0,0.0477940805319821,0.5850622406638999,0.6266451744928492,0.013164248806024716,,0.02033200652473227,0.15448957855887857,0.15448957855887857,0.15448957855887865,,0.2078067257699851,0.7527644086731569,0.34211712577947806,,,,,0.0,,0.042946049585508406,1.0,0.18181818181818182,0.09537694770875871,0.09537694770875871,1.0,1.1742899748297961,0.3146623149056784,4,1.5451747243001308,0.6864233342540473,4,0.0,0.3001433663746569,0.39088438411583226,4,0,0.4176548745087399,0.5863560427679566,4,0.0,1.0,4.0,4.0,0.8,4,gaus,0.8392857142857143,1.0,0.11249999999999998,1,3.25,0.12432402942674402,0.3759628291592851,0.6110131146994209,0.8829175279915236,0.0477940805319821,0.6156462585034009,0.6279964734646579,0.013164248806024712,,0.034514350863680765,0.15448957855887854,0.15448957855887854,0.15448957855887865,,0.20802155428330688,0.7581062606056764,0.34211712577947806,,,,,0.0,,0.0429460495855084,0.3157894736842105,0.30000000000000004,0.09464775190127606,0.09464775190127606,0.9999999999999999,1.1244284692180113,0.30410128097957406,7,1.4847725229668476,0.6768625548131688,6,0.7071067811865476,0.9646446609406726,6.5,6.461538461538462,0.8198223304703363,6,10.6875,10.5,5.042734046791152,16,0.59375,1.0,0.284375,2,5.0,5
,,14283.152316054051,13915.285649387384,82831.66589604413,0.09790286038585061,,,6925.54308669081,6530.54308669081,9705.449848680557,,,inu.30000003214412,False,,-19396.99595806729,18670.99595806729,13380080372.072327,13361619888.072327,,,[],[],24419.88704767836,23708.88704767836,2200.4574795170856,2120.4574795170856,"[0, 24, 53]",0.0,-9.0,3,12.0,"[8, 31, 96]",0.0,-13.5,"[24419.88704767836, 2200.4574795170856, 16229.112420966709]",13915.285649387384,37331.45694816215,13915.285649387386,"[53, 53, 104]",0.0,-9.0,51,105,raw,2.55323460114893e-06,,,,,0.0,0.0,19396.99595806729,18670.99595806729,0.04233015136308888,gaus6,290.3907670867948,47115503.113051906,11.35154349316126,-23.742780292101248,0.6272642390289449,CWT,0.10293970042746296,0.37648035881565317,0.754940142480853,0.9330423313792144,0.025573062180819638,0.7006802721088428,0.18381117484891946,0.021483947572257685,,0.1624662267617497,0.28568600965751856,0.28568600965751856,0.2856860096575187,,0.11218824504696506,0.7046103537401568,0.31998652501845454,,,,,0.4000000000000001,,0.030973106073963468,0.5789473684210527,0.55,0.0540053933443195,0.0540053933443195,0.5,1.2842332858398946,0.3526157076336948,5,1.4384879578534717,0.6892588111337221,6,0.0,0.3088743314802527,0.4006176583887604,5,0,0.3873688737267529,0.5929315332868955,5,0.5,0.95,5.25,5.217391304347826,0.7124999999999999,5,gaus,0.71875,1.0,0.196875,1,4.0,0.10293970042746295,0.04929327560537308,0.7898140830993248,0.9330423313792143,0.02716043264318748,0.7006802721088428,0.07796846077594553,0.023049782044770383,,0.025780323900037802,0.119727177803326,0.119727177803326,0.11972717780332603,,0.1110136280471266,0.6006814494872302,0.3111949790539711,,,,,0.3999999999999999,,0.030564348743271335,0.5789473684210527,0.55,0.07036410071629301,0.07036410071629301,0.08333333333333331,0.9599228036540934,0.25961078203198346,11,1.32033913065247,0.6019023812533092,10,0.7071067811865476,0.9646446609406726,10.5,10.476190476190476,0.7198223304703363,9,10.6875,10.5,5.042734046791152,16,0.59375,1.0,0.284375,2,7.25,6
,,13801.330655409818,13433.463988743151,89092.9209067652,0.09634716147857383,,,4824.606967013592,4429.606967013592,8716.723076946482,,,inu.30000003214412,False,,-18175.58088658251,17449.58088658251,11318738179.658655,11300277695.658655,,,[],[],23530.142406621733,22819.142406621733,3070.141180237372,2990.141180237372,"[0, 24, 53]",0.0,-9.0,3,12.0,"[8, 31, 96]",0.0,-13.5,"[23530.142406621733, 3070.141180237372, 14803.708379370353]",13433.463988743151,35885.991966229456,13433.463988743155,"[53, 53, 104]",0.0,-9.0,51,105,raw,2.412773038997332e-06,,,,,0.0,0.0,18175.58088658251,17449.58088658251,0.04684930276938393,gaus8,275.0367047656915,46551199.052171156,11.295106162998076,-23.03643431968549,0.6246498599439776,CWT,0.0796123464724093,0.3357993235916006,0.7953195796908443,0.8154963650591972,0.02480970486321606,0.6530612244897953,0.1774595947459876,0.026405620577939548,,0.253424113220661,0.2610733367134676,0.2610733367134676,0.2610733367134679,,0.0738039632505827,0.6734075974348512,0.2999529308036729,,,,,0.4000000000000001,,0.023320454300667634,0.5789473684210527,0.55,0.03760705437765141,0.03760705437765141,0.5,1.2341732684963724,0.33887058154611127,6,1.3647388597204053,0.6539215561891385,7,0.0,0.3008064675947996,0.3901534390976987,6,0,0.3634954699363737,0.5563893770263185,7,0.5773502691896257,0.9422649730810374,6.5,6.461538461538462,0.6461324865405187,6,gaus,0.71875,1.0,0.196875,1,4.75,0.07961234647240929,0.04396683178365694,0.8244472095519187,0.8154963650591972,0.026402284554100038,0.6530612244897953,0.07527426699513892,0.027769612954596786,,0.04021362379819038,0.11066456831369921,0.11066456831369921,0.11066456831369928,,0.07303123175938862,0.5740810500097345,0.29445972431967177,,,,,0.3999999999999999,,0.023098971997671126,0.5789473684210527,0.55,0.05424933168401441,0.05424933168401441,0.08333333333333331,0.9052588238473971,0.24482692806729442,12,1.2551334457904322,0.5721770962272427,13,0.7071067811865476,0.9646446609406726,12.5,12.48,0.6698223304703363,10,10.6875,10.5,5.042734046791152,16,0.59375,1.0,0.284375,2,8.0,7
,,15136.887948699165,14769.021282032498,103299.08111783552,0.05288180432993625,,,875.3398206267907,480.3398206267907,9111.819013226484,,,inu.30000003214412,False,,-30068.75526709623,29342.75526709623,13385431659.396812,13366971175.396812,,,[],[],27234.078040865563,26523.078040865563,3039.6978565327654,2959.6978565327654,"[1, 1]",0.0,-14.0,2,13.0,"[19, 41]",0.0,-14.0,"[3039.6978565327654, 27234.078040865563]",14769.021282032498,24755.77589739833,14769.021282032498,"[27, 68]",0.0,-14.0,51,105,raw,1.2533409522435805e-06,,,,,0.0,0.0,30068.75526709623,29342.75526709623,0.043377450194849426,gaus7,295.740018791656,48729031.30308684,11.375917609537092,-23.91213032161236,0.6280112044817927,CWT,0.08893397405981905,0.0,0.745258967603099,0.9838080046367815,0.027755748141116334,0.7142857142857134,0.0,0.037572403452219016,,0.2502401276191577,0.32929699194270884,0.32929699194270884,0.3292969919427089,,0.001650516215079459,0.4331434444030871,0.3833511779748949,,,,,0.6000000000000001,,0.03099297251757669,0.052631578947368474,0.04999999999999993,0.19728111558296757,0.19728111558296757,0.25,1.1751839907174284,0.3226737221778234,7,1.2803606962639271,0.6134913306094655,9,0.0,0.24531878747651617,0.31818454361881854,7,0,0.32470185152234354,0.4970093875432114,9,1.1547005383792515,0.8845299461620748,8.0,7.875,0.5422649730810374,7,gaus,0.71875,1.0,0.196875,1,5.5,0.08893397405981904,0.0,0.7815106153712513,0.9838080046367814,0.029328223730946835,0.7142857142857135,0.0,0.03847843633894156,,0.03970838537580624,0.13578513716467366,0.13578513716467366,0.13578513716467366,,0.0016332352209438433,0.36925547664587177,0.3641272485712441,,,,,0.5999999999999999,,0.030583729017006702,0.05263157894736842,0.050000000000000044,0.2111622130435103,0.2111622130435103,0.04166666666666666,0.8599803602339557,0.2325813836306524,14,1.3032603358744226,0.5941166790748367,11,2.1213203435596424,0.8939339828220179,12.5,12.32,0.6344669914110089,11,10.6875,10.5,5.042734046791152,16,0.59375,1.0,0.284375,2,8.75,8
,,13026.922774289815,12659.056107623148,117042.32877971763,0.08372205869959862,,,5.0,390.0,9330.58261800282,,,inu.30000003214412,False,,-34877.18588834662,34151.18588834662,16466089725.094711,16447629241.094711,,,[],[],24763.951898217056,24052.951898217056,1289.8936503625741,1209.8936503625741,"[1, 1]",0.0,-14.0,2,13.0,"[21, 41]",0.0,-14.0,"[1289.8936503625741, 24763.951898217056]",12659.056107623148,20535.84554857963,12659.05610762315,"[25, 68]",0.0,-14.0,51,105,raw,1.462129903778713e-06,,,,,0.0,0.0,34877.18588834662,34151.18588834662,0.0388387059037757,gaus5,304.52118950379685,55843578.39280847,11.259003175937604,-24.8093698161362,0.6416433239962652,CWT,0.09409533530439308,0.0604702849782246,0.6939667860853925,0.7403021542630499,0.037379888669004414,0.9625850340136055,0.12591404744674933,0.04837531291878232,,0.06723279727786696,0.22151461725320695,0.22151461725320695,0.2215146172532071,,0.0,0.34204925675732656,0.3277335293623931,,,,,0.6000000000000001,,0.04242979435926053,0.052631578947368474,0.04999999999999993,0.26183760998508593,0.26183760998508593,0.25,0.9806374868395077,0.2692565168390679,8,1.306340536953703,0.6259397032284474,8,0.0,0.20859257345957208,0.27054973437312607,10,0,0.34538610545990023,0.5286700273981889,8,1.0,0.9,8.5,8.421052631578947,0.525,9,gaus,0.71875,1.0,0.196875,1,7.0,0.09409533530439307,0.007917487203699364,0.7375177137541733,0.7403021542630499,0.03888668813819644,0.9625850340136057,0.05340983472610743,0.04883830908088893,,0.010668576017776193,0.09609868889081047,0.09609868889081047,0.0960986888908105,,0.0,0.29159753650283476,0.3176665133045688,,,,,0.5999999999999999,,0.041740669950660045,0.05263157894736842,0.050000000000000044,0.2746023577397692,0.2746023577397692,0.04166666666666666,0.7836291870100719,0.21193223589266968,15,1.288642167333796,0.5874527014270506,12,2.1213203435596424,0.8939339828220179,13.5,13.333333333333334,0.6094669914110089,13,10.6875,10.5,5.042734046791152,16,0.59375,1.0,0.284375,2,10.25,9
,,14329.665551000457,14189.219397154302,52254.17994768516,0.24317650349751166,,,1960.1658819788595,1555.1658819788595,5456.278251946836,,,inu.30000003214412,False,,-13864.16574333668,13337.76574333668,4938494349.069358,4922182228.709358,,,[],[],21141.124305254547,20614.724305254545,5528.008127260209,5494.208127260209,"[0, 24, 53]",0.0,-7.0,3,10.0,"[9, 37, 97]",0.0,-11.5,"[21141.124305254547, 5528.008127260209, 16319.86422048661]",14189.219397154302,41163.19665300137,14189.219397154304,"[53, 53, 104]",0.0,-11.5,51,105,smoothed,7.361458189256831e-06,,,,,0.0,0.0,13864.16574333668,13337.76574333668,0.07191610383448453,morl,186.8825935272037,26899475.853421014,11.099947133863388,-22.112673416627707,0.615499533146592,CWT,0.0,0.06874296266813325,1.0,0.4519824525215112,0.0,0.4273858921161829,0.3271211906309977,0.0,,0.06828303042878839,0.1248796123757405,0.1248796123757405,0.12487961237574051,,0.020799255151053762,0.6639345101237426,0.25299670587039014,,,,,0.0,,0.0,1.0,1.0,0.0,0.0,0.1,0.8217417958393962,0.22019363298324302,8,1.148416948160068,0.510168965536854,8,0.0,0.24861802419294265,0.32378161290243695,7,0,0.28440406224210313,0.39928192069962665,8,0.5,0.95,7.75,7.724137931034484,0.5874999999999999,7,morl,1.0,,,3,6.0,0.0026876058281395943,0.23162595389828505,0.8697404927544052,0.4090250348353297,0.0,0.48639455782312935,0.3295565694747479,0.0,,0.0817712029289693,0.12487961237574047,0.12487961237574047,0.12487961237574051,,0.02106479671408197,0.6711956494965741,0.25299670587039014,,,,,0.0,,0.0,0.3157894736842105,0.75,0.0,0.0,0.24999999999999994,0.7661305354258015,0.2071997317735836,17,1.1230313319073861,0.5119557674270362,17,0.0,1.0,17.0,17.0,0.575,16,18.0,18.0,2.8284271247461903,2,1.0,0.5608915914465104,0.1317325225660469,3,12.75,10
