wavelet,wavelet_level,wavelet_mode,wavelet_mse,wavelet_psnr,wavelet_energy_entropy,wavelet_sparsity,wavelet_adaptive_threshold,signal_length,signal_type,emd_value,kl_divergence,wavelet_entropy,avg_variance_across_levels,variance_ratio_across_levels,smoothness,correlation,dynamic_cutoff,dominant_frequency,amplitude_max,num_fft_peaks,positive_frequencies,positive_amplitudes,relative_num_peaks,avg_prominence,prominence_min,prominence_max,relative_peaks,relative_prominences,relative_left_bases,relative_right_bases,max_autocorrelation,upper_envelope,lower_envelope,spectral_magnitude,spectral_centroid,spectral_bandwidth,frequency_max,wavelet_type,htid,max_autocorrelation_diff,frequency_max_diff,relative_right_bases_array_alignment_score,relative_right_bases_global_alignment_score,relative_num_peaks_diff,relative_peaks_array_alignment_score,relative_peaks_global_alignment_score,spectral_centroid_diff,lower_envelope_diff,relative_prominences_avg_diff,relative_prominences_total_diff,relative_prominences_wasserstein,spectral_bandwidth_diff,spectral_magnitude_diff,avg_prominence_diff,num_fft_peaks_diff,amplitude_max_diff,prominence_min_diff,relative_left_bases_array_alignment_score,relative_left_bases_global_alignment_score,prominence_max_diff,upper_envelope_diff,dominant_frequency_diff,dynamic_cutoff_diff,emd_value_normalized,wavelet_mse_normalized,wavelet_psnr_normalized,wavelet_entropy_normalized,wavelet_energy_entropy_normalized,wavelet_sparsity_normalized,avg_variance_across_levels_normalized,kl_divergence_normalized,prominence_min_diff_normalized,avg_prominence_diff_normalized,relative_prominences_avg_diff_normalized,relative_prominences_wasserstein_normalized,spectral_centroid_diff_normalized,dynamic_cutoff_diff_normalized,relative_prominences_total_diff_normalized,prominence_max_diff_normalized,amplitude_max_diff_normalized,frequency_max_diff_normalized,spectral_bandwidth_diff_normalized,num_fft_peaks_diff_normalized,dominant_frequency_diff_normalized,max_autocorrelation_diff_normalized,relative_right_bases_global_alignment_score_normalized,upper_envelope_diff_normalized,lower_envelope_diff_normalized,reconstruction_weighted_score,reconstruction_normalized_weighted_score,reconstruction_normalized_weighted_rank,signal_weighted_score,signal_normalized_weighted_score,signal_normalized_weighted_rank,reconstruction_missing_metrics_count,reconstruction_dynamically_weighted_score,reconstruction_normalized_dynamically_weighted_score,reconstruction_normalized_dynamically_weighted_rank,signal_missing_metrics_count,signal_dynamically_weighted_score,signal_normalized_dynamically_weighted_score,signal_normalized_dynamically_weighted_rank,rank_variability,normalized_rank_stability,average_rank,harmonic_average_rank,stability_score_weighted,stability_rank,wavelet_family,normalized_family_mean_rank,normalized_family_std_dev,final_family_stability_score,final_family_stability_rank,family_informed_rank,relative_left_bases_global_alignment_score_normalized,across_emd_value_normalized,across_smoothness_normalized,across_wavelet_mse_normalized,across_wavelet_psnr_normalized,across_wavelet_entropy_normalized,across_wavelet_energy_entropy_normalized,across_wavelet_sparsity_normalized,across_avg_variance_across_levels_normalized,across_kl_divergence_normalized,across_prominence_min_diff_normalized,across_avg_prominence_diff_normalized,across_relative_prominences_avg_diff_normalized,across_relative_prominences_wasserstein_normalized,across_spectral_centroid_diff_normalized,across_dynamic_cutoff_diff_normalized,across_relative_prominences_total_diff_normalized,across_prominence_max_diff_normalized,across_amplitude_max_diff_normalized,across_frequency_max_diff_normalized,across_spectral_bandwidth_diff_normalized,across_num_fft_peaks_diff_normalized,across_relative_num_peaks_diff_normalized,across_dominant_frequency_diff_normalized,across_max_autocorrelation_diff_normalized,across_relative_right_bases_global_alignment_score_normalized,across_relative_left_bases_global_alignment_score_normalized,across_upper_envelope_diff_normalized,across_lower_envelope_diff_normalized,across_relative_peaks_global_alignment_score_normalized,across_reconstruction_weighted_score,across_reconstruction_normalized_weighted_score,across_reconstruction_normalized_weighted_rank,across_signal_weighted_score,across_signal_normalized_weighted_score,across_signal_normalized_weighted_rank,across_rank_variability,across_normalized_rank_stability,across_average_rank,across_harmonic_average_rank,across_stability_score_weighted,across_stability_rank,family_mean_stability_rank,family_median_stability_rank,family_rank_std_dev,family_wavelet_count,across_normalized_family_mean_rank,across_normalized_family_std_dev,across_final_family_stability_score,across_final_family_stability_rank,across_family_informed_rank
dmey,1,antireflect,0.630445913647432,61.42903863366512,9487066.131467741,0.6037037037037037,246.31687531461583,209,raw,0.6564074714366859,-7.470705544693442,6.552118006757539,144664.71599674097,0.9396616008410971,7.66735902117229e-06,0.999998271116652,376.2171299402351,,,,[],[],15,551.4308009992795,148.3440532789054,936.7140045405403,"[11, 27, 42, 54, 71, 84, 100, 110, 124, 138, 149, 160, 177, 190, 205]","[936.7140045405403, 566.4366851358296, 518.1094887105875, 262.6968914450854, 431.8596640461403, 899.070941158969, 836.2034805327753, 471.36836985536615, 799.123051153337, 148.3440532789054, 509.14198671113155, 762.2450948304669, 152.30682845562984, 717.3973827463362, 260.4440923880928]","[1, 16, 37, 51, 70, 30, 87, 109, 109, 131, 131, 131, 166, 166, 203]","[192, 30, 74, 57, 74, 192, 192, 113, 192, 139, 151, 192, 180, 192, 207]",49531339.570198365,937.1670263174053,-937.1670263174053,0.0,,,,DWT,uc1.b3747696,77732.57019836456,,0.0,40.5,15.0,0.0,40.5,,1.1670263174053161,135.06413433261287,4219.5379850108075,135.0641343326129,,0.0,135.06413433261287,,,137.3440532789054,0.0,45.0,1.7140045405402589,1.1670263174053161,,0.217129940235111,0.9244576003150808,0.868449401704379,0.002298068074942039,0.875813250058962,0.048588041949560956,0.6147701534437117,0.19658642969217774,0.6088059251387768,0.9999999999999174,0.9923918061948158,0.9923918061948158,0.9923918061897343,,0.8972416600252444,0.007608193805232921,0.8765327130954657,,,,,,0.9258582937440115,1.0,0.8603514269516905,0.8603514269516905,2.9909136266894385,0.9536610739013687,2,1.8300514112762447,0.8816378700722438,19,0,0.8550108302866016,0.9526595040154981,2,0.0,0.5174711087971988,0.884533070867507,4,8.220908303425682,0.9913826956987152,6.75,3.070707070707071,0.9921536120003009,1,dmey,0.4326251074485181,0.9393120069310914,0.4153688227067099,2,1.25,,0.9244576003150807,1.2117188558258274e-05,0.868449401704379,0.002298068074942039,0.8758132500589622,0.06771109776132776,0.7222222222222229,0.24515034633223484,0.6088059251387768,0.9999999999999998,0.16059059575411644,0.16059059575411644,0.16059059566379574,,0.8972416600252445,0.9947626344080039,0.8765327130954657,,,,,1.0,,0.9258582937440115,1.0,1.0,0.8603514269516903,0.8603514269516903,1.0,3.435869757568648,0.9599427016219674,2,1.902022968506123,0.8920817312404112,58,39.59797974644666,0.9792463418519671,30.0,3.8666666666666663,0.9817615357058578,1,1365.0,1712.0,627.7643806772242,18,1.0,1.0,0.0,7,2.5
dmey,1,smooth,0.7259443237684864,60.816483836732694,35550409.56081456,0.6037037037037037,234.777988320106,209,raw,0.7100460542624807,,5.091998402528555,380356.37549258105,0.9824149512408809,7.666546749432052e-06,0.9999980173242552,376.21884175521166,,,,[],[],15,551.4213503929334,148.3440532789054,936.4649249422941,"[11, 27, 42, 54, 71, 84, 100, 110, 124, 138, 149, 160, 177, 190, 205]","[936.4649249422941, 566.4393228585786, 518.1094887181277, 262.6968914450854, 431.8596640461403, 899.0709397861833, 836.2034805327753, 471.36836985536615, 799.123051153337, 148.3440532789054, 509.14198671113155, 762.2450948304847, 152.306827353545, 717.4001395863551, 260.5460207956909]","[1, 16, 37, 51, 70, 30, 87, 109, 109, 131, 131, 131, 166, 166, 203]","[192, 30, 74, 57, 74, 192, 192, 113, 192, 139, 151, 192, 180, 192, 207]",49520047.95228674,937.0012390794188,-937.0012390794188,0.0,,,,DWT,uc1.b3747696,66440.95228674263,,0.0,40.5,15.0,0.0,40.5,,1.0012390794188377,135.05468372626672,4219.679744105999,135.05468372626672,,0.0,135.05468372626672,,,137.3440532789054,0.0,45.0,1.4649249422941466,1.0012390794188377,,0.21884175521165616,1.0,1.0,0.0,0.0,0.7118507016874507,0.6147701534437117,0.812281582784832,,0.9999999999999174,0.9847718056874428,0.9847718056874428,0.9847718056772718,,0.9043153584269864,0.015228194312562948,0.7491547447975659,,,,,,0.7913659172976252,1.0,0.7381302870812791,0.7381302870812791,2.811578847365505,0.8964796840037171,6,1.8267460453351427,0.8800454908799619,21,0,0.8082400187317613,0.9005471136691665,5,0.125,0.585021776845142,1.0,1,8.770214744615247,0.9908069027834222,8.25,2.8282828282828283,0.9910795520206419,2,dmey,0.4326251074485181,0.9393120069310914,0.4153688227067099,2,2.0,,1.0,7.345515934342739e-06,1.0,0.0,0.0,0.717642404290226,0.7222222222222229,0.8236285924724427,,0.9999999999999998,0.159357513806556,0.159357513806556,0.15935751371609896,,0.9043153584269865,0.9948028490976244,0.7491547447975659,,,,,1.0,,0.7913659172976252,1.0,1.0,0.7381302870812789,0.7381302870812789,1.0,3.2584933120411756,0.9103857520464881,6,1.8771637316777596,0.8804223183971587,82,53.74011537017761,0.9718343210848126,44.0,11.181818181818182,0.9743867622195552,2,1365.0,1712.0,627.7643806772242,18,1.0,1.0,0.0,7,3.25
coif16,1,reflect,4.5144072252068616e-26,312.87950965135155,10508796.055892576,0.6118421052631579,259.4686386800598,209,raw,1.407040353447909e-13,-2.3003932092535864e-10,6.71323058099635,73984.86681273764,0.8866769727033431,7.699153959684176e-06,1.0,376.0000000000002,,,,[],[],15,550.2000000000002,147.99999999999994,935.0000000000009,"[11, 27, 42, 54, 71, 84, 100, 110, 124, 138, 149, 160, 177, 190, 205]","[935.0000000000009, 566.0000000000002, 517.0000000000002, 262.0000000000002, 429.9999999999999, 897.0, 836.0000000000003, 470.0000000000002, 797.0000000000001, 147.99999999999994, 508.0, 760.0, 153.0000000000001, 715.0000000000001, 259.0000000000001]","[1, 16, 37, 51, 70, 30, 87, 109, 109, 131, 131, 131, 166, 166, 203]","[192, 30, 74, 57, 74, 192, 192, 113, 192, 139, 151, 192, 180, 192, 207]",49453607.000000015,936.0000000000009,-936.0000000000009,0.0,,,,DWT,uc1.b3747696,1.4901161193847656e-08,,0.0,40.5,15.0,0.0,40.5,,9.094947017729282e-13,133.83333333333348,4237.999999999998,133.8333333333335,,0.0,133.83333333333348,,,136.99999999999994,0.0,45.0,9.094947017729282e-13,9.094947017729282e-13,,2.2737367544323206e-13,1.730605655900442e-13,5.997464540992946e-26,0.9456427333500205,0.9724522698082856,0.0745891307601684,0.707222675551929,0.011950110116861113,0.9999999991595595,7.933054982213913e-09,6.614118083450394e-09,6.614118083450394e-09,5.949200076903205e-09,,9.395716398200222e-13,0.9999999933859124,4.651107039889731e-13,,,,,,1.7748498013810092e-13,1.0,6.704947890250349e-13,6.704947890250349e-13,0.6000000048271629,0.19131165936665565,129,1.7785754542256313,0.8568390295290791,49,0,0.18181818368175698,0.20258318906814393,128,0.0,0.46398211484337465,0.7931022967136365,59,43.20783108033388,0.9547087724524802,91.25,75.58328500805335,0.9295294386371415,3,coif,0.6319528259784685,1.0,0.2576330218150721,3,3.0,,1.7306056559004414e-13,0.00019889586145910298,5.997464540992946e-26,0.9456427333500206,0.9724522698082857,0.09318957355631702,0.7879554655870445,0.07167473297843144,0.9999999991595596,0.9959013978303475,1.0703081754215304e-09,1.0703081754215304e-09,9.627100228115637e-10,,9.395716398200224e-13,0.9999999999650943,4.651107039889731e-13,,,,,1.0,,1.7748498013810092e-13,1.0,1.0,6.704947890250347e-13,6.704947890250347e-13,1.0,1.598770420263709,0.44667816442124536,137,1.8441183095408176,0.8649234427907053,128,6.363961030678928,0.9966645906547804,132.5,132.34716981132075,0.963610073105168,3,736.7549019607843,729.5,519.5229672502287,306,0.5397471809236515,0.8275763697994046,0.3739040624136225,2,2.75
coif16,1,antireflect,4.413666668046865e-26,312.97752166497025,10262178.49261214,0.6052631578947368,247.33471291238448,209,raw,1.4794545174272878e-13,-2.2891899487120926e-10,6.716861729534974,176426.70865375106,0.9521291263792299,7.699153959684176e-06,0.9999999999999998,376.0000000000002,,,,[],[],15,550.2000000000002,147.99999999999991,935.0000000000003,"[11, 27, 42, 54, 71, 84, 100, 110, 124, 138, 149, 160, 177, 190, 205]","[935.0000000000003, 566.0000000000007, 517.0000000000002, 262.00000000000006, 429.9999999999999, 897.0, 836.0000000000003, 470.0000000000002, 797.0000000000001, 147.99999999999991, 507.9999999999999, 760.0000000000002, 153.0000000000001, 715.0000000000003, 259.0]","[1, 16, 37, 51, 70, 30, 87, 109, 109, 131, 131, 131, 166, 166, 203]","[192, 30, 74, 57, 74, 192, 192, 113, 192, 139, 151, 192, 180, 192, 207]",49453607.00000001,936.0000000000002,-936.0000000000002,0.0,,,,DWT,uc1.b3747696,7.450580596923828e-09,,0.0,40.5,15.0,0.0,40.5,,2.2737367544323206e-13,133.83333333333348,4237.999999999998,133.8333333333335,,0.0,133.83333333333348,,,136.99999999999991,0.0,45.0,3.410605131648481e-13,2.2737367544323206e-13,,2.2737367544323206e-13,1.8325908208692083e-13,5.858692800707083e-26,0.9460104364201554,0.974630316040833,0.06831318149821455,0.6324856067818129,0.2795579908128238,0.9999999991596181,7.932972373760666e-09,6.614118083450394e-09,6.614118083450394e-09,5.949200076903205e-09,,9.395716398200222e-13,0.9999999933859124,1.7441651399586492e-13,,,,,,8.874249006905046e-14,1.0,1.6762369725625876e-13,1.6762369725625876e-13,0.6000000048267473,0.19131165936652314,143,1.8538954493233737,0.8931248735456228,14,0,0.18181818368162353,0.20258318906799525,143,0.0,0.4876246913392051,0.8335154529953193,16,73.90534486760751,0.9225310850444366,79.0,27.04263402279443,0.9198609303628892,5,coif,0.6319528259784685,1.0,0.2576330218150721,3,4.5,,1.8325908208692078e-13,0.00019889586145910298,5.858692800707082e-26,0.9460104364201555,0.9746303160408332,0.08703976873368058,0.7348178137651825,0.3231065279190069,0.9999999991596182,0.9959013978303471,1.0703081754215304e-09,1.0703081754215304e-09,9.627100228115637e-10,,9.395716398200224e-13,0.9999999999650943,1.7441651399586492e-13,,,,,1.0,,8.874249006905046e-14,1.0,1.0,1.6762369725625873e-13,1.6762369725625873e-13,1.0,1.5987704202633177,0.44667816442113606,147,1.921670709335366,0.9012968621531995,41,74.95331880577403,0.9607162899340806,94.0,64.11702127659574,0.9557250212773128,4,736.7549019607843,729.5,519.5229672502287,306,0.5397471809236515,0.8275763697994046,0.3739040624136225,2,3.5
coif16,1,antisymmetric,4.334248817393447e-26,313.0563785811604,10494082.341077743,0.6052631578947368,262.3204158172593,209,raw,1.4600468627838996e-13,-2.297493306713265e-10,6.731830395333727,209105.96496292515,0.9566907965845536,7.699153959684176e-06,0.9999999999999998,375.99999999999983,,,,[],[],15,550.2000000000002,147.99999999999994,935.0000000000006,"[11, 27, 42, 54, 71, 84, 100, 110, 124, 138, 149, 160, 177, 190, 205]","[935.0000000000006, 566.0000000000002, 517.0000000000002, 262.0000000000001, 429.9999999999999, 897.0, 836.0000000000003, 470.0000000000002, 797.0000000000001, 147.99999999999994, 507.9999999999999, 760.0000000000002, 153.0000000000001, 715.0000000000001, 259.00000000000006]","[1, 16, 37, 51, 70, 30, 87, 109, 109, 131, 131, 131, 166, 166, 203]","[192, 30, 74, 57, 74, 192, 192, 113, 192, 139, 151, 192, 180, 192, 207]",49453607.00000001,936.0000000000006,-936.0000000000006,0.0,,,,DWT,uc1.b3747696,7.450580596923828e-09,,0.0,40.5,15.0,0.0,40.5,,5.684341886080801e-13,133.83333333333348,4237.999999999998,133.83333333333348,,0.0,133.83333333333348,,,136.99999999999994,0.0,45.0,5.684341886080801e-13,5.684341886080801e-13,,1.7053025658242404e-13,1.8052578689756198e-13,5.749293432114808e-26,0.9463062769922845,0.9836088653352071,0.07421469462348604,0.6324856067818129,0.3649257113306818,0.9999999991595746,7.933054982213913e-09,6.614118083450394e-09,6.614118083450394e-09,5.9491771605492174e-09,,7.046787298650167e-13,0.9999999933859124,2.9069418999310817e-13,,,,,,8.874249006905046e-14,1.0,4.190592431406469e-13,4.190592431406469e-13,0.6000000048268064,0.19131165936654196,137,1.8956600730835993,0.9132452230120104,4,0,0.18181818368166394,0.20258318906804026,133,0.0,0.5001926442779034,0.8549983335240985,7,74.79471906491794,0.921598826975977,70.25,9.811732238414162,0.923980755207066,4,coif,0.6319528259784685,1.0,0.2576330218150721,3,3.75,,1.8052578689756193e-13,0.00019889586145910298,5.749293432114808e-26,0.9463062769922846,0.9836088653352073,0.09282266345825455,0.7348178137651825,0.4033140283258298,0.9999999991595747,0.9959013978303475,1.0703081754215304e-09,1.0703081754215304e-09,9.6270624805328e-10,,7.046787298650168e-13,0.9999999999650943,2.906941899931082e-13,,,,,1.0,,8.874249006905046e-14,1.0,1.0,4.1905924314064683e-13,4.1905924314064683e-13,1.0,1.5987704202633577,0.4466781644211472,145,1.9613119358508284,0.9198892843079024,13,93.33809511662427,0.9510806629367797,79.0,23.860759493670884,0.9548380253887253,5,736.7549019607843,729.5,519.5229672502287,306,0.5397471809236515,0.8275763697994046,0.3739040624136225,2,4.25
coif16,1,smooth,4.5367028370643405e-26,312.858113644191,40902458.483519144,0.5953947368421053,235.12558981009857,209,raw,1.4545674606312643e-13,-2.2841240010507275e-10,5.171112271533126,396755.95598164835,0.9851493818828242,7.699153959684176e-06,0.9999999999999998,376.00000000000006,,,,[],[],15,550.2000000000002,147.99999999999991,935.0000000000007,"[11, 27, 42, 54, 71, 84, 100, 110, 124, 138, 149, 160, 177, 190, 205]","[935.0000000000007, 566.0, 517.0000000000002, 262.00000000000017, 429.9999999999999, 897.0000000000001, 836.0000000000003, 470.0000000000002, 797.0000000000001, 147.99999999999991, 508.0, 760.0000000000002, 153.0000000000001, 715.0000000000002, 258.99999999999994]","[1, 16, 37, 51, 70, 30, 87, 109, 109, 131, 131, 131, 166, 166, 203]","[192, 30, 74, 57, 74, 192, 192, 113, 192, 139, 151, 192, 180, 192, 207]",49453607.000000015,936.0000000000006,-936.0000000000006,0.0,,,,DWT,uc1.b3747696,1.4901161193847656e-08,,0.0,40.5,15.0,0.0,40.5,,5.684341886080801e-13,133.83333333333348,4237.999999999998,133.83333333333348,,0.0,133.83333333333348,,,136.99999999999991,0.0,45.0,6.821210263296962e-13,5.684341886080801e-13,,5.684341886080802e-14,1.7975409017173103e-13,6.028177105479626e-26,0.9455624638276314,0.047454314384211216,0.8480501963203353,0.5203800036266387,0.8551220559753983,0.9999999991596447,7.932972373760666e-09,6.614118083450394e-09,6.614118083450394e-09,5.9491771605492174e-09,,2.3489290995500556e-13,0.9999999933859124,3.4883302799172983e-13,,,,,,1.7748498013810092e-13,1.0,4.190592431406469e-13,4.190592431406469e-13,0.6000000048266201,0.19131165936648256,166,1.965290557153579,0.9467901121278548,2,0,0.18181818368162708,0.20258318906799921,140,0.0,0.5270711291617549,0.9009427512324436,3,87.53808694886281,0.9082409990053849,77.75,4.725338032464672,0.9133710236117072,7,coif,0.6319528259784685,1.0,0.2576330218150721,3,6.0,,1.7975409017173098e-13,0.00019889586145910298,6.028177105479626e-26,0.9455624638276315,0.047454314384211216,0.8511043355412753,0.6551113360323894,0.8638794888301828,0.9999999991596448,0.9959013978303471,1.0703081754215304e-09,1.0703081754215304e-09,9.6270624805328e-10,,2.348929099550056e-13,0.9999999999650943,3.4883302799172983e-13,,,,,1.0,,1.7748498013810092e-13,1.0,1.0,4.1905924314064683e-13,4.1905924314064683e-13,1.0,1.5987704202631963,0.4466781644211021,161,2.024272801626701,0.9494190213677284,3,111.72287142747452,0.9414450359394788,82.0,5.890243902439025,0.9492340483680622,6,736.7549019607843,729.5,519.5229672502287,306,0.5397471809236515,0.8275763697994046,0.3739040624136225,2,5.0
coif16,1,periodic,4.223334819307779e-26,313.168961845065,10243351.357497688,0.6052631578947368,251.91164522715508,209,raw,1.4352793276053604e-13,-2.299109791437119e-10,6.7281126537504825,73552.5541292945,0.880456358311337,7.699153959684178e-06,0.9999999999999998,376.0,,,,[],[],15,550.2000000000002,147.99999999999991,935.0000000000007,"[11, 27, 42, 54, 71, 84, 100, 110, 124, 138, 149, 160, 177, 190, 205]","[935.0000000000007, 565.9999999999998, 517.0000000000002, 262.00000000000006, 429.9999999999999, 897.0000000000001, 836.0000000000003, 470.0000000000002, 797.0000000000001, 147.99999999999991, 508.0, 760.0000000000001, 153.00000000000017, 715.0000000000002, 259.0000000000002]","[1, 16, 37, 51, 70, 30, 87, 109, 109, 131, 131, 131, 166, 166, 203]","[192, 30, 74, 57, 74, 192, 192, 113, 192, 139, 151, 192, 180, 192, 207]",49453607.00000001,936.0000000000007,-936.0000000000007,0.0,,,,DWT,uc1.b3747696,7.450580596923828e-09,,0.0,40.5,15.0,0.0,40.5,,6.821210263296962e-13,133.83333333333348,4237.999999999998,133.83333333333348,,0.0,133.83333333333348,,,136.99999999999991,0.0,45.0,6.821210263296962e-13,6.821210263296962e-13,,0.0,1.770376279211325e-13,5.596507613073072e-26,0.9467286457433702,0.9813788786070854,0.0678340666162307,0.6324856067818129,0.01082078367236246,0.9999999991595662,7.932972373760666e-09,6.614118083450394e-09,6.614118083450394e-09,5.9491771605492174e-09,,0.0,0.9999999933859124,3.4883302799172983e-13,,,,,,8.874249006905046e-14,1.0,5.028710917687763e-13,5.028710917687763e-13,0.6000000048264919,0.19131165936644168,207,1.74996621590323,0.8430563632151524,65,0,0.18181818368161284,0.20258318906798334,158,0.0,0.4549059975725756,0.7775881438563805,82,66.39779112791831,0.9304006382306936,128.0,103.25306756823993,0.8981143652369401,10,coif,0.6319528259784685,1.0,0.2576330218150721,3,8.25,,1.770376279211325e-13,0.00019889586145910298,5.596507613073071e-26,0.9467286457433703,0.9813788786070856,0.08657028389738924,0.7348178137651825,0.07061367089656861,0.9999999991595663,0.9959013978303471,1.0703081754215304e-09,1.0703081754215304e-09,9.6270624805328e-10,,0.0,0.9999999999650943,3.4883302799172983e-13,,,,,1.0,,8.874249006905046e-14,1.0,1.0,5.028710917687761e-13,5.028710917687761e-13,1.0,1.5987704202630681,0.44667816442106634,190,1.8242440309852777,0.855602061758748,150,28.284271247461902,0.9851759584656908,170.0,167.64705882352942,0.9480387129854659,7,736.7549019607843,729.5,519.5229672502287,306,0.5397471809236515,0.8275763697994046,0.3739040624136225,2,5.75
db31,1,antireflect,2.306861138606422e-26,315.7953024450346,9808031.325212179,0.5777777777777777,238.82290738304624,209,raw,1.0807357135739883e-13,-2.1245194492536422e-10,6.580417776594675,187537.16501244006,0.9542479472658734,7.699153959684178e-06,0.9999999999999996,375.9999999999999,,,,[],[],15,550.2,147.99999999999994,935.0000000000002,"[11, 27, 42, 54, 71, 84, 100, 110, 124, 138, 149, 160, 177, 190, 205]","[935.0000000000002, 566.0000000000003, 517.0000000000005, 261.99999999999983, 430.0000000000002, 896.9999999999995, 836.0000000000002, 470.00000000000034, 797.0000000000002, 147.99999999999994, 508.00000000000006, 760.0000000000002, 152.99999999999994, 715.0, 259.0]","[1, 16, 37, 51, 70, 30, 87, 109, 109, 131, 131, 131, 166, 166, 203]","[192, 30, 74, 57, 74, 192, 192, 113, 192, 139, 151, 192, 180, 192, 207]",49453607.0,936.0000000000002,-936.0000000000002,0.0,,,,DWT,uc1.b3747696,0.0,,0.0,40.5,15.0,0.0,40.5,,2.2737367544323206e-13,133.83333333333337,4238.0,133.83333333333346,,0.0,133.83333333333337,,,136.99999999999994,0.0,45.0,2.2737367544323206e-13,2.2737367544323206e-13,,1.1368683772161603e-13,1.271051465133395e-13,2.9565342460348764e-26,0.9565816572893396,0.8927881015198951,0.05675599740252557,0.32025074169777007,0.30858173371202047,0.9999999991604804,7.933054982213913e-09,6.614026418034505e-09,6.614026418034505e-09,5.94915424419523e-09,,4.697858199100111e-13,0.9999999933860102,1.1627767599724328e-13,,,,,,0.0,1.0,1.6762369725625876e-13,1.6762369725625876e-13,0.6000000048264438,0.19131165936642636,231,1.7002540336629606,0.819107231405577,117,0,0.18181818368156308,0.20258318906792788,235,0.0,0.4418697788477698,0.7553048387884794,143,60.42902172521632,0.936657209931639,181.5,165.8076516427145,0.8732028188022976,27,db,0.6922440856598273,0.9226235523266798,0.23864207434011692,4,21.25,,1.2710514651333949e-13,0.00019889586145910298,2.9565342460348764e-26,0.9565816572893397,0.8927881015198953,0.0757148800959356,0.5128205128205128,0.35037587347811516,0.9999999991604805,0.9959013978303475,1.0702932984330005e-09,1.0702932984330005e-09,9.627025843172987e-10,,4.697858199100112e-13,0.9999999999650947,1.1627767599724328e-13,,,,,1.0,,0.0,1.0,1.0,1.6762369725625873e-13,1.6762369725625873e-13,1.0,1.5987704202629984,0.44667816442104685,216,1.8035387081236387,0.8458909065465636,209,4.949747468305833,0.9974057927314959,212.5,212.44235294117647,0.9430163135565236,8,859.1052631578947,762.5,569.8815479154795,684,0.6293811451706188,0.9077952898517412,0.2870946114250445,3,6.75
db24,1,antireflect,1.2879471562211114e-26,318.32653652955815,9524904.727938019,0.6015625,255.72785642245287,209,raw,7.828719065892682e-14,-2.1259805027540487e-10,6.527732544546774,177321.1838082138,0.9468313100218749,7.69915395968418e-06,0.9999999999999998,376.00000000000017,,,,[],[],15,550.2,147.99999999999994,935.0,"[11, 27, 42, 54, 71, 84, 100, 110, 124, 138, 149, 160, 177, 190, 205]","[935.0, 566.0, 517.0000000000002, 261.99999999999994, 430.0, 897.0, 836.0000000000001, 470.00000000000017, 797.0000000000002, 147.99999999999994, 507.99999999999994, 759.9999999999998, 152.99999999999994, 715.0000000000001, 259.0]","[1, 16, 37, 51, 70, 30, 87, 109, 109, 131, 131, 131, 166, 166, 203]","[192, 30, 74, 57, 74, 192, 192, 113, 192, 139, 151, 192, 180, 192, 207]",49453607.0,936.0000000000001,-936.0000000000001,0.0,,,,DWT,uc1.b3747696,0.0,,0.0,40.5,15.0,0.0,40.5,,1.1368683772161603e-13,133.83333333333337,4238.0,133.83333333333337,,0.0,133.83333333333337,,,136.99999999999994,0.0,45.0,0.0,1.1368683772161603e-13,,1.7053025658242404e-13,8.515521873096258e-14,1.5529638219340653e-26,0.966077866067687,0.8611862901502378,0.04955096246678693,0.5904460055986224,0.2818946200272073,0.9999999991604728,7.933054982213913e-09,6.614026418034505e-09,6.614026418034505e-09,5.949085495133268e-09,,7.046787298650167e-13,0.9999999933860102,0.0,,,,,,0.0,1.0,8.381184862812938e-14,8.381184862812938e-14,0.6000000048264489,0.191311659366428,229,1.7839515958636714,0.8594290169107248,42,0,0.18181818368155236,0.20258318906791595,248,0.0,0.4686444679338874,0.8010718343873544,45,112.8568414703631,0.8817014240352588,141.0,73.48778266044597,0.8669513409484471,32,db,0.6922440856598273,0.9226235523266798,0.23864207434011692,4,25.0,,8.515521873096256e-14,0.00019889586145910298,1.5529638219340653e-26,0.966077866067687,0.8611862901502381,0.06865466390462835,0.704927884615385,0.3253019149754536,0.9999999991604729,0.9959013978303475,1.0702932984330005e-09,1.0702932984330005e-09,9.626914820870525e-10,,7.046787298650168e-13,0.9999999999650947,0.0,,,,,1.0,,0.0,1.0,1.0,8.381184862812937e-14,8.381184862812937e-14,1.0,1.5987704202630206,0.446678164421053,205,1.8567187849270332,0.8708332840928932,111,66.46803743153546,0.9651635023943734,158.0,144.01898734177217,0.9411771390378576,9,859.1052631578947,762.5,569.8815479154795,684,0.6293811451706188,0.9077952898517412,0.2870946114250445,3,7.5
