signal_type,wavelet,wavelet_energy_entropy,wavelet_sparsity,wavelet_adaptive_threshold,wavelet_psnr,signal_length,scales_used,emd_value,kl_divergence,is_complex,wavelet_entropy,avg_variance_across_levels,variance_ratio_across_levels,smoothness,correlation,relative_num_peaks,avg_prominence,prominence_min,prominence_max,relative_peaks,relative_prominences,relative_left_bases,relative_right_bases,prominence_threshold,distance_factor,max_autocorrelation,upper_envelope,lower_envelope,fft_frequency_max,fft_amplitude_max,fft_spectral_centroid,fft_spectral_bandwidth,fft_spectral_magnitude,fft_variance_magnitude,fft_num_peaks,fft_peak_amplitude,fft_dominant_frequency,fft_positive_frequencies,fft_positive_amplitudes,fft_snr_threshold,fft_stationarity_threshold,fft_dynamic_cutoff,fft_dynamic_cutoff_percentile,stft_frequency_max,stft_amplitude_max,stft_spectral_centroid,stft_spectral_bandwidth,stft_spectral_magnitude,stft_variance_magnitude,stft_peak_freq_over_time,stft_num_peaks,stft_peak_amplitude,stft_dominant_frequency,stft_positive_frequencies,stft_positive_amplitudes,stft_snr_threshold,stft_stationarity_threshold,stft_window,stft_nperseg,stft_noverlap,stft_dynamic_cutoff,stft_dynamic_cutoff_percentile,wavelet_type,htid,fft_frequency_max_diff,fft_snr_threshold_diff,lower_envelope_diff,stft_dynamic_cutoff_percentile_diff,relative_peaks_array_alignment_score,relative_peaks_global_alignment_score,prominence_threshold_diff,prominence_min_diff,stft_window_diff,fft_peak_amplitude_diff,avg_prominence_diff,stft_spectral_bandwidth_diff,stft_num_peaks_diff,stft_variance_magnitude_diff,stft_noverlap_diff,fft_spectral_centroid_diff,stft_dominant_frequency_diff,stft_nperseg_diff,fft_variance_magnitude_diff,stft_snr_threshold_diff,stft_dynamic_cutoff_diff,distance_factor_diff,fft_stationarity_threshold_diff,fft_amplitude_max_diff,fft_spectral_magnitude_diff,relative_left_bases_array_alignment_score,relative_left_bases_global_alignment_score,relative_prominences_avg_diff,relative_prominences_total_diff,relative_prominences_wasserstein,max_autocorrelation_diff,stft_spectral_centroid_diff,stft_amplitude_max_diff,fft_dynamic_cutoff_diff,fft_num_peaks_diff,stft_peak_amplitude_diff,prominence_max_diff,upper_envelope_diff,relative_right_bases_array_alignment_score,relative_right_bases_global_alignment_score,stft_stationarity_threshold_diff,fft_dominant_frequency_diff,fft_dynamic_cutoff_percentile_diff,stft_frequency_max_diff,stft_spectral_magnitude_diff,relative_num_peaks_diff,fft_spectral_bandwidth_diff,emd_value_normalized,smoothness_normalized,wavelet_psnr_normalized,wavelet_entropy_normalized,wavelet_energy_entropy_normalized,wavelet_sparsity_normalized,correlation_normalized,avg_variance_across_levels_normalized,kl_divergence_normalized,prominence_min_diff_normalized,avg_prominence_diff_normalized,relative_prominences_avg_diff_normalized,relative_prominences_wasserstein_normalized,relative_prominences_total_diff_normalized,prominence_max_diff_normalized,relative_num_peaks_diff_normalized,max_autocorrelation_diff_normalized,relative_right_bases_global_alignment_score_normalized,relative_left_bases_global_alignment_score_normalized,upper_envelope_diff_normalized,lower_envelope_diff_normalized,relative_peaks_global_alignment_score_normalized,reconstruction_signal_weighted_score,reconstruction_signal_normalized_weighted_score,reconstruction_signal_normalized_weighted_rank,wavelet_signal_weighted_score,wavelet_signal_normalized_weighted_score,wavelet_signal_normalized_weighted_rank,reconstruction_signal_num_missing_metrics,reconstruction_signal_missing_metrics_count,reconstruction_signal_dynamically_weighted_score,reconstruction_signal_normalized_dynamically_weighted_score,reconstruction_signal_normalized_dynamically_weighted_rank,wavelet_signal_num_missing_metrics,wavelet_signal_missing_metrics_count,wavelet_signal_dynamically_weighted_score,wavelet_signal_normalized_dynamically_weighted_score,wavelet_signal_normalized_dynamically_weighted_rank,rank_variability,normalized_rank_stability,average_rank,harmonic_average_rank,stability_score_weighted,stability_rank,wavelet_family,normalized_family_mean_rank,normalized_family_std_dev,final_family_stability_score,final_family_stability_rank,family_informed_rank,across_emd_value_normalized,across_smoothness_normalized,across_wavelet_psnr_normalized,across_wavelet_entropy_normalized,across_wavelet_energy_entropy_normalized,across_wavelet_sparsity_normalized,across_correlation_normalized,across_avg_variance_across_levels_normalized,across_kl_divergence_normalized,across_prominence_min_diff_normalized,across_avg_prominence_diff_normalized,across_relative_prominences_avg_diff_normalized,across_relative_prominences_wasserstein_normalized,across_relative_prominences_total_diff_normalized,across_prominence_max_diff_normalized,across_relative_num_peaks_diff_normalized,across_max_autocorrelation_diff_normalized,across_relative_right_bases_global_alignment_score_normalized,across_relative_left_bases_global_alignment_score_normalized,across_upper_envelope_diff_normalized,across_lower_envelope_diff_normalized,across_relative_peaks_global_alignment_score_normalized,across_reconstruction_signal_weighted_score,across_reconstruction_signal_normalized_weighted_score,across_reconstruction_signal_normalized_weighted_rank,across_wavelet_signal_weighted_score,across_wavelet_signal_normalized_weighted_score,across_wavelet_signal_normalized_weighted_rank,across_rank_variability,across_normalized_rank_stability,across_average_rank,across_harmonic_average_rank,across_stability_score_weighted,across_stability_rank,family_mean_stability_rank,family_median_stability_rank,family_rank_std_dev,family_wavelet_count,across_normalized_family_mean_rank,across_normalized_family_std_dev,across_final_family_stability_score,across_final_family_stability_rank,across_family_informed_rank,across_top_wavelet_rank
raw,fbsp,14.430041260929173,0.7000891265597148,498.2163191648912,-22.88295159719885,68,33,10598.096553006959,-65327.5400439602,True,10.49687947303989,122974.43637377072,0.04787664245075614,3.2684544500592524e-06,0.23295531764860167,6,4437.045168226857,112.62129184807418,12781.374090170868,"[1, 11, 18, 45, 53, 60]","[462.63489458837694, 10437.33228356287, 112.62129184807418, 2483.062174677285, 345.2462745136636, 12781.374090170868]","[0, 0, 16, 35, 51, 35]","[2, 35, 35, 51, 54, 67]",0.05,10,9068999455.354805,20216.126533730756,-20216.126533730756,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CWT,uc1.b4952555,,,19406.126533730756,,0.0,-16.0,0.0,87.62129184807418,,,4193.6241155952775,,,,,,,,,,,20.0,,,,0.0,-11.5,4193.6241155952775,21997.27100936114,4193.6241155952775,,,,,,,12073.374090170868,19406.126533730756,0.0,-2.5,,,,,,13.0,,0.5387612682223224,0.1934096473116277,0.2688206788230447,0.915238969544754,0.4728126488933149,0.6550724637681157,0.4467587970774095,0.24515545189664162,0.23853807119566517,0.6452484302739017,0.4119129944062897,0.4119129944062897,0.41090241539032435,0.8534378378768027,0.546189478104266,0.5,,0.625,0.36363636363636365,0.4927388964408964,0.4927388964408964,0.10000000000000003,1.7797659032735709,0.6371924849881359,4,1.709179404748179,0.7816262694160956,5,0,0,0.4878098589146692,0.7157884888388177,4,0,0.0,0.44161866630365504,0.7775639100680242,6,0.9574271077563381,0.9316123494459758,4.75,4.615384615384616,0.7961633175801308,3,fbsp,0.23076923076923078,,,4,3.25,0.5994291045483144,0.018166870730310355,0.1820462392231617,0.915238969544754,0.6032760556277621,0.31251547923718315,0.4467587970774095,0.3106688826644723,0.1161004679255545,0.037766933030031,0.4720944144708037,0.4720944144708037,0.4720944144708037,0.8534378378768026,0.5950720512517699,0.7999999999999999,,0.6249999999999999,0.30000000000000004,0.5534620060963323,0.5534620060963323,0.05882352941176472,1.8061195058179047,0.7147441504853832,3,1.5281814994655902,0.6866425416569175,10,4.949747468305833,0.8232233047033631,6.5,4.615384615384615,0.7955402237802529,1,10.0,10.0,12.727922061357855,2,0.5555555555555556,0.72,0.3951111111111111,1,1.0,1
raw,shan,10.750608583235381,0.7531194295900179,215.2613091741759,-11.62110411782178,68,33,2740.6761522659986,-39210.92928410187,True,10.338896627483033,36281.83600965236,0.08011274364296304,2.831644940222449e-06,0.4219398308614122,8,2687.0802409242915,6.88728765543506,8393.135672354054,"[1, 4, 11, 22, 28, 45, 52, 63]","[60.85373045450456, 100.65803367540298, 2381.1167282622796, 4041.8405829011817, 6.88728765543506, 8393.135672354054, 247.23184699990998, 6264.918045091565]","[0, 3, 7, 7, 27, 34, 51, 54]","[7, 7, 14, 34, 34, 54, 54, 67]",0.05,20,756858351.0055277,5980.081200470826,-5980.081200470826,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CWT,uc1.b4952555,,,5170.081200470826,,0.0,-6.0,0.0,18.11271234456494,,,2443.6591882927123,,,,,,,,,,,10.0,,,,0.0,-10.5,2443.6591882927123,16871.641927394332,2469.822583241114,,,,,,,7685.135672354054,5170.081200470826,0.0,-6.0,,,,,,11.0,,0.0,0.15332560750130245,1.0,0.6318463032567513,0.0,1.0,0.831436338519298,0.0034850625177926253,1.0,0.12882779442284978,0.18213166460525734,0.18213166460525734,0.18416754604824045,0.6477991075133267,0.28553367706278765,0.16666666666666669,,0.47916666666666663,0.42424242424242425,0.0,0.0,0.7666666666666666,0.9801849022834477,0.3509261821934342,12,2.0958893942936028,0.9584729395986564,2,0,0,0.2872778232083453,0.4215375216251557,14,0,0.0,0.5133437013105715,0.9038511413948724,2,6.4031242374328485,0.5426339830405108,7.5,3.463917525773196,0.5034598486631126,13,shan,1.0,,,7,11.5,0.13153239775022746,0.01440179706565757,0.677203256907912,0.6318463032567514,0.24747066950786106,0.47707008998596556,0.831436338519298,0.0899732176351433,0.48671672133343036,0.00774396482773689,0.26582757589335776,0.26582757589335776,0.26891143242000165,0.6477991075133267,0.3624930039345227,0.6666666666666666,,0.47916666666666663,0.35000000000000003,0.11970779787644546,0.11970779787644546,0.45098039215686275,1.235301751349545,0.4888517609257547,11,1.643839245961354,0.7386098826068862,7,2.8284271247461903,0.8989847455447789,9.0,8.555555555555555,0.7887780870581038,2,14.5,14.5,17.67766952966369,2,0.8055555555555556,1.0,0.13611111111111107,5,2.75,2
raw,cgau8,11.300505421665896,0.7072192513368984,329.9920091833887,-16.2010404461686,68,33,4786.11262816042,-49617.065347159834,True,10.503926426280376,71803.28704358092,0.07984070694010272,4.0957619271684235e-06,0.329643331555248,7,2544.5626791438053,157.3251336572157,8046.375459306556,"[1, 11, 18, 21, 45, 53, 62]","[474.2920494777036, 5005.988278657113, 157.3251336572157, 239.270631478832, 3691.2952631954904, 197.39193823372875, 8046.375459306556]","[0, 3, 15, 15, 34, 51, 34]","[3, 34, 20, 34, 51, 54, 67]",0.05,20,2042337864.884641,9171.123809439483,-9171.123809439483,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CWT,uc1.b4952555,,,8361.123809439483,,0.0,-11.0,0.0,132.3251336572157,,,2301.141626512226,,,,,,,,,,,10.0,,,,0.0,-15.5,2301.141626512226,13186.938754006638,2301.141626512227,,,,,,,7338.375459306556,8361.123809439483,0.0,-6.5,,,,,,12.0,,0.14024983946603609,0.26932792541920236,0.7026460585861587,0.9278799297767912,0.07066257316585922,0.7014492753623189,0.6435670267264971,0.1025071574441816,0.6965962960953725,0.9773798963024397,0.16341821820699198,0.16341821820699198,0.16198062141301856,0.49996990055655544,0.2649365598382006,0.33333333333333337,,0.4583333333333333,0.12121212121212122,0.11044856748001383,0.11044856748001383,0.4333333333333333,1.1444462888827618,0.4097351080877322,10,1.9013801183399401,0.8695217392108382,3,0,0,0.31651772255802885,0.46444272943681303,9,0,0.0,0.47276512022693523,0.832403889319913,3,3.774917217635375,0.7303630558831875,6.25,4.556962025316456,0.641967242227308,7,cgau,0.5384615384615384,,,2,5.75,0.25333483954721137,0.025297836344584268,0.47583419932805426,0.9278799297767915,0.3006463283832169,0.33464046891769184,0.643567026726497,0.18040112296746863,0.33904506532855117,0.05707594539574165,0.2490291552784147,0.2490291552784147,0.2490291552784148,0.49996990055655544,0.34411452211123195,0.7333333333333333,,0.45833333333333326,0.10000000000000009,0.21693481056481884,0.21693481056481884,0.2549019607843137,1.1502122177526461,0.4551788803605389,12,1.5824149250204587,0.7110107055031483,8,2.8284271247461903,0.8989847455447789,10.0,9.600000000000001,0.7709209442009608,3,13.0,13.0,14.142135623730951,2,0.7222222222222222,0.8,0.2544444444444444,4,3.25,3
raw,gaus2,17.72051941923299,0.6680035650623886,519.1943806305482,-23.248879197228348,68,33,10743.349470930752,-64572.00676968279,False,10.265163627931782,58246.6851878021,0.05283750440346438,3.820903032065653e-06,0.40897968958753483,6,5045.898762397218,153.30732867048937,15086.142617093576,"[11, 18, 21, 45, 52, 59]","[256.47149596979943, 12012.988308849272, 153.30732867048937, 2538.6171545400903, 227.86566926008345, 15086.142617093576]","[0, 0, 20, 0, 51, 0]","[14, 34, 34, 54, 54, 67]",0.05,20,9856015779.905499,17167.935763559515,-17167.935763559515,0.4852941176470588,749334.7640232913,0.027962478055398324,0.05818189709390138,1267077.1852957972,16724556847.440702,5.0,201745.6595956573,0.029411764705882353,"[0.0, 0.014705882352941176, 0.029411764705882353, 0.044117647058823525, 0.058823529411764705, 0.07352941176470588, 0.08823529411764705, 0.10294117647058823, 0.11764705882352941, 0.1323529411764706, 0.14705882352941177, 0.16176470588235295, 0.1764705882352941, 0.19117647058823528, 0.20588235294117646, 0.22058823529411764, 0.23529411764705882]","[749334.7640232913, 47822.3422813402, 201745.6595956573, 52241.36090421889, 83951.21800581165, 26856.730792890143, 7108.164523366066, 12159.727836087364, 16148.351438502503, 4503.370579458621, 13334.803713104475, 9226.75354362184, 4485.40975358513, 4256.059319344006, 4501.153196890499, 2987.7608882182553, 3172.9889314666675]",3.0,0.3,4616.67162730181,15.0,0.5,680178177.3141105,0.02775336749607206,0.020911176432692337,2288153775.1500936,3.0004747896656184e+16,[0.015625],3.0,680178177.3141105,0.015625,"[0.0, 0.015625, 0.03125, 0.046875, 0.0625, 0.078125, 0.09375, 0.109375, 0.125, 0.140625, 0.15625, 0.171875, 0.1875, 0.203125, 0.21875, 0.234375]","[394637447.5992049, 680178177.3141105, 552453297.0886749, 437354037.0103406, 181237436.42290103, 32772853.95565733, 4972857.124376361, 939927.7977146686, 640322.0758395056, 836426.1788891669, 544506.8095283544, 262578.1136553639, 382384.9857284633, 228612.69313990895, 70175.43418507173, 76757.96864858027]",3.0,0.3,flattop,64.0,32.0,4616.67162730181,15.0,CWT,uc1.b4952555,0.0,0.0,16357.935763559515,0.0,0.0,-2.5,0.0,128.30732867048937,,199015.57200885162,4802.477709765639,0.11919140719679869,2.0,3.000474574206466e+16,24.0,0.14052349004292852,0.046875,48.0,16715464774.809416,0.0,4497.22162730181,10.0,0.0,730547.7640232913,1206028.812981433,0.0,-16.0,4802.477709765639,25650.39257438331,4802.477709765639,,0.2030109934361496,679506726.1237667,4497.22162730181,1.0,679506726.1237667,14378.142617093576,16357.935763559515,0.0,-7.0,0.2,0.029411764705882353,0.0,0.0,2285561593.7750936,13.0,0.1042329964639737,0.548720853211085,0.244105363534875,0.24506270352818837,0.49958263081441123,0.895644055372088,0.4463768115942026,0.8050560008015684,0.06471582075131999,0.2605665736532426,0.9475292300855307,0.4918592758087711,0.4918592758087711,0.49098607788373505,1.0,0.6830898078951677,0.5,,0.4375,0.09090909090909091,0.3872347257899052,0.3872347257899052,1.0,2.1759498612304973,0.7790344206149952,2,1.713184912954084,0.7834580317386461,4,0,0,0.575683517497573,0.844730026481659,2,0,0.0,0.44553675702899787,0.7844625449692583,5,1.5,0.8928571428571429,3.25,2.7586206896551726,0.8303571428571428,1,gaus,0.5769230769230769,1.0,0.29615384615384616,1,1.0,0.6080786814429078,0.022928693814162612,0.16595726097594732,0.4995826308144113,0.9214690908562826,0.21295302567489463,0.8050560008015684,0.14588972003881373,0.12682210841759206,0.05534052752040709,0.5438594561963068,0.5438594561963068,0.5438594561963068,1.0,0.7172260495628151,0.7999999999999999,,0.43749999999999994,0.07500000000000001,0.46058750738075194,0.46058750738075194,0.588235294117647,2.037820755390036,0.8064363736513354,2,1.5156907719711838,0.6810302077313318,11,6.363961030678928,0.7727156774757526,6.5,3.3846153846153846,0.7702864101664477,4,14.0625,13.5,6.894140023720628,16,0.78125,0.38999145289779535,0.33612756413066136,2,3.5,4
raw,gaus4,16.77802475032185,0.6671122994652406,330.4031448811446,-18.916871165104954,68,33,6288.059807956613,,False,10.306013695598775,65239.49275009251,0.061370453405053225,2.8072163517801306e-06,0.3813613768731885,5,4966.986509497467,148.50720559033653,12797.98917766147,"[1, 11, 45, 53, 59]","[198.74895519104803, 10322.361808432137, 1367.3254006123398, 148.50720559033653, 12797.98917766147]","[0, 0, 34, 50, 34]","[2, 34, 50, 54, 67]",0.05,10,3666651491.5663586,12983.316272253958,-12983.316272253958,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CWT,uc1.b4952555,,,12173.316272253958,,0.0,-12.0,0.0,123.50720559033653,,,4723.565456865887,,,,,,,,,,,20.0,,,,0.0,-12.0,4723.565456865887,20209.932547487333,4723.565456865887,,,,,,,12089.98917766147,12173.316272253958,0.0,-7.5,,,,,,14.0,,0.24323414298040963,0.15108390605117195,0.5263198150333341,0.5728602677210591,0.7745320688212123,0.44057971014492747,0.7488389888723188,0.08420946287685424,,0.9118662568105453,0.48149760391123764,0.48149760391123764,0.48060660030763636,0.7817303447765601,0.5471763932458074,0.6666666666666667,,0.41666666666666663,0.33333333333333337,0.24239641276812424,0.24239641276812424,0.36666666666666664,1.8830523536006307,0.6741711403430062,3,1.617234736758251,0.7395789760576448,7,0,0,0.49604174681938384,0.7278675612395192,3,1,0.11111111111111112,0.43715173975710536,0.7696989325737676,7,2.309401076758503,0.8350427802315354,5.0,4.2,0.7389499615443391,4,gaus,0.5769230769230769,1.0,0.29615384615384616,1,3.25,0.34277337068970215,0.014191235177837921,0.35642549291574377,0.5728602677210591,0.8303287687025793,0.21018740196483116,0.7488389888723187,0.16369149676369973,,0.05326720155644821,0.5345581378231751,0.5345581378231751,0.5345581378231751,0.7817303447765602,0.5959526600181412,0.8666666666666666,,0.41666666666666663,0.275,0.33308746985894766,0.33308746985894766,0.21568627450980393,1.7781295630840164,0.7036675590544037,4,1.4716263507618674,0.6612311811193837,12,5.656854249492381,0.7979694910895578,8.0,6.0,0.756127602687636,5,14.0625,13.5,6.894140023720628,16,0.78125,0.38999145289779535,0.33612756413066136,2,4.25,5
smoothed,gaus8,13.183591124793788,0.6753731343283582,54.73103832725227,-5.942680790388458,67,32,912.1203643445357,,False,10.143986351236393,2514.2314310666634,0.059819057244086773,2.535294844472824e-05,0.46365113750411374,2,2458.749523360268,2316.1641714237494,2601.334875296787,"[7, 41]","[2316.1641714237494, 2601.334875296787]","[0, 26]","[60, 60]",0.05,10,82895246.37130998,2742.1572103582726,-2742.1572103582726,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CWT,uc1.b4952555,,,2452.090543691606,,0.0,-2.5,0.0,2315.364171423749,,,2384.5661900269347,,,,,,,,,,,10.0,,,,0.0,-7.0,2384.5661900269347,4324.03238005387,2384.5661900269347,,,,,,,2341.334875296787,2452.090543691606,0.0,-7.0,,,,,,6.0,,0.458045251757023,0.12780944192891724,0.8272680779596814,0.27854110265141224,1.0,0.12727272727272715,0.911992461170676,0.6894004049227043,,1.0,1.0,1.0,1.0,0.7214441603601822,0.7708394514787247,1.0,,0.09523809523809525,0.0952380952380952,0.8486734729860645,0.8486734729860645,0.30000000000000004,2.7646588141614985,1.0,1,2.00285404355374,0.8686736760946355,5,0,0,0.7233422290239354,1.0,1,1,0.11111111111111112,0.5469856279023371,0.8455406682490373,3,1.9148542155126762,0.8632246988919516,2.5,1.5789473684210524,0.8423266351602615,1,gaus,0.45535714285714285,1.0,0.38125000000000003,1,1.0,0.022644850981780082,0.20852386814910862,0.9268702112075742,0.28221250170209267,0.4827428890188194,0.23582101874019648,0.9163396071356784,0.004010126003128056,,0.9999999999999999,0.2588623357652983,0.2588623357652983,0.2588623357652983,0.14439270507001534,0.07926862547172789,0.33333333333333326,,0.43749999999999994,0.525,0.036894076953125396,0.036894076953125396,0.588235294117647,1.0067947903977528,0.39842362859044517,14,1.4704187385758685,0.6606885767880133,13,0.7071067811865476,0.9747461863861947,13.5,13.481481481481481,0.7463016646216687,6,14.0625,13.5,6.894140023720628,16,0.78125,0.38999145289779535,0.33612756413066136,2,5.0,6
smoothed,gaus6,13.114663407390191,0.6623134328358209,50.601484256289595,-6.017834013529766,67,32,924.6923048864312,,False,10.11618125329051,2340.3454302440564,0.06015371628263509,2.8014406981234815e-05,0.4611120827297875,2,2357.095739908669,2178.4656007529534,2535.7258790643846,"[7, 41]","[2178.4656007529534, 2535.7258790643846]","[0, 26]","[60, 60]",0.05,10,84295407.27869262,2753.6753132919607,-2753.6753132919607,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CWT,uc1.b4952555,,,2463.608646625294,,0.0,-2.5,0.0,2177.665600752953,,,2282.912406575336,,,,,,,,,,,10.0,,,,0.0,-7.0,2282.912406575336,4120.724813150671,2282.912406575336,,,,,,,2275.7258790643846,2463.608646625294,0.0,-7.0,,,,,,6.0,,0.4731882277962316,0.15308930141754723,0.8194633243940965,0.22598136355364096,0.9861926711518441,0.08099173553718991,0.9057329614697514,0.6132994848721369,,0.9405236038733615,0.9537134566347738,0.9537134566347738,0.9537134566347738,0.6709359697556608,0.737024686633634,1.0,,0.09523809523809525,0.0952380952380952,0.856746181523502,0.856746181523502,0.30000000000000004,2.6662256119849723,0.9643958951924488,2,1.9256579435049652,0.8351923446789152,6,0,0,0.7011327653075143,0.9692960498844508,2,1,0.11111111111111112,0.5266868282184992,0.8141624020317938,6,2.309401076758503,0.8350427802315354,4.0,2.9999999999999996,0.7746642472586249,2,gaus,0.45535714285714285,1.0,0.38125000000000003,1,1.75,0.023393489756034752,0.23146427402330777,0.9235659002667457,0.2323351823291672,0.47607749920102777,0.19529637579460082,0.911171366989597,0.003567459772911716,,0.9405236038733614,0.2468804930352741,0.2468804930352741,0.2468804930352741,0.13623606531659432,0.07579131262171994,0.33333333333333326,,0.43749999999999994,0.525,0.037245018910757745,0.037245018910757745,0.588235294117647,0.9724916135840781,0.38484867140092255,16,1.4288172910817916,0.6419962135746586,15,0.7071067811865476,0.9747461863861947,15.5,15.483870967741938,0.7105873789073831,8,14.0625,13.5,6.894140023720628,16,0.78125,0.38999145289779535,0.33612756413066136,2,6.5,7
raw,cmor,14.619029503582103,0.7245989304812834,307.357042771083,-18.122007240609072,68,33,6127.777710316429,-55500.398644688976,True,10.544131185510256,35031.665755549206,0.04690374682753236,1.2058145765208232e-05,0.2417903897849659,7,2109.6672366164867,41.28893404941209,6988.777994082527,"[1, 11, 17, 22, 45, 53, 60]","[78.74413532802419, 5986.718303652988, 139.18405466608965, 41.28893404941209, 1390.1108439650434, 142.84639057132244, 6988.777994082527]","[0, 0, 16, 21, 35, 50, 35]","[2, 35, 35, 35, 50, 54, 67]",0.05,20,3138766317.097047,11200.338867641107,-11200.338867641107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CWT,uc1.b4952555,,,10390.338867641107,,0.0,-11.0,0.0,16.28893404941209,,,1866.2461839849077,,,,,,,,,,,10.0,,,,0.0,-6.5,1866.2461839849077,10142.670656315408,1887.7110513697692,,,,,,,6280.777994082527,10390.338867641107,0.0,2.5,,,,,,12.0,,0.23224404931177803,1.0,0.5779266287293314,1.0,0.4970979231314161,0.8144927536231883,0.4647425660651423,0.0,0.5250604731002602,0.11527785924129952,0.10631372911167547,0.10631372911167547,0.10760131748646386,0.3778347603651308,0.20211661063987196,0.33333333333333337,,0.8333333333333333,0.6666666666666667,0.18068388670054875,0.18068388670054875,0.4333333333333333,0.8629012306680554,0.3089362361967797,14,2.1866964707122762,1.0,1,0,0,0.30362437050199004,0.4455236509975368,11,0,0.0,0.5679515993290128,1.0,1,6.751543033509698,0.5177469261778787,6.75,1.8498498498498497,0.5178020345175107,12,cmor,0.9230769230769231,,,3,9.75,0.33322883039280526,0.09392949619022532,0.39137379522931304,1.0000000000000002,0.6215514367909785,0.3885701312639313,0.4647425660651423,0.0867906258744816,0.2555557119691384,0.006956216924463399,0.19776840905299073,0.19776840905299073,0.20029845423668713,0.37783476036513075,0.2880612753440896,0.7333333333333333,,0.8333333333333333,0.55,0.2787624143883144,0.2787624143883144,0.2549019607843137,1.1079374892136051,0.43844930358596446,13,1.6520111075770636,0.7422816636301753,6,4.949747468305833,0.8232233047033631,9.5,8.210526315789474,0.7419687952088244,7,17.5,17.5,14.849242404917497,2,0.9722222222222222,0.84,0.06744444444444446,7,7.0,8
smoothed,gaus1,12.98960408467044,0.7481343283582089,56.05151561637663,-6.5302802624151255,67,32,1070.2775688607703,,False,10.256757166681954,1404.2730555957414,0.05842688772776507,4.2618215579474544e-05,0.09371760873616192,5,847.4931281865386,9.149327496338174,2828.6832036785654,"[16, 32, 46, 51, 56]","[2828.6832036785654, 9.149327496338174, 1273.2048072336925, 41.23340246800808, 85.19490005608941]","[0, 31, 33, 48, 53]","[66, 33, 66, 66, 66]",0.05,20,90465061.1194467,1686.2312644212807,-1686.2312644212807,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CWT,uc1.b4952555,,,1396.164597754614,,0.0,8.0,0.0,8.349327496338162,,,773.3097948532052,,,,,,,,,,,0.0,,,,0.0,-5.5,773.3097948532052,3643.998974266026,773.3097948532053,,,,,,,2568.6832036785654,1396.164597754614,0.0,-5.5,,,,,,3.0,,0.6485465312083855,0.2918035531326743,0.7662451586124589,0.4917108116449809,0.9611412802257728,0.38512396694214845,0.0,0.20362896161173444,,0.0035268481071991935,0.2663382859407603,0.2663382859407603,0.2663382859407604,0.5525018165008014,0.8880143924719173,0.39999999999999997,,0.2380952380952381,0.23809523809523808,0.10860521280966168,0.10860521280966168,1.0,1.4120817490081154,0.5107616685917861,9,1.7037793378267232,0.7389596188536801,11,0,0,0.3613715680593332,0.4995858855730866,9,1,0.11111111111111112,0.4629694773667138,0.7156669230465647,10,0.9574271077563381,0.9316123494459758,9.75,9.682151589242054,0.6175918890087022,7,gaus,0.45535714285714285,1.0,0.38125000000000003,1,5.5,0.03206285732169279,0.3573416048016718,0.9010348407060059,0.4845029589725829,0.46398411837143627,0.46160117229422915,0.16334076122954977,0.0011844753616597273,,0.003526848107199193,0.06894495080235113,0.06894495080235113,0.06894495080235116,0.11710996495466877,0.09131821179536917,0.1333333333333333,,0.49999999999999994,0.6,0.004721355393390511,0.004721355393390511,1.0,0.5325444740199843,0.2107463246219294,21,1.3821363452867979,0.6210215300839657,18,2.1213203435596424,0.9242385591585842,19.5,19.384615384615387,0.6139049938650064,12,14.0625,13.5,6.894140023720628,16,0.78125,0.38999145289779535,0.33612756413066136,2,9.5,9
