signal_type,wavelet,wavelet_energy_entropy,wavelet_sparsity,wavelet_adaptive_threshold,wavelet_psnr,signal_length,decomposition_levels,original_level,padded,emd_value,kl_divergence,wavelet_entropy,avg_variance_across_levels,variance_ratio_across_levels,smoothness,correlation,dynamic_cutoff,dominant_frequency,amplitude_max,num_fft_peaks,positive_frequencies,positive_amplitudes,relative_num_peaks,avg_prominence,prominence_min,prominence_max,relative_peaks,relative_prominences,relative_left_bases,relative_right_bases,max_autocorrelation,upper_envelope,lower_envelope,spectral_magnitude,spectral_centroid,spectral_bandwidth,frequency_max,wavelet_type,htid,positive_frequencies_dtw,positive_frequencies_euclidean,positive_frequencies_wasserstein,max_autocorrelation_diff,frequency_max_diff,relative_right_bases_array_alignment_score,relative_right_bases_global_alignment_score,relative_num_peaks_diff,positive_amplitudes_dtw,positive_amplitudes_euclidean,positive_amplitudes_wasserstein,relative_peaks_array_alignment_score,relative_peaks_global_alignment_score,spectral_centroid_diff,lower_envelope_diff,relative_prominences_avg_diff,relative_prominences_total_diff,relative_prominences_wasserstein,spectral_bandwidth_diff,spectral_magnitude_diff,avg_prominence_diff,num_fft_peaks_diff,amplitude_max_diff,prominence_min_diff,relative_left_bases_array_alignment_score,relative_left_bases_global_alignment_score,prominence_max_diff,upper_envelope_diff,dominant_frequency_diff,dynamic_cutoff_diff,emd_value_normalized,smoothness_normalized,wavelet_psnr_normalized,wavelet_entropy_normalized,wavelet_energy_entropy_normalized,wavelet_sparsity_normalized,correlation_normalized,avg_variance_across_levels_normalized,kl_divergence_normalized,prominence_min_diff_normalized,positive_amplitudes_dtw_normalized,positive_amplitudes_euclidean_normalized,positive_amplitudes_wasserstein_normalized,avg_prominence_diff_normalized,relative_prominences_avg_diff_normalized,relative_prominences_wasserstein_normalized,spectral_centroid_diff_normalized,spectral_magnitude_diff_normalized,dynamic_cutoff_diff_normalized,relative_prominences_total_diff_normalized,prominence_max_diff_normalized,amplitude_max_diff_normalized,spectral_bandwidth_diff_normalized,num_fft_peaks_diff_normalized,relative_num_peaks_diff_normalized,max_autocorrelation_diff_normalized,relative_right_bases_global_alignment_score_normalized,relative_right_bases_array_alignment_score_normalized,relative_left_bases_global_alignment_score_normalized,relative_left_bases_array_alignment_score_normalized,upper_envelope_diff_normalized,lower_envelope_diff_normalized,relative_peaks_array_alignment_score_normalized,relative_peaks_global_alignment_score_normalized,reconstruction_weighted_score,reconstruction_normalized_weighted_score,reconstruction_normalized_weighted_rank,signal_weighted_score,signal_normalized_weighted_score,signal_normalized_weighted_rank,reconstruction_missing_metrics_count,reconstruction_dynamically_weighted_score,reconstruction_normalized_dynamically_weighted_score,reconstruction_normalized_dynamically_weighted_rank,signal_missing_metrics_count,signal_dynamically_weighted_score,signal_normalized_dynamically_weighted_score,signal_normalized_dynamically_weighted_rank,rank_variability,normalized_rank_stability,average_rank,harmonic_average_rank,stability_score_weighted,stability_rank,wavelet_family,family_mean_stability_rank,family_median_stability_rank,family_rank_std_dev,family_wavelet_count,normalized_family_mean_rank,normalized_family_std_dev,final_family_stability_score,final_family_stability_rank,family_informed_rank,top_wavelet_rank
smoothed,rbio3.1,3194073.0265011783,0.6203703703703703,188.53112249999987,3.1216181867110935,108,2,False,False,381.4880663595892,,7.709220110901873,393321.6298831741,0.671450731324843,2.158372307313491e-05,0.1491210800425826,0.0,0.018518518518518517,22570.284229607616,8,"[0.0, 0.009259259259259259, 0.018518518518518517, 0.027777777777777776, 0.037037037037037035, 0.046296296296296294, 0.05555555555555555, 0.06481481481481481, 0.07407407407407407, 0.08333333333333333, 0.09259259259259259, 0.10185185185185185, 0.1111111111111111, 0.12037037037037036, 0.12962962962962962, 0.1388888888888889, 0.14814814814814814, 0.15740740740740738, 0.16666666666666666, 0.17592592592592593, 0.18518518518518517, 0.19444444444444442, 0.2037037037037037, 0.21296296296296297, 0.2222222222222222, 0.23148148148148145, 0.24074074074074073, 0.25, 0.25925925925925924, 0.2685185185185185, 0.2777777777777778, 0.28703703703703703, 0.2962962962962963, 0.3055555555555555, 0.31481481481481477, 0.32407407407407407, 0.3333333333333333, 0.34259259259259256, 0.35185185185185186, 0.3611111111111111, 0.37037037037037035, 0.3796296296296296, 0.38888888888888884, 0.39814814814814814, 0.4074074074074074, 0.41666666666666663, 0.42592592592592593, 0.4351851851851852, 0.4444444444444444, 0.45370370370370366, 0.4629629629629629, 0.4722222222222222, 0.48148148148148145, 0.4907407407407407]","[94631.25199805823, 2079.6778134805027, 1905.610655327034, 22570.284229607616, 4435.642025579053, 1015.4822768135277, 21680.62427198884, 5981.44452709213, 3589.7423824642474, 20808.115206983817, 4065.0736862950343, 5005.652745985254, 13453.426536449266, 3886.3391188046853, 1703.6085612741585, 6546.897095214416, 1047.6471059837327, 1888.058317936647, 1852.5693970867405, 725.2732558270465, 868.2324113604907, 1034.5145645609703, 791.0630307011751, 932.705211398362, 893.0966476288565, 632.1842911828243, 445.3263317039371, 1776.2513945075889, 1222.5822574020488, 647.5659178750778, 1195.0874295771278, 196.35474919921128, 296.5554723059599, 1257.1658649620736, 886.9434379291492, 589.0572645534718, 1265.046969709134, 688.4439642368883, 893.2742949666814, 327.4364026624942, 656.2761089853637, 494.40347794296406, 419.71458967565377, 444.97559633391205, 440.4441742641761, 754.335470581926, 458.1007173037101, 581.2860459652053, 948.2130268611678, 99.63188709154544, 106.50667825562472, 238.52081055189305, 391.55544247969215, 691.5947189404584]",11,715.9533782987934,66.86715357060598,2060.8789327711493,"[3, 10, 19, 28, 41, 51, 64, 75, 83, 94, 99]","[805.9743658557211, 70.89439014324216, 646.3642042700748, 595.40931239773, 2060.8789327711493, 861.2330714030536, 446.52267831178426, 168.4655142919146, 1774.3625943531702, 66.86715357060598, 378.51494391828203]","[0, 9, 13, 24, 33, 46, 60, 69, 69, 91, 96]","[33, 13, 33, 33, 105, 105, 69, 79, 105, 96, 105]",116303761.04470561,1566.1908552825387,-1566.1908552825387,242436.86786190883,0.06909534632403505,0.09592268784227263,0.4907407407407407,SWT,uc1.l0082987033,0.0,0.0,0.0,68823091.52470562,0.0,0.0,-5.5,0.0,103067.1856547669,37441.90845609294,2085.3356073696523,0.0,-5.5,0.009733115288817859,669.7908552825387,388.4079237533388,4272.487161286727,388.4079237533389,0.0066005237004963385,112608.12279796127,388.4079237533388,0.0,10239.10673477986,44.467153570606,0.0,-5.5,1164.4789327711492,669.7908552825387,0.0,169.78,1.0,0.00899404624167327,0.0,1.0,0.9999999999999999,0.32142857142857106,0.3882845060491763,0.6715588480583794,,0.08363302429604011,1.0,1.0,1.0,0.7057229414682765,0.7057229414682765,0.6503167513905624,0.6459029876667901,0.9999999999999998,0.6604496624263292,0.8057342893303518,0.8814637468574099,1.0,0.46639889738348533,0.0,0.0,1.0,0.07894736842105263,0.0,0.08510638297872339,0.0,0.4603540530783403,0.4603540530783403,0.0,0.07894736842105264,5.304520258241332,1.0,1,1.8552069840869525,1.0,1,0,0.510762178730601,0.7819684390658249,3,0.11111111111111112,0.5432276909166694,1.0,1,1.0,0.9905660377358491,1.5,1.2000000000000002,0.9882075471698113,1,rbio,29.666666666666668,33.0,15.559409953312434,15,0.40406212664277186,0.4427909348768347,0.5843192308870093,2,1.25,1
smoothed,rbio5.5,334510.5089124725,0.6157407407407407,50.3844468423938,8.649151186700049,108,2,False,False,279.5433343884233,,7.42426327635652,402560.4808639147,0.6825276779944514,4.330948900514949e-05,0.9239402540564589,183.253920778591,0.018518518518518517,17914.664560861747,8,"[0.0, 0.009259259259259259, 0.018518518518518517, 0.027777777777777776, 0.037037037037037035, 0.046296296296296294, 0.05555555555555555, 0.06481481481481481, 0.07407407407407407, 0.08333333333333333, 0.09259259259259259, 0.10185185185185185, 0.1111111111111111, 0.12037037037037036, 0.12962962962962962, 0.1388888888888889, 0.14814814814814814, 0.15740740740740738, 0.16666666666666666, 0.17592592592592593, 0.18518518518518517, 0.19444444444444442, 0.2037037037037037, 0.21296296296296297, 0.2222222222222222, 0.23148148148148145, 0.24074074074074073, 0.25, 0.25925925925925924, 0.2685185185185185, 0.2777777777777778, 0.28703703703703703, 0.2962962962962963, 0.3055555555555555, 0.31481481481481477, 0.32407407407407407, 0.3333333333333333, 0.34259259259259256, 0.35185185185185186, 0.3611111111111111, 0.37037037037037035, 0.3796296296296296, 0.38888888888888884, 0.39814814814814814, 0.4074074074074074, 0.41666666666666663, 0.42592592592592593, 0.4351851851851852, 0.4444444444444444, 0.45370370370370366, 0.4629629629629629, 0.4722222222222222, 0.48148148148148145, 0.4907407407407407]","[94631.25199805826, 2005.657096149912, 1680.3910266706794, 17914.664560861747, 3212.1793939391655, 690.0452455389596, 14268.323274348726, 3923.423692681839, 2400.659855816528, 14412.235963110617, 2942.0372266558447, 3795.4941370680003, 10658.791691159031, 3195.295684612698, 1439.5344564165393, 5622.367797896646, 904.0976609434408, 1620.3167722997969, 1566.79365003429, 599.7920483900531, 697.0700082940638, 800.5038165807915, 585.3749775842277, 654.3836547712554, 588.4014383301339, 386.90965504276744, 250.29862766538648, 907.8407938699498, 566.0829862842445, 273.95970074559466, 473.6626532385287, 75.74495548937588, 115.86663997671717, 512.9285163943732, 384.8355407408329, 274.1428049962809, 633.1724980548097, 370.29535030033463, 514.8353243471886, 201.3351178748915, 428.24382842010647, 340.44914826624097, 303.3603481229483, 336.0212123695389, 346.2311327900562, 615.6121339173496, 387.31817444263856, 508.2122554468671, 855.4409610072684, 92.49862202751126, 101.40025451006846, 231.8472535317183, 386.5526282904252, 689.348633002924]",10,738.215393636182,43.909224665170996,1925.5502544938502,"[10, 22, 30, 43, 53, 58, 66, 88, 95, 102]","[392.9668534818205, 538.3249951510505, 1539.5985615286388, 558.5842526989952, 43.909224665170996, 447.6197724970956, 1439.412390617083, 392.2686988044636, 103.91893242365086, 1925.5502544938502]","[0, 0, 0, 36, 48, 36, 36, 72, 92, 0]","[16, 26, 36, 48, 54, 62, 72, 98, 98, 107]",100805688.70921665,1727.8156133869754,-1727.8156133869754,202373.53487938023,0.058894871975856494,0.09173234679598895,0.4907407407407407,SWT,uc1.l0082987033,0.0,0.0,0.0,53325019.18921666,0.0,0.0,12.0,1.0,72790.44881230754,30996.76581023801,1345.4092809406975,0.0,-1.5,0.00046735905936069744,831.4156133869755,410.6699390907274,3779.1539363618194,410.66993909072744,0.010790864746780024,72544.78981543267,410.6699390907274,0.0,5583.487066033991,21.50922466517102,0.0,10.5,1029.1502544938503,831.4156133869755,0.0,13.473920778591008,0.18346588208483855,0.40227693177345347,0.8105408148972196,0.10699240482348,0.06684223331798353,0.28571428571428525,0.9596706740371452,0.8194460593439912,,0.030083371336657658,0.44006010851123467,0.27849850719146285,0.4391785358368574,0.7497748948203884,0.7497748948203884,0.7026627624340882,0.005622666938115917,0.4997174344417705,0.010542834107991839,0.7064608746899831,0.7637638969220926,0.39299647452033126,0.7647497067604427,0.0,0.3333333333333333,0.3606804315398228,0.5394736842105263,0.0,0.7659574468085106,0.0,0.6820493434370967,0.6820493434370967,0.0,0.18421052631578946,3.4512362392337983,0.6506217473430906,11,1.5748970598047198,0.8489063879736372,12,0,0.40326564289655903,0.6173930224990752,12,0.11111111111111112,0.448813105193494,0.8261970306339583,9,1.4142135623730951,0.9866583626191218,11.0,10.849315068493151,0.9414423888567307,2,rbio,29.666666666666668,33.0,15.559409953312434,15,0.40406212664277186,0.4427909348768347,0.5843192308870093,2,2.0,2
smoothed,bior2.8,240366.90171867705,0.6435185185185185,48.32923528558875,9.781608735045433,108,2,False,False,257.12573244079346,,7.422662661410309,392823.7605667254,0.6792531524942333,2.621764299188319e-05,0.9386233144803201,291.95370727114283,0.018518518518518517,16740.113281034868,8,"[0.0, 0.009259259259259259, 0.018518518518518517, 0.027777777777777776, 0.037037037037037035, 0.046296296296296294, 0.05555555555555555, 0.06481481481481481, 0.07407407407407407, 0.08333333333333333, 0.09259259259259259, 0.10185185185185185, 0.1111111111111111, 0.12037037037037036, 0.12962962962962962, 0.1388888888888889, 0.14814814814814814, 0.15740740740740738, 0.16666666666666666, 0.17592592592592593, 0.18518518518518517, 0.19444444444444442, 0.2037037037037037, 0.21296296296296297, 0.2222222222222222, 0.23148148148148145, 0.24074074074074073, 0.25, 0.25925925925925924, 0.2685185185185185, 0.2777777777777778, 0.28703703703703703, 0.2962962962962963, 0.3055555555555555, 0.31481481481481477, 0.32407407407407407, 0.3333333333333333, 0.34259259259259256, 0.35185185185185186, 0.3611111111111111, 0.37037037037037035, 0.3796296296296296, 0.38888888888888884, 0.39814814814814814, 0.4074074074074074, 0.41666666666666663, 0.42592592592592593, 0.4351851851851852, 0.4444444444444444, 0.45370370370370366, 0.4629629629629629, 0.4722222222222222, 0.48148148148148145, 0.4907407407407407]","[94631.25199805823, 1991.8974887439772, 1632.9472688217195, 16740.113281034868, 2831.1074683048487, 563.484522144256, 10674.398796590465, 2690.627034164614, 1532.556301288168, 8817.079360808097, 1790.0380892769274, 2385.1364560792954, 7151.188841596959, 2350.6596541671715, 1185.2940061876218, 5260.491275784218, 971.0108096905981, 2007.9076280172637, 2240.7837971504123, 985.900146331429, 1306.8867296418084, 1694.6294736174907, 1383.0305729692204, 1704.048277533884, 1667.5701973786304, 1178.9397786715547, 810.2787341782864, 3080.128969390531, 1973.9712099310584, 951.8087222321029, 1566.16353174627, 225.5643152105395, 295.7962277806252, 1092.5006306294595, 686.147409122193, 421.69291157853684, 876.3563054919154, 478.43432748426056, 635.8581737518907, 240.71794848144714, 498.8651936539015, 387.9380779020112, 339.1836252004473, 369.6293069255178, 375.5103758680416, 659.3009953683148, 410.0053652428596, 532.0947173361305, 886.3466611740511, 94.91598233377023, 103.15547917750568, 234.1663458880117, 388.30448568947327, 690.1387081733303]",11,607.5458291463275,120.15414088732223,1330.1161845866277,"[7, 12, 24, 31, 46, 54, 60, 67, 89, 96, 104]","[155.24187460879136, 290.06669937433526, 1239.0861674718062, 565.1408386467618, 389.89653544056796, 120.15414088732223, 1184.997559062013, 513.3953704762723, 236.5984886358949, 658.3102614192103, 1330.1161845866277]","[1, 1, 1, 29, 37, 37, 1, 65, 73, 73, 1]","[10, 17, 37, 37, 50, 57, 73, 73, 94, 101, 107]",94763156.33083841,1337.595301820114,-1337.595301820114,196673.95399099623,0.07035129729458245,0.10555712625668674,0.4907407407407407,SWT,uc1.l0082987033,0.0,0.0,0.0,47282486.810838416,0.0,0.0,-2.5,0.0,59703.47753320211,28951.619674937047,1237.87423938979,0.18181818181818182,15.5,0.010989066259365257,441.19530182011397,280.00037460087293,3080.004120609603,280.000374600873,0.003033914713917771,66845.20892704868,280.00037460087293,0.0,4408.935786207112,97.75414088732225,0.2727272727272727,9.5,433.7161845866277,441.19530182011397,0.0,122.17370727114283,0.003910386885160369,0.09287791955004807,0.9766009838865697,0.10197634228123527,0.03612045762817261,0.49999999999999956,0.9704986167511385,0.6635894041364288,,0.20792558090316693,0.19802883162467166,0.049554623291508726,0.3576731787528845,0.49120668020864355,0.49120668020864355,0.39541158314166636,0.732691445114552,0.42854509961154374,0.46250691528864696,0.5657710000814526,0.2458950936012551,0.23985751162398516,0.21245759138392442,0.0,0.0,0.11141658059590176,0.15789473684210525,0.0,0.723404255319149,1.0,0.14679715626414075,0.14679715626414075,0.2857142857142857,0.631578947368421,2.7335666605843714,0.51532778225088,23,1.537680690572235,0.8288458936181781,17,0,0.3312933973281874,0.5072047061616465,21,0.11111111111111112,0.4126412083342885,0.7596100405669255,20,2.5,0.9764150943396226,20.25,20.007919344521948,0.8926886792452831,3,bior,20.866666666666667,22.0,12.299051453940123,15,0.28420549581839905,0.3500073915225213,0.6960539354703643,1,2.5,3
smoothed,db2,357456.10452821513,0.6203703703703703,55.64919102177024,8.595639866767284,108,2,False,False,290.6896088451473,,7.471223959983362,370351.9961342593,0.6655917611943026,4.56431602751717e-05,0.9562696091227552,151.5649391676005,0.018518518518518517,18892.45419289382,8,"[0.0, 0.009259259259259259, 0.018518518518518517, 0.027777777777777776, 0.037037037037037035, 0.046296296296296294, 0.05555555555555555, 0.06481481481481481, 0.07407407407407407, 0.08333333333333333, 0.09259259259259259, 0.10185185185185185, 0.1111111111111111, 0.12037037037037036, 0.12962962962962962, 0.1388888888888889, 0.14814814814814814, 0.15740740740740738, 0.16666666666666666, 0.17592592592592593, 0.18518518518518517, 0.19444444444444442, 0.2037037037037037, 0.21296296296296297, 0.2222222222222222, 0.23148148148148145, 0.24074074074074073, 0.25, 0.25925925925925924, 0.2685185185185185, 0.2777777777777778, 0.28703703703703703, 0.2962962962962963, 0.3055555555555555, 0.31481481481481477, 0.32407407407407407, 0.3333333333333333, 0.34259259259259256, 0.35185185185185186, 0.3611111111111111, 0.37037037037037035, 0.3796296296296296, 0.38888888888888884, 0.39814814814814814, 0.4074074074074074, 0.41666666666666663, 0.42592592592592593, 0.4351851851851852, 0.4444444444444444, 0.45370370370370366, 0.4629629629629629, 0.4722222222222222, 0.48148148148148145, 0.4907407407407407]","[94631.25199805823, 2020.8146600984496, 1727.2461483821023, 18892.45419289382, 3466.669643251898, 755.2215859464509, 15645.862185296453, 4260.920890617816, 2559.8527841269893, 15017.668183524118, 2993.907020077742, 3784.1660602097227, 10478.148306597412, 3123.6755795184386, 1412.725635004495, 5588.981057214716, 916.8641014828919, 1683.4262691527176, 1668.9242641051967, 653.368861784313, 772.6474524257287, 896.9583527009346, 658.3042496349922, 733.3912932203265, 653.1283872142063, 423.3931312951463, 269.17417617322684, 956.1872546528879, 579.5293381432793, 268.0503010454159, 430.5240536254365, 61.88452451925076, 83.4042869011989, 328.5920339258443, 228.8996791804649, 160.25766734486749, 381.50008033632986, 236.36516911125707, 351.7887941065528, 147.3088988844494, 333.9642411524379, 281.11827459796484, 263.28064942062053, 304.1671607990653, 324.3512871666242, 592.2825354883355, 379.93578103842714, 504.99232716896654, 856.3755060418318, 92.90266200582826, 101.8849160494869, 232.67896067329772, 387.2818887253363, 689.7044345618924]",11,703.3985769895258,46.62381312412231,2046.152292899408,"[6, 11, 22, 30, 44, 59, 66, 79, 88, 95, 102]","[54.72743116896072, 387.570796435582, 525.7472597792, 1613.983500546724, 598.1377051007719, 425.2075042916854, 1521.5858447289606, 46.62381312412231, 362.7098530592566, 154.93834575011283, 2046.152292899408]","[0, 0, 0, 0, 36, 36, 36, 72, 72, 92, 0]","[7, 17, 26, 36, 49, 62, 72, 80, 98, 98, 107]",102590207.42229566,1741.2242271670145,-1741.2242271670145,205248.35917667588,0.05724395626038068,0.08842825332974395,0.4907407407407407,SWT,uc1.l0082987033,0.0,0.0,0.0,55109537.902295664,0.0,0.2727272727272727,20.0,0.0,75677.30360307507,31629.373962922935,1408.7133464303079,0.09090909090909091,6.5,0.0021182747748365108,844.8242271670146,375.8531224440713,4134.3843468847845,375.8531224440713,0.014094958213025019,75419.61411272832,375.8531224440713,0.0,6561.276698066064,24.22381312412233,0.2727272727272727,11.0,1149.752292899408,844.8242271670146,0.0,18.2150608323995,0.2727428187698614,0.44452137893490007,0.8026940758791774,0.2541594212607629,0.07433004329880197,0.32142857142857106,0.9835117803550983,0.3038816242932032,,0.03641518247272116,0.49344978411257945,0.3493158267768669,0.4871593650454956,0.6808795697771238,0.6808795697771238,0.620795894539815,0.1197038943764499,0.5356162069080405,0.030256074375627384,0.7779438684455375,0.8686554986352285,0.5204814917792301,0.9999999999998379,0.0,0.0,0.43429460166743866,0.75,0.6,0.7872340425531915,1.0,0.7004414917696767,0.7004414917696767,0.14285714285714285,0.3947368421052631,3.98159143272508,0.750603492660643,8,1.5045692275494662,0.8109980398170752,26,0,0.5084623135897626,0.778447383613534,4,0.11111111111111112,0.42660315872199145,0.7853118790798754,17,9.810708435174291,0.9074461468379784,13.75,8.469461077844311,0.8888645828529514,4,db,73.42105263157895,77.5,23.374312048205503,38,1.0,0.6651880447255896,0.10044358658232312,5,4.25,4
smoothed,sym2,357456.10452768387,0.6203703703703703,55.6491910217805,8.595639866768328,108,2,False,False,290.68960884509744,,7.471223959983364,370351.99613422435,0.6655917611942829,4.5643160275196926e-05,0.9562696091228197,151.5649391673365,0.018518518518518517,18892.454192894224,8,"[0.0, 0.009259259259259259, 0.018518518518518517, 0.027777777777777776, 0.037037037037037035, 0.046296296296296294, 0.05555555555555555, 0.06481481481481481, 0.07407407407407407, 0.08333333333333333, 0.09259259259259259, 0.10185185185185185, 0.1111111111111111, 0.12037037037037036, 0.12962962962962962, 0.1388888888888889, 0.14814814814814814, 0.15740740740740738, 0.16666666666666666, 0.17592592592592593, 0.18518518518518517, 0.19444444444444442, 0.2037037037037037, 0.21296296296296297, 0.2222222222222222, 0.23148148148148145, 0.24074074074074073, 0.25, 0.25925925925925924, 0.2685185185185185, 0.2777777777777778, 0.28703703703703703, 0.2962962962962963, 0.3055555555555555, 0.31481481481481477, 0.32407407407407407, 0.3333333333333333, 0.34259259259259256, 0.35185185185185186, 0.3611111111111111, 0.37037037037037035, 0.3796296296296296, 0.38888888888888884, 0.39814814814814814, 0.4074074074074074, 0.41666666666666663, 0.42592592592592593, 0.4351851851851852, 0.4444444444444444, 0.45370370370370366, 0.4629629629629629, 0.4722222222222222, 0.48148148148148145, 0.4907407407407407]","[94631.25199805823, 2020.8146600984578, 1727.2461483821235, 18892.454192894224, 3466.669643251982, 755.2215859464645, 15645.862185296413, 4260.920890617673, 2559.8527841267983, 15017.668183522284, 2993.9070200772157, 3784.1660602088386, 10478.148306594345, 3123.67557951734, 1412.7256350039174, 5588.981057212122, 916.8641014824178, 1683.426269151766, 1668.9242641041817, 653.3688617838941, 772.6474524252051, 896.9583527003059, 658.3042496345151, 733.391293219796, 653.1283872137393, 423.39313129485487, 269.1741761730548, 956.187254652336, 579.5293381430089, 268.0503010453302, 430.5240536253905, 61.88452451925989, 83.40428690123215, 328.5920339260479, 228.8996791806194, 160.25766734495832, 381.5000803364649, 236.3651691112901, 351.78879410654656, 147.30889888443093, 333.964241152381, 281.1182745979062, 263.2806494205605, 304.1671607989995, 324.3512871665574, 592.2825354882272, 379.93578103836364, 504.99232716889907, 856.3755060417441, 92.90266200581998, 101.88491604948166, 232.67896067329306, 387.2818887253319, 689.7044345618884]",11,703.3985769893912,46.62381312405546,2046.1522928992372,"[6, 11, 22, 30, 44, 59, 66, 79, 88, 95, 102]","[54.727431168823045, 387.57079643557563, 525.747259778974, 1613.9835005465009, 598.1377051006789, 425.2075042915667, 1521.5858447287658, 46.62381312405546, 362.70985305908096, 154.9383457500453, 2046.1522928992372]","[0, 0, 0, 0, 36, 36, 36, 72, 72, 92, 0]","[7, 17, 26, 36, 49, 62, 72, 80, 98, 98, 107]",102590207.4222925,1741.2242271668094,-1741.2242271668094,205248.35917665856,0.05724395626037271,0.08842825332974168,0.4907407407407407,SWT,uc1.l0082987033,0.0,0.0,0.0,55109537.902292505,0.0,0.2727272727272727,20.0,0.0,75677.30360306866,31629.373962921367,1408.713346429994,0.09090909090909091,6.5,0.0021182747748444836,844.8242271668095,375.8531224439367,4134.384346883304,375.85312244393674,0.014094958213027295,75419.614112711,375.8531224439367,0.0,6561.276698066467,24.223813124055482,0.2727272727272727,11.0,1149.752292899237,844.8242271668095,0.0,18.21506083266351,0.27274281876946216,0.4445213789353568,0.8026940758793306,0.25415942126076846,0.0743300432986286,0.32142857142857106,0.9835117803551459,0.3038816242926442,,0.036415182472565234,0.4934497841124611,0.3493158267766914,0.4871593650452578,0.6808795697768575,0.6808795697768575,0.6207958945394987,0.11970389437700085,0.5356162069078243,0.030256074376725117,0.7779438684452396,0.8686554986350797,0.5204814917792827,1.0,0.0,0.0,0.4342946016673083,0.75,0.6,0.7872340425531915,1.0,0.7004414917693955,0.7004414917693955,0.14285714285714285,0.3947368421052631,3.981591432725048,0.750603492660637,9,1.504569227549287,0.8109980398169786,27,0,0.5084623135897214,0.778447383613471,5,0.11111111111111112,0.42660315872193283,0.7853118790797675,18,9.810708435174291,0.9074461468379784,14.75,9.908256880733946,0.884147601720876,5,sym,50.0,66.0,35.13940491496374,19,0.6810035842293907,1.0,0.2232974910394265,3,4.5,5
