wavelet,wavelet_level,wavelet_mode,wavelet_mse,wavelet_psnr,wavelet_energy_entropy,wavelet_sparsity,wavelet_adaptive_threshold,signal_length,signal_type,emd_value,kl_divergence,wavelet_entropy,avg_variance_across_levels,variance_ratio_across_levels,smoothness,correlation,dynamic_cutoff,dominant_frequency,amplitude_max,num_fft_peaks,positive_frequencies,positive_amplitudes,relative_num_peaks,avg_prominence,prominence_min,prominence_max,relative_peaks,relative_prominences,relative_left_bases,relative_right_bases,max_autocorrelation,upper_envelope,lower_envelope,spectral_magnitude,spectral_centroid,spectral_bandwidth,frequency_max,wavelet_type,htid,positive_frequencies_dtw,positive_frequencies_euclidean,positive_frequencies_wasserstein,max_autocorrelation_diff,frequency_max_diff,relative_right_bases_array_alignment_score,relative_right_bases_global_alignment_score,relative_num_peaks_diff,positive_amplitudes_dtw,positive_amplitudes_euclidean,positive_amplitudes_wasserstein,relative_peaks_array_alignment_score,relative_peaks_global_alignment_score,spectral_centroid_diff,lower_envelope_diff,relative_prominences_avg_diff,relative_prominences_total_diff,relative_prominences_wasserstein,spectral_bandwidth_diff,spectral_magnitude_diff,avg_prominence_diff,num_fft_peaks_diff,amplitude_max_diff,prominence_min_diff,relative_left_bases_array_alignment_score,relative_left_bases_global_alignment_score,prominence_max_diff,upper_envelope_diff,dominant_frequency_diff,dynamic_cutoff_diff,emd_value_normalized,wavelet_mse_normalized,wavelet_psnr_normalized,wavelet_entropy_normalized,wavelet_energy_entropy_normalized,wavelet_sparsity_normalized,avg_variance_across_levels_normalized,prominence_min_diff_normalized,positive_amplitudes_dtw_normalized,positive_amplitudes_euclidean_normalized,positive_amplitudes_wasserstein_normalized,avg_prominence_diff_normalized,relative_prominences_avg_diff_normalized,relative_prominences_wasserstein_normalized,spectral_centroid_diff_normalized,spectral_magnitude_diff_normalized,dynamic_cutoff_diff_normalized,relative_prominences_total_diff_normalized,prominence_max_diff_normalized,amplitude_max_diff_normalized,spectral_bandwidth_diff_normalized,max_autocorrelation_diff_normalized,relative_right_bases_global_alignment_score_normalized,relative_left_bases_global_alignment_score_normalized,upper_envelope_diff_normalized,lower_envelope_diff_normalized,reconstruction_weighted_score,reconstruction_normalized_weighted_score,reconstruction_normalized_weighted_rank,signal_weighted_score,signal_normalized_weighted_score,signal_normalized_weighted_rank,reconstruction_missing_metrics_count,reconstruction_dynamically_weighted_score,reconstruction_normalized_dynamically_weighted_score,reconstruction_normalized_dynamically_weighted_rank,signal_missing_metrics_count,signal_dynamically_weighted_score,signal_normalized_dynamically_weighted_score,signal_normalized_dynamically_weighted_rank,rank_variability,normalized_rank_stability,average_rank,harmonic_average_rank,stability_score_weighted,stability_rank,wavelet_family,family_mean_stability_rank,family_median_stability_rank,family_rank_std_dev,family_wavelet_count,normalized_family_mean_rank,normalized_family_std_dev,final_family_stability_score,final_family_stability_rank,family_informed_rank
dmey,1,antisymmetric,0.5496872809780382,59.95761613687876,6972722.448311047,0.5357142857142857,78.99915414217818,164,smoothed,0.5697678780010158,,6.196449832840829,167247.58016722987,0.9969900103854001,0.0001896568964934302,0.9999975529379858,32.194961853798176,0.01829268292682927,12009.975481096862,10,"[0.0, 0.006097560975609756, 0.012195121951219513, 0.01829268292682927, 0.024390243902439025, 0.03048780487804878, 0.03658536585365854, 0.042682926829268296, 0.04878048780487805, 0.054878048780487805, 0.06097560975609756, 0.06707317073170732, 0.07317073170731708, 0.07926829268292683, 0.08536585365853659, 0.09146341463414634, 0.0975609756097561, 0.10365853658536586, 0.10975609756097561, 0.11585365853658537, 0.12195121951219512, 0.12804878048780488, 0.13414634146341464, 0.1402439024390244, 0.14634146341463417, 0.1524390243902439, 0.15853658536585366, 0.16463414634146342, 0.17073170731707318, 0.17682926829268295, 0.18292682926829268, 0.18902439024390244, 0.1951219512195122, 0.20121951219512196, 0.20731707317073172, 0.21341463414634146, 0.21951219512195122, 0.22560975609756098, 0.23170731707317074, 0.2378048780487805, 0.24390243902439024, 0.25, 0.25609756097560976, 0.2621951219512195, 0.2682926829268293, 0.27439024390243905, 0.2804878048780488, 0.28658536585365857, 0.29268292682926833, 0.29878048780487804, 0.3048780487804878, 0.31097560975609756, 0.3170731707317073, 0.3231707317073171, 0.32926829268292684, 0.3353658536585366, 0.34146341463414637, 0.34756097560975613, 0.3536585365853659, 0.3597560975609756, 0.36585365853658536, 0.3719512195121951, 0.3780487804878049, 0.38414634146341464, 0.3902439024390244, 0.39634146341463417, 0.4024390243902439, 0.4085365853658537, 0.41463414634146345, 0.4207317073170732, 0.4268292682926829, 0.4329268292682927, 0.43902439024390244, 0.4451219512195122, 0.45121951219512196, 0.4573170731707317, 0.4634146341463415, 0.46951219512195125, 0.475609756097561, 0.48170731707317077, 0.4878048780487805, 0.49390243902439024]","[60088.94863781183, 15600.16229700555, 6555.24071633647, 4150.636778813468, 12009.975481096862, 3430.092351263884, 8114.125860296047, 7736.543193546748, 5596.562906164852, 4709.320337743686, 891.8195602553923, 1589.6004050822364, 3844.3595189542807, 840.3927148985093, 2346.2873723751195, 3414.1774409128548, 1682.7605338016137, 2902.840069428877, 2524.2639782490487, 503.04214497131045, 1866.659140025603, 1632.0225352828654, 1295.0060930957156, 352.2408282295415, 1424.4302247416729, 540.1866331379131, 217.8844352994189, 189.38459789074915, 107.20319402954387, 406.18980307309033, 379.8242014358909, 164.82889179773812, 221.3291384492239, 209.60008334199358, 216.02461677190547, 254.14390694080902, 413.68234858097026, 514.7032889008291, 461.06668795247947, 665.6789836383883, 640.4282374260533, 121.71760135045186, 481.77939457195305, 934.9323342230329, 319.3209935879304, 1040.0315363622758, 664.3986434442005, 375.9450003813117, 638.2874150671917, 404.2177317976935, 322.39725787043443, 244.6279599300639, 220.48793023443778, 400.98194393519145, 357.1137007906349, 511.54729802915676, 487.4092135758535, 387.9485293140562, 413.9380113970476, 265.4585234088416, 224.1827801949069, 281.9743068628429, 56.502308513955896, 230.3406976406498, 105.11650589370421, 109.18965692563489, 102.73362948863323, 177.75478348742155, 213.93465635280316, 38.83612421641093, 251.74826040025926, 261.70659245753455, 8.968173502476617, 389.1497384164144, 198.40525411764798, 366.92962094744627, 389.66876954454335, 395.2877431212277, 132.19485761682387, 311.33869099923515, 176.57230159597225, 498.92879388552984]",10,302.81217035936675,29.060509621707666,738.6711010305658,"[20, 33, 49, 61, 70, 101, 111, 128, 143, 155]","[121.28740786797573, 533.0941092287666, 216.62125870844238, 129.81409333789702, 738.6711010305658, 430.22225940434436, 29.060509621707666, 90.93371050651558, 29.078158004134764, 709.3390958833176]","[0, 0, 0, 52, 0, 87, 106, 117, 133, 87]","[23, 38, 65, 65, 163, 117, 117, 133, 144, 163]",30691274.735065117,738.7668958021615,-738.7668958021615,174217.67543450487,0.05965682715192361,0.099173746472361,0.49390243902439024,DWT,mdp.39015067403967,0.0,0.0,0.0,59990.61506512761,0.0,0.0,24.0,7.0,318.5653347722677,75.94958585074443,3.8849431069788745,0.0,33,3.2180531157950665e-05,0.9668958021615026,110.70628800642555,237.67829640633272,110.70628800642554,1.2694184709477474e-05,303.38659933465533,110.70628800642555,1.0,36.3989074718811,26.460509621707672,0.0,6.0,0.8711010305657965,0.9668958021615026,0.0,0.7250381462018254,0.98861778113712,0.9660214607699724,0.000566753771901074,0.7573790377135267,0.6439916763243001,0.1466442247001894,0.7787107551660859,0.999999999998591,0.9685834462772233,0.9808327294562886,0.9685834462772234,0.9856580598659223,0.9856580598659223,0.9856580598562652,0.5852741011956553,0.96681789545795,1.0,0.014341940134090736,0.4147903555835795,0.7741641254426224,0.46611281570695545,0.975981699457629,0.0,0.0,1.0000000000000002,1.0000000000000002,5.362342787734368,0.8970357790145496,8,1.9473656120316836,0.9792330027741887,4,0,0.7406556176092592,0.8973710565192892,9,0,0.6117045270832995,0.9818818761207634,2,3.304037933599835,0.9964008301376908,5.75,4.056338028169014,0.9950686067899783,1,dmey,31.555555555555557,11.0,33.97834277562368,9,0.055295950155763246,0.12052553885719239,0.925135173233808,1,1.0
dmey,1,antireflect,0.5690218109025312,59.807483883336474,7017568.896402983,0.53125,82.5405825621637,164,smoothed,0.5763277667792519,,6.213847927643643,170078.1595814975,0.9968956896607022,0.00018967226759201823,0.9999974817823499,32.194961853798176,0.01829268292682927,12010.467909193027,10,"[0.0, 0.006097560975609756, 0.012195121951219513, 0.01829268292682927, 0.024390243902439025, 0.03048780487804878, 0.03658536585365854, 0.042682926829268296, 0.04878048780487805, 0.054878048780487805, 0.06097560975609756, 0.06707317073170732, 0.07317073170731708, 0.07926829268292683, 0.08536585365853659, 0.09146341463414634, 0.0975609756097561, 0.10365853658536586, 0.10975609756097561, 0.11585365853658537, 0.12195121951219512, 0.12804878048780488, 0.13414634146341464, 0.1402439024390244, 0.14634146341463417, 0.1524390243902439, 0.15853658536585366, 0.16463414634146342, 0.17073170731707318, 0.17682926829268295, 0.18292682926829268, 0.18902439024390244, 0.1951219512195122, 0.20121951219512196, 0.20731707317073172, 0.21341463414634146, 0.21951219512195122, 0.22560975609756098, 0.23170731707317074, 0.2378048780487805, 0.24390243902439024, 0.25, 0.25609756097560976, 0.2621951219512195, 0.2682926829268293, 0.27439024390243905, 0.2804878048780488, 0.28658536585365857, 0.29268292682926833, 0.29878048780487804, 0.3048780487804878, 0.31097560975609756, 0.3170731707317073, 0.3231707317073171, 0.32926829268292684, 0.3353658536585366, 0.34146341463414637, 0.34756097560975613, 0.3536585365853659, 0.3597560975609756, 0.36585365853658536, 0.3719512195121951, 0.3780487804878049, 0.38414634146341464, 0.3902439024390244, 0.39634146341463417, 0.4024390243902439, 0.4085365853658537, 0.41463414634146345, 0.4207317073170732, 0.4268292682926829, 0.4329268292682927, 0.43902439024390244, 0.4451219512195122, 0.45121951219512196, 0.4573170731707317, 0.4634146341463415, 0.46951219512195125, 0.475609756097561, 0.48170731707317077, 0.4878048780487805, 0.49390243902439024]","[60090.0190654733, 15600.137125102974, 6555.601923803446, 4150.451707624453, 12010.467909193027, 3430.6660347147163, 8114.322770127444, 7737.786627322101, 5597.358608596897, 4709.423452612557, 892.4467723495466, 1589.9647955199891, 3843.841954688718, 839.9795345478789, 2346.616674431787, 3413.6126768126474, 1683.6006183986503, 2902.7475198052807, 2524.500741217262, 503.53128950289414, 1866.9744767724783, 1632.2590060540108, 1295.2798186604796, 352.0796163899797, 1425.0016441375617, 539.5571298705005, 218.63699951098442, 189.2098368942316, 107.11753159860041, 405.82922980967356, 379.59665410284333, 165.16068164003943, 221.40585025337705, 210.24118977980726, 217.13367692903248, 255.0400849254784, 414.930007243913, 515.7548088849278, 461.77793451590816, 666.4511588838826, 640.0483302257954, 121.46037369989185, 482.74983829561046, 935.5280186288364, 319.50356445868044, 1039.7759583792267, 664.8885399137611, 374.8963534823889, 637.7373193710379, 405.07156753869236, 321.8407374904184, 244.2439013384465, 220.53046742973868, 400.87457591656243, 357.28727217509487, 511.1525511807313, 487.28694236039087, 387.2060264233082, 413.4925012072125, 266.41394078612325, 223.36829685171426, 281.6989790131341, 56.35004718463119, 230.63550446287599, 105.21826100898713, 109.58599772980332, 103.11981028210425, 178.09398108894513, 214.06535156010145, 38.69677980004006, 251.8063336446563, 261.3823770399542, 8.943395731383916, 388.7968315702642, 198.05860059911598, 366.5137459510424, 389.21889616007917, 395.14830617680025, 131.8111406847545, 311.4223431070232, 176.21072854096903, 499.4383223289227]",10,302.8245699701635,29.039073833225274,738.7668958021615,"[20, 33, 49, 61, 70, 101, 111, 128, 143, 155]","[121.29967281634731, 533.0941090300297, 216.62125870844216, 129.81409333789657, 738.7668958021615, 430.2222594043515, 29.060509621707695, 90.93371107245387, 29.039073833225274, 709.3941160750195]","[1, 1, 1, 52, 1, 87, 106, 117, 133, 87]","[23, 38, 65, 65, 163, 117, 117, 133, 144, 163]",30692751.066663504,738.7668958021615,-738.7668958021615,174228.0879495225,0.05965679813064352,0.09916562008579045,0.49390243902439024,DWT,mdp.39015067403967,0.0,0.0,0.0,61466.94666351378,0.0,0.0,24.0,7.0,328.8981821821147,77.43378006242304,4.0109534412453005,0.0,33,3.215150987786325e-05,0.9668958021615026,110.71868761722232,237.55430029836498,110.71868761722232,4.567798138926937e-06,313.7991143522959,110.71868761722232,1.0,36.89133556804518,26.43907383322528,0.0,24.0,0.9668958021615026,0.9668958021615026,0.0,0.7250381462018254,1.0000000000000002,1.0,0.0,0.7818283205841718,0.6610383990849973,0.12076583210603843,0.7973112579834862,0.6457457980535478,1.0,1.0,0.9999999999999999,1.0,1.0,1.0,0.5847462850593914,1.0,1.0,0.0,0.4604047515939048,0.7846375212912406,0.16772319773530892,1.0,0.0,0.6666666666666666,1.0000000000000002,1.0000000000000002,5.267620912428594,0.8811902960665013,9,1.9886641958703943,1.0,1,0,0.7531539063368459,0.9125138601293665,8,0,0.6229919728226706,1.0,1,4.349329450233296,0.9952621683548657,4.75,1.7888198757763976,0.9950439382079339,2,dmey,31.555555555555557,11.0,33.97834277562368,9,0.055295950155763246,0.12052553885719239,0.925135173233808,1,1.75
coif12,1,antisymmetric,2.5879582502289233e-26,313.2292003590602,7291928.310234808,0.5341880341880342,78.26669742722724,164,smoothed,1.0412267254362567e-13,-1.6064398700166336e-10,6.2818317655306535,178418.583185451,0.9973404245984192,0.00019059063897841142,1.0,32.91999999999999,0.01829268292682927,11973.576573624985,10,"[0.0, 0.006097560975609756, 0.012195121951219513, 0.01829268292682927, 0.024390243902439025, 0.03048780487804878, 0.03658536585365854, 0.042682926829268296, 0.04878048780487805, 0.054878048780487805, 0.06097560975609756, 0.06707317073170732, 0.07317073170731708, 0.07926829268292683, 0.08536585365853659, 0.09146341463414634, 0.0975609756097561, 0.10365853658536586, 0.10975609756097561, 0.11585365853658537, 0.12195121951219512, 0.12804878048780488, 0.13414634146341464, 0.1402439024390244, 0.14634146341463417, 0.1524390243902439, 0.15853658536585366, 0.16463414634146342, 0.17073170731707318, 0.17682926829268295, 0.18292682926829268, 0.18902439024390244, 0.1951219512195122, 0.20121951219512196, 0.20731707317073172, 0.21341463414634146, 0.21951219512195122, 0.22560975609756098, 0.23170731707317074, 0.2378048780487805, 0.24390243902439024, 0.25, 0.25609756097560976, 0.2621951219512195, 0.2682926829268293, 0.27439024390243905, 0.2804878048780488, 0.28658536585365857, 0.29268292682926833, 0.29878048780487804, 0.3048780487804878, 0.31097560975609756, 0.3170731707317073, 0.3231707317073171, 0.32926829268292684, 0.3353658536585366, 0.34146341463414637, 0.34756097560975613, 0.3536585365853659, 0.3597560975609756, 0.36585365853658536, 0.3719512195121951, 0.3780487804878049, 0.38414634146341464, 0.3902439024390244, 0.39634146341463417, 0.4024390243902439, 0.4085365853658537, 0.41463414634146345, 0.4207317073170732, 0.4268292682926829, 0.4329268292682927, 0.43902439024390244, 0.4451219512195122, 0.45121951219512196, 0.4573170731707317, 0.4634146341463415, 0.46951219512195125, 0.475609756097561, 0.48170731707317077, 0.4878048780487805, 0.49390243902439024]","[60059.399999999994, 15591.41818073189, 6537.418032237601, 4131.079057406024, 11973.576573624985, 3419.9068152327523, 8080.585317160995, 7710.401384449845, 5582.044505981982, 4701.831410155249, 891.4961400441007, 1588.1861687812159, 3838.5195954877704, 838.0501162574492, 2337.872121024371, 3400.1637458332707, 1674.7579981075949, 2893.0968014763957, 2519.0243812621497, 502.839696205502, 1866.6485978639246, 1632.6868422814466, 1291.9645047908195, 353.96207922034466, 1421.8332038673436, 535.8684956643867, 217.45370513956067, 188.59682540152187, 106.53076513353106, 405.56121790089435, 380.08703259377825, 164.87397307803073, 222.36420256935887, 210.60624512188045, 216.48197161302895, 254.5439499154338, 412.65481866960977, 513.1567597236316, 460.01809981482705, 664.9617898484939, 640.3790457679162, 121.18366226517747, 482.30911137395293, 934.2527844086885, 318.469416860264, 1035.37291305975, 661.2004943110359, 373.46598305769794, 635.9906796177754, 403.86181789842055, 322.428247198759, 244.9095802484358, 220.81735266557186, 400.57848538338067, 356.16048457715925, 509.2131846603316, 485.1483475847204, 386.1498435581371, 412.80613083827626, 265.5093819199163, 223.84249719833332, 282.11791017677837, 56.64396271234568, 230.3530891108009, 105.27973366912781, 109.26057635280871, 102.66285151959057, 177.18409956295093, 213.2034677941668, 38.581748706635906, 251.23875611622128, 261.27663839046556, 9.211043501958043, 388.5346480336382, 197.79251507208687, 365.6810949285741, 388.03085952757795, 393.6984410414023, 131.43064189850762, 310.51954749625645, 176.24922038408246, 498.7654230475536]",10,301.9599999999999,28.99999999999997,737.7999999999994,"[20, 33, 49, 61, 70, 101, 111, 128, 143, 155]","[121.1999999999997, 532.1999999999997, 216.19999999999993, 129.40000000000032, 737.7999999999994, 428.60000000000036, 28.99999999999997, 90.19999999999992, 29.200000000000017, 705.8000000000002]","[1, 1, 1, 52, 1, 88, 106, 117, 133, 88]","[23, 38, 65, 65, 161, 117, 117, 133, 144, 161]",30631284.12,737.7999999999994,-737.7999999999994,173914.2888351702,0.059624646620765664,0.09916105228765157,0.49390243902439024,DWT,mdp.39015067403967,0.0,0.0,0.0,1.1175870895385742e-08,0.0,0.0,33.0,7.0,1.056346121686147e-10,1.4515037828033033e-11,1.2882269776660331e-12,0.0,33,6.938893903907228e-18,5.684341886080801e-13,109.85411764705873,246.20000000000118,109.85411764705881,4.163336342344337e-17,0.0,109.85411764705873,1.0,3.637978807091713e-12,26.399999999999977,0.0,33.0,5.684341886080801e-13,5.684341886080801e-13,0.0,1.4210854715202004e-14,1.443935033935686e-13,4.2243811308395124e-26,0.9566746005971829,0.8773649929595124,0.7653260085471935,0.13779691099278735,0.8521184370231136,3.425609945922742e-08,2.193966748352807e-13,1.2244471962625756e-13,2.1939667483528072e-13,3.464242146686624e-09,3.464242146686624e-09,2.7921370936289103e-09,1.2619912558211296e-13,0.0,1.9600147646915942e-14,0.9999999965357843,2.7067011855727557e-13,7.737574771294088e-14,1.5287192282749566e-12,1.8181919717869503e-13,1.0,1.0,5.878960145833102e-13,5.878960145833102e-13,0.7000000114624547,0.11709901445105488,41,1.7913164003180664,0.9007636402555369,19,0,0.15789473897454992,0.19130371168963362,41,0,0.5127544214457049,0.8230514096714632,19,12.701705922171767,0.9861637190390286,30.0,25.96666666666667,0.9767419902384685,3,coif,315.2649572649573,243.0,231.38952056421616,117,0.5524502755811167,0.8207683004456845,0.3670543169595129,3,3.0
db34,1,antisymmetric,1.9269620774892957e-26,314.5100413393421,7422201.10427499,0.5347826086956522,87.9270646107243,164,smoothed,9.595576366004157e-14,-1.605605426391326e-10,6.280413751164504,185168.63946268783,0.9974987557873228,0.00019059063897841145,1.0,32.919999999999995,0.01829268292682927,11973.576573624985,10,"[0.0, 0.006097560975609756, 0.012195121951219513, 0.01829268292682927, 0.024390243902439025, 0.03048780487804878, 0.03658536585365854, 0.042682926829268296, 0.04878048780487805, 0.054878048780487805, 0.06097560975609756, 0.06707317073170732, 0.07317073170731708, 0.07926829268292683, 0.08536585365853659, 0.09146341463414634, 0.0975609756097561, 0.10365853658536586, 0.10975609756097561, 0.11585365853658537, 0.12195121951219512, 0.12804878048780488, 0.13414634146341464, 0.1402439024390244, 0.14634146341463417, 0.1524390243902439, 0.15853658536585366, 0.16463414634146342, 0.17073170731707318, 0.17682926829268295, 0.18292682926829268, 0.18902439024390244, 0.1951219512195122, 0.20121951219512196, 0.20731707317073172, 0.21341463414634146, 0.21951219512195122, 0.22560975609756098, 0.23170731707317074, 0.2378048780487805, 0.24390243902439024, 0.25, 0.25609756097560976, 0.2621951219512195, 0.2682926829268293, 0.27439024390243905, 0.2804878048780488, 0.28658536585365857, 0.29268292682926833, 0.29878048780487804, 0.3048780487804878, 0.31097560975609756, 0.3170731707317073, 0.3231707317073171, 0.32926829268292684, 0.3353658536585366, 0.34146341463414637, 0.34756097560975613, 0.3536585365853659, 0.3597560975609756, 0.36585365853658536, 0.3719512195121951, 0.3780487804878049, 0.38414634146341464, 0.3902439024390244, 0.39634146341463417, 0.4024390243902439, 0.4085365853658537, 0.41463414634146345, 0.4207317073170732, 0.4268292682926829, 0.4329268292682927, 0.43902439024390244, 0.4451219512195122, 0.45121951219512196, 0.4573170731707317, 0.4634146341463415, 0.46951219512195125, 0.475609756097561, 0.48170731707317077, 0.4878048780487805, 0.49390243902439024]","[60059.399999999994, 15591.41818073189, 6537.418032237603, 4131.079057406025, 11973.576573624985, 3419.9068152327536, 8080.585317160994, 7710.401384449848, 5582.044505981984, 4701.831410155244, 891.4961400440991, 1588.186168781215, 3838.519595487767, 838.0501162574502, 2337.8721210243693, 3400.1637458332693, 1674.7579981075926, 2893.0968014763966, 2519.0243812621493, 502.8396962055026, 1866.6485978639228, 1632.6868422814462, 1291.9645047908189, 353.9620792203463, 1421.833203867343, 535.8684956643859, 217.45370513955845, 188.59682540152238, 106.53076513353135, 405.5612179008954, 380.08703259377836, 164.87397307803414, 222.36420256936051, 210.6062451218821, 216.48197161302664, 254.54394991543793, 412.65481866960374, 513.1567597236353, 460.0180998148291, 664.9617898484937, 640.3790457679186, 121.18366226517627, 482.3091113739517, 934.2527844086896, 318.4694168602681, 1035.3729130597496, 661.2004943110315, 373.4659830576988, 635.9906796177767, 403.86181789842334, 322.42824719875586, 244.90958024843619, 220.8173526655734, 400.57848538338095, 356.160484577158, 509.21318466033057, 485.148347584721, 386.1498435581353, 412.80613083827535, 265.5093819199134, 223.84249719833463, 282.11791017677825, 56.643962712344994, 230.35308911079846, 105.2797336691305, 109.26057635280755, 102.66285151958826, 177.18409956295343, 213.20346779416602, 38.58174870663841, 251.23875611622046, 261.27663839046585, 9.21104350195974, 388.53464803363704, 197.79251507208775, 365.68109492857366, 388.0308595275767, 393.6984410414023, 131.4306418985083, 310.5195474962556, 176.24922038408369, 498.76542304755515]",10,301.9599999999999,29.0,737.7999999999998,"[20, 33, 49, 61, 70, 101, 111, 128, 143, 155]","[121.19999999999987, 532.1999999999997, 216.1999999999996, 129.4000000000002, 737.7999999999998, 428.59999999999985, 29.0, 90.20000000000003, 29.199999999999875, 705.8000000000003]","[1, 1, 1, 52, 1, 88, 106, 117, 133, 88]","[23, 38, 65, 65, 161, 117, 117, 133, 144, 161]",30631284.119999994,737.7999999999998,-737.7999999999998,173914.2888351702,0.059624646620765685,0.09916105228765157,0.49390243902439024,DWT,mdp.39015067403967,0.0,0.0,0.0,3.725290298461914e-09,0.0,0.0,33.0,7.0,8.162004405676271e-11,1.1378442884728428e-11,9.953663909361306e-13,0.0,33,2.7755575615628914e-17,1.1368683772161603e-13,109.85411764705873,246.20000000000118,109.85411764705874,4.163336342344337e-17,0.0,109.85411764705873,1.0,3.637978807091713e-12,26.400000000000006,0.0,33.0,1.1368683772161603e-13,1.1368683772161603e-13,0.0,7.105427357601002e-15,1.302229057678038e-13,3.0627452144741716e-26,0.9615098138152145,0.8753722785418963,0.8148444051593808,0.1412435166805407,0.8964748822687383,3.4256569164832153e-08,1.4638147009159107e-13,8.193791573813209e-14,1.4638147009159105e-13,3.464242146686624e-09,3.464242146686624e-09,2.7920549091026954e-09,5.047965023284519e-13,0.0,9.800073823457971e-15,0.9999999965357843,5.4134023711455116e-14,7.737574771294088e-14,1.5287192282749566e-12,6.060639905956501e-14,1.0,1.0,1.1757920291666205e-13,1.1757920291666205e-13,0.700000011462371,0.11709901445104087,43,1.837101589719518,0.9237867275603356,14,0,0.15789473897451262,0.1913037116895884,49,0,0.5270635566379859,0.8460198198862027,14,18.636880997992485,0.9796983867124265,30.0,21.44529262086514,0.9735093240751675,4,db,414.9824561403509,375.5,258.414610903216,342,0.7271888834235122,0.9166297612968303,0.2159788532144924,4,4.0
