signal_type,wavelet,wavelet_energy_entropy,wavelet_sparsity,wavelet_adaptive_threshold,wavelet_psnr,signal_length,scales_used,emd_value,kl_divergence,is_complex,wavelet_entropy,avg_variance_across_levels,variance_ratio_across_levels,smoothness,correlation,relative_num_peaks,avg_prominence,prominence_min,prominence_max,relative_peaks,relative_prominences,relative_left_bases,relative_right_bases,prominence_threshold,distance_factor,max_autocorrelation,upper_envelope,lower_envelope,fft_frequency_max,fft_amplitude_max,fft_spectral_centroid,fft_spectral_bandwidth,fft_spectral_magnitude,fft_variance_magnitude,fft_num_peaks,fft_peak_amplitude,fft_dominant_frequency,fft_positive_frequencies,fft_positive_amplitudes,fft_snr_threshold,fft_stationarity_threshold,fft_dynamic_cutoff,fft_dynamic_cutoff_percentile,wavelet_type,htid,fft_frequency_max_diff,fft_stationarity_threshold_diff,fft_amplitude_max_diff,fft_spectral_magnitude_diff,relative_left_bases_array_alignment_score,relative_left_bases_global_alignment_score,fft_snr_threshold_diff,lower_envelope_diff,relative_peaks_array_alignment_score,relative_peaks_global_alignment_score,relative_prominences_avg_diff,relative_prominences_total_diff,relative_prominences_wasserstein,max_autocorrelation_diff,prominence_threshold_diff,prominence_min_diff,fft_peak_amplitude_diff,fft_dynamic_cutoff_diff,avg_prominence_diff,fft_num_peaks_diff,prominence_max_diff,upper_envelope_diff,relative_right_bases_array_alignment_score,relative_right_bases_global_alignment_score,fft_dominant_frequency_diff,fft_dynamic_cutoff_percentile_diff,fft_spectral_centroid_diff,relative_num_peaks_diff,fft_variance_magnitude_diff,fft_spectral_bandwidth_diff,distance_factor_diff,emd_value_normalized,wavelet_psnr_normalized,wavelet_entropy_normalized,wavelet_energy_entropy_normalized,wavelet_sparsity_normalized,correlation_normalized,avg_variance_across_levels_normalized,kl_divergence_normalized,prominence_min_diff_normalized,avg_prominence_diff_normalized,relative_prominences_avg_diff_normalized,relative_prominences_wasserstein_normalized,relative_prominences_total_diff_normalized,prominence_max_diff_normalized,relative_num_peaks_diff_normalized,max_autocorrelation_diff_normalized,relative_right_bases_global_alignment_score_normalized,relative_right_bases_array_alignment_score_normalized,relative_left_bases_global_alignment_score_normalized,relative_left_bases_array_alignment_score_normalized,upper_envelope_diff_normalized,lower_envelope_diff_normalized,relative_peaks_array_alignment_score_normalized,relative_peaks_global_alignment_score_normalized,reconstruction_signal_weighted_score,reconstruction_signal_normalized_weighted_score,reconstruction_signal_normalized_weighted_rank,wavelet_signal_weighted_score,wavelet_signal_normalized_weighted_score,wavelet_signal_normalized_weighted_rank,reconstruction_signal_num_missing_metrics,reconstruction_signal_missing_metrics_count,reconstruction_signal_dynamically_weighted_score,reconstruction_signal_normalized_dynamically_weighted_score,reconstruction_signal_normalized_dynamically_weighted_rank,wavelet_signal_num_missing_metrics,wavelet_signal_missing_metrics_count,wavelet_signal_dynamically_weighted_score,wavelet_signal_normalized_dynamically_weighted_score,wavelet_signal_normalized_dynamically_weighted_rank,rank_variability,normalized_rank_stability,average_rank,harmonic_average_rank,stability_score_weighted,stability_rank,wavelet_family,normalized_family_mean_rank,normalized_family_std_dev,final_family_stability_score,final_family_stability_rank,family_informed_rank,smoothness_normalized,across_emd_value_normalized,across_smoothness_normalized,across_wavelet_psnr_normalized,across_wavelet_entropy_normalized,across_wavelet_energy_entropy_normalized,across_wavelet_sparsity_normalized,across_correlation_normalized,across_avg_variance_across_levels_normalized,across_kl_divergence_normalized,across_prominence_min_diff_normalized,across_avg_prominence_diff_normalized,across_relative_prominences_avg_diff_normalized,across_relative_prominences_wasserstein_normalized,across_relative_prominences_total_diff_normalized,across_prominence_max_diff_normalized,across_relative_num_peaks_diff_normalized,across_max_autocorrelation_diff_normalized,across_relative_right_bases_global_alignment_score_normalized,across_relative_right_bases_array_alignment_score_normalized,across_relative_left_bases_global_alignment_score_normalized,across_relative_left_bases_array_alignment_score_normalized,across_upper_envelope_diff_normalized,across_lower_envelope_diff_normalized,across_relative_peaks_array_alignment_score_normalized,across_relative_peaks_global_alignment_score_normalized,across_reconstruction_signal_weighted_score,across_reconstruction_signal_normalized_weighted_score,across_reconstruction_signal_normalized_weighted_rank,across_wavelet_signal_weighted_score,across_wavelet_signal_normalized_weighted_score,across_wavelet_signal_normalized_weighted_rank,across_rank_variability,across_normalized_rank_stability,across_average_rank,across_harmonic_average_rank,across_stability_score_weighted,across_stability_rank,family_mean_stability_rank,family_median_stability_rank,family_rank_std_dev,family_wavelet_count,across_normalized_family_mean_rank,across_normalized_family_std_dev,across_final_family_stability_score,across_final_family_stability_rank,across_family_informed_rank
raw,morl,21.26694401328844,0.669417231276323,500.8904537303033,-27.978601856988533,688,127,28587.93611908328,,False,15.240484420869334,296385.3663335189,0.021323241562140806,1.9565593426631292e-08,0.350590109802247,24,41222.01216713657,1235.5208414710687,175697.1105245837,"[16, 44, 67, 103, 127, 156, 181, 216, 238, 262, 286, 314, 344, 372, 401, 442, 464, 487, 510, 536, 559, 593, 617, 665]","[84580.82357083586, 4697.147357278176, 8248.689754558727, 86509.89124414812, 2174.03937536985, 47303.874397563195, 4402.646774896202, 70782.08697816652, 1761.8152288778638, 38516.95651343221, 39298.423420336934, 33235.86407050166, 5158.019864709349, 114440.72721460479, 9113.36746478999, 70458.78377453011, 1235.5208414710687, 15223.8496684164, 22117.85911532885, 109755.10893139374, 1441.5845253986422, 37094.759416533765, 6079.341983551942, 175697.1105245837]","[0, 42, 66, 84, 124, 138, 179, 191, 237, 245, 273, 301, 326, 84, 397, 409, 463, 481, 481, 84, 558, 574, 613, 84]","[84, 84, 84, 191, 138, 191, 191, 326, 245, 326, 326, 326, 349, 409, 409, 481, 465, 490, 517, 574, 574, 600, 626, 687]",0.05,30,1016475917816.2782,136541.04780445146,-136541.04780445146,,,,,,,,,,,,,,,,CWT,inu.32000013025087,,,,,0.16666666666666666,6.0,,135016.04780445146,0.08333333333333333,0.0,40204.845500469906,964916.2920112778,40204.8455004699,,0.0,1085.5208414710687,,,40204.845500469906,,174172.1105245837,135016.04780445146,0.08333333333333333,-3.0,,,,0.0,,,0.0,0.0,0.9585763471848365,0.6616043778567463,0.7370860695715045,0.45655387008945947,0.9999999999999999,0.0,,0.5558993670522262,1.0,1.0,1.0,1.0,0.4799373727830331,0.0,,1.0,1.0,1.0,1.0,0.09986772698606133,0.09986772698606133,1.0,0.96,2.6386855873016093,1.0,1,1.857112580060811,0.8483519603068133,3,0,0,0.7463714795871589,1.0,1,1,0.125,0.5385815235289353,0.9113476108832124,3,1.1547005383792515,0.9111768816631345,2.0,1.4999999999999998,0.8786653639084903,1,morl,0.1111111111111111,,,5,2.0,,0.006694441221157227,9.574853299344072e-05,0.9623177860800098,0.6616043778567464,0.7370860695715044,0.4571872571872571,0.8824748342154973,0.006633996538547071,,0.5558993670522263,0.8717305738174139,0.8717305738174139,0.8714286814044709,1.0,0.48585551788631026,0.0,,0.7777777777777777,1.0,1.0,1.0,0.10261965857065802,0.10261965857065802,1.0,0.42857142857142855,2.3987044446909396,0.9953364145219049,2,1.817291387464897,0.8136876220945563,5,2.1213203435596424,0.9184107560169368,3.5,2.857142857142857,0.8918976857007761,1,1.5,1.5,0.7071067811865476,2,0.06818181818181818,0.08846036619497571,0.9257346174142345,1,1.0
smoothed,morl,21.200779739041096,0.6664415857901483,467.1609494095987,-29.31471353320893,688,127,27958.549446468518,,False,15.178010534423931,276019.6995075543,0.023112817098527097,1.7746756034936083e-07,0.3967952277791732,21,44778.3691937807,3.400429718392843,171030.02353447274,"[17, 39, 68, 102, 126, 156, 182, 216, 255, 285, 315, 345, 372, 400, 449, 487, 510, 536, 593, 619, 666]","[91272.95814281236, 3.400429718392843, 115.15708183579773, 39837.68539995025, 25661.911275227798, 81906.02577541975, 2152.4462680536344, 65544.14124342921, 35051.34986328002, 34537.63128027938, 29049.684517613878, 10611.320878702392, 111932.57382961191, 4162.95408742892, 61264.885128654285, 18595.918953845932, 17748.41492681841, 106871.80655605443, 30138.889878453603, 2856.574017731782, 171030.02353447274]","[0, 38, 67, 85, 110, 85, 179, 192, 245, 272, 300, 327, 85, 396, 410, 480, 480, 410, 575, 612, 85]","[85, 85, 85, 139, 139, 192, 192, 327, 327, 327, 327, 355, 410, 410, 480, 503, 518, 575, 599, 627, 687]",0.05,30,989538916087.8022,133967.52142264205,-133967.52142264205,,,,,,,,,,,,,,,,CWT,inu.32000013025087,,,,,0.0,0.0,,132677.1880893087,0.0,18.0,43884.81363822515,918900.4197360614,43894.75260537872,,0.0,57.59957028160716,,,43884.81363822515,,169739.6902011394,132677.1880893087,0.0,0.0,,,,3.0,,,0.0,0.0,0.9556233116474455,0.6348063727593707,0.7227570294510495,0.5253619803829988,1.0,0.0,,0.0,0.9999999999999999,0.9999999999999999,0.9999999999999999,1.0,0.4727215716969541,0.5,,0.9999999999999999,,1.0,,0.09896594672092476,0.09896594672092476,,1.0,2.2759471645368476,0.9703260507119954,2,1.8623004802468768,0.7977917653588601,3,0,0,0.6808877887615669,1.0,1,1,0.11111111111111112,0.47426303122455243,0.7903870337496766,3,0.9574271077563381,0.9263517609418201,2.25,1.8461538461538463,0.8766374189324485,1,morl,0.09090909090909091,,,5,2.0,0.0,0.0,0.013363087408951129,0.8794286183688528,0.622378974130795,0.7300777500736656,0.436985236985237,1.0,0.0,,0.019788136060805192,1.0,1.0,0.9999999999999999,0.9285276749950457,0.4646810799379601,0.5,,1.0,0.0,0.7073170731707318,0.0,0.0975789031658933,0.0975789031658933,0.0,1.0,2.212304086868175,0.9179900518920497,4,1.782688554140322,0.7981942909976181,6,1.4142135623730951,0.9456071706779579,5.0,4.800000000000001,0.8766497391851328,2,1.5,1.5,0.7071067811865476,2,0.06818181818181818,0.08846036619497571,0.9257346174142345,1,1.75
smoothed,gaus8,21.441660572398536,0.6560726057498627,481.1908345612984,-30.76333092066243,688,127,30191.43077278921,,False,15.066969678885037,343525.1423408449,0.01773032414036347,5.604753350203979e-07,0.32463226158197417,21,43302.63749992892,0.33082969890529057,190276.40007515013,"[18, 44, 78, 102, 156, 182, 210, 234, 256, 285, 314, 347, 373, 400, 449, 486, 510, 536, 593, 619, 665]","[24987.45937345935, 110874.2158201517, 0.33082969890529057, 70384.68238100919, 33828.72395717602, 2250.1150483564707, 976.3047008545618, 31763.057642574575, 52306.484977702494, 32971.804155772756, 25872.881730239023, 9965.247918700416, 113226.89462771924, 1928.4218645573492, 98570.27632469794, 22411.625663721858, 18798.78792351262, 46535.59462822311, 18570.901099837276, 2855.1767553923073, 190276.40007515013]","[0, 0, 77, 84, 139, 178, 191, 191, 191, 273, 300, 327, 191, 397, 411, 479, 503, 479, 575, 575, 575]","[28, 575, 84, 191, 191, 191, 211, 245, 327, 327, 327, 355, 575, 411, 575, 503, 517, 575, 599, 626, 687]",0.05,30,1379965925065.433,156774.36134017486,-156774.36134017486,,,,,,,,,,,,,,,,CWT,inu.32000013025087,,,,,0.0,-13.5,,155484.02800684152,0.0,12.0,42409.08194437336,887910.0541651739,42415.73297646553,,0.0,60.66917030109471,,,42409.08194437336,,188986.0667418168,155484.02800684152,0.0,-13.5,,,,3.0,,,0.0,0.023749935362903513,0.8579682284387294,0.5634895174942431,0.7489881165699785,0.4407286314806169,0.8164496718726597,0.02203848831846212,,0.0022995005786286826,0.9481603455606502,0.9481603455606502,0.948062979778743,0.9481603455606504,0.566255755929746,0.5,,0.0,,0.06896551724137932,,0.14881838637962927,0.14881838637962927,,0.8095238095238095,2.0395416703695513,0.8695370635613859,6,1.6996166076756634,0.7280995458321816,4,0,0,0.5031021143744596,0.7388913748762145,7,1,0.11111111111111112,0.432698166596122,0.7211167598743401,5,1.2909944487358056,0.9006927347126303,5.5,5.266457680250784,0.7388079058178536,3,gaus,0.6818181818181818,1.0,0.22272727272727275,1,2.5,0.032617187675827636,0.023749935362903513,0.04554440875483252,0.7895598658424178,0.5526598861019976,0.7555925745054068,0.3665889665889668,0.8164496718726597,0.021989502131999336,,0.02138908264224377,0.948561712905131,0.948561712905131,0.9484649617154147,0.8803931211859298,0.5566243470589979,0.5,,0.0,0.0,0.04878048780487805,0.0,0.14673264284321746,0.14673264284321746,0.0,0.8095238095238095,2.0040778429953763,0.8315870923926276,8,1.630661709281924,0.7301246557478019,8,0.0,1.0,8.0,8.0,0.8461538461538461,3,13.8125,12.5,7.993486932079976,16,0.6278409090909091,1.0,0.2605113636363636,5,3.5
smoothed,gaus6,21.65622949411037,0.6545275590551181,515.6198093863162,-32.103704687810996,688,127,35763.42542858901,,False,14.981195472581561,415839.3778437587,0.018881643177558458,6.431345890568944e-07,0.2737585212562556,21,40965.842245171865,388.76754563534996,197765.85344780094,"[20, 45, 101, 123, 156, 182, 210, 235, 263, 285, 314, 347, 373, 400, 449, 486, 510, 536, 594, 620, 665]","[14977.83669838612, 140266.56192290227, 55533.89829335501, 1539.4120742565774, 22060.095465428174, 2069.419943370449, 388.76754563534996, 25356.05198938238, 28046.940529052667, 43889.23266192385, 25021.53395774531, 10048.03842946182, 107601.97113015666, 1361.2488796475154, 85643.7517420314, 20899.900423968757, 17313.278338167824, 45087.584809132415, 13874.836689813344, 1536.4721769904645, 197765.85344780094]","[0, 0, 85, 119, 139, 179, 191, 191, 191, 191, 300, 191, 191, 397, 411, 479, 503, 503, 574, 411, 191]","[28, 191, 191, 191, 191, 191, 211, 245, 273, 327, 327, 355, 411, 411, 574, 503, 517, 574, 599, 624, 687]",0.05,30,1877141723189.2837,167806.91208006488,-167806.91208006488,,,,,,,,,,,,,,,,CWT,inu.32000013025087,,,,,0.0,-13.5,,166516.57874673154,0.0,16.5,40072.28668961631,838837.3538152758,40072.286689616325,,0.0,327.76754563534996,,,40072.28668961631,,196475.5201144676,166516.57874673154,0.0,-9.0,,,,3.0,,,0.0,0.08301618984663287,0.7676101305066243,0.5084003647068389,0.772353927788698,0.42811770200840693,0.6870496177738138,0.045646902210734905,,0.20238839318113672,0.8660731619575553,0.8660731619575553,0.8657708892559468,0.8660731619575556,0.6026532518469577,0.5,,0.3333333333333333,,0.06896551724137932,,0.17293393996051576,0.17293393996051576,,0.9523809523809523,2.0743345403257827,0.8843706364244169,4,1.6020707211281386,0.6863118183103971,5,0,0,0.5391316419194503,0.7918068892086465,3,1,0.11111111111111112,0.4109258616435062,0.6848319423861232,6,1.2909944487358056,0.9006927347126303,4.5,4.210526315789474,0.7772694442793922,2,gaus,0.6818181818181818,1.0,0.22272727272727275,1,1.75,0.03965650275074483,0.08301618984663287,0.05248965684710445,0.7064062882199991,0.49880493865179826,0.7783203618917186,0.3560994560994557,0.6870496177738138,0.04554544027601272,,0.16069395239219886,0.8671100874525486,0.8671100874525486,0.8668097951782496,0.8041728994480567,0.592402760235983,0.5,,0.33333333333333326,0.0,0.04878048780487805,0.0,0.17051020821423307,0.17051020821423307,0.0,0.9523809523809523,2.023696662460388,0.8397278724986041,6,1.5385359828715919,0.6888755947696792,10,2.8284271247461903,0.8912143413559157,8.0,7.5,0.791761016831804,4,13.8125,12.5,7.993486932079976,16,0.6278409090909091,1.0,0.2605113636363636,5,4.25
raw,gaus4,22.057633095158064,0.6538408716352316,584.7287638411992,-33.14419977437055,688,127,50543.54363768863,,False,14.863678247556802,590828.1532749214,0.019079109797975134,3.037715874478254e-07,0.17267965170444532,22,38031.379087909176,649.9449087930552,217633.53243346704,"[22, 46, 78, 101, 144, 171, 211, 235, 263, 286, 314, 347, 373, 399, 443, 470, 512, 536, 566, 594, 620, 647]","[6819.2489657570695, 173112.44492142758, 649.9449087930552, 45229.13784787802, 9859.592699692512, 4179.050406137518, 1360.636934873306, 19596.150091525225, 22538.145992859907, 32317.616692953645, 26359.657341959068, 10928.71832313926, 110057.19884314996, 916.3255126594559, 67095.10925640978, 5932.5207264194905, 14272.366782599951, 37680.51661619092, 16610.6067648267, 11529.88080479081, 2011.9370664918388, 217633.53243346704]","[0, 0, 77, 86, 139, 166, 191, 191, 191, 191, 298, 191, 191, 398, 412, 466, 504, 480, 545, 191, 191, 191]","[27, 191, 86, 191, 191, 191, 213, 245, 272, 327, 327, 355, 412, 412, 480, 480, 517, 545, 575, 599, 624, 687]",0.05,30,3326506751768.5547,192525.55810180286,-192525.55810180286,,,,,,,,,,,,,,,,CWT,inu.32000013025087,,,,,0.0,-4.0,,191000.55810180286,0.0,0.5,37014.21242124251,812278.3399340019,37014.212421242526,,0.0,499.9449087930552,,,37014.21242124251,,216108.53243346704,191000.55810180286,0.0,-8.5,,,,2.0,,,0.0,0.23647355691544192,0.6062966613513898,0.42501954032576145,0.8208382420578132,0.350680669000389,0.46990566804477246,0.09655354704756021,,0.25049287055693525,0.8724226200336006,0.8724226200336006,0.8724226200336014,0.7523872174689987,0.6825809265278185,1.0,,0.0,0.0,0.45945945945945943,0.0,0.22089663537795629,0.22089663537795629,0.0,1.0,2.3121168912928587,0.8762381173489076,5,1.4245049087143424,0.6507314337049608,6,0,0,0.4802654403246619,0.6434670314443306,5,1,0.125,0.4231454121061612,0.716015205743359,8,1.4142135623730951,0.8912143413559157,6.0,5.783132530120482,0.714837939908727,4,gaus,0.875,1.0,0.0875,1,3.25,,0.2402242098091653,0.02397548421166795,0.6418564655760999,0.42501954032576156,0.820838242057813,0.3514374514374513,0.4299501573348452,0.10254700768920934,,0.2504928705569353,0.7605174711731822,0.7605174711731822,0.760254093403315,0.762921166555103,0.6861930532930292,0.33333333333333337,,0.37037037037037035,0.0,0.5121951219512195,0.0,0.22327855103751823,0.22327855103751823,0.0,0.4444444444444444,1.8838818736854388,0.7817120753192539,12,1.4408765253282996,0.6451488196737505,12,0.0,1.0,12.0,12.0,0.7692307692307692,5,13.8125,12.5,7.993486932079976,16,0.6278409090909091,1.0,0.2605113636363636,5,5.0
raw,gaus6,21.692399101011915,0.6542299945065007,535.7101966187959,-30.747517059492473,688,127,36555.581735270935,,False,15.007405484129103,432286.89591990097,0.018846721830134097,2.6587093832002646e-07,0.23519656082116758,22,39614.276314444556,533.6336912738734,199172.8103222214,"[20, 45, 78, 101, 156, 181, 211, 235, 263, 285, 314, 347, 373, 395, 443, 470, 509, 536, 560, 594, 620, 664]","[17249.905677611183, 129278.47866885789, 550.8990869308109, 60771.04696437604, 23506.27435282738, 2803.427827897016, 1162.5997192193636, 26260.085672711357, 29361.872578903858, 47620.817649689474, 25597.06772903939, 11539.521553736318, 109618.0515478304, 533.6336912738734, 91473.06926767665, 6876.057642576507, 19113.70523999671, 50058.51615966759, 857.6284787412224, 15817.148384489032, 2291.4607015069196, 199172.8103222214]","[0, 0, 77, 85, 139, 179, 191, 191, 191, 191, 301, 191, 191, 394, 412, 466, 504, 504, 559, 575, 575, 191]","[28, 191, 85, 191, 191, 191, 212, 244, 273, 327, 327, 355, 575, 412, 575, 504, 517, 575, 575, 599, 623, 687]",0.05,30,1918875292087.1724,168593.22702449153,-168593.22702449153,,,,,,,,,,,,,,,,CWT,inu.32000013025087,,,,,0.0,-4.0,,167068.22702449153,0.0,0.5,38597.10964777789,847102.0789177803,38597.1096477779,,0.0,383.6336912738734,,,38597.10964777789,,197647.8103222214,167068.22702449153,0.0,-8.5,,,,2.0,,,0.0,0.08581577610662744,0.7697438841789076,0.5152613869874185,0.7821515557521642,0.3533255542590434,0.6561783556004235,0.04456476881997969,,0.1898308804317923,0.9357147241091854,0.9357147241091854,0.935714724109186,0.8088790846000594,0.593375740128134,1.0,,0.0,0.0,0.45945945945945943,0.0,0.1691590406365507,0.1691590406365507,0.0,1.0,2.313829490392468,0.8768871522729058,4,1.557925006180903,0.7116793818505581,5,0,0,0.47980049454800694,0.642844089934143,6,1,0.125,0.4518987545292235,0.7646694739968761,6,0.9574271077563381,0.9263517609418201,5.25,5.1063829787234045,0.7612528035478332,2,gaus,0.875,1.0,0.0875,1,1.75,,0.09144192249047779,0.020790971913329404,0.7905409199069893,0.5152613869874187,0.782151555752164,0.3540792540792541,0.5889652281749748,0.05090312283643388,,0.18983088043179236,0.8156911333771033,0.8156911333771033,0.8154086482012162,0.8170097552848838,0.5980029931674692,0.33333333333333337,,0.37037037037037035,0.0,0.5121951219512195,0.0,0.17169913118368024,0.17169913118368024,0.0,0.4444444444444444,1.8776513367701941,0.7791267295975283,13,1.5542799336713922,0.6959249089176618,9,2.8284271247461903,0.8912143413559157,11.0,10.636363636363637,0.7340687091394963,6,13.8125,12.5,7.993486932079976,16,0.6278409090909091,1.0,0.2605113636363636,5,5.75
smoothed,gaus4,22.02433416947189,0.6582013367515107,571.7494675081731,-34.48215544016381,688,127,49874.39289052348,,False,14.847742668164551,570046.2953188239,0.01914490753140913,7.738953052364238e-07,0.200766089834662,21,39158.627005356386,227.6507844495136,216421.27141232011,"[22, 45, 101, 144, 171, 211, 235, 263, 286, 314, 346, 372, 400, 449, 487, 511, 536, 562, 594, 620, 648]","[5152.755461555367, 181644.9585480328, 40735.14380329054, 8789.738545137418, 3139.428142500612, 227.6507844495136, 19201.987494640154, 21218.43976477983, 30219.128754142355, 25860.52151811046, 10104.380079983468, 110381.26018215186, 450.78876329116974, 56606.7748758033, 16998.04740411406, 12541.695995498052, 35096.98975908368, 16298.692624383824, 9684.92922331539, 1556.5839759000519, 216421.27141232011]","[0, 0, 85, 140, 166, 191, 191, 191, 191, 299, 191, 191, 399, 412, 479, 479, 412, 545, 191, 191, 191]","[27, 191, 191, 191, 191, 212, 244, 273, 327, 327, 355, 412, 412, 479, 503, 517, 545, 574, 599, 624, 687]",0.05,30,3240781787816.2114,191742.79111179782,-191742.79111179782,,,,,,,,,,,,,,,,CWT,inu.32000013025087,,,,,0.0,-13.5,,190452.45777846448,0.0,4.5,38265.07144980083,800885.8337791507,38265.07144980083,,0.0,166.6507844495136,,,38265.07144980083,,215130.93807898677,190452.45777846448,0.0,-4.5,,,,3.0,,,0.0,0.23310681991214027,0.6072725505904071,0.42268926052681394,0.8124392499528114,0.45810368986454936,0.5013895008984363,0.0959908034838971,,0.08169250993200233,0.8025891194856923,0.8025891194856923,0.8023090036801401,0.8025891194856926,0.6933154758320891,0.5,,0.6666666666666666,,0.06896551724137932,,0.22525429514440928,0.22525429514440928,,0.5714285714285714,1.9726568741682315,0.8410214366777934,7,1.489291080021788,0.6379980956168141,6,0,0,0.5202211411272287,0.7640335892547482,6,1,0.11111111111111112,0.3921674499961329,0.6535699540722949,7,0.5773502691896257,0.9555884408315672,6.5,6.461538461538462,0.7277942204157837,4,gaus,0.6818181818181818,1.0,0.22272727272727275,1,3.25,0.05079216918445251,0.23310681991214022,0.06347651639690156,0.5588529011691554,0.4150140873143783,0.8173111194104598,0.38104118104118095,0.5013895008984363,0.0957774393306836,,0.07666367926365589,0.8041175687344493,0.8041175687344493,0.8038390916448459,0.745226209092371,0.6815229161022687,0.5,,0.6666666666666666,0.0,0.04878048780487805,0.0,0.2220972746876228,0.2220972746876228,0.0,0.5714285714285714,1.9346652747184576,0.8027845206608665,10,1.4317325934647451,0.6410546473104349,14,2.8284271247461903,0.8912143413559157,12.0,11.666666666666666,0.714837939908727,7,13.8125,12.5,7.993486932079976,16,0.6278409090909091,1.0,0.2605113636363636,5,6.5
raw,gaus8,21.478883928718528,0.6564159494598059,503.0636659639352,-29.38749804059291,688,127,30891.54756938138,,False,15.104112487712943,357682.96700847906,0.01688482283140623,2.1598907284252783e-07,0.27919955760447623,23,39923.82032689225,659.9275135705793,191496.27474534744,"[17, 44, 78, 102, 124, 156, 181, 209, 231, 256, 285, 314, 346, 373, 399, 443, 465, 487, 509, 536, 594, 620, 666]","[29059.422974529967, 98520.70013040643, 798.5558628962281, 76952.44722702727, 7050.778596517578, 35196.16862584785, 3030.7527409560716, 2574.34932773969, 2037.1250602599066, 57836.04162531259, 33608.24952164647, 27020.069770652644, 11745.448304966905, 114642.50178322123, 2604.6517790902835, 103928.78407614562, 659.9275135705793, 24141.02974914367, 20391.741805948168, 50973.2566773108, 20189.503443277295, 3790.0861767072183, 191496.27474534744]","[0, 0, 77, 85, 111, 139, 178, 191, 191, 191, 273, 301, 327, 191, 397, 412, 464, 479, 504, 479, 575, 575, 575]","[28, 575, 85, 191, 191, 191, 191, 212, 232, 327, 327, 327, 355, 575, 412, 575, 466, 504, 517, 575, 599, 625, 687]",0.05,30,1404393983239.567,157351.87132508453,-157351.87132508453,,,,,,,,,,,,,,,,CWT,inu.32000013025087,,,,,0.0,-3.5,,155826.87132508453,0.0,-3.5,38906.65366022559,893835.8675185217,38906.653660225595,,0.0,509.9275135705793,,,38906.65366022559,,189971.27474534744,155826.87132508453,0.0,-8.0,,,,1.0,,,0.0,0.024811119115766306,0.8624934710356926,0.5759806966788079,0.759535384682651,0.3681835861532476,0.7872877880265562,0.020100681806989464,,0.25569928731839253,0.9480918333259953,0.9480918333259953,0.9480918333259958,0.8846917070583762,0.5562814822268299,0.5,,0.09090909090909091,0.0,0.48648648648648646,0.0,0.14485715781364064,0.14485715781364064,0.0,0.68,2.1021614516965306,0.7966699260468759,6,1.662926281431592,0.7596452610600568,4,0,0,0.43920385797362965,0.5884520911980277,7,1,0.125,0.4792346753571015,0.8109252868115183,5,1.2909944487358056,0.9006927347126303,5.5,5.266457680250784,0.7388079058178536,3,gaus,0.875,1.0,0.0875,1,2.5,,0.031196694162640537,0.016599766281427644,0.8749132418874566,0.575980696678808,0.7595353846826508,0.3689199689199686,0.7008891820225939,0.02660133049200654,,0.2556992873183926,0.8264806378968736,0.8264806378968736,0.8261944161656198,0.8895971552934672,0.5613308559671528,0.16666666666666669,,0.40740740740740733,0.0,0.5365853658536585,0.0,0.14747154535123536,0.14747154535123536,0.0,0.31746031746031744,1.8294671250389687,0.7591328113608438,14,1.645609116520251,0.7368173195309061,7,4.949747468305833,0.8096250973728526,10.5,9.333333333333334,0.7028894717633494,8,13.8125,12.5,7.993486932079976,16,0.6278409090909091,1.0,0.2605113636363636,5,7.25
