signal_type,wavelet,wavelet_energy_entropy,wavelet_sparsity,wavelet_adaptive_threshold,wavelet_psnr,signal_length,scales_used,emd_value,kl_divergence,is_complex,change_point_indices,change_point_prominences,num_change_points,wavelet_entropy,avg_variance_across_levels,variance_ratio_across_levels,smoothness,correlation,relative_num_peaks,avg_prominence,prominence_min,prominence_max,relative_peaks,relative_prominences,relative_left_bases,relative_right_bases,prominence_threshold,distance_factor,max_autocorrelation,upper_envelope,lower_envelope,fft_frequency_max,fft_amplitude_max,fft_spectral_centroid,fft_spectral_bandwidth,fft_spectral_magnitude,fft_variance_magnitude,fft_num_peaks,fft_peak_amplitude,fft_dominant_frequency,fft_positive_frequencies,fft_positive_amplitudes,fft_snr_threshold,fft_stationarity_threshold,fft_dynamic_cutoff,fft_dynamic_cutoff_percentile,wavelet_type,htid,max_autocorrelation_diff,fft_amplitude_max_diff,fft_dominant_frequency_diff,prominence_max_diff,fft_variance_magnitude_diff,avg_prominence_diff,upper_envelope_diff,relative_prominences_avg_diff,relative_prominences_total_diff,relative_prominences_wasserstein,fft_snr_threshold_diff,lower_envelope_diff,relative_peaks_array_alignment_score,relative_peaks_global_alignment_score,fft_peak_amplitude_diff,fft_stationarity_threshold_diff,relative_left_bases_array_alignment_score,relative_left_bases_global_alignment_score,fft_frequency_max_diff,fft_num_peaks_diff,fft_dynamic_cutoff_percentile_diff,prominence_min_diff,fft_dynamic_cutoff_diff,fft_spectral_centroid_diff,fft_spectral_bandwidth_diff,prominence_threshold_diff,distance_factor_diff,fft_spectral_magnitude_diff,relative_right_bases_array_alignment_score,relative_right_bases_global_alignment_score,relative_num_peaks_diff,emd_value_normalized,wavelet_psnr_normalized,wavelet_entropy_normalized,wavelet_energy_entropy_normalized,wavelet_sparsity_normalized,correlation_normalized,avg_variance_across_levels_normalized,kl_divergence_normalized,prominence_min_diff_normalized,avg_prominence_diff_normalized,relative_prominences_avg_diff_normalized,relative_prominences_wasserstein_normalized,relative_prominences_total_diff_normalized,prominence_max_diff_normalized,relative_num_peaks_diff_normalized,max_autocorrelation_diff_normalized,relative_right_bases_global_alignment_score_normalized,relative_right_bases_array_alignment_score_normalized,relative_left_bases_global_alignment_score_normalized,relative_left_bases_array_alignment_score_normalized,upper_envelope_diff_normalized,lower_envelope_diff_normalized,relative_peaks_array_alignment_score_normalized,relative_peaks_global_alignment_score_normalized,reconstruction_signal_weighted_score,reconstruction_signal_normalized_weighted_score,reconstruction_signal_normalized_weighted_rank,wavelet_signal_weighted_score,wavelet_signal_normalized_weighted_score,wavelet_signal_normalized_weighted_rank,reconstruction_signal_num_missing_metrics,reconstruction_signal_missing_metrics_count,reconstruction_signal_dynamically_weighted_score,reconstruction_signal_normalized_dynamically_weighted_score,reconstruction_signal_normalized_dynamically_weighted_rank,wavelet_signal_num_missing_metrics,wavelet_signal_missing_metrics_count,wavelet_signal_dynamically_weighted_score,wavelet_signal_normalized_dynamically_weighted_score,wavelet_signal_normalized_dynamically_weighted_rank,rank_variability,normalized_rank_stability,average_rank,harmonic_average_rank,stability_score_weighted,stability_rank,wavelet_family,family_mean_stability_rank,family_median_stability_rank,family_rank_std_dev,family_wavelet_count,normalized_family_mean_rank,normalized_family_std_dev,final_family_stability_score,final_family_stability_rank,family_informed_rank,top_wavelet_rank
raw,gaus8,21.797454888467293,0.6555570293376421,619.1317753548961,-32.85246293937519,653,127,42820.607122874455,,False,"[29, 57, 92, 114, 139, 185, 206, 233, 261, 294, 320, 351, 373, 406, 432, 461, 488, 514, 543, 586, 635]","[114566.34242249487, 33275.5619886373, 40118.39735795426, 465.9716407352007, 103790.24214560668, 39860.84219979534, 26308.048613539628, 30762.47394105673, 29429.34091224929, 47348.98216350946, 78208.6441394422, 539.6143744552719, 51413.18353818423, 54431.41973308782, 37590.201474233436, 47958.96484138834, 69500.95750329495, 10635.065224221202, 60720.27800745609, 32852.610696977805, 137418.23912515605]",21,15.125327992787893,521341.55834432563,0.018849177071735328,3.037346665430652e-07,0.40164717498390345,16,66009.61206939635,60.942112161792465,172743.82357752274,"[29, 57, 93, 115, 185, 233, 294, 319, 354, 406, 461, 501, 528, 560, 586, 635]","[172743.82357752274, 33275.5619886373, 136.9624422110719, 40118.39735795426, 73606.06981468771, 61389.885351777746, 127309.96330584644, 60.942112161792465, 70852.71258620909, 126475.10491272982, 88435.37324863605, 10635.065224221202, 60720.27800745609, 20122.803358156376, 32852.610696977805, 137418.23912515605]","[0, 45, 92, 92, 139, 206, 139, 318, 320, 139, 432, 488, 488, 488, 488, 139]","[139, 139, 94, 139, 261, 261, 320, 320, 373, 488, 488, 514, 543, 570, 596, 652]",0.05,30,1913740361221.7327,145580.08624499073,-145580.08624499073,,,,,,,,,,,,,,,,CWT,mdp.39015056038253,,,,171523.82357752274,,65097.742504178954,144352.08624499073,65097.742504178954,1035180.7931103415,65119.04970966288,,144352.08624499073,0.0,-6.0,,,0.0,-10.5,,,,26.942112161792465,,,,0.0,0.0,,0.0,-1.5,7.0,0.09608470000089445,0.8026752413682836,0.6781858891168472,0.8123866651472473,0.49321837871937774,0.7893033845617197,0.041697700211755985,,0.00246535845670786,0.8915879853936567,0.8915879853936567,0.8919559411664943,0.8716269446116355,0.30940285983959304,0.7777777777777778,,0.6923076923076923,0.0,0.42307692307692313,0.0,0.1094821141443815,0.1094821141443815,0.0,0.4285714285714285,1.9459507873703799,0.8049038438471533,3,1.7854046173504272,0.8120982541594883,4,0,0,0.42662167499228865,0.8193225855696524,4,1,0.125,0.5242574227323037,0.8826033662478611,4,0.5,0.9615384615384616,3.75,3.6923076923076925,0.8365384615384616,1,gaus,7.125,8.0,4.38951673226759,8,0.59375,1.0,0.284375,1,1.0,1
raw,gaus6,21.913533925920216,0.6445719935850285,620.9877197767811,-34.05198973409054,653,127,47203.730006119455,,False,"[29, 57, 94, 139, 175, 206, 233, 261, 288, 320, 373, 406, 432, 456, 488, 514, 541, 587, 635]","[132896.88052608634, 33856.85195791787, 19035.519544689923, 108175.98934355332, 3691.0209107640294, 35105.87682196638, 27185.020118749708, 27736.383481098917, 41098.01715048522, 78276.94260680466, 46678.53152039209, 58361.90634351665, 28469.30013058839, 38678.53824638949, 79881.27109280058, 8753.586500812518, 48392.070917413366, 27188.20805978455, 142644.24203320523]",19,15.053460967040273,572989.7602999525,0.015417225789610687,3.567302930120722e-07,0.3502236682701586,14,71254.545847968,8753.586500812518,192610.78943614606,"[29, 57, 111, 186, 233, 288, 354, 406, 456, 501, 528, 561, 587, 635]","[192610.78943614606, 33856.85195791787, 19035.519544689923, 61140.824597674335, 57133.91311055345, 120682.447424896, 62005.02551775647, 140783.9670495731, 71901.27006094056, 8753.586500812518, 48392.070917413366, 11434.925660188715, 27188.20805978455, 142644.24203320523]","[0, 45, 94, 139, 139, 139, 320, 139, 432, 488, 488, 488, 139, 139]","[139, 139, 139, 206, 261, 320, 373, 488, 488, 514, 541, 569, 596, 652]",0.05,30,2520302972263.327,155987.21063225972,-155987.21063225972,,,,,,,,,,,,,,,,CWT,mdp.39015056038253,,,,191390.78943614606,,70342.6762827506,154759.21063225972,70342.6762827506,976590.641871552,70342.67628275062,,154759.21063225972,0.0,-7.0,,,0.0,-11.5,,,,8719.586500812518,,,,0.0,0.0,,0.0,-2.5,9.0,0.1419054647093276,0.7166450387857216,0.6269749536407274,0.8237031021412704,0.39743454946903545,0.6833779673992137,0.05873166493255978,,0.9999999999999999,1.0,1.0,1.0,0.7923775255405101,0.38840720402575135,1.0,,0.641025641025641,0.0,0.3461538461538462,0.0,0.13079540560914535,0.13079540560914535,0.0,0.38095238095238093,2.417618951935214,1.0,1,1.6537153632955537,0.7521988832996572,5,0,0,0.5207004939277615,1.0,1,1,0.125,0.48643182015397946,0.8189228102492677,6,2.6299556396765835,0.7976957200248782,3.25,1.6901408450704225,0.7738478600124391,2,gaus,7.125,8.0,4.38951673226759,8,0.59375,1.0,0.284375,1,1.75,2
raw,gaus4,22.135011728606177,0.6663973664853915,657.6771124185116,-35.67159457582154,653,127,54583.68907951698,,False,"[33, 57, 110, 141, 186, 207, 233, 261, 288, 319, 352, 373, 406, 432, 456, 488, 513, 541, 562, 587, 634]","[22121.636615823576, 181486.57931965892, 5995.728953081554, 81620.57177070109, 9910.803233248935, 48952.74240587419, 6616.30946121074, 44210.41194818043, 18326.508016019223, 87736.88743845014, 3.3291981186566773, 46665.51197513532, 56231.01334918716, 23449.465714714974, 35399.66334204504, 72972.6331276506, 2471.4100150063314, 35139.75436539227, 5295.915013357604, 24245.494727496698, 148890.28756059642]",21,14.870981786322414,672616.1667765268,0.015028607933945287,4.1087300035093803e-07,0.29941670296196066,14,66932.32520741693,3227.6307000776796,234739.39370126196,"[33, 57, 110, 186, 233, 288, 354, 406, 456, 501, 529, 562, 587, 634]","[22121.636615823576, 234739.39370126196, 5995.728953081554, 59560.380602976875, 51721.75636007376, 101747.70097965072, 51427.512309760365, 130837.8039589921, 62101.55705529569, 3227.6307000776796, 35139.75436539227, 5295.915013357604, 24245.494727496698, 148890.28756059642]","[0, 0, 100, 141, 207, 141, 319, 319, 432, 488, 488, 488, 319, 319]","[44, 319, 319, 207, 261, 319, 373, 488, 488, 507, 541, 569, 596, 652]",0.05,30,3657888001538.53,184438.2044823241,-184438.2044823241,,,,,,,,,,,,,,,,CWT,mdp.39015056038253,,,,233519.39370126196,,66020.45564219954,183210.2044823241,66020.45564219954,916079.5529038371,66020.45564219955,,183210.2044823241,0.0,-11.5,,,0.0,-16.0,,,,3193.6307000776796,,,,0.0,0.0,,0.0,-7.0,9.0,0.21905488015297236,0.6004867893396306,0.49694411610064826,0.8452947663613223,0.5877405109872782,0.57872254152579,0.09158920167005201,,0.3658624358236598,0.9106603310932804,0.9106603310932804,0.9106003741567137,0.7105298336219791,0.5559387121145415,1.0,,0.41025641025641024,0.0,0.0,0.0,0.18906167608155497,0.18906167608155497,0.0,0.16666666666666666,2.1125529593099364,0.8738155190332688,2,1.6003488805539037,0.7279249304690423,7,0,0,0.42128656313264284,0.8090765575326866,5,1,0.125,0.4822975437339562,0.8119626297595107,7,2.362907813126304,0.8182378605287459,5.25,4.057971014492755,0.7071958533412961,4,gaus,7.125,8.0,4.38951673226759,8,0.59375,1.0,0.284375,1,3.25,3
raw,morl,21.511051300289754,0.6541703343743595,525.5007341576373,-30.652726081553347,653,127,33629.33652790466,,False,"[24, 57, 91, 119, 140, 174, 208, 233, 261, 298, 320, 351, 373, 403, 432, 461, 488, 514, 543, 570, 596, 635]","[90226.75774823029, 36800.28613076294, 69299.71518660961, 864.8414690259488, 79906.03597582235, 52164.40288489881, 36664.70142051245, 17561.698260881538, 43757.22845246951, 51157.972901843175, 70931.26314113529, 27395.59957123643, 58069.32326986791, 41064.853199549245, 60330.87802180638, 47567.9544530171, 51321.22347827735, 10394.000796987746, 53066.00973666585, 34723.90016281668, 38466.00363260925, 121622.39385053907]",22,15.071975573387853,394911.1425884609,0.02601574297482656,2.669684569383664e-08,0.5039338509186466,22,52320.98650354441,390.08395978196313,142110.04131112655,"[24, 57, 79, 121, 149, 174, 196, 233, 255, 298, 319, 351, 382, 403, 440, 461, 502, 524, 560, 583, 605, 635]","[142110.04131112655, 36800.28613076294, 446.51152924675023, 79289.72117981821, 816.8663739815529, 101316.00542831121, 1784.9955754922776, 59012.42258092078, 4234.27535595118, 128481.87632849702, 1638.332511661225, 88059.36983927454, 2333.0039325659145, 102774.58307613837, 390.08395978196313, 104440.82012726803, 10394.000796987746, 77089.12536331726, 37807.262501260986, 48580.21953827083, 1639.5057868025979, 121622.39385053907]","[0, 46, 78, 91, 140, 140, 195, 208, 254, 140, 318, 320, 373, 320, 432, 320, 488, 488, 543, 543, 596, 140]","[140, 140, 91, 140, 150, 261, 208, 261, 261, 320, 320, 373, 383, 432, 441, 488, 514, 543, 570, 596, 606, 652]",0.05,30,1156517223805.049,124643.71273920295,-124643.71273920295,,,,,,,,,,,,,,,,CWT,mdp.39015056038253,,,,140890.04131112655,,51409.11693832702,123415.71273920295,51409.11693832702,1130088.703077977,51409.11693832702,,123415.71273920295,0.0,6.0,,,0.0,-3.0,,,,356.08395978196313,,,,0.0,0.0,,0.0,4.5,1.0,0.0,0.960440627135801,0.6401680738675384,0.7844654467120264,0.4811271159709814,1.0,0.0,,0.04023641871213001,0.6086460956697325,0.6086460956697325,0.6083834533127114,0.9999999999999998,0.1875824522785815,0.11111111111111116,,1.0,0.0,1.0,0.0,0.06660542562417149,0.06660542562417149,0.0,0.9999999999999999,1.6246514598426955,0.6720047667322523,7,1.8810319829596556,0.8555947344006857,3,0,0,0.41985443186682286,0.8063261640098821,6,1,0.125,0.5460644662409068,0.9193161893268288,2,2.3804761428476167,0.8168864505501834,4.5,3.5,0.7353663021981687,3,morl,3.0,3.0,,1,0.25,,,5,3.5,4
raw,fbsp,18.838710651335635,0.7131470740736274,1058.849887872346,-39.14227019627701,653,127,86284.69031353288,-1827022.030689427,True,"[5, 26, 53, 81, 119, 161, 184, 231, 254, 287, 311, 343, 383, 406, 448, 473, 501, 527, 558, 589, 623, 649]","[12500.246119283896, 569.5146493531647, 24550.51414044175, 5784.949736407609, 26791.593551249534, 6379.8365445776435, 59216.206096968606, 46492.007378896546, 1255.3411580692264, 9477.367185121424, 59282.02307968137, 10175.361593744463, 1093.6224701313186, 89063.28425262906, 7015.998364591651, 78107.74158465347, 11962.540363457312, 42574.88720904531, 15878.711488718429, 31076.37802503955, 4616.817931602185, 7223.76614592917]",22,15.093184076305013,1068021.2844290999,0.01577871042214676,2.196466748035503e-08,0.19822032439100598,23,44817.32916286877,708.4574704080824,226208.03226367472,"[31, 63, 86, 110, 132, 154, 180, 203, 231, 254, 292, 334, 356, 391, 413, 439, 462, 501, 527, 558, 585, 607, 634]","[30100.728929741308, 226208.03226367472, 10627.260845345474, 22061.13763996005, 708.4574704080824, 1682.0899524344077, 94959.50536317797, 2736.5873043463853, 55760.517602845706, 9786.934418103248, 68185.71267767978, 4479.349188827395, 55320.62010753666, 5074.678664262057, 113291.66827363506, 2447.5830047069976, 75547.35324986046, 10859.326011758301, 44140.19729898397, 13704.49943941865, 36347.977505676245, 1945.36045676512, 144822.9930768336]","[0, 0, 84, 97, 131, 139, 139, 202, 210, 252, 261, 319, 319, 319, 319, 432, 432, 489, 489, 489, 319, 319, 319]","[41, 319, 319, 319, 139, 156, 319, 210, 261, 261, 319, 335, 374, 393, 489, 440, 489, 511, 542, 571, 595, 608, 652]",0.05,30,8142886640579.845,295270.3038041864,-295270.3038041864,,,,,,,,,,,,,,,,CWT,mdp.39015056038253,,,,224988.03226367472,,43905.45959765138,294042.3038041864,43905.45959765138,1009825.5707459818,43905.459597651374,,294042.3038041864,0.0,-11.5,,,0.043478260869565216,-7.0,,,,674.4574704080824,,,,0.0,0.0,,0.08695652173913043,0.5,0.0,0.5504542402115707,0.35156952626423843,0.6552808082980675,0.5239414516477094,0.9953737777310483,0.37027179009933925,0.22199677772286022,0.0,0.07677174577715463,0.45354659516853485,0.45354659516853485,0.4531798636535067,0.8373313061756588,0.5220123128753189,0.0,,0.7948717948717948,1.0,0.6923076923076924,1.0,0.41604049833798673,0.41604049833798673,0.0,0.16666666666666666,1.659252730842285,0.68631689436175,6,1.600746056016202,0.7281055872772485,6,0,0,0.48548770462272245,0.9323741964609615,3,0,0.0,0.4586110464968542,0.7720856889865388,9,2.449489742783178,0.8115777120936016,6.0,5.142857142857143,0.67501962527757,5,fbsp,5.0,5.0,,1,0.4166666666666667,,,3,4.5,5
raw,cgau8,16.176460620186564,0.6622975726809034,733.6422011188217,-32.049012400765996,653,127,42647.65732236919,-1561723.5258992852,True,"[5, 74, 139, 165, 202, 223, 260, 288, 313, 338, 378, 404, 426, 456, 482, 515, 543, 574, 614, 648]","[6113.350325478648, 39882.59748652152, 64056.053037580576, 2838.6572983890146, 6961.957722395902, 2313.8410586945756, 5898.441690097545, 2152.4937189379925, 51245.11412429447, 806.6987017698048, 19456.433297044547, 3089.1681046956364, 12883.803001769073, 916.3614269229947, 46224.28483543861, 8989.800112425946, 40958.93592015493, 24896.331904685583, 7968.166476144572, 8504.77531523598]",20,15.556196950010227,479371.3628911722,0.021631829258452286,3.243623419227854e-06,0.3221899634616601,16,51484.94939899747,39.45866340500652,116779.94588326797,"[24, 57, 120, 185, 208, 233, 294, 319, 351, 405, 461, 503, 528, 560, 582, 635]","[116779.94588326797, 25794.1916471005, 46334.529239976815, 67476.0289289603, 39.45866340500652, 43583.86006859858, 95970.24479486154, 247.8537430074939, 60514.125154056965, 74789.10145645002, 84653.09567425406, 6663.769292492641, 52041.42728885799, 21608.6966150384, 29863.750607004655, 97399.11132662656]","[0, 45, 91, 139, 206, 206, 139, 318, 320, 320, 320, 488, 488, 543, 543, 139]","[139, 139, 139, 261, 209, 261, 320, 320, 373, 432, 543, 514, 543, 570, 597, 652]",0.05,30,1609585991213.6848,125807.37036848086,-125807.37036848086,,,,,,,,,,,,,,,,CWT,mdp.39015056038253,,,,115559.94588326797,,50573.07983378008,124579.37036848086,50573.07983378008,802786.1903839596,50585.949657681675,,124579.37036848086,0.0,-1.5,,,0.0,-10.5,,,,5.458663405006519,,,,0.0,0.0,,0.0,-1.5,7.0,0.09427669864514526,0.860298808349978,0.9852140725909156,0.26440118149296454,0.5519924298181054,0.6256323552032053,0.02785561468691093,0.8118390960256003,0.0,0.5913653309134861,0.5913653309134861,0.591357287131906,0.5572884957097033,0.08685305093508688,0.7777777777777778,,0.6923076923076923,0.0,0.42307692307692313,0.0,0.0689885406226177,0.0689885406226177,0.0,0.6428571428571428,1.4331135754801068,0.5927789300017494,9,1.9761977199389993,0.8988812410590009,2,0,0,0.33948174085789606,0.6519712287904867,8,0,0.0,0.5276887821016032,0.8883801644367468,3,3.5118845842842465,0.729855031978135,5.5,3.74025974025974,0.6533890544506059,6,cgau,6.0,6.0,,1,0.5,,,2,5.0,6
raw,gaus2,22.785677887343308,0.6428838431949452,776.5190775337629,-39.40003830925542,653,127,87131.10357641024,,False,"[42, 64, 98, 143, 169, 208, 232, 262, 292, 319, 373, 417, 462, 506, 530, 562, 587, 615]","[3838.232004969963, 276840.07540886424, 769.8117184589792, 1766.0711970875782, 36026.593672053496, 17595.16161660191, 8273.36474289339, 46467.821386810276, 3701.3302489491316, 91420.31296831845, 33333.067021402814, 57659.21744673324, 77497.38349312576, 69.00514771259623, 25278.81150635396, 5363.308363279881, 27968.815767377644, 180176.50431571988]",18,14.801561872077196,886087.2263111536,0.015013608174565493,4.241386244698893e-07,0.23939715441992648,16,52659.90144983341,69.00514771259623,317853.14547637396,"[42, 64, 98, 143, 169, 232, 266, 288, 354, 417, 462, 506, 530, 562, 587, 615]","[3838.232004969963, 317853.14547637396, 769.8117184589792, 1766.0711970875782, 36026.593672053496, 28096.426503367875, 394.20817650653044, 46467.821386810276, 33333.067021402814, 57659.21744673324, 77497.38349312576, 69.00514771259623, 25278.81150635396, 5363.308363279881, 27968.815767377644, 180176.50431571988]","[0, 0, 96, 141, 141, 208, 262, 262, 319, 319, 319, 488, 319, 319, 319, 319]","[44, 319, 319, 146, 319, 319, 267, 319, 373, 432, 488, 507, 541, 570, 598, 652]",0.05,30,8630218820648.532,279607.8509039386,-279607.8509039386,,,,,,,,,,,,,,,,CWT,mdp.39015056038253,,,,316633.14547637396,,51748.031884616015,278379.8509039386,51748.031884616015,821585.4231973345,51749.76604509921,,278379.8509039386,0.0,-15.0,,,0.0,-10.5,,,,35.00514771259623,,,,0.0,0.0,,0.0,-15.0,7.0,0.5593025668493328,0.3330823669306116,0.4474769409645275,0.9087276027378126,0.3827147513405529,0.45509044944365007,0.16199355960199907,,0.003390641594762274,0.6156514180738978,0.6156514180738978,0.6154293459734342,0.5827164601020611,0.8864545794377707,0.7777777777777778,,0.0,0.0,0.42307692307692313,0.0,0.3839645462023059,0.3839645462023059,0.0,0.0,1.7966269887844393,0.7431390241817497,4,1.4456619662188175,0.6575649841285507,8,0,0,0.35253851043434253,0.6770466218978685,7,1,0.125,0.45780546255264104,0.7707294638381144,10,2.5,0.8076923076923077,7.25,6.47398843930636,0.625,7,gaus,7.125,8.0,4.38951673226759,8,0.59375,1.0,0.284375,1,5.5,7
raw,gaus7,21.87063536827424,0.6475986060701064,633.0382864034261,-33.69708512907722,653,127,44001.00045292209,,False,"[4, 47, 85, 107, 129, 159, 194, 218, 252, 277, 310, 342, 383, 425, 482, 519, 553, 575, 603, 650]","[16125.314157574583, 11293.936192775513, 116220.23332096648, 1289.694783102379, 41409.71851942857, 70531.69143196294, 4079.3480074447107, 34878.03464402335, 29621.895324477293, 28000.321890793464, 78599.9922964714, 37759.76924451229, 69079.87054724194, 61098.89663864153, 92778.10901410569, 35704.83062964327, 27943.968947709916, 76313.5100845034, 47527.867528902796, 3109.6323681590147]",20,15.10205906890867,573180.4975735273,0.01651006422869102,2.4173677343242645e-07,0.0333232924891366,18,53402.822228302,886.0098563749652,193748.62043037036,"[42, 85, 107, 129, 163, 200, 252, 310, 333, 367, 425, 482, 503, 536, 566, 592, 623, 650]","[14800.99687267287, 193748.62043037036, 1289.694783102379, 41409.71851942857, 3809.2686421895633, 58796.27508042738, 61936.74739559113, 149627.47780605752, 1411.4069251801193, 55241.86683387313, 88167.6194323833, 165722.16653459362, 3656.1868833150133, 42165.275269104386, 27943.968947709916, 47527.867528902796, 886.0098563749652, 3109.6323681590147]","[4, 4, 106, 106, 159, 159, 159, 159, 332, 342, 383, 159, 499, 519, 553, 575, 575, 4]","[47, 575, 108, 159, 165, 218, 277, 383, 342, 383, 441, 575, 575, 575, 575, 603, 625, 652]",0.05,30,2301845372788.9873,196107.33589077776,-196107.33589077776,,,,,,,,,,,,,,,,CWT,mdp.39015056038253,,,,192528.62043037036,,52490.95266308461,194879.33589077776,52490.95266308461,940277.800109436,52490.952663084616,,194879.33589077776,0.0,-14.0,,,0.0,-14.0,,,,852.0098563749652,,,,0.0,0.0,,0.0,-14.0,5.0,0.10842442363635735,0.7420988387352468,0.6616049419163555,0.8195209618049324,0.4238250446851012,0.030606372291574147,0.058794571517222824,,0.0971469788790488,0.6310074819799375,0.6310074819799375,0.6307598466207816,0.7432605399444026,0.39293198109201666,0.5555555555555556,,0.051282051282051266,0.0,0.15384615384615385,0.0,0.2129594973810915,0.2129594973810915,0.0,0.047619047619047616,1.50251544856741,0.6214856346012271,8,1.4236399775902584,0.6475481967042451,9,0,0,0.2906890742374077,0.5582654090543957,9,1,0.125,0.40016073636954147,0.673682808570023,11,1.2583057392117916,0.9032072508298622,9.25,9.129682997118156,0.5958343946457003,9,gaus,7.125,8.0,4.38951673226759,8,0.59375,1.0,0.284375,1,7.0,8
