amplitude_max,amplitude_max_diff,avg_prominence,avg_prominence_diff,avg_variance_across_levels,correlation,dominant_frequency,dominant_frequency_diff,dynamic_cutoff,dynamic_cutoff_diff,emd_value,frequency_max,frequency_max_diff,htid,is_complex,kl_divergence,lower_envelope,lower_envelope_diff,max_autocorrelation,max_autocorrelation_diff,num_fft_peaks,num_fft_peaks_diff,positive_amplitudes,positive_amplitudes_dtw,positive_amplitudes_euclidean,positive_amplitudes_wasserstein,positive_frequencies,positive_frequencies_dtw,positive_frequencies_euclidean,positive_frequencies_wasserstein,prominence_max,prominence_max_diff,prominence_min,prominence_min_diff,relative_left_bases,relative_left_bases_array_alignment_score,relative_left_bases_global_alignment_score,relative_num_peaks,relative_num_peaks_diff,relative_peaks,relative_peaks_array_alignment_score,relative_peaks_global_alignment_score,relative_prominences,relative_prominences_avg_diff,relative_prominences_total_diff,relative_prominences_wasserstein,relative_right_bases,relative_right_bases_array_alignment_score,relative_right_bases_global_alignment_score,scales_used,signal_length,signal_type,smoothness,spectral_bandwidth,spectral_bandwidth_diff,spectral_centroid,spectral_centroid_diff,spectral_magnitude,spectral_magnitude_diff,upper_envelope,upper_envelope_diff,variance_ratio_across_levels,wavelet,wavelet_adaptive_threshold,wavelet_energy_entropy,wavelet_entropy,wavelet_psnr,wavelet_sparsity,wavelet_type,emd_value_normalized,wavelet_psnr_normalized,wavelet_entropy_normalized,wavelet_energy_entropy_normalized,wavelet_sparsity_normalized,correlation_normalized,avg_variance_across_levels_normalized,kl_divergence_normalized,prominence_min_diff_normalized,positive_amplitudes_dtw_normalized,positive_amplitudes_euclidean_normalized,positive_amplitudes_wasserstein_normalized,avg_prominence_diff_normalized,relative_prominences_avg_diff_normalized,relative_prominences_wasserstein_normalized,positive_frequencies_dtw_normalized,positive_frequencies_euclidean_normalized,positive_frequencies_wasserstein_normalized,spectral_centroid_diff_normalized,spectral_magnitude_diff_normalized,dynamic_cutoff_diff_normalized,relative_prominences_total_diff_normalized,prominence_max_diff_normalized,amplitude_max_diff_normalized,frequency_max_diff_normalized,spectral_bandwidth_diff_normalized,num_fft_peaks_diff_normalized,relative_num_peaks_diff_normalized,dominant_frequency_diff_normalized,max_autocorrelation_diff_normalized,relative_right_bases_global_alignment_score_normalized,relative_left_bases_global_alignment_score_normalized,upper_envelope_diff_normalized,lower_envelope_diff_normalized,relative_peaks_global_alignment_score_normalized,reconstruction_weighted_score,reconstruction_normalized_weighted_score,reconstruction_normalized_weighted_rank,signal_weighted_score,signal_normalized_weighted_score,signal_normalized_weighted_rank,reconstruction_missing_metrics_count,reconstruction_dynamically_weighted_score,reconstruction_normalized_dynamically_weighted_score,reconstruction_normalized_dynamically_weighted_rank,signal_missing_metrics_count,signal_dynamically_weighted_score,signal_normalized_dynamically_weighted_score,signal_normalized_dynamically_weighted_rank,rank_variability,normalized_rank_stability,average_rank,harmonic_average_rank,stability_score_weighted,stability_rank,wavelet_family,family_mean_stability_rank,family_median_stability_rank,family_rank_std_dev,family_wavelet_count,normalized_family_mean_rank,normalized_family_std_dev,final_family_stability_score,final_family_stability_rank,family_informed_rank,top_wavelet_rank
,,54489.14221060574,54161.37554393907,327058.5833837665,0.36341572556282276,,,37154.460973168076,36936.26097316808,43320.77660172142,,,inu.32000013032885,False,,-94827.19449447305,93954.19449447305,537241183222.2583,537172158599.2583,,,[],,,,[],,,,117357.27254210941,116490.27254210941,11400.194304135948,11390.194304135948,"[0, 61, 131, 131]",0.0,-14.5,4,26.0,"[30, 74, 159, 184]",0.0,-14.5,"[117357.27254210941, 21243.737746517247, 11400.194304135948, 67955.36424966039]",54161.37554393907,208123.56884242297,54161.37554393908,"[131, 131, 168, 201]",0.0,-14.5,100,202,raw,1.7464875645305782e-06,,,,,0.0,341096.24989298836,94827.19449447305,93954.19449447305,0.015142662609243162,gaus4,809.9887914706725,874837864.9257462,13.405727623049868,-35.34905843569063,0.6705940594059406,CWT,0.09870981863953238,0.7620364174201133,0.9012495746540323,0.04317097867899561,0.8650180319422976,0.8434880145925153,0.005421294863017893,,0.36363173031812784,,,,0.2352402264241797,0.2352402264241797,0.23524022642417974,,,,,0.0,0.281894213972732,0.8446827457574506,0.38235343458353716,,,,,0.0,,0.04007008970937736,0.763157894736842,1.0,0.12218551845026529,0.12218551845026529,1.0,1.5204959617425389,0.383080475936203,3,1.644616009269574,0.9567995883248832,3,0.44444444444444436,0.3528365661278537,0.5470763149596498,4,0,0.5027277329700721,0.9128119162630025,3,0.5,0.95,3.25,3.2000000000000006,0.8125,1,gaus,6.0,6.5,3.116774889895918,8,1.0,1.0,0.0,1,1.0,1
280377.47800392535,270892.93731971184,122864.91636058078,122537.14969391412,1030417.0073946065,0.2797549870818781,0.04950495049504951,0.024752475247524754,83024.61993883734,82806.41993883734,185858.54345379188,0.49504950495049505,0.0,inu.32000013032885,False,,-263690.5076924305,262817.5076924305,7893041740697.006,7892972716074.006,9.0,5.0,"[37616441.66184081, 8488354.271689853, 2955437.5894123334, 2380456.48437186, 1080772.6116618782, 815499.3633227497, 797053.490551143, 458163.68083133805, 371131.56631324877, 225233.46302987082, 270455.4051119311, 280377.47800392535, 177552.1943528084, 118866.6234212733, 135063.92039244567, 79506.38054486646, 119500.29204512977, 137630.14278672813, 103810.0597158858, 67321.33893225425, 82849.5483579804, 70884.59487848544, 80258.08878306886, 74618.27568745034, 66078.5901800909, 55904.24587600621, 57040.36842660016, 55648.570190225895, 48510.308683568015, 55786.85407002859, 56165.8675686055, 52391.040853860984, 39497.393140069915, 42932.69766294502, 46574.18737372032, 44789.158740742896, 38833.37491471378, 33733.48625896064, 46989.246411710716, 39307.59911952266, 44331.347559430906, 39364.060199926425, 29470.42884855842, 34619.18257519835, 39776.79435160565, 42238.864176389136, 26539.637853098167, 33196.260773206275, 35025.71069750624, 41694.92798539564, 33338.82339900804, 36203.667906550916, 27731.412487206373, 28507.367772913814, 33202.858220083064, 28359.684666401932, 35485.89878520028, 19586.738004222196, 21500.94422966507, 32332.146717740496, 22516.432093944233, 15445.398233460519, 35614.89779505973, 19364.533947338485, 14738.177665788433, 22568.62701130887, 18818.638530026026, 37128.844573261835, 34219.64604278291, 28241.922427276717, 28263.607695834246, 28669.252588159707, 26406.45554540635, 27587.693458546364, 21904.925065795403, 19324.743935484585, 23675.591110502806, 14731.110426460644, 22823.825555607214, 18420.638223959464, 18042.37347012751, 31438.254197436538, 23167.96483855575, 20041.32024189649, 21252.66358955087, 24158.223551419913, 17659.230860100677, 19901.521917146263, 17840.083448427184, 19487.96256407839, 26051.107096867043, 20248.06442518524, 21431.96821438221, 21358.126509874364, 19660.417558465317, 19857.60325561044, 21534.15026662633, 20769.19873222584, 21888.87978414698, 19188.35916093298, 24850.139100070115]",57300978.01298345,38680480.26714056,584347.7682924375,"[0.0, 0.0049504950495049506, 0.009900990099009901, 0.01485148514851485, 0.019801980198019802, 0.024752475247524754, 0.0297029702970297, 0.034653465346534656, 0.039603960396039604, 0.04455445544554455, 0.04950495049504951, 0.054455445544554455, 0.0594059405940594, 0.06435643564356436, 0.06930693069306931, 0.07425742574257425, 0.07920792079207921, 0.08415841584158416, 0.0891089108910891, 0.09405940594059406, 0.09900990099009901, 0.10396039603960396, 0.10891089108910891, 0.11386138613861387, 0.1188118811881188, 0.12376237623762376, 0.12871287128712872, 0.13366336633663367, 0.13861386138613863, 0.14356435643564355, 0.1485148514851485, 0.15346534653465346, 0.15841584158415842, 0.16336633663366337, 0.16831683168316833, 0.17326732673267328, 0.1782178217821782, 0.18316831683168316, 0.18811881188118812, 0.19306930693069307, 0.19801980198019803, 0.20297029702970298, 0.2079207920792079, 0.21287128712871287, 0.21782178217821782, 0.22277227722772278, 0.22772277227722773, 0.23267326732673269, 0.2376237623762376, 0.24257425742574257, 0.24752475247524752, 0.2524752475247525, 0.25742574257425743, 0.2623762376237624, 0.26732673267326734, 0.2722772277227723, 0.27722772277227725, 0.2821782178217822, 0.2871287128712871, 0.29207920792079206, 0.297029702970297, 0.30198019801980197, 0.3069306930693069, 0.3118811881188119, 0.31683168316831684, 0.3217821782178218, 0.32673267326732675, 0.3316831683168317, 0.33663366336633666, 0.3415841584158416, 0.34653465346534656, 0.35148514851485146, 0.3564356435643564, 0.3613861386138614, 0.36633663366336633, 0.3712871287128713, 0.37623762376237624, 0.3811881188118812, 0.38613861386138615, 0.3910891089108911, 0.39603960396039606, 0.400990099009901, 0.40594059405940597, 0.4108910891089109, 0.4158415841584158, 0.4207920792079208, 0.42574257425742573, 0.4306930693069307, 0.43564356435643564, 0.4405940594059406, 0.44554455445544555, 0.4504950495049505, 0.45544554455445546, 0.4603960396039604, 0.46534653465346537, 0.4702970297029703, 0.4752475247524752, 0.4801980198019802, 0.48514851485148514, 0.4900990099009901, 0.49504950495049505]",0.0,0.0,0.0,234781.7772747378,233914.7772747378,10948.055446423765,10938.055446423765,"[0, 132]",0.0,-24.5,2,28.0,"[89, 143]",0.0,-29.0,"[234781.7772747378, 10948.055446423765]",122537.14969391412,235896.83272116157,122537.14969391412,"[201, 201]",0.0,-24.5,100,202,raw,6.504508491734932e-07,0.05838701055423385,0.08853374331522937,0.016649706882959345,0.11069960752643844,59360220.84742912,59019124.59753613,263690.5076924305,262817.5076924305,0.022365103847446496,mexh,2211.85713007461,9630262057.287912,13.164957989315958,-47.07507980909583,0.6489108910891089,CWT,0.9999999999999999,0.0,0.45081764370932603,1.0000000000000002,0.6393611540443069,0.6145555663537414,0.15048933323157554,,0.3371070952204368,0.0,0.0,0.0,1.0000000000000002,1.0000000000000002,1.0,0.0,0.0,0.0,0.0,1.0,0.6521479949951925,1.0000000000000002,1.0,0.0,0.0,0.0,0.0,0.5,0.0,1.0,0.23684210526315785,0.31034482758620696,0.7180113350612086,0.7180113350612086,0.0,3.9691293533731473,1.0,1,1.5871712433065126,0.9233795509939275,5,0.0,0.38786906271064503,0.6013945205375978,3,0,0.5507462424769929,1.0,1,1.9148542155126762,0.8085145784487324,2.5,1.5789473684210527,0.7792572892243662,2,mexh,2.0,2.0,,1,0.3333333333333333,,,2,2.0,2
,,54260.59750306308,53932.83083639641,382367.5940970392,0.25961709387841014,,,17799.241167613935,17581.041167613934,38035.74513473003,,,inu.32000013032885,False,,-86319.17960415584,85446.17960415584,439369369198.12524,439300344575.12524,,,[],,,,[],,,,126136.7307703836,125269.7307703836,8566.424599691505,8556.424599691505,"[0, 61, 131, 131]",0.0,-14.5,4,26.0,"[29, 74, 160, 184]",0.0,-19.0,"[126136.7307703836, 22414.70596469839, 8566.424599691505, 59924.52867747883]",53932.83083639641,207209.39001225232,53932.83083639642,"[131, 131, 167, 201]",0.0,-10.0,100,202,raw,1.471917246023256e-06,,,,,0.0,341096.24989298836,86319.17960415584,85446.17960415584,0.016843850572583176,gaus6,744.9123963657374,678475057.7729942,13.443890362034045,-34.499387388453286,0.6835643564356436,CWT,0.0652916791907505,0.8172538061834356,0.9726444426205593,0.021711637764855116,0.9999999999999999,0.5594494642902155,0.016828806900090396,,0.19738920088455297,,,,0.23268403161739162,0.23268403161739162,0.23268403161739168,,,,,0.0,0.12566315924953467,0.8395703561438745,0.4285329116293032,,,,,0.0,,0.027297845421065704,1.0,1.0,0.0921654103299265,0.0921654103299265,0.6896551724137931,1.3539617235576367,0.3411231035861752,4,1.637629136136116,0.9527347869973442,4,0.44444444444444436,0.3238105485280547,0.5020712098462021,5,0,0.4933114052785581,0.8957145182868241,5,0.5773502691896257,0.9422649730810374,4.5,4.444444444444445,0.7461324865405188,3,gaus,6.0,6.5,3.116774889895918,8,1.0,1.0,0.0,1,2.5,3
,,53787.87205287689,53460.10538621022,418153.8782396554,0.2647063134783092,,,9699.18230001377,9480.98230001377,36881.90970451161,,,inu.32000013032885,False,,-79479.99013951914,78606.99013951914,396078164306.3375,396009139683.3375,,,[],,,,[],,,,116706.66673377194,115839.66673377194,9728.544217991192,9718.544217991192,"[0, 61, 131, 131]",0.0,-14.5,4,26.0,"[29, 83, 160, 187]",0.0,-28.0,"[116706.66673377194, 32195.55605647812, 9728.544217991192, 56520.72120326628]",53460.10538621022,205318.48821150756,53460.10538621021,"[131, 131, 167, 201]",0.0,-10.0,100,202,raw,1.2865571148759299e-06,,,,,0.0,341096.24989298836,79479.99013951914,78606.99013951914,0.01858265403306015,gaus8,739.2395024349075,685221487.644428,13.438227854167835,-34.05663962010682,0.6810891089108911,CWT,0.057995784445598685,0.846026559743027,0.9620510205489637,0.02244891556539002,0.9742400824317361,0.5733757996750628,0.024209746494821327,,0.26556471442311547,,,,0.22739675827032926,0.22739675827032926,0.22739675827032915,,,,,0.0,0.06028127503853642,0.8289958094497498,0.3789312831009772,,,,,0.0,,0.021648355320913623,1.0,1.0,0.068033669867467,0.068033669867467,0.06896551724137931,1.1702614296205822,0.29484083924501997,6,1.6459948906773207,0.9576017896629736,2,0.44444444444444436,0.2739540823858175,0.42476830421673795,6,0,0.4943354155578,0.8975738324323667,4,1.9148542155126762,0.8085145784487324,4.5,3.6923076923076925,0.6792572892243662,4,gaus,6.0,6.5,3.116774889895918,8,1.0,1.0,0.0,1,3.25,4
,,54220.92046108765,53893.15379442098,300773.5832291302,0.37076272253468984,,,11760.590774460874,11542.390774460873,27709.958458763496,,,inu.32000013032885,False,,-60198.53139343379,59325.53139343379,230190027650.84256,230121003027.84256,,,[],,,,[],,,,95129.23622614334,94262.23622614334,13827.181485389903,13817.181485389903,"[0, 61, 131, 131]",0.0,-14.5,4,26.0,"[26, 87, 160, 187]",0.0,-28.0,"[95129.23622614334, 62530.15453235962, 13827.181485389903, 45397.10960045773]",53893.15379442098,207050.6818443506,53893.15379442098,"[131, 131, 168, 201]",0.0,-14.5,100,202,raw,3.075284156530414e-07,,,,,0.0,341096.24989298836,60198.53139343379,59325.53139343379,0.023390345739400735,morl,587.6349362870152,479803618.77360994,13.366608305364462,-31.687335725809316,0.6738118811881189,CWT,0.0,1.0,0.8280651388553276,0.0,0.8985059247810405,0.8635926184307362,0.0,,0.5060104448910606,,,,0.23224025740036067,0.23224025740036067,0.23224025740036067,,,,,0.0,0.07692050845534275,0.8386828077098126,0.2654351617088125,,,,,0.0,,0.0,0.763157894736842,1.0,0.0,0.0,0.06896551724137931,1.1414474969865869,0.28758132964765504,7,1.7188719867123745,1.0,1,0.44444444444444436,0.25883731824073336,0.40132962348881684,7,0,0.5128805260095863,0.9312465278072444,2,3.2015621187164243,0.6798437881283576,4.25,2.24,0.6274218940641787,5,morl,5.0,5.0,,1,0.8333333333333334,,,3,4.5,5
,,56167.2001426403,55839.43347597363,545214.1991632882,0.42061123620818214,,,126119.45808480987,125901.25808480987,115656.3842917418,,,inu.32000013032885,False,,-155156.18391233135,154283.18391233135,2977362461706.439,2977293437083.439,,,[],,,,[],,,,143891.61042583056,143024.61042583056,5201.728818431482,5191.728818431482,"[0, 0, 131, 168]",0.0,-14.5,4,26.0,"[44, 83, 154, 174]",0.0,-19.0,"[31691.417760509576, 143891.61042583056, 43884.043565789616, 5201.728818431482]",55839.43347597363,214835.8005705612,55839.43347597364,"[60, 201, 201, 201]",0.0,-23.5,100,202,raw,2.054999404612396e-06,,,,,0.0,341096.24989298836,155156.18391233135,154283.18391233135,0.03352893216244424,gaus2,1445.294118212431,4016403687.1622276,13.12668584219563,-42.82532706994925,0.6393069306930693,CWT,0.556099985565745,0.27617776303951347,0.3792180949561766,0.38649430431846565,0.5394126738794436,0.9999999999999998,0.05041600333576696,,0.0,,,,0.2540087335468201,0.2540087335468201,0.25400873354682013,,,,,0.0,1.0,0.8822197600027314,0.5219226215841308,,,,,0.0,,0.3585052323769333,0.28947368421052627,1.0,0.3350533622966643,0.3350533622966643,0.6896551724137931,2.0108314149965127,0.5066177581961687,2,1.3513243240168369,0.7861692636002912,8,0.44444444444444436,0.38937173749923815,0.6037244315072801,2,0,0.4554026892993016,0.8268829710959413,7,3.2015621187164243,0.6798437881283576,4.75,3.154929577464789,0.6024218940641788,6,gaus,6.0,6.5,3.116774889895918,8,1.0,1.0,0.0,1,4.75,6
,,54377.72671259801,54049.96004593134,472579.27054685564,0.16910828874399395,,,9046.057620796804,8827.857620796804,37894.35943305705,,,inu.32000013032885,False,,-110550.99748658722,109677.99748658722,457727762431.4499,457658737808.4499,,,[],,,,[],,,,132021.4248208469,131154.4248208469,10841.19164364893,10831.19164364893,"[6, 69, 141]",0.0,-28.5,3,27.0,"[52, 101, 166]",0.0,-28.5,"[132021.4248208469, 20270.563673298206, 10841.19164364893]",54049.96004593134,153300.18013779403,54049.96004593135,"[141, 141, 170]",0.0,-28.5,100,202,raw,8.694920504383922e-07,,,,,0.0,341096.24989298836,110550.99748658722,109677.99748658722,0.017576729849459787,gaus7,765.2908453726094,711999643.1524395,13.458512743526896,-34.73471872268282,0.6810891089108911,CWT,0.0643976737105407,0.8019603796125361,1.0,0.025375343316299433,0.9742400824317361,0.31177770424105583,0.03543501177908704,,0.330837951736294,,,,0.23399408198064706,0.23399408198064706,0.2339940819806472,,,,,0.0,0.05500939703741262,0.5380922694255164,0.459486085134879,,,,,0.25,,0.02969361059058727,0.02631578947368418,0.034482758620689724,0.17766617662628492,0.17766617662628492,0.034482758620689655,1.0350296175817573,0.26076993855142105,8,1.5417643209195848,0.8969628528698421,6,0.44444444444444436,0.16549212576672873,0.25659705090343154,8,0,0.45902659929875084,0.8334629705947134,6,1.1547005383792515,0.8845299461620748,7.0,6.857142857142858,0.5922649730810374,7,gaus,6.0,6.5,3.116774889895918,8,1.0,1.0,0.0,1,5.5,7
,,,,5149246.285561386,0.055172701284170726,,,19500.25506624872,19282.05506624872,166649.06736973143,,,inu.32000013032885,False,,-343609.0659661917,342736.0659661917,7614394710023.852,7614325685400.852,,,[],,,,[],,,,,,,,[],,,0,30.0,[],,,[],,,,[],,,100,202,raw,1.5802545848288808e-06,,,,,0.0,341096.24989298836,343609.0659661917,342736.0659661917,0.023572044911002992,gaus1,1839.974508009534,7896833721.441992,13.180840778933126,-46.942835049740836,0.5874752475247524,CWT,0.8785352642600984,0.008594161602845651,0.4805311731320431,0.8105637714772939,0.0,0.0,0.9999999999999999,,,,,,,,,,,,,0.0,0.13939336733563817,,,,,,,1.0,,0.963636640625741,,,1.0,1.0,,1.3515150039806896,0.3405066662370453,5,1.3142645485444053,0.7646087426546246,9,0.7777777777777772,0.644949445771341,1.0,1,0,0.4540320529246116,0.8243942816252232,8,3.593976442141304,0.6406023557858695,5.75,2.7852998065764023,0.5328011778929348,8,gaus,6.0,6.5,3.116774889895918,8,1.0,1.0,0.0,1,6.25,8
,,46161.575250919246,45833.808584252576,522317.206280451,0.1678501224899266,,,8852.994418243692,8634.794418243691,38472.04986671674,,,inu.32000013032885,False,,-130631.05553221327,129758.05553221327,538881867631.05316,538812843008.05316,,,[],,,,[],,,,106270.68175521716,105403.68175521716,8222.344907646984,8212.344907646984,"[6, 69, 139]",0.0,-28.5,3,27.0,"[53, 101, 166]",0.0,-28.5,"[106270.68175521716, 23991.699089893584, 8222.344907646984]",45833.808584252576,128651.72575275775,45833.808584252576,"[139, 139, 170]",0.0,-28.5,100,202,raw,9.520273251395673e-07,,,,,0.0,341096.24989298836,130631.05553221327,129758.05553221327,0.018712580334317646,gaus5,743.3814501718401,796219683.5064132,13.300917079216877,-35.443324462882586,0.6760891089108911,CWT,0.06805050711197677,0.7559103714785029,0.7051699656522011,0.034579258171482136,0.9222050489438433,0.30833480992688894,0.04569348672309775,,0.17720383499455356,,,,0.14209922287870608,0.14209922287870608,0.14209922287870608,,,,,0.0,0.053451033553756626,0.4002499807726049,0.3240385646397078,,,,,0.25,,0.04028419856470097,0.02631578947368418,0.034482758620689724,0.24851766447198825,0.24851766447198825,0.034482758620689655,0.8024458121769572,0.20217174617778635,9,1.3543293251700683,0.7879175038278714,7,0.44444444444444436,0.12870057223247663,0.19955141147311858,10,0,0.40570620685828485,0.7366481612904204,9,1.2583057392117916,0.8741694260788209,8.75,8.600682593856655,0.49958471303941043,9,gaus,6.0,6.5,3.116774889895918,8,1.0,1.0,0.0,1,7.0,9
,,33456.74334663226,33128.97667996559,1208112.3033385554,0.11428250264674299,,,2231.029885648128,2012.829885648128,55523.6589042152,,,inu.32000013032885,False,,-184964.60026360088,184091.60026360088,1240614177463.928,1240545152840.928,,,[],,,,[],,,,44665.76059543814,43798.76059543814,22247.72609782638,22237.72609782638,"[6, 6]",0.0,-29.0,2,28.0,"[55, 120]",0.0,-29.0,"[22247.72609782638, 44665.76059543814]",33128.97667996559,57080.48669326452,33128.97667996559,"[69, 138]",0.0,-29.0,100,202,raw,1.1385269410916125e-06,,,,,0.0,341096.24989298836,184964.60026360088,184091.60026360088,0.03852998069659297,gaus3,803.5548411631835,1891692054.5897405,12.92398218032074,-39.06369798815068,0.6495544554455446,CWT,0.17587068797565314,0.5206339394249974,0.0,0.15429701640668503,0.6460587326120555,0.16175032382631305,0.18713907983290676,,1.0,,,,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,,,,,0.5,,0.13186006824232516,0.0,0.0,0.4402308794140354,0.4402308794140354,0.0,0.7420223858867767,0.18694840097770363,10,0.8402693327595468,0.48884927979232484,10,0.44444444444444436,0.14526589958247085,0.225236102666523,9,0,0.26367854001123014,0.4787659355156566,10,0.5,0.95,9.75,9.72972972972973,0.4875,10,gaus,6.0,6.5,3.116774889895918,8,1.0,1.0,0.0,1,7.75,10
