signal_type,wavelet,wavelet_energy_entropy,wavelet_sparsity,wavelet_adaptive_threshold,wavelet_psnr,signal_length,scales_used,emd_value,kl_divergence,is_complex,wavelet_entropy,avg_variance_across_levels,variance_ratio_across_levels,smoothness,correlation,relative_num_peaks,avg_prominence,prominence_min,prominence_max,relative_peaks,relative_prominences,relative_left_bases,relative_right_bases,prominence_threshold,distance_factor,max_autocorrelation,upper_envelope,lower_envelope,stft_frequency_max,stft_amplitude_max,stft_spectral_centroid,stft_spectral_bandwidth,stft_spectral_magnitude,stft_variance_magnitude,stft_peak_freq_over_time,stft_num_peaks,stft_peak_amplitude,stft_dominant_frequency,stft_positive_frequencies,stft_positive_amplitudes,stft_snr_threshold,stft_stationarity_threshold,stft_window,stft_nperseg,stft_noverlap,stft_dynamic_cutoff,stft_dynamic_cutoff_percentile,fft_frequency_max,fft_amplitude_max,fft_spectral_centroid,fft_spectral_bandwidth,fft_spectral_magnitude,fft_variance_magnitude,fft_num_peaks,fft_peak_amplitude,fft_dominant_frequency,fft_positive_frequencies,fft_positive_amplitudes,fft_snr_threshold,fft_stationarity_threshold,fft_dynamic_cutoff,fft_dynamic_cutoff_percentile,wavelet_type,htid,fft_frequency_max_diff,fft_snr_threshold_diff,lower_envelope_diff,relative_peaks_array_alignment_score,relative_peaks_global_alignment_score,stft_dynamic_cutoff_percentile_diff,prominence_threshold_diff,prominence_min_diff,stft_window_diff,fft_peak_amplitude_diff,avg_prominence_diff,stft_spectral_bandwidth_diff,stft_num_peaks_diff,stft_variance_magnitude_diff,stft_noverlap_diff,fft_spectral_centroid_diff,stft_dominant_frequency_diff,stft_nperseg_diff,fft_variance_magnitude_diff,stft_snr_threshold_diff,stft_dynamic_cutoff_diff,distance_factor_diff,fft_stationarity_threshold_diff,fft_amplitude_max_diff,fft_spectral_magnitude_diff,relative_left_bases_array_alignment_score,relative_left_bases_global_alignment_score,relative_prominences_avg_diff,relative_prominences_total_diff,relative_prominences_wasserstein,max_autocorrelation_diff,stft_spectral_centroid_diff,stft_amplitude_max_diff,fft_dynamic_cutoff_diff,fft_num_peaks_diff,stft_peak_amplitude_diff,prominence_max_diff,upper_envelope_diff,relative_right_bases_array_alignment_score,relative_right_bases_global_alignment_score,stft_stationarity_threshold_diff,fft_dominant_frequency_diff,fft_dynamic_cutoff_percentile_diff,stft_frequency_max_diff,stft_spectral_magnitude_diff,relative_num_peaks_diff,fft_spectral_bandwidth_diff,emd_value_normalized,smoothness_normalized,wavelet_psnr_normalized,wavelet_entropy_normalized,wavelet_energy_entropy_normalized,wavelet_sparsity_normalized,correlation_normalized,avg_variance_across_levels_normalized,kl_divergence_normalized,prominence_min_diff_normalized,avg_prominence_diff_normalized,relative_prominences_avg_diff_normalized,relative_prominences_wasserstein_normalized,relative_prominences_total_diff_normalized,prominence_max_diff_normalized,relative_num_peaks_diff_normalized,max_autocorrelation_diff_normalized,relative_right_bases_global_alignment_score_normalized,relative_left_bases_global_alignment_score_normalized,upper_envelope_diff_normalized,lower_envelope_diff_normalized,relative_peaks_global_alignment_score_normalized,reconstruction_signal_weighted_score,reconstruction_signal_normalized_weighted_score,reconstruction_signal_normalized_weighted_rank,wavelet_signal_weighted_score,wavelet_signal_normalized_weighted_score,wavelet_signal_normalized_weighted_rank,reconstruction_signal_num_missing_metrics,reconstruction_signal_missing_metrics_count,reconstruction_signal_dynamically_weighted_score,reconstruction_signal_normalized_dynamically_weighted_score,reconstruction_signal_normalized_dynamically_weighted_rank,wavelet_signal_num_missing_metrics,wavelet_signal_missing_metrics_count,wavelet_signal_dynamically_weighted_score,wavelet_signal_normalized_dynamically_weighted_score,wavelet_signal_normalized_dynamically_weighted_rank,rank_variability,normalized_rank_stability,average_rank,harmonic_average_rank,stability_score_weighted,stability_rank,wavelet_family,family_mean_stability_rank,family_median_stability_rank,family_rank_std_dev,family_wavelet_count,normalized_family_mean_rank,normalized_family_std_dev,final_family_stability_score,final_family_stability_rank,family_informed_rank
raw,gaus4,20.589549131067585,0.6705940594059406,809.9887914706725,-35.34905843569063,202,100,43320.77660172142,,False,13.405727623049868,327058.5833837665,0.015142662609243162,1.7464875645305782e-06,0.36341572556282276,5,43908.516825497616,1586.0152850650848,117357.27254210941,"[30, 74, 83, 159, 184]","[117357.27254210941, 21243.737746517247, 1586.0152850650848, 11400.194304135948, 67955.36424966039]","[0, 61, 79, 131, 131]","[131, 131, 131, 168, 201]",0.05,30,537241183222.2583,94827.19449447305,-94827.19449447305,0.5,187945744962.07724,0.028721902911043675,0.04470507707838334,256162073006.47607,5.891745427078372e+19,"[0.015625, 0.015625, 0.015625, 0.015625, 0.015625]",2.0,187945744962.07724,0.015625,"[0.0, 0.015625, 0.03125, 0.046875, 0.0625, 0.078125, 0.09375, 0.109375, 0.125, 0.140625, 0.15625, 0.171875, 0.1875, 0.203125, 0.21875, 0.234375]","[3.403434630349432e-21, 187945744962.07724, 40893247134.035324, 7868435402.430782, 6074268165.562153, 2696195786.3192463, 1706816017.8195562, 1267396097.9260385, 1004889064.1396322, 662551023.2352333, 675592883.932606, 577609699.9871342, 483589923.58300865, 443872567.4176136, 362436669.3789835, 325961294.8826008]",3.0,0.5,boxcar,64.0,32.0,2490.1891385094655,15.0,,,,,,,,,,,,,,,,CWT,inu.32000013032885,,,93954.19449447305,0.0,-6.0,0.0,0.0,1525.0152850650848,,,43513.3350073158,0.07519122860017263,0.0,5.891745422846549e+19,0.0,,0.015625,0.0,,0.0,2158.3391385094656,0.0,,,,0.0,-1.5,43513.3350073158,210848.58412748808,43513.33500731579,,0.07318065675515928,187942955998.82443,,,187942955998.82443,116490.27254210941,93954.19449447305,0.0,-1.5,0.19999999999999996,,,0.0,256145209730.55164,17.0,,0.0987098186395324,0.22105208327158282,0.7264274582323513,0.5238710736927323,0.7355187635481296,0.32973291437549124,0.8434880145925154,0.014389590475302392,,0.29617048658472667,0.7712276796542283,0.7712276796542283,0.7712052812950483,0.8148704738158445,0.4873700438008409,0.8888888888888891,,0.6666666666666666,0.6440677966101696,0.15405876669582036,0.15405876669582036,0.8787878787878787,2.1580796812839553,0.8410109395934715,3,1.6365241719105,0.7327809268957988,5,0,0,0.6082167007625134,0.9062234101702056,3,1,0.11111111111111112,0.431093159047899,0.7650632019879399,4,0.9574271077563381,0.9316123494459758,3.75,3.582089552238806,0.8318776032944165,1,gaus,7.75,8.0,4.621378891320518,8,0.6458333333333334,1.0,0.24791666666666662,1,1.0
raw,morl,19.988887452679904,0.6738118811881189,587.6349362870152,-31.687335725809316,202,100,27709.958458763496,,False,13.366608305364462,300773.5832291302,0.023390345739400735,3.075284156530414e-07,0.37076272253468984,9,24727.907121059285,0.38227334370458266,95129.23622614334,"[19, 26, 78, 87, 93, 105, 160, 175, 187]","[2847.7185435848587, 95129.23622614334, 1022.3115117659027, 62530.15453235962, 765.2035669532215, 1031.866349535266, 13827.181485389903, 0.38227334370458266, 45397.10960045773]","[0, 0, 61, 61, 92, 104, 131, 131, 131]","[21, 131, 79, 131, 131, 131, 168, 176, 201]",0.05,30,230190027650.84256,60198.53139343379,-60198.53139343379,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CWT,inu.32000013032885,,,59325.53139343379,0.0,-4.0,,0.0,60.61772665629542,,,24332.725302877465,,,,,,,,,,,0.0,,,,0.0,0.5,24332.725302877465,213857.16408953356,24348.468636073816,,,,,,,94262.23622614334,59325.53139343379,0.0,5.0,,,,,,13.0,,0.0,0.03583219560418305,0.9532713156828951,0.48133101593549926,0.6692876513948822,0.3424980361351142,0.8635926184307362,0.009017180406098987,,0.01111299752481327,0.4132779329963013,0.4132779329963013,0.4135143207744753,0.8265502101950942,0.39033103725793517,0.6666666666666667,,0.894736842105263,0.711864406779661,0.03630977719720979,0.03630977719720979,1.0,1.6256462814481252,0.6335198456592249,6,1.6440649157449625,0.7361574204125737,4,0,0,0.48449599180757763,0.721883515134019,5,1,0.11111111111111112,0.4137981961431206,0.7343697441575819,7,1.2909944487358056,0.9077861108045853,5.5,5.266457680250784,0.7574644839737212,2,morl,2.0,2.0,,1,0.16666666666666666,,,6,3.0
raw,gaus2,22.11365273424476,0.6393069306930693,1445.294118212431,-42.82532706994925,202,100,115656.3842917418,,False,13.12668584219563,545214.1991632882,0.03352893216244424,2.054999404612396e-06,0.42061123620818214,4,56167.2001426403,5201.728818431482,143891.61042583056,"[44, 83, 154, 174]","[31691.417760509576, 143891.61042583056, 43884.043565789616, 5201.728818431482]","[0, 0, 131, 168]","[60, 201, 201, 201]",0.05,10,2977362461706.439,155156.18391233135,-155156.18391233135,,,,,,,,,,,,,,,,,,,,0.49504950495049505,23222153.014584765,0.027679434952566567,0.07495484068431,41524486.255054705,5477973863341.136,13.0,2697375.6731373025,0.01485148514851485,"[0.0, 0.0049504950495049506, 0.009900990099009901, 0.01485148514851485, 0.019801980198019802, 0.024752475247524754, 0.0297029702970297, 0.034653465346534656, 0.039603960396039604, 0.04455445544554455, 0.04950495049504951, 0.054455445544554455, 0.0594059405940594, 0.06435643564356436, 0.06930693069306931, 0.07425742574257425, 0.07920792079207921, 0.08415841584158416, 0.0891089108910891, 0.09405940594059406, 0.09900990099009901, 0.10396039603960396, 0.10891089108910891, 0.11386138613861387, 0.1188118811881188, 0.12376237623762376, 0.12871287128712872, 0.13366336633663367, 0.13861386138613863, 0.14356435643564355, 0.1485148514851485, 0.15346534653465346, 0.15841584158415842, 0.16336633663366337, 0.16831683168316833, 0.17326732673267328, 0.1782178217821782, 0.18316831683168316, 0.18811881188118812, 0.19306930693069307, 0.19801980198019803, 0.20297029702970298, 0.2079207920792079, 0.21287128712871287, 0.21782178217821782, 0.22277227722772278, 0.22772277227722773, 0.23267326732673269, 0.2376237623762376, 0.24257425742574257]","[23222153.014584765, 3544698.5899232025, 2598733.3968303236, 2697375.6731373025, 1224233.633442046, 978626.1800344253, 961005.1441218687, 526444.5664458573, 450963.11551104387, 244097.97416039056, 331886.2804499346, 351898.280497685, 209671.3743536755, 134051.017428488, 171180.55713878793, 90599.54004007565, 148139.4993219968, 164648.350031248, 127501.23035799677, 82530.39675478253, 101736.57986599446, 89405.35710484856, 96096.69693008302, 89227.78442966474, 80756.07489263664, 69049.39948902364, 70220.686954703, 68215.47593995575, 61932.54888291443, 68406.02760351253, 78106.52121236043, 65898.7020077077, 48211.9853375146, 52915.33366337995, 58840.025888309094, 55065.41788927562, 47122.88478178837, 46671.54131831531, 53902.121585954505, 45541.72923401837, 53835.199053858494, 50358.98577246887, 40146.24315613713, 42933.22994058228, 43252.029353917314, 44758.64385000275, 39940.88344144106, 40033.87590923361, 36229.37682451896, 40025.618767577216]",3.0,0.7,89206.19541493611,15.0,CWT,inu.32000013032885,0.0,0.0,154283.18391233135,0.0,-15.5,,0.0,5140.728818431482,,2687891.132453089,55772.018324458484,,,,,0.09966987945683121,,,5477855463204.021,,,20.0,0.19999999999999996,23111348.014584765,41183390.00516172,0.0,-6.5,55772.018324458484,215974.8005705612,55772.01832445849,,,,88874.3454149361,1.0,,143024.61042583056,154283.18391233135,0.0,-15.5,,0.01485148514851485,0.0,,,18.0,0.0719659131851532,0.556099985565745,0.26076309828447686,0.2632723395350359,0.22042883143070113,0.9035718961304364,0.20561665357423425,0.9999999999999999,0.05897857354443285,,1.0,0.9999999999999998,0.9999999999999998,1.0,0.8347711769493463,0.6032086968833268,0.9444444444444446,,0.175438596491228,0.47457627118644063,0.3591974265597062,0.3591974265597062,0.303030303030303,2.566054232691824,1.0,1,1.4708607835041236,0.6586023883854845,8,0,0,0.6711553618420418,1.0,1,1,0.11111111111111112,0.4280358667025772,0.7596374098545386,5,3.4034296427770228,0.7568978826587841,3.75,1.7204301075268815,0.7445203699008207,3,gaus,7.75,8.0,4.621378891320518,8,0.6458333333333334,1.0,0.24791666666666662,1,2.5
raw,cgau8,14.295462855001658,0.8395544554455445,897.4615608073657,-33.32884836277173,202,100,36303.84972352687,-425430.17039851006,True,13.8435699699907,402126.92537362815,0.021577358503585525,5.019347334398974e-06,0.24504948816789382,6,27491.456845733588,64.52802697638617,79648.00636252903,"[19, 26, 87, 96, 160, 187]","[301.8957346494208, 79648.00636252903, 37051.408776020755, 64.52802697638617, 9081.472113460924, 38801.43006076501]","[0, 0, 61, 95, 131, 131]","[20, 131, 131, 131, 167, 201]",0.05,30,339106426552.55286,66912.36291270048,-66912.36291270048,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CWT,inu.32000013032885,,,66039.36291270048,0.0,-14.5,,0.0,3.5280269763861725,,,27096.27502755177,,,,,,,,,,,0.0,,,,0.0,-1.0,27096.27502755177,156254.74107440154,27105.073811343223,,,,,,,78781.00636252903,66039.36291270048,0.0,8.0,,,,,,16.0,,0.05434061433451041,0.6423279196280511,0.8515795470469141,1.0000000000000002,0.04151022421313999,1.0,0.5195861102146923,0.029732862836425074,0.9321879732110094,0.0,0.46485147205824523,0.46485147205824523,0.464963296927926,0.6029293910344973,0.32274597735102695,0.8333333333333335,,1.0,0.6610169491525424,0.05913904076857328,0.05913904076857328,0.3636363636363636,1.4770554737893768,0.5756135061260677,7,2.2333061790283377,1.0,1,0,0,0.44138386142411057,0.6576478212327705,7,0,0.0,0.5634739168316379,1.0,1,3.4641016151377544,0.7525641703473033,4.0,1.75,0.7334249423165088,4,cgau,4.0,4.0,,1,0.3333333333333333,,,2,3.5
raw,gaus8,20.345252685049793,0.6810891089108911,739.2395024349075,-34.05663962010682,202,100,36881.90970451161,,False,13.438227854167835,418153.8782396554,0.01858265403306015,1.2865571148759299e-06,0.2647063134783092,6,36022.40258084765,83.99659838754451,116706.66673377194,"[29, 77, 83, 92, 160, 187]","[116706.66673377194, 898.9306751908371, 32195.55605647812, 83.99659838754451, 9728.544217991192, 56520.72120326628]","[0, 61, 61, 91, 131, 131]","[131, 79, 131, 131, 167, 201]",0.05,30,396078164306.3375,79479.99013951914,-79479.99013951914,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CWT,inu.32000013032885,,,78606.99013951914,0.0,-19.0,,0.0,22.99659838754451,,,35627.220762665835,,,,,,,,,,,0.0,,,,0.0,-5.5,35627.220762665835,207440.41548508592,35633.06976291015,,,,,,,115839.66673377194,78606.99013951914,0.0,3.5,,,,,,16.0,,0.05799578444559869,0.1618507735705382,0.8064928517089088,0.5592132470915664,0.708581760744363,0.371366849960723,0.5733757996750629,0.03300862324919059,,0.003789723664985251,0.6240565188055338,0.6240565188055338,0.6241288764912053,0.8016394772056634,0.48452975056059805,0.8333333333333335,,0.8421052631578947,0.5084745762711864,0.10187315966988052,0.10187315966988052,0.09090909090909088,1.7332165045393202,0.6754403248606144,5,1.5748476915021417,0.7051642566033302,6,0,0,0.47006412071206544,0.7003804892833386,6,1,0.11111111111111112,0.40343015575018837,0.7159695306193392,9,1.7320508075688772,0.8762820851736516,6.5,6.206896551724139,0.7059981854439686,5,gaus,7.75,8.0,4.621378891320518,8,0.6458333333333334,1.0,0.24791666666666662,1,4.0
raw,mexh,22.98817627508483,0.6489108910891089,2211.85713007461,-47.07507980909583,202,100,185858.54345379188,,False,13.164957989315958,1030417.0073946065,0.022365103847446496,6.504508491734932e-07,0.2797549870818781,6,41400.721814633755,27.50969331531087,234781.7772747378,"[49, 57, 78, 89, 95, 143]","[27.50969331531087, 2178.537951927574, 55.73699743664474, 234781.7772747378, 412.713523961429, 10948.055446423765]","[0, 0, 0, 0, 94, 132]","[50, 59, 79, 201, 201, 201]",0.05,30,7893041740697.006,263690.5076924305,-263690.5076924305,,,,,,,,,,,,,,,,,,,,0.49504950495049505,37616441.66184081,0.016649706882959345,0.05838701055423385,59360220.84742912,14552553695151.424,11.0,280377.47800392535,0.054455445544554455,"[0.0, 0.0049504950495049506, 0.009900990099009901, 0.01485148514851485, 0.019801980198019802, 0.024752475247524754, 0.0297029702970297, 0.034653465346534656, 0.039603960396039604, 0.04455445544554455, 0.04950495049504951, 0.054455445544554455, 0.0594059405940594, 0.06435643564356436, 0.06930693069306931, 0.07425742574257425, 0.07920792079207921, 0.08415841584158416, 0.0891089108910891, 0.09405940594059406, 0.09900990099009901, 0.10396039603960396, 0.10891089108910891, 0.11386138613861387, 0.1188118811881188, 0.12376237623762376, 0.12871287128712872, 0.13366336633663367, 0.13861386138613863, 0.14356435643564355, 0.1485148514851485, 0.15346534653465346, 0.15841584158415842, 0.16336633663366337, 0.16831683168316833, 0.17326732673267328, 0.1782178217821782, 0.18316831683168316, 0.18811881188118812, 0.19306930693069307, 0.19801980198019803, 0.20297029702970298, 0.2079207920792079, 0.21287128712871287, 0.21782178217821782, 0.22277227722772278, 0.22772277227722773, 0.23267326732673269, 0.2376237623762376, 0.24257425742574257]","[37616441.66184081, 8488354.271689853, 2955437.5894123334, 2380456.48437186, 1080772.6116618782, 815499.3633227497, 797053.490551143, 458163.68083133805, 371131.56631324877, 225233.46302987082, 270455.4051119311, 280377.47800392535, 177552.1943528084, 118866.6234212733, 135063.92039244567, 79506.38054486646, 119500.29204512977, 137630.14278672813, 103810.0597158858, 67321.33893225425, 82849.5483579804, 70884.59487848544, 80258.08878306886, 74618.27568745034, 66078.5901800909, 55904.24587600621, 57040.36842660016, 55648.570190225895, 48510.308683568015, 55786.85407002859, 56165.8675686055, 52391.040853860984, 39497.393140069915, 42932.69766294502, 46574.18737372032, 44789.158740742896, 38833.37491471378, 33733.48625896064, 46989.246411710716, 39307.59911952266, 44331.347559430906, 39364.060199926425, 29470.42884855842, 34619.18257519835, 39776.79435160565, 42238.864176389136, 26539.637853098167, 33196.260773206275, 35025.71069750624, 41694.92798539564]",3.0,0.5,111490.9926562123,15.0,CWT,inu.32000013032885,0.0,0.0,262817.5076924305,0.0,-14.5,,0.0,33.49030668468913,,270892.93731971184,41005.53999645194,,,,,0.11069960752643844,,,14552435295014.309,,,0.0,0.0,37505636.66184081,59019124.59753613,0.0,-1.0,41005.53999645194,239710.33088780253,41068.88200862552,,,,111159.1426562123,3.0,,233914.7772747378,262817.5076924305,0.0,-10.0,,0.024752475247524754,0.0,,,16.0,0.08853374331522937,1.0,0.0799724720427708,0.0,0.262047638846645,1.0,0.2437156323644935,0.6145555663537414,0.15814952417073186,,0.005832413589544793,0.7244270511736324,0.7244270511736324,0.7255822790725572,0.9269158898784944,1.0,0.8333333333333335,,0.36842105263157887,0.6610169491525424,0.7282502806572747,0.7282502806572747,0.3636363636363636,2.417843101943985,0.9422416218411864,2,1.3615838501917406,0.6096718233162887,10,0,0,0.6491744120796857,0.9672490886431607,2,1,0.11111111111111112,0.41424954866674224,0.7351707617559822,6,3.8297084310253524,0.7264493977839034,5.0,3.157894736842105,0.684653270320523,6,mexh,6.0,6.0,,1,0.5,,,5,5.75
raw,gaus6,20.33535827720172,0.6835643564356436,744.9123963657374,-34.499387388453286,202,100,38035.74513473003,,False,13.443890362034045,382367.5940970392,0.016843850572583176,1.471917246023256e-06,0.25961709387841014,5,43784.45617669386,1879.890871216949,126136.7307703836,"[29, 74, 82, 160, 184]","[126136.7307703836, 22414.70596469839, 1879.890871216949, 8566.424599691505, 59924.52867747883]","[0, 61, 79, 131, 131]","[131, 131, 131, 167, 201]",0.05,30,439369369198.12524,86319.17960415584,-86319.17960415584,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CWT,inu.32000013032885,,,85446.17960415584,0.0,-10.5,,0.0,1818.890871216949,,,43389.27435851204,,,,,,,,,,,0.0,,,,0.0,-1.5,43389.27435851204,210228.28088346927,43389.27435851203,,,,,,,125269.7307703836,85446.17960415584,0.0,3.0,,,,,,17.0,,0.06529167919075052,0.18570995171044807,0.7790646110673374,0.5653709059141598,0.707490767828626,0.38118617439120217,0.5594494642902155,0.025694238918351868,,0.3533758787976764,0.7689124520105917,0.7689124520105917,0.7688898269749488,0.8124623681790553,0.5256977616588834,0.8888888888888891,,0.8245614035087718,0.6440677966101696,0.12512868201276722,0.12512868201276722,0.606060606060606,2.1407893174417896,0.8342728264149251,4,1.5657020438220626,0.701069140686865,7,0,0,0.6010072332271432,0.8954815343762267,4,1,0.11111111111111112,0.40310166860833085,0.7153865628331734,10,2.8722813232690143,0.7948370483379276,6.25,5.384615384615385,0.674204238454678,7,gaus,7.75,8.0,4.621378891320518,8,0.6458333333333334,1.0,0.24791666666666662,1,5.5
raw,cmor,18.947287442274465,0.6825742574257426,872.5752400881621,-36.88718480944751,202,100,58192.43371363903,-503834.02482464147,True,13.651180431745512,256656.215918068,0.02532360096509356,7.798074385964208e-06,0.22342884054669318,7,16553.838457296257,155.2015054491785,49415.55282763248,"[31, 43, 74, 84, 109, 156, 179]","[49415.55282763248, 344.8643155503378, 895.4273259237234, 18035.978834980153, 155.2015054491785, 8810.838731661075, 38219.00565987686]","[0, 42, 62, 62, 108, 131, 131]","[131, 131, 76, 131, 131, 168, 201]",0.05,20,764908067265.3185,90778.69484082761,-90778.69484082761,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CWT,inu.32000013032885,,,89905.69484082761,0.0,-9.5,,0.0,94.20150544917851,,,16158.656639114439,,,,,,,,,,,10.0,,,,0.0,-5.0,16158.656639114439,107182.8692010738,16158.65663911444,,,,,,,48548.55282763248,89905.69484082761,0.0,4.0,,,,,,15.0,,0.1927457982367265,1.0,0.6311404724297761,0.7907871979093632,0.5544370964316256,0.37725844461901054,0.4604225421862237,0.0,0.3564716731722739,0.017650366834719218,0.26073294863736146,0.26073294863736146,0.26066056938745374,0.41242538770160464,0.19076278213401757,0.7777777777777779,,0.8596491228070176,0.5254237288135593,0.14029251930095865,0.14029251930095865,0.6666666666666665,1.1805958722937655,0.4600821982843696,11,1.8867812340903813,0.8448376903301625,3,0,0,0.37608894483328803,0.5603604861340608,9,0,0.0,0.4848070249983332,0.8603894705976074,2,4.425306015783918,0.6839067131582915,6.25,3.863414634146341,0.6187390708648601,8,cmor,8.0,8.0,,1,0.6666666666666666,,,3,6.75
raw,gaus7,20.383587969590227,0.6810891089108911,765.2908453726094,-34.73471872268282,202,100,37894.35943305705,,False,13.458512743526896,472579.27054685564,0.017576729849459787,8.694920504383922e-07,0.16910828874399395,7,23596.775271307026,41.76097891343852,132021.4248208469,"[52, 78, 91, 101, 111, 140, 166]","[132021.4248208469, 1002.2913186668429, 619.8236267561188, 20270.563673298206, 41.76097891343852, 380.37083701875235, 10841.19164364893]","[6, 69, 69, 69, 110, 139, 141]","[141, 80, 92, 141, 141, 141, 170]",0.05,20,457727762431.4499,110550.99748658722,-110550.99748658722,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CWT,inu.32000013032885,,,109677.99748658722,0.0,-18.5,,0.0,19.23902108656148,,,23201.593453125206,,,,,,,,,,,10.0,,,,0.0,-18.5,23201.593453125206,156483.42689914917,23213.038368240857,,,,,,,131154.4248208469,109677.99748658722,0.0,-18.5,,,,,,15.0,,0.06439767371054071,0.10816700885395425,0.7644858261987963,0.5812719233668805,0.7128087467852228,0.371366849960723,0.3117777042410559,0.044132668291281756,,0.0030582791578456538,0.3921686791563755,0.3921686791563755,0.3923227749928293,0.6038171820124402,0.5513880590989562,0.7777777777777779,,0.07017543859649117,0.06779661016949146,0.20752493453471416,0.20752493453471416,0.12121212121212119,1.3636788583387451,0.5314302562141208,8,1.4484121245619022,0.6485506278373682,9,0,0,0.3155779558666777,0.47020105002297485,10,1,0.11111111111111112,0.3642454946205013,0.6464283150294166,11,1.2909944487358056,0.9077861108045853,9.5,9.367238320520402,0.6146073411165783,9,gaus,7.75,8.0,4.621378891320518,8,0.6458333333333334,1.0,0.24791666666666662,1,7.0
raw,gaus5,20.49538569129247,0.6760891089108911,743.3814501718401,-35.443324462882586,202,100,38472.04986671674,,False,13.300917079216877,522317.206280451,0.018712580334317646,9.520273251395673e-07,0.1678501224899266,7,20000.354332465253,54.44188774092618,106270.68175521716,"[53, 79, 91, 101, 111, 140, 166]","[106270.68175521716, 752.574689771227, 625.1768369514612, 23991.699089893584, 54.44188774092618, 85.56116003543139, 8222.344907646984]","[6, 69, 69, 69, 110, 139, 139]","[139, 80, 92, 139, 139, 141, 170]",0.05,20,538881867631.05316,130631.05553221327,-130631.05553221327,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CWT,inu.32000013032885,,,129758.05553221327,0.0,-18.5,,0.0,6.558112259073823,,,19605.172514283433,,,,,,,,,,,10.0,,,,0.0,-18.5,19605.172514283433,131308.48032725678,19635.587227905777,,,,,,,105403.68175521716,129758.05553221327,0.0,-18.5,,,,,,15.0,,0.06805050711197679,0.11879078112759692,0.7205876743576585,0.409895502235212,0.7251359647699195,0.351531814611155,0.308334809926889,0.05429864071603088,,0.0005898319738110516,0.32505204502582485,0.32505204502582485,0.3255536199246769,0.5060844499492083,0.4389702778199386,0.7777777777777779,,0.07017543859649117,0.06779661016949146,0.2758038206426492,0.2758038206426492,0.12121212121212119,1.2248738949568079,0.47733749324226066,10,1.3415868306906629,0.6007178251189712,12,0,0,0.29248932156337204,0.4357997241661166,12,1,0.11111111111111112,0.33902265630149914,0.6016652167464864,12,1.0,0.9285714285714286,11.5,11.428571428571429,0.5535714285714286,10,gaus,7.75,8.0,4.621378891320518,8,0.6458333333333334,1.0,0.24791666666666662,1,7.75
