signal_type,wavelet,wavelet_energy_entropy,wavelet_sparsity,wavelet_adaptive_threshold,wavelet_psnr,signal_length,decomposition_levels,original_level,padded,emd_value,kl_divergence,wavelet_entropy,avg_variance_across_levels,variance_ratio_across_levels,smoothness,correlation,relative_num_peaks,avg_prominence,prominence_min,prominence_max,relative_peaks,relative_prominences,relative_left_bases,relative_right_bases,prominence_threshold,distance_factor,max_autocorrelation,upper_envelope,lower_envelope,wavelet_type,htid,avg_prominence_diff,prominence_max_diff,upper_envelope_diff,relative_left_bases_array_alignment_score,relative_left_bases_global_alignment_score,relative_right_bases_array_alignment_score,relative_right_bases_global_alignment_score,relative_prominences_avg_diff,relative_prominences_total_diff,relative_prominences_wasserstein,lower_envelope_diff,relative_peaks_array_alignment_score,relative_peaks_global_alignment_score,max_autocorrelation_diff,prominence_threshold_diff,relative_num_peaks_diff,prominence_min_diff,distance_factor_diff,emd_value_normalized,wavelet_psnr_normalized,wavelet_entropy_normalized,wavelet_energy_entropy_normalized,wavelet_sparsity_normalized,correlation_normalized,avg_variance_across_levels_normalized,kl_divergence_normalized,prominence_min_diff_normalized,avg_prominence_diff_normalized,relative_prominences_avg_diff_normalized,relative_prominences_wasserstein_normalized,relative_prominences_total_diff_normalized,prominence_max_diff_normalized,relative_num_peaks_diff_normalized,max_autocorrelation_diff_normalized,relative_right_bases_global_alignment_score_normalized,relative_right_bases_array_alignment_score_normalized,relative_left_bases_global_alignment_score_normalized,relative_left_bases_array_alignment_score_normalized,upper_envelope_diff_normalized,lower_envelope_diff_normalized,relative_peaks_array_alignment_score_normalized,relative_peaks_global_alignment_score_normalized,reconstruction_signal_weighted_score,reconstruction_signal_normalized_weighted_score,reconstruction_signal_normalized_weighted_rank,wavelet_signal_weighted_score,wavelet_signal_normalized_weighted_score,wavelet_signal_normalized_weighted_rank,reconstruction_signal_num_missing_metrics,reconstruction_signal_missing_metrics_count,reconstruction_signal_dynamically_weighted_score,reconstruction_signal_normalized_dynamically_weighted_score,reconstruction_signal_normalized_dynamically_weighted_rank,wavelet_signal_num_missing_metrics,wavelet_signal_missing_metrics_count,wavelet_signal_dynamically_weighted_score,wavelet_signal_normalized_dynamically_weighted_score,wavelet_signal_normalized_dynamically_weighted_rank,rank_variability,normalized_rank_stability,average_rank,harmonic_average_rank,stability_score_weighted,stability_rank,wavelet_family,normalized_family_mean_rank,normalized_family_std_dev,final_family_stability_score,final_family_stability_rank,family_informed_rank,smoothness_normalized,across_emd_value_normalized,across_smoothness_normalized,across_wavelet_psnr_normalized,across_wavelet_entropy_normalized,across_wavelet_energy_entropy_normalized,across_wavelet_sparsity_normalized,across_correlation_normalized,across_avg_variance_across_levels_normalized,across_kl_divergence_normalized,across_prominence_min_diff_normalized,across_avg_prominence_diff_normalized,across_relative_prominences_avg_diff_normalized,across_relative_prominences_wasserstein_normalized,across_relative_prominences_total_diff_normalized,across_prominence_max_diff_normalized,across_relative_num_peaks_diff_normalized,across_max_autocorrelation_diff_normalized,across_relative_right_bases_global_alignment_score_normalized,across_relative_right_bases_array_alignment_score_normalized,across_relative_left_bases_global_alignment_score_normalized,across_relative_left_bases_array_alignment_score_normalized,across_upper_envelope_diff_normalized,across_lower_envelope_diff_normalized,across_relative_peaks_array_alignment_score_normalized,across_relative_peaks_global_alignment_score_normalized,across_reconstruction_signal_weighted_score,across_reconstruction_signal_normalized_weighted_score,across_reconstruction_signal_normalized_weighted_rank,across_wavelet_signal_weighted_score,across_wavelet_signal_normalized_weighted_score,across_wavelet_signal_normalized_weighted_rank,across_rank_variability,across_normalized_rank_stability,across_average_rank,across_harmonic_average_rank,across_stability_score_weighted,across_stability_rank,family_mean_stability_rank,family_median_stability_rank,family_rank_std_dev,family_wavelet_count,across_normalized_family_mean_rank,across_normalized_family_std_dev,across_final_family_stability_score,across_final_family_stability_rank,across_family_informed_rank,across_top_wavelet_rank
raw,bior1.5,18409222.370888043,0.6427038626609443,240.9123881273974,10.599202369620379,932,2,False,False,341.61768090899176,,10.538187739717959,207159.51463775436,0.6363370966218,1.0808104399265276e-06,0.9218841159770899,19,3147.1488053205712,1766.6076184651838,4176.925518301329,"[4, 41, 79, 119, 153, 208, 260, 316, 373, 430, 486, 541, 597, 651, 700, 758, 816, 872, 924]","[1886.0329859978513, 2831.989533812679, 3871.5660505565565, 1766.6076184651838, 2607.2431446255164, 3584.4740881324196, 2782.118090665318, 3353.2822989433566, 2853.4876970143996, 3965.7610267743667, 3604.5991228000057, 3841.1301099152793, 3295.0517320084946, 3420.9093332369707, 2807.0766186772935, 4176.925518301329, 3545.279525563863, 3793.8179845485265, 1808.4748210514435]","[1, 38, 38, 113, 138, 138, 242, 297, 350, 350, 461, 461, 555, 555, 681, 350, 770, 770, 922]","[10, 76, 350, 121, 165, 350, 272, 350, 384, 555, 494, 555, 627, 681, 710, 770, 825, 877, 931]",0.05,30,604658758.4063177,2430.226883984301,-2430.226883984301,SWT,mdp.39015056038394,2069.9213870972635,2646.323940597753,889.2268839843009,0.0,-5.5,0.0,-5.5,2091.9821386539043,34471.82730109085,2091.9821386539047,889.2268839843009,0.0,17.0,141808275.4063177,0.0,4.0,1758.4076768986497,0.0,0.9315428092014173,0.7343766692057012,0.5857167807987611,0.13386131155794753,0.07894736842105288,0.9823133537875185,0.2805729666022707,,1.0,0.7805457977420397,0.7805457977420396,0.7762274885074586,0.6241812233497711,0.7153152989802225,1.0,0.49906579615790303,0.27272727272727276,0.0,0.4594594594594594,0.0,0.44582474355010554,0.44582474355010554,0.0,0.5206611570247933,2.676157686485084,0.8669221273651866,2,1.6166113659865369,0.9072319655054392,17,0,0,0.5200236736744482,0.9154136013045407,2,0,0,0.5324758942249529,0.942961467171761,7,7.0710678118654755,0.9332918130956087,7.0,3.3286713286713288,0.9336270386232761,4,bior,0.5471550671550671,1.0,0.316991452991453,3,3.75,,0.9331605832464802,0.01181195248722211,0.48046803276230254,0.7080106005669367,0.3154881705844282,0.3636363636363645,0.9651964884230924,0.4066028230198102,,1.0,0.793670247461224,0.7961090660080439,0.7955908714551466,0.645261703809318,0.7336593350114053,1.0,0.4768563710996508,0.18947368421052632,0.0,0.2537313432835821,0.0,0.4518582156836428,0.4518582156836428,0.0,0.4736842105263157,2.6633003915656426,0.8718633395787905,2,1.7776962359848816,0.959911900353777,7,3.5355339059327378,0.9833229532739022,4.5,3.1111111111111116,0.9810482690897813,1,85.93333333333334,63.0,73.36161419149397,30,0.639608873321658,1.0,0.2522737886748394,4,1.75,1
raw,rbio1.1,16964304.652909882,0.6453862660944206,235.09100119944648,11.493510337319542,932,2,False,False,309.4733229018226,,10.581096632592576,181689.98133043974,0.6102114257084749,1.0418661895534145e-06,0.9296351430143535,21,2754.7778729397282,926.1667737638709,4062.762670971708,"[4, 40, 79, 119, 153, 208, 260, 292, 346, 390, 430, 485, 541, 597, 630, 678, 719, 758, 816, 872, 924]","[1603.3907868397878, 2673.885349124963, 3348.395540250731, 1435.6941626373948, 2602.702137703498, 3055.5036413538337, 2585.412977486651, 3767.0909188749583, 2843.0701209045305, 926.1667737638709, 3916.5118559437315, 3324.8654874754243, 3610.3178498714196, 2870.9081321803214, 2094.341496487787, 3212.0705079854724, 1288.7784579915242, 4062.762670971708, 3292.186901961014, 3582.2391945689005, 1754.040367356772]","[1, 38, 38, 117, 138, 138, 258, 38, 326, 384, 38, 461, 494, 574, 628, 628, 711, 38, 770, 770, 904]","[10, 76, 138, 121, 165, 272, 272, 350, 350, 399, 711, 494, 711, 628, 633, 711, 727, 770, 825, 877, 930]",0.05,30,540010635.3134305,2384.3785138633802,-2384.3785138633802,SWT,mdp.39015056038394,1677.5504547164205,2532.1610932681315,843.3785138633802,0.0,-9.0,0.0,-4.5,1699.6112062730615,32526.33533173429,1699.6112062730615,843.3785138633802,0.0,27.0,77160152.31343055,0.0,2.0,917.9668321973367,0.0,0.8279323660552161,0.8387138150433548,0.6620405816277822,0.09519119401162811,0.12280701754385945,0.9891811371685972,0.151852575141762,,0.5211114663970452,0.6001781804605152,0.6001781804605153,0.5923106881193345,0.5793793714432953,0.6757732099074185,0.5,0.26426762497248235,0.30303030303030304,0.0,0.2702702702702702,0.0,0.42224919561663754,0.42224919561663754,0.0,0.6859504132231404,2.0172634760141612,0.6534780640595242,7,1.6357601786039702,0.9179781567506108,10,0,0,0.4023092562198496,0.7081973066190033,8,0,0,0.5268169552274573,0.9329400530991465,11,1.8257418583505538,0.98277602020424,9.0,8.719037508846425,0.9489351799134408,1,rbio,0.2673504273504273,0.3662280894980271,0.7029862740052928,1,1.0,,0.8319986525759451,0.010333798143436324,0.5487309083502102,0.7618040919120188,0.2849270684669845,0.3939393939393945,0.9716477388338656,0.3004317822240393,,0.5216970465006496,0.6240895082600648,0.6285327718607774,0.6275886774352287,0.6029728837744377,0.6966651928570744,0.5,0.25250718765673485,0.21052631578947367,0.0,0.1492537313432836,0.0,0.4285393418074048,0.4285393418074048,0.0,0.6240601503759398,2.028850804872565,0.6641686547432453,4,1.7717114264143619,0.9566802515423533,8,2.8284271247461903,0.9866583626191218,6.0,5.333333333333333,0.9791782379133345,2,64.7,37.5,59.885609347292714,30,0.4815674255691769,0.8163071383758653,0.4180106605888166,3,2.25,2
raw,haar,16964304.652909882,0.6453862660944206,235.09100119944648,11.493510337319542,932,2,False,False,309.4733229018226,,10.581096632592576,181689.98133043974,0.6102114257084749,1.0418661895534145e-06,0.9296351430143535,21,2754.7778729397282,926.1667737638709,4062.762670971708,"[4, 40, 79, 119, 153, 208, 260, 292, 346, 390, 430, 485, 541, 597, 630, 678, 719, 758, 816, 872, 924]","[1603.3907868397878, 2673.885349124963, 3348.395540250731, 1435.6941626373948, 2602.702137703498, 3055.5036413538337, 2585.412977486651, 3767.0909188749583, 2843.0701209045305, 926.1667737638709, 3916.5118559437315, 3324.8654874754243, 3610.3178498714196, 2870.9081321803214, 2094.341496487787, 3212.0705079854724, 1288.7784579915242, 4062.762670971708, 3292.186901961014, 3582.2391945689005, 1754.040367356772]","[1, 38, 38, 117, 138, 138, 258, 38, 326, 384, 38, 461, 494, 574, 628, 628, 711, 38, 770, 770, 904]","[10, 76, 138, 121, 165, 272, 272, 350, 350, 399, 711, 494, 711, 628, 633, 711, 727, 770, 825, 877, 930]",0.05,30,540010635.3134305,2384.3785138633802,-2384.3785138633802,SWT,mdp.39015056038394,1677.5504547164205,2532.1610932681315,843.3785138633802,0.0,-9.0,0.0,-4.5,1699.6112062730615,32526.33533173429,1699.6112062730615,843.3785138633802,0.0,27.0,77160152.31343055,0.0,2.0,917.9668321973367,0.0,0.8279323660552161,0.8387138150433548,0.6620405816277822,0.09519119401162811,0.12280701754385945,0.9891811371685972,0.151852575141762,,0.5211114663970452,0.6001781804605152,0.6001781804605153,0.5923106881193345,0.5793793714432953,0.6757732099074185,0.5,0.26426762497248235,0.30303030303030304,0.0,0.2702702702702702,0.0,0.42224919561663754,0.42224919561663754,0.0,0.6859504132231404,2.0172634760141612,0.6534780640595242,6,1.6357601786039702,0.9179781567506108,11,0,0,0.4023092562198496,0.7081973066190033,5,0,0,0.5268169552274573,0.9329400530991465,13,3.8622100754188224,0.9635640558922752,8.75,7.483645878761446,0.9405084430404773,3,haar,0.03736263736263736,,,7,4.0,,0.8319986525759451,0.010333798143436324,0.5487309083502102,0.7618040919120188,0.2849270684669845,0.3939393939393945,0.9716477388338656,0.3004317822240393,,0.5216970465006496,0.6240895082600648,0.6285327718607774,0.6275886774352287,0.6029728837744377,0.6966651928570744,0.5,0.25250718765673485,0.21052631578947367,0.0,0.1492537313432836,0.0,0.4285393418074048,0.4285393418074048,0.0,0.6240601503759398,2.028850804872565,0.6641686547432453,5,1.7717114264143619,0.9566802515423533,9,2.8284271247461903,0.9866583626191218,7.0,6.428571428571429,0.9768197473472967,3,17.0,17.0,19.79898987322333,2,0.1265323992994746,0.2698821460163421,0.8304626766854651,1,2.5,3
raw,db1,16964304.652909882,0.6453862660944206,235.09100119944648,11.493510337319542,932,2,False,False,309.4733229018226,,10.581096632592576,181689.98133043974,0.6102114257084749,1.0418661895534145e-06,0.9296351430143535,21,2754.7778729397282,926.1667737638709,4062.762670971708,"[4, 40, 79, 119, 153, 208, 260, 292, 346, 390, 430, 485, 541, 597, 630, 678, 719, 758, 816, 872, 924]","[1603.3907868397878, 2673.885349124963, 3348.395540250731, 1435.6941626373948, 2602.702137703498, 3055.5036413538337, 2585.412977486651, 3767.0909188749583, 2843.0701209045305, 926.1667737638709, 3916.5118559437315, 3324.8654874754243, 3610.3178498714196, 2870.9081321803214, 2094.341496487787, 3212.0705079854724, 1288.7784579915242, 4062.762670971708, 3292.186901961014, 3582.2391945689005, 1754.040367356772]","[1, 38, 38, 117, 138, 138, 258, 38, 326, 384, 38, 461, 494, 574, 628, 628, 711, 38, 770, 770, 904]","[10, 76, 138, 121, 165, 272, 272, 350, 350, 399, 711, 494, 711, 628, 633, 711, 727, 770, 825, 877, 930]",0.05,30,540010635.3134305,2384.3785138633802,-2384.3785138633802,SWT,mdp.39015056038394,1677.5504547164205,2532.1610932681315,843.3785138633802,0.0,-9.0,0.0,-4.5,1699.6112062730615,32526.33533173429,1699.6112062730615,843.3785138633802,0.0,27.0,77160152.31343055,0.0,2.0,917.9668321973367,0.0,0.8279323660552161,0.8387138150433548,0.6620405816277822,0.09519119401162811,0.12280701754385945,0.9891811371685972,0.151852575141762,,0.5211114663970452,0.6001781804605152,0.6001781804605153,0.5923106881193345,0.5793793714432953,0.6757732099074185,0.5,0.26426762497248235,0.30303030303030304,0.0,0.2702702702702702,0.0,0.42224919561663754,0.42224919561663754,0.0,0.6859504132231404,2.0172634760141612,0.6534780640595242,5,1.6357601786039702,0.9179781567506108,12,0,0,0.4023092562198496,0.7081973066190033,6,0,0,0.5268169552274573,0.9329400530991465,12,3.774917217635375,0.9643875734185342,8.75,7.5,0.9409202018036067,2,db,0.7334875650665124,0.5170992923304424,0.33142891675430863,2,2.0,,0.8319986525759451,0.010333798143436324,0.5487309083502102,0.7618040919120188,0.2849270684669845,0.3939393939393945,0.9716477388338656,0.3004317822240393,,0.5216970465006496,0.6240895082600648,0.6285327718607774,0.6275886774352287,0.6029728837744377,0.6966651928570744,0.5,0.25250718765673485,0.21052631578947367,0.0,0.1492537313432836,0.0,0.4285393418074048,0.4285393418074048,0.0,0.6240601503759398,2.028850804872565,0.6641686547432453,6,1.7717114264143619,0.9566802515423533,10,2.8284271247461903,0.9866583626191218,8.0,7.5,0.9744612567812589,4,122.19736842105263,118.0,46.61731287460835,76,0.9095250714351554,0.6354455717526111,0.1726987784696079,5,4.25,4
raw,bior1.1,16964304.652909882,0.6453862660944206,235.09100119944648,11.493510337319542,932,2,False,False,309.4733229018226,,10.581096632592576,181689.98133043974,0.6102114257084749,1.0418661895534145e-06,0.9296351430143535,21,2754.7778729397282,926.1667737638709,4062.762670971708,"[4, 40, 79, 119, 153, 208, 260, 292, 346, 390, 430, 485, 541, 597, 630, 678, 719, 758, 816, 872, 924]","[1603.3907868397878, 2673.885349124963, 3348.395540250731, 1435.6941626373948, 2602.702137703498, 3055.5036413538337, 2585.412977486651, 3767.0909188749583, 2843.0701209045305, 926.1667737638709, 3916.5118559437315, 3324.8654874754243, 3610.3178498714196, 2870.9081321803214, 2094.341496487787, 3212.0705079854724, 1288.7784579915242, 4062.762670971708, 3292.186901961014, 3582.2391945689005, 1754.040367356772]","[1, 38, 38, 117, 138, 138, 258, 38, 326, 384, 38, 461, 494, 574, 628, 628, 711, 38, 770, 770, 904]","[10, 76, 138, 121, 165, 272, 272, 350, 350, 399, 711, 494, 711, 628, 633, 711, 727, 770, 825, 877, 930]",0.05,30,540010635.3134305,2384.3785138633802,-2384.3785138633802,SWT,mdp.39015056038394,1677.5504547164205,2532.1610932681315,843.3785138633802,0.0,-9.0,0.0,-4.5,1699.6112062730615,32526.33533173429,1699.6112062730615,843.3785138633802,0.0,27.0,77160152.31343055,0.0,2.0,917.9668321973367,0.0,0.8279323660552161,0.8387138150433548,0.6620405816277822,0.09519119401162811,0.12280701754385945,0.9891811371685972,0.151852575141762,,0.5211114663970452,0.6001781804605152,0.6001781804605153,0.5923106881193345,0.5793793714432953,0.6757732099074185,0.5,0.26426762497248235,0.30303030303030304,0.0,0.2702702702702702,0.0,0.42224919561663754,0.42224919561663754,0.0,0.6859504132231404,2.0172634760141612,0.6534780640595242,4,1.6357601786039702,0.9179781567506108,13,0,0,0.4023092562198496,0.7081973066190033,7,0,0,0.5268169552274573,0.9329400530991465,14,4.795831523312719,0.9547563063838422,9.5,7.390862944162437,0.9325668324372041,6,bior,0.5471550671550671,1.0,0.316991452991453,3,5.25,,0.8319986525759451,0.010333798143436324,0.5487309083502102,0.7618040919120188,0.2849270684669845,0.3939393939393945,0.9716477388338656,0.3004317822240393,,0.5216970465006496,0.6240895082600648,0.6285327718607774,0.6275886774352287,0.6029728837744377,0.6966651928570744,0.5,0.25250718765673485,0.21052631578947367,0.0,0.1492537313432836,0.0,0.4285393418074048,0.4285393418074048,0.0,0.6240601503759398,2.028850804872565,0.6641686547432453,7,1.7717114264143619,0.9566802515423533,11,2.8284271247461903,0.9866583626191218,9.0,8.555555555555555,0.9721027662152213,5,85.93333333333334,63.0,73.36161419149397,30,0.639608873321658,1.0,0.2522737886748394,4,4.75,5
raw,bior1.3,17904773.305069022,0.6421673819742489,237.51010515956153,10.890830619771902,932,2,False,False,331.40298291018735,,10.550395993630634,200033.30383549223,0.6292948223434637,1.0815389154186056e-06,0.926760452786149,20,2976.24746210802,996.8435376180316,4151.334883166353,"[4, 40, 79, 119, 153, 208, 260, 292, 346, 390, 430, 485, 541, 597, 651, 700, 758, 816, 872, 924]","[1833.6562358214583, 2743.930028012511, 3844.634283094905, 1654.45706386853, 2613.9771332167793, 3092.376878118693, 2729.1452871267647, 3532.74502536402, 3022.839118790075, 996.8435376180316, 3885.6312759008806, 3495.231918946773, 3747.803046077065, 3169.8477125314657, 3272.2668921701033, 2745.4049190299543, 4151.334883166353, 3471.2166231512624, 3755.5958187202923, 1766.0115614344845]","[1, 38, 38, 113, 138, 138, 258, 138, 326, 384, 350, 461, 461, 555, 555, 682, 350, 770, 770, 922]","[10, 76, 350, 121, 165, 272, 272, 350, 350, 397, 555, 494, 555, 627, 711, 711, 770, 825, 877, 930]",0.05,30,584676133.7439343,2412.506562190585,-2412.506562190585,SWT,mdp.39015056038394,1899.0200438847123,2620.733305462777,871.5065621905851,0.0,-5.0,0.0,-0.5,1921.0807954413533,34200.9492421604,1921.0807954413538,871.5065621905851,0.0,22.0,121825650.74393427,0.0,3.0,988.6435960514974,0.0,0.8986179212311958,0.7684003616756702,0.6074321008100196,0.12036081638881886,0.07017543859649089,0.9866340231306643,0.24455783302956996,,0.5613835355323216,0.7019847588841956,0.7019847588841958,0.6961205651047412,0.6179432954261059,0.7064515819513788,0.75,0.4264900816321934,0.42424242424242425,0.0,0.4864864864864864,0.0,0.436712831943599,0.436712831943599,0.0,0.6033057851239669,2.3603037459015996,0.7646035041053769,3,1.61506896987687,0.90636638266741,18,0,0,0.47186368357220054,0.8306360955675826,3,0,0,0.5280254992660615,0.9350802635239632,10,7.14142842854285,0.932628033692992,8.5,4.864864864864865,0.9262196772238545,7,bior,0.5471550671550671,1.0,0.316991452991453,3,6.0,,0.9010137732045737,0.01183960224816602,0.5027281307118149,0.7233156936885197,0.3048186914703398,0.357575757575758,0.9692551079700599,0.37689685201998246,,0.5619198713530463,0.7198075483652437,0.7231194243274726,0.7224157245439291,0.639373674629071,0.7253667633372818,0.75,0.407510420875997,0.2947368421052632,0.0,0.26865671641791045,0.0,0.44284550819013346,0.44284550819013346,0.0,0.5488721804511278,2.3475561952166784,0.7685006883535562,3,1.771051170668661,0.9563237298066676,12,6.363961030678928,0.9699813158930239,7.5,4.800000000000001,0.9673019787012289,6,85.93333333333334,63.0,73.36161419149397,30,0.639608873321658,1.0,0.2522737886748394,4,5.5,6
raw,rbio2.2,19924528.3146366,0.6528969957081545,284.9603663108324,11.317138774252442,932,2,False,False,176.65293321054088,,10.720236422199166,170993.1201976011,0.5820798770520612,1.0664424406625291e-06,0.6843168922825035,22,2403.522814620288,232.600740586089,4115.4746958892865,"[4, 37, 79, 111, 144, 185, 240, 293, 347, 395, 431, 486, 542, 597, 630, 679, 720, 759, 791, 838, 873, 909]","[1131.8928952708134, 3134.0050689451664, 3223.680005570279, 232.600740586089, 2004.0381460351832, 2567.3933550058246, 2133.500046848171, 3181.8423637635083, 2857.13491641578, 1488.6818644083605, 4115.4746958892865, 2676.71870205102, 3536.6099874422257, 2280.0141118611828, 1308.600408354966, 3475.6250371127926, 1202.2579490836715, 3444.7764874708037, 2800.2102049122404, 1358.0510199667838, 3085.205093021197, 1639.188821630992]","[2, 2, 39, 109, 114, 170, 218, 39, 315, 384, 39, 484, 484, 574, 629, 629, 712, 629, 771, 827, 771, 905]","[14, 39, 258, 114, 170, 258, 258, 315, 351, 400, 629, 495, 629, 629, 649, 712, 728, 771, 827, 843, 905, 922]",0.05,30,341439296.95366454,2383.6678795498437,-2383.6678795498437,SWT,mdp.39015056038394,1326.2953963969803,2584.87311818571,842.6678795498437,0.0,-8.5,0.0,-13.0,1348.3561479536213,27553.50192164634,1348.3561479536215,842.6678795498437,0.0,23.0,121411186.04633546,0.0,1.0,224.40079901955477,0.0,0.39981432954953805,0.8181368928174564,0.9095342100547996,0.17441521870041554,0.24561403508771895,0.7718173481698329,0.09779174348835055,,0.1259131336656477,0.4387109750721541,0.4387109750721542,0.427666212407888,0.4648622469814453,0.6940308447969956,0.25,0.42498477028885717,0.045454545454545456,0.0,0.2972972972972972,0.0,0.42188378255445536,0.42188378255445536,0.0,0.6198347107438016,1.648234959344729,0.5339339174850856,15,1.5988903996313037,0.8972870724560804,20,0,0,0.3169520798056061,0.5579404544521805,23,0,0,0.48816053969544465,0.8644834136512236,23,3.774917217635375,0.9643875734185342,20.25,19.644128113879002,0.8866749187847388,14,rbio,0.2673504273504273,0.3662280894980271,0.7029862740052928,1,10.75,,0.41399786218572543,0.011266605733333795,0.5352683982287033,0.9362391464315971,0.34753803689160356,0.4787878787878791,0.767467124033333,0.25584137430340625,,0.12698195833325135,0.4722788425807304,0.4785165088912229,0.4771911439069747,0.4948792702026469,0.7137463728438806,0.25,0.4060720988950385,0.031578947368421054,0.0,0.16417910447761194,0.0,0.42817790710676484,0.42817790710676484,0.0,0.5639097744360901,1.677468329998964,0.5491393854265147,19,1.6914675218243873,0.9133505322193582,21,1.4142135623730951,0.9933291813095608,20.0,19.950000000000003,0.9494947793340257,7,64.7,37.5,59.885609347292714,30,0.4815674255691769,0.8163071383758653,0.4180106605888166,3,6.0,7
raw,rbio3.1,50772691.02746067,0.6625536480686696,426.15692285448694,4.304618582702009,932,2,False,False,362.85600768740017,,10.672196652315746,236866.31875775542,0.5889487852343485,1.0753904968970987e-06,-0.13648993712627083,21,3624.5485251408445,735.1034517280607,4998.845068372667,"[2, 39, 94, 139, 181, 243, 297, 351, 384, 424, 484, 518, 574, 618, 663, 712, 771, 813, 855, 889, 922]","[735.1034517280607, 4722.805460047157, 4094.981770352848, 2885.8800738178747, 4052.6505158044633, 3867.1507027081543, 3635.350397468361, 4949.184156713181, 3586.6172530023623, 4059.96639441542, 2943.2266656831052, 3778.3162497786166, 4160.982195558387, 3898.1438449359825, 4238.260287354002, 4998.845068372667, 4684.367517286641, 1809.8106540645972, 4252.073774064739, 3022.226412303248, 1739.5761824978515]","[0, 25, 46, 134, 102, 209, 261, 261, 374, 374, 459, 486, 431, 597, 431, 431, 759, 798, 817, 873, 918]","[6, 431, 261, 154, 261, 261, 316, 431, 403, 431, 542, 542, 652, 652, 679, 759, 873, 817, 873, 900, 925]",0.05,30,703997159.7126386,3507.9550598584865,-3507.9550598584865,SWT,mdp.39015056038394,2547.321106917537,3468.2434906690905,1966.9550598584865,0.0,-9.0,0.0,-13.5,2569.3818584741775,50791.51902795774,2569.3818584741766,1966.9550598584865,0.0,-13.5,241146676.71263862,0.0,2.0,726.9035101615265,0.0,1.0,0.0,0.824083908664639,1.0,0.40350877192982476,0.044542952791186474,0.4307080872277047,,0.4122423714549067,1.0,1.0,0.9999999999999998,1.0,1.0,0.5,0.8598570123498206,0.03030303030303031,0.0,0.2702702702702702,0.0,1.0,1.0,0.0,0.01652892561983471,3.0869643327926797,1.0,1,1.563545879111806,0.8774519534562933,22,0,0,0.5680751006248663,1.0,1,0,0,0.5289776743733364,0.9367664702535041,8,9.899494936611665,0.9066085383338522,8.0,1.8429319371727748,0.9155684201103224,8,rbio,0.2673504273504273,0.3662280894980271,0.7029862740052928,1,6.25,,1.0,0.011606235025587441,0.0,0.8760132405105383,1.0,0.5878787878787884,0.08430212281069593,0.5304371420110737,,0.4129610755976606,1.0,1.0,1.0,1.0,0.9999999999999999,0.5,0.8215916573132398,0.021052631578947364,0.0,0.1492537313432836,0.0,1.0,1.0,0.0,0.015037593984962405,3.054722306425134,1.0,1,1.7225357118431686,0.9301265846842262,18,12.020815280171307,0.9432980411312675,9.5,1.894736842105263,0.9492433601882753,8,64.7,37.5,59.885609347292714,30,0.4815674255691769,0.8163071383758653,0.4180106605888166,3,6.75,8
