avg_prominence,avg_prominence_diff,avg_variance_across_levels,change_point_indices,change_point_prominences,correlation,distance_factor,distance_factor_diff,emd_value,fft_amplitude_max,fft_amplitude_max_diff,fft_dominant_frequency,fft_dominant_frequency_diff,fft_dynamic_cutoff,fft_dynamic_cutoff_diff,fft_dynamic_cutoff_percentile,fft_dynamic_cutoff_percentile_diff,fft_frequency_max,fft_frequency_max_diff,fft_num_peaks,fft_num_peaks_diff,fft_peak_amplitude,fft_peak_amplitude_diff,fft_positive_amplitudes,fft_positive_frequencies,fft_snr_threshold,fft_snr_threshold_diff,fft_spectral_bandwidth,fft_spectral_bandwidth_diff,fft_spectral_centroid,fft_spectral_centroid_diff,fft_spectral_magnitude,fft_spectral_magnitude_diff,fft_stationarity_threshold,fft_stationarity_threshold_diff,fft_variance_magnitude,fft_variance_magnitude_diff,htid,is_complex,kl_divergence,lower_envelope,lower_envelope_diff,max_autocorrelation,num_change_points,prominence_max,prominence_max_diff,prominence_min,prominence_min_diff,prominence_threshold,prominence_threshold_diff,relative_left_bases,relative_left_bases_array_alignment_score,relative_left_bases_global_alignment_score,relative_num_peaks,relative_num_peaks_diff,relative_peaks,relative_peaks_array_alignment_score,relative_peaks_global_alignment_score,relative_prominences,relative_prominences_avg_diff,relative_prominences_total_diff,relative_prominences_wasserstein,relative_right_bases,relative_right_bases_array_alignment_score,relative_right_bases_global_alignment_score,scales_used,signal_length,signal_type,smoothness,stft_amplitude_max,stft_amplitude_max_diff,stft_dominant_frequency,stft_dominant_frequency_diff,stft_dynamic_cutoff,stft_dynamic_cutoff_diff,stft_dynamic_cutoff_percentile,stft_dynamic_cutoff_percentile_diff,stft_frequency_max,stft_frequency_max_diff,stft_noverlap,stft_noverlap_diff,stft_nperseg,stft_nperseg_diff,stft_num_peaks,stft_num_peaks_diff,stft_peak_amplitude,stft_peak_amplitude_diff,stft_peak_freq_over_time,stft_positive_amplitudes,stft_positive_frequencies,stft_snr_threshold,stft_snr_threshold_diff,stft_spectral_bandwidth,stft_spectral_bandwidth_diff,stft_spectral_centroid,stft_spectral_centroid_diff,stft_spectral_magnitude,stft_spectral_magnitude_diff,stft_stationarity_threshold,stft_stationarity_threshold_diff,stft_variance_magnitude,stft_variance_magnitude_diff,stft_window,stft_window_diff,upper_envelope,upper_envelope_diff,variance_ratio_across_levels,wavelet,wavelet_adaptive_threshold,wavelet_energy_entropy,wavelet_entropy,wavelet_psnr,wavelet_sparsity,wavelet_type,emd_value_normalized,smoothness_normalized,wavelet_psnr_normalized,wavelet_entropy_normalized,wavelet_energy_entropy_normalized,wavelet_sparsity_normalized,correlation_normalized,avg_variance_across_levels_normalized,kl_divergence_normalized,prominence_min_diff_normalized,avg_prominence_diff_normalized,relative_prominences_avg_diff_normalized,relative_prominences_wasserstein_normalized,relative_prominences_total_diff_normalized,prominence_max_diff_normalized,relative_num_peaks_diff_normalized,relative_right_bases_global_alignment_score_normalized,relative_left_bases_global_alignment_score_normalized,upper_envelope_diff_normalized,lower_envelope_diff_normalized,relative_peaks_global_alignment_score_normalized,reconstruction_signal_weighted_score,reconstruction_signal_normalized_weighted_score,reconstruction_signal_normalized_weighted_rank,wavelet_signal_weighted_score,wavelet_signal_normalized_weighted_score,wavelet_signal_normalized_weighted_rank,reconstruction_signal_num_missing_metrics,reconstruction_signal_missing_metrics_count,reconstruction_signal_dynamically_weighted_score,reconstruction_signal_normalized_dynamically_weighted_score,reconstruction_signal_normalized_dynamically_weighted_rank,wavelet_signal_num_missing_metrics,wavelet_signal_missing_metrics_count,wavelet_signal_dynamically_weighted_score,wavelet_signal_normalized_dynamically_weighted_score,wavelet_signal_normalized_dynamically_weighted_rank,rank_variability,normalized_rank_stability,average_rank,harmonic_average_rank,stability_score_weighted,stability_rank,wavelet_family,family_mean_stability_rank,family_median_stability_rank,family_rank_std_dev,family_wavelet_count,normalized_family_mean_rank,normalized_family_std_dev,final_family_stability_score,final_family_stability_rank,family_informed_rank
16414.378849309986,16242.333394764531,383074.77231415245,"[41, 50, 60, 66]","[22.317848467515432, 64078.95081675359, 104.99598467453325, 1451.250747344311]",0.5448330508184308,20,10.0,52731.49264636897,5330038.12503562,5284783.12503562,0.0891089108910891,0.0594059405940594,29206.316045759464,28869.316045759464,15.0,0.0,0.48514851485148514,0.0,5.0,4.0,44610.79256811954,41621.82762913408,"[5330038.12503562, 1302535.3259683673, 613977.41726475, 339943.6584420641, 189816.75447221383, 151582.3732394011, 77521.89441458196, 76219.19180734278, 37992.15794092964, 44610.79256811954, 41208.198514434574, 21843.80935887118, 28242.521486277008, 25032.271051462965, 25207.41879882085, 22345.21685220159, 21993.126496414192, 20450.933723286165, 16375.301023962955, 17902.316549612675, 16926.419559323418, 16084.176367381595, 14101.546292569998, 16452.68605905717, 13254.7396794182]","[0.0, 0.009900990099009901, 0.019801980198019802, 0.0297029702970297, 0.039603960396039604, 0.04950495049504951, 0.0594059405940594, 0.06930693069306931, 0.07920792079207921, 0.0891089108910891, 0.09900990099009901, 0.10891089108910891, 0.1188118811881188, 0.12871287128712872, 0.13861386138613863, 0.1485148514851485, 0.15841584158415842, 0.16831683168316833, 0.1782178217821782, 0.18811881188118812, 0.19801980198019803, 0.2079207920792079, 0.21782178217821782, 0.22772277227722773, 0.2376237623762376]",3.0,0.0,0.068597498632436,0.07620293021491265,0.024209523810886764,0.07706405372458983,8747334.093855599,8654074.594063591,0.7,0.0,583053590480.7255,583014676929.7094,mdp.39015035518102,False,,-72292.45320223378,71710.45320223378,326305301099.22864,4,64078.95081675359,63655.95081675359,22.317848467515432,12.317848467515432,0.05,0.0,"[0, 0, 59, 61]",0.0,-11.0,4,18.0,"[41, 50, 60, 66]",0.0,-11.0,"[22.317848467515432, 64078.95081675359, 104.99598467453325, 1451.250747344311]",16242.333394764531,61872.51539723994,16261.613551843859,"[42, 100, 61, 100]",0.0,-11.0,49,101,raw,1.1336209433464626e-05,22538488005.03273,22538054637.40862,0.015625,0.015625,29206.316045759464,28869.316045759464,15.0,0.0,0.5,0.0,32.0,16.0,64.0,32.0,1.0,1.0,22538488005.03273,22538054637.40862,"[0.015625, 0.015625]","[2.780981219403279e-21, 22538488005.03273, 7677205594.657238, 2836236710.0550017, 1686352047.2804868, 984341693.8286397, 726664521.753828, 483966599.7572707, 407115599.62997353, 339107236.3522683, 279406491.6283851, 235750808.43583852, 203405868.99614894, 159887981.70108798, 145289655.92141837, 139269914.74528855]","[0.0, 0.015625, 0.03125, 0.046875, 0.0625, 0.078125, 0.09375, 0.109375, 0.125, 0.140625, 0.15625, 0.171875, 0.1875, 0.203125, 0.21875, 0.234375]",3.0,0.0,0.06887691855266677,0.060353264476537535,0.04514129104521149,0.10804928743133214,40156439390.18589,40154773210.65464,0.7,0.0,6.02263931887619e+18,6.022639316927483e+18,boxcar,,72292.45320223378,71710.45320223378,0.04547305663728924,mexh,1305.6869830369221,20.6741633787064,11.10671255692877,-40.688798286470494,0.6548797736916548,CWT,0.9999999999999999,0.15388685992669487,0.00707331446101267,0.3468358233018958,1.0,0.7659574468085102,0.7512871757662658,0.19016673043652127,,0.0022097362391480524,0.7569261238070565,0.7569261238070565,0.7580437444425254,1.0,1.0,0.6666666666666666,0.4444444444444444,0.6666666666666666,0.715191018597019,0.715191018597019,0.36363636363636365,2.418813176432594,1.0,1,1.7067924995100827,0.8703360171503934,3,0,0.0,0.6538251589086637,0.6792988663986116,2,1,0.11111111111111112,0.5213453632820569,1.0,1,0.9574271077563381,0.9316123494459758,1.75,1.411764705882353,0.9033061747229879,1,mexh,1.0,1.0,,1,0.08333333333333333,,,5,2.0
10608.821900280174,10436.77644573472,201244.94427381307,"[25, 34, 50, 75, 80]","[8690.73628465844, 331.2064994085231, 1741.8631257093803, 41945.081025666965, 335.22256595755607]",0.6605306968252886,20,10.0,33017.07440166668,3280011.7720177486,3234756.7720177486,0.019801980198019802,0.0099009900990099,22200.454106873374,21863.454106873374,15.0,0.0,0.48514851485148514,0.0,8.0,1.0,621485.5057091751,618496.5407701897,"[3280011.7720177486, 554693.802890562, 621485.5057091751, 372801.3479489028, 205674.77398115705, 170987.39984081205, 77573.69426018154, 82381.10516117162, 32845.21129891512, 45128.07781200448, 42519.9502624888, 18910.1423909631, 26975.103018512717, 23721.585724624412, 24722.06460610333, 21280.86776230821, 22200.726779731023, 20619.635049393717, 14648.122941229854, 17825.006754017915, 16785.631328219224, 15512.006682017258, 13593.283205192873, 15751.355744746428, 12677.374683808293]","[0.0, 0.009900990099009901, 0.019801980198019802, 0.0297029702970297, 0.039603960396039604, 0.04950495049504951, 0.0594059405940594, 0.06930693069306931, 0.07920792079207921, 0.0891089108910891, 0.09900990099009901, 0.10891089108910891, 0.1188118811881188, 0.12871287128712872, 0.13861386138613863, 0.1485148514851485, 0.15841584158415842, 0.16831683168316833, 0.1782178217821782, 0.18811881188118812, 0.19801980198019803, 0.2079207920792079, 0.21782178217821782, 0.22772277227722773, 0.2376237623762376]",3.0,0.0,0.07993490773129079,0.06486552111605785,0.033834645407691245,0.06743893212778534,6010225.543394302,5916966.043602294,0.7,0.0,219324110411.5113,219285196860.49515,mdp.39015035518102,False,,-43268.04996687641,42686.04996687641,124940690873.65002,5,41945.081025666965,41522.081025666965,331.2064994085231,321.2064994085231,0.05,0.0,"[0, 32, 43, 0, 78]",0.0,-10.5,5,17.0,"[25, 34, 50, 75, 80]",0.0,-6.0,"[8690.73628465844, 331.2064994085231, 1741.8631257093803, 41945.081025666965, 335.22256595755607]",10436.77644573472,49259.10950140087,10436.776445734715,"[59, 59, 59, 100, 100]",0.0,-19.5,49,101,raw,9.086082111975172e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43268.04996687641,42686.04996687641,0.06842809834423898,gaus2,812.3844750275454,19.8051902262404,11.03666722460618,-36.47683292168297,0.6162861184077592,CWT,0.5847044761577394,0.12128171513478432,0.21753731349187094,0.2568614379738643,0.8845688898932158,0.31442080378250625,1.0,0.08789098929062951,,0.14962214565759763,0.420393064458461,0.420393064458461,0.4203930644584605,0.7730901725312771,0.6044021331099358,0.5833333333333333,0.06666666666666667,0.7,0.3787484652034039,0.3787484652034039,0.5454545454545454,1.682576849702771,0.6956208383916335,5,1.4739581266456738,0.7516079697792653,5,0,0.0,0.4534370933779622,0.4711034736394412,6,1,0.11111111111111112,0.4278526476600207,0.8206702846008528,5,0.5,0.9642857142857143,5.25,5.217391304347826,0.7946428571428572,2,gaus,7.75,7.5,4.267819784654187,8,0.6458333333333334,1.0,0.24791666666666662,1,1.75
19274.441338519347,19102.39588397389,108158.14753120064,"[17, 46, 58, 86]","[23844.48606454937, 585.6043416727298, 3734.9840619702804, 24379.484204011318]",0.4587793083329216,10,20.0,12250.086987477142,1114301.9564183457,1069046.9564183457,0.019801980198019802,0.0099009900990099,0.0,337.0,5.0,10.0,0.48514851485148514,0.0,8.0,1.0,528696.214884725,525707.2499457396,"[1114301.9564183457, 308247.44837227266, 528696.214884725, 354712.71638646023, 194605.04050887353, 167856.84426182462, 66940.43421512008, 77166.42602086187, 22161.94814215896, 39336.231691286346, 38387.72749817402, 11389.310854691823, 21993.906345355583, 19015.455082563807, 21460.121172771007, 17765.535662768158, 18988.263778260978, 17573.75134304714, 11101.974579848384, 15034.397068922697, 14304.31445779272, 12947.701096198447, 11065.120660795248, 13506.054059974736, 10275.104178274445]","[0.0, 0.009900990099009901, 0.019801980198019802, 0.0297029702970297, 0.039603960396039604, 0.04950495049504951, 0.0594059405940594, 0.06930693069306931, 0.07920792079207921, 0.0891089108910891, 0.09900990099009901, 0.10891089108910891, 0.1188118811881188, 0.12871287128712872, 0.13861386138613863, 0.1485148514851485, 0.15841584158415842, 0.16831683168316833, 0.1782178217821782, 0.18811881188118812, 0.19801980198019803, 0.2079207920792079, 0.21782178217821782, 0.22772277227722773, 0.2376237623762376]",3.0,0.0,0.09309961420392623,0.05170081464342241,0.051339585597672696,0.04993399193780389,3343783.0985178687,3250523.5987258614,0.7,0.0,32076847227.876846,32037933676.8607,mdp.39015035518102,False,,-25998.770172933982,25416.770172933982,23894730314.81536,4,29619.66353202867,29196.66353202867,585.6043416727298,575.6043416727298,0.05,0.0,"[0, 43, 0]",0.0,-11.5,3,19.0,"[17, 46, 86]",0.0,-20.5,"[29619.66353202867, 585.6043416727298, 27618.056141856647]",19102.39588397389,54038.32401555804,19102.3958839739,"[58, 58, 100]",0.0,-11.5,49,101,raw,6.727062357938179e-06,11359391194.22372,11358957826.59961,0.015625,0.015625,0.0,337.0,5.0,10.0,0.5,0.0,32.0,16.0,64.0,32.0,2.0,0.0,11359391194.22372,11358957826.59961,"[0.015625, 0.015625]","[1.8404768629304866e-23, 11359391194.22372, 1483864573.103734, 387578814.906213, 70213778.0419959, 64964415.376962304, 34533719.97820209, 29280360.84357184, 20159319.91928931, 17994900.67766958, 17319944.036993593, 12481564.243278831, 13720031.15335412, 8364310.429027103, 6532657.896788511, 7977223.076241313]","[0.0, 0.015625, 0.03125, 0.046875, 0.0625, 0.078125, 0.09375, 0.109375, 0.125, 0.140625, 0.15625, 0.171875, 0.1875, 0.203125, 0.21875, 0.234375]",3.0,0.0,0.03016477626259776,0.09906540676660655,0.022136137209847882,0.13105444126669574,13606646624.51531,13604980444.98406,0.3,0.39999999999999997,9.61440844762183e+17,9.614408428134757e+17,boxcar,,25998.770172933982,25416.770172933982,0.04097165608347537,gaus4,390.3657151888476,18.258252746224237,11.237824409622144,-29.199379361395273,0.6207314609011921,CWT,0.1472359792560335,0.08709868028480998,0.5811780005364974,0.5152511618283342,0.6790795602432491,0.3664302600472812,0.5662992346271274,0.03553147693583852,,0.271029645624903,0.9227165187462765,0.9227165187462765,0.9227165187462765,0.8590662165751115,0.384110384986599,0.7499999999999999,0.4222222222222222,0.6333333333333333,0.17856792946495004,0.17856792946495004,0.018181818181818188,2.0139611523178735,0.8326236899735184,4,1.4034769478640419,0.7156678608073322,7,0,0.0,0.538602419674393,0.5595869295318369,3,1,0.11111111111111112,0.36670748866434083,0.703386880350839,6,1.8257418583505538,0.8695898672606748,5.0,4.480000000000001,0.7562235050589088,3,gaus,7.75,7.5,4.267819784654187,8,0.6458333333333334,1.0,0.24791666666666662,1,2.5
13367.98101873035,13195.935564184896,121236.60378130431,"[9, 25, 42, 62, 73, 98]","[2372.694778355639, 48.939357463377746, 328.0694988942396, 2023.5299810563283, 572.7659664932526, 469.58175090435907]",0.22797792734696723,10,20.0,10156.411055510729,,,,,,,,,,,,,,,,,,,,,,,,,,,,,mdp.39015035518102,True,-136204.503353012,-17971.036877821163,17389.036877821163,12888999783.052383,6,23378.114864884057,22955.114864884057,2113.0922256793965,2103.0922256793965,0.05,0.0,"[0, 43, 59]",0.0,-16.0,3,19.0,"[15, 49, 91]",0.0,-11.5,"[23378.114864884057, 2113.0922256793965, 14612.735965627593]",13195.935564184896,36318.94305619105,13195.935564184894,"[59, 59, 100]",0.0,-20.5,49,101,raw,1.5408186561690537e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17971.036877821163,17389.036877821163,0.06347962634664107,cgau8,372.98674119404114,13.236431285821208,11.47472698053019,-26.4040620492994,0.6455849666599313,CWT,0.10313149531288811,0.21289125607227372,0.7208547568988006,0.8195564237680772,0.011999772694721855,0.6572104018912525,0.07015030434845701,0.042887854161948645,0.6089686581028724,1.0,0.5803343530400474,0.5803343530400474,0.580334353040047,0.5403020612355222,0.27255540783537063,0.7499999999999999,0.02222222222222222,0.3333333333333333,0.08551274876512742,0.08551274876512742,0.34545454545454546,1.6675812164240045,0.6894212552965542,6,1.4947846651880408,0.7622279406375833,4,0,0.0,0.4313246772276158,0.4481295347819385,7,0,0.0,0.3608501025834768,0.6921517443097515,7,1.4142135623730951,0.8989847455447789,6.0,5.694915254237289,0.7352066584866752,4,cgau,4.0,4.0,,1,0.3333333333333333,,,2,3.5
9680.124417211991,9508.078962666537,78072.05005778352,"[14, 32, 36, 42, 59, 91]","[15170.709430776174, 183.41034016033427, 219.8593160116584, 4239.733576085255, 10342.644930793702, 15426.688331944015]",0.3168098816304466,30,0.0,6759.569893662638,,,,,,,,,,,,,,,,,,,,,,,,,,,,,mdp.39015035518102,False,,-16247.077793239421,15665.077793239421,7138912583.49233,6,26690.151599267876,26267.151599267876,183.41034016033427,173.41034016033427,0.05,0.0,"[0, 32, 36, 42, 0]",0.0,-6.0,5,17.0,"[14, 33, 37, 50, 91]",0.0,-1.5,"[26690.151599267876, 183.41034016033427, 219.8593160116584, 4239.733576085255, 17067.46725453483]",9508.078962666537,44615.62208605996,9508.078962666536,"[59, 36, 42, 59, 100]",0.0,-15.0,49,101,raw,3.683562471467437e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16247.077793239421,15665.077793239421,0.08212858440963386,morl,238.76075053660867,17.437717815804017,10.981355667921195,-23.99028069345933,0.6441705395029299,CWT,0.03157508861558467,0.0429972849882741,0.8414668780675264,0.1858128306041592,0.5700828005263203,0.6406619385342792,0.26111050962987253,0.018608632370431893,,0.07908867713683505,0.36655888318520596,0.36655888318520596,0.3665588831852057,0.6895558014843759,0.3317513224924365,0.5833333333333333,0.26666666666666666,1.0,0.06552910976798756,0.06552910976798756,0.709090909090909,1.392312985721519,0.5756182409155647,8,1.2733520867007468,0.649313952274445,8,0,0.0,0.4075184649413457,0.4233958077312682,8,1,0.11111111111111112,0.31848393986150053,0.6108886014762448,9,0.5,0.9642857142857143,8.25,8.22857142857143,0.6875,5,morl,5.0,5.0,,1,0.4166666666666667,,,6,5.25
20607.664447435414,20435.61899288996,122228.33828437173,"[16, 43, 59, 89]","[23584.673945607057, 651.1309954498292, 13943.677607350157, 23647.801310943712]",0.271186495635082,10,20.0,11532.29637672576,,,,,,,,,,,,,,,,,,,,,,,,,,,,,mdp.39015035518102,False,,-23950.24788089368,23368.24788089368,19180510047.714375,4,37524.06103591271,37101.06103591271,651.1309954498292,641.1309954498292,0.05,0.0,"[0, 43, 59]",0.0,-16.0,3,19.0,"[16, 46, 89]",0.0,-20.5,"[37524.06103591271, 651.1309954498292, 23647.801310943712]",20435.61899288996,58037.99334230625,20435.61899288997,"[59, 59, 100]",0.0,-20.5,49,101,raw,5.878228267869557e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23950.24788089368,23368.24788089368,0.04784490989437862,gaus6,329.80818987011406,17.982028863146326,11.17426260358935,-28.31255447429795,0.6344716104263488,CWT,0.13211530848599157,0.0747987725655095,0.6254909746504256,0.433604973017322,0.6423870233435693,0.5271867612293151,0.16303486527890332,0.04344568552776103,,0.30230124425756233,1.0,1.0,1.0,0.9310185730091312,0.525385400205443,0.7499999999999999,0.02222222222222222,0.3333333333333333,0.15482204690436777,0.15482204690436777,0.018181818181818188,2.1200130978382217,0.8764683103657224,3,1.268831732100543,0.6470089108473364,9,0,0.0,0.5160072237515204,0.5361114013002809,5,1,0.11111111111111112,0.324702489956794,0.6228164913804447,8,2.753785273643051,0.8033010518826392,6.25,5.1985559566787005,0.6784362402270339,6,gaus,7.75,7.5,4.267819784654187,8,0.6458333333333334,1.0,0.24791666666666662,1,4.75
,,1822828.1536758675,[6],[4283.55493762868],0.22509867249817814,30,0.0,48403.597612287216,,,,,,,,,,,,,,,,,,,,,,,,,,,,,mdp.39015035518102,False,,-96862.50427903791,96280.50427903791,331804676905.5425,1,,,,,0.15,0.09999999999999999,[],,,0,22.0,[],,,[],,,,[],,,49,101,raw,9.567950516963432e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96862.50427903791,96280.50427903791,0.0471750073793879,gaus1,1145.95159282049,20.517561470453387,11.1406328673125,-40.83035482659719,0.5894120024247322,CWT,0.9088304096522709,0.12826415962369847,0.0,0.3904070217774274,0.979197594237305,0.0,0.06396083006054833,1.0,,,,,,,,0.9999999999999999,,,1.0,1.0,,0.8,0.3307407152378285,11,1.4215150108143764,0.7248659184914436,6,9,0.7500000000000002,0.9625,1.0,1,1,0.11111111111111112,0.4282769463633506,0.8214841380139892,4,4.203173404306164,0.6997733282638454,5.5,2.6532663316582914,0.6534580927033513,7,gaus,7.75,7.5,4.267819784654187,8,0.6458333333333334,1.0,0.24791666666666662,1,5.5
19325.817108460367,19153.77165391491,131015.4653452983,"[15, 43, 59, 90]","[22124.642604571534, 1360.2971980664925, 15460.205195329494, 21795.005039486914]",0.24379830305494635,10,20.0,10805.69706765617,,,,,,,,,,,,,,,,,,,,,,,,,,,,,mdp.39015035518102,False,,-22271.295025861928,21689.295025861928,16425577611.240602,4,34822.14908782769,34399.14908782769,1360.2971980664925,1350.2971980664925,0.05,0.0,"[0, 43, 59]",0.0,-16.0,3,19.0,"[15, 48, 90]",0.0,-16.0,"[34822.14908782769, 1360.2971980664925, 21795.005039486914]",19153.77165391491,54192.4513253811,19153.771653914915,"[59, 59, 100]",0.0,-20.5,49,101,raw,5.4895808071809765e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22271.295025861928,21689.295025861928,0.05221510386339815,gaus8,311.6700901957629,17.975163758895906,11.095668680674988,-27.659790419224798,0.6348757324712063,CWT,0.11680907743529506,0.0691671326988501,0.6581083685641634,0.3326497819965799,0.6414750888351488,0.5319148936170215,0.1041590370977562,0.04838827356397699,,0.6407400256351923,0.9256946387072786,0.9256946387072786,0.9256946387072785,0.8618389015714538,0.47709422413565106,0.7499999999999999,0.02222222222222222,0.3333333333333333,0.13536010720507846,0.13536010720507846,0.18181818181818182,2.1208769801818836,0.8768254616960025,2,1.2115052013061078,0.6177766846083533,10,0,0.0,0.5262375849373355,0.5467403479868421,4,1,0.11111111111111112,0.3072784011705434,0.5893950973997641,10,4.123105625617661,0.7054924553130242,6.5,4.2105263157894735,0.6206033705136549,8,gaus,7.75,7.5,4.267819784654187,8,0.6458333333333334,1.0,0.24791666666666662,1,6.25
16135.998108345248,15963.952653799794,159781.13715813134,"[6, 31, 72]","[5142.5625821776775, 14872.843656207786, 16452.055159972973]",0.1953450098253774,10,20.0,12166.36522427357,,,,,,,,,,,,,,,,,,,,,,,,,,,,,mdp.39015035518102,False,,-29653.038435054215,29071.038435054215,20834821007.85921,3,32198.11783835951,31775.11783835951,73.87837833098638,63.87837833098638,0.05,0.0,"[6, 68]",0.0,-21.0,2,20.0,"[31, 69]",0.0,-21.0,"[32198.11783835951, 73.87837833098638]",15963.952653799794,28486.996216690495,15983.4514253158,"[72, 72]",0.0,-21.0,49,101,raw,3.499536457500168e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29653.038435054215,29071.038435054215,0.0475572980162136,gaus7,347.61267065337813,18.077401668464585,11.19526243065003,-28.81888888128433,0.6150737522731865,CWT,0.14547233231119056,0.04033068262600902,0.6001903952505645,0.4605795974373763,0.655055986430223,0.30023640661938555,0.0,0.0645684043814812,,0.026816214706101398,0.7407891152059699,0.7407891152059699,0.7419194083525931,0.3994086561734106,0.4301950070199657,0.8333333333333333,0.0,0.0,0.22092715852207906,0.22092715852207906,0.0,1.5116001843800435,0.6249346576693613,7,1.119594857965645,0.5709093107589693,11,0,0.0,0.3629254305867918,0.3770653824278356,10,1,0.11111111111111112,0.2777486700764732,0.5327536977176611,11,1.8929694486000912,0.8647878965285649,9.75,9.418960244648318,0.5841796625499968,9,gaus,7.75,7.5,4.267819784654187,8,0.6458333333333334,1.0,0.24791666666666662,1,7.0
4726.902574656966,4554.857120111511,332974.3960120767,"[9, 23, 33, 37, 48, 51, 60, 76, 98]","[4964.475315828626, 116.19055005420887, 1100.5975538761595, 233.05368287088277, 2050.614122823168, 335.6169471935318, 629.212178001866, 291.2095001377493, 920.3134709931401]",0.3381913471690377,30,0.0,27684.63369780176,,,,,,,,,,,,,,,,,,,,,,,,,,,,,mdp.39015035518102,True,-180137.60259825253,-47801.93477390383,47219.93477390383,93771816869.38014,9,27922.011628696757,27499.011628696757,97.81508837841466,87.81508837841466,0.05,0.0,"[0, 22, 27, 32, 36, 43, 50, 59, 59, 59, 0, 88]",0.0,-7.0,12,10.0,"[17, 23, 28, 33, 37, 48, 51, 60, 76, 80, 85, 89]",0.0,6.5,"[22577.437302090344, 466.49861649682134, 97.81508837841466, 1099.1834433750373, 221.50679668857993, 2025.8316500814763, 217.53093011107012, 971.967019104055, 457.69263707083155, 246.45644676820666, 27922.011628696757, 418.8993370219978]",4554.857120111511,52937.83089588359,4554.857120111511,"[59, 59, 59, 59, 59, 59, 59, 61, 77, 81, 100, 100]",0.0,-7.0,49,101,raw,7.162588045324034e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47801.93477390383,47219.93477390383,0.0505759461833395,fbsp,767.4702478671923,15.007901951890172,11.362802421859007,-35.22508104463577,0.6166902404526167,CWT,0.47237355530672864,0.0,0.280085003945405,0.675787481061479,0.24731524236792962,0.31914893617021267,0.3070738015713875,0.16198624336678658,0.0,0.03823964541775972,0.07943347645124982,0.07943347645124982,0.07943347645124982,0.8392688116570456,0.35376831294863964,0.0,0.6222222222222222,0.9333333333333333,0.4313039568322756,0.4313039568322756,0.9999999999999999,1.207557723022761,0.49923563125438947,9,1.0865980231173207,0.5540834026133084,12,0,0.0,0.40731172238310837,0.4231810102681645,9,0,0.0,0.27375225153221433,0.5250881101326869,13,2.0615528128088303,0.8527462276565121,10.75,10.458100558659218,0.5424445423996846,10,fbsp,10.0,10.0,,1,0.8333333333333334,,,4,8.5
