wavelet,wavelet_level,wavelet_mode,wavelet_mse,wavelet_psnr,wavelet_energy_entropy,wavelet_sparsity,wavelet_adaptive_threshold,signal_length,signal_type,emd_value,kl_divergence,change_point_indices,change_point_prominences,num_change_points,wavelet_entropy,avg_variance_across_levels,variance_ratio_across_levels,smoothness,correlation,fft_frequency_max,fft_amplitude_max,fft_spectral_centroid,fft_spectral_bandwidth,fft_spectral_magnitude,fft_variance_magnitude,fft_num_peaks,fft_peak_amplitude,fft_dominant_frequency,fft_positive_frequencies,fft_positive_amplitudes,fft_snr_threshold,fft_stationarity_threshold,fft_dynamic_cutoff,fft_dynamic_cutoff_percentile,stft_frequency_max,stft_amplitude_max,stft_spectral_centroid,stft_spectral_bandwidth,stft_spectral_magnitude,stft_variance_magnitude,stft_peak_freq_over_time,stft_num_peaks,stft_peak_amplitude,stft_dominant_frequency,stft_positive_frequencies,stft_positive_amplitudes,stft_snr_threshold,stft_stationarity_threshold,stft_window,stft_nperseg,stft_noverlap,stft_dynamic_cutoff,stft_dynamic_cutoff_percentile,relative_num_peaks,avg_prominence,prominence_min,prominence_max,relative_peaks,relative_prominences,relative_left_bases,relative_right_bases,prominence_threshold,distance_factor,max_autocorrelation,upper_envelope,lower_envelope,wavelet_type,htid,stft_amplitude_max_diff,stft_frequency_max_diff,avg_prominence_diff,fft_variance_magnitude_diff,stft_noverlap_diff,prominence_max_diff,stft_spectral_magnitude_diff,upper_envelope_diff,relative_peaks_array_alignment_score,relative_peaks_global_alignment_score,stft_num_peaks_diff,fft_peak_amplitude_diff,relative_left_bases_array_alignment_score,relative_left_bases_global_alignment_score,stft_window_diff,stft_nperseg_diff,prominence_threshold_diff,relative_right_bases_array_alignment_score,relative_right_bases_global_alignment_score,stft_dominant_frequency_diff,relative_num_peaks_diff,stft_variance_magnitude_diff,fft_amplitude_max_diff,fft_dominant_frequency_diff,relative_prominences_avg_diff,relative_prominences_total_diff,relative_prominences_wasserstein,fft_snr_threshold_diff,stft_stationarity_threshold_diff,stft_dynamic_cutoff_percentile_diff,lower_envelope_diff,fft_stationarity_threshold_diff,stft_dynamic_cutoff_diff,fft_frequency_max_diff,fft_num_peaks_diff,fft_dynamic_cutoff_percentile_diff,fft_dynamic_cutoff_diff,prominence_min_diff,fft_spectral_centroid_diff,stft_peak_amplitude_diff,fft_spectral_bandwidth_diff,stft_spectral_bandwidth_diff,fft_spectral_magnitude_diff,distance_factor_diff,stft_snr_threshold_diff,stft_spectral_centroid_diff,wavelet_psnr_normalized,wavelet_entropy_normalized,wavelet_energy_entropy_normalized,wavelet_sparsity_normalized,avg_variance_across_levels_normalized,reconstruction_signal_weighted_score,reconstruction_signal_normalized_weighted_score,reconstruction_signal_normalized_weighted_rank,wavelet_signal_weighted_score,wavelet_signal_normalized_weighted_score,wavelet_signal_normalized_weighted_rank,wavelet_signal_num_missing_metrics,wavelet_signal_missing_metrics_count,wavelet_signal_dynamically_weighted_score,wavelet_signal_normalized_dynamically_weighted_score,wavelet_signal_normalized_dynamically_weighted_rank,rank_variability,normalized_rank_stability,average_rank,harmonic_average_rank,stability_score_weighted,stability_rank,wavelet_family,family_mean_stability_rank,family_median_stability_rank,family_rank_std_dev,family_wavelet_count,normalized_family_mean_rank,normalized_family_std_dev,final_family_stability_score,final_family_stability_rank,family_informed_rank,top_wavelet_rank
bior2.8,1,antisymmetric,4.830800727549006e-27,320.2337730051642,4872885.971598913,0.5686274509803921,337.7565185564912,86,raw,4.5875448143115765e-14,-8.99689212019441e-11,"[3, 7, 10, 14, 16, 18, 20, 24, 26, 28, 30, 36, 38, 42, 44, 46, 49, 53, 55, 58, 62, 65, 67, 69, 71, 76, 80, 82]","[182.00000000000003, 318.0, 242.99999999999983, 460.0, 376.0, 336.0, 43.0, 711.0, 69.0, 74.00000000000011, 241.9999999999999, 387.0, 121.0, 8.0, 80.0, 335.0000000000001, 204.00000000000006, 121.00000000000011, 63.000000000000114, 30.999999999999886, 92.99999999999989, 27.000000000000114, 184.00000000000006, 57.000000000000114, 8.999999999999886, 146.0000000000001, 21.0, 369.9999999999999]",28,5.540923460945094,137238.95621000117,0.9557610145450982,1.0759700157898598e-05,1.0,0.4883720930232558,42543.0,0.11917939154692868,0.15363659173304783,97920.11568476396,39168483.09858434,8,3953.1168412223183,0.023255813953488372,"[0.0, 0.011627906976744186, 0.023255813953488372, 0.03488372093023256, 0.046511627906976744, 0.05813953488372093, 0.06976744186046512, 0.08139534883720931, 0.09302325581395349, 0.10465116279069767, 0.11627906976744186, 0.12790697674418605, 0.13953488372093023, 0.1511627906976744, 0.16279069767441862, 0.1744186046511628, 0.18604651162790697, 0.19767441860465115, 0.20930232558139533, 0.22093023255813954, 0.23255813953488372]","[42543.0, 1831.9355151102077, 3953.1168412223183, 1162.630000289423, 2365.9519230129126, 2276.392612511939, 2890.1292203692783, 2907.106935439627, 1029.1011563476545, 1537.010524707492, 488.0066064727045, 2219.7056813343042, 1642.107267526173, 1126.9927557741726, 1195.8384607800385, 446.8821358418921, 1611.002312194053, 566.973159754708, 971.6577544528596, 1387.9812166121446, 407.07447632807293]",3.0,0.5,322.7500000000001,15,0.5,453201.3109092929,0.20438109017487477,0.15326863156446496,3095241.28125,3710646498.259965,"[0.0625, 0.125, 0.125, 0.34375]",2,453201.3109092929,0.03125,"[0.0, 0.03125, 0.0625, 0.09375, 0.125, 0.15625, 0.1875, 0.21875]","[2.367844893111389e-25, 453201.3109092929, 366743.0118606119, 300965.2367543515, 438655.0211197104, 125216.68843757329, 97188.64535835721, 154071.116363262]",3.0,0.7,boxcar,32,16,322.7500000000001,15,28,189.67857142857142,8.0,711.0,"[3, 7, 10, 14, 16, 18, 20, 24, 26, 28, 30, 36, 38, 42, 44, 46, 49, 53, 55, 58, 62, 65, 67, 69, 71, 76, 80, 82]","[182.00000000000003, 318.0, 242.99999999999983, 460.0, 376.0, 336.0, 43.0, 711.0, 69.0, 74.00000000000011, 241.9999999999999, 387.0, 121.0, 8.0, 80.0, 335.0000000000001, 204.00000000000006, 121.00000000000011, 63.000000000000114, 30.999999999999886, 92.99999999999989, 27.000000000000114, 184.00000000000006, 57.000000000000114, 8.999999999999886, 146.0000000000001, 21.0, 369.9999999999999]","[0, 0, 9, 0, 15, 17, 17, 0, 25, 27, 27, 32, 37, 41, 41, 41, 47, 51, 51, 51, 47, 64, 41, 68, 70, 74, 74, 41]","[4, 9, 12, 15, 17, 19, 22, 41, 27, 29, 32, 41, 41, 43, 45, 47, 51, 54, 57, 60, 64, 66, 74, 74, 74, 77, 81, 84]",0.05,30,23344645.0,714.0,-714.0,DWT,inu.32000013032919,5.820766091346741e-11,0.0,0.0,7.450580596923828e-09,0.0,0.0,0.0,0.0,1.0,112,0.0,1.3642420526593924e-12,1.0,112,,0.0,0.0,1.0,112,0.0,0.0,1.9073486328125e-06,0.0,0.0,0.0,0.0,5.988860201406558e-14,0.0,0.0,0.0,0.0,0.0,1.1368683772161603e-13,0.0,0.0,0.0,1.1368683772161603e-13,0.0,1.3877787807814457e-17,5.820766091346741e-11,0.0,0.0,0.0,0.0,0.0,5.551115123125783e-17,0.9585783822599523,0.6613852497958933,0.02402228044515687,0.4284179425194732,0.1046390787944427,0,,26,1.131073603002063,0.7482244496821772,55,0,0,0.43540858676298366,0.7070369811024017,50,15.50268793897798,0.9781959382011561,43.666666666666664,39.14233576642336,0.9583900459875916,1,bior,338.9185185185185,351.0,228.60622638952228,135,0.5781919156648542,1.0,0.29526565903460206,5,2.0,1
bior2.6,1,antisymmetric,8.01941319765723e-27,318.03253832617696,4597922.803804745,0.5714285714285714,333.9056447838473,86,raw,6.078858346924347e-14,-9.130840528115434e-11,"[3, 7, 10, 14, 16, 18, 20, 24, 26, 28, 30, 36, 38, 42, 44, 46, 49, 53, 55, 58, 62, 65, 67, 69, 71, 76, 80, 82]","[182.00000000000003, 318.0000000000001, 242.99999999999994, 460.0, 376.0000000000001, 336.0, 42.999999999999886, 711.0000000000002, 68.99999999999989, 73.99999999999989, 242.00000000000006, 387.00000000000006, 121.00000000000011, 8.0, 80.0, 335.0, 204.0000000000001, 121.00000000000011, 63.0, 31.0, 93.00000000000006, 27.0, 184.00000000000006, 57.0, 9.0, 146.0, 21.000000000000114, 369.9999999999999]",28,5.4900503550318875,99354.96548040883,0.9375030266340542,1.0759700157898596e-05,1.0,0.4883720930232558,42543.0,0.11917939154692866,0.15363659173304786,97920.11568476396,39168483.09858434,8,3953.1168412223196,0.023255813953488372,"[0.0, 0.011627906976744186, 0.023255813953488372, 0.03488372093023256, 0.046511627906976744, 0.05813953488372093, 0.06976744186046512, 0.08139534883720931, 0.09302325581395349, 0.10465116279069767, 0.11627906976744186, 0.12790697674418605, 0.13953488372093023, 0.1511627906976744, 0.16279069767441862, 0.1744186046511628, 0.18604651162790697, 0.19767441860465115, 0.20930232558139533, 0.22093023255813954, 0.23255813953488372]","[42543.0, 1831.9355151102077, 3953.1168412223196, 1162.6300002894234, 2365.951923012912, 2276.3926125119388, 2890.1292203692806, 2907.1069354396277, 1029.101156347655, 1537.010524707493, 488.0066064727046, 2219.705681334303, 1642.107267526174, 1126.9927557741732, 1195.8384607800388, 446.88213584189225, 1611.0023121940526, 566.973159754708, 971.6577544528606, 1387.9812166121453, 407.0744763280736]",3.0,0.5,322.75,15,0.5,453201.31090929284,0.20438109017487474,0.15326863156446494,3095241.281250001,3710646498.259965,"[0.0625, 0.125, 0.125, 0.34375]",2,453201.31090929284,0.03125,"[0.0, 0.03125, 0.0625, 0.09375, 0.125, 0.15625, 0.1875, 0.21875]","[3.0342745858421e-25, 453201.31090929284, 366743.0118606122, 300965.2367543515, 438655.0211197103, 125216.68843757341, 97188.64535835714, 154071.1163632623]",3.0,0.7,boxcar,32,16,322.75,15,28,189.67857142857142,8.0,711.0000000000002,"[3, 7, 10, 14, 16, 18, 20, 24, 26, 28, 30, 36, 38, 42, 44, 46, 49, 53, 55, 58, 62, 65, 67, 69, 71, 76, 80, 82]","[182.00000000000003, 318.0000000000001, 242.99999999999994, 460.0, 376.0000000000001, 336.0, 42.999999999999886, 711.0000000000002, 68.99999999999989, 73.99999999999989, 242.00000000000006, 387.00000000000006, 121.00000000000011, 8.0, 80.0, 335.0, 204.0000000000001, 121.00000000000011, 63.0, 31.0, 93.00000000000006, 27.0, 184.00000000000006, 57.0, 9.0, 146.0, 21.000000000000114, 369.9999999999999]","[0, 0, 9, 0, 15, 17, 17, 0, 25, 27, 27, 32, 37, 41, 41, 41, 47, 51, 51, 51, 47, 64, 41, 68, 70, 74, 74, 41]","[4, 9, 12, 15, 17, 19, 22, 41, 27, 29, 32, 41, 41, 43, 45, 47, 51, 54, 57, 60, 64, 66, 74, 74, 74, 77, 81, 84]",0.05,30,23344645.0,714.0000000000002,-714.0000000000002,DWT,inu.32000013032919,1.1641532182693481e-10,0.0,0.0,7.450580596923828e-09,0.0,2.2737367544323206e-13,9.313225746154785e-10,2.2737367544323206e-13,1.0,112,0.0,0.0,1.0,112,,0.0,0.0,1.0,112,0.0,0.0,1.9073486328125e-06,0.0,0.0,0.0,0.0,5.98886020140656e-14,0.0,0.0,0.0,2.2737367544323206e-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1641532182693481e-10,2.7755575615628914e-17,2.7755575615628914e-17,0.0,0.0,0.0,2.7755575615628914e-17,0.9351304949139748,0.6244001017575281,0.013570751168052245,0.4520547945205475,0.06917823347859453,0,,35,1.0885569346108317,0.7200989495158625,90,0,0,0.41886687516773946,0.6801757703129723,72,28.04163571073081,0.9605602873266796,65.66666666666667,56.0,0.9341010531804519,2,bior,338.9185185185185,351.0,228.60622638952228,135,0.5781919156648542,1.0,0.29526565903460206,5,2.75,2
bior2.8,1,antireflect,5.2065534262638494e-27,319.9084609435497,4657949.081357514,0.5686274509803921,312.5862682551498,86,raw,4.984444788919704e-14,-9.022405045300298e-11,"[3, 7, 10, 14, 16, 18, 20, 24, 26, 28, 30, 36, 38, 42, 44, 46, 49, 53, 55, 58, 62, 65, 67, 69, 71, 76, 80, 82]","[182.00000000000003, 318.0000000000001, 242.99999999999983, 460.0, 376.0, 336.0, 43.0, 711.0, 69.0, 74.00000000000011, 241.9999999999999, 387.0, 121.0, 8.0, 80.0, 335.0000000000001, 204.00000000000006, 121.00000000000011, 63.000000000000114, 30.999999999999886, 92.99999999999989, 27.000000000000114, 184.00000000000006, 57.000000000000114, 8.999999999999886, 146.0, 21.0, 370.0000000000001]",28,5.5012026223447545,84962.50671180619,0.9437723157330232,1.0759700157898598e-05,1.0,0.4883720930232558,42543.0,0.11917939154692868,0.15363659173304786,97920.11568476396,39168483.09858435,8,3953.1168412223174,0.023255813953488372,"[0.0, 0.011627906976744186, 0.023255813953488372, 0.03488372093023256, 0.046511627906976744, 0.05813953488372093, 0.06976744186046512, 0.08139534883720931, 0.09302325581395349, 0.10465116279069767, 0.11627906976744186, 0.12790697674418605, 0.13953488372093023, 0.1511627906976744, 0.16279069767441862, 0.1744186046511628, 0.18604651162790697, 0.19767441860465115, 0.20930232558139533, 0.22093023255813954, 0.23255813953488372]","[42543.0, 1831.9355151102077, 3953.1168412223174, 1162.6300002894225, 2365.9519230129126, 2276.392612511939, 2890.12922036928, 2907.106935439627, 1029.1011563476552, 1537.0105247074928, 488.0066064727045, 2219.705681334304, 1642.1072675261735, 1126.9927557741728, 1195.8384607800388, 446.88213584189236, 1611.0023121940535, 566.9731597547076, 971.65775445286, 1387.9812166121446, 407.07447632807265]",3.0,0.5,322.7500000000001,15,0.5,453201.3109092929,0.20438109017487477,0.15326863156446496,3095241.28125,3710646498.2599645,"[0.0625, 0.125, 0.125, 0.34375]",2,453201.3109092929,0.03125,"[0.0, 0.03125, 0.0625, 0.09375, 0.125, 0.15625, 0.1875, 0.21875]","[2.590997865980309e-25, 453201.3109092929, 366743.0118606119, 300965.2367543516, 438655.0211197104, 125216.68843757326, 97188.64535835721, 154071.11636326203]",3.0,0.7,boxcar,32,16,322.7500000000001,15,28,189.67857142857142,8.0,711.0,"[3, 7, 10, 14, 16, 18, 20, 24, 26, 28, 30, 36, 38, 42, 44, 46, 49, 53, 55, 58, 62, 65, 67, 69, 71, 76, 80, 82]","[182.00000000000003, 318.0000000000001, 242.99999999999983, 460.0, 376.0, 336.0, 43.0, 711.0, 69.0, 74.00000000000011, 241.9999999999999, 387.0, 121.0, 8.0, 80.0, 335.0000000000001, 204.00000000000006, 121.00000000000011, 63.000000000000114, 30.999999999999886, 92.99999999999989, 27.000000000000114, 184.00000000000006, 57.000000000000114, 8.999999999999886, 146.0, 21.0, 370.0000000000001]","[0, 0, 9, 0, 15, 17, 17, 0, 25, 27, 27, 32, 37, 41, 41, 41, 47, 51, 51, 51, 47, 64, 41, 68, 70, 74, 74, 41]","[4, 9, 12, 15, 17, 19, 22, 41, 27, 29, 32, 41, 41, 43, 45, 47, 51, 54, 57, 60, 64, 66, 74, 74, 74, 77, 81, 84]",0.05,30,23344645.0,714.0,-714.0,DWT,inu.32000013032919,5.820766091346741e-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,112,0.0,2.2737367544323206e-12,1.0,112,,0.0,0.0,1.0,112,0.0,0.0,1.430511474609375e-06,0.0,0.0,0.0,0.0,5.988860201406558e-14,0.0,0.0,0.0,0.0,0.0,1.1368683772161603e-13,0.0,0.0,0.0,1.1368683772161603e-13,0.0,1.3877787807814457e-17,5.820766091346741e-11,2.7755575615628914e-17,0.0,0.0,0.0,0.0,5.551115123125783e-17,0.9551131085906613,0.6325078877895725,0.01585238911349519,0.4284179425194732,0.0557063488043784,0,,27,1.0908977201354713,0.7216474190021531,88,0,0,0.4175195353635161,0.6779878964476923,75,32.129944496269104,0.9548102046465976,63.333333333333336,48.595582219798196,0.9328668932281277,3,bior,338.9185185185185,351.0,228.60622638952228,135,0.5781919156648542,1.0,0.29526565903460206,5,3.5,3
bior3.9,1,antireflect,4.1076537702931496e-27,320.93802593298005,4773969.364867331,0.5673076923076923,268.600301253413,86,raw,4.0897517930377875e-14,-8.752421010171952e-11,"[3, 7, 10, 14, 16, 18, 20, 24, 26, 28, 30, 36, 38, 42, 44, 46, 49, 53, 55, 58, 62, 65, 67, 69, 71, 76, 80, 82]","[181.99999999999997, 318.0, 243.0000000000001, 460.0, 375.9999999999999, 336.00000000000006, 43.0, 711.0, 69.0, 74.0, 242.0, 387.0000000000002, 121.0, 8.0, 80.0, 335.0, 203.99999999999994, 121.00000000000006, 63.0, 31.0, 92.99999999999989, 27.0, 184.00000000000006, 57.0, 9.0, 146.00000000000006, 20.999999999999886, 369.99999999999994]",28,5.466794394023308,90339.12234057249,0.951976287962599,1.0759700157898601e-05,1.0,0.4883720930232558,42543.0,0.11917939154692866,0.15363659173304786,97920.11568476396,39168483.09858435,8,3953.116841222319,0.023255813953488372,"[0.0, 0.011627906976744186, 0.023255813953488372, 0.03488372093023256, 0.046511627906976744, 0.05813953488372093, 0.06976744186046512, 0.08139534883720931, 0.09302325581395349, 0.10465116279069767, 0.11627906976744186, 0.12790697674418605, 0.13953488372093023, 0.1511627906976744, 0.16279069767441862, 0.1744186046511628, 0.18604651162790697, 0.19767441860465115, 0.20930232558139533, 0.22093023255813954, 0.23255813953488372]","[42543.0, 1831.9355151102081, 3953.116841222319, 1162.6300002894234, 2365.9519230129126, 2276.3926125119365, 2890.1292203692788, 2907.106935439626, 1029.1011563476554, 1537.0105247074946, 488.00660647270416, 2219.7056813343042, 1642.1072675261737, 1126.9927557741728, 1195.8384607800378, 446.88213584189276, 1611.0023121940521, 566.9731597547074, 971.6577544528603, 1387.9812166121446, 407.07447632807254]",3.0,0.5,322.75000000000006,15,0.5,453201.31090929284,0.2043810901748747,0.15326863156446496,3095241.28125,3710646498.259964,"[0.0625, 0.125, 0.125, 0.34375]",2,453201.31090929284,0.03125,"[0.0, 0.03125, 0.0625, 0.09375, 0.125, 0.15625, 0.1875, 0.21875]","[4.6650078491149754e-26, 453201.31090929284, 366743.011860612, 300965.23675435147, 438655.02111971023, 125216.68843757334, 97188.6453583571, 154071.11636326212]",3.0,0.7,boxcar,32,16,322.75000000000006,15,28,189.67857142857142,8.0,711.0,"[3, 7, 10, 14, 16, 18, 20, 24, 26, 28, 30, 36, 38, 42, 44, 46, 49, 53, 55, 58, 62, 65, 67, 69, 71, 76, 80, 82]","[181.99999999999997, 318.0, 243.0000000000001, 460.0, 375.9999999999999, 336.00000000000006, 43.0, 711.0, 69.0, 74.0, 242.0, 387.0000000000002, 121.0, 8.0, 80.0, 335.0, 203.99999999999994, 121.00000000000006, 63.0, 31.0, 92.99999999999989, 27.0, 184.00000000000006, 57.0, 9.0, 146.00000000000006, 20.999999999999886, 369.99999999999994]","[0, 0, 9, 0, 15, 17, 17, 0, 25, 27, 27, 32, 37, 41, 41, 41, 47, 51, 51, 51, 47, 64, 41, 68, 70, 74, 74, 41]","[4, 9, 12, 15, 17, 19, 22, 41, 27, 29, 32, 41, 41, 43, 45, 47, 51, 54, 57, 60, 64, 66, 74, 74, 74, 77, 81, 84]",0.05,30,23344645.0,714.0,-714.0,DWT,inu.32000013032919,1.1641532182693481e-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,112,0.0,4.547473508864641e-13,1.0,112,,0.0,0.0,1.0,112,0.0,0.0,9.5367431640625e-07,0.0,0.0,0.0,0.0,3.755725889017673e-14,0.0,0.0,0.0,0.0,0.0,5.684341886080802e-14,0.0,0.0,0.0,5.684341886080802e-14,0.0,0.0,1.1641532182693481e-10,2.7755575615628914e-17,0.0,0.0,0.0,0.0,0.0,0.9660801917999048,0.6074928352315921,0.020262395732085506,0.4172813487881978,0.06073906398202001,0,,54,1.0847338956698687,0.7175699441530609,97,0,0,0.41437116710676003,0.6728754277106732,88,22.678918257565403,0.9681027872608081,79.66666666666667,74.64277231998274,0.9280270148212151,4,bior,338.9185185185185,351.0,228.60622638952228,135,0.5781919156648542,1.0,0.29526565903460206,5,4.25,4
bior2.4,1,antisymmetric,6.049095494849401e-27,319.2570598294336,4455442.426554129,0.574468085106383,328.1929208122336,86,raw,5.620310418614049e-14,-9.109191179135244e-11,"[3, 7, 10, 14, 16, 18, 20, 24, 26, 28, 30, 36, 38, 42, 44, 46, 49, 53, 55, 58, 62, 65, 67, 69, 71, 76, 80, 82]","[182.0, 318.0, 243.0000000000001, 460.0, 376.0, 335.9999999999999, 43.0, 711.0000000000002, 68.99999999999989, 74.0, 242.0, 387.00000000000006, 121.0, 7.999999999999886, 80.0, 335.0000000000001, 204.0, 121.0, 63.0, 31.0, 93.00000000000006, 27.0, 184.00000000000006, 57.0, 9.0, 146.0, 21.000000000000114, 369.99999999999994]",28,5.439709149076075,69654.78494631559,0.9113769795792428,1.07597001578986e-05,1.0,0.4883720930232558,42543.0,0.11917939154692865,0.15363659173304783,97920.11568476396,39168483.09858435,8,3953.1168412223196,0.023255813953488372,"[0.0, 0.011627906976744186, 0.023255813953488372, 0.03488372093023256, 0.046511627906976744, 0.05813953488372093, 0.06976744186046512, 0.08139534883720931, 0.09302325581395349, 0.10465116279069767, 0.11627906976744186, 0.12790697674418605, 0.13953488372093023, 0.1511627906976744, 0.16279069767441862, 0.1744186046511628, 0.18604651162790697, 0.19767441860465115, 0.20930232558139533, 0.22093023255813954, 0.23255813953488372]","[42543.0, 1831.9355151102086, 3953.1168412223196, 1162.6300002894236, 2365.951923012912, 2276.392612511939, 2890.12922036928, 2907.1069354396277, 1029.1011563476548, 1537.0105247074932, 488.00660647270405, 2219.7056813343042, 1642.1072675261737, 1126.9927557741726, 1195.8384607800385, 446.88213584189174, 1611.0023121940521, 566.9731597547079, 971.6577544528606, 1387.981216612145, 407.07447632807333]",3.0,0.5,322.7500000000001,15,0.5,453201.31090929295,0.2043810901748747,0.15326863156446494,3095241.281250001,3710646498.2599654,"[0.0625, 0.125, 0.125, 0.34375]",2,453201.31090929295,0.03125,"[0.0, 0.03125, 0.0625, 0.09375, 0.125, 0.15625, 0.1875, 0.21875]","[3.918808541648316e-25, 453201.31090929295, 366743.01186061226, 300965.2367543516, 438655.0211197105, 125216.68843757338, 97188.64535835713, 154071.11636326215]",3.0,0.7,boxcar,32,16,322.7500000000001,15,28,189.67857142857142,7.999999999999886,711.0000000000002,"[3, 7, 10, 14, 16, 18, 20, 24, 26, 28, 30, 36, 38, 42, 44, 46, 49, 53, 55, 58, 62, 65, 67, 69, 71, 76, 80, 82]","[182.0, 318.0, 243.0000000000001, 460.0, 376.0, 335.9999999999999, 43.0, 711.0000000000002, 68.99999999999989, 74.0, 242.0, 387.00000000000006, 121.0, 7.999999999999886, 80.0, 335.0000000000001, 204.0, 121.0, 63.0, 31.0, 93.00000000000006, 27.0, 184.00000000000006, 57.0, 9.0, 146.0, 21.000000000000114, 369.99999999999994]","[0, 0, 9, 0, 15, 17, 17, 0, 25, 27, 27, 32, 37, 41, 41, 41, 47, 51, 51, 51, 47, 64, 41, 68, 70, 74, 74, 41]","[4, 9, 12, 15, 17, 19, 22, 41, 27, 29, 32, 41, 41, 43, 45, 47, 51, 54, 57, 60, 64, 66, 74, 74, 74, 77, 81, 84]",0.05,30,23344645.0,714.0000000000001,-714.0000000000001,DWT,inu.32000013032919,0.0,0.0,0.0,0.0,0.0,2.2737367544323206e-13,9.313225746154785e-10,1.1368683772161603e-13,1.0,112,0.0,0.0,1.0,112,,0.0,0.0,1.0,112,0.0,0.0,2.384185791015625e-06,0.0,0.0,0.0,0.0,4.0602442043434285e-14,0.0,0.0,0.0,1.1368683772161603e-13,0.0,1.1368683772161603e-13,0.0,0.0,0.0,1.1368683772161603e-13,1.1368683772161603e-13,1.3877787807814457e-17,0.0,0.0,2.7755575615628914e-17,0.0,0.0,0.0,0.0,0.9481742846267096,0.5878016491707708,0.008154979135041414,0.47770329350043744,0.0413777434169822,0,,44,1.0745152996958998,0.7108101689016059,111,0,0,0.4126423899699883,0.6700681579301916,90,34.26854728950927,0.9518023244873287,81.66666666666667,70.01592863969417,0.9184703136735752,5,bior,338.9185185185185,351.0,228.60622638952228,135,0.5781919156648542,1.0,0.29526565903460206,5,5.0,5
