wavelet,wavelet_level,wavelet_mode,wavelet_mse,wavelet_psnr,wavelet_energy_entropy,wavelet_sparsity,wavelet_adaptive_threshold,signal_length,signal_type,emd_value,kl_divergence,change_point_indices,change_point_prominences,num_change_points,wavelet_entropy,avg_variance_across_levels,variance_ratio_across_levels,smoothness,correlation,relative_num_peaks,avg_prominence,prominence_min,prominence_max,relative_peaks,relative_prominences,relative_left_bases,relative_right_bases,prominence_threshold,distance_factor,max_autocorrelation,upper_envelope,lower_envelope,wavelet_type,htid,relative_left_bases_array_alignment_score,relative_left_bases_global_alignment_score,max_autocorrelation_diff,prominence_min_diff,prominence_max_diff,avg_prominence_diff,upper_envelope_diff,prominence_threshold_diff,relative_prominences_avg_diff,relative_prominences_total_diff,relative_prominences_wasserstein,distance_factor_diff,lower_envelope_diff,relative_right_bases_array_alignment_score,relative_right_bases_global_alignment_score,relative_peaks_array_alignment_score,relative_peaks_global_alignment_score,relative_num_peaks_diff,emd_value_normalized,wavelet_mse_normalized,wavelet_psnr_normalized,wavelet_entropy_normalized,wavelet_energy_entropy_normalized,wavelet_sparsity_normalized,avg_variance_across_levels_normalized,kl_divergence_normalized,prominence_min_diff_normalized,avg_prominence_diff_normalized,relative_prominences_avg_diff_normalized,relative_prominences_wasserstein_normalized,relative_prominences_total_diff_normalized,prominence_max_diff_normalized,max_autocorrelation_diff_normalized,upper_envelope_diff_normalized,lower_envelope_diff_normalized,reconstruction_signal_weighted_score,reconstruction_signal_normalized_weighted_score,reconstruction_signal_normalized_weighted_rank,wavelet_signal_weighted_score,wavelet_signal_normalized_weighted_score,wavelet_signal_normalized_weighted_rank,reconstruction_signal_num_missing_metrics,reconstruction_signal_missing_metrics_count,reconstruction_signal_dynamically_weighted_score,reconstruction_signal_normalized_dynamically_weighted_score,reconstruction_signal_normalized_dynamically_weighted_rank,wavelet_signal_num_missing_metrics,wavelet_signal_missing_metrics_count,wavelet_signal_dynamically_weighted_score,wavelet_signal_normalized_dynamically_weighted_score,wavelet_signal_normalized_dynamically_weighted_rank,rank_variability,normalized_rank_stability,average_rank,harmonic_average_rank,stability_score_weighted,stability_rank,wavelet_family,normalized_family_mean_rank,normalized_family_std_dev,final_family_stability_score,final_family_stability_rank,family_informed_rank,relative_num_peaks_diff_normalized,relative_right_bases_global_alignment_score_normalized,relative_right_bases_array_alignment_score_normalized,relative_left_bases_global_alignment_score_normalized,relative_left_bases_array_alignment_score_normalized,relative_peaks_array_alignment_score_normalized,relative_peaks_global_alignment_score_normalized,across_emd_value_normalized,across_smoothness_normalized,across_wavelet_mse_normalized,across_wavelet_psnr_normalized,across_wavelet_entropy_normalized,across_wavelet_energy_entropy_normalized,across_wavelet_sparsity_normalized,across_avg_variance_across_levels_normalized,across_kl_divergence_normalized,across_prominence_min_diff_normalized,across_avg_prominence_diff_normalized,across_relative_prominences_avg_diff_normalized,across_relative_prominences_wasserstein_normalized,across_relative_prominences_total_diff_normalized,across_prominence_max_diff_normalized,across_relative_num_peaks_diff_normalized,across_max_autocorrelation_diff_normalized,across_relative_right_bases_global_alignment_score_normalized,across_relative_right_bases_array_alignment_score_normalized,across_relative_left_bases_global_alignment_score_normalized,across_relative_left_bases_array_alignment_score_normalized,across_upper_envelope_diff_normalized,across_lower_envelope_diff_normalized,across_relative_peaks_array_alignment_score_normalized,across_relative_peaks_global_alignment_score_normalized,across_reconstruction_signal_weighted_score,across_reconstruction_signal_normalized_weighted_score,across_reconstruction_signal_normalized_weighted_rank,across_wavelet_signal_weighted_score,across_wavelet_signal_normalized_weighted_score,across_wavelet_signal_normalized_weighted_rank,across_rank_variability,across_normalized_rank_stability,across_average_rank,across_harmonic_average_rank,across_stability_score_weighted,across_stability_rank,family_mean_stability_rank,family_median_stability_rank,family_rank_std_dev,family_wavelet_count,across_normalized_family_mean_rank,across_normalized_family_std_dev,across_final_family_stability_score,across_final_family_stability_rank,across_family_informed_rank,across_top_wavelet_rank
db32,1,antisymmetric,9.018116579966268e-27,321.07569293422284,2773531.1702806773,0.7386363636363636,299.96068065133113,201,raw,7.078030809331646e-14,,"[2, 8, 18, 29, 36, 43, 56, 67, 78, 85, 92, 102, 114, 120, 126, 132, 139, 145, 152, 163, 169, 175, 181, 191]","[176.29200679769468, 457.9734303728878, 144.12397960691592, 378.7438776414957, 255.54697748879374, 537.577002118122, 393.83197280922104, 548.1006418403033, 449.707993202305, 395.6683291463474, 453.6639456184424, 405.36815920398016, 15.123979606916123, 14.123979606915896, 399.27622826461766, 46.70799320230513, 369.53996601152636, 407.33605438155746, 295.5399660115267, 513.1680271907784, 450.7792143244177, 420.3969760110337, 174.3550647751341, 260.62806117925226]",24,6.991741020691052,73388.99422376277,0.6098464202541107,2.9343634649748246e-06,1.0,26,539.413978299667,1.7079932023053672,949.9918368553268,"[1, 8, 17, 23, 29, 37, 43, 49, 56, 67, 78, 85, 92, 102, 111, 117, 123, 129, 137, 145, 152, 163, 169, 177, 185, 195]","[176.29200679769468, 715.6639456184422, 95.12397960691592, 1.7079932023053672, 672.1239796069162, 292.5840135953893, 843.707993202305, 20.292006797694597, 665.079932023053, 898.4159864046107, 865.1239796069159, 657.2479592138319, 890.7079932023054, 808.123979606916, 246.41598640461063, 15.123979606916123, 14.123979606915896, 629.7520407861682, 773.7879252253585, 831.8760203930842, 769.5840135953897, 949.9918368553268, 469.41598640461063, 501.58401359538937, 730.079932023053, 490.83197280922104]","[0, 0, 14, 22, 26, 36, 42, 46, 46, 65, 75, 79, 91, 99, 109, 114, 120, 126, 126, 139, 148, 139, 167, 175, 175, 191]","[2, 42, 26, 26, 42, 39, 65, 50, 65, 200, 139, 91, 139, 139, 126, 126, 126, 135, 139, 148, 154, 200, 200, 179, 200, 200]",0.05,30,15766881.353823459,551.8203039259149,-551.8203039259149,DWT,mdp.39015067403850,0.0,81.0,32302889.64617654,16.292006797694633,5.684341886080801e-13,0.0,440.1796960740851,0.0,27.946021700333063,159.23656420866064,29.15300390583263,0.0,440.1796960740851,0.0,76.5,0.0,94.5,0.0,6.56685329865446e-14,4.7611584666694794e-27,0.9599155098515479,0.9492177331000771,0.0004008417012438404,0.857819976076555,0.0013526798911609027,,0.9999999974926458,0.0,0.9999999927351363,0.9999999930635809,0.9999999927351902,2.26482748379059e-13,0.999999994049108,0.9999999679314265,0.9999999679314265,2.299999975552242,0.9999999876094019,268,1.3944276556986952,0.8198633107698556,55,0,0,0.7777777673265266,0.9999999852367034,319,0,0,0.39552953437437866,0.8005643308510461,56,138.97841559033546,0.8529328935552005,174.5,93.22900885252159,0.8341384044495579,70,db,0.338478297511065,0.8437982275561241,0.5099257234754173,1,52.75,,,,,,,,6.778784940381422e-14,0.0003497855917087844,4.9127378600117685e-27,0.9550300484815578,0.9492177331000768,0.0014283651620762088,0.8665916286336912,0.0030587744216644033,,0.9999999998504613,0.0,0.9999999996290201,0.999999999716912,0.9999999950717722,2.26482748379059e-13,0.0,0.9999999991828332,1.0,0.0,1.0,0.0,0.15225209999320174,0.15225209999320174,0.0,1.0,2.360900836883615,0.9868434495495645,144,1.3963061751196864,0.8133783794463529,140,2.8284271247461903,0.9985034777117745,142.0,141.97183098591552,0.9616856012897497,1,759.9780701754386,725.5,495.1103854781035,684,0.46772678439354104,0.6986916382681404,0.4629837594440791,1,1.0,1
db37,1,smooth,1.1255471320374517e-26,320.1132145298467,1052586164.6463889,0.5766423357664233,228.2522935377839,201,raw,7.49737474977713e-14,,"[2, 8, 18, 29, 36, 43, 56, 67, 78, 85, 92, 102, 114, 120, 126, 132, 139, 145, 152, 163, 169, 175, 181, 191]","[176.29200679769485, 457.97343037288795, 144.12397960691584, 378.74387764149554, 255.5469774887938, 537.5770021181221, 393.8319728092215, 548.1006418403034, 449.70799320230526, 395.66832914634733, 453.6639456184423, 405.36815920398016, 15.123979606916066, 14.12397960691601, 399.2762282646175, 46.70799320230522, 369.5399660115264, 407.336054381558, 295.53996601152653, 513.1680271907783, 450.7792143244175, 420.39697601103387, 174.3550647751342, 260.62806117925226]",24,4.507858197550429,14020229.360721743,0.9984404703615014,2.9343634649748255e-06,1.0,26,539.413978299667,1.7079932023053956,949.9918368553266,"[1, 8, 17, 23, 29, 37, 43, 49, 56, 67, 78, 85, 92, 102, 111, 117, 123, 129, 137, 145, 152, 163, 169, 177, 185, 195]","[176.29200679769485, 715.6639456184424, 95.12397960691591, 1.7079932023053956, 672.1239796069159, 292.5840135953894, 843.707993202305, 20.29200679769454, 665.0799320230533, 898.4159864046107, 865.1239796069159, 657.2479592138318, 890.7079932023051, 808.1239796069161, 246.41598640461055, 15.123979606916066, 14.12397960691601, 629.7520407861682, 773.7879252253583, 831.8760203930842, 769.5840135953893, 949.9918368553266, 469.41598640461075, 501.5840135953895, 730.0799320230531, 490.83197280922116]","[0, 0, 14, 22, 26, 36, 42, 46, 46, 65, 75, 79, 91, 99, 109, 114, 120, 126, 126, 139, 148, 139, 167, 175, 175, 191]","[2, 42, 26, 26, 42, 39, 65, 50, 65, 200, 139, 91, 139, 139, 126, 126, 126, 135, 139, 148, 154, 200, 200, 179, 200, 200]",0.05,30,15766881.353823457,551.8203039259149,-551.8203039259149,DWT,mdp.39015067403850,0.0,81.0,32302889.646176543,16.292006797694604,7.958078640513122e-13,0.0,440.1796960740851,0.0,27.946021700333063,159.23656420866064,29.153003905832602,0.0,440.1796960740851,0.0,76.5,0.0,94.5,0.0,7.045717889128035e-14,6.044901625405203e-27,0.9564007377397227,0.24751979897026344,0.9302845163229284,0.045505186323472835,0.9339724338253536,,0.999999997492611,0.0,0.9999999927351363,0.9999999930635407,0.9999999927351902,3.170758477306826e-13,0.9999999940491656,0.9999999679314265,0.9999999679314265,2.2999999755522933,0.9999999876094243,215,1.5545336483499812,0.9139987280306425,3,0,0,0.7777777673265347,0.9999999852367139,266,0,0,0.4448118104545446,0.9003132217533135,3,138.69240546379362,0.8532355497737634,121.75,5.925248007735942,0.8621997854688923,33,db,0.338478297511065,0.8437982275561241,0.5099257234754173,1,25.0,,,,,,,,7.257649530854997e-14,0.0003497855917087844,6.196481018747493e-27,0.9515331646976117,0.24751979897026338,0.930356179343517,0.10439177701406671,0.9340852356796664,,0.9999999998504592,0.0,0.9999999996290201,0.9999999997169104,0.9999999950717722,3.170758477306826e-13,0.0,0.999999999182841,1.0,0.0,1.0,0.0,0.15225209999320174,0.15225209999320174,0.0,1.0,2.3609008368836633,0.9868434495495848,129,1.5753536287304848,0.9176773722152305,11,83.43860018001261,0.9558525924973478,70.0,20.271428571428572,0.9594077777301554,2,759.9780701754386,725.5,495.1103854781035,684,0.46772678439354104,0.6986916382681404,0.4629837594440791,1,1.75,2
db32,1,smooth,8.479320657019198e-27,321.34324079676765,711198770.4918494,0.6477272727272727,288.49563129331153,201,raw,6.709503047127715e-14,,"[2, 8, 18, 29, 36, 43, 56, 67, 78, 85, 92, 102, 114, 120, 126, 132, 139, 145, 152, 163, 169, 175, 181, 191]","[176.2920067976947, 457.97343037288823, 144.1239796069159, 378.7438776414956, 255.54697748879374, 537.5770021181221, 393.83197280922104, 548.1006418403033, 449.707993202305, 395.6683291463474, 453.6639456184424, 405.36815920398016, 15.123979606916123, 14.123979606915896, 399.27622826461766, 46.70799320230513, 369.53996601152636, 407.3360543815576, 295.5399660115267, 513.1680271907783, 450.7792143244177, 420.3969760110338, 174.35506477513417, 260.62806117925237]",24,4.3204224551181625,9647765.496694798,0.9978648933800899,2.9343634649748246e-06,1.0,26,539.413978299667,1.7079932023052748,949.9918368553268,"[1, 8, 17, 23, 29, 37, 43, 49, 56, 67, 78, 85, 92, 102, 111, 117, 123, 129, 137, 145, 152, 163, 169, 177, 185, 195]","[176.2920067976947, 715.6639456184425, 95.12397960691594, 1.7079932023052748, 672.123979606916, 292.5840135953893, 843.7079932023053, 20.29200679769467, 665.0799320230528, 898.4159864046107, 865.1239796069159, 657.2479592138319, 890.7079932023054, 808.123979606916, 246.41598640461063, 15.123979606916123, 14.123979606915896, 629.7520407861682, 773.7879252253585, 831.8760203930842, 769.5840135953897, 949.9918368553268, 469.4159864046106, 501.58401359538937, 730.0799320230531, 490.83197280922127]","[0, 0, 14, 22, 26, 36, 42, 46, 46, 65, 75, 79, 91, 99, 109, 114, 120, 126, 126, 139, 148, 139, 167, 175, 175, 191]","[2, 42, 26, 26, 42, 39, 65, 50, 65, 200, 139, 91, 139, 139, 126, 126, 126, 135, 139, 148, 154, 200, 200, 179, 200, 200]",0.05,30,15766881.35382346,551.8203039259149,-551.8203039259149,DWT,mdp.39015067403850,0.0,81.0,32302889.64617654,16.292006797694725,5.684341886080801e-13,0.0,440.1796960740851,0.0,27.946021700333063,159.23656420866064,29.153003905832612,0.0,440.1796960740851,0.0,76.5,0.0,94.5,0.0,6.146017610082322e-14,4.452009645722206e-27,0.9608925393221057,0.19456912351105993,0.6278966859395088,0.4019587320574162,0.6415874874291472,,0.9999999974927588,0.0,0.9999999927351363,0.9999999930635558,0.9999999927351902,2.26482748379059e-13,0.999999994049108,0.9999999679314265,0.9999999679314265,2.299999975552268,0.9999999876094133,243,1.4051869161131916,0.8261892917763383,49,0,0,0.7777777673265364,0.999999985236716,255,0,0,0.40384350975132854,0.8173920808821221,48,115.86306572847104,0.8773935812397132,148.75,81.17164522317977,0.859993086916153,37,db,0.338478297511065,0.8437982275561241,0.5099257234754173,1,28.0,,,,,,,,6.357949251809286e-14,0.0003497855917087844,4.603589039064496e-27,0.9560021053897528,0.19456912351105993,0.6282791841457912,0.4388542823074708,0.642199801321197,,0.999999999850468,0.0,0.9999999996290201,0.999999999716911,0.9999999950717722,2.26482748379059e-13,0.0,0.9999999991828332,1.0,0.0,1.0,0.0,0.15225209999320174,0.15225209999320174,0.0,1.0,2.3609008368836166,0.9868434495495653,142,1.417551986191276,0.8257545213608952,85,40.30508652763321,0.9786745573927866,113.5,106.34361233480176,0.9593108236699384,3,759.9780701754386,725.5,495.1103854781035,684,0.46772678439354104,0.6986916382681404,0.4629837594440791,1,2.5,3
db34,1,smooth,8.339178143568292e-27,321.4156188724646,837624768.3858771,0.6007462686567164,263.90872916976434,201,raw,6.75457478782892e-14,,"[2, 8, 18, 29, 36, 43, 56, 67, 78, 85, 92, 102, 114, 120, 126, 132, 139, 145, 152, 163, 169, 175, 181, 191]","[176.29200679769468, 457.97343037288795, 144.12397960691595, 378.7438776414955, 255.54697748879374, 537.5770021181222, 393.83197280922116, 548.1006418403034, 449.70799320230515, 395.6683291463473, 453.66394561844254, 405.3681592039802, 15.123979606915725, 14.123979606915725, 399.27622826461743, 46.70799320230515, 369.5399660115266, 407.3360543815576, 295.5399660115264, 513.1680271907785, 450.7792143244176, 420.39697601103387, 174.3550647751341, 260.6280611792524]",24,4.397721643623772,11284784.99649865,0.9983161360887357,2.9343634649748255e-06,0.9999999999999998,26,539.413978299667,1.7079932023052962,949.991836855327,"[1, 8, 17, 23, 29, 37, 43, 49, 56, 67, 78, 85, 92, 102, 111, 117, 123, 129, 137, 145, 152, 163, 169, 177, 185, 195]","[176.29200679769468, 715.6639456184425, 95.12397960691592, 1.7079932023052962, 672.1239796069159, 292.58401359538937, 843.7079932023053, 20.29200679769466, 665.0799320230528, 898.4159864046107, 865.1239796069157, 657.2479592138318, 890.7079932023055, 808.123979606916, 246.4159864046106, 15.123979606915725, 14.123979606915725, 629.7520407861681, 773.7879252253583, 831.8760203930842, 769.5840135953894, 949.991836855327, 469.41598640461075, 501.58401359538937, 730.0799320230531, 490.8319728092212]","[0, 0, 14, 22, 26, 36, 42, 46, 46, 65, 75, 79, 91, 99, 109, 114, 120, 126, 126, 139, 148, 139, 167, 175, 175, 191]","[2, 42, 26, 26, 42, 39, 65, 50, 65, 200, 139, 91, 139, 139, 126, 126, 126, 135, 139, 148, 154, 200, 200, 179, 200, 200]",0.05,30,15766881.353823457,551.8203039259149,-551.8203039259149,DWT,mdp.39015067403850,0.0,81.0,32302889.646176543,16.292006797694704,3.410605131648481e-13,0.0,440.1796960740851,0.0,27.946021700333063,159.23656420866064,29.15300390583264,0.0,440.1796960740851,0.0,76.5,0.0,94.5,0.0,6.197486723073164e-14,4.371599065476982e-27,0.9611568490882373,0.21640617652297112,0.7398799749004596,0.1663737234878242,0.751054340348745,,0.9999999974927327,0.0,0.9999999927351363,0.9999999930635959,0.9999999927351902,1.3588964902743542e-13,0.9999999940491656,0.9999999679314265,0.9999999679314265,2.299999975552256,0.9999999876094081,260,1.421808410699304,0.8359620135992466,22,0,0,0.7777777673265343,0.9999999852367133,269,0,0,0.40498158062118567,0.8196955724426938,38,135.59590701787425,0.8565122677059531,147.25,50.41976922566164,0.8503460809429236,48,db,0.338478297511065,0.8437982275561241,0.5099257234754173,1,36.25,,,,,,,,6.409418364800129e-14,0.0003497855917087844,4.523178458819271e-27,0.9562650699592093,0.216406176522971,0.7401473615085846,0.21780345220977876,0.7514796404719929,,0.9999999998504664,0.0,0.9999999996290201,0.9999999997169127,0.9999999950717722,1.3588964902743542e-13,0.0,0.999999999182841,1.0,0.0,1.0,0.0,0.15225209999320174,0.15225209999320174,0.0,1.0,2.3609008368835753,0.9868434495495481,194,1.439853983741544,0.8387459146162453,40,108.89444430272832,0.9423838919033184,117.0,66.32478632478633,0.9402395649992783,4,759.9780701754386,725.5,495.1103854781035,684,0.46772678439354104,0.6986916382681404,0.4629837594440791,1,3.25,4
db36,1,smooth,1.0879859713736821e-26,320.26061843136205,977459169.0543685,0.6176470588235294,265.2691093448268,201,raw,7.899927257412362e-14,,"[2, 8, 18, 29, 36, 43, 56, 67, 78, 85, 92, 102, 114, 120, 126, 132, 139, 145, 152, 163, 169, 175, 181, 191]","[176.29200679769468, 457.97343037288806, 144.12397960691595, 378.7438776414955, 255.54697748879371, 537.5770021181222, 393.83197280922127, 548.1006418403033, 449.70799320230515, 395.66832914634756, 453.6639456184424, 405.36815920397987, 15.123979606915668, 14.123979606916123, 399.27622826461743, 46.70799320230505, 369.5399660115264, 407.3360543815575, 295.53996601152625, 513.1680271907785, 450.7792143244174, 420.39697601103387, 174.35506477513417, 260.62806117925226]",24,4.471890108547447,13070763.202777397,0.9983912305548556,2.9343634649748263e-06,0.9999999999999998,26,539.413978299667,1.7079932023052606,949.991836855327,"[1, 8, 17, 23, 29, 37, 43, 49, 56, 67, 78, 85, 92, 102, 111, 117, 123, 129, 137, 145, 152, 163, 169, 177, 185, 195]","[176.29200679769468, 715.6639456184424, 95.12397960691582, 1.7079932023052606, 672.1239796069159, 292.5840135953896, 843.707993202305, 20.292006797694633, 665.0799320230532, 898.4159864046105, 865.1239796069157, 657.247959213832, 890.7079932023053, 808.1239796069156, 246.41598640461078, 15.123979606915668, 14.123979606916123, 629.7520407861684, 773.7879252253583, 831.876020393084, 769.5840135953891, 949.991836855327, 469.41598640461046, 501.5840135953895, 730.079932023053, 490.83197280922116]","[0, 0, 14, 22, 26, 36, 42, 46, 46, 65, 75, 79, 91, 99, 109, 114, 120, 126, 126, 139, 148, 139, 167, 175, 175, 191]","[2, 42, 26, 26, 42, 39, 65, 50, 65, 200, 139, 91, 139, 139, 126, 126, 126, 135, 139, 148, 154, 200, 200, 179, 200, 200]",0.05,30,15766881.353823457,551.8203039259149,-551.8203039259149,DWT,mdp.39015067403850,0.0,81.0,32302889.646176543,16.29200679769474,3.410605131648481e-13,0.0,440.1796960740851,0.0,27.946021700333063,159.23656420866064,29.153003905832644,0.0,440.1796960740851,0.0,76.5,0.0,94.5,0.0,7.505407712016787e-14,5.829384246040099e-27,0.9569390263079283,0.2373587988164486,0.8637399116032474,0.25112229102167205,0.8704820036403235,,0.9999999974927761,0.0,0.9999999927351363,0.9999999930636009,0.9999999927351902,1.3588964902743542e-13,0.9999999940491656,0.9999999679314265,0.9999999679314265,2.2999999755522706,0.9999999876094144,241,1.5733544888594255,0.9250645703843018,2,0,0,0.7777777673265397,0.9999999852367203,248,0,0,0.4542345759128137,0.9193851980996498,2,140.03660235809778,0.8518131191977801,123.25,3.967539041107258,0.8606949193872498,36,db,0.338478297511065,0.8437982275561241,0.5099257234754173,1,27.25,,,,,,,,7.71733935374375e-14,0.0003497855917087844,5.9809636393823884e-27,0.9520687136621971,0.23735879881644856,0.8638799781853773,0.29732354271423633,0.8707032728919817,,0.9999999998504691,0.0,0.9999999996290201,0.9999999997169129,0.9999999950717722,1.3588964902743542e-13,0.0,0.999999999182841,1.0,0.0,1.0,0.0,0.15225209999320174,0.15225209999320174,0.0,1.0,2.360900836883576,0.9868434495495484,190,1.5891762786182542,0.9257293630792002,8,128.69343417595164,0.9319082358857399,99.0,15.353535353535355,0.9397636417523938,5,759.9780701754386,725.5,495.1103854781035,684,0.46772678439354104,0.6986916382681404,0.4629837594440791,1,4.0,5
coif15,1,smooth,1.0332370622107837e-26,320.48485162764814,834195370.3730954,0.5689655172413793,242.29315347140445,201,raw,7.344484335241689e-14,,"[2, 8, 18, 29, 36, 43, 56, 67, 78, 85, 92, 102, 114, 120, 126, 132, 139, 145, 152, 163, 169, 175, 181, 191]","[176.29200679769485, 457.973430372888, 144.1239796069159, 378.7438776414956, 255.54697748879377, 537.5770021181223, 393.8319728092212, 548.1006418403031, 449.7079932023054, 395.6683291463474, 453.6639456184426, 405.36815920398004, 15.123979606916066, 14.123979606915611, 399.27622826461766, 46.70799320230522, 369.5399660115267, 407.33605438155774, 295.539966011527, 513.168027190779, 450.77921432441747, 420.3969760110339, 174.35506477513422, 260.62806117925226]",24,4.811128701404253,10713617.012526875,0.9980907111875444,2.9343634649748255e-06,0.9999999999999998,26,539.413978299667,1.7079932023053175,949.9918368553275,"[1, 8, 17, 23, 29, 37, 43, 49, 56, 67, 78, 85, 92, 102, 111, 117, 123, 129, 137, 145, 152, 163, 169, 177, 185, 195]","[176.29200679769485, 715.6639456184423, 95.12397960691598, 1.7079932023053175, 672.123979606916, 292.5840135953895, 843.7079932023057, 20.292006797694704, 665.0799320230533, 898.4159864046103, 865.1239796069156, 657.247959213832, 890.7079932023053, 808.1239796069159, 246.4159864046106, 15.123979606916066, 14.123979606915611, 629.7520407861682, 773.7879252253584, 831.8760203930841, 769.5840135953895, 949.9918368553275, 469.4159864046106, 501.58401359538937, 730.0799320230531, 490.83197280922116]","[0, 0, 14, 22, 26, 36, 42, 46, 46, 65, 75, 79, 91, 99, 109, 114, 120, 126, 126, 139, 148, 139, 167, 175, 175, 191]","[2, 42, 26, 26, 42, 39, 65, 50, 65, 200, 139, 91, 139, 139, 126, 126, 126, 135, 139, 148, 154, 200, 200, 179, 200, 200]",0.05,30,15766881.35382346,551.8203039259147,-551.8203039259147,DWT,mdp.39015067403850,0.0,81.0,32302889.64617654,16.292006797694683,1.1368683772161603e-13,0.0,440.1796960740853,0.0,27.946021700333063,159.23656420866064,29.153003905832588,0.0,440.1796960740853,0.0,76.5,0.0,94.5,0.0,6.871126584276767e-14,5.515247483028215e-27,0.9577578795739011,0.3331938428720873,0.736842345971089,0.007009981851179958,0.7128605609213692,,0.9999999974927066,0.0,0.9999999927351363,0.9999999930635206,0.9999999927351902,4.52965496758118e-14,0.999999994049108,0.9999999679321054,0.9999999679321054,2.299999975552423,0.9999999876094807,152,1.397621039274969,0.821740882561194,53,0,0,0.7777777673266573,0.9999999852368714,142,0,0,0.3925235158842423,0.7944800540222919,57,53.29790489941107,0.9436001006355439,101.0,79.94725868635925,0.9183608968786185,2,coif,0.5144778199501838,0.8012562425413557,0.3994886532724646,3,2.25,,,,,,,,7.08305822600373e-14,0.0003497855917087844,5.666826876370504e-27,0.9528833993988849,0.33319384287208725,0.7371128550658271,0.06827149518863357,0.713351111505784,,0.9999999998504648,0.0,0.9999999996290201,0.9999999997169096,0.9999999950717722,4.52965496758118e-14,0.0,0.9999999991828332,1.0,0.0,1.0,0.0,0.15225209999330513,0.15225209999330513,0.0,1.0,2.3609008368835656,0.986843449549544,220,1.419637366963589,0.8269693005141617,66,108.89444430272832,0.9423838919033184,143.0,101.53846153846153,0.9333612581209714,6,1015.3645833333334,1010.5,449.1546404147438,288,0.6249038362909017,0.6338396461711743,0.3724154207450165,3,5.25,6
db22,1,reflect,4.7630087065663724e-27,323.8480376330429,2569528.150039911,0.7090163934426229,288.8829203588926,201,raw,5.0771990260469845e-14,,"[2, 8, 18, 29, 36, 43, 56, 67, 78, 85, 92, 102, 114, 120, 126, 132, 139, 145, 152, 163, 169, 175, 181, 191]","[176.29200679769463, 457.9734303728882, 144.1239796069159, 378.7438776414955, 255.54697748879374, 537.5770021181222, 393.83197280922116, 548.1006418403034, 449.7079932023054, 395.66832914634733, 453.66394561844254, 405.3681592039801, 15.123979606915782, 14.123979606915896, 399.27622826461754, 46.70799320230529, 369.53996601152653, 407.3360543815576, 295.5399660115263, 513.1680271907787, 450.77921432441735, 420.3969760110339, 174.35506477513417, 260.6280611792523]",24,6.930963586915457,72837.54489024222,0.6035494847620734,2.934363464974825e-06,1.0,26,539.413978299667,1.707993202305346,949.9918368553272,"[1, 8, 17, 23, 29, 37, 43, 49, 56, 67, 78, 85, 92, 102, 111, 117, 123, 129, 137, 145, 152, 163, 169, 177, 185, 195]","[176.29200679769463, 715.6639456184427, 95.12397960691591, 1.707993202305346, 672.123979606916, 292.58401359538937, 843.7079932023053, 20.292006797694683, 665.0799320230528, 898.4159864046106, 865.1239796069159, 657.2479592138319, 890.7079932023054, 808.123979606916, 246.41598640461052, 15.123979606915782, 14.123979606915896, 629.7520407861682, 773.7879252253584, 831.8760203930842, 769.5840135953895, 949.9918368553272, 469.41598640461063, 501.5840135953895, 730.0799320230531, 490.83197280922116]","[0, 0, 14, 22, 26, 36, 42, 46, 46, 65, 75, 79, 91, 99, 109, 114, 120, 126, 126, 139, 148, 139, 167, 175, 175, 191]","[2, 42, 26, 26, 42, 39, 65, 50, 65, 200, 139, 91, 139, 139, 126, 126, 126, 135, 139, 148, 154, 200, 200, 179, 200, 200]",0.05,30,15766881.35382346,551.8203039259149,-551.8203039259149,DWT,mdp.39015067403850,0.0,81.0,32302889.64617654,16.292006797694654,2.2737367544323206e-13,0.0,440.1796960740851,0.0,27.946021700333063,159.23656420866064,29.153003905832612,0.0,440.1796960740851,0.0,76.5,0.0,94.5,0.0,4.282028361178863e-14,2.3196745466171326e-27,0.9700395394271469,0.9320480826943774,0.00022014366804597358,0.709291415012942,0.0013158046901676724,,0.9999999974926719,0.0,0.9999999927351363,0.9999999930635558,0.9999999927351902,9.05930993516236e-14,0.999999994049108,0.9999999679314265,0.9999999679314265,2.2999999755521743,0.9999999876093726,423,1.3324007247187568,0.7833941509806913,71,0,0,0.7777777673265116,0.9999999852366842,434,0,0,0.3732735693561033,0.7555175512964367,73,205.87597399081483,0.7821418264647462,250.25,123.2614327798832,0.7586635058249657,181,db,0.338478297511065,0.8437982275561241,0.5099257234754173,1,136.0,,,,,,,,4.4939600029058315e-14,0.0003497855917087844,2.471253939959422e-27,0.9651025521104536,0.9320480826943773,0.0012478528748014906,0.7272263866954348,0.003021962218465749,,0.9999999998504628,0.0,0.9999999996290201,0.999999999716911,0.9999999950717722,9.05930993516236e-14,0.0,0.9999999991828332,1.0,0.0,1.0,0.0,0.15225209999320174,0.15225209999320174,0.0,1.0,2.3609008368835473,0.9868434495495363,326,1.337913774293948,0.7793635500329187,363,26.16295090390226,0.9861571688339141,344.5,343.50653120464443,0.901941018279391,7,759.9780701754386,725.5,495.1103854781035,684,0.46772678439354104,0.6986916382681404,0.4629837594440791,1,5.5,7
